L.008.M1	CS.172	CS.174	L.002.M1	CS.357	L.006.M1	CS.016	CS.199	CS.259	CS.093	CS.001	CS.280	CS.084	L.007.M1	L.005.M1	CS.229	CS.377	CS.060	CS.287	CS.154	CS.360	CS.161	CS.056	CS.381	CS.072	CS.153	CS.063	CS.327	CS.064	CS.115	CS.205	CS.376	CS.125	CS.224	CS.041	CS.378	CS.282	CS.236	CS.232	CS.374	CS.292	CS.136	CS.128	CS.213	CS.203	CS.177	CS.178	CS.268	CS.369	CS.183	CS.181	CS.129	CS.348	CS.256	CS.359	CS.372	CS.166	CS.214	CS.395	CS.254	T.CS.041	T.CS.076	T.CS.052	T.CS.089	T.CS.001	T.CS.080	T.CS.023	T.CS.007	T.CS.042	T.CS.019	T.CS.058	T.CS.085	T.CS.038	TFS.023	T.CS.020	T.CS.161	T.CS.092	T.CS.091	T.CS.156	T.CS.104	T.CS.097	T.CS.098	T.CS.167	T.CS.100	T.CS.134	T.CS.106	T.CS.126	T.CS.153	T.CS.180	T.CS.120	CS.246	CS.087	L.034.M1	CS.082	L.024.M1	CS.242	CS.241	CS.103	CS.088	CS.085	CS.237	CS.238	CS.015	CS.356	CS.110	CS.338	CS.347.0	CS.358	CS.304	CS.188	CS.113	CS.207	CS.212	CS.387	CS.363	CS.311	CS.308.0	CS.189	CS.274	CS.330	CS.339	CS.158	CS.321	CS.227	CS.080	CS.331	CS.343	CS.361	CS.322	CS.285	CS.112	CS.163	CS.202	CS.319	CS.223	CS.145	CS.393	CS.270	CS.255	CS.390	CS.262	CS.253	CS.370	CS.326	T.CS.045	T.CS.049	T.CS.036	T.CS.031	TFS.022	T.CS.064	T.CS.008	TFS.025	T.CS.055	TFS.027	T.CS.066	T.CS.043	TFS.020	T.CS.026	TFS.021	T.CS.151	T.CS.109	T.CS.142	T.CS.152	T.CS.157	T.CS.141	T.CS.095	T.CS.166	T.CS.158
L.008.M1	0	0.621190815778	0.676174922828	0.637491014633	0.644627506456	0.639996273448	0.632999923812	0.601260064106	0.636557543144	0.685517904349	0.681990915666	0.69149829198	0.675609433932	0.651612770396	0.66082325362	0.612270484436	0.632029432575	0.625026736461	0.591698953	0.694195756114	0.577514852221	0.596471571127	0.611557245481	0.637763044448	0.655193318617	0.657775283832	0.653829533965	0.644846820808	0.678919696093	0.670669956119	0.570435984341	0.569605284867	0.551915954246	0.620704510759	0.638854507251	0.652918958652	0.569179921925	0.687543516867	0.645000802593	0.602446646202	0.644542283772	0.604283617383	0.622719339351	0.55984756321	0.650113486891	0.601066107341	0.665741369557	0.639320428904	0.666565747061	0.650804785279	0.592438685239	0.604424211844	0.607634834239	0.570520298129	0.618810269056	0.586014842902	0.633432704616	0.64014779235	0.649827562998	0.605361189111	0.625221030045	0.587211850274	0.618923528346	0.598604663208	0.596518949042	0.613745673074	0.726802900608	0.574314892649	0.65124727159	0.627182378657	0.649850653217	0.620113830865	0.678971470338	0.616351836647	0.705494991175	0.644635074872	0.690152193533	0.680877060989	0.660118589365	0.687512711712	0.689053226428	0.663822099055	0.64550003259	0.676507562617	0.6446260094	0.692695169227	0.620761172426	0.67185335994	0.672348066626	0.616400256057	0.633592434403	0.624256157849	0.622532170925	0.674547653145	0.659590838507	0.639483916587	0.683103985407	0.653935625409	0.675500667346	0.628212181565	0.59401932232	0.610344824463	0.681121030704	0.635371674069	0.605548065154	0.595546409642	0.576876040327	0.641402810412	0.673274484946	0.635993083165	0.651940920127	0.597047652578	0.654102024645	0.557482743838	0.561494516114	0.636530787847	0.622409127054	0.634373660878	0.552470548115	0.559898138806	0.595782665259	0.584721170166	0.643374148192	0.674702477709	0.606420742749	0.616633111053	0.550296829783	0.626096011145	0.563477625451	0.627748272678	0.620425494282	0.626577765451	0.666132628528	0.54170612209	0.573080763939	0.613032148233	0.666128488592	0.609594129297	0.568641820512	0.57015702913	0.575918761215	0.674463824301	0.59602506446	0.563734161097	0.643629106129	0.515975162519	0.672947650971	0.634821376362	0.686739072696	0.627072731845	0.613012490204	0.562940532627	0.638151975099	0.63820255084	0.669964635643	0.649078695133	0.662735849057	0.641437588633	0.637467875783	0.636603259274	0.671303557009	0.617338112529	0.653931913622	0.637566773588	0.656500318663	0.68509711587	0.654006511818	0.654103500472
CS.172	0.621190815778	0	0.58685217723	0.639429672876	0.559356759295	0.592038865316	0.537298060328	0.535616580914	0.568263715411	0.534526750202	0.595280510619	0.593808588915	0.541595002959	0.5759361456	0.586398479786	0.63893008012	0.657281343081	0.551272710446	0.652133803806	0.706164220759	0.641731051207	0.618969198409	0.6545723806	0.593614528076	0.55520303548	0.548857057135	0.605355367294	0.561418917109	0.568936217449	0.626443045992	0.68016731229	0.624908303212	0.65004367078	0.723646079202	0.594283866927	0.617991478876	0.656421076861	0.642707711224	0.541456334083	0.639101897075	0.589162328956	0.574044507665	0.632935224972	0.643934073198	0.578339723152	0.684215306265	0.62358034509	0.64985509166	0.687923532862	0.698246590131	0.639959050731	0.590176008943	0.641261798424	0.673713364983	0.685982030547	0.660132319064	0.683286212139	0.635031342483	0.654624396648	0.658736921109	0.559373515202	0.632444686449	0.653764171695	0.608633381795	0.660094647331	0.628775528179	0.68852419456	0.637371133004	0.592693055511	0.587443664021	0.580246877175	0.573012489112	0.605194363834	0.589240435378	0.600794178787	0.562396135721	0.627704541678	0.593645502237	0.556738770253	0.5813580107	0.591400734257	0.58477584159	0.574735569267	0.596987340632	0.585709681055	0.616177370501	0.575784369155	0.565872327435	0.553386437362	0.593290271892	0.559991396246	0.526599599824	0.574018875464	0.544736335762	0.585408095356	0.558321575599	0.576781465056	0.557543087981	0.602821868557	0.515128710231	0.570553039206	0.554135609864	0.549137438336	0.639385135601	0.598581971135	0.606342811692	0.605507544221	0.718048903392	0.659838073926	0.64443244775	0.519317971154	0.612763428467	0.638297263303	0.611082077952	0.645095071889	0.542507003716	0.592402170575	0.621269688846	0.638789123921	0.633903733083	0.611362749086	0.546481638775	0.542872794291	0.715605625093	0.549947465411	0.608560799903	0.638984744636	0.62368115986	0.664394902586	0.66999378663	0.535602029024	0.546491194019	0.609350693236	0.659800216627	0.649103427798	0.616452054451	0.635789718036	0.658273762444	0.62173672142	0.646954720436	0.634268439543	0.682630239837	0.663617475241	0.606682196552	0.56252545814	0.626534720581	0.566797452895	0.548778842758	0.600445615074	0.565322425288	0.605888037861	0.575191743065	0.588061431436	0.58039701297	0.567485777567	0.570747848038	0.59194584183	0.67757068702	0.611659819685	0.576570115419	0.599845342429	0.590544566493	0.578406772852	0.545778703057	0.577179748107	0.592031997594	0.586092441661	0.57576324875
CS.174	0.676174922828	0.58685217723	0	0.649102908644	0.429945288795	0.542374694324	0.600187991519	0.633399744176	0.417334181086	0.525587154352	0.523864892729	0.429640906667	0.582096036858	0.419307356441	0.433254519501	0.677955757961	0.687655715997	0.643786269902	0.643552744051	0.794396825846	0.622061667306	0.702034855925	0.702524429737	0.527612768878	0.470546321405	0.61593989038	0.727411890766	0.575440969245	0.61243626951	0.711307791467	0.688377068182	0.660822677036	0.65909608374	0.769830782438	0.692858682342	0.700516648932	0.683614176905	0.731071357909	0.559756856733	0.669115601263	0.612988071089	0.649746921392	0.567276548996	0.686828375183	0.50685441976	0.675719448812	0.582689748439	0.694948697645	0.769389582965	0.753503309194	0.622410202247	0.614246441971	0.613798646868	0.659248922344	0.738167456983	0.644969825908	0.689187472504	0.642383319786	0.658507250444	0.648522793972	0.530648479792	0.547807647205	0.645876580317	0.560172070718	0.722245723075	0.594410232837	0.771951361816	0.624850976717	0.438939350768	0.633689437037	0.546153795471	0.487131026525	0.528137348672	0.539476904299	0.494279813135	0.547936364761	0.547276640518	0.39321030377	0.446028299392	0.479817257144	0.442291171464	0.468971275537	0.450482389663	0.522056513928	0.483167672286	0.411016882916	0.458114980599	0.513575361768	0.574713439134	0.490336202168	0.496716893563	0.616494491122	0.557034615162	0.566213276528	0.508427058311	0.474297965092	0.481633528854	0.562140128837	0.656226175621	0.566424983834	0.690659303926	0.560014394667	0.54234331063	0.704762520744	0.675040646667	0.655320836733	0.708494216507	0.775569479908	0.724766101604	0.623590762664	0.54802149147	0.705399510825	0.655275511092	0.582609574609	0.6572856549	0.598444693371	0.717338619463	0.645790171699	0.66854296549	0.648801258917	0.636069201196	0.677391107818	0.502421451112	0.801673774674	0.629677210791	0.555770753121	0.648408754158	0.686914339728	0.688717483347	0.749794340802	0.673848653824	0.683919005013	0.653449550088	0.649577510924	0.653277533211	0.548137004201	0.687562262187	0.659282936316	0.595404894974	0.656520993064	0.65768081003	0.757943825926	0.657983866145	0.633668147541	0.530558024718	0.65443684389	0.550723973815	0.501716738103	0.423932135072	0.484621522746	0.566044453233	0.534745748019	0.501842421242	0.481272512473	0.451117543559	0.490277608155	0.41584430248	0.726746000636	0.546608175414	0.421678636179	0.424434679144	0.508626626581	0.474453149089	0.527807631175	0.481900689123	0.419839325704	0.447612474918	0.429306387983
L.002.M1	0.637491014633	0.639429672876	0.649102908644	0	0.647882636849	0.640790893311	0.642551328269	0.634845943741	0.649811087563	0.682926760384	0.684885377309	0.661754829739	0.66592512493	0.678176508569	0.675179688168	0.628181412337	0.663023807162	0.626985078395	0.611853520709	0.684254889278	0.633659092764	0.619990570069	0.648894021081	0.635664164691	0.665981547684	0.676412372978	0.650837667082	0.660604688885	0.657720455612	0.654950938403	0.667111228695	0.595402019799	0.625286933451	0.681312303302	0.677281846309	0.668649384503	0.645048195323	0.663653035767	0.660060469605	0.61263531232	0.631015426765	0.656829641241	0.627460468284	0.624279493696	0.649426479408	0.592205369794	0.650942795455	0.642334312856	0.689448663976	0.642472842789	0.6411865235	0.594674643484	0.653036746794	0.603756399223	0.694253640304	0.600187268633	0.63502583263	0.641463448744	0.628542007396	0.620066901835	0.626283222414	0.604581376211	0.62914320397	0.649056445337	0.637109265104	0.600688647422	0.738617101436	0.675128230527	0.678702460884	0.668049194778	0.625540681	0.641143381002	0.66020792638	0.637350878653	0.679746059587	0.66432848754	0.695420166142	0.678320516907	0.62688201963	0.673297987129	0.692216922405	0.685336488981	0.64357273898	0.673305686464	0.64762353591	0.692691567104	0.653074081201	0.685027095685	0.646575488717	0.631199507108	0.658057015255	0.669309235997	0.609139330676	0.688988205826	0.669342091192	0.63240610701	0.654705589318	0.651376848816	0.680883638997	0.652092154566	0.63608688284	0.638358458114	0.673718068711	0.685974201292	0.626346308969	0.620436629492	0.633209292984	0.6725579454	0.687789556883	0.668123749005	0.633305799625	0.642704538017	0.696565059859	0.600041185168	0.605450035357	0.639956134443	0.650760700197	0.658090750314	0.633344367292	0.621569613263	0.654380697792	0.632064889698	0.670803793674	0.682323095543	0.625918486233	0.611100494056	0.566700185491	0.658354971808	0.624896649371	0.678929621301	0.630579140837	0.666151586056	0.700911555468	0.62248912794	0.642696973786	0.609350066976	0.664634394526	0.621261194884	0.59399752945	0.614996484573	0.590144173374	0.68842637361	0.607460599751	0.624420203544	0.639474883835	0.6149431342	0.643016220285	0.617187138622	0.662637885097	0.609330401046	0.642311683672	0.638274418151	0.642904023858	0.658316830372	0.656638362842	0.652348041924	0.65827828182	0.673211586848	0.626875937459	0.642689344503	0.674553341995	0.672530037508	0.645188187333	0.663003302937	0.639871154744	0.684397602752	0.639852245717	0.646087781856
CS.357	0.644627506456	0.559356759295	0.429945288795	0.647882636849	0	0.546396337537	0.590124966091	0.604455841895	0.460420785028	0.534248899333	0.575854289856	0.450813250343	0.594788981934	0.422177907481	0.39890484715	0.642818600447	0.690777788566	0.620949782443	0.659250711979	0.761909136903	0.632066888015	0.674449950846	0.713265099847	0.556935111856	0.497064400887	0.589315860192	0.695954614561	0.539799595341	0.603101285384	0.687754161788	0.671592306435	0.641273442965	0.634496135053	0.73526244565	0.669822349915	0.69242509816	0.662647240439	0.709467358915	0.562411440525	0.636296781555	0.617908544388	0.63181466994	0.586720838443	0.667491730369	0.478438606729	0.678770142841	0.603521524985	0.706333363497	0.76679167656	0.762719119872	0.650601217526	0.622556332995	0.637522466341	0.667526566011	0.716832103199	0.656272202911	0.714323462633	0.637632552487	0.677892009877	0.659832294968	0.537170218809	0.576863426437	0.632481630435	0.575489403107	0.707888987841	0.588096661434	0.736228447748	0.615300253012	0.460016706982	0.612632389547	0.555466713508	0.463929007134	0.60464810855	0.500402341537	0.537629891403	0.5617716622	0.575836791473	0.46973092727	0.418512301044	0.481505208722	0.487426929931	0.487033967478	0.442053082828	0.519984223825	0.4616069025	0.476424950289	0.477865266175	0.518694696014	0.559474775174	0.487478502935	0.50826434403	0.53663613758	0.544404891832	0.577326538537	0.482457487156	0.473956343039	0.498846463687	0.573935714948	0.613052949163	0.580528172667	0.64440959835	0.55265729019	0.530398153378	0.659866127917	0.652670405809	0.650649428976	0.688079457003	0.738135342534	0.696398606333	0.608364430361	0.492650711294	0.691225570931	0.624878384019	0.57773084776	0.656615999858	0.576411076163	0.687815113077	0.639156527084	0.654503103066	0.634814646768	0.604713350562	0.647371061146	0.45384199136	0.772139169347	0.602320696805	0.570489421497	0.615171770936	0.643183890846	0.669383156278	0.734284204762	0.640222666374	0.645604466734	0.630981763408	0.629609573223	0.65269741548	0.562131223442	0.675625273821	0.661738411008	0.6161410873	0.658385581414	0.665798550276	0.74438501472	0.668644012771	0.611959927035	0.523618371704	0.62037959111	0.550062764286	0.497042607378	0.486769425608	0.493757518959	0.531555742999	0.494424783919	0.500621023751	0.467160286757	0.472727678043	0.435289888325	0.461611105479	0.717245670461	0.529780403708	0.431904390748	0.455427022059	0.466288339395	0.471064605859	0.486569392396	0.461489893267	0.47318234456	0.443793784458	0.429241941694
L.006.M1	0.639996273448	0.592038865316	0.542374694324	0.640790893311	0.546396337537	0	0.593020669065	0.59838336168	0.527588215376	0.55094821082	0.559802288813	0.547472997035	0.571088093887	0.540316090503	0.526263023648	0.665331755826	0.686293438329	0.63631687802	0.60621272685	0.753867611314	0.616621392052	0.670333805595	0.677080745179	0.553572581136	0.563693555179	0.597371359828	0.685679408667	0.591345755418	0.576719487932	0.653880382989	0.707022680686	0.66034033129	0.667537762002	0.753623898891	0.644735391729	0.682550175276	0.687391473023	0.669384259223	0.581900156508	0.657484039625	0.618075297364	0.644963014206	0.601187966795	0.675333799009	0.524283243517	0.690941107108	0.596263760443	0.664145190294	0.723038236337	0.71140913004	0.654105412519	0.602366658293	0.613404042541	0.669872793823	0.737522806072	0.647517760145	0.68290827518	0.665461904375	0.660076927683	0.668598170634	0.569764270869	0.585822704181	0.629690125381	0.579854308432	0.698141060349	0.629581671211	0.754875787165	0.674380058722	0.506759304267	0.635312475239	0.542124098975	0.547882172525	0.56800175493	0.622661567893	0.565959154519	0.568231533387	0.571200084767	0.547702141782	0.533881899534	0.526504005876	0.540462109193	0.529578059047	0.542882146732	0.516361800396	0.564186227859	0.552975569548	0.533648441292	0.542582053461	0.56668996003	0.531604353639	0.544848622274	0.603943301413	0.559910232991	0.558039269075	0.618471363068	0.529184580651	0.535511485355	0.568132637211	0.622834677635	0.546154926991	0.647582251515	0.581938432435	0.596381073521	0.712206165918	0.617316026997	0.617033391581	0.692202702338	0.754373295955	0.71648006361	0.669217531629	0.602653633284	0.687096550545	0.709566949283	0.619589245113	0.662459409289	0.616620781508	0.686745744404	0.677432825384	0.686327108812	0.631844066274	0.653315198067	0.633354820679	0.537294726388	0.770694654051	0.605423599255	0.57575523328	0.67084937419	0.667799014615	0.67097727701	0.729726951314	0.634529460237	0.649058561634	0.669774346021	0.646002209073	0.662443645633	0.603070953743	0.670021987503	0.671529844301	0.610765642834	0.674322065468	0.672944901307	0.734998702929	0.640164666762	0.6301028626	0.599491722036	0.650211974477	0.562646938903	0.575993364907	0.53915660019	0.549117064394	0.606359652416	0.609023514565	0.569037730458	0.544756245203	0.548613004428	0.554043591833	0.540340889819	0.722144512963	0.608658049667	0.551043772867	0.528122640414	0.57675568069	0.572236776728	0.584609158596	0.577538327576	0.540704601311	0.57681291461	0.529474889538
CS.016	0.632999923812	0.537298060328	0.600187991519	0.642551328269	0.590124966091	0.593020669065	0	0.579280332076	0.580896483888	0.583765090654	0.588493583024	0.606935313467	0.589712087914	0.615694489319	0.614063641522	0.592573502945	0.65732927946	0.591229951306	0.629366623315	0.721375838548	0.627251509872	0.631213633954	0.607080250796	0.585026777045	0.572053646588	0.578446320929	0.598955758413	0.613296605206	0.59145049721	0.641161433029	0.664083259894	0.615957443602	0.642208843528	0.733857599994	0.61207063463	0.6516505002	0.649316419356	0.654540626713	0.577683630944	0.66210547502	0.600109296004	0.601637426861	0.578482592248	0.652221308205	0.565320826132	0.657099908939	0.624911332743	0.651666289374	0.697259561596	0.681871742023	0.634210334261	0.594234955117	0.625327046494	0.661134024333	0.695823947557	0.645542449714	0.662751349075	0.616847506991	0.645510339795	0.645708503556	0.573954326316	0.619359487504	0.644022309499	0.59127952881	0.688703766629	0.604060870855	0.709305782959	0.652895544703	0.575303628952	0.58340748745	0.574172264343	0.580460450084	0.618272466284	0.602129450752	0.644806057013	0.620473091717	0.620523094445	0.615242184854	0.561839989105	0.596995174527	0.593281452609	0.618094590074	0.583828694688	0.621338766197	0.591045585036	0.619051762553	0.57159596946	0.604771526091	0.572567013706	0.585602518772	0.559643371243	0.556098067152	0.576682890501	0.584033411311	0.616913611921	0.557291061649	0.57312613984	0.573992798115	0.620104322853	0.568838199264	0.604645279337	0.548382705401	0.572508006018	0.664208183816	0.6262359821	0.629938219053	0.638636432343	0.723657631673	0.631828000674	0.642796858737	0.549478018746	0.666280417483	0.658850246041	0.58187156936	0.64623083406	0.557853879011	0.636364435056	0.649854149065	0.648598677193	0.632380180759	0.599623705811	0.572135317564	0.553109976975	0.728673013442	0.561099281106	0.600627705727	0.637243254236	0.61930981213	0.679071130376	0.6721062133	0.584129128738	0.598624495691	0.624776101339	0.62670967639	0.64142626271	0.60407462197	0.634565680118	0.656417443786	0.614726066194	0.622966673366	0.637807815075	0.719836460814	0.621986977534	0.617308767954	0.583440196104	0.645927960491	0.609435069697	0.574159577417	0.614235348648	0.559554523557	0.595997197153	0.58311191913	0.607918741027	0.564780411193	0.614542965345	0.602350401786	0.601554701271	0.71010353854	0.603885833483	0.610168879025	0.604866346076	0.620612954388	0.595484950372	0.580755380903	0.62227547601	0.622723540943	0.595448015492	0.583365120751
CS.199	0.601260064106	0.535616580914	0.633399744176	0.634845943741	0.604455841895	0.59838336168	0.579280332076	0	0.614759797384	0.601298062652	0.621634031197	0.634016795129	0.602095386027	0.632803888633	0.617875595514	0.573391991455	0.655239220565	0.587910012948	0.631152029576	0.719713808913	0.626367654049	0.606757958202	0.637774142415	0.596823434315	0.602675054218	0.568680128705	0.601005621724	0.581629972425	0.561442488836	0.629362702551	0.68486160329	0.603099621673	0.639988632638	0.706760278706	0.597177208217	0.654730102182	0.63845574302	0.62449768669	0.584580695728	0.6350638884	0.603720052991	0.548026383757	0.612157095118	0.658283293695	0.604442640917	0.654857803094	0.635939714192	0.644155031069	0.696026936732	0.689327854586	0.643746228279	0.596354432528	0.624872416681	0.658803240876	0.695822979571	0.63952679003	0.671174548661	0.639801944448	0.662623958042	0.637623173818	0.590648870388	0.634174269517	0.622548006332	0.614347242105	0.645218412218	0.629659291621	0.718452166295	0.635856535851	0.631614353627	0.626584024502	0.625372085267	0.598118511057	0.643159134483	0.571337435561	0.64541575171	0.630724269695	0.664093657561	0.653813505899	0.610694919719	0.615377974392	0.650789207896	0.637562597821	0.616068841665	0.630705615487	0.628799369935	0.666227822475	0.615196979132	0.624415793622	0.615054158859	0.615093782611	0.618680638419	0.555581932616	0.593181509471	0.601155403553	0.625312986016	0.60049058216	0.603034969506	0.578891969414	0.617314140507	0.570239699128	0.568006168836	0.56645435742	0.600518049702	0.678678116747	0.59652177216	0.617895272234	0.60035435341	0.72041234171	0.643942067149	0.654619940948	0.565034016057	0.654970397671	0.660350175563	0.604025538685	0.613555731244	0.57887135707	0.612749525066	0.651616471903	0.661812497248	0.641124854338	0.6116597618	0.564071554862	0.592194470918	0.702891530032	0.562319116841	0.605425314656	0.621465802655	0.626895729219	0.640938288166	0.65250471532	0.585920331157	0.555415561354	0.637723208704	0.630833952255	0.631294094021	0.620759032687	0.623909084197	0.656978881294	0.610805932314	0.630533770862	0.648630437278	0.705111667653	0.643712456416	0.628495948372	0.606257587353	0.646783584151	0.614461920654	0.598715768971	0.630189830842	0.596110377598	0.615133753466	0.590359767158	0.6107843474	0.595168972353	0.612901198154	0.606867230954	0.607582137595	0.696174146769	0.582017489309	0.637752128141	0.628282992401	0.630355366311	0.603835988073	0.605347169712	0.629229957714	0.63006497408	0.611973555548	0.611706045047
CS.259	0.636557543144	0.568263715411	0.417334181086	0.649811087563	0.460420785028	0.527588215376	0.580896483888	0.614759797384	0	0.523678840926	0.560284882463	0.483008122715	0.570740716073	0.424739722273	0.449527879233	0.649973804888	0.668122409476	0.607335059711	0.624671228653	0.769871626146	0.590478134385	0.694395577888	0.690365287483	0.529598350887	0.494303638569	0.585692047632	0.70597175228	0.582723463892	0.59814547041	0.682485534719	0.678307828306	0.646007030729	0.652660558006	0.753951960916	0.663641789472	0.689656095462	0.671507234407	0.715249928418	0.562125351538	0.680394144006	0.626083822604	0.627198358804	0.584768262467	0.670624302113	0.534160375004	0.6879333355	0.569829563382	0.688265691436	0.74459764694	0.730516164689	0.631133769864	0.598696583839	0.599423693528	0.664769469104	0.718882293262	0.63963334045	0.665184696727	0.635472988688	0.640587610573	0.642491771328	0.528213218784	0.551354873595	0.626352616194	0.555960052586	0.706116970142	0.569460382752	0.720861288026	0.607503817547	0.466519881813	0.618096703719	0.531931785541	0.507581007395	0.560836059564	0.539732926844	0.508309798205	0.547277829627	0.543594105354	0.446941477718	0.488980225943	0.48725192736	0.461448896021	0.489747957587	0.473094839146	0.531933842338	0.468183719738	0.457869816399	0.495504881095	0.511647957132	0.585471237002	0.509821644788	0.515664571901	0.577905848068	0.572840851721	0.557246303986	0.527411454417	0.470631985959	0.530888694688	0.563109951163	0.63304933174	0.551822380851	0.66641813033	0.559654750858	0.554888657435	0.675496017279	0.65679625249	0.639401022611	0.697251905519	0.741145320254	0.701150384379	0.597968136949	0.531848168371	0.682719622179	0.645643842497	0.566292477595	0.637615585498	0.592012539392	0.695864847802	0.643569046156	0.649943061192	0.650575950448	0.612832949511	0.654761567805	0.510768768465	0.776455105728	0.599621348378	0.582954242005	0.66094230957	0.662357768254	0.679401396401	0.72758461425	0.643361837387	0.647604274254	0.641124647702	0.638569567436	0.633739844272	0.550554636321	0.671805190317	0.645513768193	0.613743460007	0.652326138088	0.631220257338	0.734104648151	0.635459983023	0.617899625141	0.522203863603	0.632475907819	0.558344737574	0.525834676595	0.471521875104	0.475284558907	0.551228364421	0.529186995337	0.519619482044	0.491092508396	0.463650436291	0.460098041644	0.446846556424	0.702162720764	0.541131324771	0.435962724149	0.469096254859	0.471359420064	0.478005637288	0.51703901961	0.489515160373	0.469530958135	0.505714589185	0.479599498093
CS.093	0.685517904349	0.534526750202	0.525587154352	0.682926760384	0.534248899333	0.55094821082	0.583765090654	0.601298062652	0.523678840926	0	0.51834649254	0.503930090097	0.508937077341	0.531114038859	0.542755528247	0.674132803211	0.670029109896	0.608388416402	0.63896632667	0.778957279203	0.663474901429	0.678728926677	0.693711308474	0.580608735303	0.503877172987	0.542204567082	0.672054673619	0.592037163045	0.562615258822	0.622581535729	0.740610436104	0.689218273257	0.704236536191	0.775823503213	0.649397786755	0.695866983798	0.707297243978	0.701612388524	0.529728813711	0.684294348461	0.600523112729	0.614503560526	0.6427383109	0.701923083898	0.580154498079	0.713817832874	0.615658049486	0.672222873216	0.731970680842	0.747541488817	0.662520082547	0.601125002863	0.620961160039	0.692719441078	0.751521001785	0.679218050776	0.698792613298	0.668551179526	0.654910748377	0.69235759388	0.571511204534	0.601855750379	0.667565591131	0.621865796535	0.721671522328	0.672913405699	0.736566618934	0.696677897617	0.504056104431	0.628858455938	0.58797808348	0.567027753357	0.529041311398	0.640057512885	0.515312274318	0.510422657018	0.538916769206	0.513739836196	0.565133954774	0.483403342072	0.510216828004	0.507307463374	0.52866840433	0.511995866619	0.577844792966	0.507038208243	0.535323269098	0.475247264561	0.551793698279	0.568250269087	0.543155262385	0.575163221736	0.60943285382	0.474253455617	0.578787329484	0.511781879642	0.534547845778	0.529742914861	0.66097763812	0.493133332099	0.624016845823	0.557027654112	0.563027883995	0.70628813445	0.610751062034	0.627701633957	0.696795126996	0.789687478971	0.698152197633	0.699776644711	0.578008763651	0.677008802172	0.695376778344	0.643804480814	0.684712780994	0.616439074994	0.685711573015	0.643912225561	0.711116424396	0.67073008342	0.678127376845	0.620773495954	0.580704680176	0.78818257126	0.603747678442	0.586557438897	0.704346484241	0.690225216764	0.700282918188	0.734553220726	0.616083690469	0.616498200365	0.653531494452	0.704975311819	0.685178954357	0.6259311281	0.664407564803	0.690691511727	0.624636683078	0.687540312688	0.709393396917	0.742820708354	0.68096369645	0.642800186071	0.615300882009	0.673564362317	0.520746472906	0.573351415394	0.528555865275	0.577076445436	0.658802575805	0.643999233895	0.567273748218	0.572267050662	0.514347646537	0.576154051546	0.505616869353	0.726988593482	0.618876827628	0.557658623022	0.510557511102	0.594337332565	0.554998887096	0.54848347744	0.605387506183	0.509056975812	0.568197041493	0.537334532118
