CS.143	CS.244	CS.261	CS.005	L.036.M1	CS.019	CS.219	CS.176	L.008.M1	CS.035	L.004.M1	CS.002	CS.021	CS.098	CS.293	CS.365	CS.335	CS.155	CS.290	CS.230	CS.127	CS.117	CS.327	CS.368	CS.171	CS.367	CS.366	CS.077	CS.137	CS.076	CS.128	CS.282	CS.205	CS.232	CS.236	CS.125	CS.376	CS.213	CS.302	CS.380	CS.136	CS.041	CS.224	CS.378	CS.126	CS.254	CS.395	CS.147	CS.386	CS.182	CS.183	CS.181	CS.268	CS.148	CS.166	CS.385	CS.369	CS.178	CS.129	CS.177	TFS.023	T.CS.062	T.CS.040	T.CS.038	T.CS.042	T.CS.014	T.CS.050	T.CS.058	T.CS.007	T.CS.071	T.CS.048	T.CS.056	T.CS.067	T.CS.023	T.CS.069	T.CS.107	T.CS.114	T.CS.159	T.CS.124	T.CS.105	T.CS.112	T.CS.120	T.CS.108	T.CS.102	T.CS.131	T.CS.161	T.CS.147	T.CS.180	T.CS.121	T.CS.132	CS.015	L.024.M1	L.034.M1	CS.085	CS.238	CS.006	CS.088	CS.087	CS.242	CS.356	CS.241	CS.082	CS.110	CS.246	CS.103	CS.113	CS.346	CS.274	CS.189	CS.187	CS.233	CS.212	CS.150	CS.191	CS.228	CS.358	CS.151	CS.207	CS.387	CS.044	CS.158	CS.227	CS.112	CS.319	CS.285	CS.163	CS.152	CS.223	CS.194	CS.318	CS.322	CS.320	CS.331	CS.080	CS.361	CS.255	CS.262	CS.270	CS.370	CS.326	CS.393	CS.145	CS.390	CS.253	TFS.025	T.CS.055	T.CS.036	T.CS.026	TFS.022	T.CS.066	T.CS.031	T.CS.064	T.CS.049	TFS.020	T.CS.045	T.CS.061	TFS.027	TFS.021	T.CS.043	T.CS.109	T.CS.151	T.CS.166	T.CS.095	T.CS.142	T.CS.141	T.CS.152	T.CS.158	T.CS.157
CS.143	0	0.652949449308	0.568475777979	0.56561224287	0.56277391652	0.552402869661	0.551145449669	0.581006902305	0.59811893082	0.579242241021	0.595695944299	0.56199051453	0.569093861881	0.579825351221	0.605522702749	0.577467768617	0.716304535766	0.565967354326	0.623819529544	0.657566132675	0.581767131453	0.593302663551	0.611885346186	0.573987245308	0.609404627289	0.685582437149	0.683304722444	0.584769614429	0.593949321687	0.5866464308	0.578152075919	0.647320485904	0.670342992597	0.554899981273	0.647495426172	0.624732721354	0.609236318858	0.643759330851	0.685035377224	0.584991478615	0.585470116585	0.619968087739	0.719400910477	0.676179837869	0.572440922412	0.621679407797	0.635709812932	0.625086494529	0.680212952431	0.59224960337	0.69262745573	0.63257282964	0.636832258347	0.675940942575	0.676382016283	0.621861062415	0.684439933499	0.59934528554	0.604223414176	0.638739508423	0.630572714573	0.564845992762	0.578220824932	0.582059556099	0.580706130063	0.574649369345	0.62879826203	0.595208360334	0.635240970812	0.594675854066	0.566787512192	0.642231779563	0.597651233435	0.719158352777	0.595196729978	0.591279279989	0.616997384797	0.624299341361	0.592557411455	0.631240906152	0.584556873821	0.556871975907	0.608548781008	0.605371819249	0.580316636638	0.587159326245	0.613788448129	0.598056995794	0.575135803683	0.595079676129	0.613372020575	0.611255107138	0.552814781555	0.469716208634	0.537264167648	0.538704225787	0.642079040353	0.615632607843	0.558918045956	0.656414022342	0.568205575416	0.586364204813	0.576258521545	0.573848275574	0.55224460121	0.602822849561	0.681443395152	0.643033461572	0.633109733668	0.612095399474	0.584039049829	0.676538446414	0.566088325937	0.609132006185	0.579878656792	0.729188288766	0.587995007644	0.657277086301	0.589036136935	0.564971520209	0.583650997317	0.733400099999	0.602192044735	0.61096026738	0.657668875437	0.610142036691	0.566251623708	0.612808533153	0.715803066207	0.61525350748	0.653753700682	0.595736931316	0.566961074925	0.578221973394	0.64582797245	0.595721656854	0.624936023256	0.622025465529	0.608451182222	0.623392361507	0.654504711957	0.607470893604	0.632712446651	0.708885957662	0.606461903207	0.589885428396	0.581260407171	0.689277455945	0.583596118282	0.592396219901	0.595766606447	0.565169085275	0.621304215482	0.583994077303	0.613656019243	0.594320053734	0.591252171354	0.616572747009	0.62282093762	0.5967031761	0.605284267555	0.568942947461	0.608526341551	0.635306717067	0.62502585565	0.59071812923	0.577155158703	0.606844014458
CS.244	0.652949449308	0	0.650151096393	0.613890750754	0.629898655111	0.644208943775	0.626188668091	0.713635083035	0.700766911999	0.639162401986	0.674045605335	0.603237734615	0.706044256688	0.650427476228	0.652314910981	0.661756478343	0.775569938561	0.712136766892	0.74385969547	0.726263604722	0.695274259019	0.624513350933	0.611173884894	0.681302218685	0.587329032759	0.736711948674	0.75654286177	0.649562727958	0.728308350644	0.642982308676	0.697668670977	0.759624060601	0.781858657961	0.635186776856	0.715727968228	0.738808595499	0.730426513043	0.729035309584	0.769219025338	0.69780066151	0.663828655128	0.676026025416	0.772240088393	0.648783586055	0.69899188571	0.723772798833	0.700022428467	0.7161954895	0.707281266066	0.710325323932	0.740894557574	0.708583019877	0.683021974465	0.702634830703	0.735963649771	0.721829827605	0.73956133813	0.67785430545	0.621132156758	0.720382737715	0.715116377894	0.628082012085	0.638127667602	0.636167712419	0.653052491612	0.662224120215	0.631359550726	0.644971360638	0.720051693323	0.693333562117	0.644789950892	0.60466556469	0.664241744117	0.755097386206	0.71970294483	0.680431584895	0.574951748442	0.626910937857	0.570479585533	0.627045035945	0.661470942496	0.654278397102	0.658600626814	0.648670259712	0.681665148664	0.601904075986	0.654389262487	0.60538800245	0.698633826409	0.672577099701	0.642101809161	0.635049522471	0.637973158821	0.589427671337	0.636586261455	0.607812825098	0.673104869942	0.621725419759	0.629301778608	0.715356863333	0.651360588902	0.626062214953	0.650505874128	0.642865836815	0.629868790159	0.655067970647	0.753475198568	0.740253009312	0.673960864776	0.695124842606	0.588450913274	0.725526858198	0.627268258646	0.658564822731	0.623968486774	0.789162995513	0.697676190082	0.688757740756	0.698995564098	0.656999311309	0.640622462094	0.780235719256	0.636912278068	0.749736603922	0.749391820632	0.632986766853	0.680946605348	0.718900128457	0.784903119674	0.74412855931	0.754203643787	0.691561494273	0.673891681017	0.643272447345	0.712998997996	0.699021059071	0.710914767394	0.711238916043	0.713252116588	0.685607547811	0.679401476596	0.720374387816	0.714337069713	0.727559821824	0.729295571418	0.635948299579	0.59085847062	0.740755688525	0.67564328206	0.649346456054	0.642451969519	0.641488116169	0.719447921783	0.680982054281	0.673817570494	0.710142472591	0.697266307778	0.682997019056	0.691851219051	0.658022698504	0.644225361824	0.689413597157	0.650844019576	0.682813836676	0.642195837822	0.664244575604	0.663050564446	0.618865765505
CS.261	0.568475777979	0.650151096393	0	0.489611337414	0.504067465423	0.531942055468	0.576598908663	0.58211747603	0.672140763203	0.533054459067	0.444297428181	0.602803418797	0.628773268669	0.464316562615	0.448098941508	0.508595274295	0.767571315212	0.508148490018	0.665571445009	0.722408904058	0.533128542702	0.570375378954	0.578290793189	0.492836659267	0.598708131471	0.752069688268	0.725530799689	0.555812618515	0.494286004589	0.658147435232	0.567020928698	0.681815818634	0.681142434172	0.535440492768	0.692364716699	0.650026751358	0.641578027766	0.686882116975	0.731915718775	0.487904683179	0.626186940475	0.671419355701	0.75095069792	0.701281427711	0.497575250761	0.64193212862	0.62938406921	0.643900155678	0.688117584807	0.569290490125	0.737150772867	0.615404201146	0.665096169895	0.67130549369	0.670463599372	0.642754857581	0.743128702745	0.562694379427	0.58826191901	0.668572470474	0.568100801386	0.455695061488	0.440821572701	0.493267311927	0.459211390256	0.541701877717	0.574550021134	0.531371613687	0.633942850233	0.508630729064	0.512374460869	0.630844195854	0.51689788211	0.756009192308	0.535891513004	0.440553721435	0.513930150427	0.477473486571	0.470712793088	0.533359930592	0.512139152001	0.493854079728	0.403576623605	0.498751294319	0.435948098755	0.513344080693	0.435000980272	0.538055381759	0.483399199796	0.447522667481	0.57550605518	0.543752577749	0.56682795362	0.526180203405	0.560919325882	0.537829684745	0.654520868128	0.614294025458	0.450719724763	0.695474227463	0.467918305707	0.531190047929	0.637530738902	0.484684838303	0.54529703333	0.535824649219	0.769127088281	0.669337536288	0.631250337202	0.614775919441	0.59654357319	0.661804593217	0.559225941692	0.464075474584	0.625225449576	0.774488044235	0.586385535566	0.684998164424	0.583448369764	0.537831703384	0.65820840283	0.794261194978	0.649687824802	0.648895764802	0.745832673254	0.663268758166	0.489940977743	0.641023755058	0.744904334743	0.652424802453	0.676978940658	0.575593951751	0.549974958651	0.605505609708	0.671942001461	0.571597340837	0.657402000411	0.649763299232	0.633697705337	0.612955946508	0.670767440846	0.562510996776	0.650438168035	0.745963036413	0.569631745288	0.506820680179	0.540943416318	0.713482224678	0.446366446324	0.474622634249	0.511280034602	0.47104285723	0.65264670944	0.445898776696	0.54525751286	0.56380664533	0.489212081618	0.547592859635	0.523484910655	0.445667995597	0.48703014761	0.482145120634	0.459838475378	0.55424064956	0.535310198058	0.495062000328	0.437324063138	0.520367834134
CS.005	0.56561224287	0.613890750754	0.489611337414	0	0.557485901687	0.553448562955	0.536180452301	0.605268187307	0.687919707525	0.537713996434	0.505838330117	0.553697722236	0.636943954241	0.49470383278	0.493616404983	0.54971096065	0.777241589529	0.567531597053	0.684162825507	0.708958746836	0.587905464431	0.545389540292	0.610749260826	0.524699087387	0.573783780932	0.753729499659	0.748001844578	0.572230429714	0.576077630242	0.623937534248	0.606233448657	0.695782217174	0.729427919259	0.482129584987	0.696682025911	0.682192160574	0.687984403573	0.690160639771	0.737061096974	0.555968001893	0.60928701007	0.653921671385	0.764691881125	0.702298640674	0.552895552678	0.665122506984	0.651058558233	0.673768849526	0.72182838909	0.603862358106	0.745878871215	0.636674977814	0.665860806574	0.6952763602	0.696405418836	0.657496716398	0.736426032152	0.612543719661	0.590098344385	0.698028597651	0.636419741337	0.536540606804	0.519347682992	0.482844346619	0.503103041874	0.573240378722	0.617344023114	0.583597117174	0.661152921489	0.542161451705	0.58556073712	0.649541800674	0.578503018809	0.76215304153	0.592622828094	0.503814877623	0.526032739326	0.474632083076	0.483216710548	0.509100887412	0.57481369994	0.562331818911	0.468165583004	0.552903109536	0.496878197923	0.496411419336	0.503533811762	0.542587142426	0.528863561598	0.491892434429	0.589131619684	0.577737880826	0.594722536511	0.475794766895	0.553443508755	0.487759724562	0.680795921033	0.602856483996	0.508859392581	0.704058332013	0.520953473855	0.475202275758	0.617980263878	0.496909484431	0.53151213506	0.596865177017	0.743942201951	0.695199569437	0.624849909148	0.643265242944	0.522070075927	0.68428728707	0.544090960233	0.518547857749	0.587227833908	0.771303626173	0.596914590281	0.679223269815	0.638668183162	0.564990332404	0.623893921155	0.791193872107	0.63115376853	0.690013985892	0.725660222675	0.634336233368	0.538515685973	0.661261559655	0.767361967557	0.68533520938	0.71009069073	0.617663205555	0.565080542143	0.590912125749	0.693361161559	0.613595519464	0.694341472258	0.679187551212	0.676309148797	0.628851702392	0.677335043267	0.613431729508	0.665214088314	0.733276634689	0.624296275419	0.577549188528	0.513874523522	0.733492962004	0.503237796916	0.527411251761	0.574620307484	0.568157144735	0.66644007955	0.507986878208	0.602841181095	0.614482717945	0.589803023554	0.630055747352	0.586029128237	0.474145586292	0.551379632346	0.534363721291	0.509881188648	0.611081014461	0.596193053416	0.532992500351	0.516698064889	0.555515911827
L.036.M1	0.56277391652	0.629898655111	0.504067465423	0.557485901687	0	0.539692740059	0.627147575365	0.595263579491	0.641801240575	0.57257495811	0.532237438647	0.593520600551	0.615996787576	0.544331286248	0.533125809606	0.541905606437	0.73095299274	0.576590160437	0.670464398616	0.691546601421	0.545552883099	0.58693286125	0.572868940676	0.544531022408	0.597467928265	0.737355182227	0.695678125122	0.577664772794	0.52998788868	0.662706407422	0.572094633948	0.67817595589	0.702895557865	0.583512629802	0.6896690477	0.654566318707	0.644682723371	0.674439475343	0.72356204298	0.542272417082	0.627883314343	0.626612369036	0.769770300886	0.693782967234	0.524758275464	0.652646005796	0.624507443707	0.650187835902	0.716895847591	0.599266858837	0.713434337234	0.636153404088	0.670865763127	0.671562910401	0.6606462127	0.654519561402	0.709493831982	0.560034780815	0.6079734458	0.683468579879	0.584884445723	0.503391110061	0.53914252299	0.552781450767	0.512401058093	0.555299365668	0.567640054603	0.533578595959	0.653873198598	0.53351034604	0.521625733898	0.609976278677	0.544101645238	0.714415121686	0.554534571263	0.506344135842	0.556002757173	0.581725778515	0.530322843661	0.636232758936	0.483427035269	0.507921965796	0.540927698451	0.571363890131	0.509779061319	0.553145561511	0.525800355849	0.584764757343	0.53213583887	0.526480166927	0.554653728581	0.592929920271	0.527520530964	0.564179708488	0.592475157538	0.551210330141	0.625110446501	0.595323308728	0.492854289312	0.691764267007	0.564649793596	0.591114398863	0.637370273797	0.548666032605	0.592623178049	0.5693136858	0.771804480691	0.67945648869	0.680576612386	0.621620297277	0.627781181172	0.65572655477	0.591624892044	0.529936852254	0.609398810278	0.745850511127	0.597680352222	0.689253317995	0.570293443891	0.529931829785	0.644088625647	0.779841184931	0.620539006941	0.644148703444	0.726202993109	0.642947119433	0.537278333144	0.644839229353	0.74044821777	0.649816892307	0.670737910024	0.585991855504	0.585396745433	0.628409313024	0.648353361189	0.626234527641	0.633980215393	0.638757171951	0.626736941878	0.630707237971	0.636096439851	0.574082733446	0.655887518241	0.750035629418	0.569814950435	0.525206511778	0.574398770253	0.70615887665	0.511182683537	0.527024370154	0.528902186264	0.521282460504	0.629902054819	0.527645259077	0.578257582603	0.551454114614	0.507677887176	0.581165869308	0.507172769001	0.516339244908	0.489533765232	0.547286955248	0.504175435656	0.548375896469	0.538707107074	0.540515522907	0.509061666858	0.524567006214
CS.019	0.552402869661	0.644208943775	0.531942055468	0.553448562955	0.539692740059	0	0.568366685883	0.554528489893	0.651108684527	0.550807168097	0.54743625945	0.546409454574	0.579399948573	0.559861319536	0.53330679123	0.496371435279	0.727808550101	0.576795428911	0.627459528719	0.657580891792	0.56085728249	0.550828603757	0.583913002448	0.51978208017	0.56647537969	0.704612179752	0.688963451222	0.540795230917	0.53555878418	0.62044579291	0.558340495228	0.659407357316	0.681576136246	0.560698537932	0.655627878915	0.624229417227	0.622621867051	0.648284775743	0.694883075206	0.527708415614	0.593889143253	0.606276820194	0.73758629409	0.671629680456	0.538408620813	0.63453710431	0.617049616236	0.635693635669	0.682898422096	0.594311639273	0.697482935671	0.624051116915	0.642516200606	0.675402041392	0.663900503698	0.626410265064	0.714343191545	0.574115143506	0.594786419393	0.653075747613	0.563487411801	0.491629305147	0.513759598916	0.585883442339	0.515174878642	0.577940489816	0.571600556529	0.532454888029	0.630838451596	0.549390740996	0.539388317568	0.582627277176	0.537229722873	0.742291693156	0.574960659703	0.501360102114	0.586976971429	0.610593498619	0.554158797891	0.636390450845	0.518103133	0.489657672433	0.57724245157	0.562426021194	0.525878499804	0.59518994158	0.562569432762	0.566206515499	0.531375597291	0.59241599235	0.565751176174	0.554797162494	0.554810679572	0.558069176768	0.53107264243	0.508015395131	0.595124258312	0.559447018864	0.525409849156	0.674343880596	0.525681999336	0.575465845119	0.611709229843	0.522954754439	0.554936010678	0.508953891044	0.718124735001	0.631755875129	0.650595563934	0.592258225875	0.605667621201	0.658874722395	0.601172465132	0.539039031845	0.584657824865	0.719658590327	0.583478287374	0.670536187381	0.570236563719	0.523628037752	0.606547228358	0.738646081871	0.584372968623	0.633340175294	0.68418758291	0.583149953933	0.533061041115	0.633202927314	0.727121730672	0.635396963168	0.659082298322	0.587708777339	0.58850458855	0.554890016642	0.624075885426	0.601993637432	0.651505965019	0.65177387175	0.616667846911	0.63348189029	0.651328826263	0.526043946432	0.632897313542	0.732808055917	0.550633117515	0.545340708308	0.558785927662	0.696156450474	0.540747971458	0.538799573187	0.532485887945	0.513299369971	0.63208914031	0.541295583131	0.544950546548	0.565681226364	0.516024132792	0.57583481917	0.538948386397	0.550048047669	0.528183227511	0.526337861131	0.570124114215	0.570157730529	0.562244927263	0.53395252758	0.520318784681	0.550767853938
CS.219	0.551145449669	0.626188668091	0.576598908663	0.536180452301	0.627147575365	0.568366685883	0	0.575426464364	0.654487469599	0.575553504773	0.625687496064	0.558436034835	0.572355172589	0.566098170814	0.614960979494	0.581981827132	0.738827952544	0.537436770506	0.641006508093	0.65838889185	0.573412460719	0.585570431737	0.627878953196	0.558436616024	0.562802766245	0.691967036803	0.692709225902	0.56834965857	0.595450355335	0.556607089377	0.580040693217	0.639777386895	0.671184056966	0.504795962751	0.599137235861	0.629300096612	0.61118113097	0.637210329833	0.669255979053	0.588531080315	0.560109589017	0.585756591755	0.729581726163	0.642110034375	0.576580410319	0.588164456462	0.580047655381	0.618768816598	0.686526898145	0.550047791073	0.674900515034	0.605751111126	0.62089546094	0.678975536651	0.633361408376	0.574548842647	0.666572080084	0.598374728101	0.603375731887	0.657075952023	0.653065251396	0.585490185085	0.552727707261	0.545306123558	0.575488270161	0.564456678657	0.606317367671	0.613600519959	0.656736098825	0.621513505603	0.601321393732	0.645721068462	0.604649534771	0.725491642361	0.599729598086	0.602828629093	0.583731001428	0.593378274532	0.554965328389	0.530098688533	0.632967353525	0.600401826132	0.603716864409	0.628651453495	0.584915426236	0.563111366766	0.614632240906	0.548370988932	0.582056076418	0.581468719653	0.635943629438	0.655532240541	0.617495768773	0.506189469937	0.58178344036	0.582438685312	0.699967302814	0.624642704299	0.557231397878	0.679573870861	0.574479069201	0.513315482969	0.58973508173	0.55669897662	0.558830578107	0.612405616681	0.666774236144	0.652586345451	0.599871321995	0.592927627634	0.550751897113	0.680731290936	0.551838510233	0.591565589511	0.565944772857	0.719959204884	0.565360426652	0.63342829323	0.618092818983	0.590294112189	0.567411934843	0.731983355928	0.557799645702	0.622861056716	0.654658086917	0.567802421553	0.562060484546	0.611961911708	0.733679660073	0.616493049477	0.658471314928	0.601447220875	0.525204537357	0.565847609479	0.64703343959	0.575352590903	0.639298637839	0.619741865047	0.613598554987	0.58739124702	0.629851934776	0.595709683547	0.609548738056	0.676155512594	0.640178387137	0.618164385362	0.547731108922	0.677608949745	0.591350291833	0.623182806034	0.621363692134	0.61153139791	0.652626236112	0.587952878262	0.630449172428	0.645153645836	0.642767336988	0.6572709713	0.634055157073	0.606239335417	0.655555675514	0.593603403003	0.62431122188	0.694860168978	0.680276534096	0.581891073931	0.576041876682	0.619989546161
CS.176	0.581006902305	0.713635083035	0.58211747603	0.605268187307	0.595263579491	0.554528489893	0.575426464364	0	0.625510658022	0.584025429114	0.61752738807	0.594224071486	0.564904940011	0.617872317934	0.635103318473	0.55289101738	0.706737517316	0.579336913105	0.579852966092	0.628965016411	0.537984961112	0.608562749667	0.652977131246	0.525590224925	0.595748806427	0.681813823219	0.644696489084	0.534879610009	0.539266594178	0.609026869072	0.521197464821	0.593846086623	0.616374698028	0.577509430928	0.646137465088	0.576773681589	0.575577352324	0.626805424677	0.656333489588	0.580833019238	0.561879331367	0.616182395763	0.69910548119	0.689550781244	0.52032531896	0.540245943934	0.555828692828	0.601183682989	0.682685991432	0.548651688859	0.643401647924	0.573872789941	0.606030589114	0.658042634182	0.621384222216	0.520005757187	0.673147470738	0.596783770111	0.606336378299	0.634671206313	0.591632482837	0.586812613246	0.575585780613	0.616989062786	0.573628363549	0.594602175166	0.619526469145	0.573408892161	0.630561122874	0.559467974631	0.585019475529	0.662368955844	0.578959333611	0.70159387674	0.53821147621	0.571278007273	0.655933458158	0.65973821661	0.612121360374	0.658493673336	0.571788301528	0.560976907556	0.630998652612	0.639011481724	0.560003711866	0.630242128252	0.630066475693	0.601213276752	0.552766019976	0.609707542223	0.645265271163	0.666178011488	0.59947753294	0.597233423149	0.586402626764	0.578935189087	0.65500374691	0.61280732567	0.569393940022	0.66340510581	0.602472060663	0.569922684816	0.620025202428	0.555432931245	0.577222123054	0.567435327892	0.669637080565	0.60684077719	0.638397634723	0.561779195249	0.635460330638	0.613630779782	0.603281764475	0.590575722974	0.543545855206	0.690649047224	0.550554946776	0.641285233645	0.532268958835	0.544668715962	0.595397047232	0.698006980674	0.612091406155	0.559553122949	0.628075019517	0.579016808335	0.505557579782	0.561962622688	0.691599177451	0.57601795535	0.605454790067	0.573760841616	0.533966082647	0.596751428157	0.591303029721	0.546945519018	0.639637939046	0.617122875556	0.547244156585	0.594967079581	0.577497790174	0.485874913979	0.588988503485	0.70470994705	0.561197858264	0.605703310503	0.620960228981	0.703677228806	0.590030963742	0.609777949623	0.594747683409	0.582043328559	0.630866248846	0.592570374072	0.578160126482	0.562225618837	0.575808057311	0.628477421267	0.590103258723	0.610697844997	0.613573262546	0.553291172013	0.641585231197	0.651023511989	0.648425564441	0.575013517629	0.559038698606	0.64494853825
L.008.M1	0.59811893082	0.700766911999	0.672140763203	0.687919707525	0.641801240575	0.651108684527	0.654487469599	0.625510658022	0	0.675460270057	0.653697968779	0.649063815941	0.590591601412	0.682334974341	0.691732851957	0.625991098687	0.596554954236	0.582071668787	0.559504687658	0.622896959912	0.603658560377	0.639201628002	0.644846820808	0.62838438126	0.644281865906	0.619090827071	0.57323716166	0.628257902168	0.630136314399	0.610481405166	0.622719339351	0.569179921925	0.570435984341	0.645000802593	0.687543516867	0.551915954246	0.569605284867	0.55984756321	0.642064406068	0.630723296672	0.604283617383	0.638854507251	0.620704510759	0.652918958652	0.616701998963	0.605361189111	0.649827562998	0.554508453971	0.616783456589	0.575817550027	0.650804785279	0.592438685239	0.639320428904	0.599907759035	0.633432704616	0.611240634702	0.666565747061	0.665741369557	0.604424211844	0.601066107341	0.616351836647	0.639922418103	0.674089049268	0.678971470338	0.65124727159	0.650477528275	0.628104595911	0.649850653217	0.574314892649	0.61960056875	0.613420453224	0.647245538025	0.607563407954	0.726802900608	0.608509404768	0.664973531293	0.673758561708	0.704938107354	0.660655696107	0.708202528983	0.595729547362	0.616400256057	0.69109827085	0.692433493823	0.655471453037	0.644635074872	0.697299804623	0.672348066626	0.652116983618	0.693045757814	0.681121030704	0.659590838507	0.622532170925	0.628212181565	0.610344824463	0.620914754852	0.675500667346	0.624256157849	0.639483916587	0.635371674069	0.683103985407	0.674547653145	0.605548065154	0.633592434403	0.653935625409	0.651940920127	0.593524030993	0.552470548115	0.634373660878	0.575960882783	0.683108079353	0.654102024645	0.595523095931	0.680380877326	0.612566032491	0.641402810412	0.620324396441	0.597047652578	0.557482743838	0.626070592171	0.584721170166	0.674702477709	0.620425494282	0.54170612209	0.627748272678	0.626577765451	0.63963945218	0.573080763939	0.586087776646	0.52328665386	0.563477625451	0.569047220053	0.616633111053	0.606420742749	0.626096011145	0.568641820512	0.575918761215	0.609594129297	0.59602506446	0.563734161097	0.666128488592	0.613032148233	0.57015702913	0.674463824301	0.562940532627	0.638151975099	0.672947650971	0.641437588633	0.686739072696	0.669964635643	0.634821376362	0.627072731845	0.515975162519	0.662735849057	0.643629106129	0.590886240773	0.63820255084	0.637467875783	0.649078695133	0.671303557009	0.636603259274	0.654006511818	0.68509711587	0.617338112529	0.656500318663	0.653931913622	0.654103500472	0.637566773588
CS.035	0.579242241021	0.639162401986	0.533054459067	0.537713996434	0.57257495811	0.550807168097	0.575553504773	0.584025429114	0.675460270057	0	0.56141910831	0.550024724184	0.616290049813	0.518350132328	0.556922058501	0.5660366989	0.741929403075	0.597157450599	0.661887811221	0.674952531155	0.560570911935	0.505282324278	0.573959469693	0.561687620222	0.558802531106	0.728329646749	0.717213384438	0.552972814612	0.578240492211	0.600103790811	0.596294021449	0.67212839535	0.713736626953	0.502843517644	0.653546985017	0.660620534074	0.648086914977	0.670800575675	0.702336543017	0.579745412813	0.548350623564	0.590388477158	0.747877366478	0.658141725416	0.556682074529	0.647966089055	0.630690437957	0.662580882956	0.691879223145	0.612805299468	0.709142104297	0.630530480126	0.648435722599	0.657247977811	0.668420545878	0.640403213388	0.70783091667	0.60101961533	0.586452975456	0.683010719228	0.588019402162	0.531241219416	0.539871432555	0.582152348632	0.570140018156	0.559124986841	0.570737181306	0.575971365562	0.6354423078	0.56800767802	0.591487201531	0.595237809165	0.561872925661	0.710432937363	0.59750234496	0.56479409906	0.581955422517	0.596609767215	0.529239696313	0.609573125715	0.57620825133	0.582059142153	0.576977665059	0.588127445765	0.583987769462	0.56820844394	0.568788991186	0.586957822605	0.609961302973	0.600751287603	0.550686334848	0.594638949192	0.601485809436	0.519633458712	0.584297455783	0.528613002027	0.636671376179	0.575327219738	0.541929453289	0.670775971652	0.547564754737	0.534680830275	0.623617071732	0.559874182059	0.526375929292	0.529934768135	0.723649775409	0.665707576627	0.615780659285	0.61113925433	0.526762898768	0.655517668842	0.5677993625	0.536094582609	0.573476167053	0.755056677111	0.597741969652	0.66707810968	0.594711465718	0.526327301585	0.59691795459	0.759162325558	0.571048007016	0.655064552921	0.691696640646	0.580431192962	0.552893623168	0.640681996517	0.746895122853	0.646509622995	0.673325620109	0.606914122658	0.595323215392	0.562231375134	0.64475803762	0.621918376958	0.647378385283	0.636689088356	0.654030340508	0.63106618925	0.628711760532	0.595619890681	0.646956021376	0.704437279678	0.59190265617	0.576229916307	0.567733467329	0.71810566686	0.558063400203	0.564453403721	0.563545502311	0.552642297014	0.645685693245	0.542076566219	0.571249995377	0.601442370274	0.566171793169	0.587422791822	0.556418901102	0.566461362685	0.575722877378	0.548485539773	0.561156686757	0.605154529572	0.580254792617	0.540197982585	0.564063948001	0.571197358074
