CS.019	CS.091	CS.037	CS.280	CS.099	CS.354	CS.009	L.031.M1	CS.257	CS.093	CS.217	CS.277	CS.293	CS.038	CS.007	CS.161	CS.073	CS.118	CS.335	CS.060	CS.050	CS.066	CS.064	CS.137	CS.067	CS.373	CS.040	CS.388	CS.154	CS.301	CS.374	CS.205	CS.136	CS.376	CS.375	CS.125	CS.236	CS.224	CS.041	CS.380	CS.232	CS.213	CS.378	CS.292	CS.302	CS.129	CS.214	CS.147	CS.349	CS.256	CS.369	CS.181	CS.182	CS.348	CS.254	CS.177	CS.148	CS.372	CS.395	CS.166	T.CS.023	T.CS.071	T.CS.059	T.CS.067	T.CS.079	T.CS.025	T.CS.014	T.CS.076	T.CS.024	T.CS.016	T.CS.035	T.CS.040	T.CS.001	T.CS.007	T.CS.089	T.CS.134	T.CS.121	T.CS.139	T.CS.178	T.CS.097	T.CS.117	T.CS.129	T.CS.180	T.CS.120	T.CS.106	T.CS.114	T.CS.104	T.CS.160	T.CS.111	T.CS.144	CS.246	CS.110	CS.088	CS.082	CS.085	CS.087	L.034.M1	CS.237	CS.242	CS.241	L.024.M1	CS.006	CS.238	CS.103	CS.356	CS.187	CS.363	CS.346	CS.311	CS.191	CS.325	CS.212	CS.164	CS.188	CS.336	CS.364	CS.358	CS.233	CS.234	CS.387	CS.112	CS.331	CS.361	CS.223	CS.321	CS.202	CS.227	CS.158	CS.163	CS.194	CS.318	CS.319	CS.322	CS.339	CS.285	CS.253	CS.370	CS.145	CS.255	CS.326	CS.393	CS.262	CS.270	CS.390	T.CS.008	T.CS.026	TFS.025	T.CS.031	TFS.020	T.CS.064	TFS.021	T.CS.036	T.CS.061	T.CS.045	TFS.022	T.CS.043	T.CS.066	T.CS.049	T.CS.055	T.CS.158	T.CS.095	T.CS.141	T.CS.157	T.CS.151	T.CS.152	T.CS.166	T.CS.142	T.CS.109
CS.019	0	0.652853496906	0.631533654287	0.530244979555	0.554616265163	0.568890372531	0.606959905548	0.593799162213	0.576275720941	0.554532699879	0.537989316565	0.557649054148	0.53330679123	0.528124974273	0.498418440397	0.630914710389	0.606666240414	0.550753905688	0.727808550101	0.594406756177	0.636654158175	0.558534081626	0.57133930904	0.53555878418	0.7258242198	0.590005023493	0.551311849348	0.672315439998	0.734918465082	0.588321635071	0.6311921865	0.681576136246	0.593889143253	0.622621867051	0.568930223115	0.624229417227	0.655627878915	0.73758629409	0.606276820194	0.527708415614	0.560698537932	0.648284775743	0.671629680456	0.577216785506	0.694883075206	0.594786419393	0.628048608948	0.635693635669	0.621254737354	0.644260017945	0.714343191545	0.624051116915	0.594311639273	0.627606690368	0.63453710431	0.653075747613	0.675402041392	0.627664414334	0.617049616236	0.663900503698	0.742291693156	0.549390740996	0.625192651349	0.537229722873	0.644807848582	0.541955631047	0.577940489816	0.584742396504	0.55373772959	0.559882627427	0.544810205749	0.513759598916	0.694032642024	0.630838451596	0.572815282888	0.551725896991	0.531375597291	0.564365644713	0.544691516042	0.558274893026	0.52416866247	0.557452258358	0.566206515499	0.489657672433	0.56564371654	0.586976971429	0.548548899835	0.567579196665	0.512129201906	0.540659620973	0.522954754439	0.611709229843	0.595124258312	0.575465845119	0.558069176768	0.559447018864	0.554810679572	0.610598092493	0.525409849156	0.525681999336	0.554797162494	0.508015395131	0.53107264243	0.554936010678	0.674343880596	0.592258225875	0.631189744411	0.718124735001	0.515673476952	0.539039031845	0.754415501955	0.658874722395	0.676772006514	0.606543749188	0.599170929705	0.683467064523	0.719658590327	0.605667621201	0.653270237603	0.570236563719	0.584372968623	0.58850458855	0.624075885426	0.633202927314	0.511112159713	0.635216317998	0.738646081871	0.606547228358	0.583149953933	0.727121730672	0.635396963168	0.633340175294	0.659082298322	0.621211009051	0.68418758291	0.732808055917	0.616667846911	0.526043946432	0.601993637432	0.63348189029	0.651328826263	0.651505965019	0.65177387175	0.632897313542	0.575007550343	0.696156450474	0.550633117515	0.532485887945	0.541295583131	0.513299369971	0.57583481917	0.558785927662	0.565681226364	0.544950546548	0.540747971458	0.538948386397	0.538799573187	0.63208914031	0.545340708308	0.520318784681	0.570124114215	0.562244927263	0.550767853938	0.528183227511	0.53395252758	0.526337861131	0.570157730529	0.550048047669
CS.091	0.652853496906	0	0.648831706537	0.683762555855	0.6791670895	0.691766841462	0.610949179907	0.643198858229	0.684295709462	0.674311473737	0.668997014219	0.618620356369	0.702881003546	0.667419922978	0.632730985083	0.58346022163	0.633442055633	0.647089752952	0.655821836085	0.585724948544	0.647294622526	0.664692136991	0.623769544503	0.639461188045	0.634717989028	0.576997448418	0.663885490476	0.684613027263	0.658042847564	0.607424711716	0.590344513873	0.599934234823	0.574826880994	0.575236441227	0.587707166895	0.599348945718	0.653057113892	0.657047273827	0.635168402225	0.649368997943	0.615556587281	0.592164775654	0.633935496544	0.573454641443	0.624189956138	0.621799753081	0.584976202141	0.573978393442	0.577915825452	0.580880283901	0.622624559083	0.573622849655	0.583622127646	0.617058050893	0.600084945964	0.585747745273	0.607796997719	0.576248226142	0.608489038794	0.616915953548	0.739444271274	0.669965228225	0.666589562639	0.650269319525	0.607088003003	0.631260264988	0.643577853935	0.630813532579	0.642576850072	0.622458400568	0.645659959321	0.662702318248	0.640260650651	0.645673138317	0.649197759956	0.679684715637	0.6750391638	0.702526134985	0.65428988242	0.689740872981	0.644177794621	0.668908401379	0.679957225991	0.643928442945	0.706720582659	0.680189176551	0.683044322753	0.682530916823	0.6686084521	0.679360183706	0.648002494769	0.60117876755	0.706770624454	0.629815818598	0.616654416442	0.653690740445	0.651363871708	0.591414254023	0.65986153589	0.668482059076	0.691066357893	0.636858825948	0.630638573349	0.625760274416	0.653374104747	0.591838672523	0.593409827968	0.657847978458	0.645929316744	0.65158849238	0.657793190126	0.645389589067	0.678063421476	0.639897572555	0.612329709453	0.61254858206	0.655758409455	0.641427764585	0.636885755825	0.59683970127	0.622108829513	0.59333009622	0.620209294098	0.575314251163	0.66000290009	0.653960598354	0.636678209721	0.608201042985	0.622130157411	0.664982165957	0.588031831924	0.56948650895	0.61093121022	0.634933759015	0.614585299153	0.644860979719	0.615450615685	0.622386889263	0.579821166252	0.584358624469	0.647181607244	0.607573052032	0.579021189982	0.562146185704	0.660878115565	0.665394560387	0.638798046486	0.65924844437	0.677055872543	0.651786832661	0.659618910879	0.65629291823	0.650939940153	0.661896879901	0.674664145966	0.671588652849	0.680388415063	0.635305462393	0.662373043497	0.657891174495	0.702469643689	0.707000162821	0.675727722662	0.683121461201	0.650348332491	0.646999934028	0.695690330518	0.672990442325
CS.037	0.631533654287	0.648831706537	0	0.708713952422	0.668004595867	0.619502745273	0.551925830919	0.665356315068	0.651792381247	0.681282630013	0.669181148953	0.624666476675	0.715830529876	0.599846225199	0.677832952758	0.598913505693	0.605451573623	0.61461089425	0.643368564192	0.641240459337	0.638303051693	0.639781491413	0.651639107498	0.678041497298	0.668959346788	0.620367056021	0.661673858188	0.733395620463	0.666840388928	0.631315950738	0.644844505024	0.670679276752	0.616369035924	0.60454176879	0.654685881972	0.643943756719	0.644270507782	0.71284078844	0.619985975007	0.661246333348	0.648191639415	0.595857018938	0.669173180076	0.630194124679	0.686083084576	0.644195330111	0.690158274116	0.65915554456	0.597935201422	0.655626671446	0.674115135316	0.645512648651	0.631935637434	0.625684054675	0.637032775928	0.65424558697	0.636254447384	0.62272724815	0.631771689446	0.634641851176	0.727555609909	0.690502155254	0.639397474691	0.672324237833	0.604537550347	0.660058489184	0.670434963244	0.636813191608	0.636143152758	0.646757741143	0.656076203544	0.668142129818	0.623682678802	0.670614108257	0.631934652773	0.684881921124	0.67827752151	0.717308406681	0.694491962041	0.694957984334	0.69050840889	0.707527295938	0.65643734435	0.658245182071	0.726785548149	0.673869072079	0.705026964049	0.715737853125	0.666462029454	0.682677610228	0.67067032035	0.649659115783	0.671657265805	0.672215069691	0.633490735288	0.652347922881	0.593089304982	0.619862781771	0.662201858182	0.683189794636	0.725304213636	0.658219791957	0.648867121969	0.658423580927	0.697076265471	0.620542396417	0.612748185838	0.682562549193	0.631240374802	0.698029770591	0.681526682317	0.708802517726	0.659962728873	0.683913981643	0.660673985075	0.637956618865	0.691737827552	0.673545639961	0.652073586862	0.619121517699	0.585505176461	0.632193063683	0.641028798695	0.639475121557	0.680606399504	0.69235475205	0.693942283103	0.594239702565	0.626592586088	0.701943295624	0.623036644657	0.601571125	0.643003916194	0.650463811568	0.638352479873	0.7169276946	0.605952250833	0.642172852496	0.636994868576	0.644548781508	0.639090915404	0.593486733619	0.651136197964	0.635723121035	0.629281373647	0.668300788979	0.655004838693	0.663788998295	0.701919660693	0.651001971315	0.659225020404	0.667225092976	0.634166431323	0.667328289577	0.696772016363	0.686869837876	0.720454437969	0.616148655006	0.675850129334	0.69559357657	0.719462007047	0.676240359055	0.678767987184	0.686005089774	0.678117686786	0.697467452467	0.690537125466	0.708299661409
CS.280	0.530244979555	0.683762555855	0.708713952422	0	0.526468934663	0.618702241573	0.681022496639	0.55917739607	0.586600434814	0.503930090097	0.50603777246	0.554385426497	0.414922019041	0.615355504239	0.5188942905	0.705525928084	0.664030645923	0.604360377921	0.780086570474	0.632023679109	0.68135272214	0.606970022211	0.612856101669	0.561293073161	0.76552556273	0.645939409486	0.578393000681	0.709420148344	0.794228071276	0.60979255994	0.677191558095	0.712662869223	0.670300121084	0.686518119572	0.647176941288	0.668315097551	0.719511470885	0.755003291566	0.688477680879	0.545480431433	0.554528129687	0.704310659898	0.706029949544	0.629496186629	0.731263231311	0.600981538607	0.650775460045	0.66990029022	0.661795399528	0.661719424046	0.769965886015	0.643882235798	0.610717754627	0.621268593738	0.671656590594	0.689051650517	0.710514499742	0.655362750828	0.661849988245	0.706826340424	0.764501041503	0.53924286868	0.634925914248	0.556692776611	0.693552427465	0.562467064124	0.578885343142	0.572354524775	0.563018648345	0.585981043615	0.561938530537	0.471419580001	0.726983810849	0.657471928385	0.595176145116	0.4997138413	0.508967963649	0.4437835775	0.468823207182	0.453661668358	0.494510142361	0.479918695852	0.562161908613	0.496503969839	0.430473498779	0.527064910679	0.429164856917	0.469490106895	0.480800388592	0.452806231356	0.509548550178	0.650237232432	0.64935691803	0.561705667993	0.562269529028	0.588412205483	0.586423625843	0.671130442555	0.482841361174	0.495306638857	0.53338649497	0.518542852975	0.562714857254	0.579906082556	0.702067763834	0.651746062106	0.687318178222	0.764782490633	0.615349164241	0.506338221322	0.769484429833	0.650627733316	0.748444856084	0.662456554884	0.630815593729	0.748025288931	0.765409975335	0.604880870034	0.682010669294	0.613425400906	0.684947815559	0.592938306462	0.682985179559	0.67526973762	0.547670078654	0.678938612717	0.788970634908	0.666855756448	0.67791615382	0.75382051263	0.685340921362	0.672617721329	0.712436220487	0.683113425422	0.755422237078	0.753098372429	0.66959556546	0.585169449734	0.618084880735	0.63799138223	0.688645749424	0.684852840419	0.672385334812	0.66472178472	0.610284068336	0.741336787612	0.580632245661	0.549014724262	0.471674188621	0.526575327799	0.606599416376	0.538112879025	0.593417274613	0.585903193743	0.468897721871	0.529904197644	0.481259994081	0.652196854494	0.511096721741	0.451949466708	0.457050701988	0.522334794575	0.523524988416	0.455740873916	0.518061260155	0.494252711599	0.542652411111	0.432423887436
CS.099	0.554616265163	0.6791670895	0.668004595867	0.526468934663	0	0.601142249503	0.66325868852	0.575895620759	0.55023947559	0.493075490894	0.490976105366	0.574854977105	0.520789538964	0.600205855567	0.553947999417	0.682261831589	0.594361978042	0.557051273176	0.778297556689	0.598273750705	0.613412008743	0.545412544987	0.594789663883	0.62308688905	0.744719348914	0.626402449544	0.574959027329	0.731771639282	0.775181108611	0.648035274238	0.691865659601	0.737596370123	0.629563827483	0.697131763154	0.659370161235	0.71067518382	0.687734524285	0.77702877056	0.666792671398	0.604077217103	0.551244960605	0.701791088695	0.678788547863	0.615669406604	0.759870738748	0.606380860117	0.670786719856	0.686072827458	0.669834755977	0.697967297007	0.744142086301	0.674331396128	0.644927917677	0.668074837711	0.702583847813	0.708954902525	0.712573461842	0.691862272234	0.663010394213	0.720075173445	0.74663094933	0.595621459128	0.586183558058	0.581486578944	0.720857157351	0.5828071852	0.599958710461	0.619022401302	0.610064009766	0.613184167925	0.578799036849	0.514472845165	0.721561161894	0.6856462262	0.60620029557	0.570501361853	0.59895268797	0.53917879661	0.544031266346	0.531069061278	0.561110027568	0.577129125537	0.557717708846	0.57376261831	0.524355910566	0.511871850444	0.515873126254	0.543709195756	0.550447539445	0.540748606318	0.545136209198	0.62874310945	0.636526086958	0.525681857172	0.520498178305	0.54983239349	0.592572033165	0.634547939294	0.532982363623	0.53454486903	0.541158440459	0.485995529663	0.530728841462	0.532886639847	0.688389134099	0.673322364039	0.692489653448	0.752890571725	0.601570792381	0.549647617029	0.773264078584	0.701131406665	0.695765559767	0.700609460755	0.647211843952	0.733997994253	0.787111361294	0.546643850307	0.696855813933	0.654609720366	0.622548505134	0.601709516069	0.685491673436	0.698821845766	0.559301543709	0.666219160689	0.786873418888	0.62378272271	0.630265968756	0.771440425484	0.696716269582	0.702927668087	0.720722939111	0.663344891469	0.7403327616	0.726911899571	0.687139933277	0.644252844018	0.64406335018	0.646430881411	0.69532163593	0.702030078971	0.70247758175	0.694346355318	0.658941824956	0.731142326403	0.635440095435	0.575748137173	0.539003298739	0.55387672997	0.596478776344	0.544506234598	0.636061907871	0.603512051571	0.534375669926	0.595394338363	0.522838897998	0.683654037456	0.556356185403	0.547772665504	0.524555143634	0.582165186773	0.541076276267	0.555895533752	0.562759430358	0.558505261911	0.589888248758	0.511840399758
CS.354	0.568890372531	0.691766841462	0.619502745273	0.618702241573	0.601142249503	0	0.612648696282	0.667788933855	0.565613593957	0.615503627326	0.593194499644	0.58956424868	0.600660709233	0.535999705087	0.613848487932	0.647193276414	0.588183914686	0.557864494984	0.714554416531	0.608442442952	0.615929114863	0.565606308197	0.639674768387	0.662584416178	0.684283581475	0.634747759411	0.605505123885	0.672865888139	0.699715404778	0.68446557775	0.647077131395	0.707602223812	0.628486586621	0.638991386262	0.610969599277	0.664188001184	0.683876270398	0.71441340937	0.622548580848	0.645404485702	0.631419655243	0.646175577875	0.62513711069	0.629601118785	0.700476670249	0.596876547525	0.639859464406	0.652611312132	0.679260123098	0.662934318616	0.693456193813	0.649691031141	0.653053773984	0.675404411864	0.669869109428	0.66471286166	0.657563115435	0.659154816831	0.669736590255	0.693077332071	0.717402866838	0.642194858859	0.611709785288	0.588113868697	0.636874029669	0.639986605996	0.64139239692	0.668783291666	0.604015249754	0.624824765026	0.624666947165	0.575119400004	0.671295373338	0.651127412412	0.649872667167	0.604856483179	0.645293900801	0.641009838607	0.638078277941	0.629622893404	0.599475480224	0.649314358225	0.61270945701	0.587674343695	0.654396176849	0.590586478225	0.641981149714	0.656454418101	0.577750717117	0.608252255044	0.60948733681	0.626442701598	0.582284708394	0.633087026233	0.607807980341	0.576796328844	0.58362326001	0.619582184048	0.591580368853	0.606679723849	0.592529057094	0.575246591332	0.6091560555	0.611858978652	0.660598882752	0.65131081321	0.65786127541	0.711348196681	0.578779388131	0.607063201449	0.719547474116	0.641336240033	0.659911372161	0.669656815835	0.626535928981	0.699668480818	0.71487548498	0.601406734027	0.679171549801	0.619524052273	0.590492416385	0.646994957412	0.610239976353	0.669646188822	0.587273211817	0.623806567275	0.747124963702	0.59506746127	0.61632334387	0.717935496797	0.676523953637	0.680775181102	0.671459826888	0.630055469344	0.697097928971	0.709386524697	0.671229081184	0.636266092348	0.640455450353	0.642005181373	0.618719868104	0.609742909627	0.649356400935	0.663612534486	0.601977568725	0.688903440097	0.623403804608	0.550190562508	0.638877662758	0.568992445916	0.592958020235	0.605859224523	0.635342610559	0.609126070264	0.646441656039	0.610197420244	0.616132802115	0.640233668481	0.581757623161	0.620005083104	0.630133929382	0.542552361799	0.540771212984	0.580955888537	0.622182186948	0.611697497904	0.5746362591	0.635634150854
CS.009	0.606959905548	0.610949179907	0.551925830919	0.681022496639	0.66325868852	0.612648696282	0	0.628704315216	0.641342073386	0.661199613984	0.665905012896	0.590828471173	0.683648884247	0.611103790288	0.656622153646	0.532651613718	0.624178078781	0.608059368718	0.596057981171	0.585967338346	0.603607552404	0.624712054855	0.645863894124	0.638617038703	0.615111736164	0.540512996769	0.656556655654	0.664033418564	0.625857927573	0.601952673615	0.56145435054	0.58475121132	0.560559363159	0.541918766906	0.602487294767	0.531801221913	0.630286340639	0.642796401354	0.595514291737	0.652639667241	0.634918161888	0.558015245483	0.613109928489	0.578433419139	0.603493442011	0.612401384492	0.628315894859	0.55730589417	0.60544370226	0.581864939788	0.627277305063	0.583153933491	0.595569404944	0.607911464799	0.592226084426	0.60418926753	0.611224237913	0.606754307319	0.611847478471	0.618463534988	0.70521276582	0.645113912396	0.625656368166	0.609987505276	0.512646570495	0.633872218909	0.636427804406	0.617269541058	0.593736936419	0.602844786669	0.641601410441	0.647706075591	0.575604242093	0.582675652413	0.612956714515	0.656741733263	0.667878326763	0.692476679266	0.657051516597	0.689741177439	0.650737469513	0.674367504123	0.642189335002	0.628146621735	0.709583252331	0.666329693678	0.690941753844	0.695038389641	0.653106358779	0.67049653925	0.634799909827	0.587925323562	0.642821720241	0.655688634315	0.621544069523	0.61471763074	0.579558938691	0.582546974503	0.63281639909	0.659568435171	0.661637953451	0.59613992055	0.620274437303	0.632411675115	0.627426857181	0.552241030794	0.550079203918	0.613074342148	0.603174440501	0.675253478718	0.625164324812	0.614287864188	0.647220213558	0.627948506657	0.613584888987	0.585165972695	0.606146144334	0.654694608551	0.627379048171	0.569729091105	0.556702691127	0.593051098241	0.60242964483	0.576785460374	0.639040481081	0.656777799921	0.632000894953	0.548960809737	0.575734900148	0.580142356305	0.545814811657	0.56008943728	0.554743040961	0.612777959024	0.565940648244	0.647751538432	0.578349923625	0.61317226882	0.57862009549	0.560966726213	0.633567218902	0.5860174377	0.592650881523	0.604833024523	0.607836978109	0.611766401303	0.606689432759	0.617434212085	0.667571069175	0.635783302765	0.634291971661	0.627140839535	0.614722126282	0.635024891151	0.683583373645	0.659118007618	0.680959881044	0.565432275096	0.632012233495	0.668117907362	0.700229509335	0.656939960711	0.639711681707	0.659973354986	0.61774321497	0.646819993239	0.642320277559	0.691572907621
L.031.M1	0.593799162213	0.643198858229	0.665356315068	0.55917739607	0.575895620759	0.667788933855	0.628704315216	0	0.606769662051	0.54423326263	0.581425240081	0.536154014012	0.578166677404	0.694434872937	0.582102178452	0.628762186024	0.653863078946	0.614125698356	0.737590979568	0.629459926806	0.66600953139	0.65199821361	0.555008752216	0.563852348726	0.73362411942	0.567437465918	0.605889956161	0.727775951566	0.756930216418	0.526301882114	0.62429646539	0.669743250299	0.598119056498	0.612397676664	0.627759379439	0.617950487844	0.660309836803	0.7340797471	0.645668080201	0.574044049544	0.541004993304	0.663859799681	0.688207217129	0.575577031336	0.695477706579	0.596273978887	0.628128140792	0.637054233001	0.583324663164	0.628997490388	0.700718599015	0.599497505674	0.539240374613	0.528207584291	0.605283001455	0.67165619102	0.693009489853	0.606951183011	0.581639957505	0.643397718737	0.739924319312	0.575069334638	0.609857187069	0.583146179443	0.658049660627	0.580525387084	0.541873649939	0.51811824864	0.585320185297	0.571500850359	0.568194973504	0.549695802236	0.692219111637	0.659588406918	0.589059543713	0.58897973174	0.524561180216	0.53929754354	0.498124707162	0.555567485362	0.573816862378	0.531223665354	0.543045757002	0.5668301478	0.548174283239	0.566052499773	0.529675500127	0.504307447913	0.599659966719	0.591751942622	0.528330200269	0.637754980786	0.716845778915	0.519300052964	0.526167990035	0.659468131932	0.611864326653	0.620337923218	0.507588013047	0.583715368849	0.628407235172	0.583661209211	0.606813642919	0.575609343217	0.687883710802	0.59013964895	0.621049007334	0.718121377148	0.651916462232	0.570635089423	0.743882539703	0.685696196914	0.714527354162	0.682534761636	0.601079409002	0.685828223075	0.735601746868	0.589643586555	0.630056563455	0.610027695742	0.622570284186	0.491780929858	0.664728918181	0.593564658834	0.608755587436	0.676598635382	0.7702824753	0.627494978631	0.626749338211	0.736038038009	0.625964995845	0.61920519999	0.672630632564	0.670146915635	0.69872901162	0.701495978527	0.624438547934	0.571908078567	0.568936692217	0.580237507582	0.653214793683	0.672325183015	0.633051998095	0.639060949819	0.667292663502	0.713801010643	0.627586843343	0.597382281016	0.525536945391	0.590385882025	0.643722827803	0.543262037255	0.620288707949	0.621932941045	0.517070807789	0.621834185137	0.554071549009	0.628745245278	0.608455123005	0.508388949929	0.5702968137	0.664582789338	0.609213032821	0.627246962057	0.552338675826	0.537372321605	0.66968169574	0.533714892148
CS.257	0.576275720941	0.684295709462	0.651792381247	0.586600434814	0.55023947559	0.565613593957	0.641342073386	0.606769662051	0	0.567858727251	0.550334214891	0.60036647642	0.589134428417	0.583333628064	0.618126741281	0.665171785782	0.584676567384	0.541412465535	0.739436883275	0.588273370558	0.610309253257	0.56142034804	0.608284368104	0.667700648089	0.699455891726	0.622693262785	0.598501231434	0.723092920652	0.714853016104	0.670218582894	0.657079042212	0.706015462615	0.609989367879	0.661523354279	0.629748446717	0.66597921277	0.667032001088	0.724118154691	0.635337991789	0.62933262169	0.597625536921	0.653234439105	0.646542925896	0.635133373254	0.721614533808	0.579842546963	0.673171045756	0.677120753673	0.67746793757	0.668875486062	0.705579161521	0.674182741062	0.646066424678	0.671327606894	0.667803169244	0.675242613766	0.663106942051	0.66732338331	0.657689536875	0.696879937898	0.738695508799	0.625565905627	0.570122475452	0.606126204667	0.68729787439	0.609147306203	0.624276922967	0.636799101077	0.62715810151	0.647162384012	0.601271125634	0.545285650397	0.673950704309	0.670604159624	0.655958893852	0.594602908763	0.616549759264	0.596210379806	0.578946649532	0.583170384565	0.571198658598	0.612989915545	0.546393218991	0.587367604113	0.608313141895	0.544324040736	0.560006071724	0.602097594177	0.566660563467	0.559113759298	0.565376535847	0.606347505856	0.612052854074	0.586367880088	0.55671655141	0.557560840914	0.545160737023	0.609821576093	0.564726952726	0.582594892475	0.569840606645	0.548212507918	0.593047114125	0.591589105153	0.676566963988	0.640870896328	0.663199126443	0.711318870222	0.612004199906	0.611551533313	0.742968991298	0.693818804639	0.650835953789	0.697566239163	0.641896699977	0.707712290452	0.740224268234	0.565461844029	0.666542101471	0.644281824844	0.601581358496	0.602499798736	0.667416967118	0.660818300534	0.582821952672	0.649229131108	0.753195122602	0.59209289659	0.612099132449	0.735340631457	0.677072340007	0.679715643257	0.691036550117	0.65881742703	0.70964263899	0.702532078021	0.673956583745	0.653776816168	0.63594375857	0.638374842827	0.641780678641	0.659313680397	0.673156712256	0.677606143492	0.665049426701	0.703687383274	0.623268608588	0.592110893375	0.608569323764	0.587869542268	0.62437299807	0.582992167879	0.639280992835	0.625571539587	0.608443853105	0.604870451913	0.56157932779	0.673465047909	0.58614635618	0.572126200976	0.589798290906	0.567655059719	0.544640947713	0.569621646788	0.56810088932	0.60284395499	0.597041226958	0.57963976751
CS.093	0.554532699879	0.674311473737	0.681282630013	0.503930090097	0.493075490894	0.615503627326	0.661199613984	0.54423326263	0.567858727251	0	0.469460069965	0.571943130138	0.50746831181	0.605829642412	0.547244605745	0.678728926677	0.620029454092	0.549442972528	0.771312948359	0.608388416402	0.625309032118	0.561613584791	0.562615258822	0.598968216918	0.748055879801	0.628577483874	0.561092604658	0.722384180466	0.778957279203	0.630600759298	0.684294348461	0.740610436104	0.614503560526	0.689218273257	0.654534461801	0.704236536191	0.701612388524	0.775823503213	0.649397786755	0.572061102222	0.529728813711	0.701923083898	0.695866983798	0.600523112729	0.75042288077	0.601125002863	0.668551179526	0.6926439805	0.654263379857	0.692719441078	0.731970680842	0.662520082547	0.632497366088	0.620961160039	0.69235759388	0.713817832874	0.699188852017	0.679218050776	0.654910748377	0.698792613298	0.736566618934	0.575156298051	0.570696679964	0.578661001865	0.713119136084	0.588550576611	0.579222283659	0.601855750379	0.592410699961	0.608096351129	0.588030435185	0.53365450307	0.721671522328	0.696677897617	0.621865796535	0.577844792966	0.555470684724	0.487497823622	0.504509937878	0.510216828004	0.537525305873	0.528562334945	0.551793698279	0.568250269087	0.507038208243	0.512549289928	0.483403342072	0.494326334726	0.562236744087	0.54510605368	0.543155262385	0.610751062034	0.66097763812	0.474253455617	0.493133332099	0.575163221736	0.60943285382	0.624016845823	0.511781879642	0.534547845778	0.578787329484	0.527898319764	0.557027654112	0.529742914861	0.70628813445	0.64639993699	0.684712780994	0.751505404849	0.616439074994	0.529537138908	0.766213221599	0.695376778344	0.686985447431	0.699776644711	0.642987724978	0.731504300141	0.789687478971	0.529820071257	0.668103809978	0.643804480814	0.616083690469	0.586557438897	0.690225216764	0.685178954357	0.580704680176	0.653531494452	0.78818257126	0.620773495954	0.616498200365	0.772562014955	0.691037304516	0.704975311819	0.700282918188	0.678127376845	0.734553220726	0.742820708354	0.68096369645	0.6259311281	0.624636683078	0.642800186071	0.664407564803	0.709393396917	0.690691511727	0.687540312688	0.658802575805	0.726988593482	0.643999233895	0.573351415394	0.505616869353	0.577076445436	0.618876827628	0.520746472906	0.639851238394	0.615300882009	0.528555865275	0.576154051546	0.514347646537	0.673564362317	0.567273748218	0.537334532118	0.509056975812	0.605387506183	0.54848347744	0.557658623022	0.554998887096	0.568197041493	0.594337332565	0.510557511102
