CS.105	CS.295	CS.011	CS.244	CS.017	CS.002	CS.005	CS.261	L.033.M1	L.025.M1	L.031.M1	L.012.M1	CS.039	CS.172	CS.010	CS.056	CS.073	CS.127	CS.360	CS.365	CS.058	CS.371.1	CS.042	CS.290	CS.072	CS.161	CS.335	CS.040	CS.341	CS.067	CS.213	CS.205	CS.041	CS.125	CS.126	CS.203	CS.136	CS.282	CS.292	CS.375	CS.236	CS.374	CS.302	CS.224	CS.376	CS.182	CS.147	CS.148	CS.395	CS.129	CS.372	CS.256	CS.369	CS.183	CS.323	CS.349	CS.268	CS.181	CS.348	CS.385	TFS.023	T.CS.020	T.CS.035	T.CS.040	T.CS.042	T.CS.028	T.CS.071	T.CS.016	T.CS.046	T.CS.022	T.CS.062	T.CS.007	T.CS.085	T.CS.079	T.CS.004	T.CS.132	T.CS.129	T.CS.177	T.CS.118	T.CS.104	T.CS.102	T.CS.120	T.CS.116	T.CS.121	T.CS.097	T.CS.114	T.CS.180	T.CS.144	T.CS.092	T.CS.134	CS.246	CS.237	CS.085	CS.241	CS.087	CS.238	CS.356	CS.015	CS.103	CS.242	CS.088	CS.082	CS.110	L.024.M1	L.034.M1	CS.078	CS.150	CS.364	CS.165	CS.189	CS.387	CS.347.0	CS.338	CS.233	CS.164	CS.044	CS.330	CS.207	CS.187	CS.336	CS.319	CS.202	CS.152	CS.112	CS.321	CS.223	CS.318	CS.343	CS.080	CS.285	CS.331	CS.339	CS.194	CS.322	CS.320	CS.145	CS.255	CS.390	CS.393	CS.270	CS.326	CS.262	CS.253	CS.370	T.CS.008	T.CS.061	T.CS.045	T.CS.026	TFS.022	T.CS.031	T.CS.049	TFS.025	T.CS.066	TFS.027	TFS.020	TFS.021	T.CS.043	T.CS.055	T.CS.064	T.CS.158	T.CS.141	T.CS.166	T.CS.142	T.CS.152	T.CS.095	T.CS.157	T.CS.151	T.CS.109
CS.105	0	0.564063458147	0.531404742647	0.660747929961	0.564743373113	0.572923128428	0.511290040319	0.491309561126	0.605580237147	0.640498489814	0.546507352569	0.564092548566	0.59443572781	0.523470107301	0.707910767653	0.656415574879	0.624530826362	0.520598228829	0.589880790529	0.524454792494	0.565565598652	0.574038834431	0.578331855141	0.643094179553	0.465647050075	0.656910828657	0.748694890472	0.502798779847	0.637177848472	0.724137307621	0.670449632269	0.691451383575	0.577182816994	0.636985678069	0.490116273839	0.502218768351	0.575927281996	0.665825426797	0.596703614987	0.592921740662	0.670347758728	0.658925628615	0.697522992174	0.743887713028	0.624025718539	0.559336519399	0.635293174066	0.676496471105	0.626672445265	0.61371469936	0.617045353459	0.653240683498	0.719397390628	0.723707845734	0.595808181784	0.586749475471	0.651441931233	0.619187578188	0.571678411473	0.613102536457	0.543107037532	0.552271092881	0.499182908308	0.50203898627	0.493419249066	0.51820850875	0.502345682892	0.525193316043	0.593900787605	0.564144293752	0.479814774401	0.620176347688	0.501592823599	0.655026621147	0.527639762052	0.548554867052	0.535430580937	0.53340016038	0.541422957992	0.5233681892	0.558501781121	0.523698316869	0.581843735278	0.540942721476	0.508829874076	0.580735217015	0.568343501869	0.539986129435	0.569995943659	0.499568196161	0.510859757177	0.636169605997	0.521244560059	0.514188473219	0.588447723777	0.546996050393	0.671659401298	0.602241015052	0.573535730677	0.485305202248	0.639049811819	0.531759726275	0.626505074482	0.58336312233	0.576653810095	0.562230467249	0.574429734771	0.70445909074	0.645036009709	0.646724158574	0.562950176266	0.661068959695	0.60589259224	0.576570477138	0.70474167645	0.492232904238	0.63079220255	0.675947052139	0.61335638208	0.554226634873	0.627692881571	0.634305858426	0.484009601765	0.624431715348	0.517106244618	0.638514994768	0.628471720539	0.642603261872	0.492381881941	0.70305381986	0.577462906023	0.610070344752	0.729525549794	0.673630584812	0.579903070213	0.550924740866	0.597702067078	0.638884610596	0.653473096151	0.630858727556	0.602860337722	0.65416465774	0.7291730326	0.609135489762	0.556448308545	0.54141000321	0.523688568715	0.693399416437	0.489559145706	0.518366789954	0.628999962872	0.515341306909	0.521044908075	0.523570040727	0.495197674914	0.556721874214	0.531002669371	0.551335593914	0.503337592185	0.49011994429	0.591905270276	0.511390589083	0.585881454423	0.499027248907	0.549570959278	0.556822019886	0.533193281311	0.525296035115
CS.295	0.564063458147	0	0.614308888043	0.736892018398	0.666357724927	0.634745158888	0.630397649342	0.586866462009	0.625833156696	0.671655211012	0.602559838471	0.649890521697	0.648375536823	0.639798686566	0.749969104809	0.627531216342	0.666016375096	0.527472768618	0.562080227368	0.522730139658	0.604265165636	0.555380016215	0.593695896209	0.568343997053	0.576117598492	0.606880287169	0.689255185681	0.638538292121	0.596771825567	0.713827982333	0.613811942625	0.581786742645	0.631179978609	0.553982220059	0.53101001999	0.526765827256	0.583047526976	0.594314322536	0.603941553121	0.555583169576	0.664083751142	0.610209560479	0.645882705834	0.702596463453	0.60116671583	0.535641243652	0.604779341388	0.629231346891	0.597186741489	0.589701518383	0.552720753817	0.602161084736	0.669678400533	0.670301356221	0.551165907413	0.570615203993	0.640391984882	0.544990018534	0.599644328873	0.572953159342	0.541466418885	0.678253353527	0.537537172531	0.584036590054	0.548921187666	0.572250059773	0.551341379013	0.578511059951	0.552561497912	0.521023533429	0.566949215502	0.590485841862	0.545058837305	0.605461199306	0.557019671514	0.624084296882	0.603821099919	0.603255039732	0.573489417292	0.617450378467	0.632925229937	0.551989157118	0.623450528181	0.55764221904	0.630779884803	0.666966157111	0.608316519551	0.592682622729	0.621648175917	0.58015375096	0.537261546232	0.638895941093	0.611485845373	0.60498469426	0.604532463323	0.59407982181	0.66962280849	0.656439257049	0.636745693387	0.560176056246	0.665952937186	0.615938810757	0.637438131509	0.614977655561	0.603834141248	0.599671859623	0.612059784361	0.650533915707	0.660741557974	0.646712389152	0.521376806155	0.667895712409	0.582655418096	0.667828079014	0.740507891853	0.608198793323	0.554846812703	0.650554671277	0.57525325868	0.5221852555	0.563416935732	0.640354557462	0.51645236334	0.617444944911	0.559506083773	0.55296321261	0.569258694124	0.575460256519	0.615056433144	0.66117918082	0.567485254002	0.588420322166	0.689281130061	0.617607311378	0.572255268087	0.526581623558	0.593657354042	0.573256127951	0.607951419879	0.61485757434	0.599013835031	0.633194181817	0.70844205139	0.568335803528	0.556617033089	0.52380765999	0.603416155172	0.681397849893	0.58824864003	0.588543277231	0.61633898891	0.548710254667	0.609927690332	0.574464413881	0.58423764439	0.597506002751	0.558050842365	0.580088189027	0.560075618781	0.54668857981	0.625469507756	0.545235464332	0.608983236836	0.563810268544	0.637872348715	0.616255919427	0.582441139479	0.586778581809
CS.011	0.531404742647	0.614308888043	0	0.640379083952	0.594764252944	0.580319392542	0.448494839121	0.491205690565	0.65164882745	0.660321057576	0.452119127429	0.578351122676	0.591652414565	0.583076882308	0.704894875154	0.666803297008	0.639265614646	0.565342998103	0.651533125261	0.581274788747	0.586374237533	0.654895468767	0.634324055391	0.6808713116	0.47938888061	0.653214848076	0.761120299197	0.576795956458	0.688269378267	0.73721919269	0.68709382968	0.709301101682	0.656082249126	0.643549187448	0.551796439241	0.609800747563	0.613846851211	0.683194899289	0.581317207233	0.651903447445	0.68497653622	0.656348249939	0.720058327484	0.759118151709	0.664330776277	0.560189068913	0.654480367107	0.698810181438	0.610973070636	0.59792519751	0.623477852145	0.659763714033	0.723195333768	0.729391799538	0.621514487474	0.631403430626	0.660099216216	0.6191815696	0.574562058113	0.623579011925	0.638434978949	0.496039157135	0.581338155123	0.512545454194	0.524922705433	0.584288841492	0.574616819711	0.600205603046	0.632602063602	0.626235210188	0.560843228927	0.656400179778	0.579926635555	0.687284893967	0.631060810965	0.479679265887	0.516235628929	0.501589197871	0.571741752376	0.495386331619	0.552534381778	0.565651592111	0.593354719054	0.515193068808	0.509491021459	0.550108612215	0.548367861618	0.555988339439	0.528896667107	0.557953073581	0.519544057005	0.621845423001	0.497537823154	0.523652009785	0.619830949099	0.553860258269	0.678740624747	0.60777650539	0.528340906919	0.51267532051	0.68695013742	0.487870801714	0.647499247606	0.593900370948	0.605795452915	0.639984032581	0.564487808778	0.718243937463	0.707272457809	0.620874951115	0.622020006227	0.690364440038	0.612948906688	0.547591360575	0.702359278619	0.597989240978	0.627985330901	0.657569060512	0.621356450297	0.623882977799	0.658732886551	0.665845233644	0.515182236439	0.62859109864	0.580129735735	0.635614117457	0.668166429551	0.676628072077	0.600580860482	0.705459642057	0.544296547709	0.671838510562	0.755786391839	0.700491422979	0.611532617781	0.594894076309	0.593199015182	0.658676437606	0.670802265277	0.665457467816	0.597106343243	0.678782529494	0.718093623597	0.648874803486	0.673578858684	0.62491883231	0.620992388486	0.705927490731	0.503902536921	0.585035619248	0.664511119984	0.632406640785	0.515961126232	0.602873775058	0.502898949267	0.63119677703	0.61109389817	0.585515803361	0.573775637999	0.5179104203	0.632314184381	0.521622648566	0.636628893353	0.535127454115	0.529191860138	0.585800616306	0.591755862615	0.498906861158
CS.244	0.660747929961	0.736892018398	0.640379083952	0	0.639007107046	0.603237734615	0.613890750754	0.650151096393	0.656762551583	0.621238581592	0.657717450024	0.671609258651	0.614891180713	0.586074870078	0.623491758509	0.716147744812	0.614588161757	0.695274259019	0.716165194352	0.661756478343	0.656340332356	0.699105996641	0.688420695311	0.74385969547	0.666721233507	0.722114520105	0.775569938561	0.635888495599	0.746512334132	0.720701626366	0.729035309584	0.781858657961	0.676026025416	0.738808595499	0.69899188571	0.687010583772	0.663828655128	0.759624060601	0.673513343789	0.694202310372	0.715727968228	0.706308103449	0.769219025338	0.772240088393	0.730426513043	0.710325323932	0.7161954895	0.702634830703	0.700022428467	0.621132156758	0.724484239374	0.700802910591	0.73956133813	0.740894557574	0.749643312717	0.712982009257	0.683021974465	0.708583019877	0.721244499093	0.721829827605	0.715116377894	0.636978258628	0.674310322338	0.638127667602	0.653052491612	0.685417832403	0.693333562117	0.700283896897	0.698297499523	0.68453689143	0.628082012085	0.720051693323	0.682627314123	0.720107413035	0.690607580295	0.672577099701	0.681648080039	0.627672083286	0.683062317094	0.641602213289	0.648670259712	0.654278397102	0.575055086442	0.698633826409	0.631266171471	0.574951748442	0.60538800245	0.65069764491	0.646814176154	0.6766955477	0.642865836815	0.659267462666	0.589427671337	0.651360588902	0.621725419759	0.636586261455	0.715356863333	0.642101809161	0.629868790159	0.629301778608	0.673104869942	0.626062214953	0.650505874128	0.635049522471	0.637973158821	0.69371797772	0.627268258646	0.750774607524	0.723705583865	0.673960864776	0.698995564098	0.708314816784	0.661703283691	0.588450913274	0.63842639295	0.656999311309	0.700608288622	0.688757740756	0.695124842606	0.698844525911	0.749736603922	0.703267984535	0.680946605348	0.636912278068	0.6530885924	0.718900128457	0.74412855931	0.741896045152	0.643272447345	0.749391820632	0.673891681017	0.729409499014	0.784903119674	0.754203643787	0.691561494273	0.720374387816	0.699021059071	0.714337069713	0.679401476596	0.711238916043	0.685607547811	0.710914767394	0.727559821824	0.713252116588	0.717122485385	0.710142472591	0.673817570494	0.740755688525	0.67564328206	0.642451969519	0.719447921783	0.729295571418	0.649346456054	0.697266307778	0.680982054281	0.682997019056	0.691851219051	0.635948299579	0.641488116169	0.663050564446	0.642195837822	0.689413597157	0.682813836676	0.664244575604	0.650844019576	0.618865765505	0.644225361824	0.658022698504
CS.017	0.564743373113	0.666357724927	0.594764252944	0.639007107046	0	0.565846025259	0.575844183259	0.558786984176	0.643988789078	0.604983414988	0.637329568561	0.565802189073	0.442619063247	0.547083725898	0.673764574041	0.647200051178	0.603530915493	0.622457841714	0.640847647537	0.564872357266	0.615821240132	0.622072032087	0.635267249636	0.679628333711	0.581550575019	0.671759867145	0.755454200249	0.568322302189	0.687615627539	0.736637012365	0.667324729668	0.706554622154	0.638533562216	0.697719758912	0.616688159801	0.556617545876	0.626154189295	0.698515197329	0.616265031303	0.629816947481	0.658846170682	0.664223398401	0.722477341979	0.747324431172	0.678211234635	0.646849261636	0.684138392878	0.695893617351	0.666953199544	0.618640819644	0.663404901101	0.672887166235	0.730640882304	0.73670031594	0.669255165928	0.66574605727	0.688385507463	0.666733727468	0.644520790178	0.683758924307	0.663791522036	0.589685712447	0.580639532339	0.553677338642	0.570117479587	0.586393977998	0.609178450932	0.599868674718	0.647542695219	0.604091754449	0.55808403189	0.681289137407	0.603396261739	0.688563923777	0.639940948649	0.633735863469	0.594120546479	0.583681188502	0.613598816377	0.576835299453	0.566647259221	0.572572417362	0.576336574316	0.599992524716	0.570667600188	0.589356717947	0.604419841891	0.561086630669	0.634974866921	0.598132336653	0.604361680555	0.635249239923	0.564123531781	0.527692841086	0.586749348162	0.566945118105	0.692809305267	0.519716555685	0.563194579104	0.585040179589	0.622786952726	0.598148545343	0.619765786787	0.607980277866	0.554696606714	0.610787220668	0.614972628856	0.718412956795	0.674319036849	0.671555972976	0.630527951259	0.684751849787	0.644167796556	0.594617734977	0.692954228618	0.536008057993	0.663563404456	0.691877260437	0.655830900626	0.663292933897	0.66188808918	0.675926317296	0.58874103118	0.60934894568	0.563644237861	0.690800986053	0.662216743628	0.671459651272	0.607744974441	0.720722839622	0.617215002737	0.673391630047	0.740201270532	0.699390248794	0.627000515986	0.62154530346	0.641863662453	0.678471048035	0.649032395829	0.676835048396	0.668096661141	0.648155543064	0.741795861636	0.649764726646	0.623557435708	0.62864266103	0.578542765812	0.726174287275	0.602182699356	0.571661614606	0.663277449773	0.629441812964	0.570281200017	0.578562893219	0.594504770108	0.63281555338	0.600419660955	0.565728936659	0.569949757736	0.593350573708	0.570805381951	0.610119176748	0.597032296264	0.599583664275	0.56649420418	0.576595259544	0.57432779352	0.570271771389
CS.002	0.572923128428	0.634745158888	0.580319392542	0.603237734615	0.565846025259	0	0.553697722236	0.602803418797	0.65744835235	0.621853676388	0.604977297148	0.622916954622	0.533794083887	0.574874170211	0.639334948057	0.594003578209	0.599204695683	0.59159840858	0.599666859089	0.598286882492	0.541892882678	0.641624774497	0.616920430215	0.638642517382	0.586749015173	0.633351745685	0.727897974678	0.566943411252	0.649279717884	0.67675287401	0.623215631076	0.705665213974	0.550624870786	0.645011148731	0.597019873426	0.621352394916	0.540183713306	0.648965770303	0.537537188135	0.641772848935	0.601158777781	0.647874842138	0.722092693838	0.727870456301	0.638443965427	0.589028554386	0.643536248104	0.595539913685	0.576960609249	0.581788581239	0.593534434549	0.612335028066	0.657017674837	0.653436634021	0.619650916204	0.608468339246	0.578060427261	0.599912939757	0.603822274213	0.628321441104	0.673552527727	0.621256575783	0.606507314921	0.597865555944	0.613671283803	0.61482399697	0.6114741378	0.619826867355	0.642252046372	0.604635678555	0.603343491062	0.677351227823	0.631318450507	0.679943188747	0.642587198681	0.640243272483	0.638368994648	0.625512328911	0.611666371902	0.62542285384	0.662828552392	0.611359555386	0.545390587819	0.613466973969	0.635153197971	0.602143885553	0.580454658117	0.60963653995	0.634284667051	0.623988391663	0.570775162882	0.549684550355	0.504923497184	0.591141933146	0.623138484401	0.579576238892	0.712012447067	0.622822976329	0.532246825488	0.595850220489	0.673119645485	0.549525353994	0.566082384732	0.669808094136	0.602510728987	0.645216205045	0.561293239314	0.688858959917	0.693867931186	0.640073309681	0.62737554496	0.647992317241	0.570166033127	0.555030269042	0.610484260901	0.580657617912	0.626391727431	0.64617744221	0.618594991981	0.617166514879	0.633312030066	0.6707838287	0.589188837521	0.53746100743	0.616173501572	0.617857735285	0.630935443127	0.656114242067	0.554946905397	0.666838711827	0.548922731315	0.678322920088	0.722115966978	0.633464592478	0.592041344858	0.625993811116	0.604550083115	0.598180692888	0.611944070507	0.624162794255	0.637427156468	0.661815994858	0.694409050447	0.605682861714	0.66965463631	0.619514177583	0.637087048222	0.71669450696	0.629540583368	0.609607400625	0.662589599593	0.665823532979	0.639701328873	0.641819424945	0.632694537478	0.65580091013	0.61607241442	0.604686385495	0.611312029274	0.640995276117	0.653264828193	0.61991504957	0.678370926429	0.619531234336	0.632551417734	0.636414773522	0.646214848989	0.623842209927
CS.005	0.511290040319	0.630397649342	0.448494839121	0.613890750754	0.575844183259	0.553697722236	0	0.489611337414	0.650205748891	0.632735866714	0.517312309025	0.538906395717	0.570554935068	0.550239957063	0.700507874131	0.676734665922	0.637117826733	0.587905464431	0.65651684168	0.54971096065	0.579600527497	0.637544835346	0.643482058447	0.684162825507	0.47525518685	0.681440705166	0.777241589529	0.558117989863	0.690805556956	0.748229057503	0.690160639771	0.729427919259	0.653921671385	0.682192160574	0.552895552678	0.583422313539	0.60928701007	0.695782217174	0.587546139732	0.651724747734	0.696682025911	0.682768859504	0.737061096974	0.764691881125	0.687984403573	0.603862358106	0.673768849526	0.6952763602	0.651058558233	0.590098344385	0.67070362158	0.665334664415	0.736426032152	0.745878871215	0.6490876971	0.643773346338	0.665860806574	0.636674977814	0.604827915448	0.657496716398	0.636419741337	0.496460153396	0.560880257853	0.519347682992	0.503103041874	0.578818600705	0.542161451705	0.59423516295	0.63188142056	0.606684346068	0.536540606804	0.661152921489	0.567026897519	0.699644741892	0.615852434059	0.491892434429	0.511518053447	0.49443843254	0.586213995959	0.483392751913	0.552903109536	0.562331818911	0.563973629075	0.528863561598	0.508503637723	0.526032739326	0.542587142426	0.525768163385	0.522261957864	0.559664539133	0.496909484431	0.613738912199	0.475794766895	0.520953473855	0.602856483996	0.553443508755	0.704058332013	0.589131619684	0.53151213506	0.508859392581	0.680795921033	0.475202275758	0.617980263878	0.577737880826	0.594722536511	0.629112230227	0.544090960233	0.740473862675	0.704234764092	0.624849909148	0.638668183162	0.693599740525	0.615569126847	0.522070075927	0.713841998275	0.564990332404	0.655895096851	0.679223269815	0.643265242944	0.618896489866	0.690013985892	0.668428382524	0.538515685973	0.63115376853	0.578849539994	0.661261559655	0.68533520938	0.689944169826	0.590912125749	0.725660222675	0.565080542143	0.671220059251	0.767361967557	0.71009069073	0.617663205555	0.613431729508	0.613595519464	0.665214088314	0.677335043267	0.679187551212	0.628851702392	0.694341472258	0.733276634689	0.676309148797	0.667864308597	0.614482717945	0.602841181095	0.733492962004	0.503237796916	0.574620307484	0.66644007955	0.624296275419	0.527411251761	0.589803023554	0.507986878208	0.630055747352	0.586029128237	0.577549188528	0.568157144735	0.516698064889	0.596193053416	0.534363721291	0.611081014461	0.532992500351	0.509881188648	0.555515911827	0.551379632346	0.474145586292
CS.261	0.491309561126	0.586866462009	0.491205690565	0.650151096393	0.558786984176	0.602803418797	0.489611337414	0	0.612825127411	0.635327398274	0.496437558369	0.511713935087	0.611789073722	0.580008272843	0.719803577539	0.676207719951	0.649745622498	0.533128542702	0.60465908167	0.508595274295	0.606598118828	0.586311098068	0.643634389289	0.665571445009	0.467927865363	0.698994981298	0.767571315212	0.561525138103	0.647132170635	0.755946156697	0.686882116975	0.681142434172	0.671419355701	0.650026751358	0.497575250761	0.524849026376	0.626186940475	0.681815818634	0.594010887952	0.62281200844	0.692364716699	0.666914643421	0.731915718775	0.75095069792	0.641578027766	0.569290490125	0.643900155678	0.67130549369	0.62938406921	0.58826191901	0.623175470803	0.637339265557	0.743128702745	0.737150772867	0.599551028499	0.601244157722	0.665096169895	0.615404201146	0.565064555089	0.642754857581	0.568100801386	0.469305563285	0.500196784484	0.440821572701	0.459211390256	0.516178022913	0.508630729064	0.514102576173	0.617296621497	0.564125103901	0.455695061488	0.633942850233	0.511933562852	0.681844019712	0.545562715424	0.447522667481	0.432895156254	0.429063171286	0.53265781029	0.436539081264	0.498751294319	0.493854079728	0.559066013433	0.483399199796	0.446134072207	0.513930150427	0.538055381759	0.44727669084	0.547385337577	0.491342699536	0.484684838303	0.668350809315	0.526180203405	0.467918305707	0.614294025458	0.560919325882	0.695474227463	0.57550605518	0.54529703333	0.450719724763	0.654520868128	0.531190047929	0.637530738902	0.543752577749	0.56682795362	0.572805691475	0.559225941692	0.723881862366	0.700130795594	0.631250337202	0.583448369764	0.711211928613	0.624275370722	0.59654357319	0.743357125159	0.537831703384	0.631467774094	0.684998164424	0.614775919441	0.579490316576	0.648895764802	0.636621345053	0.489940977743	0.649687824802	0.518640259921	0.641023755058	0.652424802453	0.650856605647	0.605505609708	0.745832673254	0.549974958651	0.642082717249	0.744904334743	0.676978940658	0.575593951751	0.562510996776	0.571597340837	0.650438168035	0.670767440846	0.649763299232	0.612955946508	0.657402000411	0.745963036413	0.633697705337	0.569280197451	0.56380664533	0.54525751286	0.713482224678	0.446366446324	0.511280034602	0.65264670944	0.569631745288	0.474622634249	0.489212081618	0.445898776696	0.547592859635	0.523484910655	0.506820680179	0.47104285723	0.437324063138	0.535310198058	0.482145120634	0.55424064956	0.495062000328	0.459838475378	0.520367834134	0.48703014761	0.445667995597
L.033.M1	0.605580237147	0.625833156696	0.65164882745	0.656762551583	0.643988789078	0.65744835235	0.650205748891	0.612825127411	0	0.621795168464	0.66208851805	0.63767628844	0.633380890546	0.588072080217	0.679743675043	0.687029903032	0.605752859176	0.602484575992	0.643983826402	0.604878372497	0.631227952172	0.597694178007	0.611913409248	0.660840941546	0.607440727226	0.647323923258	0.708070685801	0.630341699506	0.633217719003	0.683776960293	0.65548503029	0.692555840571	0.648548149516	0.647463072828	0.59137361446	0.589596588117	0.629414744247	0.6694046672	0.646284360706	0.588219030847	0.677925971436	0.642255709305	0.669290652885	0.725434829208	0.636801906248	0.653453970284	0.639105889803	0.684927872572	0.680670355602	0.636806592139	0.67479643343	0.671116166293	0.716108063274	0.695945559898	0.673493074591	0.665632839199	0.666111138645	0.652334820371	0.65742082698	0.663383194736	0.566399087616	0.664329241052	0.611193783962	0.566652434412	0.60917827012	0.630021423236	0.646191256309	0.622919574195	0.615997399689	0.640045795421	0.601415528181	0.646427017957	0.573882257179	0.632366877222	0.591246886497	0.645847090662	0.605394972427	0.618029619261	0.630392672161	0.627388678409	0.609551926535	0.589951714081	0.62425638218	0.662657700004	0.630210899617	0.629944327219	0.624449381935	0.611807253902	0.653420594038	0.606498725395	0.60604171083	0.637846692239	0.644229685512	0.614378425365	0.569572183505	0.599872468018	0.660823346163	0.587719845614	0.632291990336	0.604303735233	0.571966134267	0.647215273118	0.644802060878	0.577163095707	0.583022344761	0.563064950837	0.619545296671	0.66335719356	0.645956048928	0.635345855457	0.607379041966	0.659235152275	0.661818979383	0.640033435434	0.691295506795	0.587608976939	0.64189604126	0.655718156523	0.617384267157	0.592748606001	0.669453216098	0.588933817418	0.60031583782	0.623095301277	0.561192951797	0.650311329196	0.666309907656	0.652450087859	0.605166703903	0.684889519182	0.642900847	0.587037578913	0.733234210835	0.671318003434	0.632723556652	0.604492497451	0.656069551725	0.671957603793	0.648123805562	0.663337393206	0.626037401357	0.612715903516	0.69844000747	0.663423519219	0.587409324249	0.631167886269	0.59224898423	0.671893051144	0.613127530613	0.569545348403	0.648232250456	0.593321980575	0.585216014555	0.576213730253	0.611320738635	0.563847231018	0.567210530288	0.576034604486	0.582129795193	0.592235965516	0.587510285908	0.580874022224	0.581257121996	0.58068482385	0.613180999022	0.556913182734	0.577281222701	0.615974225445
L.025.M1	0.640498489814	0.671655211012	0.660321057576	0.621238581592	0.604983414988	0.621853676388	0.632735866714	0.635327398274	0.621795168464	0	0.676526244464	0.574837094254	0.623177754241	0.580496548554	0.682117757806	0.697194365803	0.647821138803	0.652101946273	0.67185150486	0.604157178462	0.654086261107	0.62309730075	0.646418087746	0.668856993091	0.642858330335	0.660317165717	0.712674761866	0.630259385218	0.688904748476	0.679053804409	0.671816743241	0.710186739435	0.688003574134	0.697384807972	0.649892388305	0.623582855263	0.655755727572	0.695150186062	0.679147219062	0.646116000131	0.720213638588	0.69205272226	0.718463124693	0.711613821306	0.681863656974	0.666695501127	0.6952480923	0.671458164944	0.711761457097	0.635859639263	0.705609808856	0.668799671609	0.737100210593	0.734640152357	0.707690487154	0.705578112434	0.697934593045	0.67695916697	0.69297972002	0.714714073853	0.63823758873	0.635407786731	0.654798701451	0.611437868272	0.652426891724	0.645108286415	0.634602134226	0.641014120484	0.657337902479	0.651843401702	0.603870750696	0.645694147076	0.631014484687	0.673587276298	0.629734992748	0.691116461498	0.673987529395	0.655142279773	0.648518836108	0.653727396903	0.633745103764	0.619254889692	0.586854084869	0.671019275343	0.643776887425	0.626489276448	0.634635988535	0.615954638236	0.684453784018	0.625470406609	0.626891917903	0.621948682897	0.61762848901	0.634535071686	0.584576986519	0.585018865971	0.679829559443	0.5899486726	0.621214883561	0.629422764309	0.598084268966	0.654725032974	0.643437566054	0.604592884367	0.612216307981	0.62867684543	0.640417857139	0.730050430363	0.673591986701	0.678706747576	0.640081597101	0.667842447691	0.683403949078	0.642598734953	0.700126956553	0.596276251248	0.672515300491	0.676855735366	0.674885128966	0.660055939688	0.673742754725	0.668546517249	0.653095027744	0.651940899633	0.603705137976	0.688551355923	0.674277640786	0.669714475327	0.631533084197	0.706512672938	0.684429566746	0.643667116568	0.728938312437	0.673010893123	0.660943326796	0.658280264678	0.668658279523	0.686226801726	0.683227713081	0.697641793696	0.678674121872	0.669138638277	0.744549819097	0.688216132213	0.62902180647	0.614149807387	0.620968333918	0.709068992812	0.657775800938	0.603649795341	0.608670320673	0.619588871036	0.633030405566	0.5985971223	0.63278257573	0.602031191749	0.610497241382	0.617746738112	0.603645917496	0.644354247083	0.559124426077	0.635935600866	0.550040281011	0.627229420408	0.632312832438	0.573855307504	0.601148475979	0.639437336972
