p__Euryarchaeota	k__Bacteria	p__Actinobacteria	p__Bacteroidetes	p__Elusimicrobia	p__Firmicutes	p__Fusobacteria	p__Lentisphaerae	p__Proteobacteria	p__Tenericutes	p__Verrucomicrobia
CS.357	0	0	0.0971007356774605	0.347231072235417	1.44818397729248e-05	0.504330070092105	8.68910386375485e-05	1.44818397729248e-05	0.0512222672768348	0	0
CS.264	0.000709524833369168	0.000236508277789723	0.453042356482477	0.168694904321651	0	0.222575790152655	0.00367662868200387	0.000107503762631692	0.150655772952053	0.000301010535368738	0
L.006.M1	0	0.0250597458289594	0.0205034284055122	0.203314497576665	2.23348893306234e-05	0.740267571974181	0	0	0.0108100864360217	2.23348893306234e-05	0
CS.028	0.000459755016255624	0.0139896883517783	0.0304751896489442	0.398738957669699	0	0.508653246198811	0.00417063479031887	9.85189320547765e-05	0.0431512922399921	0.000262717152146071	0
CS.313	0.000710580544304697	0.000663208508017717	0.0887515099836566	0.165423150714133	0.000118430090717449	0.579596863971198	0.000260546199578389	0.000165802127004429	0.140931807953765	0	9.47440725739596e-05
CS.295	0	4.15305387895232e-05	0.0688299462871698	0.352165125422227	0	0.553698986654854	0	0.00012459161636857	0.025001384351293	4.15305387895232e-05	1.38435129298411e-05
CS.098	0.00672099470721667	0.00190428183371139	0.0359573216836092	0.313562407236271	0	0.611246464476743	0.000140020723067014	0.000364053879974236	0.0275560782995883	0.00254837715981965	0
CS.010	0.00313873195229127	0.0155367231638418	0.0230696798493409	0.186911487758945	0	0.454645323289391	0.00266792215944758	0	0.0674827369742624	0.219711236660389	0.0230696798493409
CS.037	0	0.0112310385064177	0.0378500583430572	0.394909568261377	0	0.468859393232205	0	0	0.0870770128354726	3.64644107351225e-05	3.64644107351225e-05
CS.093	0.000216778668978972	0.085546282245827	0.0616464339908953	0.258400173422935	8.12920008671147e-05	0.54330153912855	0.000162584001734229	0.000189681335356601	0.0435454151311511	0.00682852807283763	8.12920008671147e-05
CS.281	0.000235248829102419	4.2772514382258e-05	0.0408905237494386	0.368185803802477	0.00149703800337903	0.497080775893411	4.2772514382258e-05	0.00566735815564918	0.0858230501080006	0.000342180115058064	0.000171090057529032
L.002.M1	4.83547303014917e-05	4.83547303014917e-05	0.0717584197674137	0.136916418848674	0	0.789995406300621	0.000193418921205967	0	0.00101544933633133	0	0
L.036.M1	0	0.00926269752857202	0.027973759128605	0.291702768494451	4.12592317531048e-05	0.601085117795107	0	0	0.0694805462722284	0.000453851549284152	0
L.025.M1	0	0.00604117448531893	0.0733715828552143	0.194195072561593	0	0.562537968275397	0.000742490718866014	0	0.163077961525481	0	3.37495781302734e-05
CS.296	0.000400502448526333	0.000382297791775136	0.0475323587773753	0.341628588592962	0.0218455881014363	0.471136516720977	0	0.0167664888678524	0.100216635415339	0	5.46139702535909e-05
CS.040	0.000431649898728293	0.000664076767274297	0.0510675034033934	0.385728990271275	0	0.545439452800744	0	0	0.0153401733240363	0.00132815353454859	0
CS.056	0	0.00437022007179647	0.0636803496176057	0.274231309505229	0	0.633174652723584	0	0.00085843608553145	0.0171297018885594	0.0030825659434993	0.00347276416419541
CS.050	3.3208248929034e-05	0.00112908046358715	0.199847242054926	0.205027728887856	0.000863414472154883	0.569455052635075	0.000398498987148408	6.64164978580679e-05	0.0229136917610334	3.3208248929034e-05	0.000232457742503238
CS.230	0	0.000505701375181482	0.119312898647657	0.466338232655258	0	0.355605944438101	4.89388427594982e-05	0	0.0581882840410434	0	0
CS.118	0	0.000884955752212389	0.175884955752212	0.275921828908555	0	0.517883480825959	0.000405604719764012	0.000553097345132743	0.0280604719764012	0.00025811209439528	0.000147492625368732
CS.149	3.29804425975397e-05	0	0.124204346822334	0.274199399755945	0	0.454437518551499	0.0599914250849246	0	0.0378615481019755	0	0.0492068203555292
CS.122	0.000138240884741662	0.00991878348021427	0.0844306203559703	0.425436322792466	0	0.454777950578884	6.91204423708312e-05	0.000138240884741662	0.0237083117331951	0.00138240884741662	0
CS.334	0	0.00863140849550357	0.00556631871150565	0.294581152589423	0	0.687765665211231	0	0	0.00344099702165804	0	0
CS.301	0.000352340125667978	0.00538786775500617	0.0914616242879793	0.353044805919314	0	0.499926595807152	0	0.00215808326971637	0.0469933642609666	0.00032297844852898	0.00032297844852898
CS.077	0.000318291130287169	0.000212194086858113	0.230018390154194	0.355495826849625	0	0.393690762484085	0	0	0.018849908049229	0.0011317017965766	0.000247559768001132
CS.367	0	0	0.0983477417791064	0.28793326331098	0	0.567524440494465	4.03975115132908e-05	2.01987557566454e-05	0.0461137593924214	0	0
CS.377	0.000192323543149161	0.000329697502541418	0.0766271945490013	0.293678050388768	0	0.579910432178476	0.00343434898480644	0.000384647086298321	0.02519438415254	2.74747918784515e-05	0.0202214468225403
CS.171	0	0.000290877358833582	0.0679562229574956	0.396574919099735	0	0.502781514743846	0.000109079009562593	0.000763553066938152	0.0313056757444642	0.000181798349270989	0
CS.042	0	0.000110807416709758	0.173118120706213	0.272623180911576	0	0.515476102533796	7.3871611139839e-05	0.000258550638989436	0.0381916229592967	0	0
CS.381	0.000174848100712506	0.00837085282161123	0.0757092276085151	0.213205402806312	0	0.662368317524151	0	0.000305984176246885	0.0390129824714779	0.000721248415439087	0.00013113607553438
CS.302	0	3.63191728913694e-05	0.117093013401775	0.289149041779155	0	0.512294040023729	4.84255638551591e-05	0	0.0813428408857036	0	0
CS.203	0	0.000780704959968107	0.0355137703066343	0.417344938706355	0	0.523354705823727	0	0	0.0227401083020498	0.000265771901265739	0
CS.128	0	0	0.0514088376108626	0.277097559061298	0	0.648222274546739	0	0.000313947099913665	0.0185621222823954	0.000745624362294953	0.00357114826151793
CS.292	0.000836986847349542	0.000358708648864089	0.0550418493423675	0.277042646472698	7.97130330809087e-05	0.652012754085293	3.98565165404544e-05	0	0.0145874850538063	0	0
CS.374	0	6.83480281593876e-05	0.0985578566058369	0.19424509602898	0	0.67295468525733	0.032260269291231	6.83480281593876e-05	0.00177704873214408	0	0
CS.126	1.85113196719794e-05	7.40452786879177e-05	0.0482404990651784	0.283797041891116	1.85113196719794e-05	0.632050498880065	9.25565983598971e-05	0.000536828270487403	0.0209548138686807	0.000814498065567094	0.0133836841228411
CS.378	4.52304491383599e-05	4.52304491383599e-05	0.0568999050160568	0.271699307974128	0	0.583698946130535	0	0	0.0144285132751368	0	0.0731828667058664
CS.125	0	2.70146149066645e-05	0.128346435421563	0.37774536023989	0	0.437272064186725	0.012278142475079	1.35073074533323e-05	0.0442904611394765	0	1.35073074533323e-05
CS.224	0	0	0.044092929013838	0.425042020676475	0	0.518454560106836	2.30250282056596e-05	0	0.0123644401464392	0	0
CS.213	0	8.92976737955976e-05	0.135040407197393	0.326249051212216	0	0.528285038174756	0	2.23244184488994e-05	0.00984506853596464	0	0.000468812787426888
CS.375	3.8768705900597e-05	3.8768705900597e-05	0.206714739861983	0.248429867411026	0	0.527642087307126	3.8768705900597e-05	0.000155074823602388	0.0168256183608591	0	0.000116306117701791
CS.041	0	0.00010148849797023	0.0192489851150203	0.393741542625169	0	0.565933694181326	0.00429634641407307	6.765899864682e-05	0.0164073071718539	3.382949932341e-05	0
CS.282	0	0	0.0745996878432279	0.369038672755651	0	0.496040233539511	0.0102607087114862	0	0.0302185097404474	0	0.0198277357072663
CS.376	0	0	0.0624985005158226	0.349079916508721	0	0.573642666922579	4.79834936781747e-05	0	0.0145150068376478	0	0.000215925721551786
CS.236	0	0.00259327864514422	0.163006086266208	0.0383699391373379	0	0.782376290023816	0	0	0.0127017729558084	0	5.29240539825351e-05
CS.348	0.0944557643806728	0.00351947108191676	0.0839543466180305	0.33966458158191	1.42488707769909e-05	0.444023311152591	1.42488707769909e-05	0	0.0153317849560422	0	0.0190079936165059
CS.256	0	3.01909578081365e-05	0.128085138501019	0.262072609253529	0	0.607185447958337	1.50954789040682e-05	0	0.00135859310136614	1.50954789040682e-05	0.00122273379122953
CS.268	3.24359390204346e-05	0.00210833603632825	0.0807654881608823	0.209017191047681	0	0.685371391501784	0.000518975024326954	3.24359390204346e-05	0.00895231916963996	3.24359390204346e-05	0.0131689912422965
CS.386	4.50176694352533e-05	4.50176694352533e-05	0.010128975622932	0.303126477142278	0	0.667454475881784	0	2.25088347176267e-05	0.019110000675265	0	6.752650415288e-05
CS.369	2.79056788056369e-05	0.00652992884051905	0.0198130319520022	0.418027068508441	0	0.549379098646575	0	0	0.00613924933724013	0	8.37170364169108e-05
CS.349	0.0139104328246185	0.013710282712034	0.0115586690017513	0.311683762822117	0	0.591343507630723	0	0.000225168876657493	0.0464848636477358	0	0.0110082561921441
CS.385	0.000236905582356995	0.0024552033080634	0.168784458993797	0.299599414197105	0	0.479733804272915	0	0.00525499655410062	0.015592694693315	0	0.028342522398346
CS.323	0.0600638977635783	6.08550129316903e-05	0.0895329377757493	0.353643693899285	1.52137532329226e-05	0.460946295451088	0	0.00225163547847254	0.0160809371671991	0	0.0174045336984634
CS.395	0.0652167050727611	0.000883866283657944	0.0643328387891032	0.26092995359702	3.15666529877837e-05	0.574860317560529	0	0.00183086587329145	0.0272104548754696	0	0.00470343129517977
CS.166	0.00529018605971459	0.0290831204356017	0.00810301669634332	0.344249180666305	0	0.55810172640706	2.58057856571443e-05	0	0.045418182756574	0	0.00962555805011484
CS.177	1.7195130339088e-05	6.87805213563519e-05	0.142891533117821	0.306400027512209	0	0.517504642685192	3.43902606781759e-05	0	0.0330662356420662	0	1.7195130339088e-05
CS.178	0.107089663389931	0.000148942508191838	0.0292969913613345	0.356478999106345	0	0.4510872803098	1.48942508191838e-05	0.000297885016383676	0.0555406613047364	2.97885016383676e-05	1.48942508191838e-05
CS.148	0	0	0.00802669021685801	0.306329113924051	0	0.596310470022569	1.96251594544206e-05	3.92503189088411e-05	0.0609361201059759	0	0.0243744480423903
CS.372	0	1.9752306081735e-05	0.0310506251604875	0.309518636300788	0	0.624469156774053	0	3.95046121634701e-05	0.012898255871373	0	0.0211349675074565
