CS.280	CS.021	L.033.M1	CS.265	CS.098	L.035.M1	CS.296	L.002.M1	CS.174	CS.039	CS.005	L.031.M1	CS.016	L.025.M1	CS.245	CS.290	CS.248	CS.065	CS.154	CS.067	CS.388	CS.301	CS.360	CS.269	CS.063	CS.040	CS.115	CS.229	CS.060	CS.137	CS.378	CS.205	CS.203	CS.213	CS.232	CS.236	CS.041	CS.282	CS.136	CS.126	CS.224	CS.302	CS.125	CS.374	CS.128	CS.148	CS.177	CS.268	CS.147	CS.323	CS.181	CS.183	CS.254	CS.256	CS.386	CS.348	CS.166	CS.129	CS.372	CS.389	T.CS.048	T.CS.050	T.CS.058	T.CS.007	T.CS.038	T.CS.069	T.CS.040	T.CS.079	T.CS.082	T.CS.085	T.CS.022	T.CS.041	T.CS.029	T.CS.023	T.CS.042	T.CS.092	T.CS.108	T.CS.112	T.CS.160	T.CS.107	T.CS.180	T.CS.110	T.CS.167	T.CS.144	T.CS.125	T.CS.124	T.CS.098	T.CS.120	T.CS.153	T.CS.100	CS.238	CS.088	CS.242	CS.015	CS.246	CS.103	CS.085	CS.082	CS.237	CS.356	CS.110	L.024.M1	CS.241	L.034.M1	CS.006	CS.234	CS.191	CS.330	CS.164	CS.387	CS.274	CS.188	CS.325	CS.150	CS.044	CS.151	CS.345.0	CS.212	CS.228	CS.338	CS.080	CS.112	CS.163	CS.321	CS.331	CS.361	CS.285	CS.158	CS.202	CS.319	CS.194	CS.152	CS.320	CS.227	CS.339	CS.390	CS.255	CS.370	CS.253	CS.145	CS.270	CS.393	CS.262	CS.326	T.CS.061	T.CS.064	TFS.022	T.CS.008	TFS.027	T.CS.055	T.CS.049	T.CS.036	T.CS.031	TFS.021	T.CS.026	TFS.020	T.CS.066	T.CS.043	T.CS.045	T.CS.109	T.CS.152	T.CS.157	T.CS.166	T.CS.158	T.CS.142	T.CS.151	T.CS.095	T.CS.141
CS.280	0	0.654303345233	0.624808440109	0.508258729675	0.500086409019	0.604476000483	0.4727615067	0.661754829739	0.429640906667	0.602369784776	0.491874071435	0.55917739607	0.606935313467	0.630857887731	0.564970967318	0.683872867359	0.665013691033	0.631427432885	0.794228071276	0.76552556273	0.709420148344	0.60979255994	0.658207138582	0.776318826047	0.727907026435	0.578393000681	0.694486762642	0.675135677279	0.632023679109	0.561293073161	0.706029949544	0.712662869223	0.547864394752	0.704310659898	0.554528129687	0.719511470885	0.688477680879	0.702110579932	0.670300121084	0.550837177249	0.755003291566	0.731263231311	0.668315097551	0.677191558095	0.599817325163	0.710514499742	0.689051650517	0.706978549682	0.66990029022	0.646941198934	0.643882235798	0.762900913484	0.671656590594	0.661719424046	0.714025187124	0.621268593738	0.706826340424	0.600981538607	0.655362750828	0.686220476512	0.564006684087	0.605885995898	0.569785530876	0.657471928385	0.51967542425	0.581245781562	0.471419580001	0.693552427465	0.556474318153	0.524497056148	0.599623789067	0.543023406629	0.634902690612	0.764501041503	0.459565326677	0.540324218134	0.431215999968	0.520488488491	0.469490106895	0.444425316184	0.562161908613	0.493971709438	0.472717562004	0.452806231356	0.53160817472	0.498751141956	0.476461596399	0.496503969839	0.473100595549	0.492666156967	0.562714857254	0.64935691803	0.482841361174	0.562769236677	0.509548550178	0.579906082556	0.562269529028	0.561705667993	0.671130442555	0.702067763834	0.650237232432	0.53338649497	0.495306638857	0.586423625843	0.518542852975	0.682010669294	0.506338221322	0.660489147477	0.748444856084	0.613425400906	0.695071542771	0.662456554884	0.769484429833	0.599081810626	0.555935866146	0.634156247226	0.786993369634	0.650627733316	0.637981429162	0.657955214685	0.626050834909	0.684947815559	0.67791615382	0.547670078654	0.592938306462	0.682985179559	0.755422237078	0.666855756448	0.678938612717	0.672617721329	0.75382051263	0.526069377314	0.598456186404	0.788970634908	0.683113425422	0.66472178472	0.618084880735	0.66959556546	0.753098372429	0.585169449734	0.672385334812	0.688645749424	0.684852840419	0.63799138223	0.593417274613	0.526575327799	0.468897721871	0.610284068336	0.525567264275	0.511096721741	0.652196854494	0.538112879025	0.549014724262	0.606599416376	0.741336787612	0.471674188621	0.481259994081	0.529904197644	0.585903193743	0.432423887436	0.518061260155	0.523524988416	0.494252711599	0.451949466708	0.542652411111	0.455740873916	0.457050701988	0.522334794575
CS.021	0.654303345233	0	0.620160160281	0.670182211781	0.645163474759	0.556706618031	0.634614183751	0.612108804234	0.631157243458	0.619454018525	0.636943954241	0.591678639482	0.605788625949	0.663791750308	0.603879893231	0.578428602974	0.549051750231	0.553156030902	0.665260682278	0.647212157624	0.652980286477	0.535190153846	0.530266308156	0.649628793786	0.586354522807	0.627391748006	0.60641779954	0.538404917526	0.608947688213	0.565069274833	0.647843704744	0.587033114654	0.618335848782	0.586011405221	0.610797576035	0.642304140867	0.577495815264	0.581361826243	0.556096056637	0.571149258636	0.672671517811	0.582362653268	0.532094176665	0.574881927048	0.586573116714	0.630088339871	0.623849873602	0.636280192071	0.55770158467	0.571073621483	0.585540510191	0.637184569475	0.575114166813	0.589083439413	0.666066641105	0.573260596917	0.629425717061	0.624661583611	0.577687597864	0.540717622962	0.576748803226	0.624299924597	0.621364234257	0.585425632002	0.645170481363	0.564556613804	0.598028476155	0.56751094323	0.620009554564	0.588395709238	0.592542859551	0.569752208668	0.613248825604	0.688282340309	0.638821180212	0.681057007324	0.673303268248	0.578509698048	0.652594463796	0.637240520947	0.638063646182	0.636020613058	0.61914072648	0.655466329579	0.574692186827	0.63575741006	0.663957116374	0.601587503013	0.665014210734	0.659140502081	0.587964718335	0.667744611581	0.604084494233	0.657258351914	0.609628407066	0.622176840054	0.592064479314	0.621246092362	0.575812929821	0.63483616274	0.586823515648	0.651659711188	0.652187158371	0.585318806827	0.557381035231	0.617126788332	0.631430462489	0.573137506161	0.662760529262	0.526117261821	0.584572440047	0.605009832459	0.66229639167	0.580708187993	0.56929937245	0.601338818051	0.623373310986	0.613286136066	0.605169662497	0.605319253106	0.563424235547	0.566290090885	0.570838566199	0.621371230817	0.560033075281	0.606501374579	0.594546341044	0.575320119532	0.643914709466	0.555064208697	0.632392882677	0.586780728685	0.55257694664	0.652206794462	0.604573191152	0.599533188166	0.547419900186	0.582139917764	0.659145350691	0.585323979723	0.592613365268	0.635467662985	0.568561499512	0.563407249698	0.590481990552	0.61202618972	0.642465821414	0.590489904464	0.597660819169	0.590362665147	0.557609203962	0.617738131898	0.585342102589	0.607493184412	0.601086405771	0.635275576625	0.638834221441	0.616201227979	0.602426088195	0.652267572482	0.578433579513	0.62925814202	0.608869204399	0.617045821563	0.654748960879	0.648137562074	0.672039708765	0.65093298383
L.033.M1	0.624808440109	0.620160160281	0	0.659234084517	0.647087002152	0.594217378528	0.587821307711	0.611351362165	0.591915692325	0.633380890546	0.650205748891	0.66208851805	0.624385376828	0.621795168464	0.567397520119	0.660840941546	0.630166070825	0.631598605094	0.71594814947	0.683776960293	0.688585840217	0.662811464837	0.643983826402	0.697699859852	0.673204462095	0.630341699506	0.649141997596	0.628816255509	0.597974392496	0.650585161993	0.652510946328	0.692555840571	0.589596588117	0.65548503029	0.632688183318	0.677925971436	0.648548149516	0.6694046672	0.629414744247	0.59137361446	0.725434829208	0.669290652885	0.647463072828	0.642255709305	0.611394005727	0.684927872572	0.64961672195	0.666111138645	0.639105889803	0.673493074591	0.652334820371	0.695945559898	0.651818876546	0.671116166293	0.680294667536	0.65742082698	0.675629532597	0.636806592139	0.67479643343	0.675246085569	0.604722994606	0.616303158764	0.594277304662	0.646427017957	0.665292066889	0.643719442883	0.566652434412	0.632366877222	0.591150241535	0.573882257179	0.640045795421	0.586592761175	0.641399144787	0.705367455346	0.60917827012	0.653420594038	0.633608747018	0.587313392159	0.641450366857	0.59553780298	0.624449381935	0.618487895818	0.578340806485	0.611807253902	0.583021020508	0.599223458267	0.630744287606	0.589951714081	0.640086067921	0.639914236601	0.599872468018	0.571966134267	0.604303735233	0.587719845614	0.60604171083	0.632291990336	0.644229685512	0.647215273118	0.637846692239	0.660823346163	0.644802060878	0.577163095707	0.614378425365	0.583022344761	0.563336891759	0.662717663123	0.607204656575	0.64189604126	0.691295506795	0.607379041966	0.65203553755	0.632165124616	0.719401098233	0.619545296671	0.587608976939	0.655192741542	0.708942313648	0.651713945671	0.628964320818	0.661818979383	0.605166703903	0.623095301277	0.619345830093	0.561192951797	0.642900847	0.620794342109	0.684889519182	0.636033502238	0.588933817418	0.669453216098	0.733234210835	0.60031583782	0.632723556652	0.717831645218	0.587037578913	0.671957603793	0.656069551725	0.663423519219	0.69844000747	0.604492497451	0.663337393206	0.648123805562	0.612715903516	0.626037401357	0.631167886269	0.582129795193	0.613127530613	0.587409324249	0.576213730253	0.576034604486	0.648232250456	0.623759781508	0.569545348403	0.563847231018	0.671893051144	0.611320738635	0.585216014555	0.567210530288	0.59224898423	0.615974225445	0.58068482385	0.556913182734	0.580874022224	0.592235965516	0.581257121996	0.577281222701	0.613180999022	0.587510285908
CS.265	0.508258729675	0.670182211781	0.659234084517	0	0.523403447188	0.638107432943	0.519529725459	0.672876020627	0.511386330074	0.636091066038	0.481863844711	0.48468093881	0.63954930926	0.676851322449	0.644904601766	0.702101866738	0.639812603859	0.667980953441	0.797628300748	0.775093957464	0.767801682004	0.598706389719	0.647049118271	0.794144063097	0.721666804386	0.620944989326	0.680436433414	0.703933355198	0.660692661836	0.601158910069	0.724382770384	0.730830094843	0.590726276457	0.712957457918	0.552531139558	0.716739709643	0.688949008475	0.702566775255	0.656820731655	0.577610978374	0.782217770551	0.768225495058	0.678653483704	0.685554477987	0.602932965594	0.68499099083	0.700166737802	0.670226445199	0.696249868933	0.643768481077	0.644906815189	0.746438636878	0.655680617617	0.658709843652	0.723669420031	0.591512541078	0.67993284431	0.611196146214	0.65386619247	0.677836900152	0.601694198859	0.642110465277	0.595036195122	0.701304141959	0.48446490993	0.609743335538	0.540387714828	0.719287058108	0.603410740492	0.581696729422	0.627815880713	0.593450448843	0.633063547985	0.775422903278	0.496216712753	0.479424182499	0.465015550674	0.599350704724	0.440214436998	0.50384373438	0.556812571179	0.495054666716	0.562121020537	0.539964648246	0.603626028347	0.512913397848	0.491110313033	0.572775635351	0.439380848435	0.499498683213	0.616922328671	0.719109511033	0.513637299664	0.630303817112	0.535626561125	0.582547438837	0.526054929374	0.511741759423	0.664682796926	0.750851270923	0.641662639619	0.614122600618	0.575195447001	0.584241178575	0.596801877806	0.684654596021	0.568820669202	0.667443372266	0.740291173873	0.653296233742	0.720338647856	0.723757175436	0.772974253	0.577443249607	0.629788574857	0.613384904501	0.79096705924	0.733049273036	0.639854187179	0.629400824494	0.652606925928	0.663662864014	0.673949482664	0.623322019942	0.546744710971	0.72426818275	0.750826884491	0.670768326636	0.716098726716	0.696908332727	0.77151346117	0.541034133798	0.616074551369	0.811513998632	0.714534723984	0.684745293575	0.623070762748	0.675644809833	0.753436441053	0.615078073845	0.677284177744	0.6928871714	0.695987241037	0.645779981715	0.668011649939	0.576030789062	0.49675472575	0.684785023821	0.607737810048	0.592035914141	0.693307578703	0.547374016214	0.614926184529	0.647299772177	0.740288399448	0.51052594462	0.530979346262	0.612122353044	0.63593972645	0.471312210241	0.57159594321	0.617240491992	0.556340680986	0.512250764839	0.642196703452	0.574332177008	0.483326994976	0.638609272265
CS.098	0.500086409019	0.645163474759	0.647087002152	0.523403447188	0	0.621298782045	0.549250444396	0.67403963917	0.487263513084	0.580104113334	0.49470383278	0.556366839725	0.587622891794	0.639120571823	0.585354993512	0.690122629769	0.641167776874	0.627050591142	0.771112659985	0.763881965587	0.746820608866	0.603444580534	0.649094030606	0.78838680003	0.723860614152	0.563602243522	0.686051673718	0.660964417777	0.636423592045	0.557082448116	0.729605400163	0.734275780706	0.571418340397	0.713373783195	0.535049733571	0.698631898389	0.642084985517	0.713393169076	0.632040770438	0.55428340257	0.782481103133	0.760588688774	0.697754328397	0.684875737711	0.612406692772	0.707824898587	0.701027179807	0.699111730981	0.687775605937	0.656699719792	0.65083577459	0.757410251188	0.672919000575	0.680038941345	0.731274548492	0.594419956199	0.692169160514	0.6090026056	0.656219396809	0.665461920099	0.565889114002	0.633012215465	0.596286099159	0.673626382491	0.502615334889	0.588584795462	0.51360930813	0.700490046838	0.581242881547	0.585400496768	0.613419300826	0.577681422124	0.645928312725	0.779034967747	0.539179302518	0.571606047389	0.472817403564	0.589883664155	0.490457946649	0.53317883157	0.580565225222	0.49599523561	0.542828708942	0.527668682524	0.570551455402	0.518252321423	0.529936248495	0.561768154577	0.509288763604	0.570383069067	0.577726921497	0.660356511613	0.518566531259	0.570692043632	0.562926540251	0.524155403145	0.534482434208	0.550209112066	0.671944341796	0.724575936055	0.655212714049	0.605835666976	0.476239139471	0.605206742726	0.575952781726	0.703497222239	0.513244981343	0.674630702152	0.750436946818	0.63081288989	0.715290277201	0.700067714259	0.772080796377	0.599272425443	0.55711872875	0.601774187257	0.784847802683	0.701792140901	0.640530038882	0.641454990196	0.597440707781	0.654325403681	0.676045422133	0.57436105276	0.576751088079	0.706679484822	0.752665941699	0.665600787704	0.694606934042	0.684143961202	0.768949100578	0.532352734367	0.60851567208	0.804836698449	0.689343883326	0.663431830261	0.610067092413	0.65076134323	0.756540727757	0.611253501839	0.67101558754	0.679446276804	0.665655415963	0.65022129682	0.638972155219	0.532274506326	0.516285433209	0.629418902764	0.563592837153	0.555733816695	0.678423929681	0.548872449824	0.552503176518	0.597391584078	0.734120867344	0.498681432676	0.533172212163	0.582344458927	0.599633839588	0.521757162059	0.554513081022	0.582519315432	0.582637860574	0.532273513359	0.603048300777	0.556268204784	0.496486578723	0.582476181342
L.035.M1	0.604476000483	0.556706618031	0.594217378528	0.638107432943	0.621298782045	0	0.581872375663	0.551197915537	0.578231151168	0.612352628304	0.6229017551	0.593731601606	0.59179214795	0.62284066982	0.575926513439	0.541108010113	0.557749387092	0.55515521007	0.702399278782	0.668959117696	0.644740030665	0.558563980965	0.567608971931	0.648575603272	0.641244057782	0.633988345132	0.663233003432	0.571362556574	0.597752425452	0.530739858068	0.633154145091	0.576072135376	0.572457475105	0.571131686727	0.600063632215	0.673899166384	0.643512469659	0.560857579334	0.600963934988	0.510404723745	0.662773056602	0.636383020495	0.531452972867	0.593809143202	0.587932013467	0.569468066911	0.574336299694	0.612691259242	0.549221613689	0.55654488458	0.558441285176	0.662331494579	0.567029257795	0.566503467455	0.577787024799	0.593973063542	0.588391387789	0.524037767155	0.56269209447	0.532698244769	0.529202545611	0.573681282428	0.541459040364	0.550154343995	0.621266992504	0.528555957444	0.579388810139	0.546010959235	0.537122528583	0.560241467742	0.558933612318	0.546016117919	0.586252303228	0.680106896116	0.583755702347	0.648211362597	0.609535938753	0.54628971737	0.591420631733	0.560365668302	0.594782554811	0.574495073939	0.556980619758	0.591556025718	0.516119150247	0.578911991055	0.62793784613	0.544362304013	0.615234985799	0.638988788413	0.588162014917	0.65153760666	0.534585605991	0.643202594762	0.551793200619	0.623009384857	0.596759023444	0.616491867922	0.60777675923	0.631189994675	0.610614438561	0.589506106706	0.612262973883	0.567385870938	0.571442442046	0.604519440144	0.582270117282	0.527913320837	0.689275030134	0.478447250618	0.537761585059	0.574109024303	0.659725418389	0.558836004382	0.554509114999	0.620298274215	0.679417380505	0.581265719439	0.59853756868	0.587846653963	0.575600739272	0.617415138351	0.602514510603	0.572849722872	0.577557331142	0.600222769113	0.644942734092	0.604316796655	0.607639411861	0.547393247684	0.618953183649	0.548589250197	0.525601691339	0.694307105031	0.576776116053	0.555756370504	0.538082953671	0.568109262301	0.667424411618	0.514285057356	0.57453061663	0.625360929384	0.55582729737	0.527823828566	0.521895303845	0.5161941375	0.5816382526	0.531426994424	0.560405710731	0.565775259042	0.540953601133	0.607159215806	0.528232713024	0.555803302502	0.627964771582	0.572096190909	0.582488480393	0.549411147549	0.527206866163	0.59013188183	0.540272998241	0.566536905448	0.53325225904	0.546472045246	0.561165953113	0.562334177817	0.616842784813	0.587256965681
CS.296	0.4727615067	0.634614183751	0.587821307711	0.519529725459	0.549250444396	0.581872375663	0	0.648066291965	0.406615158896	0.612791928005	0.499734538939	0.522500719175	0.579497298461	0.606028268635	0.558704869383	0.658897534709	0.625723457828	0.612001376497	0.785851778678	0.759424359694	0.689715033375	0.559869140108	0.626393525877	0.742334006052	0.693522965814	0.586485101336	0.685834304558	0.656054291224	0.631938380869	0.521338513209	0.697974136534	0.673695745352	0.490109531602	0.693319628628	0.551060992625	0.711227821402	0.676382344598	0.671792501355	0.63308309065	0.51342417439	0.765736604442	0.736378614684	0.649749492039	0.664233327853	0.571669052826	0.696192870551	0.682351011111	0.68716050226	0.670851462792	0.618534591585	0.633090277232	0.731155268104	0.655913058927	0.679528116837	0.709236626876	0.606099045138	0.693561176088	0.60693829903	0.649202558137	0.647574739311	0.547342522612	0.603915203866	0.536565384633	0.644234851259	0.540184098206	0.545119173026	0.467746140223	0.676789743883	0.505945075741	0.471954785651	0.58499565873	0.540024152934	0.618331898556	0.734504605315	0.433836506336	0.522107935742	0.486035758925	0.517770379501	0.480974619873	0.410682479677	0.544674795463	0.505171546103	0.47057441828	0.476038965852	0.524677182534	0.511212632788	0.473369097574	0.482106186647	0.511312408333	0.52291518324	0.55795221932	0.622391765307	0.459691916018	0.576441196669	0.47684663343	0.560478331429	0.542420985626	0.538516492385	0.660838834232	0.694165211837	0.657334927487	0.514899931657	0.511253722515	0.560700696478	0.520848834931	0.65302217346	0.465067461317	0.649369965026	0.736936616751	0.594021867728	0.653478579603	0.63486027664	0.762088592158	0.582281853834	0.53947905992	0.562837226481	0.769499202475	0.666439598853	0.617780657358	0.632114706238	0.619092269764	0.658603161491	0.643872048195	0.483159871838	0.579024701122	0.654640162011	0.733814162604	0.654982459724	0.646584973022	0.640474101076	0.756470381823	0.490172011875	0.625586021246	0.788314719437	0.605963639777	0.668885626766	0.600710863075	0.655965044676	0.74383138195	0.541797246809	0.666896359237	0.662499677341	0.680865386512	0.639898739843	0.549887856155	0.513756468495	0.440842645949	0.582311183618	0.496931035029	0.525201151606	0.641829017862	0.543634603957	0.534044337931	0.563486695986	0.732690309398	0.459627697948	0.48125218332	0.477488677948	0.551957523352	0.441723834931	0.494237131917	0.517359640827	0.453349418014	0.421449840699	0.51677789434	0.471241125226	0.470102819312	0.533918385724
L.002.M1	0.661754829739	0.612108804234	0.611351362165	0.672876020627	0.67403963917	0.551197915537	0.648066291965	0	0.649102908644	0.632878265185	0.69158531477	0.642561656954	0.642551328269	0.660254859094	0.652413548231	0.618120276963	0.601649140336	0.649553647074	0.684254889278	0.639201696437	0.723647249059	0.626277223934	0.633659092764	0.717288294514	0.650837667082	0.672731926759	0.654950938403	0.628181412337	0.626985078395	0.652392703079	0.668649384503	0.667111228695	0.649426479408	0.624279493696	0.660060469605	0.663653035767	0.677281846309	0.645048195323	0.656829641241	0.624185181797	0.681312303302	0.692543865418	0.625286933451	0.61263531232	0.627460468284	0.617879589789	0.592205369794	0.642334312856	0.625095818803	0.640632675747	0.6411865235	0.642472842789	0.620066901835	0.603756399223	0.56330761894	0.653036746794	0.63502583263	0.594674643484	0.600187268633	0.627674558807	0.606808205788	0.622453366028	0.625540681	0.675128230527	0.66020792638	0.654841104832	0.628153123429	0.575782281006	0.635257698914	0.641143381002	0.660555895927	0.626283222414	0.645538620397	0.738617101436	0.678702460884	0.695420166142	0.681593509513	0.631209890083	0.670505149579	0.655726717001	0.646575488717	0.66264127226	0.64357273898	0.674820468269	0.636424361083	0.650908931995	0.685336488981	0.631199507108	0.685027095685	0.673305686464	0.638358458114	0.680883638997	0.63240610701	0.673718068711	0.658057015255	0.651376848816	0.652092154566	0.688988205826	0.63608688284	0.685974201292	0.626346308969	0.669342091192	0.654705589318	0.609139330676	0.654592287303	0.641087463008	0.650828317329	0.621569613263	0.692815276661	0.600041185168	0.633344367292	0.668123749005	0.685160108046	0.600339825298	0.640280221493	0.662039018113	0.704646937634	0.696565059859	0.653831915132	0.620436629492	0.625918486233	0.630579140837	0.666151586056	0.670803793674	0.611100494056	0.658354971808	0.678929621301	0.632064889698	0.700911555468	0.62248912794	0.66890271868	0.635711991089	0.629006583713	0.682323095543	0.654380697792	0.614996484573	0.59399752945	0.607460599751	0.68842637361	0.609350066976	0.621261194884	0.664634394526	0.590144173374	0.624420203544	0.651429312163	0.609330401046	0.662637885097	0.642311683672	0.658316830372	0.642904023858	0.6149431342	0.643016220285	0.617187138622	0.626875937459	0.673211586848	0.65827828182	0.656638362842	0.652348041924	0.639474883835	0.674553341995	0.645188187333	0.663003302937	0.639852245717	0.646087781856	0.672530037508	0.642689344503	0.684397602752	0.639871154744
CS.174	0.429640906667	0.631157243458	0.591915692325	0.511386330074	0.487263513084	0.578231151168	0.406615158896	0.649102908644	0	0.611738922323	0.498800069438	0.553079632325	0.600187991519	0.61677225617	0.56049036451	0.665093187827	0.643499078868	0.61440696761	0.794396825846	0.769260549117	0.720857940048	0.560579570954	0.622061667306	0.771122665972	0.727411890766	0.589992131872	0.711307791467	0.677955757961	0.643786269902	0.508724676719	0.700516648932	0.688377068182	0.50685441976	0.686828375183	0.559756856733	0.731071357909	0.692858682342	0.683614176905	0.649746921392	0.502940990295	0.769830782438	0.729574924412	0.65909608374	0.669115601263	0.567276548996	0.69534638079	0.675719448812	0.694948697645	0.660739043599	0.62139209323	0.622410202247	0.753503309194	0.648522793972	0.659248922344	0.717046972708	0.613798646868	0.689187472504	0.614246441971	0.644969825908	0.646393509817	0.542866474519	0.613199157143	0.546153795471	0.624850976717	0.528137348672	0.529316882526	0.448896640322	0.699889719244	0.516286635127	0.487131026525	0.573951167923	0.530648479792	0.640084563305	0.771951361816	0.438939350768	0.547276640518	0.403461964358	0.523422317298	0.470691992644	0.39954757426	0.574713439134	0.496778687213	0.450482389663	0.440435995135	0.507622132647	0.509357798437	0.468971275537	0.490336202168	0.513575361768	0.522056513928	0.560014394667	0.656226175621	0.474297965092	0.54234331063	0.496716893563	0.562140128837	0.566424983834	0.566213276528	0.690659303926	0.704762520744	0.675040646667	0.508427058311	0.481633528854	0.557034615162	0.531452759724	0.683487327672	0.453381868126	0.648801258917	0.779393964359	0.582609574609	0.66854296549	0.623590762664	0.770817045588	0.596447294838	0.534141660837	0.601034866508	0.79777258016	0.655275511092	0.662355980298	0.655320836733	0.629677210791	0.673848653824	0.683919005013	0.502421451112	0.555770753121	0.686914339728	0.749794340802	0.677391107818	0.653449550088	0.649577510924	0.754777050165	0.486823438706	0.592354293788	0.801673774674	0.636069201196	0.656520993064	0.595404894974	0.657983866145	0.757943825926	0.548137004201	0.659282936316	0.687562262187	0.65768081003	0.633668147541	0.568423259307	0.484621522746	0.423932135072	0.566044453233	0.481272512473	0.501842421242	0.65443684389	0.550723973815	0.501716738103	0.546608175414	0.726746000636	0.41584430248	0.451117543559	0.490277608155	0.530558024718	0.424434679144	0.474453149089	0.527807631175	0.447612474918	0.429306387983	0.508626626581	0.421678636179	0.419839325704	0.481900689123
CS.039	0.602369784776	0.619454018525	0.633380890546	0.636091066038	0.580104113334	0.612352628304	0.612791928005	0.632878265185	0.611738922323	0	0.570554935068	0.63641714578	0.563241945918	0.623177754241	0.576027485734	0.660501459354	0.621760096887	0.607945654695	0.701334551234	0.680992736035	0.69957120396	0.645817335344	0.616047791972	0.71852832738	0.622889652601	0.596691750534	0.597382107506	0.631810224548	0.558292230488	0.641826359956	0.626306254851	0.682372128268	0.603994284766	0.631309818651	0.567852318584	0.637429939829	0.609054806358	0.676308127227	0.580193697938	0.615131780952	0.729092615695	0.685251946767	0.664345325942	0.629844703051	0.622162500569	0.653304043009	0.657567015485	0.645727980622	0.638657428699	0.652399435472	0.634320092019	0.68285612965	0.642941447647	0.645972699052	0.669129183683	0.646849690559	0.66786986496	0.574808835396	0.64476316859	0.635038691794	0.599538333575	0.586275952658	0.612457778985	0.6409945103	0.616946656194	0.645283958118	0.592861075755	0.660604049639	0.607614653762	0.605478744928	0.59174376461	0.609187037132	0.575099058412	0.700749128224	0.604388646728	0.645449337871	0.630471146937	0.582474346697	0.631079012705	0.618960432865	0.589609138282	0.594042136424	0.597444555178	0.606354424317	0.612782221393	0.575109507346	0.621814279114	0.592864795123	0.599891987049	0.604363398273	0.574729492828	0.623566418477	0.595060155023	0.575941439962	0.614766859098	0.520356090524	0.550904459454	0.587459539968	0.564788289409	0.674149947274	0.580268951832	0.638106994416	0.583624124907	0.565793394042	0.545936640922	0.664406886692	0.611059122742	0.633660265946	0.616941622305	0.598227200636	0.668711634567	0.683894851719	0.743030026051	0.57758522994	0.548793752733	0.64110521829	0.682717949508	0.665909909177	0.544364133157	0.613704255186	0.580202639425	0.541305870032	0.584198058123	0.605310753059	0.607426195825	0.637976015107	0.645642395615	0.567234620691	0.65601482199	0.640811572338	0.720584001545	0.601728189431	0.619642023351	0.734025752339	0.656399799504	0.646281608054	0.638425751948	0.645905059742	0.68242520039	0.62705440583	0.652608863894	0.634074922305	0.631312073376	0.643141614314	0.618084024113	0.582522673955	0.634179945916	0.629141944146	0.599017938447	0.604207909807	0.651475737951	0.581321295328	0.589025586853	0.628742941503	0.697268751079	0.621956318647	0.629196227398	0.634230644324	0.603606677084	0.602065543265	0.605870405054	0.597710691319	0.63801201554	0.619441932983	0.626156113001	0.616116400342	0.619399996489	0.609059680671
