p__Euryarchaeota	k__Bacteria	p__Actinobacteria	p__Bacteroidetes	p__Cyanobacteria	p__Elusimicrobia	p__Firmicutes	p__Fusobacteria	p__Lentisphaerae	p__Proteobacteria	p__Tenericutes	p__Verrucomicrobia
CS.265	0.0474221933502628	0.0106498159412587	0.029862792574657	0.0746471387232032	0	0	0.637551920313392	0.00053150652571901	0.00917340892537255	0.176538908246225	0.0109254119175574	0.00263784720171657
CS.092	0.00926940782262863	0.0117120220461591	0.192559421288322	0.162840948235368	3.131556696834e-05	0	0.539441956596624	6.26311339366799e-05	0.0018789340181004	0.0675789935176776	0.014279898537563	0.00034447123665174
CS.101	0.00108764297242299	0.000105255771524805	0.0725563118377658	0.350010525577152	0	3.50852571749351e-05	0.522103712020209	0	0.00171917760157182	0.0523822889621781	0	0
CS.099	0.000668121687229968	0.00106899469956795	0.106721304173533	0.410449423188277	0	0	0.370896619304263	0	0.000801746024675961	0.108235713331255	0.000400873012337981	0.00075720457886063
CS.043	7.70445702839092e-05	0.000577834277129319	0.0620208790785469	0.32913440425286	0	0	0.573096036056859	7.70445702839092e-05	0	0.0342077892060557	0.000808967987981047	0
L.005.M1	0	3.65523795599094e-05	0.0455077125520871	0.279211443331628	0	1.21841265199698e-05	0.494858298608573	0	4.87365060798791e-05	0.179070107463996	0.00125496503155689	0
L.007.M1	0.000132049809188026	0.00130729311096145	0.0623539198985857	0.373965059620489	2.64099618376051e-05	1.32049809188026e-05	0.481744113879755	0.00345970500072627	2.64099618376051e-05	0.0747533969813414	0.000171664751944433	0
CS.295	0	4.15305387895232e-05	0.0688299462871698	0.352165125422227	1.38435129298411e-05	0	0.553698986654854	0	0.00012459161636857	0.025001384351293	4.15305387895232e-05	1.38435129298411e-05
CS.094	0	0	0.0872874540441176	0.293830422794118	0	0	0.339211856617647	0.0186121323529412	0	0.261058134191176	0	0
CS.106	0.000118768371982541	0.000653226045903976	0.0843255441076042	0.116007007333947	0	0	0.756702989993765	0.00187060185872502	8.90762789869058e-05	0.0356602036877579	0.000296920929956353	0.00427566139137148
CS.277	0.000122733269921144	0.00144211592157344	0.0363290478966586	0.328771746801264	0	6.13666349605719e-05	0.573563253658986	3.0683317480286e-05	0.00101254947684944	0.0583289865300236	0	0.000337516492283146
CS.091	0.000131531353786459	0.00187432179145704	0.120614251422183	0.294663115320114	0	0	0.547499260136135	0	3.28828384466147e-05	0.0344612146920522	0.000723422445825524	0
