CS.261	CS.059	L.011.M1	CS.017	CS.035	CS.093	CS.280	CS.039	CS.357	L.008.M1	CS.257	CS.354	CS.105	CS.037	CS.022	CS.335	CS.122	CS.301	CS.062	CS.073	CS.056	CS.373	CS.382	CS.161	CS.229	CS.115	CS.137	CS.248	CS.064	CS.153	CS.282	CS.213	CS.126	CS.292	CS.203	CS.236	CS.224	CS.128	CS.376	CS.232	CS.380	CS.374	CS.136	CS.378	CS.375	CS.214	CS.372	CS.183	CS.395	CS.385	CS.148	CS.181	CS.323	CS.129	CS.147	CS.348	CS.349	CS.177	CS.359	CS.178	T.CS.014	T.CS.058	T.CS.048	T.CS.046	T.CS.080	T.CS.041	T.CS.025	TFS.023	T.CS.012	T.CS.062	T.CS.042	T.CS.071	T.CS.004	T.CS.034	T.CS.040	T.CS.092	T.CS.177	T.CS.122	T.CS.153	T.CS.159	T.CS.147	T.CS.156	T.CS.110	T.CS.180	T.CS.129	T.CS.098	T.CS.117	T.CS.161	T.CS.134	T.CS.104	CS.246	L.034.M1	CS.088	CS.110	CS.241	CS.082	CS.242	CS.103	L.024.M1	CS.356	CS.085	CS.015	CS.087	CS.237	CS.006	CS.325	CS.347.0	CS.308.0	CS.044	CS.150	CS.364	CS.151	CS.165	CS.191	CS.363	CS.338	CS.387	CS.336	CS.358	CS.207	CS.361	CS.319	CS.318	CS.320	CS.080	CS.152	CS.112	CS.158	CS.223	CS.202	CS.339	CS.331	CS.343	CS.227	CS.163	CS.326	CS.393	CS.370	CS.262	CS.270	CS.253	CS.255	CS.145	CS.390	T.CS.066	T.CS.045	T.CS.043	T.CS.026	TFS.020	T.CS.008	T.CS.036	TFS.021	T.CS.064	T.CS.055	T.CS.049	TFS.022	TFS.027	T.CS.061	TFS.025	T.CS.166	T.CS.157	T.CS.152	T.CS.109	T.CS.095	T.CS.142	T.CS.141	T.CS.151	T.CS.158
CS.261	0	0.496069028826	0.539427842747	0.558786984176	0.533054459067	0.497794190126	0.442413493133	0.611789073722	0.47429670037	0.672140763203	0.580051740085	0.614930482998	0.491309561126	0.691436888592	0.645967692557	0.767571315212	0.536100820788	0.560731300606	0.520832199168	0.649745622498	0.676207719951	0.593980025077	0.530871275056	0.698994981298	0.640073786525	0.688005332111	0.494286004589	0.632495694661	0.571915753306	0.579466250806	0.681815818634	0.686882116975	0.497575250761	0.594010887952	0.524849026376	0.692364716699	0.75095069792	0.567020928698	0.641578027766	0.535440492768	0.487904683179	0.666914643421	0.626186940475	0.701281427711	0.62281200844	0.625290439736	0.623175470803	0.737150772867	0.62938406921	0.642754857581	0.67130549369	0.615404201146	0.599551028499	0.58826191901	0.643900155678	0.565064555089	0.601244157722	0.668572470474	0.728978411938	0.562694379427	0.541701877717	0.531371613687	0.512374460869	0.617296621497	0.589761642936	0.531960350398	0.522790314397	0.568100801386	0.675600408771	0.455695061488	0.459211390256	0.508630729064	0.545562715424	0.488040411088	0.440821572701	0.547385337577	0.429063171286	0.450902930454	0.445954239253	0.477473486571	0.435000980272	0.47946304849	0.447469264463	0.538055381759	0.432895156254	0.465293561948	0.469934545501	0.513344080693	0.491342699536	0.436539081264	0.484684838303	0.56682795362	0.654520868128	0.637530738902	0.467918305707	0.531190047929	0.450719724763	0.54529703333	0.543752577749	0.695474227463	0.526180203405	0.57550605518	0.614294025458	0.668350809315	0.537829684745	0.759168650549	0.711211928613	0.700621603641	0.537831703384	0.559225941692	0.723881862366	0.586385535566	0.700130795594	0.464075474584	0.641986873397	0.624275370722	0.583448369764	0.579490316576	0.774488044235	0.684998164424	0.671942001461	0.648895764802	0.652424802453	0.575593951751	0.605505609708	0.489940977743	0.649687824802	0.65820840283	0.641023755058	0.636621345053	0.642082717249	0.549974958651	0.650856605647	0.794261194978	0.663268758166	0.612955946508	0.670767440846	0.633697705337	0.657402000411	0.649763299232	0.745963036413	0.571597340837	0.562510996776	0.650438168035	0.474622634249	0.54525751286	0.523484910655	0.713482224678	0.445898776696	0.569280197451	0.540943416318	0.547592859635	0.47104285723	0.506820680179	0.65264670944	0.446366446324	0.489212081618	0.56380664533	0.569631745288	0.482145120634	0.520367834134	0.495062000328	0.445667995597	0.459838475378	0.55424064956	0.535310198058	0.48703014761	0.437324063138
CS.059	0.496069028826	0	0.567985298779	0.588257943427	0.474444366831	0.543190700985	0.544024469599	0.589207001372	0.535131108519	0.67672343637	0.615426840186	0.616638827478	0.487710347985	0.637241906342	0.632612006224	0.734199065416	0.559642898497	0.568699673882	0.528544390236	0.626806333183	0.666135311625	0.579125156365	0.565755426515	0.645322881054	0.619303040352	0.646196178648	0.528534243249	0.599641286541	0.555093167452	0.574471551887	0.685856399774	0.665160990297	0.512427333946	0.564795347437	0.561697409661	0.673941669486	0.762361002302	0.572651544857	0.643968645144	0.5284020539	0.529057161288	0.628493573134	0.594918465402	0.689326524847	0.603599606579	0.630209420931	0.614034609298	0.727110530148	0.609119911478	0.622994555675	0.665822154865	0.627266434298	0.612370472843	0.599875445983	0.644885668862	0.594023631552	0.608603159493	0.661872707331	0.724027699755	0.576885990475	0.552925232227	0.574212321848	0.538971801877	0.600509249383	0.597450778131	0.531954905402	0.534043122117	0.57178879204	0.660815903446	0.490673185034	0.539925469788	0.542500882617	0.571545785858	0.532757730966	0.519601794073	0.59043052875	0.544271221159	0.518388844562	0.555089369186	0.585362452548	0.520976568233	0.540973931894	0.533411738809	0.587806148076	0.535159567403	0.570566023421	0.516211868931	0.565933726563	0.535071646075	0.545587600904	0.561438881177	0.58261036584	0.654375962989	0.626909409802	0.516263265039	0.550280737438	0.521450460472	0.566943748936	0.603961831598	0.696759417007	0.530002999271	0.602466937235	0.635012887685	0.629059462031	0.569877140586	0.733990716923	0.662961102686	0.660826980607	0.540484183727	0.586119900932	0.712933421961	0.578872129676	0.677903944048	0.499986639117	0.637048550173	0.616665247973	0.574079311395	0.579409069019	0.749532196714	0.680835352439	0.653906274611	0.655489489214	0.639796679328	0.577422316515	0.575371028173	0.51168339587	0.611985549693	0.628278934588	0.633919255061	0.647703533769	0.640667692501	0.556242656377	0.656033203139	0.776279207402	0.64788148547	0.633073825766	0.654172991431	0.629577172251	0.639948942412	0.63662039723	0.729270093909	0.601398546993	0.569725976281	0.639936114628	0.543034730956	0.554453875112	0.567050171211	0.691061615333	0.507874047581	0.58162999008	0.557046336626	0.568506711395	0.528335765543	0.576174634048	0.641903318051	0.512940270048	0.529047311878	0.58440323999	0.576166613791	0.541873259673	0.583598930259	0.50965036615	0.538357512789	0.54658154376	0.593705313432	0.59043684735	0.562676589795	0.514870300375
L.011.M1	0.539427842747	0.567985298779	0	0.557677651432	0.565715333581	0.564088309556	0.546236670922	0.57250866124	0.525609836996	0.612889742551	0.567610181279	0.591867903835	0.534224027878	0.620729200296	0.600169734997	0.727940873422	0.555148304421	0.59119451107	0.523784084735	0.620461485746	0.662420481486	0.574852086047	0.534759188169	0.632792742122	0.605570981756	0.677673319175	0.562833572727	0.589828698197	0.599045123473	0.598589539716	0.644474272758	0.652469410487	0.552947392621	0.599678016148	0.540297958463	0.662444703589	0.743057912451	0.545348714909	0.632732732812	0.575735591339	0.538804515019	0.630053133342	0.603243593865	0.663222928449	0.594840166903	0.630109394047	0.613464924256	0.722526637025	0.640414010088	0.605058088593	0.671120911291	0.604757228526	0.598803870453	0.574481774044	0.614106937009	0.614177459155	0.601335445098	0.644660705363	0.711875116877	0.607194354674	0.594055918912	0.543664498564	0.560943850678	0.585745951357	0.568844438711	0.545808257869	0.53677798268	0.554752884328	0.664483436994	0.522815836393	0.529435432955	0.553250198667	0.565371654747	0.526003236099	0.526978295914	0.587828561714	0.54576155528	0.522186718944	0.570479484945	0.593512918245	0.552287886587	0.512380157434	0.541306838848	0.563478986711	0.572005275252	0.56090026771	0.511933525697	0.587235095922	0.538848551459	0.546442951545	0.526297869501	0.550525132271	0.627452877839	0.633132630708	0.52334781628	0.573934387941	0.527157132672	0.570927537857	0.573718910253	0.659959225341	0.573102356049	0.570821073325	0.595770286554	0.633880152769	0.510871396655	0.738487389569	0.66153031843	0.669851804418	0.532567879374	0.580826799389	0.691171953461	0.605059292134	0.633657077325	0.560255554707	0.628613881165	0.605189785485	0.567686831182	0.58774703606	0.721443911763	0.671851103485	0.611656071137	0.614414251974	0.611988605332	0.588046874319	0.582284946899	0.520725184805	0.610672221374	0.627791590479	0.611032687177	0.639965119695	0.622975591238	0.56277706058	0.625288155943	0.747300513445	0.619658703346	0.595876864274	0.638177137999	0.625863132464	0.620981770163	0.631098987612	0.727447416651	0.59308636473	0.534089740892	0.6119968543	0.545817175949	0.579158076987	0.574471415602	0.697027832768	0.537390651423	0.575889051779	0.605508970774	0.564696470067	0.518633824746	0.549572459152	0.623438330643	0.538737228948	0.525852468982	0.565804478862	0.564268674148	0.522049317439	0.553027448413	0.54802101018	0.521722690412	0.556760258447	0.588226520099	0.57314811745	0.540374973543	0.510684599643
CS.017	0.558786984176	0.588257943427	0.557677651432	0	0.550889515554	0.537698966525	0.546508904973	0.442619063247	0.55181265203	0.662833772577	0.586321968735	0.566613447079	0.564743373113	0.61691615033	0.614451820094	0.755454200249	0.521310177131	0.642845226431	0.542246241489	0.603530915493	0.647200051178	0.633630616235	0.601405771371	0.671759867145	0.651165520654	0.658167404885	0.615219909218	0.656345986549	0.585991121312	0.589610218181	0.698515197329	0.667324729668	0.616688159801	0.616265031303	0.556617545876	0.658846170682	0.747324431172	0.621781504558	0.678211234635	0.601261327705	0.60753043162	0.664223398401	0.626154189295	0.679278419909	0.629816947481	0.666766157525	0.663404901101	0.73670031594	0.666953199544	0.683758924307	0.695893617351	0.666733727468	0.669255165928	0.618640819644	0.684138392878	0.644520790178	0.66574605727	0.701796249829	0.75004574791	0.657107098251	0.636680065514	0.590984337176	0.592815613326	0.647542695219	0.654852801863	0.572036604177	0.622564518377	0.663791522036	0.713638646447	0.55808403189	0.570117479587	0.609178450932	0.639940948649	0.588359829361	0.553677338642	0.634974866921	0.583681188502	0.598218532155	0.604474451276	0.611211616788	0.570222692173	0.582428812103	0.579751338352	0.604419841891	0.594120546479	0.591273399322	0.578331215081	0.617193817738	0.598132336653	0.576835299453	0.604361680555	0.554696606714	0.622786952726	0.619765786787	0.527692841086	0.598148545343	0.585040179589	0.563194579104	0.607980277866	0.692809305267	0.564123531781	0.519716555685	0.586749348162	0.635249239923	0.549883311659	0.761126783924	0.684751849787	0.67716789316	0.536008057993	0.614972628856	0.718412956795	0.634989612571	0.674319036849	0.575182357211	0.674484226736	0.644167796556	0.630527951259	0.663292933897	0.755791890969	0.691877260437	0.657588347411	0.66188808918	0.662216743628	0.627000515986	0.607744974441	0.58874103118	0.60934894568	0.615457128658	0.690800986053	0.675926317296	0.673391630047	0.617215002737	0.671459651272	0.766260678054	0.646967951573	0.668096661141	0.649032395829	0.649764726646	0.648155543064	0.676835048396	0.741795861636	0.641863662453	0.62154530346	0.678471048035	0.570281200017	0.578542765812	0.600419660955	0.726174287275	0.594504770108	0.623557435708	0.585365020391	0.63281555338	0.569949757736	0.565728936659	0.663277449773	0.602182699356	0.578562893219	0.62864266103	0.629441812964	0.610119176748	0.576595259544	0.599583664275	0.570271771389	0.56649420418	0.597032296264	0.570805381951	0.57432779352	0.593350573708
CS.035	0.533054459067	0.474444366831	0.565715333581	0.550889515554	0	0.516699044185	0.580895298725	0.556321908192	0.539589964327	0.675460270057	0.599662410074	0.587913518686	0.524032696918	0.655791445697	0.601824257397	0.741929403075	0.513006254106	0.61777191343	0.494997005219	0.607395920849	0.66224770691	0.610637286175	0.606933106944	0.630013508223	0.611693290647	0.617025019348	0.578240492211	0.596739027949	0.546378791906	0.543358070289	0.67212839535	0.670800575675	0.556682074529	0.548314762985	0.583941770649	0.653546985017	0.747877366478	0.596294021449	0.648086914977	0.502843517644	0.579745412813	0.632917191837	0.548350623564	0.658141725416	0.58971409722	0.61811548853	0.658861086245	0.709142104297	0.630690437957	0.640403213388	0.657247977811	0.630530480126	0.6522940409	0.586452975456	0.662580882956	0.608271919801	0.63992219799	0.683010719228	0.715514519971	0.60101961533	0.559124986841	0.575971365562	0.591487201531	0.638779370942	0.609636865523	0.561784972365	0.57091959096	0.588019402162	0.666413229027	0.531241219416	0.570140018156	0.56800767802	0.575983491654	0.566232941706	0.539871432555	0.623787902792	0.59161936256	0.554016531421	0.55364705586	0.596609767215	0.568788991186	0.564594555437	0.563737699553	0.586957822605	0.573983694035	0.572824826654	0.55057273778	0.56820844394	0.563502713476	0.560206637409	0.559874182059	0.601485809436	0.636671376179	0.623617071732	0.547564754737	0.534680830275	0.541929453289	0.526375929292	0.594638949192	0.670775971652	0.519633458712	0.550686334848	0.575327219738	0.585570085335	0.528613002027	0.74082872352	0.658633818403	0.631737992469	0.526327301585	0.5677993625	0.706488296086	0.597741969652	0.658605780882	0.536094582609	0.636858624251	0.617864961447	0.594711465718	0.588463972803	0.755056677111	0.66707810968	0.64475803762	0.655064552921	0.646509622995	0.606914122658	0.562231375134	0.552893623168	0.571048007016	0.59691795459	0.640681996517	0.608302669126	0.631302746988	0.595323215392	0.662144283877	0.759162325558	0.580431192962	0.63106618925	0.628711760532	0.654030340508	0.647378385283	0.636689088356	0.704437279678	0.621918376958	0.595619890681	0.646956021376	0.564453403721	0.571249995377	0.556418901102	0.71810566686	0.542076566219	0.618030642288	0.567733467329	0.587422791822	0.552642297014	0.576229916307	0.645685693245	0.558063400203	0.566171793169	0.601442370274	0.59190265617	0.548485539773	0.571197358074	0.540197982585	0.566461362685	0.561156686757	0.605154529572	0.580254792617	0.575722877378	0.564063948001
CS.093	0.497794190126	0.543190700985	0.564088309556	0.537698966525	0.516699044185	0	0.503930090097	0.572636009795	0.534248899333	0.685517904349	0.567858727251	0.615503627326	0.546842199217	0.681282630013	0.62615017405	0.771312948359	0.515021452183	0.630600759298	0.522063753792	0.620029454092	0.693711308474	0.628577483874	0.636487149415	0.678728926677	0.674132803211	0.622581535729	0.598968216918	0.640897125364	0.562615258822	0.542204567082	0.707297243978	0.701923083898	0.573819721176	0.600523112729	0.580154498079	0.701612388524	0.775823503213	0.6427383109	0.689218273257	0.529728813711	0.572061102222	0.684294348461	0.614503560526	0.695866983798	0.654534461801	0.668551179526	0.679218050776	0.747541488817	0.654910748377	0.66774905668	0.699188852017	0.662520082547	0.676214041323	0.601125002863	0.6926439805	0.620961160039	0.654263379857	0.713817832874	0.751521001785	0.615658049486	0.579222283659	0.58797808348	0.589051424202	0.644728726513	0.672913405699	0.571511204534	0.588550576611	0.640057512885	0.709317848625	0.532166122893	0.504056104431	0.575156298051	0.620049935945	0.561963060073	0.53365450307	0.538916769206	0.518117013792	0.534683650155	0.475247264561	0.499487394282	0.490485713532	0.565133954774	0.489070194557	0.551793698279	0.528562334945	0.507307463374	0.537525305873	0.510422657018	0.577844792966	0.483403342072	0.543155262385	0.60943285382	0.66097763812	0.610751062034	0.534547845778	0.474253455617	0.511781879642	0.529742914861	0.578787329484	0.70628813445	0.493133332099	0.563027883995	0.575163221736	0.624016845823	0.527898319764	0.766213221599	0.696795126996	0.685711573015	0.553982950894	0.566608008948	0.731504300141	0.621072829882	0.698955111995	0.529537138908	0.684712780994	0.627701633957	0.643804480814	0.642987724978	0.789687478971	0.677008802172	0.690225216764	0.704975311819	0.691037304516	0.637424931219	0.603747678442	0.558222907644	0.616083690469	0.620773495954	0.685178954357	0.653531494452	0.678127376845	0.586557438897	0.704346484241	0.78818257126	0.616498200365	0.642800186071	0.664407564803	0.68096369645	0.709393396917	0.690691511727	0.742820708354	0.624636683078	0.6259311281	0.687540312688	0.514347646537	0.615300882009	0.576154051546	0.726988593482	0.505616869353	0.658802575805	0.520746472906	0.618876827628	0.577076445436	0.567273748218	0.673564362317	0.528555865275	0.572267050662	0.639851238394	0.643999233895	0.568197041493	0.54848347744	0.554998887096	0.510557511102	0.509056975812	0.594337332565	0.605387506183	0.557658623022	0.537334532118
CS.280	0.442413493133	0.544024469599	0.546236670922	0.546508904973	0.580895298725	0.503930090097	0	0.602369784776	0.450813250343	0.69149829198	0.586600434814	0.618702241573	0.52707639675	0.708713952422	0.651866793549	0.780086570474	0.550046268526	0.60979255994	0.529324207993	0.664030645923	0.703310935782	0.645939409486	0.560696645692	0.705525928084	0.675135677279	0.694486762642	0.561293073161	0.665013691033	0.612856101669	0.592919050064	0.702110579932	0.704310659898	0.550837177249	0.629496186629	0.547864394752	0.719511470885	0.755003291566	0.599817325163	0.686518119572	0.554528129687	0.545480431433	0.677191558095	0.670300121084	0.706029949544	0.647176941288	0.650775460045	0.655362750828	0.762900913484	0.661849988245	0.676175358319	0.710514499742	0.643882235798	0.646941198934	0.600981538607	0.66990029022	0.621268593738	0.661795399528	0.689051650517	0.726781112277	0.605482957557	0.578885343142	0.569785530876	0.564006684087	0.63070458012	0.638115455534	0.543023406629	0.562467064124	0.581982559633	0.697464290406	0.502608708107	0.459565326677	0.53924286868	0.5954584561	0.520661855146	0.471419580001	0.540324218134	0.469567145005	0.463535000695	0.473100595549	0.523034859336	0.456955410724	0.477693635112	0.493971709438	0.562161908613	0.479918695852	0.476461596399	0.494510142361	0.535036913122	0.4997138413	0.429164856917	0.509548550178	0.586423625843	0.64935691803	0.650237232432	0.495306638857	0.561705667993	0.482841361174	0.579906082556	0.53338649497	0.702067763834	0.562269529028	0.562769236677	0.588412205483	0.671130442555	0.518542852975	0.769484429833	0.721631983477	0.714283458227	0.555935866146	0.599081810626	0.748025288931	0.634156247226	0.699328441869	0.506338221322	0.687318178222	0.657955214685	0.613425400906	0.630815593729	0.765409975335	0.708202453792	0.682985179559	0.672617721329	0.685340921362	0.598456186404	0.626050834909	0.526069377314	0.684947815559	0.666855756448	0.67526973762	0.678938612717	0.683113425422	0.592938306462	0.664365922501	0.788970634908	0.67791615382	0.63799138223	0.688645749424	0.66959556546	0.684852840419	0.672385334812	0.753098372429	0.618084880735	0.585169449734	0.66472178472	0.481259994081	0.585903193743	0.529904197644	0.741336787612	0.471674188621	0.610284068336	0.538112879025	0.606599416376	0.526575327799	0.511096721741	0.652196854494	0.468897721871	0.525567264275	0.593417274613	0.580632245661	0.494252711599	0.523524988416	0.518061260155	0.432423887436	0.457050701988	0.542652411111	0.522334794575	0.455740873916	0.451949466708
CS.039	0.611789073722	0.589207001372	0.57250866124	0.442619063247	0.556321908192	0.572636009795	0.602369784776	0	0.599443791131	0.640879516093	0.568218493056	0.569219363523	0.59443572781	0.562123782323	0.574535226023	0.713146520059	0.548709772036	0.645817335344	0.561135338423	0.557674788747	0.628859912319	0.616737788345	0.612293559225	0.612522411956	0.631810224548	0.597382107506	0.641826359956	0.621760096887	0.598959908595	0.550577020546	0.676308127227	0.631309818651	0.615131780952	0.583116799241	0.603994284766	0.637429939829	0.729092615695	0.622162500569	0.627333912961	0.567852318584	0.633268673928	0.629844703051	0.580193697938	0.626306254851	0.624627004369	0.648537695595	0.64476316859	0.68285612965	0.637743037642	0.661695952784	0.653304043009	0.634320092019	0.652399435472	0.574808835396	0.638657428699	0.646849690559	0.638233978466	0.657567015485	0.711034194348	0.640711301753	0.619226627582	0.612457778985	0.599538333575	0.607906512485	0.631563906703	0.609187037132	0.616416772714	0.644279826469	0.677015462655	0.595454365861	0.604388646728	0.637594848791	0.621574842555	0.617038138456	0.592861075755	0.645449337871	0.622422153856	0.628302682881	0.599891987049	0.623554243175	0.619434788303	0.606738324493	0.594042136424	0.589609138282	0.627449493907	0.621814279114	0.612741954972	0.600445822715	0.624988537124	0.618596886031	0.614766859098	0.565793394042	0.623566418477	0.580268951832	0.583624124907	0.587459539968	0.595060155023	0.520356090524	0.638106994416	0.674149947274	0.550904459454	0.575941439962	0.573118372378	0.564788289409	0.545936640922	0.743030026051	0.65718331654	0.61684360098	0.548793752733	0.57758522994	0.676243808404	0.64110521829	0.638558413576	0.611059122742	0.632553240828	0.613704255186	0.598227200636	0.644592894646	0.709510920818	0.658159180735	0.637976015107	0.640811572338	0.634910507759	0.619642023351	0.580202639425	0.601728189431	0.541305870032	0.567234620691	0.655317480719	0.65601482199	0.656399799504	0.607426195825	0.652816343861	0.734025752339	0.584198058123	0.643141614314	0.634074922305	0.645905059742	0.631312073376	0.652608863894	0.68242520039	0.638425751948	0.62705440583	0.646281608054	0.629196227398	0.603606677084	0.634230644324	0.697268751079	0.621956318647	0.629141944146	0.581321295328	0.628742941503	0.582522673955	0.604207909807	0.651475737951	0.634179945916	0.599017938447	0.618084024113	0.625343315433	0.63801201554	0.597710691319	0.605870405054	0.602065543265	0.619399996489	0.626156113001	0.609059680671	0.616116400342	0.619441932983
CS.357	0.47429670037	0.535131108519	0.525609836996	0.55181265203	0.539589964327	0.534248899333	0.450813250343	0.599443791131	0	0.644627506456	0.56341854553	0.573489552445	0.511820478861	0.698689908115	0.626357666655	0.736851361485	0.52837238594	0.586157631979	0.516811222709	0.648315034317	0.713265099847	0.600558852848	0.472240760006	0.674449950846	0.642818600447	0.687754161788	0.512621451512	0.650300485069	0.603101285384	0.589315860192	0.662647240439	0.667491730369	0.500182727453	0.617908544388	0.478438606729	0.709467358915	0.73526244565	0.586720838443	0.641273442965	0.562411440525	0.521280414668	0.636296781555	0.63181466994	0.69242509816	0.591302416901	0.637632552487	0.656272202911	0.762719119872	0.677892009877	0.661692639237	0.709344884479	0.650601217526	0.642269973076	0.622556332995	0.661172718842	0.637522466341	0.654892624838	0.678770142841	0.716832103199	0.603521524985	0.552395291541	0.555466713508	0.540117896201	0.614114693127	0.588096661434	0.537170218809	0.527912274104	0.500402341537	0.667912549047	0.473406270332	0.460016706982	0.500794606344	0.543694740571	0.491426835936	0.458188686047	0.575836791473	0.50832815958	0.443273081905	0.518694696014	0.587914606346	0.470918455839	0.418512301044	0.521793149016	0.559474775174	0.499472251383	0.487033967478	0.488528542207	0.5617716622	0.4616069025	0.481505208722	0.50826434403	0.544404891832	0.613052949163	0.652670405809	0.498846463687	0.577326538537	0.473956343039	0.573935714948	0.482457487156	0.659866127917	0.580528172667	0.530398153378	0.53663613758	0.64440959835	0.479922809653	0.744919822031	0.688079457003	0.687815113077	0.516278918304	0.603367887099	0.727047269509	0.592834795212	0.647321377734	0.457912196359	0.656615999858	0.650649428976	0.57773084776	0.591696720216	0.738135342534	0.691225570931	0.643183890846	0.629609573223	0.633985445963	0.595477121366	0.602320696805	0.520331511531	0.640222666374	0.647371061146	0.65269741548	0.630981763408	0.604713350562	0.570489421497	0.615171770936	0.772139169347	0.645604466734	0.611959927035	0.675625273821	0.668644012771	0.665798550276	0.661738411008	0.74438501472	0.6161410873	0.562131223442	0.658385581414	0.472727678043	0.523618371704	0.435289888325	0.717245670461	0.461611105479	0.531555742999	0.550062764286	0.529780403708	0.493757518959	0.500621023751	0.62037959111	0.486769425608	0.467160286757	0.540521751642	0.494424783919	0.443793784458	0.486569392396	0.471064605859	0.455427022059	0.47318234456	0.466288339395	0.461489893267	0.431904390748	0.429241941694
L.008.M1	0.672140763203	0.67672343637	0.612889742551	0.662833772577	0.675460270057	0.685517904349	0.69149829198	0.640879516093	0.644627506456	0	0.647476108654	0.643347686007	0.649570116494	0.5950902409	0.603502083549	0.596554954236	0.682388502183	0.600505113964	0.653536930545	0.665244970228	0.611557245481	0.559577212024	0.591233046832	0.596471571127	0.612270484436	0.670669956119	0.630136314399	0.610568582527	0.678919696093	0.657775283832	0.569179921925	0.55984756321	0.616701998963	0.644542283772	0.650113486891	0.687543516867	0.620704510759	0.622719339351	0.569605284867	0.645000802593	0.630723296672	0.602446646202	0.604283617383	0.652918958652	0.60350184504	0.64014779235	0.586014842902	0.650804785279	0.649827562998	0.611240634702	0.599907759035	0.592438685239	0.593163239928	0.604424211844	0.554508453971	0.607634834239	0.595297912668	0.601066107341	0.618810269056	0.665741369557	0.650477528275	0.649850653217	0.613420453224	0.575810791802	0.613745673074	0.625221030045	0.605648519747	0.616351836647	0.6834161537	0.639922418103	0.65124727159	0.61960056875	0.577204253582	0.667257518741	0.674089049268	0.690152193533	0.675565766164	0.640389302925	0.67185335994	0.704938107354	0.697299804623	0.660118589365	0.645410220444	0.672348066626	0.698134173062	0.663822099055	0.64419997621	0.644635074872	0.6446260094	0.687512711712	0.633592434403	0.622532170925	0.675500667346	0.605548065154	0.683103985407	0.674547653145	0.639483916587	0.653935625409	0.659590838507	0.635371674069	0.628212181565	0.681121030704	0.624256157849	0.59401932232	0.620914754852	0.629268897846	0.576876040327	0.622409127054	0.626070592171	0.595523095931	0.620942041013	0.620324396441	0.634355160985	0.680380877326	0.561494516114	0.595546409642	0.557482743838	0.622771025063	0.641402810412	0.597047652578	0.626096011145	0.54170612209	0.52328665386	0.569047220053	0.606420742749	0.63963945218	0.620425494282	0.584721170166	0.573080763939	0.666132628528	0.595782665259	0.616633111053	0.550296829783	0.674702477709	0.626577765451	0.563734161097	0.666128488592	0.59602506446	0.575918761215	0.609594129297	0.674463824301	0.568641820512	0.613032148233	0.57015702913	0.669964635643	0.643629106129	0.649078695133	0.641437588633	0.662735849057	0.613012490204	0.672947650971	0.637467875783	0.627072731845	0.638151975099	0.515975162519	0.686739072696	0.63820255084	0.590886240773	0.562940532627	0.654006511818	0.637566773588	0.653931913622	0.671303557009	0.68509711587	0.617338112529	0.656500318663	0.636603259274	0.654103500472
