CS.036	CS.143	CS.005	CS.257	CS.039	CS.264	CS.245	CS.001	L.001.M1	L.004.M1	L.007.M1	CS.106	CS.019	CS.009	CS.099	CS.072	CS.067	CS.335	CS.305	CS.115	CS.381	CS.042	CS.229	CS.056	CS.153	CS.371.1	CS.365	CS.367	CS.058	CS.377	CS.375	CS.224	CS.041	CS.213	CS.236	CS.205	CS.376	CS.378	CS.125	CS.128	CS.232	CS.380	CS.136	CS.203	CS.374	CS.348	CS.349	CS.385	CS.359	CS.386	CS.369	CS.389	CS.182	CS.178	CS.129	CS.254	CS.214	CS.372	CS.181	CS.148	T.CS.079	T.CS.056	T.CS.023	T.CS.024	T.CS.057	T.CS.089	T.CS.001	T.CS.028	TFS.023	T.CS.050	T.CS.022	T.CS.062	T.CS.019	T.CS.016	T.CS.041	T.CS.125	T.CS.131	T.CS.104	T.CS.139	T.CS.102	T.CS.177	T.CS.180	T.CS.097	T.CS.110	T.CS.092	T.CS.126	T.CS.118	T.CS.120	T.CS.160	T.CS.144	CS.006	CS.085	L.034.M1	CS.087	CS.241	CS.238	CS.103	L.024.M1	CS.015	CS.110	CS.356	CS.237	CS.242	CS.088	CS.246	CS.188	CS.212	CS.311	CS.330	CS.044	CS.347.0	CS.078	CS.233	CS.164	CS.274	CS.325	CS.113	CS.228	CS.207	CS.151	CS.343	CS.319	CS.285	CS.202	CS.158	CS.339	CS.080	CS.331	CS.322	CS.163	CS.152	CS.227	CS.321	CS.361	CS.112	CS.270	CS.390	CS.255	CS.145	CS.393	CS.326	CS.253	CS.370	CS.262	TFS.020	T.CS.043	T.CS.026	TFS.025	T.CS.049	T.CS.031	T.CS.066	T.CS.055	T.CS.045	T.CS.008	T.CS.064	TFS.027	T.CS.061	TFS.022	T.CS.036	T.CS.141	T.CS.142	T.CS.109	T.CS.157	T.CS.151	T.CS.166	T.CS.158	T.CS.152	T.CS.095
CS.036	0	0.580453791294	0.636090953528	0.653609512097	0.604518715749	0.612864029692	0.665550708879	0.602450232772	0.622236183096	0.695003523489	0.70432541844	0.564881883821	0.594722708305	0.601678120704	0.649104034163	0.613797805359	0.672571022539	0.710265869533	0.629142580613	0.61278134779	0.573985151635	0.607257872083	0.573511077607	0.56869222837	0.558709450687	0.666722996912	0.616491931651	0.685699229652	0.538966698355	0.586468864014	0.625844939116	0.717081899592	0.590323642064	0.629041691519	0.579883838562	0.659595168266	0.583726390107	0.66614635508	0.62248574505	0.594675481344	0.567272697514	0.610765517917	0.555641603617	0.630659168994	0.637911534202	0.581267772383	0.590221591554	0.605790525044	0.656843729932	0.678998141673	0.647724530175	0.608936787157	0.581110895801	0.625654982553	0.627636566035	0.62938462458	0.628077908846	0.583988982424	0.621404491151	0.6631213016	0.645352258329	0.655131454016	0.720781523014	0.595546572533	0.704455219242	0.610963442677	0.671340821595	0.601336051619	0.662634434267	0.636580528042	0.594731220775	0.634005739937	0.646712472605	0.609970237747	0.624154703422	0.658396088145	0.642205231087	0.660086993666	0.675457725797	0.697823268041	0.665204332455	0.604102838154	0.676944364213	0.632247449381	0.650773247365	0.628508967136	0.594276713794	0.651611280356	0.667242073455	0.664575226731	0.622482868931	0.581816478735	0.61255142394	0.631054653072	0.635942042509	0.609480027921	0.582193426356	0.713385385953	0.668884667354	0.634454888321	0.695331297418	0.573358657682	0.637470912249	0.669745394007	0.619450855883	0.684112354351	0.697550286115	0.654193237068	0.621095919804	0.598152143305	0.649397574855	0.639695291339	0.625895520157	0.647323251901	0.668100162161	0.727904524869	0.623348735842	0.577724805344	0.650345753383	0.59430364472	0.630101394628	0.592265113754	0.610378542394	0.676611536278	0.561005041347	0.660157158975	0.587539530404	0.587026015838	0.657921430989	0.567966190336	0.582662123707	0.714978669488	0.618655668603	0.647365406761	0.585643942317	0.655004360139	0.618307513568	0.606425432986	0.631335747195	0.633933990882	0.652154925794	0.699344574367	0.592973934784	0.673391743271	0.653322580208	0.63431045364	0.707653452771	0.642104640632	0.657142935356	0.651183142323	0.661149588099	0.632258745453	0.642682477489	0.675627947096	0.633179844685	0.643174653512	0.61462897813	0.65455553436	0.61504651329	0.713249726807	0.70289911201	0.670376133348	0.685806212831	0.695597517924	0.63503686472	0.641516226962	0.629438665578	0.691921512268
CS.143	0.580453791294	0	0.56561224287	0.600163274607	0.574668128506	0.600609892602	0.593525416232	0.559796002101	0.609145948908	0.595695944299	0.59472606502	0.534580587592	0.552402869661	0.596059599709	0.591898961664	0.564172245	0.702316601804	0.716304535766	0.606015441728	0.632283913412	0.589769006629	0.613091290571	0.597183277241	0.605303668748	0.5836322787	0.632885161235	0.577467768617	0.685582437149	0.578231235819	0.645088118575	0.608652726269	0.719400910477	0.619968087739	0.643759330851	0.647495426172	0.670342992597	0.609236318858	0.676179837869	0.624732721354	0.578152075919	0.554899981273	0.584991478615	0.585470116585	0.600707330073	0.626716135258	0.590275775142	0.613649476998	0.621861062415	0.68487298148	0.680212952431	0.684439933499	0.607315976456	0.59224960337	0.59934528554	0.604223414176	0.621679407797	0.628664607557	0.610347661998	0.63257282964	0.675940942575	0.657313758564	0.642231779563	0.719158352777	0.595066879324	0.668018901232	0.591765064321	0.657902452173	0.598309825252	0.630572714573	0.62879826203	0.583696323033	0.564845992762	0.617454118689	0.571845888271	0.6037131722	0.559810506525	0.580316636638	0.596552146054	0.59111031994	0.605371819249	0.592459806806	0.598056995794	0.600596770785	0.572196252163	0.628977270118	0.553731163403	0.557501529876	0.556871975907	0.605540008638	0.590503417744	0.538704225787	0.469716208634	0.552814781555	0.615632607843	0.568205575416	0.537264167648	0.55224460121	0.611255107138	0.613372020575	0.576258521545	0.656414022342	0.592484913242	0.558918045956	0.642079040353	0.573848275574	0.668315977763	0.676538446414	0.597309190323	0.610746099862	0.564971520209	0.624830092407	0.617866594199	0.584039049829	0.660193755251	0.643033461572	0.734302798865	0.602822849561	0.579878656792	0.657277086301	0.587995007644	0.628123749198	0.61096026738	0.657668875437	0.654794334969	0.583650997317	0.641798137089	0.578221973394	0.566961074925	0.653753700682	0.610142036691	0.566251623708	0.733400099999	0.59577743412	0.64582797245	0.602192044735	0.622025465529	0.632712446651	0.595721656854	0.607470893604	0.654504711957	0.623392361507	0.708885957662	0.608451182222	0.624936023256	0.583994077303	0.62282093762	0.689277455945	0.606461903207	0.621304215482	0.595766606447	0.592396219901	0.589885428396	0.613656019243	0.624466484115	0.565169085275	0.591252171354	0.594320053734	0.583596118282	0.581260407171	0.62502585565	0.635306717067	0.5967031761	0.606844014458	0.605284267555	0.568942947461	0.577155158703	0.59071812923	0.608526341551
CS.005	0.636090953528	0.56561224287	0	0.567812831076	0.570554935068	0.582342866511	0.612081257864	0.425918280793	0.516783828101	0.505838330117	0.524326577199	0.53506781967	0.553448562955	0.657916398314	0.496823200064	0.47525518685	0.748229057503	0.777241589529	0.503867115462	0.661293452448	0.55533348705	0.643482058447	0.675095557213	0.676734665922	0.525276893936	0.637544835346	0.54971096065	0.753729499659	0.579600527497	0.651791154018	0.651724747734	0.764691881125	0.653921671385	0.690160639771	0.696682025911	0.729427919259	0.687984403573	0.702298640674	0.682192160574	0.606233448657	0.482129584987	0.555968001893	0.60928701007	0.583422313539	0.682768859504	0.604827915448	0.643773346338	0.657496716398	0.729568170471	0.72182838909	0.736426032152	0.654562436581	0.603862358106	0.612543719661	0.590098344385	0.665122506984	0.650399281317	0.67070362158	0.636674977814	0.6952763602	0.699644741892	0.649541800674	0.76215304153	0.583076690086	0.724407794008	0.597913638811	0.732907738568	0.578818600705	0.636419741337	0.617344023114	0.606684346068	0.536540606804	0.627824409194	0.59423516295	0.568405053537	0.558722759948	0.496878197923	0.483392751913	0.479364341324	0.552903109536	0.49443843254	0.542587142426	0.508503637723	0.493159090858	0.522261957864	0.502326566564	0.586213995959	0.562331818911	0.49262827428	0.525768163385	0.487759724562	0.475794766895	0.594722536511	0.602856483996	0.520953473855	0.553443508755	0.53151213506	0.577737880826	0.589131619684	0.617980263878	0.704058332013	0.613738912199	0.508859392581	0.680795921033	0.496909484431	0.694353547818	0.68428728707	0.617403333437	0.655895096851	0.564990332404	0.693599740525	0.629112230227	0.522070075927	0.713841998275	0.695199569437	0.778980478815	0.596865177017	0.587227833908	0.679223269815	0.596914590281	0.689944169826	0.690013985892	0.725660222675	0.668428382524	0.623893921155	0.671220059251	0.590912125749	0.565080542143	0.71009069073	0.634336233368	0.538515685973	0.791193872107	0.578849539994	0.693361161559	0.63115376853	0.679187551212	0.665214088314	0.613595519464	0.613431729508	0.677335043267	0.628851702392	0.733276634689	0.676309148797	0.694341472258	0.507986878208	0.586029128237	0.733492962004	0.624296275419	0.66644007955	0.574620307484	0.527411251761	0.577549188528	0.602841181095	0.667864308597	0.568157144735	0.589803023554	0.614482717945	0.503237796916	0.513874523522	0.596193053416	0.611081014461	0.474145586292	0.555515911827	0.551379632346	0.534363721291	0.516698064889	0.532992500351	0.509881188648
CS.257	0.653609512097	0.600163274607	0.567812831076	0	0.568218493056	0.589250805929	0.569948762728	0.593234128028	0.572488394957	0.600716724123	0.597626461753	0.575118438231	0.576275720941	0.641342073386	0.55023947559	0.591151845847	0.699455891726	0.739436883275	0.603991429643	0.642346556916	0.627077482134	0.629569676933	0.654570497458	0.679793393006	0.57124372198	0.628419608277	0.580416094457	0.692838388149	0.611179500299	0.677643948124	0.629748446717	0.724118154691	0.635337991789	0.653234439105	0.667032001088	0.706015462615	0.661523354279	0.646542925896	0.66597921277	0.618077797979	0.597625536921	0.62933262169	0.609989367879	0.603010392888	0.657079042212	0.671327606894	0.67746793757	0.675779308509	0.726438231947	0.682017432252	0.705579161521	0.660976255966	0.646066424678	0.64246961159	0.579842546963	0.667803169244	0.673171045756	0.66732338331	0.674182741062	0.663106942051	0.68729787439	0.602429381154	0.738695508799	0.62715810151	0.69100773528	0.655958893852	0.673950704309	0.635960018216	0.629564387453	0.595372996598	0.623250671635	0.564411149203	0.601140928791	0.647162384012	0.599408580257	0.588069234123	0.58716506149	0.560006071724	0.596210379806	0.577232184318	0.581025029709	0.546393218991	0.583170384565	0.557629924209	0.610188826645	0.592205132731	0.624958836066	0.587367604113	0.602097594177	0.559113759298	0.548212507918	0.55671655141	0.545160737023	0.557560840914	0.582594892475	0.593047114125	0.591589105153	0.569840606645	0.590102981281	0.606347505856	0.676566963988	0.609821576093	0.564726952726	0.612052854074	0.565376535847	0.697566239163	0.693818804639	0.612004199906	0.637185930516	0.595494186869	0.668994103837	0.628890831394	0.565461844029	0.650835953789	0.685416540411	0.742968991298	0.584709082639	0.580522125459	0.65281321166	0.647631787969	0.665737253071	0.679715643257	0.70964263899	0.649229131108	0.59209289659	0.65881742703	0.603479423715	0.602499798736	0.691036550117	0.612099132449	0.634077495452	0.753195122602	0.582821952672	0.667416967118	0.601581358496	0.673156712256	0.677606143492	0.63594375857	0.653776816168	0.641780678641	0.638374842827	0.702532078021	0.673956583745	0.659313680397	0.608569323764	0.604870451913	0.703687383274	0.623268608588	0.673465047909	0.592110893375	0.56157932779	0.58614635618	0.625571539587	0.665049426701	0.587869542268	0.605733379461	0.639280992835	0.608443853105	0.582992167879	0.567655059719	0.597041226958	0.57963976751	0.544640947713	0.569621646788	0.60284395499	0.572126200976	0.56810088932	0.589798290906
CS.039	0.604518715749	0.574668128506	0.570554935068	0.568218493056	0	0.603171184344	0.576027485734	0.609007356973	0.602450957752	0.600527918921	0.627449511268	0.54716396755	0.551769336475	0.588929583969	0.552867151904	0.594558398974	0.680992736035	0.713146520059	0.623989030104	0.597382107506	0.612717830905	0.614448919858	0.631810224548	0.628859912319	0.550577020546	0.614876748479	0.591485173884	0.68764155087	0.566692406376	0.670536651451	0.624627004369	0.729092615695	0.609054806358	0.631309818651	0.637429939829	0.682372128268	0.627333912961	0.626306254851	0.664345325942	0.622162500569	0.567852318584	0.633268673928	0.580193697938	0.603994284766	0.629844703051	0.646849690559	0.638233978466	0.661695952784	0.711034194348	0.669129183683	0.669519061732	0.635038691794	0.615402173002	0.640711301753	0.574808835396	0.642941447647	0.648537695595	0.64476316859	0.634320092019	0.653304043009	0.660604049639	0.593902116068	0.700749128224	0.601643739021	0.672775032	0.61231828074	0.664326038061	0.612912449088	0.644279826469	0.586275952658	0.59174376461	0.595454365861	0.621502435504	0.60537315577	0.609187037132	0.612782221393	0.639552956088	0.618596886031	0.631103222135	0.615779296345	0.622422153856	0.589609138282	0.614160374427	0.594042136424	0.645449337871	0.630762198652	0.603895529817	0.592864795123	0.631079012705	0.606354424317	0.545936640922	0.550904459454	0.565793394042	0.573118372378	0.583624124907	0.574729492828	0.520356090524	0.638106994416	0.575941439962	0.580268951832	0.674149947274	0.564788289409	0.595060155023	0.623566418477	0.614766859098	0.683894851719	0.665909909177	0.566757634562	0.633660265946	0.548793752733	0.65718331654	0.578200520236	0.569328875012	0.616941622305	0.668711634567	0.743030026051	0.560614736486	0.544364133157	0.658159180735	0.64110521829	0.652816343861	0.640811572338	0.645642395615	0.65601482199	0.567234620691	0.656399799504	0.580202639425	0.607426195825	0.673390833508	0.584198058123	0.601728189431	0.734025752339	0.605310753059	0.637976015107	0.541305870032	0.652608863894	0.646281608054	0.638425751948	0.62705440583	0.634074922305	0.643141614314	0.68242520039	0.645905059742	0.631312073376	0.621956318647	0.634230644324	0.697268751079	0.625343315433	0.651475737951	0.589025586853	0.629196227398	0.604207909807	0.603606677084	0.629141944146	0.582522673955	0.599017938447	0.618084024113	0.634179945916	0.581321295328	0.609059680671	0.626156113001	0.602065543265	0.597710691319	0.616116400342	0.63801201554	0.619441932983	0.605870405054	0.619399996489
CS.264	0.612864029692	0.600609892602	0.582342866511	0.589250805929	0.603171184344	0	0.63147146618	0.602934078089	0.580567284965	0.630964625106	0.632257986267	0.552863053543	0.587928680442	0.644608027303	0.600898073281	0.590580634724	0.697901324844	0.714177814607	0.609554537079	0.603351176443	0.606131423974	0.632465923229	0.658835801163	0.669364501452	0.561099485744	0.657001447	0.584040018959	0.664560660629	0.584945356449	0.629634997144	0.608672978971	0.730727045512	0.612992922025	0.652483074253	0.658149700027	0.690864016917	0.661114322536	0.643687364684	0.639306627776	0.623081143549	0.563393546149	0.639497792752	0.601444024053	0.631911497406	0.629635677974	0.624918003153	0.636097041311	0.647924123418	0.690339002316	0.656884077679	0.667365529482	0.633865993875	0.614904395897	0.62526603578	0.585149585674	0.642320038812	0.64205610826	0.657973179573	0.644720258728	0.654545081737	0.645772330588	0.615524497751	0.682086837924	0.615666353923	0.688282991289	0.609523869771	0.67131338406	0.609243292191	0.638687494522	0.606686885049	0.619841874823	0.584058900601	0.593267455279	0.615435685098	0.598687236383	0.618025608045	0.526646251999	0.603944047266	0.611134506043	0.625591588675	0.590108797001	0.565492583118	0.601865624341	0.574408215101	0.606039146226	0.578633082766	0.610325005547	0.5763308138	0.615126208706	0.620972130448	0.597047948682	0.56106033896	0.602288386733	0.594484787368	0.621847566204	0.608798791093	0.585902740159	0.633420159862	0.653499960071	0.596245919254	0.669863796244	0.600892144912	0.581431920693	0.673656690791	0.549247387017	0.664081880031	0.663084481055	0.61922113391	0.613975151955	0.594924020914	0.66542819359	0.668708440463	0.563287238702	0.636401912018	0.638900218921	0.714038827873	0.620561392449	0.588008155692	0.635872410443	0.605158058178	0.651212774356	0.661432045538	0.673704024173	0.656363269492	0.604744455635	0.647221428036	0.590307881918	0.601521614417	0.659939544304	0.58006726838	0.623435090073	0.727309405492	0.609233170617	0.630037423386	0.594461941378	0.646248102024	0.662644490537	0.624652382739	0.639848129491	0.631399520823	0.603569736656	0.665106246122	0.648911645375	0.65596240856	0.616738167892	0.626236725933	0.684436041813	0.6418489215	0.666164322234	0.623375752486	0.607360602723	0.626873865745	0.624910082569	0.670735648361	0.597731095367	0.639979953071	0.645948985333	0.607008277997	0.584392773333	0.661616810947	0.660667648686	0.607248428682	0.603498039907	0.647974716958	0.594698871736	0.574511113444	0.584522855386	0.621892961766
CS.245	0.665550708879	0.593525416232	0.612081257864	0.569948762728	0.576027485734	0.63147146618	0	0.649567210126	0.586270095823	0.551582658093	0.552334191399	0.599929340652	0.553323231414	0.623787425759	0.605477571618	0.579277895041	0.691016632483	0.701166480232	0.581782027325	0.655517357517	0.600192408031	0.587085028924	0.616945024156	0.667250519127	0.605191395585	0.508751477418	0.552390183409	0.683820438533	0.622619683069	0.705265439745	0.569575557489	0.694076220416	0.619370614737	0.660241379628	0.694730253024	0.666950968129	0.608776393383	0.651906385477	0.628261297061	0.613068254643	0.600315040808	0.561645893278	0.627187731737	0.57649850057	0.626572589731	0.629379092473	0.643495800261	0.665198634368	0.70469353603	0.684159932555	0.717791189455	0.639907119815	0.613482519275	0.599139243925	0.603021431048	0.64828097387	0.62322866129	0.643079798851	0.647972268561	0.664751597092	0.637006675845	0.58115445238	0.693757269295	0.54112343042	0.621892456369	0.587026349165	0.680148994119	0.550314556322	0.557096918192	0.554758330264	0.586993154453	0.539177165967	0.56007103222	0.549055992617	0.542235735719	0.541350062482	0.574232534098	0.573691268297	0.579940717116	0.570958767205	0.595290403215	0.619010834176	0.554693336683	0.55894141465	0.648951277262	0.565657882692	0.579648112843	0.534610889269	0.60994393118	0.543701260044	0.535174458787	0.598282231994	0.585988980302	0.568401831488	0.580949777652	0.602864250413	0.592303794741	0.563357182119	0.559949990857	0.621278491384	0.629783070292	0.619858138041	0.539199389228	0.590422044873	0.56996697783	0.589003259334	0.603631497094	0.564597489609	0.637439355254	0.542245052625	0.672623279545	0.544781317385	0.628507877059	0.685037115305	0.629408966978	0.703032399998	0.524347463702	0.63104628485	0.662996606967	0.624904785337	0.633264972553	0.641722109069	0.683498877727	0.586220867218	0.616196127561	0.612412928372	0.596763902134	0.647446540252	0.662988117056	0.622187941601	0.574859461884	0.744128296286	0.544374522967	0.613337073452	0.60539560157	0.645149889173	0.640068338588	0.636039918931	0.587532873781	0.636571296825	0.619479517207	0.727249385162	0.65907355061	0.626284132889	0.570629594229	0.549394721371	0.674017998252	0.529124179642	0.61883814636	0.52619114946	0.581576272554	0.552461584437	0.535073161706	0.533892113095	0.54141794112	0.513133717842	0.560478540773	0.581718840683	0.608812889953	0.497322240392	0.531778518221	0.577621981157	0.514737046035	0.538640720879	0.563456983781	0.559571715164	0.530010968929	0.584214780792
CS.001	0.602450232772	0.559796002101	0.425918280793	0.593234128028	0.609007356973	0.602934078089	0.649567210126	0	0.531376695837	0.562500313334	0.570178932217	0.532746350251	0.588655891621	0.663319865099	0.519626751482	0.540151228936	0.762299403502	0.784665109198	0.528748697732	0.664034325642	0.540626482308	0.668172092855	0.671408484998	0.653889655734	0.57680782936	0.684063592525	0.590860133225	0.763447242571	0.594968915417	0.634781082251	0.677881237474	0.781933689226	0.648006178704	0.698115576217	0.65908129977	0.720868313458	0.681829427634	0.706983464557	0.674030764903	0.603789707674	0.508482965645	0.57414757783	0.60570911331	0.588698324667	0.666145578132	0.563412322756	0.611499453045	0.614929477718	0.737607201679	0.724581191937	0.722290235907	0.659374875642	0.592396185804	0.628088440294	0.615491669562	0.657908238177	0.673709415173	0.63132312904	0.618612741016	0.689363851445	0.726713761105	0.684154710412	0.795987320252	0.618768703498	0.755634924581	0.622151965021	0.713244237117	0.609354342011	0.659466180314	0.637040887657	0.633776350156	0.571140708009	0.650204548307	0.617401639468	0.608217687773	0.605395531839	0.529677230233	0.48893354547	0.525998379271	0.580900707924	0.514926683767	0.554636950667	0.539756612218	0.524699212856	0.54420792026	0.52517642114	0.589962733884	0.594948212661	0.502311976598	0.555877672182	0.546823038876	0.500663375622	0.579029659441	0.633441404658	0.530406374724	0.590820253969	0.541435139775	0.625865526517	0.604748749103	0.631644661562	0.744975457408	0.626996643004	0.524988322665	0.708901731401	0.532325036934	0.717621422212	0.732722866831	0.647734114	0.658528220419	0.598036219785	0.699114678686	0.659803425384	0.536218077393	0.716537839635	0.718999181385	0.781197737009	0.634329651574	0.599908917708	0.665547643926	0.592203676473	0.680549309794	0.664529306699	0.719799406415	0.711928567775	0.622501419917	0.701624469625	0.593372050134	0.512947997101	0.702464619582	0.641367432177	0.527316994945	0.796606999685	0.598445293983	0.716023683297	0.631944433135	0.666546232366	0.645624008961	0.585500288331	0.61555273439	0.670982744894	0.625906094122	0.739141813304	0.645448800794	0.688906979566	0.511883602289	0.620593353502	0.753683072977	0.66109902598	0.68770499249	0.608618462787	0.541796077957	0.577531245963	0.642078099773	0.691342967162	0.593839307725	0.625574870913	0.666240023652	0.521624234362	0.54570337512	0.655033665118	0.673635543699	0.508698060087	0.618130160211	0.602890441718	0.55676545111	0.527751086407	0.582849508655	0.540938154935
L.001.M1	0.622236183096	0.609145948908	0.516783828101	0.572488394957	0.602450957752	0.580567284965	0.586270095823	0.531376695837	0	0.578943320931	0.59519049569	0.534929036121	0.604707766109	0.650912315874	0.54659299513	0.564689525622	0.73632704827	0.753820904069	0.553805430578	0.61692994132	0.556781440363	0.650266484152	0.662165735895	0.680619897155	0.550322685036	0.647713410833	0.586941254001	0.735340318769	0.585410337213	0.655524395035	0.639977047506	0.775295119672	0.60688189381	0.693895290837	0.648849286425	0.727744139296	0.670727978769	0.658037549506	0.674023452252	0.623262286791	0.544775225116	0.568072988554	0.60560327603	0.587038440064	0.660939171832	0.61053251134	0.629254031008	0.651190721145	0.732784993023	0.692876118701	0.711287149179	0.654817647123	0.613699777935	0.590020555672	0.603158351577	0.665222855706	0.683448605071	0.664871236273	0.644883717078	0.673505448084	0.693764444963	0.605407514968	0.733410952923	0.585879587837	0.720234561567	0.600029659415	0.695793933481	0.614060707123	0.639780648403	0.580560747583	0.614832067322	0.537683591898	0.61000106368	0.586175831798	0.561342586612	0.59899951418	0.563875584832	0.546220098185	0.572303878399	0.599992396792	0.553462435357	0.542278458	0.556271023006	0.52166090322	0.57267144018	0.567259294841	0.597584997487	0.602697798496	0.558596728354	0.59142691884	0.593881515155	0.52084851022	0.616225301061	0.621401851026	0.605593563603	0.595915393342	0.562166974944	0.618568900937	0.618992973152	0.62384332867	0.711752532283	0.634837241272	0.53354295873	0.689629663299	0.550884137829	0.709926872352	0.71224633767	0.62788388828	0.659470906115	0.57708300089	0.698737926064	0.640180052221	0.570041910648	0.691187746003	0.694748900453	0.738000775161	0.620811743212	0.587010833326	0.678663242788	0.604123164722	0.696941969939	0.69013396361	0.728170850353	0.646991341443	0.601868770485	0.681960193853	0.620862936475	0.581509345828	0.692730994377	0.627655975878	0.56882468228	0.796572635457	0.586906489548	0.685457018756	0.611083808143	0.663200343147	0.665326649783	0.608917291121	0.631978897485	0.650368906401	0.624858333167	0.693526335938	0.663127984644	0.681622414666	0.561215806274	0.595403697364	0.695850256277	0.645560539223	0.658213717343	0.593661989089	0.578663832347	0.602948114375	0.604014592326	0.634672491922	0.582714582268	0.597643568172	0.632585997283	0.561507829211	0.531063606562	0.612368927687	0.63109955491	0.578170085755	0.592583274391	0.605413279214	0.589199915581	0.573155563955	0.566536613092	0.574499206362
L.004.M1	0.695003523489	0.595695944299	0.505838330117	0.600716724123	0.600527918921	0.630964625106	0.551582658093	0.562500313334	0.578943320931	0	0.381247922802	0.59947165701	0.54743625945	0.672290457394	0.510066667842	0.489472967672	0.767375133274	0.756055089864	0.496524000042	0.722330585135	0.570116360525	0.667517674211	0.680735237854	0.725303563442	0.618798259798	0.595385080121	0.510401575466	0.752629738509	0.637797815425	0.709353441808	0.638507791875	0.758063232117	0.703971019308	0.705640737992	0.745364008902	0.703017860617	0.689321270151	0.715705065848	0.685730206942	0.611436691604	0.564201773036	0.51532176234	0.670903107513	0.546436810454	0.684482048936	0.627743590886	0.650564390116	0.681599440148	0.735869442366	0.718838718491	0.766475383477	0.681431140827	0.605116233693	0.597865006893	0.611554315237	0.670481991802	0.667291004848	0.680482627723	0.639302269996	0.69825748898	0.696716181224	0.642485915733	0.753276855274	0.54573586217	0.702792142819	0.555309306571	0.72288681993	0.54383276099	0.557357774349	0.619563339261	0.608449656029	0.505293135994	0.636342264484	0.56115223832	0.553071558317	0.505431817554	0.47681650394	0.456306837367	0.423574425773	0.450681998542	0.486617242376	0.599493657986	0.480980325754	0.507806803204	0.563300630373	0.480339691593	0.560133792298	0.499493135887	0.486704443746	0.482736776966	0.51141062823	0.55968189376	0.586858858423	0.603847302869	0.504614376399	0.551727957165	0.562868996433	0.483839599603	0.572605646792	0.66190413654	0.707138679414	0.670694508233	0.485008927931	0.654999887684	0.51455203359	0.652695752385	0.673179647858	0.613910318935	0.662726813998	0.55672308722	0.707447691544	0.562213109554	0.604795590911	0.759910083188	0.675271460263	0.759474383134	0.560680347765	0.638871548177	0.704472464272	0.622449694666	0.672949095976	0.670043910714	0.764086388228	0.651371717354	0.676919127054	0.641811468814	0.6304359155	0.585658746406	0.680991928869	0.685558994738	0.524252309917	0.790098159648	0.521395362326	0.69604809709	0.675783971617	0.677371877676	0.684600168768	0.618199721969	0.573861572629	0.70981008903	0.635877837977	0.754594373136	0.688223795371	0.677754792373	0.432330625229	0.511423461182	0.716506267433	0.543015182772	0.624192947567	0.521560533902	0.45548212736	0.522053474703	0.53967537085	0.577847075612	0.493078816807	0.469696149315	0.56850796916	0.438660159026	0.544809903663	0.500240406029	0.489984388653	0.406635814954	0.517640105418	0.437269446794	0.491123321244	0.457385016708	0.50220657287	0.422021438182
