CS.143	CS.036	CS.005	CS.021	L.004.M1	CS.016	CS.265	L.031.M1	L.005.M1	CS.003	CS.028	CS.098	CS.314	CS.217	CS.281	CS.077	CS.341	CS.115	CS.127	CS.301	CS.117	CS.063	CS.365	CS.373	CS.161	CS.072	CS.367	CS.368	CS.377	CS.381	CS.125	CS.203	CS.224	CS.136	CS.292	CS.374	CS.236	CS.380	CS.128	CS.378	CS.376	CS.302	CS.213	CS.282	CS.205	CS.385	CS.359	CS.166	CS.147	CS.148	CS.183	CS.349	CS.389	CS.372	CS.214	CS.323	CS.182	CS.129	CS.386	CS.395	T.CS.042	T.CS.056	T.CS.012	T.CS.052	T.CS.014	T.CS.024	T.CS.034	T.CS.004	T.CS.048	T.CS.038	T.CS.023	T.CS.041	TFS.023	T.CS.035	TFS.024	T.CS.120	T.CS.139	T.CS.123	T.CS.153	T.CS.160	T.CS.161	T.CS.147	T.CS.117	T.CS.167	T.CS.111	T.CS.180	T.CS.107	T.CS.177	T.CS.098	T.CS.116	CS.085	CS.356	CS.015	CS.237	CS.242	CS.082	CS.103	L.024.M1	CS.088	CS.246	CS.087	CS.238	CS.241	CS.006	CS.110	CS.338	CS.234	CS.078	CS.363	CS.308.0	CS.387	CS.345.0	CS.164	CS.358	CS.189	CS.151	CS.346	CS.325	CS.228	CS.304	CS.320	CS.158	CS.318	CS.321	CS.194	CS.227	CS.361	CS.331	CS.202	CS.112	CS.285	CS.339	CS.152	CS.223	CS.163	CS.270	CS.255	CS.262	CS.390	CS.145	CS.326	CS.253	CS.393	CS.370	TFS.021	T.CS.045	T.CS.064	T.CS.043	T.CS.049	T.CS.026	TFS.022	TFS.027	TFS.025	T.CS.066	T.CS.055	T.CS.036	T.CS.031	TFS.020	T.CS.008	T.CS.109	T.CS.158	T.CS.157	T.CS.152	T.CS.142	T.CS.095	T.CS.166	T.CS.151	T.CS.141
CS.143	0	0.580453791294	0.56561224287	0.569093861881	0.595695944299	0.565754817512	0.606739740288	0.559029264083	0.60738336334	0.579331489932	0.565100145661	0.579825351221	0.594627083742	0.573318425945	0.56934700222	0.584769614429	0.645964996562	0.632283913412	0.581767131453	0.588263975392	0.593302663551	0.624155650841	0.577467768617	0.569686369973	0.615715745518	0.564172245	0.685582437149	0.573987245308	0.645088118575	0.589769006629	0.624732721354	0.600707330073	0.719400910477	0.585470116585	0.562790278278	0.626716135258	0.647495426172	0.584991478615	0.578152075919	0.676179837869	0.609236318858	0.685035377224	0.643759330851	0.647320485904	0.670342992597	0.621861062415	0.68487298148	0.676382016283	0.625086494529	0.675940942575	0.69262745573	0.613649476998	0.607315976456	0.610347661998	0.628664607557	0.605514810165	0.59224960337	0.604223414176	0.680212952431	0.635709812932	0.580706130063	0.642231779563	0.693025447573	0.618779559394	0.574649369345	0.595066879324	0.599742086345	0.601397133226	0.566787512192	0.582059556099	0.719158352777	0.6037131722	0.630572714573	0.578476529229	0.597145422085	0.556871975907	0.59111031994	0.574562888166	0.593551129292	0.605540008638	0.587159326245	0.613788448129	0.595683696655	0.591983379952	0.596244034562	0.598056995794	0.591279279989	0.592459806806	0.582692469374	0.584931243723	0.469716208634	0.656414022342	0.613372020575	0.592484913242	0.558918045956	0.586364204813	0.55224460121	0.611255107138	0.642079040353	0.573848275574	0.615632607843	0.537264167648	0.568205575416	0.538704225787	0.576258521545	0.609470840566	0.630598306165	0.617866594199	0.630312389293	0.641247938611	0.589036136935	0.714064198324	0.660193755251	0.729188288766	0.633109733668	0.587995007644	0.681443395152	0.734302798865	0.579878656792	0.681902218315	0.595736931316	0.583650997317	0.61525350748	0.59577743412	0.715803066207	0.733400099999	0.64582797245	0.566961074925	0.654794334969	0.602192044735	0.657668875437	0.641798137089	0.566251623708	0.612808533153	0.610142036691	0.622025465529	0.595721656854	0.624936023256	0.632712446651	0.607470893604	0.623392361507	0.708885957662	0.654504711957	0.608451182222	0.616572747009	0.613656019243	0.565169085275	0.62282093762	0.621304215482	0.689277455945	0.583596118282	0.591252171354	0.606461903207	0.592396219901	0.589885428396	0.581260407171	0.595766606447	0.583994077303	0.624466484115	0.5967031761	0.577155158703	0.606844014458	0.59071812923	0.635306717067	0.608526341551	0.568942947461	0.605284267555	0.62502585565
CS.036	0.580453791294	0	0.636090953528	0.56462711187	0.695003523489	0.590183516652	0.655438529118	0.59060512711	0.698306380663	0.598631766367	0.602542354297	0.648872522029	0.64658987466	0.633428509839	0.629683440315	0.575879253144	0.653303913292	0.61278134779	0.568917434726	0.579645231428	0.59291068491	0.549248755776	0.616491931651	0.567549496896	0.593451529911	0.613797805359	0.685699229652	0.60462451519	0.586468864014	0.573985151635	0.62248574505	0.630659168994	0.717081899592	0.555641603617	0.600642178721	0.637911534202	0.579883838562	0.610765517917	0.594675481344	0.66614635508	0.583726390107	0.677441127908	0.629041691519	0.631929924261	0.659595168266	0.605790525044	0.656843729932	0.641438642448	0.633989118478	0.6631213016	0.653034880008	0.590221591554	0.608936787157	0.583988982424	0.628077908846	0.590115011143	0.581110895801	0.627636566035	0.678998141673	0.630366422775	0.628722886046	0.655131454016	0.718511734107	0.563254979349	0.580684268994	0.595546572533	0.645512026642	0.656541957515	0.608267837512	0.625203590573	0.720781523014	0.624154703422	0.662634434267	0.607402761533	0.612242137604	0.651611280356	0.675457725797	0.639736836933	0.643363299974	0.667242073455	0.64053357478	0.677602936559	0.670804146307	0.671850802324	0.670234712693	0.604102838154	0.657067898521	0.665204332455	0.663944600661	0.607884893472	0.581816478735	0.695331297418	0.668884667354	0.573358657682	0.637470912249	0.596091529265	0.582193426356	0.713385385953	0.669745394007	0.619450855883	0.631054653072	0.609480027921	0.635942042509	0.622482868931	0.634454888321	0.610597078125	0.625878363931	0.639695291339	0.603336744759	0.622826138626	0.597965427797	0.665335953643	0.647323251901	0.712301260024	0.654696506819	0.59430364472	0.634642317576	0.727904524869	0.577724805344	0.666037087645	0.613997840334	0.561005041347	0.611130152835	0.618655668603	0.740961742896	0.714978669488	0.647365406761	0.587026015838	0.676611536278	0.585643942317	0.610378542394	0.660157158975	0.582662123707	0.61752254483	0.567966190336	0.655004360139	0.606425432986	0.673391743271	0.618307513568	0.631335747195	0.652154925794	0.699344574367	0.633933990882	0.592973934784	0.668720093608	0.642682477489	0.633179844685	0.63431045364	0.657142935356	0.707653452771	0.65455553436	0.643174653512	0.642104640632	0.661149588099	0.632258745453	0.61504651329	0.651183142323	0.653322580208	0.675627947096	0.670376133348	0.641516226962	0.685806212831	0.629438665578	0.70289911201	0.691921512268	0.63503686472	0.695597517924	0.713249726807
CS.005	0.56561224287	0.636090953528	0	0.636943954241	0.505838330117	0.572331449071	0.481863844711	0.517312309025	0.550327189536	0.4048129422	0.489667182763	0.49470383278	0.553781967162	0.505257213022	0.511954940086	0.572230429714	0.690805556956	0.661293452448	0.587905464431	0.605719303287	0.545389540292	0.682512054882	0.54971096065	0.618086064395	0.681440705166	0.47525518685	0.753729499659	0.524699087387	0.651791154018	0.55533348705	0.682192160574	0.583422313539	0.764691881125	0.60928701007	0.587546139732	0.682768859504	0.696682025911	0.555968001893	0.606233448657	0.702298640674	0.687984403573	0.737061096974	0.690160639771	0.695782217174	0.729427919259	0.657496716398	0.729568170471	0.696405418836	0.673768849526	0.6952763602	0.745878871215	0.643773346338	0.654562436581	0.67070362158	0.650399281317	0.6490876971	0.603862358106	0.590098344385	0.72182838909	0.651058558233	0.503103041874	0.649541800674	0.705075137533	0.669656140058	0.573240378722	0.583076690086	0.559651182853	0.615852434059	0.58556073712	0.482844346619	0.76215304153	0.568405053537	0.636419741337	0.560880257853	0.616238902076	0.562331818911	0.479364341324	0.566629865239	0.443066693162	0.49262827428	0.496411419336	0.503533811762	0.526122498045	0.531729134001	0.564928899891	0.542587142426	0.503814877623	0.49443843254	0.494928836829	0.563973629075	0.475794766895	0.704058332013	0.589131619684	0.613738912199	0.508859392581	0.475202275758	0.53151213506	0.577737880826	0.680795921033	0.496909484431	0.602856483996	0.553443508755	0.520953473855	0.487759724562	0.617980263878	0.615569126847	0.659147809003	0.629112230227	0.682427417596	0.686334095527	0.638668183162	0.760891409313	0.713841998275	0.771303626173	0.624849909148	0.596914590281	0.743942201951	0.778980478815	0.587227833908	0.691368798449	0.617663205555	0.623893921155	0.68533520938	0.578849539994	0.767361967557	0.791193872107	0.693361161559	0.565080542143	0.668428382524	0.63115376853	0.725660222675	0.671220059251	0.538515685973	0.661261559655	0.634336233368	0.679187551212	0.613595519464	0.694341472258	0.665214088314	0.613431729508	0.628851702392	0.733276634689	0.677335043267	0.676309148797	0.630055747352	0.602841181095	0.568157144735	0.586029128237	0.66644007955	0.733492962004	0.503237796916	0.589803023554	0.624296275419	0.527411251761	0.577549188528	0.513874523522	0.574620307484	0.507986878208	0.667864308597	0.474145586292	0.516698064889	0.555515911827	0.532992500351	0.611081014461	0.509881188648	0.534363721291	0.551379632346	0.596193053416
CS.021	0.569093861881	0.56462711187	0.636943954241	0	0.651317423478	0.605788625949	0.670182211781	0.591678639482	0.652132628218	0.625863730439	0.600312902	0.645163474759	0.596291383983	0.621484921124	0.611344938775	0.584974126865	0.552065574468	0.60641779954	0.542290796714	0.535190153846	0.594845777106	0.586354522807	0.610037542965	0.514638178844	0.529775322819	0.598422975504	0.61523710139	0.59424352506	0.581924381494	0.588028169185	0.532094176665	0.618335848782	0.672671517811	0.556096056637	0.575977297541	0.574881927048	0.642304140867	0.608564359007	0.586573116714	0.647843704744	0.525609261062	0.582362653268	0.586011405221	0.581361826243	0.587033114654	0.566002368602	0.631083565988	0.629425717061	0.55770158467	0.630088339871	0.637184569475	0.581546382353	0.540717622962	0.577687597864	0.590004309718	0.571073621483	0.54540483404	0.624661583611	0.666066641105	0.617552705526	0.638821180212	0.651095376216	0.662871695807	0.529836341658	0.597577311248	0.555157040741	0.600366177701	0.564892223708	0.576748803226	0.645170481363	0.688282340309	0.569752208668	0.610322185024	0.589766755681	0.573916594638	0.601587503013	0.669609827864	0.589054924505	0.665014210734	0.652594463796	0.612907753946	0.664450257698	0.62597529856	0.61914072648	0.617702922346	0.638063646182	0.637240520947	0.654452976935	0.663957116374	0.642310301562	0.592064479314	0.63483616274	0.657258351914	0.575812929821	0.604084494233	0.621246092362	0.622176840054	0.651659711188	0.667744611581	0.609628407066	0.608142966288	0.587964718335	0.652187158371	0.557381035231	0.586823515648	0.605319253106	0.617126788332	0.614393200288	0.546775466558	0.592505088846	0.526117261821	0.623373310986	0.662760529262	0.63344934516	0.593585985564	0.601338818051	0.622618655324	0.66229639167	0.605169662497	0.671348508968	0.55257694664	0.575320119532	0.530326181564	0.621371230817	0.632392882677	0.652206794462	0.606501374579	0.560033075281	0.643914709466	0.566290090885	0.594546341044	0.604573191152	0.586780728685	0.582572194101	0.570838566199	0.592613365268	0.547419900186	0.568561499512	0.599533188166	0.585323979723	0.563407249698	0.659145350691	0.635467662985	0.582139917764	0.607493184412	0.602426088195	0.61202618972	0.616201227979	0.557609203962	0.601086405771	0.642465821414	0.597660819169	0.561345788536	0.638834221441	0.590362665147	0.617738131898	0.585342102589	0.635275576625	0.590489904464	0.652267572482	0.617045821563	0.62925814202	0.578433579513	0.654748960879	0.672039708765	0.608869204399	0.648137562074	0.65093298383
L.004.M1	0.595695944299	0.695003523489	0.505838330117	0.651317423478	0	0.59899287863	0.522438689009	0.572290797017	0.394145966102	0.556308988926	0.568244579561	0.516907887417	0.544561083967	0.506452951739	0.503380075658	0.586056260984	0.675099133525	0.722330585135	0.591662763499	0.588817859111	0.593704637606	0.737811872089	0.510401575466	0.619014471973	0.713334144248	0.489472967672	0.752629738509	0.518667841236	0.709353441808	0.570116360525	0.685730206942	0.546436810454	0.758063232117	0.670903107513	0.626478149444	0.684482048936	0.745364008902	0.51532176234	0.611436691604	0.715705065848	0.689321270151	0.743324787793	0.705640737992	0.698656828873	0.703017860617	0.681599440148	0.735869442366	0.707394256701	0.676516988169	0.69825748898	0.759169381374	0.650564390116	0.681431140827	0.680482627723	0.667291004848	0.644319999792	0.605116233693	0.611554315237	0.718838718491	0.674047192392	0.479510212696	0.642485915733	0.684633160781	0.661724803385	0.568551493129	0.54573586217	0.504718078722	0.542014184913	0.560051811862	0.567735686071	0.753276855274	0.553071558317	0.557357774349	0.552302574796	0.544409568626	0.499493135887	0.423574425773	0.516445486905	0.477875407691	0.486704443746	0.533893645058	0.401935962777	0.487743369224	0.446231697873	0.482078306531	0.599493657986	0.433547022869	0.486617242376	0.48186463499	0.596171227448	0.55968189376	0.707138679414	0.572605646792	0.670694508233	0.485008927931	0.575924896855	0.562868996433	0.483839599603	0.654999887684	0.51455203359	0.603847302869	0.551727957165	0.504614376399	0.51141062823	0.66190413654	0.667224725324	0.692656240156	0.562213109554	0.681611071516	0.724999347298	0.611927092457	0.798514285988	0.759910083188	0.771848897193	0.640112702643	0.622449694666	0.776029652898	0.759474383134	0.638871548177	0.719195262609	0.602193782598	0.676919127054	0.664092761883	0.521395362326	0.746650557972	0.790098159648	0.69604809709	0.585658746406	0.651371717354	0.675783971617	0.764086388228	0.641811468814	0.524252309917	0.684209506203	0.685558994738	0.677371877676	0.618199721969	0.677754792373	0.684600168768	0.573861572629	0.635877837977	0.754594373136	0.70981008903	0.688223795371	0.539449371013	0.53967537085	0.493078816807	0.511423461182	0.624192947567	0.716506267433	0.438660159026	0.469696149315	0.543015182772	0.45548212736	0.522053474703	0.544809903663	0.521560533902	0.432330625229	0.577847075612	0.406635814954	0.457385016708	0.517640105418	0.50220657287	0.489984388653	0.422021438182	0.491123321244	0.437269446794	0.500240406029
CS.016	0.565754817512	0.590183516652	0.572331449071	0.605788625949	0.59899287863	0	0.63954930926	0.614160472245	0.614063641522	0.562138048507	0.582196663953	0.587622891794	0.569922187668	0.570770236615	0.578672438308	0.537239442458	0.674376421689	0.641161433029	0.582017422099	0.6065347476	0.558885535326	0.598955758413	0.565385003471	0.609523068307	0.631213633954	0.572053646588	0.701638735146	0.579117711343	0.65732927946	0.585026777045	0.642208843528	0.565320826132	0.733857599994	0.601637426861	0.600109296004	0.66210547502	0.654540626713	0.568766112655	0.578482592248	0.6516505002	0.615957443602	0.700451761572	0.652221308205	0.649316419356	0.664083259894	0.637387693809	0.695823947557	0.662751349075	0.634296081767	0.679243907277	0.681871742023	0.622183483795	0.642763537698	0.645542449714	0.616847506991	0.627039409111	0.629096181133	0.594234955117	0.676551413397	0.645510339795	0.575303628952	0.602128934682	0.669102602623	0.644022309499	0.611279525759	0.588496190906	0.582145444911	0.59267818127	0.584242997548	0.618272466284	0.709305782959	0.573954326316	0.602129450752	0.555786212014	0.584431027135	0.585602518772	0.609133699384	0.561558512228	0.604771526091	0.617520556612	0.620473091717	0.622200060493	0.589041157706	0.583828694688	0.578750433653	0.572567013706	0.589185127021	0.591639875283	0.618094590074	0.5800742305	0.568838199264	0.664208183816	0.572508006018	0.604645279337	0.557291061649	0.584033411311	0.573992798115	0.616913611921	0.620104322853	0.559643371243	0.556098067152	0.548382705401	0.57312613984	0.526456701981	0.6262359821	0.629938219053	0.676327871453	0.581097511429	0.64623083406	0.636364435056	0.58187156936	0.697967160771	0.685105404903	0.723657631673	0.649854149065	0.599620860047	0.695769501325	0.748994957927	0.58006202885	0.631828000674	0.615818567992	0.572135317564	0.628269131963	0.553109976975	0.72573043505	0.728673013442	0.61930981213	0.600627705727	0.624776101339	0.584129128738	0.6721062133	0.599623705811	0.568556846117	0.64142626271	0.598624495691	0.656417443786	0.614726066194	0.637807815075	0.622966673366	0.60407462197	0.617308767954	0.719836460814	0.634565680118	0.621986977534	0.603885833483	0.583440196104	0.559554523557	0.602350401786	0.645927960491	0.71010353854	0.614235348648	0.564780411193	0.58311191913	0.614542965345	0.607918741027	0.609435069697	0.574159577417	0.601554701271	0.595997197153	0.604866346076	0.583365120751	0.580755380903	0.595484950372	0.620612954388	0.622723540943	0.595448015492	0.610168879025	0.62227547601
CS.265	0.606739740288	0.655438529118	0.481863844711	0.670182211781	0.522438689009	0.63954930926	0	0.48468093881	0.564945715147	0.525440792312	0.536472416354	0.523403447188	0.614907838503	0.565682626684	0.536845272248	0.6224552866	0.693425666571	0.680436433414	0.599106576379	0.598706389719	0.622520509589	0.721666804386	0.587032802012	0.620760758102	0.702717484724	0.525027547935	0.773420678678	0.541773574891	0.654523302108	0.568524907997	0.678653483704	0.590726276457	0.782217770551	0.656820731655	0.623203923948	0.685554477987	0.716739709643	0.571146621457	0.602932965594	0.724382770384	0.696822014035	0.768225495058	0.712957457918	0.702566775255	0.730830094843	0.642104824938	0.753218472844	0.67993284431	0.696249868933	0.68499099083	0.746438636878	0.622830151047	0.677836900152	0.65386619247	0.692197656827	0.643768481077	0.601330962779	0.611196146214	0.723669420031	0.642861246845	0.496216712753	0.689123401833	0.7301431594	0.659388573003	0.583785849523	0.613689664449	0.587474976604	0.637666075097	0.601694198859	0.48446490993	0.775422903278	0.593450448843	0.658014195325	0.59510335776	0.64299117721	0.572775635351	0.46639716583	0.597009342829	0.439380848435	0.440214436998	0.492292225784	0.485984147646	0.542501066356	0.562121020537	0.574816206465	0.556812571179	0.50384373438	0.488115969362	0.491110313033	0.609177914785	0.526054929374	0.750851270923	0.630303817112	0.664682796926	0.513637299664	0.511741759423	0.582547438837	0.614122600618	0.719109511033	0.535626561125	0.650916149509	0.616922328671	0.575195447001	0.596801877806	0.641662639619	0.629400824494	0.684654596021	0.671682629799	0.676195392171	0.723511667342	0.653296233742	0.79096705924	0.740291173873	0.785787265397	0.647431355514	0.613384904501	0.785928617474	0.772974253	0.639854187179	0.728938835092	0.616074551369	0.670768326636	0.680688670659	0.623322019942	0.77151346117	0.811513998632	0.72426818275	0.546744710971	0.716098726716	0.663662864014	0.750826884491	0.714534723984	0.541034133798	0.665247077851	0.673949482664	0.677284177744	0.623070762748	0.695987241037	0.684745293575	0.615078073845	0.645779981715	0.753436441053	0.6928871714	0.675644809833	0.647299772177	0.63593972645	0.576030789062	0.612122353044	0.693307578703	0.740288399448	0.49675472575	0.607737810048	0.664098977304	0.530979346262	0.592035914141	0.547374016214	0.614926184529	0.51052594462	0.684785023821	0.471312210241	0.512250764839	0.617240491992	0.57159594321	0.642196703452	0.483326994976	0.556340680986	0.574332177008	0.638609272265
L.031.M1	0.559029264083	0.59060512711	0.517312309025	0.591678639482	0.572290797017	0.614160472245	0.48468093881	0	0.599788337593	0.544545304795	0.534416367895	0.556366839725	0.612450447746	0.581425240081	0.536421528136	0.587787925078	0.641900967871	0.629241118449	0.554164988676	0.526301882114	0.613150501118	0.64489076908	0.579155201083	0.567437465918	0.628762186024	0.523685477279	0.716233164084	0.522257467259	0.57698290632	0.540518766111	0.617950487844	0.598919146166	0.7340797471	0.598119056498	0.575577031336	0.62429646539	0.660309836803	0.574044049544	0.58799290494	0.688207217129	0.612397676664	0.695477706579	0.663859799681	0.634178709882	0.669743250299	0.580967101991	0.684820924247	0.643397718737	0.637054233001	0.693009489853	0.696950647823	0.583324663164	0.594473169574	0.606951183011	0.628128140792	0.569604842858	0.539240374613	0.596273978887	0.700742306593	0.581639957505	0.518806365324	0.679084484214	0.691032045161	0.60504997948	0.541873649939	0.585320185297	0.595048304089	0.611570302012	0.576850703117	0.499653866107	0.739924319312	0.585392484059	0.624633636376	0.568194973504	0.599712265947	0.5668301478	0.53929754354	0.582046073948	0.502115952917	0.504307447913	0.527456184948	0.552563378747	0.573816862378	0.568356299818	0.599659966719	0.543045757002	0.546216042846	0.520346144885	0.536290373788	0.597246390145	0.526167990035	0.687883710802	0.662770017004	0.620337923218	0.507588013047	0.519300052964	0.575609343217	0.628407235172	0.716845778915	0.528330200269	0.659468131932	0.606813642919	0.583715368849	0.583661209211	0.637754980786	0.573012027996	0.630056563455	0.646504028555	0.621049007334	0.661542033807	0.610027695742	0.738342004102	0.714527354162	0.735601746868	0.59883020199	0.556741425942	0.718121377148	0.743882539703	0.616625873245	0.677980408066	0.586961569705	0.627494978631	0.625964995845	0.608755587436	0.736038038009	0.7702824753	0.664728918181	0.491780929858	0.676598635382	0.622570284186	0.69872901162	0.670146915635	0.517715808445	0.593564658834	0.626749338211	0.633051998095	0.568936692217	0.672325183015	0.639060949819	0.571908078567	0.580237507582	0.701495978527	0.653214793683	0.624438547934	0.643722827803	0.621932941045	0.590385882025	0.621834185137	0.628745245278	0.713801010643	0.517070807789	0.620418948166	0.627586843343	0.554071549009	0.608455123005	0.543262037255	0.597382281016	0.525536945391	0.667292663502	0.533714892148	0.508388949929	0.609213032821	0.552338675826	0.66968169574	0.5702968137	0.537372321605	0.627246962057	0.664582789338
L.005.M1	0.60738336334	0.698306380663	0.550327189536	0.652132628218	0.394145966102	0.614063641522	0.564945715147	0.599788337593	0	0.584269963698	0.591722255867	0.558717803186	0.562646592189	0.506862304776	0.515456386841	0.602266551671	0.680949045799	0.711977476905	0.600027649519	0.608924561251	0.591693647413	0.748852909573	0.496287795191	0.64406955169	0.715861790922	0.540971575522	0.753695194655	0.542733555177	0.737236406007	0.593210868607	0.686516945681	0.526836728016	0.763750922127	0.675692280642	0.651307222477	0.681641501422	0.744792293265	0.535622026526	0.625487975842	0.708192684742	0.685877483267	0.74041744101	0.702125453944	0.712623033209	0.702912691442	0.704842100459	0.755347404345	0.735598026088	0.690471711933	0.70452241836	0.766436870091	0.673476808581	0.704104460495	0.682837467657	0.685344732182	0.67689599835	0.641920162799	0.638789429835	0.735711963407	0.6989052353	0.496276819486	0.6389553038	0.697028782512	0.681738554842	0.568684878586	0.564008090814	0.517154344484	0.557301401005	0.549127105744	0.603068045182	0.763111770477	0.569256814073	0.55765502546	0.554658608529	0.537808276725	0.506002202313	0.451414719047	0.536545584177	0.521855138932	0.519405410017	0.568930829431	0.436469031332	0.512081381094	0.436331858179	0.464224608733	0.586791719791	0.452051626311	0.507507135287	0.460195487276	0.591605984905	0.58409982225	0.698888779602	0.524220739841	0.684707001766	0.494078019527	0.601019477842	0.582598411405	0.471278020676	0.638883089851	0.542594482881	0.577212735983	0.564221027642	0.504683457533	0.504323281988	0.67101029769	0.683715312595	0.706474031173	0.576893186666	0.692293813765	0.740974434229	0.627715936453	0.797485168336	0.760165656616	0.786375944083	0.674535072821	0.640436177264	0.787322618622	0.750373212173	0.650889381143	0.726377929425	0.614729260928	0.679875455723	0.681181878438	0.507640628692	0.750748882668	0.792147233638	0.70345846165	0.610825495844	0.671571088424	0.682020850575	0.761482585962	0.654273895355	0.557735864632	0.693017522699	0.691526483151	0.686525249642	0.643211384456	0.691202929228	0.690025223791	0.601397742644	0.65134385365	0.76676564922	0.706757760937	0.686355730364	0.540659495886	0.557244613298	0.507561113869	0.46994096677	0.645037256654	0.730532675148	0.479621899557	0.472391318473	0.556318030343	0.473383576922	0.512929170719	0.582138999721	0.535250406912	0.47710349953	0.578107236944	0.449416991553	0.469561376123	0.492204678617	0.506951699452	0.457786125003	0.421791601287	0.484597992573	0.431406468203	0.458748057708
CS.003	0.579331489932	0.598631766367	0.4048129422	0.625863730439	0.556308988926	0.562138048507	0.525440792312	0.544545304795	0.584269963698	0	0.518459002333	0.519738962444	0.557990425407	0.489244306144	0.560007216239	0.57107837312	0.69680265956	0.639831851941	0.611376288411	0.625917824982	0.545581505276	0.647009756887	0.567551681115	0.617567269465	0.659130350265	0.50002946083	0.744798607407	0.561869260042	0.652707085177	0.563538909124	0.687922129063	0.59045157219	0.767998083607	0.604585725591	0.610552632096	0.672526981856	0.670408575607	0.57283586546	0.63081414018	0.695550293509	0.691124247433	0.73057940855	0.685118265743	0.705566331492	0.729588334138	0.657984699186	0.718726404235	0.692529764123	0.681415738195	0.704831862764	0.738279503747	0.652205144691	0.659658730973	0.669888255881	0.66601798824	0.662203629369	0.622520471759	0.599722557275	0.709246843381	0.648911276274	0.532310702463	0.62943422663	0.737807644621	0.656770574837	0.586444886618	0.600327576302	0.564557885311	0.635516991439	0.591354489639	0.492057217196	0.748377512875	0.571291909634	0.660737125323	0.585486664691	0.635556344753	0.583744624583	0.53782215397	0.601983238992	0.491303262443	0.545944865698	0.537307776137	0.537036541976	0.565011758305	0.557248510018	0.586460265265	0.539267264504	0.537880143547	0.549054252726	0.533178451173	0.560405546467	0.508660474534	0.721208949739	0.591647264894	0.603032814413	0.530988808668	0.517674062073	0.53167407361	0.604728978697	0.664044576234	0.536261622241	0.591366295789	0.544891563927	0.534016786797	0.530591105965	0.617444814988	0.634473198537	0.645523295758	0.629098857868	0.688153325042	0.674255683829	0.652417043806	0.755351266009	0.68160213979	0.780832584814	0.655235101026	0.591047144376	0.736306600962	0.775175349338	0.577859938381	0.691038030466	0.652045153956	0.606127604811	0.688103314178	0.579706041135	0.767514840817	0.783070761044	0.683283539258	0.588431961199	0.65894625738	0.620959131028	0.718095959881	0.681550518235	0.557190343869	0.672745904728	0.607218906215	0.705151517001	0.620550347548	0.697519404703	0.672565321357	0.622385258617	0.646259720729	0.721323172657	0.673673828825	0.678119312007	0.637737476924	0.615138177302	0.575285453571	0.603571377819	0.684654757037	0.73710056888	0.54302356083	0.601841453407	0.65529277869	0.538635645221	0.587650488919	0.531107728069	0.591253023688	0.5434635709	0.664716573578	0.544307025975	0.547640175215	0.570830607645	0.54040903939	0.633238088336	0.545213754865	0.557386024163	0.586354298571	0.624806242254
