L.033.M1	L.022.M1	CS.217	CS.357	CS.035	CS.219	CS.280	CS.259	L.035.M1	L.002.M1	CS.243	CS.295	CS.105	CS.106	L.006.M1	CS.248	CS.301	CS.064	CS.115	CS.063	CS.341	CS.334	CS.305	CS.381	CS.042	CS.154	CS.149	CS.060	CS.377	CS.373	CS.374	CS.378	CS.126	CS.232	CS.236	CS.375	CS.205	CS.213	CS.128	CS.376	CS.224	CS.041	CS.292	CS.302	CS.136	CS.166	CS.183	CS.147	CS.256	CS.148	CS.177	CS.372	CS.386	CS.214	CS.129	CS.254	CS.369	CS.395	CS.385	CS.178	T.CS.029	TFS.024	T.CS.024	T.CS.058	T.CS.048	TFS.023	T.CS.085	T.CS.046	T.CS.050	T.CS.012	T.CS.003	T.CS.076	T.CS.056	T.CS.069	T.CS.040	T.CS.116	T.CS.144	T.CS.134	T.CS.125	T.CS.156	T.CS.107	T.CS.092	T.CS.132	T.CS.128	T.CS.106	T.CS.131	T.CS.114	T.CS.108	T.CS.118	T.CS.153	CS.238	CS.082	CS.015	CS.087	CS.085	CS.246	CS.356	CS.088	CS.237	CS.006	CS.242	L.034.M1	CS.241	CS.110	CS.103	CS.338	CS.189	CS.187	CS.150	CS.165	CS.151	CS.330	CS.345.0	CS.308.0	CS.044	CS.212	CS.347.0	CS.358	CS.346	CS.191	CS.343	CS.322	CS.112	CS.331	CS.152	CS.194	CS.321	CS.158	CS.163	CS.227	CS.318	CS.285	CS.339	CS.202	CS.080	CS.393	CS.390	CS.370	CS.262	CS.326	CS.253	CS.270	CS.145	CS.255	T.CS.031	T.CS.008	T.CS.026	T.CS.043	TFS.025	T.CS.036	T.CS.066	TFS.027	TFS.020	T.CS.064	TFS.022	T.CS.045	T.CS.049	T.CS.055	TFS.021	T.CS.151	T.CS.142	T.CS.152	T.CS.157	T.CS.109	T.CS.166	T.CS.158	T.CS.141	T.CS.095
L.033.M1	0	0.647268565593	0.600900475639	0.563335429036	0.595553275387	0.64486473703	0.624808440109	0.573959280222	0.594217378528	0.611351362165	0.57370338868	0.625833156696	0.605580237147	0.638881571595	0.636772558038	0.630166070825	0.662811464837	0.638128154748	0.649141997596	0.673204462095	0.633217719003	0.699487140444	0.6193579801	0.613788765524	0.611913409248	0.71594814947	0.628848039876	0.597974392496	0.663211601371	0.625978699077	0.642255709305	0.652510946328	0.59137361446	0.632688183318	0.677925971436	0.588219030847	0.692555840571	0.65548503029	0.611394005727	0.636801906248	0.725434829208	0.648548149516	0.646284360706	0.669290652885	0.629414744247	0.675629532597	0.695945559898	0.639105889803	0.671116166293	0.684927872572	0.64961672195	0.67479643343	0.680294667536	0.623042853726	0.636806592139	0.651818876546	0.716108063274	0.680670355602	0.663383194736	0.619565449095	0.641399144787	0.59375156033	0.604262095438	0.594277304662	0.604722994606	0.566399087616	0.573882257179	0.615997399689	0.616303158764	0.663760673014	0.583090583128	0.637227213062	0.624293878097	0.643719442883	0.566652434412	0.62425638218	0.611807253902	0.606498725395	0.583021020508	0.568732792168	0.59553780298	0.653420594038	0.645847090662	0.639743646869	0.642224155531	0.620174485847	0.629944327219	0.633608747018	0.630392672161	0.640086067921	0.599872468018	0.647215273118	0.587719845614	0.569572183505	0.644229685512	0.60604171083	0.660823346163	0.571966134267	0.637846692239	0.563336891759	0.604303735233	0.583022344761	0.614378425365	0.644802060878	0.632291990336	0.661818979383	0.635345855457	0.617384267157	0.619545296671	0.645956048928	0.655192741542	0.64189604126	0.708942313648	0.641074968685	0.587608976939	0.651713945671	0.659235152275	0.715487508621	0.729053336763	0.607204656575	0.652450087859	0.671318003434	0.623095301277	0.642900847	0.60031583782	0.733234210835	0.561192951797	0.636033502238	0.619345830093	0.717831645218	0.666309907656	0.684889519182	0.587037578913	0.588933817418	0.605166703903	0.648123805562	0.671957603793	0.663423519219	0.612715903516	0.626037401357	0.69844000747	0.663337393206	0.604492497451	0.656069551725	0.569545348403	0.587409324249	0.671893051144	0.567210530288	0.593321980575	0.623759781508	0.585216014555	0.576213730253	0.611320738635	0.582129795193	0.613127530613	0.59224898423	0.648232250456	0.576034604486	0.563847231018	0.577281222701	0.581257121996	0.58068482385	0.556913182734	0.615974225445	0.580874022224	0.592235965516	0.587510285908	0.613180999022
L.022.M1	0.647268565593	0	0.548856982974	0.574160754403	0.582238105443	0.579056449469	0.517045158387	0.548523678674	0.63306993879	0.674950165337	0.58186165057	0.671726879906	0.578599836408	0.587457181357	0.559125389185	0.655136669639	0.615647684502	0.600379333192	0.692402098559	0.712472753005	0.716960796492	0.748046907958	0.532793650509	0.569797546305	0.684259584569	0.804259779414	0.673680834945	0.641582127878	0.679041839632	0.641441047765	0.688577000155	0.713735304579	0.587939422871	0.554591784444	0.71885599733	0.688172906775	0.748240360492	0.73237852854	0.636640207773	0.700829529742	0.78102147042	0.684532123568	0.618668667759	0.760291198629	0.648641747406	0.705941863782	0.771811777655	0.696976847786	0.67913656023	0.703396571824	0.721093439868	0.676445651943	0.723148177573	0.68807195703	0.619543992139	0.690353049928	0.764207737108	0.669852657864	0.678645479325	0.626547133371	0.638540287173	0.635649987122	0.621528541164	0.606329122273	0.596804624136	0.651549763463	0.593113167833	0.661792532953	0.627120711652	0.737430836138	0.549322693251	0.586062813629	0.669301676918	0.624254025397	0.553987808047	0.589800030378	0.555573567022	0.590236681951	0.580272189991	0.566540282561	0.5330614317	0.519413519614	0.449052616643	0.539432625214	0.472517415988	0.52474108264	0.497046782296	0.43488964027	0.609584040566	0.451157602879	0.607724612957	0.529803978523	0.615352006269	0.652901685036	0.545921341627	0.543332090276	0.743302551413	0.70441150144	0.674570898263	0.58024234599	0.531223978351	0.621663090153	0.555422248917	0.670212054049	0.560202633145	0.643338264531	0.642346473615	0.660350535671	0.572737305544	0.746909710111	0.629618785265	0.674892235412	0.785575789652	0.714779251906	0.615667992214	0.719308247523	0.720805981712	0.805216216586	0.782604926874	0.542739803427	0.698874980462	0.723771651951	0.668725127664	0.572679639356	0.567031284858	0.787955389927	0.604784791153	0.672376220059	0.670886936581	0.809876289334	0.702097462813	0.752058767053	0.695683468109	0.685454346967	0.635383884201	0.707541771943	0.687254258769	0.68751633618	0.702838630589	0.626651667938	0.759619425135	0.687938807284	0.628628794954	0.621926287958	0.603459124291	0.67118688274	0.746609601283	0.610951910913	0.65563529375	0.539305326347	0.525080711999	0.605409598308	0.510454899783	0.578522780656	0.520159734598	0.632050098898	0.687638673699	0.60146759115	0.628422171633	0.569730373504	0.63838943088	0.566037869075	0.578961994658	0.483264886045	0.582928573301	0.53967794552	0.621401219994	0.497500826336
CS.217	0.600900475639	0.548856982974	0	0.506603758426	0.516882224369	0.587701763673	0.50603777246	0.509930169318	0.614742695211	0.674527294884	0.566063311896	0.632779620312	0.519498452385	0.556793885239	0.554889229667	0.647099773089	0.614874023707	0.577675834983	0.638727784514	0.673150226202	0.708984344507	0.707750649249	0.52542558639	0.582012892933	0.647118562162	0.763406182427	0.650631334399	0.598540163933	0.664273054799	0.613221754799	0.672820019094	0.696663314325	0.57363188255	0.506249135085	0.691478160348	0.64008531949	0.726369093964	0.707980770977	0.618315974346	0.677614598685	0.762311937857	0.64348543488	0.598256097982	0.724282935123	0.601588634576	0.692100013622	0.74157681316	0.686398358235	0.686794268237	0.689970591652	0.703283320648	0.676139185879	0.721049429527	0.657769126386	0.591195156831	0.681149326521	0.738382034251	0.662080873263	0.666224845784	0.613458555002	0.606276643273	0.583523694185	0.551013794454	0.566498175594	0.581310364292	0.613194358282	0.551780332969	0.634682617258	0.594614885642	0.685788895545	0.508985482334	0.587438844403	0.596593735457	0.600540248501	0.498729492329	0.569192994104	0.529763621127	0.535117914973	0.540623960872	0.518646986093	0.516506308584	0.5693260234	0.553201888411	0.596484570898	0.528557438299	0.550388227902	0.529817281145	0.52655871548	0.593014507753	0.521463735839	0.519700124705	0.539187915015	0.539523676672	0.568841199359	0.512015824624	0.532187496277	0.670319614722	0.621504875865	0.624501303809	0.48779851908	0.526938236942	0.57908798214	0.512884039975	0.631971984498	0.55186739406	0.63923048297	0.640995738436	0.633106353267	0.575086372579	0.656937739544	0.62869537863	0.668976668519	0.753595020373	0.677713575549	0.514525034831	0.657978192936	0.669845212596	0.763130687931	0.748266026438	0.52529597289	0.69108661988	0.698719049804	0.617783878535	0.59436468186	0.555343902368	0.768205798945	0.538965276744	0.627947029436	0.60937100243	0.770456653224	0.670877071492	0.723361869859	0.654859046154	0.655586363192	0.597513623718	0.664872520576	0.681081317258	0.675659507073	0.676666231699	0.645988968932	0.722978383611	0.658490977465	0.60366987153	0.62574698903	0.558656797313	0.630054108766	0.705183593827	0.55921113146	0.602173483554	0.548096732491	0.488025242518	0.543184033822	0.505120371103	0.525558353292	0.517961349164	0.565536474752	0.657060890861	0.529167413192	0.565151167708	0.516388142835	0.552097118346	0.529941530866	0.531333839386	0.50396192622	0.53341356528	0.504266553707	0.555520660971	0.489802455242
CS.357	0.563335429036	0.574160754403	0.506603758426	0	0.539589964327	0.607298428591	0.450813250343	0.460420785028	0.565832129914	0.647882636849	0.514439562331	0.561378740635	0.511820478861	0.60260885476	0.546396337537	0.650300485069	0.586157631979	0.603101285384	0.687754161788	0.695954614561	0.646358045645	0.706181579284	0.481506301399	0.556935111856	0.592243996114	0.761909136903	0.642339622317	0.620949782443	0.690777788566	0.600558852848	0.636296781555	0.69242509816	0.500182727453	0.562411440525	0.709467358915	0.591302416901	0.671592306435	0.667491730369	0.586720838443	0.641273442965	0.73526244565	0.669822349915	0.617908544388	0.686802468271	0.63181466994	0.714323462633	0.762719119872	0.661172718842	0.667526566011	0.709344884479	0.678770142841	0.656272202911	0.715736094873	0.637632552487	0.622556332995	0.659832294968	0.76679167656	0.677892009877	0.661692639237	0.603521524985	0.626109438997	0.511864908569	0.533721347308	0.555466713508	0.540117896201	0.500402341537	0.463929007134	0.614114693127	0.586704116885	0.667912549047	0.423059757968	0.576863426437	0.607421168015	0.536835269569	0.458188686047	0.567203820764	0.473977631812	0.4616069025	0.498802508866	0.418512301044	0.442083386214	0.575836791473	0.553106416212	0.569839479843	0.476424950289	0.472120999217	0.5522072805	0.505388296668	0.565967956961	0.518694696014	0.55265729019	0.577326538537	0.530398153378	0.53663613758	0.580528172667	0.50826434403	0.659866127917	0.613052949163	0.64440959835	0.479922809653	0.473956343039	0.544404891832	0.498846463687	0.652670405809	0.573935714948	0.650649428976	0.639156527084	0.625022809565	0.603367887099	0.647321377734	0.592834795212	0.634814646768	0.756968636814	0.687815113077	0.516278918304	0.624878384019	0.688079457003	0.738135342534	0.73349157253	0.457912196359	0.615171770936	0.669383156278	0.640222666374	0.570489421497	0.520331511531	0.719361266187	0.45384199136	0.647371061146	0.645604466734	0.772139169347	0.633985445963	0.734284204762	0.604713350562	0.630981763408	0.602320696805	0.675625273821	0.658385581414	0.668644012771	0.665798550276	0.611959927035	0.74438501472	0.661738411008	0.562131223442	0.6161410873	0.497042607378	0.531555742999	0.717245670461	0.435289888325	0.494424783919	0.550062764286	0.472727678043	0.467160286757	0.461611105479	0.493757518959	0.486769425608	0.523618371704	0.62037959111	0.500621023751	0.529780403708	0.431904390748	0.466288339395	0.471064605859	0.486569392396	0.455427022059	0.443793784458	0.429241941694	0.461489893267	0.47318234456
CS.035	0.595553275387	0.582238105443	0.516882224369	0.539589964327	0	0.575553504773	0.580895298725	0.54259597124	0.615538681007	0.664956100009	0.578563467276	0.638614782107	0.524032696918	0.53829375016	0.596188580807	0.596739027949	0.61777191343	0.546378791906	0.617025019348	0.635343092729	0.66201705365	0.681266387447	0.563980197238	0.572014061431	0.586304639209	0.729714112885	0.598613145711	0.568189440344	0.640958282292	0.610637286175	0.632917191837	0.658141725416	0.556682074529	0.502843517644	0.653546985017	0.58971409722	0.713736626953	0.670800575675	0.596294021449	0.648086914977	0.747877366478	0.590388477158	0.548314762985	0.702336543017	0.548350623564	0.668420545878	0.709142104297	0.662580882956	0.669685900364	0.657247977811	0.683010719228	0.658861086245	0.691879223145	0.61811548853	0.586452975456	0.647966089055	0.70783091667	0.630690437957	0.640403213388	0.60101961533	0.583417275178	0.570087507206	0.565695829622	0.575971365562	0.591487201531	0.588019402162	0.564196753032	0.638779370942	0.570737181306	0.666413229027	0.559945289092	0.616429452965	0.595237809165	0.59750234496	0.539871432555	0.582252464498	0.596762208955	0.563502713476	0.582806797794	0.564594555437	0.56479409906	0.623787902792	0.600751287603	0.619827447247	0.579632667856	0.583987769462	0.581955422517	0.576977665059	0.605991202574	0.55364705586	0.584297455783	0.534680830275	0.550686334848	0.575327219738	0.519633458712	0.559874182059	0.670775971652	0.636671376179	0.585570085335	0.528613002027	0.541929453289	0.601485809436	0.547564754737	0.623617071732	0.526375929292	0.617864961447	0.615780659285	0.61113925433	0.5677993625	0.658605780882	0.597741969652	0.649046830109	0.722235085826	0.631737992469	0.526327301585	0.655517668842	0.658633818403	0.755056677111	0.723649775409	0.536094582609	0.662144283877	0.673325620109	0.571048007016	0.595323215392	0.552893623168	0.746895122853	0.557251779465	0.59691795459	0.580431192962	0.759162325558	0.646509622995	0.691696640646	0.631302746988	0.608302669126	0.562231375134	0.628711760532	0.646956021376	0.654030340508	0.647378385283	0.63106618925	0.704437279678	0.636689088356	0.595619890681	0.621918376958	0.563545502311	0.618030642288	0.71810566686	0.556418901102	0.59190265617	0.567733467329	0.564453403721	0.566171793169	0.542076566219	0.552642297014	0.558063400203	0.571249995377	0.645685693245	0.576229916307	0.587422791822	0.575722877378	0.605154529572	0.540197982585	0.571197358074	0.566461362685	0.548485539773	0.564063948001	0.580254792617	0.561156686757
CS.219	0.64486473703	0.579056449469	0.587701763673	0.607298428591	0.575553504773	0	0.603100936302	0.602547442912	0.617701988234	0.640270196053	0.605307025206	0.613063153718	0.533147138354	0.521811816007	0.587818994884	0.521065251328	0.552901694282	0.542251451474	0.599583076157	0.590751373329	0.641652626715	0.665187226963	0.558711198742	0.562786013559	0.613071802154	0.716036414067	0.597137389291	0.586350408801	0.596521144831	0.558441488227	0.621002816262	0.642110034375	0.576580410319	0.504795962751	0.599137235861	0.626097529577	0.671184056966	0.637210329833	0.580040693217	0.61118113097	0.729581726163	0.585756591755	0.538166960613	0.669255979053	0.560109589017	0.633361408376	0.674900515034	0.618768816598	0.636707580765	0.678975536651	0.657075952023	0.585312612572	0.686526898145	0.637324829799	0.603375731887	0.588164456462	0.666572080084	0.580047655381	0.574548842647	0.598374728101	0.553765917471	0.603550506799	0.59693952185	0.613600519959	0.601321393732	0.653065251396	0.605906961439	0.630248604458	0.606317367671	0.695431066819	0.621272942569	0.546261817268	0.645721068462	0.599729598086	0.552727707261	0.570646345599	0.627627129115	0.620714815804	0.609170110733	0.594072545409	0.602828629093	0.595171227264	0.581468719653	0.532812965387	0.624444084575	0.584915426236	0.583731001428	0.603716864409	0.583275936845	0.55769777247	0.58178344036	0.513315482969	0.635943629438	0.624642704299	0.506189469937	0.55669897662	0.679573870861	0.699967302814	0.578137668138	0.582438685312	0.557231397878	0.617495768773	0.574479069201	0.58973508173	0.558830578107	0.559804321103	0.599871321995	0.592927627634	0.551838510233	0.671066856785	0.565360426652	0.620881477055	0.684727820912	0.592879699084	0.590294112189	0.680731290936	0.621291882674	0.719959204884	0.666774236144	0.591565589511	0.66278457086	0.658471314928	0.557799645702	0.525204537357	0.562060484546	0.733679660073	0.600853030948	0.567411934843	0.567802421553	0.731983355928	0.616493049477	0.654658086917	0.656570412381	0.678263972609	0.565847609479	0.629851934776	0.609548738056	0.613598554987	0.639298637839	0.58739124702	0.676155512594	0.619741865047	0.595709683547	0.575352590903	0.621363692134	0.667127010326	0.677608949745	0.634055157073	0.640178387137	0.547731108922	0.623182806034	0.642767336988	0.587952878262	0.61153139791	0.591350291833	0.630449172428	0.652626236112	0.618164385362	0.6572709713	0.655555675514	0.694860168978	0.581891073931	0.619989546161	0.606239335417	0.593603403003	0.576041876682	0.680276534096	0.62431122188
CS.280	0.624808440109	0.517045158387	0.50603777246	0.450813250343	0.580895298725	0.603100936302	0	0.483008122715	0.604476000483	0.661754829739	0.542581962357	0.619067000592	0.52707639675	0.609331128897	0.547472997035	0.665013691033	0.60979255994	0.612856101669	0.694486762642	0.727907026435	0.686932901756	0.730359985628	0.469102496969	0.57062765614	0.641431316802	0.794228071276	0.676078484165	0.632023679109	0.696124992628	0.645939409486	0.677191558095	0.706029949544	0.550837177249	0.554528129687	0.719511470885	0.647176941288	0.712662869223	0.704310659898	0.599817325163	0.686518119572	0.755003291566	0.688477680879	0.629496186629	0.731263231311	0.670300121084	0.706826340424	0.762900913484	0.66990029022	0.661719424046	0.710514499742	0.689051650517	0.655362750828	0.714025187124	0.650775460045	0.600981538607	0.671656590594	0.769965886015	0.661849988245	0.676175358319	0.605482957557	0.634902690612	0.56476078702	0.563018648345	0.569785530876	0.564006684087	0.581982559633	0.524497056148	0.63070458012	0.605885995898	0.697464290406	0.482219066648	0.572354524775	0.635874745534	0.581245781562	0.471419580001	0.579382144818	0.452806231356	0.4997138413	0.53160817472	0.477693635112	0.444425316184	0.540324218134	0.485307305546	0.539759039658	0.430473498779	0.452190767864	0.527064910679	0.431215999968	0.564435077772	0.473100595549	0.562714857254	0.561705667993	0.562769236677	0.588412205483	0.562269529028	0.509548550178	0.702067763834	0.64935691803	0.671130442555	0.518542852975	0.482841361174	0.586423625843	0.495306638857	0.650237232432	0.579906082556	0.657955214685	0.642061164606	0.651746062106	0.599081810626	0.699328441869	0.634156247226	0.660489147477	0.786993369634	0.714283458227	0.555935866146	0.650627733316	0.721631983477	0.765409975335	0.764782490633	0.506338221322	0.664365922501	0.712436220487	0.684947815559	0.592938306462	0.526069377314	0.75382051263	0.547670078654	0.666855756448	0.67791615382	0.788970634908	0.685340921362	0.755422237078	0.683113425422	0.678938612717	0.626050834909	0.688645749424	0.66472178472	0.66959556546	0.684852840419	0.63799138223	0.753098372429	0.672385334812	0.585169449734	0.618084880735	0.549014724262	0.610284068336	0.741336787612	0.529904197644	0.580632245661	0.538112879025	0.481259994081	0.525567264275	0.471674188621	0.526575327799	0.468897721871	0.585903193743	0.652196854494	0.511096721741	0.606599416376	0.455740873916	0.542652411111	0.518061260155	0.523524988416	0.432423887436	0.494252711599	0.451949466708	0.522334794575	0.457050701988
CS.259	0.573959280222	0.548523678674	0.509930169318	0.460420785028	0.54259597124	0.602547442912	0.483008122715	0	0.561121962579	0.649811087563	0.566424728424	0.587847799186	0.500308382233	0.586462307699	0.527588215376	0.642899481206	0.572456613396	0.59814547041	0.682485534719	0.70597175228	0.642174855393	0.689403077017	0.482894900183	0.529598350887	0.650277658518	0.769871626146	0.628172570762	0.607335059711	0.668122409476	0.599385287102	0.680394144006	0.689656095462	0.495321590566	0.562125351538	0.715249928418	0.607795585281	0.678307828306	0.670624302113	0.584768262467	0.646007030729	0.753951960916	0.663641789472	0.626083822604	0.708260659977	0.627198358804	0.665184696727	0.730516164689	0.657005277021	0.664769469104	0.682611312958	0.6879333355	0.63963334045	0.715820424235	0.635472988688	0.598696583839	0.642491771328	0.74459764694	0.640587610573	0.660916616498	0.569829563382	0.632118041307	0.534106666321	0.530614174015	0.531931785541	0.524483698678	0.539732926844	0.507581007395	0.612947349831	0.583312960463	0.660910427606	0.454169951666	0.551354873595	0.619177305987	0.53283597328	0.487822862582	0.584759090563	0.455875237865	0.468183719738	0.503054842406	0.488980225943	0.464000274359	0.543594105354	0.515335485184	0.551383029911	0.457869816399	0.486458949691	0.553477956972	0.48347997884	0.538473947291	0.511647957132	0.559654750858	0.557246303986	0.554888657435	0.577905848068	0.551822380851	0.515664571901	0.675496017279	0.63304933174	0.66641813033	0.520745344902	0.470631985959	0.572840851721	0.530888694688	0.65679625249	0.563109951163	0.639401022611	0.643569046156	0.616000022648	0.577436155229	0.677168414363	0.582974492961	0.650575950448	0.774484529482	0.695864847802	0.516548478737	0.645643842497	0.697251905519	0.741145320254	0.751904769079	0.461411934681	0.66094230957	0.679401396401	0.643361837387	0.582954242005	0.529432725493	0.731845487908	0.510768768465	0.654761567805	0.647604274254	0.776455105728	0.638019457544	0.72758461425	0.612832949511	0.641124647702	0.599621348378	0.671805190317	0.652326138088	0.635459983023	0.631220257338	0.617899625141	0.734104648151	0.645513768193	0.550554636321	0.613743460007	0.525834676595	0.551228364421	0.702162720764	0.460098041644	0.529186995337	0.558344737574	0.463650436291	0.491092508396	0.446846556424	0.475284558907	0.471521875104	0.522203863603	0.632475907819	0.519619482044	0.541131324771	0.435962724149	0.471359420064	0.478005637288	0.51703901961	0.469096254859	0.505714589185	0.479599498093	0.489515160373	0.469530958135
L.035.M1	0.594217378528	0.63306993879	0.614742695211	0.565832129914	0.615538681007	0.617701988234	0.604476000483	0.561121962579	0	0.551197915537	0.581929374652	0.556216289894	0.574980743708	0.60750173461	0.614606502851	0.557749387092	0.558563980965	0.625412388607	0.663233003432	0.641244057782	0.535996926639	0.609612558855	0.568601809144	0.543706509631	0.602362289084	0.702399278782	0.555300571569	0.597752425452	0.597994296044	0.520809553259	0.593809143202	0.633154145091	0.510404723745	0.600063632215	0.673899166384	0.518944602303	0.576072135376	0.571131686727	0.587932013467	0.548752156055	0.662773056602	0.643512469659	0.60300470821	0.636383020495	0.600963934988	0.588391387789	0.662331494579	0.549221613689	0.566503467455	0.569468066911	0.574336299694	0.56269209447	0.577787024799	0.559770905489	0.524037767155	0.567029257795	0.681239483291	0.60017539342	0.585213986376	0.590928139018	0.586252303228	0.545480835831	0.534713000113	0.541459040364	0.529202545611	0.505674706142	0.560241467742	0.547234025214	0.573681282428	0.628070823941	0.572341209951	0.529311991099	0.630606884778	0.528555957444	0.579388810139	0.583673950622	0.591556025718	0.557919167871	0.516119150247	0.545048469408	0.560365668302	0.648211362597	0.611695999184	0.584505487964	0.608321634719	0.558637755178	0.610280044966	0.609535938753	0.494970118136	0.615234985799	0.588162014917	0.616491867922	0.643202594762	0.592305957334	0.596759023444	0.551793200619	0.631189994675	0.65153760666	0.60777675923	0.571442442046	0.534585605991	0.567385870938	0.612262973883	0.610614438561	0.623009384857	0.587846653963	0.584501862987	0.54331518459	0.558836004382	0.593938983069	0.620298274215	0.527913320837	0.679417380505	0.629920675887	0.554509114999	0.581265719439	0.606640016895	0.655525266135	0.652162529939	0.582270117282	0.515634961501	0.579764027763	0.617415138351	0.577557331142	0.548589250197	0.618953183649	0.572849722872	0.604316796655	0.602514510603	0.694307105031	0.551692522509	0.644942734092	0.576776116053	0.607639411861	0.575600739272	0.625360929384	0.555756370504	0.568109262301	0.55582729737	0.527823828566	0.667424411618	0.57453061663	0.514285057356	0.538082953671	0.528232713024	0.531426994424	0.627964771582	0.549411147549	0.513866071554	0.607159215806	0.582488480393	0.560405710731	0.572096190909	0.5161941375	0.5816382526	0.527206866163	0.540953601133	0.565775259042	0.555803302502	0.562334177817	0.561165953113	0.540272998241	0.566536905448	0.59013188183	0.53325225904	0.546472045246	0.587256965681	0.616842784813
L.002.M1	0.611351362165	0.674950165337	0.674527294884	0.647882636849	0.664956100009	0.640270196053	0.661754829739	0.649811087563	0.551197915537	0	0.643846555599	0.644224206602	0.640573388779	0.656245096721	0.640790893311	0.601649140336	0.626277223934	0.657720455612	0.654950938403	0.650837667082	0.608010771088	0.623344386993	0.644598495065	0.635664164691	0.653020215638	0.684254889278	0.611500490551	0.626985078395	0.663023807162	0.627278740796	0.61263531232	0.668649384503	0.624185181797	0.660060469605	0.663653035767	0.605227990404	0.667111228695	0.624279493696	0.627460468284	0.595402019799	0.681312303302	0.677281846309	0.631015426765	0.692543865418	0.656829641241	0.63502583263	0.642472842789	0.625095818803	0.603756399223	0.617879589789	0.592205369794	0.600187268633	0.56330761894	0.641463448744	0.594674643484	0.620066901835	0.689448663976	0.628542007396	0.665053998903	0.650942795455	0.645538620397	0.628297260009	0.633098227551	0.625540681	0.606808205788	0.637350878653	0.641143381002	0.641900234151	0.622453366028	0.681119282431	0.642362376666	0.604581376211	0.643808139875	0.654841104832	0.628153123429	0.660378990611	0.674820468269	0.64762353591	0.636424361083	0.62688201963	0.655726717001	0.695420166142	0.672840122591	0.635002370194	0.692691567104	0.647210330931	0.664014494561	0.681593509513	0.598090230991	0.685027095685	0.638358458114	0.688988205826	0.673718068711	0.669309235997	0.652092154566	0.658057015255	0.685974201292	0.680883638997	0.63608688284	0.654592287303	0.63240610701	0.609139330676	0.654705589318	0.626346308969	0.651376848816	0.620436629492	0.658090750314	0.611172204016	0.600339825298	0.684234355572	0.662039018113	0.621569613263	0.704646937634	0.650760700197	0.640280221493	0.696565059859	0.633209292984	0.6725579454	0.680903635672	0.650828317329	0.566700185491	0.624896649371	0.630579140837	0.611100494056	0.635711991089	0.66890271868	0.670803793674	0.632064889698	0.666151586056	0.682323095543	0.628738905138	0.678929621301	0.654380697792	0.700911555468	0.625918486233	0.664634394526	0.614996484573	0.607460599751	0.590144173374	0.624420203544	0.68842637361	0.621261194884	0.609350066976	0.59399752945	0.617187138622	0.642311683672	0.673211586848	0.652348041924	0.638274418151	0.643016220285	0.656638362842	0.658316830372	0.65827828182	0.609330401046	0.662637885097	0.639474883835	0.6149431342	0.642904023858	0.626875937459	0.642689344503	0.672530037508	0.645188187333	0.663003302937	0.674553341995	0.639852245717	0.646087781856	0.639871154744	0.684397602752
