g__Methanobrevibacter	k__Bacteria	g__Actinomyces	g__Bifidobacterium	g__Rothia	g__Olsenella	f__Coriobacteriaceae	g__Collinsella	g__Senegalimassilia	f__Eggerthellaceae	g__Eggerthella	g__Enterorhabdus	g__Gordonibacter	g__Slackia	o__Thermoleophilales	f__Bacteroidaceae	g__Bacteroides	f__Barnesiellaceae	g__Barnesiella	f__Muribaculaceae	g__Butyricimonas	g__Odoribacter	f__Prevotellaceae	g__Massiliprevotella	g__Paraprevotella	g__Prevotella	g__Prevotellamassilia	f__Rikenellaceae	g__Alistipes	f__Tannerellaceae	g__Parabacteroides	f__Sphingobacteriaceae	g__Elusimicrobium	p__Firmicutes	f__Bacillaceae	f__Thermoactinomycetaceae	g__Granulicatella	g__Enterococcus	g__Lactobacillus	g__Weissella	g__Lactococcus	g__Streptococcus	o__Clostridiales	g__Colidextribacter	g__Flavonifractor	g__Flintibacter	g__Howardella	g__Intestinimonas	g__Pseudoflavonifractor	f__Christensenellaceae	f__Clostridiaceae	g__Butyricicoccus	g__Clostridium	g__Hungatella	f__Clostridiales.Family.XIII..Incertae.Sedis	g__Ihubacter	g__Mogibacterium	f__Defluviitaleaceae	f__Eubacteriaceae	g__Eubacterium	f__Gracilibacteraceae	f__Lachnospiraceae	g__Anaerosporobacter	g__Anaerostipes	g__Blautia	g__Butyrivibrio	g__Coprococcus	g__Cuneatibacter	g__Dorea	g__Eisenbergiella	g__Faecalicatena	g__Fusicatenibacter	g__Hespellia	g__Lachnobacterium	g__Lachnoclostridium	g__Lachnospira	g__Muricomes	g__Parasporobacterium	g__Pseudobutyrivibrio	g__Robinsoniella	g__Roseburia	g__Tyzzerella	f__Oscillospiraceae	g__Oscillibacter	f__Peptococcaceae	f__Peptostreptococcaceae	g__Intestinibacter	g__Paeniclostridium	g__Romboutsia	g__Terrisporobacter	f__Ruminococcaceae	g__Acutalibacter	g__Anaeromassilibacillus	g__Caproiciproducens	g__Drancourtella	g__Faecalibacterium	g__Gemmiger	g__Negativibacillus	g__Ruminiclostridium	g__Ruminococcus	g__Sporobacter	g__Subdoligranulum	f__Erysipelotrichaceae	g__Catenibacterium	g__Erysipelatoclostridium	g__Faecalicoccus	g__Holdemanella	g__Holdemania	g__Longibaculum	g__Turicibacter	g__Phascolarctobacterium	g__Megamonas	g__Mitsuokella	g__Propionispira	g__Allisonella	g__Dialister	g__Megasphaera	g__Veillonella	g__Fusobacterium	o__Victivallales	f__Victivallaceae	g__Victivallis	f__Kiloniellaceae	g__Duodenibacillus	g__Parasutterella	g__Sutterella	f__Desulfovibrionaceae	g__Desulfovibrio	f__Succinivibrionaceae	g__Succinivibrio	o__Enterobacterales	f__Enterobacteriaceae	g__Haemophilus	f__Spiroplasmataceae	g__Akkermansia
L.033.M1	9.62556550197324e-05	9.62556550197324e-05	0.000288766965059197	0.0272403503705843	9.62556550197324e-05	0.00664164019636154	0.00346520358071037	0.0331119453267879	0.00606410626624314	0.00962556550197324	0	0.000577533930118394	0	0.00221388006545385	0	0.000192511310039465	0.0138608143228415	0	9.62556550197324e-05	0	0	0.00038502262007893	0.00519780537106555	0.00115506786023679	0	0.189912407353932	0.0332082009818077	0	0.00125132351525652	0	0.00394648185580903	0	0	0	0	0.000770045240157859	0	0.000962556550197324	0.000288766965059197	0	0	0.000481278275098662	0.0129945134276639	9.62556550197324e-05	0.000192511310039465	0.000962556550197324	9.62556550197324e-05	0.00134757917027625	0.000770045240157859	0	0	0.00173260179035518	0.00837424198671672	0.0065453845413418	9.62556550197324e-05	0.00163634613533545	9.62556550197324e-05	0	0	0.0221388006545385	0	0.00991433246703244	0.00346520358071037	0.00173260179035518	0.0669939358937338	0	0.00481278275098662	0	0.0873038791028973	0.000192511310039465	0.000577533930118394	0.00587159495620368	0.00163634613533545	0	0.0118394455674271	0.00933679853691404	0	0	0	9.62556550197324e-05	0.0130907690826836	0.000192511310039465	0.000770045240157859	0.00231013572047358	0	0	0.000577533930118394	0	0.000962556550197324	0.000192511310039465	0.00221388006545385	0.00134757917027625	0	0	0	0.0783521031860622	0.0113581672923284	0.00269515834055251	0.000288766965059197	0.0129945134276639	0.000481278275098662	0.00173260179035518	0.00211762441043411	0.0178072961786505	0	0	0.0265665607854461	0	0	0	0.0690153046491481	0.0369621715275772	0.000962556550197324	0	0.000673789585138127	0.0414861873135047	0.00635287323130234	0.000288766965059197	0.000481278275098662	0	0	0	0	0	9.62556550197324e-05	0.0108768890172298	0.00134757917027625	0.00500529406102609	0.000577533930118394	0.0443738569640966	0.000192511310039465	0.000192511310039465	0	0	0.00038502262007893
L.022.M1	0.0104308699209163	0.0103286064903191	0.000102263430597218	0.0011248977365694	0.000306790291791655	0.0058971911644396	0.000715844014180529	0.0862762476138533	0.0207935642214344	0.0147259340059995	0	0.016396236705754	0	0.0127488410144532	3.40878101990728e-05	0.000443141532587947	0.00330651758931006	0.0119648213798746	0	0.00197709299154622	0.000477229342787019	0	0.00886283065175893	0.000647668393782383	0	0.0884237796563949	0.00293155167712026	0.000443141532587947	0.000170439050995364	0.00122716116716662	0.000204526861194437	0.0147600218161985	0.0016362148895555	0.0143850559040087	0.000443141532587947	0.00368148350149986	0.000102263430597218	6.81756203981456e-05	0.000477229342787019	0	0.000409053722388874	0.00719252795200436	0.0417575674938642	0.00398827379329152	0	0.00876056722116171	0	0.00327242977911099	0.000681756203981456	0.00126124897736569	0.00668121079901827	0.00449959094627761	0.00132942459776384	0.00344286883010635	0.00235205890373602	0.00780610853558767	0.00085219525497682	0.0023861467139351	0.0103286064903191	0.0446209435505863	0.000886283065175893	0.014044177802018	0.000374965912189801	0.00272702481592582	0.0553245159530952	0.00541996182165258	0.0186801199890919	0	0.0251568039269157	3.40878101990728e-05	0.000511317152986092	0.00306790291791655	0.00129533678756477	0	0.00709026452140714	0.00156803926915735	0.00749931824379602	0	6.81756203981456e-05	0.00023861467139351	0.0161235342241614	0.00139760021816199	0.0120670848104718	0.00872647941096264	0.00146577583856013	0	0.00119307335696755	0	0.00484046904826834	0.000272702481592582	0.0163280610853559	0.00156803926915735	0	3.40878101990728e-05	0	0.0780269975456777	0.00562448868284701	0.000920370875374966	0.00194300518134715	0.0194300518134715	0.0109762748841014	0.00412462503408781	0.0118284701390783	0.0343264248704663	6.81756203981456e-05	0	0.00620398145623125	0	3.40878101990728e-05	0.000204526861194437	0.0223956913007908	0	0.000306790291791655	0.0046359421870739	0	0.00831742568857377	0.000647668393782383	0.000715844014180529	0	0.000409053722388874	0.000954458685574039	0.000340878101990728	0.00415871284428688	0.00207935642214344	0.000136351240796291	0.00109080992637033	0.00146577583856013	0.00405644941368966	3.40878101990728e-05	0.00446550313607854	0.00146577583856013	0.00306790291791655	0.00122716116716662	0.00616989364603218	0.00685164985001364
CS.217	0.000804206619239097	0.0236931642437365	0.0039901020723786	0.0105474791215589	0.000680482523971544	0.00340241261985772	0.00374265388184349	0.0371790906278998	0.00971234147850294	0.00145375811939375	0	0.00377358490566038	0	0.00315496442932261	3.09310238168883e-05	0.00173213733374575	0.00250541292916796	0	3.09310238168883e-05	0.0013300340241262	0.00037117228580266	0.00074234457160532	0.00931023816888339	0.00222703371481596	0	0.200711413547788	0.0330652644602536	0	0.000680482523971544	0	0.00018558614290133	0.00974327250231983	0.0191772347664708	0.00160841323847819	6.18620476337767e-05	0.00191772347664708	0.00018558614290133	0.00856789359727807	0.00247448190535107	0.00686668728734921	0.00269099907206929	0.144509743272502	0.00961954840705227	0.000494896381070213	3.09310238168883e-05	0.00355706773894216	3.09310238168883e-05	0.000896999690689762	0	3.09310238168883e-05	0.00114444788122487	0.00389730900092793	0.00893906588308073	0.00262913702443551	0.000463965357253325	0.0010516548097742	0.00541292916795546	0.000123724095267553	0.00253634395298484	0.0231673368388494	9.2793071450665e-05	0.0200433034333436	6.18620476337767e-05	0.000278379214351995	0.0229198886483143	0.0224868543148778	0.035725332508506	0	0.00275286111970306	0	0	0.00247448190535107	0.000247448190535107	0	0.0055675842870399	0.000278379214351995	6.18620476337767e-05	0.000123724095267553	6.18620476337767e-05	3.09310238168883e-05	0.0112279616455305	0.0010516548097742	0.000649551500154655	0.00643365295391277	0.00018558614290133	3.09310238168883e-05	0.00330961954840705	6.18620476337767e-05	0.00572223940612434	0.000773275595422209	0.00989792762140427	0.000154655119084442	0	0	0	0.0349829879369007	0.0131766161459944	0.000123724095267553	0.000711413547788432	0.0199195793380761	0.00269099907206929	0.000804206619239097	0.00720692854933498	0.00330961954840705	0	0	0.00658830807299722	0	0	0.0055675842870399	0.0279307145066502	0	0	0.00612434271574389	0.000216517166718218	0.0119703062171358	0	0.0131456851221775	6.18620476337767e-05	9.2793071450665e-05	0.00256727497680173	0.000154655119084442	0.000123724095267553	0.00918651407361584	6.18620476337767e-05	0.0031858954531395	3.09310238168883e-05	0.00204144757191463	9.2793071450665e-05	0.00943396226415094	0.0167336838849366	0.00906278997834828	0.0106402721930096	6.18620476337767e-05	0
CS.357	0	0	0.000159300237502172	0.0131350286740428	7.24091988646238e-05	0.000680646469327463	0.000144818397729248	0.0763482592828593	0.00402595145687308	0.000101372878410473	0	0.000637200950008689	0	0.00127440190001738	0.000448937032960667	0.00196953020911777	0.00143370213751955	1.44818397729248e-05	0.000144818397729248	0.0014047384579737	2.89636795458495e-05	0.000144818397729248	0.00645890053872444	0.00217227596593871	0	0.284597115217517	0.046776342466547	7.24091988646238e-05	0.000593755430689915	0.000868910386375485	4.34455193187743e-05	1.44818397729248e-05	1.44818397729248e-05	0	2.89636795458495e-05	0.000810983027283786	2.89636795458495e-05	0	0.00483693448415687	0.00057927359091699	0.00057927359091699	0.0155100503968024	0.00611133638417425	7.24091988646238e-05	4.34455193187743e-05	0.000868910386375485	0.000318600475004345	0.000868910386375485	0.000144818397729248	1.44818397729248e-05	0.000246191276139721	0.00501071656143196	0.00265017667844523	0.00228813068412211	0.000260673115912646	0.00137577477842785	1.44818397729248e-05	0.00114406534206106	0.000260673115912646	0.00955801425013034	2.89636795458495e-05	0.0658923709668076	2.89636795458495e-05	0.00144818397729248	0.0183774546718415	0	0.0141053119388287	0	0.016161733186584	0	0.000130336557956323	0.00278051323640155	0.000173782077275097	4.34455193187743e-05	0.00330185946822684	0.00212883044661994	0.000130336557956323	0	8.68910386375485e-05	5.7927359091699e-05	0.0174361350866014	0.000448937032960667	0.000550309911371141	0.00186815733070729	0.000115854718183398	0	0.0164368881422696	0	0.00441696113074205	4.34455193187743e-05	0.0109337890285582	8.68910386375485e-05	0	0	0	0.0720037073509819	0.00356253258413949	0.000144818397729248	8.68910386375485e-05	0.044270984185831	0.000767537507965012	0.000231709436366796	0.00632856398076812	0.0472107976597347	5.7927359091699e-05	0	0.0578549498928344	0	0	0.000347564154550194	0.00660371893645369	0	0.00260673115912646	0	0.000188263917048022	0.0178126629206974	0.00250535828071598	0.0108034524706019	8.68910386375485e-05	0	1.44818397729248e-05	0	0	0.00328737762845392	0	0.0030411863523142	0.000419973353414818	0.000405491513641893	0.000101372878410473	0.0346260788970631	0.00656027341713491	0.00172333893297805	0.000999246944331808	0	0
CS.035	0.00365166309438755	0.000476303881876637	0.000119075970469159	0.00595379852345797	3.96919901563864e-05	0.0055568786218941	0.00246090338969596	0.0410415178217036	0.000436611891720251	0.000476303881876637	0.000595379852345797	0.000119075970469159	0	0.000119075970469159	0	0.00198459950781932	0.0216321346352306	0.000476303881876637	0.000238151940938319	0.000873223783440502	0.000238151940938319	0.00111137572437882	0.0100420735095658	0	0	0.271135984758276	0.0132571247122331	0.000436611891720251	0.00158767960625546	0.000396919901563864	0.00658887036596015	0.00400889100579503	3.96919901563864e-05	0	0.000357227911407478	0.00111137572437882	0	0	0.000357227911407478	3.96919901563864e-05	0	0.00198459950781932	0.00841470191315393	0	0.000238151940938319	0.00158767960625546	0.000635071842502183	0.00138921965547353	0.000317535921251092	0	0.00194490751766294	0.00452488687782805	0.0029372072715726	0.00631102643486544	0.000992299753909661	0.00436611891720251	0.000119075970469159	0.00154798761609907	0.000754147812971342	0.0298483765976026	0	0.0112328332142574	3.96919901563864e-05	0.00297689926172898	0.0481860760498531	0.00345320314360562	0.046836548384536	0	0.0113122171945701	0.000119075970469159	0.000357227911407478	0.00623164245455267	0.00158767960625546	0	0.00861316186393586	0.00515995872033024	7.93839803127729e-05	3.96919901563864e-05	3.96919901563864e-05	0	0.029888068587759	0.001746447566881	0.000674763832658569	0.0138525045645789	3.96919901563864e-05	0	7.93839803127729e-05	0	0.00984361355878384	0	0.00750178613955704	3.96919901563864e-05	7.93839803127729e-05	0	7.93839803127729e-05	0.0808525839485592	0.0100420735095658	0.000396919901563864	0.00154798761609907	0.0319520520758911	0.00325474319282369	0.00313566722235453	0.010478685401286	0.00194490751766294	0.000277843931094705	0	0.00460427085814083	3.96919901563864e-05	3.96919901563864e-05	3.96919901563864e-05	0.0429467333492101	0	0.00627133444470906	0.012939588790982	0.000873223783440502	0	0.00436611891720251	0	0.000912915773596888	3.96919901563864e-05	0.000198459950781932	0	3.96919901563864e-05	0.000674763832658569	0	0.0135349686433278	0.000198459950781932	0.00337381916329285	0	0.000119075970469159	0.0813288878304358	0.000476303881876637	0	0	0.0014686036357863
CS.219	0.00714698238521513	0.00375397054576956	0.000397054576956396	0.0107204735778227	0	0	0.00140773895466359	0.0767398209644817	0.00483684666474155	0.00173260179035518	0	0.00166041004909038	0	3.60958706323997e-05	0.000397054576956396	0.00259890268553278	0.146440947155645	0	0.00151602656656079	0.00285157377995957	0.000433150447588796	0.000144383482529599	0.00815766676292232	0.00425931273462316	0.00115506786023679	0.00537828472422755	0.000974588507074791	0.00137164308403119	0.00873520069304072	0	0.00335691596881317	0	0	7.21917412647993e-05	0.000685821542015593	0.00425931273462316	0	0	0.0517253826162287	0	0	0.000794109153912792	0.0283352584464337	0.000108287611897199	7.21917412647993e-05	0.00220184810857638	0.000830205024545192	0.000938492636442391	0.000252671094426798	0	0.019780537106555	0.000577533930118394	0.0613629800750794	0.00252671094426798	0.00115506786023679	0.00458417557031476	0.00288766965059197	0.000433150447588796	0.0116950620848975	0.0199249205890846	0.00101068437770719	0.0348686110308981	3.60958706323997e-05	0.00303205313312157	0.021946289344499	0	0.0346520358071037	0	0.0105399942246607	0.000108287611897199	0.000469246318221195	0.00530609298296275	0.000649725671383194	0.000108287611897199	0.00256280681490038	0.00332082009818077	0.000144383482529599	7.21917412647993e-05	3.60958706323997e-05	0.000324862835691597	0.00934883049379151	0.000252671094426798	0.00169650591972278	0.0275772451631533	3.60958706323997e-05	0	0.00667773606699394	0	0.0434594282414092	0.00187698527288478	0.0110453364135143	0.00173260179035518	0	0.000108287611897199	0	0.0363124458561941	0.00122725960150159	0.000433150447588796	0.00256280681490038	0.0156656078544615	0.0128501299451343	0.0133193762633555	0.00169650591972278	0.0149797863124459	0.00512561362980075	0	0.00573924343055154	0	0	0.00173260179035518	0.00902396765809991	0.00108287611897199	0	0	0	0.000252671094426798	0.000144383482529599	3.60958706323997e-05	0.000144383482529599	0	0	0.00447588795841756	0	0.00158821830782558	7.21917412647993e-05	0.00133554721339879	0.000252671094426798	0.00364568293387237	0	7.21917412647993e-05	3.60958706323997e-05	0.0209356049667918	0.000144383482529599	0	0.103956107421311
CS.280	0	0.00280278579921862	0.000106166128758281	0.0318923050789876	0	0.0041192457958213	0.00477747579412264	0.0522762018005775	0.00382198063529811	0.000870562255817904	0	0.00762272804484457	0	0.00142262612536096	2.12332257516562e-05	0.000785629352811279	0.00125276031934772	0	0	0.0111686767453712	0.000191099031764906	0.000233565483268218	0.0195558009172754	0.000806862578562935	2.12332257516562e-05	0.180843383726856	0.0272846950908782	0	0.000254798709019874	0.00197468999490403	0.000509597418039749	0.0183455070494309	6.36996772549686e-05	0.000212332257516562	0.000191099031764906	0.0041192457958213	0	0.000297265160523187	0.0227832512315271	4.24664515033124e-05	2.12332257516562e-05	0.000191099031764906	0.0255648038049941	0.000743162901307967	0	0.0015500254798709	0	0.000212332257516562	0.000254798709019874	4.24664515033124e-05	0.00796245965687107	0.000573297095294717	0.0367122473246136	0.000870562255817904	0.000997961610327841	0.00142262612536096	0.00165619160862918	0.000382198063529811	0.0032486835400034	0.0115084083573977	8.49329030066248e-05	0.0399184644131136	0.000212332257516562	0.00437404450484118	0.0171564464073382	0	0.00428911160183455	0	0.00129522677085103	4.24664515033124e-05	2.12332257516562e-05	0.00630626804824189	8.49329030066248e-05	0	0.000467130966536436	0.000276031934771531	2.12332257516562e-05	0.000934261933072872	0.000106166128758281	0.00016986580601325	0.0272846950908782	0.00016986580601325	0.00197468999490403	0.0157975199592322	0.000191099031764906	0.000318498386274843	0.027666893154408	0.000297265160523187	0.0242271105826397	0.001358926448106	0.0117844402921692	0.00248428741294377	0	0.000467130966536436	0	0.0504289111601835	0.011423475454391	0.000127399354509937	0.000191099031764906	0.00811109223713266	0.00456514353660608	0.00110412773908612	0.00692203159503992	0.0279004586376762	0	0	0.00161372515712587	0	2.12332257516562e-05	0.00596653643621539	0.00779259385085782	0	0	0.000233565483268218	6.36996772549686e-05	0.021615423815186	0	0.000212332257516562	6.36996772549686e-05	0	0.0249065738066927	0	0.018218107694921	0.00775012739935451	2.12332257516562e-05	0.00114659419058943	0	0.0035884151520299	0.000467130966536436	0.0966111771700357	0.000148632580261593	0.000636996772549686	0.0012102938678444	0.00273908612196365	0
CS.259	0.000120977498185338	0.0461865204183133	0.000322606661827567	0.000134419442428153	9.4093609699707e-05	0.00025539694061349	0.00438207382315778	0.0269376562626018	0.00356211522434605	0.000618329435169503	0	0.000860284431540178	0	0.00112912331639648	0	0.00338736994918945	0.0264671882141033	0	1.34419442428153e-05	0.00227168857703578	4.03258327284458e-05	0.000309164717584751	0.0340350028228083	0.00178777858429443	0	0.253783907304353	2.68838884856306e-05	0	0.000470468048498535	0	0.000914052208511439	0.00224480468855015	0	0	2.68838884856306e-05	0.00118289109336774	2.68838884856306e-05	0	0.002110385246122	1.34419442428153e-05	0	0.00435518993467215	0.0150953033846816	0.000618329435169503	0.000134419442428153	0.00107535553942522	0.00022851305212786	0.000268838884856306	9.4093609699707e-05	0	0.000134419442428153	0.00274215662553432	0.024087964083125	0.00346802161464634	0.000537677769712611	0.000537677769712611	0.00147861386670968	5.37677769712611e-05	0.000430142215770089	0.0311718686990886	0	0.016372288087749	0.000134419442428153	0.00127698470306745	0.0356614780761889	0	0.0166008011398769	4.03258327284458e-05	0.00680162378686453	0	5.37677769712611e-05	0.00125010081458182	0.000241954996370675	6.72097212140764e-05	0.00884479931177246	0.00832056348630266	0.000403258327284458	0.000322606661827567	2.68838884856306e-05	0.000188187219399414	0.00973196763179826	0.000578003602441057	0.000752748877597656	0.00180122052853725	0.00022851305212786	2.68838884856306e-05	6.72097212140764e-05	0	0.00606231685350969	0	0.00479877409468506	4.03258327284458e-05	0	0	0	0.0470333629056107	0.0061564104632094	0.000376374438798828	0.00022851305212786	0.0288732962335672	0.00134419442428153	0.000685539156383579	0.00220447885582171	0.00647901712503697	0.000188187219399414	0	0.0093287093045138	0	0	0	0.065059010135226	1.34419442428153e-05	0	1.34419442428153e-05	0.000618329435169503	0	0	0.000268838884856306	1.34419442428153e-05	8.06516654568917e-05	0	0	0	0.00513482270075544	0	0.0079173051590182	1.34419442428153e-05	0.00166680108610909	0.00571282630319649	0.114821087722128	6.72097212140764e-05	5.37677769712611e-05	0	0.000914052208511439	0.000134419442428153
L.035.M1	2.14989035559186e-05	0.0166186524487251	0.000537472588897966	0.0205529517994582	2.14989035559186e-05	0	0.000537472588897966	0.0638517435610784	0.010297974803285	0	6.44967106677559e-05	0	0	0.0079545943156899	0	0	0.0218213871092574	4.29978071118373e-05	0	2.14989035559186e-05	0.000386980264006536	0.000838457238680827	6.44967106677559e-05	0.00412778948273638	0	0.0234123059723954	0	0	0.00509524014275272	0	0.000558971492453885	0	0	0	0	0.000666466010233478	4.29978071118373e-05	0.000558971492453885	0.00531022917831191	4.29978071118373e-05	0.00141892763469063	0.0150062346820312	0.00825557896547276	0	0.000107494517779593	0.000128993421335512	0	0.00210689254848003	0.000107494517779593	0	8.59956142236746e-05	0.00763211076235112	0.011372919981081	0.00660016339166703	0.000386980264006536	0.00225738487337146	4.29978071118373e-05	0	0.000515973685342048	0.0768800791159651	0	0.090639377391753	2.14989035559186e-05	0.00705164036634132	0.0430623038225051	0	0.0377305757406372	0	0.0150492324891431	4.29978071118373e-05	4.29978071118373e-05	0.0234123059723954	0.000859956142236746	0	0.00662166229522294	0.000214989035559186	0	0	2.14989035559186e-05	0	0.0331298103796706	4.29978071118373e-05	0.000429978071118373	0.00176291009158533	2.14989035559186e-05	0	0.00169841338091757	0	0.0178010921443006	0.000279485746226942	0.00277335855871351	0.000365481360450617	0	0.000408479167562454	0	0.125575095670121	0.024315259921744	2.14989035559186e-05	4.29978071118373e-05	0.0651201788708776	0.000408479167562454	0.00511673904630864	0.0056542116352066	0.0526078170013329	0.000386980264006536	0	0.0400524573246764	0.000107494517779593	4.29978071118373e-05	2.14989035559186e-05	0.0344197445930258	0.0217568903985897	2.14989035559186e-05	0	0.0012684353097992	4.29978071118373e-05	0	0.00307434320849637	0.000279485746226942	0	0	0	0	2.14989035559186e-05	0	0.000451476974674292	0.000107494517779593	0.000515973685342048	2.14989035559186e-05	6.44967106677559e-05	0.000343982456894698	0.00376230812228576	0.00636367545255192	2.14989035559186e-05	0.00522423356408823
L.002.M1	4.83547303014917e-05	4.83547303014917e-05	0.00041101520756268	0.0673097845796765	0	0	2.41773651507459e-05	9.67094606029835e-05	2.41773651507459e-05	0	0.00345736321655666	0	0.000241773651507459	0	0	0	0.0993931481347163	0	0	0	2.41773651507459e-05	0	0	0.0312371557747637	0	0.00041101520756268	2.41773651507459e-05	0	0.00575421290587752	0	4.83547303014917e-05	0	0	0.00425521626653127	0	0	4.83547303014917e-05	9.67094606029835e-05	0.0325910882232054	0	0	0.00171659292570296	0.0182539106888131	0.00191001184690892	0.00135393244844177	0.00154735136964774	0.000604434128768647	0	0.000241773651507459	0	2.41773651507459e-05	0.00599598655738498	9.67094606029835e-05	0.00483547303014917	0.000652788859070139	0.00331229902565218	2.41773651507459e-05	0.00452116728318948	0	0.024830154009816	0	0.0137085660404729	0.000652788859070139	0.0129107129904983	0.0433500157152873	0	0.0115326031769058	9.67094606029835e-05	0.0107347501269312	9.67094606029835e-05	7.25320954522376e-05	0.0203089867266265	0.000362660477261188	0	0.0360000967094606	0	0	0	0.000894562510577597	0	0.0884891564517299	0.00406179734532531	0.00137810981359251	0.0188583448175818	0	0	0.000967094606029835	0	0.0668504146418123	0	0.0183022654191146	0.00217596286356713	0	0	0	0.0817436715746718	0.0487415681439037	0	0.0075916926573342	0.00265951016658205	0.00362660477261188	0.00316723483474771	0.022073934382631	0.0901815720122821	0.000459369937864172	0	0.0671163656584705	0	0	0.000169241556055221	0.000145064190904475	0.000145064190904475	0	2.41773651507459e-05	0	0	0	0.000483547303014917	0.000193418921205967	0	0	0	0	4.83547303014917e-05	2.41773651507459e-05	0.000217596286356713	2.41773651507459e-05	0	0	2.41773651507459e-05	0	0.000556079398467155	0	0	0
