CS.094	CS.005	CS.354	CS.243	CS.217	CS.296	L.022.M1	CS.297	CS.093	CS.104	CS.001	CS.257	CS.019	L.005.M1	CS.092	CS.360	CS.373	CS.335	CS.269	CS.050	CS.155	CS.161	CS.230	CS.301	CS.067	CS.066	CS.122	CS.229	CS.149	CS.287	CS.282	CS.375	CS.224	CS.203	CS.376	CS.378	CS.374	CS.136	CS.236	CS.232	CS.205	CS.380	CS.302	CS.125	CS.126	CS.181	CS.359	CS.166	CS.129	CS.323	CS.369	CS.386	CS.148	CS.372	CS.147	CS.183	CS.182	CS.385	CS.349	CS.389	T.CS.024	T.CS.025	T.CS.041	T.CS.082	T.CS.004	T.CS.067	T.CS.058	T.CS.003	T.CS.062	T.CS.007	T.CS.016	T.CS.069	T.CS.001	T.CS.034	T.CS.071	T.CS.178	T.CS.118	T.CS.129	T.CS.130	T.CS.139	T.CS.132	T.CS.131	T.CS.097	T.CS.122	T.CS.102	T.CS.112	T.CS.107	T.CS.167	T.CS.177	T.CS.098	CS.110	CS.082	CS.241	CS.356	CS.238	CS.237	CS.103	CS.085	CS.088	CS.242	L.024.M1	CS.015	CS.246	L.034.M1	CS.006	CS.113	CS.347.0	CS.304	CS.164	CS.330	CS.151	CS.150	CS.274	CS.346	CS.311	CS.228	CS.044	CS.207	CS.188	CS.078	CS.158	CS.112	CS.318	CS.285	CS.331	CS.343	CS.319	CS.322	CS.080	CS.227	CS.320	CS.223	CS.194	CS.163	CS.339	CS.145	CS.253	CS.390	CS.393	CS.326	CS.262	CS.270	CS.370	CS.255	T.CS.061	T.CS.049	T.CS.036	T.CS.026	T.CS.031	T.CS.055	TFS.021	T.CS.043	T.CS.008	TFS.020	T.CS.066	TFS.025	T.CS.064	TFS.027	TFS.022	T.CS.157	T.CS.158	T.CS.095	T.CS.109	T.CS.166	T.CS.151	T.CS.152	T.CS.141	T.CS.142
CS.094	0	0.673609792682	0.614435371931	0.642592223449	0.646044251611	0.628298027788	0.722393982866	0.605235860223	0.673241920678	0.608370737895	0.704634040903	0.640475933525	0.571437801943	0.633085207976	0.69815246227	0.663923999647	0.67223025022	0.716848517299	0.686233842672	0.67966699463	0.691964152643	0.635172999158	0.652062815877	0.685018961773	0.725070848211	0.617433383899	0.63752499685	0.641729185799	0.639350336139	0.70361316487	0.663474742632	0.595992968479	0.73637959405	0.600366891436	0.647691686767	0.69208915245	0.671919182107	0.65153170828	0.709050529908	0.689577563285	0.669008277823	0.66126224301	0.699710243012	0.648964509812	0.624827092384	0.681304633077	0.728574839404	0.731190675862	0.685528505866	0.697057002491	0.731101878123	0.726171971366	0.702379009569	0.688541846359	0.673774444846	0.715709210008	0.678495197925	0.697260427558	0.694756250742	0.674622301236	0.618497505126	0.65255651829	0.623249707471	0.617892709005	0.617621811185	0.606749048783	0.631067931458	0.630378380214	0.64495098135	0.658010484469	0.636907821563	0.642406625136	0.684722984749	0.588353706216	0.649272692233	0.681494150631	0.669182997054	0.657120561547	0.658591444504	0.665071916074	0.699349875237	0.640241441544	0.653625954609	0.62970262644	0.65718696277	0.570204090398	0.61824946564	0.617367517955	0.675749082542	0.660898066828	0.67683794803	0.69960818966	0.645541331247	0.649004495617	0.640455745596	0.674535363916	0.659233127527	0.685929345243	0.587847016746	0.629743226837	0.631671604632	0.576589014999	0.643910919064	0.607325158115	0.570330486981	0.588795701507	0.656294072996	0.681989381408	0.714726950838	0.649541074735	0.639543953954	0.672348530642	0.659483734804	0.710812484546	0.548261390325	0.667734080046	0.586080492541	0.698551133758	0.580591016966	0.557996597806	0.635653213233	0.636177635468	0.65970920425	0.667728706664	0.689297789226	0.655395277987	0.659633366241	0.685140244369	0.613716720355	0.724550773186	0.658581777757	0.663495170553	0.721033248542	0.64160218117	0.615543505847	0.625220480496	0.751593280515	0.676394105583	0.655252835271	0.665707245144	0.659390828302	0.695670079916	0.685389182679	0.678336651516	0.611465784927	0.652498203789	0.684992710962	0.716127494452	0.619603388946	0.592966014364	0.635541679384	0.582827238956	0.578654240333	0.636758792643	0.652355070831	0.600089091675	0.626213689327	0.620624999644	0.648879072203	0.604560852798	0.630089968742	0.670370107836	0.654593435604	0.606541579052	0.606211123892	0.606083491743	0.593560855512	0.560233191292
CS.005	0.673609792682	0	0.627113958218	0.56893999954	0.505257213022	0.499734538939	0.492913519018	0.539763061687	0.47618450244	0.553492651637	0.425918280793	0.567812831076	0.553448562955	0.550327189536	0.486489573777	0.65651684168	0.618086064395	0.777241589529	0.764140511848	0.63947939422	0.567531597053	0.681440705166	0.708958746836	0.605719303287	0.748229057503	0.587685822938	0.513337975432	0.675095557213	0.649532385559	0.634731754786	0.695782217174	0.651724747734	0.764691881125	0.583422313539	0.687984403573	0.702298640674	0.682768859504	0.60928701007	0.696682025911	0.482129584987	0.729427919259	0.555968001893	0.737061096974	0.682192160574	0.552895552678	0.636674977814	0.729568170471	0.696405418836	0.590098344385	0.6490876971	0.736426032152	0.72182838909	0.6952763602	0.67070362158	0.673768849526	0.745878871215	0.603862358106	0.657496716398	0.643773346338	0.654562436581	0.583076690086	0.5793055801	0.568405053537	0.573409350892	0.615852434059	0.578503018809	0.583597117174	0.55308237451	0.536540606804	0.661152921489	0.59423516295	0.592622828094	0.732907738568	0.559651182853	0.542161451705	0.485312792	0.586213995959	0.511518053447	0.501949877294	0.479364341324	0.491892434429	0.496878197923	0.508503637723	0.513756050395	0.552903109536	0.57481369994	0.503814877623	0.531729134001	0.49443843254	0.494928836829	0.617980263878	0.475202275758	0.520953473855	0.704058332013	0.553443508755	0.613738912199	0.53151213506	0.475794766895	0.680795921033	0.508859392581	0.577737880826	0.589131619684	0.496909484431	0.594722536511	0.487759724562	0.596865177017	0.693599740525	0.691368798449	0.713841998275	0.655895096851	0.596914590281	0.544090960233	0.695199569437	0.743942201951	0.617403333437	0.587227833908	0.564990332404	0.679223269815	0.694353547818	0.629112230227	0.623893921155	0.63115376853	0.68533520938	0.725660222675	0.565080542143	0.689944169826	0.690013985892	0.71009069073	0.590912125749	0.791193872107	0.617663205555	0.661261559655	0.767361967557	0.634336233368	0.671220059251	0.613431729508	0.733276634689	0.665214088314	0.677335043267	0.628851702392	0.694341472258	0.679187551212	0.676309148797	0.613595519464	0.614482717945	0.66644007955	0.513874523522	0.733492962004	0.574620307484	0.577549188528	0.630055747352	0.586029128237	0.667864308597	0.507986878208	0.527411251761	0.624296275419	0.568157144735	0.589803023554	0.503237796916	0.555515911827	0.516698064889	0.509881188648	0.474145586292	0.534363721291	0.551379632346	0.532992500351	0.596193053416	0.611081014461
CS.354	0.614435371931	0.627113958218	0	0.596223809674	0.593194499644	0.608389000871	0.647676056355	0.579387520866	0.615503627326	0.581100538416	0.663440825488	0.565613593957	0.568890372531	0.608189579564	0.633905965098	0.654289721622	0.634747759411	0.714554416531	0.706683938465	0.615929114863	0.66710852163	0.647193276414	0.675089784184	0.68446557775	0.684283581475	0.565606308197	0.548551356671	0.661203844694	0.63943564391	0.658239894245	0.689055024178	0.610969599277	0.71441340937	0.607500225536	0.638991386262	0.62513711069	0.647077131395	0.628486586621	0.683876270398	0.631419655243	0.707602223812	0.645404485702	0.700476670249	0.664188001184	0.62123519222	0.649691031141	0.707350221522	0.693077332071	0.596876547525	0.685100290484	0.693456193813	0.666030752446	0.657563115435	0.659154816831	0.652611312132	0.700134616835	0.653053773984	0.695961784704	0.679260123098	0.679006331474	0.604015249754	0.639986605996	0.593457157578	0.600398600601	0.642861368984	0.588113868697	0.597723582979	0.610999845598	0.583750443701	0.651127412412	0.624824765026	0.655027886427	0.671295373338	0.621726081955	0.642194858859	0.638078277941	0.624515937951	0.649314358225	0.611370842489	0.641009838607	0.672958203228	0.630956104323	0.629622893404	0.624526919998	0.61931554565	0.580956750393	0.619549362795	0.595697270032	0.623307253539	0.638123361678	0.626442701598	0.633087026233	0.606679723849	0.660598882752	0.6091560555	0.619582184048	0.611858978652	0.607807980341	0.582284708394	0.591580368853	0.592529057094	0.576286332233	0.60948733681	0.58362326001	0.575246591332	0.555846401104	0.652093994388	0.690915092716	0.659911372161	0.647837852972	0.642545685567	0.604745704552	0.675925803598	0.711348196681	0.578779388131	0.58812485099	0.577660675983	0.66961302458	0.669656815835	0.604020650419	0.59506746127	0.590492416385	0.676523953637	0.697097928971	0.646994957412	0.669168626075	0.680775181102	0.671459826888	0.60837384776	0.747124963702	0.632482658515	0.669646188822	0.717935496797	0.61632334387	0.630055469344	0.636266092348	0.709386524697	0.663612534486	0.618719868104	0.642005181373	0.609742909627	0.649356400935	0.671229081184	0.640455450353	0.635342610559	0.640233668481	0.605859224523	0.688903440097	0.550190562508	0.581757623161	0.592958020235	0.610197420244	0.601977568725	0.638877662758	0.616132802115	0.623403804608	0.568992445916	0.609513652465	0.646441656039	0.540771212984	0.620005083104	0.630133929382	0.635634150854	0.611697497904	0.580955888537	0.622182186948	0.542552361799	0.5746362591
CS.243	0.642592223449	0.56893999954	0.596223809674	0	0.566063311896	0.541833328919	0.58186165057	0.516616343947	0.576889403983	0.5514186237	0.590272097613	0.564420794183	0.544946023405	0.516365730628	0.598092128363	0.615104671089	0.606885206229	0.716307392988	0.738286013234	0.629764564547	0.595513022285	0.657502423214	0.67019557265	0.622433805816	0.706765067235	0.566689098258	0.555226092398	0.634651087557	0.624426134804	0.620199475615	0.654454650526	0.598402562432	0.734580363869	0.542912905348	0.640106784552	0.639396512931	0.615618631258	0.623401262137	0.657047131932	0.575352334073	0.684600143918	0.593753715784	0.694500864304	0.638273508263	0.559629640345	0.626283670897	0.703548339388	0.675811866732	0.582579365888	0.642733234523	0.705691835265	0.679266983973	0.675194154338	0.626871081544	0.623884766507	0.708805514963	0.610655685979	0.633418741287	0.640269245247	0.656541669856	0.570495680017	0.542168028597	0.565247793029	0.543484450189	0.583366645508	0.559542098002	0.558487219203	0.529860282117	0.521057529653	0.662485400677	0.595756658635	0.59903217637	0.661910076267	0.552129718636	0.587109490086	0.552422983398	0.604605135322	0.561828115408	0.53433085683	0.563618998955	0.584686168182	0.54685200794	0.563794652363	0.558573786758	0.525037989945	0.578766371904	0.545277033812	0.538715604174	0.553987177429	0.572881587277	0.609932599537	0.601957541238	0.550783467335	0.663489435318	0.577905523485	0.621521582348	0.568128744849	0.575718753976	0.633639960517	0.540314872793	0.545368199487	0.554087060257	0.537730477847	0.562137819331	0.522095617021	0.57129172705	0.686026310841	0.661246949014	0.706243647033	0.624665216098	0.613250428655	0.610905043131	0.657444326171	0.736078254108	0.585719448724	0.603578815906	0.563962214982	0.648045938551	0.639494025871	0.58667840496	0.623934423368	0.590938377984	0.631064070685	0.70093365714	0.58054051612	0.627117443931	0.639125447227	0.645131060686	0.591199344684	0.757450992911	0.585121052973	0.620693771805	0.704945326044	0.622553323219	0.63361613293	0.597832289089	0.701077909428	0.663551260461	0.630045465375	0.610180199035	0.648091608909	0.643606974715	0.633758092661	0.624620188548	0.604731937989	0.651262869606	0.567759968746	0.707118682682	0.567615889566	0.558398356328	0.571604566549	0.563200873711	0.613645284648	0.56137414708	0.542969460972	0.609021213907	0.555467503602	0.55817496662	0.565216914738	0.556171179338	0.539485664655	0.547799584473	0.530988553847	0.54075512242	0.549393925748	0.550337750535	0.562179754789	0.576540270579
CS.217	0.646044251611	0.505257213022	0.593194499644	0.566063311896	0	0.51545542165	0.548856982974	0.506902219668	0.469460069965	0.528391535409	0.530499198269	0.550334214891	0.537989316565	0.506862304776	0.527350663228	0.637463537967	0.613221754799	0.762740179478	0.758094823387	0.631796761323	0.612156919916	0.667599822511	0.694720895263	0.614874023707	0.737039473576	0.551449887258	0.491866242742	0.653862373447	0.650631334399	0.652894415723	0.714869415948	0.64008531949	0.762311937857	0.574045429475	0.677614598685	0.696663314325	0.672820019094	0.601588634576	0.691478160348	0.506249135085	0.726369093964	0.573661134545	0.724282935123	0.686763767164	0.57363188255	0.653620727223	0.723623882142	0.692100013622	0.591195156831	0.65992631497	0.738382034251	0.721049429527	0.689970591652	0.676139185879	0.686398358235	0.74157681316	0.619775586139	0.666224845784	0.646738163349	0.677762697136	0.551013794454	0.562336854368	0.557078720638	0.543229502555	0.59629120139	0.552262045333	0.566498175594	0.508985482334	0.50553702018	0.660650200148	0.605591207019	0.600540248501	0.707622753577	0.539549832023	0.557306519523	0.528426222022	0.593014507753	0.537761858459	0.515931945909	0.53992469913	0.553201888411	0.550388227902	0.52766933591	0.539517399654	0.529119335188	0.553107003311	0.516506308584	0.509932197119	0.538588167748	0.519930217331	0.631971984498	0.539187915015	0.512884039975	0.670319614722	0.519700124705	0.624501303809	0.55186739406	0.512015824624	0.621504875865	0.526938236942	0.529126719637	0.539523676672	0.532187496277	0.57908798214	0.48779851908	0.525760307176	0.669845212596	0.68003830482	0.676021267747	0.668976668519	0.62869537863	0.575086372579	0.684164019276	0.748266026438	0.594582697206	0.602617183368	0.514525034831	0.680502219214	0.683064305189	0.580505764332	0.627947029436	0.617783878535	0.670877071492	0.723361869859	0.59436468186	0.69108661988	0.685989333421	0.698719049804	0.597513623718	0.770456653224	0.640144041194	0.682546715459	0.768205798945	0.60937100243	0.654859046154	0.60366987153	0.722978383611	0.681081317258	0.664872520576	0.645988968932	0.676666231699	0.658490977465	0.675659507073	0.62574698903	0.619157800663	0.657060890861	0.548096732491	0.705183593827	0.558656797313	0.529167413192	0.565151167708	0.55921113146	0.630054108766	0.505120371103	0.488025242518	0.602173483554	0.525558353292	0.543184033822	0.517961349164	0.531333839386	0.504266553707	0.489802455242	0.50396192622	0.53341356528	0.516388142835	0.529941530866	0.555520660971	0.552097118346
CS.296	0.628298027788	0.499734538939	0.608389000871	0.541833328919	0.51545542165	0	0.539502062063	0.432071303643	0.511235828778	0.533803074723	0.524884427609	0.583025857484	0.517015777509	0.443967306681	0.553060964771	0.626393525877	0.603052793541	0.751066575172	0.742334006052	0.682071316371	0.568085230826	0.677913953888	0.694106803916	0.559869140108	0.759424359694	0.590195303938	0.542704698043	0.656054291224	0.64158840461	0.625516687363	0.671792501355	0.60407534593	0.765736604442	0.490109531602	0.654750475852	0.697974136534	0.664233327853	0.63308309065	0.711227821402	0.551060992625	0.673695745352	0.509238528948	0.736378614684	0.649749492039	0.51342417439	0.633090277232	0.724814683381	0.693561176088	0.60693829903	0.618534591585	0.745557608691	0.709236626876	0.696192870551	0.649202558137	0.670851462792	0.731155268104	0.605471260599	0.648390034951	0.632881655005	0.647574739311	0.544462221336	0.518187940114	0.540024152934	0.505945075741	0.559410345658	0.483820180353	0.536565384633	0.452182879822	0.497943998542	0.644234851259	0.547082883209	0.545119173026	0.718522520213	0.480286415718	0.502927672457	0.479704867813	0.57210194188	0.476250756416	0.454756378237	0.456413006329	0.501625290222	0.437333447651	0.477345244571	0.443902463257	0.50431597177	0.517770379501	0.410682479677	0.47057441828	0.501116348801	0.473369097574	0.657334927487	0.538516492385	0.511253722515	0.694165211837	0.55795221932	0.660838834232	0.560478331429	0.542420985626	0.622391765307	0.459691916018	0.514899931657	0.576441196669	0.47684663343	0.560700696478	0.520848834931	0.553366462547	0.696057907843	0.696309273727	0.736936616751	0.649369965026	0.562837226481	0.582281853834	0.653478579603	0.746941458633	0.587251839156	0.617780657358	0.53947905992	0.679901010579	0.63486027664	0.575083114957	0.654982459724	0.658603161491	0.654349625736	0.733814162604	0.579024701122	0.658829828524	0.640474101076	0.694833852154	0.619092269764	0.788314719437	0.625586021246	0.648413760957	0.756470381823	0.643872048195	0.605963639777	0.541797246809	0.74383138195	0.668885626766	0.662499677341	0.639898739843	0.680865386512	0.666896359237	0.655965044676	0.600710863075	0.549887856155	0.641829017862	0.543634603957	0.732690309398	0.534044337931	0.525201151606	0.563486695986	0.477488677948	0.582311183618	0.459627697948	0.48125218332	0.550133922006	0.513756468495	0.496931035029	0.440842645949	0.517359640827	0.421449840699	0.470102819312	0.441723834931	0.453349418014	0.471241125226	0.494237131917	0.533918385724	0.51677789434
L.022.M1	0.722393982866	0.492913519018	0.647676056355	0.58186165057	0.548856982974	0.539502062063	0	0.575960105204	0.474487948335	0.579611517554	0.491503841037	0.582425893733	0.612628126894	0.55579056063	0.489774915473	0.670208080899	0.641441047765	0.786191807159	0.780446714599	0.672717040084	0.577989573941	0.70515121593	0.742295545333	0.615647684502	0.766977349485	0.613991608014	0.574361147579	0.70792357221	0.673680834945	0.647305323486	0.7154756578	0.688172906775	0.78102147042	0.604826102011	0.700829529742	0.713735304579	0.688577000155	0.648641747406	0.71885599733	0.554591784444	0.748240360492	0.553601719171	0.760291198629	0.690580701214	0.587939422871	0.664021036002	0.750431867268	0.705941863782	0.619543992139	0.669787203695	0.764207737108	0.723148177573	0.703396571824	0.676445651943	0.696976847786	0.771811777655	0.63024437966	0.678645479325	0.651876250789	0.685229167628	0.621528541164	0.593796644803	0.604323906213	0.60239709576	0.637021914261	0.599099732127	0.606329122273	0.549322693251	0.555159940528	0.688971017729	0.625945667181	0.624254025397	0.723195485653	0.590331730284	0.590995493212	0.496807583652	0.609584040566	0.52050929479	0.524730435136	0.487110400821	0.449052616643	0.52474108264	0.500308343603	0.5428431387	0.540626682701	0.591095232826	0.5330614317	0.550309557645	0.489758781645	0.504419840899	0.670212054049	0.529803978523	0.555422248917	0.743302551413	0.607724612957	0.674570898263	0.560202633145	0.545921341627	0.70441150144	0.531223978351	0.576603520763	0.615352006269	0.543332090276	0.621663090153	0.58024234599	0.62496939429	0.720805981712	0.721278591252	0.741745716452	0.674892235412	0.629618785265	0.572737305544	0.730541974562	0.782604926874	0.669456069792	0.644908320986	0.615667992214	0.694153850748	0.719060838354	0.652091573281	0.672376220059	0.668725127664	0.702097462813	0.752058767053	0.572679639356	0.698874980462	0.707659556967	0.723771651951	0.635383884201	0.809876289334	0.630441176336	0.700547526706	0.787955389927	0.670886936581	0.695683468109	0.628628794954	0.759619425135	0.687254258769	0.707541771943	0.626651667938	0.702838630589	0.687938807284	0.68751633618	0.621926287958	0.656316372895	0.687638673699	0.539305326347	0.746609601283	0.603459124291	0.60146759115	0.628422171633	0.610951910913	0.67118688274	0.510454899783	0.525080711999	0.65563529375	0.578522780656	0.605409598308	0.520159734598	0.578961994658	0.53967794552	0.497500826336	0.483264886045	0.582928573301	0.569730373504	0.566037869075	0.621401219994	0.63838943088
CS.297	0.605235860223	0.539763061687	0.579387520866	0.516616343947	0.506902219668	0.432071303643	0.575960105204	0	0.54916723125	0.525191395822	0.581153302717	0.588354801408	0.48424480956	0.420693078178	0.571498075479	0.584028241249	0.581759444926	0.742504865329	0.749544583876	0.672255797339	0.512788184423	0.682168998658	0.689941481791	0.549542896589	0.738703409996	0.563351067441	0.530372545544	0.630900061292	0.638888431405	0.623274788896	0.658341846185	0.588200608711	0.748484020419	0.465647337836	0.638206780558	0.696518735258	0.653187831722	0.619520296508	0.706219436147	0.562559175912	0.667130920372	0.468301628924	0.691328776735	0.629382453734	0.474225906441	0.62522144178	0.71983861198	0.676125901031	0.591095744111	0.624108407223	0.756136329912	0.703311778795	0.671715404221	0.63589330088	0.640423252148	0.730328110709	0.57780999529	0.65675932153	0.628250178467	0.63195038549	0.497885541356	0.493486090058	0.490021164048	0.47845676278	0.493851006507	0.441184283756	0.504958587512	0.397214621936	0.44488483218	0.594330604701	0.524041357544	0.483691531878	0.69623776556	0.46565634792	0.456029946117	0.491947938183	0.524180693533	0.50020685722	0.466090438785	0.473163703184	0.54496263171	0.481342212374	0.478325090505	0.453245764981	0.518671296857	0.491035967385	0.446764631455	0.440211594682	0.507111922493	0.495055866218	0.63350656851	0.562736715163	0.492339429683	0.659768430425	0.549921117073	0.647974938892	0.573163907721	0.564636854875	0.60145127061	0.468394313953	0.51238675758	0.554988985322	0.498467871564	0.560047087073	0.501382704965	0.486472970113	0.692997058174	0.702369529588	0.734775949874	0.626185658062	0.578495536189	0.588129328162	0.631163269021	0.751227805564	0.575199329585	0.634019699412	0.499642995314	0.68627146826	0.579128580723	0.533560473291	0.64385221043	0.634879483911	0.626530772156	0.735573689394	0.578611379294	0.622042165869	0.617320651405	0.660064770987	0.596229911074	0.766698643433	0.560334946445	0.625299534379	0.717063238287	0.648190534431	0.600039926215	0.525358689343	0.752649757137	0.649343754868	0.660815760224	0.619020629874	0.644115332882	0.646713810949	0.631978529724	0.599394092462	0.509955889234	0.60709115319	0.559739890909	0.68555353447	0.501922868956	0.488232419012	0.503739117186	0.438819072923	0.492733506789	0.462118770498	0.470136380202	0.499367445931	0.447927676746	0.433367431061	0.463552911363	0.495258398065	0.429976625042	0.471237142597	0.471949446114	0.454952627818	0.429649980822	0.483976743749	0.46425536727	0.449965764194
CS.093	0.673241920678	0.47618450244	0.615503627326	0.576889403983	0.469460069965	0.511235828778	0.474487948335	0.54916723125	0	0.546220679832	0.51834649254	0.567858727251	0.554532699879	0.542755528247	0.450754704507	0.663474901429	0.628577483874	0.771312948359	0.76519539718	0.625309032118	0.618265256254	0.678728926677	0.70684106151	0.630600759298	0.748055879801	0.561613584791	0.515021452183	0.674132803211	0.663564576443	0.63896632667	0.707297243978	0.654534461801	0.775823503213	0.580154498079	0.689218273257	0.695866983798	0.684294348461	0.614503560526	0.701612388524	0.529728813711	0.740610436104	0.572061102222	0.75042288077	0.704236536191	0.573819721176	0.662520082547	0.751521001785	0.698792613298	0.601125002863	0.676214041323	0.731970680842	0.730774493255	0.699188852017	0.679218050776	0.6926439805	0.747541488817	0.632497366088	0.66774905668	0.654263379857	0.67816004378	0.592410699961	0.588550576611	0.571511204534	0.568832862566	0.620049935945	0.578661001865	0.58797808348	0.53868313239	0.532166122893	0.696677897617	0.608096351129	0.615389590168	0.721671522328	0.561963060073	0.575156298051	0.504509937878	0.611348405183	0.528562334945	0.525854522737	0.487497823622	0.509521267002	0.541072244439	0.510216828004	0.534683650155	0.545574261343	0.575633149821	0.527428073096	0.52866840433	0.518117013792	0.507307463374	0.610751062034	0.474253455617	0.534547845778	0.70628813445	0.557027654112	0.624016845823	0.529742914861	0.493133332099	0.66097763812	0.511781879642	0.578787329484	0.563027883995	0.543155262385	0.60943285382	0.527898319764	0.578008763651	0.696795126996	0.698152197633	0.686985447431	0.67073008342	0.621072829882	0.566608008948	0.711116424396	0.751505404849	0.616439074994	0.594344622449	0.553982950894	0.677008802172	0.699776644711	0.617885347688	0.620773495954	0.616083690469	0.691037304516	0.734553220726	0.586557438897	0.704346484241	0.704975311819	0.700282918188	0.603747678442	0.78818257126	0.637424931219	0.685178954357	0.772562014955	0.616498200365	0.678127376845	0.6259311281	0.742820708354	0.687540312688	0.664407564803	0.642800186071	0.709393396917	0.690691511727	0.68096369645	0.624636683078	0.639851238394	0.673564362317	0.520746472906	0.726988593482	0.573351415394	0.567273748218	0.618876827628	0.576154051546	0.658802575805	0.505616869353	0.514347646537	0.643999233895	0.577076445436	0.572267050662	0.528555865275	0.54848347744	0.537334532118	0.509056975812	0.510557511102	0.568197041493	0.557658623022	0.554998887096	0.605387506183	0.594337332565
CS.104	0.608370737895	0.553492651637	0.581100538416	0.5514186237	0.528391535409	0.533803074723	0.579611517554	0.525191395822	0.546220679832	0	0.560978325139	0.568444354174	0.506621681573	0.567973024709	0.528998098183	0.597812439566	0.575390277323	0.731147844906	0.697730158079	0.631737347299	0.570436036956	0.5955114371	0.6452527748	0.589936701484	0.697732951043	0.554282036027	0.529120735251	0.576903474962	0.582352709345	0.602273683531	0.640699516128	0.565062115136	0.729451726192	0.533854423721	0.604793507429	0.653514594952	0.619643560331	0.546277378539	0.619315323724	0.540166800314	0.662737856514	0.53733755415	0.690383114291	0.614296060449	0.534794219745	0.602492942391	0.685199623362	0.659665713556	0.588491391829	0.601399267084	0.704303854667	0.682645818609	0.646039279783	0.607561542662	0.626867390732	0.690233997907	0.591763468241	0.611095504164	0.602797307168	0.608055447628	0.532546327461	0.547216792954	0.54924240781	0.546476077159	0.568393056125	0.545250266757	0.560663173794	0.540363236525	0.527172503491	0.620513796256	0.565240993905	0.571635669032	0.67109630597	0.524936115163	0.554067875047	0.542923369461	0.5866918384	0.595755419397	0.531288352424	0.574193838661	0.602423822896	0.566562926587	0.570007039265	0.529545914351	0.587732337152	0.529480626181	0.543713124467	0.549793695456	0.582035241692	0.571854735958	0.589614623974	0.536394659477	0.523528787625	0.647033262825	0.518924241855	0.585713038944	0.534515225628	0.523258399037	0.592113394636	0.535499214573	0.575109997849	0.558776782218	0.542225308562	0.555768990376	0.511456600884	0.499290442548	0.63331731047	0.666446858384	0.67596558901	0.615911886785	0.566780133751	0.572933293278	0.645948728735	0.674442393708	0.530553376911	0.54910047932	0.50152399846	0.650852967738	0.61373171919	0.543710360389	0.571482883887	0.575076773746	0.614827097757	0.63602198442	0.565848693874	0.628950086549	0.605091491961	0.663728113031	0.534249890106	0.728552164422	0.57227713251	0.622977153599	0.723154900087	0.574708235268	0.609383904107	0.553479008705	0.706087460489	0.601408479458	0.606200688848	0.61116830764	0.639063534905	0.634022430258	0.610444092809	0.589918219432	0.562418081519	0.635700398837	0.564652055616	0.699852243296	0.562909051102	0.539242227706	0.573425063043	0.548950426477	0.600180740071	0.551256972999	0.558874619904	0.564662769002	0.527451867293	0.543798436209	0.547024486173	0.567445680912	0.532025591414	0.587214978246	0.556559580248	0.541180998539	0.572793305878	0.526553287032	0.575343796878	0.578241396669
