CS.108	CS.354	CS.007	CS.174	CS.277	CS.295	CS.016	CS.084	CS.259	CS.019	CS.011	CS.093	CS.005	CS.105	CS.245	CS.230	CS.042	CS.290	CS.301	CS.388	CS.064	CS.040	CS.072	CS.062	CS.066	CS.373	CS.365	CS.360	CS.127	CS.076	CS.126	CS.205	CS.213	CS.136	CS.292	CS.380	CS.203	CS.374	CS.224	CS.378	CS.232	CS.376	CS.282	CS.125	CS.302	CS.395	CS.349	CS.372	CS.389	CS.386	CS.178	CS.369	CS.182	CS.256	CS.148	CS.359	CS.129	CS.177	CS.348	CS.268	T.CS.034	T.CS.023	T.CS.067	T.CS.071	T.CS.082	T.CS.048	T.CS.085	T.CS.028	T.CS.080	T.CS.041	T.CS.007	T.CS.014	TFS.023	T.CS.029	T.CS.040	T.CS.121	T.CS.147	T.CS.177	T.CS.139	T.CS.178	T.CS.120	T.CS.107	T.CS.159	T.CS.124	T.CS.131	T.CS.111	T.CS.180	T.CS.153	T.CS.098	T.CS.128	L.034.M1	CS.238	CS.241	CS.087	CS.110	CS.015	CS.356	CS.006	CS.082	CS.237	CS.085	CS.242	L.024.M1	CS.088	CS.246	CS.164	CS.387	CS.338	CS.345.0	CS.188	CS.347.0	CS.274	CS.191	CS.189	CS.151	CS.228	CS.150	CS.233	CS.363	CS.308.0	CS.163	CS.321	CS.319	CS.223	CS.158	CS.322	CS.331	CS.339	CS.152	CS.080	CS.320	CS.202	CS.343	CS.194	CS.285	CS.262	CS.370	CS.270	CS.253	CS.255	CS.326	CS.393	CS.145	CS.390	T.CS.008	T.CS.036	TFS.022	T.CS.043	TFS.025	TFS.027	T.CS.045	T.CS.055	T.CS.064	TFS.020	T.CS.061	T.CS.031	T.CS.066	T.CS.026	T.CS.049	T.CS.109	T.CS.157	T.CS.141	T.CS.158	T.CS.151	T.CS.166	T.CS.095	T.CS.152	T.CS.142
CS.108	0	0.667108585275	0.611684113198	0.597459378289	0.606728181419	0.686592421026	0.625565684353	0.541208686536	0.617441430172	0.602945211335	0.466918991188	0.532161795369	0.548394710852	0.591091124193	0.67180162531	0.706351735433	0.675882400843	0.712421779138	0.620809228827	0.780339304391	0.566606949398	0.58087556987	0.583540211281	0.578134446965	0.602611736653	0.630269879409	0.624784724268	0.665446165767	0.638352542887	0.612680270982	0.621742091082	0.754435078122	0.7034105504	0.61955417632	0.601060523443	0.635784201329	0.650741300102	0.688588316297	0.780521028466	0.69643164077	0.563858788711	0.689459800679	0.706344858219	0.700308803771	0.74413600824	0.647676103888	0.653229826896	0.657242393122	0.664662186136	0.715280205133	0.66240047635	0.718455294008	0.618714243578	0.711775704714	0.721245348025	0.718154022571	0.63637519464	0.713517870944	0.590171914128	0.661103653651	0.644232048803	0.784799358299	0.642001342918	0.660726355771	0.644461835963	0.655573996843	0.649069572882	0.659167109283	0.745403394436	0.650432791946	0.724425914109	0.608684167898	0.703881354875	0.619353552988	0.578130185454	0.612273981329	0.584948290166	0.586291030412	0.599167503362	0.546226235289	0.645051942006	0.599604510858	0.559506301293	0.569051978146	0.620124607003	0.646241913759	0.55293400217	0.559182401816	0.603767887643	0.537226761899	0.646801862211	0.612874635896	0.56261165017	0.656863651879	0.656434132582	0.629769912551	0.744868203239	0.59855774507	0.557750966523	0.638700342033	0.539053443715	0.58212073651	0.648391242419	0.707689012166	0.597846485898	0.692144184932	0.692764869719	0.618383453145	0.763638086968	0.741246304081	0.706839967616	0.73789037129	0.614073957395	0.641205536784	0.616620305977	0.617742505365	0.616056991013	0.548478879519	0.68214514024	0.666008899174	0.626054485675	0.621056109912	0.689535647975	0.68316904869	0.623309530314	0.735841279714	0.557349938676	0.700599722406	0.593871496403	0.616123529981	0.659010531098	0.710815808917	0.700565052191	0.794081890016	0.722404976855	0.713799002089	0.684903895609	0.693527965942	0.732181433534	0.634953383515	0.643846218538	0.685806889258	0.655851877472	0.670546137065	0.734897893353	0.532379150975	0.597133875974	0.66646115203	0.717202328437	0.681137539211	0.666140650246	0.621592454437	0.632346042665	0.572256751006	0.704235520283	0.644496561173	0.599751102397	0.747437092106	0.721349586171	0.601302677232	0.641204845789	0.686151559378	0.610255465434	0.679283028435	0.634117877209	0.608237505542	0.616854368196	0.719891352164
CS.354	0.667108585275	0	0.613848487932	0.623209014683	0.58956424868	0.647830558577	0.60346802539	0.616223790371	0.598831067724	0.568890372531	0.646162292958	0.615503627326	0.627113958218	0.608365644186	0.556954916014	0.675089784184	0.606616101783	0.663036264276	0.68446557775	0.672865888139	0.639674768387	0.605505123885	0.630181833866	0.571364179011	0.565606308197	0.634747759411	0.59545404682	0.654289721622	0.627232255857	0.638168796335	0.62123519222	0.707602223812	0.646175577875	0.628486586621	0.629601118785	0.645404485702	0.607500225536	0.647077131395	0.71441340937	0.62513711069	0.631419655243	0.638991386262	0.689055024178	0.664188001184	0.700476670249	0.669736590255	0.679260123098	0.659154816831	0.679006331474	0.666030752446	0.648855147057	0.693456193813	0.653053773984	0.662934318616	0.657563115435	0.707350221522	0.596876547525	0.66471286166	0.675404411864	0.665886160356	0.621726081955	0.717402866838	0.588113868697	0.642194858859	0.600398600601	0.591588274939	0.614526239402	0.621496144405	0.613402563911	0.593457157578	0.651127412412	0.64139239692	0.631693581929	0.626846615504	0.575119400004	0.645293900801	0.630752032106	0.623307253539	0.641009838607	0.638078277941	0.587674343695	0.619549362795	0.659976850359	0.587793917187	0.630956104323	0.577750717117	0.61270945701	0.624479459381	0.638123361678	0.662346604299	0.58362326001	0.6091560555	0.606679723849	0.576796328844	0.626442701598	0.576286332233	0.660598882752	0.575246591332	0.633087026233	0.619582184048	0.607807980341	0.591580368853	0.592529057094	0.582284708394	0.60948733681	0.659911372161	0.619524052273	0.636900050313	0.712048522861	0.669656815835	0.652093994388	0.675925803598	0.607063201449	0.661728545689	0.642545685567	0.58812485099	0.604745704552	0.601406734027	0.65786127541	0.649094052454	0.61632334387	0.587273211817	0.680775181102	0.669646188822	0.59506746127	0.671459826888	0.646994957412	0.630055469344	0.629603395452	0.60837384776	0.632482658515	0.623806567275	0.669168626075	0.717935496797	0.697097928971	0.609742909627	0.671229081184	0.649356400935	0.709386524697	0.640455450353	0.642005181373	0.618719868104	0.636266092348	0.663612534486	0.601977568725	0.605859224523	0.646441656039	0.610197420244	0.623403804608	0.609513652465	0.609126070264	0.581757623161	0.568992445916	0.638877662758	0.635342610559	0.550190562508	0.616132802115	0.688903440097	0.640233668481	0.635634150854	0.540771212984	0.542552361799	0.620005083104	0.580955888537	0.611697497904	0.630133929382	0.622182186948	0.5746362591
CS.007	0.611684113198	0.613848487932	0	0.439157729419	0.555073720005	0.560265011697	0.558161079062	0.584589115042	0.498712539994	0.498418440397	0.554071951128	0.547244605745	0.537672943781	0.504734815642	0.553358586359	0.702483449855	0.588568007041	0.642970004018	0.576214612261	0.699968888096	0.584774580926	0.541861068312	0.500320648175	0.504928923697	0.580093075487	0.592242045842	0.534626228561	0.611454323103	0.513819496994	0.64140539965	0.501016001939	0.684155510239	0.65136526046	0.60652465219	0.571505744732	0.514745281083	0.505717753422	0.657946337735	0.741322953341	0.690087169011	0.542848365897	0.640608598568	0.655647334921	0.625691803084	0.721672300385	0.629420350086	0.617114720103	0.607717177821	0.616439585113	0.680693140355	0.578600881523	0.727971421239	0.573350389788	0.623020847051	0.672312285008	0.718356702364	0.605629544268	0.653545177325	0.604309544858	0.649469552683	0.519778194929	0.755378006104	0.535036116213	0.535044783284	0.519585102544	0.559738103762	0.536716287906	0.525218118277	0.582509303642	0.534255546664	0.651672299298	0.598189149192	0.57832718604	0.612977529903	0.523965108344	0.535496348145	0.51268557916	0.525188636511	0.541060138403	0.501285491337	0.528562652653	0.495956221144	0.584575434305	0.55307109381	0.512657049702	0.491316263072	0.584563107625	0.568093343497	0.561596172367	0.558568505319	0.577121229512	0.513028745123	0.479225241861	0.607073102699	0.638289162782	0.563218278814	0.69781230106	0.529429559267	0.577314292953	0.637114946742	0.574315222843	0.524773465153	0.551785743977	0.655171746864	0.519934664006	0.746374988466	0.561112783748	0.623325731687	0.763282072617	0.624955816467	0.684616450047	0.645075709096	0.505479000569	0.662025310487	0.591957238121	0.631948665782	0.582973035218	0.601839793763	0.626560021876	0.671659559941	0.650674663718	0.51596391915	0.638477794599	0.620231805536	0.643007438184	0.662264751486	0.561050387833	0.62510765387	0.518820171209	0.608558425232	0.563914795289	0.612385010568	0.635200399663	0.723213718306	0.708227083503	0.639897190363	0.624850082562	0.636336881561	0.748459047354	0.60910202022	0.628710488623	0.665015575722	0.532828653831	0.611215817885	0.571738839604	0.591500324277	0.509995842719	0.549707025935	0.553650773511	0.515248724403	0.566168931349	0.538931397269	0.500098085443	0.513313530423	0.54883920245	0.526599032163	0.508808691294	0.724973671837	0.65162898048	0.506477729019	0.561155426072	0.55485441433	0.508980346719	0.505378809821	0.499328627579	0.537464600821	0.516844761327	0.57166113499
CS.174	0.597459378289	0.623209014683	0.439157729419	0	0.527247859107	0.574557965646	0.600187991519	0.582096036858	0.417334181086	0.522582751747	0.505387955474	0.525587154352	0.498800069438	0.516458072749	0.56049036451	0.734548796092	0.645937701899	0.665093187827	0.560579570954	0.720857940048	0.61243626951	0.589992131872	0.470546321405	0.5268507816	0.606274895205	0.614115924889	0.504515072218	0.622061667306	0.540659475953	0.684125070268	0.502940990295	0.688377068182	0.686828375183	0.649746921392	0.612988071089	0.474622455322	0.50685441976	0.669115601263	0.769830782438	0.700516648932	0.559756856733	0.660822677036	0.683614176905	0.65909608374	0.729574924412	0.658507250444	0.63207764095	0.644969825908	0.646393509817	0.717046972708	0.582689748439	0.769389582965	0.594428052272	0.659248922344	0.69534638079	0.738167456983	0.614246441971	0.675719448812	0.613798646868	0.694948697645	0.466827839096	0.771951361816	0.506934274569	0.501809563971	0.516286635127	0.542866474519	0.487131026525	0.519543636802	0.594410232837	0.530648479792	0.624850976717	0.562381213969	0.539476904299	0.640084563305	0.448896640322	0.51430477581	0.395444677609	0.475126980544	0.432564281788	0.45686469845	0.490336202168	0.39954757426	0.541390029402	0.509357798437	0.449649591096	0.446660489247	0.574713439134	0.513575361768	0.468971275537	0.526608519077	0.557034615162	0.560014394667	0.481633528854	0.616494491122	0.675040646667	0.54234331063	0.704762520744	0.531452759724	0.566213276528	0.690659303926	0.566424983834	0.474297965092	0.508427058311	0.656226175621	0.496716893563	0.779393964359	0.582609574609	0.655320836733	0.79777258016	0.623590762664	0.708494216507	0.66854296549	0.453381868126	0.645790171699	0.601034866508	0.662355980298	0.596447294838	0.612683843173	0.6572856549	0.717338619463	0.683919005013	0.502421451112	0.649577510924	0.653277533211	0.677391107818	0.688717483347	0.555770753121	0.636069201196	0.486823438706	0.629677210791	0.592354293788	0.653449550088	0.648408754158	0.754777050165	0.749794340802	0.65768081003	0.657983866145	0.659282936316	0.757943825926	0.595404894974	0.633668147541	0.687562262187	0.548137004201	0.656520993064	0.566044453233	0.550723973815	0.423932135072	0.490277608155	0.534745748019	0.481272512473	0.530558024718	0.501842421242	0.484621522746	0.41584430248	0.568423259307	0.501716738103	0.451117543559	0.726746000636	0.65443684389	0.424434679144	0.527807631175	0.481900689123	0.429306387983	0.421678636179	0.447612474918	0.419839325704	0.474453149089	0.508626626581
CS.277	0.606728181419	0.58956424868	0.555073720005	0.527247859107	0	0.564167900018	0.562466134303	0.579082033691	0.504268421284	0.557649054148	0.553544322245	0.571943130138	0.549678541189	0.527375500525	0.560178377404	0.651958461053	0.60375957462	0.607408315003	0.540818332645	0.661201491137	0.583678682624	0.584609430767	0.52417908695	0.534060505291	0.5871232582	0.535807163907	0.541233322319	0.555888475214	0.49745447062	0.596824416561	0.5177324461	0.625969755387	0.618335122012	0.584919355006	0.563574360849	0.514135323666	0.558074300614	0.613300347629	0.70661730477	0.648543060377	0.559586474176	0.585957608356	0.623499069442	0.603718134947	0.645876981014	0.592108635051	0.559475619519	0.587438667243	0.598220062507	0.668144137609	0.552574152741	0.677792776556	0.546562678686	0.593016911055	0.641680623278	0.685138153761	0.590995120681	0.630072909511	0.565239566507	0.640756017852	0.525426603299	0.712866341564	0.522319329346	0.534584422679	0.557575770065	0.520132153329	0.538693983671	0.526607652018	0.534724189836	0.542894771652	0.58332765285	0.546276077097	0.565436919021	0.595120974683	0.51172327791	0.545796667997	0.53821740861	0.541424676728	0.559638732899	0.532408312051	0.523331241634	0.538285373031	0.581399882709	0.532058437516	0.546339391586	0.516629758456	0.585271561085	0.562676462208	0.565224819786	0.529991541734	0.563029336414	0.5454758869	0.546963327716	0.619890262903	0.614601492921	0.612861966252	0.652381507646	0.532822698908	0.582710932669	0.604249277624	0.554386930833	0.497638550069	0.582431471279	0.632514785632	0.527957093835	0.696408199807	0.545429518199	0.579743030695	0.710745381113	0.599795352151	0.635031984544	0.601847215767	0.521564255144	0.577700785403	0.564421676306	0.605100703037	0.538911926761	0.596755143421	0.583273735875	0.639187546735	0.621603845942	0.56973001322	0.57104404004	0.568369321582	0.610145455179	0.621877898368	0.515873872841	0.605002908909	0.508118608873	0.57814679057	0.548735521453	0.627689992089	0.606835428081	0.678860535518	0.661388677395	0.580975179464	0.597320329243	0.587222210212	0.676458175407	0.551463980764	0.579034695677	0.634589230664	0.558698228567	0.607826016607	0.570907884875	0.547844955518	0.52560011287	0.548458606343	0.544048305064	0.536357689646	0.558804406986	0.552531310198	0.52759099807	0.533349300952	0.551247929794	0.532866576379	0.5526709497	0.646643624081	0.586165520802	0.541923630159	0.548996742122	0.570727332206	0.517770450593	0.541752481102	0.557570240897	0.547813264553	0.53402855047	0.585435077919
CS.295	0.686592421026	0.647830558577	0.560265011697	0.574557965646	0.564167900018	0	0.613230056425	0.652127965308	0.587847799186	0.543994724127	0.614308888043	0.660887163982	0.630397649342	0.564063458147	0.614217556463	0.634099343897	0.593695896209	0.568343997053	0.551295960123	0.639195274031	0.620543705655	0.638538292121	0.576117598492	0.573289697783	0.650847011328	0.553695999588	0.522730139658	0.562080227368	0.527472768618	0.639143023871	0.53101001999	0.581786742645	0.613811942625	0.583047526976	0.603941553121	0.523991531816	0.526765827256	0.610209560479	0.702596463453	0.684516399067	0.587828368386	0.60116671583	0.594314322536	0.553982220059	0.645882705834	0.597186741489	0.570615203993	0.552720753817	0.577785857767	0.683313446549	0.581730654205	0.669678400533	0.535641243652	0.602161084736	0.629231346891	0.672786403915	0.589701518383	0.618791176935	0.599644328873	0.640391984882	0.557247394565	0.722854930395	0.544482405536	0.551341379013	0.552552332879	0.597859042661	0.545058837305	0.572250059773	0.578580191358	0.576998905319	0.590485841862	0.601630513327	0.541466418885	0.598287937341	0.584036590054	0.55764221904	0.615071119126	0.603255039732	0.610986353511	0.601480701593	0.551989157118	0.548929977659	0.660124179525	0.605414858337	0.569582444355	0.569511184859	0.608316519551	0.644739540957	0.621980484023	0.606399626214	0.603834141248	0.59407982181	0.60498469426	0.604532463323	0.637438131509	0.656439257049	0.66962280849	0.576723341342	0.615938810757	0.638895941093	0.611485845373	0.560176056246	0.614977655561	0.665952937186	0.537261546232	0.740507891853	0.521376806155	0.582655418096	0.719460987268	0.567388703132	0.667895712409	0.589143110931	0.579130083697	0.646712389152	0.556949292142	0.633384269577	0.612059784361	0.667828079014	0.587611452897	0.663022366265	0.629630819502	0.559506083773	0.563416935732	0.55296321261	0.648136633514	0.617607311378	0.567485254002	0.588420322166	0.51645236334	0.615056433144	0.572255268087	0.640354557462	0.575460256519	0.689281130061	0.66117918082	0.633194181817	0.568335803528	0.61485757434	0.70844205139	0.593657354042	0.599013835031	0.607951419879	0.526581623558	0.573256127951	0.556617033089	0.637473437052	0.58824864003	0.558050842365	0.548710254667	0.574464413881	0.603416155172	0.580088189027	0.560075618781	0.58423764439	0.52380765999	0.588543277231	0.609927690332	0.681397849893	0.61633898891	0.586778581809	0.616255919427	0.625469507756	0.54668857981	0.582441139479	0.545235464332	0.637872348715	0.563810268544	0.608983236836
CS.016	0.625565684353	0.60346802539	0.558161079062	0.600187991519	0.562466134303	0.613230056425	0	0.589712087914	0.580896483888	0.547199836566	0.606391709925	0.583765090654	0.572331449071	0.552754052066	0.582181177649	0.662497520148	0.575021426908	0.632388183139	0.6065347476	0.659688386816	0.59145049721	0.536009732701	0.572053646588	0.540584438534	0.567780720783	0.609523068307	0.565385003471	0.627251509872	0.582017422099	0.611327782342	0.586985625194	0.664083259894	0.652221308205	0.601637426861	0.600109296004	0.568766112655	0.565320826132	0.66210547502	0.733857599994	0.6516505002	0.577683630944	0.615957443602	0.649316419356	0.642208843528	0.700451761572	0.645510339795	0.622183483795	0.645542449714	0.642763537698	0.676551413397	0.624911332743	0.697259561596	0.629096181133	0.661134024333	0.679243907277	0.695823947557	0.594234955117	0.657099908939	0.625327046494	0.651666289374	0.582145444911	0.709305782959	0.56973970072	0.587818966719	0.553840578184	0.584242997548	0.580460450084	0.586944152135	0.604060870855	0.573954326316	0.652895544703	0.611279525759	0.602129450752	0.609573388928	0.574089236373	0.601382398606	0.622200060493	0.591639875283	0.609133699384	0.608215889709	0.585602518772	0.589185127021	0.628353799451	0.574656496063	0.578633285819	0.578750433653	0.572567013706	0.604771526091	0.618094590074	0.635148583785	0.576682890501	0.548382705401	0.57312613984	0.556098067152	0.6262359821	0.572508006018	0.664208183816	0.526456701981	0.584033411311	0.604645279337	0.568838199264	0.557291061649	0.616913611921	0.620104322853	0.559643371243	0.685105404903	0.58187156936	0.629938219053	0.697967160771	0.642796858737	0.638636432343	0.648598677193	0.573607992188	0.649854149065	0.599620860047	0.58006202885	0.602078227855	0.600237242851	0.64623083406	0.636364435056	0.598624495691	0.553109976975	0.62670967639	0.64142626271	0.572135317564	0.679071130376	0.600627705727	0.599623705811	0.568556846117	0.561099281106	0.615818567992	0.624776101339	0.637243254236	0.72573043505	0.6721062133	0.637807815075	0.621986977534	0.656417443786	0.719836460814	0.614726066194	0.617308767954	0.634565680118	0.60407462197	0.622966673366	0.595997197153	0.609435069697	0.614235348648	0.602350401786	0.58311191913	0.564780411193	0.583440196104	0.607918741027	0.559554523557	0.601554701271	0.578774242038	0.574159577417	0.614542965345	0.71010353854	0.645927960491	0.604866346076	0.580755380903	0.62227547601	0.583365120751	0.610168879025	0.595448015492	0.622723540943	0.595484950372	0.620612954388
CS.084	0.541208686536	0.616223790371	0.584589115042	0.582096036858	0.579082033691	0.652127965308	0.589712087914	0	0.570740716073	0.568147653274	0.520496055335	0.508937077341	0.486786730333	0.505492228904	0.616286553208	0.689261056781	0.647222341448	0.670745180917	0.595314580587	0.727125033744	0.55013870904	0.57141463395	0.517139635591	0.553284175063	0.582299591016	0.594196617241	0.580169054561	0.627192188489	0.611103784034	0.592089834865	0.595129125479	0.724500135555	0.67952526059	0.567376407168	0.569490160431	0.572055118949	0.622969362187	0.659568335551	0.763697357741	0.672961459278	0.506160480301	0.669425020405	0.6902974964	0.683980655451	0.731043991296	0.606698800781	0.625991060469	0.652795367795	0.649772206105	0.698330395713	0.621420840868	0.701184253991	0.615046469123	0.669136255634	0.686966340717	0.738262301565	0.60291796041	0.698878347195	0.600800318121	0.64634578824	0.590405688358	0.730450949639	0.596012447699	0.583649562935	0.59919113111	0.611494672366	0.609974036152	0.617626604116	0.651428321548	0.572891662905	0.66056715607	0.586399780305	0.664358379371	0.576563468713	0.549957484194	0.600641774651	0.57383883095	0.557039476574	0.577475497715	0.551324504031	0.593202024719	0.583638039545	0.563603931031	0.515075698286	0.594401728424	0.609444293277	0.539481700768	0.527809465473	0.55506879463	0.552316814101	0.598294703109	0.568822182243	0.566346601495	0.617506501665	0.594200319573	0.625111355851	0.699212608761	0.555213030262	0.486500095304	0.587137778649	0.444795197456	0.540476812934	0.635089004629	0.686400214127	0.577317706889	0.654905628263	0.641624624982	0.60494357505	0.724386033909	0.720043494677	0.670411087539	0.70177504253	0.562023676128	0.629639957168	0.611020196463	0.547602227686	0.555730559213	0.498204377879	0.666293741235	0.652546471397	0.596922650017	0.609410411058	0.685972940802	0.658470370209	0.579848512644	0.696855760825	0.574835194211	0.670511973763	0.56190335014	0.558794373231	0.62902862194	0.66903960477	0.695215348871	0.749124792842	0.71828627866	0.66410167126	0.650973166672	0.671442616619	0.712118241538	0.616164350806	0.622384824982	0.650969883678	0.620400596764	0.663826941397	0.663916724868	0.512705726273	0.570137900911	0.623291115371	0.651937793673	0.612464907588	0.615272875695	0.598172851204	0.590242180563	0.546366769113	0.632296274538	0.587047124815	0.575882382483	0.703646801208	0.672665397661	0.568042455588	0.594863881964	0.643545835095	0.580878564234	0.630143196237	0.603552411521	0.584767832027	0.588142286733	0.666945802962
CS.259	0.617441430172	0.598831067724	0.498712539994	0.417334181086	0.504268421284	0.587847799186	0.580896483888	0.570740716073	0	0.516244904786	0.549745261842	0.523678840926	0.516371759787	0.500308382233	0.533214427968	0.692677041512	0.650277658518	0.660401453121	0.572456613396	0.658757256908	0.59814547041	0.571118349047	0.494303638569	0.539567531996	0.550011493198	0.599385287102	0.487575938693	0.590478134385	0.53778273014	0.654521199325	0.495321590566	0.678307828306	0.670624302113	0.627198358804	0.626083822604	0.469753210673	0.534160375004	0.680394144006	0.753951960916	0.689656095462	0.562125351538	0.646007030729	0.671507234407	0.652660558006	0.708260659977	0.640587610573	0.620563707102	0.63963334045	0.649682017536	0.715820424235	0.569829563382	0.74459764694	0.589094822333	0.664769469104	0.682611312958	0.718882293262	0.598696583839	0.6879333355	0.599423693528	0.688265691436	0.491805813961	0.720861288026	0.49023990562	0.494740704913	0.524661539518	0.524483698678	0.507581007395	0.509111713368	0.569460382752	0.528213218784	0.607503817547	0.523090134357	0.539732926844	0.632118041307	0.487822862582	0.535351454293	0.456692572904	0.51846702791	0.462187930092	0.529864147346	0.509821644788	0.464000274359	0.562297324679	0.498406356455	0.486458949691	0.456043127995	0.585471237002	0.511647957132	0.489747957587	0.551383029911	0.572840851721	0.559654750858	0.530888694688	0.577905848068	0.65679625249	0.554888657435	0.675496017279	0.520745344902	0.557246303986	0.66641813033	0.551822380851	0.470631985959	0.527411454417	0.63304933174	0.515664571901	0.742731064035	0.566292477595	0.639401022611	0.774484529482	0.597968136949	0.697251905519	0.649943061192	0.461411934681	0.643569046156	0.582974492961	0.633651409582	0.577436155229	0.605900461497	0.637615585498	0.695864847802	0.647604274254	0.510768768465	0.638569567436	0.633739844272	0.654761567805	0.679401396401	0.582954242005	0.612832949511	0.529432725493	0.599621348378	0.593664903197	0.641124647702	0.66094230957	0.731845487908	0.72758461425	0.631220257338	0.635459983023	0.645513768193	0.734104648151	0.613743460007	0.617899625141	0.671805190317	0.550554636321	0.652326138088	0.551228364421	0.558344737574	0.471521875104	0.460098041644	0.529186995337	0.491092508396	0.522203863603	0.519619482044	0.475284558907	0.446846556424	0.543402707636	0.525834676595	0.463650436291	0.702162720764	0.632475907819	0.469096254859	0.51703901961	0.489515160373	0.479599498093	0.435962724149	0.505714589185	0.469530958135	0.478005637288	0.471359420064
CS.019	0.602945211335	0.568890372531	0.498418440397	0.522582751747	0.557649054148	0.543994724127	0.547199836566	0.568147653274	0.516244904786	0	0.56322911808	0.554532699879	0.553448562955	0.500541451318	0.553323231414	0.657580891792	0.565346938859	0.627459528719	0.588321635071	0.672315439998	0.57133930904	0.551311849348	0.521385396412	0.505776406804	0.558534081626	0.590005023493	0.496371435279	0.582461983246	0.56085728249	0.62044579291	0.538408620813	0.681576136246	0.648284775743	0.593889143253	0.577216785506	0.527708415614	0.508095834608	0.6311921865	0.73758629409	0.671629680456	0.560698537932	0.622621867051	0.659407357316	0.624229417227	0.694883075206	0.617049616236	0.621254737354	0.627664414334	0.634979612204	0.682898422096	0.574115143506	0.714343191545	0.594311639273	0.644260017945	0.675402041392	0.707890881947	0.594786419393	0.653075747613	0.627606690368	0.642516200606	0.529809474302	0.742291693156	0.537229722873	0.549390740996	0.510460623232	0.539388317568	0.507055227604	0.529273300074	0.57463390191	0.530793462502	0.630838451596	0.577940489816	0.563487411801	0.609289241782	0.513759598916	0.531375597291	0.562569432762	0.553229267448	0.564365644713	0.544691516042	0.489657672433	0.501360102114	0.610593498619	0.554158797891	0.525878499804	0.512129201906	0.566206515499	0.58443724051	0.576104721769	0.591881551526	0.554810679572	0.53107264243	0.525681999336	0.559447018864	0.611709229843	0.565751176174	0.674343880596	0.508015395131	0.575465845119	0.610598092493	0.558069176768	0.525409849156	0.554797162494	0.595124258312	0.522954754439	0.676772006514	0.570236563719	0.6164962912	0.724508135524	0.606543749188	0.651213589952	0.631755875129	0.539039031845	0.650595563934	0.583478287374	0.584657824865	0.601172465132	0.605667621201	0.631189744411	0.636828634336	0.583149953933	0.511112159713	0.633340175294	0.633202927314	0.606547228358	0.659082298322	0.58850458855	0.621211009051	0.533061041115	0.554890016642	0.587708777339	0.635216317998	0.616485712307	0.727121730672	0.68418758291	0.651505965019	0.616667846911	0.65177387175	0.732808055917	0.601993637432	0.63348189029	0.651328826263	0.526043946432	0.632897313542	0.575007550343	0.558785927662	0.540747971458	0.538948386397	0.550633117515	0.516024132792	0.544950546548	0.545340708308	0.513299369971	0.541295583131	0.565681226364	0.532485887945	0.538799573187	0.696156450474	0.63208914031	0.550048047669	0.550767853938	0.562244927263	0.520318784681	0.528183227511	0.526337861131	0.570124114215	0.53395252758	0.570157730529
