CS.357	CS.028	CS.003	CS.293	L.006.M1	L.035.M1	L.005.M1	CS.245	CS.296	CS.260	CS.005	CS.094	CS.016	CS.038	L.008.M1	CS.186	CS.050	CS.377	CS.149	CS.335	CS.371.1	CS.155	CS.066	CS.127	CS.230	CS.076	CS.287	CS.137	CS.301	CS.248	CS.203	CS.302	CS.236	CS.205	CS.292	CS.224	CS.282	CS.041	CS.213	CS.126	CS.374	CS.380	CS.125	CS.136	CS.378	CS.323	CS.129	CS.359	CS.181	CS.182	CS.386	CS.369	CS.254	CS.372	CS.177	CS.178	CS.395	CS.147	CS.348	CS.349	TFS.023	T.CS.058	T.CS.071	T.CS.004	TFS.024	T.CS.022	T.CS.050	T.CS.023	T.CS.072	T.CS.042	T.CS.057	T.CS.040	T.CS.059	T.CS.082	T.CS.080	T.CS.129	T.CS.177	T.CS.144	T.CS.159	T.CS.115	T.CS.156	T.CS.092	T.CS.117	T.CS.180	T.CS.102	T.CS.153	T.CS.123	T.CS.097	T.CS.147	T.CS.114	CS.087	CS.110	CS.246	CS.088	CS.015	CS.241	L.024.M1	CS.242	L.034.M1	CS.085	CS.103	CS.006	CS.238	CS.356	CS.082	CS.188	CS.325	CS.150	CS.228	CS.234	CS.345.0	CS.346	CS.330	CS.364	CS.113	CS.347.0	CS.187	CS.311	CS.338	CS.304	CS.322	CS.158	CS.321	CS.343	CS.318	CS.339	CS.194	CS.319	CS.285	CS.202	CS.331	CS.227	CS.223	CS.152	CS.112	CS.326	CS.390	CS.145	CS.393	CS.270	CS.370	CS.262	CS.253	CS.255	T.CS.031	TFS.021	T.CS.043	T.CS.008	T.CS.049	T.CS.064	TFS.022	T.CS.026	TFS.020	T.CS.045	TFS.025	T.CS.066	T.CS.055	TFS.027	T.CS.036	T.CS.158	T.CS.152	T.CS.166	T.CS.157	T.CS.142	T.CS.095	T.CS.151	T.CS.109	T.CS.141
CS.357	0	0.563245014005	0.575137276552	0.423479086279	0.546396337537	0.565832129914	0.39890484715	0.515266393533	0.445317626922	0.61822096267	0.54528607312	0.585217632191	0.590124966091	0.585117218229	0.644627506456	0.56474983916	0.673689737806	0.690777788566	0.642339622317	0.736851361485	0.575226612663	0.562950434289	0.559863592588	0.541780821739	0.691503927993	0.658687566117	0.659250711979	0.512621451512	0.586157631979	0.650300485069	0.478438606729	0.686802468271	0.709467358915	0.671592306435	0.617908544388	0.73526244565	0.662647240439	0.669822349915	0.667491730369	0.500182727453	0.636296781555	0.521280414668	0.634496135053	0.63181466994	0.69242509816	0.642269973076	0.622556332995	0.716832103199	0.650601217526	0.598171844669	0.715736094873	0.76679167656	0.659832294968	0.656272202911	0.678770142841	0.603521524985	0.677892009877	0.661172718842	0.637522466341	0.654892624838	0.500402341537	0.555466713508	0.500794606344	0.543694740571	0.511864908569	0.578998854097	0.586704116885	0.736228447748	0.549007806277	0.460016706982	0.685607693144	0.458188686047	0.645787915518	0.502529173462	0.588096661434	0.499472251383	0.50832815958	0.473977631812	0.587914606346	0.498962873185	0.418512301044	0.575836791473	0.488528542207	0.559474775174	0.471466587535	0.518694696014	0.506713290172	0.487426929931	0.470918455839	0.5522072805	0.53663613758	0.652670405809	0.50826434403	0.613052949163	0.530398153378	0.498846463687	0.482457487156	0.473956343039	0.544404891832	0.580528172667	0.573935714948	0.479922809653	0.55265729019	0.659866127917	0.577326538537	0.608364430361	0.744919822031	0.603367887099	0.622548649996	0.662952907005	0.756968636814	0.73349157253	0.634814646768	0.727047269509	0.492650711294	0.688079457003	0.625022809565	0.576411076163	0.650649428976	0.696398606333	0.669383156278	0.647371061146	0.45384199136	0.615171770936	0.633985445963	0.604713350562	0.719361266187	0.629609573223	0.734284204762	0.630981763408	0.570489421497	0.772139169347	0.65269741548	0.520331511531	0.640222666374	0.611959927035	0.658385581414	0.562131223442	0.675625273821	0.661738411008	0.668644012771	0.665798550276	0.74438501472	0.6161410873	0.497042607378	0.529780403708	0.435289888325	0.531555742999	0.62037959111	0.493757518959	0.486769425608	0.717245670461	0.461611105479	0.523618371704	0.494424783919	0.472727678043	0.500621023751	0.467160286757	0.550062764286	0.429241941694	0.471064605859	0.443793784458	0.486569392396	0.466288339395	0.47318234456	0.431904390748	0.455427022059	0.461489893267
CS.028	0.563245014005	0	0.518459002333	0.555918140322	0.559328773554	0.620021272553	0.591722255867	0.597275463527	0.561771752046	0.615529023942	0.489667182763	0.682160543867	0.582196663953	0.613276307419	0.650636538509	0.541111004116	0.612075322441	0.635993026112	0.620120320347	0.743191943262	0.635077967658	0.56651307135	0.574722917392	0.579105292388	0.686616255524	0.56852478831	0.612415518567	0.586030618085	0.579818690938	0.591174379968	0.594541879312	0.709135206552	0.664703161289	0.694094389771	0.537114088451	0.7406917472	0.671024243559	0.598103721576	0.657539720186	0.56823303491	0.640737055671	0.572436537746	0.656613767377	0.56990554659	0.663006186937	0.626963047778	0.595815477922	0.711969740445	0.616322595162	0.595042279625	0.700870477755	0.70046337447	0.640704209906	0.629001881737	0.692349204658	0.608621418545	0.620345000254	0.648668196591	0.592296506424	0.614544521822	0.649534240988	0.584780499886	0.591045837268	0.61705147208	0.600613846635	0.606829886377	0.599793166501	0.735929629011	0.572619908259	0.546133028589	0.706029494329	0.519390062846	0.564402356028	0.593097118051	0.641798354897	0.534970686337	0.538828476368	0.561056760374	0.529572790769	0.530951809694	0.575605816148	0.568222296116	0.542582871049	0.556231122404	0.589990876857	0.510084428003	0.575424545653	0.534403020317	0.524832341093	0.526615801505	0.608419352033	0.60108517619	0.532958776384	0.658852426738	0.577929754757	0.531343414408	0.612954830526	0.53023942613	0.59245910861	0.464574936739	0.505812837269	0.529063272689	0.542925592837	0.683250416096	0.477603043409	0.69860409183	0.743264098257	0.526332675727	0.561531644811	0.63614555672	0.714277311513	0.72559114555	0.632285358553	0.715929719761	0.576304645802	0.653284401149	0.605500931433	0.590334210756	0.595188599971	0.682491089321	0.684129902519	0.570434005227	0.584090399431	0.663389595264	0.642324628319	0.672294866077	0.732819036974	0.648936638827	0.700224025347	0.658767818462	0.539065795289	0.769361696256	0.647395890817	0.549274459137	0.561316870275	0.608290498367	0.64621372983	0.609817431898	0.639306742463	0.627301047232	0.627484386929	0.638544212243	0.706458562808	0.596202217834	0.564673913516	0.627922986259	0.608376112398	0.653114537881	0.645684204209	0.559833856062	0.537870298529	0.708938805589	0.541678845313	0.601753581558	0.62383323587	0.551539161973	0.581132070601	0.596036563516	0.526008405139	0.544497264057	0.567588688638	0.565247241007	0.574706541185	0.632411310734	0.546384161918	0.580705423426	0.538300734664	0.610703674724
CS.003	0.575137276552	0.518459002333	0	0.541555932212	0.570369439964	0.625150305358	0.584269963698	0.62653658484	0.51732250517	0.649960209094	0.4048129422	0.663517075213	0.562138048507	0.60998786292	0.68798117203	0.564853586282	0.629457120671	0.652707085177	0.638916480841	0.778515799435	0.656056521258	0.576546840417	0.569602124632	0.611376288411	0.692034331194	0.616770606464	0.653915284249	0.599186080514	0.625917824982	0.633457304646	0.59045157219	0.73057940855	0.670408575607	0.729588334138	0.610552632096	0.767998083607	0.705566331492	0.647059012151	0.685118265743	0.583071653433	0.672526981856	0.57283586546	0.687922129063	0.604585725591	0.695550293509	0.662203629369	0.599722557275	0.718726404235	0.65707701896	0.622520471759	0.709246843381	0.723269167946	0.69265149239	0.669888255881	0.710636548799	0.622641754617	0.648911276274	0.681415738195	0.608700132654	0.652205144691	0.660737125323	0.598159088255	0.575023319961	0.635516991439	0.635556344753	0.633259219959	0.612573005435	0.748377512875	0.546062028654	0.532310702463	0.730158031713	0.520683504536	0.569776457477	0.55958873409	0.682335196111	0.542394950995	0.549054252726	0.555209220944	0.54108910448	0.518955632542	0.562567732413	0.548549147224	0.565011758305	0.539267264504	0.584860123232	0.491303262443	0.601983238992	0.54094990645	0.537036541976	0.537803456285	0.591366295789	0.617444814988	0.536261622241	0.664044576234	0.591647264894	0.534016786797	0.604728978697	0.530988808668	0.582326830006	0.508660474534	0.53167407361	0.530591105965	0.544891563927	0.721208949739	0.517674062073	0.705496026091	0.775175349338	0.560233115128	0.577859938381	0.645523295758	0.755351266009	0.736306600962	0.663289464979	0.710279957843	0.585233690704	0.684192237843	0.652200520421	0.614957296977	0.634473198537	0.691038030466	0.722462387821	0.606127604811	0.579706041135	0.700451603644	0.688103314178	0.681550518235	0.767514840817	0.688611928441	0.718095959881	0.65894625738	0.588431961199	0.783070761044	0.672745904728	0.557190343869	0.620959131028	0.646259720729	0.672565321357	0.622385258617	0.673673828825	0.705151517001	0.678119312007	0.697519404703	0.721323172657	0.620550347548	0.591253023688	0.637737476924	0.603571377819	0.664716573578	0.684654757037	0.575285453571	0.54302356083	0.73710056888	0.5434635709	0.615138177302	0.65529277869	0.538635645221	0.587650488919	0.601841453407	0.531107728069	0.547640175215	0.54040903939	0.557386024163	0.570830607645	0.633238088336	0.545213754865	0.586354298571	0.544307025975	0.624806242254
CS.293	0.423479086279	0.555918140322	0.541555932212	0	0.524478515561	0.599853904801	0.410021556574	0.566520293321	0.453413987045	0.662337503622	0.493616404983	0.627608349028	0.607236222082	0.602892948605	0.691732851957	0.543275163106	0.685269762407	0.710729601824	0.682386357487	0.781270292712	0.611282569095	0.58593486033	0.586486471807	0.586392312797	0.739641693137	0.676793964059	0.666849117831	0.543215254438	0.617652008577	0.671976239496	0.536220793655	0.727808032698	0.733108551949	0.721169646766	0.627946491226	0.774371641856	0.704621458648	0.694388759264	0.682701162999	0.5382606355	0.695408294733	0.51053235831	0.681994156767	0.671477744636	0.712689115433	0.668791677287	0.613538956846	0.741972200377	0.658846560033	0.625841423718	0.714322769915	0.773653437685	0.679487215908	0.669756511644	0.694041559128	0.601030902145	0.676662297419	0.688781028526	0.645094389327	0.673628871517	0.577387289932	0.554736925297	0.526541751853	0.57922340812	0.567806528214	0.612439472611	0.607535153158	0.766686868152	0.563356904635	0.464221435152	0.719086059729	0.469524810678	0.640906603151	0.536296623337	0.621871736853	0.487158204743	0.485462312115	0.439186465754	0.52872493321	0.439875829439	0.472861586287	0.543896001144	0.489664280305	0.580581962476	0.483336345232	0.48293993547	0.540431489047	0.449800730939	0.418511610597	0.528723305923	0.588893865377	0.661989743393	0.522016975001	0.641063429269	0.536482557155	0.466193310336	0.488195425846	0.48552798716	0.588344226986	0.563622011286	0.567237725224	0.525329367548	0.56095739727	0.696940396582	0.570127835084	0.656804670511	0.777941112964	0.60219896181	0.659890291966	0.695360770909	0.80655081942	0.786021645266	0.659589333104	0.769823076882	0.539670811942	0.726374004767	0.661800686005	0.6140377341	0.657775802972	0.732584123117	0.709547266041	0.684272220861	0.528662795734	0.674675160202	0.686395614715	0.661336971122	0.763019583743	0.682908745837	0.767773806732	0.65794602502	0.610690833941	0.802917629954	0.685349363366	0.552954748308	0.680373245017	0.647667700023	0.685388218859	0.593834019239	0.702300227615	0.678635297557	0.67614614559	0.683205465107	0.761344609712	0.644095674209	0.525371900455	0.57076112967	0.494816615392	0.593553292295	0.653839013123	0.511791740471	0.455203062448	0.725929768672	0.443384652829	0.544954784694	0.572500652674	0.470982575536	0.515355401241	0.514291197089	0.545003037855	0.480008803387	0.488875936542	0.486749807545	0.510646188628	0.481176609709	0.423653917491	0.439225279013	0.447455437376	0.480464737086
L.006.M1	0.546396337537	0.559328773554	0.570369439964	0.524478515561	0	0.614606502851	0.526263023648	0.589435782489	0.507838217686	0.624098058039	0.556363329973	0.652485395956	0.593020669065	0.603504469028	0.639996273448	0.570943316596	0.667938963671	0.686293438329	0.644171517557	0.732387107444	0.628543968669	0.561847859321	0.582839496777	0.584896244416	0.688364270763	0.660834525147	0.60621272685	0.556999842352	0.616924634152	0.645692415833	0.524283243517	0.736731826899	0.669384259223	0.707022680686	0.618075297364	0.753623898891	0.687391473023	0.644735391729	0.675333799009	0.581686930655	0.657484039625	0.547064237978	0.667537762002	0.644963014206	0.682550175276	0.645951672956	0.602366658293	0.737522806072	0.654105412519	0.633829214253	0.697189586538	0.723038236337	0.668598170634	0.647517760145	0.690941107108	0.596263760443	0.660076927683	0.676163186791	0.613404042541	0.62739406792	0.622661567893	0.542124098975	0.561911209477	0.599865707204	0.571789726551	0.608390267894	0.608756604202	0.754875787165	0.559881864142	0.506759304267	0.706157557289	0.559957371476	0.608379063207	0.571761039673	0.629581671211	0.558256158409	0.553721774778	0.504796718598	0.578362511762	0.547058587394	0.533881899534	0.571200084767	0.557280521824	0.56668996003	0.58649001722	0.542582053461	0.574138699144	0.540462109193	0.525949432869	0.554714219003	0.603943301413	0.617316026997	0.544848622274	0.622834677635	0.596381073521	0.535511485355	0.618471363068	0.529184580651	0.559910232991	0.546154926991	0.568132637211	0.58125099269	0.581938432435	0.712206165918	0.558039269075	0.669217531629	0.732952721889	0.591478884508	0.598657534265	0.686413038369	0.759531950732	0.751607581306	0.631844066274	0.70528704027	0.602653633284	0.692202702338	0.640383392762	0.616620781508	0.617033391581	0.71648006361	0.67097727701	0.633354820679	0.537294726388	0.67084937419	0.645842089467	0.653315198067	0.756183137417	0.646002209073	0.729726951314	0.669774346021	0.57575523328	0.770694654051	0.662443645633	0.563623127212	0.634529460237	0.6301028626	0.674322065468	0.603070953743	0.670021987503	0.671529844301	0.640164666762	0.672944901307	0.734998702929	0.610765642834	0.575993364907	0.608658049667	0.554043591833	0.606359652416	0.650211974477	0.549117064394	0.53915660019	0.722144512963	0.540340889819	0.599491722036	0.609023514565	0.548613004428	0.569037730458	0.544756245203	0.562646938903	0.529474889538	0.572236776728	0.57681291461	0.584609158596	0.57675568069	0.540704601311	0.551043772867	0.528122640414	0.577538327576
L.035.M1	0.565832129914	0.620021272553	0.625150305358	0.599853904801	0.614606502851	0	0.615322327666	0.575926513439	0.581872375663	0.560217206396	0.6229017551	0.624923020222	0.59179214795	0.599471144148	0.539590907713	0.628726623933	0.63214216048	0.597994296044	0.555300571569	0.635155678051	0.555438862319	0.544388229168	0.615849608059	0.532155519537	0.610221788012	0.615680455579	0.574346688881	0.530739858068	0.558563980965	0.557749387092	0.572457475105	0.636383020495	0.673899166384	0.576072135376	0.60300470821	0.662773056602	0.560857579334	0.643512469659	0.571131686727	0.510404723745	0.593809143202	0.546531355146	0.531452972867	0.600963934988	0.633154145091	0.55654488458	0.524037767155	0.627162851554	0.558441285176	0.511038899903	0.577787024799	0.681239483291	0.567029257795	0.56269209447	0.574336299694	0.590928139018	0.60017539342	0.549221613689	0.593973063542	0.541462048113	0.505674706142	0.541459040364	0.569787240524	0.518438216519	0.545480835831	0.558933612318	0.573681282428	0.680106896116	0.564998710775	0.583755702347	0.609865253965	0.579388810139	0.620828372845	0.537122528583	0.545982532463	0.61027256274	0.574628905884	0.591556025718	0.636417550895	0.604097722395	0.545048469408	0.648211362597	0.565206877536	0.594782554811	0.603701876794	0.615234985799	0.486645623356	0.626916392915	0.622982648869	0.610280044966	0.592305957334	0.610614438561	0.551793200619	0.65153760666	0.643202594762	0.612262973883	0.589506106706	0.534585605991	0.567385870938	0.596759023444	0.623009384857	0.571442442046	0.588162014917	0.631189994675	0.616491867922	0.574109024303	0.659725418389	0.558836004382	0.59853756868	0.604519440144	0.679417380505	0.652162529939	0.527913320837	0.635839309684	0.57628893807	0.606640016895	0.54331518459	0.5899539278	0.587846653963	0.642574529745	0.579764027763	0.604316796655	0.572849722872	0.515634961501	0.551692522509	0.576776116053	0.618953183649	0.547393247684	0.644942734092	0.607639411861	0.577557331142	0.694307105031	0.540639306621	0.548589250197	0.617415138351	0.527823828566	0.555756370504	0.514285057356	0.625360929384	0.57453061663	0.568109262301	0.55582729737	0.667424411618	0.538082953671	0.528232713024	0.555803302502	0.549411147549	0.531426994424	0.540953601133	0.5161941375	0.5816382526	0.627964771582	0.572096190909	0.527206866163	0.513866071554	0.582488480393	0.565775259042	0.560405710731	0.607159215806	0.546472045246	0.540272998241	0.53325225904	0.566536905448	0.561165953113	0.616842784813	0.562334177817	0.59013188183	0.587256965681
L.005.M1	0.39890484715	0.591722255867	0.584269963698	0.410021556574	0.526263023648	0.615322327666	0	0.533599291958	0.443967306681	0.642711259406	0.550327189536	0.633085207976	0.614063641522	0.604952222972	0.66082325362	0.564913264677	0.691398482127	0.737236406007	0.69218873989	0.761620776188	0.614667746713	0.591619459299	0.586420253924	0.600027649519	0.742227511095	0.69515970119	0.676238914972	0.539246832347	0.608924561251	0.691460113468	0.526836728016	0.74041744101	0.744792293265	0.702912691442	0.651307222477	0.763750922127	0.712623033209	0.692308028819	0.702125453944	0.557980950747	0.681641501422	0.535622026526	0.686516945681	0.675692280642	0.708192684742	0.67689599835	0.638789429835	0.755347404345	0.680689374552	0.641920162799	0.735711963407	0.785473788529	0.701113207025	0.682837467657	0.713724501397	0.622157450099	0.6989052353	0.690471711933	0.662770196832	0.673476808581	0.55765502546	0.56970892445	0.527970276964	0.557301401005	0.537808276725	0.618684304682	0.623700795847	0.763111770477	0.590071135525	0.496276819486	0.711653600872	0.492524064042	0.662528905132	0.536125148273	0.628238771491	0.519127341676	0.507507135287	0.435755963209	0.579115151841	0.496959810678	0.459476618477	0.565819343134	0.512081381094	0.586791719791	0.467127682091	0.521855138932	0.536545584177	0.481270664274	0.436469031332	0.562288624872	0.577212735983	0.67101029769	0.542594482881	0.638883089851	0.524220739841	0.504683457533	0.471278020676	0.494078019527	0.572105888982	0.58409982225	0.582598411405	0.504323281988	0.564221027642	0.698888779602	0.601019477842	0.645079439837	0.750373212173	0.625326196061	0.650889381143	0.706474031173	0.797485168336	0.787322618622	0.667383558671	0.751547696892	0.554234616297	0.714039338831	0.675227797379	0.624527211316	0.683715312595	0.726377929425	0.697775806925	0.679875455723	0.507640628692	0.666747138555	0.681181878438	0.654273895355	0.750748882668	0.678361294693	0.761482585962	0.671571088424	0.610825495844	0.792147233638	0.693017522699	0.557735864632	0.682020850575	0.65134385365	0.690025223791	0.601397742644	0.706757760937	0.686525249642	0.686355730364	0.691202929228	0.76676564922	0.643211384456	0.535250406912	0.540659495886	0.46994096677	0.578107236944	0.645037256654	0.507561113869	0.479621899557	0.730532675148	0.47710349953	0.557244613298	0.556318030343	0.473383576922	0.512929170719	0.472391318473	0.582138999721	0.469561376123	0.506951699452	0.484597992573	0.492204678617	0.457786125003	0.421791601287	0.431406468203	0.449416991553	0.458748057708
CS.245	0.515266393533	0.597275463527	0.62653658484	0.566520293321	0.589435782489	0.575926513439	0.533599291958	0	0.558704869383	0.611424445388	0.612081257864	0.585986972839	0.582181177649	0.557522670084	0.613230329239	0.612576343296	0.653321754992	0.705265439745	0.613866854305	0.701166480232	0.508751477418	0.606222619792	0.591704510896	0.559126501085	0.670300260135	0.629757444042	0.638070413449	0.567702031402	0.626320919409	0.640354737198	0.57649850057	0.667010957624	0.694730253024	0.666950968129	0.64035849383	0.694076220416	0.661754938583	0.619370614737	0.660241379628	0.5483570838	0.626572589731	0.561645893278	0.628261297061	0.627187731737	0.651906385477	0.658953847016	0.603021431048	0.70469353603	0.647972268561	0.613482519275	0.684159932555	0.717791189455	0.64828097387	0.643079798851	0.662755413699	0.599139243925	0.669890040906	0.640925224004	0.629379092473	0.643495800261	0.557096918192	0.584168549047	0.560527372907	0.543296224504	0.538603947372	0.586993154453	0.554758330264	0.693757269295	0.579601414179	0.570426017601	0.621892456369	0.531805126003	0.641789458635	0.549483302605	0.557356177811	0.607312901401	0.595290403215	0.543701260044	0.632309752152	0.585764322706	0.535971117806	0.648951277262	0.544059090055	0.619010834176	0.570958767205	0.596242162138	0.546164992153	0.554693336683	0.591055075898	0.616325496626	0.568401831488	0.621278491384	0.56996697783	0.590422044873	0.559949990857	0.580949777652	0.563357182119	0.539199389228	0.585988980302	0.598282231994	0.592303794741	0.535174458787	0.602864250413	0.629783070292	0.615040905601	0.589003259334	0.703032399998	0.60628717685	0.63104628485	0.647998973842	0.705438675506	0.691795451456	0.637439355254	0.664789167594	0.524347463702	0.672623279545	0.623583501032	0.564597489609	0.646009683519	0.64489061106	0.662988117056	0.616196127561	0.544374522967	0.633264972553	0.640248024507	0.612412928372	0.708908494907	0.641722109069	0.683498877727	0.586220867218	0.647446540252	0.744128296286	0.622195064583	0.574859461884	0.60539560157	0.619479517207	0.640068338588	0.587532873781	0.636571296825	0.645149889173	0.65907355061	0.626284132889	0.727249385162	0.636039918931	0.52619114946	0.54615210201	0.549394721371	0.533892113095	0.61883814636	0.54141794112	0.581718840683	0.674017998252	0.570629594229	0.535073161706	0.529124179642	0.581576272554	0.552461584437	0.513133717842	0.608812889953	0.559571715164	0.530010968929	0.563456983781	0.514737046035	0.531778518221	0.584214780792	0.538640720879	0.577621981157	0.497322240392
CS.296	0.445317626922	0.561771752046	0.51732250517	0.453413987045	0.507838217686	0.581872375663	0.443967306681	0.558704869383	0	0.61981770115	0.499734538939	0.628298027788	0.579497298461	0.599495730389	0.664942345707	0.573255819942	0.682071316371	0.675480230831	0.64158840461	0.751066575172	0.585658434283	0.568085230826	0.590195303938	0.560141829599	0.694106803916	0.667802984131	0.625516687363	0.521338513209	0.559869140108	0.625723457828	0.490109531602	0.736378614684	0.711227821402	0.673695745352	0.628021018702	0.765736604442	0.671792501355	0.676382344598	0.693319628628	0.51342417439	0.664233327853	0.509238528948	0.649749492039	0.63308309065	0.697974136534	0.618534591585	0.60693829903	0.724814683381	0.633090277232	0.605471260599	0.709236626876	0.745557608691	0.655913058927	0.649202558137	0.682351011111	0.590014667499	0.635115993103	0.670851462792	0.606099045138	0.632881655005	0.559333049871	0.536565384633	0.502927672457	0.559410345658	0.547812190505	0.58499565873	0.603915203866	0.734504605315	0.523207461758	0.433836506336	0.715467539287	0.467746140223	0.635966627013	0.505945075741	0.610247846666	0.476250756416	0.501116348801	0.476038965852	0.553623023123	0.4847395554	0.462722515768	0.522107935742	0.499374087684	0.544674795463	0.50431597177	0.511312408333	0.523895713078	0.477345244571	0.462483942557	0.561891513602	0.569237763831	0.657334927487	0.47684663343	0.622391765307	0.576441196669	0.511253722515	0.514899931657	0.459691916018	0.560700696478	0.542420985626	0.560478331429	0.520848834931	0.55795221932	0.694165211837	0.538516492385	0.63486027664	0.762088592158	0.582281853834	0.617780657358	0.65302217346	0.769499202475	0.746941458633	0.649369965026	0.716329410808	0.553366462547	0.696057907843	0.618622723184	0.587251839156	0.632114706238	0.696309273727	0.694833852154	0.654982459724	0.483159871838	0.658829828524	0.654349625736	0.605963639777	0.756470381823	0.640474101076	0.733814162604	0.646584973022	0.579024701122	0.788314719437	0.648413760957	0.490172011875	0.658603161491	0.639898739843	0.668885626766	0.541797246809	0.662499677341	0.666896359237	0.655965044676	0.680865386512	0.74383138195	0.600710863075	0.534044337931	0.563486695986	0.477488677948	0.582311183618	0.641829017862	0.513756468495	0.440842645949	0.732690309398	0.459627697948	0.551957523352	0.550133922006	0.48125218332	0.525201151606	0.496931035029	0.543634603957	0.421449840699	0.494237131917	0.453349418014	0.517359640827	0.51677789434	0.470102819312	0.471241125226	0.441723834931	0.533918385724
CS.260	0.61822096267	0.615529023942	0.649960209094	0.662337503622	0.624098058039	0.560217206396	0.642711259406	0.611424445388	0.61981770115	0	0.64730870368	0.649368150503	0.619167719721	0.647031125402	0.563406833335	0.654331195583	0.638770449296	0.570519360253	0.5386073791	0.611964864755	0.608451913766	0.541331243446	0.646994475828	0.537946022001	0.604471359511	0.563475732091	0.53288735932	0.564358764699	0.530641656249	0.559823886178	0.611274157219	0.619158937072	0.642787042628	0.548901749385	0.568868383081	0.660942984601	0.54621365826	0.568762011586	0.566759811386	0.574418924756	0.563997530404	0.59841714433	0.510997819574	0.548223909469	0.632727743391	0.536736602979	0.605256689911	0.631398362065	0.542942465755	0.521065852647	0.647996377368	0.60856775813	0.535123902101	0.554434292844	0.591001557847	0.583755759492	0.598202799552	0.532444453035	0.578573223997	0.551645824872	0.58782757521	0.616544785124	0.597237194415	0.550026708248	0.577625314218	0.605468078187	0.622901399759	0.684513790612	0.585660191619	0.606010151511	0.610571346853	0.628770299544	0.633304892961	0.624638812578	0.594138981954	0.62530655374	0.641182774462	0.642617558876	0.660803163935	0.64538929194	0.613322159547	0.657956889511	0.61257150291	0.639167052927	0.670945535993	0.626563125632	0.582626152073	0.659737334079	0.653009582557	0.642696167134	0.632613634289	0.593148022039	0.606537215707	0.673730294405	0.675427195555	0.653920030758	0.665685254847	0.597248380922	0.60278054373	0.605680199194	0.624252523422	0.610524266829	0.62189834586	0.620327298176	0.613148668724	0.604719084126	0.63361977915	0.564640541086	0.595807973547	0.597622066409	0.643648998973	0.65945858296	0.556730020879	0.591648763464	0.645112638473	0.599149247698	0.524733278005	0.620850907243	0.568042260964	0.633046560048	0.531514026873	0.577516835934	0.616510182546	0.571655220142	0.514035351848	0.593827058816	0.591354057865	0.552501895743	0.611692058104	0.650434920838	0.543640204776	0.68947204099	0.547673751741	0.565526642113	0.571581240713	0.540837468473	0.560016790122	0.559218159724	0.62237146505	0.547630770139	0.544788568389	0.574274137475	0.616630543067	0.557549657894	0.603386472479	0.617085916196	0.620662342198	0.567658933388	0.564377548882	0.604543651466	0.633570357405	0.613396036904	0.618957307215	0.596806180569	0.572974953956	0.663574142647	0.601777835082	0.606427072807	0.629487665467	0.613325477607	0.592947726278	0.590299476357	0.63192404025	0.639487946026	0.654895262054	0.63319713624	0.639427594239	0.651835461773
