CS.022	CS.101	CS.036	L.022.M1	L.004.M1	CS.143	CS.260	CS.264	CS.265	L.036.M1	CS.003	CS.002	CS.296	CS.099	CS.354	CS.064	CS.230	CS.287	CS.360	CS.122	CS.076	CS.137	CS.365	CS.058	CS.040	CS.186	CS.248	CS.050	CS.161	CS.056	CS.378	CS.213	CS.292	CS.282	CS.224	CS.232	CS.374	CS.128	CS.136	CS.302	CS.236	CS.041	CS.380	CS.376	CS.375	CS.214	CS.181	CS.148	CS.369	CS.182	CS.359	CS.268	CS.372	CS.256	CS.254	CS.386	CS.178	CS.348	CS.129	CS.147	T.CS.019	T.CS.056	T.CS.071	T.CS.085	T.CS.057	T.CS.080	T.CS.022	T.CS.020	T.CS.089	T.CS.050	T.CS.082	T.CS.059	T.CS.058	T.CS.052	T.CS.035	T.CS.139	T.CS.124	T.CS.107	T.CS.132	T.CS.122	T.CS.153	T.CS.115	T.CS.100	T.CS.180	T.CS.147	T.CS.167	T.CS.111	T.CS.105	T.CS.091	T.CS.117	CS.110	CS.082	CS.088	CS.015	CS.006	CS.356	CS.085	L.034.M1	CS.087	CS.238	CS.241	CS.242	CS.103	L.024.M1	CS.246	CS.364	CS.358	CS.234	CS.044	CS.338	CS.336	CS.187	CS.308.0	CS.330	CS.274	CS.191	CS.345.0	CS.233	CS.188	CS.228	CS.319	CS.322	CS.163	CS.152	CS.194	CS.080	CS.331	CS.339	CS.227	CS.158	CS.320	CS.343	CS.285	CS.321	CS.361	CS.393	CS.145	CS.370	CS.255	CS.253	CS.262	CS.270	CS.326	CS.390	T.CS.008	T.CS.043	TFS.021	T.CS.049	T.CS.026	TFS.025	TFS.027	T.CS.061	T.CS.045	T.CS.031	T.CS.064	TFS.022	T.CS.055	T.CS.066	TFS.020	T.CS.157	T.CS.166	T.CS.151	T.CS.152	T.CS.141	T.CS.142	T.CS.095	T.CS.158	T.CS.109
CS.022	0	0.650267348744	0.595821024819	0.657857719336	0.65702940907	0.589405483728	0.571631653815	0.633375630854	0.668469687924	0.626752243777	0.640186773801	0.570337749027	0.650027091025	0.61394469245	0.593414236962	0.604184550968	0.608726742535	0.616196073846	0.597189325983	0.584913998349	0.552648850876	0.64979784853	0.607101893886	0.546564747514	0.624152157441	0.625646704106	0.566524474711	0.566497850265	0.560102932306	0.583240897682	0.614159088793	0.616018801584	0.574163264533	0.61239570935	0.670718688665	0.594864098165	0.613983948731	0.612907595362	0.558689448035	0.648033340875	0.619273867248	0.568220709184	0.648821049531	0.577091005504	0.609839890046	0.619732740272	0.594914465917	0.628780023721	0.638540376299	0.606566289372	0.646189622881	0.61894292415	0.602758052962	0.624886412284	0.604253019289	0.652178583577	0.639337676124	0.608773552402	0.611096617092	0.5851334704	0.605809735482	0.62118339274	0.651933260497	0.623320990966	0.638866026831	0.628192320877	0.624687392836	0.672054857535	0.626612278362	0.598717632658	0.653486460601	0.588318505249	0.633217988127	0.615535893778	0.628207793843	0.670792325762	0.630488144344	0.655159432857	0.675788729406	0.63642308433	0.645360503792	0.669983602088	0.656848354634	0.619866604965	0.675535752921	0.635524935653	0.620838667369	0.650396170336	0.674233260553	0.635760412155	0.551676843701	0.615625999823	0.611712921903	0.632699957516	0.53067302263	0.655367252122	0.592437292746	0.597591049719	0.583999229177	0.593261899107	0.645448233253	0.612128829327	0.594418388731	0.635123900237	0.62066330419	0.629963302075	0.682417849954	0.630778654683	0.603139126687	0.612253745411	0.620601334686	0.587207522609	0.588273428462	0.600786895567	0.622045518363	0.65664947094	0.630129319968	0.616023276955	0.641595903114	0.55837949977	0.60497773504	0.622104037818	0.554623407844	0.622312250478	0.673446226108	0.546699805586	0.604016710535	0.627405947588	0.66660331915	0.540395645564	0.589637515168	0.595190995909	0.601035398755	0.62084462199	0.63692585761	0.62603638954	0.633603003377	0.614347343822	0.60644131432	0.672500162501	0.610254372293	0.608659994552	0.599299827097	0.583541872375	0.653412500667	0.636575541286	0.635512247442	0.612272195861	0.64702105753	0.634681766288	0.64167038883	0.62870366734	0.628260289891	0.605726953292	0.627187009162	0.675035895484	0.595657130594	0.665984863019	0.652137160449	0.604730322435	0.639781519361	0.652529493766	0.630532878195	0.637667329649	0.638372419471	0.676137728946	0.652638997502	0.664877427817
CS.101	0.650267348744	0	0.644118190134	0.539840106051	0.501618848984	0.569476799212	0.67014894103	0.613999183833	0.569231191495	0.568411894238	0.530001634972	0.607546408235	0.500323156069	0.534092502527	0.614327444917	0.595435834726	0.744154122241	0.641163961296	0.654918289315	0.513976030353	0.654366086849	0.584766817318	0.556621574558	0.620586236908	0.538000286545	0.563236980607	0.653062268608	0.663823390231	0.704590745812	0.698855666946	0.718858641745	0.70443874085	0.609327893625	0.73336312711	0.785651514839	0.543968919264	0.691646010133	0.626433665755	0.638520945649	0.762619452482	0.697160563556	0.669028435861	0.554366974215	0.697425432545	0.652486169432	0.677523127744	0.663431543493	0.727333291239	0.765897504552	0.64738175218	0.739516144242	0.70976606474	0.675221876152	0.705883421278	0.694591050041	0.727828324483	0.617541395681	0.636670472026	0.615304426852	0.696471874484	0.655788446554	0.609146851576	0.580374250629	0.574536246916	0.737434855673	0.653986440794	0.628343512116	0.523721527438	0.639697368525	0.624291794123	0.55829839478	0.620926544692	0.576562352168	0.688908484875	0.581219295291	0.51803065745	0.502857213227	0.512431180813	0.56486966613	0.545601548809	0.531753419634	0.507570441074	0.573677002111	0.577286533165	0.484939984837	0.532435980402	0.543555398085	0.572375267883	0.502099173465	0.535102510914	0.659809788386	0.55965210266	0.6281797007	0.537296797237	0.528977705579	0.70410288664	0.553630111569	0.607081981328	0.610534496744	0.546692162446	0.458854116669	0.538138756932	0.459140300821	0.543868277663	0.556327557825	0.749904684593	0.796314461271	0.687682868638	0.54257899539	0.663093136712	0.646412902946	0.671244477893	0.707274510991	0.68286726705	0.714488799603	0.509420601846	0.787500311632	0.567355777366	0.698275485716	0.621457139933	0.703436559779	0.729157006238	0.673432855978	0.555537260146	0.791198248232	0.611367904935	0.597417270623	0.668225792545	0.809901390006	0.64912600768	0.644522495428	0.704863349963	0.755430065029	0.542899674895	0.691674781378	0.68637346069	0.606790952334	0.684245976754	0.633709922516	0.754830765828	0.697668412701	0.698598420203	0.677394514618	0.688034331605	0.645755028975	0.575798552574	0.5918024782	0.69601401026	0.74361117429	0.625030471804	0.565219140433	0.636421476893	0.594053208213	0.555128199744	0.553124084512	0.525979293123	0.558343268478	0.526573181135	0.520937666453	0.569511529441	0.55709282727	0.559198925113	0.556836508526	0.568426080275	0.590793413964	0.509942576893	0.531276232424	0.52129418416
CS.036	0.595821024819	0.644118190134	0	0.669425603699	0.695003523489	0.580453791294	0.596007513693	0.612864029692	0.655438529118	0.638747101848	0.598631766367	0.557807763627	0.624274360817	0.649104034163	0.662165940049	0.557097230259	0.603136682757	0.602986725986	0.588179218193	0.61551086841	0.588887982323	0.574901956807	0.616491931651	0.538966698355	0.60661292529	0.67116359508	0.552559967294	0.6519256674	0.593451529911	0.56869222837	0.66614635508	0.629041691519	0.600642178721	0.631929924261	0.717081899592	0.567272697514	0.637911534202	0.594675481344	0.555641603617	0.677441127908	0.579883838562	0.590323642064	0.610765517917	0.583726390107	0.625844939116	0.628077908846	0.621404491151	0.6631213016	0.647724530175	0.581110895801	0.656843729932	0.604256286281	0.583988982424	0.636268631109	0.62938462458	0.678998141673	0.625654982553	0.581267772383	0.627636566035	0.633989118478	0.646712472605	0.655131454016	0.639314777619	0.625384718745	0.704455219242	0.659180776901	0.594731220775	0.665226124648	0.610963442677	0.636580528042	0.606791792374	0.635359360706	0.627022717538	0.563254979349	0.607402761533	0.675457725797	0.630734844914	0.657067898521	0.663436371898	0.618337094953	0.643363299974	0.662862861569	0.648572753981	0.604102838154	0.677602936559	0.671850802324	0.670234712693	0.642799107906	0.67947958883	0.670804146307	0.634454888321	0.596091529265	0.669745394007	0.668884667354	0.622482868931	0.695331297418	0.581816478735	0.61255142394	0.631054653072	0.609480027921	0.635942042509	0.637470912249	0.582193426356	0.713385385953	0.619450855883	0.635958955968	0.712301260024	0.625878363931	0.598152143305	0.610597078125	0.617005478267	0.60891199261	0.622826138626	0.621095919804	0.668100162161	0.638310569079	0.665335953643	0.625895520157	0.684112354351	0.577724805344	0.592265113754	0.657921430989	0.567966190336	0.582662123707	0.740961742896	0.587539530404	0.587026015838	0.660157158975	0.714978669488	0.561005041347	0.613997840334	0.630101394628	0.610378542394	0.618655668603	0.647365406761	0.633933990882	0.631335747195	0.592973934784	0.606425432986	0.699344574367	0.673391743271	0.655004360139	0.652154925794	0.618307513568	0.675627947096	0.63431045364	0.668720093608	0.657142935356	0.707653452771	0.642104640632	0.643174653512	0.61462897813	0.642682477489	0.651183142323	0.633179844685	0.65455553436	0.632258745453	0.661149588099	0.653322580208	0.685806212831	0.63503686472	0.695597517924	0.629438665578	0.713249726807	0.70289911201	0.691921512268	0.641516226962	0.670376133348
L.022.M1	0.657857719336	0.539840106051	0.669425603699	0	0.500678610002	0.608220677933	0.651306104376	0.616075642236	0.442208396701	0.580212677535	0.525630702391	0.629027700331	0.539502062063	0.536779066029	0.647676056355	0.600379333192	0.742295545333	0.647305323486	0.670208080899	0.574361147579	0.670883170995	0.609191907967	0.592738596462	0.637648260072	0.613833280802	0.507469616374	0.655136669639	0.672717040084	0.70515121593	0.711341093885	0.713735304579	0.73237852854	0.618668667759	0.7154756578	0.78102147042	0.554591784444	0.688577000155	0.636640207773	0.648641747406	0.760291198629	0.71885599733	0.684532123568	0.553601719171	0.700829529742	0.688172906775	0.68807195703	0.664021036002	0.703396571824	0.764207737108	0.63024437966	0.750431867268	0.690232546568	0.676445651943	0.67913656023	0.690353049928	0.723148177573	0.626547133371	0.614746956294	0.619543992139	0.696976847786	0.65421524136	0.669301676918	0.590995493212	0.593113167833	0.741973719195	0.683214590546	0.645293357923	0.495896490959	0.633822361895	0.627120711652	0.60239709576	0.606336583699	0.606329122273	0.663662914691	0.601672535877	0.487110400821	0.497359697306	0.5330614317	0.449052616643	0.5428431387	0.451157602879	0.483348685197	0.518523058667	0.566242506591	0.464987225491	0.550309557645	0.579302532787	0.492918884798	0.491894281029	0.525883712118	0.670212054049	0.529803978523	0.70441150144	0.615352006269	0.58024234599	0.743302551413	0.545921341627	0.621663090153	0.652901685036	0.607724612957	0.555422248917	0.531223978351	0.560202633145	0.576603520763	0.543332090276	0.754068361455	0.805216216586	0.693661829424	0.615667992214	0.643338264531	0.641067147071	0.660350535671	0.714779251906	0.674892235412	0.730541974562	0.542739803427	0.785575789652	0.585064325026	0.719060838354	0.644908320986	0.707659556967	0.723771651951	0.670886936581	0.567031284858	0.787955389927	0.635383884201	0.572679639356	0.695683468109	0.809876289334	0.672376220059	0.630441176336	0.698874980462	0.752058767053	0.604784791153	0.727820601841	0.707541771943	0.628628794954	0.68751633618	0.621926287958	0.759619425135	0.702838630589	0.687938807284	0.626651667938	0.687254258769	0.67118688274	0.610951910913	0.628422171633	0.687638673699	0.746609601283	0.65563529375	0.605409598308	0.656316372895	0.632050098898	0.603459124291	0.578522780656	0.520159734598	0.60146759115	0.525080711999	0.510454899783	0.578961994658	0.582928573301	0.569730373504	0.566037869075	0.621401219994	0.63838943088	0.497500826336	0.53967794552	0.483264886045
L.004.M1	0.65702940907	0.501618848984	0.695003523489	0.500678610002	0	0.595695944299	0.641944146736	0.630964625106	0.522438689009	0.532237438647	0.556308988926	0.642297414782	0.445189910753	0.510066667842	0.625168990157	0.639769426626	0.738223255301	0.643975330987	0.641664841519	0.55261370751	0.684592966499	0.539086065391	0.510401575466	0.637797815425	0.608376676286	0.523449710102	0.669894702909	0.695457642239	0.713334144248	0.725303563442	0.715705065848	0.705640737992	0.626478149444	0.698656828873	0.758063232117	0.564201773036	0.684482048936	0.611436691604	0.670903107513	0.743324787793	0.745364008902	0.703971019308	0.51532176234	0.689321270151	0.638507791875	0.667291004848	0.639302269996	0.69825748898	0.766475383477	0.605116233693	0.735869442366	0.708247323802	0.680482627723	0.654984331789	0.670481991802	0.718838718491	0.597865006893	0.627743590886	0.611554315237	0.676516988169	0.636342264484	0.642485915733	0.518571297159	0.484920582403	0.702792142819	0.613565538045	0.608449656029	0.492620692286	0.555309306571	0.619563339261	0.521924197963	0.633415836934	0.562189628179	0.661724803385	0.552302574796	0.423574425773	0.499935579895	0.433547022869	0.500079839777	0.474460292838	0.477875407691	0.458524997884	0.525499889107	0.599493657986	0.401935962777	0.446231697873	0.482078306531	0.600015470948	0.410982011804	0.487743369224	0.66190413654	0.575924896855	0.654999887684	0.572605646792	0.51141062823	0.707138679414	0.55968189376	0.586858858423	0.603847302869	0.551727957165	0.504614376399	0.485008927931	0.562868996433	0.483839599603	0.51455203359	0.75049462781	0.771848897193	0.692656240156	0.55672308722	0.667224725324	0.608815421685	0.636531959623	0.724999347298	0.662726813998	0.675271460263	0.47131249346	0.798514285988	0.604795590911	0.652695752385	0.638871548177	0.670043910714	0.680991928869	0.685558994738	0.524252309917	0.746650557972	0.6304359155	0.585658746406	0.641811468814	0.790098159648	0.676919127054	0.602193782598	0.672949095976	0.764086388228	0.521395362326	0.69604809709	0.70981008903	0.573861572629	0.688223795371	0.618199721969	0.754594373136	0.677754792373	0.677371877676	0.635877837977	0.684600168768	0.577847075612	0.511423461182	0.539449371013	0.624192947567	0.716506267433	0.543015182772	0.469696149315	0.56850796916	0.53967537085	0.521560533902	0.493078816807	0.438660159026	0.522053474703	0.45548212736	0.432330625229	0.517640105418	0.491123321244	0.437269446794	0.50220657287	0.500240406029	0.489984388653	0.422021438182	0.457385016708	0.406635814954
CS.143	0.589405483728	0.569476799212	0.580453791294	0.608220677933	0.595695944299	0	0.60829989864	0.600609892602	0.606739740288	0.56277391652	0.579331489932	0.56199051453	0.576052486042	0.591898961664	0.621045026609	0.579824208086	0.657566132675	0.592830208137	0.602180326858	0.583814897069	0.5866464308	0.593949321687	0.577467768617	0.578231235819	0.590775449114	0.600983981676	0.581477526914	0.658638974134	0.615715745518	0.605303668748	0.676179837869	0.643759330851	0.562790278278	0.647320485904	0.719400910477	0.554899981273	0.626716135258	0.578152075919	0.585470116585	0.685035377224	0.647495426172	0.619968087739	0.584991478615	0.609236318858	0.608652726269	0.628664607557	0.63257282964	0.675940942575	0.684439933499	0.59224960337	0.68487298148	0.636832258347	0.610347661998	0.631573443297	0.621679407797	0.680212952431	0.59934528554	0.590275775142	0.604223414176	0.625086494529	0.617454118689	0.642231779563	0.594675854066	0.600277603911	0.668018901232	0.641990856461	0.583696323033	0.609692867416	0.591765064321	0.62879826203	0.600347075856	0.620157855942	0.595208360334	0.618779559394	0.578476529229	0.59111031994	0.592557411455	0.591279279989	0.595079676129	0.567693689041	0.593551129292	0.587497547893	0.58967531031	0.598056995794	0.613788448129	0.591983379952	0.596244034562	0.631240906152	0.59440410966	0.595683696655	0.576258521545	0.586364204813	0.642079040353	0.613372020575	0.538704225787	0.656414022342	0.469716208634	0.552814781555	0.615632607843	0.537264167648	0.568205575416	0.558918045956	0.55224460121	0.611255107138	0.573848275574	0.676152968654	0.729188288766	0.630598306165	0.564971520209	0.609470840566	0.601142022931	0.612095399474	0.641247938611	0.610746099862	0.643033461572	0.609132006185	0.714064198324	0.584039049829	0.668315977763	0.579878656792	0.61096026738	0.653753700682	0.610142036691	0.566251623708	0.715803066207	0.578221973394	0.566961074925	0.641798137089	0.733400099999	0.583650997317	0.595736931316	0.628123749198	0.657668875437	0.59577743412	0.64582797245	0.654504711957	0.607470893604	0.608451182222	0.595721656854	0.708885957662	0.624936023256	0.622025465529	0.623392361507	0.632712446651	0.624466484115	0.62282093762	0.616572747009	0.621304215482	0.689277455945	0.606461903207	0.591252171354	0.594320053734	0.613656019243	0.595766606447	0.565169085275	0.583596118282	0.589885428396	0.592396219901	0.583994077303	0.606844014458	0.568942947461	0.605284267555	0.59071812923	0.62502585565	0.635306717067	0.608526341551	0.577155158703	0.5967031761
CS.260	0.571631653815	0.67014894103	0.596007513693	0.651306104376	0.641944146736	0.60829989864	0	0.6257204787	0.644710651861	0.611683654621	0.649960209094	0.619235684864	0.61981770115	0.659603041616	0.645631668742	0.624901095023	0.604471359511	0.53288735932	0.544311644401	0.64413670315	0.563475732091	0.564358764699	0.589342618775	0.560055449851	0.649834337467	0.654331195583	0.559823886178	0.638770449296	0.561988021649	0.611867770007	0.632727743391	0.566759811386	0.568868383081	0.54621365826	0.660942984601	0.590410870465	0.563997530404	0.580398814682	0.548223909469	0.619158937072	0.642787042628	0.568762011586	0.59841714433	0.506692760779	0.57966629134	0.605064471155	0.542942465755	0.587369997801	0.60856775813	0.521065852647	0.631398362065	0.628698243067	0.554434292844	0.569378131911	0.535123902101	0.647996377368	0.583755759492	0.578573223997	0.605256689911	0.532444453035	0.600820292726	0.671952779556	0.597237194415	0.582597809829	0.610571346853	0.594138981954	0.605468078187	0.671342612283	0.557817400268	0.622901399759	0.624638812578	0.633304892961	0.616544785124	0.523734242707	0.593040667139	0.642022371319	0.625002900599	0.637917362967	0.635399346011	0.584594999338	0.626563125632	0.64538929194	0.658838145418	0.639167052927	0.653009582557	0.638092401515	0.625212927197	0.655952939558	0.658187643589	0.61257150291	0.593148022039	0.613148668724	0.673730294405	0.675427195555	0.610524266829	0.620327298176	0.605680199194	0.60278054373	0.632613634289	0.62189834586	0.653920030758	0.597248380922	0.624252523422	0.665685254847	0.606537215707	0.591648763464	0.633329086555	0.597622066409	0.609129703139	0.568042260964	0.544085411905	0.524733278005	0.600762102634	0.556730020879	0.554810451069	0.607522392489	0.643648998973	0.655580463153	0.604719084126	0.595807973547	0.552501895743	0.531514026873	0.596392235014	0.565526642113	0.591354057865	0.590126704134	0.543640204776	0.593827058816	0.68947204099	0.577516835934	0.538342757866	0.571655220142	0.611692058104	0.616510182546	0.609731391189	0.62237146505	0.559218159724	0.544788568389	0.557549657894	0.616630543067	0.574274137475	0.547630770139	0.540837468473	0.560016790122	0.567658933388	0.620662342198	0.617085916196	0.564377548882	0.613396036904	0.572974953956	0.606427072807	0.578866318016	0.596806180569	0.603386472479	0.604543651466	0.633570357405	0.601777835082	0.663574142647	0.618957307215	0.63192404025	0.590299476357	0.63319713624	0.592947726278	0.651835461773	0.639487946026	0.654895262054	0.613325477607	0.639427594239
CS.264	0.633375630854	0.613999183833	0.612864029692	0.616075642236	0.630964625106	0.600609892602	0.6257204787	0	0.579519957964	0.610168769792	0.574805010829	0.577007149652	0.593941666459	0.600898073281	0.615709709146	0.578320855354	0.643274878374	0.596424681509	0.636427150096	0.557232181102	0.598577392168	0.636303839607	0.584040018959	0.584945356449	0.58744107571	0.593446030601	0.615530533587	0.59433264001	0.64662525729	0.669364501452	0.643687364684	0.652483074253	0.585213868789	0.669192016515	0.730727045512	0.563393546149	0.629635677974	0.623081143549	0.601444024053	0.683133024133	0.658149700027	0.612992922025	0.639497792752	0.661114322536	0.608672978971	0.64205610826	0.644720258728	0.654545081737	0.667365529482	0.614904395897	0.690339002316	0.62213585396	0.657973179573	0.653565477402	0.642320038812	0.656884077679	0.62526603578	0.624918003153	0.585149585674	0.639918825161	0.593267455279	0.615524497751	0.629854755068	0.612835362399	0.688282991289	0.643103946881	0.619841874823	0.614262843801	0.609523869771	0.606686885049	0.58289496943	0.600652110659	0.593777827751	0.650565391191	0.600703465769	0.611134506043	0.569533373404	0.612277418436	0.604882540414	0.588064215191	0.560775295132	0.598572671061	0.598450196501	0.565492583118	0.623519730118	0.613262009977	0.613552182491	0.593909975519	0.629052216798	0.605254934803	0.596245919254	0.538528217006	0.673656690791	0.653499960071	0.597047948682	0.669863796244	0.56106033896	0.602288386733	0.594484787368	0.608798791093	0.621847566204	0.581431920693	0.585902740159	0.633420159862	0.549247387017	0.672195034528	0.711432367538	0.635146167912	0.594924020914	0.59684634545	0.627009325324	0.613320564895	0.641374498907	0.613975151955	0.638900218921	0.619275040273	0.686942899948	0.563287238702	0.664081880031	0.588008155692	0.661432045538	0.659939544304	0.58006726838	0.623435090073	0.705595968146	0.590307881918	0.601521614417	0.647221428036	0.727309405492	0.604744455635	0.605167774893	0.651212774356	0.673704024173	0.609233170617	0.630037423386	0.631399520823	0.639848129491	0.648911645375	0.624652382739	0.665106246122	0.65596240856	0.646248102024	0.603569736656	0.662644490537	0.670735648361	0.626236725933	0.649004210239	0.666164322234	0.684436041813	0.6418489215	0.639979953071	0.645948985333	0.624910082569	0.623375752486	0.597731095367	0.607008277997	0.626873865745	0.607360602723	0.616738167892	0.603498039907	0.594698871736	0.647974716958	0.584522855386	0.661616810947	0.660667648686	0.621892961766	0.574511113444	0.607248428682
CS.265	0.668469687924	0.569231191495	0.655438529118	0.442208396701	0.522438689009	0.606739740288	0.644710651861	0.579519957964	0	0.555860597127	0.525440792312	0.610836090297	0.519529725459	0.557459912725	0.66820569907	0.606190006882	0.736645026625	0.61780145226	0.647049118271	0.579960382836	0.664119184034	0.601158910069	0.587032802012	0.629652034474	0.620944989326	0.512949208832	0.639812603859	0.686990778564	0.702717484724	0.692847080864	0.724382770384	0.712957457918	0.623203923948	0.702566775255	0.782217770551	0.552531139558	0.685554477987	0.602932965594	0.656820731655	0.768225495058	0.716739709643	0.688949008475	0.571146621457	0.696822014035	0.684532601052	0.692197656827	0.644906815189	0.68499099083	0.741235439601	0.601330962779	0.753218472844	0.670226445199	0.65386619247	0.658709843652	0.655680617617	0.723669420031	0.614564203431	0.591512541078	0.611196146214	0.696249868933	0.65815129856	0.689123401833	0.587645800639	0.581696729422	0.753896082402	0.678806907582	0.627815880713	0.502816371107	0.615837381016	0.642110465277	0.603410740492	0.614628448998	0.595036195122	0.659388573003	0.59510335776	0.46639716583	0.512913397848	0.50384373438	0.27422986446	0.518129713748	0.439380848435	0.452338422379	0.499498683213	0.556812571179	0.485984147646	0.562121020537	0.574816206465	0.496057920408	0.499595744979	0.542501066356	0.641662639619	0.511741759423	0.719109511033	0.630303817112	0.596801877806	0.750851270923	0.526054929374	0.584241178575	0.650916149509	0.616922328671	0.575195447001	0.513637299664	0.582547438837	0.614122600618	0.535626561125	0.748497016191	0.785787265397	0.684654596021	0.629788574857	0.629400824494	0.645387901467	0.643066028869	0.723511667342	0.667443372266	0.720338647856	0.568820669202	0.79096705924	0.589177803555	0.723757175436	0.639854187179	0.696908332727	0.695330817391	0.673949482664	0.541034133798	0.77151346117	0.652606925928	0.546744710971	0.714534723984	0.811513998632	0.670768326636	0.616074551369	0.702224179748	0.750826884491	0.623322019942	0.72426818275	0.6928871714	0.615078073845	0.675644809833	0.623070762748	0.753436441053	0.695987241037	0.677284177744	0.645779981715	0.684745293575	0.684785023821	0.612122353044	0.647299772177	0.693307578703	0.740288399448	0.664098977304	0.607737810048	0.668011649939	0.63593972645	0.614926184529	0.576030789062	0.49675472575	0.592035914141	0.530979346262	0.51052594462	0.617240491992	0.556340680986	0.574332177008	0.57159594321	0.638609272265	0.642196703452	0.483326994976	0.512250764839	0.471312210241
L.036.M1	0.626752243777	0.568411894238	0.638747101848	0.580212677535	0.532237438647	0.56277391652	0.611683654621	0.610168769792	0.555860597127	0	0.576342842342	0.593520600551	0.502437951309	0.568120987664	0.563066948827	0.595012240001	0.691546601421	0.60412338134	0.588158789069	0.5718169445	0.662706407422	0.52998788868	0.541905606437	0.617864590937	0.575584027841	0.57323318607	0.645076762921	0.658544599457	0.682005985394	0.651500358664	0.693782967234	0.674439475343	0.609312522558	0.67817595589	0.769770300886	0.583512629802	0.670336764816	0.572094633948	0.627883314343	0.72356204298	0.6896690477	0.626612369036	0.542272417082	0.644682723371	0.610392893632	0.634747537112	0.636153404088	0.671562910401	0.709493831982	0.599266858837	0.74517673575	0.670865763127	0.62828910804	0.658677161535	0.652646005796	0.716895847591	0.560034780815	0.596925738003	0.6079734458	0.650187835902	0.595490119107	0.609976278677	0.53351034604	0.511305868441	0.679247722219	0.570936517634	0.551938829889	0.569983644442	0.553508725004	0.567640054603	0.562634439941	0.628675019788	0.533578595959	0.605829348752	0.510628182428	0.517042132404	0.530322843661	0.506344135842	0.526480166927	0.513645936075	0.548938355788	0.541825663993	0.540863948115	0.584764757343	0.525800355849	0.49279000183	0.504312653153	0.636232758936	0.505268722208	0.534684236737	0.637370273797	0.591114398863	0.625110446501	0.554653728581	0.551210330141	0.691764267007	0.564179708488	0.527520530964	0.595323308728	0.592475157538	0.564649793596	0.492854289312	0.592623178049	0.592929920271	0.548666032605	0.69831339071	0.745850511127	0.687111437671	0.529931829785	0.619767651908	0.579747309335	0.621620297277	0.685156956939	0.638654767717	0.67945648869	0.529936852254	0.761086183601	0.627781181172	0.619454494661	0.609398810278	0.644148703444	0.670737910024	0.642947119433	0.537278333144	0.74044821777	0.628409313024	0.585396745433	0.647041186964	0.779841184931	0.644088625647	0.585991855504	0.673114271518	0.726202993109	0.573340817354	0.648353361189	0.636096439851	0.574082733446	0.626736941878	0.626234527641	0.750035629418	0.633980215393	0.638757171951	0.630707237971	0.655887518241	0.543943991263	0.507172769001	0.581165869308	0.629902054819	0.70615887665	0.569814950435	0.507677887176	0.551454114614	0.578257582603	0.528902186264	0.521282460504	0.511182683537	0.525206511778	0.527024370154	0.527645259077	0.524567006214	0.547286955248	0.489533765232	0.540515522907	0.538707107074	0.548375896469	0.504175435656	0.509061666858	0.516339244908
