CS.199	L.012.M1	CS.091	CS.295	L.004.M1	CS.243	CS.263	CS.106	CS.007	CS.174	CS.314	CS.280	CS.084	CS.260	CS.143	CS.117	CS.122	CS.050	CS.382	CS.137	CS.327	CS.153	CS.377	CS.171	CS.360	CS.040	CS.127	CS.149	CS.186	CS.287	CS.203	CS.224	CS.375	CS.374	CS.380	CS.376	CS.041	CS.213	CS.292	CS.378	CS.282	CS.136	CS.302	CS.126	CS.205	CS.256	CS.147	CS.166	CS.389	CS.148	CS.181	CS.177	CS.385	CS.386	CS.268	CS.183	CS.214	CS.348	CS.349	CS.129	T.CS.042	TFS.023	TFS.024	T.CS.016	T.CS.059	T.CS.023	T.CS.079	T.CS.029	T.CS.022	T.CS.014	T.CS.004	T.CS.028	T.CS.071	T.CS.034	T.CS.082	T.CS.121	T.CS.111	T.CS.105	T.CS.134	T.CS.097	T.CS.167	T.CS.118	T.CS.131	T.CS.119	T.CS.092	T.CS.177	T.CS.107	T.CS.147	T.CS.117	T.CS.120	CS.087	CS.088	L.034.M1	CS.110	L.024.M1	CS.103	CS.082	CS.242	CS.356	CS.238	CS.085	CS.237	CS.246	CS.241	CS.015	CS.164	CS.151	CS.311	CS.188	CS.387	CS.338	CS.165	CS.233	CS.187	CS.150	CS.330	CS.345.0	CS.207	CS.113	CS.078	CS.361	CS.152	CS.080	CS.321	CS.194	CS.319	CS.331	CS.227	CS.322	CS.318	CS.320	CS.223	CS.285	CS.158	CS.339	CS.270	CS.253	CS.255	CS.393	CS.390	CS.370	CS.326	CS.262	CS.145	T.CS.061	T.CS.026	T.CS.008	TFS.020	TFS.021	T.CS.045	TFS.025	T.CS.064	T.CS.036	T.CS.049	T.CS.066	T.CS.031	T.CS.043	T.CS.055	TFS.027	T.CS.095	T.CS.157	T.CS.109	T.CS.158	T.CS.152	T.CS.151	T.CS.142	T.CS.141	T.CS.166
CS.199	0	0.595611215466	0.629138864729	0.638400943273	0.616840166718	0.585245905405	0.581014158683	0.556267266016	0.618714162787	0.633399744176	0.584854422224	0.634016795129	0.602095386027	0.608552279871	0.583001112747	0.570548923927	0.586895924037	0.61257614785	0.601819163675	0.610161844426	0.581629972425	0.568680128705	0.655239220565	0.553129857044	0.626367654049	0.598560417816	0.596506336516	0.600007155074	0.626508278035	0.631152029576	0.604442640917	0.706760278706	0.58593048548	0.6350638884	0.625631375424	0.603099621673	0.597177208217	0.658283293695	0.603720052991	0.654730102182	0.63845574302	0.548026383757	0.684579308071	0.601961414352	0.68486160329	0.658803240876	0.63536701579	0.671174548661	0.623370102999	0.65526818774	0.643746228279	0.654857803094	0.647924099401	0.690894071041	0.644155031069	0.689327854586	0.639801944448	0.624872416681	0.634626242054	0.596354432528	0.631614353627	0.571337435561	0.551724083887	0.601834526445	0.594556094942	0.718452166295	0.628303252005	0.604179468996	0.610306797704	0.622947647411	0.601319822127	0.630788398785	0.631574984049	0.611272770116	0.608325805709	0.647165658374	0.607387883631	0.65651408194	0.628799369935	0.650789207896	0.616068841665	0.618879409586	0.632752941262	0.642986758558	0.664093657561	0.640357031722	0.637359769948	0.647903360121	0.629893329521	0.615093782611	0.555581932616	0.617314140507	0.593181509471	0.59652177216	0.625312986016	0.578891969414	0.601155403553	0.60049058216	0.678678116747	0.56645435742	0.570239699128	0.568006168836	0.618680638419	0.603034969506	0.600518049702	0.633019585202	0.627077154785	0.57887135707	0.654619940948	0.604025538685	0.617895272234	0.609270063359	0.587828856913	0.61723236361	0.602023664887	0.641124854338	0.67459587671	0.654970397671	0.565034016057	0.566873796735	0.626895729219	0.604231087115	0.562319116841	0.592194470918	0.720830803965	0.630833952255	0.605425314656	0.702891530032	0.640938288166	0.613443346008	0.619336289726	0.631294094021	0.65250471532	0.564071554862	0.6116597618	0.656978881294	0.705111667653	0.610805932314	0.623909084197	0.630533770862	0.643712456416	0.628495948372	0.648630437278	0.620759032687	0.60619285188	0.696174146769	0.615133753466	0.607582137595	0.582017489309	0.606257587353	0.590359767158	0.596110377598	0.614461920654	0.646783584151	0.612901198154	0.598715768971	0.606867230954	0.6107843474	0.595168972353	0.63006497408	0.605347169712	0.628282992401	0.611706045047	0.603835988073	0.637752128141	0.630355366311	0.629229957714	0.611973555548
L.012.M1	0.595611215466	0	0.686920698747	0.649890521697	0.481923658719	0.582425771294	0.583238613815	0.584860344626	0.559093020985	0.51475085701	0.57996697398	0.541865632983	0.570103704398	0.621070140642	0.571875282089	0.592363218967	0.584658072101	0.676196020088	0.569319646912	0.564282780754	0.588280478109	0.61921447597	0.70145794264	0.606827090493	0.623080333362	0.589748430156	0.584680151205	0.662043578434	0.56211412955	0.635408984039	0.552428890958	0.756203149985	0.647230063727	0.68712316321	0.54181943658	0.657953432205	0.669456719364	0.690136103182	0.629999375361	0.708666244291	0.680431249574	0.647370139801	0.730883906043	0.567923830373	0.715071532924	0.676477553977	0.677666807978	0.69969629107	0.679274289881	0.713551846023	0.652076936578	0.704461534636	0.685594781499	0.724605902946	0.706124296621	0.745628614858	0.689990406363	0.61295453849	0.642884052742	0.638974595769	0.533641800321	0.58579999197	0.555465815137	0.575209936393	0.619203560454	0.739616084046	0.688613314503	0.652992528428	0.603401777472	0.586743970911	0.569131299035	0.572566470733	0.545678338364	0.560147788791	0.579405122503	0.565830738571	0.570980635736	0.601249009517	0.57341854237	0.534261957103	0.529114024567	0.57791922977	0.551897556731	0.563821781593	0.588105281783	0.536059002598	0.544774832486	0.503682342489	0.565906783796	0.550533287473	0.626447567036	0.662423900481	0.5711603283	0.661426972393	0.576925594436	0.584654805876	0.584452547823	0.535210368912	0.702075729715	0.600803146745	0.566733335716	0.662529500504	0.578213017108	0.531999760615	0.591318282757	0.735149889842	0.619486105159	0.62652173781	0.666577723088	0.614272979378	0.654391467233	0.678991646377	0.615565761089	0.646401459575	0.599442154892	0.665844873059	0.772388736566	0.701214264402	0.587665950088	0.584618825428	0.686198596859	0.575868874654	0.624252231056	0.568662640382	0.75347123477	0.655754542656	0.590631271668	0.786153906739	0.689233593062	0.650600907201	0.603796692243	0.674926194589	0.733409833133	0.658112663565	0.667627203055	0.692684273835	0.754244178332	0.629699354037	0.692391600978	0.675817036163	0.66963516151	0.645003423525	0.673656058681	0.607534140738	0.581799400258	0.70596108325	0.587063332828	0.506931719812	0.565796978908	0.569333674914	0.575377789008	0.546158062523	0.577344652553	0.628720874688	0.547828598156	0.567434852243	0.562389534488	0.551538130633	0.522296923685	0.508880045579	0.546844535029	0.515976392039	0.553558593829	0.554724537571	0.552224429848	0.5581884894	0.548892525272	0.580914757916
CS.091	0.629138864729	0.686920698747	0	0.616757528656	0.689291533477	0.655039950554	0.641499242635	0.612564598992	0.632730985083	0.665618870705	0.655429917432	0.683762555855	0.656390378148	0.601953353458	0.59477749045	0.643270203066	0.654330955198	0.647294622526	0.609874947715	0.639461188045	0.683835289017	0.617860921368	0.590378615173	0.64593929156	0.612125756055	0.663885490476	0.586071663144	0.586943876141	0.692827556428	0.581615068436	0.65398002027	0.657047273827	0.587707166895	0.590344513873	0.649368997943	0.575236441227	0.635168402225	0.592164775654	0.573454641443	0.633935496544	0.602440802764	0.574826880994	0.624189956138	0.60254005793	0.599934234823	0.580880283901	0.573978393442	0.616915953548	0.557448403015	0.607796997719	0.573622849655	0.585747745273	0.562890893694	0.633642899238	0.602979199517	0.642720142074	0.584976202141	0.617058050893	0.577915825452	0.621799753081	0.676308186444	0.648326974638	0.652019133077	0.622458400568	0.666589562639	0.739444271274	0.607088003003	0.644473990785	0.64555864305	0.643577853935	0.631291381173	0.644414537996	0.669965228225	0.676739345242	0.66500469759	0.6750391638	0.6686084521	0.694311373047	0.679684715637	0.689740872981	0.673137505535	0.611236961222	0.670526601055	0.69471159104	0.696225216483	0.679768048017	0.683781139594	0.70293662671	0.644177794621	0.643928442945	0.653690740445	0.706770624454	0.651363871708	0.60117876755	0.691066357893	0.625760274416	0.629815818598	0.65986153589	0.653374104747	0.630638573349	0.616654416442	0.591414254023	0.648002494769	0.668482059076	0.68731094086	0.678063421476	0.646170152743	0.645929316744	0.639897572555	0.59683970127	0.615889177147	0.628673991923	0.641427764585	0.591838672523	0.590744136999	0.575300725787	0.647516959295	0.612086027328	0.646659980718	0.651270385749	0.620209294098	0.62545218816	0.584395620989	0.66000290009	0.664982165957	0.56948650895	0.59333009622	0.636678209721	0.61093121022	0.588031831924	0.589657111457	0.575314251163	0.614585299153	0.608201042985	0.634933759015	0.579021189982	0.644860979719	0.579821166252	0.647181607244	0.562146185704	0.615450615685	0.584358624469	0.607573052032	0.622386889263	0.650939940153	0.665394560387	0.660878115565	0.677055872543	0.659618910879	0.661896879901	0.638798046486	0.651786832661	0.65629291823	0.635305462393	0.680388415063	0.65924844437	0.671588652849	0.662373043497	0.677966531408	0.702469643689	0.675727722662	0.672990442325	0.657891174495	0.650348332491	0.683121461201	0.695690330518	0.707000162821	0.646999934028
CS.295	0.638400943273	0.649890521697	0.616757528656	0	0.610509891214	0.593312515315	0.594371280397	0.638206470902	0.560265011697	0.574557965646	0.605527496791	0.619067000592	0.652127965308	0.56616707519	0.612501681873	0.622714257865	0.642896404775	0.690868938207	0.479910893282	0.53497180834	0.647108725956	0.595861264556	0.588003179256	0.647017979881	0.562080227368	0.638538292121	0.527472768618	0.562496556066	0.668224734956	0.592282264285	0.526765827256	0.702596463453	0.555583169576	0.610209560479	0.523991531816	0.60116671583	0.631179978609	0.613811942625	0.603941553121	0.684516399067	0.594314322536	0.583047526976	0.645882705834	0.53101001999	0.581786742645	0.602161084736	0.604779341388	0.612533099283	0.577785857767	0.629231346891	0.544990018534	0.618791176935	0.572953159342	0.683313446549	0.640391984882	0.670301356221	0.549427385325	0.599644328873	0.570615203993	0.589701518383	0.548921187666	0.541466418885	0.564008695183	0.578511059951	0.68068580599	0.722854930395	0.605461199306	0.598287937341	0.521023533429	0.601630513327	0.557019671514	0.572250059773	0.551341379013	0.557247394565	0.552552332879	0.55764221904	0.569511184859	0.689611479892	0.58015375096	0.630779884803	0.581281503807	0.573489417292	0.569582444355	0.661061160213	0.621648175917	0.603255039732	0.548929977659	0.615071119126	0.562168162614	0.551989157118	0.604532463323	0.665952937186	0.603834141248	0.637438131509	0.614977655561	0.636745693387	0.615938810757	0.560176056246	0.66962280849	0.59407982181	0.611485845373	0.638895941093	0.537261546232	0.60498469426	0.656439257049	0.740507891853	0.556949292142	0.579872952529	0.567388703132	0.521376806155	0.582655418096	0.660741557974	0.667828079014	0.57525325868	0.612059784361	0.554846812703	0.719460987268	0.650554671277	0.608000190655	0.599671859623	0.585905266362	0.51645236334	0.615056433144	0.559506083773	0.689281130061	0.563416935732	0.567485254002	0.732306223533	0.617607311378	0.569258694124	0.572255268087	0.55296321261	0.66117918082	0.648136633514	0.588420322166	0.61485757434	0.70844205139	0.593657354042	0.607951419879	0.573256127951	0.568335803528	0.599013835031	0.633194181817	0.526581623558	0.52380765999	0.681397849893	0.556617033089	0.58423764439	0.597506002751	0.603416155172	0.548710254667	0.560075618781	0.637473437052	0.61633898891	0.609927690332	0.588543277231	0.558050842365	0.580088189027	0.574464413881	0.637872348715	0.616255919427	0.586778581809	0.54668857981	0.563810268544	0.582441139479	0.608983236836	0.625469507756	0.545235464332
L.004.M1	0.616840166718	0.481923658719	0.689291533477	0.610509891214	0	0.546168341957	0.563501093647	0.59947165701	0.508000772183	0.402644240371	0.544561083967	0.455031831731	0.581586274551	0.641944146736	0.595695944299	0.593704637606	0.55261370751	0.695457642239	0.534457320593	0.539086065391	0.579381392328	0.618798259798	0.709353441808	0.612517777634	0.641664841519	0.608376676286	0.591662763499	0.676415608663	0.523449710102	0.643975330987	0.546436810454	0.758063232117	0.638507791875	0.684482048936	0.51532176234	0.689321270151	0.703971019308	0.705640737992	0.626478149444	0.715705065848	0.698656828873	0.670903107513	0.743324787793	0.525953846496	0.703017860617	0.654984331789	0.676516988169	0.707394256701	0.681431140827	0.69825748898	0.639302269996	0.67118432778	0.681599440148	0.718838718491	0.708247323802	0.759169381374	0.667291004848	0.627743590886	0.650564390116	0.611554315237	0.479510212696	0.557357774349	0.544409568626	0.56115223832	0.633415836934	0.753276855274	0.696716181224	0.651059509956	0.608449656029	0.568551493129	0.542014184913	0.54383276099	0.518571297159	0.504718078722	0.521924197963	0.55749538917	0.482078306531	0.600015470948	0.489011321577	0.480980325754	0.446231697873	0.560133792298	0.47681650394	0.566628598916	0.563300630373	0.486617242376	0.433547022869	0.401935962777	0.487743369224	0.499493135887	0.603847302869	0.654999887684	0.586858858423	0.66190413654	0.483839599603	0.562868996433	0.575924896855	0.485008927931	0.707138679414	0.551727957165	0.55968189376	0.670694508233	0.51455203359	0.504614376399	0.572605646792	0.759910083188	0.622449694666	0.613910318935	0.652695752385	0.611927092457	0.667224725324	0.708050698508	0.604795590911	0.636531959623	0.5838952259	0.662726813998	0.798514285988	0.704472464272	0.560680347765	0.562213109554	0.69604809709	0.524252309917	0.6304359155	0.521395362326	0.746650557972	0.670043910714	0.585658746406	0.790098159648	0.680991928869	0.664092761883	0.602193782598	0.684209506203	0.764086388228	0.676919127054	0.641811468814	0.677371877676	0.754594373136	0.618199721969	0.70981008903	0.684600168768	0.688223795371	0.635877837977	0.677754792373	0.573861572629	0.56850796916	0.716506267433	0.577847075612	0.432330625229	0.539449371013	0.53967537085	0.543015182772	0.493078816807	0.544809903663	0.624192947567	0.45548212736	0.521560533902	0.511423461182	0.522053474703	0.469696149315	0.422021438182	0.517640105418	0.406635814954	0.457385016708	0.50220657287	0.437269446794	0.489984388653	0.500240406029	0.491123321244
CS.243	0.585245905405	0.582425771294	0.655039950554	0.593312515315	0.546168341957	0	0.519761559608	0.583856205576	0.560972754627	0.530962155931	0.543264556265	0.542581962357	0.610810009516	0.626679851936	0.587108232914	0.571048659746	0.555226092398	0.629764564547	0.550504082747	0.580773761133	0.567340592238	0.587568553563	0.669377125482	0.599719125418	0.615104671089	0.591613162741	0.555697055555	0.624426134804	0.55433688871	0.620199475615	0.542912905348	0.734580363869	0.598402562432	0.615618631258	0.593753715784	0.640106784552	0.646952916119	0.625447844485	0.589538635647	0.639396512931	0.654454650526	0.623401262137	0.694500864304	0.559629640345	0.684600143918	0.608155876526	0.623884766507	0.675811866732	0.656541669856	0.675194154338	0.626283670897	0.637525537954	0.633418741287	0.679266983973	0.643254573517	0.708805514963	0.637697094099	0.642391016926	0.640269245247	0.582579365888	0.556403423225	0.586289088103	0.560911416644	0.595756658635	0.597573854571	0.74240350703	0.650737508844	0.609490570784	0.596207581424	0.586879502399	0.583366645508	0.597076001315	0.587109490086	0.552129718636	0.543484450189	0.597821784188	0.538432386351	0.629588918825	0.567330190799	0.563794652363	0.538715604174	0.604605135322	0.54685200794	0.616491979745	0.596336925731	0.553987177429	0.545277033812	0.548361756373	0.542647039777	0.546943659499	0.595735468957	0.633639960517	0.562137819331	0.609932599537	0.545368199487	0.568128744849	0.601957541238	0.540314872793	0.663489435318	0.577905523485	0.575718753976	0.621521582348	0.537730477847	0.550783467335	0.554087060257	0.706243647033	0.613250428655	0.585719448724	0.639494025871	0.605669710367	0.611870595388	0.669074990381	0.575110206741	0.612846793325	0.610905043131	0.624665216098	0.725846841189	0.648045938551	0.57129172705	0.58667840496	0.624836244042	0.560020345159	0.591199344684	0.555620647937	0.704945326044	0.639125447227	0.58054051612	0.757450992911	0.645131060686	0.631064070685	0.585121052973	0.620693771805	0.70093365714	0.623934423368	0.63361613293	0.643606974715	0.701077909428	0.624620188548	0.630045465375	0.663551260461	0.633758092661	0.610180199035	0.648091608909	0.597832289089	0.604731937989	0.707118682682	0.613645284648	0.56137414708	0.571604566549	0.602442324735	0.609021213907	0.555467503602	0.567759968746	0.651262869606	0.542969460972	0.567615889566	0.563200873711	0.558398356328	0.55817496662	0.547799584473	0.556171179338	0.530988553847	0.539485664655	0.550337750535	0.549393925748	0.576540270579	0.562179754789	0.54075512242
CS.263	0.581014158683	0.583238613815	0.641499242635	0.594371280397	0.563501093647	0.519761559608	0	0.553417007131	0.554695400827	0.542033034452	0.536903926483	0.555306792156	0.556637473975	0.602448445345	0.581139517371	0.559388284319	0.53087141028	0.61871726562	0.551374799732	0.573470962832	0.571942655217	0.558389847304	0.618104620163	0.574077852394	0.593130365225	0.576054384557	0.535904474989	0.597458824781	0.561102006975	0.60629456917	0.534186019973	0.745907321067	0.563438372903	0.613523596452	0.539378136231	0.653532894964	0.638526783832	0.634916072077	0.571918975596	0.656811269964	0.653831279922	0.587872987424	0.723217358117	0.530279031551	0.67091315383	0.622929417514	0.618624917544	0.641916174827	0.605329786387	0.647899627516	0.61236598997	0.639510163049	0.581643135433	0.665053400095	0.610484105809	0.712057698756	0.624815535798	0.579211069991	0.574479033504	0.554901123592	0.513397208398	0.568701821631	0.572251582536	0.545177815231	0.568310838882	0.743141670335	0.64932157468	0.570919176313	0.562668690925	0.569684722358	0.576899497489	0.551448075958	0.56079280503	0.539516422415	0.53614358704	0.560513330779	0.538875411298	0.570158929978	0.574557729268	0.551203478466	0.541791024495	0.558736657926	0.533851924936	0.565006588272	0.554942123238	0.519219404204	0.532807847826	0.547895284326	0.519736547433	0.555899993643	0.614816036449	0.663433965198	0.546898501082	0.605374016173	0.590861500009	0.570784311415	0.539140293051	0.524890418462	0.679117835791	0.579701607617	0.523452687868	0.623216623456	0.512998696615	0.557585171366	0.580082364515	0.703251654152	0.591073114	0.577123970839	0.625447293993	0.581541396719	0.575978359923	0.68256382606	0.54902240123	0.594499751396	0.550050123658	0.598651782646	0.733505878275	0.629990967842	0.57069716609	0.596342062687	0.634841241141	0.510320842134	0.573024809642	0.528943116897	0.721097837624	0.638293002259	0.509056100179	0.763965225573	0.651141348564	0.625392460006	0.576736133525	0.621019938635	0.697282324646	0.612310472077	0.655591471478	0.622249048993	0.687923214281	0.574525203523	0.62116460753	0.619951598571	0.606517570476	0.581479751561	0.631484985706	0.546909005143	0.588483398427	0.701948063203	0.618058929726	0.535101807945	0.584623370277	0.569955631176	0.593546191651	0.525840124885	0.553996460002	0.64158397352	0.545091503768	0.564983425303	0.574286272534	0.5458606773	0.578833903253	0.550898959135	0.572762397201	0.534347890262	0.515342286232	0.539317771843	0.553210728264	0.61782140189	0.591180228974	0.545947886692
CS.106	0.556267266016	0.584860344626	0.612564598992	0.638206470902	0.59947165701	0.583856205576	0.553417007131	0	0.608378327526	0.607331796488	0.575019303443	0.609331128897	0.423216785698	0.587422561474	0.534580587592	0.519082770707	0.513371080534	0.56805401647	0.644630723761	0.613093268895	0.619834145985	0.478053284299	0.619575909021	0.529945317792	0.610424548138	0.569332964664	0.595212218166	0.599870563658	0.5828823772	0.600798241747	0.615022776278	0.738411882398	0.618248150655	0.630716649207	0.59543393293	0.629988470765	0.573420283191	0.657794170564	0.542051934943	0.646528834044	0.646956862494	0.505392357602	0.703367975203	0.589881933367	0.704226967594	0.653339359169	0.646193131268	0.657891613626	0.632404909393	0.663305064591	0.623737875355	0.676250904834	0.616537681909	0.690632008399	0.618710903581	0.688436639849	0.657123444003	0.593645540642	0.609737621379	0.576142713081	0.584725537502	0.64037092692	0.614936738255	0.599259697267	0.5470028223	0.720261876149	0.660666504355	0.563326244915	0.621215291764	0.586198327296	0.604708941792	0.609938465694	0.593222569125	0.592719089279	0.586475202329	0.602567439399	0.616124992259	0.565073221465	0.611921500035	0.609564653953	0.589273518828	0.583281577679	0.603449323669	0.547896182771	0.603016435493	0.59613205351	0.604071823955	0.612281941126	0.597284128297	0.586820034902	0.582863755931	0.670538772131	0.583663167492	0.568192124576	0.63731816747	0.540522783219	0.480947124248	0.547434416748	0.680162594758	0.577907264038	0.424459997383	0.536578346005	0.576686503699	0.598135428571	0.611597314215	0.606574132357	0.594842019602	0.603496131661	0.69584196219	0.616157372185	0.577856035609	0.669171264031	0.500674016796	0.604595681287	0.551319193689	0.625853764443	0.684131703203	0.628209831941	0.602229222026	0.623563779183	0.662797218159	0.568702338572	0.502227588377	0.598143100829	0.735622255758	0.635086354014	0.572728260765	0.737817132929	0.669121833568	0.617716683458	0.58926805835	0.62256953468	0.675244816928	0.504099847266	0.650896740538	0.650256571726	0.703290188249	0.592471529922	0.627738747845	0.631758576065	0.636277040315	0.59202925693	0.651473600065	0.614694544241	0.642129332029	0.694450644411	0.657126561334	0.581948186419	0.619318651905	0.607126794352	0.634869343718	0.591499807316	0.52880975065	0.650573889753	0.597241183991	0.595251888558	0.607313353817	0.595176629949	0.621591312804	0.602741178224	0.585608595821	0.591099331602	0.589470665796	0.587986514261	0.636982909064	0.655878177225	0.655842711666	0.596391689194
CS.007	0.618714162787	0.559093020985	0.632730985083	0.560265011697	0.508000772183	0.560972754627	0.554695400827	0.608378327526	0	0.439157729419	0.561162652001	0.5188942905	0.584589115042	0.632378520822	0.569493132297	0.563402309668	0.536542933147	0.676748196493	0.507789788995	0.507892436905	0.590257031334	0.585650182629	0.666049219358	0.588028920439	0.611454323103	0.541861068312	0.513819496994	0.593513488754	0.593895056419	0.621421275346	0.505717753422	0.741322953341	0.588339421429	0.657946337735	0.514745281083	0.640608598568	0.648220091819	0.65136526046	0.571505744732	0.690087169011	0.655647334921	0.60652465219	0.721672300385	0.501016001939	0.684155510239	0.623020847051	0.626326783596	0.651137000249	0.616439585113	0.672312285008	0.616703352446	0.653545177325	0.636710964559	0.680693140355	0.649469552683	0.728862346169	0.604911810605	0.604309544858	0.617114720103	0.605629544268	0.523793381118	0.57832718604	0.543555393939	0.557233313386	0.643782452246	0.755378006104	0.678108059347	0.612977529903	0.564141643939	0.598189149192	0.547734694665	0.525218118277	0.535044783284	0.519778194929	0.519585102544	0.535496348145	0.491316263072	0.634395334431	0.524733796056	0.533046811437	0.504703385109	0.559341243751	0.512657049702	0.594771839883	0.608677668112	0.525188636511	0.495956221144	0.51268557916	0.502038645566	0.528562652653	0.607073102699	0.655171746864	0.577121229512	0.638289162782	0.551785743977	0.568888894381	0.577314292953	0.524773465153	0.69781230106	0.513028745123	0.574315222843	0.637114946742	0.519934664006	0.479225241861	0.563218278814	0.746374988466	0.591957238121	0.555032798282	0.624955816467	0.561112783748	0.623325731687	0.667780908135	0.601839793763	0.599024650938	0.582973035218	0.632176840549	0.763282072617	0.695587166265	0.530066672606	0.558287632618	0.643073301446	0.518820171209	0.608558425232	0.51596391915	0.723213718306	0.638477794599	0.561050387833	0.7680653925	0.662264751486	0.638356846166	0.563914795289	0.620231805536	0.708227083503	0.643007438184	0.62510765387	0.636336881561	0.748459047354	0.60910202022	0.665015575722	0.611215817885	0.624850082562	0.628710488623	0.639897190363	0.532828653831	0.54883920245	0.724973671837	0.571738839604	0.513313530423	0.557862880099	0.566168931349	0.553650773511	0.500098085443	0.591500324277	0.65162898048	0.508808691294	0.526599032163	0.549707025935	0.538931397269	0.515248724403	0.537464600821	0.561155426072	0.506477729019	0.508980346719	0.516844761327	0.505378809821	0.57166113499	0.55485441433	0.499328627579
CS.174	0.633399744176	0.51475085701	0.665618870705	0.574557965646	0.402644240371	0.530962155931	0.542033034452	0.607331796488	0.439157729419	0	0.557263606458	0.429640906667	0.582096036858	0.622261472653	0.584694693717	0.585811261257	0.555306116658	0.701419826778	0.506160862271	0.508724676719	0.575440969245	0.61593989038	0.687655715997	0.625136020705	0.622061667306	0.589992131872	0.540659475953	0.653838535322	0.550938700661	0.643552744051	0.50685441976	0.769830782438	0.621255789944	0.669115601263	0.474622455322	0.660822677036	0.692858682342	0.686828375183	0.612988071089	0.700516648932	0.683614176905	0.649746921392	0.729574924412	0.502940990295	0.688377068182	0.659248922344	0.660739043599	0.689187472504	0.646393509817	0.69534638079	0.622410202247	0.675719448812	0.65619451293	0.717046972708	0.694948697645	0.753503309194	0.642383319786	0.613798646868	0.63207764095	0.614246441971	0.438939350768	0.539476904299	0.538335683427	0.545018634822	0.641276637345	0.771951361816	0.699889719244	0.640084563305	0.573951167923	0.562381213969	0.549322219776	0.519543636802	0.501809563971	0.466827839096	0.516286635127	0.51430477581	0.446660489247	0.589093328414	0.483167672286	0.442291171464	0.450482389663	0.549240254956	0.449649591096	0.546729045551	0.547276640518	0.475126980544	0.39954757426	0.395444677609	0.474326217568	0.490336202168	0.616494491122	0.656226175621	0.557034615162	0.675040646667	0.508427058311	0.562140128837	0.566213276528	0.474297965092	0.704762520744	0.560014394667	0.566424983834	0.690659303926	0.496716893563	0.481633528854	0.54234331063	0.779393964359	0.601034866508	0.598444693371	0.623590762664	0.582609574609	0.655320836733	0.700371922167	0.612683843173	0.625193811954	0.596447294838	0.648801258917	0.79777258016	0.705399510825	0.54802149147	0.56760207044	0.686914339728	0.486823438706	0.629677210791	0.502421451112	0.754777050165	0.649577510924	0.555770753121	0.801673774674	0.688717483347	0.659892268786	0.592354293788	0.653277533211	0.749794340802	0.677391107818	0.636069201196	0.659282936316	0.757943825926	0.595404894974	0.687562262187	0.656520993064	0.657983866145	0.633668147541	0.65768081003	0.548137004201	0.568423259307	0.726746000636	0.566044453233	0.41584430248	0.546608175414	0.530558024718	0.534745748019	0.484621522746	0.550723973815	0.65443684389	0.451117543559	0.501716738103	0.490277608155	0.501842421242	0.481272512473	0.419839325704	0.527807631175	0.424434679144	0.429306387983	0.474453149089	0.421678636179	0.508626626581	0.481900689123	0.447612474918
