CS.263	CS.043	CS.101	CS.017	CS.357	CS.244	CS.007	CS.199	L.012.M1	CS.104	CS.001	CS.257	L.022.M1	L.004.M1	L.001.M1	CS.060	CS.050	CS.161	CS.042	CS.373	CS.171	CS.056	CS.382	CS.230	CS.287	CS.065	CS.073	CS.301	CS.335	CS.365	CS.282	CS.213	CS.374	CS.128	CS.041	CS.205	CS.125	CS.224	CS.136	CS.375	CS.236	CS.302	CS.232	CS.376	CS.380	CS.166	CS.372	CS.147	CS.395	CS.256	CS.359	CS.386	CS.254	CS.369	CS.348	CS.129	CS.214	CS.148	CS.183	CS.349	T.CS.003	T.CS.007	T.CS.020	T.CS.022	T.CS.001	T.CS.058	TFS.023	T.CS.080	T.CS.023	T.CS.012	T.CS.059	T.CS.040	T.CS.034	T.CS.082	T.CS.057	T.CS.131	T.CS.114	T.CS.147	T.CS.180	T.CS.098	T.CS.130	T.CS.102	T.CS.123	T.CS.167	T.CS.134	T.CS.100	T.CS.129	T.CS.119	T.CS.118	T.CS.091	CS.110	CS.088	CS.085	CS.087	CS.237	L.034.M1	CS.103	CS.006	CS.356	CS.241	CS.242	CS.246	CS.015	CS.238	L.024.M1	CS.228	CS.164	CS.336	CS.165	CS.212	CS.308.0	CS.363	CS.330	CS.150	CS.274	CS.189	CS.311	CS.187	CS.325	CS.364	CS.158	CS.343	CS.163	CS.202	CS.112	CS.321	CS.227	CS.318	CS.319	CS.152	CS.339	CS.320	CS.080	CS.285	CS.223	CS.255	CS.326	CS.270	CS.390	CS.393	CS.262	CS.370	CS.253	CS.145	TFS.021	T.CS.066	T.CS.064	T.CS.045	TFS.027	T.CS.061	T.CS.036	T.CS.031	TFS.022	T.CS.008	T.CS.026	TFS.025	TFS.020	T.CS.043	T.CS.049	T.CS.166	T.CS.157	T.CS.152	T.CS.142	T.CS.095	T.CS.109	T.CS.141	T.CS.158	T.CS.151
CS.263	0	0.608340780504	0.549937592546	0.563948884652	0.549205057127	0.606956059403	0.554695400827	0.581014158683	0.583238613815	0.528159399582	0.53255690364	0.56975869775	0.553972488162	0.563501093647	0.535153514513	0.59334598156	0.61871726562	0.641413091843	0.622441745587	0.588951297301	0.574077852394	0.646183183723	0.551374799732	0.680901855251	0.60629456917	0.590022452957	0.608124811688	0.582200994853	0.726344710695	0.543296708445	0.653831279922	0.634916072077	0.613523596452	0.560078467947	0.638526783832	0.67091315383	0.624679585992	0.745907321067	0.587872987424	0.563438372903	0.661609748401	0.723217358117	0.53444520069	0.653532894964	0.539378136231	0.641916174827	0.611208985765	0.618624917544	0.583308627615	0.622929417514	0.689916247757	0.665053400095	0.621559531315	0.693797283305	0.579211069991	0.554901123592	0.624815535798	0.647899627516	0.712057698756	0.574479033504	0.560158497311	0.65619077351	0.579569673065	0.562668690925	0.665347374457	0.530386517902	0.568701821631	0.618661179388	0.743141670335	0.655577707013	0.568310838882	0.523436638703	0.539516422415	0.53614358704	0.691130128038	0.533851924936	0.541700130337	0.547895284326	0.504178113443	0.546694776053	0.463156928847	0.552693666709	0.530063333643	0.541791024495	0.574557729268	0.544328725678	0.551381089474	0.565006588272	0.558736657926	0.555316542855	0.605374016173	0.663433965198	0.523452687868	0.614816036449	0.623216623456	0.546898501082	0.570784311415	0.555035243964	0.679117835791	0.557585171366	0.524890418462	0.512998696615	0.580082364515	0.579701607617	0.590861500009	0.574406380612	0.703251654152	0.591158343471	0.68256382606	0.654859508095	0.647818023036	0.620434727864	0.598651782646	0.550050123658	0.640477043109	0.61230500823	0.577123970839	0.594499751396	0.71988434323	0.67605852213	0.612310472077	0.637574725734	0.610317596455	0.642862568735	0.604096785498	0.528943116897	0.763965225573	0.625392460006	0.638293002259	0.510320842134	0.655591471478	0.576736133525	0.573024809642	0.697282324646	0.621019938635	0.574525203523	0.581479751561	0.622249048993	0.619951598571	0.62116460753	0.631484985706	0.606517570476	0.687923214281	0.546909005143	0.584623370277	0.545091503768	0.525840124885	0.569955631176	0.578833903253	0.588483398427	0.553996460002	0.564983425303	0.539782253126	0.618058929726	0.701948063203	0.593546191651	0.535101807945	0.574286272534	0.64158397352	0.545947886692	0.572762397201	0.539317771843	0.61782140189	0.550898959135	0.534347890262	0.591180228974	0.515342286232	0.553210728264
CS.043	0.608340780504	0	0.609131004942	0.614177689131	0.604990020467	0.671252977628	0.560953257977	0.576119881481	0.618239235991	0.561468030658	0.595766322838	0.615166507985	0.627679252423	0.619718110856	0.594447782271	0.590998715603	0.649148580319	0.603718196606	0.582352391022	0.549482444634	0.571820183221	0.606942133771	0.587752085569	0.630900511082	0.586445500283	0.573373962621	0.605621307005	0.573959620421	0.694552162377	0.573341747688	0.625010414174	0.603663016392	0.603671577464	0.580309996593	0.559246824153	0.649485133895	0.604635058214	0.694162157051	0.562038652241	0.587734119702	0.642120672698	0.661008719449	0.537413975052	0.583858847292	0.59134288251	0.631565860364	0.592993216834	0.595570659062	0.612603303249	0.605057286058	0.655626031386	0.650597784411	0.598770869798	0.658978590085	0.585425689758	0.602135172901	0.62476684859	0.653008086257	0.658377859417	0.611390775018	0.595497094516	0.626815039104	0.630849229219	0.59693990049	0.646557868106	0.593906994589	0.619585835758	0.610541882997	0.711505103812	0.681703726485	0.619894286985	0.580428552707	0.591019938617	0.610584723079	0.637360444996	0.615038707829	0.610301736113	0.624560662142	0.616922901757	0.614933070144	0.611095766163	0.639644928823	0.59824128601	0.63229659838	0.60608510595	0.626171456034	0.611711768703	0.626573457121	0.579057629539	0.636461613122	0.577697913374	0.657552193074	0.540865711716	0.588181704496	0.57269112897	0.609356429925	0.570706705656	0.569168860646	0.650736051783	0.583010870301	0.575153632072	0.597258282812	0.639762375211	0.536649405684	0.646459529642	0.579326738752	0.661279640202	0.586060180389	0.621042360032	0.65219459065	0.60830316261	0.595271920333	0.59769282638	0.574796807535	0.623879792908	0.629293023127	0.581177460484	0.591077285573	0.705079474977	0.658259597549	0.555322425442	0.606149692087	0.613051422215	0.620847538098	0.551782763877	0.594701358637	0.704694747844	0.590798931761	0.611118727464	0.57754829322	0.625200933239	0.568030536542	0.556067348453	0.638458277806	0.593016433656	0.592823870579	0.597035273823	0.614362678631	0.601966878273	0.637528772504	0.622845785126	0.607504513893	0.663216338285	0.611842338457	0.612920201705	0.615884723359	0.58384085919	0.597915197669	0.596087468686	0.595770410951	0.600913958647	0.580287403252	0.61609238441	0.589734450392	0.674215400342	0.602013083405	0.601113706012	0.607461266268	0.628069358924	0.585065070102	0.612564393844	0.584288706793	0.647607188724	0.636071988256	0.618768856705	0.647417765842	0.601180818808	0.634238589604
CS.101	0.549937592546	0.609131004942	0	0.526162816245	0.507196336474	0.650561655351	0.513203815115	0.611712684501	0.546008250681	0.528246671864	0.530713952944	0.601477713111	0.539840106051	0.501618848984	0.568413657773	0.621476031617	0.663823390231	0.704590745812	0.636051361392	0.651660386883	0.578528541275	0.698855666946	0.601813274934	0.744154122241	0.641163961296	0.645973105237	0.630641125522	0.637263567523	0.790097916627	0.556621574558	0.73336312711	0.70443874085	0.691646010133	0.626433665755	0.669028435861	0.729099038913	0.714385370652	0.785651514839	0.638520945649	0.652486169432	0.697160563556	0.762619452482	0.543968919264	0.697425432545	0.554366974215	0.709112391928	0.675221876152	0.696471874484	0.660887044736	0.705883421278	0.739516144242	0.727828324483	0.694591050041	0.765897504552	0.636670472026	0.615304426852	0.677523127744	0.727333291239	0.769111583243	0.667428603494	0.496455249935	0.699695852977	0.523721527438	0.628343512116	0.724544863698	0.576562352168	0.637008439985	0.653986440794	0.780814636091	0.710528773428	0.620926544692	0.515889433699	0.561025970646	0.55829839478	0.737434855673	0.546589708802	0.560080186945	0.484939984837	0.577286533165	0.526163001238	0.502479870376	0.522548384598	0.580517470585	0.532435980402	0.545803427818	0.573677002111	0.532292753127	0.573642508178	0.630030627651	0.502099173465	0.659809788386	0.6281797007	0.553630111569	0.610534496744	0.682788076794	0.607081981328	0.459140300821	0.528977705579	0.70410288664	0.458854116669	0.538138756932	0.556327557825	0.537296797237	0.546692162446	0.543868277663	0.621457139933	0.731987042435	0.646412902946	0.707733136742	0.707965259125	0.707274510991	0.710170736512	0.68286726705	0.614922522144	0.714488799603	0.672481854105	0.599442175301	0.671244477893	0.784202620068	0.749904684593	0.64912600768	0.704863349963	0.673432855978	0.659059168303	0.650019142581	0.542899674895	0.809901390006	0.701349152328	0.703436559779	0.555537260146	0.668225792545	0.644522495428	0.611367904935	0.755430065029	0.689942090598	0.633709922516	0.677394514618	0.698598420203	0.688034331605	0.68637346069	0.697668412701	0.684245976754	0.754830765828	0.606790952334	0.5918024782	0.526573181135	0.553124084512	0.594053208213	0.565219140433	0.636421476893	0.57148449537	0.555128199744	0.525979293123	0.645755028975	0.74361117429	0.625030471804	0.520937666453	0.575798552574	0.69601401026	0.55709282727	0.569511529441	0.556836508526	0.590793413964	0.509942576893	0.52129418416	0.568426080275	0.531276232424	0.559198925113
CS.017	0.563948884652	0.614177689131	0.526162816245	0	0.55181265203	0.639007107046	0.53463581548	0.607858812905	0.565802189073	0.558521264299	0.590531398607	0.586321968735	0.620632819903	0.565573435206	0.598964373308	0.630059580698	0.651055506572	0.671759867145	0.635267249636	0.633630616235	0.573477928677	0.647200051178	0.601405771371	0.716384534523	0.660485230065	0.613376845257	0.603530915493	0.642845226431	0.755454200249	0.564872357266	0.698515197329	0.667324729668	0.664223398401	0.621781504558	0.638533562216	0.706554622154	0.697719758912	0.747324431172	0.626154189295	0.629816947481	0.658846170682	0.722477341979	0.601261327705	0.678211234635	0.60753043162	0.695507232658	0.663404901101	0.684138392878	0.666953199544	0.672887166235	0.75004574791	0.711584821749	0.681957413265	0.730640882304	0.644520790178	0.618640819644	0.666766157525	0.695893617351	0.73670031594	0.66574605727	0.567961449477	0.681289137407	0.589685712447	0.604091754449	0.696740590801	0.590984337176	0.663791522036	0.654852801863	0.74327909388	0.713638646447	0.610291141051	0.553677338642	0.588359829361	0.583210464378	0.723671779755	0.599065390273	0.589356717947	0.570222692173	0.604419841891	0.591273399322	0.568646051774	0.566647259221	0.596281215556	0.561688623729	0.598132336653	0.586622196485	0.594120546479	0.616274092966	0.613598816377	0.575439732308	0.619765786787	0.622786952726	0.564123531781	0.586749348162	0.635249239923	0.554696606714	0.563194579104	0.549883311659	0.692809305267	0.527692841086	0.585040179589	0.604361680555	0.519716555685	0.566945118105	0.607980277866	0.586585531368	0.692954228618	0.663292933897	0.674319036849	0.673198570939	0.67716789316	0.674484226736	0.663563404456	0.614972628856	0.701757052572	0.671555972976	0.579895247806	0.655830900626	0.761126783924	0.718412956795	0.615457128658	0.671459651272	0.646967951573	0.675926317296	0.60934894568	0.563644237861	0.766260678054	0.662216743628	0.66188808918	0.58874103118	0.673391630047	0.627000515986	0.607744974441	0.720722839622	0.690800986053	0.641863662453	0.668096661141	0.676835048396	0.678471048035	0.649032395829	0.648155543064	0.649764726646	0.741795861636	0.62154530346	0.63281555338	0.570281200017	0.569949757736	0.578542765812	0.578562893219	0.62864266103	0.585365020391	0.571661614606	0.602182699356	0.623557435708	0.726174287275	0.629441812964	0.594504770108	0.600419660955	0.663277449773	0.610119176748	0.576595259544	0.599583664275	0.597032296264	0.56649420418	0.570271771389	0.570805381951	0.593350573708	0.57432779352
CS.357	0.549205057127	0.604990020467	0.507196336474	0.55181265203	0	0.665139736093	0.505231020386	0.604455841895	0.52457441496	0.534864640983	0.575854289856	0.56341854553	0.574160754403	0.43550604214	0.582991873751	0.620949782443	0.673689737806	0.674449950846	0.592243996114	0.600558852848	0.571216395849	0.713265099847	0.472240760006	0.691503927993	0.659250711979	0.624676258237	0.648315034317	0.586157631979	0.736851361485	0.466861143903	0.662647240439	0.667491730369	0.636296781555	0.586720838443	0.669822349915	0.671592306435	0.634496135053	0.73526244565	0.63181466994	0.591302416901	0.709467358915	0.686802468271	0.562411440525	0.641273442965	0.521280414668	0.714323462633	0.656272202911	0.661172718842	0.677892009877	0.667526566011	0.716832103199	0.715736094873	0.659832294968	0.76679167656	0.637522466341	0.622556332995	0.637632552487	0.709344884479	0.762719119872	0.654892624838	0.423059757968	0.615300253012	0.537629891403	0.578998854097	0.707888987841	0.555466713508	0.500402341537	0.588096661434	0.736228447748	0.667912549047	0.645787915518	0.458188686047	0.491426835936	0.502529173462	0.685607693144	0.472120999217	0.5522072805	0.470918455839	0.559474775174	0.487033967478	0.48791508117	0.471466587535	0.506713290172	0.442053082828	0.4616069025	0.519984223825	0.499472251383	0.607187833556	0.565967956961	0.46973092727	0.652670405809	0.613052949163	0.580528172667	0.53663613758	0.64440959835	0.544404891832	0.573935714948	0.479922809653	0.659866127917	0.498846463687	0.473956343039	0.50826434403	0.530398153378	0.55265729019	0.482457487156	0.622548649996	0.729274991378	0.591696720216	0.647321377734	0.624878384019	0.687815113077	0.656615999858	0.634814646768	0.603367887099	0.654503103066	0.639156527084	0.576411076163	0.625022809565	0.744919822031	0.727047269509	0.647371061146	0.615171770936	0.645604466734	0.630981763408	0.640222666374	0.45384199136	0.772139169347	0.633985445963	0.629609573223	0.520331511531	0.604713350562	0.595477121366	0.602320696805	0.734284204762	0.65269741548	0.6161410873	0.611959927035	0.661738411008	0.658385581414	0.675625273821	0.665798550276	0.668644012771	0.74438501472	0.562131223442	0.529780403708	0.472727678043	0.493757518959	0.523618371704	0.467160286757	0.540521751642	0.550062764286	0.497042607378	0.486769425608	0.531555742999	0.717245670461	0.494424783919	0.461611105479	0.435289888325	0.62037959111	0.443793784458	0.486569392396	0.471064605859	0.466288339395	0.47318234456	0.455427022059	0.461489893267	0.429241941694	0.431904390748
CS.244	0.606956059403	0.671252977628	0.650561655351	0.639007107046	0.665139736093	0	0.676538342872	0.644174712416	0.671609258651	0.649058498438	0.633439720884	0.556146552928	0.615611608807	0.674045605335	0.577706383445	0.625178339798	0.596279612912	0.722114520105	0.688420695311	0.682788978355	0.587329032759	0.716147744812	0.701352769024	0.726263604722	0.704298505452	0.718910118329	0.614588161757	0.712036086419	0.775569938561	0.661756478343	0.759624060601	0.729035309584	0.706308103449	0.697668670977	0.676026025416	0.781858657961	0.738808595499	0.772240088393	0.663828655128	0.694202310372	0.715727968228	0.769219025338	0.635186776856	0.730426513043	0.69780066151	0.735963649771	0.724484239374	0.7161954895	0.700022428467	0.700802910591	0.742606319994	0.707281266066	0.723772798833	0.73956133813	0.721244499093	0.621132156758	0.717829569437	0.702634830703	0.740894557574	0.712982009257	0.669875236303	0.720051693323	0.636978258628	0.68453689143	0.714582650379	0.644971360638	0.715116377894	0.704303781219	0.755097386206	0.736841779586	0.567581524121	0.638127667602	0.670918323851	0.666681018739	0.75498523411	0.681665148664	0.574951748442	0.654389262487	0.60538800245	0.636394198124	0.648537371039	0.648670259712	0.631686882518	0.628479836997	0.6766955477	0.629220442054	0.681648080039	0.633335451602	0.683062317094	0.652119986389	0.650505874128	0.673104869942	0.589427671337	0.621725419759	0.659267462666	0.637973158821	0.629868790159	0.607812825098	0.715356863333	0.651360588902	0.629301778608	0.642865836815	0.642101809161	0.636586261455	0.635049522471	0.623968486774	0.63842639295	0.698844525911	0.723705583865	0.725526858198	0.689052075909	0.721493902101	0.700608288622	0.627268258646	0.740253009312	0.673960864776	0.677193505464	0.695124842606	0.761485240133	0.750774607524	0.640622462094	0.741896045152	0.632986766853	0.703267984535	0.636912278068	0.6530885924	0.780235719256	0.74412855931	0.749736603922	0.680946605348	0.729409499014	0.691561494273	0.643272447345	0.749391820632	0.718900128457	0.699021059071	0.685607547811	0.711238916043	0.714337069713	0.679401476596	0.710914767394	0.713252116588	0.727559821824	0.720374387816	0.682997019056	0.649346456054	0.641488116169	0.673817570494	0.697266307778	0.710142472591	0.59085847062	0.642451969519	0.67564328206	0.717122485385	0.740755688525	0.729295571418	0.680982054281	0.691851219051	0.719447921783	0.689413597157	0.618865765505	0.664244575604	0.682813836676	0.650844019576	0.658022698504	0.642195837822	0.663050564446	0.644225361824
CS.007	0.554695400827	0.560953257977	0.513203815115	0.53463581548	0.505231020386	0.676538342872	0	0.618714162787	0.559093020985	0.514433382802	0.565585648395	0.618126741281	0.582372295784	0.508000772183	0.594483615694	0.620021692994	0.676748196493	0.664735733513	0.588568007041	0.592242045842	0.588028920439	0.648133083596	0.507789788995	0.702483449855	0.621421275346	0.562414384553	0.655085722067	0.576214612261	0.740740648035	0.534626228561	0.655647334921	0.65136526046	0.657946337735	0.55587296215	0.648220091819	0.684155510239	0.625691803084	0.741322953341	0.60652465219	0.588339421429	0.695452690664	0.721672300385	0.542848365897	0.640608598568	0.514745281083	0.651137000249	0.607717177821	0.626326783596	0.629420350086	0.623020847051	0.718356702364	0.680693140355	0.626027096836	0.727971421239	0.604309544858	0.605629544268	0.604911810605	0.672312285008	0.728862346169	0.617114720103	0.501122041374	0.651672299298	0.568047318813	0.564141643939	0.711572219453	0.533613114217	0.57832718604	0.582509303642	0.755378006104	0.665338749994	0.643782452246	0.523965108344	0.519778194929	0.519585102544	0.69539867031	0.512657049702	0.596078894283	0.51268557916	0.584563107625	0.561596172367	0.482715053007	0.518897646419	0.506647851871	0.504703385109	0.524733796056	0.590728622958	0.549124707696	0.594771839883	0.559341243751	0.50128041142	0.638289162782	0.655171746864	0.574315222843	0.607073102699	0.637114946742	0.577121229512	0.568888894381	0.529429559267	0.69781230106	0.479225241861	0.524773465153	0.519934664006	0.563218278814	0.513028745123	0.551785743977	0.631948665782	0.746374988466	0.569786047611	0.667780908135	0.631459072787	0.671659559941	0.626560021876	0.632176840549	0.582973035218	0.645075709096	0.662025310487	0.555032798282	0.599024650938	0.756428420335	0.714629570505	0.643007438184	0.635200399663	0.650674663718	0.612385010568	0.639670000518	0.51596391915	0.7680653925	0.638356846166	0.638477794599	0.518820171209	0.62510765387	0.563914795289	0.608558425232	0.708227083503	0.620231805536	0.60910202022	0.628710488623	0.636336881561	0.611215817885	0.665015575722	0.639897190363	0.624850082562	0.748459047354	0.532828653831	0.557862880099	0.508808691294	0.500098085443	0.566168931349	0.515248724403	0.54883920245	0.591500324277	0.526599032163	0.509995842719	0.571738839604	0.724973671837	0.553650773511	0.513313530423	0.549707025935	0.65162898048	0.499328627579	0.561155426072	0.516844761327	0.57166113499	0.537464600821	0.506477729019	0.55485441433	0.508980346719	0.505378809821
CS.199	0.581014158683	0.576119881481	0.611712684501	0.607858812905	0.604455841895	0.644174712416	0.618714162787	0	0.595611215466	0.533914441486	0.621634031197	0.59193034328	0.632938061031	0.616840166718	0.615412191413	0.587910012948	0.61257614785	0.606757958202	0.589093098067	0.612318609081	0.553129857044	0.637774142415	0.601819163675	0.633506079563	0.631152029576	0.60892885761	0.591101022843	0.618529248964	0.708643918754	0.593732206611	0.63845574302	0.658283293695	0.6350638884	0.612157095118	0.597177208217	0.68486160329	0.639988632638	0.706760278706	0.548026383757	0.58593048548	0.62449768669	0.684579308071	0.584580695728	0.603099621673	0.625631375424	0.671174548661	0.63952679003	0.63536701579	0.662623958042	0.658803240876	0.695822979571	0.690894071041	0.637623173818	0.696026936732	0.624872416681	0.596354432528	0.639801944448	0.65526818774	0.689327854586	0.634626242054	0.601251354404	0.635856535851	0.64541575171	0.610306797704	0.645218412218	0.625372085267	0.571337435561	0.629659291621	0.718452166295	0.694181081159	0.594556094942	0.58527985347	0.611272770116	0.608325805709	0.679517275783	0.632752941262	0.627451200835	0.647903360121	0.615054158859	0.637562597821	0.617032614725	0.644468461595	0.592698016795	0.616068841665	0.628799369935	0.630705615487	0.654589377925	0.642986758558	0.618879409586	0.653813505899	0.59652177216	0.617314140507	0.570239699128	0.555581932616	0.568006168836	0.593181509471	0.578891969414	0.559125133144	0.678678116747	0.603034969506	0.60049058216	0.618680638419	0.600518049702	0.56645435742	0.625312986016	0.50410095356	0.633019585202	0.598763009744	0.609270063359	0.660350175563	0.612749525066	0.613555731244	0.641124854338	0.602023664887	0.661812497248	0.651616471903	0.57887135707	0.61723236361	0.707794160937	0.661721902838	0.564071554862	0.621465802655	0.555415561354	0.637723208704	0.585920331157	0.592194470918	0.702891530032	0.613443346008	0.630833952255	0.604231087115	0.6116597618	0.619336289726	0.562319116841	0.65250471532	0.631294094021	0.610805932314	0.628495948372	0.656978881294	0.630533770862	0.623909084197	0.648630437278	0.643712456416	0.705111667653	0.620759032687	0.582017489309	0.612901198154	0.596110377598	0.606257587353	0.595168972353	0.60619285188	0.614461920654	0.598715768971	0.630189830842	0.615133753466	0.696174146769	0.590359767158	0.607582137595	0.606867230954	0.646783584151	0.611973555548	0.605347169712	0.603835988073	0.630355366311	0.63006497408	0.628282992401	0.629229957714	0.611706045047	0.637752128141
L.012.M1	0.583238613815	0.618239235991	0.546008250681	0.565802189073	0.52457441496	0.671609258651	0.559093020985	0.595611215466	0	0.579704817141	0.566769792694	0.60915748813	0.513800322848	0.481923658719	0.57462813063	0.643592491782	0.676196020088	0.691101434672	0.653742219621	0.616868938208	0.606827090493	0.680313311309	0.569319646912	0.705578360957	0.635408984039	0.632526370756	0.662555624914	0.613643594053	0.738900678828	0.560308317478	0.680431249574	0.690136103182	0.68712316321	0.630736770805	0.669456719364	0.715071532924	0.672771753537	0.756203149985	0.647370139801	0.647230063727	0.71642804466	0.730883906043	0.604515817185	0.657953432205	0.54181943658	0.69969629107	0.675414447663	0.677666807978	0.673333550888	0.676477553977	0.76500890322	0.724605902946	0.675894668075	0.758414203614	0.61295453849	0.638974595769	0.689990406363	0.713551846023	0.745628614858	0.642884052742	0.506858082267	0.637392151458	0.520675670115	0.603401777472	0.698265911458	0.588654580277	0.58579999197	0.61876922268	0.739616084046	0.715190025782	0.619203560454	0.552167390955	0.560147788791	0.579405122503	0.698565291248	0.551897556731	0.563241119028	0.503682342489	0.602083896029	0.519519202504	0.53935507465	0.557330437756	0.562688861079	0.529114024567	0.57341854237	0.553278350504	0.566409361694	0.563821781593	0.57791922977	0.516950704242	0.661426972393	0.662423900481	0.566733335716	0.626447567036	0.662529500504	0.5711603283	0.584654805876	0.562688258187	0.702075729715	0.531999760615	0.535210368912	0.578213017108	0.591318282757	0.600803146745	0.576925594436	0.627983776872	0.735149889842	0.625578687227	0.678991646377	0.690494054864	0.704490086107	0.664476517415	0.665844873059	0.599442154892	0.681630209562	0.648257579449	0.62652173781	0.646401459575	0.753549341672	0.736024460517	0.658112663565	0.675451711835	0.671296307335	0.676250718527	0.665155020735	0.568662640382	0.786153906739	0.650600907201	0.655754542656	0.575868874654	0.667627203055	0.603796692243	0.624252231056	0.733409833133	0.674926194589	0.629699354037	0.645003423525	0.692684273835	0.675817036163	0.692391600978	0.673656058681	0.66963516151	0.754244178332	0.607534140738	0.565796978908	0.547828598156	0.546158062523	0.569333674914	0.522296923685	0.581799400258	0.577344652553	0.567434852243	0.530086299451	0.587063332828	0.70596108325	0.575377789008	0.506931719812	0.562389534488	0.628720874688	0.580914757916	0.546844535029	0.554724537571	0.5581884894	0.508880045579	0.515976392039	0.548892525272	0.553558593829	0.552224429848
CS.104	0.528159399582	0.561468030658	0.528246671864	0.558521264299	0.534864640983	0.649058498438	0.514433382802	0.533914441486	0.579704817141	0	0.560978325139	0.568444354174	0.579611517554	0.581243671166	0.57707501261	0.575258997306	0.631737347299	0.5955114371	0.575843484709	0.575390277323	0.542098354009	0.625861815716	0.534779237422	0.6452527748	0.602273683531	0.551775688418	0.601528348002	0.589936701484	0.731147844906	0.505688295193	0.640699516128	0.651198266375	0.619643560331	0.536969229524	0.607712261333	0.662737856514	0.614296060449	0.729451726192	0.546277378539	0.565062115136	0.619315323724	0.690383114291	0.540166800314	0.604793507429	0.53733755415	0.659665713556	0.607561542662	0.626867390732	0.628152761991	0.625712606154	0.685199623362	0.682645818609	0.623402333309	0.704303854667	0.591308122865	0.588491391829	0.606117758215	0.646039279783	0.690233997907	0.602797307168	0.540363236525	0.620513796256	0.587500888611	0.55015509643	0.67109630597	0.560663173794	0.565653156303	0.619656588461	0.735346172707	0.672590263902	0.592608725974	0.521949238319	0.524936115163	0.546476077159	0.668141522262	0.566562926587	0.599075321305	0.571557724616	0.569920155422	0.571854735958	0.531288352424	0.587732337152	0.549655914168	0.549793695456	0.591781351672	0.576140047242	0.595755419397	0.595949578034	0.5866918384	0.55831746729	0.589614623974	0.592113394636	0.523258399037	0.538232398926	0.585713038944	0.555768990376	0.534515225628	0.511456600884	0.647033262825	0.523528787625	0.535499214573	0.542225308562	0.558776782218	0.518924241855	0.575109997849	0.54910047932	0.67596558901	0.586129668772	0.612800666593	0.631696411533	0.611035628961	0.617333641405	0.615911886785	0.572933293278	0.645948728735	0.624700981577	0.530553376911	0.591700278953	0.745197874792	0.667543636592	0.571482883887	0.628950086549	0.574708235268	0.636822426172	0.575076773746	0.511641097573	0.728552164422	0.614827097757	0.605091491961	0.520785684392	0.609383904107	0.57227713251	0.534249890106	0.63602198442	0.622977153599	0.589918219432	0.61116830764	0.634022430258	0.601408479458	0.606200688848	0.639063534905	0.610444092809	0.706087460489	0.553479008705	0.573425063043	0.558874619904	0.527451867293	0.566031329661	0.543798436209	0.562418081519	0.564652055616	0.562909051102	0.547024486173	0.600180740071	0.699852243296	0.564662769002	0.551256972999	0.548950426477	0.635700398837	0.541180998539	0.567445680912	0.526553287032	0.578241396669	0.587214978246	0.556559580248	0.575343796878	0.532025591414	0.572793305878
