g__Methanobrevibacter	k__Bacteria	g__Actinomyces	g__Bifidobacterium	g__Corynebacterium	g__Olsenella	f__Coriobacteriaceae	g__Collinsella	g__Senegalimassilia	f__Eggerthellaceae	g__Eggerthella	g__Enterorhabdus	g__Gordonibacter	g__Slackia	o__Thermoleophilales	f__Bacteroidaceae	g__Bacteroides	f__Barnesiellaceae	g__Barnesiella	f__Muribaculaceae	g__Butyricimonas	g__Odoribacter	f__Prevotellaceae	g__Massiliprevotella	g__Paraprevotella	g__Prevotella	g__Prevotellamassilia	f__Rikenellaceae	g__Alistipes	f__Tannerellaceae	g__Parabacteroides	f__Sphingobacteriaceae	g__Elusimicrobium	p__Firmicutes	f__Bacillaceae	f__Thermoactinomycetaceae	g__Granulicatella	g__Enterococcus	g__Lactobacillus	g__Weissella	g__Lactococcus	g__Streptococcus	o__Clostridiales	g__Colidextribacter	g__Flavonifractor	g__Flintibacter	g__Howardella	g__Intestinimonas	g__Pseudoflavonifractor	f__Clostridiaceae	g__Butyricicoccus	g__Clostridium	g__Hungatella	f__Clostridiales.Family.XIII..Incertae.Sedis	g__Ihubacter	g__Mogibacterium	f__Defluviitaleaceae	f__Eubacteriaceae	g__Eubacterium	f__Gracilibacteraceae	f__Lachnospiraceae	g__Anaerosporobacter	g__Anaerostipes	g__Blautia	g__Butyrivibrio	g__Coprococcus	g__Cuneatibacter	g__Dorea	g__Eisenbergiella	g__Faecalicatena	g__Fusicatenibacter	g__Hespellia	g__Lachnobacterium	g__Lachnoclostridium	g__Lachnospira	g__Muricomes	g__Parasporobacterium	g__Pseudobutyrivibrio	g__Robinsoniella	g__Roseburia	g__Tyzzerella	f__Oscillospiraceae	g__Oscillibacter	f__Peptococcaceae	f__Peptostreptococcaceae	g__Intestinibacter	g__Paeniclostridium	g__Romboutsia	g__Terrisporobacter	f__Ruminococcaceae	g__Acutalibacter	g__Caproiciproducens	g__Drancourtella	g__Faecalibacterium	g__Gemmiger	g__Negativibacillus	g__Ruminiclostridium	g__Ruminococcus	g__Sporobacter	g__Subdoligranulum	f__Erysipelotrichaceae	g__Catenibacterium	g__Erysipelatoclostridium	g__Holdemanella	g__Holdemania	g__Longibaculum	g__Turicibacter	g__Phascolarctobacterium	g__Megamonas	g__Mitsuokella	g__Propionispira	g__Allisonella	g__Dialister	g__Megasphaera	g__Veillonella	g__Fusobacterium	f__Victivallaceae	g__Victivallis	c__Alphaproteobacteria	f__Kiloniellaceae	g__Duodenibacillus	g__Parasutterella	g__Sutterella	f__Desulfovibrionaceae	g__Desulfovibrio	f__Succinivibrionaceae	g__Succinivibrio	o__Enterobacterales	f__Enterobacteriaceae	g__Haemophilus	f__Spiroplasmataceae	g__Akkermansia
CS.263	0.00105694702453398	0.00224200883992057	0.000480430465697265	0.284671065274486	0	0.00185766446736276	0.000448401767984114	0.0508936006661969	0.0175837550445199	0.0102491832682083	0	0.00650182563576965	6.4057395426302e-05	0.00217795144449427	0.0016334635833707	0	0.0172634680673884	0	0.00198577925821536	0.0127474216898341	6.4057395426302e-05	0.000352315674844661	0.0420857087950804	3.2028697713151e-05	0.000864774838255077	0.0686374991992826	0.00214592274678112	0.000384344372557812	0.00214592274678112	0	0.00246620972391263	0.000128114790852604	0	0.000128114790852604	9.6086093139453e-05	0.001697520978797	3.2028697713151e-05	0	0.00121709051309974	0	0	0.00166549228108385	0.0161424636474281	0	9.6086093139453e-05	0.00032028697713151	6.4057395426302e-05	0.000608545256549869	6.4057395426302e-05	0.000352315674844661	0.00294664018960989	0.00172954967651015	0.000768688745115624	0.000448401767984114	0.00032028697713151	0	0.00137723400166549	0.00118506181538659	0.0494843379668183	9.6086093139453e-05	0.00749471526487733	0.000800717442828775	0.00425981679584908	0.0787905963743514	3.2028697713151e-05	0.00525270642495676	0.000288258279418359	0.00787905963743514	0.000128114790852604	9.6086093139453e-05	0.0100249823842163	0.000576516558836718	0.000192172186278906	0.00285055409647044	0.00032028697713151	0	0.000480430465697265	0.000192172186278906	0.00032028697713151	0.00832746140541926	0.000448401767984114	0.0017615783742233	0.00397155851643072	3.2028697713151e-05	0	0.000128114790852604	0	0.00195375056050221	0	0.00586125168150663	0.0177118698353725	0.000128114790852604	0	0.115655627442188	0.02927422970982	0.000192172186278906	0.000512459163410416	0.0275126513355967	0.00172954967651015	0.00317084107360195	0.000224200883992057	0.0141246556914996	0	0.000448401767984114	0	0	3.2028697713151e-05	0.000192172186278906	0	0	0	0.000128114790852604	0.00432387419127538	0.0049003907501121	3.2028697713151e-05	0	0.000288258279418359	3.2028697713151e-05	0	0.00147332009480495	0.0103452693613478	0	0.00172954967651015	0.000160143488565755	0.00403561591185702	0	3.2028697713151e-05	0	0.000864774838255077	6.4057395426302e-05	0.000160143488565755	0.000384344372557812
CS.043	7.70445702839092e-05	0.000577834277129319	0.00208020339766555	0.00300473824107246	0	0.000731923417697138	0.00285064910050464	0.0437613159212605	0.00581686505643515	3.85222851419546e-05	0.000192611425709773	0.00134827997996841	7.70445702839092e-05	0.00192611425709773	0	0.000192611425709773	0.196232520513117	0.000231133710851728	3.85222851419546e-05	0.0114025964020186	0.00130975769482646	0	0.00878308101236565	0	0	0.0846719827420163	0	0	0.011864863823722	0.000115566855425864	0.0141762009322393	0.000115566855425864	0	3.85222851419546e-05	0	0.00346700566277592	0.000115566855425864	0	0.00200315882738164	0.0028891713856466	0.000808967987981047	0.00951500443006279	0.0459185638892099	0	0.000115566855425864	0.00612504333757078	0.00050078970684541	0.00188759197195578	0.000192611425709773	0.00720366732154551	0.001694980546246	0.00327439423706614	0.00997727185176625	0.000539311991987365	0.00254247081936901	0.000154089140567818	0.000231133710851728	0.00654878847413229	0.0310489618244154	0	0.0411032782464656	3.85222851419546e-05	0.00100157941369082	0.0494240918371278	3.85222851419546e-05	0.0281597904387688	0	0.0148696020647945	7.70445702839092e-05	7.70445702839092e-05	0.00435301822104087	0.000423745136561501	3.85222851419546e-05	0.00785854616895874	0.000924534843406911	0.00658731075927424	0.000886012558264956	0	3.85222851419546e-05	0.0298162486998729	0.00250394853422705	0.00161793597596209	0.0165260603258985	7.70445702839092e-05	0	0.00616356562271274	0.00184906968681382	0.000616356562271274	0.000577834277129319	0.0113640741168766	0.000577834277129319	0	0.00104010169883277	0.0605955545282946	0.0148310797796525	0.00681844447012597	0.000808967987981047	0.0504256712508186	0.00835933587580415	0.00793559073924265	0.00666435532955815	0.00859046958665588	0.000423745136561501	0.0117107746831542	7.70445702839092e-05	0	0	0.027158211025078	0	0	0	0	0	0	0.000924534843406911	0	0	0	0	0	7.70445702839092e-05	7.70445702839092e-05	0.0189914865749836	3.85222851419546e-05	0.0045841519318926	0	3.85222851419546e-05	0.00512346392387996	0.00412188451018914	0.000886012558264956	0.000808967987981047	0
CS.101	0.00108764297242299	0.000105255771524805	0.000350852571749351	0.00417514560381728	0.000105255771524805	0.00750824503543611	0.00298224685986948	0.0356115360325591	0.00754333029261104	0.00112272822959792	0	0.0111921970388043	0	0.00182443337309662	0	0.00119289874394779	0.0148410637849975	0	0	0.000842046172198442	0.000526278857624026	0.000350852571749351	0.0153322573854466	0.00136832502982247	0	0.261736018525016	0.0414707739807733	0.000596449371973897	7.01705143498702e-05	0.00280682057399481	3.50852571749351e-05	0.00712230720651182	3.50852571749351e-05	7.01705143498702e-05	0.000175426285874675	0.00252613851659533	0.00014034102869974	7.01705143498702e-05	0.00635043154866325	0.000806960915023507	0	0.0014034102869974	0.0177180548733422	0.000210511543049611	0	0.00375412251771805	0.000526278857624026	0.000842046172198442	0.000105255771524805	0.00308750263139429	0.00273665005964494	0.0317872430004912	0.00775384183566066	0.000385937828924286	0.00112272822959792	0.00375412251771805	7.01705143498702e-05	0.00178934811592169	0.0442775945547681	0.000175426285874675	0.0101747245807312	7.01705143498702e-05	0.000350852571749351	0.0458915163848151	0.00705213669216195	0.0216826889341099	0	0.0103852361237808	0	0.00014034102869974	0.00178934811592169	0.000596449371973897	0.000105255771524805	0.00982387200898183	0.0039997193179426	0.000701705143498702	0	0.000280682057399481	0.000456108343274156	0.0146656374991229	0.000982387200898183	0.0019998596589713	0.00385937828924286	0.000315767314574416	3.50852571749351e-05	0.000245596800224546	0	0.0279278647112483	0	0.0285944845975721	0.000315767314574416	0.000175426285874675	0	0.0316469019717915	0.0263490281383763	0.00126306925829766	0.0074029892639113	0.0666619886323767	0.00298224685986948	0.000421023086099221	0.00270156480247	0.0146305522419479	0	0.00764858606413585	0	0	0	0.00175426285874675	0	0	0	0.000315767314574416	0.0258227492807522	0.00105255771524805	0.000175426285874675	0	0.000631534629148832	0.000175426285874675	0	0	0.030804855799593	0	0.00908708160830819	0.00014034102869974	0.00449091291839169	0	0	0.00182443337309662	0.00182443337309662	0.0019998596589713	0	0
CS.017	0	7.3062029663184e-05	0.00018265507415796	0.00179001972674801	0	0	0.00204573683056915	0.0301380872360634	0.00226492291955871	0.000255717103821144	0	0.000876744355958208	0	0.00113246145977935	0	0.00672170672901293	0.00672170672901293	0	0	0.00299554321619055	0.000292248118652736	0.000438372177979104	0.0221012639731132	0	0	0.30656827646672	0.0592533060568423	7.3062029663184e-05	0.000401841163147512	0	0.00347044640900124	0.00325126032001169	0	7.3062029663184e-05	7.3062029663184e-05	0.0013881785636005	0.000109593044494776	0	0.00124205450427413	0.000949806385621393	0	0.00515087309125447	0.0281288814203259	0	0	0.00157083363775846	0	0.000840213341126616	3.6531014831592e-05	0.00157083363775846	0.00208226784540075	0.0322568860962958	0.00774457514429751	0.00102286841528458	0.00073062029663184	0	0.00131511653393731	0.000584496237305472	0.0377730693358662	3.6531014831592e-05	0.035727332505297	0.000146124059326368	0.00299554321619055	0.0341564988675385	0	0.0146489369474684	7.3062029663184e-05	0.0116168627164463	0	0	0.00116899247461094	0.00036531014831592	0	0.0139183166508366	0.00116899247461094	0.000474903192810696	7.3062029663184e-05	7.3062029663184e-05	0.000219186088989552	0.00675823774384452	0.00102286841528458	0.00116899247461094	0.00489515598743333	0.000146124059326368	3.6531014831592e-05	0.00252064002337985	0.000401841163147512	0.0323664791407905	0.00153430262292687	0.0134434134580259	3.6531014831592e-05	0.000109593044494776	0	0.0782859647841017	0.00938847081171915	3.6531014831592e-05	0.00171695769708483	0.0688244319427194	0.000584496237305472	0.00131511653393731	0.00376269452765398	0.00657558266968656	0	0	0	3.6531014831592e-05	0.00142470957843209	0.00657558266968656	0	0	0.025608241396946	0.00036531014831592	0.0199094030832177	0	0	0	0	0	0	0	0.00697742383283408	0	0.00653905165485497	0.000840213341126616	0.000255717103821144	0	0.000219186088989552	0.00153430262292687	0.000474903192810696	0.00036531014831592	0	0
CS.357	0	0	0.000159300237502172	0.0131350286740428	5.7927359091699e-05	0.000680646469327463	0.000144818397729248	0.0763482592828593	0.00402595145687308	0.000101372878410473	0	0.000637200950008689	0	0.00127440190001738	0.000448937032960667	0.00196953020911777	0.00143370213751955	1.44818397729248e-05	0.000144818397729248	0.0014047384579737	2.89636795458495e-05	0.000144818397729248	0.00645890053872444	0.00217227596593871	0	0.284597115217517	0.046776342466547	7.24091988646238e-05	0.000593755430689915	0.000868910386375485	4.34455193187743e-05	1.44818397729248e-05	1.44818397729248e-05	0	2.89636795458495e-05	0.000810983027283786	2.89636795458495e-05	0	0.00483693448415687	0.00057927359091699	0.00057927359091699	0.0155100503968024	0.00611133638417425	7.24091988646238e-05	4.34455193187743e-05	0.000868910386375485	0.000318600475004345	0.000868910386375485	0.000144818397729248	0.000246191276139721	0.00501071656143196	0.00265017667844523	0.00228813068412211	0.000260673115912646	0.00137577477842785	1.44818397729248e-05	0.00114406534206106	0.000260673115912646	0.00955801425013034	2.89636795458495e-05	0.0658923709668076	2.89636795458495e-05	0.00144818397729248	0.0183774546718415	0	0.0141053119388287	0	0.016161733186584	0	0.000130336557956323	0.00278051323640155	0.000173782077275097	4.34455193187743e-05	0.00330185946822684	0.00212883044661994	0.000130336557956323	0	8.68910386375485e-05	5.7927359091699e-05	0.0174361350866014	0.000448937032960667	0.000550309911371141	0.00186815733070729	0.000115854718183398	0	0.0164368881422696	0	0.00441696113074205	4.34455193187743e-05	0.0109337890285582	8.68910386375485e-05	0	0	0.0720037073509819	0.00356253258413949	0.000144818397729248	8.68910386375485e-05	0.044270984185831	0.000767537507965012	0.000231709436366796	0.00632856398076812	0.0472107976597347	5.7927359091699e-05	0.0578549498928344	0	0	0.000347564154550194	0.00660371893645369	0	0.00260673115912646	0	0.000188263917048022	0.0178126629206974	0.00250535828071598	0.0108034524706019	8.68910386375485e-05	1.44818397729248e-05	0	0	0	0.00328737762845392	0	0.0030411863523142	0.000419973353414818	0.000405491513641893	0.000101372878410473	0.0346260788970631	0.00656027341713491	0.00172333893297805	0.000999246944331808	0	0
CS.244	0.00027027027027027	0.00324324324324324	0.00101351351351351	0.00351351351351351	0	0.0027027027027027	0.00398648648648649	0.0163513513513514	0.00141891891891892	6.75675675675676e-05	0	0.00925675675675676	0	0.0052027027027027	0.00027027027027027	0.00554054054054054	0.0133783783783784	0.00358108108108108	0	0	0	6.75675675675676e-05	0.00709459459459459	6.75675675675676e-05	0	0.208918918918919	0.020472972972973	0.000472972972972973	0.000405405405405405	0	0	0	0	0.0251351351351351	0	0.00398648648648649	0	6.75675675675676e-05	0.0608783783783784	0	0.0022972972972973	0.00439189189189189	0.0333783783783784	0.000135135135135135	0	6.75675675675676e-05	0	0.0022972972972973	0	0.000743243243243243	0.00628378378378378	0.000202702702702703	0.00986486486486486	6.75675675675676e-05	0.000608108108108108	0.0197972972972973	0.00317567567567568	0.00027027027027027	0.0238513513513514	0	0.0181756756756757	6.75675675675676e-05	0.000135135135135135	0.0202027027027027	0.0136486486486486	0.0259459459459459	0	0.0097972972972973	0	0	0.000540540540540541	6.75675675675676e-05	0	0.00304054054054054	0.00027027027027027	0.00195945945945946	0	0.000135135135135135	0	0.0481081081081081	0.000878378378378378	0	0.00472972972972973	0.00182432432432432	0	0.0110135135135135	0	0.0202702702702703	0	0.0136486486486486	0.000135135135135135	0	0	0.0310810810810811	0.000540540540540541	0	0	0.0619594594594595	0.00391891891891892	0.000743243243243243	0.0181756756756757	0.00195945945945946	6.75675675675676e-05	0.00452702702702703	0	6.75675675675676e-05	0	0.0118243243243243	6.75675675675676e-05	0.000135135135135135	0	0.00195945945945946	0.00216216216216216	0	0.000202702702702703	0.000608108108108108	0.00939189189189189	0.000135135135135135	0	0.00236486486486486	0.00601351351351351	0	0.01	0	0.000202702702702703	0	0.0125	0.0124324324324324	0.0119594594594595	0.00425675675675676	0.0550675675675676	0
CS.007	0.000979581174626671	2.17684705472593e-05	0.000565980234228743	0.0459314728547172	2.17684705472593e-05	4.35369410945187e-05	0.00282990117114372	0.0387696460446689	0.00589925551830728	0.00143671905611912	4.35369410945187e-05	0.00328703905263616	2.17684705472593e-05	0.00457137881492446	0.00152379293830815	0.0193304018459663	0.00659584657581958	2.17684705472593e-05	2.17684705472593e-05	0	0.000130610823283556	0	0.0263833863032783	0	0	0.288649919456659	4.35369410945187e-05	0	0.00067482258696504	0	0.000696591057512299	8.70738821890374e-05	0	0	4.35369410945187e-05	0.00102311811572119	0.000152379293830815	0	0.00132787670338282	0	6.5305411641778e-05	0.00494144281422787	0.0164351952631808	0.000130610823283556	0	0.000740127998606818	0.000174147764378075	0.00111019199791023	2.17684705472593e-05	0.00165440376159171	0.00206800470198964	6.5305411641778e-05	0.00304758587661631	0.000565980234228743	0.00143671905611912	4.35369410945187e-05	0.000239453176019853	0.000457137881492446	0.035003700639993	4.35369410945187e-05	0.00881623057164004	6.5305411641778e-05	0.00145848752666638	0.0294309721798946	0	0.0181549044364143	4.35369410945187e-05	0.0213548696068614	0	0.000130610823283556	0.00531150681353128	0.000261221646567112	2.17684705472593e-05	0.00748835386825722	4.35369410945187e-05	0.000239453176019853	0.000217684705472594	0	4.35369410945187e-05	0.0481083199094432	0.00102311811572119	0.000827201880795855	0.00296051199442727	8.70738821890374e-05	0.000108842352736297	0.000108842352736297	0	0.0161086682049719	0.00141495058557186	0.00933867386477426	0.000805433410248596	0.000587748704776002	0	0.0726631546867517	0.0197440027863642	0.000217684705472594	0.000195916234925334	0.052875614959293	0.00102311811572119	0.00156732987940267	0.00822848186686403	0.0101658757455701	4.35369410945187e-05	0.0409464930993948	0	0	0	0.0276459575950194	0	0	0.00709652139840655	0.00100134964517393	0.0142583482084549	0	0	0	0.000282990117114372	0	0	0	0	0	0.0325438634681527	8.70738821890374e-05	0.00929513692367974	0	0	6.5305411641778e-05	0.000217684705472594	2.17684705472593e-05	8.70738821890374e-05	4.35369410945187e-05
CS.199	0	0	0.00604942625396739	0.0102813118845455	5.42549439817703e-05	0.000678186799772129	0.0292162873341833	0.0708027018962103	0.129615061172449	0.01133928329219	0.000434039551854163	0.0149743645389686	2.71274719908852e-05	0.0546076011176518	0	0	0.00802973170930201	0	0	2.71274719908852e-05	0.00138350107153514	0	0.00518134715025907	0	0	0.1235113799745	0.0149201095949868	0.000813824159726555	0.00132924612755337	0	0.00179041315139842	2.71274719908852e-05	0	0	2.71274719908852e-05	8.13824159726555e-05	0	0.00162764831945311	0.00455741529446871	5.42549439817703e-05	5.42549439817703e-05	0.0380598432032119	0.0383582453951116	2.71274719908852e-05	0.000488294495835933	0.00154626590348045	0	0.00632070097387624	0.000569676911808589	0.00187179556737108	0.00824675148522909	0.00781271193337493	0.00195317798334373	0.0007324417437539	0.00195317798334373	0.00762281962943873	2.71274719908852e-05	0	0.0489650869435477	0	0.0225700566964165	8.13824159726555e-05	0.00170903073542577	0.064726148170252	0	0.00480156254238668	5.42549439817703e-05	0.0116919404280715	0	0.000162764831945311	0.00222445270325258	0.00122073623958983	0	0.00271274719908852	0.000325529663890622	8.13824159726555e-05	2.71274719908852e-05	0	0	0.00963025255676423	0.000434039551854163	0.00282125708705206	0.0114749206521444	0	0	8.13824159726555e-05	0	0.000189892303936196	0	0.00263136478311586	0.00116648129560806	0	0	0.0787239237175488	0.0175514743781027	0.000189892303936196	0.000162764831945311	0.0233024984401704	0.00303827686297914	0.0104983316604726	0.0007324417437539	0.00436752299053251	0	0.00477443507039579	0	0	2.71274719908852e-05	0.00141062854352603	2.71274719908852e-05	0	0	0.000461167023845048	8.13824159726555e-05	0	0.00821962401323821	2.71274719908852e-05	0	0	0	0	5.42549439817703e-05	8.13824159726555e-05	0.0109052437403358	0.000298402191899737	0.0012749911835716	0	0	0.0054797493421588	0.0160865908905949	0.00181754062338931	0	0.000515421967826818
L.012.M1	0	7.36566861856885e-05	3.68283430928443e-05	5.52425146392664e-05	0	0.000791809376496151	0.00546900894928737	0.030143998821493	0.00405111774021287	0.000386697602474865	0	0.014178912090745	0	0.00114167863587817	0	0.00243067064412772	0.00338820756454167	0	0	0.00112326446433175	0.000128899200824955	0.000147313372371377	0.021157883106839	0	0	0.0857916252347807	0.016664825249512	1.84141715464221e-05	5.52425146392664e-05	0.00143630538062093	0.000276212573196332	1.84141715464221e-05	0	9.20708577321106e-05	0.000165727543917799	0.00197031635546717	0	5.52425146392664e-05	0.000220970058557066	0.00395904688248076	0.00697897101609399	0.0282841674953044	0.0253379000478768	0.00130740617979597	0.00025779840164991	0.000534010974846242	0	0.00375649099547011	0.000239384230103488	0.000883880234228262	0.00171251795381726	0.0166279969064192	0.0020808013847457	0.00314882333443818	0.00128899200824955	0	0.000313040916289176	0.000718152690310463	0.0417633410672854	3.68283430928443e-05	0.0102382793798107	5.52425146392664e-05	9.20708577321106e-05	0.0161676426177586	0	0.00513755386145177	7.36566861856885e-05	0.0148418222664162	0	1.84141715464221e-05	0.00381173351010938	0.000534010974846242	5.52425146392664e-05	0.00418001694103782	0.000128899200824955	0.000681324347217619	7.36566861856885e-05	0.00217287224247781	0.00060766766103193	0.0730858468677494	0.000791809376496151	0.00139947703752808	0.0142893971200236	0.000128899200824955	1.84141715464221e-05	0.0319854159761352	0.000386697602474865	0.00508231134681251	0.0144735388354878	0.065388723161345	0.000128899200824955	0	0	0.0723861083489854	0.0143814679777557	3.68283430928443e-05	0.00243067064412772	0.0364416454903694	0.00336979339299525	0.000626081832578352	0.0194637793245682	0.00534010974846242	0.00025779840164991	0.0485397561963687	0	0.000110485029278533	0.0017493462969101	0.0274555297757154	1.84141715464221e-05	0	0	0	0.00197031635546717	0	0.00150996206680661	1.84141715464221e-05	0	0	0	0	1.84141715464221e-05	1.84141715464221e-05	1.84141715464221e-05	0.000147313372371377	0.00307516664825249	0	0	0.0386697602474865	0.0267742054284978	0.0401428939712002	0.000276212573196332	1.84141715464221e-05
CS.104	0	0.00010512207300728	0.000840976584058238	0.0268324091351081	5.25610365036399e-05	0.00727970355575412	0.00215500249664923	0.139996320727445	0.0267272870621009	0.00199731938713831	0	0.00722714251925048	0	0.00559775038763764	0	0.00249664923392289	0.00854116843184148	0	2.62805182518199e-05	0.0106173293737352	0	0.000630732438043678	0.00310110115371475	5.25610365036399e-05	0	0.202727917794539	0.000683293474547318	0	0.00136658694909464	0	0.00312738167196657	0.0147170902210192	0	2.62805182518199e-05	0	0.00315366219021839	7.88415547554598e-05	2.62805182518199e-05	0.00722714251925048	2.62805182518199e-05	2.62805182518199e-05	0.00283829597119655	0.0121941604688444	0	0	0.00323250374497385	0	0.000551890883288218	0.000210244146014559	0.00152427005860556	0.00407348032903209	0.0605240335339413	0.00365299203700297	0.000946098657065517	0.00149798954035374	0.00446768810280939	0	0.00638616593519224	0.0529289637591653	0.000262805182518199	0.0156369083598329	0.0001314025912591	0.000788415547554598	0.0521668287298626	0	0.0141126383012273	0	0.00475677380357941	0	0.000289085700770019	0.00333762581798113	0.000289085700770019	0.00015768310951092	0.00370555307350661	0.000604451919791858	0.00010512207300728	0.000289085700770019	0	0.000893537620561878	0.0272528974271373	0.000709573992799138	0.00152427005860556	0.0073848256287614	0.000657012956295498	2.62805182518199e-05	0.00010512207300728	0	0.0405245591443063	0	0.00730598407400594	0.000446768810280939	0.000262805182518199	0	0.061732937373525	0.00846232687708602	0.000840976584058238	0.00507214002260125	0.0393419358229744	0.00360043100049933	0.00270689337993745	0.00333762581798113	0.000499329846784579	0	0.0101705605634543	0	0	0.000919818138813697	0.000289085700770019	0	2.62805182518199e-05	0.000183963627762739	0	0.0159522745788547	0	0.000525610365036398	2.62805182518199e-05	0	0	0	0	0.00678037370896954	0	0.0135081863814354	0.00010512207300728	0.00423116343854301	0	0	0.000499329846784579	0.000446768810280939	0.000499329846784579	0.00015768310951092	0.00223384405140469
