CS.199	CS.091	L.031.M1	CS.277	CS.280	L.006.M1	CS.297	CS.104	CS.257	CS.259	CS.357	CS.086	CS.093	L.033.M1	CS.019	CS.248	CS.118	CS.371.1	CS.186	CS.056	CS.230	CS.381	CS.062	CS.042	CS.072	CS.050	CS.040	CS.171	CS.388	CS.060	CS.205	CS.224	CS.375	CS.232	CS.380	CS.128	CS.376	CS.378	CS.213	CS.203	CS.236	CS.374	CS.126	CS.125	CS.302	CS.372	CS.386	CS.395	CS.214	CS.177	CS.254	CS.268	CS.348	CS.369	CS.147	CS.166	CS.323	CS.349	CS.178	CS.389	T.CS.041	T.CS.085	T.CS.050	T.CS.057	T.CS.067	T.CS.058	T.CS.029	T.CS.080	T.CS.034	T.CS.072	T.CS.046	T.CS.025	T.CS.071	T.CS.082	T.CS.079	T.CS.098	T.CS.115	T.CS.153	T.CS.180	T.CS.130	T.CS.107	T.CS.114	T.CS.117	T.CS.160	T.CS.106	T.CS.129	T.CS.159	T.CS.104	T.CS.100	T.CS.156	CS.087	L.024.M1	L.034.M1	CS.082	CS.237	CS.015	CS.103	CS.085	CS.110	CS.238	CS.088	CS.241	CS.246	CS.356	CS.006	CS.113	CS.387	CS.164	CS.191	CS.363	CS.308.0	CS.338	CS.234	CS.304	CS.364	CS.207	CS.311	CS.187	CS.274	CS.347.0	CS.227	CS.318	CS.080	CS.152	CS.343	CS.202	CS.158	CS.361	CS.194	CS.223	CS.112	CS.322	CS.319	CS.320	CS.321	CS.390	CS.145	CS.370	CS.255	CS.326	CS.262	CS.393	CS.253	CS.270	T.CS.036	T.CS.049	T.CS.064	T.CS.055	T.CS.066	T.CS.031	T.CS.026	T.CS.043	T.CS.061	T.CS.008	TFS.020	TFS.027	T.CS.045	TFS.025	TFS.021	T.CS.109	T.CS.157	T.CS.151	T.CS.166	T.CS.142	T.CS.152	T.CS.158	T.CS.095	T.CS.141
CS.199	0	0.629138864729	0.616888113512	0.599798021575	0.634016795129	0.59838336168	0.598582352654	0.533914441486	0.59193034328	0.614759797384	0.604455841895	0.59395118065	0.601298062652	0.604936215724	0.596713138193	0.580263552889	0.560245843391	0.615553668056	0.626508278035	0.637774142415	0.633506079563	0.596823434315	0.558761044235	0.589093098067	0.602675054218	0.61257614785	0.598560417816	0.553129857044	0.681187407288	0.587910012948	0.68486160329	0.706760278706	0.58593048548	0.584580695728	0.625631375424	0.612157095118	0.603099621673	0.654730102182	0.658283293695	0.604442640917	0.62449768669	0.6350638884	0.601961414352	0.639988632638	0.684579308071	0.63952679003	0.690894071041	0.662623958042	0.639801944448	0.654857803094	0.637623173818	0.644155031069	0.624872416681	0.696026936732	0.63536701579	0.671174548661	0.647795501586	0.634626242054	0.635939714192	0.623370102999	0.590648870388	0.598118511057	0.628500446886	0.679517275783	0.594425208863	0.625372085267	0.604179468996	0.629659291621	0.611272770116	0.605408495862	0.603335743649	0.573420831031	0.631574984049	0.608325805709	0.628303252005	0.637562597821	0.655082126807	0.624415793622	0.615054158859	0.617032614725	0.637359769948	0.627451200835	0.629893329521	0.660238900884	0.666227822475	0.654589377925	0.65787209561	0.615377974392	0.630705615487	0.610694919719	0.555581932616	0.625312986016	0.593181509471	0.601155403553	0.568006168836	0.600518049702	0.578891969414	0.570239699128	0.59652177216	0.56645435742	0.617314140507	0.603034969506	0.618680638419	0.678678116747	0.559125133144	0.565034016057	0.604025538685	0.633019585202	0.606420913554	0.613555731244	0.612749525066	0.617895272234	0.652048551796	0.643942067149	0.661721902838	0.654970397671	0.57887135707	0.61723236361	0.661812497248	0.60035435341	0.702891530032	0.613443346008	0.562319116841	0.604231087115	0.621465802655	0.637723208704	0.564071554862	0.626895729219	0.720830803965	0.631294094021	0.585920331157	0.640938288166	0.630833952255	0.619336289726	0.592194470918	0.630533770862	0.620759032687	0.643712456416	0.610805932314	0.628495948372	0.648630437278	0.623909084197	0.705111667653	0.656978881294	0.614461920654	0.646783584151	0.596110377598	0.6107843474	0.612901198154	0.598715768971	0.696174146769	0.606867230954	0.60619285188	0.615133753466	0.607582137595	0.595168972353	0.606257587353	0.590359767158	0.582017489309	0.628282992401	0.605347169712	0.637752128141	0.611973555548	0.630355366311	0.603835988073	0.611706045047	0.63006497408	0.629229957714
CS.091	0.629138864729	0	0.643198858229	0.618620356369	0.683762555855	0.679132403876	0.66852764813	0.598029753227	0.684295709462	0.678726743558	0.667841656743	0.670424817223	0.674311473737	0.661997719792	0.652853496906	0.543966456263	0.647089752952	0.641736310701	0.692827556428	0.593519869272	0.641861245666	0.598561245729	0.627223345647	0.629046171138	0.641129519547	0.647294622526	0.663885490476	0.64593929156	0.684613027263	0.585724948544	0.599934234823	0.657047273827	0.587707166895	0.615556587281	0.649368997943	0.60204215205	0.575236441227	0.633935496544	0.592164775654	0.65398002027	0.653057113892	0.590344513873	0.60254005793	0.599348945718	0.624189956138	0.576248226142	0.633642899238	0.608489038794	0.584976202141	0.585747745273	0.600084945964	0.602979199517	0.617058050893	0.622624559083	0.573978393442	0.616915953548	0.566864684007	0.577915825452	0.633870978415	0.557448403015	0.661827321431	0.652372502478	0.665626541954	0.646425469291	0.650269319525	0.657544984479	0.644473990785	0.626868722248	0.676739345242	0.639167681607	0.606653451347	0.631260264988	0.669965228225	0.66500469759	0.607088003003	0.692281292437	0.687361176418	0.676789890156	0.679957225991	0.653809435101	0.683781139594	0.680189176551	0.644177794621	0.682530916823	0.706720582659	0.668908401379	0.697685181822	0.683044322753	0.698159486645	0.666203527521	0.653690740445	0.691066357893	0.651363871708	0.629815818598	0.591414254023	0.68731094086	0.625760274416	0.616654416442	0.60117876755	0.630638573349	0.706770624454	0.668482059076	0.648002494769	0.653374104747	0.636858825948	0.646659980718	0.59683970127	0.678063421476	0.65158849238	0.593409827968	0.612517757843	0.615889177147	0.636885755825	0.633106506911	0.61254858206	0.612086027328	0.645929316744	0.591838672523	0.595485877787	0.595287544756	0.636678209721	0.588031831924	0.584395620989	0.62545218816	0.567247007776	0.653960598354	0.608201042985	0.620209294098	0.664982165957	0.575314251163	0.622108829513	0.61093121022	0.56948650895	0.589657111457	0.66000290009	0.562146185704	0.622386889263	0.615450615685	0.579821166252	0.584358624469	0.607573052032	0.647181607244	0.644860979719	0.579021189982	0.65629291823	0.635305462393	0.651786832661	0.662373043497	0.680388415063	0.65924844437	0.665394560387	0.671588652849	0.650939940153	0.660878115565	0.677055872543	0.677966531408	0.661896879901	0.638798046486	0.659618910879	0.672990442325	0.675727722662	0.683121461201	0.646999934028	0.695690330518	0.650348332491	0.657891174495	0.702469643689	0.707000162821
L.031.M1	0.616888113512	0.643198858229	0	0.536154014012	0.55917739607	0.568214924518	0.580801477228	0.58029162553	0.606769662051	0.581200404472	0.578649067292	0.549326830657	0.54423326263	0.66208851805	0.593799162213	0.569801797461	0.614125698356	0.661840031696	0.549761302332	0.652446429378	0.671640420015	0.540518766111	0.576534639225	0.659629784893	0.523685477279	0.66600953139	0.605889956161	0.610339796877	0.727775951566	0.629459926806	0.669743250299	0.7340797471	0.627759379439	0.541004993304	0.574044049544	0.58799290494	0.612397676664	0.688207217129	0.663859799681	0.598919146166	0.660309836803	0.62429646539	0.549905150049	0.617950487844	0.695477706579	0.606951183011	0.700742306593	0.581639957505	0.628128140792	0.67165619102	0.605283001455	0.624266926623	0.528207584291	0.700718599015	0.637054233001	0.643397718737	0.569604842858	0.583324663164	0.602873341439	0.594473169574	0.585392484059	0.584000684642	0.618940497953	0.712756164608	0.583146179443	0.6018309197	0.594431545677	0.675416074178	0.595048304089	0.5288325097	0.61620009606	0.580525387084	0.575069334638	0.591443919492	0.658049660627	0.536290373788	0.498680159047	0.502115952917	0.543045757002	0.496414015963	0.546216042846	0.566052499773	0.573816862378	0.504307447913	0.548174283239	0.531223665354	0.529103265485	0.529675500127	0.561216468136	0.575172642909	0.659468131932	0.628407235172	0.611864326653	0.519300052964	0.620337923218	0.662770017004	0.575609343217	0.526167990035	0.637754980786	0.606813642919	0.716845778915	0.583715368849	0.528330200269	0.687883710802	0.583661209211	0.658772410929	0.610027695742	0.714527354162	0.570635089423	0.621049007334	0.661542033807	0.573012027996	0.630056563455	0.677980408066	0.685828223075	0.638179856948	0.651916462232	0.59013964895	0.658209241529	0.679521294753	0.7702824753	0.625964995845	0.599003459214	0.517715808445	0.628012729718	0.676598635382	0.627494978631	0.664728918181	0.736038038009	0.593564658834	0.622570284186	0.672630632564	0.61920519999	0.586961569705	0.608755587436	0.639060949819	0.571908078567	0.624438547934	0.568936692217	0.580237507582	0.672325183015	0.653214793683	0.701495978527	0.633051998095	0.543262037255	0.628745245278	0.590385882025	0.608455123005	0.554071549009	0.597382281016	0.713801010643	0.621834185137	0.620288707949	0.667292663502	0.525536945391	0.620418948166	0.621932941045	0.627586843343	0.643722827803	0.533714892148	0.609213032821	0.627246962057	0.537372321605	0.66968169574	0.552338675826	0.508388949929	0.5702968137	0.664582789338
CS.277	0.599798021575	0.618620356369	0.536154014012	0	0.554385426497	0.551858395992	0.497046024961	0.559097488548	0.60036647642	0.504268421284	0.541005199184	0.578694402629	0.571943130138	0.597874445257	0.557649054148	0.579983613517	0.600664036264	0.555835671362	0.567191521002	0.611262781113	0.651958461053	0.524430406918	0.534060505291	0.60375957462	0.52417908695	0.626383911026	0.584609430767	0.60318008355	0.661201491137	0.584830934008	0.625969755387	0.70661730477	0.562904852679	0.559586474176	0.514135323666	0.532268509225	0.585957608356	0.648543060377	0.618335122012	0.558074300614	0.668029977954	0.613300347629	0.5177324461	0.603718134947	0.645876981014	0.587438667243	0.668144137609	0.592108635051	0.584108381947	0.630072909511	0.598675691834	0.640756017852	0.565239566507	0.677792776556	0.596222944799	0.622982769071	0.584541687076	0.559475619519	0.552574152741	0.598220062507	0.542894771652	0.538693983671	0.590333400415	0.638991066427	0.522319329346	0.550764778549	0.595120974683	0.534724189836	0.525426603299	0.541826294919	0.561488610834	0.544958145621	0.534584422679	0.557575770065	0.595125674225	0.565224819786	0.550601372423	0.562676462208	0.585271561085	0.512803258271	0.538285373031	0.550426508597	0.526899387482	0.545972413598	0.548268463804	0.538083281765	0.581399882709	0.554674753384	0.57911451868	0.531668318148	0.619890262903	0.582431471279	0.563029336414	0.582710932669	0.604249277624	0.612861966252	0.568089407681	0.554386930833	0.614601492921	0.5454758869	0.632514785632	0.546963327716	0.527957093835	0.652381507646	0.532822698908	0.558312326559	0.545429518199	0.696408199807	0.521564255144	0.583273735875	0.639187546735	0.579743030695	0.613577473342	0.661262977485	0.65686175321	0.605453571538	0.588387805503	0.57098519053	0.601847215767	0.635031984544	0.717717108048	0.586341173095	0.57814679057	0.508118608873	0.606835428081	0.627689992089	0.610145455179	0.613534042583	0.678860535518	0.568369321582	0.583219840375	0.621877898368	0.57104404004	0.548735521453	0.56973001322	0.607826016607	0.558698228567	0.597320329243	0.551463980764	0.579034695677	0.580975179464	0.634589230664	0.676458175407	0.587222210212	0.547844955518	0.586165520802	0.52759099807	0.552531310198	0.5526709497	0.532866576379	0.646643624081	0.548458606343	0.551247929794	0.570907884875	0.533349300952	0.536357689646	0.558804406986	0.544048305064	0.537494380448	0.541923630159	0.548996742122	0.541752481102	0.557570240897	0.585435077919	0.53402855047	0.517770450593	0.547813264553	0.570727332206
CS.280	0.634016795129	0.683762555855	0.55917739607	0.554385426497	0	0.547472997035	0.48007680123	0.562570431775	0.586600434814	0.483008122715	0.450813250343	0.512153505334	0.503930090097	0.624808440109	0.530244979555	0.665013691033	0.604360377921	0.610240927477	0.549391049535	0.703310935782	0.734686598563	0.57062765614	0.529324207993	0.641431316802	0.489466549522	0.68135272214	0.578393000681	0.60535487331	0.709420148344	0.632023679109	0.712662869223	0.755003291566	0.647176941288	0.554528129687	0.545480431433	0.599817325163	0.686518119572	0.706029949544	0.704310659898	0.547864394752	0.719511470885	0.677191558095	0.550837177249	0.668315097551	0.731263231311	0.655362750828	0.714025187124	0.661849988245	0.650775460045	0.689051650517	0.671656590594	0.706978549682	0.621268593738	0.769965886015	0.66990029022	0.706826340424	0.646941198934	0.661795399528	0.605482957557	0.686220476512	0.543023406629	0.524497056148	0.605885995898	0.714569771787	0.556692776611	0.569785530876	0.634902690612	0.638115455534	0.520661855146	0.545197110376	0.63070458012	0.562467064124	0.53924286868	0.556474318153	0.693552427465	0.476461596399	0.435112588112	0.473100595549	0.562161908613	0.463983642174	0.444425316184	0.527064910679	0.494510142361	0.469490106895	0.430473498779	0.479918695852	0.523034859336	0.429164856917	0.492666156967	0.477693635112	0.588412205483	0.53338649497	0.586423625843	0.561705667993	0.671130442555	0.562769236677	0.579906082556	0.562269529028	0.650237232432	0.562714857254	0.64935691803	0.495306638857	0.509548550178	0.702067763834	0.518542852975	0.570420515625	0.613425400906	0.748444856084	0.506338221322	0.687318178222	0.714283458227	0.657955214685	0.682010669294	0.713497282386	0.748025288931	0.708202453792	0.615349164241	0.651746062106	0.695071542771	0.721631983477	0.788970634908	0.685340921362	0.626050834909	0.526069377314	0.664365922501	0.678938612717	0.666855756448	0.682985179559	0.75382051263	0.67526973762	0.684947815559	0.712436220487	0.672617721329	0.598456186404	0.547670078654	0.66472178472	0.585169449734	0.66959556546	0.618084880735	0.63799138223	0.684852840419	0.688645749424	0.753098372429	0.672385334812	0.538112879025	0.652196854494	0.526575327799	0.511096721741	0.481259994081	0.549014724262	0.741336787612	0.529904197644	0.593417274613	0.610284068336	0.471674188621	0.525567264275	0.585903193743	0.580632245661	0.606599416376	0.432423887436	0.523524988416	0.455740873916	0.494252711599	0.542652411111	0.518061260155	0.451949466708	0.457050701988	0.522334794575
L.006.M1	0.59838336168	0.679132403876	0.568214924518	0.551858395992	0.547472997035	0	0.50837250888	0.550362591526	0.577510595026	0.527588215376	0.546396337537	0.542472028253	0.55094821082	0.636772558038	0.553841494096	0.645692415833	0.5830286856	0.628543968669	0.570943316596	0.677080745179	0.688364270763	0.553572581136	0.557352970268	0.654866984288	0.563693555179	0.667938963671	0.575046249866	0.57809094338	0.720089711881	0.63631687802	0.707022680686	0.753623898891	0.6369345802	0.581900156508	0.547064237978	0.601187966795	0.66034033129	0.682550175276	0.675333799009	0.524283243517	0.669384259223	0.657484039625	0.581686930655	0.667537762002	0.736731826899	0.647517760145	0.697189586538	0.660076927683	0.665461904375	0.690941107108	0.668598170634	0.664145190294	0.613404042541	0.723038236337	0.676163186791	0.68290827518	0.645951672956	0.62739406792	0.596263760443	0.667265070164	0.569764270869	0.547882172525	0.608756604202	0.706157557289	0.58718873815	0.542124098975	0.62295935137	0.629581671211	0.560151620013	0.559881864142	0.607595588837	0.565837411478	0.561911209477	0.571761039673	0.667366770328	0.529578059047	0.547058587394	0.542582053461	0.56668996003	0.537353728441	0.524638531485	0.554714219003	0.557280521824	0.563121643885	0.552975569548	0.558256158409	0.578362511762	0.526504005876	0.516361800396	0.533881899534	0.603943301413	0.618471363068	0.559910232991	0.558039269075	0.647582251515	0.596381073521	0.568132637211	0.546154926991	0.617316026997	0.581938432435	0.622834677635	0.535511485355	0.544848622274	0.712206165918	0.58125099269	0.602653633284	0.619589245113	0.709040378365	0.536453877496	0.662459409289	0.686745744404	0.617033391581	0.686413038369	0.71648006361	0.70528704027	0.687096550545	0.616620781508	0.640383392762	0.686327108812	0.692202702338	0.770694654051	0.645842089467	0.605423599255	0.563623127212	0.67084937419	0.669774346021	0.633354820679	0.667799014615	0.756183137417	0.662443645633	0.634529460237	0.67097727701	0.646002209073	0.612533800567	0.537294726388	0.674322065468	0.603070953743	0.640164666762	0.610765642834	0.6301028626	0.672944901307	0.670021987503	0.734998702929	0.671529844301	0.562646938903	0.650211974477	0.549117064394	0.569037730458	0.548613004428	0.575993364907	0.722144512963	0.554043591833	0.591122053997	0.606359652416	0.540340889819	0.544756245203	0.599491722036	0.609023514565	0.608658049667	0.528122640414	0.584609158596	0.551043772867	0.57681291461	0.57675568069	0.572236776728	0.529474889538	0.540704601311	0.577538327576
CS.297	0.598582352654	0.66852764813	0.580801477228	0.497046024961	0.48007680123	0.50837250888	0	0.525191395822	0.588354801408	0.431896161505	0.419976283654	0.54859823964	0.54916723125	0.574173533074	0.48424480956	0.644703289191	0.580929217188	0.538617712392	0.58071572056	0.686684294952	0.689941481791	0.52092769596	0.517602309171	0.611409507676	0.49124056693	0.672255797339	0.574717394996	0.582703727906	0.642049386827	0.621953123098	0.667130920372	0.748484020419	0.588200608711	0.562559175912	0.468301628924	0.556055804079	0.638206780558	0.696518735258	0.658513010114	0.465647337836	0.706219436147	0.653187831722	0.474225906441	0.629382453734	0.691328776735	0.63589330088	0.703311778795	0.647474767446	0.615827320827	0.670290809276	0.646650388618	0.695241598701	0.60883277383	0.756136329912	0.640423252148	0.676125901031	0.624108407223	0.628250178467	0.56466320359	0.63195038549	0.490021164048	0.46720656761	0.575894472861	0.672698543608	0.441184283756	0.504958587512	0.620730320372	0.550681046294	0.46565634792	0.532557132508	0.58576814614	0.493486090058	0.456029946117	0.47845676278	0.655254272844	0.495055866218	0.486858030215	0.541819274551	0.572520592607	0.466090438785	0.446764631455	0.565549635157	0.471042458227	0.514689800024	0.481753771135	0.50020685722	0.584111313872	0.507812749424	0.550539958181	0.460456459628	0.575118328972	0.51238675758	0.560047087073	0.562736715163	0.647974938892	0.554988985322	0.573163907721	0.564636854875	0.63350656851	0.549921117073	0.60145127061	0.492339429683	0.498467871564	0.659768430425	0.501382704965	0.486472970113	0.553047748196	0.734775949874	0.430184718299	0.644151707199	0.683618172799	0.645537882973	0.66199100338	0.702369529588	0.713063451694	0.68627146826	0.575199329585	0.61309668823	0.631163269021	0.692997058174	0.766698643433	0.626530772156	0.596229911074	0.496317208474	0.622042165869	0.617021652853	0.64385221043	0.634901394302	0.717063238287	0.625299534379	0.634879483911	0.660064770987	0.617320651405	0.560334946445	0.449648215147	0.649343754868	0.525358689343	0.631978529724	0.599394092462	0.619020629874	0.644115332882	0.660815760224	0.752649757137	0.646713810949	0.559739890909	0.60709115319	0.447927676746	0.488232419012	0.470136380202	0.501922868956	0.68555353447	0.438819072923	0.509955889234	0.492733506789	0.462118770498	0.433367431061	0.489328915437	0.499367445931	0.503739117186	0.471949446114	0.495258398065	0.429649980822	0.454952627818	0.449965764194	0.483976743749	0.429976625042	0.471237142597	0.46425536727
CS.104	0.533914441486	0.598029753227	0.58029162553	0.559097488548	0.562570431775	0.550362591526	0.525191395822	0	0.568444354174	0.540233130062	0.534864640983	0.540708192593	0.546220679832	0.600605907614	0.506621681573	0.542659485342	0.523915452696	0.590848022377	0.597676720513	0.625861815716	0.6452527748	0.533479791531	0.501992534981	0.575843484709	0.524937579405	0.631737347299	0.53965278847	0.542098354009	0.669583758292	0.575258997306	0.662737856514	0.729451726192	0.565062115136	0.540166800314	0.53733755415	0.536969229524	0.604793507429	0.653514594952	0.651198266375	0.533854423721	0.619315323724	0.619643560331	0.534794219745	0.614296060449	0.690383114291	0.607561542662	0.682645818609	0.628152761991	0.606117758215	0.656798362649	0.623402333309	0.619770942561	0.591308122865	0.704303854667	0.626867390732	0.659665713556	0.601399267084	0.602797307168	0.577282873479	0.608055447628	0.54924240781	0.544143240656	0.581994862781	0.668141522262	0.545250266757	0.560663173794	0.57920726439	0.619656588461	0.524936115163	0.534391323679	0.566065786571	0.547216792954	0.554067875047	0.546476077159	0.650690971457	0.571854735958	0.576295588138	0.563915618514	0.569920155422	0.531288352424	0.543713124467	0.599075321305	0.545511232088	0.584173157412	0.582626040898	0.595755419397	0.616467049102	0.545491946987	0.576140047242	0.533359726343	0.538232398926	0.575109997849	0.555768990376	0.536394659477	0.585713038944	0.558776782218	0.534515225628	0.523258399037	0.589614623974	0.518924241855	0.592113394636	0.523528787625	0.542225308562	0.647033262825	0.511456600884	0.499290442548	0.560458318685	0.67596558901	0.544888865241	0.617333641405	0.611035628961	0.607779696188	0.65166358171	0.666446858384	0.667543636592	0.650852967738	0.530553376911	0.591700278953	0.645948728735	0.63331731047	0.728552164422	0.614827097757	0.534249890106	0.520785684392	0.628950086549	0.636822426172	0.571482883887	0.615654757827	0.723154900087	0.622977153599	0.575076773746	0.663728113031	0.605091491961	0.57227713251	0.511641097573	0.601408479458	0.553479008705	0.610444092809	0.589918219432	0.61116830764	0.639063534905	0.606200688848	0.706087460489	0.634022430258	0.564652055616	0.635700398837	0.527451867293	0.539242227706	0.558874619904	0.562909051102	0.699852243296	0.548950426477	0.562418081519	0.600180740071	0.551256972999	0.543798436209	0.566031329661	0.564662769002	0.573425063043	0.556559580248	0.567445680912	0.572793305878	0.541180998539	0.578241396669	0.526553287032	0.532025591414	0.587214978246	0.575343796878
CS.257	0.59193034328	0.684295709462	0.606769662051	0.60036647642	0.586600434814	0.577510595026	0.588354801408	0.568444354174	0	0.580290178405	0.56341854553	0.539368988944	0.567858727251	0.586014909649	0.576275720941	0.65711234594	0.541412465535	0.628419608277	0.568189265958	0.679793393006	0.682047390343	0.627077482134	0.57035699212	0.629569676933	0.591151845847	0.610309253257	0.598501231434	0.558341042073	0.723092920652	0.588273370558	0.706015462615	0.724118154691	0.629748446717	0.597625536921	0.62933262169	0.618077797979	0.661523354279	0.646542925896	0.653234439105	0.603010392888	0.667032001088	0.657079042212	0.622596766941	0.66597921277	0.721614533808	0.66732338331	0.682017432252	0.657689536875	0.673171045756	0.675242613766	0.667803169244	0.64679410016	0.671327606894	0.705579161521	0.677120753673	0.696879937898	0.681686086323	0.67746793757	0.64246961159	0.660976255966	0.599408580257	0.59970158069	0.595372996598	0.69100773528	0.606126204667	0.597258416682	0.592301852524	0.644450717772	0.590960342959	0.616076849119	0.633697437964	0.609147306203	0.625565905627	0.606703943171	0.68729787439	0.560467115967	0.590982453576	0.557653336351	0.546393218991	0.567803857677	0.586908659566	0.544324040736	0.571198658598	0.602097594177	0.608313141895	0.612989915545	0.612845479669	0.560006071724	0.567382475707	0.549519913745	0.557560840914	0.569840606645	0.545160737023	0.586367880088	0.609821576093	0.590102981281	0.591589105153	0.55671655141	0.606347505856	0.593047114125	0.612052854074	0.582594892475	0.565376535847	0.676566963988	0.548212507918	0.584709082639	0.644281824844	0.650835953789	0.611551533313	0.663199126443	0.664197865024	0.625493397243	0.666542101471	0.694169093874	0.707712290452	0.65281321166	0.612004199906	0.640870896328	0.685416540411	0.668994103837	0.753195122602	0.677072340007	0.603479423715	0.634077495452	0.665737253071	0.649229131108	0.59209289659	0.667416967118	0.735340631457	0.660818300534	0.601581358496	0.691036550117	0.679715643257	0.63594887467	0.582821952672	0.677606143492	0.653776816168	0.673956583745	0.63594375857	0.638374842827	0.659313680397	0.641780678641	0.702532078021	0.673156712256	0.582992167879	0.673465047909	0.587869542268	0.58614635618	0.56157932779	0.592110893375	0.703687383274	0.604870451913	0.639280992835	0.665049426701	0.608569323764	0.605733379461	0.625571539587	0.623268608588	0.62437299807	0.57963976751	0.544640947713	0.569621646788	0.60284395499	0.597041226958	0.56810088932	0.572126200976	0.589798290906	0.567655059719
CS.259	0.614759797384	0.678726743558	0.581200404472	0.504268421284	0.483008122715	0.527588215376	0.431896161505	0.540233130062	0.580290178405	0	0.460420785028	0.537628827413	0.523678840926	0.573959280222	0.516244904786	0.642899481206	0.604182088326	0.566914081456	0.554796674271	0.690365287483	0.692677041512	0.529598350887	0.539567531996	0.650277658518	0.494303638569	0.673387781194	0.571118349047	0.602637694981	0.658757256908	0.607335059711	0.678307828306	0.753951960916	0.607795585281	0.562125351538	0.469753210673	0.584768262467	0.646007030729	0.689656095462	0.670624302113	0.534160375004	0.715249928418	0.680394144006	0.495321590566	0.652660558006	0.708260659977	0.63963334045	0.715820424235	0.640587610573	0.635472988688	0.6879333355	0.642491771328	0.688265691436	0.599423693528	0.74459764694	0.657005277021	0.665184696727	0.637075714638	0.620563707102	0.569829563382	0.649682017536	0.528213218784	0.507581007395	0.583312960463	0.698387453225	0.49023990562	0.531931785541	0.632118041307	0.569460382752	0.491805813961	0.52044803816	0.612947349831	0.549705072108	0.494740704913	0.524661539518	0.673400406941	0.489747957587	0.491088222436	0.511647957132	0.585471237002	0.473594457876	0.464000274359	0.553477956972	0.525791172478	0.516037596823	0.457869816399	0.475968278134	0.562297324679	0.48725192736	0.531933842338	0.488980225943	0.577905848068	0.527411454417	0.572840851721	0.557246303986	0.66641813033	0.554888657435	0.563109951163	0.551822380851	0.65679625249	0.559654750858	0.63304933174	0.530888694688	0.515664571901	0.675496017279	0.520745344902	0.531848168371	0.566292477595	0.742731064035	0.461411934681	0.637615585498	0.695864847802	0.639401022611	0.662759583503	0.701150384379	0.71437612286	0.682719622179	0.592012539392	0.616000022648	0.649943061192	0.697251905519	0.776455105728	0.638019457544	0.599621348378	0.529432725493	0.66094230957	0.641124647702	0.654761567805	0.662357768254	0.731845487908	0.633739844272	0.643361837387	0.679401396401	0.638569567436	0.593664903197	0.510768768465	0.652326138088	0.550554636321	0.635459983023	0.613743460007	0.617899625141	0.631220257338	0.671805190317	0.734104648151	0.645513768193	0.558344737574	0.632475907819	0.475284558907	0.519619482044	0.463650436291	0.525834676595	0.702162720764	0.460098041644	0.543402707636	0.551228364421	0.446846556424	0.491092508396	0.522203863603	0.529186995337	0.541131324771	0.469096254859	0.51703901961	0.435962724149	0.505714589185	0.471359420064	0.478005637288	0.479599498093	0.469530958135	0.489515160373
