L.007.M1	L.022.M1	CS.101	L.025.M1	CS.009	CS.104	CS.172	CS.003	CS.199	L.031.M1	L.001.M1	CS.243	CS.295	CS.217	CS.021	CS.335	CS.050	CS.056	CS.368	CS.161	CS.269	CS.229	CS.155	CS.072	CS.064	CS.327	CS.154	CS.305	CS.065	CS.377	CS.374	CS.126	CS.203	CS.380	CS.224	CS.302	CS.205	CS.232	CS.378	CS.213	CS.376	CS.282	CS.236	CS.375	CS.041	CS.395	CS.268	CS.369	CS.182	CS.148	CS.323	CS.183	CS.256	CS.385	CS.178	CS.359	CS.177	CS.147	CS.214	CS.254	T.CS.069	T.CS.003	TFS.024	T.CS.059	T.CS.034	T.CS.016	T.CS.023	T.CS.041	T.CS.024	T.CS.028	T.CS.085	T.CS.014	T.CS.022	T.CS.076	T.CS.062	T.CS.132	T.CS.159	T.CS.122	T.CS.178	T.CS.102	T.CS.180	T.CS.110	T.CS.156	T.CS.153	T.CS.125	T.CS.119	T.CS.105	T.CS.160	T.CS.124	T.CS.097	CS.241	CS.015	CS.237	CS.085	CS.242	CS.356	CS.110	CS.246	L.024.M1	CS.087	L.034.M1	CS.006	CS.103	CS.088	CS.082	CS.346	CS.304	CS.363	CS.191	CS.336	CS.338	CS.113	CS.364	CS.044	CS.308.0	CS.150	CS.188	CS.387	CS.164	CS.358	CS.152	CS.343	CS.163	CS.321	CS.112	CS.318	CS.319	CS.194	CS.158	CS.361	CS.285	CS.339	CS.202	CS.080	CS.227	CS.270	CS.253	CS.370	CS.262	CS.393	CS.145	CS.390	CS.255	CS.326	T.CS.045	TFS.020	T.CS.064	TFS.027	T.CS.031	TFS.021	TFS.025	TFS.022	T.CS.036	T.CS.026	T.CS.049	T.CS.043	T.CS.008	T.CS.061	T.CS.055	T.CS.095	T.CS.142	T.CS.152	T.CS.141	T.CS.109	T.CS.157	T.CS.151	T.CS.158	T.CS.166
L.007.M1	0	0.524549181203	0.504229383993	0.594010425648	0.679596937833	0.5835314258	0.5759361456	0.576368600546	0.632803888633	0.586855945045	0.59519049569	0.547669199086	0.609530764952	0.521973216628	0.661866414111	0.765861442267	0.686957715379	0.726163561593	0.532236061037	0.721818495638	0.765914536482	0.689765813651	0.56640158175	0.496782234109	0.642685754562	0.575757314909	0.801854886093	0.500399416407	0.644586746729	0.725548132765	0.693614053037	0.526303007971	0.553595181158	0.53259396906	0.765149821763	0.7339052004	0.706082553422	0.581787033122	0.716479311647	0.707530274403	0.6925308795	0.706105937859	0.758395818396	0.640909509367	0.706629850308	0.684878234455	0.716186373389	0.78246085794	0.619972490419	0.709334201393	0.667302810532	0.772432776294	0.682134682509	0.684471268565	0.5989373127	0.748581178042	0.702814232151	0.683251690489	0.657750584023	0.68282164575	0.560362891563	0.427024412832	0.57299509499	0.640875521227	0.514785511931	0.580355068442	0.748453926765	0.556123285114	0.569037100977	0.554109793896	0.505489115909	0.576151208177	0.606043331886	0.58078063804	0.491551411441	0.509775748212	0.532126103052	0.488771617151	0.520312710015	0.469960961659	0.604067988855	0.500786584398	0.466605465711	0.500322070055	0.497801457602	0.57991760443	0.60933041298	0.496041354049	0.511495625364	0.469168007076	0.510469791654	0.532166439893	0.694311366777	0.560527903129	0.496725621972	0.690196023402	0.678061650087	0.543864862551	0.463497652414	0.580752783646	0.590125228343	0.504436781698	0.576364508964	0.641132511823	0.583642372233	0.766329629393	0.734611165716	0.684061188744	0.471899695588	0.606476025441	0.676761000489	0.550463332942	0.756816894385	0.56104966849	0.731522998996	0.610255332332	0.647282400229	0.615935844951	0.763883740396	0.777392665646	0.539361331	0.669367217441	0.701288125035	0.531140969403	0.684262007527	0.676116413309	0.678991685373	0.755519639716	0.682244511081	0.696739924732	0.757073694419	0.654790186716	0.655046335092	0.638914645929	0.796834452538	0.678532079543	0.760020822351	0.682225190734	0.664676253032	0.716182195783	0.584283872612	0.683621648345	0.632083792289	0.632739344755	0.54344389198	0.444375160249	0.493493868934	0.483049011517	0.529202791136	0.558585697416	0.545729594426	0.467141923938	0.554065883977	0.725886382178	0.623841135005	0.499992378041	0.573898279435	0.571983377287	0.507962536436	0.418192586608	0.456168119419	0.503498008019	0.448949725444	0.428106593784	0.489198228167	0.411694547742	0.476293811267	0.489240625651
L.022.M1	0.524549181203	0	0.539840106051	0.642077662064	0.683970974554	0.579611517554	0.604300689195	0.525630702391	0.632938061031	0.511972442508	0.520089869725	0.58186165057	0.671726879906	0.548856982974	0.677235016719	0.786191807159	0.672717040084	0.711341093885	0.570075595686	0.70515121593	0.780446714599	0.70792357221	0.577989573941	0.534056927819	0.600379333192	0.600942656411	0.804259779414	0.532793650509	0.672434510164	0.679041839632	0.688577000155	0.587939422871	0.604826102011	0.553601719171	0.78102147042	0.760291198629	0.748240360492	0.554591784444	0.713735304579	0.73237852854	0.700829529742	0.7154756578	0.71885599733	0.688172906775	0.684532123568	0.669852657864	0.690232546568	0.764207737108	0.63024437966	0.703396571824	0.669787203695	0.771811777655	0.67913656023	0.678645479325	0.626547133371	0.750431867268	0.721093439868	0.696976847786	0.68807195703	0.690353049928	0.624254025397	0.549322693251	0.635649987122	0.606336583699	0.590331730284	0.625945667181	0.786410321674	0.604323906213	0.621528541164	0.60326905077	0.593113167833	0.590706405711	0.645293357923	0.586062813629	0.555159940528	0.449052616643	0.439612019902	0.5428431387	0.496807583652	0.540626682701	0.566242506591	0.476651237528	0.566540282561	0.451157602879	0.580272189991	0.484082488886	0.492918884798	0.468498657787	0.497359697306	0.500308343603	0.555422248917	0.615352006269	0.674570898263	0.545921341627	0.531223978351	0.743302551413	0.670212054049	0.543332090276	0.576603520763	0.652901685036	0.621663090153	0.58024234599	0.560202633145	0.70441150144	0.529803978523	0.782604926874	0.721278591252	0.680607514635	0.542739803427	0.641067147071	0.643338264531	0.62496939429	0.754068361455	0.615667992214	0.714779251906	0.572737305544	0.719060838354	0.660000621837	0.741745716452	0.805216216586	0.567031284858	0.698874980462	0.670886936581	0.604784791153	0.668725127664	0.702097462813	0.707659556967	0.787955389927	0.672376220059	0.727820601841	0.752058767053	0.695683468109	0.685454346967	0.635383884201	0.809876289334	0.687938807284	0.759619425135	0.68751633618	0.702838630589	0.707541771943	0.628628794954	0.687254258769	0.621926287958	0.626651667938	0.632050098898	0.510454899783	0.578522780656	0.605409598308	0.603459124291	0.628422171633	0.65563529375	0.520159734598	0.539305326347	0.746609601283	0.687638673699	0.610951910913	0.67118688274	0.656316372895	0.60146759115	0.497500826336	0.63838943088	0.566037869075	0.621401219994	0.483264886045	0.578961994658	0.569730373504	0.53967794552	0.582928573301
CS.101	0.504229383993	0.539840106051	0	0.631669455695	0.688210611318	0.528246671864	0.566339036955	0.530001634972	0.611712684501	0.581891506571	0.568413657773	0.576901085814	0.623947424235	0.501911358983	0.659330223576	0.790097916627	0.663823390231	0.698855666946	0.557767552143	0.704590745812	0.774415635453	0.68005506354	0.5879813683	0.521850469256	0.595435834726	0.59079638001	0.783875917591	0.525219854228	0.645973105237	0.701279265757	0.691646010133	0.573459996245	0.554241327428	0.554366974215	0.785651514839	0.762619452482	0.729099038913	0.543968919264	0.718858641745	0.70443874085	0.697425432545	0.73336312711	0.697160563556	0.652486169432	0.669028435861	0.660887044736	0.70976606474	0.765897504552	0.64738175218	0.727333291239	0.658331319988	0.769111583243	0.705883421278	0.686313771305	0.617541395681	0.739516144242	0.70323142394	0.696471874484	0.677523127744	0.694591050041	0.611483333093	0.496455249935	0.60365448753	0.620926544692	0.561025970646	0.604828273013	0.780814636091	0.605017217984	0.601990093769	0.609330398558	0.574536246916	0.581873999211	0.628343512116	0.617869608386	0.52474879919	0.56486966613	0.552749908824	0.545601548809	0.522510861245	0.522548384598	0.577286533165	0.535821725191	0.543169876885	0.531753419634	0.587169024366	0.573642508178	0.572375267883	0.526070337605	0.502857213227	0.532939198022	0.458854116669	0.537296797237	0.682788076794	0.553630111569	0.538138756932	0.70410288664	0.659809788386	0.556327557825	0.543868277663	0.610534496744	0.607081981328	0.528977705579	0.459140300821	0.6281797007	0.55965210266	0.766650063743	0.711106805602	0.710170736512	0.509420601846	0.646412902946	0.663093136712	0.527037328314	0.749904684593	0.54257899539	0.707274510991	0.614922522144	0.698275485716	0.655782242189	0.731987042435	0.796314461271	0.555537260146	0.704863349963	0.673432855978	0.542899674895	0.650019142581	0.701349152328	0.703436559779	0.791198248232	0.64912600768	0.691674781378	0.755430065029	0.668225792545	0.659059168303	0.611367904935	0.809901390006	0.698598420203	0.754830765828	0.684245976754	0.697668412701	0.68637346069	0.606790952334	0.688034331605	0.633709922516	0.677394514618	0.594053208213	0.520937666453	0.553124084512	0.565219140433	0.555128199744	0.5918024782	0.625030471804	0.525979293123	0.57148449537	0.74361117429	0.69601401026	0.575798552574	0.645755028975	0.636421476893	0.558343268478	0.509942576893	0.590793413964	0.556836508526	0.568426080275	0.52129418416	0.569511529441	0.559198925113	0.531276232424	0.55709282727
L.025.M1	0.594010425648	0.642077662064	0.631669455695	0	0.626776164459	0.617648729472	0.580496548554	0.623995360004	0.60456929228	0.676526244464	0.628993268664	0.620487191917	0.671655211012	0.607384913314	0.663791750308	0.712674761866	0.642688202088	0.697194365803	0.639908668011	0.660317165717	0.709715928051	0.690180260331	0.666863652251	0.642858330335	0.650888189283	0.589044332039	0.747323919547	0.64333384778	0.672258697759	0.721117400484	0.69205272226	0.649892388305	0.623582855263	0.655892705497	0.711613821306	0.718463124693	0.710186739435	0.644645692565	0.65863660477	0.671816743241	0.681863656974	0.695150186062	0.720213638588	0.646116000131	0.688003574134	0.711761457097	0.697934593045	0.737100210593	0.666695501127	0.671458164944	0.707690487154	0.734640152357	0.668799671609	0.714714073853	0.66875355382	0.719781038641	0.682851926875	0.6952480923	0.679750152487	0.710570729006	0.647446023701	0.598938229305	0.615361775561	0.643350904225	0.649444149345	0.641014120484	0.72258693257	0.621789032763	0.620420255967	0.645108286415	0.631014484687	0.654653625056	0.651843401702	0.675485069889	0.603870750696	0.691116461498	0.677223410896	0.650507773214	0.647159078681	0.633745103764	0.634635988535	0.625151786516	0.621049389617	0.630969175793	0.604072336452	0.673966213671	0.679316937584	0.674962805966	0.615210748218	0.643776887425	0.634535071686	0.5899486726	0.621948682897	0.61762848901	0.629422764309	0.679829559443	0.643437566054	0.626891917903	0.604592884367	0.584576986519	0.612216307981	0.594400664893	0.621214883561	0.598084268966	0.654725032974	0.693967240154	0.688411052214	0.685955697982	0.617502763693	0.660055939688	0.683403949078	0.58442289338	0.730050430363	0.596276251248	0.682117913692	0.640417857139	0.681021962787	0.640081597101	0.700126956553	0.749205190028	0.653095027744	0.669714475327	0.64734381323	0.603705137976	0.651940899633	0.674277640786	0.673742754725	0.728938312437	0.632488352955	0.6726282248	0.706512672938	0.643667116568	0.668546517249	0.631533084197	0.747494306338	0.697641793696	0.744549819097	0.688216132213	0.669138638277	0.683227713081	0.658280264678	0.686226801726	0.668658279523	0.678674121872	0.620968333918	0.63278257573	0.603645917496	0.5985971223	0.603649795341	0.602031191749	0.619588871036	0.657775800938	0.621252443448	0.709068992812	0.608670320673	0.610497241382	0.62902180647	0.614149807387	0.617746738112	0.632312832438	0.550040281011	0.627229420408	0.559124426077	0.639437336972	0.573855307504	0.601148475979	0.644354247083	0.635935600866
CS.009	0.679596937833	0.683970974554	0.688210611318	0.626776164459	0	0.590010450043	0.586643651181	0.653615914814	0.608154650881	0.628704315216	0.650912315874	0.623569343294	0.634030001224	0.665905012896	0.526763994828	0.596057981171	0.603607552404	0.597147419225	0.62181058149	0.532651613718	0.625821657868	0.57079005029	0.602699004704	0.643821507265	0.645863894124	0.613292553613	0.625857927573	0.655473034392	0.571996264915	0.606428113755	0.56145435054	0.616946677379	0.639078787786	0.652639667241	0.642796401354	0.603493442011	0.58475121132	0.634918161888	0.613109928489	0.558015245483	0.541918766906	0.581994844945	0.630286340639	0.602487294767	0.595514291737	0.611847478471	0.639776321855	0.627277305063	0.595569404944	0.611224237913	0.609215514712	0.609839805315	0.581864939788	0.602422238962	0.632850117688	0.634202952391	0.60418926753	0.55730589417	0.628315894859	0.592226084426	0.62579080081	0.666356256168	0.61997229537	0.625656368166	0.636746319197	0.602844786669	0.70521276582	0.616071801146	0.593736936419	0.613957651577	0.64032544995	0.636427804406	0.621319274096	0.617269541058	0.634819744842	0.69164399913	0.700019905537	0.645923813437	0.657051516597	0.69466054894	0.642189335002	0.652440722394	0.637611367396	0.671795577264	0.618972179459	0.676946257309	0.686530064668	0.695038389641	0.649061504312	0.689741177439	0.659568435171	0.664500505875	0.582546974503	0.621544069523	0.63281639909	0.627426857181	0.587925323562	0.634799909827	0.661637953451	0.61471763074	0.579558938691	0.59613992055	0.632411675115	0.642821720241	0.655688634315	0.613074342148	0.666175726493	0.550079203918	0.675253478718	0.613584888987	0.586029867766	0.616958358618	0.585165972695	0.612228111398	0.577111692507	0.574451901935	0.627948506657	0.569729091105	0.647220213558	0.606146144334	0.635730578186	0.578799445241	0.575734900148	0.639040481081	0.556702691127	0.545814811657	0.56008943728	0.580142356305	0.548960809737	0.60242964483	0.565940648244	0.612777959024	0.656777799921	0.577058096068	0.632000894953	0.592650881523	0.647751538432	0.578349923625	0.5860174377	0.633567218902	0.61317226882	0.604833024523	0.57862009549	0.560966726213	0.635024891151	0.667571069175	0.635783302765	0.631320323359	0.617434212085	0.634291971661	0.606689432759	0.683583373645	0.627140839535	0.611766401303	0.565432275096	0.659118007618	0.607836978109	0.614722126282	0.632012233495	0.700229509335	0.642320277559	0.61774321497	0.656939960711	0.691572907621	0.639711681707	0.659973354986	0.668117907362	0.646819993239
CS.104	0.5835314258	0.579611517554	0.528246671864	0.617648729472	0.590010450043	0	0.541043908796	0.560257769643	0.533914441486	0.58029162553	0.57707501261	0.5514186237	0.562252794008	0.528391535409	0.563392646951	0.731147844906	0.631737347299	0.625861815716	0.503862891026	0.5955114371	0.697730158079	0.576903474962	0.570436036956	0.524937579405	0.537445494589	0.568103315446	0.718094342092	0.524564486966	0.551775688418	0.621841120239	0.619643560331	0.534794219745	0.533854423721	0.53733755415	0.729451726192	0.690383114291	0.662737856514	0.540166800314	0.653514594952	0.651198266375	0.604793507429	0.640699516128	0.619315323724	0.565062115136	0.607712261333	0.628152761991	0.619770942561	0.704303854667	0.591763468241	0.646039279783	0.601399267084	0.690233997907	0.625712606154	0.611095504164	0.577282873479	0.685199623362	0.656798362649	0.626867390732	0.606117758215	0.623402333309	0.571635669032	0.540363236525	0.537064142728	0.592608725974	0.524936115163	0.565240993905	0.735346172707	0.54924240781	0.532546327461	0.554998900383	0.544143240656	0.571425887415	0.55015509643	0.584101440423	0.527172503491	0.602423822896	0.616467049102	0.529545914351	0.542923369461	0.587732337152	0.569920155422	0.554040655367	0.533359726343	0.563915618514	0.567254687604	0.595949578034	0.612928546721	0.584173157412	0.559788395538	0.570007039265	0.523528787625	0.558776782218	0.585713038944	0.523258399037	0.535499214573	0.647033262825	0.589614623974	0.542225308562	0.575109997849	0.538232398926	0.555768990376	0.511456600884	0.534515225628	0.592113394636	0.536394659477	0.674442393708	0.666446858384	0.617333641405	0.544888865241	0.586129668772	0.607779696188	0.499290442548	0.667543636592	0.50152399846	0.611035628961	0.572933293278	0.61373171919	0.560458318685	0.67596558901	0.725613922649	0.520785684392	0.628950086549	0.574708235268	0.511641097573	0.575076773746	0.614827097757	0.605091491961	0.723154900087	0.571482883887	0.615654757827	0.63602198442	0.609383904107	0.636822426172	0.534249890106	0.728552164422	0.634022430258	0.706087460489	0.610444092809	0.639063534905	0.606200688848	0.553479008705	0.601408479458	0.589918219432	0.61116830764	0.566031329661	0.551256972999	0.527451867293	0.543798436209	0.562909051102	0.573425063043	0.564662769002	0.547024486173	0.564652055616	0.699852243296	0.635700398837	0.548950426477	0.600180740071	0.562418081519	0.539242227706	0.587214978246	0.578241396669	0.526553287032	0.575343796878	0.556559580248	0.567445680912	0.572793305878	0.532025591414	0.541180998539
CS.172	0.5759361456	0.604300689195	0.566339036955	0.580496548554	0.586643651181	0.541043908796	0	0.529297437218	0.535616580914	0.605475533916	0.570338686812	0.576954121628	0.639798686566	0.530899883107	0.595124650627	0.721868446792	0.580924714698	0.6545723806	0.583788870703	0.618969198409	0.697279256246	0.63893008012	0.622758668492	0.55520303548	0.568936217449	0.561418917109	0.706164220759	0.579534872653	0.614794464174	0.657281343081	0.639101897075	0.581237651854	0.578339723152	0.610496698577	0.723646079202	0.696327207378	0.68016731229	0.541456334083	0.617991478876	0.643934073198	0.624908303212	0.656421076861	0.642707711224	0.579211249222	0.594283866927	0.654624396648	0.64985509166	0.687923532862	0.633013533673	0.658815536076	0.661528944187	0.698246590131	0.673713364983	0.654398048907	0.62358034509	0.685982030547	0.684215306265	0.640799625297	0.635031342483	0.658736921109	0.620370649499	0.586177268538	0.592972040973	0.561378346369	0.574832619043	0.583778116969	0.68852419456	0.559373515202	0.585881532768	0.593488313618	0.573012489112	0.600982200218	0.6005042504	0.632444686449	0.564206599068	0.625260058176	0.626240346025	0.587034774798	0.584030514314	0.595589263429	0.553386437362	0.576905350747	0.556738770253	0.565872327435	0.572715492435	0.615785803492	0.619897024068	0.616161993519	0.546992323725	0.591400734257	0.576781465056	0.549137438336	0.570553039206	0.515128710231	0.558321575599	0.639385135601	0.598581971135	0.559991396246	0.585408095356	0.526599599824	0.574018875464	0.506917118132	0.557543087981	0.602821868557	0.544736335762	0.660338082127	0.659838073926	0.645095071889	0.565349767607	0.594372528236	0.606342811692	0.519317971154	0.678893003052	0.513741755149	0.592402170575	0.563554331051	0.64443244775	0.611082077952	0.639071833369	0.718048903392	0.593955781009	0.638984744636	0.546491194019	0.542872794291	0.535602029024	0.635846177193	0.659800216627	0.711696559684	0.546481638775	0.62368115986	0.66999378663	0.611362749086	0.609350693236	0.549947465411	0.715605625093	0.658273762444	0.682630239837	0.663617475241	0.634268439543	0.635789718036	0.616452054451	0.646954720436	0.62173672142	0.606682196552	0.56252545814	0.59194584183	0.565322425288	0.58039701297	0.548778842758	0.611659819685	0.575191743065	0.600445615074	0.566797452895	0.67757068702	0.626534720581	0.570747848038	0.605888037861	0.600036642142	0.588061431436	0.592031997594	0.590544566493	0.578406772852	0.577179748107	0.599845342429	0.545778703057	0.576570115419	0.57576324875	0.586092441661
CS.003	0.576368600546	0.525630702391	0.530001634972	0.623995360004	0.653615914814	0.560257769643	0.529297437218	0	0.609921949333	0.544545304795	0.531611519353	0.576284687549	0.649021678428	0.489244306144	0.625863730439	0.778515799435	0.629457120671	0.670305426059	0.561869260042	0.659130350265	0.74559272618	0.678950441462	0.576546840417	0.50002946083	0.55732470104	0.61682749863	0.767533449818	0.542283711387	0.628314559285	0.652707085177	0.672526981856	0.583071653433	0.59045157219	0.57283586546	0.767998083607	0.73057940855	0.729588334138	0.518075282784	0.695550293509	0.685118265743	0.691124247433	0.705566331492	0.670408575607	0.650135534011	0.647059012151	0.648911276274	0.672934291108	0.723269167946	0.622520471759	0.704831862764	0.662203629369	0.738279503747	0.685027088467	0.657984699186	0.622641754617	0.718726404235	0.710636548799	0.681415738195	0.66601798824	0.69265149239	0.61607506074	0.566609576245	0.635556344753	0.569776457477	0.564557885311	0.599260636781	0.748377512875	0.571291909634	0.600327576302	0.585831140043	0.581619035119	0.586444886618	0.633259219959	0.609443361806	0.560419338496	0.536419040963	0.54108910448	0.542829472931	0.512928776916	0.584860123232	0.539267264504	0.546160750533	0.562567732413	0.491303262443	0.588484812313	0.502381328373	0.525371390941	0.545944865698	0.51224775995	0.54094990645	0.534016786797	0.591647264894	0.603032814413	0.508660474534	0.530988808668	0.721208949739	0.617444814988	0.536261622241	0.604728978697	0.591366295789	0.582326830006	0.530591105965	0.53167407361	0.664044576234	0.517674062073	0.736306600962	0.691038030466	0.688153325042	0.555962687023	0.64182112855	0.634473198537	0.585233690704	0.710279957843	0.554033316211	0.674255683829	0.560233115128	0.705496026091	0.652417043806	0.68160213979	0.780832584814	0.557190343869	0.700451603644	0.607218906215	0.579706041135	0.620959131028	0.688103314178	0.688611928441	0.767514840817	0.606127604811	0.683283539258	0.718095959881	0.681550518235	0.65894625738	0.60018079262	0.783070761044	0.705151517001	0.721323172657	0.678119312007	0.697519404703	0.673673828825	0.622385258617	0.672565321357	0.620550347548	0.646259720729	0.615138177302	0.5434635709	0.575285453571	0.601841453407	0.591253023688	0.637737476924	0.65529277869	0.54302356083	0.531107728069	0.73710056888	0.684654757037	0.603571377819	0.664716573578	0.63176486217	0.587650488919	0.545213754865	0.633238088336	0.54040903939	0.624806242254	0.544307025975	0.570830607645	0.586354298571	0.547640175215	0.557386024163
CS.199	0.632803888633	0.632938061031	0.611712684501	0.60456929228	0.608154650881	0.533914441486	0.535616580914	0.609921949333	0	0.616888113512	0.615412191413	0.585245905405	0.638400943273	0.57296597018	0.572260010052	0.708643918754	0.61257614785	0.637774142415	0.604191521391	0.606757958202	0.706358998697	0.573391991455	0.612156268368	0.602675054218	0.561442488836	0.581629972425	0.719713808913	0.614117167622	0.60892885761	0.655239220565	0.6350638884	0.601961414352	0.604442640917	0.625631375424	0.706760278706	0.684579308071	0.68486160329	0.584580695728	0.654730102182	0.658283293695	0.603099621673	0.63845574302	0.62449768669	0.58593048548	0.597177208217	0.662623958042	0.644155031069	0.696026936732	0.631566675001	0.65526818774	0.647795501586	0.689327854586	0.658803240876	0.647924099401	0.635939714192	0.695822979571	0.654857803094	0.63536701579	0.639801944448	0.637623173818	0.627665296118	0.601251354404	0.551724083887	0.594556094942	0.611272770116	0.601834526445	0.718452166295	0.590648870388	0.597222702717	0.630788398785	0.598118511057	0.622947647411	0.610306797704	0.634174269517	0.605184567637	0.659528313597	0.65787209561	0.62199062659	0.625306730798	0.644468461595	0.615054158859	0.609365896515	0.610694919719	0.624415793622	0.594860071084	0.642986758558	0.65651408194	0.660238900884	0.598756324413	0.650789207896	0.603034969506	0.600518049702	0.568006168836	0.570239699128	0.60049058216	0.678678116747	0.59652177216	0.618680638419	0.625312986016	0.555581932616	0.593181509471	0.559125133144	0.578891969414	0.617314140507	0.601155403553	0.6581987875	0.643942067149	0.613555731244	0.606420913554	0.598763009744	0.617895272234	0.565034016057	0.661721902838	0.547050884246	0.612749525066	0.602023664887	0.654619940948	0.604025538685	0.633019585202	0.72041234171	0.604231087115	0.621465802655	0.555415561354	0.592194470918	0.585920331157	0.613443346008	0.630833952255	0.720830803965	0.564071554862	0.626895729219	0.65250471532	0.6116597618	0.637723208704	0.562319116841	0.702891530032	0.656978881294	0.705111667653	0.643712456416	0.648630437278	0.623909084197	0.620759032687	0.630533770862	0.610805932314	0.628495948372	0.606257587353	0.607582137595	0.596110377598	0.595168972353	0.598715768971	0.582017489309	0.590359767158	0.630189830842	0.614461920654	0.696174146769	0.646783584151	0.606867230954	0.615133753466	0.60619285188	0.6107843474	0.63006497408	0.630355366311	0.603835988073	0.629229957714	0.628282992401	0.605347169712	0.637752128141	0.611706045047	0.611973555548
L.031.M1	0.586855945045	0.511972442508	0.581891506571	0.676526244464	0.628704315216	0.58029162553	0.605475533916	0.544545304795	0.616888113512	0	0.546328872036	0.58990193128	0.602559838471	0.581425240081	0.591678639482	0.737590979568	0.66600953139	0.652446429378	0.522257467259	0.628762186024	0.719743583383	0.629770789434	0.517935065578	0.523685477279	0.555008752216	0.633248802185	0.756930216418	0.508874601025	0.606774850359	0.57698290632	0.62429646539	0.549905150049	0.598919146166	0.574044049544	0.7340797471	0.695477706579	0.669743250299	0.541004993304	0.688207217129	0.663859799681	0.612397676664	0.634178709882	0.660309836803	0.627759379439	0.645668080201	0.581639957505	0.624266926623	0.700718599015	0.539240374613	0.693009489853	0.569604842858	0.696950647823	0.628997490388	0.580967101991	0.602873341439	0.684820924247	0.67165619102	0.637054233001	0.628128140792	0.605283001455	0.582459116003	0.5791965303	0.599712265947	0.609857187069	0.595048304089	0.571500850359	0.739924319312	0.585392484059	0.585320185297	0.587756190098	0.584000684642	0.541873649939	0.610445836641	0.51811824864	0.555638182802	0.491171044937	0.529103265485	0.503256891689	0.498124707162	0.606106986331	0.543045757002	0.523134525889	0.575172642909	0.502115952917	0.586109600916	0.483798262586	0.486920909774	0.504307447913	0.5318715671	0.555567485362	0.583715368849	0.662770017004	0.620337923218	0.526167990035	0.507588013047	0.687883710802	0.637754980786	0.528330200269	0.628407235172	0.659468131932	0.611864326653	0.583661209211	0.575609343217	0.716845778915	0.519300052964	0.718121377148	0.677980408066	0.621049007334	0.570635089423	0.601079409002	0.573012027996	0.658772410929	0.685828223075	0.623363929525	0.661542033807	0.544186212179	0.682534761636	0.610027695742	0.714527354162	0.735601746868	0.517715808445	0.628012729718	0.626749338211	0.608755587436	0.622570284186	0.625964995845	0.61920519999	0.736038038009	0.627494978631	0.664728918181	0.69872901162	0.670146915635	0.676598635382	0.599003459214	0.7702824753	0.633051998095	0.701495978527	0.624438547934	0.672325183015	0.653214793683	0.571908078567	0.639060949819	0.568936692217	0.580237507582	0.621932941045	0.525536945391	0.590385882025	0.620418948166	0.597382281016	0.643722827803	0.627586843343	0.517070807789	0.543262037255	0.713801010643	0.628745245278	0.621834185137	0.667292663502	0.620288707949	0.608455123005	0.5702968137	0.66968169574	0.552338675826	0.664582789338	0.533714892148	0.609213032821	0.627246962057	0.508388949929	0.537372321605
