CS.036	L.007.M1	CS.265	CS.104	L.005.M1	L.025.M1	CS.028	CS.098	CS.038	CS.281	CS.245	CS.297	CS.043	CS.264	CS.092	CS.077	CS.118	CS.154	CS.335	CS.371.1	CS.155	CS.186	CS.365	CS.290	CS.248	CS.388	CS.073	CS.301	CS.287	CS.149	CS.128	CS.041	CS.224	CS.213	CS.292	CS.376	CS.126	CS.236	CS.302	CS.374	CS.232	CS.136	CS.203	CS.125	CS.378	CS.386	CS.349	CS.268	CS.181	CS.254	CS.182	CS.372	CS.166	CS.148	CS.129	CS.256	CS.395	CS.177	CS.348	CS.389	TFS.024	T.CS.035	T.CS.079	T.CS.003	T.CS.007	T.CS.062	T.CS.085	T.CS.020	T.CS.050	T.CS.038	T.CS.056	T.CS.024	TFS.023	T.CS.014	T.CS.028	T.CS.108	T.CS.107	T.CS.177	T.CS.139	T.CS.117	T.CS.178	T.CS.180	T.CS.161	T.CS.104	T.CS.122	T.CS.110	T.CS.123	T.CS.100	T.CS.120	T.CS.167	CS.241	CS.088	CS.015	CS.082	CS.085	CS.103	CS.356	CS.006	CS.238	CS.237	L.034.M1	CS.242	CS.246	L.024.M1	CS.110	CS.387	CS.345.0	CS.189	CS.336	CS.164	CS.187	CS.311	CS.363	CS.358	CS.274	CS.212	CS.228	CS.338	CS.165	CS.330	CS.112	CS.322	CS.361	CS.163	CS.202	CS.343	CS.080	CS.321	CS.194	CS.158	CS.339	CS.320	CS.223	CS.319	CS.331	CS.253	CS.370	CS.270	CS.145	CS.393	CS.255	CS.326	CS.262	CS.390	TFS.022	T.CS.055	T.CS.061	T.CS.049	TFS.020	T.CS.026	TFS.027	T.CS.066	T.CS.031	T.CS.045	TFS.021	T.CS.008	T.CS.043	TFS.025	T.CS.064	T.CS.158	T.CS.109	T.CS.095	T.CS.141	T.CS.142	T.CS.152	T.CS.157	T.CS.166	T.CS.151
CS.036	0	0.70432541844	0.655438529118	0.55351726902	0.698306380663	0.668252628389	0.602542354297	0.648872522029	0.648403659611	0.629683440315	0.665550708879	0.645544049801	0.587155458138	0.612864029692	0.6026959509	0.575879253144	0.594086646679	0.68621098484	0.710265869533	0.666722996912	0.560185270864	0.67116359508	0.616491931651	0.605423025026	0.552559967294	0.713642696645	0.618821072932	0.579645231428	0.602986725986	0.584839382962	0.594675481344	0.590323642064	0.717081899592	0.629041691519	0.600642178721	0.583726390107	0.615997640292	0.579883838562	0.677441127908	0.637911534202	0.567272697514	0.555641603617	0.630659168994	0.62248574505	0.66614635508	0.678998141673	0.590221591554	0.604256286281	0.621404491151	0.62938462458	0.581110895801	0.583988982424	0.641438642448	0.6631213016	0.627636566035	0.636268631109	0.630366422775	0.684114111759	0.581267772383	0.608936787157	0.612242137604	0.607402761533	0.645352258329	0.662864229472	0.652520722642	0.634005739937	0.625384718745	0.665226124648	0.636580528042	0.625203590573	0.655131454016	0.595546572533	0.662634434267	0.580684268994	0.601336051619	0.690768674913	0.657067898521	0.665204332455	0.675457725797	0.670804146307	0.63335943961	0.604102838154	0.64053357478	0.660086993666	0.618337094953	0.632247449381	0.639736836933	0.648572753981	0.651611280356	0.671850802324	0.635942042509	0.669745394007	0.668884667354	0.596091529265	0.581816478735	0.582193426356	0.695331297418	0.622482868931	0.609480027921	0.573358657682	0.61255142394	0.637470912249	0.619450855883	0.713385385953	0.634454888321	0.597965427797	0.665335953643	0.654696506819	0.617005478267	0.647323251901	0.60891199261	0.654193237068	0.603336744759	0.712301260024	0.668100162161	0.697550286115	0.577724805344	0.610597078125	0.677912133187	0.621095919804	0.585643942317	0.657921430989	0.647365406761	0.567966190336	0.676611536278	0.630101394628	0.587539530404	0.618655668603	0.740961742896	0.561005041347	0.660157158975	0.613997840334	0.61752254483	0.592265113754	0.587026015838	0.699344574367	0.592973934784	0.655004360139	0.631335747195	0.633933990882	0.606425432986	0.652154925794	0.673391743271	0.618307513568	0.65455553436	0.632258745453	0.61462897813	0.657142935356	0.653322580208	0.707653452771	0.643174653512	0.661149588099	0.651183142323	0.642682477489	0.668720093608	0.675627947096	0.63431045364	0.642104640632	0.633179844685	0.641516226962	0.670376133348	0.691921512268	0.713249726807	0.70289911201	0.629438665578	0.685806212831	0.63503686472	0.695597517924
L.007.M1	0.70432541844	0	0.539931091215	0.5835314258	0.390179823011	0.594010425648	0.557044201103	0.523251775323	0.608954941396	0.517014567255	0.552334191399	0.444424722193	0.640247839278	0.632257986267	0.576715307701	0.590541409427	0.629183566315	0.801854886093	0.765861442267	0.600515914167	0.56640158175	0.53352258103	0.518568200355	0.688284031189	0.676783920749	0.685356076024	0.680658673526	0.620414165495	0.655941072209	0.681224855804	0.607480373744	0.706629850308	0.765149821763	0.707530274403	0.647782059548	0.6925308795	0.526303007971	0.758395818396	0.7339052004	0.693614053037	0.581787033122	0.676522108846	0.553595181158	0.681689476281	0.716479311647	0.728517309175	0.668661341423	0.716186373389	0.649374391457	0.68282164575	0.619972490419	0.671431711264	0.715190320654	0.709334201393	0.616119744053	0.682134682509	0.684878234455	0.702814232151	0.637548797705	0.68475543604	0.57299509499	0.541546756048	0.696967014048	0.427024412832	0.635085590297	0.491551411441	0.505489115909	0.494311948345	0.603558671465	0.583703938516	0.625634930035	0.569037100977	0.566774218289	0.576151208177	0.554109793896	0.42782775616	0.455186232454	0.502197948496	0.417140132387	0.479399694239	0.520312710015	0.604067988855	0.539156957152	0.463594838766	0.488771617151	0.500786584398	0.510998898749	0.533144364835	0.514680451596	0.412530392245	0.510469791654	0.641132511823	0.532166439893	0.583642372233	0.560527903129	0.576364508964	0.690196023402	0.504436781698	0.565187797145	0.694311366777	0.590125228343	0.496725621972	0.543864862551	0.463497652414	0.678061650087	0.615935844951	0.796863385776	0.643508456876	0.606476025441	0.763883740396	0.664315306757	0.615001655719	0.684061188744	0.777392665646	0.665020353831	0.661759201477	0.661538125512	0.676761000489	0.704238310215	0.649440236481	0.684262007527	0.698207187851	0.696739924732	0.701288125035	0.655046335092	0.669367217441	0.638914645929	0.531140969403	0.755519639716	0.682244511081	0.654790186716	0.603410016351	0.675526342108	0.678991685373	0.607843863865	0.760020822351	0.682225190734	0.678532079543	0.584283872612	0.716182195783	0.632083792289	0.632739344755	0.664676253032	0.683621648345	0.467141923938	0.507962536436	0.571983377287	0.623841135005	0.444375160249	0.725886382178	0.483049011517	0.457678339545	0.529202791136	0.54344389198	0.558585697416	0.573898279435	0.499992378041	0.545729594426	0.493493868934	0.476293811267	0.428106593784	0.418192586608	0.448949725444	0.456168119419	0.503498008019	0.489198228167	0.489240625651	0.411694547742
CS.265	0.655438529118	0.539931091215	0	0.611861516411	0.564945715147	0.676851322449	0.536472416354	0.523403447188	0.690933308444	0.536845272248	0.644904601766	0.57512372767	0.64159059838	0.579519957964	0.48235361706	0.6224552866	0.634919314434	0.797628300748	0.782516688813	0.682707331661	0.560364302225	0.512949208832	0.587032802012	0.702101866738	0.639812603859	0.767801682004	0.682082907472	0.598706389719	0.61780145226	0.672303570208	0.602932965594	0.688949008475	0.782217770551	0.712957457918	0.623203923948	0.696822014035	0.577610978374	0.716739709643	0.768225495058	0.685554477987	0.552531139558	0.656820731655	0.590726276457	0.678653483704	0.724382770384	0.723669420031	0.622830151047	0.670226445199	0.644906815189	0.655680617617	0.601330962779	0.65386619247	0.67993284431	0.68499099083	0.611196146214	0.658709843652	0.642861246845	0.700166737802	0.591512541078	0.677836900152	0.64299117721	0.59510335776	0.719287058108	0.563753073085	0.701304141959	0.559337232035	0.581696729422	0.502816371107	0.642110465277	0.48446490993	0.689123401833	0.613689664449	0.658014195325	0.583785849523	0.599202384888	0.465015550674	0.50384373438	0.488115969362	0.46639716583	0.542501066356	0.466365573139	0.556812571179	0.492292225784	0.468912651717	0.518129713748	0.495054666716	0.597009342829	0.499498683213	0.572775635351	0.562121020537	0.575195447001	0.719109511033	0.630303817112	0.511741759423	0.526054929374	0.582547438837	0.750851270923	0.596801877806	0.616922328671	0.664682796926	0.584241178575	0.513637299664	0.535626561125	0.614122600618	0.641662639619	0.653296233742	0.79096705924	0.647431355514	0.645387901467	0.740291173873	0.643066028869	0.669657037636	0.676195392171	0.785787265397	0.720338647856	0.733049273036	0.639854187179	0.629400824494	0.76185357791	0.667443372266	0.663662864014	0.695330817391	0.72426818275	0.673949482664	0.716098726716	0.702224179748	0.652606925928	0.623322019942	0.77151346117	0.670768326636	0.714534723984	0.616074551369	0.665247077851	0.696908332727	0.546744710971	0.753436441053	0.675644809833	0.677284177744	0.615078073845	0.6928871714	0.623070762748	0.645779981715	0.695987241037	0.684745293575	0.49675472575	0.592035914141	0.668011649939	0.693307578703	0.51052594462	0.740288399448	0.607737810048	0.530979346262	0.614926184529	0.63593972645	0.647299772177	0.684785023821	0.612122353044	0.664098977304	0.576030789062	0.512250764839	0.471312210241	0.483326994976	0.638609272265	0.642196703452	0.57159594321	0.617240491992	0.556340680986	0.574332177008
CS.104	0.55351726902	0.5835314258	0.611861516411	0	0.567973024709	0.617648729472	0.534761591953	0.560203288264	0.56420632761	0.52881589736	0.556293652392	0.525191395822	0.561468030658	0.591385435245	0.528998098183	0.509958496698	0.523915452696	0.718094342092	0.731147844906	0.590848022377	0.570436036956	0.597676720513	0.505688295193	0.619714140606	0.542659485342	0.669583758292	0.601528348002	0.589936701484	0.602273683531	0.582352709345	0.536969229524	0.607712261333	0.729451726192	0.651198266375	0.542254403395	0.604793507429	0.534794219745	0.619315323724	0.690383114291	0.619643560331	0.540166800314	0.546277378539	0.533854423721	0.614296060449	0.653514594952	0.682645818609	0.602797307168	0.619770942561	0.602492942391	0.623402333309	0.591763468241	0.607561542662	0.659665713556	0.646039279783	0.588491391829	0.625712606154	0.628152761991	0.656798362649	0.591308122865	0.608055447628	0.537064142728	0.54461703484	0.650690971457	0.540363236525	0.620513796256	0.527172503491	0.544143240656	0.587500888611	0.581994862781	0.58501774476	0.609685810186	0.532546327461	0.565653156303	0.571425887415	0.554998900383	0.58686975656	0.543713124467	0.582035241692	0.574193838661	0.545511232088	0.542923369461	0.569920155422	0.592665033329	0.545491946987	0.529545914351	0.554040655367	0.549655914168	0.576140047242	0.545990982553	0.549793695456	0.523528787625	0.592113394636	0.558776782218	0.536394659477	0.523258399037	0.534515225628	0.647033262825	0.511456600884	0.518924241855	0.585713038944	0.555768990376	0.535499214573	0.542225308562	0.575109997849	0.589614623974	0.560458318685	0.691204738221	0.624700981577	0.586129668772	0.67596558901	0.591700278953	0.530553376911	0.617333641405	0.725613922649	0.645948728735	0.631696411533	0.54910047932	0.607779696188	0.612800666593	0.615911886785	0.575076773746	0.663728113031	0.615654757827	0.574708235268	0.636822426172	0.628950086549	0.534249890106	0.511641097573	0.723154900087	0.571482883887	0.609383904107	0.57227713251	0.622977153599	0.605091491961	0.565848693874	0.706087460489	0.610444092809	0.634022430258	0.553479008705	0.606200688848	0.589918219432	0.61116830764	0.639063534905	0.601408479458	0.547024486173	0.539242227706	0.562418081519	0.635700398837	0.551256972999	0.699852243296	0.543798436209	0.558874619904	0.562909051102	0.566031329661	0.573425063043	0.600180740071	0.548950426477	0.564662769002	0.527451867293	0.532025591414	0.556559580248	0.587214978246	0.575343796878	0.578241396669	0.526553287032	0.567445680912	0.541180998539	0.572793305878
L.005.M1	0.698306380663	0.390179823011	0.564945715147	0.567973024709	0	0.586216768024	0.591722255867	0.558717803186	0.604952222972	0.515456386841	0.533599291958	0.420693078178	0.629870232711	0.649029321953	0.604052280087	0.602266551671	0.614748938208	0.799315225555	0.761620776188	0.614667746713	0.591619459299	0.564913264677	0.496287795191	0.696426182491	0.691460113468	0.703353026357	0.675895389471	0.608924561251	0.676238914972	0.69218873989	0.625487975842	0.692308028819	0.763750922127	0.702125453944	0.651307222477	0.685877483267	0.557980950747	0.744792293265	0.74041744101	0.681641501422	0.59519432061	0.675692280642	0.526836728016	0.686516945681	0.708192684742	0.735711963407	0.673476808581	0.722754640557	0.680689374552	0.701113207025	0.641920162799	0.682837467657	0.735598026088	0.70452241836	0.638789429835	0.685941102076	0.6989052353	0.713724501397	0.662770196832	0.704104460495	0.537808276725	0.554658608529	0.704889506414	0.431574043543	0.661836946406	0.517627524696	0.493727361141	0.537724169921	0.623700795847	0.603068045182	0.6389553038	0.564008090814	0.55765502546	0.568684878586	0.573304609411	0.474725234737	0.452051626311	0.507507135287	0.451414719047	0.512081381094	0.533885018291	0.586791719791	0.568930829431	0.482714928428	0.488874684048	0.513947963627	0.536545584177	0.505624223441	0.506002202313	0.436331858179	0.504683457533	0.638883089851	0.524220739841	0.601019477842	0.58409982225	0.582598411405	0.698888779602	0.504323281988	0.564221027642	0.684707001766	0.572105888982	0.494078019527	0.542594482881	0.471278020676	0.67101029769	0.627715936453	0.797485168336	0.674535072821	0.628924779981	0.760165656616	0.675227797379	0.624527211316	0.692293813765	0.786375944083	0.696105091614	0.668844443936	0.650889381143	0.683715312595	0.694642115662	0.667383558671	0.682020850575	0.697775806925	0.70345846165	0.691526483151	0.671571088424	0.666747138555	0.641494378643	0.507640628692	0.750748882668	0.679875455723	0.654273895355	0.614729260928	0.693017522699	0.678361294693	0.610825495844	0.76676564922	0.686355730364	0.686525249642	0.601397742644	0.706757760937	0.643211384456	0.65134385365	0.691202929228	0.690025223791	0.479621899557	0.512929170719	0.58497637267	0.645037256654	0.47710349953	0.730532675148	0.472391318473	0.473383576922	0.535250406912	0.557244613298	0.540659495886	0.578107236944	0.46994096677	0.556318030343	0.507561113869	0.469561376123	0.449416991553	0.421791601287	0.458748057708	0.457786125003	0.506951699452	0.492204678617	0.484597992573	0.431406468203
L.025.M1	0.668252628389	0.594010425648	0.676851322449	0.617648729472	0.586216768024	0	0.627148048731	0.639120571823	0.568566295077	0.613307185795	0.585348135805	0.589527652346	0.654180063002	0.652614882726	0.646523212821	0.650578390874	0.597829806028	0.747323919547	0.712674761866	0.62309730075	0.666863652251	0.627742399563	0.604157178462	0.668856993091	0.695352045111	0.693684338661	0.647821138803	0.691415534301	0.693294778115	0.675474758733	0.671894737144	0.688003574134	0.711613821306	0.671816743241	0.679147219062	0.681863656974	0.649892388305	0.720213638588	0.718463124693	0.69205272226	0.644645692565	0.655755727572	0.623582855263	0.697384807972	0.65863660477	0.698793819603	0.705578112434	0.697934593045	0.67695916697	0.710570729006	0.666695501127	0.705609808856	0.731534244706	0.671458164944	0.635859639263	0.668799671609	0.711761457097	0.682851926875	0.69297972002	0.698023354322	0.615361775561	0.654798701451	0.673587276298	0.598938229305	0.645694147076	0.603870750696	0.631014484687	0.635407786731	0.625775339381	0.665136345758	0.604370940133	0.620420255967	0.63823758873	0.654653625056	0.645108286415	0.646470896836	0.633732431615	0.655142279773	0.627850003778	0.624697491573	0.647159078681	0.634635988535	0.64578518565	0.653727396903	0.650507773214	0.625151786516	0.614664538646	0.627139099507	0.619254889692	0.613808591058	0.634535071686	0.598084268966	0.5899486726	0.654725032974	0.61762848901	0.621214883561	0.679829559443	0.594400664893	0.585018865971	0.621948682897	0.612216307981	0.629422764309	0.626891917903	0.604592884367	0.643437566054	0.640081597101	0.724179745724	0.678706747576	0.660055939688	0.700126956553	0.674885128966	0.637836489801	0.685955697982	0.749205190028	0.664082799916	0.681696341022	0.612036627592	0.683403949078	0.673591986701	0.672515300491	0.651940899633	0.673010893123	0.6726282248	0.64734381323	0.668546517249	0.669714475327	0.631533084197	0.603705137976	0.728938312437	0.632488352955	0.643667116568	0.660943326796	0.688551355923	0.673742754725	0.684429566746	0.744549819097	0.688216132213	0.697641793696	0.658280264678	0.683227713081	0.668658279523	0.678674121872	0.669138638277	0.686226801726	0.657775800938	0.617746738112	0.614149807387	0.608670320673	0.63278257573	0.709068992812	0.5985971223	0.633030405566	0.603649795341	0.620968333918	0.602031191749	0.62902180647	0.610497241382	0.619588871036	0.603645917496	0.644354247083	0.639437336972	0.632312832438	0.559124426077	0.550040281011	0.627229420408	0.573855307504	0.635935600866	0.601148475979
CS.028	0.602542354297	0.557044201103	0.536472416354	0.534761591953	0.591722255867	0.627148048731	0	0.494646202964	0.613276307419	0.531511239197	0.597275463527	0.555713274124	0.53611181315	0.563173800761	0.477997441804	0.568098052653	0.545628644141	0.725875998142	0.743191943262	0.635077967658	0.56651307135	0.541111004116	0.567808092096	0.668600871198	0.591174379968	0.710512863351	0.595350282915	0.579818690938	0.612415518567	0.620120320347	0.606927981114	0.598103721576	0.7406917472	0.657539720186	0.537114088451	0.655877670264	0.56823303491	0.664703161289	0.709135206552	0.640737055671	0.493182710793	0.56990554659	0.594541879312	0.656613767377	0.663006186937	0.700870477755	0.614544521822	0.636903419521	0.616322595162	0.640704209906	0.595042279625	0.629001881737	0.653316768471	0.67036672393	0.595815477922	0.643485380717	0.620345000254	0.692349204658	0.592296506424	0.648213192697	0.600613846635	0.577930782974	0.681215740289	0.567021216493	0.652040049273	0.533057064354	0.599401085954	0.550635066851	0.599793166501	0.528171266326	0.633616492105	0.569923365637	0.649534240988	0.583699401771	0.573066418971	0.541955166897	0.564097569009	0.538828476368	0.557721808098	0.542582871049	0.536054494535	0.556231122404	0.515582860809	0.547601676192	0.552108535377	0.516955295639	0.575424545653	0.553510163542	0.567765741394	0.557746942427	0.531343414408	0.658852426738	0.577929754757	0.477603043409	0.464574936739	0.505812837269	0.683250416096	0.529063272689	0.542925592837	0.579187416847	0.59245910861	0.53023942613	0.532958776384	0.612954830526	0.60108517619	0.612305406569	0.714277311513	0.610698020954	0.621898653335	0.661623996517	0.605500931433	0.590334210756	0.644291357561	0.729057602125	0.687183580287	0.670934199966	0.561531644811	0.595188599971	0.68301582532	0.632285358553	0.561316870275	0.684129902519	0.676833095256	0.594954374105	0.658767818462	0.663389595264	0.555475534669	0.584090399431	0.732819036974	0.570434005227	0.672294866077	0.58632381923	0.647395890817	0.648936638827	0.539065795289	0.706458562808	0.627484386929	0.627301047232	0.609817431898	0.639306742463	0.596202217834	0.608290498367	0.638544212243	0.64621372983	0.537870298529	0.581132070601	0.633240772865	0.645684204209	0.541678845313	0.708938805589	0.596036563516	0.551539161973	0.564673913516	0.601753581558	0.627922986259	0.653114537881	0.608376112398	0.62383323587	0.559833856062	0.544497264057	0.538300734664	0.546384161918	0.610703674724	0.632411310734	0.567588688638	0.574706541185	0.565247241007	0.580705423426
CS.098	0.648872522029	0.523251775323	0.523403447188	0.560203288264	0.558717803186	0.639120571823	0.494646202964	0	0.622704464554	0.540273317559	0.585354993512	0.52035663351	0.596343959428	0.618214520005	0.517620673309	0.578410004694	0.59120024403	0.771112659985	0.774942538846	0.639545959036	0.550251053505	0.562953901797	0.575216556397	0.690122629769	0.641167776874	0.746820608866	0.651338893221	0.603444580534	0.632273174417	0.652265232373	0.612406692772	0.642084985517	0.782481103133	0.713373783195	0.582706999288	0.68774603669	0.55428340257	0.698631898389	0.760588688774	0.684875737711	0.535049733571	0.632040770438	0.571418340397	0.697754328397	0.729605400163	0.731274548492	0.633741244986	0.699111730981	0.65083577459	0.672919000575	0.60339492013	0.656219396809	0.692169160514	0.707824898587	0.6090026056	0.680038941345	0.647579101368	0.701027179807	0.594419956199	0.665461920099	0.583981003614	0.571660744362	0.700490046838	0.527543849045	0.673626382491	0.506598283146	0.585400496768	0.498805221667	0.633012215465	0.502615334889	0.645868230335	0.584288366644	0.628307844325	0.565576416164	0.576549848795	0.472817403564	0.53317883157	0.511680463601	0.521486393101	0.537957340398	0.496182901395	0.580565225222	0.561823027871	0.506074756744	0.515873544129	0.49599523561	0.559700796386	0.570383069067	0.561768154577	0.542828708942	0.476239139471	0.660356511613	0.570692043632	0.550209112066	0.534482434208	0.524155403145	0.724575936055	0.575952781726	0.577726921497	0.671944341796	0.605206742726	0.518566531259	0.562926540251	0.605835666976	0.655212714049	0.63081288989	0.784847802683	0.652196206031	0.641913565551	0.750436946818	0.652627973861	0.615772308298	0.684499086771	0.78703808193	0.715290277201	0.701792140901	0.640530038882	0.641454990196	0.710154169005	0.674630702152	0.654325403681	0.706928681571	0.706679484822	0.676045422133	0.694606934042	0.699677469387	0.597440707781	0.57436105276	0.768949100578	0.665600787704	0.689343883326	0.60851567208	0.67484754918	0.684143961202	0.576751088079	0.756540727757	0.65076134323	0.67101558754	0.611253501839	0.679446276804	0.610067092413	0.65022129682	0.665655415963	0.663431830261	0.516285433209	0.555733816695	0.638972155219	0.678423929681	0.498681432676	0.734120867344	0.563592837153	0.533172212163	0.552503176518	0.599633839588	0.597391584078	0.629418902764	0.582344458927	0.632970250778	0.532274506326	0.532273513359	0.521757162059	0.496486578723	0.582476181342	0.603048300777	0.554513081022	0.582519315432	0.582637860574	0.556268204784
CS.038	0.648403659611	0.608954941396	0.690933308444	0.56420632761	0.604952222972	0.568566295077	0.613276307419	0.622704464554	0	0.601863972872	0.557522670084	0.561362145219	0.618687118502	0.623265292169	0.647891260152	0.591366515965	0.547945011939	0.722167874037	0.72987233251	0.571511127627	0.680981366874	0.654861419637	0.560419711603	0.668624869656	0.661030143115	0.652275917518	0.586890749728	0.688915056836	0.693763540024	0.654051633302	0.623604274623	0.621293085833	0.727361790971	0.647259120987	0.647880252351	0.644378016819	0.604022038325	0.692224244828	0.699804608311	0.667886428206	0.627277032589	0.635921181515	0.559526837153	0.664624441451	0.649792805929	0.689683689632	0.6830024052	0.691776302697	0.679910419302	0.69045877889	0.666298486257	0.684632899832	0.699967761264	0.681129084946	0.621706734676	0.677616082149	0.673175157662	0.670968508571	0.681694081424	0.665969866199	0.606374199727	0.588533657448	0.646718935554	0.614632372279	0.653778122253	0.587341446789	0.593301557505	0.666977860205	0.586312935839	0.662288575209	0.573687294354	0.610568839143	0.614634805769	0.659184151803	0.600283210266	0.653527574325	0.603109274675	0.626120439902	0.644210649172	0.59834186147	0.644061935739	0.617116178072	0.66186909846	0.626826453574	0.628943884537	0.625236409246	0.587442861979	0.637713682316	0.590384698921	0.600391110286	0.577303333726	0.553756264671	0.554297736683	0.64229029331	0.62554840771	0.608201808958	0.660184134078	0.552378418456	0.563787294469	0.642717331999	0.587356132069	0.601892678024	0.60129251927	0.610899385332	0.633353692525	0.613526599652	0.69474465856	0.669250898525	0.632417766667	0.655759885956	0.662765689562	0.56414662081	0.670067336548	0.733849947628	0.668049603374	0.635684501482	0.604136200704	0.664982109838	0.615518630285	0.640644415264	0.602645670735	0.684369578176	0.622936140405	0.610836862277	0.60910517548	0.682554257443	0.59265040114	0.551536066465	0.7254713469	0.620506773932	0.602455719329	0.643631490777	0.69464012841	0.66863967781	0.675882631422	0.718015823226	0.658407476175	0.683841832175	0.625390690353	0.633525566314	0.671428931235	0.672465608123	0.64291908768	0.678276907978	0.64229982795	0.609807009013	0.581749985932	0.648635331824	0.636949472211	0.706325063604	0.577030482367	0.62869902613	0.577076064037	0.595695275287	0.611459476627	0.578118425602	0.594358706501	0.600082309319	0.577889420402	0.619464719541	0.635168121496	0.634895553445	0.566086657375	0.564196286073	0.609227033845	0.550469752086	0.628072452648	0.579503387823
CS.281	0.629683440315	0.517014567255	0.536845272248	0.52881589736	0.515456386841	0.613307185795	0.531511239197	0.540273317559	0.601863972872	0	0.53634800086	0.456483809345	0.557546513514	0.580281198483	0.542938587302	0.578203584305	0.591374045898	0.7474016697	0.726068288382	0.547952374606	0.550653009447	0.559708678139	0.498513944924	0.646715061545	0.594618746966	0.664073276525	0.63425455926	0.56001833347	0.581208262235	0.585697435989	0.539483538976	0.607197101563	0.736381478482	0.672728066674	0.559597073809	0.62917641436	0.479982742081	0.674562239773	0.696388154408	0.619872513958	0.488704147231	0.590983259179	0.518311342749	0.614844178843	0.647887617619	0.666903050124	0.588600549428	0.629181951473	0.578459489922	0.604914303187	0.557543479366	0.597386227616	0.625348782784	0.629573287324	0.569518427257	0.612336284681	0.586851246876	0.650003967038	0.586153119348	0.620268022236	0.521505876165	0.514736674616	0.657166668023	0.498339820858	0.607890664733	0.469460318709	0.498036743607	0.569193013966	0.561487031788	0.546535421672	0.613716647758	0.511483257246	0.517803122007	0.541936429848	0.544955664609	0.519516557201	0.496225890194	0.493123668422	0.507754828989	0.497561727242	0.488522517486	0.539569349192	0.54263213764	0.515447585601	0.485647739583	0.504320229033	0.523639057989	0.539477033231	0.514236164476	0.503432549414	0.525435646322	0.654026961684	0.586052394396	0.523846725387	0.518375243083	0.562510522933	0.664814491854	0.528579216282	0.558900637016	0.605157519671	0.562963262709	0.479221945509	0.471120323828	0.553390833551	0.610139754377	0.562707542368	0.750203058964	0.619283278603	0.53384364776	0.715414237072	0.580660130813	0.568075329108	0.598860462385	0.732874927377	0.63857940387	0.641573349134	0.597451592263	0.586159107303	0.65695885384	0.60874786509	0.603681459926	0.641285106824	0.635859759299	0.617434395213	0.617931039433	0.634301648253	0.566802495523	0.498057704047	0.714351663301	0.616806854221	0.611268823274	0.555958715701	0.610120082895	0.630661618195	0.515835324162	0.698291150978	0.607403429633	0.597302265668	0.547231088306	0.605052566259	0.573026510433	0.572707174209	0.641971744798	0.610116962331	0.482067595512	0.529867939507	0.556753711392	0.634194725794	0.48776319949	0.690358821474	0.498314497628	0.516068366786	0.528992603543	0.553175655675	0.552647062171	0.574913487532	0.515995416652	0.518654701106	0.501910013969	0.427421362438	0.488329398088	0.512749965279	0.543441306173	0.561100210543	0.512247025524	0.535016910555	0.482170930875	0.517447492168
