CS.174	CS.084	CS.295	CS.039	CS.093	CS.314	CS.037	CS.003	CS.036	CS.035	L.006.M1	L.008.M1	CS.313	L.012.M1	CS.009	CS.305	CS.042	CS.371.1	CS.154	CS.287	CS.137	CS.058	CS.066	CS.269	CS.161	CS.229	CS.373	CS.377	CS.115	CS.327	CS.205	CS.378	CS.126	CS.374	CS.125	CS.041	CS.213	CS.380	CS.292	CS.224	CS.376	CS.136	CS.375	CS.236	CS.203	CS.166	CS.129	CS.183	CS.359	CS.256	CS.268	CS.372	CS.147	CS.348	CS.395	CS.386	CS.349	CS.182	CS.385	CS.389	T.CS.048	T.CS.082	T.CS.089	T.CS.062	T.CS.059	T.CS.041	T.CS.001	T.CS.072	T.CS.035	T.CS.085	T.CS.058	T.CS.007	T.CS.079	T.CS.014	T.CS.046	T.CS.139	T.CS.123	T.CS.121	T.CS.105	T.CS.177	T.CS.124	T.CS.147	T.CS.115	T.CS.110	T.CS.104	T.CS.106	T.CS.156	T.CS.180	T.CS.120	T.CS.161	CS.088	L.024.M1	CS.006	CS.242	CS.238	CS.110	CS.015	CS.246	CS.356	CS.237	CS.087	CS.241	L.034.M1	CS.085	CS.082	CS.364	CS.233	CS.336	CS.345.0	CS.078	CS.304	CS.212	CS.308.0	CS.358	CS.338	CS.164	CS.188	CS.113	CS.311	CS.187	CS.318	CS.227	CS.202	CS.163	CS.339	CS.321	CS.331	CS.322	CS.361	CS.285	CS.343	CS.112	CS.223	CS.320	CS.194	CS.326	CS.393	CS.370	CS.253	CS.270	CS.390	CS.255	CS.262	CS.145	T.CS.045	T.CS.031	T.CS.055	T.CS.064	TFS.022	T.CS.043	TFS.025	TFS.020	T.CS.049	T.CS.026	T.CS.061	T.CS.066	TFS.027	T.CS.036	T.CS.008	T.CS.142	T.CS.152	T.CS.095	T.CS.151	T.CS.141	T.CS.158	T.CS.166	T.CS.157	T.CS.109
CS.174	0	0.582096036858	0.574557965646	0.611738922323	0.525587154352	0.557263606458	0.702112877238	0.54623379336	0.669628458683	0.545143282647	0.542374694324	0.676174922828	0.464157409882	0.51475085701	0.674397183244	0.440370320454	0.645937701899	0.58920684293	0.794396825846	0.643552744051	0.508724676719	0.638837715316	0.606274895205	0.771122665972	0.702034855925	0.677955757961	0.614115924889	0.687655715997	0.711307791467	0.575440969245	0.688377068182	0.700516648932	0.502940990295	0.669115601263	0.65909608374	0.692858682342	0.686828375183	0.474622455322	0.612988071089	0.769830782438	0.660822677036	0.649746921392	0.621255789944	0.731071357909	0.50685441976	0.689187472504	0.614246441971	0.753503309194	0.738167456983	0.659248922344	0.694948697645	0.644969825908	0.660739043599	0.613798646868	0.658507250444	0.717046972708	0.63207764095	0.594428052272	0.65619451293	0.646393509817	0.542866474519	0.516286635127	0.560172070718	0.459936539112	0.641276637345	0.530648479792	0.722245723075	0.512394671959	0.539498877916	0.487131026525	0.546153795471	0.624850976717	0.699889719244	0.562381213969	0.61745645432	0.432564281788	0.507000201143	0.51430477581	0.589093328414	0.475126980544	0.509357798437	0.395444677609	0.426853851077	0.496778687213	0.479817257144	0.411016882916	0.446028299392	0.574713439134	0.490336202168	0.547936364761	0.656226175621	0.508427058311	0.531452759724	0.474297965092	0.560014394667	0.675040646667	0.54234331063	0.496716893563	0.704762520744	0.690659303926	0.616494491122	0.481633528854	0.557034615162	0.566424983834	0.566213276528	0.749786410906	0.612683843173	0.591004374	0.79777258016	0.56760207044	0.724766101604	0.655275511092	0.717338619463	0.775569479908	0.655320836733	0.779393964359	0.623590762664	0.54802149147	0.598444693371	0.625193811954	0.659892268786	0.801673774674	0.653449550088	0.683919005013	0.636069201196	0.502421451112	0.555770753121	0.688717483347	0.686914339728	0.749794340802	0.648408754158	0.673848653824	0.653277533211	0.592354293788	0.754777050165	0.633668147541	0.687562262187	0.657983866145	0.757943825926	0.659282936316	0.656520993064	0.595404894974	0.65768081003	0.548137004201	0.530558024718	0.501716738103	0.501842421242	0.484621522746	0.423932135072	0.490277608155	0.534745748019	0.41584430248	0.65443684389	0.726746000636	0.568423259307	0.451117543559	0.481272512473	0.550723973815	0.566044453233	0.508626626581	0.474453149089	0.419839325704	0.421678636179	0.481900689123	0.429306387983	0.447612474918	0.527807631175	0.424434679144
CS.084	0.582096036858	0	0.652127965308	0.552451263574	0.508937077341	0.581304971664	0.653404597025	0.500478575272	0.595978912568	0.546553755128	0.571088093887	0.675609433932	0.546049058943	0.570103704398	0.654542103788	0.559807982389	0.647222341448	0.654000203888	0.754981467959	0.631747123086	0.614455626102	0.542510390362	0.582299591016	0.747713386004	0.634756824735	0.64835289112	0.594196617241	0.644782589735	0.610684639184	0.634150745311	0.724500135555	0.672961459278	0.595129125479	0.659568335551	0.683980655451	0.589116664715	0.67952526059	0.572055118949	0.569490160431	0.763697357741	0.669425020405	0.567376407168	0.647502538598	0.647880881614	0.622969362187	0.669633656982	0.60291796041	0.719482745668	0.738262301565	0.669136255634	0.64634578824	0.652795367795	0.676552600617	0.600800318121	0.606698800781	0.698330395713	0.625991060469	0.615046469123	0.631723906979	0.649772206105	0.611494672366	0.59919113111	0.601206974863	0.556260403516	0.549793860022	0.572891662905	0.697497821876	0.555368429243	0.59764719851	0.609974036152	0.587482996104	0.66056715607	0.689420899074	0.586399780305	0.644833831991	0.577475497715	0.619905323886	0.600641774651	0.537235488129	0.557039476574	0.515075698286	0.57383883095	0.551646465764	0.561603750836	0.566128143341	0.606016076768	0.601128796112	0.539481700768	0.593202024719	0.530684352615	0.686400214127	0.635089004629	0.555213030262	0.540476812934	0.568822182243	0.594200319573	0.625111355851	0.577317706889	0.699212608761	0.587137778649	0.617506501665	0.566346601495	0.598294703109	0.444795197456	0.486500095304	0.720013008021	0.498204377879	0.630846543036	0.724386033909	0.643713235255	0.702586561064	0.713523672581	0.652546471397	0.752445283814	0.60494357505	0.654905628263	0.720043494677	0.604524590106	0.622907103714	0.642670107848	0.666654605834	0.769445982722	0.66903960477	0.596922650017	0.670511973763	0.609410411058	0.574835194211	0.696855760825	0.683389969946	0.71828627866	0.695215348871	0.554057422326	0.658470370209	0.62902862194	0.749124792842	0.622384824982	0.650969883678	0.650973166672	0.712118241538	0.671442616619	0.663826941397	0.616164350806	0.66410167126	0.620400596764	0.615272875695	0.587047124815	0.598172851204	0.590242180563	0.570137900911	0.623291115371	0.651937793673	0.546366769113	0.672665397661	0.703646801208	0.632296274538	0.575882382483	0.612464907588	0.512705726273	0.663916724868	0.666945802962	0.588142286733	0.584767832027	0.630143196237	0.643545835095	0.580878564234	0.603552411521	0.594863881964	0.568042455588
CS.295	0.574557965646	0.652127965308	0	0.648375536823	0.660887163982	0.605527496791	0.660207828758	0.649021678428	0.605413672543	0.638614782107	0.614210831375	0.617541979378	0.613977183535	0.649890521697	0.634030001224	0.542430584246	0.593695896209	0.555380016215	0.740405541498	0.592282264285	0.53497180834	0.604265165636	0.650847011328	0.67530868784	0.606880287169	0.582702620025	0.553695999588	0.588003179256	0.666821779789	0.647108725956	0.581786742645	0.684516399067	0.53101001999	0.610209560479	0.553982220059	0.631179978609	0.613811942625	0.523991531816	0.603941553121	0.702596463453	0.60116671583	0.583047526976	0.555583169576	0.664083751142	0.526765827256	0.612533099283	0.589701518383	0.670301356221	0.672786403915	0.602161084736	0.640391984882	0.552720753817	0.604779341388	0.599644328873	0.597186741489	0.683313446549	0.570615203993	0.535641243652	0.572953159342	0.577785857767	0.597859042661	0.552552332879	0.571622592531	0.566949215502	0.68068580599	0.576998905319	0.666868547658	0.56901244183	0.537537172531	0.545058837305	0.553622957867	0.590485841862	0.605461199306	0.601630513327	0.552561497912	0.610986353511	0.532787542077	0.55764221904	0.689611479892	0.603255039732	0.605414858337	0.615071119126	0.617814829128	0.633627346343	0.617450378467	0.621856736677	0.553609006356	0.608316519551	0.551989157118	0.631733064736	0.665952937186	0.614977655561	0.576723341342	0.560176056246	0.59407982181	0.637438131509	0.656439257049	0.537261546232	0.66962280849	0.638895941093	0.604532463323	0.60498469426	0.603834141248	0.611485845373	0.615938810757	0.650533915707	0.667828079014	0.5221852555	0.719460987268	0.599671859623	0.655650763506	0.622025165853	0.663022366265	0.69178747851	0.582655418096	0.740507891853	0.567388703132	0.608000190655	0.579872952529	0.57525325868	0.569258694124	0.732306223533	0.640354557462	0.629630819502	0.588420322166	0.559506083773	0.567485254002	0.617607311378	0.585905266362	0.66117918082	0.575460256519	0.617444944911	0.55296321261	0.572255268087	0.689281130061	0.599013835031	0.607951419879	0.568335803528	0.70844205139	0.61485757434	0.573256127951	0.593657354042	0.633194181817	0.526581623558	0.603416155172	0.588543277231	0.580088189027	0.560075618781	0.58824864003	0.558050842365	0.548710254667	0.58423764439	0.61633898891	0.681397849893	0.52380765999	0.609927690332	0.574464413881	0.637473437052	0.556617033089	0.608983236836	0.563810268544	0.637872348715	0.582441139479	0.625469507756	0.54668857981	0.545235464332	0.616255919427	0.586778581809
CS.039	0.611738922323	0.552451263574	0.648375536823	0	0.572636009795	0.569887821662	0.562123782323	0.582920548714	0.604518715749	0.556321908192	0.5972476572	0.640879516093	0.594849523993	0.594534151908	0.588929583969	0.623989030104	0.614448919858	0.614876748479	0.701334551234	0.635917650314	0.641826359956	0.566692406376	0.572399981599	0.71852832738	0.612522411956	0.631810224548	0.616737788345	0.670536651451	0.597382107506	0.605724868538	0.682372128268	0.626306254851	0.615131780952	0.629844703051	0.664345325942	0.609054806358	0.631309818651	0.633268673928	0.583116799241	0.729092615695	0.627333912961	0.580193697938	0.624627004369	0.637429939829	0.603994284766	0.66786986496	0.574808835396	0.68285612965	0.711034194348	0.645972699052	0.645727980622	0.64476316859	0.638657428699	0.646849690559	0.637743037642	0.669129183683	0.638233978466	0.615402173002	0.661695952784	0.635038691794	0.599538333575	0.607614653762	0.61231828074	0.595454365861	0.584031447151	0.609187037132	0.664326038061	0.625461330264	0.610701704673	0.605478744928	0.612457778985	0.6409945103	0.660604049639	0.619226627582	0.607906512485	0.631103222135	0.60081442152	0.630997993713	0.631194515007	0.622422153856	0.575109507346	0.619434788303	0.630229797759	0.594042136424	0.618596886031	0.632684972627	0.606738324493	0.589609138282	0.592864795123	0.600445822715	0.623566418477	0.638106994416	0.545936640922	0.595060155023	0.574729492828	0.580268951832	0.575941439962	0.614766859098	0.674149947274	0.564788289409	0.573118372378	0.583624124907	0.565793394042	0.550904459454	0.587459539968	0.676243808404	0.569328875012	0.644592894646	0.682717949508	0.578200520236	0.667549124593	0.665909909177	0.61684360098	0.709510920818	0.613704255186	0.616941622305	0.683894851719	0.560614736486	0.566757634562	0.618437679613	0.634910507759	0.734025752339	0.65601482199	0.584198058123	0.656399799504	0.605310753059	0.607426195825	0.673390833508	0.637976015107	0.645642395615	0.652816343861	0.541305870032	0.655317480719	0.619642023351	0.720584001545	0.643141614314	0.634074922305	0.645905059742	0.68242520039	0.652608863894	0.646281608054	0.638425751948	0.631312073376	0.62705440583	0.603606677084	0.589025586853	0.604207909807	0.582522673955	0.634179945916	0.634230644324	0.625343315433	0.621956318647	0.651475737951	0.697268751079	0.618084024113	0.629196227398	0.599017938447	0.581321295328	0.629141944146	0.626156113001	0.605870405054	0.619399996489	0.616116400342	0.609059680671	0.619441932983	0.63801201554	0.597710691319	0.602065543265
CS.093	0.525587154352	0.508937077341	0.660887163982	0.572636009795	0	0.573418639211	0.681282630013	0.480701112283	0.636099898352	0.516699044185	0.55094821082	0.685517904349	0.509144838872	0.542461588245	0.661199613984	0.530813000778	0.651591788965	0.645254371485	0.778957279203	0.63896632667	0.598968216918	0.596318505217	0.561613584791	0.76519539718	0.678728926677	0.674132803211	0.628577483874	0.670029109896	0.622581535729	0.592037163045	0.740610436104	0.695866983798	0.573819721176	0.684294348461	0.704236536191	0.649397786755	0.701923083898	0.572061102222	0.600523112729	0.775823503213	0.689218273257	0.614503560526	0.654534461801	0.701612388524	0.580154498079	0.698792613298	0.601125002863	0.747541488817	0.751521001785	0.692719441078	0.672222873216	0.679218050776	0.6926439805	0.620961160039	0.654910748377	0.730774493255	0.654263379857	0.632497366088	0.66774905668	0.67816004378	0.589051424202	0.568832862566	0.621865796535	0.532166122893	0.570696679964	0.571511204534	0.721671522328	0.539002425348	0.588030435185	0.567027753357	0.58797808348	0.696677897617	0.713119136084	0.579222283659	0.644728726513	0.487497823622	0.59416433737	0.555470684724	0.508520630394	0.518117013792	0.493723659592	0.490485713532	0.506323062191	0.489070194557	0.483403342072	0.507038208243	0.565133954774	0.551793698279	0.568250269087	0.510422657018	0.66097763812	0.578787329484	0.527898319764	0.511781879642	0.557027654112	0.610751062034	0.563027883995	0.543155262385	0.70628813445	0.624016845823	0.575163221736	0.534547845778	0.60943285382	0.493133332099	0.474253455617	0.731504300141	0.529820071257	0.642987724978	0.749630833241	0.617885347688	0.698152197633	0.695376778344	0.685711573015	0.789687478971	0.627701633957	0.686985447431	0.699776644711	0.578008763651	0.616439074994	0.64639993699	0.691037304516	0.78818257126	0.653531494452	0.616498200365	0.678127376845	0.580704680176	0.586557438897	0.700282918188	0.690225216764	0.734553220726	0.704346484241	0.616083690469	0.685178954357	0.637424931219	0.772562014955	0.642800186071	0.664407564803	0.68096369645	0.742820708354	0.690691511727	0.687540312688	0.624636683078	0.709393396917	0.6259311281	0.615300882009	0.573351415394	0.567273748218	0.577076445436	0.528555865275	0.576154051546	0.643999233895	0.505616869353	0.673564362317	0.726988593482	0.639851238394	0.514347646537	0.572267050662	0.520746472906	0.658802575805	0.594337332565	0.554998887096	0.509056975812	0.557658623022	0.605387506183	0.537334532118	0.568197041493	0.54848347744	0.510557511102
CS.314	0.557263606458	0.581304971664	0.605527496791	0.569887821662	0.573418639211	0	0.661371321691	0.557990425407	0.64658987466	0.530561292918	0.605718898735	0.633219134844	0.546418061594	0.57996697398	0.603796258009	0.555417283909	0.6060407077	0.555601699816	0.726763522733	0.604058142988	0.605654549098	0.579739218312	0.573154332046	0.691317410599	0.640545364121	0.630008449803	0.589211356045	0.643098339521	0.644783691695	0.590471161523	0.665795432557	0.626201996876	0.554591531005	0.630817977321	0.613337360599	0.641494597214	0.642032807159	0.582521173452	0.591654630023	0.720701382528	0.633718042181	0.583686613651	0.568050308397	0.693864464333	0.595210819023	0.656317935652	0.563237873154	0.68939438457	0.682571831281	0.629434785727	0.640877427579	0.642723990589	0.616939527822	0.610878557907	0.619846227271	0.648238221193	0.634417200793	0.592994645394	0.630291931837	0.610583756793	0.552115660133	0.548680784347	0.572668175645	0.532797007185	0.575563971569	0.550497331581	0.671852421291	0.594343955332	0.555639474081	0.553141121358	0.550375441364	0.582585616724	0.622054913531	0.592843952077	0.563535942861	0.567389579829	0.54801758854	0.605505096028	0.623836779386	0.569395543229	0.51598730573	0.566670898299	0.558838396382	0.5735541996	0.55097153799	0.563808897768	0.509946120496	0.56823281834	0.546765897153	0.544969354278	0.621227181159	0.544194161214	0.49476381967	0.530580164831	0.563354755292	0.595689072747	0.595372024662	0.534885265753	0.63701818393	0.601096511227	0.566283790472	0.58965606987	0.570348251698	0.564638660016	0.571319209684	0.657879402214	0.584581055366	0.570425726327	0.706125491143	0.58104572767	0.644901729509	0.606661252236	0.637716530358	0.703275287848	0.608056880912	0.664590549424	0.610656970118	0.554337980385	0.558143607183	0.579775968425	0.620288726844	0.733194511814	0.591112413172	0.587257205207	0.614669966809	0.554811484942	0.596478983311	0.650469452507	0.611685406034	0.672905124134	0.615336804554	0.590752789092	0.619280095101	0.561835862518	0.695642164886	0.589791329866	0.644788319363	0.630574308745	0.686054614076	0.62542987032	0.625777316768	0.601557925204	0.620363364231	0.569179052098	0.559869049636	0.553624439975	0.546292492734	0.54807771045	0.574506630715	0.568254163581	0.573794902691	0.564804727884	0.611101546205	0.671648434815	0.564382038187	0.556066961609	0.557823182755	0.552491121539	0.573905113431	0.555687328656	0.537405855817	0.563536964973	0.534267276306	0.542189050835	0.541997257656	0.537956304859	0.515459556879	0.546089739425
CS.037	0.702112877238	0.653404597025	0.660207828758	0.562123782323	0.681282630013	0.661371321691	0	0.671397870013	0.570763752641	0.655791445697	0.643057642387	0.5950902409	0.684346011832	0.666859173236	0.551925830919	0.685582084987	0.650054415988	0.638381586525	0.666840388928	0.640957297998	0.678041497298	0.608297031262	0.639781491413	0.67465016683	0.598913505693	0.574986703909	0.620367056021	0.65710194137	0.624800647792	0.650611944267	0.670679276752	0.669173180076	0.653132313713	0.644844505024	0.643943756719	0.619985975007	0.595857018938	0.661246333348	0.630194124679	0.71284078844	0.60454176879	0.616369035924	0.654685881972	0.644270507782	0.65303853785	0.634641851176	0.644195330111	0.660072678838	0.726985763161	0.655626671446	0.665365031239	0.62272724815	0.65915554456	0.625684054675	0.631771689446	0.660087780377	0.597935201422	0.631935637434	0.645836923691	0.63593515032	0.629372764869	0.669255841249	0.631934652773	0.665589017658	0.639397474691	0.641505916206	0.623682678802	0.679784077019	0.656076203544	0.668800612172	0.665996447966	0.670614108257	0.604537550347	0.670434963244	0.613269874052	0.717308406681	0.667893498428	0.67827752151	0.698814321486	0.678763112754	0.663966104541	0.71373853372	0.724257336982	0.660109218233	0.705026964049	0.726785548149	0.683794915608	0.65643734435	0.658245182071	0.667753245587	0.671657265805	0.725304213636	0.658219791957	0.662201858182	0.648867121969	0.649659115783	0.636241872116	0.67067032035	0.697076265471	0.619862781771	0.652347922881	0.683189794636	0.593089304982	0.633490735288	0.672215069691	0.637956618865	0.673545639961	0.660673985075	0.672939855315	0.646407106988	0.695323793779	0.708802517726	0.618095245137	0.691737827552	0.62458840362	0.659962728873	0.683913981643	0.627044957212	0.631240374802	0.620542396417	0.623036644657	0.693942283103	0.69235475205	0.626592586088	0.650463811568	0.680606399504	0.632193063683	0.643003916194	0.641028798695	0.638352479873	0.641716080154	0.585505176461	0.639475121557	0.644752939865	0.701943295624	0.644548781508	0.639090915404	0.605952250833	0.7169276946	0.651136197964	0.635723121035	0.636994868576	0.593486733619	0.642172852496	0.667328289577	0.663788998295	0.675850129334	0.651001971315	0.696772016363	0.686869837876	0.655004838693	0.701919660693	0.616148655006	0.668300788979	0.634166431323	0.720454437969	0.647497001997	0.667225092976	0.629281373647	0.690537125466	0.678117686786	0.719462007047	0.686005089774	0.676240359055	0.69559357657	0.697467452467	0.678767987184	0.708299661409
CS.003	0.54623379336	0.500478575272	0.649021678428	0.582920548714	0.480701112283	0.557990425407	0.671397870013	0	0.598631766367	0.534329137898	0.570369439964	0.68798117203	0.533158025372	0.576758968873	0.653615914814	0.542283711387	0.648742110122	0.656056521258	0.767533449818	0.653915284249	0.599186080514	0.595100782068	0.569602124632	0.74559272618	0.659130350265	0.678950441462	0.617567269465	0.652707085177	0.639831851941	0.61682749863	0.729588334138	0.695550293509	0.583071653433	0.672526981856	0.687922129063	0.647059012151	0.685118265743	0.57283586546	0.610552632096	0.767998083607	0.691124247433	0.604585725591	0.650135534011	0.670408575607	0.59045157219	0.692529764123	0.599722557275	0.738279503747	0.718726404235	0.685027088467	0.672934291108	0.669888255881	0.681415738195	0.608700132654	0.648911276274	0.709246843381	0.652205144691	0.622520471759	0.657984699186	0.659658730973	0.591354489639	0.55958873409	0.631242511265	0.560419338496	0.569776457477	0.571291909634	0.719367522459	0.546062028654	0.585486664691	0.581619035119	0.598159088255	0.689583557567	0.705134782247	0.586444886618	0.651577477493	0.53782215397	0.601983238992	0.567110437048	0.525371390941	0.549054252726	0.51224775995	0.537036541976	0.518955632542	0.546160750533	0.511108717563	0.5521227068	0.562567732413	0.539267264504	0.583744624583	0.537307776137	0.664044576234	0.604728978697	0.530591105965	0.530988808668	0.544891563927	0.617444814988	0.591647264894	0.536261622241	0.721208949739	0.603032814413	0.591366295789	0.534016786797	0.582326830006	0.508660474534	0.517674062073	0.710279957843	0.531766488957	0.64182112855	0.755351266009	0.629098857868	0.691038030466	0.699626159575	0.674255683829	0.780832584814	0.634473198537	0.68160213979	0.705496026091	0.585233690704	0.614957296977	0.652200520421	0.688103314178	0.783070761044	0.65894625738	0.607218906215	0.681550518235	0.579706041135	0.588431961199	0.722462387821	0.683283539258	0.718095959881	0.700451603644	0.620959131028	0.672745904728	0.652045153956	0.767514840817	0.646259720729	0.673673828825	0.678119312007	0.721323172657	0.705151517001	0.672565321357	0.620550347548	0.697519404703	0.622385258617	0.615138177302	0.591253023688	0.587650488919	0.575285453571	0.54302356083	0.603571377819	0.65529277869	0.5434635709	0.684654757037	0.73710056888	0.63176486217	0.538635645221	0.601841453407	0.531107728069	0.664716573578	0.633238088336	0.54040903939	0.545213754865	0.586354298571	0.624806242254	0.547640175215	0.557386024163	0.570830607645	0.544307025975
CS.036	0.669628458683	0.595978912568	0.605413672543	0.604518715749	0.636099898352	0.64658987466	0.570763752641	0.598631766367	0	0.597418014988	0.598950048964	0.640171095615	0.66392679315	0.661300292227	0.601678120704	0.629142580613	0.607257872083	0.666722996912	0.68621098484	0.602986725986	0.574901956807	0.538966698355	0.64380475882	0.665183896578	0.593451529911	0.573511077607	0.567549496896	0.586468864014	0.61278134779	0.660405423213	0.659595168266	0.66614635508	0.615997640292	0.637911534202	0.62248574505	0.590323642064	0.629041691519	0.610765517917	0.600642178721	0.717081899592	0.583726390107	0.555641603617	0.625844939116	0.579883838562	0.630659168994	0.641438642448	0.627636566035	0.653034880008	0.656843729932	0.636268631109	0.604256286281	0.583988982424	0.633989118478	0.581267772383	0.630366422775	0.678998141673	0.590221591554	0.581110895801	0.605790525044	0.608936787157	0.608267837512	0.606791792374	0.610963442677	0.634005739937	0.635359360706	0.624154703422	0.671340821595	0.589491394831	0.607402761533	0.625384718745	0.627022717538	0.652520722642	0.645352258329	0.580684268994	0.629871426639	0.675457725797	0.639736836933	0.617149090736	0.642799107906	0.665204332455	0.630734844914	0.677602936559	0.662862861569	0.632247449381	0.660086993666	0.698989984581	0.665697508947	0.604102838154	0.651611280356	0.64053357478	0.669745394007	0.713385385953	0.622482868931	0.637470912249	0.609480027921	0.634454888321	0.668884667354	0.619450855883	0.695331297418	0.573358657682	0.631054653072	0.635942042509	0.61255142394	0.581816478735	0.596091529265	0.635958955968	0.625895520157	0.617005478267	0.665335953643	0.639695291339	0.666037087645	0.697550286115	0.622826138626	0.712301260024	0.610597078125	0.647323251901	0.684112354351	0.623348735842	0.654193237068	0.60891199261	0.611130152835	0.714978669488	0.676611536278	0.567966190336	0.660157158975	0.618655668603	0.587026015838	0.657921430989	0.647365406761	0.610378542394	0.630101394628	0.585643942317	0.61752254483	0.613997840334	0.740961742896	0.652154925794	0.633933990882	0.592973934784	0.699344574367	0.655004360139	0.618307513568	0.606425432986	0.673391743271	0.631335747195	0.642682477489	0.651183142323	0.632258745453	0.633179844685	0.65455553436	0.63431045364	0.642104640632	0.653322580208	0.657142935356	0.707653452771	0.61462897813	0.661149588099	0.643174653512	0.61504651329	0.675627947096	0.70289911201	0.629438665578	0.691921512268	0.695597517924	0.713249726807	0.641516226962	0.63503686472	0.685806212831	0.670376133348
CS.035	0.545143282647	0.546553755128	0.638614782107	0.556321908192	0.516699044185	0.530561292918	0.655791445697	0.534329137898	0.597418014988	0	0.596188580807	0.675460270057	0.536466304914	0.589905087186	0.642159882769	0.563980197238	0.586304639209	0.590445068156	0.729714112885	0.624624571971	0.578240492211	0.574675646946	0.539305840972	0.732577645216	0.630013508223	0.611693290647	0.610637286175	0.640958282292	0.617025019348	0.573959469693	0.713736626953	0.658141725416	0.556682074529	0.632917191837	0.660620534074	0.590388477158	0.670800575675	0.579745412813	0.548314762985	0.747877366478	0.648086914977	0.548350623564	0.58971409722	0.653546985017	0.583941770649	0.668420545878	0.586452975456	0.709142104297	0.715514519971	0.669685900364	0.648435722599	0.658861086245	0.662580882956	0.608271919801	0.630690437957	0.691879223145	0.63992219799	0.612805299468	0.640403213388	0.651865461186	0.591487201531	0.544150030778	0.605596343541	0.531241219416	0.574784945929	0.561784972365	0.702143996041	0.557486775984	0.582673296882	0.564196753032	0.575971365562	0.6354423078	0.682355175783	0.559124986841	0.638779370942	0.58015393348	0.578657326179	0.609961302973	0.609573125715	0.59161936256	0.529239696313	0.568788991186	0.578519041869	0.563737699553	0.560206637409	0.579632667856	0.564594555437	0.586957822605	0.582059142153	0.56820844394	0.636671376179	0.594638949192	0.528613002027	0.541929453289	0.584297455783	0.623617071732	0.550686334848	0.559874182059	0.670775971652	0.585570085335	0.575327219738	0.547564754737	0.601485809436	0.519633458712	0.534680830275	0.706488296086	0.526762898768	0.588463972803	0.722235085826	0.567769782228	0.62577370472	0.655517668842	0.631737992469	0.755056677111	0.617864961447	0.670779021461	0.6411754443	0.529934768135	0.552791627704	0.61113925433	0.646509622995	0.759162325558	0.608302669126	0.580431192962	0.631302746988	0.557251779465	0.595323215392	0.673325620109	0.64475803762	0.691696640646	0.662144283877	0.571048007016	0.640681996517	0.606914122658	0.746895122853	0.63106618925	0.628711760532	0.654030340508	0.704437279678	0.636689088356	0.646956021376	0.621918376958	0.647378385283	0.595619890681	0.571249995377	0.563545502311	0.576229916307	0.552642297014	0.558063400203	0.556418901102	0.59190265617	0.542076566219	0.645685693245	0.71810566686	0.601442370274	0.564453403721	0.566171793169	0.567733467329	0.618030642288	0.605154529572	0.540197982585	0.561156686757	0.575722877378	0.580254792617	0.564063948001	0.548485539773	0.571197358074	0.566461362685
