CS.106	CS.265	CS.009	CS.091	CS.038	CS.098	CS.280	CS.017	CS.021	CS.005	CS.092	L.002.M1	CS.101	CS.011	CS.019	CS.335	CS.365	CS.077	CS.066	CS.073	CS.117	CS.122	CS.161	CS.381	CS.058	CS.290	CS.118	CS.341	CS.287	CS.063	CS.375	CS.236	CS.128	CS.213	CS.380	CS.203	CS.374	CS.232	CS.205	CS.125	CS.376	CS.282	CS.292	CS.041	CS.224	CS.166	CS.348	CS.182	CS.183	CS.147	CS.359	CS.178	CS.268	CS.129	CS.256	CS.395	CS.389	CS.349	CS.369	CS.323	T.CS.004	T.CS.089	T.CS.048	T.CS.067	T.CS.024	T.CS.071	T.CS.016	T.CS.085	T.CS.014	T.CS.040	T.CS.020	T.CS.019	T.CS.080	T.CS.072	T.CS.058	T.CS.111	T.CS.117	T.CS.124	T.CS.097	T.CS.108	T.CS.177	T.CS.091	T.CS.100	T.CS.105	T.CS.092	T.CS.120	T.CS.106	T.CS.112	T.CS.178	T.CS.131	CS.088	CS.015	CS.103	L.024.M1	CS.087	CS.246	L.034.M1	CS.241	CS.356	CS.006	CS.238	CS.242	CS.085	CS.237	CS.082	CS.044	CS.188	CS.234	CS.191	CS.189	CS.151	CS.345.0	CS.207	CS.363	CS.212	CS.308.0	CS.304	CS.311	CS.338	CS.228	CS.319	CS.163	CS.152	CS.227	CS.080	CS.112	CS.322	CS.343	CS.321	CS.331	CS.285	CS.318	CS.223	CS.339	CS.361	CS.270	CS.145	CS.255	CS.393	CS.326	CS.370	CS.262	CS.390	CS.253	T.CS.031	T.CS.043	T.CS.045	TFS.027	T.CS.036	T.CS.008	T.CS.055	TFS.025	TFS.021	T.CS.049	T.CS.061	T.CS.066	TFS.022	T.CS.064	T.CS.026	T.CS.142	T.CS.141	T.CS.166	T.CS.158	T.CS.152	T.CS.109	T.CS.095	T.CS.151	T.CS.157
CS.106	0	0.574148356771	0.603399588221	0.612564598992	0.621697436632	0.576594526715	0.609331128897	0.577237017814	0.596316492306	0.53506781967	0.49581688596	0.656245096721	0.588780186297	0.552954776713	0.559335985464	0.728503969963	0.581916978592	0.544416714708	0.565962667496	0.577538861541	0.519082770707	0.513371080534	0.593202810735	0.565190919541	0.519517564595	0.640102329386	0.48786590513	0.652436037232	0.600798241747	0.57780692114	0.618248150655	0.617961158334	0.624496350537	0.657794170564	0.59543393293	0.615022776278	0.630716649207	0.501202436125	0.704226967594	0.652975428516	0.629988470765	0.646956862494	0.542051934943	0.573420283191	0.738411882398	0.657891613626	0.593645540642	0.594057387406	0.688436639849	0.646193131268	0.692003738294	0.61672107788	0.618710903581	0.576142713081	0.653339359169	0.60212775973	0.632404909393	0.609737621379	0.673044718811	0.626082841553	0.604708941792	0.576945414086	0.611897004889	0.598350161278	0.581940671331	0.593222569125	0.599259697267	0.593055131929	0.586198327296	0.568734856875	0.590114172387	0.607967403998	0.649986350285	0.567768439522	0.581546668255	0.616124992259	0.597284128297	0.530343689044	0.609564653953	0.607746535197	0.59613205351	0.605851867037	0.592717383929	0.565073221465	0.603016435493	0.586820034902	0.617060052717	0.603207929269	0.576743263528	0.603449323669	0.670538772131	0.611597314215	0.540522783219	0.63731816747	0.582863755931	0.576686503699	0.583663167492	0.598135428571	0.680162594758	0.535527663245	0.577907264038	0.547434416748	0.424459997383	0.536578346005	0.480947124248	0.562572647806	0.69584196219	0.629584685805	0.590302867218	0.611421070443	0.594842019602	0.684131703203	0.628209831941	0.630824174157	0.695443803479	0.602474121581	0.665725548696	0.603496131661	0.577856035609	0.500668411763	0.635086354014	0.526276625123	0.568702338572	0.737817132929	0.502227588377	0.502303782056	0.669121833568	0.646173529179	0.598143100829	0.572728260765	0.675244816928	0.617716683458	0.62256953468	0.650896740538	0.662797218159	0.650256571726	0.614694544241	0.592471529922	0.627738747845	0.59202925693	0.636277040315	0.651473600065	0.631758576065	0.703290188249	0.595251888558	0.607313353817	0.607126794352	0.621591312804	0.52880975065	0.657126561334	0.595176629949	0.634869343718	0.619318651905	0.650573889753	0.642129332029	0.597241183991	0.594237025457	0.591499807316	0.694450644411	0.655878177225	0.655842711666	0.596391689194	0.589470665796	0.587986514261	0.591099331602	0.602741178224	0.636982909064	0.585608595821
CS.265	0.574148356771	0	0.698602020123	0.689808401958	0.690933308444	0.523403447188	0.508258729675	0.622892961621	0.670182211781	0.481863844711	0.48235361706	0.672876020627	0.569231191495	0.48215985404	0.609360293511	0.782516688813	0.587032802012	0.6224552866	0.648437023303	0.682082907472	0.622520509589	0.579960382836	0.702717484724	0.568524907997	0.629652034474	0.702101866738	0.634919314434	0.693425666571	0.61780145226	0.721666804386	0.684532601052	0.716739709643	0.602932965594	0.712957457918	0.571146621457	0.590726276457	0.685554477987	0.552531139558	0.730830094843	0.678653483704	0.696822014035	0.702566775255	0.623203923948	0.688949008475	0.782217770551	0.67993284431	0.591512541078	0.601330962779	0.746438636878	0.696249868933	0.753218472844	0.614564203431	0.670226445199	0.611196146214	0.658709843652	0.642861246845	0.677836900152	0.622830151047	0.741235439601	0.643768481077	0.637666075097	0.615837381016	0.601694198859	0.621610918623	0.613689664449	0.587645800639	0.605491872574	0.581696729422	0.583785849523	0.540387714828	0.502816371107	0.65815129856	0.678806907582	0.548560396774	0.595036195122	0.574816206465	0.542501066356	0.512913397848	0.502429025201	0.465015550674	0.488115969362	0.499595744979	0.499498683213	0.496057920408	0.479424182499	0.572775635351	0.463263758819	0.599350704724	0.466365573139	0.476281700573	0.719109511033	0.630303817112	0.582547438837	0.614122600618	0.650916149509	0.535626561125	0.584241178575	0.575195447001	0.750851270923	0.596801877806	0.616922328671	0.513637299664	0.526054929374	0.664682796926	0.511741759423	0.629788574857	0.723757175436	0.684654596021	0.568820669202	0.647431355514	0.613384904501	0.79096705924	0.694314561195	0.676195392171	0.733049273036	0.723511667342	0.728938835092	0.669657037636	0.629400824494	0.639854187179	0.696908332727	0.673949482664	0.541034133798	0.811513998632	0.652606925928	0.663662864014	0.695330817391	0.702224179748	0.623322019942	0.546744710971	0.750826884491	0.680688670659	0.665247077851	0.714534723984	0.72426818275	0.677284177744	0.615078073845	0.623070762748	0.6928871714	0.645779981715	0.675644809833	0.695987241037	0.684745293575	0.753436441053	0.614926184529	0.612122353044	0.63593972645	0.607737810048	0.547374016214	0.684785023821	0.592035914141	0.664098977304	0.647299772177	0.693307578703	0.668011649939	0.530979346262	0.49675472575	0.576030789062	0.740288399448	0.642196703452	0.638609272265	0.556340680986	0.512250764839	0.57159594321	0.471312210241	0.483326994976	0.574332177008	0.617240491992
CS.009	0.603399588221	0.698602020123	0	0.610949179907	0.611103790288	0.667526018588	0.681022496639	0.63033446495	0.526763994828	0.657916398314	0.650366756431	0.602095557998	0.688210611318	0.625075226151	0.606959905548	0.596057981171	0.613320047441	0.637331460242	0.624712054855	0.624178078781	0.607732275025	0.645515894049	0.532651613718	0.615140559726	0.575768523454	0.542444365919	0.608059368718	0.562301010677	0.583770206243	0.608970575352	0.602487294767	0.630286340639	0.614979641279	0.558015245483	0.652639667241	0.639078787786	0.56145435054	0.634918161888	0.58475121132	0.531801221913	0.541918766906	0.581994844945	0.578433419139	0.595514291737	0.642796401354	0.618463534988	0.607911464799	0.595569404944	0.609839805315	0.55730589417	0.634202952391	0.632850117688	0.639776321855	0.612401384492	0.581864939788	0.611847478471	0.571642061097	0.60544370226	0.627277305063	0.609215514712	0.605923810631	0.612956714515	0.586708481215	0.609987505276	0.593736936419	0.645113912396	0.602844786669	0.64032544995	0.636427804406	0.647706075591	0.699618936048	0.611205423151	0.606949594038	0.654079071398	0.638503144643	0.653106358779	0.650737469513	0.649061504312	0.689741177439	0.704632824532	0.669553430455	0.696426765992	0.686965709464	0.686530064668	0.695902510214	0.628146621735	0.709583252331	0.609744169359	0.657051516597	0.671521706415	0.642821720241	0.664500505875	0.632411675115	0.661637953451	0.61471763074	0.634799909827	0.579558938691	0.659568435171	0.627426857181	0.59613992055	0.620274437303	0.63281639909	0.621544069523	0.582546974503	0.655688634315	0.612228111398	0.627948506657	0.627379048171	0.675253478718	0.58056765455	0.621862838343	0.61782949748	0.597112595729	0.550079203918	0.614287864188	0.577111692507	0.666175726493	0.603174440501	0.586029867766	0.577550430449	0.56008943728	0.575734900148	0.635730578186	0.632000894953	0.577058096068	0.556702691127	0.554743040961	0.578799445241	0.639040481081	0.593051098241	0.565940648244	0.545814811657	0.576785460374	0.612777959024	0.60242964483	0.592650881523	0.61317226882	0.57862009549	0.633567218902	0.560966726213	0.578349923625	0.5860174377	0.604833024523	0.647751538432	0.617434212085	0.659118007618	0.635024891151	0.631320323359	0.627140839535	0.607836978109	0.632012233495	0.606689432759	0.634291971661	0.565432275096	0.614722126282	0.680959881044	0.683583373645	0.635783302765	0.611766401303	0.642320277559	0.656939960711	0.646819993239	0.668117907362	0.61774321497	0.691572907621	0.700229509335	0.659973354986	0.639711681707
CS.091	0.612564598992	0.689808401958	0.610949179907	0	0.667419922978	0.667979757162	0.683762555855	0.673321114691	0.580968533127	0.667046207592	0.614529808564	0.651961572601	0.665361877771	0.654158631384	0.652853496906	0.655821836085	0.653793516836	0.585320803476	0.664692136991	0.633442055633	0.643270203066	0.654330955198	0.58346022163	0.598561245729	0.573035332322	0.593044807458	0.647089752952	0.59649705548	0.581615068436	0.617468423774	0.587707166895	0.653057113892	0.60204215205	0.592164775654	0.649368997943	0.65398002027	0.590344513873	0.615556587281	0.599934234823	0.599348945718	0.575236441227	0.602440802764	0.573454641443	0.635168402225	0.657047273827	0.616915953548	0.617058050893	0.583622127646	0.642720142074	0.573978393442	0.6263235182	0.633870978415	0.602979199517	0.621799753081	0.580880283901	0.608489038794	0.557448403015	0.577915825452	0.622624559083	0.566864684007	0.631291381173	0.649197759956	0.649687464517	0.650269319525	0.642576850072	0.669965228225	0.622458400568	0.652372502478	0.643577853935	0.662702318248	0.690649883975	0.648524214703	0.626868722248	0.639167681607	0.657544984479	0.6686084521	0.644177794621	0.668473695086	0.689740872981	0.698119490777	0.679768048017	0.693420878667	0.698159486645	0.694311373047	0.696225216483	0.643928442945	0.706720582659	0.638891588552	0.65428988242	0.670526601055	0.706770624454	0.68731094086	0.625760274416	0.691066357893	0.653690740445	0.648002494769	0.651363871708	0.668482059076	0.653374104747	0.636858825948	0.630638573349	0.65986153589	0.616654416442	0.591414254023	0.629815818598	0.632935729403	0.639897572555	0.636885755825	0.65158849238	0.606934913991	0.646170152743	0.647516959295	0.612086027328	0.593409827968	0.645389589067	0.612517757843	0.633106506911	0.645929316744	0.615889177147	0.629132995827	0.56948650895	0.622130157411	0.62545218816	0.636678209721	0.584395620989	0.622108829513	0.61093121022	0.567247007776	0.66000290009	0.59333009622	0.614585299153	0.588031831924	0.575314251163	0.634933759015	0.620209294098	0.579021189982	0.622386889263	0.579821166252	0.647181607244	0.584358624469	0.615450615685	0.607573052032	0.562146185704	0.644860979719	0.65924844437	0.671588652849	0.661896879901	0.677966531408	0.65629291823	0.660878115565	0.662373043497	0.638798046486	0.659618910879	0.635305462393	0.650939940153	0.680388415063	0.674664145966	0.651786832661	0.665394560387	0.695690330518	0.707000162821	0.646999934028	0.657891174495	0.650348332491	0.672990442325	0.702469643689	0.683121461201	0.675727722662
CS.038	0.621697436632	0.690933308444	0.611103790288	0.667419922978	0	0.622704464554	0.615355504239	0.529056636734	0.622052923168	0.619576053862	0.647891260152	0.641473293502	0.583338900864	0.650425792179	0.528124974273	0.72987233251	0.560419711603	0.591366515965	0.518164327775	0.586890749728	0.576372991179	0.561305425847	0.645064528942	0.619674594015	0.623662226201	0.668624869656	0.547945011939	0.689102616205	0.693763540024	0.664662819349	0.58717103376	0.692224244828	0.623604274623	0.647259120987	0.625560050723	0.559526837153	0.667886428206	0.627277032589	0.71307370828	0.664624441451	0.644378016819	0.709110439488	0.647880252351	0.621293085833	0.727361790971	0.699967761264	0.681694081424	0.666298486257	0.716447156377	0.648355647868	0.709503628504	0.652036692453	0.691776302697	0.621706734676	0.677616082149	0.673175157662	0.665969866199	0.6830024052	0.718540965444	0.693665510885	0.61486810622	0.636273544825	0.589320241801	0.579106865558	0.610568839143	0.621713062323	0.620133786542	0.593301557505	0.659184151803	0.599811477934	0.666977860205	0.610165438906	0.610986589727	0.635790581538	0.589121244743	0.58148529019	0.59834186147	0.612341748537	0.617062076067	0.653527574325	0.626120439902	0.633492815336	0.637713682316	0.698724308281	0.664569361701	0.590384698921	0.656973071	0.577374527292	0.644061935739	0.629363016977	0.553756264671	0.554297736683	0.608201808958	0.610899385332	0.513678521256	0.60129251927	0.587356132069	0.577303333726	0.660184134078	0.552378418456	0.563787294469	0.601892678024	0.62554840771	0.642717331999	0.64229029331	0.524361891273	0.651470506156	0.675679908478	0.596764367122	0.669250898525	0.651478020822	0.69474465856	0.668944361581	0.670067336548	0.635684501482	0.636834536981	0.683970796742	0.56414662081	0.664982109838	0.604136200704	0.66863967781	0.610836862277	0.636923642873	0.736159831281	0.59265040114	0.602645670735	0.684369578176	0.682554257443	0.551536066465	0.675882631422	0.684674597611	0.672898123743	0.69464012841	0.602455719329	0.622936140405	0.683841832175	0.625390690353	0.671428931235	0.633525566314	0.672465608123	0.658407476175	0.64291908768	0.678276907978	0.718015823226	0.577076064037	0.594358706501	0.595695275287	0.577030482367	0.643356068203	0.578118425602	0.609807009013	0.600082309319	0.611459476627	0.648635331824	0.581749985932	0.62869902613	0.64229982795	0.577889420402	0.706325063604	0.564196286073	0.566086657375	0.628072452648	0.619464719541	0.609227033845	0.635168121496	0.634895553445	0.579503387823	0.550469752086
CS.098	0.576594526715	0.523403447188	0.667526018588	0.667979757162	0.622704464554	0	0.500086409019	0.527114184494	0.645163474759	0.49470383278	0.517620673309	0.67403963917	0.445599563128	0.514741043181	0.559861319536	0.774942538846	0.575216556397	0.578410004694	0.592800725429	0.651338893221	0.545229008647	0.532212464561	0.698726027196	0.550466457039	0.626620701362	0.690122629769	0.59120024403	0.694579709443	0.632273174417	0.723860614152	0.654281375279	0.698631898389	0.612406692772	0.713373783195	0.528149337649	0.571418340397	0.684875737711	0.535049733571	0.734275780706	0.697754328397	0.68774603669	0.713393169076	0.582706999288	0.642084985517	0.782481103133	0.692169160514	0.594419956199	0.60339492013	0.757410251188	0.687775605937	0.766046729035	0.603463154071	0.699111730981	0.6090026056	0.680038941345	0.647579101368	0.665461920099	0.633741244986	0.763173594251	0.656699719792	0.611240993873	0.604238901339	0.565889114002	0.576099565865	0.584288366644	0.5620350076	0.579738896305	0.585400496768	0.565576416164	0.51360930813	0.498805221667	0.655464745721	0.635690719061	0.529871405662	0.596286099159	0.55856528301	0.537957340398	0.518252321423	0.513686072607	0.472817403564	0.511680463601	0.489287497807	0.570383069067	0.554782102432	0.571606047389	0.561768154577	0.502899919077	0.589883664155	0.496182901395	0.545669950049	0.660356511613	0.570692043632	0.524155403145	0.605835666976	0.644395115834	0.562926540251	0.605206742726	0.476239139471	0.724575936055	0.575952781726	0.577726921497	0.518566531259	0.534482434208	0.671944341796	0.550209112066	0.55711872875	0.700067714259	0.703497222239	0.513244981343	0.652196206031	0.601774187257	0.784847802683	0.710305363885	0.684499086771	0.701792140901	0.708756643935	0.721256120125	0.615772308298	0.641454990196	0.640530038882	0.684143961202	0.676045422133	0.532352734367	0.804836698449	0.597440707781	0.654325403681	0.706928681571	0.699677469387	0.57436105276	0.576751088079	0.752665941699	0.687776215423	0.67484754918	0.689343883326	0.706679484822	0.67101558754	0.611253501839	0.610067092413	0.679446276804	0.65022129682	0.65076134323	0.665655415963	0.663431830261	0.756540727757	0.552503176518	0.582344458927	0.599633839588	0.563592837153	0.548872449824	0.629418902764	0.555733816695	0.632970250778	0.597391584078	0.678423929681	0.638972155219	0.533172212163	0.516285433209	0.532274506326	0.734120867344	0.603048300777	0.582476181342	0.582637860574	0.532273513359	0.554513081022	0.521757162059	0.496486578723	0.556268204784	0.582519315432
CS.280	0.609331128897	0.508258729675	0.681022496639	0.683762555855	0.615355504239	0.500086409019	0	0.546508904973	0.654303345233	0.491874071435	0.54177955393	0.661754829739	0.511096642361	0.512198556434	0.530244979555	0.780086570474	0.523369742334	0.573165029148	0.606970022211	0.664030645923	0.585023510485	0.550046268526	0.705525928084	0.57062765614	0.628366039161	0.683872867359	0.604360377921	0.686932901756	0.662460417018	0.727907026435	0.647176941288	0.719511470885	0.599817325163	0.704310659898	0.545480431433	0.547864394752	0.677191558095	0.554528129687	0.712662869223	0.668315097551	0.686518119572	0.702110579932	0.629496186629	0.688477680879	0.755003291566	0.706826340424	0.621268593738	0.610717754627	0.762900913484	0.66990029022	0.726781112277	0.605482957557	0.706978549682	0.600981538607	0.661719424046	0.661849988245	0.686220476512	0.661795399528	0.769965886015	0.646941198934	0.5954584561	0.595176145116	0.564006684087	0.556692776611	0.563018648345	0.53924286868	0.585981043615	0.524497056148	0.578885343142	0.471419580001	0.5096499244	0.669349096341	0.638115455534	0.545197110376	0.569785530876	0.480800388592	0.494510142361	0.498751141956	0.453661668358	0.431215999968	0.469567145005	0.432480062556	0.492666156967	0.573070808076	0.540324218134	0.496503969839	0.430473498779	0.520488488491	0.468823207182	0.452190767864	0.64935691803	0.562769236677	0.579906082556	0.53338649497	0.588412205483	0.509548550178	0.586423625843	0.495306638857	0.702067763834	0.518542852975	0.562714857254	0.482841361174	0.562269529028	0.671130442555	0.561705667993	0.555935866146	0.662456554884	0.682010669294	0.506338221322	0.642061164606	0.634156247226	0.786993369634	0.708202453792	0.687318178222	0.650627733316	0.714283458227	0.713497282386	0.615349164241	0.657955214685	0.637981429162	0.672617721329	0.67791615382	0.526069377314	0.788970634908	0.626050834909	0.684947815559	0.712436220487	0.664365922501	0.547670078654	0.592938306462	0.755422237078	0.685340921362	0.67526973762	0.683113425422	0.682985179559	0.672385334812	0.585169449734	0.618084880735	0.688645749424	0.63799138223	0.66959556546	0.684852840419	0.66472178472	0.753098372429	0.549014724262	0.529904197644	0.585903193743	0.525567264275	0.538112879025	0.610284068336	0.511096721741	0.580632245661	0.606599416376	0.652196854494	0.593417274613	0.481259994081	0.468897721871	0.526575327799	0.741336787612	0.542652411111	0.522334794575	0.494252711599	0.451949466708	0.518061260155	0.432423887436	0.457050701988	0.455740873916	0.523524988416
CS.017	0.577237017814	0.622892961621	0.63033446495	0.673321114691	0.529056636734	0.527114184494	0.546508904973	0	0.632813267639	0.575844183259	0.574743449102	0.654820838642	0.526162816245	0.594764252944	0.529978519795	0.755454200249	0.564872357266	0.560711190023	0.539872448776	0.603530915493	0.572649506087	0.521310177131	0.671759867145	0.60025420091	0.615821240132	0.679628333711	0.566719798311	0.687615627539	0.660485230065	0.672533630778	0.629816947481	0.658846170682	0.621781504558	0.667324729668	0.60753043162	0.556617545876	0.664223398401	0.601261327705	0.706554622154	0.697719758912	0.678211234635	0.698515197329	0.616265031303	0.638533562216	0.747324431172	0.695507232658	0.644520790178	0.646849261636	0.73670031594	0.684138392878	0.75004574791	0.657107098251	0.688385507463	0.618640819644	0.672887166235	0.666953199544	0.678874460107	0.66574605727	0.730640882304	0.669255165928	0.639940948649	0.595191526629	0.592815613326	0.620361654901	0.584427940735	0.609178450932	0.599868674718	0.603396261739	0.636680065514	0.553677338642	0.589685712447	0.652039192922	0.654852801863	0.593659676931	0.590984337176	0.576483384348	0.578331215081	0.567100525598	0.570667600188	0.580498679727	0.583681188502	0.575439732308	0.586622196485	0.644213290798	0.634974866921	0.572572417362	0.585065377454	0.576108181662	0.56585865925	0.599065390273	0.622786952726	0.519716555685	0.563194579104	0.607980277866	0.586749348162	0.604361680555	0.554696606714	0.527692841086	0.692809305267	0.549883311659	0.566945118105	0.585040179589	0.564123531781	0.635249239923	0.598148545343	0.536008057993	0.693131299841	0.695606773459	0.575182357211	0.671555972976	0.634989612571	0.746023015305	0.691877260437	0.674484226736	0.673198570939	0.67716789316	0.696984274414	0.579895247806	0.644167796556	0.586585531368	0.66188808918	0.646967951573	0.58874103118	0.766260678054	0.607744974441	0.60934894568	0.699390248794	0.671459651272	0.563644237861	0.617215002737	0.720722839622	0.662216743628	0.690800986053	0.673391630047	0.657588347411	0.676835048396	0.62154530346	0.641863662453	0.649032395829	0.668096661141	0.649764726646	0.648155543064	0.678471048035	0.741795861636	0.571661614606	0.600419660955	0.578542765812	0.578562893219	0.585365020391	0.623557435708	0.565728936659	0.629441812964	0.63281555338	0.663277449773	0.62864266103	0.570281200017	0.602182699356	0.569949757736	0.726174287275	0.597032296264	0.570805381951	0.610119176748	0.593350573708	0.599583664275	0.570271771389	0.56649420418	0.57432779352	0.576595259544
CS.021	0.596316492306	0.670182211781	0.526763994828	0.580968533127	0.622052923168	0.645163474759	0.654303345233	0.632813267639	0	0.636943954241	0.640860483614	0.612108804234	0.659330223576	0.615739063848	0.579399948573	0.617433427164	0.610037542965	0.584974126865	0.647748699024	0.613607039996	0.594845777106	0.630638088596	0.529775322819	0.588028169185	0.542789138155	0.578428602974	0.606819695616	0.552065574468	0.582335652608	0.586354522807	0.572991464209	0.642304140867	0.586573116714	0.586011405221	0.608564359007	0.618335848782	0.574881927048	0.610797576035	0.587033114654	0.532094176665	0.525609261062	0.581361826243	0.575977297541	0.577495815264	0.672671517811	0.629425717061	0.573260596917	0.54540483404	0.637184569475	0.55770158467	0.631083565988	0.614240372031	0.636280192071	0.624661583611	0.589083439413	0.617552705526	0.540717622962	0.581546382353	0.65460099371	0.571073621483	0.564892223708	0.579326258385	0.576748803226	0.586990989086	0.555157040741	0.616109240191	0.570610600108	0.588395709238	0.597577311248	0.598028476155	0.669074403984	0.604214336426	0.588728168644	0.600744065774	0.621364234257	0.617702922346	0.62597529856	0.63575741006	0.650973563201	0.673303268248	0.654452976935	0.658328867673	0.659140502081	0.660194066808	0.681057007324	0.601587503013	0.677275625143	0.578509698048	0.626926074683	0.636938297651	0.667744611581	0.657258351914	0.622176840054	0.651659711188	0.608142966288	0.609628407066	0.585318806827	0.652187158371	0.63483616274	0.557381035231	0.587964718335	0.604084494233	0.592064479314	0.575812929821	0.621246092362	0.56929937245	0.605009832459	0.617126788332	0.631430462489	0.593585985564	0.601338818051	0.623373310986	0.604449872003	0.546775466558	0.613286136066	0.592505088846	0.671348508968	0.60902543482	0.605319253106	0.605169662497	0.555064208697	0.570838566199	0.586780728685	0.652206794462	0.563424235547	0.566290090885	0.567411973052	0.557624021802	0.621371230817	0.560033075281	0.594546341044	0.530326181564	0.582572194101	0.604573191152	0.606501374579	0.592613365268	0.585323979723	0.547419900186	0.635467662985	0.563407249698	0.582139917764	0.568561499512	0.599533188166	0.659145350691	0.585342102589	0.616201227979	0.602426088195	0.597660819169	0.617738131898	0.590489904464	0.590362665147	0.561345788536	0.607493184412	0.557609203962	0.590481990552	0.638834221441	0.642465821414	0.61202618972	0.601086405771	0.654748960879	0.65093298383	0.608869204399	0.617045821563	0.578433579513	0.652267572482	0.672039708765	0.648137562074	0.62925814202
CS.005	0.53506781967	0.481863844711	0.657916398314	0.667046207592	0.619576053862	0.49470383278	0.491874071435	0.575844183259	0.636943954241	0	0.486489573777	0.69158531477	0.519469912195	0.448494839121	0.553448562955	0.777241589529	0.54971096065	0.572230429714	0.587685822938	0.637117826733	0.545389540292	0.513337975432	0.681440705166	0.55533348705	0.579600527497	0.684162825507	0.571771012324	0.690805556956	0.634731754786	0.682512054882	0.651724747734	0.696682025911	0.606233448657	0.690160639771	0.555968001893	0.583422313539	0.682768859504	0.482129584987	0.729427919259	0.682192160574	0.687984403573	0.695782217174	0.587546139732	0.653921671385	0.764691881125	0.696405418836	0.604827915448	0.603862358106	0.745878871215	0.673768849526	0.729568170471	0.612543719661	0.665860806574	0.590098344385	0.665334664415	0.651058558233	0.654562436581	0.643773346338	0.736426032152	0.6490876971	0.615852434059	0.597913638811	0.58556073712	0.578503018809	0.583076690086	0.542161451705	0.59423516295	0.567026897519	0.573240378722	0.519347682992	0.496460153396	0.627824409194	0.660318600101	0.528181088159	0.583597117174	0.564928899891	0.526122498045	0.483216710548	0.508503637723	0.468165583004	0.49443843254	0.485449990025	0.530551185231	0.509100887412	0.522261957864	0.562331818911	0.483437042504	0.57481369994	0.485312792	0.496878197923	0.680795921033	0.589131619684	0.53151213506	0.577737880826	0.602856483996	0.496909484431	0.594722536511	0.520953473855	0.704058332013	0.487759724562	0.553443508755	0.508859392581	0.475794766895	0.613738912199	0.475202275758	0.564990332404	0.694353547818	0.659147809003	0.518547857749	0.624849909148	0.596914590281	0.760891409313	0.679223269815	0.682427417596	0.68428728707	0.686334095527	0.691368798449	0.617403333437	0.615569126847	0.587227833908	0.690013985892	0.634336233368	0.538515685973	0.791193872107	0.590912125749	0.63115376853	0.71009069073	0.689944169826	0.578849539994	0.565080542143	0.725660222675	0.68533520938	0.661261559655	0.671220059251	0.693361161559	0.679187551212	0.613431729508	0.613595519464	0.677335043267	0.628851702392	0.676309148797	0.694341472258	0.665214088314	0.733276634689	0.574620307484	0.586029128237	0.602841181095	0.589803023554	0.513874523522	0.667864308597	0.577549188528	0.624296275419	0.630055747352	0.66644007955	0.614482717945	0.527411251761	0.503237796916	0.568157144735	0.733492962004	0.611081014461	0.596193053416	0.534363721291	0.516698064889	0.532992500351	0.474145586292	0.509881188648	0.551379632346	0.555515911827
