L.035.M1	L.006.M1	CS.296	CS.094	CS.354	CS.264	CS.104	CS.143	L.022.M1	CS.105	CS.039	CS.003	CS.002	CS.244	CS.243	CS.056	CS.377	CS.077	CS.067	CS.381	CS.335	CS.365	CS.062	CS.367	CS.042	CS.171	CS.117	CS.161	CS.066	CS.153	CS.380	CS.125	CS.374	CS.378	CS.041	CS.224	CS.282	CS.128	CS.136	CS.292	CS.302	CS.126	CS.375	CS.213	CS.236	CS.178	CS.386	CS.183	CS.389	CS.214	CS.385	CS.254	CS.348	CS.369	CS.268	CS.129	CS.148	CS.166	CS.256	CS.177	T.CS.071	T.CS.067	T.CS.046	T.CS.079	T.CS.019	T.CS.080	T.CS.024	T.CS.057	T.CS.050	TFS.023	T.CS.014	TFS.024	T.CS.082	T.CS.025	T.CS.007	T.CS.102	T.CS.091	T.CS.161	T.CS.114	T.CS.121	T.CS.125	T.CS.144	T.CS.131	T.CS.106	T.CS.111	T.CS.153	T.CS.156	T.CS.139	T.CS.130	T.CS.128	CS.015	CS.241	CS.082	CS.103	CS.087	CS.085	L.024.M1	CS.110	L.034.M1	CS.088	CS.356	CS.237	CS.006	CS.242	CS.238	CS.212	CS.336	CS.387	CS.364	CS.187	CS.207	CS.113	CS.164	CS.151	CS.191	CS.358	CS.189	CS.304	CS.325	CS.311	CS.361	CS.318	CS.322	CS.331	CS.163	CS.319	CS.112	CS.152	CS.285	CS.194	CS.080	CS.223	CS.343	CS.158	CS.320	CS.255	CS.393	CS.270	CS.145	CS.262	CS.253	CS.370	CS.326	CS.390	T.CS.043	T.CS.055	T.CS.008	T.CS.045	TFS.020	TFS.022	T.CS.066	T.CS.061	TFS.027	TFS.025	T.CS.049	T.CS.064	TFS.021	T.CS.026	T.CS.031	T.CS.109	T.CS.141	T.CS.158	T.CS.151	T.CS.152	T.CS.157	T.CS.166	T.CS.095	T.CS.142
L.035.M1	0	0.614606502851	0.581872375663	0.624923020222	0.602735776699	0.596591398192	0.571799890774	0.593698302249	0.63306993879	0.574980743708	0.612352628304	0.625150305358	0.629455086865	0.668271628151	0.581929374652	0.63395566794	0.597994296044	0.577644996883	0.668959117696	0.543706509631	0.635155678051	0.569887666921	0.602429546309	0.644500781336	0.602362289084	0.614252006967	0.588510169675	0.616214681834	0.615849608059	0.6140242059	0.546531355146	0.531452972867	0.593809143202	0.633154145091	0.643512469659	0.662773056602	0.560857579334	0.587932013467	0.600963934988	0.60300470821	0.636383020495	0.510404723745	0.518944602303	0.571131686727	0.673899166384	0.590928139018	0.577787024799	0.662331494579	0.532698244769	0.559770905489	0.585213986376	0.567029257795	0.593973063542	0.681239483291	0.612691259242	0.524037767155	0.569468066911	0.588391387789	0.566503467455	0.574336299694	0.569787240524	0.517474060034	0.547234025214	0.546010959235	0.58987247981	0.545982532463	0.534713000113	0.609865253965	0.573681282428	0.505674706142	0.600358985642	0.545480835831	0.537122528583	0.511460393279	0.550154343995	0.603701876794	0.577380824634	0.581901197424	0.610280044966	0.607088499494	0.516119150247	0.591556025718	0.558637755178	0.608321634719	0.544840768823	0.615234985799	0.545048469408	0.597827307396	0.557532754876	0.584505487964	0.643202594762	0.612262973883	0.616491867922	0.623009384857	0.592305957334	0.596759023444	0.589506106706	0.610614438561	0.567385870938	0.65153760666	0.631189994675	0.60777675923	0.571442442046	0.534585605991	0.588162014917	0.581265719439	0.539859501102	0.478447250618	0.635839309684	0.54331518459	0.59114758463	0.57628893807	0.689275030134	0.620298274215	0.582270117282	0.655525266135	0.584501862987	0.642574529745	0.659725418389	0.5899539278	0.600222769113	0.551692522509	0.579764027763	0.577557331142	0.602514510603	0.547393247684	0.617415138351	0.548589250197	0.644942734092	0.618953183649	0.575600739272	0.540639306621	0.515634961501	0.604316796655	0.525601691339	0.538082953671	0.625360929384	0.57453061663	0.514285057356	0.55582729737	0.667424411618	0.568109262301	0.527823828566	0.555756370504	0.549411147549	0.565775259042	0.531426994424	0.527206866163	0.572096190909	0.5816382526	0.582488480393	0.521895303845	0.560405710731	0.513866071554	0.540953601133	0.5161941375	0.555803302502	0.627964771582	0.528232713024	0.59013188183	0.587256965681	0.546472045246	0.562334177817	0.540272998241	0.566536905448	0.53325225904	0.616842784813	0.561165953113
L.006.M1	0.614606502851	0	0.507838217686	0.652485395956	0.597884413093	0.597209500666	0.550362591526	0.57889494216	0.559125389185	0.553324799768	0.5972476572	0.570369439964	0.593748887032	0.638470074848	0.572419929248	0.677080745179	0.686293438329	0.565181417003	0.730188842003	0.553572581136	0.732387107444	0.513965128223	0.557352970268	0.743562697793	0.654866984288	0.57809094338	0.594811244598	0.670333805595	0.582839496777	0.597371359828	0.547064237978	0.667537762002	0.657484039625	0.682550175276	0.644735391729	0.753623898891	0.687391473023	0.601187966795	0.644963014206	0.618075297364	0.736731826899	0.581686930655	0.6369345802	0.675333799009	0.669384259223	0.596263760443	0.697189586538	0.71140913004	0.667265070164	0.665461904375	0.666346717418	0.668598170634	0.613404042541	0.723038236337	0.664145190294	0.602366658293	0.664907076532	0.68290827518	0.669872793823	0.690941107108	0.561911209477	0.58718873815	0.607595588837	0.667366770328	0.635312475239	0.629581671211	0.592038319969	0.706157557289	0.608756604202	0.622661567893	0.565908998067	0.571789726551	0.571761039673	0.565837411478	0.674380058722	0.58649001722	0.547702141782	0.568231533387	0.554714219003	0.535564808757	0.591684867532	0.504796718598	0.53459756251	0.552975569548	0.558006795048	0.542582053461	0.533881899534	0.520371841866	0.537353728441	0.580422262964	0.596381073521	0.535511485355	0.558039269075	0.568132637211	0.603943301413	0.546154926991	0.618471363068	0.617316026997	0.559910232991	0.622834677635	0.712206165918	0.647582251515	0.58125099269	0.529184580651	0.581938432435	0.709566949283	0.629488157712	0.619589245113	0.70528704027	0.640383392762	0.687096550545	0.602653633284	0.709040378365	0.583595277276	0.536453877496	0.754373295955	0.677432825384	0.71648006361	0.732952721889	0.616620781508	0.667799014615	0.645842089467	0.67097727701	0.57575523328	0.649058561634	0.646002209073	0.634529460237	0.563623127212	0.729726951314	0.756183137417	0.605423599255	0.662443645633	0.67084937419	0.633354820679	0.612533800567	0.610765642834	0.670021987503	0.671529844301	0.603070953743	0.672944901307	0.734998702929	0.640164666762	0.6301028626	0.674322065468	0.554043591833	0.569037730458	0.606359652416	0.599491722036	0.540340889819	0.53915660019	0.548613004428	0.591122053997	0.544756245203	0.609023514565	0.650211974477	0.549117064394	0.608658049667	0.722144512963	0.575993364907	0.528122640414	0.577538327576	0.529474889538	0.551043772867	0.572236776728	0.584609158596	0.57681291461	0.540704601311	0.57675568069
CS.296	0.581872375663	0.507838217686	0	0.628298027788	0.608389000871	0.593941666459	0.533803074723	0.576052486042	0.539502062063	0.508261891554	0.612791928005	0.51732250517	0.60935290077	0.660980616532	0.541833328919	0.692382088377	0.675480230831	0.575658659854	0.759424359694	0.537326615706	0.751066575172	0.484434210097	0.508578702078	0.742697170516	0.6488171621	0.59793987859	0.597134232806	0.677913953888	0.590195303938	0.591811684903	0.509238528948	0.649749492039	0.664233327853	0.697974136534	0.676382344598	0.765736604442	0.671792501355	0.571669052826	0.63308309065	0.628021018702	0.736378614684	0.51342417439	0.60407534593	0.693319628628	0.711227821402	0.590014667499	0.709236626876	0.731155268104	0.647574739311	0.625953205621	0.648390034951	0.655913058927	0.606099045138	0.745557608691	0.68716050226	0.60693829903	0.696192870551	0.693561176088	0.679528116837	0.682351011111	0.502927672457	0.483820180353	0.60324857566	0.676789743883	0.614790514287	0.610247846666	0.544462221336	0.715467539287	0.603915203866	0.559333049871	0.541032409908	0.547812190505	0.505945075741	0.518187940114	0.644234851259	0.50431597177	0.461342672308	0.553821873839	0.561891513602	0.511268827098	0.524677182534	0.476038965852	0.437333447651	0.469999194504	0.491770847257	0.511312408333	0.462722515768	0.456413006329	0.454756378237	0.527317075578	0.576441196669	0.511253722515	0.538516492385	0.560478331429	0.569237763831	0.542420985626	0.514899931657	0.657334927487	0.560700696478	0.622391765307	0.694165211837	0.660838834232	0.520848834931	0.459691916018	0.55795221932	0.666439598853	0.586429521356	0.594021867728	0.716329410808	0.618622723184	0.679901010579	0.553366462547	0.736936616751	0.562837226481	0.465067461317	0.761303393192	0.657159723295	0.696309273727	0.762088592158	0.587251839156	0.654640162011	0.654349625736	0.694833852154	0.579024701122	0.643872048195	0.640474101076	0.658603161491	0.490172011875	0.733814162604	0.756470381823	0.619092269764	0.648413760957	0.658829828524	0.654982459724	0.625586021246	0.600710863075	0.662499677341	0.666896359237	0.541797246809	0.680865386512	0.74383138195	0.655965044676	0.639898739843	0.668885626766	0.477488677948	0.525201151606	0.582311183618	0.551957523352	0.459627697948	0.440842645949	0.48125218332	0.549887856155	0.496931035029	0.550133922006	0.641829017862	0.513756468495	0.563486695986	0.732690309398	0.534044337931	0.441723834931	0.533918385724	0.421449840699	0.471241125226	0.494237131917	0.517359640827	0.453349418014	0.470102819312	0.51677789434
CS.094	0.624923020222	0.652485395956	0.628298027788	0	0.614435371931	0.673980423032	0.608370737895	0.650367261405	0.722393982866	0.640933164474	0.64632900459	0.663517075213	0.685594210086	0.711752090418	0.642592223449	0.668076076379	0.713170064618	0.635305565789	0.725070848211	0.661809161096	0.716848517299	0.594952983723	0.61178389742	0.712748617956	0.597477370122	0.652398318375	0.649127375058	0.635172999158	0.617433383899	0.667282539599	0.66126224301	0.648964509812	0.671919182107	0.69208915245	0.638433081308	0.73637959405	0.663474742632	0.633698024605	0.65153170828	0.673059660911	0.699710243012	0.624827092384	0.595992968479	0.66750181967	0.709050529908	0.664086434671	0.726171971366	0.715709210008	0.674622301236	0.63454070857	0.697260427558	0.686141530124	0.701689954593	0.731101878123	0.71641370938	0.685528505866	0.702379009569	0.731190675862	0.699665339932	0.686435250392	0.649272692233	0.606749048783	0.628381579912	0.63859033381	0.629053675561	0.6287089053	0.618497505126	0.665411299982	0.626702084207	0.607491313372	0.639381085153	0.604224812135	0.617892709005	0.65255651829	0.658010484469	0.65718696277	0.67058331158	0.698443409572	0.691179117108	0.653194143434	0.595795650509	0.63222810746	0.640241441544	0.682319993306	0.570510224462	0.689698195639	0.580291801528	0.665071916074	0.658591444504	0.707047384335	0.576589014999	0.645541331247	0.69960818966	0.659233127527	0.56576734959	0.685929345243	0.631671604632	0.67683794803	0.607325158115	0.587847016746	0.649004495617	0.674535363916	0.570330486981	0.629743226837	0.640455745596	0.653539291721	0.630800613602	0.606141945158	0.69130859948	0.643371085053	0.698551133758	0.588795701507	0.714726950838	0.639543953954	0.636282895127	0.736783144101	0.698393515296	0.681989381408	0.730746562032	0.548261390325	0.612454054987	0.65970920425	0.685140244369	0.689297789226	0.64160218117	0.659633366241	0.636177635468	0.636079613252	0.667728706664	0.721033248542	0.613716720355	0.663495170553	0.655395277987	0.635653213233	0.658581777757	0.678336651516	0.655252835271	0.695670079916	0.625220480496	0.659390828302	0.751593280515	0.685389182679	0.665707245144	0.676394105583	0.582827238956	0.592966014364	0.578654240333	0.635268999012	0.636758792643	0.648879072203	0.652355070831	0.611465784927	0.620624999644	0.600089091675	0.652498203789	0.626213689327	0.635541679384	0.716127494452	0.619603388946	0.654593435604	0.593560855512	0.630089968742	0.606211123892	0.606083491743	0.604560852798	0.606541579052	0.670370107836	0.560233191292
CS.354	0.602735776699	0.597884413093	0.608389000871	0.614435371931	0	0.615709709146	0.581100538416	0.621045026609	0.647676056355	0.608365644186	0.569219363523	0.621317442548	0.581180260713	0.588295086261	0.596223809674	0.685024795091	0.698058844573	0.61249449952	0.684283581475	0.626171821008	0.714554416531	0.59545404682	0.571364179011	0.689589308951	0.606616101783	0.5933577676	0.57188400525	0.647193276414	0.565606308197	0.614301759171	0.645404485702	0.664188001184	0.647077131395	0.62513711069	0.622548580848	0.71441340937	0.689055024178	0.613314520906	0.628486586621	0.629601118785	0.700476670249	0.62123519222	0.610969599277	0.646175577875	0.683876270398	0.648855147057	0.666030752446	0.700134616835	0.679006331474	0.639859464406	0.695961784704	0.669869109428	0.675404411864	0.693456193813	0.665886160356	0.596876547525	0.657563115435	0.693077332071	0.662934318616	0.66471286166	0.642194858859	0.588113868697	0.64738252418	0.636874029669	0.600397344067	0.613402563911	0.604015249754	0.664564684573	0.579399200364	0.631693581929	0.64139239692	0.59776535067	0.600398600601	0.639986605996	0.651127412412	0.61931554565	0.638970740503	0.616338497369	0.590586478225	0.645293900801	0.593377036798	0.608252255044	0.630956104323	0.654396176849	0.577750717117	0.624479459381	0.584471100317	0.641009838607	0.611370842489	0.662346604299	0.576286332233	0.606679723849	0.633087026233	0.611858978652	0.576796328844	0.607807980341	0.592529057094	0.626442701598	0.58362326001	0.582284708394	0.660598882752	0.619582184048	0.575246591332	0.591580368853	0.6091560555	0.641336240033	0.626535928981	0.619524052273	0.699668480818	0.65131081321	0.66961302458	0.555846401104	0.659911372161	0.642545685567	0.607063201449	0.71487548498	0.661728545689	0.690915092716	0.719547474116	0.578779388131	0.610239976353	0.676523953637	0.671459826888	0.646994957412	0.61632334387	0.680775181102	0.590492416385	0.629603395452	0.697097928971	0.717935496797	0.60837384776	0.669646188822	0.669168626075	0.59506746127	0.632482658515	0.640455450353	0.618719868104	0.649356400935	0.636266092348	0.609742909627	0.709386524697	0.671229081184	0.642005181373	0.663612534486	0.610197420244	0.581757623161	0.601977568725	0.609126070264	0.638877662758	0.646441656039	0.616132802115	0.635342610559	0.609513652465	0.623403804608	0.640233668481	0.568992445916	0.592958020235	0.688903440097	0.550190562508	0.635634150854	0.542552361799	0.620005083104	0.580955888537	0.622182186948	0.540771212984	0.611697497904	0.630133929382	0.5746362591
CS.264	0.596591398192	0.597209500666	0.593941666459	0.673980423032	0.615709709146	0	0.591385435245	0.600609892602	0.616075642236	0.600763715881	0.603171184344	0.574805010829	0.577007149652	0.625547516417	0.573092946627	0.669364501452	0.629634997144	0.581962807842	0.697901324844	0.606131423974	0.714177814607	0.584040018959	0.587490829072	0.664560660629	0.632465923229	0.585847799372	0.582865671066	0.64662525729	0.609100161509	0.561099485744	0.639497792752	0.639306627776	0.629635677974	0.643687364684	0.612992922025	0.730727045512	0.669192016515	0.623081143549	0.601444024053	0.585213868789	0.683133024133	0.602906285471	0.608672978971	0.652483074253	0.658149700027	0.62526603578	0.656884077679	0.691712788412	0.633865993875	0.64205610826	0.647924123418	0.642320038812	0.624918003153	0.667365529482	0.62213585396	0.585149585674	0.654545081737	0.662687097872	0.653565477402	0.642700807793	0.629854755068	0.616037865644	0.611535362894	0.645772330588	0.593267455279	0.643103946881	0.615666353923	0.688282991289	0.606686885049	0.638687494522	0.608485429545	0.64542411771	0.58289496943	0.6094495584	0.667856506121	0.625591588675	0.629052216798	0.5760445727	0.605412468191	0.598771313011	0.618025608045	0.620972130448	0.526646251999	0.639589062577	0.613552182491	0.560775295132	0.601561518547	0.611134506043	0.589365086672	0.585248878283	0.653499960071	0.621847566204	0.538528217006	0.585902740159	0.594484787368	0.56106033896	0.633420159862	0.596245919254	0.602288386733	0.673656690791	0.669863796244	0.600892144912	0.597047948682	0.581431920693	0.608798791093	0.663084481055	0.627009325324	0.627239525589	0.672195034528	0.613320564895	0.635872410443	0.620561392449	0.636401912018	0.605158058178	0.619275040273	0.711432367538	0.616115460378	0.65303026297	0.714038827873	0.61922113391	0.630037423386	0.650154912849	0.659939544304	0.601521614417	0.58006726838	0.661432045538	0.594461941378	0.623435090073	0.673704024173	0.705595968146	0.590307881918	0.64044702656	0.651212774356	0.604744455635	0.605167774893	0.624652382739	0.631399520823	0.646248102024	0.639848129491	0.65596240856	0.665106246122	0.648911645375	0.603569736656	0.662644490537	0.626236725933	0.626873865745	0.670735648361	0.624910082569	0.616738167892	0.607008277997	0.607360602723	0.645948985333	0.639979953071	0.6418489215	0.666164322234	0.597731095367	0.649004210239	0.684436041813	0.623375752486	0.607248428682	0.661616810947	0.574511113444	0.647974716958	0.584522855386	0.603498039907	0.594698871736	0.621892961766	0.660667648686
CS.104	0.571799890774	0.550362591526	0.533803074723	0.608370737895	0.581100538416	0.591385435245	0	0.561109217517	0.579611517554	0.51483336296	0.563674679688	0.560257769643	0.541882534634	0.649058498438	0.5514186237	0.625861815716	0.621841120239	0.509958496698	0.697732951043	0.533479791531	0.731147844906	0.505688295193	0.501992534981	0.702079429582	0.575843484709	0.542098354009	0.535084869012	0.5955114371	0.554282036027	0.518860841476	0.53733755415	0.614296060449	0.619643560331	0.653514594952	0.607712261333	0.729451726192	0.640699516128	0.536969229524	0.546277378539	0.542254403395	0.690383114291	0.534794219745	0.565062115136	0.651198266375	0.619315323724	0.577282873479	0.682645818609	0.690233997907	0.608055447628	0.606117758215	0.611095504164	0.623402333309	0.591308122865	0.704303854667	0.619770942561	0.588491391829	0.646039279783	0.659665713556	0.625712606154	0.656798362649	0.554067875047	0.545250266757	0.566065786571	0.650690971457	0.601863411267	0.619656588461	0.532546327461	0.668141522262	0.581994862781	0.565653156303	0.571425887415	0.537064142728	0.546476077159	0.547216792954	0.620513796256	0.587732337152	0.55831746729	0.592665033329	0.599075321305	0.558143127305	0.567254687604	0.552582309225	0.566562926587	0.582626040898	0.542874587299	0.563915618514	0.533359726343	0.574193838661	0.531288352424	0.590948071199	0.558776782218	0.523528787625	0.536394659477	0.534515225628	0.538232398926	0.523258399037	0.575109997849	0.589614623974	0.555768990376	0.592113394636	0.647033262825	0.585713038944	0.511456600884	0.535499214573	0.518924241855	0.631696411533	0.586129668772	0.560458318685	0.667543636592	0.591700278953	0.650852967738	0.499290442548	0.67596558901	0.566780133751	0.544888865241	0.725613922649	0.624700981577	0.666446858384	0.745197874792	0.530553376911	0.615654757827	0.614827097757	0.663728113031	0.565848693874	0.574708235268	0.605091491961	0.575076773746	0.520785684392	0.63602198442	0.723154900087	0.534249890106	0.622977153599	0.628950086549	0.571482883887	0.57227713251	0.589918219432	0.606200688848	0.634022430258	0.553479008705	0.639063534905	0.706087460489	0.610444092809	0.61116830764	0.601408479458	0.548950426477	0.539242227706	0.600180740071	0.566031329661	0.551256972999	0.547024486173	0.558874619904	0.562418081519	0.543798436209	0.564662769002	0.635700398837	0.527451867293	0.573425063043	0.699852243296	0.562909051102	0.556559580248	0.575343796878	0.532025591414	0.572793305878	0.526553287032	0.567445680912	0.541180998539	0.587214978246	0.578241396669
CS.143	0.593698302249	0.57889494216	0.576052486042	0.650367261405	0.621045026609	0.600609892602	0.561109217517	0	0.608220677933	0.568688936163	0.574668128506	0.579331489932	0.56199051453	0.652949449308	0.587108232914	0.605303668748	0.645088118575	0.584769614429	0.702316601804	0.589769006629	0.716304535766	0.577467768617	0.574817723753	0.685582437149	0.613091290571	0.609404627289	0.593302663551	0.615715745518	0.613622878137	0.5836322787	0.584991478615	0.624732721354	0.626716135258	0.676179837869	0.619968087739	0.719400910477	0.647320485904	0.578152075919	0.585470116585	0.562790278278	0.685035377224	0.572440922412	0.608652726269	0.643759330851	0.647495426172	0.59934528554	0.680212952431	0.69262745573	0.607315976456	0.628664607557	0.621861062415	0.621679407797	0.590275775142	0.684439933499	0.636832258347	0.604223414176	0.675940942575	0.676382016283	0.631573443297	0.638739508423	0.594675854066	0.597651233435	0.611931882534	0.657313758564	0.617454118689	0.641990856461	0.595066879324	0.668018901232	0.62879826203	0.630572714573	0.574649369345	0.597145422085	0.600347075856	0.599649234024	0.635240970812	0.605371819249	0.59440410966	0.587159326245	0.616997384797	0.575135803683	0.559810506525	0.590503417744	0.580316636638	0.609737279373	0.596244034562	0.593551129292	0.607143702154	0.59111031994	0.572065259596	0.561292153833	0.613372020575	0.568205575416	0.586364204813	0.55224460121	0.615632607843	0.469716208634	0.611255107138	0.576258521545	0.552814781555	0.642079040353	0.656414022342	0.592484913242	0.538704225787	0.558918045956	0.537264167648	0.676538446414	0.601142022931	0.589036136935	0.676152968654	0.612095399474	0.657277086301	0.602822849561	0.660193755251	0.587995007644	0.609132006185	0.729188288766	0.633109733668	0.681902218315	0.734302798865	0.597309190323	0.64582797245	0.61525350748	0.653753700682	0.566961074925	0.610142036691	0.61096026738	0.602192044735	0.566251623708	0.657668875437	0.715803066207	0.578221973394	0.612808533153	0.628123749198	0.583650997317	0.595736931316	0.595721656854	0.654504711957	0.622025465529	0.607470893604	0.624936023256	0.708885957662	0.608451182222	0.623392361507	0.632712446651	0.62282093762	0.589885428396	0.624466484115	0.613656019243	0.583994077303	0.583596118282	0.592396219901	0.594320053734	0.591252171354	0.606461903207	0.621304215482	0.565169085275	0.616572747009	0.689277455945	0.595766606447	0.5967031761	0.62502585565	0.577155158703	0.605284267555	0.59071812923	0.606844014458	0.568942947461	0.608526341551	0.635306717067
L.022.M1	0.63306993879	0.559125389185	0.539502062063	0.722393982866	0.647676056355	0.616075642236	0.579611517554	0.608220677933	0	0.578599836408	0.633655580693	0.525630702391	0.629027700331	0.615611608807	0.58186165057	0.711341093885	0.679041839632	0.621823745869	0.766977349485	0.569797546305	0.786191807159	0.592738596462	0.569909327788	0.766885419433	0.684259584569	0.612049517136	0.596406296003	0.70515121593	0.613991608014	0.608700487295	0.553601719171	0.690580701214	0.688577000155	0.713735304579	0.684532123568	0.78102147042	0.7154756578	0.636640207773	0.648641747406	0.618668667759	0.760291198629	0.587939422871	0.688172906775	0.73237852854	0.71885599733	0.626547133371	0.723148177573	0.771811777655	0.685229167628	0.68807195703	0.678645479325	0.690353049928	0.614746956294	0.764207737108	0.690232546568	0.619543992139	0.703396571824	0.705941863782	0.67913656023	0.721093439868	0.590995493212	0.599099732127	0.661792532953	0.721021781298	0.65421524136	0.683214590546	0.621528541164	0.741973719195	0.627120711652	0.651549763463	0.590706405711	0.635649987122	0.60239709576	0.593796644803	0.688971017729	0.540626682701	0.491894281029	0.494868349982	0.497046782296	0.554881617974	0.580272189991	0.555573567022	0.52474108264	0.472517415988	0.579302532787	0.451157602879	0.566540282561	0.487110400821	0.524730435136	0.539432625214	0.615352006269	0.555422248917	0.529803978523	0.560202633145	0.652901685036	0.545921341627	0.576603520763	0.670212054049	0.621663090153	0.70441150144	0.743302551413	0.674570898263	0.58024234599	0.531223978351	0.607724612957	0.719308247523	0.641067147071	0.660000621837	0.754068361455	0.660350535671	0.694153850748	0.62496939429	0.741745716452	0.629618785265	0.542739803427	0.805216216586	0.642346473615	0.721278591252	0.778867860706	0.669456069792	0.727820601841	0.702097462813	0.723771651951	0.572679639356	0.670886936581	0.707659556967	0.668725127664	0.567031284858	0.752058767053	0.787955389927	0.635383884201	0.700547526706	0.698874980462	0.672376220059	0.630441176336	0.621926287958	0.707541771943	0.687938807284	0.628628794954	0.702838630589	0.759619425135	0.68751633618	0.626651667938	0.687254258769	0.610951910913	0.60146759115	0.67118688274	0.632050098898	0.510454899783	0.520159734598	0.525080711999	0.656316372895	0.605409598308	0.65563529375	0.687638673699	0.578522780656	0.628422171633	0.746609601283	0.603459124291	0.483264886045	0.621401219994	0.53967794552	0.569730373504	0.566037869075	0.578961994658	0.582928573301	0.497500826336	0.63838943088
CS.105	0.574980743708	0.553324799768	0.508261891554	0.640933164474	0.608365644186	0.600763715881	0.51483336296	0.568688936163	0.578599836408	0	0.59443572781	0.516876430777	0.572923128428	0.660747929961	0.592018813966	0.656415574879	0.627964011585	0.524034615599	0.724137307621	0.499900012246	0.748694890472	0.524454792494	0.497645121829	0.735199797283	0.578331855141	0.570012057508	0.538901934836	0.656910828657	0.569809990092	0.535379735617	0.504287495929	0.636985678069	0.658925628615	0.685306476767	0.577182816994	0.743887713028	0.665825426797	0.570732601164	0.575927281996	0.596703614987	0.697522992174	0.490116273839	0.592921740662	0.670449632269	0.670347758728	0.586582147524	0.704923492992	0.723707845734	0.616161706884	0.617321092077	0.613102536457	0.630670605182	0.571678411473	0.719397390628	0.651441931233	0.61371469936	0.676496471105	0.659179706552	0.653240683498	0.682129503878	0.502345682892	0.494983726938	0.593900787605	0.655026621147	0.599067784398	0.567141623343	0.526587585761	0.664695539334	0.567652028875	0.543107037532	0.563483521944	0.510680314019	0.499420729879	0.520585359246	0.620176347688	0.558501781121	0.515327390245	0.576078267304	0.580735217015	0.540942721476	0.522218143288	0.539986129435	0.515068271137	0.547676858853	0.525677385703	0.549288530963	0.514388645889	0.538945732325	0.506537771508	0.550874800906	0.602241015052	0.514188473219	0.531759726275	0.573535730677	0.588447723777	0.521244560059	0.58336312233	0.626505074482	0.576653810095	0.639049811819	0.671659401298	0.636169605997	0.525610277988	0.485305202248	0.546996050393	0.64334767394	0.554226634873	0.562950176266	0.70445909074	0.61335638208	0.675947052139	0.525323829447	0.70474167645	0.565073285551	0.493768008506	0.745093057295	0.646724158574	0.685152762495	0.744214256754	0.583649708692	0.655710292017	0.628471720539	0.673630584812	0.577462906023	0.619953405293	0.627692881571	0.624431715348	0.484009601765	0.70305381986	0.729525549794	0.492381881941	0.638514994768	0.642603261872	0.625600572575	0.579903070213	0.597702067078	0.653473096151	0.630858727556	0.550924740866	0.65416465774	0.7291730326	0.609135489762	0.602860337722	0.638884610596	0.531002669371	0.551335593914	0.556448308545	0.523688568715	0.495197674914	0.489559145706	0.521044908075	0.54141000321	0.523570040727	0.515341306909	0.628999962872	0.503337592185	0.556721874214	0.693399416437	0.518366789954	0.525296035115	0.591905270276	0.49011994429	0.533193281311	0.499027248907	0.556822019886	0.511390589083	0.549570959278	0.585881454423
