CS.002	CS.280	L.002.M1	CS.263	CS.092	CS.007	CS.245	CS.176	CS.011	L.004.M1	CS.028	L.008.M1	L.001.M1	CS.296	CS.036	CS.127	CS.153	CS.056	CS.040	CS.248	CS.301	CS.117	CS.066	CS.382	CS.154	CS.077	CS.155	CS.269	CS.122	CS.381	CS.232	CS.224	CS.375	CS.205	CS.236	CS.302	CS.378	CS.128	CS.213	CS.292	CS.041	CS.203	CS.282	CS.125	CS.126	CS.178	CS.254	CS.147	CS.386	CS.183	CS.148	CS.369	CS.166	CS.256	CS.348	CS.181	CS.129	CS.323	CS.359	CS.214	T.CS.067	T.CS.001	T.CS.020	T.CS.072	T.CS.007	T.CS.038	T.CS.023	T.CS.024	T.CS.014	T.CS.057	T.CS.076	T.CS.034	T.CS.048	T.CS.058	T.CS.080	T.CS.104	T.CS.177	T.CS.159	T.CS.098	T.CS.115	T.CS.126	T.CS.134	T.CS.132	T.CS.118	T.CS.180	T.CS.153	T.CS.092	T.CS.105	T.CS.144	T.CS.119	CS.015	CS.088	CS.242	L.034.M1	CS.246	CS.103	CS.006	CS.356	CS.087	CS.082	CS.085	CS.110	CS.237	CS.238	L.024.M1	CS.387	CS.191	CS.330	CS.345.0	CS.274	CS.325	CS.311	CS.188	CS.228	CS.234	CS.338	CS.165	CS.308.0	CS.189	CS.346	CS.158	CS.152	CS.319	CS.343	CS.331	CS.339	CS.361	CS.320	CS.318	CS.227	CS.080	CS.321	CS.163	CS.285	CS.223	CS.390	CS.326	CS.270	CS.253	CS.393	CS.255	CS.370	CS.145	CS.262	TFS.025	T.CS.036	T.CS.031	TFS.027	TFS.022	T.CS.043	T.CS.026	T.CS.049	TFS.020	T.CS.061	TFS.021	T.CS.045	T.CS.064	T.CS.055	T.CS.066	T.CS.142	T.CS.152	T.CS.095	T.CS.109	T.CS.166	T.CS.141	T.CS.158	T.CS.157	T.CS.151
CS.002	0	0.624847766963	0.654160251066	0.58079880661	0.552608015182	0.553970541251	0.639666701507	0.594224071486	0.580319392542	0.642297414782	0.533975858096	0.649063815941	0.562905274719	0.60935290077	0.557807763627	0.59159840858	0.518270044633	0.594003578209	0.566943411252	0.583102282821	0.614240861474	0.543754202936	0.564799592979	0.637497106972	0.713080326235	0.595342363259	0.616999018768	0.717865894023	0.534106414925	0.571539139587	0.528161440537	0.727870456301	0.641772848935	0.705665213974	0.601158777781	0.722092693838	0.653121324605	0.587967992893	0.623215631076	0.537537188135	0.550624870786	0.621352394916	0.648965770303	0.645011148731	0.597019873426	0.614545221616	0.615882358761	0.643536248104	0.663280897818	0.653436634021	0.595539913685	0.657017674837	0.612230742465	0.612335028066	0.603822274213	0.599912939757	0.581788581239	0.619650916204	0.707150051703	0.638666607789	0.635134341552	0.681276500759	0.621256575783	0.59809358149	0.677351227823	0.585316960044	0.74427197322	0.603021195148	0.606779171753	0.708207348715	0.622662416277	0.636957653081	0.607925681778	0.602390092737	0.659293220362	0.62542285384	0.625512328911	0.620517918394	0.625417357162	0.636702410764	0.60010093532	0.623988391663	0.640243272483	0.611666371902	0.580454658117	0.586310280205	0.634284667051	0.599859870905	0.60963653995	0.606953320644	0.622822976329	0.673119645485	0.595850220489	0.602510728987	0.570775162882	0.532246825488	0.581377398972	0.712012447067	0.623138484401	0.549525353994	0.504923497184	0.566082384732	0.549684550355	0.579576238892	0.669808094136	0.62737554496	0.604899365013	0.626391727431	0.706163037888	0.668129080969	0.747644318769	0.613505518155	0.68702717386	0.540795905279	0.641564240858	0.570166033127	0.693867931186	0.632709699677	0.640073309681	0.695866434256	0.542323342106	0.589188837521	0.633312030066	0.656114242067	0.548922731315	0.678322920088	0.657582279953	0.592041344858	0.630935443127	0.74497165279	0.554946905397	0.616173501572	0.581083598544	0.666838711827	0.617857735285	0.598180692888	0.637427156468	0.624162794255	0.694409050447	0.611944070507	0.604550083115	0.605682861714	0.625993811116	0.661815994858	0.665823532979	0.564393601562	0.609607400625	0.641819424945	0.629540583368	0.61607241442	0.71669450696	0.662589599593	0.632694537478	0.619514177583	0.65580091013	0.637087048222	0.611312029274	0.604686385495	0.639701328873	0.678370926429	0.619531234336	0.632551417734	0.623842209927	0.61991504957	0.653264828193	0.640995276117	0.636414773522	0.646214848989
CS.280	0.624847766963	0	0.661754829739	0.555306792156	0.54177955393	0.5188942905	0.564970967318	0.61076666346	0.512198556434	0.455031831731	0.543312305517	0.69149829198	0.569357679154	0.4727615067	0.678178390329	0.596999642727	0.592919050064	0.703310935782	0.578393000681	0.665013691033	0.60979255994	0.585023510485	0.606970022211	0.560696645692	0.794228071276	0.573165029148	0.573505975909	0.776318826047	0.550046268526	0.57062765614	0.554528129687	0.755003291566	0.647176941288	0.712662869223	0.719511470885	0.731263231311	0.706029949544	0.599817325163	0.704310659898	0.629496186629	0.688477680879	0.547864394752	0.702110579932	0.668315097551	0.550837177249	0.605482957557	0.671656590594	0.66990029022	0.714025187124	0.762900913484	0.710514499742	0.769965886015	0.706826340424	0.661719424046	0.621268593738	0.643882235798	0.600981538607	0.646941198934	0.726781112277	0.650775460045	0.556692776611	0.726983810849	0.5096499244	0.545197110376	0.657471928385	0.51967542425	0.764501041503	0.563018648345	0.578885343142	0.714569771787	0.572354524775	0.520661855146	0.564006684087	0.569785530876	0.638115455534	0.429164856917	0.469567145005	0.523034859336	0.476461596399	0.435112588112	0.475537430961	0.4997138413	0.485307305546	0.564435077772	0.562161908613	0.473100595549	0.540324218134	0.573070808076	0.452806231356	0.538502086967	0.562769236677	0.64935691803	0.482841361174	0.586423625843	0.509548550178	0.579906082556	0.518542852975	0.702067763834	0.588412205483	0.561705667993	0.562269529028	0.650237232432	0.671130442555	0.562714857254	0.53338649497	0.613425400906	0.506338221322	0.660489147477	0.786993369634	0.695071542771	0.769484429833	0.615349164241	0.662456554884	0.637981429162	0.682010669294	0.657955214685	0.699328441869	0.714283458227	0.642061164606	0.764782490633	0.666855756448	0.526069377314	0.672617721329	0.664365922501	0.592938306462	0.683113425422	0.682985179559	0.598456186404	0.685340921362	0.788970634908	0.626050834909	0.547670078654	0.67791615382	0.755422237078	0.67526973762	0.66472178472	0.63799138223	0.672385334812	0.753098372429	0.688645749424	0.618084880735	0.66959556546	0.585169449734	0.684852840419	0.580632245661	0.538112879025	0.549014724262	0.525567264275	0.468897721871	0.529904197644	0.741336787612	0.652196854494	0.471674188621	0.593417274613	0.606599416376	0.585903193743	0.526575327799	0.511096721741	0.481259994081	0.542652411111	0.518061260155	0.457050701988	0.432423887436	0.494252711599	0.522334794575	0.451949466708	0.523524988416	0.455740873916
L.002.M1	0.654160251066	0.661754829739	0	0.625460158231	0.68047173481	0.637414857141	0.652413548231	0.664319179546	0.669470697084	0.664994230287	0.660221545475	0.637491014633	0.667634445798	0.648066291965	0.63914759224	0.634051829908	0.676412372978	0.648894021081	0.672731926759	0.601649140336	0.626277223934	0.661632175366	0.646988712204	0.611360179988	0.684254889278	0.644152248707	0.611268791404	0.717288294514	0.66857034212	0.635664164691	0.660060469605	0.681312303302	0.605227990404	0.667111228695	0.663653035767	0.692543865418	0.668649384503	0.627460468284	0.624279493696	0.631015426765	0.677281846309	0.649426479408	0.645048195323	0.625286933451	0.624185181797	0.650942795455	0.620066901835	0.625095818803	0.56330761894	0.642472842789	0.617879589789	0.689448663976	0.63502583263	0.603756399223	0.653036746794	0.6411865235	0.594674643484	0.640632675747	0.694253640304	0.641463448744	0.628898393709	0.637109265104	0.679746059587	0.669606070648	0.675128230527	0.66020792638	0.738617101436	0.633098227551	0.647108077942	0.655121105394	0.604581376211	0.658169390575	0.606808205788	0.625540681	0.600688647422	0.673297987129	0.662776569135	0.701885883515	0.685336488981	0.676748580476	0.653074081201	0.64762353591	0.672840122591	0.598090230991	0.646575488717	0.685027095685	0.695420166142	0.669518862014	0.674820468269	0.672374040576	0.673718068711	0.680883638997	0.63240610701	0.609139330676	0.658057015255	0.651376848816	0.654592287303	0.685974201292	0.669309235997	0.688988205826	0.652092154566	0.626346308969	0.63608688284	0.638358458114	0.669342091192	0.600041185168	0.650828317329	0.621569613263	0.704646937634	0.633344367292	0.685160108046	0.639956134443	0.668123749005	0.653831915132	0.641087463008	0.620436629492	0.684234355572	0.650760700197	0.658090750314	0.680903635672	0.632064889698	0.635711991089	0.62248912794	0.566700185491	0.611100494056	0.654380697792	0.658354971808	0.629006583713	0.628738905138	0.682323095543	0.625918486233	0.670803793674	0.666151586056	0.678929621301	0.642696973786	0.614996484573	0.624420203544	0.621261194884	0.68842637361	0.664634394526	0.59399752945	0.607460599751	0.609350066976	0.590144173374	0.638274418151	0.643016220285	0.617187138622	0.658316830372	0.662637885097	0.652348041924	0.673211586848	0.6149431342	0.65827828182	0.651429312163	0.626875937459	0.639474883835	0.609330401046	0.642904023858	0.656638362842	0.672530037508	0.645188187333	0.684397602752	0.674553341995	0.639852245717	0.639871154744	0.646087781856	0.663003302937	0.642689344503
CS.263	0.58079880661	0.555306792156	0.625460158231	0	0.513307448264	0.554695400827	0.605902293406	0.574983627536	0.549743049892	0.563501093647	0.543323511868	0.636648285631	0.535153514513	0.542825409629	0.620185571623	0.535904474989	0.558389847304	0.646183183723	0.576054384557	0.577762227217	0.582200994853	0.559388284319	0.566190226646	0.551374799732	0.74886137366	0.549824131614	0.573416987519	0.727925414965	0.53087141028	0.515627972597	0.53444520069	0.745907321067	0.563438372903	0.67091315383	0.661609748401	0.723217358117	0.656811269964	0.560078467947	0.634916072077	0.571918975596	0.638526783832	0.534186019973	0.653831279922	0.624679585992	0.530279031551	0.577974872943	0.621559531315	0.618624917544	0.665053400095	0.712057698756	0.647899627516	0.693797283305	0.641916174827	0.622929417514	0.579211069991	0.61236598997	0.554901123592	0.584132774777	0.689916247757	0.624815535798	0.546972027316	0.665347374457	0.579569673065	0.544897397024	0.65619077351	0.548793294461	0.743141670335	0.533806491124	0.569684722358	0.691130128038	0.561413106821	0.539516422415	0.565053123268	0.530386517902	0.618661179388	0.528439346593	0.519219404204	0.558526240999	0.546694776053	0.544185713065	0.511618424983	0.574557729268	0.541898002947	0.558736657926	0.504178113443	0.533772515992	0.554942123238	0.570158929978	0.556883017543	0.565006588272	0.580082364515	0.663433965198	0.524890418462	0.546898501082	0.512998696615	0.570784311415	0.555035243964	0.679117835791	0.614816036449	0.539140293051	0.523452687868	0.605374016173	0.623216623456	0.579701607617	0.590861500009	0.581541396719	0.551400846244	0.598651782646	0.733505878275	0.640477043109	0.71988434323	0.577123970839	0.625447293993	0.574406380612	0.650608793515	0.575978359923	0.68256382606	0.647818023036	0.61230500823	0.736962778045	0.612310472077	0.510320842134	0.638293002259	0.637574725734	0.509056100179	0.655591471478	0.634841241141	0.576736133525	0.625392460006	0.763965225573	0.573024809642	0.528943116897	0.610317596455	0.697282324646	0.621019938635	0.619951598571	0.581479751561	0.622249048993	0.687923214281	0.62116460753	0.574525203523	0.606517570476	0.546909005143	0.631484985706	0.593546191651	0.553996460002	0.564983425303	0.578833903253	0.539782253126	0.574286272534	0.701948063203	0.64158397352	0.535101807945	0.588483398427	0.584623370277	0.569955631176	0.525840124885	0.5458606773	0.545091503768	0.61782140189	0.539317771843	0.550898959135	0.534347890262	0.545947886692	0.591180228974	0.515342286232	0.572762397201	0.553210728264
CS.092	0.552608015182	0.54177955393	0.68047173481	0.513307448264	0	0.585169014588	0.619472054261	0.60693886941	0.451364319493	0.575046370755	0.477997441804	0.66971966259	0.514232257091	0.553060964771	0.6026959509	0.612819034897	0.527219563399	0.667054619744	0.572090985393	0.593047606755	0.61371402321	0.544159167526	0.575383019824	0.655001249073	0.766495402295	0.543284293896	0.584236971779	0.746235099758	0.507615889355	0.575743743194	0.49515727799	0.770399667719	0.660263885471	0.736464834272	0.663355643246	0.741403456914	0.676799218342	0.623567617984	0.715331856986	0.584947725009	0.64321252036	0.606322550755	0.697221577942	0.679071408911	0.589857323688	0.620158860801	0.668657771033	0.694576948337	0.718502326408	0.735375067333	0.685192383867	0.707620483077	0.677152690038	0.685248934455	0.591738472776	0.623345242799	0.587057602609	0.646964646825	0.716917786465	0.670444852633	0.608119981718	0.719316970036	0.533425738196	0.547588258962	0.681613080321	0.520842623527	0.748490158113	0.606118490411	0.586035883882	0.727734255797	0.584118538487	0.594093843981	0.622494547426	0.598035550473	0.691289640515	0.515626559364	0.540141597419	0.504731786535	0.528723844655	0.497169342624	0.536246690706	0.599195360787	0.508965041375	0.590652759768	0.537063803954	0.484075124899	0.533603892009	0.484547060615	0.571729634501	0.493365861124	0.603814736337	0.688460773909	0.52653904146	0.593984568236	0.541748672278	0.523633132035	0.553460313781	0.720201543958	0.600879771105	0.381231409451	0.463482779866	0.609555129019	0.592659250223	0.551960770128	0.622919932144	0.652993988833	0.563436763157	0.660774690639	0.733275932225	0.707218022328	0.766892348958	0.608377930248	0.702957880501	0.588060427699	0.662560494748	0.610296619135	0.725806445239	0.655624653377	0.637626466807	0.736445880973	0.587426103903	0.54581125109	0.678793406496	0.704576460786	0.566747896611	0.694601478764	0.693472866558	0.640686665609	0.683343747902	0.789587030533	0.584937837743	0.593493751408	0.613202367315	0.712063137004	0.665061923544	0.663588797632	0.62054539779	0.675354019264	0.721671558201	0.668899684752	0.622330555921	0.672338435479	0.617255196138	0.688170547681	0.659787586309	0.526778367554	0.618978984255	0.617278145984	0.538721572488	0.620642862626	0.731156729295	0.69046480528	0.533607678267	0.651571936485	0.645291837008	0.629217257793	0.575846798215	0.597739496367	0.556482400771	0.649941842511	0.587925061541	0.549419509684	0.530421671606	0.590435027623	0.646101910726	0.542670786413	0.592840224041	0.598338873548
CS.007	0.553970541251	0.5188942905	0.637414857141	0.554695400827	0.585169014588	0	0.553358586359	0.561930191386	0.554071951128	0.508000772183	0.55156478625	0.651455230872	0.594483615694	0.507013308902	0.622686706365	0.513819496994	0.585650182629	0.648133083596	0.541861068312	0.608634577409	0.576214612261	0.563402309668	0.580093075487	0.507789788995	0.755505003651	0.531347451399	0.571356670362	0.750441071711	0.536542933147	0.542057041227	0.542848365897	0.741322953341	0.588339421429	0.684155510239	0.695452690664	0.721672300385	0.690087169011	0.55587296215	0.65136526046	0.571505744732	0.648220091819	0.505717753422	0.655647334921	0.625691803084	0.501016001939	0.578600881523	0.626027096836	0.626326783596	0.680693140355	0.728862346169	0.672312285008	0.727971421239	0.651137000249	0.623020847051	0.604309544858	0.616703352446	0.605629544268	0.60792283562	0.718356702364	0.604911810605	0.535036116213	0.711572219453	0.568047318813	0.537081192743	0.651672299298	0.568983515644	0.755378006104	0.547867577141	0.598189149192	0.69539867031	0.576619947382	0.519778194929	0.559738103762	0.533613114217	0.582509303642	0.527435899928	0.525188636511	0.584575434305	0.561596172367	0.518924423537	0.492835281628	0.524733796056	0.567811461523	0.559341243751	0.584563107625	0.568093343497	0.608677668112	0.634395334431	0.526810003757	0.594771839883	0.563218278814	0.655171746864	0.524773465153	0.577121229512	0.519934664006	0.568888894381	0.529429559267	0.69781230106	0.607073102699	0.577314292953	0.574315222843	0.638289162782	0.637114946742	0.513028745123	0.551785743977	0.561112783748	0.505479000569	0.632176840549	0.763282072617	0.645075709096	0.756428420335	0.555032798282	0.624955816467	0.631948665782	0.665631177835	0.623325731687	0.667780908135	0.671659559941	0.662025310487	0.746139380358	0.643007438184	0.518820171209	0.638477794599	0.635200399663	0.561050387833	0.62510765387	0.643073301446	0.563914795289	0.638356846166	0.7680653925	0.608558425232	0.51596391915	0.650674663718	0.708227083503	0.620231805536	0.611215817885	0.628710488623	0.636336881561	0.748459047354	0.665015575722	0.60910202022	0.624850082562	0.532828653831	0.639897190363	0.553650773511	0.591500324277	0.526599032163	0.515248724403	0.509995842719	0.549707025935	0.724973671837	0.65162898048	0.513313530423	0.54883920245	0.557862880099	0.566168931349	0.500098085443	0.538931397269	0.508808691294	0.57166113499	0.516844761327	0.537464600821	0.506477729019	0.499328627579	0.55485441433	0.508980346719	0.561155426072	0.505378809821
CS.245	0.639666701507	0.564970967318	0.652413548231	0.605902293406	0.619472054261	0.553358586359	0	0.613206105799	0.615025347905	0.551582658093	0.597275463527	0.613230329239	0.586270095823	0.558704869383	0.665550708879	0.559126501085	0.605191395585	0.667250519127	0.592567442178	0.640354737198	0.626320919409	0.568603066081	0.591704510896	0.540470804532	0.714646508122	0.57416757326	0.606222619792	0.705678192905	0.588956737289	0.600192408031	0.600315040808	0.694076220416	0.569575557489	0.666950968129	0.694730253024	0.667010957624	0.651906385477	0.613068254643	0.660241379628	0.64035849383	0.619370614737	0.57649850057	0.661754938583	0.628261297061	0.5483570838	0.599139243925	0.64828097387	0.640925224004	0.684159932555	0.705906323709	0.664751597092	0.717791189455	0.694867437792	0.669284034588	0.629379092473	0.647972268561	0.603021431048	0.658953847016	0.70469353603	0.62322866129	0.513443350664	0.680148994119	0.610710962627	0.579601414179	0.602804267487	0.625536286733	0.693757269295	0.54112343042	0.574303939348	0.621892456369	0.602278400782	0.561326400947	0.539108480197	0.584168549047	0.557356177811	0.573691268297	0.595290403215	0.632309752152	0.588663612529	0.585764322706	0.565657882692	0.552322473651	0.624444590599	0.579648112843	0.619010834176	0.596242162138	0.648951277262	0.666947028582	0.543701260044	0.647802584501	0.559949990857	0.590422044873	0.539199389228	0.585988980302	0.56996697783	0.592303794741	0.535174458787	0.629783070292	0.568401831488	0.615040905601	0.598282231994	0.621278491384	0.619858138041	0.602864250413	0.563357182119	0.557819823251	0.557109578181	0.637439355254	0.705438675506	0.629408966978	0.703032399998	0.564597489609	0.589003259334	0.63104628485	0.647998973842	0.646009683519	0.617456133411	0.65817007386	0.650846564591	0.691795451456	0.616196127561	0.574859461884	0.641722109069	0.633264972553	0.647446540252	0.612412928372	0.613337073452	0.585883783485	0.640248024507	0.744128296286	0.596763902134	0.544374522967	0.622187941601	0.683498877727	0.622195064583	0.640068338588	0.619479517207	0.645149889173	0.727249385162	0.636571296825	0.636039918931	0.65907355061	0.587532873781	0.626284132889	0.529124179642	0.608812889953	0.52619114946	0.513133717842	0.581718840683	0.549394721371	0.674017998252	0.61883814636	0.570629594229	0.560478540773	0.54615210201	0.535073161706	0.54141794112	0.552461584437	0.581576272554	0.531778518221	0.530010968929	0.584214780792	0.577621981157	0.563456983781	0.497322240392	0.559571715164	0.514737046035	0.538640720879
CS.176	0.594224071486	0.61076666346	0.664319179546	0.574983627536	0.60693886941	0.561930191386	0.613206105799	0	0.590108515194	0.61752738807	0.597193373816	0.625510658022	0.638548382738	0.565628080171	0.569501403825	0.537984961112	0.576036252278	0.571126315167	0.595289348112	0.527093897473	0.532823539879	0.608562749667	0.638569588417	0.53670735028	0.730199348467	0.534879610009	0.579336913105	0.700349315485	0.621371532466	0.534077239942	0.577509430928	0.69910548119	0.541682909639	0.616374698028	0.646137465088	0.656333489588	0.689550781244	0.521197464821	0.626805424677	0.575439320352	0.616182395763	0.552781902517	0.593846086623	0.576773681589	0.52032531896	0.596783770111	0.540245943934	0.601183682989	0.682685991432	0.643401647924	0.658042634182	0.673147470738	0.621384222216	0.611275161402	0.564248488174	0.573872789941	0.606336378299	0.523780408522	0.67066443816	0.563848325139	0.578959333611	0.673112637043	0.65416430917	0.564571908078	0.630561122874	0.616989062786	0.70159387674	0.524515390448	0.594602175166	0.692644947588	0.568028847991	0.565389922503	0.585019475529	0.573408892161	0.631841686332	0.59773809612	0.61585777021	0.65973821661	0.625663844204	0.612502486866	0.523059636343	0.591732440333	0.609707542223	0.587439817382	0.601213276752	0.633194311176	0.6135927802	0.658493673336	0.615062480201	0.632737639326	0.645265271163	0.65500374691	0.569393940022	0.59947753294	0.555432931245	0.577222123054	0.578935189087	0.66340510581	0.61280732567	0.569922684816	0.597233423149	0.620025202428	0.598127640375	0.586402626764	0.666178011488	0.532268958835	0.590575722974	0.586535798321	0.695384102202	0.60684077719	0.743117978638	0.595261597226	0.573145386181	0.543545855206	0.662333175706	0.585252300355	0.62115181514	0.645202742068	0.638397634723	0.669637080565	0.595397047232	0.505557579782	0.559553122949	0.605819634101	0.533966082647	0.634621726045	0.591303029721	0.573760841616	0.57601795535	0.698006980674	0.596751428157	0.554338031054	0.579016808335	0.628075019517	0.561962622688	0.588988503485	0.594967079581	0.617122875556	0.70470994705	0.577497790174	0.546945519018	0.547244156585	0.485874913979	0.639637939046	0.561197858264	0.620960228981	0.594747683409	0.575808057311	0.590030963742	0.590103258723	0.703677228806	0.630866248846	0.592570374072	0.562225618837	0.628477421267	0.578160126482	0.582043328559	0.605703310503	0.609777949623	0.651023511989	0.575013517629	0.641585231197	0.610697844997	0.553291172013	0.648425564441	0.559038698606	0.64494853825	0.613573262546
CS.011	0.580319392542	0.512198556434	0.669470697084	0.549743049892	0.451364319493	0.554071951128	0.615025347905	0.590108515194	0	0.540208212968	0.497181847363	0.662914023872	0.548863226436	0.511631988138	0.605517813577	0.565342998103	0.554204099005	0.666803297008	0.576795956458	0.593919172968	0.570868017765	0.579296328558	0.622193950365	0.615565043889	0.766882262035	0.578256599078	0.539839716843	0.730450991187	0.552070684089	0.569468059777	0.512767536019	0.759118151709	0.651903447445	0.709301101682	0.68497653622	0.720058327484	0.691640443316	0.599719775847	0.68709382968	0.581317207233	0.656082249126	0.609800747563	0.683194899289	0.643549187448	0.551796439241	0.606796344443	0.640653005339	0.654480367107	0.6981172998	0.729391799538	0.698810181438	0.723195333768	0.680903363471	0.659763714033	0.574562058113	0.6191815696	0.59792519751	0.621514487474	0.694941837711	0.638498785118	0.589404191649	0.722409314121	0.496039157135	0.520937076578	0.656400179778	0.470210488667	0.737388186117	0.591314683934	0.565412622899	0.714582045012	0.550092409035	0.565606692482	0.58140897084	0.600534169129	0.679015199044	0.495386331619	0.501589197871	0.496494871014	0.513081892944	0.43939681199	0.496163467155	0.557953073581	0.479679265887	0.571741752376	0.548367861618	0.474726336265	0.528896667107	0.476721637309	0.555988339439	0.464890410091	0.60777650539	0.68695013742	0.51267532051	0.605795452915	0.519544057005	0.528340906919	0.531946412222	0.678740624747	0.619830949099	0.487870801714	0.497537823154	0.647499247606	0.621845423001	0.553860258269	0.593900370948	0.622020006227	0.539156892259	0.627985330901	0.747232410777	0.667933527153	0.764815252075	0.627202433224	0.680796675202	0.612584183231	0.637880778835	0.612948906688	0.707272457809	0.668121616784	0.620874951115	0.717339451751	0.633256218797	0.515182236439	0.658732886551	0.676628072077	0.544296547709	0.671838510562	0.683264820271	0.611532617781	0.668166429551	0.774720643679	0.600580860482	0.580129735735	0.614671155925	0.705459642057	0.635614117457	0.658676437606	0.597106343243	0.665457467816	0.718093623597	0.670802265277	0.593199015182	0.648874803486	0.594894076309	0.678782529494	0.632406640785	0.512433299537	0.585035619248	0.602873775058	0.503902536921	0.61109389817	0.705927490731	0.664511119984	0.502898949267	0.62491883231	0.63119677703	0.620992388486	0.573775637999	0.585515803361	0.515961126232	0.636628893353	0.535127454115	0.529191860138	0.498906861158	0.521622648566	0.632314184381	0.5179104203	0.585800616306	0.591755862615
L.004.M1	0.642297414782	0.455031831731	0.664994230287	0.563501093647	0.575046370755	0.508000772183	0.551582658093	0.61752738807	0.540208212968	0	0.568244579561	0.653697968779	0.578943320931	0.445189910753	0.695003523489	0.591662763499	0.618798259798	0.725303563442	0.608376676286	0.669894702909	0.588817859111	0.593704637606	0.581117356317	0.534457320593	0.802440069083	0.586056260984	0.568922727297	0.781325969909	0.55261370751	0.570116360525	0.564201773036	0.758063232117	0.638507791875	0.703017860617	0.745364008902	0.743324787793	0.715705065848	0.611436691604	0.705640737992	0.626478149444	0.703971019308	0.546436810454	0.698656828873	0.685730206942	0.525953846496	0.597865006893	0.670481991802	0.676516988169	0.718838718491	0.759169381374	0.69825748898	0.766475383477	0.707394256701	0.654984331789	0.627743590886	0.639302269996	0.611554315237	0.644319999792	0.735869442366	0.667291004848	0.509135577364	0.72288681993	0.492620692286	0.564359238305	0.638051065016	0.567735686071	0.753276855274	0.54573586217	0.568551493129	0.702792142819	0.576160623524	0.504718078722	0.560051811862	0.562189628179	0.613565538045	0.456306837367	0.486617242376	0.528927844747	0.48186463499	0.458524997884	0.480339691593	0.489011321577	0.500079839777	0.560133792298	0.599493657986	0.477875407691	0.563300630373	0.600015470948	0.482736776966	0.566628598916	0.572605646792	0.654999887684	0.485008927931	0.586858858423	0.51455203359	0.562868996433	0.51141062823	0.707138679414	0.603847302869	0.575924896855	0.55968189376	0.66190413654	0.670694508233	0.551727957165	0.483839599603	0.611927092457	0.47131249346	0.662726813998	0.798514285988	0.675271460263	0.759474383134	0.613910318935	0.652695752385	0.638871548177	0.692656240156	0.667224725324	0.708050698508	0.724999347298	0.640112702643	0.776029652898	0.676919127054	0.524252309917	0.670043910714	0.672949095976	0.585658746406	0.641811468814	0.69604809709	0.602193782598	0.664092761883	0.790098159648	0.6304359155	0.521395362326	0.685558994738	0.764086388228	0.684209506203	0.684600168768	0.635877837977	0.677371877676	0.754594373136	0.70981008903	0.618199721969	0.688223795371	0.573861572629	0.677754792373	0.543015182772	0.544809903663	0.521560533902	0.469696149315	0.438660159026	0.511423461182	0.716506267433	0.624192947567	0.432330625229	0.56850796916	0.539449371013	0.53967537085	0.493078816807	0.522053474703	0.45548212736	0.489984388653	0.50220657287	0.422021438182	0.406635814954	0.491123321244	0.500240406029	0.457385016708	0.517640105418	0.437269446794
