CS.005	L.036.M1	CS.038	CS.021	CS.022	CS.059	CS.244	CS.199	CS.174	CS.091	L.006.M1	L.001.M1	CS.176	L.011.M1	CS.143	CS.287	CS.062	CS.368	CS.341	CS.042	CS.067	CS.060	CS.122	CS.327	CS.335	CS.230	CS.290	CS.065	CS.149	CS.367	CS.374	CS.041	CS.236	CS.128	CS.378	CS.213	CS.375	CS.205	CS.302	CS.126	CS.376	CS.232	CS.125	CS.292	CS.380	CS.349	CS.178	CS.386	CS.395	CS.182	CS.348	CS.148	CS.214	CS.256	CS.268	CS.147	CS.385	CS.183	CS.166	CS.177	T.CS.020	T.CS.080	T.CS.040	T.CS.079	T.CS.012	TFS.023	T.CS.004	T.CS.069	T.CS.007	T.CS.057	T.CS.042	T.CS.028	T.CS.023	T.CS.056	T.CS.019	T.CS.129	T.CS.130	T.CS.105	T.CS.102	T.CS.167	T.CS.115	T.CS.161	T.CS.131	T.CS.097	T.CS.091	T.CS.111	T.CS.128	T.CS.121	T.CS.177	T.CS.123	CS.237	CS.082	CS.087	CS.241	CS.085	CS.015	CS.110	CS.356	CS.242	CS.246	CS.088	CS.103	L.034.M1	L.024.M1	CS.006	CS.187	CS.078	CS.304	CS.274	CS.347.0	CS.387	CS.191	CS.358	CS.150	CS.044	CS.228	CS.207	CS.363	CS.212	CS.325	CS.322	CS.112	CS.319	CS.227	CS.158	CS.285	CS.331	CS.194	CS.361	CS.343	CS.318	CS.202	CS.080	CS.152	CS.163	CS.390	CS.253	CS.326	CS.370	CS.270	CS.145	CS.393	CS.262	CS.255	TFS.025	T.CS.045	T.CS.026	TFS.020	T.CS.036	TFS.027	T.CS.043	T.CS.049	T.CS.061	TFS.021	T.CS.064	TFS.022	T.CS.008	T.CS.055	T.CS.066	T.CS.141	T.CS.152	T.CS.158	T.CS.142	T.CS.151	T.CS.095	T.CS.157	T.CS.109	T.CS.166
CS.005	0	0.557485901687	0.619576053862	0.636943954241	0.621346671678	0.540303297687	0.613890750754	0.619182687242	0.498800069438	0.667046207592	0.556363329973	0.516783828101	0.605268187307	0.571503784099	0.56561224287	0.634731754786	0.510377404028	0.524699087387	0.690805556956	0.643482058447	0.748229057503	0.607855740059	0.513337975432	0.610749260826	0.777241589529	0.708958746836	0.684162825507	0.61743386101	0.649532385559	0.753729499659	0.682768859504	0.653921671385	0.696682025911	0.606233448657	0.702298640674	0.690160639771	0.651724747734	0.729427919259	0.737061096974	0.552895552678	0.687984403573	0.482129584987	0.682192160574	0.587546139732	0.555968001893	0.643773346338	0.612543719661	0.72182838909	0.651058558233	0.603862358106	0.604827915448	0.6952763602	0.650399281317	0.665334664415	0.665860806574	0.673768849526	0.657496716398	0.745878871215	0.696405418836	0.698028597651	0.496460153396	0.660318600101	0.519347682992	0.699644741892	0.705075137533	0.636419741337	0.615852434059	0.592622828094	0.661152921489	0.724407794008	0.503103041874	0.578818600705	0.76215304153	0.649541800674	0.627824409194	0.511518053447	0.501949877294	0.509100887412	0.552903109536	0.531729134001	0.445257052865	0.496411419336	0.496878197923	0.508503637723	0.485449990025	0.564928899891	0.517084127642	0.528863561598	0.49443843254	0.566629865239	0.613738912199	0.475202275758	0.602856483996	0.520953473855	0.475794766895	0.589131619684	0.617980263878	0.704058332013	0.508859392581	0.496909484431	0.680795921033	0.53151213506	0.594722536511	0.577737880826	0.487759724562	0.643265242944	0.629112230227	0.691368798449	0.695199569437	0.693599740525	0.638668183162	0.518547857749	0.771303626173	0.544090960233	0.564990332404	0.587227833908	0.679223269815	0.682427417596	0.68428728707	0.778980478815	0.71009069073	0.63115376853	0.690013985892	0.791193872107	0.623893921155	0.725660222675	0.565080542143	0.767361967557	0.693361161559	0.689944169826	0.68533520938	0.668428382524	0.590912125749	0.538515685973	0.634336233368	0.665214088314	0.733276634689	0.628851702392	0.676309148797	0.679187551212	0.613431729508	0.677335043267	0.694341472258	0.613595519464	0.624296275419	0.602841181095	0.733492962004	0.507986878208	0.513874523522	0.589803023554	0.586029128237	0.66644007955	0.614482717945	0.630055747352	0.568157144735	0.503237796916	0.667864308597	0.577549188528	0.527411251761	0.596193053416	0.532992500351	0.516698064889	0.611081014461	0.551379632346	0.509881188648	0.555515911827	0.474145586292	0.534363721291
L.036.M1	0.557485901687	0	0.562844029472	0.615996787576	0.626752243777	0.536788224273	0.629898655111	0.604253233132	0.516275069294	0.673679639508	0.50950449258	0.568104305113	0.595263579491	0.557407994522	0.56277391652	0.60412338134	0.557388794533	0.544531022408	0.647960465599	0.62491232548	0.739293518231	0.62476057302	0.5718169445	0.572868940676	0.73095299274	0.691546601421	0.670464398616	0.59671186463	0.624443651517	0.737355182227	0.670336764816	0.626612369036	0.6896690477	0.572094633948	0.693782967234	0.674439475343	0.610392893632	0.702895557865	0.72356204298	0.524758275464	0.644682723371	0.583512629802	0.654566318707	0.609312522558	0.542272417082	0.608172623394	0.560034780815	0.716895847591	0.624507443707	0.599266858837	0.596925738003	0.671562910401	0.634747537112	0.658677161535	0.670865763127	0.650187835902	0.654519561402	0.713434337234	0.6606462127	0.683468579879	0.569983644442	0.570936517634	0.53914252299	0.653671322864	0.667547171956	0.584884445723	0.541173221213	0.554534571263	0.653873198598	0.679247722219	0.512401058093	0.511843192804	0.714415121686	0.609976278677	0.595490119107	0.522332290592	0.526718246876	0.636232758936	0.571363890131	0.49279000183	0.541825663993	0.553145561511	0.509779061319	0.486838257697	0.505268722208	0.504312653153	0.550812589232	0.53213583887	0.534266315634	0.527359072336	0.650076096633	0.591114398863	0.595323308728	0.564649793596	0.564179708488	0.554653728581	0.637370273797	0.691764267007	0.492854289312	0.548666032605	0.625110446501	0.592623178049	0.527520530964	0.592929920271	0.551210330141	0.621620297277	0.601788757332	0.699360693643	0.67945648869	0.698566510047	0.570293443891	0.529936852254	0.745850511127	0.591624892044	0.529931829785	0.609398810278	0.689253317995	0.636758159923	0.65572655477	0.745599964195	0.670737910024	0.620539006941	0.644148703444	0.779841184931	0.644088625647	0.726202993109	0.585396745433	0.74044821777	0.648353361189	0.673114271518	0.649816892307	0.636665318066	0.628409313024	0.537278333144	0.642947119433	0.655887518241	0.750035629418	0.630707237971	0.626736941878	0.638757171951	0.574082733446	0.636096439851	0.633980215393	0.626234527641	0.569814950435	0.578257582603	0.70615887665	0.527645259077	0.574398770253	0.507677887176	0.507172769001	0.629902054819	0.551454114614	0.581165869308	0.521282460504	0.511182683537	0.543943991263	0.525206511778	0.527024370154	0.538707107074	0.540515522907	0.509061666858	0.548375896469	0.489533765232	0.504175435656	0.524567006214	0.516339244908	0.547286955248
CS.038	0.619576053862	0.562844029472	0	0.622052923168	0.591090879273	0.617676906963	0.626139845748	0.583493176767	0.622998542695	0.667419922978	0.603504469028	0.644219604612	0.620266286757	0.57100520446	0.605288947404	0.693763540024	0.5512601732	0.628081283172	0.689102616205	0.562719369479	0.685931146157	0.607455937543	0.561305425847	0.591693191695	0.72987233251	0.654003572904	0.668624869656	0.605131225831	0.654051633302	0.700298394329	0.667886428206	0.621293085833	0.692224244828	0.623604274623	0.649792805929	0.647259120987	0.58717103376	0.71307370828	0.699804608311	0.604022038325	0.644378016819	0.627277032589	0.664624441451	0.647880252351	0.625560050723	0.6830024052	0.652036692453	0.689683689632	0.673175157662	0.666298486257	0.681694081424	0.681129084946	0.641379084465	0.677616082149	0.691776302697	0.648355647868	0.69073406795	0.716447156377	0.699967761264	0.670968508571	0.666977860205	0.610986589727	0.599811477934	0.646718935554	0.657734112785	0.614634805769	0.61486810622	0.651676320806	0.653778122253	0.658094217379	0.625746895385	0.600283210266	0.707816879163	0.573687294354	0.610165438906	0.648040569934	0.610498720484	0.698724308281	0.623185497546	0.600391110286	0.649672312791	0.66186909846	0.629363016977	0.617062076067	0.633492815336	0.58148529019	0.679750373278	0.637363711287	0.626120439902	0.587442861979	0.642717331999	0.64229029331	0.513678521256	0.577303333726	0.62554840771	0.554297736683	0.633353692525	0.660184134078	0.601892678024	0.60129251927	0.553756264671	0.608201808958	0.587356132069	0.610899385332	0.552378418456	0.662765689562	0.569976032347	0.683970796742	0.668049603374	0.656951753789	0.613526599652	0.596764367122	0.733849947628	0.646578849435	0.524361891273	0.604136200704	0.668944361581	0.670067336548	0.635684501482	0.726712721085	0.684369578176	0.602645670735	0.66863967781	0.736159831281	0.620506773932	0.684674597611	0.675882631422	0.7254713469	0.622936140405	0.682554257443	0.672898123743	0.60910517548	0.59265040114	0.636923642873	0.610836862277	0.678276907978	0.718015823226	0.672465608123	0.658407476175	0.683841832175	0.625390690353	0.633525566314	0.64291908768	0.671428931235	0.600082309319	0.595695275287	0.706325063604	0.636949472211	0.643356068203	0.577030482367	0.594358706501	0.648635331824	0.581749985932	0.611459476627	0.577889420402	0.64229982795	0.578118425602	0.609807009013	0.62869902613	0.566086657375	0.609227033845	0.619464719541	0.564196286073	0.579503387823	0.634895553445	0.550469752086	0.635168121496	0.628072452648
CS.021	0.636943954241	0.615996787576	0.622052923168	0	0.506394992111	0.599153114213	0.706044256688	0.572260010052	0.631157243458	0.580968533127	0.643149160437	0.648049375136	0.564904940011	0.596327432238	0.569093861881	0.582335652608	0.614856395353	0.59424352506	0.552065574468	0.573435432738	0.647212157624	0.608947688213	0.630638088596	0.613702055592	0.617433427164	0.594556260694	0.578428602974	0.553156030902	0.56006567596	0.61523710139	0.574881927048	0.577495815264	0.642304140867	0.586573116714	0.647843704744	0.586011405221	0.572991464209	0.587033114654	0.582362653268	0.571149258636	0.525609261062	0.610797576035	0.532094176665	0.575977297541	0.608564359007	0.581546382353	0.614240372031	0.666066641105	0.617552705526	0.54540483404	0.573260596917	0.630088339871	0.590004309718	0.589083439413	0.636280192071	0.55770158467	0.566002368602	0.637184569475	0.629425717061	0.623849873602	0.669074403984	0.588728168644	0.598028476155	0.56751094323	0.662871695807	0.610322185024	0.564892223708	0.564556613804	0.585425632002	0.607254908633	0.638821180212	0.564842191839	0.688282340309	0.651095376216	0.604214336426	0.6536409769	0.604904410468	0.660194066808	0.667740354179	0.61914072648	0.65204659716	0.612907753946	0.636938297651	0.650973563201	0.658328867673	0.617702922346	0.593740248454	0.606774502422	0.654452976935	0.589054924505	0.575812929821	0.621246092362	0.608142966288	0.652187158371	0.592064479314	0.657258351914	0.586823515648	0.63483616274	0.604084494233	0.609628407066	0.667744611581	0.622176840054	0.585318806827	0.651659711188	0.557381035231	0.543969977464	0.614393200288	0.671348508968	0.584572440047	0.60181156692	0.526117261821	0.631430462489	0.63344934516	0.580708187993	0.56929937245	0.605169662497	0.604449872003	0.546775466558	0.613286136066	0.66229639167	0.567411973052	0.566290090885	0.555064208697	0.652206794462	0.575320119532	0.594546341044	0.560033075281	0.632392882677	0.606501374579	0.557624021802	0.530326181564	0.643914709466	0.563424235547	0.586780728685	0.570838566199	0.599533188166	0.659145350691	0.563407249698	0.582139917764	0.592613365268	0.585323979723	0.635467662985	0.568561499512	0.547419900186	0.561345788536	0.602426088195	0.601086405771	0.635275576625	0.617738131898	0.597660819169	0.616201227979	0.557609203962	0.590481990552	0.607493184412	0.61202618972	0.642465821414	0.590489904464	0.590362665147	0.638834221441	0.65093298383	0.578433579513	0.617045821563	0.654748960879	0.648137562074	0.672039708765	0.62925814202	0.652267572482	0.608869204399
CS.022	0.621346671678	0.626752243777	0.591090879273	0.506394992111	0	0.632612006224	0.642113409349	0.571641234571	0.665799310532	0.623969272271	0.63585081353	0.634423624686	0.607471367678	0.600169734997	0.589405483728	0.616196073846	0.582809169606	0.627550361299	0.617303828237	0.599495753998	0.658052133581	0.552160460106	0.584913998349	0.611364184351	0.673848436652	0.608726742535	0.591639492802	0.592347175794	0.592074775249	0.658019815243	0.613983948731	0.568220709184	0.619273867248	0.612907595362	0.614159088793	0.616018801584	0.609839890046	0.628336306744	0.648033340875	0.632593215212	0.577091005504	0.594864098165	0.585984533724	0.574163264533	0.648821049531	0.624116834871	0.639337676124	0.652178583577	0.627090506348	0.606566289372	0.608773552402	0.628780023721	0.619732740272	0.624886412284	0.61894292415	0.5851334704	0.612116136341	0.645308023248	0.642166226961	0.635787611748	0.672054857535	0.628192320877	0.607925410832	0.596980641434	0.679111860427	0.637341205496	0.620762643724	0.625040993463	0.603568527759	0.638866026831	0.654241429772	0.626805105474	0.720439286398	0.62118339274	0.605809735482	0.682917671174	0.647830396282	0.650396170336	0.678626121852	0.635524935653	0.669983602088	0.612228567236	0.671465021546	0.663646012376	0.674233260553	0.620838667369	0.630174270124	0.65168019137	0.66017492335	0.608950409851	0.5379488735	0.615625999823	0.583999229177	0.645448233253	0.592437292746	0.632699957516	0.551676843701	0.655367252122	0.612128829327	0.62066330419	0.611712921903	0.594418388731	0.597591049719	0.635123900237	0.53067302263	0.587207522609	0.608425594177	0.640083209302	0.622045518363	0.593546080171	0.593004168414	0.65664947094	0.682417849954	0.579027211182	0.603139126687	0.55837949977	0.614987799144	0.596263529435	0.645427774159	0.702431443739	0.622104037818	0.550515832275	0.60497773504	0.66660331915	0.540395645564	0.601035398755	0.604016710535	0.673446226108	0.63692585761	0.595190995909	0.604307348665	0.666463146207	0.546699805586	0.622312250478	0.554623407844	0.583541872375	0.672500162501	0.599299827097	0.614347343822	0.608659994552	0.633603003377	0.62603638954	0.610254372293	0.60644131432	0.634681766288	0.628260289891	0.64702105753	0.652137160449	0.610628506623	0.64167038883	0.636575541286	0.612272195861	0.62870366734	0.635512247442	0.627187009162	0.675035895484	0.653412500667	0.595657130594	0.665984863019	0.637667329649	0.630532878195	0.652638997502	0.638372419471	0.652529493766	0.676137728946	0.604730322435	0.664877427817	0.639781519361
CS.059	0.540303297687	0.536788224273	0.617676906963	0.599153114213	0.632612006224	0	0.668649617921	0.613892361716	0.509454788409	0.653354661052	0.561262619636	0.553575903601	0.591689325897	0.567985298779	0.566541579679	0.610846768283	0.528544390236	0.542610964039	0.640154957713	0.59131133256	0.728556628976	0.613714957219	0.559642898497	0.592882758685	0.734199065416	0.697807211391	0.653932033722	0.586563574508	0.600897666462	0.727959223474	0.628493573134	0.602267845615	0.673941669486	0.572651544857	0.689326524847	0.665160990297	0.603599606579	0.69595500564	0.703566971259	0.512427333946	0.643968645144	0.5284020539	0.644097621319	0.564795347437	0.529057161288	0.608603159493	0.576885990475	0.692267726204	0.609119911478	0.551525284306	0.594023631552	0.665822154865	0.630209420931	0.636536019337	0.661242580445	0.644885668862	0.622994555675	0.727110530148	0.65535170189	0.661872707331	0.550950853073	0.597450778131	0.519601794073	0.661618648336	0.660815903446	0.57178879204	0.571545785858	0.538200059383	0.631447936856	0.664767244879	0.539925469788	0.546068008333	0.727695609913	0.631645454284	0.600912973257	0.535159567403	0.515478556527	0.584038316863	0.572400168074	0.553255326605	0.524171780146	0.565933726563	0.537749916959	0.527998852072	0.535462641054	0.54517194413	0.561521635114	0.550630998687	0.544271221159	0.552052396754	0.629059462031	0.550280737438	0.635012887685	0.516263265039	0.530002999271	0.602466937235	0.626909409802	0.696759417007	0.521450460472	0.561438881177	0.654375962989	0.566943748936	0.58261036584	0.603961831598	0.569877140586	0.612065499484	0.576906943952	0.68955169553	0.660898145443	0.662961102686	0.574079311395	0.499986639117	0.749532196714	0.586119900932	0.540484183727	0.619069185021	0.680835352439	0.637048550173	0.663053794164	0.733990716923	0.656316211251	0.611985549693	0.655489489214	0.776279207402	0.628278934588	0.701856700113	0.556242656377	0.740649872937	0.653906274611	0.656033203139	0.639796679328	0.647703533769	0.575371028173	0.51168339587	0.64788148547	0.639936114628	0.729270093909	0.633073825766	0.629577172251	0.63662039723	0.569725976281	0.654172991431	0.639948942412	0.601398546993	0.576166613791	0.554453875112	0.691061615333	0.507874047581	0.557046336626	0.529047311878	0.567050171211	0.641903318051	0.58440323999	0.568506711395	0.528335765543	0.512940270048	0.58162999008	0.576174634048	0.543034730956	0.59043684735	0.50965036615	0.514870300375	0.593705313432	0.562676589795	0.54658154376	0.583598930259	0.538357512789	0.541873259673
CS.244	0.613890750754	0.629898655111	0.626139845748	0.706044256688	0.642113409349	0.668649617921	0	0.644174712416	0.671563306137	0.69449468758	0.638470074848	0.577706383445	0.713635083035	0.651006531194	0.652949449308	0.704298505452	0.638225973912	0.681302218685	0.746512334132	0.688420695311	0.720701626366	0.625178339798	0.566122733166	0.611173884894	0.775569938561	0.726263604722	0.74385969547	0.718910118329	0.703177659718	0.736711948674	0.706308103449	0.676026025416	0.715727968228	0.697668670977	0.648783586055	0.729035309584	0.694202310372	0.781858657961	0.769219025338	0.69899188571	0.730426513043	0.635186776856	0.738808595499	0.673513343789	0.69780066151	0.712982009257	0.67785430545	0.707281266066	0.700022428467	0.710325323932	0.721244499093	0.702634830703	0.717829569437	0.700802910591	0.683021974465	0.7161954895	0.721829827605	0.740894557574	0.735963649771	0.720382737715	0.636978258628	0.704303781219	0.638127667602	0.720107413035	0.736841779586	0.715116377894	0.690607580295	0.71970294483	0.720051693323	0.75498523411	0.653052491612	0.685417832403	0.755097386206	0.60466556469	0.650860797309	0.681648080039	0.648537371039	0.627045035945	0.648670259712	0.628479836997	0.662041434167	0.601904075986	0.681665148664	0.631266171471	0.652119986389	0.635313278671	0.666179826864	0.698633826409	0.627672083286	0.631686882518	0.659267462666	0.626062214953	0.621725419759	0.651360588902	0.589427671337	0.642101809161	0.650505874128	0.715356863333	0.629301778608	0.642865836815	0.673104869942	0.629868790159	0.637973158821	0.635049522471	0.607812825098	0.695124842606	0.69371797772	0.718195770906	0.740253009312	0.708314816784	0.698995564098	0.658564822731	0.789162995513	0.627268258646	0.656999311309	0.623968486774	0.688757740756	0.721493902101	0.725526858198	0.761485240133	0.754203643787	0.636912278068	0.749736603922	0.780235719256	0.640622462094	0.749391820632	0.673891681017	0.784903119674	0.712998997996	0.741896045152	0.74412855931	0.703267984535	0.643272447345	0.680946605348	0.632986766853	0.714337069713	0.727559821824	0.685607547811	0.713252116588	0.711238916043	0.720374387816	0.679401476596	0.710914767394	0.699021059071	0.729295571418	0.673817570494	0.740755688525	0.680982054281	0.59085847062	0.697266307778	0.691851219051	0.719447921783	0.710142472591	0.682997019056	0.641488116169	0.67564328206	0.717122485385	0.635948299579	0.649346456054	0.642195837822	0.664244575604	0.663050564446	0.682813836676	0.644225361824	0.650844019576	0.618865765505	0.658022698504	0.689413597157
CS.199	0.619182687242	0.604253233132	0.583493176767	0.572260010052	0.571641234571	0.613892361716	0.644174712416	0	0.633399744176	0.629138864729	0.59838336168	0.615412191413	0.552829879848	0.588334542052	0.583001112747	0.631152029576	0.558761044235	0.604191521391	0.64919803148	0.589093098067	0.67842801608	0.587910012948	0.586895924037	0.581629972425	0.708643918754	0.633506079563	0.634604407588	0.60892885761	0.600007155074	0.691441056584	0.6350638884	0.597177208217	0.62449768669	0.612157095118	0.654730102182	0.658283293695	0.58593048548	0.68486160329	0.684579308071	0.601961414352	0.603099621673	0.584580695728	0.639988632638	0.603720052991	0.625631375424	0.634626242054	0.635939714192	0.690894071041	0.662623958042	0.631566675001	0.624872416681	0.65526818774	0.639801944448	0.658803240876	0.644155031069	0.63536701579	0.647924099401	0.689327854586	0.671174548661	0.654857803094	0.64541575171	0.629659291621	0.58527985347	0.628303252005	0.694181081159	0.571337435561	0.601319822127	0.627665296118	0.635856535851	0.679517275783	0.631614353627	0.630788398785	0.718452166295	0.606857502652	0.626584024502	0.654589377925	0.617032614725	0.65651408194	0.644468461595	0.616068841665	0.655082126807	0.630724269695	0.632752941262	0.650789207896	0.653813505899	0.607387883631	0.639157978433	0.647165658374	0.640357031722	0.592698016795	0.568006168836	0.601155403553	0.555581932616	0.603034969506	0.570239699128	0.600518049702	0.59652177216	0.678678116747	0.60049058216	0.618680638419	0.617314140507	0.578891969414	0.593181509471	0.625312986016	0.559125133144	0.61723236361	0.566873796735	0.643942067149	0.661812497248	0.60035435341	0.604025538685	0.606420913554	0.72041234171	0.602023664887	0.547050884246	0.50410095356	0.654970397671	0.613555731244	0.660350175563	0.707794160937	0.640938288166	0.585920331157	0.630833952255	0.702891530032	0.564071554862	0.65250471532	0.605425314656	0.720830803965	0.626895729219	0.621465802655	0.613443346008	0.637723208704	0.562319116841	0.604231087115	0.555415561354	0.630533770862	0.705111667653	0.628495948372	0.643712456416	0.656978881294	0.620759032687	0.623909084197	0.648630437278	0.610805932314	0.590359767158	0.606257587353	0.696174146769	0.607582137595	0.614461920654	0.595168972353	0.606867230954	0.646783584151	0.60619285188	0.582017489309	0.596110377598	0.630189830842	0.615133753466	0.6107843474	0.612901198154	0.629229957714	0.603835988073	0.611706045047	0.630355366311	0.637752128141	0.63006497408	0.605347169712	0.628282992401	0.611973555548
CS.174	0.498800069438	0.516275069294	0.622998542695	0.631157243458	0.665799310532	0.509454788409	0.671563306137	0.633399744176	0	0.665618870705	0.542374694324	0.567645844109	0.589882095158	0.522792056134	0.584694693717	0.643552744051	0.5268507816	0.504677664247	0.66053366672	0.645937701899	0.769260549117	0.643786269902	0.555306116658	0.575440969245	0.766047622947	0.734548796092	0.665093187827	0.61440696761	0.653838535322	0.763773626755	0.669115601263	0.692858682342	0.731071357909	0.567276548996	0.700516648932	0.686828375183	0.621255789944	0.688377068182	0.729574924412	0.502940990295	0.660822677036	0.559756856733	0.65909608374	0.612988071089	0.474622455322	0.63207764095	0.582689748439	0.717046972708	0.658507250444	0.594428052272	0.613798646868	0.69534638079	0.642383319786	0.659248922344	0.694948697645	0.660739043599	0.65619451293	0.753503309194	0.689187472504	0.675719448812	0.494279813135	0.594410232837	0.448896640322	0.699889719244	0.682286541852	0.539476904299	0.549322219776	0.529316882526	0.624850976717	0.715451584546	0.438939350768	0.519543636802	0.771951361816	0.647572406667	0.633689437037	0.455459857644	0.438755104028	0.589093328414	0.452652494684	0.450482389663	0.426853851077	0.547936364761	0.449649591096	0.442291171464	0.39321030377	0.446660489247	0.526608519077	0.51430477581	0.475126980544	0.507000201143	0.690659303926	0.566213276528	0.616494491122	0.481633528854	0.566424983834	0.54234331063	0.675040646667	0.704762520744	0.474297965092	0.496716893563	0.656226175621	0.562140128837	0.557034615162	0.508427058311	0.531452759724	0.625193811954	0.56760207044	0.724766101604	0.66854296549	0.708494216507	0.582609574609	0.453381868126	0.775569479908	0.596447294838	0.534141660837	0.662355980298	0.705399510825	0.6572856549	0.655275511092	0.770817045588	0.688717483347	0.673848653824	0.649577510924	0.801673774674	0.677391107818	0.749794340802	0.555770753121	0.754777050165	0.686914339728	0.648408754158	0.659892268786	0.653449550088	0.629677210791	0.486823438706	0.683919005013	0.656520993064	0.757943825926	0.633668147541	0.657983866145	0.659282936316	0.548137004201	0.687562262187	0.65768081003	0.595404894974	0.534745748019	0.530558024718	0.726746000636	0.41584430248	0.550723973815	0.481272512473	0.490277608155	0.65443684389	0.568423259307	0.546608175414	0.484621522746	0.423932135072	0.566044453233	0.501842421242	0.451117543559	0.481900689123	0.474453149089	0.429306387983	0.508626626581	0.421678636179	0.419839325704	0.527807631175	0.424434679144	0.447612474918
CS.091	0.667046207592	0.673679639508	0.667419922978	0.580968533127	0.623969272271	0.653354661052	0.69449468758	0.629138864729	0.665618870705	0	0.679132403876	0.673977362226	0.600645250046	0.655033870041	0.59477749045	0.581615068436	0.627223345647	0.610841603338	0.59649705548	0.629046171138	0.634717989028	0.585724948544	0.654330955198	0.683835289017	0.655821836085	0.641861245666	0.593044807458	0.596350893336	0.586943876141	0.628851643452	0.590344513873	0.635168402225	0.653057113892	0.60204215205	0.633935496544	0.592164775654	0.587707166895	0.599934234823	0.624189956138	0.60254005793	0.575236441227	0.615556587281	0.599348945718	0.573454641443	0.649368997943	0.577915825452	0.633870978415	0.633642899238	0.608489038794	0.583622127646	0.617058050893	0.607796997719	0.584976202141	0.580880283901	0.602979199517	0.573978393442	0.562890893694	0.642720142074	0.616915953548	0.585747745273	0.690649883975	0.626868722248	0.662702318248	0.607088003003	0.668253323106	0.648326974638	0.631291381173	0.632988327529	0.645673138317	0.646425469291	0.676308186444	0.644414537996	0.739444271274	0.695820782806	0.648524214703	0.668908401379	0.653809435101	0.694311373047	0.679260163083	0.673137505535	0.687361176418	0.658760506483	0.670526601055	0.689740872981	0.693420878667	0.6686084521	0.62319492326	0.6750391638	0.679768048017	0.619775332392	0.591414254023	0.629815818598	0.653690740445	0.668482059076	0.616654416442	0.68731094086	0.60117876755	0.653374104747	0.65986153589	0.648002494769	0.706770624454	0.625760274416	0.651363871708	0.691066357893	0.636858825948	0.591838672523	0.651270385749	0.633106506911	0.595485877787	0.595287544756	0.59683970127	0.65158849238	0.655758409455	0.590744136999	0.632935729403	0.629132995827	0.612086027328	0.593409827968	0.645389589067	0.657793190126	0.61093121022	0.622108829513	0.56948650895	0.636678209721	0.608201042985	0.614585299153	0.59333009622	0.664982165957	0.620209294098	0.567247007776	0.588031831924	0.653960598354	0.584395620989	0.62545218816	0.622130157411	0.562146185704	0.644860979719	0.584358624469	0.615450615685	0.579021189982	0.622386889263	0.647181607244	0.607573052032	0.579821166252	0.638798046486	0.661896879901	0.665394560387	0.677055872543	0.65629291823	0.677966531408	0.671588652849	0.635305462393	0.650939940153	0.659618910879	0.651786832661	0.674664145966	0.660878115565	0.662373043497	0.680388415063	0.707000162821	0.650348332491	0.657891174495	0.695690330518	0.683121461201	0.702469643689	0.675727722662	0.672990442325	0.646999934028
