L.022.M1	CS.277	CS.106	CS.263	CS.001	CS.108	CS.086	CS.260	CS.035	CS.243	CS.084	CS.007	CS.245	CS.099	CS.314	CS.065	CS.335	CS.127	CS.229	CS.365	CS.067	CS.062	CS.171	CS.287	CS.290	CS.230	CS.377	CS.042	CS.155	CS.341	CS.378	CS.126	CS.128	CS.292	CS.213	CS.136	CS.125	CS.236	CS.041	CS.205	CS.302	CS.374	CS.203	CS.380	CS.224	CS.359	CS.214	CS.148	CS.147	CS.395	CS.166	CS.177	CS.254	CS.369	CS.389	CS.385	CS.386	CS.348	CS.181	CS.268	T.CS.059	T.CS.034	T.CS.058	T.CS.001	T.CS.069	T.CS.041	T.CS.042	T.CS.080	T.CS.007	T.CS.076	T.CS.046	T.CS.038	T.CS.028	T.CS.085	T.CS.056	T.CS.117	T.CS.167	T.CS.122	T.CS.123	T.CS.097	T.CS.098	T.CS.100	T.CS.126	T.CS.124	T.CS.131	T.CS.119	T.CS.180	T.CS.159	T.CS.134	T.CS.120	CS.356	CS.110	CS.085	CS.082	CS.087	CS.238	CS.015	CS.088	CS.241	CS.242	CS.246	L.034.M1	CS.006	L.024.M1	CS.103	CS.191	CS.347.0	CS.150	CS.189	CS.234	CS.078	CS.363	CS.187	CS.113	CS.346	CS.358	CS.345.0	CS.151	CS.165	CS.387	CS.361	CS.321	CS.227	CS.331	CS.223	CS.158	CS.318	CS.319	CS.194	CS.152	CS.112	CS.339	CS.202	CS.343	CS.322	CS.255	CS.326	CS.390	CS.370	CS.253	CS.270	CS.393	CS.145	CS.262	T.CS.043	T.CS.055	T.CS.008	T.CS.031	T.CS.036	T.CS.064	TFS.022	T.CS.026	TFS.025	T.CS.045	T.CS.061	TFS.021	T.CS.066	T.CS.049	TFS.027	T.CS.151	T.CS.141	T.CS.166	T.CS.142	T.CS.158	T.CS.095	T.CS.157	T.CS.109	T.CS.152
L.022.M1	0	0.573140377887	0.587457181357	0.553972488162	0.491503841037	0.542712455264	0.508361588856	0.651306104376	0.582238105443	0.58186165057	0.544641718922	0.582372295784	0.622308803656	0.536779066029	0.593267571436	0.672434510164	0.786191807159	0.614780883047	0.70792357221	0.592738596462	0.766977349485	0.569909327788	0.612049517136	0.647305323486	0.704364027467	0.742295545333	0.679041839632	0.684259584569	0.577989573941	0.716960796492	0.713735304579	0.587939422871	0.636640207773	0.618668667759	0.73237852854	0.648641747406	0.690580701214	0.71885599733	0.684532123568	0.748240360492	0.760291198629	0.688577000155	0.604826102011	0.553601719171	0.78102147042	0.750431867268	0.68807195703	0.703396571824	0.696976847786	0.669852657864	0.705941863782	0.721093439868	0.690353049928	0.764207737108	0.685229167628	0.678645479325	0.723148177573	0.614746956294	0.664021036002	0.690232546568	0.606336583699	0.590331730284	0.606329122273	0.723195485653	0.624254025397	0.604323906213	0.526299645861	0.683214590546	0.688971017729	0.586062813629	0.661792532953	0.519623301276	0.60326905077	0.593113167833	0.669301676918	0.525883712118	0.550309557645	0.5428431387	0.588365692246	0.500308343603	0.504419840899	0.518523058667	0.540459705072	0.497359697306	0.52474108264	0.484082488886	0.566242506591	0.439612019902	0.590236681951	0.584858065576	0.743302551413	0.670212054049	0.545921341627	0.529803978523	0.652901685036	0.607724612957	0.615352006269	0.70441150144	0.555422248917	0.531223978351	0.543332090276	0.621663090153	0.58024234599	0.576603520763	0.560202633145	0.542739803427	0.720805981712	0.572737305544	0.642346473615	0.693661829424	0.652091573281	0.680607514635	0.660350535671	0.62496939429	0.782604926874	0.805216216586	0.785575789652	0.629618785265	0.746909710111	0.660000621837	0.727820601841	0.604784791153	0.809876289334	0.572679639356	0.700547526706	0.672376220059	0.702097462813	0.707659556967	0.787955389927	0.567031284858	0.668725127664	0.695683468109	0.685454346967	0.698874980462	0.723771651951	0.621926287958	0.626651667938	0.687254258769	0.68751633618	0.759619425135	0.687938807284	0.707541771943	0.628628794954	0.702838630589	0.610951910913	0.60146759115	0.67118688274	0.603459124291	0.539305326347	0.578522780656	0.520159734598	0.746609601283	0.65563529375	0.632050098898	0.656316372895	0.628422171633	0.525080711999	0.687638673699	0.605409598308	0.569730373504	0.621401219994	0.582928573301	0.63838943088	0.53967794552	0.497500826336	0.578961994658	0.483264886045	0.566037869075
CS.277	0.573140377887	0	0.577538263745	0.563023753185	0.557308534626	0.606728181419	0.578694402629	0.570362153166	0.561159465108	0.556152650231	0.579082033691	0.555073720005	0.560178377404	0.574854977105	0.546393367434	0.572109365042	0.685548720051	0.49745447062	0.581196564353	0.541233322319	0.690094853475	0.534060505291	0.60318008355	0.546823420338	0.607408315003	0.651958461053	0.612284619267	0.60375957462	0.520483537906	0.582783621136	0.648543060377	0.5177324461	0.532268509225	0.563574360849	0.618335122012	0.584919355006	0.603718134947	0.668029977954	0.630658886471	0.625969755387	0.645876981014	0.613300347629	0.558074300614	0.514135323666	0.70661730477	0.685138153761	0.584108381947	0.641680623278	0.596222944799	0.592108635051	0.622982769071	0.630072909511	0.598675691834	0.677792776556	0.598220062507	0.5995731916	0.668144137609	0.565239566507	0.578035281378	0.640756017852	0.594532203632	0.525426603299	0.550764778549	0.641288707308	0.54451649237	0.542894771652	0.545428609711	0.534724189836	0.58332765285	0.532738771581	0.561488610834	0.565347075268	0.526607652018	0.538693983671	0.613154219584	0.526899387482	0.515458656224	0.516924349065	0.530367474178	0.533319068574	0.565224819786	0.57911451868	0.520900390849	0.532058437516	0.546339391586	0.579682708098	0.585271561085	0.581399882709	0.544213729992	0.523331241634	0.652381507646	0.614601492921	0.554386930833	0.582710932669	0.619890262903	0.5454758869	0.612861966252	0.632514785632	0.546963327716	0.497638550069	0.527957093835	0.563029336414	0.532822698908	0.582431471279	0.568089407681	0.521564255144	0.635031984544	0.538911926761	0.577700785403	0.613577473342	0.581083455097	0.583273735875	0.57098519053	0.558312326559	0.704356640407	0.680267861408	0.710745381113	0.564421676306	0.656769345762	0.545429518199	0.613534042583	0.56973001322	0.717717108048	0.515873872841	0.568369321582	0.610145455179	0.586341173095	0.57104404004	0.678860535518	0.508118608873	0.583219840375	0.605002908909	0.627689992089	0.606835428081	0.621877898368	0.551463980764	0.579034695677	0.607826016607	0.597320329243	0.676458175407	0.587222210212	0.634589230664	0.558698228567	0.580975179464	0.548458606343	0.552531310198	0.570907884875	0.532866576379	0.547844955518	0.52759099807	0.52560011287	0.646643624081	0.544048305064	0.558804406986	0.551247929794	0.537494380448	0.5526709497	0.586165520802	0.536357689646	0.541752481102	0.570727332206	0.557570240897	0.585435077919	0.517770450593	0.547813264553	0.548996742122	0.541923630159	0.53402855047
CS.106	0.587457181357	0.577538263745	0	0.553417007131	0.532746350251	0.54189686969	0.517970297291	0.587422561474	0.53829375016	0.583856205576	0.423216785698	0.608378327526	0.599929340652	0.541972242762	0.575019303443	0.609364514798	0.728503969963	0.595212218166	0.618154306832	0.581916978592	0.685810175816	0.554687762937	0.529945317792	0.600798241747	0.640102329386	0.64606664803	0.619575909021	0.620248764487	0.589316360935	0.652436037232	0.646528834044	0.589881933367	0.624496350537	0.542051934943	0.657794170564	0.505392357602	0.652975428516	0.617961158334	0.573420283191	0.704226967594	0.703367975203	0.630716649207	0.615022776278	0.59543393293	0.738411882398	0.692003738294	0.657123444003	0.663305064591	0.646193131268	0.60212775973	0.657891613626	0.676250904834	0.640536269683	0.673044718811	0.632404909393	0.616537681909	0.690632008399	0.593645540642	0.623737875355	0.618710903581	0.5470028223	0.592719089279	0.581546668255	0.668704102875	0.612615041869	0.578872759964	0.584725537502	0.649986350285	0.647684486671	0.588150217111	0.605436311244	0.5668399252	0.609938465694	0.593055131929	0.61077061435	0.597284128297	0.589273518828	0.589285698605	0.598323555024	0.609564653953	0.577871107384	0.592717383929	0.579181351187	0.530343689044	0.603449323669	0.547896182771	0.542775804282	0.591104167501	0.611921500035	0.586820034902	0.680162594758	0.568192124576	0.424459997383	0.480947124248	0.582863755931	0.577907264038	0.611597314215	0.670538772131	0.598135428571	0.547434416748	0.576686503699	0.583663167492	0.535527663245	0.63731816747	0.540522783219	0.590302867218	0.639833814788	0.551319193689	0.611421070443	0.629584685805	0.623563779183	0.630824174157	0.604595681287	0.602229222026	0.683395731745	0.741636811309	0.684131703203	0.594842019602	0.669171264031	0.616157372185	0.662797218159	0.598143100829	0.737817132929	0.572728260765	0.62256953468	0.504099847266	0.617716683458	0.635086354014	0.735622255758	0.568702338572	0.502303782056	0.650896740538	0.651819291457	0.646173529179	0.669121833568	0.592471529922	0.59202925693	0.631758576065	0.636277040315	0.703290188249	0.650256571726	0.627738747845	0.614694544241	0.651473600065	0.607313353817	0.595176629949	0.657126561334	0.595251888558	0.52880975065	0.591499807316	0.594237025457	0.694450644411	0.634869343718	0.607126794352	0.642129332029	0.619318651905	0.597241183991	0.650573889753	0.621591312804	0.636982909064	0.655842711666	0.596391689194	0.655878177225	0.589470665796	0.602741178224	0.585608595821	0.591099331602	0.587986514261
CS.263	0.553972488162	0.563023753185	0.553417007131	0	0.53255690364	0.555457302569	0.526467361417	0.602448445345	0.555535591595	0.519761559608	0.556637473975	0.554695400827	0.605902293406	0.549945401643	0.536903926483	0.590022452957	0.726344710695	0.535904474989	0.622685828735	0.543296708445	0.728381128798	0.525849145653	0.574077852394	0.60629456917	0.645673543688	0.680901855251	0.618104620163	0.622441745587	0.573416987519	0.634047646696	0.656811269964	0.530279031551	0.560078467947	0.571918975596	0.634916072077	0.587872987424	0.624679585992	0.661609748401	0.638526783832	0.67091315383	0.723217358117	0.613523596452	0.534186019973	0.539378136231	0.745907321067	0.689916247757	0.624815535798	0.647899627516	0.618624917544	0.583308627615	0.641916174827	0.639510163049	0.621559531315	0.693797283305	0.605329786387	0.581643135433	0.665053400095	0.579211069991	0.61236598997	0.610484105809	0.568310838882	0.539516422415	0.530386517902	0.665347374457	0.570497359404	0.514179804979	0.513397208398	0.618661179388	0.65619077351	0.561413106821	0.570662136183	0.548793294461	0.551448075958	0.534358087081	0.60629122215	0.519736547433	0.541791024495	0.51874523211	0.530063333643	0.551203478466	0.546694776053	0.544328725678	0.511618424983	0.483382022087	0.533851924936	0.565006588272	0.504178113443	0.558526240999	0.574557729268	0.555899993643	0.679117835791	0.605374016173	0.523452687868	0.539140293051	0.614816036449	0.579701607617	0.580082364515	0.663433965198	0.557585171366	0.524890418462	0.512998696615	0.546898501082	0.555035243964	0.590861500009	0.570784311415	0.551400846244	0.669689112449	0.550050123658	0.61230500823	0.650608793515	0.596342062687	0.620434727864	0.594499751396	0.57069716609	0.736962778045	0.73077173285	0.733505878275	0.591073114	0.68256382606	0.581541396719	0.634841241141	0.528943116897	0.763965225573	0.509056100179	0.621019938635	0.612310472077	0.625392460006	0.638293002259	0.721097837624	0.510320842134	0.604096785498	0.655591471478	0.642862568735	0.637574725734	0.651141348564	0.574525203523	0.581479751561	0.619951598571	0.606517570476	0.687923214281	0.622249048993	0.62116460753	0.546909005143	0.631484985706	0.574286272534	0.5458606773	0.618058929726	0.564983425303	0.553996460002	0.525840124885	0.539782253126	0.701948063203	0.593546191651	0.569955631176	0.588483398427	0.584623370277	0.545091503768	0.64158397352	0.578833903253	0.553210728264	0.591180228974	0.545947886692	0.61782140189	0.515342286232	0.550898959135	0.572762397201	0.534347890262	0.539317771843
CS.001	0.491503841037	0.557308534626	0.532746350251	0.53255690364	0	0.465074209942	0.519761148449	0.623623194281	0.559237945816	0.590272097613	0.518740537919	0.565585648395	0.649567210126	0.519626751482	0.602359403762	0.632037770884	0.784665109198	0.588435570711	0.671408484998	0.590860133225	0.762299403502	0.544731859817	0.59315493637	0.621475927753	0.68958293986	0.71830078916	0.634781082251	0.668172092855	0.544829511393	0.693767231896	0.706983464557	0.587164375064	0.603789707674	0.578050804428	0.698115576217	0.60570911331	0.674030764903	0.65908129977	0.648006178704	0.720868313458	0.751380382352	0.666145578132	0.588698324667	0.57414757783	0.781933689226	0.737607201679	0.673709415173	0.689363851445	0.665007533604	0.623081080338	0.673811957398	0.714100426761	0.657908238177	0.722290235907	0.659374875642	0.614929477718	0.724581191937	0.563412322756	0.618612741016	0.65317907594	0.59527985664	0.591387840991	0.595914937406	0.713244237117	0.624623363073	0.608217687773	0.51849851004	0.694998502654	0.690624951735	0.563521657109	0.655756137216	0.48163167787	0.609354342011	0.585480766726	0.684154710412	0.55528694481	0.562050462492	0.516239881799	0.60137613344	0.539756612218	0.508540370175	0.552967668655	0.52517642114	0.503539389608	0.529677230233	0.476241768319	0.554636950667	0.500307652679	0.598792216493	0.594948212661	0.744975457408	0.631644661562	0.500663375622	0.511853520974	0.633441404658	0.590820253969	0.604748749103	0.708901731401	0.530406374724	0.524988322665	0.532325036934	0.579029659441	0.546823038876	0.625865526517	0.541435139775	0.55448851716	0.699114678686	0.580762111328	0.645745114358	0.682146874445	0.659803425384	0.672938576484	0.636260981797	0.634329651574	0.766615257341	0.789417885675	0.766624597848	0.592203676473	0.737094375827	0.659354097077	0.716023683297	0.598445293983	0.796606999685	0.512947997101	0.666783206586	0.622501419917	0.656358238529	0.664529306699	0.783076124428	0.527316994945	0.631944433135	0.701624469625	0.711928567775	0.680549309794	0.702464619582	0.585500288331	0.625906094122	0.645624008961	0.645448800794	0.739141813304	0.666546232366	0.670982744894	0.61555273439	0.688906979566	0.620593353502	0.577531245963	0.691342967162	0.608618462787	0.54570337512	0.593839307725	0.521624234362	0.753683072977	0.66109902598	0.642078099773	0.666240023652	0.641163077382	0.541796077957	0.68770499249	0.625574870913	0.602890441718	0.655033665118	0.55676545111	0.673635543699	0.527751086407	0.540938154935	0.618130160211	0.508698060087	0.582849508655
CS.108	0.542712455264	0.606728181419	0.54189686969	0.555457302569	0.465074209942	0	0.541237118648	0.666256045771	0.571699867384	0.614141987986	0.541208686536	0.611684113198	0.67180162531	0.555138778125	0.64359209387	0.660681748438	0.807270117436	0.638352542887	0.676408297827	0.624784724268	0.762057888521	0.578134446965	0.589072775317	0.653922179676	0.712421779138	0.706351735433	0.651725351237	0.675882400843	0.605540282641	0.735781256877	0.69643164077	0.621742091082	0.636381270632	0.601060523443	0.7034105504	0.61955417632	0.700308803771	0.615258462161	0.657123710078	0.754435078122	0.74413600824	0.688588316297	0.650741300102	0.635784201329	0.780521028466	0.718154022571	0.685027327692	0.721245348025	0.690989720148	0.647676103888	0.698627277077	0.713517870944	0.687604268776	0.718455294008	0.664662186136	0.646633553129	0.715280205133	0.590171914128	0.652583023931	0.661103653651	0.581061701963	0.644232048803	0.63785689231	0.747088602104	0.666092221257	0.650432791946	0.598577048646	0.745403394436	0.724425914109	0.609492452441	0.6941942768	0.556968652646	0.659167109283	0.649069572882	0.662335099064	0.608922012598	0.634966560514	0.596164939936	0.641619313975	0.600983024003	0.603767887643	0.594752535039	0.600133988538	0.569051978146	0.620124607003	0.537091790014	0.55293400217	0.559506301293	0.649324740481	0.645051942006	0.744868203239	0.656434132582	0.539053443715	0.557750966523	0.656863651879	0.612874635896	0.629769912551	0.707689012166	0.56261165017	0.58212073651	0.597846485898	0.646801862211	0.59855774507	0.648391242419	0.541489440763	0.614073957395	0.706839967616	0.616056991013	0.641205536784	0.662539264143	0.673317224224	0.68214514024	0.66116474601	0.628258313535	0.746561603118	0.794460974319	0.763638086968	0.616620305977	0.753827902935	0.692764869719	0.727123513557	0.621056109912	0.791148019637	0.557349938676	0.68316904869	0.623309530314	0.696518266702	0.689535647975	0.794081890016	0.593871496403	0.633456291713	0.700599722406	0.710815808917	0.700565052191	0.735841279714	0.634953383515	0.643846218538	0.670546137065	0.684903895609	0.732181433534	0.693527965942	0.685806889258	0.655851877472	0.713799002089	0.66646115203	0.621592454437	0.734897893353	0.644496561173	0.532379150975	0.632346042665	0.597133875974	0.747437092106	0.717202328437	0.666140650246	0.704235520283	0.682027830075	0.599751102397	0.721349586171	0.681137539211	0.679283028435	0.686151559378	0.634117877209	0.719891352164	0.610255465434	0.608237505542	0.641204845789	0.601302677232	0.616854368196
CS.086	0.508361588856	0.578694402629	0.517970297291	0.526467361417	0.519761148449	0.541237118648	0	0.659641349624	0.53888354502	0.562701143108	0.526524726848	0.565554732811	0.572912577239	0.5037760738	0.568598457111	0.637015004864	0.772709523771	0.606493015986	0.665640746658	0.550302936209	0.746059356208	0.514369910548	0.56094655799	0.653989470705	0.690046610384	0.703960563452	0.671679674879	0.636109111129	0.591911736805	0.709288182167	0.681239134827	0.583906224696	0.612451370461	0.594976128901	0.69236314118	0.604184764086	0.666894454359	0.664294053687	0.638026144543	0.735397539445	0.745879994627	0.668536737092	0.569358819858	0.576354573881	0.76369204768	0.734178778299	0.674023396434	0.690338994949	0.692337098908	0.656357623891	0.702784163104	0.709435207391	0.670567084692	0.730577168744	0.6655109071	0.667501983125	0.730554647815	0.621399171679	0.660836880239	0.665578584082	0.572002813918	0.581209319438	0.57981080591	0.730996730791	0.636052544	0.5763497058	0.528589366518	0.671427407802	0.687340966907	0.612881928416	0.649614696595	0.549770301471	0.585665612927	0.576352619798	0.612461612598	0.551672535733	0.54612410497	0.551214768157	0.581295124714	0.520531711076	0.52102388441	0.52694072091	0.526576235332	0.484721348254	0.515842436985	0.53928073837	0.51661468649	0.530575050158	0.568854747285	0.547079384956	0.711377032904	0.617203091783	0.489791946056	0.483290250924	0.567876851718	0.572556593248	0.564733421101	0.646213648655	0.544992234328	0.539134219059	0.519898802274	0.572085873259	0.529431370815	0.573220780729	0.520446429077	0.546986476653	0.686278605304	0.578658340174	0.642401556078	0.662379951925	0.599989983809	0.677143865029	0.657283617294	0.566650562815	0.725086208267	0.769407875436	0.734467004582	0.60331611947	0.697527304994	0.649892826226	0.676947330242	0.560804661621	0.775913785442	0.587018608368	0.651892330973	0.60062166618	0.677399204642	0.682462913877	0.764665159578	0.575042418937	0.605052331695	0.660729721678	0.666360710184	0.684538497174	0.705854240708	0.638272801601	0.642829565642	0.678920161742	0.663156341318	0.726306519486	0.691304814317	0.659364944149	0.628057286863	0.703989776217	0.602504400328	0.58711156902	0.658558078573	0.595619608403	0.546538874948	0.565368842618	0.55020283177	0.746232928835	0.629187248806	0.610269273693	0.630447143777	0.611824007189	0.521606673915	0.685837643336	0.584644193861	0.550317297442	0.601263513517	0.58087018534	0.622822193251	0.532388376154	0.529573825749	0.567767203265	0.523729294557	0.562682323666
CS.260	0.651306104376	0.570362153166	0.587422561474	0.602448445345	0.623623194281	0.666256045771	0.659641349624	0	0.635692807271	0.626679851936	0.627975458236	0.632378520822	0.611424445388	0.659603041616	0.621467461279	0.573974360651	0.611964864755	0.537946022001	0.56640799129	0.589342618775	0.621281048629	0.616199901071	0.630204438952	0.53288735932	0.544923280921	0.604471359511	0.570519360253	0.624648294338	0.541331243446	0.537415081117	0.632727743391	0.574418924756	0.580398814682	0.568868383081	0.566759811386	0.548223909469	0.510997819574	0.642787042628	0.568762011586	0.548901749385	0.619158937072	0.563997530404	0.611274157219	0.59841714433	0.660942984601	0.631398362065	0.605064471155	0.587369997801	0.532444453035	0.598202799552	0.587879664153	0.591001557847	0.535123902101	0.60856775813	0.526916011073	0.548239945256	0.647996377368	0.578573223997	0.542942465755	0.628698243067	0.633304892961	0.619279100695	0.616544785124	0.56366604624	0.544911983371	0.595679375413	0.606010151511	0.594138981954	0.575453572822	0.558945618197	0.5251944749	0.638028440444	0.594670049109	0.582597809829	0.671952779556	0.61257150291	0.638092401515	0.584594999338	0.582626152073	0.659737334079	0.633217473664	0.658838145418	0.599665726546	0.625002900599	0.613827922977	0.63923130359	0.639167052927	0.660803163935	0.618747984705	0.597567437031	0.620327298176	0.593148022039	0.605680199194	0.613148668724	0.632613634289	0.62189834586	0.675427195555	0.673730294405	0.653920030758	0.597248380922	0.606537215707	0.60278054373	0.610524266829	0.665685254847	0.624252523422	0.607522392489	0.599149247698	0.564640541086	0.599867695835	0.597622066409	0.612180460365	0.513147267995	0.524733278005	0.645112638473	0.65945858296	0.633329086555	0.643648998973	0.57856744201	0.621273162915	0.542404000448	0.609731391189	0.616510182546	0.68947204099	0.543640204776	0.547673751741	0.577516835934	0.514035351848	0.552501895743	0.591354057865	0.565526642113	0.571581240713	0.593827058816	0.650434920838	0.571655220142	0.531514026873	0.557549657894	0.540837468473	0.560016790122	0.544788568389	0.616630543067	0.547630770139	0.62237146505	0.559218159724	0.574274137475	0.620662342198	0.601777835082	0.567658933388	0.603386472479	0.629487665467	0.604543651466	0.633570357405	0.613396036904	0.572974953956	0.596806180569	0.578866318016	0.617085916196	0.663574142647	0.564377548882	0.606427072807	0.63319713624	0.651835461773	0.590299476357	0.639487946026	0.613325477607	0.654895262054	0.63192404025	0.639427594239	0.592947726278
CS.035	0.582238105443	0.561159465108	0.53829375016	0.555535591595	0.559237945816	0.571699867384	0.53888354502	0.635692807271	0	0.578563467276	0.546553755128	0.544547771559	0.562484399887	0.536972014385	0.530561292918	0.600904745129	0.741929403075	0.560570911935	0.611693290647	0.5660366989	0.721897786187	0.494997005219	0.558802531106	0.624624571971	0.661887811221	0.674952531155	0.640958282292	0.586304639209	0.597157450599	0.66201705365	0.658141725416	0.556682074529	0.596294021449	0.548314762985	0.670800575675	0.548350623564	0.660620534074	0.653546985017	0.590388477158	0.713736626953	0.702336543017	0.632917191837	0.583941770649	0.579745412813	0.747877366478	0.715514519971	0.61811548853	0.657247977811	0.662580882956	0.630690437957	0.668420545878	0.683010719228	0.647966089055	0.70783091667	0.651865461186	0.640403213388	0.691879223145	0.608271919801	0.630530480126	0.648435722599	0.574784945929	0.566232941706	0.575971365562	0.702143996041	0.59750234496	0.561784972365	0.570140018156	0.609636865523	0.6354423078	0.616429452965	0.638779370942	0.582152348632	0.582125958732	0.564196753032	0.595237809165	0.55057273778	0.565724719856	0.554016531421	0.578657326179	0.561822170072	0.572824826654	0.60982551084	0.561318510857	0.529239696313	0.583987769462	0.616179412273	0.586957822605	0.596609767215	0.563502713476	0.582059142153	0.670775971652	0.623617071732	0.519633458712	0.534680830275	0.575327219738	0.584297455783	0.550686334848	0.636671376179	0.547564754737	0.541929453289	0.559874182059	0.601485809436	0.528613002027	0.594638949192	0.526375929292	0.536094582609	0.658633818403	0.5677993625	0.615780659285	0.638176071869	0.567769782228	0.636858624251	0.61113925433	0.529934768135	0.723649775409	0.755056677111	0.722235085826	0.597741969652	0.658605780882	0.594711465718	0.64475803762	0.557251779465	0.759162325558	0.595323215392	0.640681996517	0.59691795459	0.646509622995	0.655064552921	0.746895122853	0.552893623168	0.571048007016	0.631302746988	0.608302669126	0.662144283877	0.673325620109	0.621918376958	0.63106618925	0.646956021376	0.654030340508	0.704437279678	0.636689088356	0.628711760532	0.595619890681	0.647378385283	0.556418901102	0.576229916307	0.618030642288	0.563545502311	0.567733467329	0.552642297014	0.558063400203	0.71810566686	0.59190265617	0.571249995377	0.601442370274	0.587422791822	0.564453403721	0.645685693245	0.566171793169	0.575722877378	0.580254792617	0.548485539773	0.605154529572	0.564063948001	0.561156686757	0.571197358074	0.566461362685	0.540197982585
CS.243	0.58186165057	0.556152650231	0.583856205576	0.519761559608	0.590272097613	0.614141987986	0.562701143108	0.626679851936	0.578563467276	0	0.610810009516	0.560972754627	0.558345742448	0.549887113128	0.543264556265	0.612371752416	0.716307392988	0.555697055555	0.634651087557	0.529201286673	0.706765067235	0.546357175593	0.599719125418	0.620199475615	0.654487648312	0.67019557265	0.669377125482	0.608881376684	0.595513022285	0.643085726963	0.639396512931	0.559629640345	0.571135968786	0.589538635647	0.625447844485	0.623401262137	0.638273508263	0.657047131932	0.646952916119	0.684600143918	0.694500864304	0.615618631258	0.542912905348	0.593753715784	0.734580363869	0.703548339388	0.637697094099	0.675194154338	0.623884766507	0.637269434615	0.675811866732	0.637525537954	0.636380112182	0.705691835265	0.656541669856	0.633418741287	0.679266983973	0.642391016926	0.626283670897	0.643254573517	0.597573854571	0.552129718636	0.558487219203	0.661910076267	0.59903217637	0.565247793029	0.556403423225	0.607523965045	0.662485400677	0.598680099447	0.58796019276	0.582734778824	0.597076001315	0.520535754467	0.618263879747	0.542647039777	0.538715604174	0.558573786758	0.518725006253	0.563794652363	0.572881587277	0.580224459101	0.55636642299	0.532975136399	0.54685200794	0.616491979745	0.563193651488	0.583387994007	0.567330190799	0.546943659499	0.663489435318	0.609932599537	0.575718753976	0.601957541238	0.595735468957	0.577905523485	0.554087060257	0.633639960517	0.550783467335	0.540314872793	0.537730477847	0.562137819331	0.522095617021	0.545368199487	0.568128744849	0.550904878416	0.686026310841	0.610905043131	0.633450786381	0.66973490301	0.58667840496	0.636205311881	0.612846793325	0.57129172705	0.736078254108	0.726778022133	0.725846841189	0.613250428655	0.669074990381	0.605669710367	0.624836244042	0.555620647937	0.757450992911	0.58054051612	0.620693771805	0.623934423368	0.631064070685	0.639125447227	0.704945326044	0.560020345159	0.590938377984	0.63361613293	0.635445566936	0.627117443931	0.645131060686	0.624620188548	0.610180199035	0.663551260461	0.633758092661	0.701077909428	0.643606974715	0.630045465375	0.597832289089	0.648091608909	0.563200873711	0.558398356328	0.613645284648	0.567615889566	0.567759968746	0.555467503602	0.565216914738	0.707118682682	0.609021213907	0.602442324735	0.604731937989	0.571604566549	0.542969460972	0.651262869606	0.55817496662	0.549393925748	0.562179754789	0.54075512242	0.576540270579	0.539485664655	0.547799584473	0.556171179338	0.530988553847	0.550337750535
