CS.035	CS.219	CS.143	CS.092	CS.037	CS.105	CS.086	CS.098	L.004.M1	L.036.M1	CS.295	CS.296	CS.021	CS.002	CS.101	CS.067	CS.155	CS.341	CS.050	CS.063	CS.060	CS.230	CS.269	CS.072	CS.171	CS.290	CS.366	CS.388	CS.118	CS.073	CS.128	CS.136	CS.224	CS.125	CS.374	CS.205	CS.041	CS.376	CS.380	CS.302	CS.232	CS.203	CS.378	CS.213	CS.126	CS.166	CS.254	CS.181	CS.148	CS.177	CS.268	CS.178	CS.256	CS.372	CS.385	CS.389	CS.129	CS.395	CS.214	CS.369	T.CS.079	T.CS.076	T.CS.062	T.CS.003	T.CS.072	T.CS.058	T.CS.001	T.CS.040	T.CS.080	T.CS.020	T.CS.012	T.CS.014	T.CS.046	T.CS.038	T.CS.089	T.CS.097	T.CS.128	T.CS.121	T.CS.119	T.CS.161	T.CS.134	T.CS.147	T.CS.115	T.CS.092	T.CS.114	T.CS.100	T.CS.118	T.CS.139	T.CS.106	T.CS.153	CS.241	CS.110	CS.088	CS.237	CS.242	CS.085	CS.015	CS.087	CS.103	L.034.M1	CS.082	CS.238	L.024.M1	CS.246	CS.356	CS.212	CS.363	CS.044	CS.346	CS.191	CS.233	CS.207	CS.187	CS.234	CS.164	CS.188	CS.330	CS.165	CS.325	CS.364	CS.322	CS.339	CS.152	CS.112	CS.223	CS.163	CS.158	CS.321	CS.320	CS.080	CS.318	CS.319	CS.331	CS.227	CS.194	CS.390	CS.326	CS.393	CS.262	CS.370	CS.145	CS.270	CS.255	CS.253	T.CS.026	T.CS.045	T.CS.064	TFS.021	T.CS.036	T.CS.008	T.CS.055	T.CS.043	T.CS.031	TFS.022	T.CS.061	TFS.020	TFS.027	T.CS.066	TFS.025	T.CS.095	T.CS.166	T.CS.142	T.CS.152	T.CS.158	T.CS.157	T.CS.151	T.CS.109	T.CS.141
CS.035	0	0.575553504773	0.579242241021	0.535417282617	0.655791445697	0.524032696918	0.53888354502	0.518350132328	0.56141910831	0.57257495811	0.638614782107	0.561763083731	0.616290049813	0.550024724184	0.534945069783	0.721897786187	0.597157450599	0.66201705365	0.619533191698	0.635343092729	0.568189440344	0.674952531155	0.732577645216	0.521156398152	0.558802531106	0.661887811221	0.717213384438	0.675517675062	0.559559558066	0.607395920849	0.596294021449	0.548350623564	0.747877366478	0.660620534074	0.632917191837	0.713736626953	0.590388477158	0.648086914977	0.579745412813	0.702336543017	0.502843517644	0.583941770649	0.658141725416	0.670800575675	0.556682074529	0.668420545878	0.647966089055	0.630530480126	0.657247977811	0.683010719228	0.648435722599	0.60101961533	0.669685900364	0.658861086245	0.640403213388	0.651865461186	0.586452975456	0.630690437957	0.61811548853	0.70783091667	0.682355175783	0.616429452965	0.531241219416	0.559945289092	0.557486775984	0.575971365562	0.702143996041	0.539871432555	0.609636865523	0.574241305543	0.666413229027	0.559124986841	0.638779370942	0.582152348632	0.605596343541	0.561822170072	0.619827447247	0.609961302973	0.616179412273	0.56820844394	0.563502713476	0.568788991186	0.578519041869	0.623787902792	0.581955422517	0.60982551084	0.605991202574	0.58015393348	0.579632667856	0.55364705586	0.547564754737	0.623617071732	0.636671376179	0.585570085335	0.541929453289	0.519633458712	0.550686334848	0.575327219738	0.526375929292	0.601485809436	0.534680830275	0.584297455783	0.594638949192	0.559874182059	0.670775971652	0.655517668842	0.636858624251	0.526327301585	0.723649775409	0.536094582609	0.526762898768	0.66707810968	0.61113925433	0.638176071869	0.670779021461	0.6411754443	0.649046830109	0.658605780882	0.74082872352	0.706488296086	0.673325620109	0.631302746988	0.552893623168	0.571048007016	0.640681996517	0.580431192962	0.59691795459	0.557251779465	0.606914122658	0.562231375134	0.646509622995	0.655064552921	0.595323215392	0.759162325558	0.746895122853	0.646956021376	0.63106618925	0.628711760532	0.647378385283	0.654030340508	0.595619890681	0.636689088356	0.621918376958	0.704437279678	0.71810566686	0.571249995377	0.552642297014	0.587422791822	0.567733467329	0.618030642288	0.576229916307	0.556418901102	0.563545502311	0.558063400203	0.601442370274	0.542076566219	0.566171793169	0.564453403721	0.59190265617	0.561156686757	0.548485539773	0.605154529572	0.540197982585	0.564063948001	0.571197358074	0.575722877378	0.566461362685	0.580254792617
CS.219	0.575553504773	0	0.551145449669	0.499371645661	0.632273474516	0.533147138354	0.554875855505	0.566098170814	0.625687496064	0.627147575365	0.613063153718	0.591614624988	0.572355172589	0.558436034835	0.585177496416	0.677710742291	0.537436770506	0.641652626715	0.623971707884	0.590751373329	0.586350408801	0.65838889185	0.719029800862	0.541700059543	0.562802766245	0.641006508093	0.692709225902	0.707926421592	0.562420324746	0.58788328088	0.580040693217	0.560109589017	0.729581726163	0.629300096612	0.621002816262	0.671184056966	0.585756591755	0.61118113097	0.588531080315	0.669255979053	0.504795962751	0.627201229133	0.642110034375	0.637210329833	0.576580410319	0.633361408376	0.588164456462	0.605751111126	0.678975536651	0.657075952023	0.62089546094	0.598374728101	0.636707580765	0.585312612572	0.574548842647	0.583278020024	0.603375731887	0.580047655381	0.637324829799	0.666572080084	0.648939290177	0.546261817268	0.585490185085	0.621272942569	0.563151435642	0.613600519959	0.67060279608	0.552727707261	0.66528337324	0.596888169839	0.695431066819	0.564456678657	0.630248604458	0.545306123558	0.58712890772	0.593462266347	0.532812965387	0.582056076418	0.544944644782	0.563111366766	0.620714815804	0.614632240906	0.582686497393	0.595171227264	0.583731001428	0.582822401574	0.583275936845	0.617764976604	0.624444084575	0.55769777247	0.574479069201	0.58973508173	0.699967302814	0.578137668138	0.557231397878	0.506189469937	0.635943629438	0.624642704299	0.558830578107	0.617495768773	0.513315482969	0.58178344036	0.655532240541	0.55669897662	0.679573870861	0.680731290936	0.612432544106	0.590294112189	0.666774236144	0.591565589511	0.550751897113	0.63342829323	0.592927627634	0.636364662124	0.659258368529	0.67871682349	0.620881477055	0.671066856785	0.749486685812	0.668005242164	0.658471314928	0.656570412381	0.562060484546	0.557799645702	0.611961911708	0.567802421553	0.567411934843	0.600853030948	0.601447220875	0.565847609479	0.616493049477	0.622861056716	0.525204537357	0.731983355928	0.733679660073	0.609548738056	0.58739124702	0.629851934776	0.639298637839	0.613598554987	0.595709683547	0.619741865047	0.575352590903	0.676155512594	0.677608949745	0.630449172428	0.61153139791	0.6572709713	0.547731108922	0.667127010326	0.618164385362	0.634055157073	0.621363692134	0.591350291833	0.645153645836	0.587952878262	0.642767336988	0.623182806034	0.640178387137	0.62431122188	0.593603403003	0.694860168978	0.581891073931	0.576041876682	0.619989546161	0.655555675514	0.606239335417	0.680276534096
CS.143	0.579242241021	0.551145449669	0	0.572305934195	0.603085298097	0.568688936163	0.563843937134	0.579825351221	0.595695944299	0.56277391652	0.612501681873	0.576052486042	0.569093861881	0.56199051453	0.569476799212	0.702316601804	0.565967354326	0.645964996562	0.658638974134	0.624155650841	0.603973351596	0.657566132675	0.708791762159	0.564172245	0.609404627289	0.623819529544	0.683304722444	0.712775827604	0.578873659116	0.604152516484	0.578152075919	0.585470116585	0.719400910477	0.624732721354	0.626716135258	0.670342992597	0.619968087739	0.609236318858	0.584991478615	0.685035377224	0.554899981273	0.600707330073	0.676179837869	0.643759330851	0.572440922412	0.676382016283	0.621679407797	0.63257282964	0.675940942575	0.638739508423	0.636832258347	0.59934528554	0.631573443297	0.610347661998	0.621861062415	0.607315976456	0.604223414176	0.635709812932	0.628664607557	0.684439933499	0.657313758564	0.56427960364	0.564845992762	0.588538440871	0.578950872793	0.595208360334	0.657902452173	0.578220824932	0.641990856461	0.609692867416	0.693025447573	0.574649369345	0.611931882534	0.582059556099	0.591765064321	0.600596770785	0.561292153833	0.575135803683	0.588622371902	0.587159326245	0.611605643602	0.613788448129	0.587497547893	0.628977270118	0.616997384797	0.58967531031	0.557501529876	0.59111031994	0.609737279373	0.593551129292	0.568205575416	0.576258521545	0.642079040353	0.592484913242	0.558918045956	0.469716208634	0.613372020575	0.615632607843	0.55224460121	0.552814781555	0.586364204813	0.537264167648	0.611255107138	0.573848275574	0.656414022342	0.676538446414	0.630312389293	0.564971520209	0.681443395152	0.609132006185	0.584039049829	0.657277086301	0.612095399474	0.630598306165	0.660193755251	0.668315977763	0.610746099862	0.667619710306	0.734302798865	0.676152968654	0.653753700682	0.641798137089	0.566251623708	0.602192044735	0.612808533153	0.610142036691	0.583650997317	0.59577743412	0.595736931316	0.578221973394	0.61525350748	0.61096026738	0.566961074925	0.733400099999	0.715803066207	0.632712446651	0.623392361507	0.654504711957	0.624936023256	0.608451182222	0.607470893604	0.622025465529	0.595721656854	0.708885957662	0.689277455945	0.613656019243	0.565169085275	0.616572747009	0.581260407171	0.624466484115	0.589885428396	0.62282093762	0.595766606447	0.583596118282	0.594320053734	0.583994077303	0.591252171354	0.592396219901	0.606461903207	0.608526341551	0.568942947461	0.635306717067	0.59071812923	0.577155158703	0.606844014458	0.605284267555	0.5967031761	0.62502585565
CS.092	0.535417282617	0.499371645661	0.572305934195	0	0.661594813841	0.538328044846	0.466458958857	0.517620673309	0.575046370755	0.599448881612	0.642888744562	0.553060964771	0.640860483614	0.552608015182	0.515860188816	0.735775171329	0.584236971779	0.704399721408	0.618198093839	0.635995076634	0.591079902587	0.711453806598	0.746235099758	0.510831025767	0.56644165498	0.696847669514	0.743659506162	0.747945386731	0.573011759792	0.61428925207	0.623567617984	0.591113103636	0.770399667719	0.679071408911	0.659196060166	0.736464834272	0.64321252036	0.685802576893	0.578036983713	0.741403456914	0.49515727799	0.606322550755	0.676799218342	0.715331856986	0.589857323688	0.677152690038	0.668657771033	0.623345242799	0.685192383867	0.695415654199	0.650789053279	0.620158860801	0.685248934455	0.649225190029	0.639650532032	0.654730354141	0.587057602609	0.627876388492	0.670444852633	0.707620483077	0.714282923245	0.584118538487	0.564045190527	0.569617206366	0.547588258962	0.598035550473	0.719316970036	0.531479062685	0.691289640515	0.533425738196	0.722129478607	0.586035883882	0.640592359344	0.520842623527	0.624716207973	0.53821584134	0.516823986635	0.553673488932	0.493365861124	0.509737254936	0.599195360787	0.537771503606	0.497169342624	0.533603892009	0.525568495174	0.530357503929	0.590652759768	0.520666067991	0.539167478198	0.484075124899	0.558792700511	0.609555129019	0.688460773909	0.592659250223	0.52653904146	0.463482779866	0.603814736337	0.600879771105	0.523633132035	0.593984568236	0.381231409451	0.551960770128	0.622919932144	0.541748672278	0.720201543958	0.72596893691	0.67326568105	0.58460746904	0.736445880973	0.563436763157	0.501828490837	0.670734957167	0.638772323255	0.662560494748	0.669766315616	0.702957880501	0.660774690639	0.725806445239	0.766892348958	0.722267840425	0.709915295112	0.694601478764	0.54581125109	0.602706429179	0.665061923544	0.613202367315	0.587426103903	0.593493751408	0.640686665609	0.584937837743	0.683343747902	0.678793406496	0.566747896611	0.789587030533	0.779107459978	0.663588797632	0.62054539779	0.668899684752	0.688170547681	0.672338435479	0.617255196138	0.675354019264	0.622330555921	0.721671558201	0.731156729295	0.629217257793	0.575846798215	0.645291837008	0.526778367554	0.703196532457	0.597739496367	0.620642862626	0.618978984255	0.538721572488	0.651571936485	0.533607678267	0.617278145984	0.556482400771	0.659787586309	0.549419509684	0.590435027623	0.649941842511	0.587925061541	0.542670786413	0.592840224041	0.598338873548	0.530421671606	0.646101910726
CS.037	0.655791445697	0.632273474516	0.603085298097	0.661594813841	0	0.65494759432	0.670526594165	0.663982724984	0.711546496023	0.607796141425	0.660207828758	0.684406508861	0.584125142059	0.6116018043	0.697495738143	0.668959346788	0.622045581722	0.64351608673	0.638303051693	0.632092822677	0.641240459337	0.632153670889	0.67465016683	0.686397869228	0.646299714605	0.591129035336	0.642268280096	0.733395620463	0.61461089425	0.605451573623	0.638965258772	0.616369035924	0.71284078844	0.643943756719	0.644844505024	0.670679276752	0.619985975007	0.60454176879	0.661246333348	0.686083084576	0.648191639415	0.65303853785	0.669173180076	0.595857018938	0.653132313713	0.634641851176	0.637032775928	0.645512648651	0.636254447384	0.65424558697	0.665365031239	0.665498074191	0.655626671446	0.62272724815	0.645836923691	0.63593515032	0.644195330111	0.631771689446	0.690158274116	0.674115135316	0.604537550347	0.636813191608	0.665589017658	0.713044517712	0.679784077019	0.665996447966	0.623682678802	0.668142129818	0.642095354951	0.731421474678	0.698576712578	0.670434963244	0.613269874052	0.67884389172	0.631934652773	0.694957984334	0.667409318461	0.67827752151	0.696723027186	0.667753245587	0.684881921124	0.71373853372	0.724257336982	0.682086937976	0.673869072079	0.667202500684	0.607911572189	0.717308406681	0.726785548149	0.69385866534	0.683189794636	0.649659115783	0.671657265805	0.619862781771	0.662201858182	0.633490735288	0.636241872116	0.652347922881	0.658423580927	0.593089304982	0.672215069691	0.648867121969	0.725304213636	0.67067032035	0.697076265471	0.708802517726	0.612748185838	0.602887095861	0.682562549193	0.698029770591	0.673545639961	0.66765620844	0.620542396417	0.652073586862	0.659962728873	0.683913981643	0.622064530587	0.682459050231	0.681526682317	0.637956618865	0.643003916194	0.650463811568	0.670884632487	0.585505176461	0.639475121557	0.626592586088	0.594239702565	0.680606399504	0.644752939865	0.625870687509	0.623036644657	0.601571125	0.632193063683	0.693942283103	0.701943295624	0.635723121035	0.644548781508	0.639090915404	0.593486733619	0.605952250833	0.642172852496	0.651136197964	0.636994868576	0.7169276946	0.668300788979	0.667328289577	0.651001971315	0.659225020404	0.667225092976	0.629281373647	0.675850129334	0.686869837876	0.663788998295	0.696772016363	0.634166431323	0.701919660693	0.647497001997	0.720454437969	0.655004838693	0.719462007047	0.697467452467	0.690537125466	0.678117686786	0.69559357657	0.678767987184	0.686005089774	0.708299661409	0.676240359055
CS.105	0.524032696918	0.533147138354	0.568688936163	0.538328044846	0.65494759432	0	0.528089867227	0.502284634083	0.535340841643	0.535879779552	0.564063458147	0.508261891554	0.568915577908	0.572923128428	0.514693338923	0.724137307621	0.530912040395	0.637177848472	0.659420414358	0.652880767022	0.602370479271	0.678843279439	0.738669579257	0.465647050075	0.570012057508	0.643094179553	0.704395070815	0.670047319769	0.534937377151	0.624530826362	0.570732601164	0.575927281996	0.743887713028	0.636985678069	0.658925628615	0.691451383575	0.577182816994	0.624025718539	0.504287495929	0.697522992174	0.50900916494	0.502218768351	0.685306476767	0.670449632269	0.490116273839	0.659179706552	0.630670605182	0.619187578188	0.676496471105	0.682129503878	0.651441931233	0.586582147524	0.653240683498	0.617045353459	0.613102536457	0.616161706884	0.61371469936	0.626672445265	0.617321092077	0.719397390628	0.655026621147	0.544092827634	0.479814774401	0.501261816039	0.491666869218	0.519275826876	0.686934388634	0.50203898627	0.567141623343	0.552271092881	0.67483947551	0.563483521944	0.593900787605	0.538590576889	0.546169528393	0.508829874076	0.550874800906	0.540942721476	0.574551979619	0.576078267304	0.499568196161	0.534938214041	0.523262218777	0.569995943659	0.580735217015	0.569661724971	0.541422957992	0.538945732325	0.547676858853	0.549288530963	0.514188473219	0.626505074482	0.639049811819	0.636169605997	0.485305202248	0.521244560059	0.602241015052	0.588447723777	0.573535730677	0.576653810095	0.531759726275	0.546996050393	0.58336312233	0.510859757177	0.671659401298	0.64334767394	0.630640009185	0.492232904238	0.718970430339	0.493768008506	0.576570477138	0.675947052139	0.61335638208	0.6547065468	0.70474167645	0.626347738902	0.63079220255	0.645036009709	0.744214256754	0.70445909074	0.673630584812	0.610070344752	0.484009601765	0.624431715348	0.638514994768	0.619953405293	0.625600572575	0.517106244618	0.579903070213	0.492381881941	0.628471720539	0.627692881571	0.577462906023	0.770987335059	0.729525549794	0.638884610596	0.602860337722	0.653473096151	0.65416465774	0.609135489762	0.550924740866	0.630858727556	0.597702067078	0.7291730326	0.693399416437	0.523688568715	0.503337592185	0.556721874214	0.55231373003	0.556448308545	0.551335593914	0.531002669371	0.518366789954	0.489559145706	0.54141000321	0.495197674914	0.523570040727	0.521044908075	0.515341306909	0.549570959278	0.511390589083	0.585881454423	0.499027248907	0.49011994429	0.556822019886	0.533193281311	0.525296035115	0.591905270276
CS.086	0.53888354502	0.554875855505	0.563843937134	0.466458958857	0.670526594165	0.528089867227	0	0.518918738975	0.54025393053	0.571549867169	0.634885382438	0.537185009355	0.638858120132	0.559608822611	0.509837069253	0.746059356208	0.591911736805	0.709288182167	0.621348171969	0.64948580495	0.591406625319	0.703960563452	0.733490847521	0.51425471852	0.56094655799	0.690046610384	0.730708041398	0.722799243688	0.534133564501	0.620794443815	0.612451370461	0.604184764086	0.76369204768	0.666894454359	0.668536737092	0.735397539445	0.638026144543	0.679198388644	0.576354573881	0.745879994627	0.526232234492	0.569358819858	0.681239134827	0.69236314118	0.583906224696	0.702784163104	0.670567084692	0.660836880239	0.690338994949	0.709435207391	0.665578584082	0.614101965222	0.692097305275	0.670021003699	0.667501983125	0.6655109071	0.602492048767	0.656357623891	0.674023396434	0.730577168744	0.707397651839	0.612881928416	0.544822316248	0.553704177418	0.55472811621	0.57981080591	0.730996730791	0.537154642688	0.671427407802	0.533946898865	0.712895008135	0.58903128114	0.649614696595	0.549770301471	0.623562156012	0.520531711076	0.557830254658	0.552765359392	0.53928073837	0.530331429501	0.568854747285	0.525250188381	0.51226211301	0.535631190158	0.544937253354	0.52694072091	0.621315576324	0.513633524541	0.531074104318	0.483810209804	0.544992234328	0.617203091783	0.646213648655	0.623706958118	0.539134219059	0.489791946056	0.564733421101	0.567876851718	0.520446429077	0.572085873259	0.483290250924	0.572556593248	0.573220780729	0.519898802274	0.711377032904	0.6939791403	0.677143865029	0.559175330894	0.725086208267	0.546986476653	0.51940719461	0.681902610638	0.657283617294	0.662379951925	0.678794015718	0.686539649654	0.657448286406	0.697527304994	0.766271951252	0.719571552886	0.705854240708	0.660729721678	0.575042418937	0.605052331695	0.651892330973	0.5996781099	0.60062166618	0.560804661621	0.633973373733	0.571305582355	0.677399204642	0.682462913877	0.587018608368	0.775913785442	0.764665159578	0.678920161742	0.642829565642	0.659364944149	0.703989776217	0.663156341318	0.628057286863	0.691304814317	0.638272801601	0.726306519486	0.746232928835	0.610269273693	0.565368842618	0.611824007189	0.546538874948	0.658558078573	0.58711156902	0.602504400328	0.595619608403	0.55020283177	0.630447143777	0.552207002545	0.584644193861	0.521606673915	0.629187248806	0.529573825749	0.58087018534	0.622822193251	0.562682323666	0.532388376154	0.567767203265	0.550317297442	0.523729294557	0.601263513517
CS.098	0.518350132328	0.566098170814	0.579825351221	0.517620673309	0.663982724984	0.502284634083	0.518918738975	0	0.516907887417	0.544331286248	0.651545580672	0.549250444396	0.645163474759	0.59861049476	0.445599563128	0.763881965587	0.550251053505	0.694579709443	0.672337452782	0.723860614152	0.636423592045	0.739196336806	0.78838680003	0.516151634968	0.597213225069	0.690122629769	0.739038899252	0.746820608866	0.59120024403	0.651338893221	0.612406692772	0.632040770438	0.782481103133	0.697754328397	0.684875737711	0.734275780706	0.642084985517	0.68774603669	0.528149337649	0.760588688774	0.535049733571	0.571418340397	0.729605400163	0.713373783195	0.55428340257	0.692169160514	0.672919000575	0.65083577459	0.707824898587	0.701027179807	0.699111730981	0.603463154071	0.680038941345	0.656219396809	0.656857172632	0.665461920099	0.6090026056	0.647579101368	0.690562717239	0.763173594251	0.700490046838	0.590612823622	0.506598283146	0.527543849045	0.529871405662	0.596286099159	0.709465149108	0.51360930813	0.635690719061	0.498805221667	0.717487527562	0.565576416164	0.661258949209	0.502615334889	0.604238901339	0.513686072607	0.554805236797	0.559908742416	0.537230931024	0.561823027871	0.576765409521	0.490255101397	0.474621400368	0.571606047389	0.548075708513	0.570383069067	0.584047656158	0.521486393101	0.502899919077	0.509288763604	0.476239139471	0.655212714049	0.660356511613	0.671944341796	0.518566531259	0.534482434208	0.570692043632	0.644395115834	0.524155403145	0.605206742726	0.550209112066	0.577726921497	0.605835666976	0.562926540251	0.724575936055	0.701792140901	0.684499086771	0.55711872875	0.782197460403	0.513244981343	0.543982491247	0.710305363885	0.652627973861	0.703497222239	0.750436946818	0.700067714259	0.674630702152	0.710154169005	0.772080796377	0.762815809106	0.706928681571	0.689343883326	0.532352734367	0.654325403681	0.67484754918	0.676045422133	0.665600787704	0.57436105276	0.60851567208	0.597440707781	0.687776215423	0.684143961202	0.576751088079	0.804836698449	0.768949100578	0.663431830261	0.65022129682	0.679446276804	0.665655415963	0.65076134323	0.611253501839	0.67101558754	0.610067092413	0.756540727757	0.734120867344	0.599633839588	0.532274506326	0.597391584078	0.548872449824	0.629418902764	0.555733816695	0.582344458927	0.552503176518	0.516285433209	0.638972155219	0.498681432676	0.563592837153	0.533172212163	0.632970250778	0.496486578723	0.582637860574	0.603048300777	0.554513081022	0.532273513359	0.582519315432	0.556268204784	0.521757162059	0.582476181342
L.004.M1	0.56141910831	0.625687496064	0.595695944299	0.575046370755	0.711546496023	0.535340841643	0.54025393053	0.516907887417	0	0.532237438647	0.610509891214	0.445189910753	0.651317423478	0.642297414782	0.501618848984	0.767375133274	0.568922727297	0.675099133525	0.695457642239	0.737811872089	0.64006990887	0.738223255301	0.781325969909	0.489472967672	0.612517777634	0.685398222309	0.745381535406	0.702895663085	0.620758389598	0.673803360367	0.611436691604	0.670903107513	0.758063232117	0.685730206942	0.684482048936	0.703017860617	0.703971019308	0.689321270151	0.51532176234	0.743324787793	0.564201773036	0.546436810454	0.715705065848	0.705640737992	0.525953846496	0.707394256701	0.670481991802	0.639302269996	0.69825748898	0.67118432778	0.708247323802	0.597865006893	0.654984331789	0.680482627723	0.681599440148	0.681431140827	0.611554315237	0.674047192392	0.667291004848	0.766475383477	0.696716181224	0.576160623524	0.505293135994	0.402923230673	0.564359238305	0.562189628179	0.72288681993	0.470794380873	0.613565538045	0.492620692286	0.684633160781	0.568551493129	0.626637450353	0.567735686071	0.555309306571	0.480980325754	0.555993536139	0.55749538917	0.566628598916	0.533893645058	0.489011321577	0.401935962777	0.458524997884	0.563300630373	0.534676925968	0.525499889107	0.560133792298	0.423574425773	0.403580671177	0.477875407691	0.504614376399	0.66190413654	0.654999887684	0.670694508233	0.485008927931	0.55968189376	0.572605646792	0.603847302869	0.562868996433	0.586858858423	0.575924896855	0.551727957165	0.483839599603	0.51455203359	0.707138679414	0.673179647858	0.681611071516	0.55672308722	0.776029652898	0.47131249346	0.604795590911	0.704472464272	0.636531959623	0.692656240156	0.759910083188	0.652695752385	0.662726813998	0.708050698508	0.759474383134	0.75049462781	0.680991928869	0.641811468814	0.524252309917	0.675783971617	0.684209506203	0.685558994738	0.676919127054	0.521395362326	0.602193782598	0.6304359155	0.664092761883	0.670043910714	0.585658746406	0.790098159648	0.746650557972	0.684600168768	0.635877837977	0.70981008903	0.677754792373	0.688223795371	0.573861572629	0.677371877676	0.618199721969	0.754594373136	0.716506267433	0.53967537085	0.493078816807	0.539449371013	0.544809903663	0.577847075612	0.522053474703	0.511423461182	0.521560533902	0.438660159026	0.56850796916	0.432330625229	0.469696149315	0.45548212736	0.543015182772	0.422021438182	0.491123321244	0.489984388653	0.50220657287	0.457385016708	0.517640105418	0.437269446794	0.406635814954	0.500240406029
L.036.M1	0.57257495811	0.627147575365	0.56277391652	0.599448881612	0.607796141425	0.535879779552	0.571549867169	0.544331286248	0.532237438647	0	0.607536270948	0.502437951309	0.615996787576	0.593520600551	0.568411894238	0.739293518231	0.576590160437	0.647960465599	0.658544599457	0.693257236012	0.62476057302	0.691546601421	0.75511860322	0.548639484441	0.597467928265	0.670464398616	0.695678125122	0.688908395848	0.583150837722	0.640339965539	0.572094633948	0.627883314343	0.769770300886	0.654566318707	0.670336764816	0.702895557865	0.626612369036	0.644682723371	0.542272417082	0.72356204298	0.583512629802	0.526742286572	0.693782967234	0.674439475343	0.524758275464	0.6606462127	0.652646005796	0.636153404088	0.671562910401	0.683468579879	0.670865763127	0.560034780815	0.658677161535	0.62828910804	0.654519561402	0.661709771025	0.6079734458	0.624507443707	0.634747537112	0.709493831982	0.653671322864	0.573303536546	0.503391110061	0.535804137921	0.544372889997	0.533578595959	0.664736978168	0.53914252299	0.570936517634	0.569983644442	0.667547171956	0.555299365668	0.573021717315	0.552781450767	0.553508725004	0.486838257697	0.550812589232	0.53213583887	0.58363503391	0.553145561511	0.51337832759	0.525800355849	0.541825663993	0.554427622285	0.556002757173	0.540863948115	0.54085574247	0.517042132404	0.515532746217	0.548938355788	0.564649793596	0.637370273797	0.625110446501	0.650076096633	0.492854289312	0.564179708488	0.554653728581	0.595323308728	0.592623178049	0.527520530964	0.591114398863	0.592475157538	0.592929920271	0.548666032605	0.691764267007	0.65572655477	0.636758159923	0.529931829785	0.771804480691	0.529936852254	0.627781181172	0.689253317995	0.621620297277	0.687111437671	0.709684562773	0.619454494661	0.638654767717	0.676166624483	0.745599964195	0.69831339071	0.670737910024	0.647041186964	0.537278333144	0.620539006941	0.644839229353	0.642947119433	0.644088625647	0.573340817354	0.585991855504	0.628409313024	0.649816892307	0.644148703444	0.585396745433	0.779841184931	0.74044821777	0.655887518241	0.630707237971	0.636096439851	0.633980215393	0.626736941878	0.574082733446	0.638757171951	0.626234527641	0.750035629418	0.70615887665	0.578257582603	0.521282460504	0.581165869308	0.574398770253	0.543943991263	0.525206511778	0.507172769001	0.528902186264	0.511182683537	0.551454114614	0.527645259077	0.507677887176	0.527024370154	0.569814950435	0.504175435656	0.547286955248	0.548375896469	0.540515522907	0.509061666858	0.524567006214	0.489533765232	0.516339244908	0.538707107074
