CS.297	CS.263	CS.093	CS.108	CS.293	CS.003	CS.260	CS.265	L.005.M1	CS.035	CS.028	CS.037	CS.021	CS.019	CS.016	CS.382	CS.072	CS.367	CS.064	CS.388	CS.067	CS.115	CS.301	CS.155	CS.065	CS.365	CS.186	CS.248	CS.334	CS.077	CS.374	CS.232	CS.292	CS.282	CS.041	CS.375	CS.125	CS.376	CS.224	CS.302	CS.213	CS.380	CS.378	CS.205	CS.128	CS.385	CS.372	CS.183	CS.256	CS.349	CS.147	CS.359	CS.214	CS.182	CS.369	CS.129	CS.166	CS.177	CS.254	CS.178	T.CS.076	T.CS.089	T.CS.062	T.CS.082	T.CS.034	T.CS.029	T.CS.016	T.CS.072	TFS.023	TFS.024	T.CS.023	T.CS.041	T.CS.019	T.CS.007	T.CS.071	T.CS.111	T.CS.115	T.CS.117	T.CS.124	T.CS.180	T.CS.122	T.CS.130	T.CS.092	T.CS.131	T.CS.128	T.CS.100	T.CS.147	T.CS.108	T.CS.156	T.CS.153	CS.237	L.024.M1	CS.103	CS.238	CS.082	CS.241	CS.246	CS.006	CS.110	CS.356	L.034.M1	CS.085	CS.088	CS.242	CS.015	CS.234	CS.345.0	CS.188	CS.189	CS.151	CS.330	CS.078	CS.274	CS.363	CS.358	CS.346	CS.311	CS.336	CS.308.0	CS.187	CS.321	CS.163	CS.285	CS.343	CS.080	CS.331	CS.158	CS.223	CS.194	CS.112	CS.339	CS.320	CS.152	CS.361	CS.319	CS.255	CS.390	CS.370	CS.253	CS.145	CS.262	CS.326	CS.393	CS.270	T.CS.064	TFS.027	TFS.025	TFS.021	TFS.022	T.CS.026	T.CS.066	T.CS.031	T.CS.055	T.CS.036	T.CS.043	T.CS.049	T.CS.045	T.CS.061	T.CS.008	T.CS.109	T.CS.141	T.CS.158	T.CS.157	T.CS.142	T.CS.095	T.CS.166	T.CS.151	T.CS.152
CS.297	0	0.544873949808	0.54916723125	0.63993718428	0.434213694793	0.562376412658	0.614849262684	0.57512372767	0.420693078178	0.541501511816	0.555713274124	0.674835363372	0.59436082462	0.48424480956	0.578939384606	0.452536050943	0.49124056693	0.738833079718	0.580957445173	0.642049386827	0.738703409996	0.673686042755	0.549542896589	0.512788184423	0.573966848602	0.454462954129	0.58071572056	0.644703289191	0.685688578975	0.561458609144	0.653187831722	0.562559175912	0.621687327516	0.658341846185	0.643421220126	0.588200608711	0.629382453734	0.638206780558	0.748484020419	0.691328776735	0.658513010114	0.468301628924	0.696518735258	0.667130920372	0.556055804079	0.65675932153	0.63589330088	0.730328110709	0.644057282619	0.628250178467	0.640423252148	0.71983861198	0.615827320827	0.57780999529	0.756136329912	0.591095744111	0.676125901031	0.670290809276	0.646650388618	0.56466320359	0.551618524893	0.543136608404	0.44488483218	0.47845676278	0.46565634792	0.620730320372	0.524041357544	0.532557132508	0.50731800426	0.489473038724	0.720263111347	0.490021164048	0.595385672031	0.594330604701	0.456029946117	0.43531961435	0.486858030215	0.471042458227	0.525289328632	0.572520592607	0.453245764981	0.466090438785	0.567097573065	0.481342212374	0.560992520287	0.550539958181	0.463768343229	0.507765585117	0.460456459628	0.541819274551	0.647974938892	0.51238675758	0.573163907721	0.549921117073	0.562736715163	0.492339429683	0.498467871564	0.501382704965	0.63350656851	0.659768430425	0.560047087073	0.564636854875	0.60145127061	0.468394313953	0.554988985322	0.66199100338	0.770923911134	0.579128580723	0.64520318262	0.578495536189	0.626185658062	0.533560473291	0.631163269021	0.644151707199	0.745801882064	0.751227805564	0.575199329585	0.56168047043	0.683618172799	0.61309668823	0.449648215147	0.648190534431	0.735573689394	0.622042165869	0.596229911074	0.578611379294	0.64385221043	0.625299534379	0.717063238287	0.634879483911	0.600039926215	0.560334946445	0.496317208474	0.634901394302	0.617320651405	0.599394092462	0.649343754868	0.631978529724	0.752649757137	0.525358689343	0.644115332882	0.619020629874	0.660815760224	0.646713810949	0.447927676746	0.433367431061	0.499367445931	0.503739117186	0.463552911363	0.68555353447	0.470136380202	0.501922868956	0.488232419012	0.559739890909	0.438819072923	0.60709115319	0.489328915437	0.509955889234	0.492733506789	0.471949446114	0.46425536727	0.429976625042	0.495258398065	0.449965764194	0.471237142597	0.454952627818	0.429649980822	0.483976743749
CS.263	0.544873949808	0	0.539987336592	0.555457302569	0.561318771662	0.549694338988	0.602448445345	0.530998669759	0.56312738353	0.555535591595	0.543323511868	0.62942792065	0.609671993644	0.55112446521	0.567937792348	0.551374799732	0.539527755002	0.70746587848	0.552981706494	0.714337935635	0.728381128798	0.627222293951	0.582200994853	0.573416987519	0.590022452957	0.543296708445	0.561102006975	0.577762227217	0.684016472956	0.549824131614	0.613523596452	0.53444520069	0.571918975596	0.653831279922	0.638526783832	0.563438372903	0.624679585992	0.653532894964	0.745907321067	0.723217358117	0.634916072077	0.539378136231	0.656811269964	0.67091315383	0.560078467947	0.581643135433	0.611208985765	0.712057698756	0.622929417514	0.574479033504	0.618624917544	0.689916247757	0.624815535798	0.548849445004	0.693797283305	0.554901123592	0.641916174827	0.639510163049	0.621559531315	0.577974872943	0.561413106821	0.553725405443	0.528048581247	0.53614358704	0.539516422415	0.570919176313	0.545177815231	0.544897397024	0.568701821631	0.572251582536	0.743141670335	0.514179804979	0.58632423751	0.65619077351	0.56079280503	0.538875411298	0.544185713065	0.519736547433	0.483382022087	0.504178113443	0.51874523211	0.463156928847	0.554942123238	0.533851924936	0.535476270829	0.544328725678	0.547895284326	0.547205785238	0.523821200661	0.533772515992	0.623216623456	0.590861500009	0.570784311415	0.579701607617	0.539140293051	0.557585171366	0.512998696615	0.555035243964	0.605374016173	0.679117835791	0.546898501082	0.523452687868	0.663433965198	0.524890418462	0.580082364515	0.650608793515	0.733505878275	0.625447293993	0.61230500823	0.591073114	0.598651782646	0.596342062687	0.640477043109	0.620434727864	0.73077173285	0.736962778045	0.577123970839	0.591158343471	0.647818023036	0.594499751396	0.528943116897	0.610317596455	0.697282324646	0.637574725734	0.573024809642	0.509056100179	0.612310472077	0.621019938635	0.721097837624	0.604096785498	0.655591471478	0.576736133525	0.510320842134	0.634841241141	0.638293002259	0.574525203523	0.619951598571	0.606517570476	0.687923214281	0.546909005143	0.631484985706	0.581479751561	0.62116460753	0.622249048993	0.525840124885	0.578833903253	0.593546191651	0.584623370277	0.539782253126	0.701948063203	0.545091503768	0.564983425303	0.5458606773	0.553996460002	0.574286272534	0.64158397352	0.569955631176	0.588483398427	0.618058929726	0.534347890262	0.591180228974	0.515342286232	0.572762397201	0.61782140189	0.550898959135	0.545947886692	0.553210728264	0.539317771843
CS.093	0.54916723125	0.539987336592	0	0.532161795369	0.50746831181	0.480701112283	0.654655999173	0.502510774267	0.542755528247	0.516699044185	0.500505530128	0.681282630013	0.639051202577	0.554532699879	0.583765090654	0.636487149415	0.503877172987	0.752490436354	0.562615258822	0.722384180466	0.748055879801	0.622581535729	0.630600759298	0.618265256254	0.646951928973	0.56904927629	0.535790896135	0.640897125364	0.727147288131	0.570363846304	0.684294348461	0.529728813711	0.600523112729	0.707297243978	0.649397786755	0.654534461801	0.704236536191	0.689218273257	0.775823503213	0.75042288077	0.701923083898	0.572061102222	0.695866983798	0.740610436104	0.6427383109	0.66774905668	0.679218050776	0.747541488817	0.692719441078	0.654263379857	0.6926439805	0.751521001785	0.668551179526	0.632497366088	0.731970680842	0.601125002863	0.698792613298	0.713817832874	0.69235759388	0.615658049486	0.601855750379	0.621865796535	0.532166122893	0.568832862566	0.561963060073	0.61801819377	0.608096351129	0.539002425348	0.640057512885	0.614479565044	0.736566618934	0.571511204534	0.628858455938	0.696677897617	0.575156298051	0.562236744087	0.506323062191	0.537525305873	0.493723659592	0.551793698279	0.534683650155	0.525854522737	0.538916769206	0.541072244439	0.550624319214	0.511995866619	0.490485713532	0.486732050078	0.565133954774	0.475247264561	0.624016845823	0.578787329484	0.529742914861	0.557027654112	0.474253455617	0.534547845778	0.543155262385	0.527898319764	0.610751062034	0.70628813445	0.60943285382	0.493133332099	0.66097763812	0.511781879642	0.563027883995	0.668103809978	0.749630833241	0.699776644711	0.643912225561	0.621072829882	0.67073008342	0.617885347688	0.711116424396	0.684712780994	0.789687478971	0.751505404849	0.616439074994	0.642987724978	0.685711573015	0.64639993699	0.580704680176	0.616498200365	0.734553220726	0.704346484241	0.603747678442	0.586557438897	0.620773495954	0.685178954357	0.772562014955	0.616083690469	0.678127376845	0.637424931219	0.558222907644	0.690225216764	0.704975311819	0.624636683078	0.687540312688	0.68096369645	0.742820708354	0.6259311281	0.709393396917	0.642800186071	0.664407564803	0.690691511727	0.577076445436	0.572267050662	0.643999233895	0.618876827628	0.528555865275	0.726988593482	0.514347646537	0.573351415394	0.567273748218	0.520746472906	0.576154051546	0.673564362317	0.615300882009	0.639851238394	0.658802575805	0.510557511102	0.605387506183	0.537334532118	0.54848347744	0.594337332565	0.509056975812	0.568197041493	0.557658623022	0.554998887096
CS.108	0.63993718428	0.555457302569	0.532161795369	0	0.611774455252	0.534181541729	0.666256045771	0.547831241746	0.642677558933	0.571699867384	0.563028258312	0.682686958578	0.640127006012	0.602945211335	0.625565684353	0.689264196917	0.583540211281	0.751160025686	0.566606949398	0.780339304391	0.762057888521	0.658604149208	0.620809228827	0.605540282641	0.660681748438	0.624784724268	0.552437061234	0.614994796992	0.73475526413	0.594323134776	0.688588316297	0.563858788711	0.601060523443	0.706344858219	0.657123710078	0.69575735881	0.700308803771	0.689459800679	0.780521028466	0.74413600824	0.7034105504	0.635784201329	0.69643164077	0.754435078122	0.636381270632	0.646633553129	0.657242393122	0.745671603289	0.711775704714	0.653229826896	0.690989720148	0.718154022571	0.685027327692	0.618714243578	0.718455294008	0.63637519464	0.698627277077	0.713517870944	0.687604268776	0.66240047635	0.609492452441	0.663710589519	0.606659644071	0.644461835963	0.644232048803	0.619353552988	0.654493832772	0.601631637901	0.703881354875	0.672863270322	0.784799358299	0.650432791946	0.672978256363	0.724425914109	0.660726355771	0.646241913759	0.569117925187	0.608922012598	0.569051978146	0.55293400217	0.596164939936	0.587422577764	0.631698584412	0.620124607003	0.537226761899	0.594752535039	0.584948290166	0.579694273806	0.640265015279	0.559182401816	0.638700342033	0.648391242419	0.541489440763	0.612874635896	0.557750966523	0.56261165017	0.597846485898	0.59855774507	0.656434132582	0.744868203239	0.646801862211	0.539053443715	0.707689012166	0.58212073651	0.629769912551	0.662539264143	0.763638086968	0.741246304081	0.641205536784	0.616620305977	0.687311335538	0.673317224224	0.73789037129	0.68214514024	0.794460974319	0.746561603118	0.670009493625	0.679130032663	0.666008899174	0.66116474601	0.621056109912	0.626054485675	0.722404976855	0.700565052191	0.616123529981	0.557349938676	0.623309530314	0.68316904869	0.794081890016	0.633456291713	0.700599722406	0.659010531098	0.593871496403	0.727123513557	0.689535647975	0.634953383515	0.670546137065	0.684903895609	0.732181433534	0.655851877472	0.713799002089	0.643846218538	0.685806889258	0.693527965942	0.632346042665	0.681137539211	0.717202328437	0.682027830075	0.597133875974	0.747437092106	0.599751102397	0.644496561173	0.621592454437	0.532379150975	0.66646115203	0.721349586171	0.666140650246	0.704235520283	0.734897893353	0.601302677232	0.686151559378	0.610255465434	0.641204845789	0.719891352164	0.608237505542	0.634117877209	0.679283028435	0.616854368196
CS.293	0.434213694793	0.561318771662	0.50746831181	0.611774455252	0	0.541555932212	0.662337503622	0.526639379797	0.410021556574	0.556922058501	0.555918140322	0.715830529876	0.673421591169	0.53330679123	0.607236222082	0.537364553486	0.494985053473	0.768269028247	0.624460315534	0.689406337888	0.765499716988	0.705742387005	0.617652008577	0.58593486033	0.64117547291	0.5115108481	0.543275163106	0.671976239496	0.728550990414	0.581247701803	0.695408294733	0.561170218122	0.627946491226	0.704621458648	0.694388759264	0.64506101373	0.681994156767	0.694797301816	0.774371641856	0.727808032698	0.682701162999	0.51053235831	0.712689115433	0.721169646766	0.607452496855	0.695199702888	0.669756511644	0.766702101871	0.682515451505	0.673628871517	0.688781028526	0.741972200377	0.65950388959	0.625841423718	0.773653437685	0.613538956846	0.711846386881	0.694041559128	0.679487215908	0.601030902145	0.589856545125	0.590834739387	0.506258439584	0.536296623337	0.512763389542	0.651224123269	0.583983860032	0.563356904635	0.577387289932	0.567806528214	0.766686868152	0.560230116518	0.645958615158	0.655709115544	0.526541751853	0.445412567978	0.439875829439	0.489664280305	0.499463747236	0.580581962476	0.481530609996	0.467599587981	0.543896001144	0.470635719757	0.56454439131	0.516735555817	0.418511610597	0.433549076087	0.472861586287	0.48293993547	0.687009858282	0.488195425846	0.567237725224	0.56095739727	0.570127835084	0.466193310336	0.522016975001	0.525329367548	0.661989743393	0.696940396582	0.588344226986	0.563622011286	0.641063429269	0.48552798716	0.536482557155	0.695360770909	0.80655081942	0.656804670511	0.646468632613	0.620653873854	0.659589333104	0.580270346253	0.691998950527	0.69007642778	0.774176261784	0.786021645266	0.6140377341	0.622903166198	0.727300491064	0.661800686005	0.528662795734	0.686493231134	0.767773806732	0.674675160202	0.639004085708	0.610690833941	0.684272220861	0.685349363366	0.763019583743	0.680373245017	0.661336971122	0.614117352843	0.552954748308	0.692075752889	0.682908745837	0.644095674209	0.685388218859	0.67614614559	0.761344609712	0.593834019239	0.683205465107	0.647667700023	0.702300227615	0.678635297557	0.511791740471	0.514291197089	0.572500652674	0.57076112967	0.455203062448	0.725929768672	0.470982575536	0.525371900455	0.515355401241	0.545003037855	0.494816615392	0.653839013123	0.544954784694	0.583528621142	0.593553292295	0.447455437376	0.480464737086	0.480008803387	0.510646188628	0.481176609709	0.423653917491	0.486749807545	0.439225279013	0.488875936542
CS.003	0.562376412658	0.549694338988	0.480701112283	0.534181541729	0.541555932212	0	0.649960209094	0.525440792312	0.584269963698	0.534329137898	0.518459002333	0.671397870013	0.625863730439	0.550857039393	0.562138048507	0.641931939988	0.50002946083	0.744798607407	0.55732470104	0.73274403202	0.728170789046	0.639831851941	0.625917824982	0.576546840417	0.628314559285	0.567551681115	0.564853586282	0.633457304646	0.726262743155	0.57107837312	0.672526981856	0.518075282784	0.610552632096	0.705566331492	0.647059012151	0.650135534011	0.687922129063	0.691124247433	0.767998083607	0.73057940855	0.685118265743	0.57283586546	0.695550293509	0.729588334138	0.63081414018	0.657984699186	0.669888255881	0.738279503747	0.685027088467	0.652205144691	0.681415738195	0.718726404235	0.66601798824	0.622520471759	0.723269167946	0.599722557275	0.692529764123	0.710636548799	0.69265149239	0.622641754617	0.609443361806	0.631242511265	0.560419338496	0.55958873409	0.564557885311	0.604678674614	0.599260636781	0.546062028654	0.660737125323	0.635556344753	0.748377512875	0.571291909634	0.641392829858	0.689583557567	0.575023319961	0.586460265265	0.518955632542	0.565011758305	0.51224775995	0.539267264504	0.542829472931	0.538237895658	0.548549147224	0.544214922815	0.534950586454	0.560686848679	0.537036541976	0.531409929102	0.562567732413	0.491303262443	0.603032814413	0.604728978697	0.53167407361	0.544891563927	0.517674062073	0.534016786797	0.536261622241	0.530591105965	0.617444814988	0.721208949739	0.582326830006	0.508660474534	0.664044576234	0.530988808668	0.591647264894	0.645523295758	0.755351266009	0.705496026091	0.655235101026	0.591047144376	0.663289464979	0.629098857868	0.700570857055	0.688153325042	0.780832584814	0.736306600962	0.614957296977	0.64182112855	0.674255683829	0.652200520421	0.579706041135	0.607218906215	0.718095959881	0.700451603644	0.60018079262	0.588431961199	0.606127604811	0.672745904728	0.767514840817	0.620959131028	0.681550518235	0.652045153956	0.557190343869	0.683283539258	0.688611928441	0.620550347548	0.672565321357	0.678119312007	0.721323172657	0.622385258617	0.697519404703	0.646259720729	0.673673828825	0.705151517001	0.575285453571	0.601841453407	0.65529277869	0.637737476924	0.54302356083	0.73710056888	0.538635645221	0.591253023688	0.587650488919	0.531107728069	0.603571377819	0.684654757037	0.615138177302	0.63176486217	0.664716573578	0.544307025975	0.624806242254	0.547640175215	0.570830607645	0.633238088336	0.545213754865	0.557386024163	0.586354298571	0.54040903939
CS.260	0.614849262684	0.602448445345	0.654655999173	0.666256045771	0.662337503622	0.649960209094	0	0.644710651861	0.642711259406	0.635692807271	0.615529023942	0.611152043815	0.531167074658	0.616917280882	0.619167719721	0.56368817311	0.611541290245	0.632318131271	0.624901095023	0.663594411161	0.621281048629	0.620323054552	0.530641656249	0.541331243446	0.573974360651	0.589342618775	0.654331195583	0.559823886178	0.572438200492	0.6270229512	0.563997530404	0.590410870465	0.568868383081	0.54621365826	0.568762011586	0.57966629134	0.510997819574	0.506692760779	0.660942984601	0.619158937072	0.566759811386	0.59841714433	0.632727743391	0.548901749385	0.580398814682	0.548239945256	0.554434292844	0.621241107301	0.569378131911	0.551645824872	0.532444453035	0.631398362065	0.605064471155	0.521065852647	0.60856775813	0.605256689911	0.587879664153	0.591001557847	0.535123902101	0.583755759492	0.558945618197	0.557817400268	0.616773933972	0.624638812578	0.619279100695	0.590719603475	0.550477869237	0.585660191619	0.58782757521	0.577625314218	0.684513790612	0.595679375413	0.600820292726	0.575453572822	0.597237194415	0.625212927197	0.64538929194	0.61257150291	0.625002900599	0.639167052927	0.584594999338	0.609241952201	0.657956889511	0.613827922977	0.603511243168	0.658838145418	0.653009582557	0.66529833047	0.613322159547	0.626563125632	0.601885963987	0.665685254847	0.624252523422	0.62189834586	0.613148668724	0.653920030758	0.606537215707	0.610524266829	0.593148022039	0.620327298176	0.60278054373	0.605680199194	0.673730294405	0.597248380922	0.675427195555	0.597622066409	0.643648998973	0.604719084126	0.599867695835	0.57856744201	0.556730020879	0.612180460365	0.554810451069	0.513147267995	0.633329086555	0.65945858296	0.620850907243	0.544085411905	0.600762102634	0.524733278005	0.616510182546	0.596392235014	0.611692058104	0.571655220142	0.590126704134	0.543640204776	0.577516835934	0.547673751741	0.591354057865	0.571581240713	0.593827058816	0.538342757866	0.565526642113	0.609731391189	0.552501895743	0.557549657894	0.560016790122	0.544788568389	0.616630543067	0.559218159724	0.574274137475	0.540837468473	0.62237146505	0.547630770139	0.604543651466	0.606427072807	0.572974953956	0.617085916196	0.633570357405	0.613396036904	0.663574142647	0.603386472479	0.601777835082	0.629487665467	0.620662342198	0.564377548882	0.596806180569	0.578866318016	0.567658933388	0.639427594239	0.651835461773	0.613325477607	0.63192404025	0.639487946026	0.654895262054	0.590299476357	0.63319713624	0.592947726278
CS.265	0.57512372767	0.530998669759	0.502510774267	0.547831241746	0.526639379797	0.525440792312	0.644710651861	0	0.564945715147	0.59987044516	0.536472416354	0.703750991632	0.670182211781	0.609360293511	0.63954930926	0.634476929437	0.525027547935	0.773420678678	0.606190006882	0.767801682004	0.775093957464	0.680436433414	0.598706389719	0.560364302225	0.667980953441	0.587032802012	0.512949208832	0.639812603859	0.715944887678	0.6224552866	0.685554477987	0.552531139558	0.623203923948	0.702566775255	0.688949008475	0.684532601052	0.678653483704	0.696822014035	0.782217770551	0.768225495058	0.712957457918	0.571146621457	0.724382770384	0.730830094843	0.602932965594	0.642104824938	0.65386619247	0.746438636878	0.658709843652	0.622830151047	0.696249868933	0.753218472844	0.692197656827	0.601330962779	0.741235439601	0.611196146214	0.67993284431	0.700166737802	0.655680617617	0.614564203431	0.569054820681	0.615837381016	0.559337232035	0.603410740492	0.587474976604	0.633063547985	0.605491872574	0.548560396774	0.658014195325	0.64299117721	0.775422903278	0.593450448843	0.65815129856	0.701304141959	0.587645800639	0.574816206465	0.452338422379	0.542501066356	0.512913397848	0.556812571179	0.518129713748	0.49314930882	0.479424182499	0.476281700573	0.477125696231	0.499498683213	0.485984147646	0.465015550674	0.578282786782	0.439380848435	0.664682796926	0.614122600618	0.582547438837	0.616922328671	0.511741759423	0.575195447001	0.535626561125	0.596801877806	0.641662639619	0.750851270923	0.584241178575	0.526054929374	0.719109511033	0.513637299664	0.630303817112	0.684654596021	0.79096705924	0.723757175436	0.647431355514	0.613384904501	0.667443372266	0.671682629799	0.720338647856	0.676195392171	0.785787265397	0.785928617474	0.669657037636	0.645387901467	0.723511667342	0.643066028869	0.623322019942	0.673949482664	0.750826884491	0.702224179748	0.652606925928	0.546744710971	0.670768326636	0.665247077851	0.77151346117	0.663662864014	0.714534723984	0.616074551369	0.541034133798	0.72426818275	0.696908332727	0.623070762748	0.684745293575	0.675644809833	0.753436441053	0.615078073845	0.695987241037	0.645779981715	0.6928871714	0.677284177744	0.576030789062	0.607737810048	0.664098977304	0.647299772177	0.49675472575	0.740288399448	0.530979346262	0.614926184529	0.592035914141	0.547374016214	0.612122353044	0.693307578703	0.63593972645	0.668011649939	0.684785023821	0.471312210241	0.638609272265	0.512250764839	0.617240491992	0.642196703452	0.483326994976	0.556340680986	0.574332177008	0.57159594321
L.005.M1	0.420693078178	0.56312738353	0.542755528247	0.642677558933	0.410021556574	0.584269963698	0.642711259406	0.564945715147	0	0.588157183404	0.591722255867	0.704622683587	0.652132628218	0.555829003923	0.614063641522	0.526274020237	0.540971575522	0.753695194655	0.640934617072	0.703353026357	0.765693573661	0.711977476905	0.608924561251	0.591619459299	0.663407608043	0.496287795191	0.564913264677	0.691460113468	0.731511898345	0.602266551671	0.681641501422	0.59519432061	0.651307222477	0.712623033209	0.692308028819	0.650391110156	0.686516945681	0.685877483267	0.763750922127	0.74041744101	0.702125453944	0.535622026526	0.708192684742	0.702912691442	0.625487975842	0.704842100459	0.682837467657	0.766436870091	0.685941102076	0.673476808581	0.690471711933	0.755347404345	0.685344732182	0.641920162799	0.785473788529	0.638789429835	0.735598026088	0.713724501397	0.701113207025	0.622157450099	0.59332970331	0.591363220899	0.517627524696	0.536125148273	0.517154344484	0.663331239829	0.589722162061	0.590071135525	0.55765502546	0.537808276725	0.763111770477	0.569256814073	0.645957400638	0.661836946406	0.527970276964	0.464224608733	0.496959810678	0.512081381094	0.511230072281	0.586791719791	0.488874684048	0.506126581487	0.565819343134	0.510191439816	0.582820108496	0.505624223441	0.436469031332	0.474725234737	0.459476618477	0.521855138932	0.684707001766	0.471278020676	0.582598411405	0.564221027642	0.601019477842	0.504683457533	0.542594482881	0.504323281988	0.67101029769	0.698888779602	0.572105888982	0.58409982225	0.638883089851	0.494078019527	0.524220739841	0.706474031173	0.797485168336	0.645079439837	0.674535072821	0.640436177264	0.667383558671	0.576893186666	0.696105091614	0.692293813765	0.786375944083	0.787322618622	0.624527211316	0.628924779981	0.740974434229	0.675227797379	0.507640628692	0.691526483151	0.761482585962	0.666747138555	0.641494378643	0.610825495844	0.679875455723	0.693017522699	0.750748882668	0.682020850575	0.654273895355	0.614729260928	0.557735864632	0.70345846165	0.678361294693	0.643211384456	0.690025223791	0.686355730364	0.76676564922	0.601397742644	0.691202929228	0.65134385365	0.706757760937	0.686525249642	0.507561113869	0.472391318473	0.556318030343	0.540659495886	0.479621899557	0.730532675148	0.473383576922	0.535250406912	0.512929170719	0.582138999721	0.46994096677	0.645037256654	0.557244613298	0.58497637267	0.578107236944	0.449416991553	0.458748057708	0.469561376123	0.492204678617	0.457786125003	0.421791601287	0.484597992573	0.431406468203	0.506951699452
CS.035	0.541501511816	0.555535591595	0.516699044185	0.571699867384	0.556922058501	0.534329137898	0.635692807271	0.59987044516	0.588157183404	0	0.474530788098	0.655791445697	0.616290049813	0.550807168097	0.567227810908	0.606933106944	0.521156398152	0.728329646749	0.546378791906	0.675517675062	0.721897786187	0.617025019348	0.61777191343	0.597157450599	0.600904745129	0.5660366989	0.576479319404	0.596739027949	0.681266387447	0.552972814612	0.632917191837	0.502843517644	0.548314762985	0.67212839535	0.590388477158	0.58971409722	0.660620534074	0.648086914977	0.747877366478	0.702336543017	0.670800575675	0.579745412813	0.658141725416	0.713736626953	0.596294021449	0.640403213388	0.658861086245	0.709142104297	0.669685900364	0.63992219799	0.662580882956	0.715514519971	0.61811548853	0.612805299468	0.70783091667	0.586452975456	0.668420545878	0.683010719228	0.647966089055	0.60101961533	0.616429452965	0.605596343541	0.531241219416	0.544150030778	0.566232941706	0.583417275178	0.5724139825	0.557486775984	0.588019402162	0.570087507206	0.710432937363	0.561784972365	0.581941236845	0.6354423078	0.56800767802	0.574006835423	0.578519041869	0.55057273778	0.529239696313	0.586957822605	0.554016531421	0.569158995649	0.623787902792	0.583987769462	0.619827447247	0.60982551084	0.568788991186	0.576977665059	0.564594555437	0.55364705586	0.585570085335	0.594638949192	0.526375929292	0.584297455783	0.534680830275	0.547564754737	0.559874182059	0.528613002027	0.623617071732	0.670775971652	0.601485809436	0.519633458712	0.636671376179	0.541929453289	0.550686334848	0.638176071869	0.722235085826	0.6411754443	0.615780659285	0.597741969652	0.649046830109	0.567769782228	0.665707576627	0.636858624251	0.755056677111	0.723649775409	0.552791627704	0.588463972803	0.631737992469	0.61113925433	0.557251779465	0.580431192962	0.691696640646	0.662144283877	0.562231375134	0.595323215392	0.59691795459	0.640681996517	0.746895122853	0.571048007016	0.631302746988	0.606914122658	0.552893623168	0.64475803762	0.655064552921	0.621918376958	0.646956021376	0.654030340508	0.704437279678	0.595619890681	0.647378385283	0.63106618925	0.628711760532	0.636689088356	0.552642297014	0.566171793169	0.59190265617	0.587422791822	0.558063400203	0.71810566686	0.564453403721	0.563545502311	0.576229916307	0.567733467329	0.556418901102	0.645685693245	0.571249995377	0.601442370274	0.618030642288	0.566461362685	0.580254792617	0.564063948001	0.571197358074	0.605154529572	0.561156686757	0.548485539773	0.575722877378	0.540197982585
