CS.084	CS.094	CS.005	CS.019	L.005.M1	CS.265	CS.280	CS.037	CS.021	CS.007	CS.277	L.036.M1	CS.022	CS.354	L.007.M1	CS.072	CS.137	CS.365	CS.367	CS.290	CS.060	CS.377	CS.269	CS.335	CS.067	CS.248	CS.153	CS.154	CS.382	CS.366	CS.136	CS.128	CS.224	CS.282	CS.376	CS.378	CS.236	CS.292	CS.126	CS.232	CS.374	CS.302	CS.205	CS.380	CS.375	CS.182	CS.359	CS.254	CS.348	CS.372	CS.385	CS.349	CS.178	CS.268	CS.166	CS.177	CS.386	CS.183	CS.214	CS.129	T.CS.059	T.CS.082	T.CS.069	T.CS.007	T.CS.028	T.CS.014	T.CS.004	T.CS.058	T.CS.029	T.CS.041	T.CS.016	T.CS.079	T.CS.040	T.CS.085	T.CS.052	T.CS.147	T.CS.122	T.CS.121	T.CS.139	T.CS.097	T.CS.110	T.CS.130	T.CS.102	T.CS.123	T.CS.134	T.CS.117	T.CS.128	T.CS.119	T.CS.178	T.CS.167	CS.082	L.034.M1	CS.015	CS.087	CS.241	L.024.M1	CS.103	CS.088	CS.238	CS.085	CS.110	CS.006	CS.356	CS.246	CS.237	CS.274	CS.150	CS.387	CS.191	CS.304	CS.189	CS.347.0	CS.044	CS.207	CS.308.0	CS.187	CS.345.0	CS.228	CS.336	CS.188	CS.320	CS.112	CS.318	CS.152	CS.339	CS.322	CS.319	CS.321	CS.202	CS.343	CS.331	CS.158	CS.080	CS.194	CS.227	CS.145	CS.255	CS.262	CS.393	CS.370	CS.270	CS.390	CS.326	CS.253	TFS.025	T.CS.008	T.CS.043	T.CS.045	T.CS.049	T.CS.064	T.CS.066	TFS.020	T.CS.026	T.CS.036	T.CS.061	T.CS.055	TFS.027	TFS.022	T.CS.031	T.CS.095	T.CS.158	T.CS.157	T.CS.166	T.CS.151	T.CS.141	T.CS.109	T.CS.142	T.CS.152
CS.084	0	0.713074316573	0.486786730333	0.568147653274	0.6099048282	0.54664995503	0.581243113472	0.653404597025	0.623424002569	0.584589115042	0.579082033691	0.600367175696	0.607564394604	0.616223790371	0.600165463007	0.517139635591	0.614455626102	0.580169054561	0.732633031378	0.670745180917	0.585546015913	0.644782589735	0.747713386004	0.756364365879	0.712504894138	0.606374728663	0.506401210238	0.754981467959	0.660594300474	0.740818319349	0.567376407168	0.637486230106	0.763697357741	0.6902974964	0.669425020405	0.672961459278	0.647880881614	0.569490160431	0.595129125479	0.506160480301	0.659568335551	0.731043991296	0.724500135555	0.572055118949	0.647502538598	0.615046469123	0.738262301565	0.649605736007	0.600800318121	0.652795367795	0.631723906979	0.625991060469	0.621420840868	0.64634578824	0.669633656982	0.698878347195	0.698330395713	0.719482745668	0.680782848066	0.60291796041	0.549793860022	0.59919113111	0.609090911312	0.66056715607	0.617626604116	0.586399780305	0.626195267913	0.587482996104	0.576563468713	0.572891662905	0.603420136527	0.689420899074	0.549957484194	0.609974036152	0.652137435487	0.57383883095	0.570667641872	0.600641774651	0.577475497715	0.578404589669	0.561603750836	0.576873822504	0.618872486416	0.619905323886	0.607609051858	0.597192230627	0.552316814101	0.52536710373	0.551324504031	0.587860211326	0.486500095304	0.598294703109	0.625111355851	0.617506501665	0.566346601495	0.635089004629	0.54376959644	0.686400214127	0.568822182243	0.444795197456	0.594200319573	0.555213030262	0.699212608761	0.577317706889	0.587137778649	0.70177504253	0.555730559213	0.641624624982	0.562023676128	0.702586561064	0.629639957168	0.670411087539	0.575072379782	0.680095763524	0.652546471397	0.642670107848	0.724386033909	0.547602227686	0.630846543036	0.720043494677	0.62902862194	0.554057422326	0.666654605834	0.56190335014	0.670511973763	0.696855760825	0.685972940802	0.609410411058	0.66903960477	0.695215348871	0.574835194211	0.579848512644	0.558794373231	0.749124792842	0.769445982722	0.620400596764	0.616164350806	0.66410167126	0.650969883678	0.650973166672	0.671442616619	0.663826941397	0.622384824982	0.712118241538	0.651937793673	0.663916724868	0.623291115371	0.615272875695	0.672665397661	0.590242180563	0.575882382483	0.546366769113	0.703646801208	0.512705726273	0.632296274538	0.598172851204	0.612464907588	0.570137900911	0.587047124815	0.584767832027	0.580878564234	0.594863881964	0.603552411521	0.630143196237	0.643545835095	0.568042455588	0.666945802962	0.588142286733
CS.094	0.713074316573	0	0.673609792682	0.571437801943	0.633085207976	0.725571404353	0.648210785913	0.665698666054	0.631095742046	0.626752386627	0.636739485538	0.615873283012	0.592777666771	0.614435371931	0.639225665831	0.654763249183	0.630772940692	0.594952983723	0.712748617956	0.645106224154	0.651494852432	0.713170064618	0.686233842672	0.716848517299	0.725070848211	0.653367474999	0.667282539599	0.709327740567	0.595048209096	0.663054804889	0.65153170828	0.633698024605	0.73637959405	0.663474742632	0.647691686767	0.69208915245	0.709050529908	0.673059660911	0.624827092384	0.689577563285	0.671919182107	0.699710243012	0.669008277823	0.66126224301	0.595992968479	0.678495197925	0.728574839404	0.686141530124	0.701689954593	0.688541846359	0.697260427558	0.694756250742	0.664086434671	0.71641370938	0.731190675862	0.686435250392	0.726171971366	0.715709210008	0.63454070857	0.685528505866	0.697171141157	0.617892709005	0.642406625136	0.658010484469	0.648143809099	0.639381085153	0.617621811185	0.631067931458	0.699254261282	0.623249707471	0.636907821563	0.63859033381	0.603522610395	0.585121831622	0.662665623546	0.677271786607	0.62970262644	0.653194143434	0.665071916074	0.653625954609	0.667382928312	0.658591444504	0.65718696277	0.612200192875	0.630353018816	0.639431645825	0.707047384335	0.72950260814	0.681494150631	0.617367517955	0.69960818966	0.607325158115	0.576589014999	0.56576734959	0.645541331247	0.631671604632	0.659233127527	0.587847016746	0.640455745596	0.685929345243	0.67683794803	0.570330486981	0.649004495617	0.643910919064	0.674535363916	0.659483734804	0.672348530642	0.606141945158	0.636282895127	0.681989381408	0.698393515296	0.656294072996	0.586080492541	0.698551133758	0.636642158832	0.643371085053	0.702826422991	0.667734080046	0.630800613602	0.580591016966	0.658581777757	0.636177635468	0.65970920425	0.636079613252	0.615543505847	0.685140244369	0.659633366241	0.58887942626	0.638949107739	0.655395277987	0.689297789226	0.635653213233	0.613716720355	0.721033248542	0.724550773186	0.625220480496	0.678336651516	0.659390828302	0.655252835271	0.685389182679	0.695670079916	0.676394105583	0.665707245144	0.751593280515	0.600089091675	0.578654240333	0.582827238956	0.635268999012	0.652498203789	0.626213689327	0.652355070831	0.636758792643	0.716127494452	0.684992710962	0.611465784927	0.592966014364	0.620624999644	0.648879072203	0.619603388946	0.670370107836	0.630089968742	0.604560852798	0.606541579052	0.606211123892	0.593560855512	0.654593435604	0.560233191292	0.606083491743
CS.005	0.486786730333	0.673609792682	0	0.553448562955	0.550327189536	0.481863844711	0.491874071435	0.693659313801	0.636943954241	0.537672943781	0.549678541189	0.557485901687	0.621346671678	0.627113958218	0.524326577199	0.47525518685	0.576077630242	0.54971096065	0.753729499659	0.684162825507	0.607855740059	0.651791154018	0.764140511848	0.777241589529	0.748229057503	0.640640298796	0.525276893936	0.778958943471	0.629764174049	0.748001844578	0.60928701007	0.606233448657	0.764691881125	0.695782217174	0.687984403573	0.702298640674	0.696682025911	0.587546139732	0.552895552678	0.482129584987	0.682768859504	0.737061096974	0.729427919259	0.555968001893	0.651724747734	0.603862358106	0.729568170471	0.665122506984	0.604827915448	0.67070362158	0.657496716398	0.643773346338	0.612543719661	0.665860806574	0.696405418836	0.698028597651	0.72182838909	0.745878871215	0.650399281317	0.590098344385	0.585025951864	0.573409350892	0.592622828094	0.661152921489	0.578818600705	0.573240378722	0.615852434059	0.583597117174	0.608734942402	0.568405053537	0.59423516295	0.699644741892	0.519347682992	0.567026897519	0.669656140058	0.503533811762	0.513756050395	0.528863561598	0.479364341324	0.508503637723	0.493159090858	0.501949877294	0.552903109536	0.566629865239	0.559664539133	0.526122498045	0.517084127642	0.47706250401	0.485312792	0.531729134001	0.475202275758	0.594722536511	0.589131619684	0.602856483996	0.520953473855	0.577737880826	0.53151213506	0.680795921033	0.553443508755	0.475794766895	0.617980263878	0.487759724562	0.704058332013	0.496909484431	0.613738912199	0.695199569437	0.544090960233	0.638668183162	0.518547857749	0.691368798449	0.624849909148	0.693599740525	0.564990332404	0.679223269815	0.686334095527	0.643265242944	0.760891409313	0.587227833908	0.618896489866	0.694353547818	0.617663205555	0.63115376853	0.68533520938	0.538515685973	0.671220059251	0.71009069073	0.690013985892	0.578849539994	0.668428382524	0.689944169826	0.565080542143	0.623893921155	0.590912125749	0.767361967557	0.791193872107	0.613431729508	0.613595519464	0.694341472258	0.677335043267	0.676309148797	0.679187551212	0.665214088314	0.628851702392	0.733276634689	0.624296275419	0.667864308597	0.586029128237	0.602841181095	0.66644007955	0.568157144735	0.527411251761	0.507986878208	0.733492962004	0.513874523522	0.614482717945	0.577549188528	0.589803023554	0.503237796916	0.574620307484	0.509881188648	0.516698064889	0.555515911827	0.534363721291	0.551379632346	0.596193053416	0.474145586292	0.611081014461	0.532992500351
CS.019	0.568147653274	0.571437801943	0.553448562955	0	0.555829003923	0.609360293511	0.530244979555	0.631533654287	0.579399948573	0.498418440397	0.557649054148	0.539692740059	0.591894016826	0.568890372531	0.54688548594	0.521385396412	0.53555878418	0.496371435279	0.704612179752	0.627459528719	0.594406756177	0.661562619812	0.721435795529	0.727808550101	0.7258242198	0.587549450842	0.550200714144	0.734918465082	0.516700138753	0.688963451222	0.593889143253	0.558340495228	0.73758629409	0.659407357316	0.622621867051	0.671629680456	0.655627878915	0.577216785506	0.538408620813	0.560698537932	0.6311921865	0.694883075206	0.681576136246	0.527708415614	0.568930223115	0.594311639273	0.707890881947	0.63453710431	0.627606690368	0.627664414334	0.626410265064	0.621254737354	0.574115143506	0.642516200606	0.663900503698	0.653075747613	0.682898422096	0.697482935671	0.628048608948	0.594786419393	0.625192651349	0.510460623232	0.574960659703	0.630838451596	0.529273300074	0.577940489816	0.554955315379	0.532454888029	0.609289241782	0.530793462502	0.559882627427	0.644807848582	0.513759598916	0.507055227604	0.629404834902	0.562569432762	0.525402056698	0.531375597291	0.564365644713	0.558274893026	0.574721503328	0.509693487698	0.562426021194	0.529362558751	0.551725896991	0.52416866247	0.591881551526	0.621608826391	0.544691516042	0.521297059273	0.575465845119	0.554810679572	0.565751176174	0.559447018864	0.525681999336	0.554797162494	0.554936010678	0.595124258312	0.53107264243	0.558069176768	0.611709229843	0.508015395131	0.674343880596	0.522954754439	0.610598092493	0.631755875129	0.601172465132	0.570236563719	0.539039031845	0.693175758139	0.650595563934	0.651213589952	0.523628037752	0.670536187381	0.636828634336	0.592258225875	0.724508135524	0.584657824865	0.599170929705	0.606543749188	0.587708777339	0.584372968623	0.635396963168	0.533061041115	0.621211009051	0.659082298322	0.633340175294	0.511112159713	0.635216317998	0.616485712307	0.58850458855	0.606547228358	0.554890016642	0.727121730672	0.738646081871	0.526043946432	0.601993637432	0.651505965019	0.651328826263	0.616667846911	0.65177387175	0.632897313542	0.63348189029	0.732808055917	0.550633117515	0.575007550343	0.538948386397	0.544950546548	0.63208914031	0.513299369971	0.538799573187	0.541295583131	0.696156450474	0.558785927662	0.565681226364	0.545340708308	0.516024132792	0.540747971458	0.532485887945	0.570124114215	0.520318784681	0.550767853938	0.526337861131	0.528183227511	0.562244927263	0.550048047669	0.570157730529	0.53395252758
L.005.M1	0.6099048282	0.633085207976	0.550327189536	0.555829003923	0	0.564945715147	0.460351368344	0.704622683587	0.652132628218	0.530365088283	0.566028080476	0.508646658323	0.657737122929	0.608189579564	0.390179823011	0.540971575522	0.539246832347	0.496287795191	0.753695194655	0.696426182491	0.637998572239	0.737236406007	0.77940550366	0.761620776188	0.765693573661	0.691460113468	0.64320099336	0.799315225555	0.526274020237	0.731348268448	0.675692280642	0.625487975842	0.763750922127	0.712623033209	0.685877483267	0.708192684742	0.744792293265	0.651307222477	0.557980950747	0.59519432061	0.681641501422	0.74041744101	0.702912691442	0.535622026526	0.650391110156	0.641920162799	0.755347404345	0.701113207025	0.662770196832	0.682837467657	0.704842100459	0.673476808581	0.622157450099	0.722754640557	0.735598026088	0.713724501397	0.735711963407	0.766436870091	0.685344732182	0.638789429835	0.662528905132	0.536125148273	0.574711235494	0.661836946406	0.573304609411	0.568684878586	0.557301401005	0.56970892445	0.663331239829	0.569256814073	0.589722162061	0.704889506414	0.492524064042	0.493727361141	0.681738554842	0.436469031332	0.488874684048	0.571195684426	0.451414719047	0.481270664274	0.513947963627	0.506126581487	0.467127682091	0.536545584177	0.485705978929	0.512081381094	0.582820108496	0.607556837466	0.533885018291	0.436331858179	0.601019477842	0.572105888982	0.524220739841	0.577212735983	0.504683457533	0.471278020676	0.582598411405	0.638883089851	0.564221027642	0.58409982225	0.67101029769	0.504323281988	0.698888779602	0.542594482881	0.684707001766	0.696105091614	0.625326196061	0.627715936453	0.484887579108	0.726377929425	0.674535072821	0.714039338831	0.553077827232	0.716417680359	0.740974434229	0.675227797379	0.797485168336	0.650889381143	0.628924779981	0.645079439837	0.614729260928	0.682020850575	0.681181878438	0.557735864632	0.654273895355	0.697775806925	0.678361294693	0.507640628692	0.671571088424	0.666747138555	0.610825495844	0.679875455723	0.641494378643	0.750748882668	0.792147233638	0.601397742644	0.643211384456	0.691202929228	0.706757760937	0.686355730364	0.686525249642	0.690025223791	0.65134385365	0.76676564922	0.556318030343	0.578107236944	0.46994096677	0.557244613298	0.645037256654	0.507561113869	0.473383576922	0.47710349953	0.730532675148	0.582138999721	0.58497637267	0.512929170719	0.472391318473	0.479621899557	0.535250406912	0.421791601287	0.469561376123	0.492204678617	0.484597992573	0.431406468203	0.458748057708	0.449416991553	0.457786125003	0.506951699452
CS.265	0.54664995503	0.725571404353	0.481863844711	0.609360293511	0.564945715147	0	0.508258729675	0.703750991632	0.670182211781	0.592688681391	0.571085264512	0.555860597127	0.668469687924	0.66820569907	0.539931091215	0.525027547935	0.601158910069	0.587032802012	0.773420678678	0.702101866738	0.660692661836	0.654523302108	0.794144063097	0.782516688813	0.775093957464	0.639812603859	0.604731373851	0.797628300748	0.634476929437	0.745203573034	0.656820731655	0.602932965594	0.782217770551	0.702566775255	0.696822014035	0.724382770384	0.716739709643	0.623203923948	0.577610978374	0.552531139558	0.685554477987	0.768225495058	0.730830094843	0.571146621457	0.684532601052	0.601330962779	0.753218472844	0.655680617617	0.591512541078	0.65386619247	0.642104824938	0.622830151047	0.614564203431	0.670226445199	0.67993284431	0.700166737802	0.723669420031	0.746438636878	0.692197656827	0.611196146214	0.614628448998	0.603410740492	0.609743335538	0.701304141959	0.599202384888	0.583785849523	0.637666075097	0.595036195122	0.633063547985	0.593450448843	0.605491872574	0.719287058108	0.540387714828	0.581696729422	0.659388573003	0.485984147646	0.518129713748	0.524411572823	0.46639716583	0.502429025201	0.495054666716	0.49314930882	0.550893767575	0.597009342829	0.57614843885	0.542501066356	0.477125696231	0.462961296893	0.466365573139	0.562121020537	0.511741759423	0.584241178575	0.630303817112	0.650916149509	0.575195447001	0.614122600618	0.582547438837	0.719109511033	0.616922328671	0.526054929374	0.641662639619	0.596801877806	0.750851270923	0.535626561125	0.664682796926	0.720338647856	0.577443249607	0.653296233742	0.568820669202	0.728938835092	0.647431355514	0.725787056164	0.629788574857	0.694314561195	0.723511667342	0.643066028869	0.79096705924	0.639854187179	0.645387901467	0.723757175436	0.616074551369	0.663662864014	0.680688670659	0.541034133798	0.714534723984	0.695330817391	0.696908332727	0.623322019942	0.716098726716	0.702224179748	0.546744710971	0.670768326636	0.652606925928	0.77151346117	0.811513998632	0.615078073845	0.623070762748	0.695987241037	0.6928871714	0.675644809833	0.677284177744	0.684745293575	0.645779981715	0.753436441053	0.664098977304	0.684785023821	0.612122353044	0.63593972645	0.693307578703	0.576030789062	0.530979346262	0.51052594462	0.740288399448	0.547374016214	0.668011649939	0.592035914141	0.607737810048	0.49675472575	0.614926184529	0.483326994976	0.512250764839	0.617240491992	0.556340680986	0.574332177008	0.638609272265	0.471312210241	0.642196703452	0.57159594321
CS.280	0.581243113472	0.648210785913	0.491874071435	0.530244979555	0.460351368344	0.508258729675	0	0.708713952422	0.654303345233	0.5188942905	0.554385426497	0.516257720939	0.651866793549	0.618702241573	0.448132454139	0.489466549522	0.561293073161	0.523369742334	0.757462310587	0.683872867359	0.632023679109	0.696124992628	0.776318826047	0.780086570474	0.76552556273	0.665013691033	0.592919050064	0.794228071276	0.560696645692	0.736494095672	0.670300121084	0.599817325163	0.755003291566	0.702110579932	0.686518119572	0.706029949544	0.719511470885	0.629496186629	0.550837177249	0.554528129687	0.677191558095	0.731263231311	0.712662869223	0.545480431433	0.647176941288	0.610717754627	0.726781112277	0.671656590594	0.621268593738	0.655362750828	0.676175358319	0.661795399528	0.605482957557	0.706978549682	0.706826340424	0.689051650517	0.714025187124	0.762900913484	0.650775460045	0.600981538607	0.634925914248	0.556474318153	0.581245781562	0.657471928385	0.540891680661	0.578885343142	0.5954584561	0.569785530876	0.634902690612	0.543023406629	0.585981043615	0.693552427465	0.471419580001	0.524497056148	0.670854271249	0.456955410724	0.463535000695	0.508967963649	0.4437835775	0.453661668358	0.493971709438	0.463983642174	0.477265065863	0.54110445701	0.4997138413	0.494510142361	0.539759039658	0.538502086967	0.468823207182	0.472717562004	0.561705667993	0.586423625843	0.562769236677	0.588412205483	0.495306638857	0.53338649497	0.579906082556	0.64935691803	0.562714857254	0.562269529028	0.650237232432	0.518542852975	0.702067763834	0.509548550178	0.671130442555	0.695071542771	0.599081810626	0.613425400906	0.506338221322	0.713497282386	0.642061164606	0.721631983477	0.555935866146	0.708202453792	0.714283458227	0.651746062106	0.786993369634	0.637981429162	0.630815593729	0.662456554884	0.598456186404	0.684947815559	0.685340921362	0.526069377314	0.683113425422	0.712436220487	0.672617721329	0.547670078654	0.678938612717	0.664365922501	0.592938306462	0.666855756448	0.626050834909	0.75382051263	0.788970634908	0.585169449734	0.618084880735	0.684852840419	0.688645749424	0.66959556546	0.672385334812	0.66472178472	0.63799138223	0.753098372429	0.580632245661	0.610284068336	0.529904197644	0.585903193743	0.652196854494	0.526575327799	0.481259994081	0.471674188621	0.741336787612	0.538112879025	0.593417274613	0.511096721741	0.525567264275	0.468897721871	0.549014724262	0.457050701988	0.451949466708	0.523524988416	0.494252711599	0.455740873916	0.522334794575	0.432423887436	0.542652411111	0.518061260155
CS.037	0.653404597025	0.665698666054	0.693659313801	0.631533654287	0.704622683587	0.703750991632	0.708713952422	0	0.584125142059	0.677832952758	0.624666476675	0.607796141425	0.606528645488	0.619502745273	0.708387320836	0.686397869228	0.678041497298	0.650213557488	0.640520332177	0.591129035336	0.641240459337	0.65710194137	0.67465016683	0.643368564192	0.668959346788	0.595947654706	0.641412649146	0.666840388928	0.644214247572	0.642268280096	0.616369035924	0.638965258772	0.71284078844	0.651809627143	0.60454176879	0.669173180076	0.644270507782	0.630194124679	0.653132313713	0.648191639415	0.644844505024	0.686083084576	0.670679276752	0.661246333348	0.654685881972	0.631935637434	0.726985763161	0.637032775928	0.625684054675	0.62272724815	0.645836923691	0.597935201422	0.665498074191	0.665365031239	0.634641851176	0.65424558697	0.660087780377	0.660072678838	0.690158274116	0.644195330111	0.639397474691	0.669255841249	0.676544019758	0.670614108257	0.631894513086	0.670434963244	0.651472452296	0.665996447966	0.654134497878	0.641505916206	0.646757741143	0.604537550347	0.668142129818	0.668800612172	0.60590471576	0.71373853372	0.685994773352	0.67827752151	0.717308406681	0.694957984334	0.660109218233	0.68415473385	0.720684092707	0.667893498428	0.684881921124	0.69050840889	0.667409318461	0.696723027186	0.694491962041	0.685633590029	0.672215069691	0.593089304982	0.636241872116	0.652347922881	0.683189794636	0.725304213636	0.658423580927	0.671657265805	0.648867121969	0.633490735288	0.649659115783	0.658219791957	0.697076265471	0.67067032035	0.619862781771	0.672238585084	0.630718478798	0.619121517699	0.698029770591	0.695323793779	0.673235686728	0.63145047229	0.602887095861	0.66765620844	0.618095245137	0.620542396417	0.672939855315	0.606774328853	0.660673985075	0.683913981643	0.644752939865	0.585505176461	0.623036644657	0.670884632487	0.650463811568	0.643003916194	0.601571125	0.680606399504	0.69235475205	0.641716080154	0.632193063683	0.594239702565	0.625870687509	0.701943295624	0.693942283103	0.642172852496	0.636994868576	0.593486733619	0.639090915404	0.605952250833	0.651136197964	0.635723121035	0.644548781508	0.7169276946	0.655004838693	0.629281373647	0.686869837876	0.667328289577	0.616148655006	0.651001971315	0.720454437969	0.701919660693	0.668300788979	0.667225092976	0.634166431323	0.675850129334	0.647497001997	0.696772016363	0.663788998295	0.719462007047	0.69559357657	0.678767987184	0.697467452467	0.686005089774	0.676240359055	0.708299661409	0.690537125466	0.678117686786
CS.021	0.623424002569	0.631095742046	0.636943954241	0.579399948573	0.652132628218	0.670182211781	0.654303345233	0.584125142059	0	0.601875808908	0.556462007789	0.615996787576	0.506394992111	0.64455818742	0.661866414111	0.598422975504	0.565069274833	0.610037542965	0.61523710139	0.578428602974	0.608947688213	0.581924381494	0.649628793786	0.617433427164	0.647212157624	0.549051750231	0.597105813299	0.665260682278	0.562109415033	0.602089273205	0.556096056637	0.586573116714	0.672671517811	0.581361826243	0.525609261062	0.647843704744	0.642304140867	0.575977297541	0.571149258636	0.610797576035	0.574881927048	0.582362653268	0.587033114654	0.608564359007	0.572991464209	0.54540483404	0.631083565988	0.575114166813	0.573260596917	0.577687597864	0.566002368602	0.581546382353	0.614240372031	0.636280192071	0.629425717061	0.623849873602	0.666066641105	0.637184569475	0.590004309718	0.624661583611	0.647463568255	0.620009554564	0.564556613804	0.585425632002	0.564842191839	0.597577311248	0.564892223708	0.621364234257	0.613248825604	0.569752208668	0.570610600108	0.56751094323	0.598028476155	0.588395709238	0.529836341658	0.664450257698	0.596221476763	0.606774502422	0.669609827864	0.650973563201	0.636020613058	0.604904410468	0.667740354179	0.589054924505	0.628783285695	0.62597529856	0.593740248454	0.656531665711	0.626926074683	0.61914072648	0.621246092362	0.585318806827	0.657258351914	0.608142966288	0.652187158371	0.651659711188	0.622176840054	0.667744611581	0.587964718335	0.592064479314	0.586823515648	0.557381035231	0.63483616274	0.609628407066	0.575812929821	0.584572440047	0.580708187993	0.526117261821	0.631430462489	0.671348508968	0.593585985564	0.60181156692	0.56929937245	0.604449872003	0.592505088846	0.543969977464	0.623373310986	0.605169662497	0.579765371699	0.605009832459	0.55257694664	0.566290090885	0.530326181564	0.586780728685	0.604573191152	0.567411973052	0.555064208697	0.621371230817	0.643914709466	0.557624021802	0.560033075281	0.575320119532	0.563424235547	0.632392882677	0.652206794462	0.585323979723	0.547419900186	0.568561499512	0.635467662985	0.582139917764	0.592613365268	0.599533188166	0.563407249698	0.659145350691	0.561345788536	0.590489904464	0.616201227979	0.602426088195	0.557609203962	0.61202618972	0.638834221441	0.635275576625	0.601086405771	0.617738131898	0.590481990552	0.590362665147	0.597660819169	0.642465821414	0.585342102589	0.672039708765	0.617045821563	0.62925814202	0.608869204399	0.648137562074	0.65093298383	0.652267572482	0.654748960879	0.578433579513
CS.007	0.584589115042	0.626752386627	0.537672943781	0.498418440397	0.530365088283	0.592688681391	0.5188942905	0.677832952758	0.601875808908	0	0.555073720005	0.542422045668	0.635308036762	0.613848487932	0.518233487227	0.500320648175	0.507892436905	0.534626228561	0.741899009227	0.642970004018	0.620021692994	0.666049219358	0.750441071711	0.740740648035	0.724835176201	0.608634577409	0.585650182629	0.755505003651	0.507789788995	0.717429887289	0.60652465219	0.55587296215	0.741322953341	0.655647334921	0.640608598568	0.690087169011	0.695452690664	0.571505744732	0.501016001939	0.542848365897	0.657946337735	0.721672300385	0.684155510239	0.514745281083	0.588339421429	0.573350389788	0.718356702364	0.626027096836	0.604309544858	0.607717177821	0.636710964559	0.617114720103	0.578600881523	0.649469552683	0.651137000249	0.653545177325	0.680693140355	0.728862346169	0.604911810605	0.605629544268	0.643782452246	0.519585102544	0.55620837324	0.651672299298	0.525218118277	0.598189149192	0.547734694665	0.533613114217	0.612977529903	0.534255546664	0.557233313386	0.678108059347	0.523965108344	0.536716287906	0.644135499592	0.51268557916	0.52086816548	0.535496348145	0.541060138403	0.533046811437	0.538836359997	0.482715053007	0.518897646419	0.506647851871	0.524733796056	0.502038645566	0.558568505319	0.594771839883	0.501285491337	0.504703385109	0.577314292953	0.577121229512	0.563218278814	0.607073102699	0.479225241861	0.551785743977	0.568888894381	0.655171746864	0.513028745123	0.574315222843	0.638289162782	0.529429559267	0.69781230106	0.519934664006	0.637114946742	0.645075709096	0.582973035218	0.561112783748	0.505479000569	0.694594623546	0.662025310487	0.684616450047	0.518028658757	0.695587166265	0.671659559941	0.599024650938	0.763282072617	0.631948665782	0.569786047611	0.624955816467	0.563914795289	0.639670000518	0.638356846166	0.518820171209	0.62510765387	0.662264751486	0.638477794599	0.51596391915	0.612385010568	0.635200399663	0.561050387833	0.643007438184	0.608558425232	0.723213718306	0.7680653925	0.532828653831	0.60910202022	0.639897190363	0.665015575722	0.624850082562	0.636336881561	0.611215817885	0.628710488623	0.748459047354	0.553650773511	0.571738839604	0.549707025935	0.566168931349	0.65162898048	0.500098085443	0.508808691294	0.513313530423	0.724973671837	0.591500324277	0.54883920245	0.538931397269	0.515248724403	0.509995842719	0.526599032163	0.537464600821	0.508980346719	0.561155426072	0.499328627579	0.505378809821	0.55485441433	0.506477729019	0.57166113499	0.516844761327
