L.035.M1	CS.093	CS.244	CS.263	CS.354	CS.084	CS.007	CS.001	CS.094	CS.261	L.001.M1	CS.259	CS.199	L.005.M1	CS.105	CS.388	CS.050	CS.063	CS.067	CS.117	CS.155	CS.077	CS.060	CS.287	CS.334	CS.229	CS.153	CS.064	CS.065	CS.127	CS.128	CS.203	CS.041	CS.292	CS.376	CS.378	CS.125	CS.136	CS.213	CS.375	CS.224	CS.232	CS.302	CS.374	CS.205	CS.385	CS.166	CS.129	CS.147	CS.349	CS.348	CS.389	CS.214	CS.177	CS.181	CS.369	CS.178	CS.268	CS.395	CS.148	T.CS.025	T.CS.089	T.CS.052	T.CS.020	T.CS.067	T.CS.046	T.CS.019	T.CS.048	T.CS.059	T.CS.069	TFS.024	T.CS.057	T.CS.023	T.CS.056	T.CS.014	T.CS.156	T.CS.112	T.CS.108	T.CS.123	T.CS.130	T.CS.161	T.CS.139	T.CS.159	T.CS.121	T.CS.125	T.CS.114	T.CS.120	T.CS.102	T.CS.116	T.CS.131	L.024.M1	L.034.M1	CS.103	CS.241	CS.246	CS.238	CS.237	CS.356	CS.085	CS.110	CS.006	CS.015	CS.082	CS.242	CS.087	CS.207	CS.346	CS.189	CS.364	CS.274	CS.228	CS.304	CS.044	CS.308.0	CS.113	CS.330	CS.234	CS.233	CS.311	CS.325	CS.227	CS.331	CS.361	CS.285	CS.202	CS.158	CS.163	CS.194	CS.339	CS.080	CS.223	CS.152	CS.343	CS.322	CS.112	CS.390	CS.270	CS.145	CS.326	CS.262	CS.253	CS.393	CS.255	CS.370	T.CS.026	TFS.025	TFS.027	T.CS.008	T.CS.031	T.CS.055	TFS.022	T.CS.049	T.CS.066	TFS.020	T.CS.036	T.CS.045	T.CS.061	T.CS.043	TFS.021	T.CS.151	T.CS.142	T.CS.157	T.CS.158	T.CS.152	T.CS.095	T.CS.141	T.CS.166	T.CS.109
L.035.M1	0	0.628814824132	0.668271628151	0.568142205894	0.602735776699	0.633522973085	0.570375152309	0.646046385501	0.624923020222	0.565289144421	0.622014933503	0.561121962579	0.593689198471	0.615322327666	0.574980743708	0.644740030665	0.63214216048	0.641244057782	0.668959117696	0.588510169675	0.544388229168	0.577644996883	0.597752425452	0.574346688881	0.609612558855	0.571362556574	0.6140242059	0.625412388607	0.55515521007	0.532155519537	0.587932013467	0.572457475105	0.643512469659	0.60300470821	0.548752156055	0.633154145091	0.531452972867	0.600963934988	0.571131686727	0.518944602303	0.662773056602	0.600063632215	0.636383020495	0.593809143202	0.576072135376	0.585213986376	0.588391387789	0.524037767155	0.549221613689	0.541462048113	0.593973063542	0.532698244769	0.559770905489	0.574336299694	0.558441285176	0.681239483291	0.590928139018	0.612691259242	0.60017539342	0.569468066911	0.511460393279	0.536447743976	0.570517852681	0.640811979872	0.517474060034	0.547234025214	0.58987247981	0.529202545611	0.620828372845	0.528555957444	0.545480835831	0.609865253965	0.680106896116	0.630606884778	0.600358985642	0.545048469408	0.54628971737	0.609535938753	0.486645623356	0.557532754876	0.581901197424	0.597827307396	0.636417550895	0.607088499494	0.516119150247	0.610280044966	0.544362304013	0.603701876794	0.583673950622	0.558637755178	0.589506106706	0.567385870938	0.623009384857	0.612262973883	0.551793200619	0.588162014917	0.60777675923	0.631189994675	0.596759023444	0.610614438561	0.571442442046	0.643202594762	0.616491867922	0.534585605991	0.592305957334	0.59114758463	0.652162529939	0.584501862987	0.635839309684	0.537761585059	0.59853756868	0.642574529745	0.554509114999	0.629920675887	0.57628893807	0.527913320837	0.604519440144	0.63938341366	0.5899539278	0.659725418389	0.694307105031	0.577557331142	0.600222769113	0.644942734092	0.607639411861	0.604316796655	0.602514510603	0.618953183649	0.576776116053	0.575600739272	0.540639306621	0.548589250197	0.515634961501	0.579764027763	0.617415138351	0.555756370504	0.57453061663	0.514285057356	0.527823828566	0.55582729737	0.667424411618	0.625360929384	0.538082953671	0.568109262301	0.627964771582	0.513866071554	0.560405710731	0.531426994424	0.528232713024	0.565775259042	0.5816382526	0.540953601133	0.582488480393	0.572096190909	0.607159215806	0.527206866163	0.521895303845	0.549411147549	0.555803302502	0.562334177817	0.561165953113	0.566536905448	0.546472045246	0.540272998241	0.616842784813	0.587256965681	0.53325225904	0.59013188183
CS.093	0.628814824132	0	0.601802189266	0.539987336592	0.615503627326	0.508937077341	0.547244605745	0.51834649254	0.673241920678	0.497794190126	0.504042488587	0.523678840926	0.601298062652	0.542755528247	0.546842199217	0.722384180466	0.625309032118	0.672054673619	0.748055879801	0.538153097392	0.618265256254	0.570363846304	0.608388416402	0.63896632667	0.727147288131	0.674132803211	0.542204567082	0.562615258822	0.646951928973	0.606665659299	0.6427383109	0.580154498079	0.649397786755	0.600523112729	0.689218273257	0.695866983798	0.704236536191	0.614503560526	0.701923083898	0.654534461801	0.775823503213	0.529728813711	0.75042288077	0.684294348461	0.740610436104	0.66774905668	0.698792613298	0.601125002863	0.6926439805	0.654263379857	0.620961160039	0.67816004378	0.668551179526	0.713817832874	0.662520082547	0.731970680842	0.615658049486	0.672222873216	0.654910748377	0.699188852017	0.588550576611	0.621865796535	0.667565591131	0.515312274318	0.578661001865	0.644728726513	0.628858455938	0.589051424202	0.570696679964	0.615389590168	0.614479565044	0.73318566232	0.736566618934	0.621290386158	0.579222283659	0.565133954774	0.575633149821	0.486732050078	0.59416433737	0.525854522737	0.510422657018	0.487497823622	0.499487394282	0.555470684724	0.582312733636	0.512549289928	0.568250269087	0.545574261343	0.560062767229	0.541072244439	0.578787329484	0.60943285382	0.529742914861	0.534547845778	0.543155262385	0.557027654112	0.624016845823	0.70628813445	0.493133332099	0.610751062034	0.527898319764	0.563027883995	0.474253455617	0.511781879642	0.575163221736	0.677008802172	0.751505404849	0.643912225561	0.731504300141	0.711116424396	0.594344622449	0.698152197633	0.553982950894	0.685711573015	0.578008763651	0.67073008342	0.668103809978	0.529820071257	0.616439074994	0.766213221599	0.78818257126	0.586557438897	0.690225216764	0.734553220726	0.653531494452	0.620773495954	0.616498200365	0.772562014955	0.678127376845	0.603747678442	0.685178954357	0.558222907644	0.704346484241	0.700282918188	0.616083690469	0.687540312688	0.690691511727	0.6259311281	0.642800186071	0.709393396917	0.742820708354	0.664407564803	0.624636683078	0.68096369645	0.726988593482	0.643999233895	0.572267050662	0.658802575805	0.573351415394	0.567273748218	0.528555865275	0.673564362317	0.514347646537	0.505616869353	0.520746472906	0.615300882009	0.639851238394	0.576154051546	0.618876827628	0.557658623022	0.594337332565	0.54848347744	0.537334532118	0.554998887096	0.509056975812	0.605387506183	0.568197041493	0.510557511102
CS.244	0.668271628151	0.601802189266	0	0.606956059403	0.588295086261	0.602531813381	0.676538342872	0.633439720884	0.711752090418	0.650151096393	0.577706383445	0.655892413188	0.644174712416	0.661084268953	0.660747929961	0.750565954327	0.596279612912	0.664099090765	0.720701626366	0.624513350933	0.712136766892	0.649562727958	0.625178339798	0.704298505452	0.735554898108	0.721489203309	0.617387742588	0.641315438043	0.718910118329	0.695274259019	0.697668670977	0.687010583772	0.676026025416	0.673513343789	0.730426513043	0.648783586055	0.738808595499	0.663828655128	0.729035309584	0.694202310372	0.772240088393	0.635186776856	0.769219025338	0.706308103449	0.781858657961	0.721829827605	0.735963649771	0.621132156758	0.7161954895	0.712982009257	0.721244499093	0.718952928286	0.717829569437	0.720382737715	0.708583019877	0.73956133813	0.67785430545	0.683021974465	0.700022428467	0.702634830703	0.672583742863	0.71351095626	0.731396270345	0.636978258628	0.664241744117	0.698297499523	0.650860797309	0.644789950892	0.567581524121	0.71970294483	0.712780083884	0.75498523411	0.755097386206	0.60466556469	0.662224120215	0.642702588694	0.661470942496	0.658600626814	0.631686882518	0.648537371039	0.601904075986	0.662649470391	0.626910937857	0.698633826409	0.649347259674	0.574951748442	0.654278397102	0.648670259712	0.575055086442	0.681665148664	0.635049522471	0.637973158821	0.629868790159	0.651360588902	0.642865836815	0.636586261455	0.659267462666	0.715356863333	0.589427671337	0.650505874128	0.607812825098	0.642101809161	0.626062214953	0.629301778608	0.621725419759	0.688757740756	0.753475198568	0.673960864776	0.750774607524	0.740253009312	0.623968486774	0.718195770906	0.656999311309	0.689052075909	0.655067970647	0.700608288622	0.709616224244	0.588450913274	0.677193505464	0.761485240133	0.780235719256	0.673891681017	0.712998997996	0.749391820632	0.703267984535	0.640622462094	0.632986766853	0.784903119674	0.729409499014	0.643272447345	0.718900128457	0.680946605348	0.741896045152	0.754203643787	0.636912278068	0.714337069713	0.711238916043	0.720374387816	0.685607547811	0.710914767394	0.727559821824	0.679401476596	0.699021059071	0.713252116588	0.740755688525	0.729295571418	0.697266307778	0.717122485385	0.642451969519	0.635948299579	0.67564328206	0.719447921783	0.649346456054	0.680982054281	0.59085847062	0.673817570494	0.710142472591	0.691851219051	0.682997019056	0.644225361824	0.682813836676	0.618865765505	0.663050564446	0.664244575604	0.650844019576	0.642195837822	0.689413597157	0.658022698504
CS.263	0.568142205894	0.539987336592	0.606956059403	0	0.599976588872	0.556637473975	0.554695400827	0.53255690364	0.658804383767	0.521814769884	0.535153514513	0.551874851486	0.581014158683	0.56312738353	0.547795427515	0.714337935635	0.61871726562	0.655241622807	0.728381128798	0.559388284319	0.573416987519	0.549824131614	0.59334598156	0.60629456917	0.684016472956	0.622685828735	0.558389847304	0.552981706494	0.590022452957	0.535904474989	0.560078467947	0.534186019973	0.638526783832	0.571918975596	0.653532894964	0.656811269964	0.624679585992	0.587872987424	0.634916072077	0.563438372903	0.745907321067	0.53444520069	0.723217358117	0.613523596452	0.67091315383	0.581643135433	0.641916174827	0.554901123592	0.618624917544	0.574479033504	0.579211069991	0.605329786387	0.624815535798	0.639510163049	0.61236598997	0.693797283305	0.577974872943	0.610484105809	0.583308627615	0.647899627516	0.507708900924	0.553725405443	0.605848477555	0.579569673065	0.546972027316	0.570662136183	0.58632423751	0.565053123268	0.568310838882	0.570497359404	0.572251582536	0.691130128038	0.743141670335	0.60629122215	0.569684722358	0.523821200661	0.552324679281	0.547205785238	0.530063333643	0.463156928847	0.540978110861	0.55470580129	0.558526240999	0.560513330779	0.56929019459	0.541700130337	0.555899993643	0.552693666709	0.538898899069	0.533851924936	0.590861500009	0.546898501082	0.570784311415	0.557585171366	0.512998696615	0.579701607617	0.623216623456	0.679117835791	0.523452687868	0.605374016173	0.555035243964	0.580082364515	0.539140293051	0.524890418462	0.614816036449	0.629990967842	0.736962778045	0.61230500823	0.67605852213	0.640477043109	0.574406380612	0.680838620979	0.536521397977	0.647818023036	0.57069716609	0.598651782646	0.650608793515	0.54902240123	0.577123970839	0.71988434323	0.763965225573	0.509056100179	0.634841241141	0.697282324646	0.642862568735	0.612310472077	0.610317596455	0.721097837624	0.655591471478	0.573024809642	0.621019938635	0.510320842134	0.637574725734	0.651141348564	0.604096785498	0.619951598571	0.622249048993	0.546909005143	0.581479751561	0.631484985706	0.687923214281	0.62116460753	0.574525203523	0.606517570476	0.701948063203	0.593546191651	0.578833903253	0.618058929726	0.564983425303	0.5458606773	0.539782253126	0.64158397352	0.545091503768	0.535101807945	0.553996460002	0.569955631176	0.588483398427	0.574286272534	0.584623370277	0.553210728264	0.61782140189	0.572762397201	0.515342286232	0.539317771843	0.550898959135	0.591180228974	0.545947886692	0.534347890262
CS.354	0.602735776699	0.615503627326	0.588295086261	0.599976588872	0	0.616223790371	0.613848487932	0.663440825488	0.614435371931	0.614930482998	0.622092386177	0.598831067724	0.604379462418	0.608189579564	0.608365644186	0.672865888139	0.615929114863	0.648377448829	0.684283581475	0.57188400525	0.66710852163	0.61249449952	0.608442442952	0.658239894245	0.698337591981	0.661203844694	0.614301759171	0.639674768387	0.655815954825	0.627232255857	0.613314520906	0.607500225536	0.622548580848	0.629601118785	0.638991386262	0.62513711069	0.664188001184	0.628486586621	0.646175577875	0.610969599277	0.71441340937	0.631419655243	0.700476670249	0.647077131395	0.707602223812	0.695961784704	0.693077332071	0.596876547525	0.652611312132	0.679260123098	0.675404411864	0.679006331474	0.639859464406	0.66471286166	0.649691031141	0.693456193813	0.648855147057	0.665886160356	0.669736590255	0.657563115435	0.639986605996	0.649872667167	0.673304943415	0.636413485007	0.588113868697	0.64738252418	0.600397344067	0.591588274939	0.611709785288	0.655027886427	0.59776535067	0.664564684573	0.717402866838	0.570832781429	0.64139239692	0.584471100317	0.580956750393	0.649535483329	0.607409025657	0.611370842489	0.616338497369	0.641009838607	0.659976850359	0.645293900801	0.593377036798	0.590586478225	0.587674343695	0.61931554565	0.572235744204	0.630956104323	0.592529057094	0.58362326001	0.611858978652	0.606679723849	0.60948733681	0.6091560555	0.619582184048	0.660598882752	0.607807980341	0.626442701598	0.575246591332	0.576286332233	0.633087026233	0.591580368853	0.576796328844	0.66961302458	0.711348196681	0.661728545689	0.699668480818	0.675925803598	0.58812485099	0.690915092716	0.577660675983	0.649094052454	0.555846401104	0.647837852972	0.679171549801	0.601406734027	0.578779388131	0.719547474116	0.747124963702	0.646994957412	0.610239976353	0.697097928971	0.623806567275	0.59506746127	0.61632334387	0.717935496797	0.630055469344	0.60837384776	0.669646188822	0.629603395452	0.669168626075	0.671459826888	0.590492416385	0.663612534486	0.649356400935	0.636266092348	0.642005181373	0.609742909627	0.709386524697	0.618719868104	0.640455450353	0.671229081184	0.688903440097	0.623403804608	0.609513652465	0.601977568725	0.550190562508	0.581757623161	0.646441656039	0.640233668481	0.616132802115	0.638877662758	0.605859224523	0.609126070264	0.635342610559	0.610197420244	0.592958020235	0.580955888537	0.5746362591	0.540771212984	0.620005083104	0.622182186948	0.630133929382	0.542552361799	0.611697497904	0.635634150854
CS.084	0.633522973085	0.508937077341	0.602531813381	0.556637473975	0.616223790371	0	0.584589115042	0.518740537919	0.713074316573	0.565071393008	0.519360703485	0.570740716073	0.602095386027	0.6099048282	0.505492228904	0.727125033744	0.598860098142	0.630126111894	0.712504894138	0.531609738997	0.581631909214	0.581804936724	0.585546015913	0.631747123086	0.70202573491	0.64835289112	0.506401210238	0.55013870904	0.646975647857	0.611103784034	0.637486230106	0.622969362187	0.589116664715	0.569490160431	0.669425020405	0.672961459278	0.683980655451	0.567376407168	0.67952526059	0.647502538598	0.763697357741	0.506160480301	0.731043991296	0.659568335551	0.724500135555	0.631723906979	0.669633656982	0.60291796041	0.676552600617	0.625991060469	0.600800318121	0.649772206105	0.680782848066	0.698878347195	0.633573691732	0.701184253991	0.621420840868	0.64634578824	0.606698800781	0.686966340717	0.59733863519	0.601206974863	0.652137435487	0.555075504414	0.596012447699	0.644833831991	0.628927857126	0.611494672366	0.549793860022	0.609090911312	0.61727307267	0.711581766336	0.730450949639	0.620307923382	0.586399780305	0.601128796112	0.612793285842	0.568214339489	0.619905323886	0.576873822504	0.530684352615	0.577475497715	0.563603931031	0.600641774651	0.62171891541	0.542172274445	0.593202024719	0.618872486416	0.574544451098	0.594401728424	0.635089004629	0.598294703109	0.54376959644	0.566346601495	0.577317706889	0.568822182243	0.587137778649	0.699212608761	0.444795197456	0.594200319573	0.555213030262	0.625111355851	0.486500095304	0.540476812934	0.617506501665	0.680095763524	0.720949380679	0.629639957168	0.720013008021	0.70177504253	0.547602227686	0.702586561064	0.575072379782	0.652546471397	0.604524590106	0.658905914363	0.659353039573	0.498204377879	0.622907103714	0.757749262161	0.769445982722	0.574835194211	0.683389969946	0.71828627866	0.66903960477	0.579848512644	0.596922650017	0.749124792842	0.670511973763	0.558794373231	0.658470370209	0.56190335014	0.695215348871	0.696855760825	0.554057422326	0.663826941397	0.671442616619	0.620400596764	0.622384824982	0.66410167126	0.712118241538	0.650969883678	0.616164350806	0.650973166672	0.703646801208	0.651937793673	0.612464907588	0.663916724868	0.587047124815	0.598172851204	0.570137900911	0.672665397661	0.575882382483	0.546366769113	0.512705726273	0.615272875695	0.632296274538	0.623291115371	0.630612281233	0.630143196237	0.666945802962	0.594863881964	0.580878564234	0.588142286733	0.584767832027	0.643545835095	0.603552411521	0.568042455588
CS.007	0.570375152309	0.547244605745	0.676538342872	0.554695400827	0.613848487932	0.584589115042	0	0.565585648395	0.626752386627	0.476045206743	0.594483615694	0.498712539994	0.618714162787	0.530365088283	0.504734815642	0.699968888096	0.676748196493	0.679393224241	0.724835176201	0.563402309668	0.571356670362	0.531347451399	0.620021692994	0.621421275346	0.679113343027	0.608974661385	0.585650182629	0.584774580926	0.562414384553	0.513819496994	0.55587296215	0.505717753422	0.648220091819	0.571505744732	0.640608598568	0.690087169011	0.625691803084	0.60652465219	0.65136526046	0.588339421429	0.741322953341	0.542848365897	0.721672300385	0.657946337735	0.684155510239	0.636710964559	0.651137000249	0.605629544268	0.626326783596	0.617114720103	0.604309544858	0.616439585113	0.604911810605	0.653545177325	0.616703352446	0.727971421239	0.578600881523	0.649469552683	0.629420350086	0.672312285008	0.548146343413	0.580940685808	0.644135499592	0.568047318813	0.535036116213	0.611885101703	0.613700208564	0.559738103762	0.643782452246	0.55620837324	0.543555393939	0.69539867031	0.755378006104	0.638498585178	0.598189149192	0.52219896333	0.529602917183	0.527329880567	0.506647851871	0.482715053007	0.593064078842	0.541060138403	0.584575434305	0.535496348145	0.53424419874	0.596078894283	0.528562652653	0.518897646419	0.580124074895	0.512657049702	0.551785743977	0.577121229512	0.568888894381	0.479225241861	0.519934664006	0.513028745123	0.637114946742	0.69781230106	0.574315222843	0.638289162782	0.529429559267	0.563218278814	0.577314292953	0.524773465153	0.607073102699	0.695587166265	0.746139380358	0.662025310487	0.714629570505	0.645075709096	0.631948665782	0.694594623546	0.518028658757	0.671659559941	0.530066672606	0.632176840549	0.665631177835	0.601839793763	0.555032798282	0.756428420335	0.7680653925	0.561050387833	0.643073301446	0.708227083503	0.612385010568	0.643007438184	0.650674663718	0.723213718306	0.62510765387	0.608558425232	0.620231805536	0.518820171209	0.635200399663	0.662264751486	0.639670000518	0.611215817885	0.636336881561	0.532828653831	0.628710488623	0.639897190363	0.748459047354	0.665015575722	0.60910202022	0.624850082562	0.724973671837	0.553650773511	0.515248724403	0.571738839604	0.526599032163	0.538931397269	0.509995842719	0.65162898048	0.508808691294	0.513313530423	0.591500324277	0.566168931349	0.54883920245	0.549707025935	0.557862880099	0.505378809821	0.57166113499	0.561155426072	0.508980346719	0.516844761327	0.537464600821	0.55485441433	0.499328627579	0.506477729019
CS.001	0.646046385501	0.51834649254	0.633439720884	0.53255690364	0.663440825488	0.518740537919	0.565585648395	0	0.704634040903	0.49055799972	0.531376695837	0.560284882463	0.621634031197	0.574830083364	0.538316320217	0.766126301954	0.64339426343	0.666218414243	0.762299403502	0.590623375863	0.544829511393	0.585344519777	0.610756027516	0.621475927753	0.704779920996	0.671408484998	0.57680782936	0.560523708453	0.632037770884	0.588435570711	0.603789707674	0.588698324667	0.648006178704	0.578050804428	0.681829427634	0.706983464557	0.674030764903	0.60570911331	0.698115576217	0.677881237474	0.781933689226	0.508482965645	0.751380382352	0.666145578132	0.720868313458	0.614929477718	0.673811957398	0.615491669562	0.665007533604	0.611499453045	0.563412322756	0.659374875642	0.673709415173	0.714100426761	0.618612741016	0.722290235907	0.628088440294	0.65317907594	0.623081080338	0.689363851445	0.602310356156	0.622151965021	0.654490830514	0.520004644174	0.612729679255	0.655756137216	0.650204548307	0.618035757692	0.59527985664	0.624623363073	0.639303857929	0.755634924581	0.795987320252	0.684154710412	0.557815638604	0.577816977303	0.614020888326	0.509825344102	0.60137613344	0.52531642016	0.524641582826	0.525998379271	0.500307652679	0.559535203479	0.605395531839	0.550879883378	0.594948212661	0.580900707924	0.577572158497	0.529677230233	0.625865526517	0.579029659441	0.541435139775	0.530406374724	0.532325036934	0.590820253969	0.626996643004	0.744975457408	0.500663375622	0.631644661562	0.546823038876	0.604748749103	0.511853520974	0.524988322665	0.633441404658	0.665547643926	0.766615257341	0.645745114358	0.727202580642	0.718999181385	0.599908917708	0.699237016702	0.598036219785	0.686088312203	0.634329651574	0.658528220419	0.682146874445	0.536218077393	0.647734114	0.781197737009	0.796606999685	0.512947997101	0.716023683297	0.719799406415	0.711928567775	0.622501419917	0.641367432177	0.783076124428	0.701624469625	0.593372050134	0.666783206586	0.527316994945	0.680549309794	0.702464619582	0.631944433135	0.645624008961	0.666546232366	0.61555273439	0.625906094122	0.688906979566	0.739141813304	0.670982744894	0.585500288331	0.645448800794	0.753683072977	0.66109902598	0.625574870913	0.691342967162	0.608618462787	0.577531245963	0.521624234362	0.68770499249	0.541796077957	0.511883602289	0.54570337512	0.642078099773	0.666240023652	0.620593353502	0.641163077382	0.602890441718	0.673635543699	0.618130160211	0.527751086407	0.582849508655	0.540938154935	0.655033665118	0.55676545111	0.508698060087
CS.094	0.624923020222	0.673241920678	0.711752090418	0.658804383767	0.614435371931	0.713074316573	0.626752386627	0.704634040903	0	0.670371614834	0.7034771521	0.619060777587	0.620396210349	0.633085207976	0.640933164474	0.636845113345	0.67966699463	0.669733115988	0.725070848211	0.649127375058	0.691964152643	0.635305565789	0.651494852432	0.70361316487	0.710180935301	0.641729185799	0.667282539599	0.663912035691	0.610145718928	0.617650477209	0.633698024605	0.600366891436	0.638433081308	0.673059660911	0.647691686767	0.69208915245	0.648964509812	0.65153170828	0.66750181967	0.595992968479	0.73637959405	0.689577563285	0.699710243012	0.671919182107	0.669008277823	0.697260427558	0.731190675862	0.685528505866	0.673774444846	0.694756250742	0.701689954593	0.674622301236	0.63454070857	0.686435250392	0.681304633077	0.731101878123	0.664086434671	0.71641370938	0.705809655263	0.702379009569	0.65255651829	0.643831903824	0.662665623546	0.719721268248	0.606749048783	0.628381579912	0.629053675561	0.612925783979	0.697171141157	0.642406625136	0.604224812135	0.665411299982	0.720433260271	0.634298674719	0.639381085153	0.580291801528	0.570204090398	0.68536978773	0.612200192875	0.658591444504	0.698443409572	0.665071916074	0.737589889848	0.653194143434	0.595795650509	0.691179117108	0.608632163091	0.65718696277	0.677903551147	0.640241441544	0.631671604632	0.607325158115	0.659233127527	0.645541331247	0.643910919064	0.640455745596	0.674535363916	0.649004495617	0.685929345243	0.67683794803	0.570330486981	0.576589014999	0.69960818966	0.629743226837	0.56576734959	0.698551133758	0.710812484546	0.698393515296	0.69130859948	0.659483734804	0.667734080046	0.681989381408	0.586080492541	0.636642158832	0.588795701507	0.649541074735	0.690341513476	0.709214911758	0.548261390325	0.730746562032	0.724550773186	0.689297789226	0.612454054987	0.667728706664	0.638949107739	0.635653213233	0.64160218117	0.721033248542	0.615543505847	0.613716720355	0.663495170553	0.636079613252	0.655395277987	0.685140244369	0.636177635468	0.676394105583	0.695670079916	0.625220480496	0.665707245144	0.659390828302	0.751593280515	0.655252835271	0.678336651516	0.685389182679	0.716127494452	0.600089091675	0.620624999644	0.578654240333	0.619603388946	0.592966014364	0.648879072203	0.652498203789	0.652355070831	0.636758792643	0.684992710962	0.635268999012	0.611465784927	0.582827238956	0.635541679384	0.606211123892	0.560233191292	0.604560852798	0.630089968742	0.606083491743	0.670370107836	0.593560855512	0.606541579052	0.654593435604
CS.261	0.565289144421	0.497794190126	0.650151096393	0.521814769884	0.614930482998	0.565071393008	0.476045206743	0.49055799972	0.670371614834	0	0.535509284638	0.461411330678	0.615449263592	0.481881441163	0.491309561126	0.712868098902	0.673891596353	0.706517853782	0.755946156697	0.570375378954	0.508148490018	0.555812618515	0.615095107133	0.607186575873	0.690708334465	0.640073786525	0.579466250806	0.571915753306	0.59280404156	0.533128542702	0.567020928698	0.524849026376	0.671419355701	0.594010887952	0.641578027766	0.701281427711	0.650026751358	0.626186940475	0.686882116975	0.62281200844	0.75095069792	0.535440492768	0.731915718775	0.666914643421	0.681142434172	0.642754857581	0.670463599372	0.58826191901	0.643900155678	0.601244157722	0.565064555089	0.644757943952	0.625290439736	0.668572470474	0.615404201146	0.743128702745	0.562694379427	0.665096169895	0.62938406921	0.67130549369	0.522790314397	0.560036914406	0.61623124162	0.469305563285	0.51689788211	0.617296621497	0.623826914315	0.512374460869	0.614595937817	0.535891513004	0.550525858478	0.70968443305	0.756009192308	0.630844195854	0.541701877717	0.47946304849	0.512139152001	0.403576623605	0.509244326311	0.411928291442	0.513344080693	0.45428585335	0.477473486571	0.483399199796	0.519093642702	0.513930150427	0.493854079728	0.498751294319	0.559066013433	0.435948098755	0.543752577749	0.56682795362	0.54529703333	0.467918305707	0.484684838303	0.560919325882	0.668350809315	0.695474227463	0.526180203405	0.637530738902	0.537829684745	0.57550605518	0.531190047929	0.450719724763	0.614294025458	0.684998164424	0.769127088281	0.631250337202	0.723881862366	0.669337536288	0.625225449576	0.694101220701	0.537831703384	0.700621603641	0.535824649219	0.631467774094	0.670652982433	0.59654357319	0.598903984563	0.759168650549	0.794261194978	0.549974958651	0.671942001461	0.745832673254	0.636621345053	0.65820840283	0.663268758166	0.744904334743	0.642082717249	0.605505609708	0.641023755058	0.489940977743	0.650856605647	0.676978940658	0.649687824802	0.650438168035	0.649763299232	0.562510996776	0.612955946508	0.657402000411	0.745963036413	0.670767440846	0.571597340837	0.633697705337	0.713482224678	0.569631745288	0.489212081618	0.569280197451	0.511280034602	0.506820680179	0.446366446324	0.65264670944	0.474622634249	0.445898776696	0.540943416318	0.54525751286	0.56380664533	0.523484910655	0.547592859635	0.48703014761	0.55424064956	0.520367834134	0.437324063138	0.495062000328	0.459838475378	0.535310198058	0.482145120634	0.445667995597
