CS.039	L.008.M1	L.001.M1	CS.108	CS.017	L.005.M1	CS.022	L.022.M1	L.012.M1	CS.245	CS.019	CS.293	CS.010	CS.263	CS.257	CS.381	CS.149	CS.388	CS.064	CS.154	CS.365	CS.305	CS.334	CS.063	CS.118	CS.290	CS.248	CS.155	CS.067	CS.040	CS.224	CS.375	CS.213	CS.232	CS.205	CS.380	CS.128	CS.292	CS.374	CS.126	CS.302	CS.376	CS.282	CS.203	CS.136	CS.181	CS.348	CS.395	CS.323	CS.268	CS.148	CS.359	CS.147	CS.349	CS.254	CS.369	CS.385	CS.178	CS.214	CS.129	T.CS.080	T.CS.042	TFS.024	T.CS.003	T.CS.025	T.CS.012	T.CS.085	T.CS.016	T.CS.079	T.CS.020	T.CS.057	T.CS.046	T.CS.004	T.CS.059	T.CS.040	T.CS.122	T.CS.144	T.CS.115	T.CS.130	T.CS.119	T.CS.118	T.CS.092	T.CS.120	T.CS.139	T.CS.178	T.CS.156	T.CS.129	T.CS.117	T.CS.131	T.CS.123	CS.246	CS.088	CS.242	CS.238	CS.110	CS.087	CS.103	L.024.M1	CS.085	CS.006	CS.241	CS.237	CS.356	L.034.M1	CS.015	CS.274	CS.164	CS.387	CS.188	CS.233	CS.338	CS.304	CS.325	CS.347.0	CS.191	CS.311	CS.189	CS.113	CS.364	CS.234	CS.194	CS.343	CS.331	CS.080	CS.202	CS.227	CS.163	CS.361	CS.152	CS.339	CS.158	CS.318	CS.321	CS.322	CS.223	CS.393	CS.270	CS.255	CS.326	CS.370	CS.262	CS.145	CS.390	CS.253	TFS.020	TFS.027	TFS.025	T.CS.049	T.CS.036	T.CS.066	T.CS.064	T.CS.026	T.CS.043	TFS.021	T.CS.008	T.CS.031	T.CS.055	T.CS.061	T.CS.045	T.CS.141	T.CS.109	T.CS.095	T.CS.166	T.CS.157	T.CS.158	T.CS.152	T.CS.151	T.CS.142
CS.039	0	0.640879516093	0.602450957752	0.604894965582	0.442619063247	0.618996103156	0.574535226023	0.633655580693	0.594534151908	0.576027485734	0.551769336475	0.615675295748	0.621258680558	0.577164703178	0.568218493056	0.612717830905	0.616295904233	0.69957120396	0.598959908595	0.701334551234	0.591485173884	0.623989030104	0.665361423369	0.622889652601	0.556281052347	0.660501459354	0.621760096887	0.638409430561	0.680992736035	0.596691750534	0.729092615695	0.624627004369	0.631309818651	0.567852318584	0.682372128268	0.633268673928	0.622162500569	0.583116799241	0.629844703051	0.615131780952	0.685251946767	0.627333912961	0.676308127227	0.603994284766	0.580193697938	0.634320092019	0.646849690559	0.637743037642	0.652399435472	0.645727980622	0.653304043009	0.711034194348	0.638657428699	0.638233978466	0.642941447647	0.669519061732	0.661695952784	0.640711301753	0.648537695595	0.574808835396	0.631563906703	0.604388646728	0.607345938271	0.623314585366	0.616416772714	0.677015462655	0.605478744928	0.60537315577	0.660604049639	0.640082143464	0.672775032	0.607906512485	0.621574842555	0.584031447151	0.592861075755	0.628302682881	0.606354424317	0.630229797759	0.61106669121	0.626538286721	0.603895529817	0.645449337871	0.592864795123	0.631103222135	0.612408276882	0.606738324493	0.627449493907	0.612741954972	0.639552956088	0.60081442152	0.614766859098	0.623566418477	0.595060155023	0.574729492828	0.580268951832	0.573118372378	0.520356090524	0.638106994416	0.550904459454	0.545936640922	0.583624124907	0.564788289409	0.674149947274	0.565793394042	0.575941439962	0.668711634567	0.616941622305	0.598227200636	0.683894851719	0.569328875012	0.613704255186	0.667549124593	0.743030026051	0.65718331654	0.611059122742	0.566757634562	0.646600323085	0.560614736486	0.676243808404	0.664406886692	0.720584001545	0.652816343861	0.607426195825	0.580202639425	0.65601482199	0.734025752339	0.584198058123	0.637976015107	0.601728189431	0.656399799504	0.567234620691	0.634910507759	0.605310753059	0.673390833508	0.655317480719	0.634074922305	0.652608863894	0.638425751948	0.643141614314	0.645905059742	0.631312073376	0.62705440583	0.646281608054	0.68242520039	0.621956318647	0.599017938447	0.625343315433	0.651475737951	0.581321295328	0.629196227398	0.582522673955	0.697268751079	0.634230644324	0.628742941503	0.629141944146	0.589025586853	0.604207909807	0.618084024113	0.603606677084	0.609059680671	0.602065543265	0.619399996489	0.63801201554	0.597710691319	0.619441932983	0.605870405054	0.616116400342	0.626156113001
L.008.M1	0.640879516093	0	0.661160222307	0.705113644714	0.662833772577	0.66082325362	0.603502083549	0.680453685214	0.626198341892	0.613230329239	0.651108684527	0.691732851957	0.710954933054	0.636648285631	0.647476108654	0.637763044448	0.580786063668	0.678528772086	0.678919696093	0.694195756114	0.625991098687	0.655684888847	0.602685613442	0.653829533965	0.63888203573	0.559504687658	0.610568582527	0.582071668787	0.641007001848	0.684414153479	0.620704510759	0.60350184504	0.55984756321	0.645000802593	0.570435984341	0.630723296672	0.622719339351	0.644542283772	0.602446646202	0.616701998963	0.642064406068	0.569605284867	0.569179921925	0.650113486891	0.604283617383	0.592438685239	0.607634834239	0.649827562998	0.593163239928	0.639320428904	0.599907759035	0.618810269056	0.554508453971	0.595297912668	0.605361189111	0.666565747061	0.611240634702	0.665741369557	0.64014779235	0.604424211844	0.613745673074	0.65124727159	0.607586757062	0.651725880887	0.605648519747	0.6834161537	0.620113830865	0.636298318802	0.557688504677	0.705494991175	0.630050632831	0.575810791802	0.577204253582	0.642421351135	0.674089049268	0.640389302925	0.66307806395	0.692687295696	0.656022344996	0.681521220227	0.558585537163	0.690152193533	0.616400256057	0.65376943426	0.662802157979	0.660118589365	0.698134173062	0.64419997621	0.655471453037	0.590185069923	0.633592434403	0.675500667346	0.639483916587	0.610344824463	0.605548065154	0.624256157849	0.653935625409	0.659590838507	0.628212181565	0.620914754852	0.683103985407	0.59401932232	0.635371674069	0.622532170925	0.681121030704	0.552470548115	0.668422082182	0.557482743838	0.635993083165	0.683108079353	0.595546409642	0.673274484946	0.629268897846	0.576876040327	0.680380877326	0.636530787847	0.634373660878	0.651940920127	0.620942041013	0.623256308385	0.586087776646	0.550296829783	0.616633111053	0.606420742749	0.666132628528	0.674702477709	0.626577765451	0.626096011145	0.63963945218	0.595782665259	0.584721170166	0.52328665386	0.643374148192	0.563477625451	0.573080763939	0.666128488592	0.609594129297	0.568641820512	0.563734161097	0.59602506446	0.575918761215	0.613032148233	0.57015702913	0.674463824301	0.662735849057	0.63820255084	0.562940532627	0.515975162519	0.672947650971	0.669964635643	0.627072731845	0.641437588633	0.649078695133	0.637467875783	0.613012490204	0.634821376362	0.638151975099	0.590886240773	0.643629106129	0.656500318663	0.671303557009	0.68509711587	0.654006511818	0.637566773588	0.654103500472	0.653931913622	0.636603259274	0.617338112529
L.001.M1	0.602450957752	0.661160222307	0	0.55729748026	0.598964373308	0.59810173766	0.634423624686	0.520089869725	0.57462813063	0.586270095823	0.604707766109	0.569719276502	0.647190526875	0.535153514513	0.572488394957	0.556781440363	0.634930510603	0.735550694331	0.556580407322	0.751960536939	0.586941254001	0.553805430578	0.702162369861	0.651330699125	0.5605505066	0.680005942075	0.634717963657	0.591845377509	0.73632704827	0.562558238848	0.775295119672	0.639977047506	0.693895290837	0.544775225116	0.727744139296	0.568072988554	0.623262286791	0.608106307554	0.660939171832	0.58534919516	0.740557986723	0.670727978769	0.692350143051	0.587038440064	0.60560327603	0.644883717078	0.61053251134	0.632518760094	0.657975131905	0.644374323124	0.673505448084	0.732784993023	0.69210209431	0.629254031008	0.665222855706	0.711287149179	0.651190721145	0.590020555672	0.683448605071	0.603158351577	0.653366890065	0.525621000989	0.608514798823	0.57490373919	0.57039264369	0.711372455112	0.588638817437	0.586175831798	0.693764444963	0.546837842529	0.720234561567	0.630240472544	0.614007132145	0.542459096749	0.56147414716	0.574548963408	0.59142691884	0.540373204813	0.556248335172	0.543707483595	0.597584997487	0.57267144018	0.602697798496	0.572303878399	0.536952440848	0.57937209866	0.585152825478	0.581240878617	0.563875584832	0.586587253944	0.550884137829	0.689629663299	0.53354295873	0.595915393342	0.62384332867	0.621401851026	0.562166974944	0.618568900937	0.52084851022	0.593881515155	0.605593563603	0.634837241272	0.711752532283	0.616225301061	0.618992973152	0.694748900453	0.691187746003	0.627674792088	0.709926872352	0.570041910648	0.584370436669	0.690322463637	0.738000775161	0.698737926064	0.546113713174	0.62788388828	0.631833017493	0.620811743212	0.721399142898	0.660798930304	0.751941519834	0.696941969939	0.581509345828	0.620862936475	0.646991341443	0.796572635457	0.627655975878	0.685457018756	0.56882468228	0.681960193853	0.601868770485	0.667758493996	0.586906489548	0.692730994377	0.665172590416	0.650368906401	0.663200343147	0.608917291121	0.624858333167	0.663127984644	0.681622414666	0.631978897485	0.665326649783	0.693526335938	0.561215806274	0.597643568172	0.645560539223	0.658213717343	0.531063606562	0.578663832347	0.582714582268	0.695850256277	0.595403697364	0.630617795989	0.634672491922	0.593661989089	0.602948114375	0.632585997283	0.604014592326	0.612368927687	0.578170085755	0.574499206362	0.589199915581	0.592583274391	0.573155563955	0.566536613092	0.605413279214	0.63109955491
CS.108	0.604894965582	0.705113644714	0.55729748026	0	0.601317793571	0.642677558933	0.610622475144	0.542712455264	0.61134751943	0.67180162531	0.602945211335	0.611774455252	0.665137615328	0.555457302569	0.618188283886	0.611172303843	0.661095067986	0.780339304391	0.566606949398	0.772073737393	0.624784724268	0.587708848908	0.73475526413	0.639549509142	0.596384153532	0.712421779138	0.614994796992	0.605540282641	0.762057888521	0.58087556987	0.780521028466	0.69575735881	0.7034105504	0.563858788711	0.754435078122	0.635784201329	0.636381270632	0.601060523443	0.688588316297	0.621742091082	0.74413600824	0.689459800679	0.706344858219	0.650741300102	0.61955417632	0.652583023931	0.590171914128	0.647676103888	0.656151172534	0.661103653651	0.721245348025	0.718154022571	0.690989720148	0.653229826896	0.687604268776	0.718455294008	0.646633553129	0.66240047635	0.685027327692	0.63637519464	0.745403394436	0.598577048646	0.672863270322	0.625546902265	0.63771651641	0.764606170791	0.649069572882	0.654493832772	0.739437220528	0.527876846947	0.771568778753	0.6941942768	0.699312172277	0.581061701963	0.578130185454	0.596164939936	0.641650161272	0.569117925187	0.587422577764	0.537091790014	0.64741878088	0.631698584412	0.645051942006	0.599167503362	0.546226235289	0.640265015279	0.610259096263	0.608922012598	0.620124607003	0.641619313975	0.597846485898	0.707689012166	0.58212073651	0.612874635896	0.656434132582	0.656863651879	0.541489440763	0.648391242419	0.539053443715	0.59855774507	0.56261165017	0.638700342033	0.744868203239	0.646801862211	0.629769912551	0.73789037129	0.692144184932	0.692764869719	0.741246304081	0.548478879519	0.618383453145	0.703149294509	0.799549498753	0.706839967616	0.614073957395	0.670009493625	0.641205536784	0.628258313535	0.749798421631	0.662539264143	0.794081890016	0.700565052191	0.557349938676	0.616123529981	0.710815808917	0.791148019637	0.626054485675	0.727123513557	0.593871496403	0.700599722406	0.623309530314	0.696518266702	0.621056109912	0.735841279714	0.68316904869	0.685806889258	0.693527965942	0.634953383515	0.643846218538	0.684903895609	0.713799002089	0.655851877472	0.670546137065	0.732181433534	0.572256751006	0.681137539211	0.717202328437	0.721349586171	0.532379150975	0.599751102397	0.632346042665	0.747437092106	0.66646115203	0.682027830075	0.734897893353	0.644496561173	0.621592454437	0.704235520283	0.666140650246	0.686151559378	0.601302677232	0.608237505542	0.634117877209	0.641204845789	0.610255465434	0.616854368196	0.679283028435	0.719891352164
CS.017	0.442619063247	0.662833772577	0.598964373308	0.601317793571	0	0.576144335769	0.614451820094	0.620632819903	0.565802189073	0.582744495369	0.529978519795	0.553701036404	0.673764574041	0.563948884652	0.586321968735	0.60025420091	0.646343515117	0.707543816428	0.585991121312	0.735297748279	0.564872357266	0.592920016077	0.687137645118	0.672533630778	0.566719798311	0.679628333711	0.656345986549	0.635844266913	0.736637012365	0.568322302189	0.747324431172	0.629816947481	0.667324729668	0.601261327705	0.706554622154	0.60753043162	0.621781504558	0.616265031303	0.664223398401	0.616688159801	0.722477341979	0.678211234635	0.698515197329	0.556617545876	0.626154189295	0.666733727468	0.644520790178	0.666953199544	0.669255165928	0.688385507463	0.695893617351	0.75004574791	0.684138392878	0.66574605727	0.681957413265	0.730640882304	0.683758924307	0.657107098251	0.666766157525	0.618640819644	0.654852801863	0.570117479587	0.614036896758	0.567961449477	0.622564518377	0.713638646447	0.603396261739	0.599868674718	0.688563923777	0.589685712447	0.723671779755	0.647542695219	0.639940948649	0.610291141051	0.553677338642	0.598218532155	0.561086630669	0.587416221186	0.568646051774	0.616274092966	0.613598816377	0.634974866921	0.572572417362	0.592288749253	0.56585865925	0.582428812103	0.594120546479	0.578331215081	0.599065390273	0.596281215556	0.604361680555	0.622786952726	0.585040179589	0.566945118105	0.619765786787	0.586749348162	0.563194579104	0.607980277866	0.564123531781	0.549883311659	0.527692841086	0.635249239923	0.692809305267	0.554696606714	0.519716555685	0.701757052572	0.692954228618	0.630527951259	0.693131299841	0.594617734977	0.644167796556	0.696984274414	0.761126783924	0.684751849787	0.575182357211	0.579895247806	0.671555972976	0.523079274711	0.718412956795	0.695606773459	0.740201270532	0.671459651272	0.617215002737	0.607744974441	0.675926317296	0.766260678054	0.646967951573	0.657588347411	0.58874103118	0.673391630047	0.615457128658	0.662216743628	0.563644237861	0.699390248794	0.690800986053	0.649032395829	0.676835048396	0.641863662453	0.668096661141	0.649764726646	0.648155543064	0.62154530346	0.678471048035	0.741795861636	0.594504770108	0.578562893219	0.629441812964	0.663277449773	0.585365020391	0.570281200017	0.569949757736	0.726174287275	0.600419660955	0.63281555338	0.623557435708	0.571661614606	0.565728936659	0.62864266103	0.578542765812	0.570805381951	0.570271771389	0.56649420418	0.610119176748	0.576595259544	0.593350573708	0.599583664275	0.57432779352	0.597032296264
L.005.M1	0.618996103156	0.66082325362	0.59810173766	0.642677558933	0.576144335769	0	0.657737122929	0.55579056063	0.505859712232	0.533599291958	0.555829003923	0.410021556574	0.744101539156	0.56312738353	0.572046762688	0.593210868607	0.69218873989	0.703353026357	0.640934617072	0.799315225555	0.496287795191	0.521501040895	0.731511898345	0.748852909573	0.614748938208	0.696426182491	0.691460113468	0.591619459299	0.765693573661	0.617766318791	0.763750922127	0.650391110156	0.702125453944	0.59519432061	0.702912691442	0.535622026526	0.625487975842	0.651307222477	0.681641501422	0.557980950747	0.74041744101	0.685877483267	0.712623033209	0.526836728016	0.675692280642	0.680689374552	0.662770196832	0.6989052353	0.67689599835	0.722754640557	0.70452241836	0.755347404345	0.690471711933	0.673476808581	0.701113207025	0.785473788529	0.704842100459	0.622157450099	0.685344732182	0.638789429835	0.628238771491	0.496276819486	0.537808276725	0.431574043543	0.552082213636	0.697028782512	0.493727361141	0.589722162061	0.704889506414	0.537724169921	0.711653600872	0.634383400801	0.557301401005	0.662528905132	0.492524064042	0.488874684048	0.435755963209	0.496959810678	0.506126581487	0.607556837466	0.582012836704	0.565819343134	0.506002202313	0.451414719047	0.533885018291	0.459476618477	0.519127341676	0.512081381094	0.510191439816	0.536545584177	0.542594482881	0.638883089851	0.494078019527	0.564221027642	0.67101029769	0.577212735983	0.582598411405	0.471278020676	0.58409982225	0.504323281988	0.504683457533	0.684707001766	0.698888779602	0.572105888982	0.524220739841	0.696105091614	0.760165656616	0.627715936453	0.645079439837	0.614566644201	0.683715312595	0.726377929425	0.750373212173	0.714039338831	0.484887579108	0.624527211316	0.674535072821	0.554234616297	0.751547696892	0.706474031173	0.750748882668	0.666747138555	0.610825495844	0.641494378643	0.671571088424	0.792147233638	0.691526483151	0.70345846165	0.557735864632	0.654273895355	0.679875455723	0.681181878438	0.507640628692	0.697775806925	0.693017522699	0.706757760937	0.686525249642	0.643211384456	0.65134385365	0.686355730364	0.691202929228	0.601397742644	0.690025223791	0.76676564922	0.47710349953	0.472391318473	0.556318030343	0.645037256654	0.582138999721	0.473383576922	0.507561113869	0.730532675148	0.46994096677	0.540659495886	0.578107236944	0.535250406912	0.512929170719	0.58497637267	0.557244613298	0.458748057708	0.449416991553	0.421791601287	0.484597992573	0.492204678617	0.469561376123	0.506951699452	0.431406468203	0.457786125003
CS.022	0.574535226023	0.603502083549	0.634423624686	0.610622475144	0.614451820094	0.657737122929	0	0.657857719336	0.626768891873	0.601092285121	0.591894016826	0.656362144407	0.63862556225	0.616166702603	0.601242014505	0.640105829749	0.592074775249	0.668047241406	0.604184550968	0.660479446212	0.607101893886	0.644858358213	0.639509424955	0.573115709926	0.581444225224	0.591639492802	0.566524474711	0.636122266966	0.658052133581	0.624152157441	0.670718688665	0.609839890046	0.616018801584	0.594864098165	0.628336306744	0.648821049531	0.612907595362	0.574163264533	0.613983948731	0.632593215212	0.648033340875	0.577091005504	0.61239570935	0.646848674873	0.558689448035	0.594914465917	0.608773552402	0.627090506348	0.632898974706	0.61894292415	0.628780023721	0.646189622881	0.5851334704	0.624116834871	0.604253019289	0.638540376299	0.612116136341	0.639337676124	0.619732740272	0.611096617092	0.628192320877	0.654241429772	0.608691410878	0.656980073505	0.647523488012	0.679111860427	0.623320990966	0.639343609514	0.596980641434	0.672054857535	0.638866026831	0.584686390142	0.620762643724	0.588318505249	0.607925410832	0.63642308433	0.660860085571	0.669983602088	0.647830396282	0.653885609788	0.596028357666	0.688175499625	0.622151942291	0.670792325762	0.648802063257	0.637487720788	0.682917671174	0.635760412155	0.671465021546	0.608950409851	0.62066330419	0.611712921903	0.612128829327	0.593261899107	0.551676843701	0.583999229177	0.594418388731	0.635123900237	0.592437292746	0.53067302263	0.645448233253	0.5379488735	0.655367252122	0.597591049719	0.632699957516	0.622045518363	0.602590250386	0.593004168414	0.641595903114	0.616023276955	0.612253745411	0.640083209302	0.702431443739	0.593546080171	0.65664947094	0.586572464563	0.580961440927	0.594822072189	0.629963302075	0.630778654683	0.673446226108	0.595190995909	0.604016710535	0.546699805586	0.666463146207	0.66660331915	0.554623407844	0.63692585761	0.622312250478	0.627405947588	0.540395645564	0.604307348665	0.62084462199	0.622104037818	0.592144540092	0.62603638954	0.608659994552	0.60644131432	0.599299827097	0.614347343822	0.610254372293	0.633603003377	0.583541872375	0.672500162501	0.652137160449	0.64167038883	0.634681766288	0.612272195861	0.610628506623	0.665984863019	0.627187009162	0.64702105753	0.636575541286	0.635512247442	0.653412500667	0.605726953292	0.595657130594	0.62870366734	0.628260289891	0.637667329649	0.664877427817	0.676137728946	0.639781519361	0.604730322435	0.652638997502	0.630532878195	0.652529493766	0.638372419471
L.022.M1	0.633655580693	0.680453685214	0.520089869725	0.542712455264	0.620632819903	0.55579056063	0.657857719336	0	0.513800322848	0.622308803656	0.612628126894	0.523901537657	0.693344348193	0.553972488162	0.582425893733	0.569797546305	0.673680834945	0.756457025076	0.600379333192	0.804259779414	0.592738596462	0.532793650509	0.748046907958	0.712472753005	0.614201820754	0.704364027467	0.655136669639	0.577989573941	0.766977349485	0.613833280802	0.78102147042	0.688172906775	0.73237852854	0.554591784444	0.748240360492	0.553601719171	0.636640207773	0.618668667759	0.688577000155	0.587939422871	0.760291198629	0.700829529742	0.7154756578	0.604826102011	0.648641747406	0.664021036002	0.614746956294	0.669852657864	0.669787203695	0.690232546568	0.703396571824	0.750431867268	0.696976847786	0.651876250789	0.690353049928	0.764207737108	0.678645479325	0.626547133371	0.68807195703	0.619543992139	0.683214590546	0.526299645861	0.635649987122	0.549322693251	0.593796644803	0.737430836138	0.593113167833	0.625945667181	0.721021781298	0.495896490959	0.741973719195	0.661792532953	0.637021914261	0.606336583699	0.553987808047	0.5428431387	0.555573567022	0.483348685197	0.524730435136	0.484082488886	0.609584040566	0.519413519614	0.584858065576	0.487110400821	0.496807583652	0.566540282561	0.52050929479	0.525883712118	0.52474108264	0.588365692246	0.543332090276	0.70441150144	0.531223978351	0.607724612957	0.670212054049	0.652901685036	0.560202633145	0.576603520763	0.545921341627	0.58024234599	0.555422248917	0.674570898263	0.743302551413	0.621663090153	0.615352006269	0.730541974562	0.741745716452	0.660000621837	0.719060838354	0.585064325026	0.643338264531	0.721278591252	0.778867860706	0.720805981712	0.542739803427	0.669456069792	0.642346473615	0.62496939429	0.754068361455	0.693661829424	0.787955389927	0.698874980462	0.572679639356	0.635383884201	0.685454346967	0.809876289334	0.670886936581	0.727820601841	0.567031284858	0.695683468109	0.672376220059	0.702097462813	0.604784791153	0.723771651951	0.700547526706	0.707541771943	0.687938807284	0.621926287958	0.626651667938	0.68751633618	0.702838630589	0.628628794954	0.687254258769	0.759619425135	0.510454899783	0.605409598308	0.65563529375	0.687638673699	0.539305326347	0.525080711999	0.578522780656	0.746609601283	0.610951910913	0.628422171633	0.67118688274	0.603459124291	0.60146759115	0.656316372895	0.632050098898	0.621401219994	0.483264886045	0.497500826336	0.582928573301	0.578961994658	0.53967794552	0.566037869075	0.569730373504	0.63838943088
L.012.M1	0.594534151908	0.626198341892	0.57462813063	0.61134751943	0.565802189073	0.505859712232	0.626768891873	0.513800322848	0	0.579247458786	0.566964116461	0.503435411222	0.708552965083	0.583238613815	0.60915748813	0.55977158782	0.662043578434	0.713869857487	0.598672316641	0.779365922557	0.560308317478	0.554041102271	0.70596556782	0.705539479711	0.599829684353	0.673125966867	0.665133921247	0.555489731941	0.744170651088	0.589748430156	0.756203149985	0.647230063727	0.690136103182	0.604515817185	0.715071532924	0.54181943658	0.630736770805	0.629999375361	0.68712316321	0.567923830373	0.730883906043	0.657953432205	0.680431249574	0.552428890958	0.647370139801	0.652076936578	0.61295453849	0.673333550888	0.670855328766	0.706124296621	0.713551846023	0.76500890322	0.677666807978	0.642884052742	0.675894668075	0.758414203614	0.685594781499	0.606615248205	0.689990406363	0.638974595769	0.61876922268	0.533641800321	0.555465815137	0.506858082267	0.558372931347	0.715190025782	0.55994808645	0.575209936393	0.688613314503	0.520675670115	0.698565291248	0.632550826484	0.569131299035	0.619203560454	0.552167390955	0.539360877549	0.536307204282	0.523891487804	0.53935507465	0.563821781593	0.57791922977	0.588105281783	0.550533287473	0.494967764826	0.538867563993	0.571215879502	0.566409361694	0.565906783796	0.551897556731	0.562688861079	0.578213017108	0.662423900481	0.535210368912	0.600803146745	0.661426972393	0.626447567036	0.584654805876	0.576925594436	0.566733335716	0.562688258187	0.531999760615	0.662529500504	0.702075729715	0.5711603283	0.591318282757	0.681630209562	0.735149889842	0.614272979378	0.666577723088	0.615565761089	0.654391467233	0.724576623462	0.753549341672	0.700843573253	0.525576206867	0.62652173781	0.648257579449	0.587665950088	0.736024460517	0.695906684322	0.75347123477	0.675451711835	0.590631271668	0.624252231056	0.676250718527	0.786153906739	0.671296307335	0.686198596859	0.575868874654	0.667627203055	0.658112663565	0.650600907201	0.568662640382	0.689233593062	0.674926194589	0.692391600978	0.692684273835	0.629699354037	0.645003423525	0.66963516151	0.673656058681	0.607534140738	0.675817036163	0.754244178332	0.506931719812	0.522296923685	0.575377789008	0.628720874688	0.577344652553	0.547828598156	0.546158062523	0.70596108325	0.562389534488	0.565796978908	0.587063332828	0.567434852243	0.551538130633	0.581799400258	0.569333674914	0.548892525272	0.515976392039	0.508880045579	0.580914757916	0.546844535029	0.553558593829	0.554724537571	0.552224429848	0.5581884894
CS.245	0.576027485734	0.613230329239	0.586270095823	0.67180162531	0.582744495369	0.533599291958	0.601092285121	0.622308803656	0.579247458786	0	0.553323231414	0.566520293321	0.702244038645	0.605902293406	0.569948762728	0.600192408031	0.613866854305	0.628548047223	0.614152275295	0.714646508122	0.552390183409	0.581782027325	0.693938172701	0.659040987771	0.584907608713	0.643084296491	0.640354737198	0.606222619792	0.691016632483	0.592567442178	0.694076220416	0.569575557489	0.660241379628	0.600315040808	0.666950968129	0.561645893278	0.613068254643	0.64035849383	0.626572589731	0.5483570838	0.667010957624	0.608776393383	0.661754938583	0.57649850057	0.627187731737	0.647972268561	0.629379092473	0.669890040906	0.658953847016	0.683236541813	0.664751597092	0.70469353603	0.640925224004	0.643495800261	0.64828097387	0.717791189455	0.665198634368	0.599139243925	0.62322866129	0.603021431048	0.557356177811	0.570426017601	0.538603947372	0.536555980458	0.573156915897	0.620466342017	0.55508308171	0.549055992617	0.637006675845	0.610710962627	0.621892456369	0.590312369313	0.543296224504	0.641789458635	0.531805126003	0.575176356144	0.543701260044	0.585764322706	0.573014735452	0.647802584501	0.579648112843	0.648951277262	0.534610889269	0.579940717116	0.589453146569	0.535971117806	0.607312901401	0.544059090055	0.574232534098	0.546164992153	0.56996697783	0.590422044873	0.539199389228	0.602864250413	0.621278491384	0.568401831488	0.592303794741	0.563357182119	0.598282231994	0.535174458787	0.580949777652	0.619858138041	0.629783070292	0.585988980302	0.559949990857	0.629408966978	0.685037115305	0.557819823251	0.589003259334	0.628507877059	0.646009683519	0.64489061106	0.703032399998	0.672623279545	0.557109578181	0.564597489609	0.650846564591	0.524347463702	0.664789167594	0.647998973842	0.708908494907	0.633264972553	0.647446540252	0.596763902134	0.586220867218	0.744128296286	0.622187941601	0.613337073452	0.574859461884	0.612412928372	0.616196127561	0.640248024507	0.544374522967	0.662988117056	0.622195064583	0.636571296825	0.645149889173	0.636039918931	0.619479517207	0.65907355061	0.626284132889	0.587532873781	0.640068338588	0.727249385162	0.570629594229	0.513133717842	0.529124179642	0.61883814636	0.608812889953	0.581576272554	0.54141794112	0.674017998252	0.549394721371	0.54615210201	0.533892113095	0.52619114946	0.552461584437	0.560478540773	0.535073161706	0.497322240392	0.577621981157	0.584214780792	0.563456983781	0.514737046035	0.559571715164	0.530010968929	0.538640720879	0.531778518221
