CS.104	CS.059	CS.143	CS.036	CS.259	CS.021	L.008.M1	CS.296	CS.101	CS.017	CS.022	CS.314	L.036.M1	CS.093	CS.099	CS.058	CS.388	CS.334	CS.335	CS.229	CS.290	CS.381	CS.077	CS.062	CS.327	CS.230	CS.186	CS.367	CS.382	CS.155	CS.205	CS.292	CS.375	CS.126	CS.236	CS.282	CS.224	CS.125	CS.128	CS.302	CS.380	CS.136	CS.232	CS.378	CS.213	CS.254	CS.395	CS.386	CS.369	CS.177	CS.214	CS.148	CS.389	CS.359	CS.256	CS.178	CS.181	CS.182	CS.323	CS.349	T.CS.029	T.CS.056	T.CS.085	T.CS.072	T.CS.038	T.CS.052	T.CS.076	T.CS.035	TFS.024	T.CS.050	T.CS.019	T.CS.080	T.CS.016	T.CS.067	T.CS.040	T.CS.139	T.CS.126	T.CS.111	T.CS.125	T.CS.118	T.CS.160	T.CS.128	T.CS.119	T.CS.114	T.CS.092	T.CS.129	T.CS.144	T.CS.100	T.CS.167	T.CS.115	L.034.M1	CS.015	CS.085	CS.082	CS.110	CS.241	CS.087	CS.237	CS.246	CS.242	CS.006	CS.238	L.024.M1	CS.088	CS.356	CS.150	CS.188	CS.113	CS.363	CS.165	CS.336	CS.346	CS.345.0	CS.311	CS.212	CS.308.0	CS.078	CS.044	CS.191	CS.387	CS.223	CS.322	CS.163	CS.319	CS.194	CS.318	CS.343	CS.320	CS.361	CS.080	CS.339	CS.158	CS.321	CS.285	CS.112	CS.326	CS.390	CS.262	CS.253	CS.393	CS.370	CS.255	CS.145	CS.270	T.CS.064	TFS.025	T.CS.061	T.CS.066	T.CS.036	TFS.022	T.CS.045	T.CS.055	T.CS.026	T.CS.031	T.CS.049	TFS.027	TFS.020	T.CS.008	T.CS.043	T.CS.158	T.CS.109	T.CS.166	T.CS.151	T.CS.141	T.CS.095	T.CS.142	T.CS.152	T.CS.157
CS.104	0	0.545474243004	0.561109217517	0.55351726902	0.540233130062	0.563392646951	0.632314289851	0.533803074723	0.528246671864	0.558521264299	0.554136854994	0.551219407287	0.577189015056	0.546220679832	0.539081308626	0.553682628371	0.669583758292	0.653403276738	0.731147844906	0.576903474962	0.619714140606	0.533479791531	0.509958496698	0.501992534981	0.568103315446	0.6452527748	0.597676720513	0.702079429582	0.534779237422	0.570436036956	0.662737856514	0.542254403395	0.565062115136	0.534794219745	0.619315323724	0.640699516128	0.729451726192	0.614296060449	0.536969229524	0.690383114291	0.53733755415	0.546277378539	0.540166800314	0.653514594952	0.651198266375	0.623402333309	0.628152761991	0.682645818609	0.704303854667	0.656798362649	0.606117758215	0.646039279783	0.608055447628	0.685199623362	0.625712606154	0.577282873479	0.602492942391	0.591763468241	0.601399267084	0.602797307168	0.57920726439	0.609685810186	0.544143240656	0.534391323679	0.58501774476	0.612392123226	0.584101440423	0.54461703484	0.537064142728	0.581994862781	0.601863411267	0.619656588461	0.565240993905	0.545250266757	0.521949238319	0.574193838661	0.523875855306	0.542874587299	0.567254687604	0.5866918384	0.584173157412	0.590948071199	0.595949578034	0.599075321305	0.614512100065	0.595755419397	0.552582309225	0.576140047242	0.549793695456	0.576295588138	0.555768990376	0.558776782218	0.523258399037	0.536394659477	0.589614623974	0.523528787625	0.538232398926	0.585713038944	0.542225308562	0.535499214573	0.511456600884	0.518924241855	0.575109997849	0.592113394636	0.647033262825	0.572933293278	0.61373171919	0.499290442548	0.617333641405	0.612800666593	0.586129668772	0.674442393708	0.691204738221	0.530553376911	0.631696411533	0.611035628961	0.543710360389	0.50152399846	0.544888865241	0.560458318685	0.622977153599	0.663728113031	0.574708235268	0.605091491961	0.723154900087	0.614827097757	0.628950086549	0.57227713251	0.615654757827	0.534249890106	0.609383904107	0.571482883887	0.511641097573	0.63602198442	0.575076773746	0.61116830764	0.601408479458	0.639063534905	0.706087460489	0.606200688848	0.610444092809	0.589918219432	0.553479008705	0.634022430258	0.527451867293	0.564662769002	0.562418081519	0.558874619904	0.564652055616	0.547024486173	0.566031329661	0.539242227706	0.699852243296	0.562909051102	0.635700398837	0.543798436209	0.551256972999	0.600180740071	0.548950426477	0.532025591414	0.556559580248	0.541180998539	0.572793305878	0.575343796878	0.587214978246	0.578241396669	0.526553287032	0.567445680912
CS.059	0.545474243004	0	0.566541579679	0.594602844699	0.546146802757	0.599153114213	0.67672343637	0.530011107201	0.538018325998	0.588257943427	0.632612006224	0.577628622272	0.536788224273	0.543190700985	0.574159539221	0.593497646749	0.715100210139	0.67394597357	0.734199065416	0.619303040352	0.653932033722	0.548597391059	0.561953809965	0.528544390236	0.592882758685	0.697807211391	0.59996104157	0.727959223474	0.565755426515	0.524323214375	0.69595500564	0.564795347437	0.603599606579	0.512427333946	0.673941669486	0.685856399774	0.762361002302	0.644097621319	0.572651544857	0.703566971259	0.529057161288	0.594918465402	0.5284020539	0.689326524847	0.665160990297	0.62828319214	0.609119911478	0.692267726204	0.711289355814	0.661872707331	0.630209420931	0.665822154865	0.619871269081	0.724027699755	0.636536019337	0.576885990475	0.627266434298	0.551525284306	0.612370472843	0.608603159493	0.601743484174	0.631645454284	0.55242010591	0.522570962951	0.556543958949	0.596117909297	0.54611960176	0.54088648406	0.550328956433	0.603643731388	0.600912973257	0.597450778131	0.550125143429	0.53605748402	0.519601794073	0.557327745741	0.530277560534	0.54517194413	0.558319141555	0.538998001108	0.557575293983	0.561521635114	0.593897619379	0.584683586784	0.59043052875	0.535159567403	0.54103576111	0.569877932637	0.553255326605	0.524171780146	0.58261036584	0.602466937235	0.530002999271	0.550280737438	0.626909409802	0.516263265039	0.635012887685	0.629059462031	0.561438881177	0.521450460472	0.569877140586	0.567384857861	0.603961831598	0.654375962989	0.696759417007	0.586119900932	0.636560623721	0.548240726007	0.637048550173	0.677903944048	0.579409069019	0.748944951663	0.741559593275	0.579129310376	0.663053794164	0.660826980607	0.576906943952	0.540484183727	0.499986639117	0.574079311395	0.633919255061	0.656316211251	0.64788148547	0.655489489214	0.740649872937	0.639796679328	0.656033203139	0.577422316515	0.653906274611	0.575371028173	0.640667692501	0.628278934588	0.572118138828	0.701856700113	0.611985549693	0.633073825766	0.639936114628	0.639948942412	0.729270093909	0.654172991431	0.629577172251	0.601398546993	0.569725976281	0.63662039723	0.528335765543	0.576166613791	0.58440323999	0.543034730956	0.557046336626	0.512940270048	0.554453875112	0.576174634048	0.691061615333	0.526842567857	0.641903318051	0.529047311878	0.507874047581	0.58162999008	0.567050171211	0.514870300375	0.538357512789	0.541873259673	0.562676589795	0.59043684735	0.54658154376	0.593705313432	0.50965036615	0.583598930259
CS.143	0.561109217517	0.566541579679	0	0.580453791294	0.596942498138	0.569093861881	0.59811893082	0.576052486042	0.569476799212	0.578436682274	0.589405483728	0.594627083742	0.56277391652	0.588625578211	0.591898961664	0.578231235819	0.712775827604	0.647390836014	0.716304535766	0.597183277241	0.623819529544	0.589769006629	0.584769614429	0.574817723753	0.611885346186	0.657566132675	0.600983981676	0.685582437149	0.590065019188	0.565967354326	0.670342992597	0.562790278278	0.608652726269	0.572440922412	0.647495426172	0.647320485904	0.719400910477	0.624732721354	0.578152075919	0.685035377224	0.584991478615	0.585470116585	0.554899981273	0.676179837869	0.643759330851	0.621679407797	0.635709812932	0.680212952431	0.684439933499	0.638739508423	0.628664607557	0.675940942575	0.607315976456	0.68487298148	0.631573443297	0.59934528554	0.63257282964	0.59224960337	0.605514810165	0.613649476998	0.629440369614	0.642231779563	0.600277603911	0.578950872793	0.582059556099	0.618779559394	0.56427960364	0.578476529229	0.597145422085	0.62879826203	0.617454118689	0.641990856461	0.571845888271	0.597651233435	0.578220824932	0.59111031994	0.553731163403	0.596244034562	0.559810506525	0.557501529876	0.605540008638	0.561292153833	0.588622371902	0.616997384797	0.628977270118	0.606805365433	0.590503417744	0.58967531031	0.591983379952	0.587497547893	0.552814781555	0.613372020575	0.469716208634	0.586364204813	0.576258521545	0.568205575416	0.615632607843	0.592484913242	0.573848275574	0.558918045956	0.538704225787	0.537264167648	0.611255107138	0.642079040353	0.656414022342	0.566088325937	0.668315977763	0.602822849561	0.630312389293	0.667619710306	0.601142022931	0.681443395152	0.714064198324	0.597309190323	0.676538446414	0.641247938611	0.617866594199	0.564971520209	0.609132006185	0.589036136935	0.612808533153	0.653753700682	0.610142036691	0.61096026738	0.715803066207	0.61525350748	0.628123749198	0.595736931316	0.64582797245	0.578221973394	0.641798137089	0.583650997317	0.59577743412	0.657668875437	0.602192044735	0.623392361507	0.632712446651	0.624936023256	0.708885957662	0.654504711957	0.608451182222	0.595721656854	0.607470893604	0.622025465529	0.565169085275	0.606461903207	0.594320053734	0.592396219901	0.581260407171	0.583596118282	0.613656019243	0.589885428396	0.689277455945	0.595766606447	0.621304215482	0.591252171354	0.583994077303	0.624466484115	0.62282093762	0.577155158703	0.5967031761	0.568942947461	0.605284267555	0.62502585565	0.608526341551	0.635306717067	0.59071812923	0.606844014458
CS.036	0.55351726902	0.594602844699	0.580453791294	0	0.640844345975	0.56462711187	0.640171095615	0.624274360817	0.644118190134	0.63946004405	0.595821024819	0.64658987466	0.638747101848	0.636099898352	0.649104034163	0.538966698355	0.713642696645	0.620329345201	0.710265869533	0.573511077607	0.605423025026	0.573985151635	0.575879253144	0.616973488074	0.660405423213	0.603136682757	0.67116359508	0.685699229652	0.623527092502	0.560185270864	0.659595168266	0.600642178721	0.625844939116	0.615997640292	0.579883838562	0.631929924261	0.717081899592	0.62248574505	0.594675481344	0.677441127908	0.610765517917	0.555641603617	0.567272697514	0.66614635508	0.629041691519	0.62938462458	0.630366422775	0.678998141673	0.647724530175	0.684114111759	0.628077908846	0.6631213016	0.608936787157	0.656843729932	0.636268631109	0.625654982553	0.621404491151	0.581110895801	0.590115011143	0.590221591554	0.574106599547	0.655131454016	0.625384718745	0.589491394831	0.625203590573	0.563254979349	0.588225725427	0.607402761533	0.612242137604	0.636580528042	0.646712472605	0.659180776901	0.609970237747	0.646937715575	0.642119228302	0.675457725797	0.628508967136	0.670234712693	0.658396088145	0.594276713794	0.667242073455	0.592785957627	0.634273071271	0.657895276793	0.650773247365	0.663843271489	0.664575226731	0.648572753981	0.671850802324	0.662862861569	0.61255142394	0.668884667354	0.581816478735	0.596091529265	0.634454888321	0.635942042509	0.631054653072	0.573358657682	0.619450855883	0.637470912249	0.622482868931	0.609480027921	0.713385385953	0.669745394007	0.695331297418	0.61643011106	0.684112354351	0.623348735842	0.603336744759	0.677912133187	0.617005478267	0.634642317576	0.665335953643	0.654193237068	0.697550286115	0.622826138626	0.639695291339	0.598152143305	0.638310569079	0.597965427797	0.61752254483	0.657921430989	0.567966190336	0.592265113754	0.740961742896	0.611130152835	0.630101394628	0.613997840334	0.647365406761	0.587539530404	0.660157158975	0.561005041347	0.618655668603	0.610378542394	0.585643942317	0.652154925794	0.618307513568	0.673391743271	0.699344574367	0.633933990882	0.592973934784	0.606425432986	0.631335747195	0.655004360139	0.633179844685	0.642104640632	0.61462897813	0.661149588099	0.61504651329	0.65455553436	0.642682477489	0.632258745453	0.707653452771	0.651183142323	0.657142935356	0.643174653512	0.653322580208	0.675627947096	0.63431045364	0.641516226962	0.670376133348	0.63503686472	0.695597517924	0.713249726807	0.691921512268	0.70289911201	0.629438665578	0.685806212831
CS.259	0.540233130062	0.546146802757	0.596942498138	0.640844345975	0	0.624125854273	0.636557543144	0.461101204086	0.508539735474	0.562955199547	0.644679289801	0.536403526913	0.487752169894	0.523678840926	0.548294247393	0.603644934715	0.658757256908	0.689403077017	0.741935648089	0.649973804888	0.660401453121	0.529598350887	0.545643391289	0.539567531996	0.582723463892	0.692677041512	0.554796674271	0.741462764273	0.518668869976	0.530134284332	0.678307828306	0.626083822604	0.607795585281	0.495321590566	0.715249928418	0.671507234407	0.753951960916	0.652660558006	0.584768262467	0.708260659977	0.469753210673	0.627198358804	0.562125351538	0.689656095462	0.670624302113	0.642491771328	0.640587610573	0.715820424235	0.74459764694	0.6879333355	0.635472988688	0.682611312958	0.649682017536	0.718882293262	0.664769469104	0.569829563382	0.631133769864	0.589094822333	0.637075714638	0.620563707102	0.632118041307	0.619177305987	0.507581007395	0.52044803816	0.560836059564	0.626352616194	0.551354873595	0.51368108423	0.534106666321	0.583312960463	0.618096703719	0.569460382752	0.536561868624	0.49023990562	0.487822862582	0.462187930092	0.495504881095	0.456043127995	0.503054842406	0.538473947291	0.516037596823	0.551383029911	0.570950136417	0.553477956972	0.543594105354	0.475968278134	0.455875237865	0.531933842338	0.473094839146	0.491088222436	0.572840851721	0.554888657435	0.551822380851	0.557246303986	0.65679625249	0.530888694688	0.577905848068	0.66641813033	0.515664571901	0.470631985959	0.520745344902	0.559654750858	0.527411454417	0.63304933174	0.675496017279	0.577436155229	0.597968136949	0.531848168371	0.637615585498	0.677168414363	0.572637078842	0.751904769079	0.774484529482	0.592012539392	0.645643842497	0.695864847802	0.583152544966	0.516548478737	0.461411934681	0.566292477595	0.633739844272	0.679401396401	0.647604274254	0.638569567436	0.731845487908	0.638019457544	0.66094230957	0.593664903197	0.662357768254	0.599621348378	0.612832949511	0.654761567805	0.510768768465	0.72758461425	0.643361837387	0.617899625141	0.652326138088	0.631220257338	0.734104648151	0.671805190317	0.635459983023	0.613743460007	0.550554636321	0.645513768193	0.475284558907	0.529186995337	0.543402707636	0.463650436291	0.558344737574	0.471521875104	0.522203863603	0.519619482044	0.702162720764	0.525834676595	0.632475907819	0.491092508396	0.446846556424	0.551228364421	0.460098041644	0.479599498093	0.469096254859	0.505714589185	0.435962724149	0.489515160373	0.469530958135	0.471359420064	0.478005637288	0.51703901961
CS.021	0.563392646951	0.599153114213	0.569093861881	0.56462711187	0.624125854273	0	0.590591601412	0.634614183751	0.659330223576	0.632813267639	0.506394992111	0.596291383983	0.615996787576	0.639051202577	0.647807693572	0.542789138155	0.652980286477	0.597803566676	0.617433427164	0.538404917526	0.578428602974	0.588028169185	0.584974126865	0.614856395353	0.613702055592	0.594556260694	0.652388990095	0.61523710139	0.562109415033	0.560072296949	0.587033114654	0.575977297541	0.572991464209	0.571149258636	0.642304140867	0.581361826243	0.672671517811	0.532094176665	0.586573116714	0.582362653268	0.608564359007	0.556096056637	0.610797576035	0.647843704744	0.586011405221	0.575114166813	0.617552705526	0.666066641105	0.65460099371	0.623849873602	0.590004309718	0.630088339871	0.540717622962	0.631083565988	0.589083439413	0.614240372031	0.585540510191	0.54540483404	0.571073621483	0.581546382353	0.613248825604	0.651095376216	0.588395709238	0.600744065774	0.645170481363	0.529836341658	0.567350668777	0.589766755681	0.573916594638	0.624299924597	0.604214336426	0.588728168644	0.570610600108	0.586990989086	0.598028476155	0.669609827864	0.600892665072	0.617702922346	0.574692186827	0.499436632705	0.652594463796	0.593740248454	0.656531665711	0.671579663642	0.681057007324	0.6536409769	0.655466329579	0.659140502081	0.61914072648	0.65204659716	0.585318806827	0.657258351914	0.592064479314	0.621246092362	0.586823515648	0.652187158371	0.608142966288	0.575812929821	0.609628407066	0.604084494233	0.557381035231	0.587964718335	0.651659711188	0.667744611581	0.63483616274	0.580708187993	0.605009832459	0.603848569312	0.546775466558	0.608998313938	0.579765371699	0.622618655324	0.623373310986	0.60902543482	0.613286136066	0.592505088846	0.614393200288	0.56929937245	0.631430462489	0.526117261821	0.582572194101	0.567411973052	0.570838566199	0.555064208697	0.632392882677	0.530326181564	0.557624021802	0.55257694664	0.606501374579	0.563424235547	0.604573191152	0.575320119532	0.621371230817	0.594546341044	0.566290090885	0.563407249698	0.599533188166	0.568561499512	0.659145350691	0.635467662985	0.582139917764	0.547419900186	0.585323979723	0.592613365268	0.61202618972	0.561345788536	0.590481990552	0.638834221441	0.617738131898	0.642465821414	0.602426088195	0.590362665147	0.601086405771	0.585342102589	0.557609203962	0.597660819169	0.635275576625	0.590489904464	0.616201227979	0.617045821563	0.652267572482	0.608869204399	0.648137562074	0.65093298383	0.672039708765	0.654748960879	0.578433579513	0.62925814202
L.008.M1	0.632314289851	0.67672343637	0.59811893082	0.640171095615	0.636557543144	0.590591601412	0	0.664942345707	0.690047883937	0.662833772577	0.603502083549	0.633219134844	0.641801240575	0.685517904349	0.677094179165	0.610130257951	0.678528772086	0.602685613442	0.596554954236	0.612270484436	0.559504687658	0.637763044448	0.628257902168	0.653536930545	0.644846820808	0.622896959912	0.662020119444	0.619090827071	0.591233046832	0.582071668787	0.570435984341	0.644542283772	0.60350184504	0.616701998963	0.687543516867	0.569179921925	0.620704510759	0.551915954246	0.622719339351	0.642064406068	0.630723296672	0.604283617383	0.645000802593	0.652918958652	0.55984756321	0.605361189111	0.649827562998	0.616783456589	0.666565747061	0.601066107341	0.64014779235	0.599907759035	0.571492100217	0.618810269056	0.570520298129	0.665741369557	0.592438685239	0.575817550027	0.593163239928	0.595297912668	0.651008534335	0.647245538025	0.620113830865	0.637777150579	0.678971470338	0.618923528346	0.587211850274	0.643052273781	0.607586757062	0.628104595911	0.627182378657	0.613745673074	0.636298318802	0.607563407954	0.674089049268	0.65376943426	0.620761172426	0.657671320286	0.61140635104	0.558585537163	0.673805542161	0.639368548402	0.681521220227	0.673758561708	0.690152193533	0.698134173062	0.66307806395	0.676507562617	0.64550003259	0.692687295696	0.622532170925	0.681121030704	0.628212181565	0.674547653145	0.605548065154	0.683103985407	0.624256157849	0.59401932232	0.633592434403	0.639483916587	0.620914754852	0.610344824463	0.659590838507	0.675500667346	0.635371674069	0.595523095931	0.635993083165	0.651940920127	0.561494516114	0.634355160985	0.622771025063	0.593524030993	0.648777725469	0.636530787847	0.654102024645	0.622409127054	0.634197986633	0.626070592171	0.680380877326	0.557482743838	0.573080763939	0.563477625451	0.626577765451	0.54170612209	0.586087776646	0.52328665386	0.550296829783	0.569047220053	0.626096011145	0.606420742749	0.595782665259	0.584721170166	0.643374148192	0.627748272678	0.620425494282	0.563734161097	0.57015702913	0.575918761215	0.674463824301	0.666128488592	0.59602506446	0.568641820512	0.613032148233	0.609594129297	0.627072731845	0.562940532627	0.590886240773	0.669964635643	0.672947650971	0.686739072696	0.643629106129	0.638151975099	0.641437588633	0.634821376362	0.515975162519	0.63820255084	0.662735849057	0.613012490204	0.649078695133	0.654103500472	0.671303557009	0.654006511818	0.636603259274	0.656500318663	0.68509711587	0.617338112529	0.653931913622	0.637566773588
CS.296	0.533803074723	0.530011107201	0.576052486042	0.624274360817	0.461101204086	0.634614183751	0.664942345707	0	0.500323156069	0.581202404032	0.650027091025	0.550567851838	0.502437951309	0.511235828778	0.527075964019	0.607225822881	0.689715033375	0.706622884864	0.751066575172	0.656054291224	0.658897534709	0.537326615706	0.575658659854	0.508578702078	0.600587148274	0.694106803916	0.573255819942	0.742697170516	0.519387079784	0.568085230826	0.673695745352	0.628021018702	0.60407534593	0.51342417439	0.711227821402	0.671792501355	0.765736604442	0.649749492039	0.571669052826	0.736378614684	0.509238528948	0.63308309065	0.551060992625	0.697974136534	0.693319628628	0.655913058927	0.635115993103	0.709236626876	0.745557608691	0.682351011111	0.625953205621	0.696192870551	0.647574739311	0.724814683381	0.679528116837	0.590014667499	0.633090277232	0.605471260599	0.618534591585	0.632881655005	0.618331898556	0.632343169026	0.471954785651	0.523207461758	0.540184098206	0.638337573506	0.545004081135	0.514477577492	0.547812190505	0.603915203866	0.614790514287	0.610247846666	0.547082883209	0.483820180353	0.467746140223	0.456413006329	0.453672254686	0.491770847257	0.524677182534	0.57210194188	0.480974619873	0.527317075578	0.556407398306	0.561891513602	0.522107935742	0.476250756416	0.476038965852	0.52291518324	0.47057441828	0.4847395554	0.560700696478	0.576441196669	0.542420985626	0.538516492385	0.657334927487	0.511253722515	0.569237763831	0.660838834232	0.47684663343	0.459691916018	0.520848834931	0.55795221932	0.514899931657	0.622391765307	0.694165211837	0.582281853834	0.63486027664	0.553366462547	0.676916649349	0.691957824161	0.586429521356	0.746941458633	0.769499202475	0.587251839156	0.666439598853	0.693671564447	0.575083114957	0.53947905992	0.465067461317	0.594021867728	0.648413760957	0.694833852154	0.643872048195	0.640474101076	0.756470381823	0.654349625736	0.658829828524	0.625586021246	0.654640162011	0.619092269764	0.605963639777	0.654982459724	0.483159871838	0.733814162604	0.658603161491	0.639898739843	0.668885626766	0.680865386512	0.74383138195	0.662499677341	0.655965044676	0.600710863075	0.541797246809	0.666896359237	0.513756468495	0.550133922006	0.549887856155	0.48125218332	0.543634603957	0.440842645949	0.551957523352	0.525201151606	0.732690309398	0.534044337931	0.641829017862	0.496931035029	0.459627697948	0.582311183618	0.477488677948	0.421449840699	0.441723834931	0.453349418014	0.471241125226	0.533918385724	0.470102819312	0.51677789434	0.494237131917	0.517359640827
CS.101	0.528246671864	0.538018325998	0.569476799212	0.644118190134	0.508539735474	0.659330223576	0.690047883937	0.500323156069	0	0.526162816245	0.650267348744	0.583483258982	0.568411894238	0.507928498167	0.534092502527	0.620586236908	0.734402889984	0.731401645483	0.790097916627	0.68005506354	0.707883570782	0.580777689395	0.575750859861	0.501805887108	0.59079638001	0.744154122241	0.563236980607	0.774653954044	0.601813274934	0.5879813683	0.729099038913	0.609327893625	0.652486169432	0.573459996245	0.697160563556	0.73336312711	0.785651514839	0.714385370652	0.626433665755	0.762619452482	0.554366974215	0.638520945649	0.543968919264	0.718858641745	0.70443874085	0.694591050041	0.660887044736	0.727828324483	0.765897504552	0.70323142394	0.677523127744	0.727333291239	0.665108622272	0.739516144242	0.705883421278	0.617541395681	0.663431543493	0.64738175218	0.658331319988	0.667428603494	0.654716062954	0.609146851576	0.574536246916	0.554714388867	0.563567531002	0.688908484875	0.617869608386	0.581219295291	0.60365448753	0.624291794123	0.655788446554	0.653986440794	0.604828273013	0.569161079075	0.515889433699	0.51803065745	0.545134604568	0.543555398085	0.587169024366	0.630030627651	0.526070337605	0.581022214176	0.573642508178	0.560080186945	0.608626722289	0.532292753127	0.544615102283	0.573677002111	0.532435980402	0.507570441074	0.607081981328	0.537296797237	0.553630111569	0.55965210266	0.659809788386	0.458854116669	0.610534496744	0.682788076794	0.556327557825	0.538138756932	0.528977705579	0.546692162446	0.543868277663	0.6281797007	0.70410288664	0.614922522144	0.698275485716	0.527037328314	0.710170736512	0.707733136742	0.646412902946	0.766650063743	0.787500311632	0.599442175301	0.707965259125	0.707274510991	0.572746467119	0.54257899539	0.509420601846	0.655782242189	0.689942090598	0.729157006238	0.673432855978	0.703436559779	0.791198248232	0.701349152328	0.704863349963	0.644522495428	0.691674781378	0.611367904935	0.668225792545	0.64912600768	0.542899674895	0.755430065029	0.650019142581	0.677394514618	0.688034331605	0.697668412701	0.754830765828	0.68637346069	0.684245976754	0.633709922516	0.606790952334	0.698598420203	0.553124084512	0.625030471804	0.636421476893	0.526573181135	0.57148449537	0.525979293123	0.594053208213	0.558343268478	0.74361117429	0.555128199744	0.69601401026	0.565219140433	0.520937666453	0.645755028975	0.575798552574	0.531276232424	0.52129418416	0.55709282727	0.559198925113	0.568426080275	0.509942576893	0.590793413964	0.556836508526	0.569511529441
CS.017	0.558521264299	0.588257943427	0.578436682274	0.63946004405	0.562955199547	0.632813267639	0.662833772577	0.581202404032	0.526162816245	0	0.614451820094	0.581780954859	0.549750236278	0.537698966525	0.533471986288	0.615821240132	0.707543816428	0.687137645118	0.755454200249	0.651165520654	0.679628333711	0.60025420091	0.560711190023	0.542246241489	0.60143834945	0.716384534523	0.592479936995	0.740258655223	0.601405771371	0.635844266913	0.706554622154	0.616265031303	0.629816947481	0.616688159801	0.658846170682	0.698515197329	0.747324431172	0.697719758912	0.621781504558	0.722477341979	0.60753043162	0.626154189295	0.601261327705	0.679278419909	0.667324729668	0.681957413265	0.666953199544	0.711584821749	0.730640882304	0.701796249829	0.666766157525	0.695893617351	0.678874460107	0.75004574791	0.672887166235	0.657107098251	0.666733727468	0.646849261636	0.669255165928	0.66574605727	0.631206571443	0.611209904501	0.603396261739	0.593659676931	0.608784010974	0.691140312724	0.642983953431	0.580639532339	0.614036896758	0.600216779043	0.652039192922	0.654852801863	0.599868674718	0.620361654901	0.553677338642	0.592288749253	0.60522534606	0.576483384348	0.609734181684	0.613598816377	0.595449692005	0.627807633178	0.616274092966	0.589356717947	0.634974866921	0.594120546479	0.561086630669	0.586622196485	0.561688623729	0.587416221186	0.554696606714	0.519716555685	0.564123531781	0.598148545343	0.619765786787	0.527692841086	0.586749348162	0.635249239923	0.604361680555	0.585040179589	0.549883311659	0.566945118105	0.607980277866	0.622786952726	0.692809305267	0.614972628856	0.693131299841	0.523079274711	0.674484226736	0.674319036849	0.663292933897	0.737552622355	0.746023015305	0.579895247806	0.673198570939	0.67716789316	0.610787220668	0.536008057993	0.575182357211	0.630527951259	0.690800986053	0.699390248794	0.646967951573	0.66188808918	0.740201270532	0.662216743628	0.671459651272	0.627000515986	0.657588347411	0.607744974441	0.673391630047	0.615457128658	0.563644237861	0.720722839622	0.60934894568	0.668096661141	0.678471048035	0.648155543064	0.741795861636	0.649032395829	0.649764726646	0.641863662453	0.62154530346	0.676835048396	0.569949757736	0.629441812964	0.62864266103	0.570281200017	0.585365020391	0.602182699356	0.578542765812	0.565728936659	0.726174287275	0.571661614606	0.663277449773	0.578562893219	0.594504770108	0.623557435708	0.600419660955	0.593350573708	0.570271771389	0.610119176748	0.57432779352	0.570805381951	0.56649420418	0.597032296264	0.599583664275	0.576595259544
