CS.259	CS.260	CS.091	L.011.M1	CS.043	L.007.M1	CS.219	L.033.M1	CS.357	CS.002	CS.313	CS.017	CS.019	CS.106	CS.354	CS.153	CS.382	CS.367	CS.065	CS.050	CS.371.1	CS.058	CS.154	CS.301	CS.066	CS.118	CS.360	CS.287	CS.334	CS.327	CS.282	CS.302	CS.041	CS.213	CS.203	CS.128	CS.378	CS.125	CS.380	CS.292	CS.205	CS.136	CS.232	CS.376	CS.374	CS.323	CS.256	CS.254	CS.372	CS.166	CS.182	CS.359	CS.386	CS.177	CS.214	CS.129	CS.348	CS.385	CS.147	CS.183	T.CS.057	T.CS.052	T.CS.072	T.CS.080	T.CS.028	T.CS.014	T.CS.025	T.CS.019	T.CS.085	TFS.023	T.CS.023	T.CS.046	T.CS.056	T.CS.076	T.CS.089	T.CS.147	T.CS.178	T.CS.126	T.CS.132	T.CS.128	T.CS.107	T.CS.117	T.CS.119	T.CS.110	T.CS.097	T.CS.100	T.CS.091	T.CS.177	T.CS.167	T.CS.125	CS.242	CS.088	CS.103	L.034.M1	CS.085	CS.356	CS.241	CS.015	CS.246	L.024.M1	CS.082	CS.237	CS.006	CS.238	CS.110	CS.150	CS.274	CS.325	CS.387	CS.187	CS.189	CS.233	CS.207	CS.164	CS.330	CS.113	CS.078	CS.228	CS.363	CS.311	CS.343	CS.163	CS.223	CS.080	CS.202	CS.322	CS.285	CS.112	CS.158	CS.331	CS.319	CS.339	CS.227	CS.320	CS.361	CS.253	CS.262	CS.390	CS.393	CS.370	CS.145	CS.326	CS.255	CS.270	T.CS.064	T.CS.008	TFS.025	T.CS.055	T.CS.031	TFS.022	TFS.020	T.CS.036	T.CS.026	T.CS.049	TFS.027	TFS.021	T.CS.061	T.CS.066	T.CS.043	T.CS.095	T.CS.157	T.CS.158	T.CS.166	T.CS.151	T.CS.142	T.CS.141	T.CS.109	T.CS.152
CS.259	0	0.612669196463	0.678726743558	0.539131553005	0.602548891192	0.424739722273	0.602547442912	0.573959280222	0.460420785028	0.616419579683	0.49192420117	0.562955199547	0.516244904786	0.586462307699	0.598831067724	0.585692047632	0.518668869976	0.741462764273	0.596981102394	0.673387781194	0.566914081456	0.603644934715	0.769871626146	0.572456613396	0.550011493198	0.604182088326	0.590478134385	0.624671228653	0.689403077017	0.582723463892	0.671507234407	0.708260659977	0.663641789472	0.670624302113	0.534160375004	0.584768262467	0.689656095462	0.652660558006	0.469753210673	0.626083822604	0.678307828306	0.627198358804	0.562125351538	0.646007030729	0.680394144006	0.637075714638	0.664769469104	0.642491771328	0.63963334045	0.665184696727	0.589094822333	0.718882293262	0.715820424235	0.6879333355	0.635472988688	0.598696583839	0.599423693528	0.660916616498	0.657005277021	0.730516164689	0.698387453225	0.626352616194	0.52044803816	0.569460382752	0.509111713368	0.523090134357	0.549705072108	0.618096703719	0.507581007395	0.539732926844	0.720861288026	0.612947349831	0.619177305987	0.551354873595	0.555960052586	0.456692572904	0.529864147346	0.495504881095	0.515335485184	0.551383029911	0.464000274359	0.525791172478	0.570950136417	0.498165882429	0.461448896021	0.531933842338	0.446941477718	0.51846702791	0.473094839146	0.503054842406	0.470631985959	0.63304933174	0.563109951163	0.572840851721	0.551822380851	0.675496017279	0.530888694688	0.554888657435	0.515664571901	0.527411454417	0.557246303986	0.66641813033	0.520745344902	0.559654750858	0.65679625249	0.577436155229	0.649943061192	0.750775019989	0.566292477595	0.616000022648	0.643569046156	0.605900461497	0.682719622179	0.742731064035	0.650575950448	0.531848168371	0.583152544966	0.633651409582	0.637615585498	0.592012539392	0.66094230957	0.647604274254	0.633739844272	0.599621348378	0.641124647702	0.679401396401	0.72758461425	0.643361837387	0.654761567805	0.582954242005	0.638569567436	0.612832949511	0.776455105728	0.593664903197	0.662357768254	0.734104648151	0.631220257338	0.652326138088	0.671805190317	0.635459983023	0.550554636321	0.617899625141	0.613743460007	0.645513768193	0.475284558907	0.551228364421	0.529186995337	0.519619482044	0.525834676595	0.471521875104	0.446846556424	0.558344737574	0.702162720764	0.632475907819	0.491092508396	0.541131324771	0.543402707636	0.463650436291	0.460098041644	0.469530958135	0.51703901961	0.479599498093	0.505714589185	0.435962724149	0.471359420064	0.489515160373	0.469096254859	0.478005637288
CS.260	0.612669196463	0	0.601953353458	0.595715298211	0.580830316748	0.649563504871	0.579155495257	0.62180847536	0.61822096267	0.619235684864	0.623578240713	0.666417543635	0.616917280882	0.587422561474	0.645631668742	0.608719837665	0.56368817311	0.632318131271	0.573974360651	0.638770449296	0.608451913766	0.560055449851	0.66787594738	0.530641656249	0.646994475828	0.63743293352	0.544311644401	0.53288735932	0.572438200492	0.637943724038	0.54621365826	0.619158937072	0.568762011586	0.566759811386	0.611274157219	0.580398814682	0.632727743391	0.510997819574	0.59841714433	0.568868383081	0.548901749385	0.548223909469	0.590410870465	0.506692760779	0.563997530404	0.536736602979	0.569378131911	0.535123902101	0.554434292844	0.587879664153	0.521065852647	0.631398362065	0.647996377368	0.591001557847	0.605064471155	0.605256689911	0.578573223997	0.548239945256	0.532444453035	0.621241107301	0.610571346853	0.523734242707	0.585660191619	0.594138981954	0.594670049109	0.58163212013	0.58960211081	0.600820292726	0.582597809829	0.58782757521	0.684513790612	0.5251944749	0.671952779556	0.558945618197	0.557817400268	0.653009582557	0.609300617895	0.599665726546	0.635399346011	0.603511243168	0.637917362967	0.61257150291	0.63923130359	0.616086288636	0.659737334079	0.658838145418	0.658187643589	0.641182774462	0.638092401515	0.578648859948	0.597248380922	0.673730294405	0.624252523422	0.60278054373	0.605680199194	0.620327298176	0.653920030758	0.675427195555	0.606537215707	0.665685254847	0.613148668724	0.601885963987	0.610524266829	0.62189834586	0.593148022039	0.564640541086	0.554810451069	0.63361977915	0.542404000448	0.524733278005	0.599867695835	0.655580463153	0.580800969068	0.686577508391	0.556730020879	0.645112638473	0.612180460365	0.595807973547	0.513147267995	0.620850907243	0.571655220142	0.596392235014	0.547673751741	0.590126704134	0.650434920838	0.531514026873	0.611692058104	0.571581240713	0.577516835934	0.543640204776	0.552501895743	0.593827058816	0.68947204099	0.538342757866	0.609731391189	0.616630543067	0.574274137475	0.560016790122	0.62237146505	0.544788568389	0.559218159724	0.540837468473	0.557549657894	0.547630770139	0.604543651466	0.567658933388	0.572974953956	0.601777835082	0.603386472479	0.633570357405	0.618957307215	0.629487665467	0.613396036904	0.564377548882	0.606427072807	0.617085916196	0.578866318016	0.663574142647	0.620662342198	0.654895262054	0.63192404025	0.613325477607	0.590299476357	0.63319713624	0.639487946026	0.651835461773	0.639427594239	0.592947726278
CS.091	0.678726743558	0.601953353458	0	0.655033870041	0.581782188708	0.689184459344	0.611758331481	0.661997719792	0.667841656743	0.637564801209	0.671904410655	0.673321114691	0.652853496906	0.612564598992	0.691766841462	0.617860921368	0.609874947715	0.628851643452	0.596350893336	0.647294622526	0.641736310701	0.573035332322	0.658042847564	0.607424711716	0.664692136991	0.647089752952	0.612125756055	0.581615068436	0.596936436447	0.683835289017	0.602440802764	0.624189956138	0.635168402225	0.592164775654	0.65398002027	0.60204215205	0.633935496544	0.599348945718	0.649368997943	0.573454641443	0.599934234823	0.574826880994	0.615556587281	0.575236441227	0.590344513873	0.566864684007	0.580880283901	0.600084945964	0.576248226142	0.616915953548	0.583622127646	0.6263235182	0.633642899238	0.585747745273	0.584976202141	0.621799753081	0.617058050893	0.562890893694	0.573978393442	0.642720142074	0.646425469291	0.635389310136	0.639167681607	0.626868722248	0.644414537996	0.643577853935	0.631260264988	0.648524214703	0.652372502478	0.648326974638	0.739444271274	0.606653451347	0.695820782806	0.630813532579	0.649197759956	0.70293662671	0.65428988242	0.651683695052	0.687475818675	0.62319492326	0.683781139594	0.644177794621	0.69471159104	0.680256804817	0.689740872981	0.698159486645	0.693420878667	0.679768048017	0.673137505535	0.632939558031	0.65986153589	0.706770624454	0.625760274416	0.651363871708	0.616654416442	0.653374104747	0.668482059076	0.68731094086	0.648002494769	0.691066357893	0.629815818598	0.591414254023	0.636858825948	0.630638573349	0.60117876755	0.590744136999	0.595485877787	0.657793190126	0.59683970127	0.591838672523	0.606934913991	0.641427764585	0.612086027328	0.678063421476	0.575300725787	0.646659980718	0.651270385749	0.629132995827	0.593409827968	0.645929316744	0.567247007776	0.622130157411	0.575314251163	0.584395620989	0.653960598354	0.61093121022	0.614585299153	0.622108829513	0.608201042985	0.59333009622	0.56948650895	0.634933759015	0.636678209721	0.589657111457	0.620209294098	0.644860979719	0.607573052032	0.562146185704	0.647181607244	0.615450615685	0.622386889263	0.584358624469	0.579821166252	0.579021189982	0.651786832661	0.660878115565	0.638798046486	0.662373043497	0.65924844437	0.674664145966	0.677055872543	0.65629291823	0.665394560387	0.635305462393	0.677966531408	0.659618910879	0.650939940153	0.680388415063	0.671588652849	0.702469643689	0.675727722662	0.657891174495	0.646999934028	0.683121461201	0.695690330518	0.707000162821	0.672990442325	0.650348332491
L.011.M1	0.539131553005	0.595715298211	0.655033870041	0	0.579793984934	0.553139767267	0.560348994643	0.581802654443	0.525609836996	0.616077551056	0.524862534258	0.557677651432	0.52124804406	0.591360276264	0.591867903835	0.598589539716	0.534759188169	0.720350128826	0.578198283445	0.649964284096	0.58145275677	0.614154276712	0.752795423123	0.59119451107	0.584350592213	0.583633452127	0.604762932495	0.60806018519	0.673746194264	0.597747437167	0.644474272758	0.706200452729	0.637035745726	0.652469410487	0.540297958463	0.545348714909	0.663222928449	0.608048133486	0.538804515019	0.599678016148	0.661169181163	0.603243593865	0.575735591339	0.632732732812	0.630053133342	0.598803870453	0.621505076648	0.612791627984	0.613464924256	0.66351892512	0.57604000829	0.711875116877	0.674446072909	0.644660705363	0.630109394047	0.574481774044	0.614177459155	0.605058088593	0.614106937009	0.722526637025	0.655563061686	0.629191641126	0.556213747323	0.568844438711	0.560186344172	0.594055918912	0.53677798268	0.588290546616	0.537018200595	0.554752884328	0.725126607773	0.585745951357	0.631219407178	0.567995843871	0.564475271466	0.552287886587	0.53513671689	0.50379797874	0.578875820768	0.592873389065	0.499823680545	0.511933525697	0.583989905546	0.541306838848	0.553931610026	0.580069580962	0.552622033551	0.54576155528	0.528474481072	0.548528543264	0.527157132672	0.627452877839	0.570927537857	0.550525132271	0.573102356049	0.659959225341	0.52334781628	0.570821073325	0.526297869501	0.573718910253	0.573934387941	0.633880152769	0.510871396655	0.563951096746	0.633132630708	0.580826799389	0.646980239977	0.738487389569	0.567686831182	0.59020225462	0.649532909615	0.609415618775	0.671851103485	0.707751718254	0.621611801918	0.541108043152	0.560609834652	0.613212562074	0.628613881165	0.565040501739	0.625288155943	0.619658703346	0.611032687177	0.582284946899	0.639965119695	0.657533497019	0.686614001999	0.610672221374	0.627791590479	0.56277706058	0.614414251974	0.622975591238	0.747300513445	0.588046874319	0.611656071137	0.727447416651	0.620981770163	0.6119968543	0.638177137999	0.625863132464	0.534089740892	0.595876864274	0.59308636473	0.631098987612	0.518633824746	0.575889051779	0.564268674148	0.549572459152	0.565848854384	0.538737228948	0.537390651423	0.605508970774	0.697027832768	0.623438330643	0.525852468982	0.564696470067	0.565804478862	0.545817175949	0.574471415602	0.556760258447	0.553027448413	0.510684599643	0.522049317439	0.540374973543	0.588226520099	0.57314811745	0.521722690412	0.54802101018
CS.043	0.602548891192	0.580830316748	0.581782188708	0.579793984934	0	0.640247839278	0.569304883275	0.636659667297	0.604990020467	0.570744963031	0.592944135784	0.614177689131	0.579596197392	0.564485829415	0.6371950783	0.561962425766	0.587752085569	0.65505930952	0.573373962621	0.649148580319	0.621238149553	0.548667460838	0.690258570449	0.573959620421	0.612637452101	0.605530891862	0.58693200314	0.586445500283	0.616491391292	0.615244139377	0.625010414174	0.661008719449	0.559246824153	0.603663016392	0.611064425005	0.580309996593	0.626122699477	0.604635058214	0.59134288251	0.552590362402	0.649485133895	0.562038652241	0.537413975052	0.583858847292	0.603671577464	0.591796760315	0.605057286058	0.598770869798	0.592993216834	0.631565860364	0.563538026936	0.655626031386	0.650597784411	0.638559454043	0.62476684859	0.602135172901	0.585425689758	0.607713379728	0.595570659062	0.658377859417	0.637360444996	0.595309225451	0.581426331955	0.610541882997	0.584960443245	0.5720542809	0.576197362523	0.616305100607	0.594050464371	0.619585835758	0.711505103812	0.595787953081	0.651874992149	0.578166306082	0.578724178371	0.624560662142	0.602013482199	0.587485521818	0.638634971405	0.590690619113	0.626356447583	0.614830393554	0.626573457121	0.592086913977	0.639648784264	0.626171456034	0.636461613122	0.62731694034	0.63229659838	0.584799333879	0.575153632072	0.657552193074	0.570706705656	0.609356429925	0.540865711716	0.650736051783	0.583010870301	0.639762375211	0.597258282812	0.646459529642	0.571463990298	0.57269112897	0.569168860646	0.536649405684	0.577697913374	0.574796807535	0.623879792908	0.705079474977	0.559223770417	0.591077285573	0.629293023127	0.59424424025	0.647069611643	0.661279640202	0.59769282638	0.596587690922	0.610367363909	0.579326738752	0.595271920333	0.581177460484	0.606149692087	0.613051422215	0.593016433656	0.556067348453	0.620847538098	0.628754092822	0.638458277806	0.551782763877	0.555322425442	0.567850340657	0.611118727464	0.625200933239	0.704694747844	0.568030536542	0.633047943855	0.663216338285	0.622845785126	0.601966878273	0.637528772504	0.607504513893	0.611842338457	0.597035273823	0.592823870579	0.614362678631	0.58384085919	0.589734450392	0.602013083405	0.619318423443	0.580287403252	0.61609238441	0.601113706012	0.600913958647	0.674215400342	0.628069358924	0.596087468686	0.612920201705	0.595770410951	0.615884723359	0.607461266268	0.636071988256	0.612564393844	0.601180818808	0.585065070102	0.634238589604	0.647607188724	0.647417765842	0.618768856705	0.584288706793
L.007.M1	0.424739722273	0.649563504871	0.689184459344	0.553139767267	0.640247839278	0	0.636208371765	0.603215056619	0.422177907481	0.658778819324	0.473145189433	0.560294875764	0.54688548594	0.619642887782	0.605641675994	0.626669446118	0.528955270554	0.763819935828	0.644586746729	0.686957715379	0.600515914167	0.645271071952	0.801854886093	0.620414165495	0.587060818022	0.629183566315	0.650077744742	0.655941072209	0.726956347628	0.575757314909	0.706105937859	0.7339052004	0.706629850308	0.707530274403	0.553595181158	0.607480373744	0.716479311647	0.681689476281	0.53259396906	0.647782059548	0.706082553422	0.676522108846	0.581787033122	0.6925308795	0.693614053037	0.667302810532	0.682134682509	0.68282164575	0.671431711264	0.715190320654	0.619972490419	0.748581178042	0.728517309175	0.702814232151	0.657750584023	0.616119744053	0.637548797705	0.684471268565	0.683251690489	0.772432776294	0.721587992064	0.678078363983	0.562834630091	0.615558146995	0.554109793896	0.576151208177	0.557643566494	0.646586412459	0.505489115909	0.566774218289	0.748453926765	0.644527815213	0.625634930035	0.58078063804	0.585884190251	0.413682694515	0.520312710015	0.507079316074	0.509775748212	0.575441313685	0.455186232454	0.479399694239	0.57991760443	0.500786584398	0.469168007076	0.533144364835	0.393558427261	0.502197948496	0.412530392245	0.497801457602	0.496725621972	0.641132511823	0.576364508964	0.590125228343	0.560527903129	0.690196023402	0.510469791654	0.532166439893	0.543864862551	0.463497652414	0.583642372233	0.694311366777	0.504436781698	0.565187797145	0.678061650087	0.610255332332	0.665020353831	0.75426155296	0.615935844951	0.664315306757	0.643508456876	0.608040949165	0.68865858745	0.763883740396	0.649440236481	0.550463332942	0.585465794761	0.661538125512	0.684061188744	0.615001655719	0.669367217441	0.701288125035	0.675526342108	0.638914645929	0.655046335092	0.698207187851	0.757073694419	0.684262007527	0.682244511081	0.607843863865	0.678991685373	0.654790186716	0.796834452538	0.603410016351	0.696739924732	0.760020822351	0.664676253032	0.683621648345	0.716182195783	0.682225190734	0.584283872612	0.632739344755	0.632083792289	0.678532079543	0.493493868934	0.573898279435	0.545729594426	0.507962536436	0.529202791136	0.467141923938	0.444375160249	0.554065883977	0.725886382178	0.623841135005	0.483049011517	0.558585697416	0.571983377287	0.457678339545	0.499992378041	0.418192586608	0.489198228167	0.476293811267	0.489240625651	0.411694547742	0.456168119419	0.448949725444	0.428106593784	0.503498008019
CS.219	0.602547442912	0.579155495257	0.611758331481	0.560348994643	0.569304883275	0.636208371765	0	0.64486473703	0.607298428591	0.558436034835	0.582773143251	0.598302005236	0.568366685883	0.521811816007	0.629200289991	0.52500913856	0.640016163316	0.691967036803	0.590054580238	0.623971707884	0.659178374941	0.537441083486	0.716036414067	0.552901694282	0.624713640547	0.562420324746	0.592864505709	0.593820593179	0.665187226963	0.627878953196	0.639777386895	0.669255979053	0.585756591755	0.637210329833	0.627201229133	0.580040693217	0.642110034375	0.629300096612	0.588531080315	0.538166960613	0.671184056966	0.560109589017	0.504795962751	0.61118113097	0.621002816262	0.58617873367	0.636707580765	0.588164456462	0.585312612572	0.633361408376	0.550047791073	0.665659955468	0.686526898145	0.657075952023	0.637324829799	0.603375731887	0.547531330759	0.574548842647	0.618768816598	0.674900515034	0.690889648916	0.606260449244	0.563151435642	0.66528337324	0.606331817232	0.564456678657	0.599419129707	0.608107337315	0.605906961439	0.653065251396	0.725491642361	0.630248604458	0.645721068462	0.546261817268	0.58712890772	0.614632240906	0.552122433794	0.568449108598	0.581468719653	0.532812965387	0.602828629093	0.604661211304	0.544944644782	0.576842703735	0.593462266347	0.582822401574	0.618290997047	0.585506451913	0.615691841864	0.609170110733	0.557231397878	0.699967302814	0.558830578107	0.617495768773	0.506189469937	0.679573870861	0.574479069201	0.635943629438	0.55669897662	0.655532240541	0.513315482969	0.578137668138	0.582438685312	0.58178344036	0.58973508173	0.551838510233	0.652586345451	0.749486685812	0.618092818983	0.592927627634	0.599871321995	0.550751897113	0.63342829323	0.659258368529	0.620881477055	0.612405616681	0.658994424711	0.565944772857	0.612432544106	0.593542759145	0.66278457086	0.567802421553	0.611961911708	0.565847609479	0.678263972609	0.658471314928	0.654658086917	0.557799645702	0.567411934843	0.525204537357	0.622861056716	0.656570412381	0.731983355928	0.601447220875	0.64703343959	0.676155512594	0.639298637839	0.609548738056	0.629851934776	0.613598554987	0.595709683547	0.58739124702	0.575352590903	0.619741865047	0.61153139791	0.667127010326	0.640178387137	0.618164385362	0.621363692134	0.591350291833	0.587952878262	0.547731108922	0.677608949745	0.652626236112	0.642767336988	0.6572709713	0.645153645836	0.623182806034	0.634055157073	0.62431122188	0.619989546161	0.576041876682	0.593603403003	0.655555675514	0.694860168978	0.680276534096	0.606239335417	0.581891073931
L.033.M1	0.573959280222	0.62180847536	0.661997719792	0.581802654443	0.636659667297	0.603215056619	0.64486473703	0	0.563335429036	0.65744835235	0.612511172246	0.643988789078	0.583300870393	0.638881571595	0.576118432953	0.637083456992	0.589625213021	0.696074128316	0.631598605094	0.632860158227	0.597694178007	0.631227952172	0.71594814947	0.662811464837	0.588509466821	0.621458661934	0.643983826402	0.664414563893	0.699487140444	0.592672992289	0.6694046672	0.669290652885	0.648548149516	0.65548503029	0.589596588117	0.611394005727	0.652510946328	0.647463072828	0.616129696245	0.646284360706	0.692555840571	0.629414744247	0.632688183318	0.636801906248	0.642255709305	0.673493074591	0.671116166293	0.651818876546	0.67479643343	0.675629532597	0.653453970284	0.726085077036	0.680294667536	0.64961672195	0.623042853726	0.636806592139	0.65742082698	0.663383194736	0.639105889803	0.695945559898	0.652764261308	0.628145918561	0.634877509049	0.571191022559	0.630021423236	0.621891295432	0.606583722358	0.603799428289	0.573882257179	0.566399087616	0.705367455346	0.615997399689	0.624293878097	0.637227213062	0.652667291738	0.61617877497	0.63007274236	0.614346320071	0.645847090662	0.639743646869	0.59553780298	0.601817899545	0.676821713608	0.618487895818	0.630210899617	0.639914236601	0.623694682916	0.618029619261	0.578340806485	0.583021020508	0.604303735233	0.571966134267	0.632291990336	0.583022344761	0.644229685512	0.660823346163	0.614378425365	0.587719845614	0.60604171083	0.577163095707	0.647215273118	0.637846692239	0.563336891759	0.599872468018	0.644802060878	0.619545296671	0.65203553755	0.719401098233	0.607379041966	0.617384267157	0.635345855457	0.640033435434	0.655718156523	0.691295506795	0.64189604126	0.561922828939	0.563064950837	0.628964320818	0.63516533792	0.579869917198	0.652450087859	0.619345830093	0.650311329196	0.605166703903	0.588933817418	0.671318003434	0.684889519182	0.623095301277	0.636033502238	0.642900847	0.669453216098	0.587037578913	0.717831645218	0.632723556652	0.620794342109	0.69844000747	0.612715903516	0.671957603793	0.648123805562	0.663423519219	0.604492497451	0.626037401357	0.656069551725	0.663337393206	0.582129795193	0.587409324249	0.593321980575	0.576034604486	0.569545348403	0.613127530613	0.611320738635	0.623759781508	0.671893051144	0.648232250456	0.576213730253	0.563847231018	0.631167886269	0.585216014555	0.567210530288	0.613180999022	0.556913182734	0.592235965516	0.580874022224	0.577281222701	0.581257121996	0.587510285908	0.615974225445	0.58068482385
CS.357	0.460420785028	0.61822096267	0.667841656743	0.525609836996	0.604990020467	0.422177907481	0.607298428591	0.563335429036	0	0.626597206842	0.470952335081	0.55181265203	0.501687058394	0.60260885476	0.573489552445	0.589315860192	0.472240760006	0.724851914834	0.624676258237	0.673689737806	0.575226612663	0.620163279063	0.761909136903	0.586157631979	0.559863592588	0.587098082542	0.632066888015	0.659250711979	0.706181579284	0.539799595341	0.662647240439	0.686802468271	0.669822349915	0.667491730369	0.478438606729	0.586720838443	0.69242509816	0.634496135053	0.521280414668	0.617908544388	0.671592306435	0.63181466994	0.562411440525	0.641273442965	0.636296781555	0.642269973076	0.667526566011	0.659832294968	0.656272202911	0.714323462633	0.598171844669	0.716832103199	0.715736094873	0.678770142841	0.637632552487	0.622556332995	0.637522466341	0.661692639237	0.661172718842	0.762719119872	0.685607693144	0.632481630435	0.549007806277	0.588096661434	0.545684026186	0.552395291541	0.527912274104	0.612632389547	0.463929007134	0.500402341537	0.736228447748	0.614114693127	0.607421168015	0.576863426437	0.575489403107	0.470918455839	0.521703486102	0.477865266175	0.553106416212	0.569839479843	0.442083386214	0.488528542207	0.607187833556	0.521793149016	0.487426929931	0.519984223825	0.46973092727	0.50832815958	0.442053082828	0.498802508866	0.473956343039	0.613052949163	0.573935714948	0.544404891832	0.580528172667	0.659866127917	0.498846463687	0.530398153378	0.50826434403	0.482457487156	0.577326538537	0.64440959835	0.479922809653	0.55265729019	0.652670405809	0.603367887099	0.654503103066	0.744919822031	0.57773084776	0.625022809565	0.639156527084	0.596790727504	0.691225570931	0.729274991378	0.634814646768	0.492650711294	0.525865630001	0.622548649996	0.656615999858	0.576411076163	0.615171770936	0.645604466734	0.65269741548	0.602320696805	0.630981763408	0.669383156278	0.734284204762	0.640222666374	0.647371061146	0.570489421497	0.629609573223	0.604713350562	0.772139169347	0.595477121366	0.643183890846	0.74438501472	0.665798550276	0.658385581414	0.675625273821	0.668644012771	0.562131223442	0.611959927035	0.6161410873	0.661738411008	0.493757518959	0.531555742999	0.494424783919	0.500621023751	0.497042607378	0.486769425608	0.461611105479	0.550062764286	0.717245670461	0.62037959111	0.467160286757	0.529780403708	0.540521751642	0.472727678043	0.435289888325	0.47318234456	0.486569392396	0.429241941694	0.443793784458	0.431904390748	0.466288339395	0.461489893267	0.455427022059	0.471064605859
CS.002	0.616419579683	0.619235684864	0.637564801209	0.616077551056	0.570744963031	0.658778819324	0.558436034835	0.65744835235	0.626597206842	0	0.589045809094	0.565846025259	0.546409454574	0.514731981178	0.581180260713	0.518270044633	0.637497106972	0.71073820709	0.602726261042	0.597087623626	0.641624774497	0.541892882678	0.713080326235	0.614240861474	0.564799592979	0.524238958013	0.599666859089	0.587349269427	0.638969426162	0.624672563973	0.648965770303	0.722092693838	0.550624870786	0.623215631076	0.621352394916	0.587967992893	0.653121324605	0.645011148731	0.622422281919	0.537537188135	0.705665213974	0.540183713306	0.528161440537	0.638443965427	0.647874842138	0.619650916204	0.612335028066	0.615882358761	0.593534434549	0.612230742465	0.589028554386	0.707150051703	0.663280897818	0.667717057486	0.638666607789	0.581788581239	0.603822274213	0.628321441104	0.643536248104	0.653436634021	0.708207348715	0.627228926927	0.59809358149	0.659293220362	0.61482399697	0.606779171753	0.636531320095	0.611653820956	0.631318450507	0.673552527727	0.74427197322	0.642252046372	0.620825702152	0.622662416277	0.619423751403	0.640521922554	0.596239511266	0.60010093532	0.640243272483	0.590906707831	0.637749911935	0.614303380049	0.606953320644	0.609374499325	0.635153197971	0.611670269871	0.652954554959	0.625512328911	0.625615935013	0.629700166789	0.595850220489	0.673119645485	0.532246825488	0.602510728987	0.504923497184	0.712012447067	0.591141933146	0.622822976329	0.570775162882	0.669808094136	0.549525353994	0.549684550355	0.581377398972	0.579576238892	0.566082384732	0.561293239314	0.668129080969	0.747644318769	0.62737554496	0.618594991981	0.640073309681	0.555030269042	0.64617744221	0.610484260901	0.626391727431	0.599327349703	0.645216205045	0.540795905279	0.616171881255	0.613505518155	0.656114242067	0.581083598544	0.617857735285	0.554946905397	0.6707838287	0.633464592478	0.666838711827	0.53746100743	0.542323342106	0.548922731315	0.633312030066	0.678322920088	0.74497165279	0.592041344858	0.657582279953	0.694409050447	0.661815994858	0.598180692888	0.611944070507	0.605682861714	0.625993811116	0.637427156468	0.604550083115	0.624162794255	0.611312029274	0.66965463631	0.665823532979	0.604686385495	0.609607400625	0.629540583368	0.632694537478	0.564393601562	0.71669450696	0.662589599593	0.641819424945	0.65580091013	0.619514177583	0.639701328873	0.61607241442	0.632551417734	0.636414773522	0.640995276117	0.61991504957	0.646214848989	0.678370926429	0.653264828193	0.623842209927	0.619531234336
