L.007.M1	CS.019	CS.295	CS.354	CS.007	CS.219	CS.098	CS.092	L.012.M1	CS.016	CS.038	L.011.M1	CS.260	CS.265	CS.084	CS.065	CS.066	CS.327	CS.076	CS.334	CS.056	CS.149	CS.073	CS.381	CS.368	CS.115	CS.040	CS.062	CS.229	CS.290	CS.236	CS.203	CS.374	CS.128	CS.232	CS.224	CS.292	CS.302	CS.126	CS.282	CS.136	CS.041	CS.380	CS.378	CS.376	CS.166	CS.177	CS.129	CS.386	CS.254	CS.178	CS.182	CS.183	CS.369	CS.348	CS.323	CS.389	CS.349	CS.256	CS.181	T.CS.034	T.CS.067	T.CS.025	T.CS.072	T.CS.022	T.CS.003	T.CS.085	T.CS.041	T.CS.071	T.CS.057	T.CS.042	T.CS.007	T.CS.019	T.CS.056	T.CS.048	T.CS.134	T.CS.178	T.CS.110	T.CS.120	T.CS.116	T.CS.107	T.CS.122	T.CS.118	T.CS.104	T.CS.144	T.CS.105	T.CS.160	T.CS.108	T.CS.123	T.CS.102	CS.356	CS.237	L.034.M1	CS.110	CS.015	CS.087	CS.006	CS.085	CS.241	CS.082	CS.103	CS.242	CS.238	CS.246	CS.088	CS.164	CS.346	CS.347.0	CS.113	CS.189	CS.304	CS.308.0	CS.387	CS.358	CS.207	CS.212	CS.338	CS.044	CS.228	CS.330	CS.321	CS.361	CS.318	CS.163	CS.343	CS.285	CS.080	CS.322	CS.152	CS.223	CS.202	CS.227	CS.331	CS.112	CS.339	CS.253	CS.370	CS.326	CS.270	CS.145	CS.262	CS.390	CS.255	CS.393	T.CS.055	T.CS.026	T.CS.066	T.CS.049	T.CS.064	TFS.021	TFS.022	T.CS.045	T.CS.031	T.CS.043	T.CS.061	TFS.027	TFS.025	TFS.020	T.CS.008	T.CS.166	T.CS.141	T.CS.142	T.CS.158	T.CS.152	T.CS.095	T.CS.151	T.CS.109	T.CS.157
L.007.M1	0	0.54688548594	0.609530764952	0.605641675994	0.518233487227	0.636208371765	0.523251775323	0.576715307701	0.481237459548	0.615694489319	0.608954941396	0.553139767267	0.649563504871	0.539931091215	0.600165463007	0.644586746729	0.587060818022	0.575757314909	0.687725595593	0.726956347628	0.726163561593	0.681224855804	0.680658673526	0.579643209473	0.532236061037	0.716231260971	0.605233437669	0.5522904834	0.689765813651	0.688284031189	0.758395818396	0.553595181158	0.693614053037	0.607480373744	0.581787033122	0.765149821763	0.647782059548	0.7339052004	0.526303007971	0.706105937859	0.676522108846	0.706629850308	0.53259396906	0.716479311647	0.6925308795	0.715190320654	0.702814232151	0.616119744053	0.728517309175	0.68282164575	0.5989373127	0.619972490419	0.772432776294	0.78246085794	0.637548797705	0.667302810532	0.68475543604	0.668661341423	0.682134682509	0.649374391457	0.514785511931	0.49992632092	0.557643566494	0.562834630091	0.606043331886	0.427024412832	0.505489115909	0.556123285114	0.528044516248	0.721587992064	0.477238194494	0.635085590297	0.646586412459	0.625634930035	0.558419229425	0.489889735939	0.520312710015	0.500786584398	0.514680451596	0.599611072468	0.455186232454	0.488771617151	0.548061451488	0.463594838766	0.444914276349	0.60933041298	0.496041354049	0.42782775616	0.510998898749	0.469960961659	0.690196023402	0.694311366777	0.590125228343	0.678061650087	0.532166439893	0.580752783646	0.504436781698	0.560527903129	0.510469791654	0.583642372233	0.576364508964	0.496725621972	0.565187797145	0.543864862551	0.641132511823	0.763883740396	0.766329629393	0.70510473015	0.550463332942	0.643508456876	0.734611165716	0.731522998996	0.615935844951	0.777392665646	0.68865858745	0.661759201477	0.676761000489	0.56104966849	0.661538125512	0.649440236481	0.531140969403	0.696739924732	0.676116413309	0.701288125035	0.669367217441	0.757073694419	0.638914645929	0.698207187851	0.539361331	0.675526342108	0.655046335092	0.796834452538	0.607843863865	0.684262007527	0.654790186716	0.760020822351	0.682225190734	0.632739344755	0.678532079543	0.584283872612	0.664676253032	0.683621648345	0.632083792289	0.716182195783	0.507962536436	0.725886382178	0.457678339545	0.623841135005	0.493493868934	0.558585697416	0.467141923938	0.54344389198	0.529202791136	0.499992378041	0.571983377287	0.483049011517	0.545729594426	0.444375160249	0.573898279435	0.489240625651	0.448949725444	0.456168119419	0.476293811267	0.503498008019	0.418192586608	0.411694547742	0.428106593784	0.489198228167
CS.019	0.54688548594	0	0.543994724127	0.568890372531	0.498418440397	0.568366685883	0.559861319536	0.572822648783	0.566964116461	0.547199836566	0.528124974273	0.52124804406	0.616917280882	0.609360293511	0.568147653274	0.553783600259	0.558534081626	0.583913002448	0.62044579291	0.666958710392	0.624534594632	0.608772636362	0.606666240414	0.540748678043	0.51978208017	0.659660234541	0.551311849348	0.505776406804	0.59139443646	0.627459528719	0.655627878915	0.508095834608	0.6311921865	0.558340495228	0.560698537932	0.73758629409	0.577216785506	0.694883075206	0.538408620813	0.659407357316	0.593889143253	0.606276820194	0.527708415614	0.671629680456	0.622621867051	0.663900503698	0.653075747613	0.594786419393	0.682898422096	0.63453710431	0.574115143506	0.594311639273	0.697482935671	0.714343191545	0.627606690368	0.625662808847	0.634979612204	0.621254737354	0.644260017945	0.624051116915	0.529809474302	0.537229722873	0.541955631047	0.549094819064	0.558417121402	0.526802660019	0.507055227604	0.530793462502	0.549390740996	0.66924377231	0.515174878642	0.630838451596	0.598184648613	0.582627277176	0.539388317568	0.551725896991	0.544691516042	0.574721503328	0.489657672433	0.589110216588	0.501360102114	0.525402056698	0.573137613253	0.548548899835	0.540659620973	0.636390450845	0.567579196665	0.57724245157	0.529362558751	0.562426021194	0.674343880596	0.610598092493	0.554810679572	0.611709229843	0.565751176174	0.559447018864	0.508015395131	0.558069176768	0.525681999336	0.575465845119	0.554936010678	0.525409849156	0.53107264243	0.522954754439	0.595124258312	0.676772006514	0.718124735001	0.651213589952	0.508953891044	0.650595563934	0.693175758139	0.636828634336	0.570236563719	0.719658590327	0.670536187381	0.658874722395	0.6164962912	0.523628037752	0.584657824865	0.620035463104	0.511112159713	0.624075885426	0.635396963168	0.583149953933	0.616485712307	0.68418758291	0.554890016642	0.659082298322	0.533061041115	0.633202927314	0.635216317998	0.738646081871	0.58850458855	0.584372968623	0.621211009051	0.732808055917	0.616667846911	0.63348189029	0.65177387175	0.526043946432	0.651505965019	0.632897313542	0.601993637432	0.651328826263	0.545340708308	0.696156450474	0.538799573187	0.63208914031	0.513299369971	0.57583481917	0.540747971458	0.544950546548	0.532485887945	0.538948386397	0.565681226364	0.516024132792	0.550633117515	0.541295583131	0.575007550343	0.526337861131	0.562244927263	0.570157730529	0.520318784681	0.53395252758	0.570124114215	0.528183227511	0.550048047669	0.550767853938
CS.295	0.609530764952	0.543994724127	0	0.647830558577	0.560265011697	0.613063153718	0.651545580672	0.642888744562	0.649890521697	0.613230056425	0.627774478202	0.558633266524	0.56616707519	0.649132161583	0.652127965308	0.570446246634	0.650847011328	0.647108725956	0.639143023871	0.620404866122	0.627531216342	0.562496556066	0.666016375096	0.539736111077	0.515874629211	0.666821779789	0.638538292121	0.573289697783	0.582702620025	0.568343997053	0.664083751142	0.526765827256	0.610209560479	0.485336692635	0.587828368386	0.702596463453	0.603941553121	0.645882705834	0.53101001999	0.594314322536	0.583047526976	0.631179978609	0.523991531816	0.684516399067	0.60116671583	0.612533099283	0.618791176935	0.589701518383	0.683313446549	0.578079917546	0.581730654205	0.535641243652	0.670301356221	0.669678400533	0.599644328873	0.551165907413	0.577785857767	0.570615203993	0.602161084736	0.544990018534	0.557247394565	0.544482405536	0.547580300506	0.56901244183	0.521023533429	0.573345228156	0.545058837305	0.576998905319	0.551341379013	0.648469659825	0.548921187666	0.590485841862	0.579565004319	0.654454064534	0.597859042661	0.58015375096	0.601480701593	0.633627346343	0.551989157118	0.623450528181	0.548929977659	0.53906189531	0.573489417292	0.617450378467	0.592682622729	0.689611479892	0.609592820679	0.638003531093	0.532787542077	0.632925229937	0.66962280849	0.638895941093	0.603834141248	0.637438131509	0.656439257049	0.604532463323	0.576723341342	0.611485845373	0.60498469426	0.615938810757	0.636745693387	0.560176056246	0.59407982181	0.537261546232	0.665952937186	0.740507891853	0.694248532557	0.667895712409	0.608000190655	0.646712389152	0.655650763506	0.663022366265	0.521376806155	0.69178747851	0.650554671277	0.622025165853	0.582655418096	0.608198793323	0.633384269577	0.554846812703	0.559506083773	0.585905266362	0.569258694124	0.629630819502	0.575460256519	0.66117918082	0.615056433144	0.617607311378	0.51645236334	0.55296321261	0.640354557462	0.732306223533	0.567485254002	0.617444944911	0.588420322166	0.70844205139	0.568335803528	0.599013835031	0.61485757434	0.526581623558	0.633194181817	0.573256127951	0.593657354042	0.607951419879	0.580088189027	0.681397849893	0.609927690332	0.61633898891	0.560075618781	0.597506002751	0.58824864003	0.603416155172	0.588543277231	0.558050842365	0.52380765999	0.574464413881	0.548710254667	0.58423764439	0.556617033089	0.545235464332	0.625469507756	0.608983236836	0.54668857981	0.563810268544	0.637872348715	0.582441139479	0.586778581809	0.616255919427
CS.354	0.605641675994	0.568890372531	0.647830558577	0	0.613848487932	0.629200289991	0.631318726313	0.633905965098	0.617916133039	0.60346802539	0.535999705087	0.591867903835	0.645631668742	0.66820569907	0.616223790371	0.655815954825	0.565606308197	0.578280033572	0.638168796335	0.698337591981	0.685024795091	0.63943564391	0.588183914686	0.626171821008	0.622819906986	0.648545335138	0.605505123885	0.571364179011	0.661203844694	0.663036264276	0.683876270398	0.607500225536	0.647077131395	0.613314520906	0.631419655243	0.71441340937	0.629601118785	0.700476670249	0.62123519222	0.689055024178	0.628486586621	0.622548580848	0.645404485702	0.62513711069	0.638991386262	0.693077332071	0.66471286166	0.596876547525	0.666030752446	0.669869109428	0.648855147057	0.653053773984	0.700134616835	0.693456193813	0.675404411864	0.685100290484	0.679006331474	0.679260123098	0.662934318616	0.649691031141	0.621726081955	0.588113868697	0.639986605996	0.643182487627	0.618013966318	0.610999845598	0.614526239402	0.593457157578	0.642194858859	0.664564684573	0.633280833727	0.651127412412	0.600397344067	0.570832781429	0.591588274939	0.604856483179	0.638078277941	0.608579795306	0.587674343695	0.572235744204	0.619549362795	0.624526919998	0.624515937951	0.641981149714	0.608252255044	0.671754112807	0.656454418101	0.649535483329	0.607409025657	0.61931554565	0.660598882752	0.619582184048	0.58362326001	0.626442701598	0.576286332233	0.576796328844	0.575246591332	0.607807980341	0.606679723849	0.633087026233	0.611858978652	0.591580368853	0.6091560555	0.60948733681	0.582284708394	0.659911372161	0.711348196681	0.652093994388	0.555846401104	0.661728545689	0.690915092716	0.649094052454	0.619524052273	0.71487548498	0.66961302458	0.641336240033	0.636900050313	0.577660675983	0.58812485099	0.647837852972	0.587273211817	0.610239976353	0.676523953637	0.61632334387	0.669168626075	0.697097928971	0.60837384776	0.671459826888	0.629603395452	0.669646188822	0.623806567275	0.747124963702	0.646994957412	0.590492416385	0.630055469344	0.709386524697	0.671229081184	0.642005181373	0.649356400935	0.636266092348	0.609742909627	0.663612534486	0.640455450353	0.618719868104	0.581757623161	0.688903440097	0.616132802115	0.640233668481	0.568992445916	0.592958020235	0.646441656039	0.609126070264	0.550190562508	0.610197420244	0.635342610559	0.609513652465	0.623403804608	0.638877662758	0.601977568725	0.611697497904	0.542552361799	0.5746362591	0.620005083104	0.622182186948	0.630133929382	0.580955888537	0.635634150854	0.540771212984
CS.007	0.518233487227	0.498418440397	0.560265011697	0.613848487932	0	0.598515612189	0.525836985769	0.585169014588	0.559093020985	0.558161079062	0.575441390213	0.509178325761	0.632378520822	0.592688681391	0.584589115042	0.562414384553	0.580093075487	0.590257031334	0.64140539965	0.679113343027	0.648133083596	0.593513488754	0.655085722067	0.542057041227	0.500141754471	0.696445585415	0.541861068312	0.504928923697	0.608974661385	0.642970004018	0.695452690664	0.505717753422	0.657946337735	0.55587296215	0.542848365897	0.741322953341	0.571505744732	0.721672300385	0.501016001939	0.655647334921	0.60652465219	0.648220091819	0.514745281083	0.690087169011	0.640608598568	0.651137000249	0.653545177325	0.605629544268	0.680693140355	0.626027096836	0.578600881523	0.573350389788	0.728862346169	0.727971421239	0.604309544858	0.60792283562	0.616439585113	0.617114720103	0.623020847051	0.616703352446	0.519778194929	0.535036116213	0.548146343413	0.537081192743	0.564141643939	0.501122041374	0.536716287906	0.534255546664	0.535044783284	0.69539867031	0.523793381118	0.651672299298	0.613700208564	0.638498585178	0.559738103762	0.524733796056	0.501285491337	0.538836359997	0.528562652653	0.580124074895	0.495956221144	0.52086816548	0.559341243751	0.527435899928	0.526810003757	0.634395334431	0.542253032528	0.527329880567	0.506647851871	0.518897646419	0.69781230106	0.637114946742	0.577121229512	0.638289162782	0.563218278814	0.607073102699	0.529429559267	0.574315222843	0.479225241861	0.577314292953	0.568888894381	0.524773465153	0.513028745123	0.519934664006	0.655171746864	0.746374988466	0.746139380358	0.684616450047	0.530066672606	0.662025310487	0.694594623546	0.671659559941	0.561112783748	0.750225351122	0.695587166265	0.631459072787	0.623325731687	0.518028658757	0.631948665782	0.632176840549	0.51596391915	0.643073301446	0.638356846166	0.650674663718	0.635200399663	0.708227083503	0.608558425232	0.662264751486	0.518820171209	0.620231805536	0.612385010568	0.7680653925	0.561050387833	0.639670000518	0.62510765387	0.748459047354	0.624850082562	0.628710488623	0.636336881561	0.532828653831	0.639897190363	0.611215817885	0.60910202022	0.665015575722	0.538931397269	0.724973671837	0.508808691294	0.65162898048	0.500098085443	0.557862880099	0.509995842719	0.566168931349	0.526599032163	0.549707025935	0.54883920245	0.515248724403	0.553650773511	0.513313530423	0.571738839604	0.499328627579	0.55485441433	0.57166113499	0.508980346719	0.516844761327	0.537464600821	0.505378809821	0.506477729019	0.561155426072
CS.219	0.636208371765	0.568366685883	0.613063153718	0.629200289991	0.598515612189	0	0.566098170814	0.499371645661	0.625033499259	0.581161343196	0.653947345237	0.560348994643	0.579155495257	0.567307322291	0.501469813231	0.590054580238	0.624713640547	0.627878953196	0.556607089377	0.665187226963	0.615047056642	0.597137389291	0.58788328088	0.562786013559	0.558436616024	0.599583076157	0.558521796164	0.548321836732	0.597819468578	0.641006508093	0.599137235861	0.627201229133	0.621002816262	0.580040693217	0.504795962751	0.729581726163	0.538166960613	0.669255979053	0.576580410319	0.639777386895	0.560109589017	0.585756591755	0.588531080315	0.642110034375	0.61118113097	0.633361408376	0.657075952023	0.603375731887	0.686526898145	0.588164456462	0.598374728101	0.550047791073	0.674900515034	0.666572080084	0.547531330759	0.58617873367	0.583278020024	0.594982373842	0.636707580765	0.605751111126	0.607886828944	0.604649534771	0.599419129707	0.563151435642	0.608761770554	0.621272942569	0.605906961439	0.586566316737	0.621513505603	0.690889648916	0.575488270161	0.656736098825	0.608107337315	0.645721068462	0.601321393732	0.620714815804	0.552122433794	0.576842703735	0.600401826132	0.570646345599	0.602828629093	0.564747483052	0.583275936845	0.592148711288	0.627627129115	0.530098688533	0.595433305392	0.603716864409	0.612783121955	0.628651453495	0.679573870861	0.578137668138	0.617495768773	0.58973508173	0.635943629438	0.624642704299	0.582438685312	0.506189469937	0.574479069201	0.513315482969	0.558830578107	0.557231397878	0.58178344036	0.55669897662	0.699967302814	0.659258368529	0.666774236144	0.621291882674	0.612405616681	0.599871321995	0.667264504023	0.592879699084	0.618092818983	0.719959204884	0.63342829323	0.680731290936	0.559804321103	0.590294112189	0.565944772857	0.620881477055	0.600853030948	0.64703343959	0.616493049477	0.567802421553	0.66278457086	0.654658086917	0.565847609479	0.658471314928	0.562060484546	0.611961911708	0.678263972609	0.731983355928	0.525204537357	0.557799645702	0.656570412381	0.676155512594	0.613598554987	0.58739124702	0.619741865047	0.595709683547	0.639298637839	0.609548738056	0.575352590903	0.629851934776	0.618164385362	0.677608949745	0.623182806034	0.652626236112	0.61153139791	0.6572709713	0.591350291833	0.630449172428	0.621363692134	0.634055157073	0.645153645836	0.642767336988	0.640178387137	0.587952878262	0.667127010326	0.593603403003	0.680276534096	0.694860168978	0.576041876682	0.581891073931	0.62431122188	0.655555675514	0.606239335417	0.619989546161
CS.098	0.523251775323	0.559861319536	0.651545580672	0.631318726313	0.525836985769	0.566098170814	0	0.517620673309	0.522148629338	0.587622891794	0.622704464554	0.554173223137	0.64232195859	0.523403447188	0.520880460563	0.627050591142	0.592800725429	0.593375856284	0.665207035971	0.718932526326	0.685200472947	0.652265232373	0.651338893221	0.550466457039	0.566686989424	0.686051673718	0.563602243522	0.540597530216	0.660964417777	0.690122629769	0.698631898389	0.571418340397	0.684875737711	0.612406692772	0.535049733571	0.782481103133	0.582706999288	0.760588688774	0.55428340257	0.713393169076	0.632040770438	0.642084985517	0.528149337649	0.729605400163	0.68774603669	0.692169160514	0.701027179807	0.6090026056	0.731274548492	0.672919000575	0.603463154071	0.60339492013	0.757410251188	0.763173594251	0.594419956199	0.656699719792	0.665461920099	0.633741244986	0.680038941345	0.65083577459	0.555701558702	0.576099565865	0.587011288911	0.529871405662	0.613419300826	0.527543849045	0.585400496768	0.577681422124	0.5620350076	0.729095436222	0.539179302518	0.673626382491	0.655464745721	0.645868230335	0.565889114002	0.576765409521	0.496182901395	0.49599523561	0.561768154577	0.628294730517	0.53317883157	0.515873544129	0.584047656158	0.506074756744	0.527668682524	0.554782102432	0.490457946649	0.472817403564	0.559700796386	0.529186650128	0.724575936055	0.671944341796	0.605206742726	0.655212714049	0.570692043632	0.644395115834	0.575952781726	0.534482434208	0.476239139471	0.550209112066	0.524155403145	0.518566531259	0.577726921497	0.562926540251	0.660356511613	0.750436946818	0.782197460403	0.698443672345	0.561756804129	0.652196206031	0.721256120125	0.708756643935	0.63081288989	0.78703808193	0.710305363885	0.701792140901	0.641454990196	0.55711872875	0.640530038882	0.674630702152	0.57436105276	0.706679484822	0.687776215423	0.676045422133	0.699677469387	0.752665941699	0.597440707781	0.706928681571	0.532352734367	0.67484754918	0.694606934042	0.804836698449	0.576751088079	0.654325403681	0.689343883326	0.756540727757	0.65076134323	0.65022129682	0.67101558754	0.611253501839	0.665655415963	0.663431830261	0.610067092413	0.679446276804	0.555733816695	0.734120867344	0.533172212163	0.678423929681	0.532274506326	0.597391584078	0.516285433209	0.599633839588	0.552503176518	0.582344458927	0.638972155219	0.563592837153	0.632970250778	0.498681432676	0.629418902764	0.582637860574	0.582476181342	0.603048300777	0.532273513359	0.554513081022	0.496486578723	0.556268204784	0.521757162059	0.582519315432
CS.092	0.576715307701	0.572822648783	0.642888744562	0.633905965098	0.585169014588	0.499371645661	0.517620673309	0	0.581329177855	0.598144347704	0.647891260152	0.567935434728	0.639276020216	0.48235361706	0.499280266402	0.642427520242	0.575383019824	0.638169803966	0.567070069444	0.704829707217	0.667054619744	0.637188018093	0.61428925207	0.575743743194	0.566649847309	0.613115964945	0.572090985393	0.520126879053	0.670407399634	0.696847669514	0.663355643246	0.606322550755	0.659196060166	0.623567617984	0.49515727799	0.770399667719	0.584947725009	0.741403456914	0.589857323688	0.697221577942	0.591113103636	0.64321252036	0.578036983713	0.676799218342	0.685802576893	0.677152690038	0.695415654199	0.587057602609	0.718502326408	0.668657771033	0.620158860801	0.593766486815	0.735375067333	0.707620483077	0.591738472776	0.646964646825	0.654730354141	0.626331686427	0.685248934455	0.623345242799	0.594093843981	0.608119981718	0.599679156664	0.547588258962	0.629002055385	0.569617206366	0.597803037934	0.596248190053	0.603326830998	0.727734255797	0.517665974095	0.681613080321	0.640272647778	0.638676358488	0.622494547426	0.599195360787	0.49141186931	0.493473077399	0.581182721073	0.567115631698	0.556008494288	0.54575648848	0.590652759768	0.515626559364	0.571729634501	0.484547060615	0.511806524132	0.515744665592	0.603289025383	0.587325087699	0.720201543958	0.592659250223	0.593984568236	0.609555129019	0.603814736337	0.600879771105	0.553460313781	0.463482779866	0.558792700511	0.381231409451	0.523633132035	0.52653904146	0.551960770128	0.541748672278	0.688460773909	0.669766315616	0.736445880973	0.695398456686	0.61500778455	0.637626466807	0.692737969413	0.655624653377	0.652993988833	0.780706084982	0.670734957167	0.72596893691	0.610296619135	0.58460746904	0.588060427699	0.660774690639	0.593493751408	0.693472866558	0.683343747902	0.613202367315	0.704576460786	0.712063137004	0.584937837743	0.709915295112	0.54581125109	0.665061923544	0.684868211098	0.789587030533	0.566747896611	0.602706429179	0.694601478764	0.721671558201	0.672338435479	0.62054539779	0.675354019264	0.617255196138	0.688170547681	0.663588797632	0.622330555921	0.668899684752	0.597739496367	0.731156729295	0.556482400771	0.69046480528	0.575846798215	0.645291837008	0.538721572488	0.629217257793	0.618978984255	0.620642862626	0.651571936485	0.617278145984	0.659787586309	0.533607678267	0.703196532457	0.590435027623	0.646101910726	0.649941842511	0.542670786413	0.587925061541	0.549419509684	0.598338873548	0.530421671606	0.592840224041
L.012.M1	0.481237459548	0.566964116461	0.649890521697	0.617916133039	0.559093020985	0.625033499259	0.522148629338	0.581329177855	0	0.600417371983	0.619240584233	0.559077902818	0.621070140642	0.55460027366	0.570103704398	0.632526370756	0.595659662848	0.588280478109	0.678399052864	0.70596556782	0.680313311309	0.662043578434	0.662555624914	0.55977158782	0.558689561771	0.693992311935	0.589748430156	0.563253360962	0.6543825711	0.673125966867	0.71642804466	0.552428890958	0.68712316321	0.630736770805	0.604515817185	0.756203149985	0.629999375361	0.730883906043	0.567923830373	0.680431249574	0.647370139801	0.669456719364	0.54181943658	0.708666244291	0.657953432205	0.69969629107	0.704461534636	0.638974595769	0.724605902946	0.675894668075	0.606615248205	0.628050768899	0.745628614858	0.758414203614	0.61295453849	0.670855328766	0.679274289881	0.642884052742	0.676477553977	0.652076936578	0.560147788791	0.554491317831	0.558372931347	0.558866851917	0.603401777472	0.506858082267	0.55994808645	0.552833992926	0.545678338364	0.698565291248	0.533641800321	0.637392151458	0.644976750868	0.641649776241	0.554649798113	0.57341854237	0.538867563993	0.503405252607	0.550533287473	0.606637444341	0.544774832486	0.539360877549	0.57791922977	0.533887239422	0.536307204282	0.601249009517	0.541930118272	0.517389409089	0.562688861079	0.557330437756	0.702075729715	0.662529500504	0.5711603283	0.661426972393	0.591318282757	0.626447567036	0.562688258187	0.566733335716	0.531999760615	0.584452547823	0.584654805876	0.535210368912	0.600803146745	0.578213017108	0.662423900481	0.735149889842	0.753928814788	0.700843573253	0.587665950088	0.648257579449	0.724576623462	0.704490086107	0.614272979378	0.756363772232	0.701214264402	0.690494054864	0.654391467233	0.563947506186	0.627983776872	0.665844873059	0.568662640382	0.686198596859	0.650600907201	0.671296307335	0.675451711835	0.733409833133	0.624252231056	0.689233593062	0.575868874654	0.674926194589	0.676250718527	0.786153906739	0.590631271668	0.665155020735	0.667627203055	0.754244178332	0.66963516151	0.645003423525	0.692684273835	0.607534140738	0.673656058681	0.675817036163	0.629699354037	0.692391600978	0.551538130633	0.70596108325	0.547828598156	0.628720874688	0.546158062523	0.565796978908	0.530086299451	0.569333674914	0.567434852243	0.562389534488	0.581799400258	0.522296923685	0.575377789008	0.506931719812	0.587063332828	0.580914757916	0.548892525272	0.5581884894	0.553558593829	0.554724537571	0.508880045579	0.552224429848	0.515976392039	0.546844535029
CS.016	0.615694489319	0.547199836566	0.613230056425	0.60346802539	0.558161079062	0.581161343196	0.587622891794	0.598144347704	0.600417371983	0	0.550330294645	0.542318693372	0.619167719721	0.63954930926	0.589712087914	0.573580558938	0.567780720783	0.613296605206	0.611327782342	0.659683002178	0.607080250796	0.588004452778	0.576462350503	0.585026777045	0.579117711343	0.641161433029	0.536009732701	0.540584438534	0.592573502945	0.632388183139	0.654540626713	0.565320826132	0.66210547502	0.578482592248	0.577683630944	0.733857599994	0.600109296004	0.700451761572	0.586985625194	0.649316419356	0.601637426861	0.61207063463	0.568766112655	0.6516505002	0.615957443602	0.662751349075	0.657099908939	0.594234955117	0.676551413397	0.645708503556	0.624911332743	0.629096181133	0.681871742023	0.697259561596	0.625327046494	0.627039409111	0.642763537698	0.622183483795	0.661134024333	0.634210334261	0.582145444911	0.56973970072	0.568731075901	0.581892803442	0.5669097366	0.602756501685	0.580460450084	0.573954326316	0.587818966719	0.679341302019	0.575303628952	0.652895544703	0.58340748745	0.602128934682	0.584242997548	0.591045585036	0.608215889709	0.603943657154	0.585602518772	0.5800742305	0.589185127021	0.580722012581	0.593836195875	0.596995174527	0.601663984571	0.648245243601	0.617520556612	0.630100956536	0.561558512228	0.614376035861	0.664208183816	0.604645279337	0.576682890501	0.6262359821	0.572508006018	0.556098067152	0.526456701981	0.568838199264	0.57312613984	0.584033411311	0.573992798115	0.557291061649	0.548382705401	0.559643371243	0.620104322853	0.685105404903	0.695769501325	0.638636432343	0.549478018746	0.649854149065	0.631828000674	0.636364435056	0.58187156936	0.723657631673	0.666280417483	0.658850246041	0.629938219053	0.522170100629	0.58006202885	0.632380180759	0.553109976975	0.61930981213	0.628269131963	0.598624495691	0.637243254236	0.6721062133	0.561099281106	0.679071130376	0.568556846117	0.64142626271	0.624776101339	0.728673013442	0.600627705727	0.584129128738	0.599623705811	0.719836460814	0.621986977534	0.617308767954	0.656417443786	0.60407462197	0.637807815075	0.622966673366	0.614726066194	0.634565680118	0.607918741027	0.71010353854	0.614542965345	0.645927960491	0.559554523557	0.603885833483	0.614235348648	0.583440196104	0.574159577417	0.602350401786	0.578774242038	0.564780411193	0.58311191913	0.601554701271	0.595997197153	0.595448015492	0.62227547601	0.620612954388	0.583365120751	0.595484950372	0.622723540943	0.610168879025	0.604866346076	0.580755380903
