CS.035	CS.313	L.008.M1	CS.106	CS.244	CS.260	CS.101	CS.245	CS.028	CS.038	CS.007	CS.281	CS.295	CS.265	CS.086	CS.301	CS.368	CS.171	CS.062	CS.064	CS.050	CS.230	CS.073	CS.161	CS.067	CS.040	CS.367	CS.366	CS.149	CS.127	CS.232	CS.380	CS.374	CS.203	CS.125	CS.136	CS.128	CS.282	CS.126	CS.236	CS.376	CS.378	CS.292	CS.041	CS.224	CS.372	CS.256	CS.359	CS.389	CS.395	CS.129	CS.182	CS.254	CS.369	CS.181	CS.268	CS.148	CS.348	CS.183	CS.177	T.CS.079	T.CS.014	T.CS.059	T.CS.024	T.CS.001	TFS.024	T.CS.042	T.CS.038	T.CS.016	T.CS.080	T.CS.072	T.CS.035	TFS.023	T.CS.050	T.CS.048	T.CS.120	T.CS.167	T.CS.117	T.CS.121	T.CS.104	T.CS.129	T.CS.091	T.CS.116	T.CS.106	T.CS.125	T.CS.131	T.CS.159	T.CS.100	T.CS.126	T.CS.153	CS.237	CS.110	CS.103	CS.242	CS.006	CS.238	CS.087	CS.082	CS.246	CS.085	CS.088	L.034.M1	L.024.M1	CS.015	CS.241	CS.358	CS.304	CS.347.0	CS.189	CS.346	CS.274	CS.228	CS.325	CS.338	CS.187	CS.164	CS.345.0	CS.233	CS.234	CS.336	CS.080	CS.227	CS.194	CS.319	CS.163	CS.331	CS.321	CS.152	CS.285	CS.223	CS.320	CS.158	CS.318	CS.112	CS.202	CS.255	CS.270	CS.145	CS.370	CS.393	CS.262	CS.326	CS.253	CS.390	T.CS.045	T.CS.008	T.CS.031	TFS.025	T.CS.049	T.CS.064	T.CS.043	T.CS.066	TFS.027	T.CS.026	TFS.022	T.CS.061	T.CS.055	T.CS.036	TFS.021	T.CS.166	T.CS.152	T.CS.151	T.CS.095	T.CS.142	T.CS.157	T.CS.141	T.CS.109	T.CS.158
CS.035	0	0.536466304914	0.675460270057	0.53829375016	0.639162401986	0.635692807271	0.534945069783	0.562484399887	0.474530788098	0.590233451094	0.544547771559	0.512409623674	0.638614782107	0.59987044516	0.53888354502	0.61777191343	0.561687620222	0.558802531106	0.494997005219	0.546378791906	0.619533191698	0.674952531155	0.607395920849	0.630013508223	0.721897786187	0.56108463287	0.728329646749	0.717213384438	0.598613145711	0.560570911935	0.502843517644	0.579745412813	0.632917191837	0.583941770649	0.660620534074	0.548350623564	0.596294021449	0.67212839535	0.556682074529	0.653546985017	0.648086914977	0.658141725416	0.548314762985	0.590388477158	0.747877366478	0.658861086245	0.669685900364	0.715514519971	0.651865461186	0.630690437957	0.586452975456	0.612805299468	0.647966089055	0.70783091667	0.630530480126	0.648435722599	0.657247977811	0.608271919801	0.709142104297	0.683010719228	0.682355175783	0.559124986841	0.574784945929	0.565695829622	0.702143996041	0.570087507206	0.570140018156	0.582152348632	0.5724139825	0.609636865523	0.557486775984	0.582673296882	0.588019402162	0.570737181306	0.591487201531	0.582059142153	0.565724719856	0.55057273778	0.609961302973	0.560206637409	0.573983694035	0.572445703431	0.582252464498	0.579632667856	0.582806797794	0.583987769462	0.596609767215	0.60982551084	0.561318510857	0.55364705586	0.585570085335	0.623617071732	0.526375929292	0.541929453289	0.528613002027	0.584297455783	0.575327219738	0.534680830275	0.559874182059	0.519633458712	0.636671376179	0.601485809436	0.594638949192	0.550686334848	0.547564754737	0.755056677111	0.62577370472	0.658633818403	0.615780659285	0.723649775409	0.665707576627	0.573476167053	0.74082872352	0.617864961447	0.61113925433	0.670779021461	0.722235085826	0.526762898768	0.638176071869	0.588463972803	0.562231375134	0.759162325558	0.746895122853	0.655064552921	0.580431192962	0.595323215392	0.557251779465	0.552893623168	0.691696640646	0.640681996517	0.606914122658	0.59691795459	0.646509622995	0.571048007016	0.608302669126	0.621918376958	0.636689088356	0.595619890681	0.654030340508	0.628711760532	0.647378385283	0.63106618925	0.704437279678	0.646956021376	0.571249995377	0.618030642288	0.563545502311	0.59190265617	0.645685693245	0.552642297014	0.556418901102	0.564453403721	0.566171793169	0.71810566686	0.558063400203	0.601442370274	0.576229916307	0.567733467329	0.587422791822	0.548485539773	0.540197982585	0.575722877378	0.561156686757	0.605154529572	0.571197358074	0.580254792617	0.566461362685	0.564063948001
CS.313	0.536466304914	0	0.651285598096	0.568973859315	0.621039494121	0.623578240713	0.515329508821	0.566863452913	0.530745130312	0.632755214689	0.540427467448	0.486374829089	0.613977183535	0.508409455416	0.518120325161	0.596983117306	0.537812156665	0.576821199844	0.527584472834	0.584949294432	0.655628200101	0.716545608369	0.642578526055	0.682191563258	0.763751569231	0.605395689474	0.746037654194	0.732303612089	0.648233025326	0.568934409804	0.533426395635	0.546801281114	0.670260835993	0.564630661321	0.658722126859	0.634855015627	0.592316118378	0.691718754956	0.544803411308	0.700617456038	0.681835677209	0.701442878598	0.591694676492	0.6674995311	0.76374399537	0.664464781426	0.673698137899	0.737695658436	0.656232096453	0.663915555852	0.59627028041	0.582671170378	0.66133099871	0.753933956078	0.63559195288	0.683537881184	0.697910802931	0.616887834408	0.7599803275	0.698594557715	0.694287518858	0.54184742876	0.581471461987	0.570915508565	0.709287759917	0.567672596528	0.499829032443	0.528366264063	0.590955736573	0.626149781155	0.529717828424	0.572906309316	0.577623638392	0.601806274097	0.559003340156	0.519427110064	0.486708760449	0.502846644801	0.557014706409	0.458992309796	0.508887291054	0.45736507896	0.560864089286	0.451983924886	0.53364736951	0.499841478	0.507517525617	0.502212753952	0.488217750896	0.464943100286	0.649306482988	0.651061773497	0.560390852785	0.483635617193	0.546624774453	0.555225200205	0.604767809151	0.519289022392	0.504593259246	0.525880026631	0.658235369826	0.565093007769	0.52986100434	0.564461276063	0.507771044761	0.773837345756	0.697775502146	0.694427542231	0.638775981878	0.763113375951	0.693102053761	0.618926740753	0.76259378724	0.620829716024	0.635636272917	0.724935750116	0.778677596866	0.555822729391	0.669654824309	0.597076176144	0.611903352758	0.790029320957	0.759833138129	0.661713932469	0.658638772941	0.551645181564	0.540508356141	0.521563086615	0.738746008629	0.667208278039	0.604808406059	0.640434508291	0.660154415821	0.65846271487	0.664969656072	0.613001909877	0.671558142555	0.598930983647	0.67680637691	0.672463924333	0.670708322128	0.615091081697	0.734025716213	0.666602117711	0.573268972662	0.619134021488	0.546131428732	0.591909949675	0.643153646101	0.524168666287	0.542558460426	0.494640267241	0.536637777444	0.72286326063	0.483453173245	0.59925395294	0.535203897784	0.528484620755	0.590995133126	0.4828922518	0.516917858569	0.500649630805	0.447983560632	0.54990906906	0.524760276271	0.550013016297	0.435871775913	0.471813178089
L.008.M1	0.675460270057	0.651285598096	0	0.624194668678	0.700766911999	0.563406833335	0.690047883937	0.613230329239	0.650636538509	0.642438547322	0.651455230872	0.64618719754	0.617541979378	0.700547680672	0.672430949951	0.600505113964	0.62838438126	0.644281865906	0.653536930545	0.678919696093	0.657664644759	0.622896959912	0.665244970228	0.596471571127	0.641007001848	0.684414153479	0.619090827071	0.57323716166	0.580786063668	0.603658560377	0.645000802593	0.630723296672	0.602446646202	0.650113486891	0.551915954246	0.604283617383	0.622719339351	0.569179921925	0.616701998963	0.687543516867	0.569605284867	0.652918958652	0.644542283772	0.638854507251	0.620704510759	0.586014842902	0.570520298129	0.618810269056	0.571492100217	0.649827562998	0.604424211844	0.575817550027	0.605361189111	0.666565747061	0.592438685239	0.639320428904	0.599907759035	0.607634834239	0.650804785279	0.601066107341	0.557688504677	0.650477528275	0.642421351135	0.612633428291	0.596518949042	0.607586757062	0.65124727159	0.678971470338	0.636298318802	0.613745673074	0.637777150579	0.643052273781	0.616351836647	0.628104595911	0.613420453224	0.616400256057	0.64550003259	0.64419997621	0.652116983618	0.687512711712	0.698134173062	0.680877060989	0.630541637534	0.692695169227	0.61140635104	0.655471453037	0.704938107354	0.676507562617	0.620761172426	0.67185335994	0.59401932232	0.605548065154	0.653935625409	0.639483916587	0.620914754852	0.610344824463	0.624256157849	0.674547653145	0.633592434403	0.628212181565	0.675500667346	0.622532170925	0.659590838507	0.681121030704	0.683103985407	0.641402810412	0.673274484946	0.576876040327	0.634373660878	0.593524030993	0.552470548115	0.612566032491	0.629268897846	0.595546409642	0.575960882783	0.668422082182	0.648777725469	0.683108079353	0.623256308385	0.622771025063	0.606420742749	0.674702477709	0.586087776646	0.54170612209	0.626577765451	0.616633111053	0.643374148192	0.63963945218	0.627748272678	0.573080763939	0.569047220053	0.584721170166	0.52328665386	0.620425494282	0.666132628528	0.568641820512	0.609594129297	0.613032148233	0.59602506446	0.666128488592	0.575918761215	0.563734161097	0.674463824301	0.57015702913	0.643629106129	0.613012490204	0.634821376362	0.562940532627	0.515975162519	0.627072731845	0.649078695133	0.669964635643	0.63820255084	0.641437588633	0.686739072696	0.590886240773	0.638151975099	0.672947650971	0.637467875783	0.654006511818	0.653931913622	0.636603259274	0.68509711587	0.617338112529	0.637566773588	0.656500318663	0.671303557009	0.654103500472
CS.106	0.53829375016	0.568973859315	0.624194668678	0	0.597597583933	0.587422561474	0.588780186297	0.599929340652	0.501176018392	0.621697436632	0.608378327526	0.55833791843	0.638206470902	0.574148356771	0.517970297291	0.586056197993	0.565399937556	0.529945317792	0.554687762937	0.529032641223	0.56805401647	0.64606664803	0.577538861541	0.593202810735	0.685810175816	0.569332964664	0.701405224986	0.690456262656	0.599870563658	0.595212218166	0.501202436125	0.59543393293	0.630716649207	0.615022776278	0.652975428516	0.505392357602	0.624496350537	0.646956862494	0.589881933367	0.617961158334	0.629988470765	0.646528834044	0.542051934943	0.573420283191	0.738411882398	0.639010098602	0.653339359169	0.692003738294	0.632404909393	0.60212775973	0.576142713081	0.594057387406	0.640536269683	0.673044718811	0.623737875355	0.618710903581	0.663305064591	0.593645540642	0.688436639849	0.676250904834	0.660666504355	0.586198327296	0.5470028223	0.581940671331	0.668704102875	0.614936738255	0.584725537502	0.5668399252	0.599259697267	0.649986350285	0.567768439522	0.595426438047	0.64037092692	0.595562197771	0.611897004889	0.586820034902	0.589273518828	0.597284128297	0.602567439399	0.590880113376	0.612836499512	0.605851867037	0.552286549279	0.617060052717	0.60563383817	0.603449323669	0.591104167501	0.592717383929	0.579181351187	0.535145313819	0.536578346005	0.568192124576	0.540522783219	0.547434416748	0.535527663245	0.577907264038	0.582863755931	0.480947124248	0.576686503699	0.424459997383	0.670538772131	0.583663167492	0.63731816747	0.611597314215	0.598135428571	0.741636811309	0.665725548696	0.639833814788	0.611421070443	0.683395731745	0.671153021472	0.500668411763	0.736977817453	0.577856035609	0.604595681287	0.606574132357	0.684131703203	0.500674016796	0.629584685805	0.618626655197	0.502227588377	0.737817132929	0.735622255758	0.635086354014	0.526276625123	0.572728260765	0.598143100829	0.568702338572	0.675244816928	0.62256953468	0.58926805835	0.504099847266	0.617716683458	0.502303782056	0.651819291457	0.592471529922	0.650256571726	0.614694544241	0.636277040315	0.627738747845	0.651473600065	0.59202925693	0.703290188249	0.631758576065	0.607126794352	0.657126561334	0.595251888558	0.634869343718	0.650573889753	0.591499807316	0.607313353817	0.597241183991	0.621591312804	0.694450644411	0.594237025457	0.642129332029	0.595176629949	0.52880975065	0.619318651905	0.596391689194	0.587986514261	0.636982909064	0.602741178224	0.655878177225	0.585608595821	0.655842711666	0.591099331602	0.589470665796
CS.244	0.639162401986	0.621039494121	0.700766911999	0.597597583933	0	0.694268911221	0.650561655351	0.650937975154	0.608291354915	0.626139845748	0.676538342872	0.635281493121	0.736892018398	0.639531919324	0.601628153429	0.712036086419	0.681302218685	0.587329032759	0.638225973912	0.641315438043	0.596279612912	0.726263604722	0.614588161757	0.722114520105	0.720701626366	0.635888495599	0.736711948674	0.75654286177	0.703177659718	0.695274259019	0.635186776856	0.69780066151	0.706308103449	0.687010583772	0.738808595499	0.663828655128	0.697668670977	0.759624060601	0.69899188571	0.715727968228	0.730426513043	0.648783586055	0.673513343789	0.676026025416	0.772240088393	0.724484239374	0.700802910591	0.742606319994	0.718952928286	0.700022428467	0.621132156758	0.710325323932	0.723772798833	0.73956133813	0.708583019877	0.683021974465	0.702634830703	0.721244499093	0.740894557574	0.720382737715	0.720107413035	0.662224120215	0.567581524121	0.679806857845	0.714582650379	0.712780083884	0.653052491612	0.636167712419	0.700283896897	0.704303781219	0.668791661138	0.674310322338	0.715116377894	0.631359550726	0.644789950892	0.654278397102	0.628479836997	0.643536723141	0.698633826409	0.641602213289	0.681648080039	0.652119986389	0.575055086442	0.671490585392	0.649347259674	0.681665148664	0.626910937857	0.629220442054	0.675577720963	0.612429558495	0.659267462666	0.650505874128	0.629868790159	0.629301778608	0.607812825098	0.636586261455	0.621725419759	0.626062214953	0.642865836815	0.589427671337	0.673104869942	0.637973158821	0.635049522471	0.642101809161	0.651360588902	0.789162995513	0.718195770906	0.708314816784	0.673960864776	0.753475198568	0.740253009312	0.623968486774	0.761485240133	0.661703283691	0.695124842606	0.63842639295	0.743507678509	0.588450913274	0.709616224244	0.698844525911	0.643272447345	0.780235719256	0.784903119674	0.749736603922	0.632986766853	0.673891681017	0.6530885924	0.680946605348	0.749391820632	0.718900128457	0.691561494273	0.640622462094	0.74412855931	0.636912278068	0.703267984535	0.699021059071	0.711238916043	0.720374387816	0.713252116588	0.679401476596	0.710914767394	0.685607547811	0.727559821824	0.714337069713	0.673817570494	0.717122485385	0.642451969519	0.729295571418	0.719447921783	0.641488116169	0.691851219051	0.649346456054	0.697266307778	0.740755688525	0.67564328206	0.710142472591	0.635948299579	0.59085847062	0.682997019056	0.689413597157	0.664244575604	0.644225361824	0.650844019576	0.682813836676	0.618865765505	0.642195837822	0.658022698504	0.663050564446
CS.260	0.635692807271	0.623578240713	0.563406833335	0.587422561474	0.694268911221	0	0.67014894103	0.611424445388	0.615529023942	0.647031125402	0.632378520822	0.588229726632	0.56616707519	0.644710651861	0.659641349624	0.530641656249	0.581277048076	0.630204438952	0.616199901071	0.624901095023	0.638770449296	0.604471359511	0.642037130457	0.561988021649	0.621281048629	0.649834337467	0.632318131271	0.555085894213	0.5386073791	0.537946022001	0.590410870465	0.59841714433	0.563997530404	0.611274157219	0.510997819574	0.548223909469	0.580398814682	0.54621365826	0.574418924756	0.642787042628	0.506692760779	0.632727743391	0.568868383081	0.568762011586	0.660942984601	0.554434292844	0.569378131911	0.631398362065	0.526916011073	0.598202799552	0.605256689911	0.521065852647	0.535123902101	0.60856775813	0.542942465755	0.628698243067	0.587369997801	0.578573223997	0.621241107301	0.591001557847	0.544732112418	0.58163212013	0.633304892961	0.582569225236	0.56366604624	0.577625314218	0.606010151511	0.638028440444	0.550477869237	0.594138981954	0.585660191619	0.593040667139	0.58782757521	0.622901399759	0.590781071499	0.597567437031	0.638092401515	0.61257150291	0.614138217404	0.646009098502	0.62530655374	0.658187643589	0.63768801637	0.670661796011	0.578648859948	0.613827922977	0.660803163935	0.658838145418	0.599665726546	0.626563125632	0.601885963987	0.593148022039	0.624252523422	0.597248380922	0.610524266829	0.62189834586	0.632613634289	0.613148668724	0.606537215707	0.605680199194	0.673730294405	0.60278054373	0.665685254847	0.675427195555	0.653920030758	0.633329086555	0.633046560048	0.599149247698	0.599867695835	0.65945858296	0.554810451069	0.595807973547	0.63361977915	0.568042260964	0.524733278005	0.686577508391	0.643648998973	0.655580463153	0.597622066409	0.544085411905	0.590126704134	0.68947204099	0.591354057865	0.552501895743	0.596392235014	0.543640204776	0.616510182546	0.565526642113	0.611692058104	0.547673751741	0.538342757866	0.577516835934	0.514035351848	0.571581240713	0.650434920838	0.557549657894	0.547630770139	0.559218159724	0.544788568389	0.62237146505	0.574274137475	0.540837468473	0.616630543067	0.560016790122	0.596806180569	0.567658933388	0.603386472479	0.572974953956	0.564377548882	0.604543651466	0.620662342198	0.663574142647	0.606427072807	0.613396036904	0.633570357405	0.578866318016	0.601777835082	0.629487665467	0.617085916196	0.590299476357	0.592947726278	0.63319713624	0.654895262054	0.639487946026	0.63192404025	0.651835461773	0.639427594239	0.613325477607
CS.101	0.534945069783	0.515329508821	0.690047883937	0.588780186297	0.650561655351	0.67014894103	0	0.589936441907	0.531930840906	0.583338900864	0.513203815115	0.543710711558	0.623947424235	0.569231191495	0.509837069253	0.637263567523	0.557767552143	0.578528541275	0.501805887108	0.595435834726	0.663823390231	0.744154122241	0.630641125522	0.704590745812	0.755261507784	0.538000286545	0.774653954044	0.765052356564	0.678096681417	0.605212532625	0.543968919264	0.554366974215	0.691646010133	0.554241327428	0.714385370652	0.638520945649	0.626433665755	0.73336312711	0.573459996245	0.697160563556	0.697425432545	0.718858641745	0.609327893625	0.669028435861	0.785651514839	0.675221876152	0.705883421278	0.739516144242	0.665108622272	0.660887044736	0.615304426852	0.64738175218	0.694591050041	0.765897504552	0.663431543493	0.70976606474	0.727333291239	0.636670472026	0.769111583243	0.70323142394	0.721443285258	0.581873999211	0.620926544692	0.601990093769	0.724544863698	0.60365448753	0.531478479161	0.563567531002	0.604828273013	0.653986440794	0.554714388867	0.581219295291	0.637008439985	0.624291794123	0.57710751888	0.558394043373	0.532435980402	0.535102510914	0.567227207041	0.511965716787	0.532292753127	0.502099173465	0.601763680008	0.513983792556	0.587169024366	0.546589708802	0.552749908824	0.573677002111	0.545134604568	0.531753419634	0.682788076794	0.659809788386	0.459140300821	0.538138756932	0.528977705579	0.546692162446	0.610534496744	0.55965210266	0.556327557825	0.553630111569	0.6281797007	0.607081981328	0.543868277663	0.537296797237	0.458854116669	0.796314461271	0.711106805602	0.708392720066	0.672481854105	0.766650063743	0.714488799603	0.621457139933	0.784202620068	0.663093136712	0.671244477893	0.731987042435	0.787500311632	0.567355777366	0.687682868638	0.646412902946	0.611367904935	0.809901390006	0.791198248232	0.703436559779	0.673432855978	0.597417270623	0.542899674895	0.555537260146	0.755430065029	0.689942090598	0.644522495428	0.64912600768	0.701349152328	0.650019142581	0.659059168303	0.633709922516	0.698598420203	0.606790952334	0.684245976754	0.68637346069	0.697668412701	0.677394514618	0.754830765828	0.688034331605	0.594053208213	0.645755028975	0.555128199744	0.625030471804	0.69601401026	0.553124084512	0.575798552574	0.526573181135	0.565219140433	0.74361117429	0.525979293123	0.636421476893	0.558343268478	0.57148449537	0.5918024782	0.55709282727	0.556836508526	0.559198925113	0.509942576893	0.590793413964	0.569511529441	0.568426080275	0.52129418416	0.531276232424
CS.245	0.562484399887	0.566863452913	0.613230329239	0.599929340652	0.650937975154	0.611424445388	0.589936441907	0	0.597275463527	0.557522670084	0.553358586359	0.53634800086	0.614217556463	0.644904601766	0.572912577239	0.626320919409	0.566269836539	0.595024496306	0.545397248647	0.614152275295	0.653321754992	0.670300260135	0.609175093823	0.63040431222	0.691016632483	0.592567442178	0.683820438533	0.663201181835	0.613866854305	0.559126501085	0.600315040808	0.561645893278	0.626572589731	0.57649850057	0.628261297061	0.627187731737	0.613068254643	0.661754938583	0.5483570838	0.694730253024	0.608776393383	0.651906385477	0.64035849383	0.619370614737	0.694076220416	0.643079798851	0.669284034588	0.70469353603	0.639907119815	0.669890040906	0.603021431048	0.613482519275	0.64828097387	0.717791189455	0.647972268561	0.683236541813	0.664751597092	0.629379092473	0.705906323709	0.662755413699	0.637006675845	0.574303939348	0.641789458635	0.54112343042	0.680148994119	0.538603947372	0.570426017601	0.625536286733	0.549055992617	0.557356177811	0.579601414179	0.541897243474	0.557096918192	0.554758330264	0.539108480197	0.534610889269	0.528820035182	0.544059090055	0.569095703192	0.573691268297	0.607312901401	0.555835534511	0.592438476208	0.577262965078	0.541350062482	0.574232534098	0.632309752152	0.598608324046	0.565657882692	0.596242162138	0.619858138041	0.621278491384	0.592303794741	0.539199389228	0.535174458787	0.602864250413	0.568401831488	0.615040905601	0.56996697783	0.598282231994	0.590422044873	0.585988980302	0.563357182119	0.559949990857	0.580949777652	0.72192389784	0.64489061106	0.672623279545	0.650846564591	0.691795451456	0.629408966978	0.63104628485	0.703032399998	0.646009683519	0.623583501032	0.685037115305	0.705438675506	0.628507877059	0.647998973842	0.591049266449	0.596763902134	0.744128296286	0.708908494907	0.641722109069	0.622187941601	0.647446540252	0.544374522967	0.574859461884	0.683498877727	0.622195064583	0.585883783485	0.616196127561	0.640248024507	0.60539560157	0.586220867218	0.636039918931	0.645149889173	0.587532873781	0.65907355061	0.636571296825	0.626284132889	0.619479517207	0.727249385162	0.640068338588	0.535073161706	0.533892113095	0.52619114946	0.529124179642	0.61883814636	0.54141794112	0.549394721371	0.581576272554	0.513133717842	0.674017998252	0.581718840683	0.560478540773	0.552461584437	0.608812889953	0.54615210201	0.563456983781	0.530010968929	0.538640720879	0.584214780792	0.531778518221	0.514737046035	0.497322240392	0.577621981157	0.559571715164
CS.028	0.474530788098	0.530745130312	0.650636538509	0.501176018392	0.608291354915	0.615529023942	0.531930840906	0.597275463527	0	0.613276307419	0.55156478625	0.531511239197	0.642920449063	0.536472416354	0.519621942773	0.579818690938	0.54827269889	0.549021522609	0.527151009499	0.552128447974	0.612075322441	0.686616255524	0.595350282915	0.645872599995	0.7143527789	0.548326186054	0.725416983493	0.710465074902	0.620120320347	0.579105292388	0.493182710793	0.572436537746	0.640737055671	0.594541879312	0.656613767377	0.56990554659	0.606927981114	0.671024243559	0.56823303491	0.664703161289	0.655877670264	0.663006186937	0.537114088451	0.598103721576	0.7406917472	0.629001881737	0.643485380717	0.711969740445	0.648213192697	0.620345000254	0.595815477922	0.595042279625	0.640704209906	0.70046337447	0.616322595162	0.636903419521	0.67036672393	0.592296506424	0.714638709261	0.692349204658	0.681215740289	0.583699401771	0.564402356028	0.569923365637	0.684447147174	0.600613846635	0.546133028589	0.528171266326	0.590005316524	0.641798354897	0.572619908259	0.577930782974	0.649534240988	0.599793166501	0.577590945444	0.567765741394	0.557746942427	0.542582871049	0.573395719072	0.547601676192	0.534970686337	0.534915054621	0.565499727259	0.549263419715	0.578527939165	0.557845026241	0.529572790769	0.553510163542	0.547331144814	0.510084428003	0.579187416847	0.60108517619	0.505812837269	0.53023942613	0.529063272689	0.542925592837	0.608419352033	0.477603043409	0.532958776384	0.464574936739	0.658852426738	0.59245910861	0.612954830526	0.577929754757	0.531343414408	0.729057602125	0.682491089321	0.653284401149	0.610698020954	0.72559114555	0.687183580287	0.561531644811	0.743264098257	0.595188599971	0.605500931433	0.661623996517	0.714277311513	0.50883306139	0.63614555672	0.621898653335	0.555475534669	0.769361696256	0.732819036974	0.648936638827	0.594954374105	0.539065795289	0.584090399431	0.549274459137	0.700224025347	0.647395890817	0.58632381923	0.570434005227	0.642324628319	0.561316870275	0.658767818462	0.596202217834	0.627301047232	0.609817431898	0.627484386929	0.639306742463	0.638544212243	0.608290498367	0.706458562808	0.64621372983	0.601753581558	0.653114537881	0.564673913516	0.62383323587	0.645684204209	0.559833856062	0.608376112398	0.551539161973	0.596036563516	0.708938805589	0.537870298529	0.633240772865	0.581132070601	0.526008405139	0.627922986259	0.565247241007	0.567588688638	0.580705423426	0.546384161918	0.632411310734	0.574706541185	0.610703674724	0.538300734664	0.544497264057
CS.038	0.590233451094	0.632755214689	0.642438547322	0.621697436632	0.626139845748	0.647031125402	0.583338900864	0.557522670084	0.613276307419	0	0.575441390213	0.601863972872	0.627774478202	0.690933308444	0.593135956974	0.688915056836	0.628081283172	0.582368666199	0.5512601732	0.628022917876	0.61593324186	0.654003572904	0.586890749728	0.645064528942	0.685931146157	0.551531413127	0.700298394329	0.692658365488	0.654051633302	0.621952688564	0.627277032589	0.625560050723	0.667886428206	0.559526837153	0.664624441451	0.635921181515	0.623604274623	0.709110439488	0.604022038325	0.692224244828	0.644378016819	0.649792805929	0.647880252351	0.621293085833	0.727361790971	0.684632899832	0.677616082149	0.709503628504	0.665969866199	0.673175157662	0.621706734676	0.666298486257	0.69045877889	0.718540965444	0.679910419302	0.691776302697	0.681129084946	0.681694081424	0.716447156377	0.670968508571	0.646718935554	0.659184151803	0.617924933343	0.610568839143	0.682741881283	0.606374199727	0.625746895385	0.662288575209	0.620133786542	0.610986589727	0.635790581538	0.588533657448	0.614634805769	0.586312935839	0.589320241801	0.590384698921	0.600391110286	0.59834186147	0.637363711287	0.626826453574	0.648040569934	0.633492815336	0.572150389543	0.656973071	0.60571716084	0.629363016977	0.669355206369	0.637713682316	0.614924572479	0.645866118085	0.642717331999	0.633353692525	0.608201808958	0.601892678024	0.552378418456	0.563787294469	0.513678521256	0.64229029331	0.60129251927	0.62554840771	0.553756264671	0.587356132069	0.610899385332	0.554297736683	0.577303333726	0.733849947628	0.683970796742	0.656951753789	0.669250898525	0.696506411851	0.668049603374	0.604136200704	0.726712721085	0.664982109838	0.662765689562	0.655759885956	0.69474465856	0.623120865059	0.675679908478	0.632417766667	0.59265040114	0.736159831281	0.7254713469	0.66863967781	0.610836862277	0.675882631422	0.551536066465	0.636923642873	0.684674597611	0.69464012841	0.643631490777	0.620506773932	0.672898123743	0.602645670735	0.60910517548	0.671428931235	0.683841832175	0.625390690353	0.658407476175	0.633525566314	0.64291908768	0.672465608123	0.718015823226	0.678276907978	0.595695275287	0.578118425602	0.577076064037	0.600082309319	0.648635331824	0.577889420402	0.594358706501	0.62869902613	0.577030482367	0.706325063604	0.64229982795	0.581749985932	0.609807009013	0.643356068203	0.611459476627	0.628072452648	0.609227033845	0.579503387823	0.634895553445	0.564196286073	0.550469752086	0.566086657375	0.635168121496	0.619464719541
