L.005.M1	CS.280	CS.263	CS.005	L.035.M1	CS.017	CS.293	L.025.M1	CS.259	CS.092	CS.086	CS.059	CS.098	CS.022	L.008.M1	CS.058	CS.050	CS.229	CS.388	CS.154	CS.042	CS.117	CS.382	CS.066	CS.287	CS.155	CS.149	CS.381	CS.360	CS.371.1	CS.302	CS.203	CS.232	CS.205	CS.213	CS.128	CS.125	CS.292	CS.376	CS.041	CS.236	CS.375	CS.374	CS.282	CS.378	CS.148	CS.359	CS.147	CS.214	CS.372	CS.129	CS.268	CS.385	CS.254	CS.166	CS.389	CS.369	CS.183	CS.349	CS.395	T.CS.082	T.CS.079	T.CS.085	T.CS.056	T.CS.016	T.CS.004	T.CS.071	T.CS.028	T.CS.001	T.CS.019	T.CS.067	T.CS.029	T.CS.052	T.CS.007	T.CS.025	T.CS.105	T.CS.134	T.CS.100	T.CS.092	T.CS.106	T.CS.144	T.CS.104	T.CS.153	T.CS.102	T.CS.112	T.CS.108	T.CS.116	T.CS.128	T.CS.147	T.CS.117	CS.246	CS.238	CS.241	CS.088	CS.356	CS.242	CS.103	CS.015	CS.237	CS.087	L.024.M1	L.034.M1	CS.082	CS.085	CS.006	CS.304	CS.191	CS.347.0	CS.336	CS.308.0	CS.228	CS.274	CS.338	CS.330	CS.165	CS.387	CS.187	CS.212	CS.233	CS.188	CS.361	CS.343	CS.285	CS.158	CS.320	CS.223	CS.319	CS.339	CS.322	CS.331	CS.112	CS.227	CS.163	CS.202	CS.080	CS.390	CS.262	CS.370	CS.145	CS.326	CS.255	CS.270	CS.253	CS.393	T.CS.061	TFS.020	T.CS.026	TFS.022	T.CS.064	TFS.025	T.CS.031	T.CS.066	T.CS.045	TFS.021	T.CS.008	TFS.027	T.CS.036	T.CS.049	T.CS.055	T.CS.157	T.CS.141	T.CS.152	T.CS.095	T.CS.158	T.CS.142	T.CS.151	T.CS.109	T.CS.166
L.005.M1	0	0.460351368344	0.56312738353	0.550327189536	0.615322327666	0.576144335769	0.410021556574	0.586216768024	0.449527879233	0.604052280087	0.558236182626	0.577105425758	0.558717803186	0.657737122929	0.66082325362	0.654685784665	0.691398482127	0.688985122409	0.703353026357	0.799315225555	0.654833308496	0.591693647413	0.526274020237	0.586420253924	0.676238914972	0.591619459299	0.69218873989	0.593210868607	0.654216537025	0.614667746713	0.74041744101	0.526836728016	0.59519432061	0.702912691442	0.702125453944	0.625487975842	0.686516945681	0.651307222477	0.685877483267	0.692308028819	0.744792293265	0.650391110156	0.681641501422	0.712623033209	0.708192684742	0.70452241836	0.755347404345	0.690471711933	0.685344732182	0.682837467657	0.638789429835	0.722754640557	0.704842100459	0.701113207025	0.735598026088	0.704104460495	0.785473788529	0.766436870091	0.673476808581	0.6989052353	0.536125148273	0.704889506414	0.493727361141	0.6389553038	0.589722162061	0.557301401005	0.527970276964	0.573304609411	0.720483921561	0.645957400638	0.511667206266	0.663331239829	0.681738554842	0.661836946406	0.552082213636	0.63665130294	0.485705978929	0.505624223441	0.565819343134	0.441025011646	0.435755963209	0.482714928428	0.521855138932	0.467127682091	0.542487095493	0.474725234737	0.591605984905	0.582820108496	0.436469031332	0.512081381094	0.542594482881	0.564221027642	0.504683457533	0.638883089851	0.698888779602	0.494078019527	0.582598411405	0.524220739841	0.684707001766	0.577212735983	0.471278020676	0.572105888982	0.601019477842	0.58409982225	0.504323281988	0.726377929425	0.484887579108	0.714039338831	0.628924779981	0.740974434229	0.650889381143	0.696105091614	0.683715312595	0.667383558671	0.694642115662	0.627715936453	0.675227797379	0.668844443936	0.614566644201	0.645079439837	0.70345846165	0.666747138555	0.761482585962	0.679875455723	0.614729260928	0.693017522699	0.678361294693	0.654273895355	0.697775806925	0.610825495844	0.682020850575	0.792147233638	0.691526483151	0.671571088424	0.641494378643	0.690025223791	0.691202929228	0.686355730364	0.601397742644	0.65134385365	0.643211384456	0.686525249642	0.76676564922	0.706757760937	0.58497637267	0.47710349953	0.730532675148	0.479621899557	0.507561113869	0.556318030343	0.535250406912	0.473383576922	0.557244613298	0.540659495886	0.578107236944	0.472391318473	0.582138999721	0.645037256654	0.512929170719	0.492204678617	0.458748057708	0.506951699452	0.421791601287	0.469561376123	0.457786125003	0.431406468203	0.449416991553	0.484597992573
CS.280	0.460351368344	0	0.555306792156	0.491874071435	0.604476000483	0.546508904973	0.414922019041	0.630857887731	0.483008122715	0.54177955393	0.512153505334	0.544024469599	0.500086409019	0.651866793549	0.69149829198	0.628366039161	0.68135272214	0.675135677279	0.709420148344	0.794228071276	0.641431316802	0.585023510485	0.560696645692	0.606970022211	0.662460417018	0.573505975909	0.676078484165	0.57062765614	0.658207138582	0.610240927477	0.731263231311	0.547864394752	0.554528129687	0.712662869223	0.704310659898	0.599817325163	0.668315097551	0.629496186629	0.686518119572	0.688477680879	0.719511470885	0.647176941288	0.677191558095	0.702110579932	0.706029949544	0.710514499742	0.726781112277	0.66990029022	0.650775460045	0.655362750828	0.600981538607	0.706978549682	0.676175358319	0.671656590594	0.706826340424	0.686220476512	0.769965886015	0.762900913484	0.661795399528	0.661849988245	0.556474318153	0.693552427465	0.524497056148	0.635874745534	0.585981043615	0.5954584561	0.53924286868	0.540891680661	0.726983810849	0.669349096341	0.556692776611	0.634902690612	0.670854271249	0.657471928385	0.562467064124	0.573070808076	0.4997138413	0.492666156967	0.540324218134	0.430473498779	0.452806231356	0.429164856917	0.473100595549	0.477265065863	0.520488488491	0.431215999968	0.579382144818	0.539759039658	0.456955410724	0.494510142361	0.509548550178	0.562714857254	0.495306638857	0.64935691803	0.702067763834	0.482841361174	0.579906082556	0.562769236677	0.671130442555	0.588412205483	0.53338649497	0.586423625843	0.561705667993	0.562269529028	0.518542852975	0.713497282386	0.506338221322	0.721631983477	0.630815593729	0.714283458227	0.637981429162	0.695071542771	0.657955214685	0.660489147477	0.699328441869	0.613425400906	0.651746062106	0.650627733316	0.604880870034	0.662456554884	0.682985179559	0.664365922501	0.755422237078	0.666855756448	0.598456186404	0.67526973762	0.672617721329	0.683113425422	0.712436220487	0.592938306462	0.684947815559	0.788970634908	0.67791615382	0.678938612717	0.626050834909	0.66472178472	0.684852840419	0.66959556546	0.585169449734	0.63799138223	0.618084880735	0.672385334812	0.753098372429	0.688645749424	0.593417274613	0.471674188621	0.741336787612	0.468897721871	0.526575327799	0.580632245661	0.549014724262	0.481259994081	0.585903193743	0.606599416376	0.610284068336	0.525567264275	0.538112879025	0.652196854494	0.511096721741	0.523524988416	0.522334794575	0.518061260155	0.457050701988	0.451949466708	0.542652411111	0.455740873916	0.432423887436	0.494252711599
CS.263	0.56312738353	0.555306792156	0	0.54190387343	0.568142205894	0.563948884652	0.561318771662	0.632770522302	0.551874851486	0.513307448264	0.526467361417	0.54313196161	0.542417997516	0.616166702603	0.636648285631	0.566569337116	0.61871726562	0.622685828735	0.714337935635	0.74886137366	0.622441745587	0.559388284319	0.551374799732	0.566190226646	0.60629456917	0.573416987519	0.597458824781	0.515627972597	0.593130365225	0.605875336932	0.723217358117	0.534186019973	0.53444520069	0.67091315383	0.634916072077	0.560078467947	0.624679585992	0.571918975596	0.653532894964	0.638526783832	0.661609748401	0.563438372903	0.613523596452	0.653831279922	0.656811269964	0.647899627516	0.689916247757	0.618624917544	0.624815535798	0.611208985765	0.554901123592	0.610484105809	0.581643135433	0.621559531315	0.641916174827	0.605329786387	0.693797283305	0.712057698756	0.574479033504	0.583308627615	0.53614358704	0.64932157468	0.534358087081	0.60629122215	0.545177815231	0.576899497489	0.56079280503	0.551448075958	0.665347374457	0.58632423751	0.546972027316	0.570919176313	0.605848477555	0.65619077351	0.507708900924	0.570158929978	0.574557729268	0.544328725678	0.554942123238	0.558896844899	0.556883017543	0.528439346593	0.533772515992	0.552693666709	0.552324679281	0.547205785238	0.538898899069	0.535476270829	0.547895284326	0.519736547433	0.512998696615	0.579701607617	0.557585171366	0.663433965198	0.679117835791	0.524890418462	0.570784311415	0.580082364515	0.623216623456	0.614816036449	0.590861500009	0.546898501082	0.539140293051	0.523452687868	0.555035243964	0.680838620979	0.551400846244	0.669689112449	0.591158343471	0.647818023036	0.574406380612	0.640477043109	0.575978359923	0.598651782646	0.68256382606	0.581541396719	0.594499751396	0.654859508095	0.54902240123	0.625447293993	0.634841241141	0.637574725734	0.697282324646	0.612310472077	0.576736133525	0.621019938635	0.638293002259	0.655591471478	0.651141348564	0.509056100179	0.604096785498	0.763965225573	0.610317596455	0.642862568735	0.573024809642	0.619951598571	0.631484985706	0.606517570476	0.546909005143	0.581479751561	0.574525203523	0.622249048993	0.687923214281	0.62116460753	0.588483398427	0.535101807945	0.701948063203	0.539782253126	0.525840124885	0.593546191651	0.564983425303	0.545091503768	0.569955631176	0.584623370277	0.618058929726	0.578833903253	0.553996460002	0.64158397352	0.5458606773	0.572762397201	0.591180228974	0.539317771843	0.550898959135	0.515342286232	0.61782140189	0.553210728264	0.534347890262	0.545947886692
CS.005	0.550327189536	0.491874071435	0.54190387343	0	0.6229017551	0.575844183259	0.493616404983	0.632735866714	0.516371759787	0.486489573777	0.488903253465	0.540303297687	0.49470383278	0.621346671678	0.687919707525	0.579600527497	0.63947939422	0.675095557213	0.724909569196	0.778958943471	0.643482058447	0.545389540292	0.629764174049	0.587685822938	0.634731754786	0.567531597053	0.649532385559	0.55533348705	0.65651684168	0.637544835346	0.737061096974	0.583422313539	0.482129584987	0.729427919259	0.690160639771	0.606233448657	0.682192160574	0.587546139732	0.687984403573	0.653921671385	0.696682025911	0.651724747734	0.682768859504	0.695782217174	0.702298640674	0.6952763602	0.729568170471	0.673768849526	0.650399281317	0.67070362158	0.590098344385	0.665860806574	0.657496716398	0.665122506984	0.696405418836	0.654562436581	0.736426032152	0.745878871215	0.643773346338	0.651058558233	0.573409350892	0.699644741892	0.567026897519	0.649541800674	0.59423516295	0.615852434059	0.542161451705	0.578818600705	0.732907738568	0.627824409194	0.578503018809	0.608734942402	0.669656140058	0.661152921489	0.5793055801	0.509100887412	0.559664539133	0.530551185231	0.522261957864	0.483437042504	0.525768163385	0.483392751913	0.443066693162	0.552903109536	0.57481369994	0.468165583004	0.563973629075	0.517084127642	0.503533811762	0.526122498045	0.496909484431	0.553443508755	0.520953473855	0.680795921033	0.704058332013	0.508859392581	0.53151213506	0.589131619684	0.613738912199	0.602856483996	0.577737880826	0.594722536511	0.475202275758	0.475794766895	0.487759724562	0.691368798449	0.518547857749	0.693599740525	0.618896489866	0.686334095527	0.587227833908	0.695199569437	0.615569126847	0.655895096851	0.704234764092	0.638668183162	0.643265242944	0.68428728707	0.522070075927	0.694353547818	0.693361161559	0.689944169826	0.725660222675	0.623893921155	0.617663205555	0.661261559655	0.690013985892	0.671220059251	0.71009069073	0.565080542143	0.63115376853	0.791193872107	0.634336233368	0.668428382524	0.590912125749	0.665214088314	0.694341472258	0.676309148797	0.613431729508	0.628851702392	0.613595519464	0.679187551212	0.733276634689	0.677335043267	0.614482717945	0.507986878208	0.733492962004	0.503237796916	0.568157144735	0.624296275419	0.574620307484	0.527411251761	0.602841181095	0.630055747352	0.667864308597	0.589803023554	0.513874523522	0.66644007955	0.577549188528	0.555515911827	0.596193053416	0.532992500351	0.509881188648	0.516698064889	0.611081014461	0.551379632346	0.474145586292	0.534363721291
L.035.M1	0.615322327666	0.604476000483	0.568142205894	0.6229017551	0	0.626440670599	0.599853904801	0.62284066982	0.561121962579	0.642037386018	0.631735331355	0.600092616408	0.621298782045	0.602604453637	0.539590907713	0.576790967689	0.63214216048	0.571362556574	0.644740030665	0.702399278782	0.602362289084	0.588510169675	0.496280645712	0.615849608059	0.574346688881	0.544388229168	0.555300571569	0.543706509631	0.567608971931	0.555438862319	0.636383020495	0.572457475105	0.600063632215	0.576072135376	0.571131686727	0.587932013467	0.531452972867	0.60300470821	0.548752156055	0.643512469659	0.673899166384	0.518944602303	0.593809143202	0.560857579334	0.633154145091	0.569468066911	0.627162851554	0.549221613689	0.559770905489	0.56269209447	0.524037767155	0.612691259242	0.585213986376	0.567029257795	0.588391387789	0.532698244769	0.681239483291	0.662331494579	0.541462048113	0.60017539342	0.537122528583	0.546010959235	0.560241467742	0.630606884778	0.533652843711	0.518438216519	0.569787240524	0.520644166461	0.600960786883	0.58987247981	0.517474060034	0.586252303228	0.570517852681	0.550154343995	0.511460393279	0.667637296019	0.557919167871	0.638988788413	0.648211362597	0.608321634719	0.591556025718	0.607189506667	0.615234985799	0.603701876794	0.54628971737	0.609535938753	0.583673950622	0.584505487964	0.622982648869	0.565206877536	0.551793200619	0.588162014917	0.612262973883	0.65153760666	0.631189994675	0.534585605991	0.623009384857	0.643202594762	0.60777675923	0.592305957334	0.589506106706	0.567385870938	0.616491867922	0.596759023444	0.571442442046	0.642574529745	0.582270117282	0.606640016895	0.539859501102	0.629920675887	0.59853756868	0.537761585059	0.587846653963	0.527913320837	0.593938983069	0.478447250618	0.54331518459	0.581265719439	0.63938341366	0.574109024303	0.600222769113	0.515634961501	0.644942734092	0.604316796655	0.525601691339	0.540639306621	0.547393247684	0.576776116053	0.579764027763	0.577557331142	0.617415138351	0.694307105031	0.602514510603	0.607639411861	0.575600739272	0.555756370504	0.55582729737	0.568109262301	0.514285057356	0.527823828566	0.538082953671	0.57453061663	0.667424411618	0.625360929384	0.521895303845	0.572096190909	0.627964771582	0.5816382526	0.5161941375	0.513866071554	0.528232713024	0.582488480393	0.527206866163	0.555803302502	0.531426994424	0.560405710731	0.607159215806	0.540953601133	0.565775259042	0.566536905448	0.587256965681	0.540272998241	0.616842784813	0.546472045246	0.561165953113	0.562334177817	0.59013188183	0.53325225904
CS.017	0.576144335769	0.546508904973	0.563948884652	0.575844183259	0.626440670599	0	0.553701036404	0.604983414988	0.562955199547	0.574743449102	0.546551631454	0.588257943427	0.527114184494	0.614451820094	0.662833772577	0.615821240132	0.651055506572	0.651165520654	0.707543816428	0.735297748279	0.635267249636	0.572649506087	0.601405771371	0.539872448776	0.660485230065	0.635844266913	0.646343515117	0.60025420091	0.640847647537	0.622072032087	0.722477341979	0.556617545876	0.601261327705	0.706554622154	0.667324729668	0.621781504558	0.697719758912	0.616265031303	0.678211234635	0.638533562216	0.658846170682	0.629816947481	0.664223398401	0.698515197329	0.679278419909	0.695893617351	0.75004574791	0.684138392878	0.666766157525	0.663404901101	0.618640819644	0.688385507463	0.683758924307	0.681957413265	0.695507232658	0.678874460107	0.730640882304	0.73670031594	0.66574605727	0.666953199544	0.583210464378	0.688563923777	0.603396261739	0.611209904501	0.599868674718	0.639940948649	0.609178450932	0.586393977998	0.696740590801	0.652039192922	0.620361654901	0.631206571443	0.691140312724	0.681289137407	0.622564518377	0.644213290798	0.598132336653	0.586622196485	0.634974866921	0.585065377454	0.561086630669	0.576835299453	0.604474451276	0.566647259221	0.576108181662	0.580498679727	0.576336574316	0.627807633178	0.570222692173	0.578331215081	0.604361680555	0.566945118105	0.527692841086	0.622786952726	0.692809305267	0.585040179589	0.563194579104	0.519716555685	0.635249239923	0.586749348162	0.607980277866	0.554696606714	0.598148545343	0.564123531781	0.549883311659	0.696984274414	0.575182357211	0.684751849787	0.663292933897	0.67716789316	0.586585531368	0.701757052572	0.644167796556	0.663563404456	0.674319036849	0.630527951259	0.655830900626	0.673198570939	0.594617734977	0.693131299841	0.657588347411	0.671459651272	0.720722839622	0.615457128658	0.627000515986	0.690800986053	0.66188808918	0.673391630047	0.699390248794	0.617215002737	0.60934894568	0.766260678054	0.646967951573	0.675926317296	0.607744974441	0.678471048035	0.648155543064	0.649764726646	0.62154530346	0.668096661141	0.641863662453	0.676835048396	0.741795861636	0.649032395829	0.62864266103	0.594504770108	0.726174287275	0.602182699356	0.569949757736	0.629441812964	0.571661614606	0.570281200017	0.578542765812	0.63281555338	0.623557435708	0.578562893219	0.585365020391	0.663277449773	0.565728936659	0.576595259544	0.570805381951	0.599583664275	0.56649420418	0.593350573708	0.597032296264	0.57432779352	0.570271771389	0.610119176748
CS.293	0.410021556574	0.414922019041	0.561318771662	0.493616404983	0.599853904801	0.553701036404	0	0.613575624715	0.428684348019	0.558116880465	0.535631581848	0.544753824367	0.507516515888	0.656362144407	0.691732851957	0.646676514271	0.685269762407	0.697028145609	0.689406337888	0.791361621366	0.654898445964	0.564508031478	0.537364553486	0.586486471807	0.666849117831	0.58593486033	0.682386357487	0.561401505641	0.653550088163	0.611282569095	0.727808032698	0.536220793655	0.561170218122	0.721169646766	0.682701162999	0.607452496855	0.681994156767	0.627946491226	0.694797301816	0.694388759264	0.733108551949	0.64506101373	0.695408294733	0.704621458648	0.712689115433	0.716553519456	0.741972200377	0.688781028526	0.65950388959	0.669756511644	0.613538956846	0.718009291363	0.695199702888	0.679487215908	0.711846386881	0.68093108186	0.773653437685	0.766702101871	0.673628871517	0.676662297419	0.536296623337	0.701993045307	0.516130653091	0.62511677695	0.583983860032	0.57922340812	0.526541751853	0.558902235987	0.7432025065	0.645958615158	0.521251828496	0.651224123269	0.677201611514	0.655709115544	0.573838613155	0.594100949587	0.472824376024	0.516735555817	0.543896001144	0.41416843965	0.439186465754	0.458837986001	0.48293993547	0.483336345232	0.542891051704	0.433549076087	0.596892947649	0.56454439131	0.418511610597	0.489664280305	0.522016975001	0.56095739727	0.466193310336	0.641063429269	0.696940396582	0.48552798716	0.567237725224	0.536482557155	0.687009858282	0.588893865377	0.488195425846	0.588344226986	0.570127835084	0.563622011286	0.525329367548	0.732584123117	0.47608840655	0.726374004767	0.622903166198	0.727300491064	0.659890291966	0.691998950527	0.657775802972	0.659589333104	0.707428668003	0.618695337657	0.661800686005	0.669968450493	0.598085439828	0.656804670511	0.692075752889	0.674675160202	0.767773806732	0.684272220861	0.614117352843	0.685349363366	0.682908745837	0.661336971122	0.709547266041	0.610690833941	0.680373245017	0.802917629954	0.686493231134	0.65794602502	0.639004085708	0.685388218859	0.683205465107	0.67614614559	0.593834019239	0.647667700023	0.644095674209	0.678635297557	0.761344609712	0.702300227615	0.583528621142	0.443384652829	0.725929768672	0.455203062448	0.511791740471	0.572500652674	0.525371900455	0.470982575536	0.544954784694	0.57076112967	0.593553292295	0.514291197089	0.545003037855	0.653839013123	0.515355401241	0.510646188628	0.480464737086	0.488875936542	0.423653917491	0.480008803387	0.481176609709	0.439225279013	0.447455437376	0.486749807545
L.025.M1	0.586216768024	0.630857887731	0.632770522302	0.632735866714	0.62284066982	0.604983414988	0.613575624715	0	0.594028847653	0.646523212821	0.621353756821	0.660694152702	0.639120571823	0.621810510383	0.576834628324	0.654086261107	0.642688202088	0.690180260331	0.693684338661	0.747323919547	0.646418087746	0.60381578297	0.630595528455	0.573209177757	0.693294778115	0.666863652251	0.675474758733	0.657324403094	0.67185150486	0.62309730075	0.718463124693	0.623582855263	0.644645692565	0.710186739435	0.671816743241	0.671894737144	0.697384807972	0.679147219062	0.681863656974	0.688003574134	0.720213638588	0.646116000131	0.69205272226	0.695150186062	0.65863660477	0.671458164944	0.719781038641	0.6952480923	0.679750152487	0.705609808856	0.635859639263	0.697934593045	0.714714073853	0.710570729006	0.731534244706	0.698023354322	0.737100210593	0.734640152357	0.705578112434	0.711761457097	0.624683985397	0.673587276298	0.631014484687	0.604370940133	0.641014120484	0.629734992748	0.634602134226	0.645108286415	0.683364014668	0.633761573599	0.610352856204	0.659612265381	0.689960201811	0.645694147076	0.634891897465	0.679316937584	0.625470406609	0.627139099507	0.684453784018	0.642600076705	0.615954638236	0.653727396903	0.630969175793	0.633745103764	0.621137976201	0.646470896836	0.586854084869	0.682162454436	0.647900221208	0.624697491573	0.626891917903	0.585018865971	0.634535071686	0.598084268966	0.679829559443	0.629422764309	0.621214883561	0.5899486726	0.621948682897	0.584576986519	0.604592884367	0.612216307981	0.654725032974	0.61762848901	0.594400664893	0.688411052214	0.617502763693	0.667842447691	0.660055939688	0.682117913692	0.612036627592	0.664082799916	0.683403949078	0.672515300491	0.673591986701	0.640081597101	0.674885128966	0.681696341022	0.642598734953	0.681021962787	0.6726282248	0.669714475327	0.706512672938	0.632488352955	0.660943326796	0.688551355923	0.673742754725	0.643667116568	0.673010893123	0.684429566746	0.651940899633	0.747494306338	0.64734381323	0.668546517249	0.631533084197	0.686226801726	0.669138638277	0.688216132213	0.658280264678	0.678674121872	0.668658279523	0.697641793696	0.744549819097	0.683227713081	0.614149807387	0.63278257573	0.709068992812	0.657775800938	0.603645917496	0.619588871036	0.603649795341	0.633030405566	0.620968333918	0.602031191749	0.62902180647	0.5985971223	0.621252443448	0.608670320673	0.617746738112	0.573855307504	0.559124426077	0.627229420408	0.632312832438	0.644354247083	0.550040281011	0.601148475979	0.639437336972	0.635935600866
CS.259	0.449527879233	0.483008122715	0.551874851486	0.516371759787	0.561121962579	0.562955199547	0.428684348019	0.594028847653	0	0.564755327542	0.537628827413	0.546146802757	0.505892151677	0.644679289801	0.636557543144	0.603644934715	0.673387781194	0.649973804888	0.658757256908	0.769871626146	0.650277658518	0.553419367798	0.518668869976	0.550011493198	0.624671228653	0.530134284332	0.628172570762	0.529598350887	0.590478134385	0.566914081456	0.708260659977	0.534160375004	0.562125351538	0.678307828306	0.670624302113	0.584768262467	0.652660558006	0.626083822604	0.646007030729	0.663641789472	0.715249928418	0.607795585281	0.680394144006	0.671507234407	0.689656095462	0.682611312958	0.718882293262	0.657005277021	0.635472988688	0.63963334045	0.598696583839	0.688265691436	0.660916616498	0.642491771328	0.665184696727	0.649682017536	0.74459764694	0.730516164689	0.620563707102	0.640587610573	0.524661539518	0.673400406941	0.507581007395	0.619177305987	0.536561868624	0.51628911064	0.494740704913	0.509111713368	0.706116970142	0.618096703719	0.49023990562	0.632118041307	0.626352616194	0.607503817547	0.549705072108	0.609343796775	0.468183719738	0.531933842338	0.543594105354	0.457869816399	0.455875237865	0.48725192736	0.511647957132	0.513050076397	0.525579950894	0.48347997884	0.584759090563	0.551383029911	0.456692572904	0.525791172478	0.515664571901	0.559654750858	0.530888694688	0.63304933174	0.675496017279	0.470631985959	0.563109951163	0.554888657435	0.66641813033	0.577905848068	0.527411454417	0.572840851721	0.557246303986	0.551822380851	0.520745344902	0.701150384379	0.461411934681	0.697251905519	0.572637078842	0.695864847802	0.633651409582	0.649943061192	0.639401022611	0.650575950448	0.677168414363	0.566292477595	0.616000022648	0.645643842497	0.605900461497	0.597968136949	0.662357768254	0.66094230957	0.72758461425	0.654761567805	0.593664903197	0.633739844272	0.638569567436	0.612832949511	0.679401396401	0.582954242005	0.643361837387	0.776455105728	0.647604274254	0.641124647702	0.599621348378	0.652326138088	0.631220257338	0.635459983023	0.550554636321	0.617899625141	0.613743460007	0.645513768193	0.734104648151	0.671805190317	0.543402707636	0.446846556424	0.702162720764	0.471521875104	0.475284558907	0.529186995337	0.525834676595	0.463650436291	0.522203863603	0.541131324771	0.551228364421	0.491092508396	0.558344737574	0.632475907819	0.519619482044	0.51703901961	0.489515160373	0.478005637288	0.469530958135	0.479599498093	0.471359420064	0.435962724149	0.469096254859	0.505714589185
CS.092	0.604052280087	0.54177955393	0.513307448264	0.486489573777	0.642037386018	0.574743449102	0.558116880465	0.646523212821	0.564755327542	0	0.466458958857	0.53776968512	0.517620673309	0.606014618036	0.66971966259	0.571804283901	0.618198093839	0.670407399634	0.747945386731	0.766495402295	0.657016355907	0.544159167526	0.655001249073	0.575383019824	0.625246407707	0.584236971779	0.637188018093	0.575743743194	0.649067540951	0.672989191523	0.741403456914	0.606322550755	0.49515727799	0.736464834272	0.715331856986	0.623567617984	0.679071408911	0.584947725009	0.685802576893	0.64321252036	0.663355643246	0.660263885471	0.659196060166	0.697221577942	0.676799218342	0.685192383867	0.716917786465	0.694576948337	0.670444852633	0.649225190029	0.587057602609	0.650789053279	0.639650532032	0.668657771033	0.677152690038	0.654730354141	0.707620483077	0.735375067333	0.626331686427	0.627876388492	0.584501872194	0.714282923245	0.597803037934	0.638676358488	0.620436220204	0.641726114554	0.603326830998	0.603486736228	0.719316970036	0.640272647778	0.608119981718	0.582809873902	0.655448251191	0.681613080321	0.599679156664	0.484547060615	0.599195360787	0.530357503929	0.533603892009	0.539167478198	0.571729634501	0.515626559364	0.484075124899	0.587325087699	0.597025195633	0.515744665592	0.567115631698	0.516823986635	0.537771503606	0.558700686553	0.541748672278	0.551960770128	0.558792700511	0.688460773909	0.720201543958	0.52653904146	0.523633132035	0.603814736337	0.592659250223	0.600879771105	0.622919932144	0.593984568236	0.381231409451	0.463482779866	0.553460313781	0.692737969413	0.563436763157	0.695398456686	0.656732505455	0.655624653377	0.588060427699	0.707218022328	0.610296619135	0.660774690639	0.725806445239	0.652993988833	0.638772323255	0.72596893691	0.501828490837	0.702957880501	0.693472866558	0.704576460786	0.712063137004	0.587426103903	0.640686665609	0.665061923544	0.678793406496	0.694601478764	0.709915295112	0.566747896611	0.602706429179	0.789587030533	0.613202367315	0.684868211098	0.584937837743	0.663588797632	0.688170547681	0.672338435479	0.617255196138	0.62054539779	0.622330555921	0.675354019264	0.721671558201	0.668899684752	0.651571936485	0.533607678267	0.731156729295	0.538721572488	0.575846798215	0.659787586309	0.618978984255	0.556482400771	0.629217257793	0.645291837008	0.703196532457	0.617278145984	0.526778367554	0.69046480528	0.597739496367	0.592840224041	0.646101910726	0.587925061541	0.549419509684	0.542670786413	0.649941842511	0.598338873548	0.530421671606	0.590435027623
