CS.092	L.022.M1	CS.005	CS.099	L.011.M1	CS.007	CS.043	L.012.M1	CS.314	CS.105	CS.035	CS.038	CS.263	CS.354	CS.219	CS.042	CS.072	CS.382	CS.063	CS.377	CS.388	CS.287	CS.115	CS.153	CS.149	CS.230	CS.118	CS.334	CS.171	CS.161	CS.292	CS.232	CS.136	CS.125	CS.205	CS.126	CS.041	CS.376	CS.203	CS.282	CS.213	CS.302	CS.128	CS.236	CS.374	CS.254	CS.181	CS.148	CS.177	CS.323	CS.389	CS.349	CS.268	CS.147	CS.385	CS.386	CS.178	CS.183	CS.395	CS.129	T.CS.079	T.CS.069	T.CS.004	T.CS.056	T.CS.067	T.CS.003	T.CS.022	T.CS.012	T.CS.076	T.CS.035	T.CS.041	T.CS.028	T.CS.058	T.CS.046	T.CS.059	T.CS.144	T.CS.129	T.CS.098	T.CS.159	T.CS.130	T.CS.134	T.CS.110	T.CS.121	T.CS.100	T.CS.104	T.CS.156	T.CS.119	T.CS.122	T.CS.160	T.CS.117	CS.088	CS.087	CS.110	CS.015	CS.085	CS.103	CS.242	CS.006	L.034.M1	CS.238	CS.356	CS.082	CS.241	CS.246	CS.237	CS.228	CS.189	CS.311	CS.165	CS.078	CS.363	CS.387	CS.164	CS.233	CS.325	CS.364	CS.308.0	CS.207	CS.274	CS.304	CS.322	CS.158	CS.331	CS.321	CS.194	CS.202	CS.080	CS.343	CS.285	CS.318	CS.339	CS.163	CS.223	CS.319	CS.361	CS.270	CS.145	CS.326	CS.370	CS.253	CS.393	CS.390	CS.255	CS.262	TFS.021	T.CS.064	TFS.022	T.CS.066	T.CS.031	TFS.025	T.CS.008	T.CS.026	T.CS.061	T.CS.036	TFS.020	T.CS.055	TFS.027	T.CS.043	T.CS.049	T.CS.151	T.CS.152	T.CS.141	T.CS.095	T.CS.158	T.CS.157	T.CS.142	T.CS.166	T.CS.109
CS.092	0	0.489774915473	0.486489573777	0.510699645666	0.567935434728	0.585169014588	0.583857028074	0.581329177855	0.597641237258	0.538328044846	0.535417282617	0.647891260152	0.513307448264	0.633905965098	0.499371645661	0.657016355907	0.510831025767	0.655001249073	0.635995076634	0.643287342892	0.747945386731	0.625246407707	0.613115964945	0.527219563399	0.637188018093	0.711453806598	0.573011759792	0.704829707217	0.56644165498	0.657322871292	0.584947725009	0.49515727799	0.591113103636	0.679071408911	0.736464834272	0.589857323688	0.64321252036	0.685802576893	0.606322550755	0.697221577942	0.715331856986	0.741403456914	0.623567617984	0.663355643246	0.659196060166	0.668657771033	0.623345242799	0.685192383867	0.695415654199	0.646964646825	0.654730354141	0.626331686427	0.650789053279	0.694576948337	0.639650532032	0.718502326408	0.620158860801	0.735375067333	0.627876388492	0.587057602609	0.714282923245	0.621346163714	0.641726114554	0.638676358488	0.608119981718	0.569617206366	0.629002055385	0.722129478607	0.584118538487	0.599238825429	0.596248190053	0.603486736228	0.598035550473	0.640592359344	0.569391108881	0.571729634501	0.548839027087	0.528723844655	0.504731786535	0.518693186286	0.599195360787	0.493473077399	0.553673488932	0.530357503929	0.515626559364	0.590262609286	0.493365861124	0.54575648848	0.511806524132	0.558700686553	0.688460773909	0.600879771105	0.609555129019	0.603814736337	0.463482779866	0.523633132035	0.52653904146	0.553460313781	0.593984568236	0.551960770128	0.720201543958	0.381231409451	0.558792700511	0.541748672278	0.592659250223	0.588060427699	0.637626466807	0.608377930248	0.725806445239	0.645958654261	0.67326568105	0.652993988833	0.669766315616	0.501828490837	0.766892348958	0.722267840425	0.655624653377	0.670734957167	0.707218022328	0.692737969413	0.709915295112	0.587426103903	0.566747896611	0.593493751408	0.779107459978	0.684868211098	0.584937837743	0.704576460786	0.712063137004	0.683343747902	0.694601478764	0.613202367315	0.665061923544	0.678793406496	0.693472866558	0.675354019264	0.617255196138	0.62054539779	0.672338435479	0.721671558201	0.668899684752	0.663588797632	0.622330555921	0.688170547681	0.645291837008	0.575846798215	0.538721572488	0.556482400771	0.618978984255	0.659787586309	0.703196532457	0.731156729295	0.651571936485	0.526778367554	0.533607678267	0.597739496367	0.617278145984	0.620642862626	0.69046480528	0.598338873548	0.587925061541	0.646101910726	0.549419509684	0.542670786413	0.592840224041	0.649941842511	0.590435027623	0.530421671606
L.022.M1	0.489774915473	0	0.492913519018	0.536779066029	0.570719687825	0.582372295784	0.627679252423	0.513800322848	0.593267571436	0.578599836408	0.582238105443	0.671036881063	0.553972488162	0.647676056355	0.579056449469	0.684259584569	0.534056927819	0.637587108301	0.712472753005	0.679041839632	0.756457025076	0.647305323486	0.692402098559	0.608700487295	0.673680834945	0.742295545333	0.614201820754	0.748046907958	0.612049517136	0.70515121593	0.618668667759	0.554591784444	0.648641747406	0.690580701214	0.748240360492	0.587939422871	0.684532123568	0.700829529742	0.604826102011	0.7154756578	0.73237852854	0.760291198629	0.636640207773	0.71885599733	0.688577000155	0.690353049928	0.664021036002	0.703396571824	0.721093439868	0.669787203695	0.685229167628	0.651876250789	0.690232546568	0.696976847786	0.678645479325	0.723148177573	0.626547133371	0.771811777655	0.669852657864	0.619543992139	0.721021781298	0.624254025397	0.637021914261	0.669301676918	0.599099732127	0.549322693251	0.645293357923	0.737430836138	0.586062813629	0.601672535877	0.604323906213	0.60326905077	0.606329122273	0.661792532953	0.606336583699	0.555573567022	0.52050929479	0.504419840899	0.439612019902	0.524730435136	0.590236681951	0.476651237528	0.554881617974	0.518523058667	0.467753028495	0.566540282561	0.484082488886	0.5428431387	0.468498657787	0.525883712118	0.70441150144	0.652901685036	0.670212054049	0.615352006269	0.545921341627	0.560202633145	0.531223978351	0.58024234599	0.621663090153	0.607724612957	0.743302551413	0.529803978523	0.555422248917	0.543332090276	0.674570898263	0.644908320986	0.642346473615	0.669456069792	0.746909710111	0.652091573281	0.680607514635	0.660000621837	0.741745716452	0.585064325026	0.778867860706	0.754068361455	0.714779251906	0.694153850748	0.730541974562	0.721278591252	0.723771651951	0.672376220059	0.572679639356	0.604784791153	0.787955389927	0.685454346967	0.635383884201	0.698874980462	0.752058767053	0.702097462813	0.695683468109	0.670886936581	0.700547526706	0.707659556967	0.727820601841	0.687938807284	0.628628794954	0.626651667938	0.68751633618	0.759619425135	0.707541771943	0.687254258769	0.621926287958	0.702838630589	0.628422171633	0.578522780656	0.520159734598	0.525080711999	0.603459124291	0.65563529375	0.67118688274	0.746609601283	0.656316372895	0.539305326347	0.510454899783	0.60146759115	0.605409598308	0.610951910913	0.687638673699	0.569730373504	0.566037869075	0.621401219994	0.497500826336	0.53967794552	0.578961994658	0.63838943088	0.582928573301	0.483264886045
CS.005	0.486489573777	0.492913519018	0	0.496823200064	0.571503784099	0.537672943781	0.581044005881	0.538906395717	0.553781967162	0.511290040319	0.537713996434	0.619576053862	0.54190387343	0.627113958218	0.536180452301	0.643482058447	0.47525518685	0.629764174049	0.682512054882	0.651791154018	0.724909569196	0.634731754786	0.661293452448	0.525276893936	0.649532385559	0.708958746836	0.571771012324	0.722723233031	0.573783780932	0.681440705166	0.587546139732	0.482129584987	0.60928701007	0.682192160574	0.729427919259	0.552895552678	0.653921671385	0.687984403573	0.583422313539	0.695782217174	0.690160639771	0.737061096974	0.606233448657	0.696682025911	0.682768859504	0.665122506984	0.636674977814	0.6952763602	0.698028597651	0.6490876971	0.654562436581	0.643773346338	0.665860806574	0.673768849526	0.657496716398	0.72182838909	0.612543719661	0.745878871215	0.651058558233	0.590098344385	0.699644741892	0.592622828094	0.615852434059	0.649541800674	0.578503018809	0.55308237451	0.606684346068	0.705075137533	0.578809609111	0.560880257853	0.568405053537	0.578818600705	0.583597117174	0.63188142056	0.585025951864	0.525768163385	0.511518053447	0.494928836829	0.474632083076	0.501949877294	0.559664539133	0.493159090858	0.528863561598	0.530551185231	0.483392751913	0.544166198729	0.47706250401	0.513756050395	0.49262827428	0.526122498045	0.680795921033	0.602856483996	0.617980263878	0.589131619684	0.475794766895	0.53151213506	0.508859392581	0.487759724562	0.594722536511	0.553443508755	0.704058332013	0.475202275758	0.520953473855	0.496909484431	0.613738912199	0.587227833908	0.624849909148	0.617403333437	0.704234764092	0.629112230227	0.682427417596	0.638668183162	0.713841998275	0.522070075927	0.778980478815	0.740473862675	0.686334095527	0.679223269815	0.695199569437	0.691368798449	0.71009069073	0.623893921155	0.565080542143	0.578849539994	0.767361967557	0.668428382524	0.590912125749	0.689944169826	0.725660222675	0.68533520938	0.671220059251	0.634336233368	0.661261559655	0.690013985892	0.693361161559	0.679187551212	0.613431729508	0.628851702392	0.676309148797	0.733276634689	0.677335043267	0.665214088314	0.613595519464	0.694341472258	0.630055747352	0.568157144735	0.503237796916	0.527411251761	0.574620307484	0.624296275419	0.667864308597	0.733492962004	0.614482717945	0.513874523522	0.507986878208	0.577549188528	0.589803023554	0.586029128237	0.66644007955	0.551379632346	0.532992500351	0.596193053416	0.509881188648	0.516698064889	0.555515911827	0.611081014461	0.534363721291	0.474145586292
CS.099	0.510699645666	0.536779066029	0.496823200064	0	0.570531741002	0.553947999417	0.606764485424	0.572733998345	0.562325588762	0.558480042236	0.536972014385	0.600205855567	0.549945401643	0.601142249503	0.565371583042	0.650991166807	0.524556316723	0.632414166654	0.669739492698	0.696897009995	0.731771639282	0.675585405723	0.655767593253	0.568163836632	0.671672705437	0.72285554362	0.557051273176	0.734175336188	0.546557357589	0.682261831589	0.615669406604	0.551244960605	0.629563827483	0.71067518382	0.737596370123	0.615095492067	0.666792671398	0.697131763154	0.587319217154	0.72308628535	0.701791088695	0.759870738748	0.640879887104	0.687734524285	0.691865659601	0.702583847813	0.674331396128	0.712573461842	0.708954902525	0.68014116828	0.689425005634	0.669834755977	0.676716606242	0.686072827458	0.680232585306	0.727121189185	0.640340622355	0.752511289894	0.663010394213	0.606380860117	0.720857157351	0.632762957057	0.62909641687	0.626393136712	0.581486578944	0.551220237224	0.625723540006	0.712931530722	0.619022401302	0.578799036849	0.58680509767	0.618110277804	0.593205283506	0.649669939016	0.586183558058	0.540748606318	0.577129125537	0.539280860485	0.558968035154	0.546602369436	0.570501361853	0.55526137616	0.59895268797	0.568368262915	0.515873126254	0.532232318957	0.574724087441	0.553899798896	0.543709195756	0.561110027568	0.636526086958	0.54983239349	0.62874310945	0.550085019733	0.520498178305	0.532886639847	0.532982363623	0.485995529663	0.592572033165	0.530728841462	0.688389134099	0.525681857172	0.53454486903	0.545136209198	0.634547939294	0.582421746482	0.655837924375	0.601570792381	0.695175190733	0.607805211691	0.692489653448	0.654609720366	0.695765559767	0.546643850307	0.773264078584	0.733997994253	0.68154181343	0.690128366482	0.716181561962	0.692967647276	0.720722939111	0.62378272271	0.601709516069	0.559301543709	0.771440425484	0.666219160689	0.603121778191	0.695858867759	0.7403327616	0.696716269582	0.663344891469	0.630265968756	0.698821845766	0.702927668087	0.685491673436	0.70247758175	0.644252844018	0.646430881411	0.687139933277	0.726911899571	0.69532163593	0.694346355318	0.64406335018	0.702030078971	0.596478776344	0.55387672997	0.534375669926	0.522838897998	0.575748137173	0.635440095435	0.658941824956	0.731142326403	0.636061907871	0.544506234598	0.539003298739	0.556356185403	0.568524919889	0.595394338363	0.683654037456	0.555895533752	0.562759430358	0.582165186773	0.524555143634	0.547772665504	0.541076276267	0.589888248758	0.558505261911	0.511840399758
L.011.M1	0.567935434728	0.570719687825	0.571503784099	0.570531741002	0	0.509178325761	0.579793984934	0.559077902818	0.565860756309	0.534224027878	0.565715333581	0.57100520446	0.53862153105	0.591867903835	0.560348994643	0.601776143936	0.527679587095	0.534759188169	0.662447468165	0.639777058159	0.701192161114	0.60806018519	0.677673319175	0.598589539716	0.603826512611	0.672897622203	0.583633452127	0.673746194264	0.598823593453	0.632792742122	0.599678016148	0.575735591339	0.603243593865	0.608048133486	0.661169181163	0.552947392621	0.637035745726	0.632732732812	0.540297958463	0.644474272758	0.652469410487	0.706200452729	0.545348714909	0.662444703589	0.630053133342	0.612791627984	0.604757228526	0.671120911291	0.644660705363	0.598803870453	0.6325720389	0.601335445098	0.638470373929	0.614106937009	0.605058088593	0.674446072909	0.607194354674	0.722526637025	0.640414010088	0.574481774044	0.64862147272	0.573573418531	0.565371654747	0.631219407178	0.535164025349	0.534230030381	0.553870023305	0.664483436994	0.567995843871	0.538041071186	0.545808257869	0.560186344172	0.543664498564	0.585745951357	0.611244129934	0.556206966745	0.572005275252	0.56090026771	0.593512918245	0.51111306264	0.538848551459	0.541306838848	0.551666926058	0.580069580962	0.546442951545	0.512380157434	0.583989905546	0.522186718944	0.542602854781	0.511933525697	0.627452877839	0.595770286554	0.633132630708	0.570821073325	0.573102356049	0.570927537857	0.527157132672	0.510871396655	0.550525132271	0.563951096746	0.659959225341	0.573934387941	0.52334781628	0.526297869501	0.633880152769	0.613212562074	0.649532909615	0.565040501739	0.633657077325	0.560609834652	0.628613881165	0.567686831182	0.707751718254	0.609415618775	0.738487389569	0.691171953461	0.669851804418	0.671851103485	0.646980239977	0.691108709008	0.657533497019	0.627791590479	0.56277706058	0.529241419778	0.716796302117	0.639965119695	0.582284946899	0.625288155943	0.686614001999	0.611988605332	0.622975591238	0.619658703346	0.611032687177	0.614414251974	0.611656071137	0.631098987612	0.534089740892	0.595876864274	0.625863132464	0.727447416651	0.638177137999	0.6119968543	0.59308636473	0.620981770163	0.564696470067	0.518633824746	0.538737228948	0.545817175949	0.565848854384	0.564268674148	0.575889051779	0.697027832768	0.565804478862	0.605508970774	0.537390651423	0.549572459152	0.525852468982	0.574471415602	0.623438330643	0.540374973543	0.54802101018	0.57314811745	0.556760258447	0.510684599643	0.553027448413	0.588226520099	0.522049317439	0.521722690412
CS.007	0.585169014588	0.582372295784	0.537672943781	0.553947999417	0.509178325761	0	0.560953257977	0.559093020985	0.561162652001	0.504734815642	0.544547771559	0.575441390213	0.554695400827	0.613848487932	0.598515612189	0.588568007041	0.500320648175	0.507789788995	0.679393224241	0.666049219358	0.699968888096	0.621421275346	0.696445585415	0.585650182629	0.593513488754	0.702483449855	0.582568487988	0.679113343027	0.588028920439	0.664735733513	0.571505744732	0.542848365897	0.60652465219	0.625691803084	0.684155510239	0.501016001939	0.648220091819	0.640608598568	0.505717753422	0.655647334921	0.65136526046	0.721672300385	0.55587296215	0.695452690664	0.657946337735	0.626027096836	0.616703352446	0.672312285008	0.653545177325	0.60792283562	0.616439585113	0.617114720103	0.649469552683	0.626326783596	0.636710964559	0.680693140355	0.578600881523	0.728862346169	0.629420350086	0.605629544268	0.678108059347	0.55620837324	0.547734694665	0.638498585178	0.535036116213	0.501122041374	0.564141643939	0.665338749994	0.576619947382	0.525611533347	0.534255546664	0.525218118277	0.533613114217	0.611885101703	0.643782452246	0.526810003757	0.549124707696	0.561596172367	0.584575434305	0.482715053007	0.524733796056	0.538836359997	0.535496348145	0.590728622958	0.527435899928	0.52219896333	0.594771839883	0.52086816548	0.542253032528	0.502038645566	0.655171746864	0.607073102699	0.638289162782	0.563218278814	0.574315222843	0.568888894381	0.524773465153	0.529429559267	0.577121229512	0.513028745123	0.69781230106	0.577314292953	0.479225241861	0.519934664006	0.637114946742	0.631948665782	0.662025310487	0.555032798282	0.667780908135	0.558287632618	0.626560021876	0.561112783748	0.746374988466	0.601839793763	0.756428420335	0.714629570505	0.671659559941	0.695587166265	0.645075709096	0.694594623546	0.662264751486	0.643007438184	0.561050387833	0.51596391915	0.723213718306	0.612385010568	0.608558425232	0.635200399663	0.708227083503	0.638356846166	0.62510765387	0.650674663718	0.620231805536	0.638477794599	0.643073301446	0.636336881561	0.532828653831	0.628710488623	0.624850082562	0.748459047354	0.665015575722	0.611215817885	0.60910202022	0.639897190363	0.557862880099	0.500098085443	0.509995842719	0.508808691294	0.526599032163	0.553650773511	0.571738839604	0.724973671837	0.54883920245	0.591500324277	0.513313530423	0.538931397269	0.515248724403	0.549707025935	0.65162898048	0.505378809821	0.516844761327	0.55485441433	0.537464600821	0.508980346719	0.561155426072	0.57166113499	0.499328627579	0.506477729019
CS.043	0.583857028074	0.627679252423	0.581044005881	0.606764485424	0.579793984934	0.560953257977	0	0.618239235991	0.611265549704	0.558759654256	0.5655681638	0.618687118502	0.608340780504	0.6371950783	0.569304883275	0.582352391022	0.555901496779	0.587752085569	0.609651357014	0.607117908239	0.692368817805	0.586445500283	0.608912270014	0.561962425766	0.572355840728	0.630900511082	0.605530891862	0.616491391292	0.571820183221	0.603718196606	0.552590362402	0.537413975052	0.562038652241	0.604635058214	0.649485133895	0.553991775959	0.559246824153	0.583858847292	0.611064425005	0.625010414174	0.603663016392	0.661008719449	0.580309996593	0.642120672698	0.603671577464	0.598770869798	0.59168055629	0.653008086257	0.638559454043	0.591796760315	0.578189369999	0.611390775018	0.626815783534	0.595570659062	0.607713379728	0.650597784411	0.594623401902	0.658377859417	0.612603303249	0.602135172901	0.629969221529	0.585431555334	0.577230508007	0.651874992149	0.600436685422	0.595497094516	0.59693990049	0.681703726485	0.578166306082	0.589084963887	0.609111682494	0.584960443245	0.593906994589	0.595787953081	0.619894286985	0.619528959618	0.611711768703	0.614933070144	0.640126069737	0.611095766163	0.60608510595	0.592086913977	0.602559678583	0.626171456034	0.616859898791	0.615160651673	0.626573457121	0.588929252841	0.635173661049	0.614830393554	0.657552193074	0.588181704496	0.577697913374	0.639762375211	0.540865711716	0.570706705656	0.575153632072	0.569168860646	0.609356429925	0.536649405684	0.650736051783	0.571463990298	0.583010870301	0.597258282812	0.57269112897	0.579326738752	0.629293023127	0.581177460484	0.621042360032	0.610367363909	0.595271920333	0.559223770417	0.661279640202	0.59424424025	0.705079474977	0.658259597549	0.60830316261	0.647069611643	0.623879792908	0.644832900137	0.628754092822	0.555322425442	0.567850340657	0.594701358637	0.692429932445	0.620847538098	0.556067348453	0.606149692087	0.638458277806	0.590798931761	0.625200933239	0.613051422215	0.593016433656	0.611118727464	0.633047943855	0.614362678631	0.611842338457	0.597035273823	0.607504513893	0.663216338285	0.637528772504	0.601966878273	0.592823870579	0.622845785126	0.612920201705	0.58384085919	0.61609238441	0.615884723359	0.580287403252	0.602013083405	0.589734450392	0.674215400342	0.595770410951	0.600913958647	0.601113706012	0.619318423443	0.596087468686	0.607461266268	0.628069358924	0.634238589604	0.584288706793	0.647417765842	0.636071988256	0.601180818808	0.612564393844	0.647607188724	0.585065070102	0.618768856705
L.012.M1	0.581329177855	0.513800322848	0.538906395717	0.572733998345	0.559077902818	0.559093020985	0.618239235991	0	0.57996697398	0.564092548566	0.589905087186	0.619240584233	0.583238613815	0.617916133039	0.625033499259	0.653742219621	0.552929707782	0.569319646912	0.705539479711	0.70145794264	0.713869857487	0.635408984039	0.693992311935	0.61921447597	0.662043578434	0.705578360957	0.599829684353	0.70596556782	0.606827090493	0.691101434672	0.629999375361	0.604515817185	0.647370139801	0.672771753537	0.715071532924	0.567923830373	0.669456719364	0.657953432205	0.552428890958	0.680431249574	0.690136103182	0.730883906043	0.630736770805	0.71642804466	0.68712316321	0.675894668075	0.652076936578	0.713551846023	0.704461534636	0.670855328766	0.679274289881	0.642884052742	0.706124296621	0.677666807978	0.685594781499	0.724605902946	0.606615248205	0.745628614858	0.673333550888	0.638974595769	0.688613314503	0.557435734655	0.569131299035	0.641649776241	0.554491317831	0.506858082267	0.603401777472	0.715190025782	0.58200041944	0.577814990984	0.552833992926	0.572566470733	0.588654580277	0.632550826484	0.619203560454	0.536307204282	0.566409361694	0.519519202504	0.540552641657	0.53935507465	0.57341854237	0.503405252607	0.565830738571	0.553278350504	0.533887239422	0.571215879502	0.563821781593	0.539360877549	0.541930118272	0.565906783796	0.662423900481	0.626447567036	0.661426972393	0.591318282757	0.566733335716	0.584654805876	0.535210368912	0.562688258187	0.5711603283	0.600803146745	0.702075729715	0.584452547823	0.531999760615	0.578213017108	0.662529500504	0.627983776872	0.648257579449	0.62652173781	0.678991646377	0.584618825428	0.664476517415	0.614272979378	0.735149889842	0.615565761089	0.753549341672	0.736024460517	0.704490086107	0.701214264402	0.681630209562	0.724576623462	0.689233593062	0.658112663565	0.590631271668	0.568662640382	0.75347123477	0.676250718527	0.624252231056	0.675451711835	0.733409833133	0.650600907201	0.667627203055	0.671296307335	0.674926194589	0.655754542656	0.686198596859	0.692684273835	0.607534140738	0.645003423525	0.66963516151	0.754244178332	0.692391600978	0.675817036163	0.629699354037	0.673656058681	0.565796978908	0.546158062523	0.530086299451	0.547828598156	0.567434852243	0.575377789008	0.587063332828	0.70596108325	0.581799400258	0.577344652553	0.506931719812	0.551538130633	0.522296923685	0.562389534488	0.628720874688	0.552224429848	0.554724537571	0.548892525272	0.508880045579	0.553558593829	0.546844535029	0.5581884894	0.580914757916	0.515976392039
CS.314	0.597641237258	0.593267571436	0.553781967162	0.562325588762	0.565860756309	0.561162652001	0.611265549704	0.57996697398	0	0.574902215852	0.530561292918	0.585961214466	0.536903926483	0.565063373824	0.607185744794	0.6060407077	0.541915434784	0.563325643371	0.637163734477	0.643098339521	0.646521783845	0.604058142988	0.644783691695	0.565996455154	0.598456936723	0.64076117975	0.570658976403	0.678535703061	0.591560776131	0.640545364121	0.591654630023	0.55514859549	0.583686613651	0.613337360599	0.665795432557	0.554591531005	0.641494597214	0.633718042181	0.595210819023	0.645107078805	0.642032807159	0.662873105514	0.588792790253	0.693864464333	0.630817977321	0.626394732059	0.612065678124	0.653356853698	0.636605459717	0.615667082771	0.610583756793	0.634417200793	0.640877427579	0.616939527822	0.630291931837	0.648238221193	0.57454829993	0.68939438457	0.619846227271	0.563237873154	0.622054913531	0.574504944308	0.553353562066	0.563420264476	0.528595063844	0.538101263966	0.558939343651	0.636606122559	0.60518171646	0.555639474081	0.550497331581	0.552277410461	0.550375441364	0.563535942861	0.575563971569	0.582791309518	0.582523526819	0.564560770684	0.60135296956	0.559002776886	0.542255648872	0.5735541996	0.605505096028	0.601597032145	0.55097153799	0.509946120496	0.603854764899	0.544336613936	0.595005376078	0.535673701228	0.621227181159	0.566283790472	0.595689072747	0.595372024662	0.564638660016	0.57313235003	0.530580164831	0.49476381967	0.570348251698	0.563354755292	0.63701818393	0.571319209684	0.58965606987	0.534885265753	0.601096511227	0.57873818477	0.581440045004	0.558143607183	0.640185738968	0.58104572767	0.624624418738	0.555207582997	0.664590549424	0.584581055366	0.718934839532	0.657879402214	0.637716530358	0.631236573307	0.60345493016	0.644901729509	0.650469452507	0.607290822333	0.596478983311	0.554811484942	0.695642164886	0.591112413172	0.574982078327	0.615336804554	0.672905124134	0.620288726844	0.614669966809	0.587257205207	0.619280095101	0.637127556	0.611685406034	0.62542987032	0.569179052098	0.589791329866	0.630574308745	0.686054614076	0.644788319363	0.625777316768	0.601557925204	0.620363364231	0.566145110109	0.54807771045	0.574506630715	0.556066961609	0.553624439975	0.573794902691	0.573905113431	0.671648434815	0.564382038187	0.552491121539	0.564804727884	0.546292492734	0.557823182755	0.568254163581	0.611101546205	0.534267276306	0.537405855817	0.542189050835	0.563536964973	0.541997257656	0.515459556879	0.555687328656	0.537956304859	0.546089739425
CS.105	0.538328044846	0.578599836408	0.511290040319	0.558480042236	0.534224027878	0.504734815642	0.558759654256	0.564092548566	0.574902215852	0	0.524032696918	0.56703168835	0.547795427515	0.608365644186	0.533147138354	0.578331855141	0.465647050075	0.531191417548	0.652880767022	0.627964011585	0.670047319769	0.614936823716	0.650020325538	0.535379735617	0.610249755564	0.678843279439	0.534937377151	0.678449966988	0.570012057508	0.656910828657	0.596703614987	0.50900916494	0.575927281996	0.636985678069	0.691451383575	0.490116273839	0.577182816994	0.624025718539	0.502218768351	0.665825426797	0.670449632269	0.697522992174	0.570732601164	0.670347758728	0.658925628615	0.630670605182	0.619187578188	0.676496471105	0.682129503878	0.595808181784	0.616161706884	0.586749475471	0.651441931233	0.635293174066	0.613102536457	0.704923492992	0.586582147524	0.723707845734	0.626672445265	0.61371469936	0.655026621147	0.537574109011	0.527639762052	0.619148000806	0.494983726938	0.501261816039	0.564144293752	0.67483947551	0.544092827634	0.499182908308	0.511586288337	0.51820850875	0.519275826876	0.593900787605	0.61648260595	0.539986129435	0.535430580937	0.543260315184	0.574448919731	0.506537771508	0.499568196161	0.542031692396	0.540942721476	0.569661724971	0.5233681892	0.514388645889	0.574551979619	0.465144244682	0.52893173417	0.526640958716	0.639049811819	0.588447723777	0.626505074482	0.602241015052	0.521244560059	0.573535730677	0.485305202248	0.525610277988	0.576653810095	0.546996050393	0.671659401298	0.531759726275	0.514188473219	0.510859757177	0.636169605997	0.599303562908	0.646724158574	0.583649708692	0.645036009709	0.562230467249	0.630640009185	0.562950176266	0.70474167645	0.576570477138	0.744214256754	0.70445909074	0.654049158293	0.675947052139	0.648305124476	0.685152762495	0.673630584812	0.625600572575	0.577462906023	0.517106244618	0.729525549794	0.634305858426	0.492381881941	0.642603261872	0.70305381986	0.628471720539	0.610070344752	0.619953405293	0.638514994768	0.627692881571	0.655710292017	0.630858727556	0.550924740866	0.602860337722	0.609135489762	0.7291730326	0.653473096151	0.638884610596	0.597702067078	0.65416465774	0.556721874214	0.503337592185	0.489559145706	0.521044908075	0.518366789954	0.515341306909	0.556448308545	0.693399416437	0.54141000321	0.55231373003	0.495197674914	0.551335593914	0.523570040727	0.531002669371	0.628999962872	0.533193281311	0.499027248907	0.591905270276	0.549570959278	0.49011994429	0.556822019886	0.585881454423	0.511390589083	0.525296035115
