CS.199	CS.084	CS.244	CS.265	CS.243	CS.293	CS.007	CS.264	CS.094	CS.104	CS.261	L.007.M1	CS.174	L.004.M1	CS.313	CS.269	CS.066	CS.367	CS.115	CS.171	CS.186	CS.327	CS.064	CS.287	CS.161	CS.072	CS.229	CS.334	CS.388	CS.305	CS.374	CS.232	CS.380	CS.213	CS.236	CS.375	CS.136	CS.128	CS.376	CS.125	CS.378	CS.205	CS.292	CS.224	CS.302	CS.389	CS.183	CS.166	CS.385	CS.372	CS.256	CS.395	CS.254	CS.177	CS.349	CS.178	CS.148	CS.181	CS.182	CS.323	T.CS.020	T.CS.048	T.CS.042	T.CS.069	TFS.024	T.CS.058	T.CS.085	T.CS.076	T.CS.038	T.CS.025	T.CS.062	T.CS.050	T.CS.080	T.CS.046	T.CS.028	T.CS.105	T.CS.132	T.CS.144	T.CS.116	T.CS.177	T.CS.125	T.CS.104	T.CS.107	T.CS.160	T.CS.091	T.CS.117	T.CS.134	T.CS.119	T.CS.108	T.CS.139	CS.087	CS.006	CS.237	CS.088	CS.241	CS.082	CS.015	CS.085	CS.110	CS.238	CS.103	CS.246	L.034.M1	CS.356	L.024.M1	CS.358	CS.164	CS.363	CS.330	CS.347.0	CS.188	CS.364	CS.113	CS.165	CS.078	CS.151	CS.207	CS.304	CS.150	CS.338	CS.202	CS.152	CS.321	CS.158	CS.223	CS.285	CS.318	CS.319	CS.163	CS.112	CS.331	CS.339	CS.322	CS.227	CS.361	CS.393	CS.255	CS.270	CS.390	CS.145	CS.326	CS.262	CS.370	CS.253	T.CS.064	T.CS.008	T.CS.043	T.CS.055	T.CS.049	T.CS.031	TFS.020	TFS.021	TFS.022	TFS.025	T.CS.036	TFS.027	T.CS.045	T.CS.026	T.CS.066	T.CS.109	T.CS.166	T.CS.141	T.CS.142	T.CS.152	T.CS.095	T.CS.151	T.CS.158	T.CS.157
CS.199	0	0.602095386027	0.644174712416	0.657844743967	0.585245905405	0.648244465784	0.618714162787	0.619083044803	0.620396210349	0.533914441486	0.615449263592	0.632803888633	0.633399744176	0.616840166718	0.591181136292	0.706358998697	0.573229312109	0.691441056584	0.629362702551	0.553129857044	0.626508278035	0.581629972425	0.561442488836	0.631152029576	0.606757958202	0.602675054218	0.573391991455	0.648825703619	0.681187407288	0.614117167622	0.6350638884	0.584580695728	0.625631375424	0.658283293695	0.62449768669	0.58593048548	0.548026383757	0.612157095118	0.603099621673	0.639988632638	0.654730102182	0.68486160329	0.603720052991	0.706760278706	0.684579308071	0.623370102999	0.689327854586	0.671174548661	0.647924099401	0.63952679003	0.658803240876	0.662623958042	0.637623173818	0.654857803094	0.634626242054	0.635939714192	0.65526818774	0.643746228279	0.631566675001	0.647795501586	0.64541575171	0.591983860956	0.631614353627	0.627665296118	0.551724083887	0.625372085267	0.598118511057	0.634174269517	0.643159134483	0.573420831031	0.605184567637	0.628500446886	0.629659291621	0.603335743649	0.630788398785	0.65651408194	0.659528313597	0.642074692817	0.580428580333	0.640357031722	0.594860071084	0.615377974392	0.637359769948	0.660238900884	0.653813505899	0.629893329521	0.628799369935	0.642986758558	0.657710473219	0.642673333203	0.555581932616	0.559125133144	0.568006168836	0.617314140507	0.603034969506	0.601155403553	0.600518049702	0.570239699128	0.59652177216	0.56645435742	0.578891969414	0.618680638419	0.593181509471	0.678678116747	0.625312986016	0.72041234171	0.633019585202	0.613555731244	0.641124854338	0.60035435341	0.654619940948	0.661721902838	0.565034016057	0.609270063359	0.566873796735	0.627077154785	0.654970397671	0.643942067149	0.602023664887	0.617895272234	0.637723208704	0.604231087115	0.592194470918	0.564071554862	0.631294094021	0.65250471532	0.613443346008	0.630833952255	0.555415561354	0.585920331157	0.605425314656	0.6116597618	0.640938288166	0.702891530032	0.626895729219	0.623909084197	0.610805932314	0.656978881294	0.630533770862	0.620759032687	0.628495948372	0.648630437278	0.643712456416	0.705111667653	0.596110377598	0.615133753466	0.606867230954	0.6107843474	0.646783584151	0.598715768971	0.607582137595	0.582017489309	0.630189830842	0.590359767158	0.614461920654	0.595168972353	0.606257587353	0.696174146769	0.612901198154	0.628282992401	0.611973555548	0.629229957714	0.630355366311	0.603835988073	0.63006497408	0.637752128141	0.611706045047	0.605347169712
CS.084	0.602095386027	0	0.602531813381	0.54664995503	0.610810009516	0.585085784702	0.584589115042	0.580305223858	0.713074316573	0.565613824216	0.565071393008	0.600165463007	0.582096036858	0.581586274551	0.546049058943	0.747713386004	0.582299591016	0.732633031378	0.610684639184	0.534773278675	0.560791245262	0.634150745311	0.55013870904	0.631747123086	0.634756824735	0.517139635591	0.64835289112	0.70202573491	0.727125033744	0.559807982389	0.659568335551	0.506160480301	0.572055118949	0.67952526059	0.647880881614	0.647502538598	0.567376407168	0.637486230106	0.669425020405	0.683980655451	0.672961459278	0.724500135555	0.569490160431	0.763697357741	0.731043991296	0.649772206105	0.719482745668	0.669633656982	0.631723906979	0.652795367795	0.669136255634	0.606698800781	0.649605736007	0.698878347195	0.625991060469	0.621420840868	0.686966340717	0.633573691732	0.615046469123	0.634459123043	0.555075504414	0.611494672366	0.562924767193	0.609090911312	0.61727307267	0.587482996104	0.609974036152	0.598763595907	0.545732887031	0.59733863519	0.556260403516	0.60780503358	0.651428321548	0.644833831991	0.617626604116	0.537235488129	0.574855615871	0.615520304354	0.574544451098	0.557039476574	0.62171891541	0.566128143341	0.583638039545	0.562166567181	0.589481166123	0.597192230627	0.607609051858	0.52536710373	0.568214339489	0.577475497715	0.617506501665	0.555213030262	0.587137778649	0.686400214127	0.566346601495	0.486500095304	0.625111355851	0.444795197456	0.594200319573	0.568822182243	0.54376959644	0.577317706889	0.598294703109	0.699212608761	0.635089004629	0.752445283814	0.654905628263	0.666293741235	0.658905914363	0.670411087539	0.720043494677	0.720013008021	0.604524590106	0.70778760265	0.643713235255	0.611020196463	0.680095763524	0.702586561064	0.555730559213	0.60494357505	0.66903960477	0.56190335014	0.609410411058	0.579848512644	0.658470370209	0.71828627866	0.666654605834	0.685972940802	0.596922650017	0.554057422326	0.574835194211	0.670511973763	0.696855760825	0.769445982722	0.683389969946	0.650969883678	0.616164350806	0.671442616619	0.663826941397	0.620400596764	0.622384824982	0.66410167126	0.650973166672	0.712118241538	0.590242180563	0.663916724868	0.623291115371	0.598172851204	0.672665397661	0.587047124815	0.546366769113	0.630612281233	0.570137900911	0.651937793673	0.512705726273	0.612464907588	0.615272875695	0.703646801208	0.575882382483	0.568042455588	0.603552411521	0.643545835095	0.666945802962	0.588142286733	0.584767832027	0.630143196237	0.580878564234	0.594863881964
CS.244	0.644174712416	0.602531813381	0	0.639531919324	0.612123095862	0.652314910981	0.676538342872	0.625547516417	0.711752090418	0.649058498438	0.650151096393	0.650422829603	0.671563306137	0.674045605335	0.621039494121	0.766752195111	0.587028358657	0.736711948674	0.632343996556	0.587329032759	0.603200853645	0.611173884894	0.641315438043	0.704298505452	0.722114520105	0.666721233507	0.721489203309	0.735554898108	0.750565954327	0.671627284253	0.706308103449	0.635186776856	0.69780066151	0.729035309584	0.715727968228	0.694202310372	0.663828655128	0.697668670977	0.730426513043	0.738808595499	0.648783586055	0.781858657961	0.673513343789	0.772240088393	0.769219025338	0.718952928286	0.740894557574	0.735963649771	0.721829827605	0.724484239374	0.700802910591	0.700022428467	0.723772798833	0.720382737715	0.712982009257	0.67785430545	0.702634830703	0.708583019877	0.710325323932	0.749643312717	0.636978258628	0.644789950892	0.653052491612	0.71970294483	0.712780083884	0.644971360638	0.682627314123	0.693198196783	0.636167712419	0.672583742863	0.628082012085	0.631359550726	0.704303781219	0.698297499523	0.685417832403	0.627045035945	0.672577099701	0.65069764491	0.575055086442	0.627672083286	0.649347259674	0.641602213289	0.680431584895	0.655637495369	0.652119986389	0.643536723141	0.6766955477	0.633335451602	0.658600626814	0.662649470391	0.621725419759	0.607812825098	0.659267462666	0.673104869942	0.651360588902	0.626062214953	0.642101809161	0.589427671337	0.650505874128	0.636586261455	0.629868790159	0.642865836815	0.637973158821	0.715356863333	0.635049522471	0.789162995513	0.63842639295	0.721493902101	0.700608288622	0.708314816784	0.751269477484	0.750774607524	0.655067970647	0.723705583865	0.69371797772	0.697676190082	0.688757740756	0.718195770906	0.627268258646	0.661703283691	0.703267984535	0.680946605348	0.6530885924	0.640622462094	0.718900128457	0.749391820632	0.74412855931	0.749736603922	0.632986766853	0.636912278068	0.673891681017	0.729409499014	0.754203643787	0.780235719256	0.712998997996	0.679401476596	0.699021059071	0.711238916043	0.714337069713	0.720374387816	0.685607547811	0.710914767394	0.713252116588	0.727559821824	0.641488116169	0.717122485385	0.691851219051	0.635948299579	0.719447921783	0.642451969519	0.680982054281	0.682997019056	0.67564328206	0.729295571418	0.59085847062	0.697266307778	0.673817570494	0.740755688525	0.649346456054	0.658022698504	0.689413597157	0.642195837822	0.682813836676	0.664244575604	0.650844019576	0.644225361824	0.663050564446	0.618865765505
CS.265	0.657844743967	0.54664995503	0.639531919324	0	0.585006749331	0.526639379797	0.592688681391	0.579519957964	0.725571404353	0.611861516411	0.492308334815	0.539931091215	0.511386330074	0.522438689009	0.508409455416	0.794144063097	0.648437023303	0.773420678678	0.680436433414	0.609153850386	0.512949208832	0.644328653518	0.606190006882	0.61780145226	0.702717484724	0.525027547935	0.703933355198	0.715944887678	0.767801682004	0.504200249579	0.685554477987	0.552531139558	0.571146621457	0.712957457918	0.716739709643	0.684532601052	0.656820731655	0.602932965594	0.696822014035	0.678653483704	0.724382770384	0.730830094843	0.623203923948	0.782217770551	0.768225495058	0.677836900152	0.746438636878	0.67993284431	0.642104824938	0.65386619247	0.658709843652	0.642861246845	0.655680617617	0.700166737802	0.622830151047	0.614564203431	0.68499099083	0.644906815189	0.601330962779	0.643768481077	0.502816371107	0.601694198859	0.496216712753	0.609743335538	0.64299117721	0.595036195122	0.581696729422	0.569054820681	0.48446490993	0.59849955167	0.559337232035	0.642110465277	0.678806907582	0.657775385127	0.599202384888	0.496057920408	0.27422986446	0.539964648246	0.609177914785	0.488115969362	0.603626028347	0.468912651717	0.50384373438	0.440214436998	0.499595744979	0.542501066356	0.57614843885	0.462961296893	0.465015550674	0.46639716583	0.650916149509	0.596801877806	0.664682796926	0.719109511033	0.575195447001	0.511741759423	0.630303817112	0.526054929374	0.641662639619	0.616922328671	0.582547438837	0.535626561125	0.584241178575	0.750851270923	0.614122600618	0.785787265397	0.740291173873	0.676195392171	0.667443372266	0.725787056164	0.723757175436	0.748497016191	0.66297524787	0.76185357791	0.671682629799	0.613384904501	0.694314561195	0.728938835092	0.577443249607	0.629400824494	0.716098726716	0.541034133798	0.623322019942	0.670768326636	0.665247077851	0.750826884491	0.680688670659	0.696908332727	0.673949482664	0.663662864014	0.546744710971	0.714534723984	0.695330817391	0.811513998632	0.72426818275	0.6928871714	0.623070762748	0.677284177744	0.684745293575	0.615078073845	0.645779981715	0.695987241037	0.675644809833	0.753436441053	0.576030789062	0.684785023821	0.612122353044	0.592035914141	0.693307578703	0.614926184529	0.51052594462	0.647299772177	0.49675472575	0.664098977304	0.547374016214	0.607737810048	0.63593972645	0.740288399448	0.530979346262	0.471312210241	0.556340680986	0.638609272265	0.642196703452	0.57159594321	0.483326994976	0.574332177008	0.512250764839	0.617240491992
CS.243	0.585245905405	0.610810009516	0.612123095862	0.585006749331	0	0.55062159476	0.560972754627	0.573092946627	0.642592223449	0.5514186237	0.524094662758	0.547669199086	0.530962155931	0.546168341957	0.538045404498	0.738286013234	0.566689098258	0.690857762052	0.651335292861	0.599719125418	0.55433688871	0.567340592238	0.613149355647	0.620199475615	0.657502423214	0.561437537304	0.634651087557	0.669683780638	0.713416439416	0.568317723306	0.615618631258	0.575352334073	0.593753715784	0.625447844485	0.657047131932	0.598402562432	0.623401262137	0.571135968786	0.640106784552	0.638273508263	0.639396512931	0.684600143918	0.589538635647	0.734580363869	0.694500864304	0.656541669856	0.708805514963	0.675811866732	0.633418741287	0.626871081544	0.608155876526	0.637269434615	0.636380112182	0.637525537954	0.640269245247	0.59995918107	0.675194154338	0.626283670897	0.610655685979	0.642733234523	0.609141081076	0.559478361557	0.556403423225	0.59903217637	0.560911416644	0.558487219203	0.520535754467	0.598680099447	0.582734778824	0.542168028597	0.521057529653	0.593482668672	0.607523965045	0.58796019276	0.597076001315	0.629588918825	0.584686168182	0.531153210578	0.554997797895	0.553987177429	0.563756963431	0.568865678674	0.545277033812	0.56045165391	0.545136185756	0.542647039777	0.567330190799	0.616491979745	0.566934933863	0.563618998955	0.595735468957	0.522095617021	0.621521582348	0.633639960517	0.550783467335	0.601957541238	0.554087060257	0.575718753976	0.609932599537	0.577905523485	0.568128744849	0.537730477847	0.562137819331	0.663489435318	0.545368199487	0.726778022133	0.706243647033	0.636205311881	0.624665216098	0.686026310841	0.639494025871	0.680051907556	0.57129172705	0.669074990381	0.58667840496	0.613250428655	0.648045938551	0.661246949014	0.610905043131	0.611870595388	0.635445566936	0.560020345159	0.555620647937	0.623934423368	0.620693771805	0.70093365714	0.631064070685	0.639125447227	0.622553323219	0.590938377984	0.58054051612	0.63361613293	0.645131060686	0.757450992911	0.624836244042	0.630045465375	0.624620188548	0.643606974715	0.663551260461	0.597832289089	0.610180199035	0.648091608909	0.633758092661	0.701077909428	0.555467503602	0.613645284648	0.563200873711	0.558398356328	0.651262869606	0.567615889566	0.56137414708	0.571604566549	0.565216914738	0.609021213907	0.567759968746	0.55817496662	0.602442324735	0.707118682682	0.542969460972	0.530988553847	0.54075512242	0.562179754789	0.576540270579	0.550337750535	0.547799584473	0.549393925748	0.539485664655	0.556171179338
CS.293	0.648244465784	0.585085784702	0.652314910981	0.526639379797	0.55062159476	0	0.50471381948	0.610726617645	0.627608349028	0.576399720119	0.448098941508	0.384711162539	0.398039554594	0.400316474451	0.473214671798	0.771393888447	0.586486471807	0.768269028247	0.705742387005	0.607700528978	0.543275163106	0.584587579039	0.624460315534	0.666849117831	0.716877631038	0.494985053473	0.697028145609	0.728550990414	0.689406337888	0.481188581489	0.695408294733	0.561170218122	0.51053235831	0.682701162999	0.733108551949	0.64506101373	0.671477744636	0.607452496855	0.694797301816	0.681994156767	0.712689115433	0.721169646766	0.627946491226	0.774371641856	0.727808032698	0.68093108186	0.766702101871	0.711846386881	0.695199702888	0.669756511644	0.682515451505	0.676662297419	0.679487215908	0.694041559128	0.673628871517	0.601030902145	0.716553519456	0.658846560033	0.625841423718	0.668791677287	0.483756561924	0.556691422445	0.464221435152	0.565205634445	0.567806528214	0.554736925297	0.516130653091	0.589856545125	0.551499452952	0.573838613155	0.506258439584	0.607535153158	0.621871736853	0.646799708741	0.558902235987	0.594100949587	0.51202307305	0.439186465754	0.596892947649	0.485462312115	0.524528805671	0.458837986001	0.43061299785	0.499664620917	0.411057622755	0.489664280305	0.472824376024	0.54751867422	0.433549076087	0.411705110405	0.588893865377	0.525329367548	0.687009858282	0.641063429269	0.466193310336	0.570127835084	0.536482557155	0.563622011286	0.661989743393	0.56095739727	0.567237725224	0.522016975001	0.588344226986	0.696940396582	0.488195425846	0.774176261784	0.767876704263	0.69007642778	0.659589333104	0.726374004767	0.656804670511	0.769823076882	0.539670811942	0.707428668003	0.580270346253	0.620653873854	0.714713192133	0.732584123117	0.60219896181	0.657775802972	0.65794602502	0.552954748308	0.528662795734	0.684272220861	0.685349363366	0.767773806732	0.686395614715	0.682908745837	0.686493231134	0.680373245017	0.610690833941	0.661336971122	0.709547266041	0.802917629954	0.692075752889	0.702300227615	0.644095674209	0.678635297557	0.685388218859	0.593834019239	0.647667700023	0.683205465107	0.67614614559	0.761344609712	0.511791740471	0.593553292295	0.494816615392	0.515355401241	0.653839013123	0.525371900455	0.443384652829	0.57076112967	0.455203062448	0.572500652674	0.545003037855	0.514291197089	0.544954784694	0.725929768672	0.470982575536	0.447455437376	0.486749807545	0.480464737086	0.481176609709	0.488875936542	0.423653917491	0.439225279013	0.480008803387	0.510646188628
CS.007	0.618714162787	0.584589115042	0.676538342872	0.592688681391	0.560972754627	0.50471381948	0	0.628624483293	0.626752386627	0.514433382802	0.476045206743	0.518233487227	0.439157729419	0.508000772183	0.540427467448	0.750441071711	0.580093075487	0.741899009227	0.696445585415	0.588028920439	0.593895056419	0.590257031334	0.584774580926	0.621421275346	0.664735733513	0.500320648175	0.608974661385	0.679113343027	0.699968888096	0.502757363162	0.657946337735	0.542848365897	0.514745281083	0.65136526046	0.695452690664	0.588339421429	0.60652465219	0.55587296215	0.640608598568	0.625691803084	0.690087169011	0.684155510239	0.571505744732	0.741322953341	0.721672300385	0.616439585113	0.728862346169	0.651137000249	0.636710964559	0.607717177821	0.623020847051	0.629420350086	0.626027096836	0.653545177325	0.617114720103	0.578600881523	0.672312285008	0.616703352446	0.573350389788	0.60792283562	0.568047318813	0.559738103762	0.523793381118	0.55620837324	0.543555393939	0.533613114217	0.536716287906	0.576619947382	0.568983515644	0.548146343413	0.510505370722	0.58309130354	0.582509303642	0.611885101703	0.525218118277	0.634395334431	0.567811461523	0.526810003757	0.580124074895	0.525188636511	0.53424419874	0.527435899928	0.495956221144	0.542253032528	0.50128041142	0.502038645566	0.524733796056	0.594771839883	0.527329880567	0.541060138403	0.607073102699	0.529429559267	0.637114946742	0.655171746864	0.479225241861	0.577314292953	0.563218278814	0.574315222843	0.638289162782	0.513028745123	0.568888894381	0.519934664006	0.577121229512	0.69781230106	0.551785743977	0.750225351122	0.746374988466	0.626560021876	0.632176840549	0.684616450047	0.624955816467	0.714629570505	0.530066672606	0.667780908135	0.558287632618	0.591957238121	0.695587166265	0.694594623546	0.582973035218	0.623325731687	0.612385010568	0.518820171209	0.51596391915	0.643007438184	0.620231805536	0.708227083503	0.638356846166	0.638477794599	0.650674663718	0.639670000518	0.561050387833	0.62510765387	0.662264751486	0.7680653925	0.643073301446	0.665015575722	0.60910202022	0.636336881561	0.611215817885	0.532828653831	0.628710488623	0.639897190363	0.624850082562	0.748459047354	0.500098085443	0.571738839604	0.549707025935	0.538931397269	0.65162898048	0.526599032163	0.513313530423	0.557862880099	0.509995842719	0.553650773511	0.591500324277	0.515248724403	0.566168931349	0.724973671837	0.508808691294	0.506477729019	0.499328627579	0.55485441433	0.57166113499	0.516844761327	0.537464600821	0.505378809821	0.508980346719	0.561155426072
CS.264	0.619083044803	0.580305223858	0.625547516417	0.579519957964	0.573092946627	0.610726617645	0.628624483293	0	0.673980423032	0.591385435245	0.598798308051	0.632257986267	0.634763441272	0.630964625106	0.583543929342	0.70551780386	0.609100161509	0.664560660629	0.603351176443	0.585847799372	0.593446030601	0.646530770544	0.578320855354	0.596424681509	0.64662525729	0.590580634724	0.658835801163	0.669492037073	0.695255081724	0.609554537079	0.629635677974	0.563393546149	0.639497792752	0.652483074253	0.658149700027	0.608672978971	0.601444024053	0.623081143549	0.661114322536	0.639306627776	0.643687364684	0.690864016917	0.585213868789	0.730727045512	0.683133024133	0.633865993875	0.691712788412	0.662687097872	0.647924123418	0.657973179573	0.653565477402	0.623372428348	0.642320038812	0.642700807793	0.636097041311	0.62526603578	0.654545081737	0.644720258728	0.614904395897	0.639175746746	0.614262843801	0.598705119756	0.597955674202	0.643836256721	0.64542411771	0.593777827751	0.612835362399	0.601794965655	0.567259817185	0.6094495584	0.584058900601	0.606686885049	0.643103946881	0.611535362894	0.609243292191	0.593909975519	0.604882540414	0.620972130448	0.551639729171	0.590108797001	0.618025608045	0.603944047266	0.612277418436	0.615126208706	0.629052216798	0.605254934803	0.595835878409	0.601383667428	0.637185347947	0.611134506043	0.594484787368	0.597047948682	0.600892144912	0.673656690791	0.621847566204	0.538528217006	0.653499960071	0.56106033896	0.596245919254	0.608798791093	0.585902740159	0.549247387017	0.602288386733	0.669863796244	0.633420159862	0.711432367538	0.636401912018	0.652630048172	0.613975151955	0.66542819359	0.664081880031	0.672195034528	0.620561392449	0.671787765175	0.668708440463	0.605158058178	0.635872410443	0.65303026297	0.57968946301	0.59684634545	0.656363269492	0.623435090073	0.609233170617	0.604744455635	0.64044702656	0.673704024173	0.650154912849	0.661432045538	0.58006726838	0.594461941378	0.601521614417	0.647221428036	0.659939544304	0.727309405492	0.630037423386	0.631399520823	0.624652382739	0.646248102024	0.662644490537	0.639848129491	0.603569736656	0.65596240856	0.648911645375	0.665106246122	0.597731095367	0.670735648361	0.626236725933	0.626873865745	0.666164322234	0.623375752486	0.616738167892	0.649004210239	0.607008277997	0.6418489215	0.584392773333	0.639979953071	0.624910082569	0.684436041813	0.607360602723	0.607248428682	0.594698871736	0.661616810947	0.660667648686	0.584522855386	0.621892961766	0.647974716958	0.574511113444	0.603498039907
CS.094	0.620396210349	0.713074316573	0.711752090418	0.725571404353	0.642592223449	0.627608349028	0.626752386627	0.673980423032	0	0.608370737895	0.670371614834	0.639225665831	0.636842018081	0.646077915774	0.656035239033	0.686233842672	0.617433383899	0.712748617956	0.694003130639	0.652398318375	0.706304840412	0.613075555093	0.663912035691	0.70361316487	0.635172999158	0.654763249183	0.641729185799	0.710180935301	0.636845113345	0.642503852177	0.671919182107	0.689577563285	0.66126224301	0.66750181967	0.709050529908	0.595992968479	0.65153170828	0.633698024605	0.647691686767	0.648964509812	0.69208915245	0.669008277823	0.673059660911	0.73637959405	0.699710243012	0.674622301236	0.715709210008	0.731190675862	0.697260427558	0.688541846359	0.699665339932	0.705809655263	0.686141530124	0.686435250392	0.694756250742	0.664086434671	0.702379009569	0.681304633077	0.678495197925	0.697057002491	0.719721268248	0.612925783979	0.636819260906	0.642406625136	0.604224812135	0.631067931458	0.585121831622	0.688869539538	0.700476015223	0.65255651829	0.64495098135	0.626702084207	0.6287089053	0.628381579912	0.648143809099	0.742641501364	0.699349875237	0.63222810746	0.677903551147	0.675749082542	0.595795650509	0.646604433767	0.61824946564	0.701020208377	0.67058331158	0.639431645825	0.630353018816	0.72950260814	0.68536978773	0.665071916074	0.56576734959	0.570330486981	0.674535363916	0.587847016746	0.645541331247	0.69960818966	0.576589014999	0.685929345243	0.67683794803	0.640455745596	0.659233127527	0.643910919064	0.607325158115	0.649004495617	0.631671604632	0.736783144101	0.714726950838	0.672038128811	0.649541074735	0.656294072996	0.580591016966	0.69130859948	0.588795701507	0.614661764613	0.557996597806	0.639543953954	0.698551133758	0.681989381408	0.672348530642	0.702413298026	0.638949107739	0.636079613252	0.58887942626	0.635653213233	0.663495170553	0.667728706664	0.65970920425	0.659633366241	0.64160218117	0.636177635468	0.689297789226	0.615543505847	0.685140244369	0.724550773186	0.612454054987	0.655252835271	0.678336651516	0.695670079916	0.676394105583	0.625220480496	0.665707245144	0.659390828302	0.685389182679	0.751593280515	0.626213689327	0.578654240333	0.582827238956	0.592966014364	0.652498203789	0.619603388946	0.636758792643	0.635541679384	0.648879072203	0.600089091675	0.684992710962	0.620624999644	0.635268999012	0.716127494452	0.652355070831	0.654593435604	0.606541579052	0.593560855512	0.560233191292	0.606083491743	0.670370107836	0.606211123892	0.630089968742	0.604560852798
CS.104	0.533914441486	0.565613824216	0.649058498438	0.611861516411	0.5514186237	0.576399720119	0.514433382802	0.591385435245	0.608370737895	0	0.52734934099	0.5835314258	0.545116644583	0.581243671166	0.565319041751	0.697730158079	0.554282036027	0.702079429582	0.617302178043	0.542098354009	0.597676720513	0.568103315446	0.537445494589	0.602273683531	0.5955114371	0.524937579405	0.576903474962	0.653403276738	0.669583758292	0.524564486966	0.619643560331	0.540166800314	0.53733755415	0.651198266375	0.619315323724	0.565062115136	0.546277378539	0.536969229524	0.604793507429	0.614296060449	0.653514594952	0.662737856514	0.542254403395	0.729451726192	0.690383114291	0.608055447628	0.690233997907	0.659665713556	0.611095504164	0.607561542662	0.625712606154	0.628152761991	0.623402333309	0.656798362649	0.602797307168	0.577282873479	0.646039279783	0.602492942391	0.591763468241	0.601399267084	0.587500888611	0.547912763592	0.537894200292	0.571635669032	0.537064142728	0.560663173794	0.544143240656	0.584101440423	0.58501774476	0.547216792954	0.527172503491	0.581994862781	0.619656588461	0.566065786571	0.554998900383	0.612928546721	0.602423822896	0.552582309225	0.563532429658	0.582035241692	0.567254687604	0.545491946987	0.543713124467	0.584173157412	0.55831746729	0.545511232088	0.591781351672	0.595949578034	0.58686975656	0.574193838661	0.538232398926	0.511456600884	0.585713038944	0.592113394636	0.523528787625	0.536394659477	0.558776782218	0.523258399037	0.589614623974	0.518924241855	0.534515225628	0.542225308562	0.555768990376	0.647033262825	0.575109997849	0.725613922649	0.67596558901	0.617333641405	0.615911886785	0.63331731047	0.61373171919	0.667543636592	0.499290442548	0.612800666593	0.543710360389	0.566780133751	0.650852967738	0.666446858384	0.572933293278	0.607779696188	0.636822426172	0.520785684392	0.511641097573	0.571482883887	0.622977153599	0.63602198442	0.614827097757	0.605091491961	0.574708235268	0.575076773746	0.565848693874	0.609383904107	0.663728113031	0.728552164422	0.615654757827	0.606200688848	0.589918219432	0.634022430258	0.601408479458	0.553479008705	0.61116830764	0.639063534905	0.610444092809	0.706087460489	0.527451867293	0.600180740071	0.548950426477	0.539242227706	0.635700398837	0.562909051102	0.551256972999	0.573425063043	0.547024486173	0.564662769002	0.564652055616	0.543798436209	0.566031329661	0.699852243296	0.558874619904	0.556559580248	0.541180998539	0.575343796878	0.578241396669	0.526553287032	0.587214978246	0.572793305878	0.532025591414	0.567445680912
