CS.293	L.036.M1	L.011.M1	CS.244	CS.257	CS.017	CS.043	L.022.M1	CS.354	CS.101	CS.036	CS.313	CS.019	L.006.M1	CS.219	CS.186	CS.042	CS.371.1	CS.050	CS.066	CS.064	CS.149	CS.290	CS.117	CS.334	CS.155	CS.381	CS.287	CS.077	CS.115	CS.378	CS.128	CS.224	CS.292	CS.376	CS.205	CS.213	CS.136	CS.374	CS.125	CS.282	CS.126	CS.302	CS.203	CS.380	CS.386	CS.178	CS.214	CS.268	CS.148	CS.254	CS.372	CS.389	CS.166	CS.395	CS.181	CS.256	CS.147	CS.323	CS.348	T.CS.062	T.CS.057	T.CS.079	T.CS.001	T.CS.048	TFS.023	T.CS.022	T.CS.058	T.CS.034	T.CS.003	T.CS.076	T.CS.069	T.CS.041	T.CS.029	T.CS.072	T.CS.167	T.CS.110	T.CS.129	T.CS.121	T.CS.118	T.CS.178	T.CS.123	T.CS.112	T.CS.128	T.CS.139	T.CS.125	T.CS.102	T.CS.134	T.CS.108	T.CS.122	L.024.M1	CS.082	CS.241	CS.356	CS.085	CS.103	CS.087	CS.088	L.034.M1	CS.242	CS.238	CS.246	CS.015	CS.110	CS.006	CS.358	CS.311	CS.044	CS.363	CS.113	CS.233	CS.207	CS.274	CS.336	CS.165	CS.189	CS.191	CS.150	CS.330	CS.151	CS.227	CS.318	CS.319	CS.343	CS.223	CS.080	CS.158	CS.112	CS.194	CS.320	CS.163	CS.202	CS.322	CS.285	CS.361	CS.326	CS.262	CS.370	CS.393	CS.390	CS.270	CS.145	CS.255	CS.253	TFS.022	TFS.021	TFS.020	T.CS.043	T.CS.031	TFS.027	T.CS.045	T.CS.061	T.CS.066	T.CS.049	T.CS.036	T.CS.026	T.CS.008	T.CS.064	TFS.025	T.CS.109	T.CS.095	T.CS.166	T.CS.157	T.CS.142	T.CS.151	T.CS.141	T.CS.158	T.CS.152
CS.293	0	0.533125809606	0.558801168268	0.652314910981	0.589134428417	0.553701036404	0.623549284999	0.523901537657	0.600660709233	0.48226458782	0.692172971399	0.473214671798	0.53330679123	0.524478515561	0.614960979494	0.543275163106	0.654898445964	0.611282569095	0.685269762407	0.586486471807	0.624460315534	0.682386357487	0.679496696342	0.564508031478	0.728550990414	0.58593486033	0.561401505641	0.666849117831	0.581247701803	0.705742387005	0.712689115433	0.607452496855	0.774371641856	0.627946491226	0.694797301816	0.721169646766	0.682701162999	0.671477744636	0.695408294733	0.681994156767	0.704621458648	0.5382606355	0.727808032698	0.536220793655	0.51053235831	0.714322769915	0.601030902145	0.65950388959	0.718009291363	0.716553519456	0.679487215908	0.669756511644	0.68093108186	0.711846386881	0.676662297419	0.658846560033	0.682515451505	0.688781028526	0.668791677287	0.645094389327	0.506258439584	0.719086059729	0.701993045307	0.7432025065	0.556691422445	0.577387289932	0.612439472611	0.554736925297	0.512763389542	0.441302521422	0.589856545125	0.565205634445	0.560230116518	0.651224123269	0.563356904635	0.438997170802	0.49476642773	0.487158204743	0.533020816864	0.573167599919	0.500919604853	0.540431489047	0.542891051704	0.56454439131	0.411705110405	0.524528805671	0.483336345232	0.472824376024	0.433549076087	0.481530609996	0.488195425846	0.570127835084	0.466193310336	0.696940396582	0.563622011286	0.567237725224	0.588893865377	0.641063429269	0.588344226986	0.48552798716	0.56095739727	0.522016975001	0.536482557155	0.661989743393	0.525329367548	0.774176261784	0.6140377341	0.565924154053	0.69007642778	0.539670811942	0.598085439828	0.714713192133	0.691998950527	0.622903166198	0.707428668003	0.646468632613	0.47608840655	0.60219896181	0.659589333104	0.620653873854	0.802917629954	0.686395614715	0.682908745837	0.674675160202	0.685349363366	0.639004085708	0.684272220861	0.680373245017	0.763019583743	0.614117352843	0.686493231134	0.65794602502	0.709547266041	0.767773806732	0.692075752889	0.647667700023	0.683205465107	0.67614614559	0.702300227615	0.685388218859	0.678635297557	0.593834019239	0.644095674209	0.761344609712	0.455203062448	0.57076112967	0.443384652829	0.494816615392	0.525371900455	0.514291197089	0.544954784694	0.583528621142	0.470982575536	0.653839013123	0.545003037855	0.725929768672	0.593553292295	0.511791740471	0.572500652674	0.447455437376	0.423653917491	0.486749807545	0.510646188628	0.481176609709	0.439225279013	0.480464737086	0.480008803387	0.488875936542
L.036.M1	0.533125809606	0	0.557407994522	0.629898655111	0.588199672978	0.549750236278	0.600849397013	0.580212677535	0.563066948827	0.568411894238	0.638747101848	0.512543763495	0.539692740059	0.50950449258	0.627147575365	0.57323318607	0.62491232548	0.556796233546	0.658544599457	0.591647646699	0.595012240001	0.624443651517	0.670464398616	0.58693286125	0.682477644452	0.576590160437	0.524983787409	0.60412338134	0.577664772794	0.665232908883	0.693782967234	0.572094633948	0.769770300886	0.609312522558	0.644682723371	0.702895557865	0.674439475343	0.627883314343	0.670336764816	0.654566318707	0.67817595589	0.524758275464	0.72356204298	0.526742286572	0.542272417082	0.716895847591	0.560034780815	0.634747537112	0.670865763127	0.671562910401	0.652646005796	0.62828910804	0.661709771025	0.6606462127	0.624507443707	0.636153404088	0.658677161535	0.650187835902	0.635974230062	0.596925738003	0.503391110061	0.679247722219	0.653671322864	0.664736978168	0.521625733898	0.584884445723	0.551938829889	0.533578595959	0.525446349306	0.535804137921	0.573303536546	0.554534571263	0.518471038864	0.620758819581	0.544372889997	0.49279000183	0.496294106583	0.522332290592	0.53213583887	0.54085574247	0.5267594282	0.527359072336	0.483427035269	0.550812589232	0.517042132404	0.516879836787	0.571363890131	0.51337832759	0.540927698451	0.513645936075	0.592929920271	0.591114398863	0.564649793596	0.691764267007	0.564179708488	0.592623178049	0.595323308728	0.625110446501	0.527520530964	0.492854289312	0.592475157538	0.548666032605	0.554653728581	0.637370273797	0.551210330141	0.745850511127	0.600993292161	0.529931829785	0.636758159923	0.5693136858	0.627781181172	0.689253317995	0.67945648869	0.579747309335	0.676166624483	0.680576612386	0.529936852254	0.591624892044	0.638654767717	0.597680352222	0.779841184931	0.649816892307	0.644148703444	0.673114271518	0.644839229353	0.628409313024	0.644088625647	0.620539006941	0.74044821777	0.585991855504	0.642947119433	0.636665318066	0.670737910024	0.726202993109	0.648353361189	0.630707237971	0.633980215393	0.626736941878	0.636096439851	0.655887518241	0.638757171951	0.574082733446	0.626234527641	0.750035629418	0.511182683537	0.581165869308	0.527645259077	0.507172769001	0.528902186264	0.507677887176	0.578257582603	0.551454114614	0.527024370154	0.629902054819	0.574398770253	0.70615887665	0.543943991263	0.521282460504	0.569814950435	0.516339244908	0.504175435656	0.547286955248	0.524567006214	0.548375896469	0.489533765232	0.538707107074	0.509061666858	0.540515522907
L.011.M1	0.558801168268	0.557407994522	0	0.651006531194	0.567610181279	0.557677651432	0.579793984934	0.570719687825	0.591867903835	0.558290223475	0.622427516608	0.524862534258	0.52124804406	0.558757352633	0.560348994643	0.597777319598	0.601776143936	0.58145275677	0.649964284096	0.584350592213	0.599045123473	0.603826512611	0.622563349697	0.572500328445	0.673746194264	0.584232851242	0.56246498923	0.60806018519	0.554624764626	0.677673319175	0.663222928449	0.545348714909	0.743057912451	0.599678016148	0.632732732812	0.661169181163	0.652469410487	0.603243593865	0.630053133342	0.608048133486	0.644474272758	0.552947392621	0.706200452729	0.540297958463	0.538804515019	0.674446072909	0.607194354674	0.630109394047	0.638470373929	0.671120911291	0.612791627984	0.613464924256	0.6325720389	0.66351892512	0.640414010088	0.604757228526	0.621505076648	0.614106937009	0.598803870453	0.614177459155	0.522815836393	0.655563061686	0.64862147272	0.667757458296	0.560943850678	0.554752884328	0.553870023305	0.543664498564	0.526003236099	0.534230030381	0.567995843871	0.573573418531	0.545808257869	0.620444443512	0.556213747323	0.528474481072	0.541306838848	0.572005275252	0.551666926058	0.555365694497	0.53513671689	0.516837927653	0.500139781225	0.592873389065	0.54800286623	0.548528543264	0.537301901675	0.538848551459	0.558376221156	0.522186718944	0.573718910253	0.573934387941	0.52334781628	0.659959225341	0.573102356049	0.570927537857	0.595770286554	0.627452877839	0.550525132271	0.527157132672	0.563951096746	0.526297869501	0.570821073325	0.633132630708	0.510871396655	0.721443911763	0.565040501739	0.532567879374	0.628613881165	0.541108043152	0.609415618775	0.671851103485	0.646980239977	0.58774703606	0.633657077325	0.649532909615	0.560255554707	0.580826799389	0.621611801918	0.605059292134	0.747300513445	0.611988605332	0.614414251974	0.625288155943	0.611032687177	0.582284946899	0.627791590479	0.610672221374	0.716796302117	0.588046874319	0.619658703346	0.639965119695	0.657533497019	0.686614001999	0.611656071137	0.595876864274	0.620981770163	0.625863132464	0.638177137999	0.6119968543	0.631098987612	0.534089740892	0.59308636473	0.727447416651	0.538737228948	0.564696470067	0.537390651423	0.574471415602	0.565848854384	0.525852468982	0.579158076987	0.565804478862	0.545817175949	0.623438330643	0.605508970774	0.697027832768	0.575889051779	0.518633824746	0.564268674148	0.521722690412	0.556760258447	0.522049317439	0.553027448413	0.588226520099	0.540374973543	0.57314811745	0.510684599643	0.54802101018
CS.244	0.652314910981	0.629898655111	0.651006531194	0	0.556146552928	0.639007107046	0.671252977628	0.615611608807	0.588295086261	0.650561655351	0.699783333971	0.621039494121	0.644208943775	0.638470074848	0.626188668091	0.603200853645	0.688420695311	0.699105996641	0.596279612912	0.587028358657	0.641315438043	0.703177659718	0.74385969547	0.624513350933	0.735554898108	0.712136766892	0.665067621229	0.704298505452	0.649562727958	0.632343996556	0.648783586055	0.697668670977	0.772240088393	0.673513343789	0.730426513043	0.781858657961	0.729035309584	0.663828655128	0.706308103449	0.738808595499	0.759624060601	0.69899188571	0.769219025338	0.687010583772	0.69780066151	0.707281266066	0.67785430545	0.717829569437	0.683021974465	0.702634830703	0.723772798833	0.724484239374	0.718952928286	0.735963649771	0.700022428467	0.708583019877	0.700802910591	0.7161954895	0.749643312717	0.721244499093	0.628082012085	0.75498523411	0.720107413035	0.714582650379	0.644789950892	0.715116377894	0.68453689143	0.644971360638	0.670918323851	0.669875236303	0.693198196783	0.71970294483	0.647965060673	0.630470138635	0.668791661138	0.628479836997	0.631014220295	0.681648080039	0.698633826409	0.683062317094	0.64586280302	0.631686882518	0.661470942496	0.666179826864	0.662649470391	0.649347259674	0.648670259712	0.6766955477	0.658600626814	0.672740608617	0.635049522471	0.626062214953	0.651360588902	0.715356863333	0.589427671337	0.629868790159	0.621725419759	0.673104869942	0.637973158821	0.629301778608	0.636586261455	0.642865836815	0.642101809161	0.650505874128	0.607812825098	0.789162995513	0.677193505464	0.656999311309	0.721493902101	0.655067970647	0.588450913274	0.688757740756	0.740253009312	0.698844525911	0.723705583865	0.673960864776	0.658564822731	0.627268258646	0.700608288622	0.697676190082	0.780235719256	0.74412855931	0.749736603922	0.741896045152	0.718900128457	0.643272447345	0.640622462094	0.636912278068	0.784903119674	0.691561494273	0.632986766853	0.703267984535	0.754203643787	0.749391820632	0.712998997996	0.685607547811	0.710914767394	0.713252116588	0.679401476596	0.714337069713	0.711238916043	0.720374387816	0.699021059071	0.727559821824	0.67564328206	0.682997019056	0.680982054281	0.691851219051	0.642451969519	0.697266307778	0.673817570494	0.710142472591	0.649346456054	0.719447921783	0.59085847062	0.740755688525	0.717122485385	0.641488116169	0.729295571418	0.658022698504	0.650844019576	0.689413597157	0.618865765505	0.682813836676	0.644225361824	0.642195837822	0.663050564446	0.664244575604
CS.257	0.589134428417	0.588199672978	0.567610181279	0.556146552928	0	0.586321968735	0.615166507985	0.582425893733	0.565613593957	0.601477713111	0.653609512097	0.549053596329	0.576275720941	0.577510595026	0.590089164417	0.568189265958	0.629569676933	0.628419608277	0.610309253257	0.56142034804	0.608284368104	0.64379840567	0.683671264763	0.562692800617	0.692470792311	0.658379907344	0.627077482134	0.665117538047	0.617979886608	0.642346556916	0.646542925896	0.618077797979	0.724118154691	0.635133373254	0.661523354279	0.706015462615	0.653234439105	0.609989367879	0.657079042212	0.66597921277	0.707886251963	0.622596766941	0.721614533808	0.603010392888	0.62933262169	0.682017432252	0.64246961159	0.673171045756	0.64679410016	0.663106942051	0.667803169244	0.66732338331	0.660976255966	0.696879937898	0.657689536875	0.674182741062	0.668875486062	0.677120753673	0.681686086323	0.671327606894	0.564411149203	0.69100773528	0.68729787439	0.673950704309	0.597686213048	0.629564387453	0.623250671635	0.597258416682	0.590960342959	0.599861476301	0.636799101077	0.659932144034	0.599408580257	0.592301852524	0.616076849119	0.561582738337	0.557629924209	0.612989915545	0.616549759264	0.624958836066	0.578946649532	0.577177159747	0.577130831423	0.602829838765	0.596210379806	0.588069234123	0.577232184318	0.594602908763	0.604857120335	0.610125905826	0.569840606645	0.586367880088	0.582594892475	0.676566963988	0.55671655141	0.591589105153	0.557560840914	0.612052854074	0.545160737023	0.564726952726	0.593047114125	0.565376535847	0.590102981281	0.606347505856	0.548212507918	0.740224268234	0.612004199906	0.595494186869	0.663199126443	0.584709082639	0.565461844029	0.65281321166	0.685416540411	0.641896699977	0.67310070446	0.654491300778	0.611551533313	0.578552144724	0.637185930516	0.647631787969	0.753195122602	0.677072340007	0.679715643257	0.665737253071	0.660818300534	0.603479423715	0.59209289659	0.601581358496	0.735340631457	0.63594887467	0.612099132449	0.649229131108	0.691036550117	0.70964263899	0.667416967118	0.638374842827	0.659313680397	0.673956583745	0.641780678641	0.677606143492	0.673156712256	0.653776816168	0.63594375857	0.702532078021	0.608443853105	0.62437299807	0.608569323764	0.604870451913	0.592110893375	0.605733379461	0.625571539587	0.639280992835	0.56157932779	0.673465047909	0.582992167879	0.703687383274	0.665049426701	0.587869542268	0.623268608588	0.57963976751	0.589798290906	0.60284395499	0.544640947713	0.597041226958	0.569621646788	0.567655059719	0.572126200976	0.56810088932
CS.017	0.553701036404	0.549750236278	0.557677651432	0.639007107046	0.586321968735	0	0.614177689131	0.620632819903	0.566613447079	0.526162816245	0.63946004405	0.568729036935	0.529978519795	0.563345798979	0.598302005236	0.592479936995	0.635267249636	0.622072032087	0.651055506572	0.539872448776	0.585991121312	0.646343515117	0.679628333711	0.572649506087	0.687137645118	0.635844266913	0.60025420091	0.660485230065	0.560711190023	0.658167404885	0.679278419909	0.621781504558	0.747324431172	0.616265031303	0.678211234635	0.706554622154	0.667324729668	0.626154189295	0.664223398401	0.697719758912	0.698515197329	0.616688159801	0.722477341979	0.556617545876	0.60753043162	0.711584821749	0.657107098251	0.666766157525	0.688385507463	0.695893617351	0.681957413265	0.663404901101	0.678874460107	0.695507232658	0.666953199544	0.666733727468	0.672887166235	0.684138392878	0.669255165928	0.644520790178	0.55808403189	0.723671779755	0.688563923777	0.696740590801	0.592815613326	0.663791522036	0.604091754449	0.590984337176	0.588359829361	0.567961449477	0.642983953431	0.628067207509	0.572036604177	0.631206571443	0.593659676931	0.561688623729	0.579751338352	0.594120546479	0.599992524716	0.613598816377	0.56585865925	0.596281215556	0.576108181662	0.627807633178	0.592288749253	0.609734181684	0.566647259221	0.598132336653	0.580498679727	0.598218532155	0.607980277866	0.598148545343	0.527692841086	0.692809305267	0.564123531781	0.563194579104	0.586749348162	0.622786952726	0.554696606714	0.585040179589	0.566945118105	0.604361680555	0.519716555685	0.619765786787	0.549883311659	0.755791890969	0.579895247806	0.536008057993	0.674484226736	0.523079274711	0.594617734977	0.691877260437	0.701757052572	0.663292933897	0.674319036849	0.671555972976	0.575182357211	0.614972628856	0.663563404456	0.634989612571	0.766260678054	0.662216743628	0.66188808918	0.671459651272	0.690800986053	0.607744974441	0.615457128658	0.60934894568	0.740201270532	0.627000515986	0.646967951573	0.675926317296	0.699390248794	0.720722839622	0.657588347411	0.668096661141	0.648155543064	0.649764726646	0.649032395829	0.678471048035	0.676835048396	0.62154530346	0.641863662453	0.741795861636	0.602182699356	0.63281555338	0.594504770108	0.600419660955	0.571661614606	0.578562893219	0.578542765812	0.62864266103	0.570281200017	0.663277449773	0.585365020391	0.726174287275	0.623557435708	0.569949757736	0.629441812964	0.570271771389	0.56649420418	0.610119176748	0.576595259544	0.597032296264	0.57432779352	0.570805381951	0.593350573708	0.599583664275
CS.043	0.623549284999	0.600849397013	0.579793984934	0.671252977628	0.615166507985	0.614177689131	0	0.627679252423	0.6371950783	0.609131004942	0.587155458138	0.592944135784	0.579596197392	0.591007426053	0.569304883275	0.627281891005	0.582352391022	0.621238149553	0.649148580319	0.612637452101	0.574838407555	0.572355840728	0.600977330848	0.566241845324	0.616491391292	0.584915140885	0.557606912477	0.586445500283	0.583031507963	0.608912270014	0.626122699477	0.580309996593	0.694162157051	0.552590362402	0.583858847292	0.649485133895	0.603663016392	0.562038652241	0.603671577464	0.604635058214	0.625010414174	0.553991775959	0.661008719449	0.611064425005	0.59134288251	0.650597784411	0.594623401902	0.62476684859	0.626815783534	0.653008086257	0.598770869798	0.592993216834	0.578189369999	0.631565860364	0.612603303249	0.59168055629	0.605057286058	0.595570659062	0.591796760315	0.585425689758	0.584893471136	0.637360444996	0.629969221529	0.646557868106	0.583733776902	0.619585835758	0.59693990049	0.593906994589	0.591019938617	0.595497094516	0.578166306082	0.585431555334	0.609111682494	0.59923658771	0.581426331955	0.63229659838	0.592086913977	0.611711768703	0.602559678583	0.579057629539	0.602013482199	0.59824128601	0.610007571118	0.590690619113	0.631848978676	0.584799333879	0.639644928823	0.60608510595	0.64914592586	0.588929252841	0.646459529642	0.571463990298	0.583010870301	0.650736051783	0.540865711716	0.570706705656	0.588181704496	0.657552193074	0.609356429925	0.575153632072	0.536649405684	0.597258282812	0.639762375211	0.577697913374	0.569168860646	0.707862799337	0.581177460484	0.557594425692	0.595271920333	0.596587690922	0.59424424025	0.647069611643	0.623879792908	0.586060180389	0.621042360032	0.629293023127	0.583798720349	0.574796807535	0.59769282638	0.580465606055	0.704694747844	0.590798931761	0.611118727464	0.606149692087	0.593016433656	0.556067348453	0.555322425442	0.551782763877	0.692429932445	0.568030536542	0.613051422215	0.620847538098	0.628754092822	0.638458277806	0.633047943855	0.597035273823	0.622845785126	0.607504513893	0.637528772504	0.601966878273	0.614362678631	0.611842338457	0.592823870579	0.663216338285	0.61609238441	0.612920201705	0.601113706012	0.607461266268	0.580287403252	0.596087468686	0.597915197669	0.595770410951	0.615884723359	0.628069358924	0.600913958647	0.674215400342	0.589734450392	0.58384085919	0.602013083405	0.618768856705	0.636071988256	0.585065070102	0.612564393844	0.647607188724	0.634238589604	0.647417765842	0.601180818808	0.584288706793
L.022.M1	0.523901537657	0.580212677535	0.570719687825	0.615611608807	0.582425893733	0.620632819903	0.627679252423	0	0.647676056355	0.539840106051	0.669425603699	0.506265299261	0.612628126894	0.559125389185	0.579056449469	0.507469616374	0.684259584569	0.66714679402	0.672717040084	0.613991608014	0.600379333192	0.673680834945	0.704364027467	0.596406296003	0.748046907958	0.577989573941	0.569797546305	0.647305323486	0.621823745869	0.692402098559	0.713735304579	0.636640207773	0.78102147042	0.618668667759	0.700829529742	0.748240360492	0.73237852854	0.648641747406	0.688577000155	0.690580701214	0.7154756578	0.587939422871	0.760291198629	0.604826102011	0.553601719171	0.723148177573	0.626547133371	0.68807195703	0.690232546568	0.703396571824	0.690353049928	0.676445651943	0.685229167628	0.705941863782	0.669852657864	0.664021036002	0.67913656023	0.696976847786	0.669787203695	0.614746956294	0.555159940528	0.741973719195	0.721021781298	0.723195485653	0.596804624136	0.651549763463	0.645293357923	0.606329122273	0.590331730284	0.549322693251	0.586062813629	0.624254025397	0.604323906213	0.638540287173	0.550158470851	0.550309557645	0.476651237528	0.52050929479	0.554881617974	0.609584040566	0.496807583652	0.588365692246	0.591095232826	0.539432625214	0.487110400821	0.580272189991	0.540626682701	0.590236681951	0.43488964027	0.5428431387	0.576603520763	0.529803978523	0.555422248917	0.743302551413	0.545921341627	0.560202633145	0.652901685036	0.70441150144	0.621663090153	0.531223978351	0.607724612957	0.543332090276	0.615352006269	0.670212054049	0.58024234599	0.805216216586	0.669456069792	0.615667992214	0.680607514635	0.62496939429	0.585064325026	0.694153850748	0.730541974562	0.641067147071	0.746909710111	0.642346473615	0.542739803427	0.572737305544	0.674892235412	0.629618785265	0.809876289334	0.702097462813	0.707659556967	0.698874980462	0.700547526706	0.635383884201	0.672376220059	0.668725127664	0.787955389927	0.630441176336	0.670886936581	0.685454346967	0.723771651951	0.752058767053	0.727820601841	0.626651667938	0.702838630589	0.68751633618	0.707541771943	0.687254258769	0.687938807284	0.628628794954	0.621926287958	0.759619425135	0.520159734598	0.628422171633	0.510454899783	0.610951910913	0.603459124291	0.605409598308	0.632050098898	0.656316372895	0.525080711999	0.687638673699	0.539305326347	0.746609601283	0.67118688274	0.578522780656	0.65563529375	0.483264886045	0.497500826336	0.582928573301	0.578961994658	0.63838943088	0.569730373504	0.621401219994	0.53967794552	0.566037869075
CS.354	0.600660709233	0.563066948827	0.591867903835	0.588295086261	0.565613593957	0.566613447079	0.6371950783	0.647676056355	0	0.614327444917	0.662165940049	0.592695187988	0.568890372531	0.597884413093	0.629200289991	0.619113165082	0.606616101783	0.563717722857	0.615929114863	0.565606308197	0.639674768387	0.63943564391	0.663036264276	0.57188400525	0.698337591981	0.66710852163	0.626171821008	0.658239894245	0.61249449952	0.648545335138	0.62513711069	0.613314520906	0.71441340937	0.629601118785	0.638991386262	0.707602223812	0.646175577875	0.628486586621	0.647077131395	0.664188001184	0.689055024178	0.62123519222	0.700476670249	0.607500225536	0.645404485702	0.666030752446	0.648855147057	0.639859464406	0.665886160356	0.657563115435	0.669869109428	0.659154816831	0.679006331474	0.693077332071	0.669736590255	0.649691031141	0.662934318616	0.652611312132	0.685100290484	0.675404411864	0.583750443701	0.664564684573	0.636874029669	0.671295373338	0.591588274939	0.631693581929	0.618013966318	0.597723582979	0.621726081955	0.610999845598	0.668783291666	0.655027886427	0.593457157578	0.626846615504	0.643182487627	0.595697270032	0.608579795306	0.649314358225	0.645293900801	0.624515937951	0.638078277941	0.607409025657	0.580956750393	0.662346604299	0.641009838607	0.593377036798	0.61931554565	0.604856483179	0.649535483329	0.624526919998	0.592529057094	0.633087026233	0.606679723849	0.660598882752	0.607807980341	0.611858978652	0.576796328844	0.582284708394	0.58362326001	0.591580368853	0.6091560555	0.60948733681	0.576286332233	0.626442701598	0.575246591332	0.71487548498	0.578779388131	0.577660675983	0.65786127541	0.555846401104	0.601406734027	0.66961302458	0.675925803598	0.626535928981	0.65602882404	0.661728545689	0.607063201449	0.604745704552	0.647837852972	0.642545685567	0.747124963702	0.676523953637	0.680775181102	0.669168626075	0.669646188822	0.60837384776	0.59506746127	0.590492416385	0.717935496797	0.632482658515	0.61632334387	0.623806567275	0.671459826888	0.697097928971	0.610239976353	0.642005181373	0.609742909627	0.671229081184	0.618719868104	0.663612534486	0.649356400935	0.636266092348	0.640455450353	0.709386524697	0.646441656039	0.592958020235	0.638877662758	0.610197420244	0.550190562508	0.609513652465	0.609126070264	0.635342610559	0.616132802115	0.640233668481	0.605859224523	0.688903440097	0.601977568725	0.568992445916	0.623403804608	0.635634150854	0.630133929382	0.611697497904	0.540771212984	0.5746362591	0.580955888537	0.542552361799	0.620005083104	0.622182186948
CS.101	0.48226458782	0.568411894238	0.558290223475	0.650561655351	0.601477713111	0.526162816245	0.609131004942	0.539840106051	0.614327444917	0	0.644118190134	0.515329508821	0.520310470162	0.537485504743	0.585177496416	0.563236980607	0.636051361392	0.633784199479	0.663823390231	0.555021456384	0.595435834726	0.678096681417	0.707883570782	0.516983634961	0.731401645483	0.5879813683	0.580777689395	0.641163961296	0.575750859861	0.685018793774	0.718858641745	0.626433665755	0.785651514839	0.609327893625	0.697425432545	0.729099038913	0.70443874085	0.638520945649	0.691646010133	0.714385370652	0.73336312711	0.573459996245	0.762619452482	0.554241327428	0.554366974215	0.727828324483	0.617541395681	0.677523127744	0.70976606474	0.727333291239	0.694591050041	0.675221876152	0.665108622272	0.709112391928	0.660887044736	0.663431543493	0.705883421278	0.696471874484	0.658331319988	0.636670472026	0.52474879919	0.737434855673	0.721443285258	0.724544863698	0.57710751888	0.637008439985	0.628343512116	0.576562352168	0.561025970646	0.496455249935	0.617869608386	0.611483333093	0.605017217984	0.654716062954	0.554714388867	0.532435980402	0.535821725191	0.532292753127	0.567227207041	0.630030627651	0.522510861245	0.580517470585	0.586075013817	0.581022214176	0.51803065745	0.587169024366	0.522548384598	0.545803427818	0.507605493107	0.545601548809	0.543868277663	0.55965210266	0.458854116669	0.70410288664	0.553630111569	0.459140300821	0.610534496744	0.6281797007	0.607081981328	0.538138756932	0.546692162446	0.556327557825	0.537296797237	0.659809788386	0.528977705579	0.796314461271	0.599442175301	0.54257899539	0.710170736512	0.527037328314	0.567355777366	0.714880205359	0.714488799603	0.646412902946	0.707733136742	0.672481854105	0.509420601846	0.614922522144	0.68286726705	0.604284653386	0.809901390006	0.701349152328	0.703436559779	0.704863349963	0.689942090598	0.611367904935	0.64912600768	0.650019142581	0.791198248232	0.644522495428	0.673432855978	0.659059168303	0.729157006238	0.755430065029	0.691674781378	0.677394514618	0.697668412701	0.684245976754	0.68637346069	0.688034331605	0.698598420203	0.606790952334	0.633709922516	0.754830765828	0.525979293123	0.5918024782	0.520937666453	0.575798552574	0.555128199744	0.565219140433	0.594053208213	0.636421476893	0.526573181135	0.69601401026	0.57148449537	0.74361117429	0.645755028975	0.553124084512	0.625030471804	0.52129418416	0.509942576893	0.55709282727	0.569511529441	0.590793413964	0.559198925113	0.568426080275	0.531276232424	0.556836508526
