L.005.M1	CS.098	L.012.M1	CS.313	CS.293	CS.280	CS.297	CS.039	CS.105	L.008.M1	CS.002	CS.099	CS.101	CS.017	CS.086	CS.269	CS.335	CS.067	CS.305	CS.042	CS.060	CS.360	CS.058	CS.327	CS.118	CS.040	CS.248	CS.186	CS.137	CS.371.1	CS.232	CS.205	CS.136	CS.282	CS.213	CS.302	CS.224	CS.126	CS.203	CS.125	CS.128	CS.236	CS.292	CS.041	CS.376	CS.359	CS.386	CS.183	CS.256	CS.254	CS.178	CS.166	CS.181	CS.385	CS.129	CS.349	CS.268	CS.177	CS.372	CS.395	T.CS.062	T.CS.022	T.CS.004	T.CS.038	T.CS.007	T.CS.014	T.CS.003	T.CS.082	T.CS.071	T.CS.069	T.CS.052	TFS.024	T.CS.079	T.CS.046	T.CS.041	T.CS.177	T.CS.092	T.CS.125	T.CS.116	T.CS.100	T.CS.114	T.CS.134	T.CS.132	T.CS.117	T.CS.119	T.CS.111	T.CS.107	T.CS.167	T.CS.147	T.CS.131	CS.237	L.034.M1	CS.088	CS.085	CS.087	CS.241	CS.110	CS.246	L.024.M1	CS.356	CS.082	CS.242	CS.103	CS.006	CS.015	CS.364	CS.338	CS.363	CS.189	CS.233	CS.228	CS.078	CS.207	CS.113	CS.346	CS.188	CS.191	CS.274	CS.212	CS.345.0	CS.202	CS.320	CS.285	CS.331	CS.223	CS.080	CS.227	CS.194	CS.322	CS.321	CS.163	CS.158	CS.339	CS.361	CS.319	CS.262	CS.145	CS.390	CS.255	CS.326	CS.370	CS.393	CS.270	CS.253	TFS.027	T.CS.043	T.CS.036	TFS.020	TFS.022	T.CS.055	TFS.025	T.CS.064	T.CS.008	T.CS.026	T.CS.031	T.CS.045	T.CS.049	T.CS.066	T.CS.061	T.CS.158	T.CS.157	T.CS.095	T.CS.142	T.CS.151	T.CS.166	T.CS.141	T.CS.152	T.CS.109
L.005.M1	0	0.558717803186	0.505859712232	0.46882909622	0.410021556574	0.460351368344	0.420693078178	0.618996103156	0.561084449413	0.66082325362	0.656285912941	0.528478141922	0.521889543534	0.576144335769	0.558236182626	0.77940550366	0.761620776188	0.765693573661	0.521501040895	0.654833308496	0.637998572239	0.654216537025	0.654685784665	0.568041051563	0.614748938208	0.617766318791	0.691460113468	0.564913264677	0.539246832347	0.614667746713	0.59519432061	0.702912691442	0.675692280642	0.712623033209	0.702125453944	0.74041744101	0.763750922127	0.557980950747	0.526836728016	0.686516945681	0.625487975842	0.744792293265	0.651307222477	0.692308028819	0.685877483267	0.755347404345	0.735711963407	0.766436870091	0.685941102076	0.701113207025	0.622157450099	0.735598026088	0.680689374552	0.704842100459	0.638789429835	0.673476808581	0.722754640557	0.713724501397	0.682837467657	0.6989052353	0.517627524696	0.618684304682	0.557301401005	0.603068045182	0.661836946406	0.568684878586	0.431574043543	0.536125148273	0.527970276964	0.574711235494	0.681738554842	0.537808276725	0.704889506414	0.634383400801	0.569256814073	0.507507135287	0.565819343134	0.511145165826	0.591605984905	0.505624223441	0.562288624872	0.485705978929	0.540219938427	0.512081381094	0.607556837466	0.464224608733	0.452051626311	0.436331858179	0.436469031332	0.510191439816	0.684707001766	0.572105888982	0.638883089851	0.58409982225	0.577212735983	0.504683457533	0.67101029769	0.542594482881	0.471278020676	0.698888779602	0.601019477842	0.494078019527	0.582598411405	0.504323281988	0.524220739841	0.751547696892	0.683715312595	0.692293813765	0.674535072821	0.614566644201	0.650889381143	0.576893186666	0.716417680359	0.554234616297	0.787322618622	0.645079439837	0.484887579108	0.696105091614	0.668844443936	0.797485168336	0.671571088424	0.614729260928	0.761482585962	0.610825495844	0.693017522699	0.641494378643	0.792147233638	0.750748882668	0.697775806925	0.507640628692	0.691526483151	0.679875455723	0.654273895355	0.70345846165	0.678361294693	0.691202929228	0.601397742644	0.690025223791	0.643211384456	0.65134385365	0.686355730364	0.706757760937	0.686525249642	0.76676564922	0.472391318473	0.46994096677	0.582138999721	0.47710349953	0.479621899557	0.512929170719	0.556318030343	0.507561113869	0.578107236944	0.730532675148	0.535250406912	0.557244613298	0.645037256654	0.473383576922	0.58497637267	0.469561376123	0.492204678617	0.421791601287	0.457786125003	0.431406468203	0.484597992573	0.458748057708	0.506951699452	0.449416991553
CS.098	0.558717803186	0	0.522148629338	0.494381524978	0.507516515888	0.500086409019	0.52035663351	0.580104113334	0.502284634083	0.682334974341	0.59861049476	0.542180684228	0.445599563128	0.527114184494	0.518918738975	0.78838680003	0.774942538846	0.763881965587	0.514666582825	0.649718713975	0.636423592045	0.649094030606	0.626620701362	0.593375856284	0.59120024403	0.563602243522	0.641167776874	0.562953901797	0.557082448116	0.639545959036	0.535049733571	0.734275780706	0.632040770438	0.713393169076	0.713373783195	0.760588688774	0.782481103133	0.55428340257	0.571418340397	0.697754328397	0.612406692772	0.698631898389	0.582706999288	0.642084985517	0.68774603669	0.766046729035	0.731274548492	0.757410251188	0.680038941345	0.672919000575	0.603463154071	0.692169160514	0.65083577459	0.656857172632	0.6090026056	0.633741244986	0.699111730981	0.701027179807	0.656219396809	0.647579101368	0.506598283146	0.613419300826	0.611240993873	0.502615334889	0.673626382491	0.565576416164	0.527543849045	0.581242881547	0.5620350076	0.588584795462	0.654363089068	0.583981003614	0.700490046838	0.661258949209	0.577681422124	0.511680463601	0.571606047389	0.570551455402	0.628294730517	0.570383069067	0.548075708513	0.576765409521	0.513020703334	0.537957340398	0.537230931024	0.55856528301	0.53317883157	0.542828708942	0.490255101397	0.545669950049	0.671944341796	0.605206742726	0.660356511613	0.534482434208	0.644395115834	0.476239139471	0.655212714049	0.562926540251	0.605835666976	0.724575936055	0.550209112066	0.518566531259	0.524155403145	0.575952781726	0.570692043632	0.762815809106	0.641454990196	0.684499086771	0.652196206031	0.543982491247	0.640530038882	0.594146030588	0.710305363885	0.561756804129	0.782197460403	0.700067714259	0.513244981343	0.715290277201	0.701792140901	0.784847802683	0.694606934042	0.60851567208	0.752665941699	0.576751088079	0.67484754918	0.597440707781	0.804836698449	0.768949100578	0.706928681571	0.57436105276	0.676045422133	0.665600787704	0.689343883326	0.706679484822	0.684143961202	0.665655415963	0.611253501839	0.663431830261	0.610067092413	0.65022129682	0.65076134323	0.679446276804	0.67101558754	0.756540727757	0.563592837153	0.582344458927	0.548872449824	0.498681432676	0.516285433209	0.555733816695	0.632970250778	0.532274506326	0.629418902764	0.734120867344	0.552503176518	0.599633839588	0.678423929681	0.533172212163	0.638972155219	0.532273513359	0.582519315432	0.496486578723	0.603048300777	0.556268204784	0.582637860574	0.582476181342	0.554513081022	0.521757162059
L.012.M1	0.505859712232	0.522148629338	0	0.49647862964	0.503435411222	0.541865632983	0.509665959838	0.594534151908	0.564092548566	0.626198341892	0.622916954622	0.572733998345	0.546008250681	0.565802189073	0.547780199095	0.75073973746	0.738900678828	0.744170651088	0.554041102271	0.653742219621	0.643592491782	0.623080333362	0.638391052195	0.588280478109	0.599829684353	0.589748430156	0.665133921247	0.56211412955	0.564282780754	0.621400929198	0.604515817185	0.715071532924	0.647370139801	0.680431249574	0.690136103182	0.730883906043	0.756203149985	0.567923830373	0.552428890958	0.672771753537	0.630736770805	0.71642804466	0.629999375361	0.669456719364	0.657953432205	0.76500890322	0.724605902946	0.745628614858	0.676477553977	0.675894668075	0.606615248205	0.69969629107	0.652076936578	0.685594781499	0.638974595769	0.642884052742	0.706124296621	0.704461534636	0.675414447663	0.673333550888	0.553429452615	0.603401777472	0.569131299035	0.568856019707	0.637392151458	0.586743970911	0.506858082267	0.579405122503	0.545678338364	0.557435734655	0.626793359422	0.555465815137	0.688613314503	0.632550826484	0.552833992926	0.536059002598	0.588105281783	0.562940062658	0.606637444341	0.553278350504	0.563241119028	0.57341854237	0.541053151714	0.565906783796	0.563821781593	0.570980635736	0.544774832486	0.529114024567	0.503682342489	0.551897556731	0.662529500504	0.5711603283	0.662423900481	0.566733335716	0.626447567036	0.531999760615	0.661426972393	0.578213017108	0.576925594436	0.702075729715	0.584452547823	0.535210368912	0.584654805876	0.562688258187	0.591318282757	0.736024460517	0.654391467233	0.664476517415	0.648257579449	0.615565761089	0.627983776872	0.584618825428	0.701214264402	0.587665950088	0.753928814788	0.666577723088	0.525576206867	0.681630209562	0.690494054864	0.772388736566	0.676250718527	0.603796692243	0.733409833133	0.590631271668	0.674926194589	0.624252231056	0.786153906739	0.75347123477	0.689233593062	0.568662640382	0.671296307335	0.658112663565	0.667627203055	0.686198596859	0.655754542656	0.673656058681	0.607534140738	0.675817036163	0.629699354037	0.645003423525	0.66963516151	0.692391600978	0.692684273835	0.754244178332	0.522296923685	0.562389534488	0.577344652553	0.506931719812	0.530086299451	0.551538130633	0.575377789008	0.546158062523	0.587063332828	0.70596108325	0.567434852243	0.569333674914	0.628720874688	0.547828598156	0.581799400258	0.553558593829	0.546844535029	0.508880045579	0.5581884894	0.552224429848	0.580914757916	0.548892525272	0.554724537571	0.515976392039
CS.313	0.46882909622	0.494381524978	0.49647862964	0	0.473214671798	0.484532350295	0.503896104774	0.594849523993	0.548233114604	0.651285598096	0.589045809094	0.523021076491	0.515329508821	0.568729036935	0.518120325161	0.766016764489	0.75749157889	0.763751569231	0.524206214005	0.655765593421	0.627936039597	0.647239474077	0.618339565596	0.565673292186	0.59208425213	0.605395689474	0.642146078873	0.518179813874	0.560486156908	0.615155598457	0.533426395635	0.71358531448	0.634855015627	0.691718754956	0.687466091374	0.739901133994	0.76374399537	0.544803411308	0.564630661321	0.658722126859	0.592316118378	0.700617456038	0.591694676492	0.6674995311	0.681835677209	0.737695658436	0.72116040802	0.7599803275	0.673698137899	0.66133099871	0.605056525768	0.691307777702	0.63559195288	0.661040140784	0.59627028041	0.643098722494	0.683537881184	0.698594557715	0.664464781426	0.663915555852	0.485516361536	0.601697678801	0.584300045877	0.528366264063	0.64575994572	0.54184742876	0.46929572842	0.545279649897	0.540638989109	0.576447786035	0.656645967387	0.567672596528	0.694287518858	0.623356628054	0.550294616284	0.491605236328	0.557138113344	0.53364736951	0.560864089286	0.502212753952	0.518257747361	0.521200288792	0.494664935282	0.502846644801	0.524933127494	0.518511884306	0.490464615991	0.486708760449	0.468035313057	0.499841478	0.649306482988	0.565093007769	0.658235369826	0.525880026631	0.604767809151	0.507771044761	0.651061773497	0.504593259246	0.52986100434	0.693809934226	0.519289022392	0.483635617193	0.560390852785	0.546624774453	0.564461276063	0.743915992572	0.620829716024	0.659137808815	0.638775981878	0.555822729391	0.618926740753	0.603546222	0.679035518396	0.579314076834	0.763113375951	0.657864863586	0.498577624028	0.693102053761	0.679153343871	0.778677596866	0.664969656072	0.604808406059	0.738746008629	0.551645181564	0.667208278039	0.611903352758	0.790029320957	0.759833138129	0.695594991012	0.540508356141	0.658638772941	0.640434508291	0.669707524702	0.68054506525	0.661713932469	0.670708322128	0.598930983647	0.666602117711	0.613001909877	0.615091081697	0.67680637691	0.672463924333	0.671558142555	0.734025716213	0.536637777444	0.542558460426	0.528484620755	0.482307704799	0.483453173245	0.535203897784	0.591909949675	0.524168666287	0.619134021488	0.72286326063	0.546131428732	0.573268972662	0.643153646101	0.494640267241	0.59925395294	0.471813178089	0.524760276271	0.447983560632	0.54990906906	0.500649630805	0.4828922518	0.550013016297	0.516917858569	0.435871775913
CS.293	0.410021556574	0.507516515888	0.503435411222	0.473214671798	0	0.414922019041	0.434213694793	0.615675295748	0.533340404465	0.691732851957	0.620322934484	0.520789538964	0.48226458782	0.553701036404	0.535631581848	0.771393888447	0.781270292712	0.765499716988	0.481188581489	0.654898445964	0.635161296503	0.653550088163	0.646676514271	0.584587579039	0.618316159133	0.569778356856	0.671976239496	0.543275163106	0.543215254438	0.611282569095	0.561170218122	0.721169646766	0.671477744636	0.704621458648	0.682701162999	0.727808032698	0.774371641856	0.5382606355	0.536220793655	0.681994156767	0.607452496855	0.733108551949	0.627946491226	0.694388759264	0.694797301816	0.741972200377	0.714322769915	0.766702101871	0.682515451505	0.679487215908	0.601030902145	0.711846386881	0.658846560033	0.695199702888	0.613538956846	0.673628871517	0.718009291363	0.694041559128	0.669756511644	0.676662297419	0.506258439584	0.612439472611	0.57922340812	0.551499452952	0.655709115544	0.568288026932	0.441302521422	0.536296623337	0.526541751853	0.565205634445	0.677201611514	0.567806528214	0.701993045307	0.646799708741	0.560230116518	0.485462312115	0.543896001144	0.524528805671	0.596892947649	0.516735555817	0.528723305923	0.472824376024	0.51202307305	0.489664280305	0.54751867422	0.445412567978	0.43061299785	0.438997170802	0.418511610597	0.470635719757	0.687009858282	0.588344226986	0.641063429269	0.563622011286	0.588893865377	0.466193310336	0.661989743393	0.522016975001	0.488195425846	0.696940396582	0.570127835084	0.48552798716	0.567237725224	0.525329367548	0.536482557155	0.769823076882	0.657775802972	0.69007642778	0.646468632613	0.598085439828	0.659890291966	0.580270346253	0.714713192133	0.539670811942	0.786021645266	0.656804670511	0.47608840655	0.691998950527	0.669968450493	0.80655081942	0.65794602502	0.614117352843	0.767773806732	0.610690833941	0.685349363366	0.639004085708	0.802917629954	0.763019583743	0.709547266041	0.528662795734	0.686493231134	0.684272220861	0.661336971122	0.692075752889	0.682908745837	0.683205465107	0.593834019239	0.685388218859	0.644095674209	0.647667700023	0.67614614559	0.702300227615	0.678635297557	0.761344609712	0.514291197089	0.494816615392	0.545003037855	0.443384652829	0.455203062448	0.515355401241	0.572500652674	0.511791740471	0.593553292295	0.725929768672	0.525371900455	0.544954784694	0.653839013123	0.470982575536	0.583528621142	0.480008803387	0.510646188628	0.423653917491	0.481176609709	0.439225279013	0.486749807545	0.480464737086	0.488875936542	0.447455437376
CS.280	0.460351368344	0.500086409019	0.541865632983	0.484532350295	0.414922019041	0	0.48007680123	0.602369784776	0.52707639675	0.69149829198	0.624847766963	0.526468934663	0.511096642361	0.546508904973	0.512153505334	0.776318826047	0.780086570474	0.76552556273	0.469102496969	0.641431316802	0.632023679109	0.658207138582	0.628366039161	0.598410144367	0.604360377921	0.578393000681	0.665013691033	0.549391049535	0.561293073161	0.610240927477	0.554528129687	0.712662869223	0.670300121084	0.702110579932	0.704310659898	0.731263231311	0.755003291566	0.550837177249	0.547864394752	0.668315097551	0.599817325163	0.719511470885	0.629496186629	0.688477680879	0.686518119572	0.726781112277	0.714025187124	0.762900913484	0.661719424046	0.671656590594	0.605482957557	0.706826340424	0.643882235798	0.676175358319	0.600981538607	0.661795399528	0.706978549682	0.689051650517	0.655362750828	0.661849988245	0.502608708107	0.599623789067	0.5954584561	0.51967542425	0.657471928385	0.578885343142	0.482219066648	0.556474318153	0.53924286868	0.581245781562	0.670854271249	0.56476078702	0.693552427465	0.63070458012	0.543023406629	0.469567145005	0.540324218134	0.53160817472	0.579382144818	0.492666156967	0.527064910679	0.4997138413	0.485307305546	0.494510142361	0.538502086967	0.480800388592	0.444425316184	0.472717562004	0.456955410724	0.452190767864	0.671130442555	0.586423625843	0.64935691803	0.562269529028	0.588412205483	0.495306638857	0.650237232432	0.509548550178	0.53338649497	0.702067763834	0.561705667993	0.482841361174	0.579906082556	0.518542852975	0.562769236677	0.748025288931	0.657955214685	0.687318178222	0.642061164606	0.604880870034	0.637981429162	0.6061904357	0.708202453792	0.570420515625	0.764782490633	0.662456554884	0.506338221322	0.695071542771	0.650627733316	0.786993369634	0.678938612717	0.598456186404	0.755422237078	0.592938306462	0.67526973762	0.626050834909	0.788970634908	0.75382051263	0.712436220487	0.547670078654	0.67791615382	0.666855756448	0.683113425422	0.682985179559	0.672617721329	0.684852840419	0.585169449734	0.66472178472	0.618084880735	0.63799138223	0.66959556546	0.688645749424	0.672385334812	0.753098372429	0.525567264275	0.529904197644	0.538112879025	0.471674188621	0.468897721871	0.511096721741	0.580632245661	0.526575327799	0.610284068336	0.741336787612	0.549014724262	0.585903193743	0.652196854494	0.481259994081	0.593417274613	0.451949466708	0.523524988416	0.457050701988	0.542652411111	0.455740873916	0.494252711599	0.522334794575	0.518061260155	0.432423887436
CS.297	0.420693078178	0.52035663351	0.509665959838	0.503896104774	0.434213694793	0.48007680123	0	0.597204225516	0.476176864416	0.640696910543	0.601725757966	0.562038279375	0.500174181721	0.539650926084	0.54859823964	0.749544583876	0.742504865329	0.738703409996	0.458651354394	0.611409507676	0.621953123098	0.584028241249	0.620646854995	0.566733587942	0.580929217188	0.574717394996	0.644703289191	0.58071572056	0.47314645591	0.538617712392	0.562559175912	0.667130920372	0.619520296508	0.658341846185	0.658513010114	0.691328776735	0.748484020419	0.474225906441	0.465647337836	0.629382453734	0.556055804079	0.706219436147	0.621687327516	0.643421220126	0.638206780558	0.71983861198	0.703311778795	0.730328110709	0.644057282619	0.646650388618	0.56466320359	0.676125901031	0.62522144178	0.65675932153	0.591095744111	0.628250178467	0.695241598701	0.670290809276	0.63589330088	0.647474767446	0.44488483218	0.555420102561	0.493851006507	0.569542650382	0.594330604701	0.546720421998	0.397214621936	0.47845676278	0.456029946117	0.483691531878	0.606786406426	0.489473038724	0.655254272844	0.58576814614	0.490021164048	0.507111922493	0.567097573065	0.489971579654	0.566430520446	0.550539958181	0.565549635157	0.440891861697	0.54496263171	0.471042458227	0.609856757066	0.43531961435	0.446764631455	0.440211594682	0.463768343229	0.481342212374	0.647974938892	0.560047087073	0.60145127061	0.564636854875	0.575118328972	0.492339429683	0.63350656851	0.498467871564	0.51238675758	0.659768430425	0.562736715163	0.468394313953	0.573163907721	0.501382704965	0.554988985322	0.713063451694	0.645537882973	0.644151707199	0.64520318262	0.615748010123	0.634019699412	0.533560473291	0.68627146826	0.486472970113	0.751227805564	0.579128580723	0.430184718299	0.631163269021	0.613184516784	0.770923911134	0.617021652853	0.560334946445	0.735573689394	0.578611379294	0.625299534379	0.596229911074	0.766698643433	0.717063238287	0.660064770987	0.449648215147	0.648190534431	0.64385221043	0.600039926215	0.634901394302	0.617320651405	0.644115332882	0.525358689343	0.649343754868	0.599394092462	0.619020629874	0.631978529724	0.660815760224	0.646713810949	0.752649757137	0.433367431061	0.438819072923	0.559739890909	0.462118770498	0.463552911363	0.488232419012	0.499367445931	0.447927676746	0.492733506789	0.68555353447	0.501922868956	0.489328915437	0.60709115319	0.470136380202	0.509955889234	0.429976625042	0.495258398065	0.471237142597	0.449965764194	0.429649980822	0.454952627818	0.46425536727	0.483976743749	0.471949446114
CS.039	0.618996103156	0.580104113334	0.594534151908	0.594849523993	0.615675295748	0.602369784776	0.597204225516	0	0.59443572781	0.640879516093	0.533794083887	0.552867151904	0.588737396619	0.442619063247	0.563448283501	0.71852832738	0.713146520059	0.680992736035	0.623989030104	0.614448919858	0.558292230488	0.616047791972	0.566692406376	0.605724868538	0.556281052347	0.596691750534	0.621760096887	0.59888281507	0.641826359956	0.614876748479	0.567852318584	0.682372128268	0.580193697938	0.676308127227	0.631309818651	0.685251946767	0.729092615695	0.615131780952	0.603994284766	0.664345325942	0.622162500569	0.637429939829	0.583116799241	0.609054806358	0.627333912961	0.711034194348	0.669129183683	0.68285612965	0.645972699052	0.642941447647	0.640711301753	0.66786986496	0.634320092019	0.661695952784	0.574808835396	0.638233978466	0.645727980622	0.657567015485	0.64476316859	0.637743037642	0.595454365861	0.59174376461	0.621574842555	0.616946656194	0.6409945103	0.619226627582	0.623314585366	0.607614653762	0.637594848791	0.645283958118	0.647323367962	0.607345938271	0.660604049639	0.607906512485	0.609187037132	0.622422153856	0.645449337871	0.612782221393	0.565429406181	0.604363398273	0.588230741831	0.624988537124	0.645694586245	0.612741954972	0.626538286721	0.602676292965	0.618960432865	0.597444555178	0.619434788303	0.639552956088	0.564788289409	0.565793394042	0.623566418477	0.550904459454	0.573118372378	0.583624124907	0.580268951832	0.614766859098	0.638106994416	0.674149947274	0.587459539968	0.595060155023	0.520356090524	0.545936640922	0.575941439962	0.676243808404	0.613704255186	0.632553240828	0.646600323085	0.569328875012	0.544364133157	0.578200520236	0.658159180735	0.560614736486	0.690446463757	0.683894851719	0.611059122742	0.668711634567	0.665909909177	0.682717949508	0.65601482199	0.619642023351	0.645642395615	0.607426195825	0.655317480719	0.580202639425	0.734025752339	0.720584001545	0.673390833508	0.605310753059	0.584198058123	0.567234620691	0.656399799504	0.637976015107	0.640811572338	0.631312073376	0.62705440583	0.646281608054	0.638425751948	0.643141614314	0.645905059742	0.634074922305	0.652608863894	0.68242520039	0.599017938447	0.634230644324	0.581321295328	0.621956318647	0.634179945916	0.604207909807	0.625343315433	0.582522673955	0.629141944146	0.697268751079	0.589025586853	0.603606677084	0.651475737951	0.629196227398	0.618084024113	0.619441932983	0.597710691319	0.619399996489	0.626156113001	0.616116400342	0.63801201554	0.609059680671	0.605870405054	0.602065543265
CS.105	0.561084449413	0.502284634083	0.564092548566	0.548233114604	0.533340404465	0.52707639675	0.476176864416	0.59443572781	0	0.649570116494	0.572923128428	0.558480042236	0.514693338923	0.564743373113	0.528089867227	0.738669579257	0.748694890472	0.724137307621	0.476665023634	0.578331855141	0.602370479271	0.589880790529	0.565565598652	0.591848404053	0.534937377151	0.502798779847	0.584305413308	0.600854874194	0.481812176273	0.574038834431	0.50900916494	0.691451383575	0.575927281996	0.665825426797	0.670449632269	0.697522992174	0.743887713028	0.490116273839	0.502218768351	0.636985678069	0.570732601164	0.670347758728	0.596703614987	0.577182816994	0.624025718539	0.697717907411	0.704923492992	0.723707845734	0.653240683498	0.630670605182	0.586582147524	0.659179706552	0.619187578188	0.613102536457	0.61371469936	0.586749475471	0.651441931233	0.682129503878	0.617045353459	0.626672445265	0.479814774401	0.564144293752	0.527639762052	0.538590576889	0.620176347688	0.563483521944	0.501261816039	0.499420729879	0.502345682892	0.537574109011	0.601085425423	0.510680314019	0.655026621147	0.593900787605	0.511586288337	0.53340016038	0.569995943659	0.522218143288	0.581843735278	0.569661724971	0.580735217015	0.499568196161	0.548554867052	0.526640958716	0.574551979619	0.525677385703	0.500056023739	0.511563173256	0.534938214041	0.515068271137	0.636169605997	0.576653810095	0.639049811819	0.521244560059	0.588447723777	0.514188473219	0.626505074482	0.510859757177	0.58336312233	0.671659401298	0.531759726275	0.485305202248	0.573535730677	0.525610277988	0.602241015052	0.70445909074	0.60589259224	0.630640009185	0.646724158574	0.576570477138	0.599303562908	0.562230467249	0.675947052139	0.525323829447	0.718970430339	0.626347738902	0.493768008506	0.648305124476	0.64334767394	0.741923841149	0.634305858426	0.579903070213	0.70305381986	0.577462906023	0.638514994768	0.492381881941	0.770987335059	0.729525549794	0.673630584812	0.517106244618	0.619953405293	0.625600572575	0.610070344752	0.655710292017	0.627692881571	0.65416465774	0.550924740866	0.638884610596	0.597702067078	0.602860337722	0.609135489762	0.653473096151	0.630858727556	0.7291730326	0.523570040727	0.531002669371	0.55231373003	0.495197674914	0.489559145706	0.551335593914	0.515341306909	0.503337592185	0.556448308545	0.693399416437	0.518366789954	0.523688568715	0.628999962872	0.521044908075	0.54141000321	0.49011994429	0.556822019886	0.549570959278	0.585881454423	0.533193281311	0.511390589083	0.591905270276	0.499027248907	0.525296035115
L.008.M1	0.66082325362	0.682334974341	0.626198341892	0.651285598096	0.691732851957	0.69149829198	0.640696910543	0.640879516093	0.649570116494	0	0.649063815941	0.677094179165	0.690047883937	0.662833772577	0.672430949951	0.634756112753	0.596554954236	0.641007001848	0.655684888847	0.628940799148	0.625026736461	0.577514852221	0.610130257951	0.644846820808	0.63888203573	0.684414153479	0.610568582527	0.662020119444	0.630136314399	0.604330688249	0.645000802593	0.570435984341	0.604283617383	0.569179921925	0.55984756321	0.642064406068	0.620704510759	0.616701998963	0.650113486891	0.551915954246	0.622719339351	0.687543516867	0.644542283772	0.638854507251	0.569605284867	0.618810269056	0.616783456589	0.650804785279	0.570520298129	0.605361189111	0.665741369557	0.633432704616	0.592438685239	0.611240634702	0.604424211844	0.595297912668	0.639320428904	0.601066107341	0.586014842902	0.649827562998	0.639922418103	0.623367581263	0.577204253582	0.678971470338	0.574314892649	0.650477528275	0.651725880887	0.643762589559	0.61960056875	0.608509404768	0.618923528346	0.607586757062	0.557688504677	0.575810791802	0.625221030045	0.675565766164	0.690152193533	0.61140635104	0.630541637534	0.676507562617	0.673758561708	0.6446260094	0.693045757814	0.64419997621	0.681521220227	0.657671320286	0.664973531293	0.64550003259	0.697299804623	0.655471453037	0.59401932232	0.622532170925	0.675500667346	0.628212181565	0.624256157849	0.683103985407	0.605548065154	0.633592434403	0.659590838507	0.635371674069	0.674547653145	0.639483916587	0.653935625409	0.620914754852	0.681121030704	0.620942041013	0.595546409642	0.561494516114	0.634373660878	0.683108079353	0.612566032491	0.634197986633	0.597047652578	0.651940920127	0.593524030993	0.635993083165	0.680380877326	0.552470548115	0.654102024645	0.648777725469	0.666132628528	0.569047220053	0.627748272678	0.616633111053	0.573080763939	0.606420742749	0.674702477709	0.586087776646	0.563477625451	0.643374148192	0.626577765451	0.584721170166	0.595782665259	0.626096011145	0.54170612209	0.575918761215	0.613032148233	0.57015702913	0.568641820512	0.563734161097	0.59602506446	0.666128488592	0.609594129297	0.674463824301	0.63820255084	0.649078695133	0.672947650971	0.662735849057	0.686739072696	0.638151975099	0.562940532627	0.627072731845	0.613012490204	0.641437588633	0.634821376362	0.643629106129	0.515975162519	0.669964635643	0.590886240773	0.654103500472	0.637566773588	0.68509711587	0.617338112529	0.636603259274	0.654006511818	0.656500318663	0.653931913622	0.671303557009
