CS.245	CS.036	CS.257	CS.243	CS.092	CS.094	CS.354	L.025.M1	CS.016	CS.244	CS.028	CS.039	CS.022	CS.261	CS.105	CS.186	CS.335	CS.360	CS.334	CS.072	CS.368	CS.388	CS.305	CS.058	CS.382	CS.066	CS.154	CS.060	CS.127	CS.063	CS.232	CS.224	CS.136	CS.302	CS.205	CS.292	CS.041	CS.375	CS.374	CS.128	CS.203	CS.125	CS.213	CS.236	CS.378	CS.256	CS.386	CS.183	CS.369	CS.359	CS.323	CS.349	CS.148	CS.254	CS.348	CS.181	CS.389	CS.166	CS.372	CS.385	T.CS.048	T.CS.035	T.CS.071	T.CS.067	T.CS.082	T.CS.003	T.CS.038	T.CS.040	T.CS.024	T.CS.001	T.CS.041	T.CS.079	T.CS.085	T.CS.059	T.CS.046	T.CS.091	T.CS.121	T.CS.124	T.CS.116	T.CS.120	T.CS.107	T.CS.129	T.CS.130	T.CS.105	T.CS.112	T.CS.156	T.CS.180	T.CS.115	T.CS.126	T.CS.106	L.024.M1	CS.356	CS.006	CS.103	CS.015	CS.088	CS.110	CS.241	CS.082	CS.242	CS.238	CS.085	L.034.M1	CS.246	CS.237	CS.078	CS.325	CS.191	CS.330	CS.364	CS.387	CS.358	CS.234	CS.187	CS.188	CS.338	CS.304	CS.346	CS.311	CS.228	CS.331	CS.318	CS.194	CS.223	CS.152	CS.080	CS.319	CS.361	CS.339	CS.320	CS.158	CS.227	CS.322	CS.112	CS.202	CS.390	CS.270	CS.326	CS.145	CS.255	CS.262	CS.253	CS.370	CS.393	TFS.025	T.CS.045	T.CS.008	T.CS.049	TFS.022	T.CS.064	T.CS.031	TFS.027	T.CS.026	T.CS.036	T.CS.066	TFS.021	TFS.020	T.CS.043	T.CS.055	T.CS.166	T.CS.109	T.CS.095	T.CS.141	T.CS.142	T.CS.157	T.CS.152	T.CS.151	T.CS.158
CS.245	0	0.665550708879	0.569948762728	0.558345742448	0.619472054261	0.585986972839	0.556954916014	0.585348135805	0.582181177649	0.650937975154	0.597275463527	0.576027485734	0.601092285121	0.533111515018	0.567064844463	0.612576343296	0.701166480232	0.630443421554	0.693938172701	0.579277895041	0.566269836539	0.628548047223	0.581782027325	0.622619683069	0.540470804532	0.591704510896	0.714646508122	0.603003006346	0.559126501085	0.659040987771	0.600315040808	0.694076220416	0.627187731737	0.667010957624	0.666950968129	0.64035849383	0.619370614737	0.569575557489	0.626572589731	0.613068254643	0.57649850057	0.628261297061	0.660241379628	0.694730253024	0.651906385477	0.669284034588	0.684159932555	0.705906323709	0.717791189455	0.70469353603	0.658953847016	0.643495800261	0.664751597092	0.64828097387	0.629379092473	0.647972268561	0.639907119815	0.694867437792	0.643079798851	0.665198634368	0.539108480197	0.541897243474	0.560527372907	0.513443350664	0.549483302605	0.536555980458	0.625536286733	0.531805126003	0.54112343042	0.680148994119	0.542235735719	0.637006675845	0.55508308171	0.641789458635	0.590312369313	0.555835534511	0.569095703192	0.580303867371	0.592438476208	0.534610889269	0.551495452261	0.607312901401	0.573014735452	0.666947028582	0.517131892496	0.535971117806	0.619010834176	0.585764322706	0.565657882692	0.577262965078	0.563357182119	0.629783070292	0.535174458787	0.592303794741	0.559949990857	0.590422044873	0.621278491384	0.580949777652	0.615040905601	0.539199389228	0.602864250413	0.598282231994	0.585988980302	0.56996697783	0.619858138041	0.544781317385	0.703032399998	0.557109578181	0.637439355254	0.664789167594	0.557819823251	0.72192389784	0.647998973842	0.623583501032	0.589003259334	0.646009683519	0.64489061106	0.691795451456	0.564597489609	0.63104628485	0.647446540252	0.640248024507	0.708908494907	0.622195064583	0.574859461884	0.596763902134	0.641722109069	0.613337073452	0.612412928372	0.585883783485	0.616196127561	0.744128296286	0.662988117056	0.60539560157	0.586220867218	0.640068338588	0.645149889173	0.619479517207	0.587532873781	0.636039918931	0.626284132889	0.727249385162	0.65907355061	0.636571296825	0.529124179642	0.535073161706	0.533892113095	0.61883814636	0.581718840683	0.54141794112	0.52619114946	0.513133717842	0.674017998252	0.608812889953	0.581576272554	0.54615210201	0.570629594229	0.549394721371	0.552461584437	0.563456983781	0.577621981157	0.584214780792	0.497322240392	0.531778518221	0.514737046035	0.530010968929	0.538640720879	0.559571715164
CS.036	0.665550708879	0	0.653609512097	0.646188165611	0.6026959509	0.703280226616	0.662165940049	0.668252628389	0.590183516652	0.699783333971	0.602542354297	0.604518715749	0.595821024819	0.630873249496	0.569190271141	0.67116359508	0.710265869533	0.588179218193	0.620329345201	0.613797805359	0.60462451519	0.713642696645	0.629142580613	0.538966698355	0.623527092502	0.64380475882	0.68621098484	0.622796977845	0.568917434726	0.549248755776	0.567272697514	0.717081899592	0.555641603617	0.677441127908	0.659595168266	0.600642178721	0.590323642064	0.625844939116	0.637911534202	0.594675481344	0.630659168994	0.62248574505	0.629041691519	0.579883838562	0.66614635508	0.636268631109	0.678998141673	0.653034880008	0.647724530175	0.656843729932	0.590115011143	0.590221591554	0.6631213016	0.62938462458	0.581267772383	0.621404491151	0.608936787157	0.641438642448	0.583988982424	0.605790525044	0.608267837512	0.607402761533	0.639314777619	0.646937715575	0.606791792374	0.662864229472	0.625203590573	0.642119228302	0.595546572533	0.671340821595	0.624154703422	0.645352258329	0.625384718745	0.635359360706	0.629871426639	0.67947958883	0.617149090736	0.630734844914	0.607884893472	0.651611280356	0.657067898521	0.663843271489	0.647670222707	0.642799107906	0.632704515984	0.665697508947	0.604102838154	0.662862861569	0.628508967136	0.698989984581	0.713385385953	0.695331297418	0.622482868931	0.582193426356	0.668884667354	0.669745394007	0.634454888321	0.635942042509	0.596091529265	0.637470912249	0.609480027921	0.581816478735	0.61255142394	0.619450855883	0.573358657682	0.639695291339	0.727904524869	0.638310569079	0.621095919804	0.635958955968	0.597965427797	0.712301260024	0.625878363931	0.60891199261	0.684112354351	0.610597078125	0.666037087645	0.634642317576	0.654193237068	0.577724805344	0.587026015838	0.611130152835	0.740961742896	0.61752254483	0.582662123707	0.587539530404	0.592265113754	0.647365406761	0.660157158975	0.613997840334	0.561005041347	0.714978669488	0.657921430989	0.585643942317	0.676611536278	0.618307513568	0.655004360139	0.652154925794	0.631335747195	0.606425432986	0.673391743271	0.699344574367	0.592973934784	0.633933990882	0.642104640632	0.642682477489	0.675627947096	0.657142935356	0.65455553436	0.633179844685	0.651183142323	0.643174653512	0.707653452771	0.61504651329	0.661149588099	0.668720093608	0.653322580208	0.63431045364	0.632258745453	0.63503686472	0.670376133348	0.691921512268	0.713249726807	0.70289911201	0.685806212831	0.629438665578	0.695597517924	0.641516226962
CS.257	0.569948762728	0.653609512097	0	0.564420794183	0.562538426763	0.640475933525	0.565613593957	0.590498986318	0.604858817878	0.556146552928	0.576877208853	0.568218493056	0.601242014505	0.580051740085	0.598153400299	0.568189265958	0.739436883275	0.651974093389	0.692470792311	0.591151845847	0.608359161843	0.723092920652	0.603991429643	0.611179500299	0.629046431419	0.56142034804	0.714853016104	0.588273370558	0.63640658852	0.66616105292	0.597625536921	0.724118154691	0.609989367879	0.721614533808	0.706015462615	0.635133373254	0.635337991789	0.629748446717	0.657079042212	0.618077797979	0.603010392888	0.66597921277	0.653234439105	0.667032001088	0.646542925896	0.668875486062	0.682017432252	0.712715445918	0.705579161521	0.726438231947	0.681686086323	0.67746793757	0.663106942051	0.667803169244	0.671327606894	0.674182741062	0.660976255966	0.696879937898	0.66732338331	0.675779308509	0.597686213048	0.601271125634	0.625565905627	0.606126204667	0.606703943171	0.599861476301	0.609705303003	0.545285650397	0.62715810151	0.673950704309	0.599408580257	0.68729787439	0.59970158069	0.570122475452	0.633697437964	0.588503809185	0.616549759264	0.544018977561	0.527329995065	0.587367604113	0.586908659566	0.612989915545	0.567803857677	0.598656047788	0.577130831423	0.549519913745	0.546393218991	0.590982453576	0.592205132731	0.608313141895	0.569840606645	0.676566963988	0.548212507918	0.591589105153	0.590102981281	0.612052854074	0.606347505856	0.582594892475	0.586367880088	0.564726952726	0.593047114125	0.55671655141	0.545160737023	0.565376535847	0.609821576093	0.628890831394	0.742968991298	0.611551533313	0.637185930516	0.707712290452	0.644281824844	0.740224268234	0.666542101471	0.640870896328	0.697566239163	0.625493397243	0.694169093874	0.711318870222	0.612004199906	0.580522125459	0.602499798736	0.677072340007	0.735340631457	0.660818300534	0.634077495452	0.603479423715	0.679715643257	0.667416967118	0.65881742703	0.63594887467	0.59209289659	0.753195122602	0.691036550117	0.601581358496	0.649229131108	0.677606143492	0.673156712256	0.638374842827	0.653776816168	0.63594375857	0.659313680397	0.702532078021	0.673956583745	0.641780678641	0.623268608588	0.625571539587	0.665049426701	0.673465047909	0.608443853105	0.587869542268	0.592110893375	0.605733379461	0.703687383274	0.582992167879	0.56157932779	0.62437299807	0.608569323764	0.604870451913	0.58614635618	0.60284395499	0.57963976751	0.589798290906	0.567655059719	0.597041226958	0.544640947713	0.56810088932	0.569621646788	0.572126200976
CS.243	0.558345742448	0.646188165611	0.564420794183	0	0.598092128363	0.642592223449	0.596223809674	0.620487191917	0.590262158071	0.612123095862	0.573492536583	0.592749986382	0.614765843894	0.524094662758	0.592018813966	0.55433688871	0.716307392988	0.615104671089	0.669683780638	0.561437537304	0.542476105507	0.713416439416	0.568317723306	0.617865972056	0.550504082747	0.566689098258	0.739156540331	0.575955832278	0.555697055555	0.671318452417	0.575352334073	0.734580363869	0.623401262137	0.694500864304	0.684600143918	0.589538635647	0.646952916119	0.598402562432	0.615618631258	0.571135968786	0.542912905348	0.638273508263	0.625447844485	0.657047131932	0.639396512931	0.608155876526	0.679266983973	0.708805514963	0.705691835265	0.703548339388	0.642733234523	0.640269245247	0.675194154338	0.636380112182	0.642391016926	0.626283670897	0.656541669856	0.675811866732	0.626871081544	0.633418741287	0.559478361557	0.569800998469	0.587109490086	0.559542098002	0.543484450189	0.529860282117	0.582734778824	0.524512812824	0.570495680017	0.661910076267	0.565247793029	0.650737508844	0.520535754467	0.597573854571	0.58796019276	0.545136185756	0.597821784188	0.532975136399	0.554997797895	0.546943659499	0.545277033812	0.561828115408	0.53433085683	0.629588918825	0.578766371904	0.522721859815	0.563193651488	0.565749478121	0.55636642299	0.558555158967	0.545368199487	0.663489435318	0.522095617021	0.568128744849	0.554087060257	0.633639960517	0.609932599537	0.550783467335	0.601957541238	0.540314872793	0.577905523485	0.575718753976	0.562137819331	0.537730477847	0.621521582348	0.58667840496	0.712255909916	0.550904878416	0.624665216098	0.680051907556	0.605669710367	0.726778022133	0.66973490301	0.612846793325	0.639494025871	0.611870595388	0.661246949014	0.736078254108	0.585719448724	0.603578815906	0.58054051612	0.631064070685	0.704945326044	0.620693771805	0.560020345159	0.591199344684	0.639125447227	0.624836244042	0.63361613293	0.585121052973	0.623934423368	0.757450992911	0.645131060686	0.590938377984	0.635445566936	0.663551260461	0.643606974715	0.610180199035	0.597832289089	0.624620188548	0.648091608909	0.701077909428	0.633758092661	0.630045465375	0.609021213907	0.602442324735	0.613645284648	0.651262869606	0.565216914738	0.555467503602	0.567615889566	0.55817496662	0.707118682682	0.567759968746	0.542969460972	0.571604566549	0.56137414708	0.563200873711	0.558398356328	0.54075512242	0.530988553847	0.547799584473	0.562179754789	0.576540270579	0.556171179338	0.550337750535	0.549393925748	0.539485664655
CS.092	0.619472054261	0.6026959509	0.562538426763	0.598092128363	0	0.69815246227	0.633905965098	0.646523212821	0.598144347704	0.606436875487	0.477997441804	0.567715154017	0.606014618036	0.513355616191	0.538328044846	0.537451388149	0.768222930564	0.649067540951	0.704829707217	0.510831025767	0.566649847309	0.747945386731	0.532946355319	0.571804283901	0.655001249073	0.575383019824	0.766495402295	0.591079902587	0.612819034897	0.635995076634	0.49515727799	0.770399667719	0.591113103636	0.741403456914	0.736464834272	0.584947725009	0.64321252036	0.660263885471	0.659196060166	0.623567617984	0.606322550755	0.679071408911	0.715331856986	0.663355643246	0.676799218342	0.685248934455	0.718502326408	0.735375067333	0.707620483077	0.716917786465	0.646964646825	0.626331686427	0.685192383867	0.668657771033	0.591738472776	0.623345242799	0.654730354141	0.677152690038	0.649225190029	0.639650532032	0.622494547426	0.599238825429	0.603326830998	0.608119981718	0.584501872194	0.569617206366	0.520842623527	0.531479062685	0.606118490411	0.719316970036	0.596248190053	0.714282923245	0.597803037934	0.569391108881	0.640592359344	0.541666951281	0.553673488932	0.501319975399	0.567115631698	0.581182721073	0.556008494288	0.548839027087	0.518693186286	0.484547060615	0.597025195633	0.590262609286	0.537063803954	0.497169342624	0.536246690706	0.539167478198	0.622919932144	0.720201543958	0.553460313781	0.523633132035	0.603814736337	0.688460773909	0.609555129019	0.558792700511	0.381231409451	0.52653904146	0.551960770128	0.463482779866	0.593984568236	0.541748672278	0.592659250223	0.645958654261	0.766892348958	0.563436763157	0.660774690639	0.722267840425	0.652993988833	0.780706084982	0.662560494748	0.638772323255	0.702957880501	0.610296619135	0.692737969413	0.736445880973	0.608377930248	0.588060427699	0.566747896611	0.683343747902	0.779107459978	0.665061923544	0.54581125109	0.584937837743	0.678793406496	0.693472866558	0.694601478764	0.640686665609	0.587426103903	0.789587030533	0.709915295112	0.602706429179	0.684868211098	0.663588797632	0.675354019264	0.62054539779	0.617255196138	0.622330555921	0.688170547681	0.721671558201	0.672338435479	0.668899684752	0.659787586309	0.629217257793	0.703196532457	0.69046480528	0.538721572488	0.575846798215	0.618978984255	0.617278145984	0.731156729295	0.526778367554	0.556482400771	0.645291837008	0.533607678267	0.620642862626	0.597739496367	0.590435027623	0.530421671606	0.549419509684	0.646101910726	0.649941842511	0.592840224041	0.587925061541	0.598338873548	0.542670786413
CS.094	0.585986972839	0.703280226616	0.640475933525	0.642592223449	0.69815246227	0	0.614435371931	0.642112185253	0.603317395209	0.711752090418	0.682160543867	0.64632900459	0.592777666771	0.670371614834	0.640933164474	0.706304840412	0.716848517299	0.663923999647	0.710180935301	0.654763249183	0.640955082477	0.636845113345	0.642503852177	0.682638033574	0.595048209096	0.617433383899	0.709327740567	0.651494852432	0.617650477209	0.669733115988	0.689577563285	0.73637959405	0.65153170828	0.699710243012	0.669008277823	0.673059660911	0.638433081308	0.595992968479	0.671919182107	0.633698024605	0.600366891436	0.648964509812	0.66750181967	0.709050529908	0.69208915245	0.699665339932	0.726171971366	0.715709210008	0.731101878123	0.728574839404	0.697057002491	0.694756250742	0.702379009569	0.686141530124	0.701689954593	0.681304633077	0.674622301236	0.731190675862	0.688541846359	0.697260427558	0.612925783979	0.63514242832	0.649272692233	0.606749048783	0.617892709005	0.630378380214	0.700476015223	0.603522610395	0.618497505126	0.684722984749	0.623249707471	0.63859033381	0.585121831622	0.697171141157	0.628381579912	0.67058331158	0.653194143434	0.687576961431	0.677903551147	0.608632163091	0.61824946564	0.657120561547	0.658591444504	0.742641501364	0.570204090398	0.580291801528	0.681874056747	0.668059468521	0.633998594793	0.682319993306	0.631671604632	0.649004495617	0.570330486981	0.659233127527	0.576589014999	0.587847016746	0.67683794803	0.645541331247	0.69960818966	0.629743226837	0.640455745596	0.685929345243	0.607325158115	0.643910919064	0.674535363916	0.557996597806	0.730746562032	0.636282895127	0.649541074735	0.69130859948	0.606141945158	0.736783144101	0.690341513476	0.643371085053	0.580591016966	0.702413298026	0.681989381408	0.710812484546	0.548261390325	0.667734080046	0.689297789226	0.65970920425	0.721033248542	0.663495170553	0.636079613252	0.613716720355	0.659633366241	0.612454054987	0.615543505847	0.658581777757	0.635653213233	0.724550773186	0.685140244369	0.636177635468	0.638949107739	0.676394105583	0.695670079916	0.665707245144	0.625220480496	0.678336651516	0.659390828302	0.751593280515	0.685389182679	0.655252835271	0.600089091675	0.635268999012	0.578654240333	0.652498203789	0.648879072203	0.626213689327	0.619603388946	0.620624999644	0.716127494452	0.684992710962	0.652355070831	0.635541679384	0.636758792643	0.582827238956	0.592966014364	0.606541579052	0.654593435604	0.670370107836	0.593560855512	0.560233191292	0.604560852798	0.606083491743	0.606211123892	0.630089968742
CS.354	0.556954916014	0.662165940049	0.565613593957	0.596223809674	0.633905965098	0.614435371931	0	0.561263681429	0.60346802539	0.588295086261	0.601095003356	0.569219363523	0.593414236962	0.614930482998	0.608365644186	0.619113165082	0.714554416531	0.654289721622	0.698337591981	0.630181833866	0.622819906986	0.672865888139	0.625942515871	0.627306267023	0.61077470203	0.565606308197	0.699715404778	0.608442442952	0.627232255857	0.648377448829	0.631419655243	0.71441340937	0.628486586621	0.700476670249	0.707602223812	0.629601118785	0.622548580848	0.610969599277	0.647077131395	0.613314520906	0.607500225536	0.664188001184	0.646175577875	0.683876270398	0.62513711069	0.662934318616	0.666030752446	0.700134616835	0.693456193813	0.707350221522	0.685100290484	0.679260123098	0.657563115435	0.669869109428	0.675404411864	0.649691031141	0.679006331474	0.693077332071	0.659154816831	0.695961784704	0.591588274939	0.624666947165	0.642194858859	0.588113868697	0.600398600601	0.610999845598	0.646647157417	0.575119400004	0.604015249754	0.671295373338	0.593457157578	0.636874029669	0.614526239402	0.611709785288	0.64738252418	0.638970740503	0.645293900801	0.587793917187	0.572235744204	0.587674343695	0.619549362795	0.649314358225	0.611370842489	0.671754112807	0.580956750393	0.584471100317	0.61270945701	0.648270942317	0.628264396836	0.654396176849	0.592529057094	0.660598882752	0.575246591332	0.611858978652	0.576286332233	0.582284708394	0.626442701598	0.606679723849	0.633087026233	0.591580368853	0.6091560555	0.607807980341	0.58362326001	0.60948733681	0.619582184048	0.604020650419	0.719547474116	0.607063201449	0.647837852972	0.699668480818	0.619524052273	0.71487548498	0.679171549801	0.65131081321	0.669656815835	0.636900050313	0.690915092716	0.711348196681	0.578779388131	0.58812485099	0.646994957412	0.676523953637	0.717935496797	0.669646188822	0.629603395452	0.60837384776	0.680775181102	0.610239976353	0.630055469344	0.632482658515	0.59506746127	0.747124963702	0.671459826888	0.590492416385	0.623806567275	0.663612534486	0.649356400935	0.642005181373	0.636266092348	0.640455450353	0.609742909627	0.709386524697	0.671229081184	0.618719868104	0.623403804608	0.609126070264	0.601977568725	0.640233668481	0.646441656039	0.568992445916	0.550190562508	0.609513652465	0.688903440097	0.605859224523	0.616132802115	0.592958020235	0.638877662758	0.610197420244	0.581757623161	0.611697497904	0.635634150854	0.630133929382	0.542552361799	0.5746362591	0.540771212984	0.622182186948	0.580955888537	0.620005083104
L.025.M1	0.585348135805	0.668252628389	0.590498986318	0.620487191917	0.646523212821	0.642112185253	0.561263681429	0	0.64285257568	0.621238581592	0.627148048731	0.623177754241	0.621810510383	0.635327398274	0.640498489814	0.627742399563	0.712674761866	0.67185150486	0.705814943291	0.642858330335	0.639908668011	0.693684338661	0.64333384778	0.654086261107	0.630595528455	0.573209177757	0.747323919547	0.647690085752	0.652101946273	0.67940640033	0.644645692565	0.711613821306	0.655755727572	0.718463124693	0.710186739435	0.679147219062	0.688003574134	0.646116000131	0.69205272226	0.671894737144	0.623582855263	0.697384807972	0.671816743241	0.720213638588	0.65863660477	0.668799671609	0.698793819603	0.734640152357	0.737100210593	0.719781038641	0.707690487154	0.705578112434	0.671458164944	0.710570729006	0.69297972002	0.67695916697	0.698023354322	0.731534244706	0.705609808856	0.714714073853	0.609685303278	0.654798701451	0.634602134226	0.610352856204	0.624683985397	0.598938229305	0.665136345758	0.611437868272	0.620420255967	0.683364014668	0.621789032763	0.673587276298	0.631014484687	0.643350904225	0.657337902479	0.626806671129	0.671019275343	0.615210748218	0.586854084869	0.619254889692	0.633732431615	0.673987529395	0.638031155294	0.679316937584	0.621137976201	0.621049389617	0.634635988535	0.651994741713	0.633222562444	0.642600076705	0.604592884367	0.679829559443	0.594400664893	0.621214883561	0.5899486726	0.598084268966	0.643437566054	0.634535071686	0.654725032974	0.629422764309	0.585018865971	0.61762848901	0.612216307981	0.626891917903	0.621948682897	0.62867684543	0.717327981357	0.617502763693	0.672515300491	0.730050430363	0.640081597101	0.749205190028	0.683728532733	0.674885128966	0.681021962787	0.683403949078	0.688411052214	0.693967240154	0.637836489801	0.612036627592	0.684429566746	0.674277640786	0.728938312437	0.688551355923	0.653095027744	0.631533084197	0.673742754725	0.6726282248	0.643667116568	0.660943326796	0.632488352955	0.747494306338	0.673010893123	0.651940899633	0.668546517249	0.686226801726	0.697641793696	0.678674121872	0.658280264678	0.668658279523	0.669138638277	0.744549819097	0.688216132213	0.683227713081	0.619588871036	0.620968333918	0.62902180647	0.608670320673	0.657775800938	0.603645917496	0.603649795341	0.5985971223	0.709068992812	0.621252443448	0.633030405566	0.602031191749	0.63278257573	0.610497241382	0.617746738112	0.635935600866	0.639437336972	0.632312832438	0.559124426077	0.550040281011	0.573855307504	0.627229420408	0.601148475979	0.644354247083
CS.016	0.582181177649	0.590183516652	0.604858817878	0.590262158071	0.598144347704	0.603317395209	0.60346802539	0.64285257568	0	0.653679742492	0.582196663953	0.563241945918	0.60228913214	0.574956216889	0.552754052066	0.626086233754	0.728474097696	0.627251509872	0.659683002178	0.572053646588	0.579117711343	0.659688386816	0.562914482185	0.587093901916	0.57493547516	0.567780720783	0.721375838548	0.591229951306	0.582017422099	0.598955758413	0.577683630944	0.733857599994	0.601637426861	0.700451761572	0.664083259894	0.600109296004	0.61207063463	0.568667405311	0.66210547502	0.578482592248	0.565320826132	0.642208843528	0.652221308205	0.654540626713	0.6516505002	0.661134024333	0.676551413397	0.681871742023	0.697259561596	0.695823947557	0.627039409111	0.622183483795	0.679243907277	0.645708503556	0.625327046494	0.634210334261	0.642763537698	0.662751349075	0.645542449714	0.637387693809	0.584242997548	0.555786212014	0.587818966719	0.56973970072	0.553840578184	0.602756501685	0.618272466284	0.574089236373	0.588496190906	0.688703766629	0.573954326316	0.648537789486	0.580460450084	0.597723839539	0.610053452696	0.615242184854	0.601382398606	0.574656496063	0.5800742305	0.585602518772	0.589185127021	0.62024037348	0.566062049404	0.648245243601	0.556481974242	0.561839989105	0.572567013706	0.623815170065	0.57159596946	0.619051762553	0.616913611921	0.664208183816	0.526456701981	0.573992798115	0.572508006018	0.620104322853	0.6262359821	0.57312613984	0.584033411311	0.557291061649	0.548382705401	0.568838199264	0.576682890501	0.559643371243	0.604645279337	0.581097511429	0.748994957927	0.573607992188	0.632380180759	0.663871208298	0.58187156936	0.723657631673	0.676327871453	0.618058945866	0.642796858737	0.629938219053	0.631828000674	0.695769501325	0.557853879011	0.58006202885	0.600627705727	0.628269131963	0.72573043505	0.64142626271	0.568556846117	0.561099281106	0.62670967639	0.61930981213	0.599623705811	0.615818567992	0.572135317564	0.728673013442	0.679071130376	0.584129128738	0.624776101339	0.622966673366	0.656417443786	0.617308767954	0.60407462197	0.614726066194	0.637807815075	0.719836460814	0.621986977534	0.634565680118	0.58311191913	0.583440196104	0.595997197153	0.645927960491	0.614235348648	0.559554523557	0.574159577417	0.564780411193	0.71010353854	0.609435069697	0.614542965345	0.603885833483	0.601554701271	0.602350401786	0.607918741027	0.595448015492	0.604866346076	0.622723540943	0.62227547601	0.620612954388	0.580755380903	0.595484950372	0.610168879025	0.583365120751
CS.244	0.650937975154	0.699783333971	0.556146552928	0.612123095862	0.606436875487	0.711752090418	0.588295086261	0.621238581592	0.653679742492	0	0.608291354915	0.614891180713	0.642113409349	0.650151096393	0.660747929961	0.603200853645	0.775569938561	0.716165194352	0.735554898108	0.666721233507	0.681302218685	0.750565954327	0.671627284253	0.656340332356	0.701352769024	0.587028358657	0.743607189449	0.625178339798	0.695274259019	0.664099090765	0.635186776856	0.772240088393	0.663828655128	0.769219025338	0.781858657961	0.673513343789	0.676026025416	0.694202310372	0.706308103449	0.697668670977	0.687010583772	0.738808595499	0.729035309584	0.715727968228	0.648783586055	0.700802910591	0.707281266066	0.740894557574	0.73956133813	0.742606319994	0.749643312717	0.712982009257	0.702634830703	0.723772798833	0.721244499093	0.708583019877	0.718952928286	0.735963649771	0.724484239374	0.721829827605	0.644789950892	0.674310322338	0.693333562117	0.664241744117	0.666681018739	0.669875236303	0.636167712419	0.638127667602	0.679806857845	0.714582650379	0.647965060673	0.720107413035	0.682627314123	0.567581524121	0.698297499523	0.652119986389	0.698633826409	0.570479585533	0.575055086442	0.654278397102	0.680431584895	0.681648080039	0.648537371039	0.627045035945	0.661470942496	0.642702588694	0.60538800245	0.662041434167	0.675577720963	0.671490585392	0.635049522471	0.715356863333	0.607812825098	0.629868790159	0.642101809161	0.673104869942	0.650505874128	0.651360588902	0.626062214953	0.629301778608	0.636586261455	0.589427671337	0.637973158821	0.642865836815	0.659267462666	0.69371797772	0.761485240133	0.658564822731	0.700608288622	0.750774607524	0.698995564098	0.789162995513	0.709616224244	0.695124842606	0.751269477484	0.661703283691	0.718195770906	0.753475198568	0.677193505464	0.623968486774	0.673891681017	0.74412855931	0.784903119674	0.718900128457	0.680946605348	0.643272447345	0.749736603922	0.712998997996	0.729409499014	0.691561494273	0.640622462094	0.780235719256	0.754203643787	0.636912278068	0.703267984535	0.714337069713	0.711238916043	0.685607547811	0.720374387816	0.699021059071	0.710914767394	0.727559821824	0.713252116588	0.679401476596	0.729295571418	0.673817570494	0.717122485385	0.719447921783	0.67564328206	0.641488116169	0.642451969519	0.697266307778	0.740755688525	0.59085847062	0.649346456054	0.682997019056	0.680982054281	0.691851219051	0.635948299579	0.689413597157	0.658022698504	0.650844019576	0.642195837822	0.682813836676	0.618865765505	0.664244575604	0.644225361824	0.663050564446
