CS.101	CS.084	CS.293	CS.010	CS.245	CS.260	CS.002	CS.104	CS.143	CS.035	CS.313	CS.108	CS.021	CS.003	CS.019	CS.064	CS.118	CS.287	CS.056	CS.067	CS.381	CS.137	CS.360	CS.341	CS.063	CS.301	CS.327	CS.122	CS.367	CS.040	CS.302	CS.374	CS.125	CS.203	CS.292	CS.380	CS.232	CS.136	CS.376	CS.213	CS.378	CS.041	CS.128	CS.375	CS.126	CS.323	CS.386	CS.395	CS.389	CS.348	CS.349	CS.177	CS.369	CS.214	CS.254	CS.129	CS.148	CS.359	CS.256	CS.181	T.CS.048	T.CS.069	T.CS.019	T.CS.062	T.CS.072	T.CS.004	TFS.024	T.CS.029	T.CS.067	T.CS.035	T.CS.052	T.CS.012	T.CS.050	T.CS.041	T.CS.034	T.CS.104	T.CS.114	T.CS.132	T.CS.098	T.CS.147	T.CS.167	T.CS.134	T.CS.123	T.CS.124	T.CS.106	T.CS.121	T.CS.117	T.CS.180	T.CS.105	T.CS.119	CS.082	CS.110	CS.356	CS.088	CS.246	L.034.M1	L.024.M1	CS.242	CS.241	CS.006	CS.237	CS.238	CS.103	CS.087	CS.085	CS.228	CS.191	CS.188	CS.338	CS.233	CS.234	CS.358	CS.187	CS.387	CS.150	CS.078	CS.336	CS.363	CS.274	CS.346	CS.112	CS.163	CS.320	CS.321	CS.223	CS.158	CS.227	CS.343	CS.339	CS.319	CS.318	CS.194	CS.080	CS.285	CS.152	CS.390	CS.253	CS.270	CS.370	CS.326	CS.262	CS.393	CS.145	CS.255	T.CS.031	TFS.022	T.CS.064	T.CS.049	TFS.027	T.CS.066	T.CS.043	T.CS.055	T.CS.008	T.CS.026	T.CS.045	T.CS.061	TFS.021	TFS.025	TFS.020	T.CS.109	T.CS.151	T.CS.142	T.CS.095	T.CS.158	T.CS.166	T.CS.157	T.CS.141	T.CS.152
CS.101	0	0.556077170399	0.48226458782	0.709335917352	0.589936441907	0.67014894103	0.607546408235	0.528246671864	0.569476799212	0.534945069783	0.515329508821	0.536973564264	0.659330223576	0.530001634972	0.520310470162	0.595435834726	0.571904745322	0.641163961296	0.698855666946	0.755261507784	0.580777689395	0.584766817318	0.654918289315	0.701555793704	0.706988816884	0.637263567523	0.59079638001	0.513976030353	0.774653954044	0.538000286545	0.762619452482	0.691646010133	0.714385370652	0.554241327428	0.609327893625	0.554366974215	0.543968919264	0.638520945649	0.697425432545	0.70443874085	0.718858641745	0.669028435861	0.626433665755	0.652486169432	0.573459996245	0.658331319988	0.727828324483	0.660887044736	0.665108622272	0.636670472026	0.667428603494	0.70323142394	0.765897504552	0.677523127744	0.694591050041	0.615304426852	0.727333291239	0.739516144242	0.705883421278	0.663431543493	0.57710751888	0.611483333093	0.655788446554	0.52474879919	0.554714388867	0.639547677981	0.60365448753	0.654716062954	0.569161079075	0.581219295291	0.688908484875	0.710528773428	0.624291794123	0.605017217984	0.561025970646	0.511965716787	0.560080186945	0.56486966613	0.526163001238	0.484939984837	0.532435980402	0.545803427818	0.580517470585	0.502857213227	0.513983792556	0.567227207041	0.535102510914	0.577286533165	0.572375267883	0.573642508178	0.55965210266	0.659809788386	0.70410288664	0.6281797007	0.556327557825	0.607081981328	0.543868277663	0.538138756932	0.458854116669	0.528977705579	0.682788076794	0.546692162446	0.459140300821	0.610534496744	0.553630111569	0.621457139933	0.509420601846	0.698275485716	0.663093136712	0.567355777366	0.687682868638	0.796314461271	0.671244477893	0.655782242189	0.614922522144	0.572746467119	0.646412902946	0.710170736512	0.714488799603	0.766650063743	0.650019142581	0.673432855978	0.644522495428	0.542899674895	0.689942090598	0.64912600768	0.809901390006	0.704863349963	0.668225792545	0.703436559779	0.701349152328	0.791198248232	0.611367904935	0.755430065029	0.555537260146	0.688034331605	0.754830765828	0.698598420203	0.684245976754	0.677394514618	0.697668412701	0.68637346069	0.606790952334	0.633709922516	0.555128199744	0.525979293123	0.553124084512	0.69601401026	0.565219140433	0.526573181135	0.575798552574	0.558343268478	0.645755028975	0.74361117429	0.594053208213	0.636421476893	0.5918024782	0.625030471804	0.520937666453	0.52129418416	0.559198925113	0.590793413964	0.509942576893	0.531276232424	0.55709282727	0.569511529441	0.568426080275	0.556836508526
CS.084	0.556077170399	0	0.585085784702	0.638017309949	0.616286553208	0.627975458236	0.526127563809	0.565613824216	0.584073067729	0.546553755128	0.546049058943	0.541208686536	0.623424002569	0.500478575272	0.568147653274	0.55013870904	0.521691348387	0.631747123086	0.653787631037	0.712504894138	0.570084223197	0.614455626102	0.627192188489	0.675468402192	0.630126111894	0.595314580587	0.634150745311	0.515385555905	0.732633031378	0.57141463395	0.731043991296	0.659568335551	0.683980655451	0.622969362187	0.569490160431	0.572055118949	0.506160480301	0.567376407168	0.669425020405	0.67952526059	0.672961459278	0.589116664715	0.637486230106	0.647502538598	0.595129125479	0.634459123043	0.698330395713	0.606698800781	0.649772206105	0.600800318121	0.625991060469	0.698878347195	0.701184253991	0.680782848066	0.649605736007	0.60291796041	0.686966340717	0.738262301565	0.669136255634	0.633573691732	0.611494672366	0.609090911312	0.628927857126	0.556260403516	0.555368429243	0.626195267913	0.61727307267	0.576563468713	0.596012447699	0.59764719851	0.652137435487	0.715645642745	0.60780503358	0.572891662905	0.590405688358	0.566128143341	0.542172274445	0.574855615871	0.55506879463	0.57383883095	0.587860211326	0.607609051858	0.619905323886	0.515075698286	0.606016076768	0.600641774651	0.597192230627	0.539481700768	0.537235488129	0.52536710373	0.486500095304	0.594200319573	0.699212608761	0.686400214127	0.577317706889	0.598294703109	0.635089004629	0.540476812934	0.566346601495	0.555213030262	0.587137778649	0.568822182243	0.54376959644	0.617506501665	0.444795197456	0.547602227686	0.562023676128	0.720043494677	0.60494357505	0.498204377879	0.659353039573	0.752445283814	0.642670107848	0.641624624982	0.555730559213	0.643713235255	0.630846543036	0.666293741235	0.70177504253	0.720949380679	0.554057422326	0.596922650017	0.62902862194	0.609410411058	0.658470370209	0.579848512644	0.769445982722	0.695215348871	0.670511973763	0.685972940802	0.666654605834	0.749124792842	0.558794373231	0.71828627866	0.56190335014	0.663826941397	0.712118241538	0.671442616619	0.650973166672	0.622384824982	0.66410167126	0.650969883678	0.620400596764	0.616164350806	0.587047124815	0.570137900911	0.590242180563	0.672665397661	0.612464907588	0.575882382483	0.623291115371	0.598172851204	0.663916724868	0.703646801208	0.615272875695	0.632296274538	0.630612281233	0.651937793673	0.546366769113	0.568042455588	0.630143196237	0.666945802962	0.584767832027	0.580878564234	0.603552411521	0.594863881964	0.643545835095	0.588142286733
CS.293	0.48226458782	0.585085784702	0	0.741656942167	0.566520293321	0.662337503622	0.620322934484	0.576399720119	0.605522702749	0.556922058501	0.473214671798	0.611774455252	0.673421591169	0.541555932212	0.53330679123	0.624460315534	0.618316159133	0.666849117831	0.721614384278	0.765499716988	0.561401505641	0.543215254438	0.653550088163	0.674450800457	0.735238415822	0.617652008577	0.584587579039	0.519373221979	0.768269028247	0.569778356856	0.727808032698	0.695408294733	0.681994156767	0.536220793655	0.627946491226	0.51053235831	0.561170218122	0.671477744636	0.694797301816	0.682701162999	0.712689115433	0.694388759264	0.607452496855	0.64506101373	0.5382606355	0.668791677287	0.714322769915	0.676662297419	0.68093108186	0.645094389327	0.673628871517	0.694041559128	0.773653437685	0.65950388959	0.679487215908	0.613538956846	0.716553519456	0.741972200377	0.682515451505	0.658846560033	0.556691422445	0.565205634445	0.645958615158	0.506258439584	0.563356904635	0.57922340812	0.567806528214	0.651224123269	0.521251828496	0.538004321706	0.677201611514	0.685592334254	0.607535153158	0.560230116518	0.512763389542	0.458837986001	0.528723305923	0.51202307305	0.482986892366	0.418511610597	0.438997170802	0.472824376024	0.540431489047	0.499463747236	0.41416843965	0.533020816864	0.489664280305	0.580581962476	0.594100949587	0.54751867422	0.570127835084	0.661989743393	0.696940396582	0.641063429269	0.522016975001	0.588344226986	0.488195425846	0.48552798716	0.466193310336	0.525329367548	0.687009858282	0.56095739727	0.567237725224	0.588893865377	0.563622011286	0.659890291966	0.47608840655	0.656804670511	0.657775802972	0.598085439828	0.695360770909	0.774176261784	0.661800686005	0.618695337657	0.60219896181	0.580270346253	0.622903166198	0.69007642778	0.691998950527	0.786021645266	0.680373245017	0.686493231134	0.614117352843	0.528662795734	0.685349363366	0.684272220861	0.802917629954	0.674675160202	0.661336971122	0.682908745837	0.686395614715	0.763019583743	0.639004085708	0.767773806732	0.552954748308	0.685388218859	0.761344609712	0.678635297557	0.67614614559	0.647667700023	0.683205465107	0.702300227615	0.593834019239	0.644095674209	0.525371900455	0.455203062448	0.511791740471	0.653839013123	0.514291197089	0.470982575536	0.494816615392	0.515355401241	0.593553292295	0.725929768672	0.544954784694	0.583528621142	0.57076112967	0.572500652674	0.443384652829	0.447455437376	0.439225279013	0.481176609709	0.423653917491	0.480008803387	0.486749807545	0.510646188628	0.480464737086	0.488875936542
CS.010	0.709335917352	0.638017309949	0.741656942167	0	0.702244038645	0.689451956204	0.639334948057	0.671545462221	0.684017469105	0.617228861788	0.707683182188	0.665137615328	0.697149921081	0.671240444957	0.696641403588	0.659976846218	0.619612548598	0.714818997818	0.695596159532	0.686736998867	0.728400593338	0.769499522206	0.726420027037	0.744432165969	0.636050864591	0.741776020503	0.640519153662	0.634122551362	0.721630686662	0.663796825723	0.746068113904	0.704026580518	0.722539153965	0.738782518573	0.672898946199	0.740528345123	0.681319612392	0.644656162047	0.715322726509	0.709781505253	0.656238504388	0.646526422808	0.713894447847	0.699350273087	0.729489364671	0.7546039116	0.69203183873	0.716687102438	0.718776334957	0.705901598761	0.722096965006	0.72062626453	0.700698312755	0.727064223982	0.717885673828	0.662997581418	0.720188347202	0.760701319344	0.735538454313	0.719256652158	0.700658154605	0.768499382802	0.679483906641	0.710484659209	0.723955618902	0.726539563514	0.721654650311	0.656221473187	0.726334117532	0.731726276092	0.72486691461	0.750515829399	0.645183407464	0.718310899473	0.720810002085	0.725950931153	0.679193293826	0.740262789299	0.708412807351	0.737574981049	0.731089908636	0.726052287468	0.720563612945	0.687138386155	0.755363534784	0.753117812322	0.738706261832	0.674775831329	0.683910415762	0.709251877702	0.691480561414	0.660251624778	0.725482766482	0.694268231333	0.716318379189	0.688215354581	0.714487374118	0.695789887654	0.70799522807	0.666550058343	0.645522176005	0.702618059443	0.644897393736	0.653211408262	0.649639377231	0.61560313011	0.711898862902	0.758863817797	0.672684999331	0.61914079601	0.682174564822	0.756256365198	0.700166166131	0.713786010478	0.669916933838	0.685463196154	0.728291918374	0.708326103132	0.744994235127	0.737578032687	0.603285553031	0.628939177356	0.712501468626	0.706667188314	0.737236627013	0.621045463225	0.757080428721	0.740330985749	0.707317847651	0.746233768818	0.731607822158	0.764107525742	0.650056715748	0.705168478982	0.718668987539	0.719789980592	0.709458877554	0.706609288239	0.724604595917	0.710977709243	0.682007728795	0.674930918859	0.736178615085	0.718507978108	0.70642163171	0.746763530897	0.700132590961	0.742019610812	0.736886177694	0.725899080493	0.743444384152	0.716749976876	0.738203872448	0.719089503566	0.709302552849	0.751142777761	0.706699975538	0.750304589753	0.738354472716	0.748115100135	0.748393555756	0.728521535125	0.739896432816	0.739843621003	0.730824612613	0.704547181001	0.711356257375	0.722258937926
CS.245	0.589936441907	0.616286553208	0.566520293321	0.702244038645	0	0.611424445388	0.639666701507	0.556293652392	0.593525416232	0.562484399887	0.566863452913	0.67180162531	0.603879893231	0.62653658484	0.553323231414	0.614152275295	0.584907608713	0.638070413449	0.667250519127	0.691016632483	0.600192408031	0.567702031402	0.630443421554	0.639103089596	0.659040987771	0.626320919409	0.552425818237	0.588956737289	0.683820438533	0.592567442178	0.667010957624	0.626572589731	0.628261297061	0.57649850057	0.64035849383	0.561645893278	0.600315040808	0.627187731737	0.608776393383	0.660241379628	0.651906385477	0.619370614737	0.613068254643	0.569575557489	0.5483570838	0.658953847016	0.684159932555	0.669890040906	0.639907119815	0.629379092473	0.643495800261	0.662755413699	0.717791189455	0.62322866129	0.64828097387	0.603021431048	0.664751597092	0.70469353603	0.669284034588	0.647972268561	0.539108480197	0.56754668551	0.56007103222	0.539177165967	0.579601414179	0.543296224504	0.538603947372	0.620975636499	0.513443350664	0.541897243474	0.625966273096	0.620466342017	0.554758330264	0.542235735719	0.561326400947	0.573691268297	0.616325496626	0.624444590599	0.588663612529	0.591055075898	0.528820035182	0.552322473651	0.546164992153	0.580303867371	0.577262965078	0.569095703192	0.544059090055	0.619010834176	0.666947028582	0.647802584501	0.615040905601	0.621278491384	0.629783070292	0.590422044873	0.56996697783	0.585988980302	0.563357182119	0.539199389228	0.580949777652	0.535174458787	0.619858138041	0.602864250413	0.592303794741	0.568401831488	0.598282231994	0.63104628485	0.557109578181	0.589003259334	0.646009683519	0.628507877059	0.647998973842	0.72192389784	0.623583501032	0.557819823251	0.60628717685	0.544781317385	0.591049266449	0.638704700695	0.629408966978	0.691795451456	0.60539560157	0.622187941601	0.585883783485	0.544374522967	0.622195064583	0.616196127561	0.744128296286	0.633264972553	0.612412928372	0.641722109069	0.640248024507	0.708908494907	0.596763902134	0.683498877727	0.574859461884	0.640068338588	0.727249385162	0.645149889173	0.65907355061	0.619479517207	0.626284132889	0.636571296825	0.587532873781	0.636039918931	0.52619114946	0.581718840683	0.54141794112	0.61883814636	0.513133717842	0.581576272554	0.549394721371	0.552461584437	0.533892113095	0.674017998252	0.535073161706	0.560478540773	0.54615210201	0.529124179642	0.570629594229	0.577621981157	0.538640720879	0.531778518221	0.584214780792	0.559571715164	0.563456983781	0.514737046035	0.497322240392	0.530010968929
CS.260	0.67014894103	0.627975458236	0.662337503622	0.689451956204	0.611424445388	0	0.619235684864	0.599186164696	0.60829989864	0.635692807271	0.623578240713	0.666256045771	0.531167074658	0.649960209094	0.616917280882	0.624901095023	0.63743293352	0.53288735932	0.611867770007	0.621281048629	0.565356734692	0.564358764699	0.544311644401	0.537415081117	0.63172811031	0.530641656249	0.637943724038	0.64413670315	0.632318131271	0.649834337467	0.619158937072	0.563997530404	0.510997819574	0.611274157219	0.568868383081	0.59841714433	0.590410870465	0.548223909469	0.506692760779	0.566759811386	0.632727743391	0.568762011586	0.580398814682	0.57966629134	0.574418924756	0.536736602979	0.647996377368	0.598202799552	0.526916011073	0.578573223997	0.551645824872	0.591001557847	0.60856775813	0.605064471155	0.535123902101	0.605256689911	0.587369997801	0.631398362065	0.569378131911	0.542942465755	0.590781071499	0.544911983371	0.600820292726	0.616773933972	0.585660191619	0.550026708248	0.577625314218	0.590719603475	0.575366695889	0.593040667139	0.523734242707	0.64565138156	0.622901399759	0.595679375413	0.619279100695	0.646009098502	0.642696167134	0.635399346011	0.633217473664	0.653009582557	0.638092401515	0.618747984705	0.582626152073	0.625002900599	0.670661796011	0.614138217404	0.61257150291	0.639167052927	0.655952939558	0.63923130359	0.613148668724	0.593148022039	0.620327298176	0.673730294405	0.606537215707	0.60278054373	0.665685254847	0.597248380922	0.653920030758	0.610524266829	0.601885963987	0.62189834586	0.624252523422	0.632613634289	0.605680199194	0.595807973547	0.607522392489	0.604719084126	0.568042260964	0.655580463153	0.597622066409	0.633329086555	0.524733278005	0.542404000448	0.564640541086	0.612180460365	0.544085411905	0.513147267995	0.554810451069	0.65945858296	0.571581240713	0.596392235014	0.538342757866	0.616510182546	0.547673751741	0.577516835934	0.68947204099	0.571655220142	0.593827058816	0.552501895743	0.514035351848	0.591354057865	0.590126704134	0.611692058104	0.565526642113	0.560016790122	0.616630543067	0.547630770139	0.544788568389	0.540837468473	0.574274137475	0.62237146505	0.559218159724	0.557549657894	0.603386472479	0.633570357405	0.604543651466	0.564377548882	0.606427072807	0.663574142647	0.620662342198	0.601777835082	0.567658933388	0.613396036904	0.596806180569	0.578866318016	0.617085916196	0.572974953956	0.618957307215	0.639427594239	0.63319713624	0.639487946026	0.654895262054	0.613325477607	0.590299476357	0.63192404025	0.651835461773	0.592947726278
CS.002	0.607546408235	0.526127563809	0.620322934484	0.639334948057	0.639666701507	0.619235684864	0	0.541882534634	0.56199051453	0.550024724184	0.589045809094	0.57079752775	0.605482714008	0.547148061193	0.546409454574	0.552006438352	0.524238958013	0.587349269427	0.594003578209	0.67675287401	0.571539139587	0.612389759583	0.599666859089	0.649279717884	0.60046926467	0.614240861474	0.624672563973	0.534106414925	0.71073820709	0.566943411252	0.722092693838	0.647874842138	0.645011148731	0.621352394916	0.537537188135	0.622422281919	0.528161440537	0.540183713306	0.638443965427	0.623215631076	0.653121324605	0.550624870786	0.587967992893	0.641772848935	0.597019873426	0.619650916204	0.663280897818	0.576960609249	0.631228587903	0.603822274213	0.608468339246	0.667717057486	0.657017674837	0.638666607789	0.615882358761	0.581788581239	0.595539913685	0.707150051703	0.612335028066	0.599912939757	0.607925681778	0.616405263849	0.611653820956	0.603343491062	0.59809358149	0.642587198681	0.630112425889	0.549027221158	0.635134341552	0.606507314921	0.627228926927	0.730932497604	0.596751648633	0.601233465068	0.636957653081	0.62542285384	0.602143885553	0.640243272483	0.625417357162	0.640521922554	0.625615935013	0.623988391663	0.623051793076	0.589786042478	0.653386130347	0.613466973969	0.614303380049	0.580454658117	0.599859870905	0.606953320644	0.549525353994	0.566082384732	0.712012447067	0.673119645485	0.570775162882	0.602510728987	0.669808094136	0.595850220489	0.591141933146	0.581377398972	0.549684550355	0.579576238892	0.532246825488	0.623138484401	0.504923497184	0.540795905279	0.604899365013	0.68702717386	0.570166033127	0.555030269042	0.641564240858	0.732752362375	0.618594991981	0.62737554496	0.561293239314	0.645216205045	0.617166514879	0.616171881255	0.668129080969	0.695866434256	0.53746100743	0.581083598544	0.592041344858	0.616173501572	0.617857735285	0.542323342106	0.74497165279	0.656114242067	0.678322920088	0.633312030066	0.630935443127	0.722115966978	0.554946905397	0.666838711827	0.589188837521	0.598180692888	0.694409050447	0.624162794255	0.605682861714	0.637427156468	0.661815994858	0.611944070507	0.625993811116	0.604550083115	0.609607400625	0.629540583368	0.611312029274	0.662589599593	0.641819424945	0.639701328873	0.61607241442	0.604686385495	0.66965463631	0.71669450696	0.637087048222	0.619514177583	0.65580091013	0.665823532979	0.632694537478	0.623842209927	0.646214848989	0.678370926429	0.632551417734	0.640995276117	0.61991504957	0.636414773522	0.653264828193	0.619531234336
CS.104	0.528246671864	0.565613824216	0.576399720119	0.671545462221	0.556293652392	0.599186164696	0.541882534634	0	0.561109217517	0.53455355057	0.565319041751	0.579524170728	0.563392646951	0.560257769643	0.506621681573	0.537445494589	0.523915452696	0.602273683531	0.625861815716	0.697732951043	0.533479791531	0.545985503747	0.597812439566	0.659936899404	0.619935898372	0.589936701484	0.568103315446	0.529120735251	0.702079429582	0.53965278847	0.690383114291	0.619643560331	0.614296060449	0.533854423721	0.542254403395	0.53733755415	0.540166800314	0.546277378539	0.604793507429	0.651198266375	0.653514594952	0.607712261333	0.536969229524	0.565062115136	0.534794219745	0.601399267084	0.682645818609	0.628152761991	0.608055447628	0.591308122865	0.602797307168	0.656798362649	0.704303854667	0.606117758215	0.623402333309	0.588491391829	0.646039279783	0.685199623362	0.625712606154	0.602492942391	0.547912763592	0.571635669032	0.601863411267	0.527172503491	0.534391323679	0.568393056125	0.537064142728	0.57920726439	0.545250266757	0.54461703484	0.612392123226	0.672590263902	0.581994862781	0.54924240781	0.524936115163	0.545491946987	0.599075321305	0.602423822896	0.571854735958	0.571557724616	0.549793695456	0.591781351672	0.549655914168	0.559788395538	0.582626040898	0.558143127305	0.545511232088	0.569920155422	0.612928546721	0.595949578034	0.536394659477	0.589614623974	0.647033262825	0.592113394636	0.542225308562	0.555768990376	0.575109997849	0.535499214573	0.523528787625	0.511456600884	0.585713038944	0.518924241855	0.534515225628	0.538232398926	0.523258399037	0.54910047932	0.544888865241	0.61373171919	0.607779696188	0.571618197333	0.65166358171	0.725613922649	0.591700278953	0.560458318685	0.572933293278	0.543710360389	0.586129668772	0.617333641405	0.645948728735	0.674442393708	0.575076773746	0.574708235268	0.57227713251	0.511641097573	0.622977153599	0.571482883887	0.728552164422	0.628950086549	0.609383904107	0.605091491961	0.614827097757	0.723154900087	0.534249890106	0.63602198442	0.520785684392	0.601408479458	0.706087460489	0.634022430258	0.610444092809	0.61116830764	0.639063534905	0.606200688848	0.553479008705	0.589918219432	0.562909051102	0.547024486173	0.527451867293	0.635700398837	0.543798436209	0.558874619904	0.548950426477	0.539242227706	0.600180740071	0.699852243296	0.566031329661	0.562418081519	0.573425063043	0.564662769002	0.551256972999	0.556559580248	0.572793305878	0.578241396669	0.587214978246	0.532025591414	0.541180998539	0.567445680912	0.575343796878	0.526553287032
CS.143	0.569476799212	0.584073067729	0.605522702749	0.684017469105	0.593525416232	0.60829989864	0.56199051453	0.561109217517	0	0.579242241021	0.560217326799	0.581635923541	0.569093861881	0.579331489932	0.552402869661	0.579824208086	0.578873659116	0.592830208137	0.605303668748	0.702316601804	0.589769006629	0.593949321687	0.602180326858	0.645964996562	0.624155650841	0.588263975392	0.611885346186	0.583814897069	0.685582437149	0.590775449114	0.685035377224	0.626716135258	0.624732721354	0.600707330073	0.562790278278	0.584991478615	0.554899981273	0.585470116585	0.609236318858	0.643759330851	0.676179837869	0.619968087739	0.578152075919	0.608652726269	0.572440922412	0.605514810165	0.680212952431	0.635709812932	0.607315976456	0.590275775142	0.613649476998	0.638739508423	0.684439933499	0.628664607557	0.621679407797	0.604223414176	0.675940942575	0.68487298148	0.631573443297	0.63257282964	0.566787512192	0.595196729978	0.617454118689	0.564845992762	0.578950872793	0.601397133226	0.597145422085	0.629440369614	0.597651233435	0.578476529229	0.618779559394	0.693025447573	0.62879826203	0.6037131722	0.599742086345	0.596552146054	0.616997384797	0.595079676129	0.582692469374	0.613788448129	0.591983379952	0.611605643602	0.574562888166	0.592557411455	0.609737279373	0.575135803683	0.595683696655	0.598056995794	0.631240906152	0.588622371902	0.586364204813	0.576258521545	0.656414022342	0.642079040353	0.573848275574	0.552814781555	0.611255107138	0.558918045956	0.568205575416	0.538704225787	0.592484913242	0.537264167648	0.55224460121	0.615632607843	0.469716208634	0.579878656792	0.609132006185	0.668315977763	0.609470840566	0.584039049829	0.630598306165	0.729188288766	0.612095399474	0.589036136935	0.566088325937	0.617866594199	0.601142022931	0.630312389293	0.643033461572	0.681443395152	0.602192044735	0.610142036691	0.595736931316	0.59577743412	0.612808533153	0.583650997317	0.733400099999	0.628123749198	0.641798137089	0.61096026738	0.61525350748	0.715803066207	0.578221973394	0.657668875437	0.566251623708	0.632712446651	0.708885957662	0.622025465529	0.608451182222	0.623392361507	0.624936023256	0.654504711957	0.607470893604	0.595721656854	0.595766606447	0.583596118282	0.565169085275	0.621304215482	0.591252171354	0.592396219901	0.62282093762	0.589885428396	0.624466484115	0.689277455945	0.613656019243	0.594320053734	0.616572747009	0.606461903207	0.583994077303	0.5967031761	0.605284267555	0.635306717067	0.608526341551	0.577155158703	0.568942947461	0.606844014458	0.62502585565	0.59071812923
CS.035	0.534945069783	0.546553755128	0.556922058501	0.617228861788	0.562484399887	0.635692807271	0.550024724184	0.53455355057	0.579242241021	0	0.536466304914	0.571699867384	0.616290049813	0.534329137898	0.550807168097	0.546378791906	0.559559558066	0.624624571971	0.66224770691	0.721897786187	0.572014061431	0.578240492211	0.632098956719	0.66201705365	0.635343092729	0.61777191343	0.573959469693	0.513006254106	0.728329646749	0.56108463287	0.702336543017	0.632917191837	0.660620534074	0.583941770649	0.548314762985	0.579745412813	0.502843517644	0.548350623564	0.648086914977	0.670800575675	0.658141725416	0.590388477158	0.596294021449	0.58971409722	0.556682074529	0.6522940409	0.691879223145	0.630690437957	0.651865461186	0.608271919801	0.63992219799	0.683010719228	0.70783091667	0.61811548853	0.647966089055	0.586452975456	0.657247977811	0.715514519971	0.669685900364	0.630530480126	0.591487201531	0.59750234496	0.581941236845	0.531241219416	0.557486775984	0.575983491654	0.570087507206	0.583417275178	0.561872925661	0.582673296882	0.623756181167	0.666413229027	0.570737181306	0.561784972365	0.566232941706	0.560206637409	0.581955422517	0.600751287603	0.572824826654	0.568788991186	0.565724719856	0.563502713476	0.578657326179	0.529239696313	0.579632667856	0.609961302973	0.55057273778	0.586957822605	0.609573125715	0.616179412273	0.534680830275	0.623617071732	0.670775971652	0.636671376179	0.559874182059	0.601485809436	0.594638949192	0.541929453289	0.547564754737	0.528613002027	0.585570085335	0.584297455783	0.526375929292	0.575327219738	0.519633458712	0.573476167053	0.536094582609	0.6411754443	0.617864961447	0.526762898768	0.638176071869	0.755056677111	0.61113925433	0.594711465718	0.5677993625	0.567769782228	0.588463972803	0.636858624251	0.665707576627	0.723649775409	0.571048007016	0.580431192962	0.606914122658	0.557251779465	0.640681996517	0.59691795459	0.759162325558	0.662144283877	0.631302746988	0.655064552921	0.646509622995	0.746895122853	0.562231375134	0.691696640646	0.552893623168	0.646956021376	0.704437279678	0.636689088356	0.654030340508	0.63106618925	0.647378385283	0.628711760532	0.595619890681	0.621918376958	0.563545502311	0.558063400203	0.552642297014	0.645685693245	0.566171793169	0.564453403721	0.556418901102	0.576229916307	0.618030642288	0.71810566686	0.571249995377	0.601442370274	0.587422791822	0.59190265617	0.542076566219	0.566461362685	0.575722877378	0.605154529572	0.561156686757	0.564063948001	0.548485539773	0.571197358074	0.580254792617	0.540197982585
