g__Methanobrevibacter	k__Bacteria	g__Actinomyces	g__Bifidobacterium	g__Corynebacterium	g__Olsenella	f__Coriobacteriaceae	g__Collinsella	g__Senegalimassilia	f__Eggerthellaceae	g__Eggerthella	g__Enterorhabdus	g__Gordonibacter	g__Slackia	f__Bacteroidaceae	g__Bacteroides	f__Barnesiellaceae	g__Barnesiella	f__Muribaculaceae	g__Butyricimonas	g__Odoribacter	f__Prevotellaceae	g__Massiliprevotella	g__Paraprevotella	g__Prevotella	g__Prevotellamassilia	f__Rikenellaceae	g__Alistipes	f__Tannerellaceae	g__Parabacteroides	f__Sphingobacteriaceae	g__Elusimicrobium	p__Firmicutes	f__Bacillaceae	f__Thermoactinomycetaceae	g__Granulicatella	g__Enterococcus	g__Lactobacillus	g__Weissella	g__Lactococcus	g__Streptococcus	o__Clostridiales	g__Colidextribacter	g__Flavonifractor	g__Flintibacter	g__Howardella	g__Intestinimonas	g__Pseudoflavonifractor	f__Clostridiaceae	g__Butyricicoccus	g__Clostridium	g__Hungatella	f__Clostridiales.Family.XIII..Incertae.Sedis	g__Ihubacter	g__Mogibacterium	f__Defluviitaleaceae	f__Eubacteriaceae	g__Eubacterium	f__Gracilibacteraceae	f__Lachnospiraceae	g__Anaerosporobacter	g__Anaerostipes	g__Blautia	g__Butyrivibrio	g__Coprococcus	g__Cuneatibacter	g__Dorea	g__Eisenbergiella	g__Faecalicatena	g__Fusicatenibacter	g__Hespellia	g__Lachnobacterium	g__Lachnoclostridium	g__Lachnospira	g__Muricomes	g__Parasporobacterium	g__Pseudobutyrivibrio	g__Robinsoniella	g__Roseburia	g__Tyzzerella	f__Oscillospiraceae	g__Oscillibacter	f__Peptococcaceae	g__Peptococcus	f__Peptostreptococcaceae	g__Intestinibacter	g__Paeniclostridium	g__Romboutsia	g__Terrisporobacter	f__Ruminococcaceae	g__Acutalibacter	g__Caproiciproducens	g__Drancourtella	g__Faecalibacterium	g__Gemmiger	g__Negativibacillus	g__Ruminiclostridium	g__Ruminococcus	g__Sporobacter	g__Subdoligranulum	f__Erysipelotrichaceae	g__Catenibacterium	g__Coprobacillus	g__Erysipelatoclostridium	g__Holdemanella	g__Holdemania	g__Longibaculum	g__Turicibacter	g__Phascolarctobacterium	g__Megamonas	g__Mitsuokella	g__Propionispira	g__Allisonella	g__Dialister	g__Megasphaera	g__Veillonella	g__Fusobacterium	o__Victivallales	f__Victivallaceae	g__Victivallis	c__Alphaproteobacteria	f__Kiloniellaceae	g__Delftia	g__Oxalobacter	g__Duodenibacillus	g__Parasutterella	g__Sutterella	f__Desulfovibrionaceae	g__Desulfovibrio	f__Succinivibrionaceae	g__Succinivibrio	o__Enterobacterales	f__Enterobacteriaceae	g__Haemophilus	f__Spiroplasmataceae	g__Akkermansia
CS.101	0.00108764297242299	0.000105255771524805	0.000350852571749351	0.00417514560381728	0.000105255771524805	0.00750824503543611	0.00298224685986948	0.0356115360325591	0.00754333029261104	0.00112272822959792	0	0.0111921970388043	0	0.00182443337309662	0.00119289874394779	0.0148410637849975	0	0	0.000842046172198442	0.000526278857624026	0.000350852571749351	0.0153322573854466	0.00136832502982247	0	0.261736018525016	0.0414707739807733	0.000596449371973897	7.01705143498702e-05	0.00280682057399481	3.50852571749351e-05	0.00712230720651182	3.50852571749351e-05	7.01705143498702e-05	0.000175426285874675	0.00252613851659533	0.00014034102869974	7.01705143498702e-05	0.00635043154866325	0.000806960915023507	0	0.0014034102869974	0.0177180548733422	0.000210511543049611	0	0.00375412251771805	0.000526278857624026	0.000842046172198442	0.000105255771524805	0.00308750263139429	0.00273665005964494	0.0317872430004912	0.00775384183566066	0.000385937828924286	0.00112272822959792	0.00375412251771805	7.01705143498702e-05	0.00178934811592169	0.0442775945547681	0.000175426285874675	0.0101747245807312	7.01705143498702e-05	0.000350852571749351	0.0458915163848151	0.00705213669216195	0.0216826889341099	0	0.0103852361237808	0	0.00014034102869974	0.00178934811592169	0.000596449371973897	0.000105255771524805	0.00982387200898183	0.0039997193179426	0.000701705143498702	0	0.000280682057399481	0.000456108343274156	0.0146656374991229	0.000982387200898183	0.0019998596589713	0.00385937828924286	0.000315767314574416	0	3.50852571749351e-05	0.000245596800224546	0	0.0279278647112483	0	0.0285944845975721	0.000315767314574416	0.000175426285874675	0	0.0316469019717915	0.0263490281383763	0.00126306925829766	0.0074029892639113	0.0666619886323767	0.00298224685986948	0.000421023086099221	0.00270156480247	0.0146305522419479	0	0	0.00764858606413585	0	0	0	0.00175426285874675	0	0	0	0.000315767314574416	0.0258227492807522	0.00105255771524805	0.000175426285874675	0	0.000491193600449091	0.000631534629148832	0.000175426285874675	0	0	0	0	0.030804855799593	0	0.00908708160830819	0.00014034102869974	0.00449091291839169	0	0	0.00182443337309662	0.00182443337309662	0.0019998596589713	0	0
CS.084	0.00287491752285795	0.00254500895466114	0.000565557545480253	0.00183806202281082	4.71297954566877e-05	4.71297954566877e-05	0.00160241304552738	0.0131963427278726	0.0148458855688566	0.000141389386370063	0.000141389386370063	0.00386464322744839	0	0.00405316240927514	0.00197945140918088	0.0474125742294278	0.000989725704590442	0.000188519181826751	0.00278065793194458	0.000424168159110189	0.00395890281836177	0.0405316240927514	0	0.000282778772740126	0.108351399754925	0.00278065793194458	0.000282778772740126	0.00410029220473183	0.000188519181826751	0.00433594118201527	0	0	0.00607974361391272	0	0.00240361956829107	0.000141389386370063	4.71297954566877e-05	0.00160241304552738	0.000565557545480253	4.71297954566877e-05	0.00706946931850316	0.0178621924780846	0.00150815345461401	0.000188519181826751	0.00664530115939297	0.000235648977283439	0.00131963427278726	9.42595909133754e-05	0.00890753134131398	0.00141389386370063	0.0286549156376661	0.0103685550004713	0.000706946931850316	0.000989725704590442	0.00287491752285795	0.000801206522763691	0.00570270525025921	0.0589122443208596	0.000282778772740126	0.0378923555471769	4.71297954566877e-05	0.00146102365915732	0.0388820812517674	0	0.0255914789329814	0	0.011923838250542	0	0.000235648977283439	0.0106984635686681	0.000659817136393628	0.000471297954566877	0.0122066170232821	0.00212084079555095	0.00150815345461401	0.000471297954566877	4.71297954566877e-05	0.000989725704590442	0.0269582430012254	0.00113111509096051	0.00183806202281082	0.0108869827504949	0.000141389386370063	0	0	0.0127250447733057	9.42595909133754e-05	0.0583466867753794	0.00127250447733057	0.0187576585917617	0.000989725704590442	0.000471297954566877	0.000141389386370063	0.0557074182298049	0.00626826279573947	0.00207371100009426	0.00127250447733057	0.0609859553209539	0.00476010934112546	0.00113111509096051	0.0113111509096051	0.00584409463662928	4.71297954566877e-05	0	0.017060985955321	0	9.42595909133754e-05	0.0697992270713545	0.0215383165237063	0.000188519181826751	4.71297954566877e-05	0.000235648977283439	9.42595909133754e-05	9.42595909133754e-05	0	0.000141389386370063	0.00179093222735413	9.42595909133754e-05	0	0.00235648977283439	0	0	0	9.42595909133754e-05	4.71297954566877e-05	0.00061268734093694	0.0122537468187388	0.000188519181826751	0.0034404750683382	0	9.42595909133754e-05	0.0019323216137242	0.0019323216137242	0.000659817136393628	0.000895466113677067	0.00197945140918088
CS.293	0	0.00110826271423614	0.000111945728710721	0.000537339497811461	5.59728643553605e-05	0.00222772000134335	0.00381734934903559	0.0131088448320254	0.00251877889599122	6.71674372264326e-05	0	0.00273147578054159	0	0.000750036382361831	0.00183590995085583	0.00668316000403005	0.00185829909659797	0	0.00085078753820148	1.11945728710721e-05	2.23891457421442e-05	0.016299298100281	0.000347031759003235	0	0.242194584065645	0.0460768619373328	0	3.35837186132163e-05	0.00108587356849399	0.000246280603163586	0.0132431797064783	0.000223891457421442	1.11945728710721e-05	1.11945728710721e-05	0.00154485105620795	0	0	0.0159634609141488	0	0	0.00130976502591544	0.0221540597118517	0.00210457969976156	3.35837186132163e-05	0.00207099598114834	0.000403004623358596	0.000201502311679298	0.000145529447323937	0.000380615477616452	0.00142171075462616	0.00940344121170057	0.00236205487579621	0.00069406351800647	0.000817203819588264	0.00106348442275185	0.00114184643284935	0.000257475176034658	0.0197024482530869	4.47782914842884e-05	0.0201614257408009	0.000447782914842884	0.000235086030292514	0.0219973356916567	0	0.0183590995085583	2.23891457421442e-05	0.00555250814405176	1.11945728710721e-05	2.23891457421442e-05	0.00207099598114834	0.000201502311679298	1.11945728710721e-05	0.00634732281789788	6.71674372264326e-05	0.000190307738808226	0	0	0.000167918593066082	0.057439353401471	0.000705258090877543	0.00127618130730222	0.0025299734688623	0.000223891457421442	0	8.95565829685768e-05	0.000347031759003235	0	0.0454499658565527	7.83620100975047e-05	0.0056196755812782	6.71674372264326e-05	0.000179113165937154	0	0.0313336094661308	0.00441066171120241	4.47782914842884e-05	3.35837186132163e-05	0.0163328818188942	0.00339195557993485	0.000861982111072552	0.0129185370932172	0.0148887819185259	0	5.59728643553605e-05	0.00335837186132163	0	3.35837186132163e-05	0.000235086030292514	0.0285461608212339	0	0	0.0336508860504427	0.000973927839783273	0.0281879344893596	0	4.47782914842884e-05	3.35837186132163e-05	0	0.00143290532749723	0	0	0	0	0	0.0203965117710934	0	0.013511849455384	0.000179113165937154	0.00138812703601294	0.000436588341971812	0.128659226007232	0.000302253467518947	0.000190307738808226	3.35837186132163e-05	7.83620100975047e-05	0
CS.010	0.00313873195229127	0.0155367231638418	0	0	0	0	0	0.0191462649089768	0.00392341494036409	0	0	0	0	0	0.00282485875706215	0.040646578782172	0	0.00156936597614564	0.00109855618330195	0.00266792215944758	0	0.00706214689265537	0	0	0.103421217827997	0.00894538606403013	0.000313873195229127	0.00847457627118644	0	0.00721908349026993	0.00156936597614564	0	0	0	0.00564971751412429	0	0	0.0130257376020088	0	0	0.00282485875706215	0.014752040175769	0	0	0.0127118644067797	0	0	0	0.000627746390458255	0.00188323917137476	0.0091023226616447	0.00894538606403013	0	0.00455116133082235	0.00235404896421846	0.00125549278091651	0.00486503452605147	0.0277777777777778	0	0.00894538606403013	0	0.000156936597614564	0.0409604519774011	0.00627746390458255	0.0152228499686127	0	0.0128688010043942	0	0	0.00627746390458255	0.00266792215944758	0	0.0160075329566855	0.00156936597614564	0.00109855618330195	0	0	0	0.0139673571876962	0.00612052730696798	0	0.00706214689265537	0	0	0	0	0	0.0069052102950408	0.000941619585687382	0.0106716886377903	0.00204017576898933	0	0	0.054300062774639	0.008631512868801	0.000313873195229127	0	0.0376647834274953	0.00486503452605147	0	0.00706214689265537	0.00235404896421846	0	0.00141242937853107	0.0145951035781544	0.00109855618330195	0	0	0.0100439422473321	0	0.00470809792843691	0.00360954174513497	0	0.00470809792843691	0.000627746390458255	0	0.00266792215944758	0	0	0	0	0	0.00973006905210295	0	0	0.00156936597614564	0.00816070307595731	0.000156936597614564	0.00109855618330195	0	0.0034526051475204	0.0357815442561205	0.0034526051475204	0	0.219711236660389	0.0230696798493409
CS.245	0	0	0.000221655768591378	0.000277069710739222	5.54139421478444e-05	5.54139421478444e-05	0	0.0668846281724482	5.54139421478444e-05	0	0.00108057187188297	0.00169012523550925	0	2.77069710739222e-05	0.00640031031807603	0.0279840407846614	2.77069710739222e-05	0	0	0	0.00207802283054416	0.000304776681813144	0	0	0.341626953341461	0.0760556355979164	0	5.54139421478444e-05	0	0.00648343123129779	0	0	0.000997450958661199	0	5.54139421478444e-05	0.000110827884295689	8.31209132217666e-05	0.000221655768591378	2.77069710739222e-05	2.77069710739222e-05	0.00155159038013964	0.0144353319295135	0.000138534855369611	0.000692674276848055	0.00462706416934501	5.54139421478444e-05	0.000858916103291588	0.000471018508256677	0	0.00504266873545384	0.0019949019173224	0.00338025047101851	0	8.31209132217666e-05	0.000637260334700211	0	0.000637260334700211	0.0120248254460822	0	0.00892164468580295	2.77069710739222e-05	0.00088662307436551	0.0655824005319738	0	0.0113044441981603	8.31209132217666e-05	0.00559680815693228	0	8.31209132217666e-05	0.000443311537182755	0.000304776681813144	0	0.0141859691898482	0.000166241826443533	0.00202260888839632	0	0	0	0.00875540285935941	8.31209132217666e-05	0.0032417156156489	0.0185913775906018	0	0	2.77069710739222e-05	0.0076194170453286	0	0.00088662307436551	0.00121910672725258	0.00900476559902471	0	0	0	0.12171672392774	0.00637260334700211	0.00152388340906572	0.000110827884295689	0.0127174997229303	0.00631718940485426	0.00177324614873102	0.00146846946691788	0.000471018508256677	0	0.00116369278510473	0.00504266873545384	0	0	0.0169012523550925	0.034883076582068	2.77069710739222e-05	0	0	0	0.000166241826443533	0	8.31209132217666e-05	0.000110827884295689	0	0	0	0	0	5.54139421478444e-05	0	0.0207248143632938	0	5.54139421478444e-05	0	0.000110827884295689	2.77069710739222e-05	0.00288152499168791	0.000554139421478444	0.0247423251690125	0.000443311537182755	0	2.77069710739222e-05
CS.260	0.00023248605083695	0.0203037817730936	0.000271233725976441	0.00550216986980781	0.000174364538127712	0.000484345939243645	0.000716831990080595	0.0312887476751395	0	0.00154990700557967	0.00122055176689399	0.000891196528208308	0	0	0.000348729076255425	0.346326720396776	0	0	0.00685833849969002	0.00118180409175449	0.00377789832610043	0.00583152510849349	0	0	0.000910570365778053	9.68691878487291e-05	0	0.00817575945443273	0	0.00420412275263484	0	0	5.81215127092374e-05	0	0	0.000116243025418475	0	0.00263484190948543	0	1.93738375697458e-05	0.0027898326100434	0.0155571915685059	9.68691878487291e-05	0.000309981401115933	0.00213112213267204	0	0.00164677619342839	5.81215127092374e-05	0.000368102913825171	0.00125929944203348	0.00238298202107874	0.00470784252944823	0.000193738375697458	0.000736205827650341	0	0	0.00060058896466212	0.0350666460012399	0	0.00844699318040918	0.000135616862988221	0.00862135771853689	0.0465940793552387	0	0.0276464662120273	0	0.00736205827650341	1.93738375697458e-05	0.000193738375697458	0.00825325480471172	0.000716831990080595	0	0.00953192808431494	0.00519218846869188	3.87476751394916e-05	0	0	0	0.0309012709237446	0.00257672039677619	0.00337104773713577	0.00610275883446993	0	0.000290607563546187	0	0.000445598264104154	0	0.000581215127092374	0.000213112213267204	0.00435911345319281	0.000154990700557967	0.000406850588964662	0	0.145051921884687	0.00585089894606324	5.81215127092374e-05	0.0178239305641661	0.0760423124612523	0.0043978611283323	0.00629649721016739	0	1.93738375697458e-05	0	0.00193738375697458	0.0332261314321141	3.87476751394916e-05	0	0.000135616862988221	0.00120117792932424	0	0	0	0	0.00205362678239306	5.81215127092374e-05	0.0004649721016739	0.000891196528208308	0	1.93738375697458e-05	0.000445598264104154	0	0	0	5.81215127092374e-05	0.00732331060136392	0.000116243025418475	0.0004649721016739	0.000309981401115933	0.00112368257904526	0	0.000406850588964662	0.000116243025418475	0.00104618722876627	0.000154990700557967	0.00100743955362678	0.00478533787972722
CS.002	0	0.001495034350194	0.000427152671484	0.00658527035204499	0.003524009539743	7.11921119139999e-05	3.5596055957e-05	0.00516142811376499	0.000213576335742	0.00035596055957	0.000640729007225999	0.000177980279785	0.000284768447656	0.001815398853807	0.000569536895311999	0.149183070515787	0	7.11921119139999e-05	0.000320364503613	0.002918876588474	0.000427152671484	0.004164738546969	0.000462748727441	0	0.0569892855871569	0.002562916028904	0	0.015199515893639	7.11921119139999e-05	0.00793792047841099	0	0	0.000106788167871	0.000213576335742	0.00740397963905599	0	0	0.000996689566795999	0	0	0.001744206741893	0.033353504431709	7.11921119139999e-05	0.000106788167871	0.000854305342967999	0	0.001708610685936	0.000249172391699	0.024774854946072	0.001317054070409	0.004378314882711	0.00751076780692699	0.00035596055957	0.002740896308689	0	0.000747517175096999	0.000783113231053999	0.049905670451714	0.000320364503613	0.00904139821307799	0	0.00822268892606699	0.0621863097568789	0.002171359413377	0.051863453529349	0.000177980279785	0.015128323781725	0.000177980279785	0.00035596055957	0.00569536895311999	0.000640729007225999	0.000391556615527	0.016196205460435	0.002669704196775	0	0.003239241092087	0	0.000177980279785	0.0427152671484	0.003346029259958	0.002028975189549	0.010572028619229	3.5596055957e-05	0	0	0.001922187021678	0	0.00886341793329299	0.000320364503613	0.013775673655359	0.000106788167871	0.000391556615527	0.000177980279785	0.0813369878617449	0.014380806606628	0.002028975189549	0.00569536895311999	0.178478624568398	0.003737585875485	0.001673014629979	0.00537500444950699	0.001317054070409	0	0	0.003381625315915	7.11921119139999e-05	3.5596055957e-05	0.000249172391699	0.018367564873812	0	0	7.11921119139999e-05	0	0.001708610685936	0	0.000106788167871	7.11921119139999e-05	3.5596055957e-05	0.000391556615527	0	0	0.000676325063182999	0	7.11921119139999e-05	0.000462748727441	0	0.001281458014452	0	0.000711921119139999	0	0	0.000783113231053999	0.001744206741893	0.000142384223828	0.001174669846581	0.00035596055957
CS.104	0	0.00010512207300728	0.000840976584058238	0.0268324091351081	5.25610365036399e-05	0.00727970355575412	0.00215500249664923	0.139996320727445	0.0267272870621009	0.00199731938713831	0	0.00722714251925048	0	0.00559775038763764	0.00249664923392289	0.00854116843184148	0	2.62805182518199e-05	0.0106173293737352	0	0.000630732438043678	0.00310110115371475	5.25610365036399e-05	0	0.202727917794539	0.000683293474547318	0	0.00136658694909464	0	0.00312738167196657	0.0147170902210192	0	2.62805182518199e-05	0	0.00315366219021839	7.88415547554598e-05	2.62805182518199e-05	0.00722714251925048	2.62805182518199e-05	2.62805182518199e-05	0.00283829597119655	0.0121941604688444	0	0	0.00323250374497385	0	0.000551890883288218	0.000210244146014559	0.00152427005860556	0.00407348032903209	0.0605240335339413	0.00365299203700297	0.000946098657065517	0.00149798954035374	0.00446768810280939	0	0.00638616593519224	0.0529289637591653	0.000262805182518199	0.0156369083598329	0.0001314025912591	0.000788415547554598	0.0521668287298626	0	0.0141126383012273	0	0.00475677380357941	0	0.000289085700770019	0.00333762581798113	0.000289085700770019	0.00015768310951092	0.00370555307350661	0.000604451919791858	0.00010512207300728	0.000289085700770019	0	0.000893537620561878	0.0272528974271373	0.000709573992799138	0.00152427005860556	0.0073848256287614	0.000657012956295498	0.000972379175317337	2.62805182518199e-05	0.00010512207300728	0	0.0405245591443063	0	0.00730598407400594	0.000446768810280939	0.000262805182518199	0	0.061732937373525	0.00846232687708602	0.000840976584058238	0.00507214002260125	0.0393419358229744	0.00360043100049933	0.00270689337993745	0.00333762581798113	0.000499329846784579	0	0	0.0101705605634543	0	0	0.000919818138813697	0.000289085700770019	0	2.62805182518199e-05	0.000183963627762739	0	0.0159522745788547	0	0.000525610365036398	2.62805182518199e-05	0	0	0	0	0	0	0.00010512207300728	0.00678037370896954	0	0.0135081863814354	0.00010512207300728	0.00423116343854301	0	0	0.000499329846784579	0.000446768810280939	0.000499329846784579	0.00015768310951092	0.00223384405140469
CS.143	0	0.000239678830367308	0.000958715321469231	0.00164779195877524	8.98795613877404e-05	0.000838875906285577	0.00500329558391755	0.0527593025346036	0.00802924081730481	0.00122835400563245	0	0.00161783210497933	0	0.00218706932710168	5.99197075918269e-05	0.0577026784109294	0	0.000359518245550962	0.0128827371322428	0.0022170291808976	0	0.0100665108754269	0	2.99598537959135e-05	0.0473365689975433	0	0.00137815327461202	0.00194739049673438	2.99598537959135e-05	0.00320570435616274	0	0	2.99598537959135e-05	0	0.00320570435616274	0.000239678830367308	0.000329558391755048	0.00611181017436635	2.99598537959135e-05	0.00308586494097909	0.00341542333273414	0.030109653064893	0.000179759122775481	0.000359518245550962	0.00302594523338726	0	0.0022170291808976	0.000119839415183654	0.00539277368326443	0.00257654742644856	0.0154592845586914	0.00497333573012164	0.000389478099346875	0.00362514230930553	0.00590209119779495	5.99197075918269e-05	0.00257654742644856	0.030828689555995	0.000119839415183654	0.009347474384325	0.000179759122775481	0.000389478099346875	0.0415842770687279	0.0129726166936305	0.0119539816645695	5.99197075918269e-05	0.0164479597339565	0	8.98795613877404e-05	0.00506321529150938	0.000209718976571394	0.000209718976571394	0.00548265324465217	0.0015579123973875	0.000119839415183654	8.98795613877404e-05	5.99197075918269e-05	0	0.0116543831266103	0.00347534304032596	0.00209718976571394	0.0233087662532207	0.000119839415183654	0	0	0.00515309485289712	0.000808916052489664	0.0866139373239859	0.000329558391755048	0.0156989633890587	0.000299598537959135	0	0	0.0611780214512553	0.00817904008628438	0.00275630654922404	0.000479357660734616	0.0628857331176224	0.00707052549583558	0.00275630654922404	0.00164779195877524	0.00374498172448918	0	0	0.0207022589729762	2.99598537959135e-05	2.99598537959135e-05	2.99598537959135e-05	0.0166576787105279	0	0	0	0	0.0205824195577926	0	0.000419437953142789	0	0	0	0	0	0	0	0	0.0146204086524058	0	0	0.000239678830367308	0.00341542333273414	0	0.00473365689975433	0.0630954520941938	0.104679729162922	0.000119839415183654	0.000419437953142789	0
CS.035	0.00365166309438755	0.000476303881876637	0.000119075970469159	0.00595379852345797	7.93839803127729e-05	0.0055568786218941	0.00246090338969596	0.0410415178217036	0.000436611891720251	0.000476303881876637	0.000595379852345797	0.000119075970469159	0	0.000119075970469159	0.00198459950781932	0.0216321346352306	0.000476303881876637	0.000238151940938319	0.000873223783440502	0.000238151940938319	0.00111137572437882	0.0100420735095658	0	0	0.271135984758276	0.0132571247122331	0.000436611891720251	0.00158767960625546	0.000396919901563864	0.00658887036596015	0.00400889100579503	3.96919901563864e-05	0	0.000357227911407478	0.00111137572437882	0	0	0.000357227911407478	3.96919901563864e-05	0	0.00198459950781932	0.00841470191315393	0	0.000238151940938319	0.00158767960625546	0.000635071842502183	0.00138921965547353	0.000317535921251092	0.00194490751766294	0.00452488687782805	0.0029372072715726	0.00631102643486544	0.000992299753909661	0.00436611891720251	0.000119075970469159	0.00154798761609907	0.000754147812971342	0.0298483765976026	0	0.0112328332142574	3.96919901563864e-05	0.00297689926172898	0.0481860760498531	0.00345320314360562	0.046836548384536	0	0.0113122171945701	0.000119075970469159	0.000357227911407478	0.00623164245455267	0.00158767960625546	0	0.00861316186393586	0.00515995872033024	7.93839803127729e-05	3.96919901563864e-05	3.96919901563864e-05	0	0.029888068587759	0.001746447566881	0.000674763832658569	0.0138525045645789	3.96919901563864e-05	0	0	7.93839803127729e-05	0	0.00984361355878384	0	0.00750178613955704	3.96919901563864e-05	0	7.93839803127729e-05	0.0808525839485592	0.0100420735095658	0.000396919901563864	0.00154798761609907	0.0319520520758911	0.00325474319282369	0.00313566722235453	0.010478685401286	0.00194490751766294	0	0.000277843931094705	0.00460427085814083	3.96919901563864e-05	3.96919901563864e-05	3.96919901563864e-05	0.0429467333492101	0	0.00627133444470906	0.012939588790982	0.000873223783440502	0	0.00436611891720251	0	0.000912915773596888	3.96919901563864e-05	0.000198459950781932	0	0	3.96919901563864e-05	0	0	0.000674763832658569	0	0.0135349686433278	0.000198459950781932	0.00337381916329285	0	0.000119075970469159	0.0813288878304358	0.000476303881876637	0	0	0.0014686036357863
