L.007.M1	L.033.M1	L.005.M1	CS.245	CS.019	CS.021	L.011.M1	CS.277	CS.086	L.001.M1	CS.003	L.004.M1	CS.001	CS.217	CS.099	CS.077	CS.066	CS.287	CS.365	CS.118	CS.377	CS.360	CS.076	CS.171	CS.154	CS.072	CS.040	CS.269	CS.229	CS.062	CS.128	CS.292	CS.224	CS.126	CS.213	CS.380	CS.232	CS.125	CS.282	CS.378	CS.136	CS.302	CS.041	CS.375	CS.376	CS.181	CS.166	CS.214	CS.372	CS.385	CS.395	CS.129	CS.389	CS.386	CS.369	CS.183	CS.256	CS.348	CS.268	CS.177	T.CS.022	T.CS.048	T.CS.024	T.CS.079	T.CS.003	T.CS.058	T.CS.041	T.CS.072	T.CS.023	T.CS.028	T.CS.035	TFS.023	T.CS.020	T.CS.029	T.CS.050	T.CS.161	T.CS.144	T.CS.132	T.CS.114	T.CS.123	T.CS.092	T.CS.153	T.CS.126	T.CS.119	T.CS.117	T.CS.125	T.CS.134	T.CS.091	T.CS.129	T.CS.167	CS.246	CS.087	L.034.M1	CS.237	CS.242	CS.015	CS.238	CS.006	CS.082	CS.356	CS.085	L.024.M1	CS.088	CS.103	CS.110	CS.191	CS.364	CS.387	CS.336	CS.189	CS.274	CS.330	CS.358	CS.234	CS.363	CS.347.0	CS.113	CS.078	CS.150	CS.187	CS.339	CS.202	CS.112	CS.080	CS.322	CS.285	CS.194	CS.163	CS.318	CS.319	CS.158	CS.152	CS.331	CS.320	CS.223	CS.262	CS.393	CS.145	CS.326	CS.270	CS.390	CS.255	CS.253	CS.370	T.CS.045	T.CS.043	T.CS.036	T.CS.049	TFS.020	TFS.022	T.CS.064	TFS.027	TFS.021	T.CS.031	T.CS.055	TFS.025	T.CS.008	T.CS.061	T.CS.066	T.CS.141	T.CS.157	T.CS.109	T.CS.095	T.CS.142	T.CS.152	T.CS.151	T.CS.166	T.CS.158
L.007.M1	0	0.603215056619	0.390179823011	0.552334191399	0.54688548594	0.661866414111	0.553139767267	0.53221635144	0.54387848005	0.59519049569	0.576368600546	0.381247922802	0.570178932217	0.521973216628	0.531782600374	0.590541409427	0.587060818022	0.655941072209	0.518568200355	0.629183566315	0.725548132765	0.650077744742	0.687725595593	0.630212383945	0.801854886093	0.496782234109	0.605233437669	0.765914536482	0.689765813651	0.5522904834	0.607480373744	0.647782059548	0.765149821763	0.526303007971	0.707530274403	0.53259396906	0.581787033122	0.681689476281	0.706105937859	0.716479311647	0.676522108846	0.7339052004	0.706629850308	0.640909509367	0.6925308795	0.649374391457	0.715190320654	0.657750584023	0.671431711264	0.684471268565	0.684878234455	0.616119744053	0.68475543604	0.728517309175	0.78246085794	0.772432776294	0.682134682509	0.637548797705	0.716186373389	0.702814232151	0.606043331886	0.558419229425	0.569037100977	0.696967014048	0.427024412832	0.554135572962	0.556123285114	0.562834630091	0.748453926765	0.554109793896	0.541546756048	0.566774218289	0.494311948345	0.663707363429	0.603558671465	0.539156957152	0.444914276349	0.509775748212	0.53747032825	0.510998898749	0.56989883369	0.500322070055	0.507079316074	0.57991760443	0.479399694239	0.497801457602	0.489889735939	0.393558427261	0.508472259668	0.412530392245	0.543864862551	0.580752783646	0.590125228343	0.694311366777	0.496725621972	0.532166439893	0.565187797145	0.504436781698	0.583642372233	0.690196023402	0.560527903129	0.463497652414	0.641132511823	0.576364508964	0.678061650087	0.471899695588	0.756816894385	0.615935844951	0.606476025441	0.643508456876	0.665020353831	0.649440236481	0.777392665646	0.685044386387	0.684061188744	0.70510473015	0.550463332942	0.585465794761	0.610255332332	0.664315306757	0.654790186716	0.655046335092	0.684262007527	0.638914645929	0.698207187851	0.757073694419	0.755519639716	0.701288125035	0.676116413309	0.678991685373	0.682244511081	0.539361331	0.607843863865	0.603410016351	0.675526342108	0.664676253032	0.716182195783	0.584283872612	0.632739344755	0.678532079543	0.683621648345	0.632083792289	0.760020822351	0.682225190734	0.54344389198	0.499992378041	0.554065883977	0.623841135005	0.444375160249	0.467141923938	0.493493868934	0.483049011517	0.558585697416	0.529202791136	0.507962536436	0.545729594426	0.573898279435	0.571983377287	0.457678339545	0.448949725444	0.489198228167	0.428106593784	0.418192586608	0.456168119419	0.503498008019	0.411694547742	0.489240625651	0.476293811267
L.033.M1	0.603215056619	0	0.587798398481	0.567397520119	0.583300870393	0.620160160281	0.581802654443	0.597874445257	0.633657415717	0.640615829774	0.633589866553	0.608530469836	0.65913656631	0.600900475639	0.622267666624	0.608454482379	0.588509466821	0.664414563893	0.604878372497	0.621458661934	0.663211601371	0.643983826402	0.636329134115	0.644107134271	0.71594814947	0.607440727226	0.630341699506	0.697699859852	0.628816255509	0.587951532	0.611394005727	0.646284360706	0.725434829208	0.59137361446	0.65548503029	0.616129696245	0.632688183318	0.647463072828	0.6694046672	0.652510946328	0.629414744247	0.669290652885	0.648548149516	0.588219030847	0.636801906248	0.652334820371	0.675629532597	0.623042853726	0.67479643343	0.663383194736	0.680670355602	0.636806592139	0.675246085569	0.680294667536	0.716108063274	0.695945559898	0.671116166293	0.65742082698	0.666111138645	0.64961672195	0.640045795421	0.604722994606	0.604262095438	0.632366877222	0.583090583128	0.594277304662	0.586592761175	0.634877509049	0.705367455346	0.630021423236	0.611193783962	0.566399087616	0.664329241052	0.641399144787	0.616303158764	0.639642905266	0.611807253902	0.645847090662	0.629944327219	0.580174999979	0.653420594038	0.640086067921	0.614346320071	0.676821713608	0.601817899545	0.583021020508	0.606498725395	0.623694682916	0.605394972427	0.578340806485	0.60604171083	0.569572183505	0.583022344761	0.637846692239	0.604303735233	0.587719845614	0.599872468018	0.563336891759	0.647215273118	0.660823346163	0.644229685512	0.577163095707	0.571966134267	0.632291990336	0.644802060878	0.607204656575	0.66335719356	0.607379041966	0.592748606001	0.635345855457	0.65203553755	0.64189604126	0.715487508621	0.662717663123	0.63516533792	0.659235152275	0.561922828939	0.563064950837	0.619545296671	0.617384267157	0.587037578913	0.588933817418	0.623095301277	0.605166703903	0.671318003434	0.684889519182	0.733234210835	0.619345830093	0.666309907656	0.669453216098	0.636033502238	0.60031583782	0.642900847	0.632723556652	0.650311329196	0.612715903516	0.648123805562	0.604492497451	0.626037401357	0.663337393206	0.671957603793	0.656069551725	0.69844000747	0.663423519219	0.59224898423	0.567210530288	0.623759781508	0.648232250456	0.611320738635	0.613127530613	0.582129795193	0.576213730253	0.563847231018	0.569545348403	0.576034604486	0.593321980575	0.587409324249	0.631167886269	0.585216014555	0.587510285908	0.556913182734	0.615974225445	0.613180999022	0.581257121996	0.58068482385	0.577281222701	0.580874022224	0.592235965516
L.005.M1	0.390179823011	0.587798398481	0	0.533599291958	0.555829003923	0.652132628218	0.557969342183	0.566028080476	0.558236182626	0.59810173766	0.584269963698	0.394145966102	0.574830083364	0.506862304776	0.528478141922	0.602266551671	0.586420253924	0.676238914972	0.496287795191	0.614748938208	0.737236406007	0.654216537025	0.69515970119	0.615764480686	0.799315225555	0.540971575522	0.617766318791	0.77940550366	0.688985122409	0.548070652902	0.625487975842	0.651307222477	0.763750922127	0.557980950747	0.702125453944	0.535622026526	0.59519432061	0.686516945681	0.712623033209	0.708192684742	0.675692280642	0.74041744101	0.692308028819	0.650391110156	0.685877483267	0.680689374552	0.735598026088	0.685344732182	0.682837467657	0.704842100459	0.6989052353	0.638789429835	0.704104460495	0.735711963407	0.785473788529	0.766436870091	0.685941102076	0.662770196832	0.722754640557	0.713724501397	0.618684304682	0.549127105744	0.564008090814	0.704889506414	0.431574043543	0.56970892445	0.569256814073	0.590071135525	0.763111770477	0.573304609411	0.554658608529	0.55765502546	0.537724169921	0.663331239829	0.623700795847	0.568930829431	0.435755963209	0.540219938427	0.562288624872	0.536545584177	0.565819343134	0.521855138932	0.507167370595	0.607556837466	0.512081381094	0.511145165826	0.485705978929	0.425573995144	0.519127341676	0.436331858179	0.542594482881	0.577212735983	0.572105888982	0.684707001766	0.494078019527	0.524220739841	0.564221027642	0.504323281988	0.601019477842	0.698888779602	0.58409982225	0.471278020676	0.638883089851	0.582598411405	0.67101029769	0.484887579108	0.751547696892	0.627715936453	0.628924779981	0.674535072821	0.696105091614	0.667383558671	0.786375944083	0.706474031173	0.692293813765	0.714039338831	0.554234616297	0.576893186666	0.625326196061	0.675227797379	0.654273895355	0.671571088424	0.682020850575	0.641494378643	0.697775806925	0.761482585962	0.750748882668	0.691526483151	0.681181878438	0.678361294693	0.679875455723	0.557735864632	0.610825495844	0.614729260928	0.693017522699	0.691202929228	0.706757760937	0.601397742644	0.65134385365	0.686525249642	0.690025223791	0.643211384456	0.76676564922	0.686355730364	0.557244613298	0.46994096677	0.582138999721	0.645037256654	0.47710349953	0.479621899557	0.507561113869	0.472391318473	0.540659495886	0.535250406912	0.512929170719	0.556318030343	0.578107236944	0.58497637267	0.473383576922	0.458748057708	0.492204678617	0.449416991553	0.421791601287	0.457786125003	0.506951699452	0.431406468203	0.484597992573	0.469561376123
CS.245	0.552334191399	0.567397520119	0.533599291958	0	0.553323231414	0.603879893231	0.573742495721	0.560178377404	0.572912577239	0.586270095823	0.62653658484	0.551582658093	0.649567210126	0.578597455522	0.605477571618	0.57416757326	0.591704510896	0.638070413449	0.552390183409	0.584907608713	0.705265439745	0.630443421554	0.629757444042	0.595024496306	0.714646508122	0.579277895041	0.592567442178	0.705678192905	0.616945024156	0.545397248647	0.613068254643	0.64035849383	0.694076220416	0.5483570838	0.660241379628	0.561645893278	0.600315040808	0.628261297061	0.661754938583	0.651906385477	0.627187731737	0.667010957624	0.619370614737	0.569575557489	0.608776393383	0.647972268561	0.694867437792	0.62322866129	0.643079798851	0.665198634368	0.669890040906	0.603021431048	0.639907119815	0.684159932555	0.717791189455	0.705906323709	0.669284034588	0.629379092473	0.683236541813	0.662755413699	0.586993154453	0.539108480197	0.54112343042	0.637006675845	0.536555980458	0.584168549047	0.542235735719	0.579601414179	0.693757269295	0.550314556322	0.541897243474	0.557096918192	0.610710962627	0.620975636499	0.554758330264	0.608065718736	0.543701260044	0.624444590599	0.616325496626	0.546164992153	0.648951277262	0.596242162138	0.565657882692	0.647802584501	0.544059090055	0.541350062482	0.552322473651	0.555835534511	0.607312901401	0.528820035182	0.56996697783	0.568401831488	0.585988980302	0.619858138041	0.539199389228	0.559949990857	0.602864250413	0.535174458787	0.615040905601	0.629783070292	0.598282231994	0.563357182119	0.590422044873	0.592303794741	0.621278491384	0.557109578181	0.664789167594	0.557819823251	0.591049266449	0.650846564591	0.629408966978	0.637439355254	0.72192389784	0.647998973842	0.638704700695	0.672623279545	0.524347463702	0.544781317385	0.60628717685	0.623583501032	0.612412928372	0.586220867218	0.60539560157	0.596763902134	0.662988117056	0.683498877727	0.708908494907	0.622187941601	0.640248024507	0.641722109069	0.616196127561	0.574859461884	0.647446540252	0.585883783485	0.622195064583	0.626284132889	0.636571296825	0.587532873781	0.619479517207	0.645149889173	0.640068338588	0.636039918931	0.727249385162	0.65907355061	0.535073161706	0.549394721371	0.608812889953	0.61883814636	0.570629594229	0.581718840683	0.54141794112	0.513133717842	0.54615210201	0.52619114946	0.552461584437	0.529124179642	0.533892113095	0.560478540773	0.581576272554	0.497322240392	0.514737046035	0.577621981157	0.584214780792	0.531778518221	0.530010968929	0.538640720879	0.563456983781	0.559571715164
CS.019	0.54688548594	0.583300870393	0.555829003923	0.553323231414	0	0.579399948573	0.52124804406	0.557649054148	0.526930721243	0.604707766109	0.550857039393	0.54743625945	0.588655891621	0.537989316565	0.554616265163	0.540795230917	0.558534081626	0.629586145268	0.496371435279	0.550753905688	0.661562619812	0.582461983246	0.62044579291	0.56647537969	0.734918465082	0.521385396412	0.551311849348	0.721435795529	0.59139443646	0.505776406804	0.558340495228	0.577216785506	0.73758629409	0.538408620813	0.648284775743	0.527708415614	0.560698537932	0.624229417227	0.659407357316	0.671629680456	0.593889143253	0.694883075206	0.606276820194	0.568930223115	0.622621867051	0.624051116915	0.663900503698	0.628048608948	0.627664414334	0.626410265064	0.617049616236	0.594786419393	0.634979612204	0.682898422096	0.714343191545	0.697482935671	0.644260017945	0.627606690368	0.642516200606	0.653075747613	0.558417121402	0.539388317568	0.55373772959	0.644807848582	0.526802660019	0.532454888029	0.530793462502	0.549094819064	0.742291693156	0.529273300074	0.544810205749	0.563487411801	0.606514924148	0.609289241782	0.571600556529	0.59518994158	0.540659620973	0.59241599235	0.586976971429	0.529362558751	0.599267232361	0.58443724051	0.517248052854	0.621608826391	0.52416866247	0.549822310211	0.551725896991	0.558316072528	0.557452258358	0.521297059273	0.522954754439	0.559447018864	0.554810679572	0.610598092493	0.525409849156	0.565751176174	0.53107264243	0.508015395131	0.575465845119	0.674343880596	0.558069176768	0.554797162494	0.595124258312	0.554936010678	0.611709229843	0.539039031845	0.683467064523	0.570236563719	0.599170929705	0.650595563934	0.631755875129	0.620035463104	0.719658590327	0.653270237603	0.631189744411	0.651213589952	0.508953891044	0.532164282126	0.601172465132	0.592258225875	0.621211009051	0.635216317998	0.584372968623	0.554890016642	0.659082298322	0.68418758291	0.727121730672	0.583149953933	0.635396963168	0.633340175294	0.606547228358	0.533061041115	0.58850458855	0.587708777339	0.633202927314	0.651505965019	0.651328826263	0.526043946432	0.63348189029	0.65177387175	0.632897313542	0.601993637432	0.732808055917	0.616667846911	0.544950546548	0.538948386397	0.558785927662	0.63208914031	0.541295583131	0.540747971458	0.513299369971	0.516024132792	0.57583481917	0.532485887945	0.545340708308	0.550633117515	0.575007550343	0.565681226364	0.538799573187	0.562244927263	0.550767853938	0.550048047669	0.570124114215	0.570157730529	0.53395252758	0.528183227511	0.526337861131	0.520318784681
CS.021	0.661866414111	0.620160160281	0.652132628218	0.603879893231	0.579399948573	0	0.596327432238	0.556462007789	0.638858120132	0.648049375136	0.625863730439	0.651317423478	0.626531899909	0.621484921124	0.647807693572	0.584974126865	0.647748699024	0.582335652608	0.610037542965	0.606819695616	0.581924381494	0.530266308156	0.578043142462	0.615770590697	0.665260682278	0.598422975504	0.627391748006	0.649628793786	0.538404917526	0.614856395353	0.586573116714	0.575977297541	0.672671517811	0.571149258636	0.586011405221	0.608564359007	0.610797576035	0.532094176665	0.581361826243	0.647843704744	0.556096056637	0.582362653268	0.577495815264	0.572991464209	0.525609261062	0.585540510191	0.629425717061	0.590004309718	0.577687597864	0.566002368602	0.617552705526	0.624661583611	0.540717622962	0.666066641105	0.65460099371	0.637184569475	0.589083439413	0.573260596917	0.636280192071	0.623849873602	0.592542859551	0.576748803226	0.555157040741	0.56751094323	0.622031545681	0.621364234257	0.569752208668	0.600744065774	0.688282340309	0.564842191839	0.589766755681	0.610322185024	0.669074403984	0.613248825604	0.624299924597	0.612907753946	0.655466329579	0.646007430655	0.671579663642	0.589054924505	0.681057007324	0.665014210734	0.600892665072	0.656531665711	0.62597529856	0.574692186827	0.628783285695	0.658328867673	0.6536409769	0.61914072648	0.609628407066	0.608142966288	0.585318806827	0.575812929821	0.604084494233	0.657258351914	0.587964718335	0.557381035231	0.621246092362	0.63483616274	0.592064479314	0.651659711188	0.667744611581	0.622176840054	0.586823515648	0.631430462489	0.603149804154	0.526117261821	0.579765371699	0.593585985564	0.584572440047	0.573137506161	0.63344934516	0.617126788332	0.546775466558	0.60181156692	0.603848569312	0.614393200288	0.580708187993	0.543969977464	0.604573191152	0.643914709466	0.566290090885	0.563424235547	0.567411973052	0.594546341044	0.632392882677	0.570838566199	0.530326181564	0.555064208697	0.575320119532	0.586780728685	0.560033075281	0.55257694664	0.582572194101	0.568561499512	0.635467662985	0.585323979723	0.563407249698	0.592613365268	0.599533188166	0.547419900186	0.659145350691	0.582139917764	0.602426088195	0.616201227979	0.617738131898	0.557609203962	0.635275576625	0.642465821414	0.61202618972	0.597660819169	0.607493184412	0.585342102589	0.590362665147	0.561345788536	0.590489904464	0.590481990552	0.638834221441	0.65093298383	0.62925814202	0.652267572482	0.672039708765	0.654748960879	0.578433579513	0.648137562074	0.608869204399	0.617045821563
L.011.M1	0.553139767267	0.581802654443	0.557969342183	0.573742495721	0.52124804406	0.596327432238	0	0.553061959618	0.563210007446	0.598823589839	0.579481504431	0.549505748843	0.584434608184	0.536864046148	0.570531741002	0.554624764626	0.584350592213	0.60806018519	0.522910166412	0.583633452127	0.639777058159	0.604762932495	0.625793699246	0.598823593453	0.752795423123	0.527679587095	0.56671713395	0.729333129585	0.605570981756	0.523784084735	0.545348714909	0.599678016148	0.743057912451	0.552947392621	0.652469410487	0.538804515019	0.575735591339	0.608048133486	0.644474272758	0.663222928449	0.603243593865	0.706200452729	0.637035745726	0.594840166903	0.632732732812	0.604757228526	0.66351892512	0.630109394047	0.613464924256	0.605058088593	0.640414010088	0.574481774044	0.6325720389	0.674446072909	0.724543786295	0.722526637025	0.621505076648	0.614177459155	0.638470373929	0.644660705363	0.553870023305	0.560943850678	0.548483815859	0.64862147272	0.534230030381	0.543664498564	0.545808257869	0.556213747323	0.725126607773	0.560186344172	0.538041071186	0.554752884328	0.607306859824	0.620444443512	0.582756823941	0.587235095922	0.556206966745	0.578875820768	0.58979040363	0.516837927653	0.587828561714	0.570479484945	0.50379797874	0.583989905546	0.511933525697	0.548528543264	0.538848551459	0.552622033551	0.572005275252	0.528474481072	0.526297869501	0.595770286554	0.550525132271	0.633880152769	0.527157132672	0.570821073325	0.563951096746	0.510871396655	0.573934387941	0.659959225341	0.573102356049	0.573718910253	0.627452877839	0.570927537857	0.633132630708	0.560255554707	0.691171953461	0.567686831182	0.58774703606	0.649532909615	0.646980239977	0.621611801918	0.721443911763	0.661868612535	0.628613881165	0.66153031843	0.541108043152	0.560609834652	0.580826799389	0.59020225462	0.622975591238	0.639965119695	0.610672221374	0.582284946899	0.657533497019	0.686614001999	0.716796302117	0.619658703346	0.611988605332	0.614414251974	0.627791590479	0.520725184805	0.56277706058	0.588046874319	0.611032687177	0.620981770163	0.638177137999	0.534089740892	0.595876864274	0.631098987612	0.6119968543	0.59308636473	0.727447416651	0.625863132464	0.579158076987	0.574471415602	0.605508970774	0.623438330643	0.537390651423	0.538737228948	0.518633824746	0.525852468982	0.564696470067	0.565848854384	0.549572459152	0.564268674148	0.575889051779	0.565804478862	0.545817175949	0.57314811745	0.553027448413	0.521722690412	0.556760258447	0.588226520099	0.54802101018	0.540374973543	0.522049317439	0.510684599643
CS.277	0.53221635144	0.597874445257	0.566028080476	0.560178377404	0.557649054148	0.556462007789	0.553061959618	0	0.578694402629	0.577827214163	0.563600289748	0.547949546739	0.557308534626	0.549422270937	0.574854977105	0.572361182536	0.5871232582	0.546823420338	0.541233322319	0.600664036264	0.612284619267	0.555888475214	0.596824416561	0.60318008355	0.710820007931	0.52417908695	0.584609430767	0.711098953399	0.581196564353	0.534060505291	0.532268509225	0.563574360849	0.70661730477	0.5177324461	0.618335122012	0.514135323666	0.559586474176	0.603718134947	0.623499069442	0.648543060377	0.584919355006	0.645876981014	0.630658886471	0.562904852679	0.585957608356	0.578035281378	0.622982769071	0.584108381947	0.587438667243	0.5995731916	0.592108635051	0.590995120681	0.598220062507	0.668144137609	0.677792776556	0.670859047153	0.593016911055	0.565239566507	0.640756017852	0.630072909511	0.545877150968	0.520132153329	0.529560891399	0.595125674225	0.524074924871	0.550764778549	0.542894771652	0.541826294919	0.712866341564	0.526607652018	0.517807718759	0.565436919021	0.574910779726	0.595120974683	0.590333400415	0.535027912708	0.536700059945	0.555176959543	0.550426508597	0.530367474178	0.576788218838	0.562676462208	0.520900390849	0.579682708098	0.526899387482	0.510082807785	0.544213729992	0.543307926722	0.538083281765	0.515458656224	0.527957093835	0.619890262903	0.563029336414	0.604249277624	0.497638550069	0.612861966252	0.5454758869	0.532822698908	0.582710932669	0.652381507646	0.554386930833	0.582431471279	0.632514785632	0.568089407681	0.614601492921	0.521564255144	0.65686175321	0.545429518199	0.531838424406	0.577700785403	0.601847215767	0.58387975149	0.680267861408	0.613577473342	0.583273735875	0.635031984544	0.558312326559	0.581083455097	0.538911926761	0.57098519053	0.605002908909	0.627689992089	0.583219840375	0.57814679057	0.621877898368	0.661388677395	0.678860535518	0.621603845942	0.586341173095	0.57104404004	0.610145455179	0.508118608873	0.515873872841	0.548735521453	0.568369321582	0.580975179464	0.634589230664	0.558698228567	0.579034695677	0.587222210212	0.607826016607	0.551463980764	0.676458175407	0.597320329243	0.558804406986	0.548458606343	0.547844955518	0.586165520802	0.533349300952	0.52560011287	0.52759099807	0.536357689646	0.537494380448	0.532866576379	0.552531310198	0.544048305064	0.570907884875	0.551247929794	0.5526709497	0.570727332206	0.548996742122	0.541923630159	0.547813264553	0.585435077919	0.53402855047	0.541752481102	0.557570240897	0.517770450593
CS.086	0.54387848005	0.633657415717	0.558236182626	0.572912577239	0.526930721243	0.638858120132	0.563210007446	0.578694402629	0	0.531194012807	0.502067450482	0.54025393053	0.519761148449	0.513102124008	0.5037760738	0.548710128318	0.548584445706	0.653989470705	0.550302936209	0.534133564501	0.671679674879	0.651112468609	0.605441448669	0.56094655799	0.767493666333	0.51425471852	0.565415832432	0.733490847521	0.665640746658	0.514369910548	0.612451370461	0.594976128901	0.76369204768	0.583906224696	0.69236314118	0.576354573881	0.526232234492	0.666894454359	0.692420589965	0.681239134827	0.604184764086	0.745879994627	0.638026144543	0.63865644663	0.679198388644	0.660836880239	0.702784163104	0.674023396434	0.670021003699	0.667501983125	0.656357623891	0.602492048767	0.6655109071	0.730554647815	0.730577168744	0.740566528964	0.692097305275	0.621399171679	0.665578584082	0.709435207391	0.613663363068	0.577594311608	0.603194235539	0.707397651839	0.553704177418	0.57981080591	0.5763497058	0.55472811621	0.761237563696	0.585665612927	0.58737454941	0.626323285423	0.533946898865	0.610828705601	0.597246723272	0.530331429501	0.551842536371	0.544854408123	0.544937253354	0.581295124714	0.535631190158	0.483810209804	0.526576235332	0.53928073837	0.551672535733	0.603600699053	0.568854747285	0.529587924974	0.556921676298	0.54612410497	0.519898802274	0.567876851718	0.572085873259	0.623706958118	0.539134219059	0.564733421101	0.572556593248	0.529431370815	0.483290250924	0.711377032904	0.489791946056	0.573220780729	0.646213648655	0.520446429077	0.617203091783	0.546986476653	0.719571552886	0.649892826226	0.635568285359	0.642401556078	0.705612390896	0.657448286406	0.769407875436	0.662379951925	0.677143865029	0.686278605304	0.566650562815	0.599989983809	0.578658340174	0.657283617294	0.660729721678	0.666360710184	0.605052331695	0.571305582355	0.705854240708	0.711984027569	0.764665159578	0.5996781099	0.677399204642	0.682462913877	0.60062166618	0.575042418937	0.587018608368	0.633973373733	0.651892330973	0.703989776217	0.659364944149	0.628057286863	0.642829565642	0.691304814317	0.678920161742	0.638272801601	0.726306519486	0.663156341318	0.610269273693	0.602504400328	0.546538874948	0.685837643336	0.552207002545	0.55020283177	0.565368842618	0.584644193861	0.611824007189	0.595619608403	0.58711156902	0.629187248806	0.658558078573	0.630447143777	0.521606673915	0.601263513517	0.567767203265	0.523729294557	0.529573825749	0.622822193251	0.562682323666	0.550317297442	0.58087018534	0.532388376154
L.001.M1	0.59519049569	0.640615829774	0.59810173766	0.586270095823	0.604707766109	0.648049375136	0.598823589839	0.577827214163	0.531194012807	0	0.531611519353	0.578943320931	0.531376695837	0.560641841931	0.54659299513	0.589180777173	0.59652446461	0.621482139617	0.586941254001	0.5605505066	0.655524395035	0.63615593542	0.641572007401	0.559489463431	0.751960536939	0.564689525622	0.562558238848	0.757738410331	0.662165735895	0.560491373617	0.623262286791	0.608106307554	0.775295119672	0.58534919516	0.693895290837	0.568072988554	0.544775225116	0.674023452252	0.692350143051	0.658037549506	0.60560327603	0.740557986723	0.60688189381	0.639977047506	0.670727978769	0.644883717078	0.67375132527	0.683448605071	0.664871236273	0.651190721145	0.632518760094	0.603158351577	0.654817647123	0.692876118701	0.711287149179	0.718877020999	0.67385979108	0.61053251134	0.644374323124	0.691014450357	0.614832067322	0.584301970746	0.585879587837	0.693764444963	0.57490373919	0.578672957034	0.561342586612	0.424340355866	0.733410952923	0.614060707123	0.583712964189	0.639780648403	0.546837842529	0.57744976321	0.580560747583	0.534633235208	0.59142691884	0.573635256822	0.531709743156	0.586587253944	0.57267144018	0.525791786709	0.567259294841	0.543707483595	0.581240878617	0.59899951418	0.58593487352	0.565813835135	0.585152825478	0.58482676496	0.550884137829	0.621401851026	0.616225301061	0.634837241272	0.53354295873	0.618992973152	0.595915393342	0.593881515155	0.532562433426	0.711752532283	0.52084851022	0.618568900937	0.689629663299	0.562166974944	0.62384332867	0.546113713174	0.721399142898	0.627674792088	0.614914292695	0.631833017493	0.694748900453	0.659470906115	0.768012163794	0.660798930304	0.648898051517	0.698737926064	0.620811743212	0.640180052221	0.571477958814	0.644620792205	0.681960193853	0.646991341443	0.611083808143	0.620862936475	0.692730994377	0.728170850353	0.751941519834	0.627655975878	0.667758493996	0.69013396361	0.601868770485	0.56882468228	0.581509345828	0.619548115303	0.665172590416	0.681622414666	0.650368906401	0.631978897485	0.624858333167	0.663200343147	0.665326649783	0.608917291121	0.693526335938	0.663127984644	0.604014592326	0.595403697364	0.531063606562	0.658213717343	0.561215806274	0.561507829211	0.582714582268	0.597643568172	0.630617795989	0.593661989089	0.602948114375	0.645560539223	0.634672491922	0.632585997283	0.578663832347	0.612368927687	0.592583274391	0.578170085755	0.574499206362	0.63109955491	0.566536613092	0.605413279214	0.589199915581	0.573155563955
