CS.002	CS.261	CS.314	L.002.M1	CS.357	L.005.M1	CS.094	CS.263	CS.010	CS.017	L.035.M1	CS.084	CS.035	CS.280	CS.039	CS.062	CS.186	CS.072	CS.058	CS.335	CS.161	CS.388	CS.366	CS.063	CS.050	CS.341	CS.118	CS.154	CS.367	CS.064	CS.125	CS.375	CS.203	CS.376	CS.232	CS.136	CS.041	CS.282	CS.378	CS.374	CS.126	CS.205	CS.236	CS.302	CS.292	CS.178	CS.348	CS.147	CS.256	CS.386	CS.369	CS.323	CS.385	CS.183	CS.181	CS.214	CS.395	CS.177	CS.389	CS.349	T.CS.034	T.CS.023	T.CS.059	T.CS.076	T.CS.042	T.CS.040	T.CS.089	TFS.024	T.CS.062	T.CS.071	T.CS.069	T.CS.057	T.CS.035	T.CS.038	T.CS.029	T.CS.104	T.CS.100	T.CS.092	T.CS.107	T.CS.178	T.CS.147	T.CS.134	T.CS.108	T.CS.130	T.CS.161	T.CS.117	T.CS.120	T.CS.119	T.CS.128	T.CS.106	CS.246	CS.087	CS.241	CS.103	CS.085	CS.082	CS.356	CS.110	L.034.M1	CS.006	CS.242	L.024.M1	CS.015	CS.238	CS.088	CS.304	CS.151	CS.330	CS.274	CS.207	CS.165	CS.347.0	CS.150	CS.228	CS.325	CS.191	CS.189	CS.187	CS.336	CS.387	CS.331	CS.285	CS.158	CS.318	CS.320	CS.361	CS.339	CS.194	CS.343	CS.227	CS.163	CS.112	CS.202	CS.319	CS.223	CS.326	CS.255	CS.253	CS.262	CS.390	CS.145	CS.393	CS.370	CS.270	TFS.022	T.CS.066	TFS.020	T.CS.064	T.CS.026	TFS.021	T.CS.036	T.CS.031	T.CS.043	TFS.027	T.CS.049	TFS.025	T.CS.045	T.CS.061	T.CS.008	T.CS.158	T.CS.152	T.CS.109	T.CS.157	T.CS.141	T.CS.151	T.CS.166	T.CS.095	T.CS.142
CS.002	0	0.602803418797	0.609914194691	0.654160251066	0.626597206842	0.656285912941	0.685594210086	0.58079880661	0.639334948057	0.565846025259	0.629455086865	0.526127563809	0.550024724184	0.624847766963	0.533794083887	0.565044965022	0.592958181813	0.586749015173	0.541892882678	0.727897974678	0.633351745685	0.719481479571	0.702011786461	0.60046926467	0.597087623626	0.649279717884	0.524238958013	0.713080326235	0.71073820709	0.552006438352	0.645011148731	0.641772848935	0.621352394916	0.638443965427	0.528161440537	0.540183713306	0.550624870786	0.648965770303	0.653121324605	0.647874842138	0.597019873426	0.705665213974	0.601158777781	0.722092693838	0.537537188135	0.614545221616	0.603822274213	0.643536248104	0.612335028066	0.663280897818	0.657017674837	0.619650916204	0.628321441104	0.653436634021	0.599912939757	0.638666607789	0.576960609249	0.667717057486	0.631228587903	0.608468339246	0.636957653081	0.74427197322	0.541919499768	0.622662416277	0.613671283803	0.597865555944	0.619423751403	0.630112425889	0.603343491062	0.6114741378	0.616405263849	0.708207348715	0.606507314921	0.585316960044	0.549027221158	0.62542285384	0.611670269871	0.634284667051	0.637749911935	0.596239511266	0.640521922554	0.623988391663	0.641877961265	0.614508141328	0.58315967679	0.614303380049	0.611359555386	0.606953320644	0.590906707831	0.653386130347	0.570775162882	0.623138484401	0.591141933146	0.532246825488	0.504923497184	0.549525353994	0.712012447067	0.566082384732	0.602510728987	0.581377398972	0.595850220489	0.669808094136	0.622822976329	0.579576238892	0.673119645485	0.673072076132	0.593992530081	0.626391727431	0.668129080969	0.64617744221	0.693867931186	0.647992317241	0.561293239314	0.540795905279	0.747644318769	0.604899365013	0.640073309681	0.618594991981	0.617166514879	0.62737554496	0.548922731315	0.666838711827	0.542323342106	0.630935443127	0.592041344858	0.657582279953	0.678322920088	0.722115966978	0.656114242067	0.74497165279	0.581083598544	0.53746100743	0.6707838287	0.633312030066	0.617857735285	0.637427156468	0.604550083115	0.694409050447	0.661815994858	0.598180692888	0.625993811116	0.611944070507	0.605682861714	0.624162794255	0.629540583368	0.639701328873	0.632694537478	0.611312029274	0.71669450696	0.65580091013	0.564393601562	0.609607400625	0.61607241442	0.641819424945	0.662589599593	0.665823532979	0.637087048222	0.619514177583	0.66965463631	0.640995276117	0.619531234336	0.623842209927	0.636414773522	0.653264828193	0.646214848989	0.61991504957	0.632551417734	0.678370926429
CS.261	0.602803418797	0	0.553115521336	0.64303205924	0.47429670037	0.481881441163	0.670371614834	0.521814769884	0.719803577539	0.558786984176	0.565289144421	0.565071393008	0.533054459067	0.442413493133	0.611789073722	0.520832199168	0.523253606286	0.467927865363	0.606598118828	0.767571315212	0.698994981298	0.712868098902	0.725530799689	0.706517853782	0.673891596353	0.647132170635	0.588738005573	0.775958159994	0.752069688268	0.571915753306	0.650026751358	0.62281200844	0.524849026376	0.641578027766	0.535440492768	0.626186940475	0.671419355701	0.681815818634	0.701281427711	0.666914643421	0.497575250761	0.681142434172	0.692364716699	0.731915718775	0.594010887952	0.562694379427	0.565064555089	0.643900155678	0.637339265557	0.688117584807	0.743128702745	0.599551028499	0.642754857581	0.737150772867	0.615404201146	0.625290439736	0.62938406921	0.668572470474	0.644757943952	0.601244157722	0.488040411088	0.756009192308	0.614595937817	0.524782936922	0.459211390256	0.440821572701	0.560036914406	0.550525858478	0.455695061488	0.508630729064	0.535891513004	0.70968443305	0.500196784484	0.493267311927	0.609551693587	0.436539081264	0.523572501597	0.547385337577	0.440553721435	0.424795819778	0.435000980272	0.491342699536	0.403576623605	0.411928291442	0.513344080693	0.469934545501	0.493854079728	0.496184318339	0.491911111785	0.416199582634	0.484684838303	0.614294025458	0.467918305707	0.54529703333	0.526180203405	0.531190047929	0.695474227463	0.637530738902	0.56682795362	0.537829684745	0.450719724763	0.543752577749	0.57550605518	0.560919325882	0.654520868128	0.694101220701	0.586385535566	0.631467774094	0.669337536288	0.684998164424	0.700130795594	0.711211928613	0.559225941692	0.625225449576	0.759168650549	0.464075474584	0.631250337202	0.614775919441	0.579490316576	0.583448369764	0.549974958651	0.745832673254	0.65820840283	0.652424802453	0.575593951751	0.671942001461	0.642082717249	0.744904334743	0.650856605647	0.794261194978	0.663268758166	0.649687824802	0.636621345053	0.648895764802	0.641023755058	0.612955946508	0.571597340837	0.745963036413	0.657402000411	0.650438168035	0.562510996776	0.670767440846	0.633697705337	0.649763299232	0.446366446324	0.474622634249	0.445898776696	0.47104285723	0.713482224678	0.547592859635	0.540943416318	0.511280034602	0.523484910655	0.489212081618	0.65264670944	0.569631745288	0.54525751286	0.56380664533	0.569280197451	0.437324063138	0.495062000328	0.445667995597	0.520367834134	0.535310198058	0.48703014761	0.482145120634	0.459838475378	0.55424064956
CS.314	0.609914194691	0.553115521336	0	0.64205871352	0.533835781402	0.562646592189	0.617683027715	0.536903926483	0.669674576472	0.581780954859	0.544083126727	0.581304971664	0.530561292918	0.549817575	0.569887821662	0.537585361579	0.569946796846	0.541915434784	0.579739218312	0.708579147298	0.640545364121	0.646521783845	0.688121207012	0.637163734477	0.601844552928	0.625495497822	0.570658976403	0.726763522733	0.701309489853	0.596243171858	0.613337360599	0.568050308397	0.595210819023	0.633718042181	0.55514859549	0.583686613651	0.641494597214	0.645107078805	0.626201996876	0.630817977321	0.554591531005	0.665795432557	0.693864464333	0.662873105514	0.591654630023	0.57454829993	0.610878557907	0.616939527822	0.629434785727	0.648238221193	0.690361953636	0.615667082771	0.630291931837	0.68939438457	0.612065678124	0.597346975169	0.619846227271	0.636605459717	0.610583756793	0.634417200793	0.53269347459	0.688223644063	0.575563971569	0.60518171646	0.557593770343	0.53161966611	0.572668175645	0.568195864347	0.532797007185	0.586777621868	0.574504944308	0.647083470803	0.555639474081	0.585990593026	0.585734047014	0.55097153799	0.601597032145	0.618930971982	0.533219350453	0.555612965864	0.566670898299	0.542255648872	0.573071797374	0.559002776886	0.544969354278	0.535673701228	0.546765897153	0.603854764899	0.594189857258	0.563808897768	0.534885265753	0.566283790472	0.58965606987	0.57313235003	0.564638660016	0.571319209684	0.63701818393	0.595689072747	0.570348251698	0.49476381967	0.530580164831	0.544194161214	0.595372024662	0.563354755292	0.621227181159	0.644901729509	0.624199516162	0.604306702218	0.60345493016	0.631236573307	0.640185738968	0.650665829769	0.545470134539	0.57873818477	0.718934839532	0.5722230696	0.581440045004	0.579775968425	0.570425726327	0.555207582997	0.596478983311	0.672905124134	0.607290822333	0.620288726844	0.561835862518	0.611685406034	0.614669966809	0.695642164886	0.615336804554	0.733194511814	0.587257205207	0.590752789092	0.591112413172	0.637127556	0.619280095101	0.589791329866	0.601557925204	0.686054614076	0.620363364231	0.625777316768	0.569179052098	0.644788319363	0.630574308745	0.62542987032	0.574506630715	0.556066961609	0.564804727884	0.54807771045	0.671648434815	0.566145110109	0.552491121539	0.553624439975	0.568254163581	0.557823182755	0.611101546205	0.573794902691	0.559869049636	0.564382038187	0.573905113431	0.541997257656	0.537405855817	0.546089739425	0.515459556879	0.542189050835	0.534267276306	0.537956304859	0.563536964973	0.555687328656
L.002.M1	0.654160251066	0.64303205924	0.64205871352	0	0.647882636849	0.675179688168	0.682112094298	0.625460158231	0.680818394029	0.654820838642	0.551197915537	0.66592512493	0.664956100009	0.661754829739	0.632878265185	0.652662355273	0.672188121071	0.665981547684	0.634856585811	0.67308672775	0.619990570069	0.723647249059	0.647893241864	0.650837667082	0.636708237572	0.608010771088	0.663349025613	0.684254889278	0.669447892997	0.657720455612	0.625286933451	0.605227990404	0.649426479408	0.595402019799	0.660060469605	0.656829641241	0.677281846309	0.645048195323	0.668649384503	0.61263531232	0.624185181797	0.667111228695	0.663653035767	0.692543865418	0.631015426765	0.650942795455	0.653036746794	0.625095818803	0.603756399223	0.56330761894	0.689448663976	0.640632675747	0.665053998903	0.642472842789	0.6411865235	0.641463448744	0.628542007396	0.592205369794	0.627674558807	0.627492753535	0.658169390575	0.738617101436	0.667940778421	0.604581376211	0.678702460884	0.628153123429	0.649056445337	0.628297260009	0.633004551437	0.681490016915	0.654841104832	0.655121105394	0.65549328434	0.66020792638	0.645538620397	0.673297987129	0.673305686464	0.695420166142	0.655726717001	0.652045367455	0.678225341694	0.64762353591	0.681593509513	0.624993532973	0.66432848754	0.640154078605	0.631199507108	0.672374040576	0.635002370194	0.692691567104	0.658057015255	0.669309235997	0.654705589318	0.651376848816	0.652092154566	0.688988205826	0.685974201292	0.626346308969	0.609139330676	0.654592287303	0.63240610701	0.669342091192	0.673718068711	0.638358458114	0.680883638997	0.687789556883	0.662039018113	0.621569613263	0.633344367292	0.642704538017	0.684234355572	0.633209292984	0.600339825298	0.653831915132	0.685160108046	0.650828317329	0.658090750314	0.611172204016	0.656050904689	0.600041185168	0.611100494056	0.678929621301	0.632064889698	0.628738905138	0.629006583713	0.658354971808	0.654380697792	0.66890271868	0.566700185491	0.682323095543	0.666151586056	0.630579140837	0.700911555468	0.62248912794	0.642696973786	0.624420203544	0.59399752945	0.68842637361	0.590144173374	0.614996484573	0.609350066976	0.664634394526	0.607460599751	0.621261194884	0.662637885097	0.656638362842	0.65827828182	0.609330401046	0.673211586848	0.626875937459	0.643016220285	0.617187138622	0.652348041924	0.658316830372	0.6149431342	0.638274418151	0.639474883835	0.651429312163	0.642311683672	0.646087781856	0.645188187333	0.674553341995	0.663003302937	0.639871154744	0.642689344503	0.639852245717	0.684397602752	0.672530037508
CS.357	0.626597206842	0.47429670037	0.533835781402	0.647882636849	0	0.39890484715	0.585217632191	0.549205057127	0.731421460981	0.55181265203	0.565832129914	0.594788981934	0.539589964327	0.450813250343	0.599443791131	0.516811222709	0.56474983916	0.497064400887	0.620163279063	0.736851361485	0.674449950846	0.665275711739	0.72176426159	0.695954614561	0.673689737806	0.646358045645	0.587098082542	0.761909136903	0.724851914834	0.603101285384	0.634496135053	0.591302416901	0.478438606729	0.641273442965	0.562411440525	0.63181466994	0.669822349915	0.662647240439	0.69242509816	0.636296781555	0.500182727453	0.671592306435	0.709467358915	0.686802468271	0.617908544388	0.603521524985	0.637522466341	0.661172718842	0.667526566011	0.715736094873	0.76679167656	0.642269973076	0.661692639237	0.762719119872	0.650601217526	0.637632552487	0.677892009877	0.678770142841	0.656846341179	0.654892624838	0.491426835936	0.736228447748	0.645787915518	0.576863426437	0.460016706982	0.458188686047	0.575489403107	0.511864908569	0.473406270332	0.500794606344	0.536835269569	0.685607693144	0.536702264763	0.60464810855	0.626109438997	0.481505208722	0.519984223825	0.575836791473	0.442083386214	0.521703486102	0.470918455839	0.4616069025	0.505388296668	0.48791508117	0.5617716622	0.488528542207	0.487478502935	0.607187833556	0.569839479843	0.476424950289	0.50826434403	0.53663613758	0.498846463687	0.573935714948	0.580528172667	0.577326538537	0.659866127917	0.652670405809	0.544404891832	0.479922809653	0.473956343039	0.482457487156	0.530398153378	0.55265729019	0.613052949163	0.696398606333	0.592834795212	0.634814646768	0.654503103066	0.691225570931	0.647321377734	0.688079457003	0.603367887099	0.622548649996	0.744919822031	0.457912196359	0.639156527084	0.625022809565	0.591696720216	0.57773084776	0.570489421497	0.734284204762	0.647371061146	0.633985445963	0.595477121366	0.643183890846	0.604713350562	0.719361266187	0.615171770936	0.772139169347	0.645604466734	0.640222666374	0.630981763408	0.629609573223	0.65269741548	0.611959927035	0.6161410873	0.74438501472	0.665798550276	0.658385581414	0.562131223442	0.675625273821	0.668644012771	0.661738411008	0.486769425608	0.472727678043	0.461611105479	0.493757518959	0.717245670461	0.529780403708	0.550062764286	0.497042607378	0.435289888325	0.467160286757	0.62037959111	0.494424783919	0.523618371704	0.540521751642	0.531555742999	0.429241941694	0.471064605859	0.455427022059	0.486569392396	0.461489893267	0.431904390748	0.443793784458	0.47318234456	0.466288339395
L.005.M1	0.656285912941	0.481881441163	0.562646592189	0.675179688168	0.39890484715	0	0.633085207976	0.56312738353	0.744101539156	0.576144335769	0.615322327666	0.6099048282	0.588157183404	0.460351368344	0.618996103156	0.548070652902	0.564913264677	0.540971575522	0.654685784665	0.761620776188	0.715861790922	0.703353026357	0.731348268448	0.748852909573	0.691398482127	0.680949045799	0.614748938208	0.799315225555	0.753695194655	0.640934617072	0.686516945681	0.650391110156	0.526836728016	0.685877483267	0.59519432061	0.675692280642	0.692308028819	0.712623033209	0.708192684742	0.681641501422	0.557980950747	0.702912691442	0.744792293265	0.74041744101	0.651307222477	0.622157450099	0.662770196832	0.690471711933	0.685941102076	0.735711963407	0.785473788529	0.67689599835	0.704842100459	0.766436870091	0.680689374552	0.685344732182	0.6989052353	0.713724501397	0.704104460495	0.673476808581	0.517154344484	0.763111770477	0.662528905132	0.59332970331	0.496276819486	0.492524064042	0.591363220899	0.537808276725	0.517627524696	0.527970276964	0.574711235494	0.711653600872	0.554658608529	0.603068045182	0.663331239829	0.482714928428	0.505624223441	0.565819343134	0.452051626311	0.533885018291	0.436469031332	0.485705978929	0.474725234737	0.506126581487	0.568930829431	0.512081381094	0.506002202313	0.607556837466	0.582820108496	0.441025011646	0.542594482881	0.577212735983	0.504683457533	0.582598411405	0.58409982225	0.601019477842	0.698888779602	0.67101029769	0.572105888982	0.504323281988	0.494078019527	0.471278020676	0.524220739841	0.564221027642	0.638883089851	0.726377929425	0.640436177264	0.667383558671	0.696105091614	0.716417680359	0.694642115662	0.714039338831	0.625326196061	0.650889381143	0.750373212173	0.484887579108	0.674535072821	0.675227797379	0.628924779981	0.627715936453	0.610825495844	0.761482585962	0.679875455723	0.681181878438	0.614729260928	0.70345846165	0.654273895355	0.750748882668	0.666747138555	0.792147233638	0.691526483151	0.682020850575	0.671571088424	0.678361294693	0.693017522699	0.65134385365	0.643211384456	0.76676564922	0.691202929228	0.690025223791	0.601397742644	0.706757760937	0.686355730364	0.686525249642	0.479621899557	0.473383576922	0.47710349953	0.507561113869	0.730532675148	0.540659495886	0.582138999721	0.535250406912	0.46994096677	0.472391318473	0.645037256654	0.556318030343	0.557244613298	0.58497637267	0.578107236944	0.469561376123	0.506951699452	0.449416991553	0.492204678617	0.458748057708	0.431406468203	0.484597992573	0.421791601287	0.457786125003
CS.094	0.685594210086	0.670371614834	0.617683027715	0.682112094298	0.585217632191	0.633085207976	0	0.658804383767	0.711886034243	0.638534433458	0.624923020222	0.713074316573	0.627079111113	0.648210785913	0.64632900459	0.61178389742	0.706304840412	0.654763249183	0.682638033574	0.716848517299	0.635172999158	0.636845113345	0.663054804889	0.669733115988	0.67966699463	0.696450610562	0.640255039309	0.709327740567	0.712748617956	0.663912035691	0.648964509812	0.595992968479	0.600366891436	0.647691686767	0.689577563285	0.65153170828	0.638433081308	0.663474742632	0.69208915245	0.671919182107	0.624827092384	0.669008277823	0.709050529908	0.699710243012	0.673059660911	0.664086434671	0.701689954593	0.673774444846	0.699665339932	0.726171971366	0.731101878123	0.697057002491	0.697260427558	0.715709210008	0.681304633077	0.63454070857	0.705809655263	0.686435250392	0.674622301236	0.694756250742	0.588353706216	0.720433260271	0.697171141157	0.688869539538	0.636819260906	0.603522610395	0.643831903824	0.604224812135	0.64495098135	0.649272692233	0.642406625136	0.665411299982	0.63514242832	0.700476015223	0.699254261282	0.646604433767	0.680114531444	0.680126397135	0.61824946564	0.681494150631	0.677271786607	0.630353018816	0.68536978773	0.658591444504	0.698443409572	0.639431645825	0.608632163091	0.72950260814	0.707047384335	0.682319993306	0.643910919064	0.56576734959	0.645541331247	0.659233127527	0.685929345243	0.69960818966	0.649004495617	0.67683794803	0.607325158115	0.570330486981	0.629743226837	0.631671604632	0.576589014999	0.640455745596	0.587847016746	0.681989381408	0.639543953954	0.649541074735	0.659483734804	0.698551133758	0.614661764613	0.656294072996	0.672348530642	0.667734080046	0.730746562032	0.636282895127	0.698393515296	0.643371085053	0.630800613602	0.606141945158	0.689297789226	0.667728706664	0.635653213233	0.65970920425	0.658581777757	0.612454054987	0.615543505847	0.721033248542	0.655395277987	0.724550773186	0.64160218117	0.636177635468	0.638949107739	0.659633366241	0.663495170553	0.665707245144	0.678336651516	0.751593280515	0.659390828302	0.676394105583	0.625220480496	0.655252835271	0.685389182679	0.695670079916	0.648879072203	0.652355070831	0.636758792643	0.626213689327	0.716127494452	0.635541679384	0.684992710962	0.619603388946	0.582827238956	0.620624999644	0.652498203789	0.600089091675	0.635268999012	0.611465784927	0.578654240333	0.630089968742	0.606083491743	0.654593435604	0.604560852798	0.593560855512	0.606211123892	0.606541579052	0.670370107836	0.560233191292
CS.263	0.58079880661	0.521814769884	0.536903926483	0.625460158231	0.549205057127	0.56312738353	0.658804383767	0	0.682013193074	0.563948884652	0.568142205894	0.556637473975	0.555535591595	0.555306792156	0.577164703178	0.525849145653	0.561102006975	0.539527755002	0.566569337116	0.726344710695	0.641413091843	0.714337935635	0.686040286325	0.655241622807	0.61871726562	0.634047646696	0.553849041825	0.74886137366	0.70746587848	0.552981706494	0.624679585992	0.563438372903	0.534186019973	0.653532894964	0.53444520069	0.587872987424	0.638526783832	0.653831279922	0.656811269964	0.613523596452	0.530279031551	0.67091315383	0.661609748401	0.723217358117	0.571918975596	0.577974872943	0.579211069991	0.618624917544	0.622929417514	0.665053400095	0.693797283305	0.584132774777	0.581643135433	0.712057698756	0.61236598997	0.624815535798	0.583308627615	0.639510163049	0.605329786387	0.574479033504	0.539516422415	0.743141670335	0.568310838882	0.561413106821	0.513397208398	0.523436638703	0.553725405443	0.572251582536	0.528048581247	0.56079280503	0.570497359404	0.691130128038	0.530570826646	0.548793294461	0.570919176313	0.528439346593	0.544328725678	0.554942123238	0.532807847826	0.480607523004	0.547895284326	0.574557729268	0.547205785238	0.463156928847	0.540978110861	0.519736547433	0.555899993643	0.565006588272	0.535476270829	0.558896844899	0.512998696615	0.614816036449	0.557585171366	0.570784311415	0.523452687868	0.539140293051	0.679117835791	0.605374016173	0.546898501082	0.555035243964	0.524890418462	0.590861500009	0.580082364515	0.579701607617	0.663433965198	0.680838620979	0.591073114	0.598651782646	0.640477043109	0.629990967842	0.68256382606	0.669689112449	0.550050123658	0.574406380612	0.71988434323	0.551400846244	0.61230500823	0.594499751396	0.591158343471	0.581541396719	0.509056100179	0.697282324646	0.612310472077	0.625392460006	0.576736133525	0.634841241141	0.655591471478	0.721097837624	0.637574725734	0.763965225573	0.610317596455	0.604096785498	0.642862568735	0.638293002259	0.621019938635	0.581479751561	0.574525203523	0.687923214281	0.631484985706	0.619951598571	0.546909005143	0.62116460753	0.606517570476	0.622249048993	0.539782253126	0.545091503768	0.535101807945	0.525840124885	0.701948063203	0.584623370277	0.553996460002	0.564983425303	0.574286272534	0.578833903253	0.64158397352	0.593546191651	0.569955631176	0.588483398427	0.618058929726	0.515342286232	0.539317771843	0.534347890262	0.572762397201	0.591180228974	0.553210728264	0.545947886692	0.550898959135	0.61782140189
CS.010	0.639334948057	0.719803577539	0.669674576472	0.680818394029	0.731421460981	0.744101539156	0.711886034243	0.682013193074	0	0.673764574041	0.702886538566	0.638017309949	0.617228861788	0.737770687083	0.621258680558	0.681384211543	0.678108365705	0.724275321053	0.656007396994	0.756023854684	0.648858501425	0.759111247315	0.742464949791	0.636050864591	0.597353800871	0.744432165969	0.619612548598	0.713609476173	0.721630686662	0.659976846218	0.722539153965	0.699350273087	0.738782518573	0.715322726509	0.681319612392	0.644656162047	0.646526422808	0.760004287707	0.656238504388	0.704026580518	0.729489364671	0.774254989731	0.650635568788	0.746068113904	0.672898946199	0.720892957108	0.705901598761	0.721932519848	0.735538454313	0.69203183873	0.700698312755	0.7546039116	0.739988401873	0.735871994772	0.719256652158	0.727064223982	0.716687102438	0.72062626453	0.718776334957	0.722096965006	0.720810002085	0.726588240685	0.614896987319	0.73041628097	0.737700617226	0.705413855826	0.733340686564	0.721654650311	0.710484659209	0.745125707294	0.768499382802	0.732956171332	0.731726276092	0.700063176639	0.656221473187	0.725950931153	0.720824848349	0.743733398127	0.746587115199	0.725797077593	0.737574981049	0.726052287468	0.747519273087	0.720408442779	0.690013532843	0.738706261832	0.726993313299	0.709251877702	0.731981177875	0.755363534784	0.716318379189	0.653211408262	0.70799522807	0.644897393736	0.649639377231	0.691480561414	0.725482766482	0.660251624778	0.688215354581	0.666550058343	0.695789887654	0.714487374118	0.658290100556	0.702618059443	0.694268231333	0.686122049625	0.706588082323	0.732956200422	0.744994235127	0.687337476065	0.726309874495	0.693308595713	0.669916933838	0.61560313011	0.756051346392	0.711898862902	0.680045640664	0.700166166131	0.728291918374	0.713786010478	0.70262556709	0.705168478982	0.621045463225	0.731607822158	0.712501468626	0.70345616368	0.707317847651	0.764107525742	0.740330985749	0.757080428721	0.628939177356	0.603285553031	0.703979488699	0.746233768818	0.737236627013	0.710977709243	0.718507978108	0.709458877554	0.682007728795	0.719789980592	0.736178615085	0.674930918859	0.724604595917	0.706609288239	0.746763530897	0.725899080493	0.738354472716	0.700132590961	0.719089503566	0.706699975538	0.690678254685	0.70642163171	0.743444384152	0.736886177694	0.742019610812	0.750304589753	0.709302552849	0.751142777761	0.738203872448	0.739843621003	0.722258937926	0.748115100135	0.704547181001	0.711356257375	0.748393555756	0.730824612613	0.739896432816	0.728521535125
CS.017	0.565846025259	0.558786984176	0.581780954859	0.654820838642	0.55181265203	0.576144335769	0.638534433458	0.563948884652	0.673764574041	0	0.626440670599	0.574436218742	0.550889515554	0.546508904973	0.442619063247	0.542246241489	0.592479936995	0.581550575019	0.615821240132	0.755454200249	0.671759867145	0.707543816428	0.720480257764	0.672533630778	0.651055506572	0.687615627539	0.566719798311	0.735297748279	0.740258655223	0.585991121312	0.697719758912	0.629816947481	0.556617545876	0.678211234635	0.601261327705	0.626154189295	0.638533562216	0.698515197329	0.679278419909	0.664223398401	0.616688159801	0.706554622154	0.658846170682	0.722477341979	0.616265031303	0.657107098251	0.644520790178	0.684138392878	0.672887166235	0.711584821749	0.730640882304	0.669255165928	0.683758924307	0.73670031594	0.666733727468	0.666766157525	0.666953199544	0.701796249829	0.678874460107	0.66574605727	0.588359829361	0.74327909388	0.610291141051	0.642983953431	0.570117479587	0.553677338642	0.595191526629	0.614036896758	0.55808403189	0.609178450932	0.628067207509	0.723671779755	0.580639532339	0.608784010974	0.631206571443	0.576835299453	0.586622196485	0.634974866921	0.576121477094	0.56585865925	0.570222692173	0.598132336653	0.580498679727	0.568646051774	0.617193817738	0.578331215081	0.572572417362	0.616274092966	0.627807633178	0.585065377454	0.604361680555	0.586749348162	0.527692841086	0.563194579104	0.564123531781	0.598148545343	0.692809305267	0.619765786787	0.554696606714	0.549883311659	0.585040179589	0.607980277866	0.519716555685	0.566945118105	0.622786952726	0.696984274414	0.634989612571	0.663563404456	0.701757052572	0.691877260437	0.674319036849	0.684751849787	0.614972628856	0.586585531368	0.761126783924	0.575182357211	0.671555972976	0.655830900626	0.663292933897	0.630527951259	0.617215002737	0.720722839622	0.615457128658	0.662216743628	0.627000515986	0.657588347411	0.673391630047	0.740201270532	0.671459651272	0.766260678054	0.646967951573	0.60934894568	0.675926317296	0.66188808918	0.690800986053	0.668096661141	0.641863662453	0.741795861636	0.648155543064	0.678471048035	0.62154530346	0.649032395829	0.649764726646	0.676835048396	0.602182699356	0.570281200017	0.594504770108	0.569949757736	0.726174287275	0.63281555338	0.585365020391	0.571661614606	0.600419660955	0.578562893219	0.663277449773	0.629441812964	0.578542765812	0.62864266103	0.623557435708	0.593350573708	0.599583664275	0.570271771389	0.576595259544	0.570805381951	0.57432779352	0.610119176748	0.56649420418	0.597032296264
