CS.106	L.004.M1	CS.108	CS.022	CS.002	CS.314	CS.011	L.036.M1	CS.091	CS.092	CS.019	CS.245	CS.199	L.025.M1	CS.281	CS.153	CS.117	CS.371.1	CS.115	CS.186	CS.230	CS.155	CS.063	CS.301	CS.381	CS.077	CS.067	CS.377	CS.066	CS.056	CS.378	CS.292	CS.041	CS.374	CS.205	CS.236	CS.128	CS.125	CS.203	CS.380	CS.136	CS.375	CS.126	CS.302	CS.232	CS.348	CS.386	CS.129	CS.395	CS.256	CS.385	CS.359	CS.181	CS.183	CS.349	CS.178	CS.148	CS.166	CS.389	CS.268	T.CS.014	T.CS.020	T.CS.062	T.CS.046	TFS.024	T.CS.082	T.CS.024	T.CS.085	T.CS.041	T.CS.034	T.CS.069	T.CS.038	T.CS.056	T.CS.080	T.CS.058	T.CS.121	T.CS.105	T.CS.156	T.CS.118	T.CS.167	T.CS.161	T.CS.147	T.CS.159	T.CS.092	T.CS.104	T.CS.111	T.CS.134	T.CS.139	T.CS.116	T.CS.131	CS.085	CS.110	CS.082	L.024.M1	L.034.M1	CS.356	CS.237	CS.241	CS.087	CS.238	CS.015	CS.088	CS.006	CS.103	CS.242	CS.311	CS.189	CS.187	CS.212	CS.387	CS.191	CS.207	CS.364	CS.346	CS.078	CS.308.0	CS.233	CS.338	CS.363	CS.165	CS.080	CS.152	CS.319	CS.202	CS.223	CS.163	CS.321	CS.331	CS.285	CS.361	CS.343	CS.318	CS.227	CS.112	CS.322	CS.270	CS.390	CS.370	CS.255	CS.262	CS.253	CS.326	CS.145	CS.393	T.CS.008	T.CS.055	T.CS.049	TFS.021	TFS.027	TFS.022	TFS.025	T.CS.026	T.CS.045	T.CS.031	TFS.020	T.CS.036	T.CS.066	T.CS.064	T.CS.061	T.CS.142	T.CS.158	T.CS.157	T.CS.166	T.CS.141	T.CS.152	T.CS.151	T.CS.109	T.CS.095
CS.106	0	0.59947165701	0.54189686969	0.56890810782	0.514731981178	0.575019303443	0.552954776713	0.588169547991	0.612564598992	0.49581688596	0.559335985464	0.599929340652	0.556267266016	0.62320360445	0.55833791843	0.478053284299	0.519082770707	0.64862540876	0.582583605054	0.5828823772	0.64606664803	0.589316360935	0.57780692114	0.586056197993	0.565190919541	0.544416714708	0.685810175816	0.619575909021	0.565962667496	0.615580767793	0.646528834044	0.542051934943	0.573420283191	0.630716649207	0.704226967594	0.617961158334	0.624496350537	0.652975428516	0.615022776278	0.59543393293	0.505392357602	0.618248150655	0.589881933367	0.703367975203	0.501202436125	0.593645540642	0.690632008399	0.576142713081	0.60212775973	0.653339359169	0.616537681909	0.692003738294	0.623737875355	0.688436639849	0.609737621379	0.61672107788	0.663305064591	0.657891613626	0.632404909393	0.618710903581	0.586198327296	0.590114172387	0.572794392041	0.605436311244	0.614936738255	0.586475202329	0.581940671331	0.593055131929	0.578872759964	0.592719089279	0.612615041869	0.5668399252	0.61077061435	0.649986350285	0.581546668255	0.602567439399	0.565073221465	0.591686924323	0.583281577679	0.589273518828	0.545152225155	0.612281941126	0.591104167501	0.603016435493	0.590880113376	0.616124992259	0.611921500035	0.596588532108	0.552286549279	0.603449323669	0.424459997383	0.568192124576	0.480947124248	0.63731816747	0.583663167492	0.680162594758	0.536578346005	0.598135428571	0.582863755931	0.577907264038	0.611597314215	0.670538772131	0.535527663245	0.540522783219	0.547434416748	0.603496131661	0.611421070443	0.604595681287	0.695443803479	0.616157372185	0.590302867218	0.628209831941	0.668051827236	0.683395731745	0.623563779183	0.602474121581	0.500674016796	0.577856035609	0.630824174157	0.669171264031	0.502227588377	0.568702338572	0.635086354014	0.651819291457	0.62256953468	0.526276625123	0.598143100829	0.572728260765	0.675244816928	0.662797218159	0.646173529179	0.617716683458	0.737817132929	0.502303782056	0.669121833568	0.650256571726	0.631758576065	0.636277040315	0.592471529922	0.651473600065	0.703290188249	0.59202925693	0.614694544241	0.627738747845	0.657126561334	0.595176629949	0.650573889753	0.619318651905	0.621591312804	0.594237025457	0.634869343718	0.694450644411	0.607126794352	0.595251888558	0.581948186419	0.52880975065	0.597241183991	0.591499807316	0.642129332029	0.655878177225	0.589470665796	0.585608595821	0.596391689194	0.655842711666	0.587986514261	0.636982909064	0.591099331602	0.602741178224
L.004.M1	0.59947165701	0	0.609101669745	0.65702940907	0.642297414782	0.544561083967	0.540208212968	0.532237438647	0.689291533477	0.575046370755	0.54743625945	0.551582658093	0.616840166718	0.59976156988	0.503380075658	0.618798259798	0.593704637606	0.595385080121	0.722330585135	0.523449710102	0.738223255301	0.568922727297	0.737811872089	0.588817859111	0.570116360525	0.586056260984	0.767375133274	0.709353441808	0.581117356317	0.725303563442	0.715705065848	0.626478149444	0.703971019308	0.684482048936	0.703017860617	0.745364008902	0.611436691604	0.685730206942	0.546436810454	0.51532176234	0.670903107513	0.638507791875	0.525953846496	0.743324787793	0.564201773036	0.627743590886	0.718838718491	0.611554315237	0.674047192392	0.654984331789	0.681599440148	0.735869442366	0.639302269996	0.759169381374	0.650564390116	0.597865006893	0.69825748898	0.707394256701	0.681431140827	0.708247323802	0.568551493129	0.492620692286	0.505293135994	0.626637450353	0.544409568626	0.521924197963	0.54573586217	0.484920582403	0.553071558317	0.504718078722	0.546450696752	0.567735686071	0.642485915733	0.613565538045	0.562189628179	0.55749538917	0.600015470948	0.477974323081	0.560133792298	0.446231697873	0.533893645058	0.401935962777	0.528927844747	0.563300630373	0.456306837367	0.482078306531	0.489011321577	0.423574425773	0.596171227448	0.47681650394	0.55968189376	0.66190413654	0.575924896855	0.483839599603	0.586858858423	0.707138679414	0.670694508233	0.504614376399	0.603847302869	0.551727957165	0.572605646792	0.654999887684	0.51141062823	0.562868996433	0.485008927931	0.613910318935	0.640112702643	0.636531959623	0.673179647858	0.611927092457	0.47131249346	0.704472464272	0.75049462781	0.776029652898	0.562213109554	0.724999347298	0.604795590911	0.667224725324	0.681611071516	0.708050698508	0.6304359155	0.524252309917	0.670043910714	0.651371717354	0.684209506203	0.685558994738	0.521395362326	0.585658746406	0.764086388228	0.69604809709	0.672949095976	0.664092761883	0.790098159648	0.675783971617	0.680991928869	0.677371877676	0.684600168768	0.688223795371	0.618199721969	0.677754792373	0.754594373136	0.635877837977	0.573861572629	0.70981008903	0.577847075612	0.522053474703	0.624192947567	0.539449371013	0.469696149315	0.438660159026	0.543015182772	0.716506267433	0.53967537085	0.521560533902	0.432330625229	0.544809903663	0.45548212736	0.493078816807	0.56850796916	0.489984388653	0.457385016708	0.517640105418	0.491123321244	0.500240406029	0.50220657287	0.437269446794	0.406635814954	0.422021438182
CS.108	0.54189686969	0.609101669745	0	0.610622475144	0.57079752775	0.64359209387	0.466918991188	0.65175414074	0.650755205991	0.481816482989	0.602945211335	0.67180162531	0.62921940269	0.683525563842	0.595041748249	0.596916661424	0.602414874359	0.710982304498	0.658604149208	0.552437061234	0.706351735433	0.605540282641	0.639549509142	0.620809228827	0.611172303843	0.594323134776	0.762057888521	0.651725351237	0.602611736653	0.668357808869	0.69643164077	0.601060523443	0.657123710078	0.688588316297	0.754435078122	0.615258462161	0.636381270632	0.700308803771	0.650741300102	0.635784201329	0.61955417632	0.69575735881	0.621742091082	0.74413600824	0.563858788711	0.590171914128	0.715280205133	0.63637519464	0.647676103888	0.711775704714	0.646633553129	0.718154022571	0.652583023931	0.745671603289	0.653229826896	0.66240047635	0.721245348025	0.698627277077	0.664662186136	0.661103653651	0.608684167898	0.527876846947	0.606659644071	0.6941942768	0.672863270322	0.644461835963	0.656620508983	0.649069572882	0.650432791946	0.644232048803	0.666092221257	0.556968652646	0.662335099064	0.745403394436	0.63785689231	0.612273981329	0.491442465603	0.640265015279	0.64741878088	0.634966560514	0.60376506282	0.584948290166	0.559506301293	0.631698584412	0.581282809299	0.646241913759	0.649324740481	0.599167503362	0.595156398448	0.620124607003	0.539053443715	0.656434132582	0.557750966523	0.648391242419	0.646801862211	0.744868203239	0.638700342033	0.56261165017	0.656863651879	0.612874635896	0.629769912551	0.707689012166	0.59855774507	0.541489440763	0.58212073651	0.670009493625	0.641205536784	0.66116474601	0.760532973776	0.692764869719	0.614073957395	0.678525969328	0.749798421631	0.746561603118	0.673317224224	0.666008899174	0.548478879519	0.618383453145	0.68214514024	0.753827902935	0.616123529981	0.593871496403	0.689535647975	0.710815808917	0.68316904869	0.626054485675	0.621056109912	0.557349938676	0.722404976855	0.727123513557	0.700565052191	0.696518266702	0.791148019637	0.633456291713	0.735841279714	0.693527965942	0.670546137065	0.684903895609	0.634953383515	0.713799002089	0.732181433534	0.643846218538	0.655851877472	0.685806889258	0.734897893353	0.621592454437	0.721349586171	0.682027830075	0.681137539211	0.597133875974	0.717202328437	0.747437092106	0.666140650246	0.644496561173	0.572256751006	0.532379150975	0.599751102397	0.632346042665	0.704235520283	0.719891352164	0.610255465434	0.641204845789	0.634117877209	0.686151559378	0.616854368196	0.679283028435	0.601302677232	0.608237505542
CS.022	0.56890810782	0.65702940907	0.610622475144	0	0.570337749027	0.577296616885	0.621939419991	0.626752243777	0.623969272271	0.606014618036	0.591894016826	0.601092285121	0.571641234571	0.621810510383	0.629225527916	0.590191558529	0.594783601292	0.598300709926	0.601455603129	0.625646704106	0.608726742535	0.636122266966	0.573115709926	0.625295825182	0.640105829749	0.611046807119	0.658052133581	0.619145995559	0.603231374032	0.583240897682	0.614159088793	0.574163264533	0.568220709184	0.613983948731	0.628336306744	0.619273867248	0.612907595362	0.585984533724	0.646848674873	0.648821049531	0.558689448035	0.609839890046	0.632593215212	0.648033340875	0.594864098165	0.608773552402	0.652178583577	0.611096617092	0.627090506348	0.624886412284	0.612116136341	0.646189622881	0.594914465917	0.645308023248	0.624116834871	0.639337676124	0.628780023721	0.642166226961	0.61083889927	0.61894292415	0.613568460865	0.672054857535	0.643832195821	0.584686390142	0.608691410878	0.653486460601	0.585785601639	0.623320990966	0.615684440087	0.639748392177	0.625040993463	0.645542364624	0.62118339274	0.628192320877	0.633217988127	0.65168019137	0.650396170336	0.637487720788	0.596028357666	0.635524935653	0.612228567236	0.675535752921	0.667908480096	0.688175499625	0.665312519816	0.620838667369	0.666604644275	0.670792325762	0.609651578809	0.671465021546	0.592437292746	0.551676843701	0.615625999823	0.635123900237	0.597591049719	0.655367252122	0.5379488735	0.645448233253	0.583999229177	0.593261899107	0.632699957516	0.611712921903	0.53067302263	0.594418388731	0.612128829327	0.586572464563	0.580961440927	0.587207522609	0.645427774159	0.593004168414	0.65664947094	0.614987799144	0.629963302075	0.636511536501	0.608425594177	0.588273428462	0.616023276955	0.612253745411	0.596263529435	0.610723966167	0.546699805586	0.622312250478	0.60497773504	0.666463146207	0.592144540092	0.554623407844	0.62084462199	0.604016710535	0.601035398755	0.63692585761	0.595190995909	0.604307348665	0.66660331915	0.550515832275	0.622104037818	0.608659994552	0.583541872375	0.614347343822	0.60644131432	0.610254372293	0.672500162501	0.599299827097	0.633603003377	0.62603638954	0.653412500667	0.595657130594	0.612272195861	0.635512247442	0.64167038883	0.675035895484	0.634681766288	0.64702105753	0.628260289891	0.605726953292	0.652137160449	0.610628506623	0.665984863019	0.627187009162	0.62870366734	0.638372419471	0.652638997502	0.604730322435	0.639781519361	0.637667329649	0.630532878195	0.652529493766	0.664877427817	0.676137728946
CS.002	0.514731981178	0.642297414782	0.57079752775	0.570337749027	0	0.609914194691	0.580319392542	0.593520600551	0.637564801209	0.552608015182	0.546409454574	0.639666701507	0.593912902436	0.621853676388	0.576856716216	0.518270044633	0.543754202936	0.641624774497	0.595530522902	0.592958181813	0.656115478134	0.616999018768	0.60046926467	0.614240861474	0.571539139587	0.595342363259	0.67675287401	0.618915373822	0.564799592979	0.594003578209	0.653121324605	0.537537188135	0.550624870786	0.647874842138	0.705665213974	0.601158777781	0.587967992893	0.645011148731	0.621352394916	0.622422281919	0.540183713306	0.641772848935	0.597019873426	0.722092693838	0.528161440537	0.603822274213	0.663280897818	0.581788581239	0.576960609249	0.612335028066	0.628321441104	0.707150051703	0.599912939757	0.653436634021	0.608468339246	0.614545221616	0.595539913685	0.612230742465	0.631228587903	0.578060427261	0.606779171753	0.621256575783	0.603343491062	0.642252046372	0.630112425889	0.620464104651	0.603021195148	0.631318450507	0.601233465068	0.636957653081	0.616405263849	0.585316960044	0.620825702152	0.659293220362	0.602390092737	0.613466973969	0.599859870905	0.639668071633	0.611666371902	0.625615935013	0.58315967679	0.640521922554	0.620517918394	0.634284667051	0.62542285384	0.643669113885	0.623988391663	0.636830546119	0.545390587819	0.642291888671	0.504923497184	0.566082384732	0.549525353994	0.669808094136	0.602510728987	0.712012447067	0.549684550355	0.591141933146	0.623138484401	0.579576238892	0.622822976329	0.673119645485	0.581377398972	0.532246825488	0.595850220489	0.613505518155	0.640073309681	0.618594991981	0.707505048485	0.62737554496	0.604899365013	0.64617744221	0.688858959917	0.695866434256	0.645216205045	0.632709699677	0.555030269042	0.570166033127	0.616171881255	0.693867931186	0.554946905397	0.589188837521	0.633312030066	0.6707838287	0.617857735285	0.581083598544	0.616173501572	0.548922731315	0.666838711827	0.657582279953	0.656114242067	0.630935443127	0.74497165279	0.53746100743	0.633464592478	0.624162794255	0.598180692888	0.605682861714	0.604550083115	0.661815994858	0.694409050447	0.637427156468	0.625993811116	0.611944070507	0.66965463631	0.604686385495	0.662589599593	0.65580091013	0.641819424945	0.629540583368	0.665823532979	0.71669450696	0.637087048222	0.609607400625	0.632694537478	0.564393601562	0.639701328873	0.611312029274	0.619514177583	0.678370926429	0.640995276117	0.636414773522	0.61991504957	0.653264828193	0.619531234336	0.646214848989	0.623842209927	0.632551417734
CS.314	0.575019303443	0.544561083967	0.64359209387	0.577296616885	0.609914194691	0	0.587279282205	0.564850121502	0.655429917432	0.597641237258	0.545893280671	0.560058343653	0.584854422224	0.593533013736	0.536367369536	0.565996455154	0.555270067679	0.555601699816	0.644783691695	0.569946796846	0.64076117975	0.59439828341	0.637163734477	0.617674721063	0.562455809532	0.579003127376	0.704836381578	0.643098339521	0.573154332046	0.652539327416	0.626201996876	0.591654630023	0.641494597214	0.630817977321	0.665795432557	0.693864464333	0.588792790253	0.613337360599	0.595210819023	0.582521173452	0.583686613651	0.568050308397	0.554591531005	0.662873105514	0.55514859549	0.610878557907	0.648238221193	0.563237873154	0.619846227271	0.629434785727	0.630291931837	0.682571831281	0.612065678124	0.68939438457	0.634417200793	0.57454829993	0.653356853698	0.656317935652	0.610583756793	0.640877427579	0.592843952077	0.591995977421	0.532797007185	0.563535942861	0.568195864347	0.548680784347	0.531742957405	0.553141121358	0.550497331581	0.53269347459	0.574504944308	0.585990593026	0.563420264476	0.569866598071	0.550375441364	0.605505096028	0.623836779386	0.509946120496	0.560740279818	0.505579765123	0.544969354278	0.566670898299	0.60135296956	0.618930971982	0.55097153799	0.518095241306	0.542255648872	0.567389579829	0.54261484849	0.549245952908	0.564638660016	0.595689072747	0.571319209684	0.544194161214	0.570348251698	0.63701818393	0.601096511227	0.58965606987	0.566283790472	0.563354755292	0.595372024662	0.621227181159	0.49476381967	0.57313235003	0.530580164831	0.558143607183	0.581440045004	0.579775968425	0.606661252236	0.555207582997	0.5722230696	0.631236573307	0.657879402214	0.695191946995	0.58104572767	0.637716530358	0.584581055366	0.608056880912	0.624624418738	0.640185738968	0.574982078327	0.561517434295	0.637127556	0.591112413172	0.619280095101	0.587257205207	0.554811484942	0.596478983311	0.672905124134	0.611685406034	0.615336804554	0.620288726844	0.733194511814	0.590752789092	0.650469452507	0.62542987032	0.625777316768	0.630574308745	0.601557925204	0.620363364231	0.686054614076	0.589791329866	0.569179052098	0.644788319363	0.573905113431	0.546292492734	0.611101546205	0.566145110109	0.557823182755	0.574506630715	0.573794902691	0.671648434815	0.559869049636	0.553624439975	0.564804727884	0.552491121539	0.556066961609	0.54807771045	0.564382038187	0.555687328656	0.541997257656	0.515459556879	0.537956304859	0.542189050835	0.537405855817	0.534267276306	0.546089739425	0.563536964973
CS.011	0.552954776713	0.540208212968	0.466918991188	0.621939419991	0.580319392542	0.587279282205	0	0.585697572176	0.654158631384	0.451364319493	0.56322911808	0.615025347905	0.626214343807	0.660321057576	0.533863584903	0.554204099005	0.579296328558	0.654895468767	0.648257703228	0.527258083652	0.700223634695	0.539839716843	0.670677792497	0.570868017765	0.569468059777	0.578256599078	0.73721919269	0.629027350479	0.622193950365	0.666803297008	0.691640443316	0.581317207233	0.656082249126	0.656348249939	0.709301101682	0.68497653622	0.599719775847	0.643549187448	0.609800747563	0.568157150496	0.613846851211	0.651903447445	0.551796439241	0.720058327484	0.512767536019	0.574562058113	0.6981172998	0.59792519751	0.610973070636	0.659763714033	0.623579011925	0.694941837711	0.6191815696	0.729391799538	0.631403430626	0.606796344443	0.698810181438	0.680903363471	0.617634447155	0.660099216216	0.565412622899	0.496039157135	0.560843228927	0.632602063602	0.624502454854	0.570808866495	0.591314683934	0.579926635555	0.590865144931	0.565606692482	0.587479169961	0.470210488667	0.66644977195	0.679015199044	0.600534169129	0.515193068808	0.476721637309	0.558251302561	0.571741752376	0.551666980475	0.521674102027	0.513763622635	0.496494871014	0.528896667107	0.495386331619	0.566145529184	0.557953073581	0.4975542511	0.593354719054	0.501805145684	0.497537823154	0.647499247606	0.487870801714	0.593900370948	0.605795452915	0.678740624747	0.621845423001	0.523652009785	0.619830949099	0.553860258269	0.60777650539	0.68695013742	0.531946412222	0.528340906919	0.51267532051	0.627202433224	0.620874951115	0.621356450297	0.683931350575	0.622020006227	0.539156892259	0.657569060512	0.718243937463	0.717339451751	0.639984032581	0.668121616784	0.547591360575	0.612948906688	0.666945226938	0.707272457809	0.600580860482	0.515182236439	0.658732886551	0.665845233644	0.635614117457	0.614671155925	0.580129735735	0.544296547709	0.705459642057	0.683264820271	0.676628072077	0.668166429551	0.774720643679	0.62859109864	0.700491422979	0.665457467816	0.658676437606	0.648874803486	0.593199015182	0.678782529494	0.718093623597	0.597106343243	0.594894076309	0.670802265277	0.673578858684	0.585515803361	0.664511119984	0.63119677703	0.602873775058	0.503902536921	0.632406640785	0.705927490731	0.620992388486	0.585035619248	0.502898949267	0.512433299537	0.515961126232	0.573775637999	0.62491883231	0.636628893353	0.5179104203	0.585800616306	0.521622648566	0.632314184381	0.535127454115	0.591755862615	0.498906861158	0.529191860138
L.036.M1	0.588169547991	0.532237438647	0.65175414074	0.626752243777	0.593520600551	0.564850121502	0.585697572176	0	0.673679639508	0.599448881612	0.539692740059	0.526422850119	0.604253233132	0.605100027647	0.526080565663	0.594801441423	0.58693286125	0.556796233546	0.665232908883	0.57323318607	0.691546601421	0.576590160437	0.693257236012	0.597512759355	0.524983787409	0.577664772794	0.739293518231	0.679045760908	0.591647646699	0.651500358664	0.693782967234	0.609312522558	0.626612369036	0.670336764816	0.702895557865	0.6896690477	0.572094633948	0.654566318707	0.526742286572	0.542272417082	0.627883314343	0.610392893632	0.524758275464	0.72356204298	0.583512629802	0.596925738003	0.716895847591	0.6079734458	0.624507443707	0.658677161535	0.654519561402	0.74517673575	0.636153404088	0.713434337234	0.608172623394	0.560034780815	0.671562910401	0.6606462127	0.661709771025	0.670865763127	0.555299365668	0.569983644442	0.503391110061	0.573021717315	0.562947741574	0.562634439941	0.536721393743	0.511305868441	0.518471038864	0.525446349306	0.554534571263	0.552781450767	0.609976278677	0.570936517634	0.533578595959	0.53213583887	0.636232758936	0.518511345008	0.54085574247	0.49279000183	0.553145561511	0.525800355849	0.581725778515	0.554427622285	0.525034293076	0.504312653153	0.51337832759	0.517042132404	0.58513067109	0.509779061319	0.564179708488	0.637370273797	0.591114398863	0.592929920271	0.527520530964	0.691764267007	0.650076096633	0.564649793596	0.595323308728	0.592475157538	0.554653728581	0.625110446501	0.551210330141	0.592623178049	0.492854289312	0.600993292161	0.680576612386	0.621620297277	0.65572655477	0.570293443891	0.529936852254	0.689253317995	0.69831339071	0.771804480691	0.601788757332	0.685156956939	0.627781181172	0.619767651908	0.636758159923	0.676166624483	0.628409313024	0.537278333144	0.644148703444	0.636665318066	0.644839229353	0.642947119433	0.573340817354	0.585396745433	0.726202993109	0.648353361189	0.673114271518	0.649816892307	0.779841184931	0.620539006941	0.670737910024	0.638757171951	0.655887518241	0.626736941878	0.626234527641	0.633980215393	0.750035629418	0.630707237971	0.574082733446	0.636096439851	0.543943991263	0.525206511778	0.629902054819	0.581165869308	0.507677887176	0.511182683537	0.569814950435	0.70615887665	0.578257582603	0.528902186264	0.527645259077	0.574398770253	0.527024370154	0.521282460504	0.551454114614	0.548375896469	0.509061666858	0.524567006214	0.547286955248	0.538707107074	0.540515522907	0.489533765232	0.516339244908	0.504175435656
CS.091	0.612564598992	0.689291533477	0.650755205991	0.623969272271	0.637564801209	0.655429917432	0.654158631384	0.673679639508	0	0.614529808564	0.652853496906	0.652786318907	0.629138864729	0.703186898725	0.634975678848	0.617860921368	0.643270203066	0.641736310701	0.615258641749	0.692827556428	0.641861245666	0.625195119403	0.617468423774	0.607424711716	0.598561245729	0.585320803476	0.634717989028	0.590378615173	0.664692136991	0.593519869272	0.633935496544	0.573454641443	0.635168402225	0.590344513873	0.599934234823	0.653057113892	0.60204215205	0.599348945718	0.65398002027	0.649368997943	0.574826880994	0.587707166895	0.60254005793	0.624189956138	0.615556587281	0.617058050893	0.633642899238	0.621799753081	0.608489038794	0.580880283901	0.562890893694	0.6263235182	0.573622849655	0.642720142074	0.577915825452	0.633870978415	0.607796997719	0.616915953548	0.557448403015	0.602979199517	0.643577853935	0.690649883975	0.668595982287	0.606653451347	0.652019133077	0.66500469759	0.642576850072	0.652372502478	0.661827321431	0.676739345242	0.632988327529	0.684108035362	0.695820782806	0.626868722248	0.657544984479	0.6750391638	0.694311373047	0.666203527521	0.611236961222	0.673137505535	0.658760506483	0.70293662671	0.697685181822	0.696225216483	0.683044322753	0.6686084521	0.679684715637	0.702526134985	0.657220548117	0.670526601055	0.616654416442	0.60117876755	0.629815818598	0.691066357893	0.651363871708	0.653374104747	0.591414254023	0.668482059076	0.653690740445	0.630638573349	0.68731094086	0.706770624454	0.636858825948	0.625760274416	0.65986153589	0.645929316744	0.606934913991	0.591838672523	0.645389589067	0.59683970127	0.65158849238	0.612086027328	0.61254858206	0.657847978458	0.651270385749	0.612517757843	0.641427764585	0.615889177147	0.593409827968	0.628673991923	0.584395620989	0.62545218816	0.56948650895	0.653960598354	0.575314251163	0.622130157411	0.66000290009	0.59333009622	0.614585299153	0.620209294098	0.567247007776	0.588031831924	0.636678209721	0.622108829513	0.61093121022	0.579021189982	0.562146185704	0.615450615685	0.579821166252	0.607573052032	0.644860979719	0.584358624469	0.622386889263	0.647181607244	0.660878115565	0.662373043497	0.635305462393	0.659618910879	0.677966531408	0.674664145966	0.638798046486	0.665394560387	0.661896879901	0.65924844437	0.677055872543	0.65629291823	0.680388415063	0.651786832661	0.650939940153	0.695690330518	0.657891174495	0.675727722662	0.646999934028	0.707000162821	0.650348332491	0.683121461201	0.672990442325	0.702469643689
CS.092	0.49581688596	0.575046370755	0.481816482989	0.606014618036	0.552608015182	0.597641237258	0.451364319493	0.599448881612	0.614529808564	0	0.572822648783	0.619472054261	0.614364838675	0.646523212821	0.542938587302	0.527219563399	0.544159167526	0.672989191523	0.613115964945	0.537451388149	0.711453806598	0.584236971779	0.635995076634	0.61371402321	0.575743743194	0.543284293896	0.735775171329	0.643287342892	0.575383019824	0.667054619744	0.676799218342	0.584947725009	0.64321252036	0.659196060166	0.736464834272	0.663355643246	0.623567617984	0.679071408911	0.606322550755	0.578036983713	0.591113103636	0.660263885471	0.589857323688	0.741403456914	0.49515727799	0.591738472776	0.718502326408	0.587057602609	0.627876388492	0.685248934455	0.639650532032	0.716917786465	0.623345242799	0.735375067333	0.626331686427	0.620158860801	0.685192383867	0.677152690038	0.654730354141	0.650789053279	0.586035883882	0.533425738196	0.564045190527	0.640592359344	0.641540023639	0.584501872194	0.606118490411	0.597803037934	0.596248190053	0.594093843981	0.621346163714	0.520842623527	0.638676358488	0.691289640515	0.598035550473	0.553673488932	0.484547060615	0.590262609286	0.590652759768	0.574525143	0.509737254936	0.537771503606	0.504731786535	0.533603892009	0.515626559364	0.602159750448	0.599195360787	0.520666067991	0.567115631698	0.540047903232	0.463482779866	0.609555129019	0.381231409451	0.622919932144	0.593984568236	0.720201543958	0.592659250223	0.558792700511	0.600879771105	0.551960770128	0.603814736337	0.688460773909	0.553460313781	0.523633132035	0.52653904146	0.608377930248	0.637626466807	0.638772323255	0.72596893691	0.652993988833	0.563436763157	0.670734957167	0.722267840425	0.736445880973	0.645958654261	0.655624653377	0.501828490837	0.610296619135	0.67326568105	0.725806445239	0.584937837743	0.54581125109	0.678793406496	0.684868211098	0.665061923544	0.613202367315	0.593493751408	0.566747896611	0.712063137004	0.693472866558	0.704576460786	0.683343747902	0.789587030533	0.602706429179	0.709915295112	0.675354019264	0.663588797632	0.672338435479	0.622330555921	0.688170547681	0.721671558201	0.62054539779	0.617255196138	0.668899684752	0.703196532457	0.597739496367	0.69046480528	0.645291837008	0.617278145984	0.538721572488	0.659787586309	0.731156729295	0.629217257793	0.618978984255	0.533607678267	0.526778367554	0.556482400771	0.575846798215	0.651571936485	0.649941842511	0.542670786413	0.592840224041	0.590435027623	0.646101910726	0.587925061541	0.598338873548	0.530421671606	0.549419509684
