CS.219	CS.104	L.005.M1	L.022.M1	CS.093	CS.357	CS.217	CS.035	CS.005	CS.313	CS.043	CS.354	CS.084	CS.297	CS.002	CS.360	CS.137	CS.290	CS.365	CS.064	CS.062	CS.122	CS.067	CS.153	CS.287	CS.381	CS.161	CS.077	CS.368	CS.065	CS.224	CS.380	CS.128	CS.378	CS.213	CS.125	CS.376	CS.203	CS.292	CS.236	CS.232	CS.302	CS.126	CS.205	CS.282	CS.386	CS.183	CS.147	CS.268	CS.389	CS.182	CS.323	CS.166	CS.349	CS.369	CS.254	CS.372	CS.181	CS.129	CS.256	T.CS.020	T.CS.014	T.CS.035	TFS.024	T.CS.079	T.CS.052	T.CS.004	T.CS.029	T.CS.057	T.CS.028	T.CS.040	T.CS.059	T.CS.025	T.CS.007	T.CS.069	T.CS.126	T.CS.116	T.CS.161	T.CS.102	T.CS.107	T.CS.114	T.CS.180	T.CS.156	T.CS.106	T.CS.100	T.CS.121	T.CS.130	T.CS.091	T.CS.105	T.CS.128	CS.242	CS.237	CS.241	CS.015	CS.087	CS.246	CS.238	L.034.M1	CS.082	CS.110	L.024.M1	CS.088	CS.356	CS.085	CS.006	CS.191	CS.187	CS.228	CS.078	CS.274	CS.207	CS.338	CS.233	CS.330	CS.311	CS.151	CS.387	CS.164	CS.345.0	CS.336	CS.331	CS.227	CS.320	CS.223	CS.112	CS.321	CS.343	CS.319	CS.318	CS.152	CS.158	CS.194	CS.285	CS.080	CS.339	CS.370	CS.393	CS.326	CS.262	CS.253	CS.270	CS.145	CS.255	CS.390	T.CS.031	T.CS.008	T.CS.049	TFS.025	TFS.021	T.CS.061	TFS.022	T.CS.026	T.CS.066	T.CS.043	TFS.020	TFS.027	T.CS.045	T.CS.055	T.CS.064	T.CS.095	T.CS.152	T.CS.151	T.CS.109	T.CS.158	T.CS.166	T.CS.157	T.CS.141	T.CS.142
CS.219	0	0.539690850356	0.658550689858	0.579056449469	0.559149921862	0.607298428591	0.587701763673	0.575553504773	0.536180452301	0.582773143251	0.569304883275	0.629200289991	0.501469813231	0.622931026931	0.558436034835	0.592864505709	0.595450355335	0.641006508093	0.581981827132	0.542251451474	0.548321836732	0.548753598766	0.677710742291	0.52500913856	0.593820593179	0.562786013559	0.606823666438	0.56834965857	0.558436616024	0.590054580238	0.729581726163	0.588531080315	0.580040693217	0.642110034375	0.637210329833	0.629300096612	0.61118113097	0.627201229133	0.538166960613	0.599137235861	0.504795962751	0.669255979053	0.576580410319	0.671184056966	0.639777386895	0.686526898145	0.674900515034	0.618768816598	0.62089546094	0.583278020024	0.550047791073	0.58617873367	0.633361408376	0.594982373842	0.666572080084	0.588164456462	0.585312612572	0.605751111126	0.603375731887	0.636707580765	0.596888169839	0.564456678657	0.586060799414	0.603550506799	0.648939290177	0.606260449244	0.640101615756	0.553765917471	0.690889648916	0.606331817232	0.552727707261	0.573340912991	0.599419129707	0.656736098825	0.599729598086	0.568449108598	0.570646345599	0.563111366766	0.628651453495	0.602828629093	0.583731001428	0.548370988932	0.594072545409	0.624444084575	0.582822401574	0.582056076418	0.552615691598	0.618290997047	0.530098688533	0.532812965387	0.557231397878	0.578137668138	0.574479069201	0.635943629438	0.624642704299	0.55669897662	0.58178344036	0.617495768773	0.513315482969	0.58973508173	0.655532240541	0.699967302814	0.679573870861	0.506189469937	0.582438685312	0.591565589511	0.592927627634	0.565944772857	0.658994424711	0.652586345451	0.63342829323	0.559804321103	0.550751897113	0.620881477055	0.593542759145	0.565360426652	0.618092818983	0.659258368529	0.684727820912	0.620092662994	0.525204537357	0.731983355928	0.601447220875	0.611961911708	0.557799645702	0.600853030948	0.66278457086	0.622861056716	0.616493049477	0.562060484546	0.567411934843	0.733679660073	0.654658086917	0.565847609479	0.656570412381	0.613598554987	0.629851934776	0.58739124702	0.639298637839	0.676155512594	0.619741865047	0.595709683547	0.575352590903	0.609548738056	0.621363692134	0.667127010326	0.652626236112	0.640178387137	0.6572709713	0.645153645836	0.591350291833	0.677608949745	0.623182806034	0.634055157073	0.587952878262	0.642767336988	0.630449172428	0.618164385362	0.61153139791	0.62431122188	0.581891073931	0.655555675514	0.606239335417	0.576041876682	0.593603403003	0.619989546161	0.680276534096	0.694860168978
CS.104	0.539690850356	0	0.567973024709	0.579611517554	0.546220679832	0.534864640983	0.528391535409	0.53455355057	0.553492651637	0.565319041751	0.561468030658	0.581100538416	0.565613824216	0.525191395822	0.541882534634	0.597812439566	0.545985503747	0.619714140606	0.505688295193	0.537445494589	0.501992534981	0.529120735251	0.697732951043	0.518860841476	0.602273683531	0.533479791531	0.5955114371	0.509958496698	0.503862891026	0.551775688418	0.729451726192	0.53733755415	0.536969229524	0.653514594952	0.651198266375	0.614296060449	0.604793507429	0.533854423721	0.542254403395	0.619315323724	0.540166800314	0.690383114291	0.534794219745	0.662737856514	0.640699516128	0.682645818609	0.690233997907	0.626867390732	0.619770942561	0.608055447628	0.591763468241	0.601399267084	0.659665713556	0.602797307168	0.704303854667	0.623402333309	0.607561542662	0.602492942391	0.588491391829	0.625712606154	0.587500888611	0.571425887415	0.54461703484	0.537064142728	0.650690971457	0.612392123226	0.568393056125	0.57920726439	0.668141522262	0.554998900383	0.521949238319	0.592608725974	0.547216792954	0.620513796256	0.571635669032	0.523875855306	0.563532429658	0.592665033329	0.587732337152	0.543713124467	0.599075321305	0.569920155422	0.533359726343	0.582626040898	0.576140047242	0.558143127305	0.531288352424	0.55831746729	0.612928546721	0.590948071199	0.535499214573	0.585713038944	0.523528787625	0.558776782218	0.538232398926	0.542225308562	0.518924241855	0.555768990376	0.536394659477	0.589614623974	0.575109997849	0.592113394636	0.647033262825	0.523258399037	0.511456600884	0.544888865241	0.591700278953	0.54910047932	0.543710360389	0.645948728735	0.650852967738	0.607779696188	0.571618197333	0.615911886785	0.530553376911	0.566780133751	0.560458318685	0.67596558901	0.691204738221	0.586129668772	0.565848693874	0.728552164422	0.57227713251	0.622977153599	0.575076773746	0.511641097573	0.628950086549	0.605091491961	0.614827097757	0.520785684392	0.571482883887	0.723154900087	0.63602198442	0.534249890106	0.609383904107	0.610444092809	0.606200688848	0.61116830764	0.639063534905	0.706087460489	0.634022430258	0.553479008705	0.589918219432	0.601408479458	0.562909051102	0.600180740071	0.635700398837	0.564662769002	0.573425063043	0.562418081519	0.547024486173	0.699852243296	0.558874619904	0.548950426477	0.551256972999	0.543798436209	0.566031329661	0.539242227706	0.527451867293	0.587214978246	0.526553287032	0.572793305878	0.556559580248	0.532025591414	0.541180998539	0.567445680912	0.575343796878	0.578241396669
L.005.M1	0.658550689858	0.567973024709	0	0.55579056063	0.542755528247	0.39890484715	0.506862304776	0.588157183404	0.550327189536	0.46882909622	0.629870232711	0.608189579564	0.6099048282	0.420693078178	0.656285912941	0.654216537025	0.539246832347	0.696426182491	0.496287795191	0.640934617072	0.548070652902	0.554344263493	0.765693573661	0.64320099336	0.676238914972	0.593210868607	0.715861790922	0.602266551671	0.542733555177	0.663407608043	0.763750922127	0.535622026526	0.625487975842	0.708192684742	0.702125453944	0.686516945681	0.685877483267	0.526836728016	0.651307222477	0.744792293265	0.59519432061	0.74041744101	0.557980950747	0.702912691442	0.712623033209	0.735711963407	0.766436870091	0.690471711933	0.722754640557	0.704104460495	0.641920162799	0.67689599835	0.735598026088	0.673476808581	0.785473788529	0.701113207025	0.682837467657	0.680689374552	0.638789429835	0.685941102076	0.537724169921	0.568684878586	0.554658608529	0.537808276725	0.704889506414	0.681738554842	0.557301401005	0.663331239829	0.711653600872	0.573304609411	0.492524064042	0.662528905132	0.552082213636	0.661836946406	0.574711235494	0.507167370595	0.591605984905	0.568930829431	0.467127682091	0.452051626311	0.562288624872	0.586791719791	0.459476618477	0.441025011646	0.505624223441	0.571195684426	0.506126581487	0.425573995144	0.63665130294	0.582820108496	0.494078019527	0.684707001766	0.504683457533	0.524220739841	0.577212735983	0.542594482881	0.564221027642	0.572105888982	0.601019477842	0.67101029769	0.471278020676	0.638883089851	0.698888779602	0.58409982225	0.504323281988	0.484887579108	0.675227797379	0.650889381143	0.576893186666	0.696105091614	0.716417680359	0.683715312595	0.614566644201	0.667383558671	0.624527211316	0.640436177264	0.627715936453	0.760165656616	0.797485168336	0.628924779981	0.610825495844	0.792147233638	0.614729260928	0.693017522699	0.682020850575	0.507640628692	0.666747138555	0.678361294693	0.681181878438	0.557735864632	0.679875455723	0.750748882668	0.761482585962	0.641494378643	0.654273895355	0.686355730364	0.706757760937	0.65134385365	0.691202929228	0.76676564922	0.686525249642	0.601397742644	0.643211384456	0.690025223791	0.535250406912	0.578107236944	0.645037256654	0.556318030343	0.540659495886	0.58497637267	0.479621899557	0.730532675148	0.473383576922	0.46994096677	0.47710349953	0.472391318473	0.557244613298	0.512929170719	0.507561113869	0.421791601287	0.506951699452	0.431406468203	0.449416991553	0.469561376123	0.484597992573	0.492204678617	0.458748057708	0.457786125003
L.022.M1	0.579056449469	0.579611517554	0.55579056063	0	0.474487948335	0.574160754403	0.548856982974	0.582238105443	0.492913519018	0.506265299261	0.627679252423	0.647676056355	0.544641718922	0.575960105204	0.629027700331	0.670208080899	0.609191907967	0.704364027467	0.592738596462	0.600379333192	0.569909327788	0.574361147579	0.766977349485	0.608700487295	0.647305323486	0.569797546305	0.70515121593	0.621823745869	0.570075595686	0.672434510164	0.78102147042	0.553601719171	0.636640207773	0.713735304579	0.73237852854	0.690580701214	0.700829529742	0.604826102011	0.618668667759	0.71885599733	0.554591784444	0.760291198629	0.587939422871	0.748240360492	0.7154756578	0.723148177573	0.771811777655	0.696976847786	0.690232546568	0.685229167628	0.63024437966	0.669787203695	0.705941863782	0.651876250789	0.764207737108	0.690353049928	0.676445651943	0.664021036002	0.619543992139	0.67913656023	0.495896490959	0.590706405711	0.601672535877	0.635649987122	0.721021781298	0.663662914691	0.637021914261	0.638540287173	0.741973719195	0.60326905077	0.553987808047	0.606336583699	0.593796644803	0.688971017729	0.624254025397	0.540459705072	0.589800030378	0.494868349982	0.540626682701	0.5330614317	0.497046782296	0.566242506591	0.566540282561	0.472517415988	0.518523058667	0.554881617974	0.524730435136	0.491894281029	0.492918884798	0.539432625214	0.531223978351	0.674570898263	0.555422248917	0.615352006269	0.652901685036	0.543332090276	0.607724612957	0.621663090153	0.529803978523	0.670212054049	0.576603520763	0.70441150144	0.743302551413	0.545921341627	0.58024234599	0.542739803427	0.660350535671	0.644908320986	0.652091573281	0.730541974562	0.694153850748	0.643338264531	0.585064325026	0.674892235412	0.669456069792	0.629618785265	0.660000621837	0.741745716452	0.785575789652	0.641067147071	0.572679639356	0.809876289334	0.630441176336	0.700547526706	0.668725127664	0.604784791153	0.698874980462	0.707659556967	0.702097462813	0.567031284858	0.672376220059	0.787955389927	0.752058767053	0.635383884201	0.695683468109	0.68751633618	0.707541771943	0.626651667938	0.702838630589	0.759619425135	0.687938807284	0.628628794954	0.621926287958	0.687254258769	0.603459124291	0.67118688274	0.687638673699	0.65563529375	0.628422171633	0.656316372895	0.520159734598	0.746609601283	0.525080711999	0.610951910913	0.510454899783	0.605409598308	0.632050098898	0.60146759115	0.578522780656	0.497500826336	0.566037869075	0.569730373504	0.483264886045	0.53967794552	0.582928573301	0.578961994658	0.621401219994	0.63838943088
CS.093	0.559149921862	0.546220679832	0.542755528247	0.474487948335	0	0.534248899333	0.469460069965	0.516699044185	0.47618450244	0.509144838872	0.596965960463	0.615503627326	0.508937077341	0.54916723125	0.561102102596	0.663474901429	0.598968216918	0.700257887129	0.56904927629	0.562615258822	0.522063753792	0.515021452183	0.748055879801	0.542204567082	0.63896632667	0.580608735303	0.678728926677	0.570363846304	0.564193445401	0.646951928973	0.775823503213	0.572061102222	0.6427383109	0.695866983798	0.701923083898	0.704236536191	0.689218273257	0.580154498079	0.600523112729	0.701612388524	0.529728813711	0.75042288077	0.573819721176	0.740610436104	0.707297243978	0.730774493255	0.747541488817	0.6926439805	0.672222873216	0.67816004378	0.632497366088	0.676214041323	0.698792613298	0.654263379857	0.731970680842	0.69235759388	0.679218050776	0.662520082547	0.601125002863	0.692719441078	0.515312274318	0.579222283659	0.588030435185	0.614479565044	0.713119136084	0.667565591131	0.620049935945	0.61801819377	0.73318566232	0.588619398603	0.53365450307	0.570696679964	0.588550576611	0.696677897617	0.615389590168	0.535323269098	0.560062767229	0.510422657018	0.545574261343	0.527428073096	0.512549289928	0.551793698279	0.565133954774	0.507038208243	0.511995866619	0.555470684724	0.525854522737	0.513739836196	0.508520630394	0.550624319214	0.511781879642	0.624016845823	0.534547845778	0.563027883995	0.575163221736	0.543155262385	0.557027654112	0.60943285382	0.474253455617	0.610751062034	0.578787329484	0.66097763812	0.70628813445	0.493133332099	0.527898319764	0.529537138908	0.64639993699	0.594344622449	0.617885347688	0.711116424396	0.677008802172	0.627701633957	0.529820071257	0.67073008342	0.616439074994	0.621072829882	0.643804480814	0.686985447431	0.749630833241	0.642987724978	0.586557438897	0.78818257126	0.637424931219	0.685178954357	0.616083690469	0.580704680176	0.704346484241	0.704975311819	0.691037304516	0.558222907644	0.620773495954	0.772562014955	0.734553220726	0.603747678442	0.678127376845	0.68096369645	0.664407564803	0.642800186071	0.709393396917	0.742820708354	0.690691511727	0.6259311281	0.624636683078	0.687540312688	0.573351415394	0.658802575805	0.673564362317	0.643999233895	0.618876827628	0.639851238394	0.528555865275	0.726988593482	0.514347646537	0.576154051546	0.505616869353	0.572267050662	0.615300882009	0.567273748218	0.577076445436	0.509056975812	0.554998887096	0.557658623022	0.510557511102	0.537334532118	0.568197041493	0.54848347744	0.605387506183	0.594337332565
CS.357	0.607298428591	0.534864640983	0.39890484715	0.574160754403	0.534248899333	0	0.506603758426	0.539589964327	0.54528607312	0.470952335081	0.604990020467	0.573489552445	0.594788981934	0.419976283654	0.626597206842	0.632066888015	0.512621451512	0.660175832861	0.466861143903	0.603101285384	0.516811222709	0.52837238594	0.751383953064	0.589315860192	0.659250711979	0.556935111856	0.674449950846	0.556814266748	0.497387890947	0.624676258237	0.73526244565	0.521280414668	0.586720838443	0.69242509816	0.667491730369	0.634496135053	0.641273442965	0.478438606729	0.617908544388	0.709467358915	0.562411440525	0.686802468271	0.500182727453	0.671592306435	0.662647240439	0.715736094873	0.762719119872	0.661172718842	0.706333363497	0.656846341179	0.598171844669	0.642269973076	0.714323462633	0.654892624838	0.76679167656	0.659832294968	0.656272202911	0.650601217526	0.622556332995	0.667526566011	0.537629891403	0.552395291541	0.536702264763	0.511864908569	0.669820593572	0.632481630435	0.543694740571	0.626109438997	0.685607693144	0.545684026186	0.458188686047	0.645787915518	0.527912274104	0.615300253012	0.536835269569	0.477865266175	0.567203820764	0.5617716622	0.471466587535	0.442083386214	0.5522072805	0.559474775174	0.418512301044	0.476424950289	0.519984223825	0.556527872753	0.48791508117	0.46973092727	0.622704670422	0.569839479843	0.473956343039	0.64440959835	0.498846463687	0.530398153378	0.53663613758	0.50826434403	0.55265729019	0.544404891832	0.577326538537	0.652670405809	0.482457487156	0.613052949163	0.659866127917	0.580528172667	0.479922809653	0.457912196359	0.625022809565	0.622548649996	0.525865630001	0.654503103066	0.691225570931	0.650649428976	0.596790727504	0.634814646768	0.576411076163	0.592834795212	0.57773084776	0.729274991378	0.756968636814	0.591696720216	0.570489421497	0.772139169347	0.595477121366	0.65269741548	0.640222666374	0.45384199136	0.615171770936	0.629609573223	0.633985445963	0.520331511531	0.647371061146	0.719361266187	0.734284204762	0.602320696805	0.604713350562	0.668644012771	0.675625273821	0.611959927035	0.665798550276	0.74438501472	0.661738411008	0.562131223442	0.6161410873	0.658385581414	0.497042607378	0.531555742999	0.62037959111	0.494424783919	0.529780403708	0.540521751642	0.486769425608	0.717245670461	0.472727678043	0.435289888325	0.461611105479	0.467160286757	0.523618371704	0.500621023751	0.493757518959	0.47318234456	0.471064605859	0.431904390748	0.455427022059	0.429241941694	0.443793784458	0.486569392396	0.461489893267	0.466288339395
CS.217	0.587701763673	0.528391535409	0.506862304776	0.548856982974	0.469460069965	0.506603758426	0	0.516882224369	0.505257213022	0.500740606688	0.589088764461	0.593194499644	0.529855767396	0.506902219668	0.576614460373	0.637463537967	0.596275115307	0.694858753345	0.548940154576	0.577675834983	0.50388607552	0.491866242742	0.737039473576	0.555751924141	0.652894415723	0.582012892933	0.667599822511	0.561837946171	0.55760965908	0.624481020605	0.762311937857	0.573661134545	0.618315974346	0.696663314325	0.707980770977	0.686763767164	0.677614598685	0.574045429475	0.598256097982	0.691478160348	0.506249135085	0.724282935123	0.57363188255	0.726369093964	0.714869415948	0.721049429527	0.74157681316	0.686398358235	0.676349773363	0.677762697136	0.619775586139	0.65992631497	0.692100013622	0.646738163349	0.738382034251	0.681149326521	0.676139185879	0.653620727223	0.591195156831	0.686794268237	0.541356827134	0.570452310156	0.554008217548	0.583523694185	0.697050612797	0.653678680244	0.59629120139	0.606276643273	0.69575813979	0.581793728513	0.498729492329	0.58393066346	0.562336854368	0.660650200148	0.600540248501	0.524673765559	0.569192994104	0.559152904274	0.529119335188	0.516506308584	0.529817281145	0.57108929458	0.518646986093	0.528557438299	0.546487224942	0.584895888725	0.515931945909	0.50808052455	0.572442960609	0.596484570898	0.526938236942	0.624501303809	0.512884039975	0.539523676672	0.568841199359	0.532187496277	0.519700124705	0.57908798214	0.539187915015	0.631971984498	0.529126719637	0.621504875865	0.670319614722	0.512015824624	0.48779851908	0.52529597289	0.633106353267	0.602617183368	0.580505764332	0.684164019276	0.680502219214	0.63923048297	0.536778325349	0.668976668519	0.594582697206	0.62869537863	0.615369215091	0.676021267747	0.753595020373	0.604879357356	0.59436468186	0.770456653224	0.640144041194	0.682546715459	0.617783878535	0.538965276744	0.69108661988	0.685989333421	0.670877071492	0.555343902368	0.627947029436	0.768205798945	0.723361869859	0.597513623718	0.654859046154	0.675659507073	0.664872520576	0.645988968932	0.676666231699	0.722978383611	0.658490977465	0.60366987153	0.62574698903	0.681081317258	0.558656797313	0.630054108766	0.657060890861	0.602173483554	0.565151167708	0.619157800663	0.517961349164	0.705183593827	0.488025242518	0.55921113146	0.505120371103	0.543184033822	0.565536474752	0.529167413192	0.525558353292	0.489802455242	0.529941530866	0.516388142835	0.50396192622	0.504266553707	0.53341356528	0.531333839386	0.555520660971	0.552097118346
CS.035	0.575553504773	0.53455355057	0.588157183404	0.582238105443	0.516699044185	0.539589964327	0.516882224369	0	0.537713996434	0.536466304914	0.5655681638	0.587913518686	0.546553755128	0.541501511816	0.550024724184	0.632098956719	0.578240492211	0.661887811221	0.5660366989	0.546378791906	0.494997005219	0.513006254106	0.721897786187	0.543358070289	0.624624571971	0.572014061431	0.630013508223	0.552972814612	0.561687620222	0.600904745129	0.747877366478	0.579745412813	0.596294021449	0.658141725416	0.670800575675	0.660620534074	0.648086914977	0.583941770649	0.548314762985	0.653546985017	0.502843517644	0.702336543017	0.556682074529	0.713736626953	0.67212839535	0.691879223145	0.709142104297	0.662580882956	0.648435722599	0.651865461186	0.612805299468	0.6522940409	0.668420545878	0.63992219799	0.70783091667	0.647966089055	0.658861086245	0.630530480126	0.586452975456	0.669685900364	0.574241305543	0.559124986841	0.582673296882	0.570087507206	0.682355175783	0.623756181167	0.575983491654	0.583417275178	0.682029606647	0.582125958732	0.539871432555	0.574784945929	0.57091959096	0.6354423078	0.59750234496	0.561318510857	0.582252464498	0.56820844394	0.588127445765	0.56479409906	0.581955422517	0.586957822605	0.564594555437	0.579632667856	0.60982551084	0.609961302973	0.569158995649	0.572445703431	0.609573125715	0.619827447247	0.541929453289	0.585570085335	0.547564754737	0.550686334848	0.575327219738	0.559874182059	0.584297455783	0.601485809436	0.534680830275	0.623617071732	0.594638949192	0.636671376179	0.670775971652	0.519633458712	0.528613002027	0.536094582609	0.61113925433	0.573476167053	0.567769782228	0.665707576627	0.66707810968	0.617864961447	0.526762898768	0.649046830109	0.552791627704	0.597741969652	0.594711465718	0.670779021461	0.722235085826	0.588463972803	0.595323215392	0.759162325558	0.606914122658	0.640681996517	0.571048007016	0.557251779465	0.662144283877	0.655064552921	0.646509622995	0.552893623168	0.59691795459	0.746895122853	0.691696640646	0.562231375134	0.631302746988	0.654030340508	0.628711760532	0.63106618925	0.647378385283	0.704437279678	0.636689088356	0.595619890681	0.621918376958	0.646956021376	0.563545502311	0.618030642288	0.645685693245	0.59190265617	0.587422791822	0.601442370274	0.558063400203	0.71810566686	0.564453403721	0.556418901102	0.542076566219	0.566171793169	0.571249995377	0.576229916307	0.552642297014	0.561156686757	0.540197982585	0.575722877378	0.566461362685	0.564063948001	0.548485539773	0.571197358074	0.580254792617	0.605154529572
CS.005	0.536180452301	0.553492651637	0.550327189536	0.492913519018	0.47618450244	0.54528607312	0.505257213022	0.537713996434	0	0.49055566959	0.581044005881	0.627113958218	0.486786730333	0.539763061687	0.553697722236	0.65651684168	0.576077630242	0.684162825507	0.54971096065	0.584372903606	0.510377404028	0.513337975432	0.748229057503	0.525276893936	0.634731754786	0.55533348705	0.681440705166	0.572230429714	0.524699087387	0.61743386101	0.764691881125	0.555968001893	0.606233448657	0.702298640674	0.690160639771	0.682192160574	0.687984403573	0.583422313539	0.587546139732	0.696682025911	0.482129584987	0.737061096974	0.552895552678	0.729427919259	0.695782217174	0.72182838909	0.745878871215	0.673768849526	0.665860806574	0.654562436581	0.603862358106	0.6490876971	0.696405418836	0.643773346338	0.736426032152	0.665122506984	0.67070362158	0.636674977814	0.590098344385	0.665334664415	0.496460153396	0.573240378722	0.560880257853	0.616238902076	0.699644741892	0.669656140058	0.615852434059	0.608734942402	0.724407794008	0.578818600705	0.519347682992	0.585025951864	0.5793055801	0.661152921489	0.592622828094	0.502326566564	0.563973629075	0.496411419336	0.552903109536	0.503814877623	0.526032739326	0.542587142426	0.544166198729	0.483437042504	0.530551185231	0.528863561598	0.501949877294	0.485449990025	0.509100887412	0.517084127642	0.508859392581	0.613738912199	0.520953473855	0.589131619684	0.602856483996	0.496909484431	0.553443508755	0.594722536511	0.475202275758	0.617980263878	0.577737880826	0.680795921033	0.704058332013	0.475794766895	0.487759724562	0.518547857749	0.643265242944	0.587227833908	0.629112230227	0.695199569437	0.679223269815	0.615569126847	0.522070075927	0.655895096851	0.617403333437	0.596914590281	0.638668183162	0.713841998275	0.760891409313	0.618896489866	0.565080542143	0.791193872107	0.617663205555	0.661261559655	0.63115376853	0.578849539994	0.689944169826	0.690013985892	0.68533520938	0.538515685973	0.623893921155	0.767361967557	0.725660222675	0.590912125749	0.671220059251	0.676309148797	0.677335043267	0.628851702392	0.694341472258	0.733276634689	0.679187551212	0.613431729508	0.613595519464	0.665214088314	0.574620307484	0.667864308597	0.66644007955	0.624296275419	0.630055747352	0.614482717945	0.503237796916	0.733492962004	0.527411251761	0.586029128237	0.507986878208	0.589803023554	0.602841181095	0.577549188528	0.568157144735	0.509881188648	0.532992500351	0.551379632346	0.474145586292	0.516698064889	0.534363721291	0.555515911827	0.596193053416	0.611081014461
CS.313	0.582773143251	0.565319041751	0.46882909622	0.506265299261	0.509144838872	0.470952335081	0.500740606688	0.536466304914	0.49055566959	0	0.592944135784	0.592695187988	0.546049058943	0.503896104774	0.589045809094	0.647239474077	0.560486156908	0.685288932273	0.533549622821	0.584949294432	0.527584472834	0.533221577005	0.763751569231	0.597987903879	0.61927074808	0.572219636794	0.682191563258	0.58441308908	0.537812156665	0.657442861278	0.76374399537	0.546801281114	0.592316118378	0.701442878598	0.687466091374	0.658722126859	0.681835677209	0.564630661321	0.591694676492	0.700617456038	0.533426395635	0.739901133994	0.544803411308	0.71358531448	0.691718754956	0.72116040802	0.7599803275	0.67403022959	0.683537881184	0.656232096453	0.582671170378	0.654950268911	0.691307777702	0.643098722494	0.753933956078	0.66133099871	0.664464781426	0.63559195288	0.59627028041	0.673698137899	0.506850009999	0.54184742876	0.572906309316	0.567672596528	0.694287518858	0.656645967387	0.584300045877	0.623980580336	0.707385754852	0.572423040068	0.494272357769	0.581471461987	0.552431192042	0.64575994572	0.576447786035	0.488217750896	0.560864089286	0.494499793947	0.486882869793	0.490464615991	0.518257747361	0.565104874074	0.50229153928	0.451983924886	0.502212753952	0.557014706409	0.500708726509	0.45736507896	0.563139778779	0.547376383807	0.483635617193	0.649306482988	0.507771044761	0.564461276063	0.604767809151	0.504593259246	0.555225200205	0.565093007769	0.519289022392	0.651061773497	0.52986100434	0.658235369826	0.693809934226	0.525880026631	0.546624774453	0.498577624028	0.635636272917	0.618926740753	0.603546222	0.693102053761	0.679035518396	0.620829716024	0.555822729391	0.638876819953	0.616132413776	0.599669722412	0.613536926987	0.724935750116	0.778677596866	0.597076176144	0.551645181564	0.790029320957	0.604808406059	0.667208278039	0.65846271487	0.540508356141	0.67433403683	0.661713932469	0.660154415821	0.521563086615	0.640434508291	0.759833138129	0.738746008629	0.611903352758	0.669707524702	0.67680637691	0.672463924333	0.615091081697	0.670708322128	0.734025716213	0.671558142555	0.598930983647	0.613001909877	0.666602117711	0.546131428732	0.619134021488	0.643153646101	0.591909949675	0.590995133126	0.59925395294	0.483453173245	0.72286326063	0.494640267241	0.542558460426	0.482307704799	0.536637777444	0.573268972662	0.535203897784	0.524168666287	0.447983560632	0.516917858569	0.500649630805	0.435871775913	0.471813178089	0.4828922518	0.524760276271	0.550013016297	0.54990906906
