CS.022	CS.036	CS.005	CS.017	L.036.M1	CS.174	CS.265	CS.098	L.002.M1	CS.016	CS.093	L.031.M1	CS.176	CS.172	CS.264	CS.373	CS.076	CS.064	CS.118	CS.127	CS.149	CS.137	CS.062	CS.154	CS.153	CS.065	CS.366	CS.230	CS.073	CS.269	CS.380	CS.213	CS.282	CS.374	CS.375	CS.232	CS.205	CS.125	CS.376	CS.203	CS.302	CS.224	CS.236	CS.136	CS.041	CS.256	CS.254	CS.181	CS.166	CS.178	CS.182	CS.183	CS.395	CS.268	CS.214	CS.147	CS.323	CS.177	CS.372	CS.386	T.CS.050	T.CS.024	T.CS.012	TFS.024	T.CS.029	T.CS.035	T.CS.034	T.CS.056	T.CS.020	T.CS.057	T.CS.048	T.CS.046	T.CS.019	T.CS.003	T.CS.038	T.CS.131	T.CS.156	T.CS.126	T.CS.128	T.CS.129	T.CS.159	T.CS.107	T.CS.180	T.CS.111	T.CS.139	T.CS.118	T.CS.108	T.CS.121	T.CS.161	T.CS.116	CS.085	L.024.M1	L.034.M1	CS.006	CS.242	CS.015	CS.246	CS.082	CS.087	CS.241	CS.238	CS.088	CS.103	CS.237	CS.356	CS.207	CS.164	CS.311	CS.188	CS.347.0	CS.233	CS.304	CS.363	CS.234	CS.308.0	CS.151	CS.044	CS.191	CS.364	CS.113	CS.343	CS.202	CS.339	CS.322	CS.319	CS.227	CS.331	CS.163	CS.223	CS.318	CS.285	CS.152	CS.320	CS.321	CS.194	CS.393	CS.145	CS.326	CS.262	CS.390	CS.370	CS.253	CS.270	CS.255	T.CS.043	T.CS.055	T.CS.036	T.CS.064	TFS.022	T.CS.049	T.CS.031	TFS.020	T.CS.008	T.CS.045	T.CS.026	TFS.027	T.CS.066	TFS.025	TFS.021	T.CS.152	T.CS.142	T.CS.109	T.CS.141	T.CS.157	T.CS.166	T.CS.158	T.CS.095	T.CS.151
CS.022	0	0.595821024819	0.621346671678	0.614451820094	0.626752243777	0.665799310532	0.668469687924	0.654751067638	0.635292627312	0.60228913214	0.62615017405	0.624249139567	0.607471367678	0.57771664861	0.633375630854	0.57337539341	0.552648850876	0.604184550968	0.581444225224	0.608349471896	0.592074775249	0.64979784853	0.582809169606	0.660479446212	0.590191558529	0.592347175794	0.623764551062	0.608726742535	0.591873413231	0.642368742862	0.648821049531	0.616018801584	0.61239570935	0.613983948731	0.609839890046	0.594864098165	0.628336306744	0.585984533724	0.577091005504	0.646848674873	0.648033340875	0.670718688665	0.619273867248	0.558689448035	0.568220709184	0.624886412284	0.604253019289	0.594914465917	0.642166226961	0.639337676124	0.606566289372	0.645308023248	0.627090506348	0.61894292415	0.619732740272	0.5851334704	0.632898974706	0.635787611748	0.602758052962	0.652178583577	0.598717632658	0.585785601639	0.679111860427	0.608691410878	0.607409744062	0.628207793843	0.639748392177	0.62118339274	0.672054857535	0.638866026831	0.609621496716	0.584686390142	0.605809735482	0.656980073505	0.645542364624	0.671465021546	0.637487720788	0.637552959142	0.630174270124	0.682917671174	0.667908480096	0.655159432857	0.619866604965	0.620838667369	0.670792325762	0.596028357666	0.676268164509	0.65168019137	0.612228567236	0.609651578809	0.592437292746	0.635123900237	0.597591049719	0.53067302263	0.612128829327	0.632699957516	0.62066330419	0.615625999823	0.583999229177	0.645448233253	0.593261899107	0.611712921903	0.594418388731	0.5379488735	0.655367252122	0.614987799144	0.602590250386	0.586572464563	0.641595903114	0.593546080171	0.616023276955	0.640083209302	0.596263529435	0.630778654683	0.588273428462	0.641779257017	0.603139126687	0.65664947094	0.629963302075	0.594822072189	0.595190995909	0.666463146207	0.627405947588	0.622104037818	0.60497773504	0.66660331915	0.604016710535	0.554623407844	0.592144540092	0.604307348665	0.601035398755	0.622312250478	0.589637515168	0.62084462199	0.673446226108	0.62603638954	0.633603003377	0.599299827097	0.610254372293	0.583541872375	0.614347343822	0.672500162501	0.608659994552	0.60644131432	0.636575541286	0.595657130594	0.610628506623	0.627187009162	0.675035895484	0.612272195861	0.605726953292	0.652137160449	0.653412500667	0.628260289891	0.64702105753	0.64167038883	0.665984863019	0.634681766288	0.635512247442	0.630532878195	0.638372419471	0.664877427817	0.637667329649	0.604730322435	0.639781519361	0.652638997502	0.676137728946	0.652529493766
CS.036	0.595821024819	0	0.636090953528	0.63946004405	0.638747101848	0.669628458683	0.655438529118	0.648872522029	0.63914759224	0.590183516652	0.636099898352	0.59060512711	0.569501403825	0.607807817912	0.612864029692	0.567549496896	0.588887982323	0.557097230259	0.594086646679	0.568917434726	0.584839382962	0.574901956807	0.616973488074	0.68621098484	0.558709450687	0.561238669265	0.672965016446	0.603136682757	0.618821072932	0.665183896578	0.610765517917	0.629041691519	0.631929924261	0.637911534202	0.625844939116	0.567272697514	0.659595168266	0.62248574505	0.583726390107	0.630659168994	0.677441127908	0.717081899592	0.579883838562	0.555641603617	0.590323642064	0.636268631109	0.62938462458	0.621404491151	0.641438642448	0.625654982553	0.581110895801	0.653034880008	0.630366422775	0.604256286281	0.628077908846	0.633989118478	0.590115011143	0.684114111759	0.583988982424	0.678998141673	0.636580528042	0.595546572533	0.718511734107	0.612242137604	0.574106599547	0.607402761533	0.645512026642	0.655131454016	0.665226124648	0.704455219242	0.608267837512	0.629871426639	0.646712472605	0.662864229472	0.625203590573	0.642205231087	0.665697508947	0.628508967136	0.592785957627	0.663843271489	0.678780557922	0.657067898521	0.604102838154	0.670234712693	0.675457725797	0.594276713794	0.690768674913	0.617149090736	0.64053357478	0.607884893472	0.581816478735	0.713385385953	0.61255142394	0.622482868931	0.637470912249	0.668884667354	0.619450855883	0.596091529265	0.631054653072	0.635942042509	0.609480027921	0.669745394007	0.582193426356	0.573358657682	0.695331297418	0.650345753383	0.647323251901	0.654193237068	0.684112354351	0.649397574855	0.625895520157	0.666037087645	0.603336744759	0.625878363931	0.622826138626	0.59430364472	0.598152143305	0.638310569079	0.635958955968	0.623348735842	0.630101394628	0.676611536278	0.660157158975	0.657921430989	0.592265113754	0.714978669488	0.587026015838	0.567966190336	0.61752254483	0.611130152835	0.610378542394	0.582662123707	0.613997840334	0.618655668603	0.740961742896	0.633933990882	0.631335747195	0.652154925794	0.673391743271	0.618307513568	0.592973934784	0.699344574367	0.655004360139	0.606425432986	0.63431045364	0.632258745453	0.61504651329	0.633179844685	0.65455553436	0.657142935356	0.651183142323	0.653322580208	0.675627947096	0.642682477489	0.707653452771	0.643174653512	0.661149588099	0.642104640632	0.668720093608	0.629438665578	0.70289911201	0.670376133348	0.713249726807	0.685806212831	0.63503686472	0.641516226962	0.691921512268	0.695597517924
CS.005	0.621346671678	0.636090953528	0	0.575844183259	0.557485901687	0.498800069438	0.481863844711	0.49470383278	0.69158531477	0.572331449071	0.47618450244	0.517312309025	0.605268187307	0.550239957063	0.582342866511	0.618086064395	0.623937534248	0.584372903606	0.571771012324	0.587905464431	0.649532385559	0.576077630242	0.510377404028	0.778958943471	0.525276893936	0.61743386101	0.748001844578	0.708958746836	0.637117826733	0.764140511848	0.555968001893	0.690160639771	0.695782217174	0.682768859504	0.651724747734	0.482129584987	0.729427919259	0.682192160574	0.687984403573	0.583422313539	0.737061096974	0.764691881125	0.696682025911	0.60928701007	0.653921671385	0.665334664415	0.665122506984	0.636674977814	0.696405418836	0.612543719661	0.603862358106	0.745878871215	0.651058558233	0.665860806574	0.650399281317	0.673768849526	0.6490876971	0.698028597651	0.67070362158	0.72182838909	0.617344023114	0.583076690086	0.705075137533	0.616238902076	0.608734942402	0.560880257853	0.559651182853	0.649541800674	0.496460153396	0.724407794008	0.58556073712	0.63188142056	0.627824409194	0.55308237451	0.482844346619	0.496878197923	0.544166198729	0.502326566564	0.517084127642	0.511518053447	0.474632083076	0.503814877623	0.542587142426	0.564928899891	0.479364341324	0.586213995959	0.468165583004	0.528863561598	0.496411419336	0.563973629075	0.475794766895	0.577737880826	0.594722536511	0.487759724562	0.508859392581	0.589131619684	0.496909484431	0.475202275758	0.602856483996	0.520953473855	0.553443508755	0.680795921033	0.53151213506	0.613738912199	0.704058332013	0.679223269815	0.713841998275	0.617403333437	0.694353547818	0.693599740525	0.522070075927	0.691368798449	0.682427417596	0.659147809003	0.686334095527	0.596914590281	0.564990332404	0.518547857749	0.740473862675	0.596865177017	0.689944169826	0.668428382524	0.671220059251	0.71009069073	0.690013985892	0.791193872107	0.565080542143	0.634336233368	0.661261559655	0.68533520938	0.725660222675	0.538515685973	0.617663205555	0.578849539994	0.767361967557	0.677335043267	0.613431729508	0.628851702392	0.694341472258	0.665214088314	0.676309148797	0.733276634689	0.679187551212	0.613595519464	0.586029128237	0.577549188528	0.513874523522	0.568157144735	0.503237796916	0.66644007955	0.574620307484	0.507986878208	0.667864308597	0.602841181095	0.733492962004	0.589803023554	0.527411251761	0.624296275419	0.630055747352	0.532992500351	0.611081014461	0.474145586292	0.596193053416	0.555515911827	0.534363721291	0.516698064889	0.509881188648	0.551379632346
CS.017	0.614451820094	0.63946004405	0.575844183259	0	0.549750236278	0.547548431818	0.622892961621	0.527114184494	0.654820838642	0.558914435063	0.537698966525	0.637329568561	0.595835880521	0.547083725898	0.61793774764	0.633630616235	0.654215317485	0.585991121312	0.566719798311	0.622457841714	0.646343515117	0.615219909218	0.542246241489	0.735297748279	0.589610218181	0.613376845257	0.720480257764	0.716384534523	0.603530915493	0.750826783137	0.60753043162	0.667324729668	0.698515197329	0.664223398401	0.629816947481	0.601261327705	0.706554622154	0.697719758912	0.678211234635	0.556617545876	0.722477341979	0.747324431172	0.658846170682	0.626154189295	0.638533562216	0.672887166235	0.681957413265	0.666733727468	0.695507232658	0.657107098251	0.646849261636	0.73670031594	0.666953199544	0.688385507463	0.666766157525	0.684138392878	0.669255165928	0.701796249829	0.663404901101	0.711584821749	0.600216779043	0.584427940735	0.713638646447	0.614036896758	0.631206571443	0.580639532339	0.588359829361	0.611209904501	0.589685712447	0.723671779755	0.592815613326	0.647542695219	0.652039192922	0.567961449477	0.608784010974	0.599065390273	0.582428812103	0.60522534606	0.627807633178	0.594120546479	0.611211616788	0.576121477094	0.604419841891	0.576483384348	0.592288749253	0.613598816377	0.580498679727	0.599992524716	0.617193817738	0.576336574316	0.564123531781	0.607980277866	0.554696606714	0.549883311659	0.585040179589	0.519716555685	0.604361680555	0.598148545343	0.586749348162	0.527692841086	0.566945118105	0.622786952726	0.563194579104	0.635249239923	0.692809305267	0.691877260437	0.692954228618	0.579895247806	0.693131299841	0.684751849787	0.594617734977	0.696984274414	0.674484226736	0.695606773459	0.67716789316	0.634989612571	0.536008057993	0.575182357211	0.718412956795	0.523079274711	0.671459651272	0.675926317296	0.673391630047	0.699390248794	0.66188808918	0.766260678054	0.617215002737	0.646967951573	0.690800986053	0.662216743628	0.720722839622	0.58874103118	0.627000515986	0.563644237861	0.740201270532	0.649032395829	0.62154530346	0.668096661141	0.648155543064	0.678471048035	0.649764726646	0.741795861636	0.676835048396	0.641863662453	0.600419660955	0.565728936659	0.585365020391	0.569949757736	0.602182699356	0.663277449773	0.571661614606	0.594504770108	0.623557435708	0.578542765812	0.726174287275	0.578562893219	0.570281200017	0.629441812964	0.63281555338	0.599583664275	0.597032296264	0.570271771389	0.570805381951	0.576595259544	0.610119176748	0.593350573708	0.56649420418	0.57432779352
L.036.M1	0.626752243777	0.638747101848	0.557485901687	0.549750236278	0	0.516275069294	0.555860597127	0.544331286248	0.648259034614	0.587003444343	0.547909163385	0.593549535106	0.595263579491	0.565471310092	0.610168769792	0.592222750002	0.662706407422	0.595012240001	0.583150837722	0.545552883099	0.624443651517	0.52998788868	0.557388794533	0.757092177192	0.594801441423	0.59671186463	0.695678125122	0.691546601421	0.640339965539	0.75511860322	0.542272417082	0.674439475343	0.67817595589	0.670336764816	0.610392893632	0.583512629802	0.702895557865	0.654566318707	0.644682723371	0.526742286572	0.72356204298	0.769770300886	0.6896690477	0.627883314343	0.626612369036	0.658677161535	0.652646005796	0.636153404088	0.6606462127	0.560034780815	0.599266858837	0.713434337234	0.624507443707	0.670865763127	0.634747537112	0.650187835902	0.635974230062	0.683468579879	0.62828910804	0.716895847591	0.567640054603	0.536721393743	0.667547171956	0.562947741574	0.620758819581	0.510628182428	0.525446349306	0.609976278677	0.569983644442	0.679247722219	0.521625733898	0.573021717315	0.595490119107	0.535804137921	0.552781450767	0.509779061319	0.518511345008	0.542257009752	0.550812589232	0.522332290592	0.581725778515	0.506344135842	0.584764757343	0.504312653153	0.517042132404	0.54085574247	0.540927698451	0.53213583887	0.553145561511	0.58513067109	0.564179708488	0.592929920271	0.527520530964	0.551210330141	0.492854289312	0.554653728581	0.548666032605	0.591114398863	0.595323308728	0.564649793596	0.592475157538	0.625110446501	0.592623178049	0.650076096633	0.691764267007	0.689253317995	0.709684562773	0.600993292161	0.619454494661	0.698566510047	0.627781181172	0.699360693643	0.636758159923	0.687111437671	0.685156956939	0.597680352222	0.529931829785	0.529936852254	0.69831339071	0.5693136858	0.673114271518	0.636665318066	0.647041186964	0.670737910024	0.644148703444	0.779841184931	0.585396745433	0.642947119433	0.644839229353	0.649816892307	0.726202993109	0.537278333144	0.585991855504	0.573340817354	0.74044821777	0.636096439851	0.574082733446	0.630707237971	0.633980215393	0.655887518241	0.626736941878	0.750035629418	0.638757171951	0.626234527641	0.507172769001	0.525206511778	0.574398770253	0.521282460504	0.511182683537	0.629902054819	0.528902186264	0.527645259077	0.543943991263	0.578257582603	0.70615887665	0.507677887176	0.527024370154	0.569814950435	0.581165869308	0.540515522907	0.548375896469	0.516339244908	0.538707107074	0.524567006214	0.547286955248	0.509061666858	0.504175435656	0.489533765232
CS.174	0.665799310532	0.669628458683	0.498800069438	0.547548431818	0.516275069294	0	0.511386330074	0.487263513084	0.649102908644	0.600187991519	0.525587154352	0.553079632325	0.589882095158	0.58685217723	0.634763441272	0.614115924889	0.684125070268	0.61243626951	0.626717180595	0.540659475953	0.653838535322	0.508724676719	0.5268507816	0.794396825846	0.61593989038	0.61440696761	0.735507858261	0.734548796092	0.676023235409	0.771122665972	0.474622455322	0.686828375183	0.683614176905	0.669115601263	0.621255789944	0.559756856733	0.688377068182	0.65909608374	0.660822677036	0.50685441976	0.729574924412	0.769830782438	0.731071357909	0.649746921392	0.692858682342	0.659248922344	0.648522793972	0.622410202247	0.689187472504	0.582689748439	0.594428052272	0.753503309194	0.658507250444	0.694948697645	0.642383319786	0.660739043599	0.62139209323	0.675719448812	0.644969825908	0.717046972708	0.613199157143	0.549558323919	0.682286541852	0.538335683427	0.640084563305	0.539498877916	0.466827839096	0.647572406667	0.494279813135	0.715451584546	0.542866474519	0.61745645432	0.633689437037	0.421190516144	0.528137348672	0.449649591096	0.446028299392	0.458114980599	0.526608519077	0.455459857644	0.541390029402	0.39954757426	0.574713439134	0.446660489247	0.432564281788	0.549240254956	0.403461964358	0.51430477581	0.547936364761	0.599524803776	0.566424983834	0.508427058311	0.557034615162	0.531452759724	0.474297965092	0.54234331063	0.496716893563	0.566213276528	0.616494491122	0.481633528854	0.560014394667	0.656226175621	0.562140128837	0.690659303926	0.704762520744	0.705399510825	0.779393964359	0.598444693371	0.623590762664	0.708494216507	0.612683843173	0.724766101604	0.6572856549	0.683487327672	0.717338619463	0.601034866508	0.534141660837	0.453381868126	0.749786410906	0.54802149147	0.648408754158	0.653449550088	0.636069201196	0.688717483347	0.649577510924	0.801673774674	0.555770753121	0.683919005013	0.653277533211	0.659892268786	0.749794340802	0.486823438706	0.592354293788	0.502421451112	0.754777050165	0.687562262187	0.548137004201	0.633668147541	0.65768081003	0.656520993064	0.657983866145	0.757943825926	0.659282936316	0.595404894974	0.490277608155	0.501842421242	0.550723973815	0.484621522746	0.423932135072	0.65443684389	0.501716738103	0.41584430248	0.566044453233	0.530558024718	0.726746000636	0.481272512473	0.451117543559	0.534745748019	0.546608175414	0.474453149089	0.508626626581	0.424434679144	0.481900689123	0.527807631175	0.447612474918	0.429306387983	0.419839325704	0.421678636179
CS.265	0.668469687924	0.655438529118	0.481863844711	0.622892961621	0.555860597127	0.511386330074	0	0.523403447188	0.672876020627	0.63954930926	0.502510774267	0.48468093881	0.634261381849	0.60884224774	0.579519957964	0.620760758102	0.664119184034	0.606190006882	0.634919314434	0.599106576379	0.672303570208	0.601158910069	0.592093899351	0.797628300748	0.604731373851	0.667980953441	0.745203573034	0.736645026625	0.682082907472	0.794144063097	0.571146621457	0.712957457918	0.702566775255	0.685554477987	0.684532601052	0.552531139558	0.730830094843	0.678653483704	0.696822014035	0.590726276457	0.768225495058	0.782217770551	0.716739709643	0.656820731655	0.688949008475	0.658709843652	0.655680617617	0.644906815189	0.67993284431	0.614564203431	0.601330962779	0.746438636878	0.642861246845	0.670226445199	0.692197656827	0.696249868933	0.643768481077	0.700166737802	0.65386619247	0.723669420031	0.642110465277	0.613689664449	0.7301431594	0.64299117721	0.633063547985	0.59510335776	0.587474976604	0.689123401833	0.502816371107	0.753896082402	0.601694198859	0.657775385127	0.65815129856	0.563753073085	0.48446490993	0.476281700573	0.578282786782	0.522941258147	0.477125696231	0.476855503449	0.462800839563	0.50384373438	0.556812571179	0.574816206465	0.46639716583	0.584941031515	0.465015550674	0.524411572823	0.492292225784	0.609177914785	0.526054929374	0.614122600618	0.584241178575	0.596801877806	0.513637299664	0.630303817112	0.535626561125	0.511741759423	0.650916149509	0.575195447001	0.616922328671	0.719109511033	0.582547438837	0.664682796926	0.750851270923	0.694314561195	0.740291173873	0.669657037636	0.723757175436	0.725787056164	0.589177803555	0.728938835092	0.676195392171	0.684654596021	0.723511667342	0.613384904501	0.629788574857	0.568820669202	0.748497016191	0.66297524787	0.702224179748	0.716098726716	0.714534723984	0.695330817391	0.696908332727	0.811513998632	0.546744710971	0.673949482664	0.665247077851	0.680688670659	0.750826884491	0.541034133798	0.616074551369	0.623322019942	0.77151346117	0.6928871714	0.615078073845	0.645779981715	0.695987241037	0.684745293575	0.675644809833	0.753436441053	0.677284177744	0.623070762748	0.612122353044	0.592035914141	0.547374016214	0.576030789062	0.49675472575	0.693307578703	0.614926184529	0.51052594462	0.684785023821	0.63593972645	0.740288399448	0.607737810048	0.530979346262	0.664098977304	0.647299772177	0.57159594321	0.642196703452	0.471312210241	0.638609272265	0.617240491992	0.556340680986	0.512250764839	0.483326994976	0.574332177008
CS.098	0.654751067638	0.648872522029	0.49470383278	0.527114184494	0.544331286248	0.487263513084	0.523403447188	0	0.67403963917	0.587622891794	0.4959631817	0.556366839725	0.617872317934	0.581496610056	0.618214520005	0.626387192147	0.665207035971	0.578140897408	0.59120024403	0.577411863998	0.652265232373	0.557082448116	0.540597530216	0.771112659985	0.589737485845	0.627050591142	0.739038899252	0.739196336806	0.651338893221	0.78838680003	0.528149337649	0.713373783195	0.713393169076	0.684875737711	0.654281375279	0.535049733571	0.734275780706	0.697754328397	0.68774603669	0.571418340397	0.760588688774	0.782481103133	0.698631898389	0.632040770438	0.642084985517	0.680038941345	0.672919000575	0.65083577459	0.692169160514	0.603463154071	0.60339492013	0.757410251188	0.647579101368	0.699111730981	0.690562717239	0.687775605937	0.656699719792	0.701027179807	0.656219396809	0.731274548492	0.633012215465	0.584288366644	0.717487527562	0.583981003614	0.645928312725	0.571660744362	0.555701558702	0.645868230335	0.498805221667	0.729095436222	0.565889114002	0.661258949209	0.655464745721	0.527543849045	0.502615334889	0.545669950049	0.571554567741	0.550097049056	0.554805236797	0.509830767146	0.513123890668	0.53317883157	0.580565225222	0.55856528301	0.521486393101	0.584047656158	0.472817403564	0.559908742416	0.561823027871	0.628294730517	0.534482434208	0.605835666976	0.605206742726	0.575952781726	0.518566531259	0.570692043632	0.562926540251	0.550209112066	0.644395115834	0.476239139471	0.577726921497	0.660356511613	0.524155403145	0.671944341796	0.724575936055	0.710305363885	0.750436946818	0.615772308298	0.700067714259	0.698443672345	0.543982491247	0.721256120125	0.684499086771	0.703497222239	0.708756643935	0.601774187257	0.55711872875	0.513244981343	0.762815809106	0.561756804129	0.699677469387	0.694606934042	0.689343883326	0.706928681571	0.684143961202	0.804836698449	0.576751088079	0.676045422133	0.67484754918	0.687776215423	0.752665941699	0.532352734367	0.60851567208	0.57436105276	0.768949100578	0.679446276804	0.611253501839	0.65022129682	0.665655415963	0.663431830261	0.65076134323	0.756540727757	0.67101558754	0.610067092413	0.582344458927	0.555733816695	0.548872449824	0.532274506326	0.516285433209	0.678423929681	0.552503176518	0.498681432676	0.629418902764	0.599633839588	0.734120867344	0.563592837153	0.533172212163	0.632970250778	0.597391584078	0.554513081022	0.603048300777	0.521757162059	0.582476181342	0.582519315432	0.582637860574	0.532273513359	0.496486578723	0.556268204784
L.002.M1	0.635292627312	0.63914759224	0.69158531477	0.654820838642	0.648259034614	0.649102908644	0.672876020627	0.67403963917	0	0.642551328269	0.682926760384	0.642561656954	0.664319179546	0.639429672876	0.654879365219	0.627278740796	0.644254594747	0.657720455612	0.663349025613	0.634051829908	0.611500490551	0.652392703079	0.652662355273	0.684254889278	0.676412372978	0.649553647074	0.647893241864	0.667982325606	0.624199703776	0.717288294514	0.632347201719	0.624279493696	0.645048195323	0.61263531232	0.605227990404	0.660060469605	0.667111228695	0.625286933451	0.595402019799	0.649426479408	0.692543865418	0.681312303302	0.663653035767	0.656829641241	0.677281846309	0.603756399223	0.620066901835	0.6411865235	0.63502583263	0.650942795455	0.626083861953	0.642472842789	0.628542007396	0.642334312856	0.641463448744	0.625095818803	0.640632675747	0.592205369794	0.600187268633	0.56330761894	0.622453366028	0.633098227551	0.681119282431	0.628297260009	0.645538620397	0.65549328434	0.658169390575	0.643808139875	0.679746059587	0.655121105394	0.606808205788	0.641900234151	0.668049194778	0.642362376666	0.66020792638	0.647210330931	0.62688201963	0.653074081201	0.635002370194	0.670494203113	0.701885883515	0.655726717001	0.646575488717	0.61683747971	0.684871667176	0.598090230991	0.681593509513	0.673550240695	0.66432848754	0.660378990611	0.652092154566	0.669342091192	0.609139330676	0.654592287303	0.63240610701	0.673718068711	0.658057015255	0.688988205826	0.669309235997	0.654705589318	0.638358458114	0.680883638997	0.651376848816	0.63608688284	0.685974201292	0.642704538017	0.692815276661	0.639956134443	0.668123749005	0.633209292984	0.673579898836	0.687789556883	0.605450035357	0.641087463008	0.650760700197	0.662039018113	0.640280221493	0.650828317329	0.66946222268	0.633305799625	0.566700185491	0.700911555468	0.654380697792	0.624896649371	0.62248912794	0.682323095543	0.611100494056	0.666151586056	0.642696973786	0.628738905138	0.678929621301	0.635711991089	0.629006583713	0.670803793674	0.66890271868	0.664634394526	0.609350066976	0.624420203544	0.590144173374	0.614996484573	0.607460599751	0.68842637361	0.621261194884	0.59399752945	0.652348041924	0.642904023858	0.643016220285	0.609330401046	0.662637885097	0.6149431342	0.617187138622	0.65827828182	0.642311683672	0.639474883835	0.673211586848	0.658316830372	0.656638362842	0.638274418151	0.626875937459	0.645188187333	0.672530037508	0.674553341995	0.639871154744	0.663003302937	0.639852245717	0.646087781856	0.684397602752	0.642689344503
CS.016	0.60228913214	0.590183516652	0.572331449071	0.558914435063	0.587003444343	0.600187991519	0.63954930926	0.587622891794	0.642551328269	0	0.583765090654	0.614160472245	0.570566385915	0.537298060328	0.603473431596	0.609523068307	0.611327782342	0.59145049721	0.535375861269	0.582017422099	0.588004452778	0.595748962388	0.540584438534	0.721375838548	0.578446320929	0.573580558938	0.677731921163	0.662497520148	0.576462350503	0.733067990421	0.568766112655	0.652221308205	0.649316419356	0.66210547502	0.568667405311	0.577683630944	0.664083259894	0.642208843528	0.615957443602	0.565320826132	0.700451761572	0.733857599994	0.654540626713	0.601637426861	0.61207063463	0.661134024333	0.645708503556	0.634210334261	0.662751349075	0.624911332743	0.629096181133	0.681871742023	0.645510339795	0.651666289374	0.616847506991	0.634296081767	0.627039409111	0.657099908939	0.645542449714	0.676551413397	0.568338664068	0.588496190906	0.669102602623	0.584431027135	0.609573388928	0.555786212014	0.582145444911	0.602128934682	0.644806057013	0.679341302019	0.584242997548	0.610053452696	0.58340748745	0.602756501685	0.618272466284	0.578633285819	0.561839989105	0.57159596946	0.635148583785	0.62024037348	0.628353799451	0.589185127021	0.572567013706	0.578750433653	0.609133699384	0.593836195875	0.630100956536	0.601382398606	0.620473091717	0.5800742305	0.568838199264	0.616913611921	0.576682890501	0.526456701981	0.557291061649	0.572508006018	0.559643371243	0.584033411311	0.556098067152	0.57312613984	0.548382705401	0.620104322853	0.573992798115	0.604645279337	0.664208183816	0.666280417483	0.685105404903	0.557853879011	0.642796858737	0.638636432343	0.600237242851	0.631828000674	0.64623083406	0.676327871453	0.636364435056	0.599620860047	0.522170100629	0.573607992188	0.663871208298	0.549478018746	0.637243254236	0.624776101339	0.599623705811	0.679071130376	0.62670967639	0.728673013442	0.600627705727	0.598624495691	0.64142626271	0.628269131963	0.6721062133	0.568556846117	0.615818567992	0.553109976975	0.72573043505	0.634565680118	0.60407462197	0.617308767954	0.637807815075	0.622966673366	0.621986977534	0.719836460814	0.656417443786	0.614726066194	0.602350401786	0.607918741027	0.609435069697	0.559554523557	0.614235348648	0.645927960491	0.574159577417	0.601554701271	0.595997197153	0.583440196104	0.71010353854	0.564780411193	0.614542965345	0.58311191913	0.603885833483	0.595484950372	0.620612954388	0.604866346076	0.62227547601	0.580755380903	0.595448015492	0.583365120751	0.622723540943	0.610168879025
