g__Methanobrevibacter	k__Bacteria	g__Actinomyces	g__Bifidobacterium	g__Corynebacterium	g__Olsenella	f__Coriobacteriaceae	g__Collinsella	g__Senegalimassilia	f__Eggerthellaceae	g__Eggerthella	g__Enterorhabdus	g__Gordonibacter	g__Slackia	o__Thermoleophilales	f__Bacteroidaceae	g__Bacteroides	f__Barnesiellaceae	g__Barnesiella	f__Muribaculaceae	g__Butyricimonas	g__Odoribacter	f__Prevotellaceae	g__Massiliprevotella	g__Paraprevotella	g__Prevotella	g__Prevotellamassilia	f__Rikenellaceae	g__Alistipes	f__Tannerellaceae	g__Parabacteroides	f__Sphingobacteriaceae	g__Elusimicrobium	p__Firmicutes	g__Gemella	f__Bacillaceae	f__Thermoactinomycetaceae	g__Granulicatella	g__Enterococcus	g__Lactobacillus	g__Weissella	g__Lactococcus	g__Streptococcus	o__Clostridiales	g__Colidextribacter	g__Flavonifractor	g__Flintibacter	g__Howardella	g__Intestinimonas	g__Pseudoflavonifractor	f__Clostridiaceae	g__Butyricicoccus	g__Clostridium	g__Hungatella	f__Clostridiales.Family.XIII..Incertae.Sedis	g__Ihubacter	g__Mogibacterium	f__Defluviitaleaceae	f__Eubacteriaceae	g__Eubacterium	f__Gracilibacteraceae	f__Lachnospiraceae	g__Anaerosporobacter	g__Anaerostipes	g__Blautia	g__Butyrivibrio	g__Coprococcus	g__Cuneatibacter	g__Dorea	g__Eisenbergiella	g__Faecalicatena	g__Fusicatenibacter	g__Hespellia	g__Lachnobacterium	g__Lachnoclostridium	g__Lachnospira	g__Muricomes	g__Parasporobacterium	g__Pseudobutyrivibrio	g__Robinsoniella	g__Roseburia	g__Tyzzerella	f__Oscillospiraceae	g__Oscillibacter	f__Peptococcaceae	f__Peptostreptococcaceae	g__Intestinibacter	g__Paeniclostridium	g__Romboutsia	g__Terrisporobacter	f__Ruminococcaceae	g__Acutalibacter	g__Anaeromassilibacillus	g__Caproiciproducens	g__Drancourtella	g__Faecalibacterium	g__Gemmiger	g__Negativibacillus	g__Ruminiclostridium	g__Ruminococcus	g__Sporobacter	g__Subdoligranulum	f__Erysipelotrichaceae	g__Catenibacterium	g__Erysipelatoclostridium	g__Holdemanella	g__Holdemania	g__Turicibacter	g__Phascolarctobacterium	g__Megamonas	g__Mitsuokella	g__Propionispira	g__Allisonella	g__Dialister	g__Megasphaera	g__Veillonella	g__Fusobacterium	o__Victivallales	f__Victivallaceae	g__Victivallis	f__Kiloniellaceae	g__Duodenibacillus	g__Parasutterella	g__Sutterella	f__Desulfovibrionaceae	g__Desulfovibrio	f__Succinivibrionaceae	g__Succinivibrio	o__Enterobacterales	f__Enterobacteriaceae	g__Haemophilus	f__Spiroplasmataceae	g__Akkermansia
CS.022	0	7.65990042129452e-05	0.000229797012638836	0.0156644963615473	0	0.00107238605898123	0	0.0917273075450019	0.00926847950976637	0.000229797012638836	0.00015319800842589	0.00072769054002298	0	3.82995021064726e-05	0	0	0.163040980467254	0	0	0.00819609345078514	0.000382995021064726	0.000114898506319418	0.000382995021064726	7.65990042129452e-05	0	0.0583684412102643	0.000191497510532363	0	0.000995787054768288	0	0.00467253925698966	0	7.65990042129452e-05	0	0	3.82995021064726e-05	0.000114898506319418	0.000229797012638836	3.82995021064726e-05	0.0121409421677518	0	0	0.00222137112217541	0.00570662581386442	0.00210647261585599	0.000957487552661815	0.000919188050555343	0	0.000421294523171199	0.000229797012638836	3.82995021064726e-05	0.00256606664113367	0.0981999234009958	0.00988127154346993	0	0.000306396016851781	0.00015319800842589	3.82995021064726e-05	0	0.0351589429337419	0	0.0264266564534661	0	0.00218307162006894	0.0222137112217541	0	0.00333205668326312	0	0.00310225967062428	3.82995021064726e-05	7.65990042129452e-05	0.00375335120643432	7.65990042129452e-05	0	0.00551512830333206	0	0.000919188050555343	3.82995021064726e-05	0	0	0.0604366143240138	0.00693220988127154	0.00015319800842589	0.00245116813481425	0	3.82995021064726e-05	0.00846418996553045	0.0211413251627729	0.070585982382229	0.00329375718115664	0.00823439295289161	0.000268096514745308	0.000191497510532363	0.00015319800842589	0.00164687859057832	0.0885101493680582	0.00317885867483723	0.00256606664113367	0.00164687859057832	0.0311374952125622	0.00107238605898123	0.000919188050555343	0.00229797012638836	0.000229797012638836	0.000268096514745308	0.0127920337035619	0	0.000459594025277671	0.000804289544235925	0	0	0	0	0.0222520107238606	0	0.000114898506319418	0.00815779394867867	0	0	0	0	0.00015319800842589	0	0.0397548831865186	0.000574492531597089	0.000497893527384144	0	0.000114898506319418	0.00149368058215243	0.0012638835695136	0.000497893527384144	0	7.65990042129452e-05
CS.036	0	0	0.00179533213644524	0.000209455415918612	0.00068821065230401	0	0.00218432076600838	0.079443447037702	0.0134649910233393	0.000329144225014961	2.99222022740874e-05	2.99222022740874e-05	5.98444045481747e-05	0.00341113105924596	0	2.99222022740874e-05	0.0988330341113106	0	0.00182525433871933	0	0.00203470975463794	0.0128665469778576	0	0	0	0.00068821065230401	2.99222022740874e-05	0	0.0385697187312986	2.99222022740874e-05	0.0126271693596649	0	0	0	0.000149611011370437	0.00158587672052663	0.0066427289048474	0.000239377618192699	0	0.0115798922800718	0.0033213644524237	0.000538599640933573	0.014721723518851	0.0222022740873728	0	0	0.00371035308198683	0	0.0068821065230401	8.97666068222621e-05	0.0492519449431478	0.000538599640933573	0.00281268701376421	0.00694195092758827	0.00161579892280072	0.00511669658886894	2.99222022740874e-05	0.000179533213644524	0.00771992818671454	0.0372531418312388	0.000299222022740874	0.0049670855774985	5.98444045481747e-05	0.000448833034111311	0.0627169359664871	0.0255535607420706	0.0179233991621783	0	0.0251645721125075	0.00158587672052663	0.000807899461400359	0.023638539796529	0.00248354278874925	5.98444045481747e-05	0.0059245960502693	0	0.000179533213644524	0.000149611011370437	0	0.000628366247755835	0.00122681029323758	0.00362058647516457	0.000598444045481747	0.0366247755834829	2.99222022740874e-05	0	0.00152603231597846	0	0.0267803710353082	0	0.0360562537402753	0.000119688809096349	0	0.000658288450029922	0	0.00577498503889886	0.00137642130460802	0.000837821663674446	0.00233393177737881	0.0357570317175344	0.0252842609216038	0.00128665469778576	0.00942549371633752	0.00484739676840215	5.98444045481747e-05	0.0907839616995811	2.99222022740874e-05	0	0.00272292040694195	0	0	0	0	0.00691202872531418	0	8.97666068222621e-05	0	0	0.000598444045481747	0.000418910831837223	0	0	2.99222022740874e-05	0.00526630760023938	0.00167564332734889	0.00739078396169958	0	0	0.00119688809096349	0.000299222022740874	8.97666068222621e-05	0.0103231597845601	0.0426391382405745
CS.005	0.0018686100210886	0.0028029150316329	0.000320333146472331	0.0155895464616535	0	0.00317663703585062	0.00290969274712368	0.0784282320279758	0.00592616320973813	0.000427110861963108	2.66944288726943e-05	0.00475160833933958	0.000106777715490777	0.00136141587250741	0.00114786044152585	0.000213555430981554	0.0333413416619951	0	0	0.00037372200421772	0.00018686100210886	0.000213555430981554	0.0110514935532954	0.000106777715490777	0	0.163716932276234	0.0114252155575131	0.000133472144363471	0.000587277435199274	0.000533888577453885	0.0018419155922159	0.00018686100210886	0.00178852673447052	0.000213555430981554	0.000213555430981554	0.00018686100210886	0.00178852673447052	0.000160166573236166	0.000427110861963108	0.00939643896318838	0.00018686100210886	0	0.00213555430981554	0.0226368756840447	0.00216224873868824	0.000160166573236166	0.00205547102319746	0.000453805290835803	0.00130802701476202	0.00018686100210886	0.0032567203224687	0.00258935960065134	0.0136675475828195	0.00531219134566616	0.000427110861963108	0.00189530444996129	0.000880916152798911	0.00122794372814394	0.00619310749846507	0.0388136995808975	0.000266944288726943	0.0217292651023731	0.000106777715490777	0.00194869330770668	0.0245054857051333	0	0.0163636848989616	5.33888577453885e-05	0.0134806865807106	0	0.000106777715490777	0.00795493980406289	0.000427110861963108	0.000213555430981554	0.00872907824137103	0.00355035904006834	0.000694055150690051	0.000613971864071968	0.000133472144363471	0.0014148047302528	0.0600624649635621	0.000667360721817357	0.00242919302741518	0.00960999439416994	0.00037372200421772	5.33888577453885e-05	0.00827527295053522	0	0.0264808734417127	0.0055791356343931	0.00993032754064227	0.00443127519286725	0	0.000347027575345025	0	0.0549638290488775	0.0092896612476976	0.000266944288726943	0.00112116601265316	0.0611836309762153	0.00360374789781373	0.00224233202530632	0.00555244120552041	0.019300072074958	2.66944288726943e-05	0.0140946584447826	2.66944288726943e-05	0.0018419155922159	0.0121459651370759	5.33888577453885e-05	2.66944288726943e-05	0	0.000266944288726943	0.0223432369664451	0	0.000240249859854248	0.00018686100210886	5.33888577453885e-05	0.000587277435199274	2.66944288726943e-05	0.0120658818504578	0.00742105122660901	0.00074744400843544	0.00848882838151678	0.000160166573236166	0.00352366461119564	0	0.0559515229171672	0.000854221723926217	0.00146819358799818	0.00117455487039855	0.000320333146472331	0.00112116601265316
CS.017	0	7.3062029663184e-05	0.00018265507415796	0.00179001972674801	0	0	0.00204573683056915	0.0301380872360634	0.00226492291955871	0.000255717103821144	0	0.000876744355958208	0	0.00113246145977935	0	0.00672170672901293	0.00672170672901293	0	0	0.00299554321619055	0.000292248118652736	0.000438372177979104	0.0221012639731132	0	0	0.30656827646672	0.0592533060568423	7.3062029663184e-05	0.000401841163147512	0	0.00347044640900124	0.00325126032001169	0	7.3062029663184e-05	0.000109593044494776	7.3062029663184e-05	0.0013881785636005	0.000109593044494776	0	0.00124205450427413	0.000949806385621393	0	0.00515087309125447	0.0281288814203259	0	0	0.00157083363775846	0	0.000840213341126616	3.6531014831592e-05	0.00157083363775846	0.00208226784540075	0.0322568860962958	0.00774457514429751	0.00102286841528458	0.00073062029663184	0	0.00131511653393731	0.000584496237305472	0.0377730693358662	3.6531014831592e-05	0.035727332505297	0.000146124059326368	0.00299554321619055	0.0341564988675385	0	0.0146489369474684	7.3062029663184e-05	0.0116168627164463	0	0	0.00116899247461094	0.00036531014831592	0	0.0139183166508366	0.00116899247461094	0.000474903192810696	7.3062029663184e-05	7.3062029663184e-05	0.000219186088989552	0.00675823774384452	0.00102286841528458	0.00116899247461094	0.00489515598743333	0.000146124059326368	3.6531014831592e-05	0.00252064002337985	0.000401841163147512	0.0323664791407905	0.00153430262292687	0.0134434134580259	3.6531014831592e-05	0	0.000109593044494776	0	0.0782859647841017	0.00938847081171915	3.6531014831592e-05	0.00171695769708483	0.0688244319427194	0.000584496237305472	0.00131511653393731	0.00376269452765398	0.00657558266968656	0	0	0	0.00142470957843209	0.00657558266968656	0	0	0.025608241396946	0.00036531014831592	0.0199094030832177	0	0	0	0	0	0	0	0.00697742383283408	0	0.00653905165485497	0.000840213341126616	0.000255717103821144	0	0.000219186088989552	0.00153430262292687	0.000474903192810696	0.00036531014831592	0	0
L.036.M1	0	0.00926269752857202	0.000144407311135867	0.000123777695259314	0	0.000722036555679333	0.00274373891158147	0.00798366134422577	0.00771547633783059	0.00323884969261872	0	0.0048067004992367	0	0.000495110781037257	0	2.06296158765524e-05	0.0716260263233899	0	0.0008664438668152	0.0182572100507489	0.000845814250938648	0.00245492428930973	0.00536370012790362	0	0	0.159797004579775	0.00808680942360853	0	0.0133473614721294	0	0.0110368444939555	0	4.12592317531048e-05	2.06296158765524e-05	0	4.12592317531048e-05	0.00509551512150844	0	4.12592317531048e-05	0.000701406939802781	0.000185666542888971	4.12592317531048e-05	0.0016916285018773	0.0332136815612493	0.00181540619713661	0	0.0065395882328671	0.00035070346990139	0.000391962701654495	0.000474481165160705	0.0035070346990139	0.00356892354664356	0.000474481165160705	0.00579692206131122	0.00152659157486488	0.00241366505755663	0	0.000206296158765524	0.00235177620992697	0.0267153525601353	0.000474481165160705	0.00325947930849528	0.000969591946197962	0.000144407311135867	0.0334818665676445	0.026178982547345	0.020691504724182	0.00152659157486488	0.00295003507034699	4.12592317531048e-05	0.000165036927012419	0.00340388661963114	0.00204233197177869	0	0.0110987333415852	0.00140281387960556	0.000556999628666914	2.06296158765524e-05	2.06296158765524e-05	2.06296158765524e-05	0.0156991376820564	0.00160911003837109	0.00222799851466766	0.0268185006395181	0.000639518092173124	0	0.00165036927012419	0	0.000845814250938648	0.000206296158765524	0.0157403969138095	0.0034657754672608	0	0.000453851549284152	0	0.128130544209267	0.0393819367083385	0.000453851549284152	0.00860254982052234	0.0788876511119363	0.00328010892437183	0.00554936667079259	0.0110987333415852	0.00276436852745802	6.18888476296571e-05	0.00755043941081817	2.06296158765524e-05	0.000722036555679333	0.0383710855303874	6.18888476296571e-05	0	0	0	0.000123777695259314	2.06296158765524e-05	0.000639518092173124	0	0	0	0	0.00127903618434625	0.00237240582580352	2.06296158765524e-05	0.00757106902669472	0.000165036927012419	0.00816932788711474	8.25184635062095e-05	0.0384536039938936	0.00379584932128564	0.00620951437884227	0.00111399925733383	0.000453851549284152	0
CS.174	0.00226769145547708	3.46212435950699e-05	3.46212435950699e-05	0.00515856529566542	0	0.00219844896828694	0.00221575959008448	0.0417705303974519	0.0066819000138485	0.00102132668605456	0	0.00280432073120066	0	0.0028216313529982	0.000259659326963025	0.00154064533998061	0.0141947098739787	0	0	0.00211189585929927	0.000571250519318654	0	0.0214824816507409	0.00102132668605456	0	0.206377233070212	0.0531089876748373	0.00020772746157042	3.46212435950699e-05	0	0.00167913031436089	0.00628375571250519	0	6.92424871901399e-05	1.7310621797535e-05	3.46212435950699e-05	0.00226769145547708	0	0	0.00328901814153164	0	0	0.00100401606425703	0.0134157318930896	8.65531089876748e-05	1.7310621797535e-05	0.00176568342334857	0.000259659326963025	0.000328901814153164	0.00017310621797535	0.000571250519318654	0.0035140562248996	0.00976319069380972	0.00538360337903337	0.000415454923140839	0.000605871762913724	0.000796288602686609	0.00017310621797535	0.000588561141116189	0.0387238609610857	6.92424871901399e-05	0.0318342334856668	0.000380833679545769	0.00270045700041545	0.0211882010801828	0	0.0270218806259521	1.7310621797535e-05	0.0169297881179892	0.00020772746157042	8.65531089876748e-05	0.00105594792964963	0.000259659326963025	0	0.0132599362969118	0.00782440105248581	5.19318653926049e-05	0	0	0	0.0124636476942252	0.000917462955269353	0.00200803212851406	0.00290818446198587	0.000536629275723584	0.00024234870516549	0.00406799612242072	0	0.0150602409638554	0.00148871347458801	0.0146447860407146	5.19318653926049e-05	0	0.000190416839772885	0	0.0779151087107049	0.00862068965517241	0.000121174352582745	0.0020772746157042	0.024494529843512	0.00119443290402991	0.00244079767345243	0.00586830078936435	0.0232827863176845	8.65531089876748e-05	0.0129829663481512	1.7310621797535e-05	0.000225038083367955	0.0149217559894751	0	0	0.0164797119512533	0.000225038083367955	0.0263294557540507	0	8.65531089876748e-05	0	5.19318653926049e-05	0.0186262290541476	0.00169644093615843	0.00308129067996122	0.0121520565018695	0	0.00832640908461432	0.000294280570558094	0.00547015648802105	0.00133291787841019	0.0855144716798227	0.00017310621797535	6.92424871901399e-05	0.000796288602686609	0	6.92424871901399e-05
CS.265	0.0474025079233843	0.0106498159412587	0.000236225122541782	0.00281501604362291	1.96854268784819e-05	0.00505915470776984	0.000472450245083565	0.0112403787476131	0.0025000492135672	0.000984271343924093	0	0.000944900490167129	0	0.00112206933207347	0.00385834366818244	0	0.0187995826689502	3.93708537569637e-05	3.93708537569637e-05	0.00171263213842792	0.000295281403177228	0.00118112561270891	0.00279533061674442	1.96854268784819e-05	0	0.024390243902439	0.00421268135199512	0.0106104450875017	0.00622059489360027	0	0.00381897281442548	0.000196854268784819	0	0.00277564518986594	0	0.000137797988149373	0.00242130750605327	0	1.96854268784819e-05	0.00248036378668871	0	0	0.000787417075139274	0.0522254375086124	0.00159451957715703	0	0.00586625720978759	0.000570877379475974	0.000629933660111419	0.000295281403177228	0.00370086025315459	0.0080316541664206	0.0419496446780448	0.00527569440343314	0.00277564518986594	0.00454733360892931	9.84271343924093e-05	0.000669304513868383	0.0332486859977559	0.017401917360578	0.000255910549420264	0.0235043996929073	0.00084647335577472	0.00324809543494951	0.0143703616212918	0.0134451465580031	0.0112403787476131	3.93708537569637e-05	0.0133270339967322	3.93708537569637e-05	0.000295281403177228	0.0061812240398433	0.000629933660111419	1.96854268784819e-05	0.0189767515108565	0.000866158782653202	0.000236225122541782	0.00053150652571901	0.000275595976298746	0.00171263213842792	0.00253942006732416	0.00116144018583043	0.00720486623752436	0.0319297623968976	0.00110238390519498	0	0.00251973464044568	0	0.00507884013464832	0.00179137384594185	0.0358865331994724	0.00053150652571901	0	0.000118112561270891	0	0.0700801196873954	0.00578751550227367	0.000511821098840528	0.0143309907675348	0.0566940294100278	0.0136616862536664	0.00179137384594185	0.017323175653064	0.0104923325262308	0.000885844209531684	0.0190751786452489	1.96854268784819e-05	3.93708537569637e-05	0.00281501604362291	1.96854268784819e-05	5.90562806354456e-05	0.000255910549420264	0	0.0298234217209	5.90562806354456e-05	7.87417075139274e-05	0.00053150652571901	0.00234256579853934	0.00149609244276462	0.00533475068406858	0.00118112561270891	0.00858284611901809	1.96854268784819e-05	0.000236225122541782	0.00244099293293175	0.00354337683812673	0.000275595976298746	0.156026693438847	0.00106301305143802	0.000925215063288647	0.0002165396956633	0.00419299592511664	0.00263784720171657
CS.098	0.00562883306729396	0.00190428183371139	0.000168024867680417	2.80041446134028e-05	0	0.00123218236298972	0.0029964434736341	0.0167464784788149	0.00666498641798986	0.000868128483015486	0	0.00257638130443306	0	0.000980145061469097	0	0.0215911954969335	0.0103335293623456	0.00968943403623736	0	0.00243636058136604	0.000784116049175278	0.000728107759948472	0.0165784536111344	0.00190428183371139	0	0.122994203142065	0.0735108796101823	0.0143101178974488	2.80041446134028e-05	0.0218152286538408	0.00218432327984542	0.0030524517628609	0	0	0	0.000196029012293819	0.00372455123358257	0	0	0.00243636058136604	5.60082892268056e-05	0	0.000168024867680417	0.0343610854406452	0.000196029012293819	5.60082892268056e-05	0.00686101543028368	0	0.00193228597832479	0.000196029012293819	0.00120417821837632	0.00529278333193313	0.0030524517628609	0.0138620515836344	0.0030244476182475	0.00193228597832479	0.000672099470721667	0.000112016578453611	0.0106975832423199	0.0473830126858775	0.000336049735360833	0.0138620515836344	0.000252037301520625	0.000560082892268056	0.0256798006104904	0.0323167828838668	0.0127418857990983	0	0.0106695790977065	0	0.000196029012293819	0.0121537987622168	0.000420062169201042	0.000168024867680417	0.0108936122546137	0	0.000140020723067014	0.000672099470721667	2.80041446134028e-05	0	0.00576885379036097	0.00397658853510319	0.00243636058136604	0.0233554566075779	0.000812120193788681	0	2.80041446134028e-05	0	0.00786916463636618	0	0.0217032120753872	0.000420062169201042	0	8.40124338402084e-05	0	0.088157047242992	0.0114816992914951	0.00257638130443306	0.0171105323587891	0.0714665770534039	0.00663698227337646	0.00182026939987118	0.0148982049343303	0.002016298412165	0.000140020723067014	0.0150942339466241	0	2.80041446134028e-05	0.0495673359657229	0	0	0	0.000112016578453611	0	0	0	0.000140020723067014	0.000112016578453611	0	2.80041446134028e-05	0	0.00854126410708785	0	0.00190428183371139	0.000924136772242292	0.00915735528858271	0	2.80041446134028e-05	5.60082892268056e-05	0.000924136772242292	0.000224033156907222	0.00252037301520625	0
L.002.M1	4.83547303014917e-05	4.83547303014917e-05	0.00041101520756268	0.0673097845796765	4.83547303014917e-05	0	2.41773651507459e-05	9.67094606029835e-05	2.41773651507459e-05	0	0.00345736321655666	0	0.000241773651507459	0	0	0	0.0993931481347163	0	0	0	2.41773651507459e-05	0	0	0.0312371557747637	0	0.00041101520756268	2.41773651507459e-05	0	0.00575421290587752	0	4.83547303014917e-05	0	0	0.00425521626653127	0	0	0	4.83547303014917e-05	9.67094606029835e-05	0.0325910882232054	0	0	0.00171659292570296	0.0182539106888131	0.00191001184690892	0.00135393244844177	0.00154735136964774	0.000604434128768647	0	0.000241773651507459	2.41773651507459e-05	0.00599598655738498	9.67094606029835e-05	0.00483547303014917	0.000652788859070139	0.00331229902565218	2.41773651507459e-05	0.00452116728318948	0	0.024830154009816	0	0.0137085660404729	0.000652788859070139	0.0129107129904983	0.0433500157152873	0	0.0115326031769058	9.67094606029835e-05	0.0107347501269312	9.67094606029835e-05	7.25320954522376e-05	0.0203089867266265	0.000362660477261188	0	0.0360000967094606	0	0	0	0.000894562510577597	0	0.0884891564517299	0.00406179734532531	0.00137810981359251	0.0188583448175818	0	0	0.000967094606029835	0	0.0668504146418123	0	0.0183022654191146	0.00217596286356713	0	0	0	0.0817436715746718	0.0487415681439037	0	0.0075916926573342	0.00265951016658205	0.00362660477261188	0.00316723483474771	0.022073934382631	0.0901815720122821	0.000459369937864172	0.0671163656584705	0	0.000169241556055221	0.000145064190904475	0.000145064190904475	0	2.41773651507459e-05	0	0	0	0.000483547303014917	0.000193418921205967	0	0	0	0	4.83547303014917e-05	2.41773651507459e-05	0.000217596286356713	2.41773651507459e-05	0	0	2.41773651507459e-05	0	0.000556079398467155	0	0	0
CS.016	0.000214615302071038	0.000187788389312158	0.000107307651035519	0.000295096040347677	0	0	0.000214615302071038	0.057087670350896	0.00386307543727868	0.00324605644382444	0.000160961476553278	0	0.000134134563794399	0.000617018993454233	0	0	0.0806148728404335	0	0	0	0.000724326644489752	0.00413134456486748	0.0166326859105054	0	2.68269127588797e-05	0.229665200128769	0	0	0.0151840326215259	2.68269127588797e-05	0.00834316986801159	0	0	0	0	0	0.00284365275244125	0.000134134563794399	0	0.00421182530314411	0.00219980684622814	2.68269127588797e-05	0.00252172979933469	0.0172765318167185	0	0.000160961476553278	0.00388990235003756	0	0.00131451872518511	0.000617018993454233	0.000697499731730872	0.00214615302071038	0.0282219122223415	0.00595557463247129	0.000670672818971993	0.00252172979933469	8.04807382766391e-05	5.36538255177594e-05	0.000965768859319669	0.0364577744393175	5.36538255177594e-05	0.069132954179633	0.000724326644489752	0.00265586436312909	0.0465983474621741	0	0.00662624745144329	0.000187788389312158	0.0174374932932718	0	0.000134134563794399	0.0102210537611332	0.00088528812104303	0	0.010703938190793	2.68269127588797e-05	0.000643845906213113	0	0.000187788389312158	5.36538255177594e-05	0.00973816933147333	0.000643845906213113	0.00195836463139822	0.00968451550595558	0.000643845906213113	5.36538255177594e-05	0.00525807490074042	2.68269127588797e-05	0.0168204742998176	0.000643845906213113	0.0136548985942698	0.00115355724863183	0	0.000456057516900955	0	0.0908627535143256	0.0127427835604679	0.00308509496727117	0.000295096040347677	0.0414475802124692	0.00287047966520013	0.00203884536967486	0.00643845906213113	0.00904066959974246	0	0.000160961476553278	0.000214615302071038	0.00464105590728619	0.000751153557248632	0.00287047966520013	0.00431913295417963	0	0.000107307651035519	0.031226526451336	0	0	0	0	0	0	0	0	0.00281682583968237	0.00866509282111814	0.000804807382766391	2.68269127588797e-05	0	0.000134134563794399	0.00748470865972744	0.00254855671209357	0.00091211503380191	0.000107307651035519	0.000107307651035519
