CS.099	CS.244	L.006.M1	CS.005	CS.019	CS.035	CS.011	L.007.M1	CS.105	CS.296	CS.086	L.002.M1	CS.010	L.005.M1	CS.314	CS.368	CS.127	CS.058	CS.371.1	CS.230	CS.040	CS.388	CS.056	CS.060	CS.367	CS.076	CS.248	CS.335	CS.301	CS.153	CS.375	CS.128	CS.136	CS.282	CS.292	CS.125	CS.205	CS.302	CS.380	CS.203	CS.213	CS.374	CS.041	CS.126	CS.232	CS.323	CS.372	CS.395	CS.268	CS.182	CS.369	CS.166	CS.178	CS.214	CS.147	CS.389	CS.129	CS.181	CS.148	CS.177	T.CS.029	T.CS.057	T.CS.020	T.CS.012	T.CS.024	T.CS.082	T.CS.052	T.CS.072	T.CS.023	T.CS.067	T.CS.059	TFS.023	T.CS.004	T.CS.062	T.CS.050	T.CS.180	T.CS.160	T.CS.121	T.CS.161	T.CS.092	T.CS.147	T.CS.117	T.CS.097	T.CS.116	T.CS.114	T.CS.091	T.CS.159	T.CS.130	T.CS.100	T.CS.115	CS.088	CS.015	CS.085	CS.087	L.024.M1	CS.103	CS.110	CS.237	L.034.M1	CS.356	CS.082	CS.006	CS.246	CS.238	CS.242	CS.346	CS.187	CS.188	CS.364	CS.113	CS.304	CS.164	CS.228	CS.358	CS.308.0	CS.207	CS.189	CS.150	CS.325	CS.078	CS.080	CS.227	CS.223	CS.285	CS.158	CS.202	CS.361	CS.331	CS.339	CS.343	CS.112	CS.321	CS.318	CS.319	CS.194	CS.253	CS.255	CS.393	CS.370	CS.390	CS.145	CS.262	CS.270	CS.326	T.CS.066	T.CS.036	TFS.022	T.CS.031	T.CS.049	T.CS.026	T.CS.064	T.CS.045	TFS.021	T.CS.008	T.CS.055	T.CS.061	TFS.027	T.CS.043	TFS.025	T.CS.152	T.CS.095	T.CS.158	T.CS.109	T.CS.166	T.CS.142	T.CS.151	T.CS.157	T.CS.141
CS.099	0	0.585574182252	0.580819202847	0.496823200064	0.554616265163	0.536972014385	0.519279126339	0.531782600374	0.558480042236	0.527075964019	0.5037760738	0.690540966204	0.660326692298	0.528478141922	0.562325588762	0.576402334033	0.628229145906	0.589757940653	0.649302500312	0.72285554362	0.574959027329	0.731771639282	0.692735008294	0.598273750705	0.739700494553	0.629580033607	0.649908121412	0.778297556689	0.648035274238	0.568163836632	0.659370161235	0.640879887104	0.629563827483	0.72308628535	0.615669406604	0.71067518382	0.737596370123	0.759870738748	0.604077217103	0.587319217154	0.701791088695	0.691865659601	0.666792671398	0.615095492067	0.551244960605	0.68014116828	0.691862272234	0.663010394213	0.676716606242	0.644927917677	0.744142086301	0.720075173445	0.640340622355	0.670786719856	0.686072827458	0.689425005634	0.606380860117	0.674331396128	0.712573461842	0.708954902525	0.602229690301	0.729837358017	0.538954912888	0.712931530722	0.610064009766	0.563887080871	0.691985001744	0.584069063758	0.74663094933	0.581486578944	0.586183558058	0.628629421602	0.62909641687	0.538028522431	0.605269853479	0.557717708846	0.543709195756	0.59895268797	0.546169662556	0.566451287354	0.511187009077	0.561110027568	0.531069061278	0.564140647181	0.511871850444	0.531921357711	0.558968035154	0.546602369436	0.568368262915	0.536434650589	0.636526086958	0.550085019733	0.520498178305	0.54983239349	0.541158440459	0.532886639847	0.62874310945	0.634547939294	0.592572033165	0.688389134099	0.525681857172	0.485995529663	0.545136209198	0.530728841462	0.532982363623	0.752890571725	0.673322364039	0.700609460755	0.733997994253	0.561762425936	0.692967647276	0.695765559767	0.582421746482	0.787111361294	0.68154181343	0.690128366482	0.655837924375	0.59086484377	0.773264078584	0.607805211691	0.603121778191	0.786873418888	0.698821845766	0.7403327616	0.62378272271	0.666219160689	0.685491673436	0.601709516069	0.663344891469	0.695858867759	0.622548505134	0.559301543709	0.696716269582	0.702927668087	0.771440425484	0.726911899571	0.64406335018	0.69532163593	0.687139933277	0.694346355318	0.644252844018	0.702030078971	0.70247758175	0.646430881411	0.522838897998	0.544506234598	0.534375669926	0.575748137173	0.683654037456	0.731142326403	0.55387672997	0.603512051571	0.596478776344	0.658941824956	0.556356185403	0.636061907871	0.568524919889	0.595394338363	0.635440095435	0.562759430358	0.524555143634	0.547772665504	0.511840399758	0.558505261911	0.589888248758	0.555895533752	0.541076276267	0.582165186773
CS.244	0.585574182252	0	0.638470074848	0.613890750754	0.644208943775	0.639162401986	0.640379083952	0.650422829603	0.660747929961	0.660980616532	0.601628153429	0.680331631097	0.623491758509	0.661084268953	0.62123674654	0.681302218685	0.695274259019	0.656340332356	0.699105996641	0.726263604722	0.635888495599	0.750565954327	0.716147744812	0.625178339798	0.736711948674	0.642982308676	0.690122283076	0.775569938561	0.712036086419	0.617387742588	0.694202310372	0.697668670977	0.663828655128	0.759624060601	0.673513343789	0.738808595499	0.781858657961	0.769219025338	0.69780066151	0.687010583772	0.729035309584	0.706308103449	0.676026025416	0.69899188571	0.635186776856	0.749643312717	0.724484239374	0.700022428467	0.683021974465	0.710325323932	0.73956133813	0.735963649771	0.67785430545	0.717829569437	0.7161954895	0.718952928286	0.621132156758	0.708583019877	0.702634830703	0.720382737715	0.630470138635	0.75498523411	0.636978258628	0.736841779586	0.679806857845	0.666681018739	0.731396270345	0.668791661138	0.755097386206	0.664241744117	0.567581524121	0.715116377894	0.690607580295	0.628082012085	0.631359550726	0.60538800245	0.655637495369	0.698633826409	0.601904075986	0.646814176154	0.654389262487	0.643536723141	0.631266171471	0.575055086442	0.574951748442	0.652119986389	0.626910937857	0.648537371039	0.629220442054	0.662041434167	0.673104869942	0.642101809161	0.589427671337	0.621725419759	0.635049522471	0.629868790159	0.650505874128	0.659267462666	0.637973158821	0.715356863333	0.626062214953	0.607812825098	0.642865836815	0.636586261455	0.629301778608	0.753475198568	0.695124842606	0.751269477484	0.750774607524	0.655067970647	0.718195770906	0.63842639295	0.623968486774	0.789162995513	0.689052075909	0.688757740756	0.673960864776	0.627268258646	0.761485240133	0.69371797772	0.643272447345	0.780235719256	0.718900128457	0.749391820632	0.640622462094	0.703267984535	0.712998997996	0.673891681017	0.729409499014	0.741896045152	0.636912278068	0.6530885924	0.74412855931	0.749736603922	0.784903119674	0.727559821824	0.699021059071	0.679401476596	0.713252116588	0.714337069713	0.720374387816	0.710914767394	0.711238916043	0.685607547811	0.649346456054	0.59085847062	0.67564328206	0.642451969519	0.719447921783	0.740755688525	0.641488116169	0.673817570494	0.682997019056	0.717122485385	0.635948299579	0.710142472591	0.697266307778	0.691851219051	0.729295571418	0.664244575604	0.650844019576	0.663050564446	0.658022698504	0.689413597157	0.682813836676	0.644225361824	0.618865765505	0.642195837822
L.006.M1	0.580819202847	0.638470074848	0	0.556363329973	0.553841494096	0.596188580807	0.576741161406	0.540316090503	0.553324799768	0.507838217686	0.542472028253	0.640790893311	0.696574663599	0.526263023648	0.605718898735	0.551218163279	0.584896244416	0.620461079908	0.628543968669	0.688364270763	0.575046249866	0.720089711881	0.677080745179	0.63631687802	0.743562697793	0.660834525147	0.645692415833	0.732387107444	0.616924634152	0.597371359828	0.6369345802	0.601187966795	0.644963014206	0.687391473023	0.618075297364	0.667537762002	0.707022680686	0.736731826899	0.547064237978	0.524283243517	0.675333799009	0.657484039625	0.644735391729	0.581686930655	0.581900156508	0.645951672956	0.647517760145	0.660076927683	0.664145190294	0.633829214253	0.723038236337	0.68290827518	0.596263760443	0.665461904375	0.676163186791	0.667265070164	0.602366658293	0.654105412519	0.664907076532	0.690941107108	0.62295935137	0.706157557289	0.565959154519	0.706884634105	0.592038319969	0.571761039673	0.629690125381	0.559881864142	0.754875787165	0.58718873815	0.608379063207	0.622661567893	0.599865707204	0.540279728845	0.608756604202	0.56668996003	0.563121643885	0.535564808757	0.568231533387	0.571200084767	0.525949432869	0.557280521824	0.540462109193	0.580435815437	0.554714219003	0.547702141782	0.578362511762	0.537353728441	0.516361800396	0.547058587394	0.622834677635	0.596381073521	0.546154926991	0.603943301413	0.618471363068	0.568132637211	0.617316026997	0.647582251515	0.559910232991	0.712206165918	0.558039269075	0.58125099269	0.544848622274	0.581938432435	0.529184580651	0.751607581306	0.640383392762	0.669217531629	0.70528704027	0.602653633284	0.71648006361	0.709040378365	0.598657534265	0.754373295955	0.686745744404	0.687096550545	0.677432825384	0.591478884508	0.732952721889	0.606285874171	0.605423599255	0.770694654051	0.662443645633	0.729726951314	0.633354820679	0.669774346021	0.667799014615	0.57575523328	0.653315198067	0.67084937419	0.634529460237	0.537294726388	0.645842089467	0.646002209073	0.756183137417	0.734998702929	0.610765642834	0.670021987503	0.640164666762	0.674322065468	0.603070953743	0.672944901307	0.671529844301	0.6301028626	0.548613004428	0.562646938903	0.53915660019	0.575993364907	0.650211974477	0.722144512963	0.549117064394	0.599491722036	0.608658049667	0.606359652416	0.569037730458	0.591122053997	0.544756245203	0.554043591833	0.609023514565	0.572236776728	0.540704601311	0.529474889538	0.528122640414	0.57681291461	0.57675568069	0.551043772867	0.584609158596	0.577538327576
CS.005	0.496823200064	0.613890750754	0.556363329973	0	0.553448562955	0.537713996434	0.448494839121	0.524326577199	0.511290040319	0.499734538939	0.488903253465	0.69158531477	0.700507874131	0.550327189536	0.553781967162	0.524699087387	0.587905464431	0.579600527497	0.637544835346	0.708958746836	0.558117989863	0.724909569196	0.676734665922	0.607855740059	0.753729499659	0.623937534248	0.640640298796	0.777241589529	0.605719303287	0.525276893936	0.651724747734	0.606233448657	0.60928701007	0.695782217174	0.587546139732	0.682192160574	0.729427919259	0.737061096974	0.555968001893	0.583422313539	0.690160639771	0.682768859504	0.653921671385	0.552895552678	0.482129584987	0.6490876971	0.67070362158	0.651058558233	0.665860806574	0.603862358106	0.736426032152	0.696405418836	0.612543719661	0.650399281317	0.673768849526	0.654562436581	0.590098344385	0.636674977814	0.6952763602	0.698028597651	0.608734942402	0.724407794008	0.496460153396	0.705075137533	0.583076690086	0.573409350892	0.669656140058	0.528181088159	0.76215304153	0.578503018809	0.585025951864	0.636419741337	0.615852434059	0.536540606804	0.617344023114	0.542587142426	0.49262827428	0.528863561598	0.496411419336	0.522261957864	0.503533811762	0.526122498045	0.508503637723	0.563973629075	0.526032739326	0.485449990025	0.474632083076	0.501949877294	0.530551185231	0.445257052865	0.680795921033	0.589131619684	0.475794766895	0.602856483996	0.577737880826	0.53151213506	0.617980263878	0.613738912199	0.594722536511	0.704058332013	0.475202275758	0.487759724562	0.496909484431	0.553443508755	0.508859392581	0.743942201951	0.643265242944	0.694353547818	0.740473862675	0.596865177017	0.691368798449	0.713841998275	0.587227833908	0.771303626173	0.686334095527	0.679223269815	0.624849909148	0.544090960233	0.778980478815	0.629112230227	0.590912125749	0.791193872107	0.661261559655	0.725660222675	0.623893921155	0.668428382524	0.693361161559	0.565080542143	0.671220059251	0.689944169826	0.63115376853	0.578849539994	0.68533520938	0.690013985892	0.767361967557	0.733276634689	0.613595519464	0.677335043267	0.676309148797	0.665214088314	0.613431729508	0.694341472258	0.679187551212	0.628851702392	0.527411251761	0.513874523522	0.503237796916	0.574620307484	0.66644007955	0.733492962004	0.568157144735	0.602841181095	0.630055747352	0.667864308597	0.577549188528	0.614482717945	0.589803023554	0.586029128237	0.624296275419	0.532992500351	0.509881188648	0.516698064889	0.474145586292	0.534363721291	0.611081014461	0.551379632346	0.555515911827	0.596193053416
CS.019	0.554616265163	0.644208943775	0.553841494096	0.553448562955	0	0.550807168097	0.56322911808	0.54688548594	0.500541451318	0.517015777509	0.526930721243	0.596523237746	0.696641403588	0.555829003923	0.545893280671	0.51978208017	0.56085728249	0.581810579073	0.579726186264	0.657580891792	0.551311849348	0.672315439998	0.624534594632	0.594406756177	0.704612179752	0.62044579291	0.587549450842	0.727808550101	0.588321635071	0.550200714144	0.568930223115	0.558340495228	0.593889143253	0.659407357316	0.577216785506	0.624229417227	0.681576136246	0.694883075206	0.527708415614	0.508095834608	0.648284775743	0.6311921865	0.606276820194	0.538408620813	0.560698537932	0.625662808847	0.627664414334	0.617049616236	0.642516200606	0.594311639273	0.714343191545	0.663900503698	0.574115143506	0.628048608948	0.635693635669	0.634979612204	0.594786419393	0.624051116915	0.675402041392	0.653075747613	0.609289241782	0.66924377231	0.606514924148	0.658456961499	0.55373772959	0.510460623232	0.629404834902	0.549094819064	0.742291693156	0.537229722873	0.625192651349	0.563487411801	0.554955315379	0.491629305147	0.571600556529	0.566206515499	0.567579196665	0.531375597291	0.59518994158	0.599267232361	0.562569432762	0.52416866247	0.558274893026	0.589110216588	0.586976971429	0.558316072528	0.610593498619	0.509693487698	0.581226312301	0.559279496913	0.595124258312	0.565751176174	0.558069176768	0.559447018864	0.554797162494	0.554936010678	0.611709229843	0.610598092493	0.554810679572	0.674343880596	0.575465845119	0.508015395131	0.522954754439	0.53107264243	0.525409849156	0.718124735001	0.592258225875	0.606543749188	0.683467064523	0.508953891044	0.693175758139	0.676772006514	0.584657824865	0.719658590327	0.636828634336	0.670536187381	0.650595563934	0.601172465132	0.754415501955	0.532164282126	0.554890016642	0.738646081871	0.633202927314	0.68418758291	0.606547228358	0.635216317998	0.624075885426	0.58850458855	0.621211009051	0.616485712307	0.584372968623	0.511112159713	0.635396963168	0.633340175294	0.727121730672	0.732808055917	0.601993637432	0.651328826263	0.616667846911	0.632897313542	0.526043946432	0.651505965019	0.65177387175	0.63348189029	0.538799573187	0.558785927662	0.540747971458	0.532485887945	0.63208914031	0.696156450474	0.513299369971	0.544950546548	0.57583481917	0.575007550343	0.545340708308	0.565681226364	0.516024132792	0.538948386397	0.550633117515	0.53395252758	0.570124114215	0.520318784681	0.550048047669	0.526337861131	0.570157730529	0.528183227511	0.550767853938	0.562244927263
CS.035	0.536972014385	0.639162401986	0.596188580807	0.537713996434	0.550807168097	0	0.555510670976	0.570740067075	0.524032696918	0.561763083731	0.53888354502	0.664956100009	0.617228861788	0.588157183404	0.530561292918	0.561687620222	0.560570911935	0.574675646946	0.590445068156	0.674952531155	0.56108463287	0.675517675062	0.66224770691	0.568189440344	0.728329646749	0.600103790811	0.596739027949	0.741929403075	0.61777191343	0.543358070289	0.58971409722	0.596294021449	0.548350623564	0.67212839535	0.548314762985	0.660620534074	0.713736626953	0.702336543017	0.579745412813	0.583941770649	0.670800575675	0.632917191837	0.590388477158	0.556682074529	0.502843517644	0.6522940409	0.658861086245	0.630690437957	0.648435722599	0.612805299468	0.70783091667	0.668420545878	0.60101961533	0.61811548853	0.662580882956	0.651865461186	0.586452975456	0.630530480126	0.657247977811	0.683010719228	0.583417275178	0.682029606647	0.574241305543	0.666413229027	0.565695829622	0.544150030778	0.623756181167	0.557486775984	0.710432937363	0.561872925661	0.574784945929	0.588019402162	0.575983491654	0.531241219416	0.570737181306	0.586957822605	0.577686084456	0.609961302973	0.56820844394	0.623787902792	0.568788991186	0.55057273778	0.561822170072	0.582252464498	0.581955422517	0.572445703431	0.596609767215	0.569158995649	0.60982551084	0.578519041869	0.636671376179	0.550686334848	0.519633458712	0.575327219738	0.594638949192	0.526375929292	0.623617071732	0.585570085335	0.601485809436	0.670775971652	0.534680830275	0.528613002027	0.559874182059	0.584297455783	0.541929453289	0.723649775409	0.61113925433	0.6411754443	0.706488296086	0.529934768135	0.62577370472	0.670779021461	0.573476167053	0.755056677111	0.631737992469	0.66707810968	0.615780659285	0.5677993625	0.74082872352	0.567769782228	0.562231375134	0.759162325558	0.640681996517	0.691696640646	0.59691795459	0.608302669126	0.64475803762	0.595323215392	0.631302746988	0.662144283877	0.571048007016	0.557251779465	0.646509622995	0.655064552921	0.746895122853	0.704437279678	0.621918376958	0.628711760532	0.654030340508	0.646956021376	0.595619890681	0.647378385283	0.636689088356	0.63106618925	0.564453403721	0.567733467329	0.558063400203	0.563545502311	0.645685693245	0.71810566686	0.552642297014	0.571249995377	0.587422791822	0.618030642288	0.576229916307	0.601442370274	0.566171793169	0.556418901102	0.59190265617	0.540197982585	0.561156686757	0.564063948001	0.566461362685	0.548485539773	0.605154529572	0.575722877378	0.571197358074	0.580254792617
CS.011	0.519279126339	0.640379083952	0.576741161406	0.448494839121	0.56322911808	0.555510670976	0	0.541463077942	0.531404742647	0.511631988138	0.500200874537	0.669470697084	0.704894875154	0.58271350641	0.587279282205	0.533863774078	0.565342998103	0.586374237533	0.654895468767	0.700223634695	0.576795956458	0.721212807026	0.666803297008	0.610227198064	0.725735196504	0.607334904029	0.593919172968	0.761120299197	0.570868017765	0.554204099005	0.651903447445	0.599719775847	0.613846851211	0.683194899289	0.581317207233	0.643549187448	0.709301101682	0.720058327484	0.568157150496	0.609800747563	0.68709382968	0.656348249939	0.656082249126	0.551796439241	0.512767536019	0.621514487474	0.623477852145	0.610973070636	0.660099216216	0.560189068913	0.723195333768	0.680903363471	0.606796344443	0.638498785118	0.654480367107	0.617634447155	0.59792519751	0.6191815696	0.698810181438	0.676150245318	0.604762561707	0.714582045012	0.496039157135	0.699654867737	0.591314683934	0.570808866495	0.64624688434	0.520937076578	0.737388186117	0.589404191649	0.601322918487	0.638434978949	0.631060810965	0.560843228927	0.624941670383	0.548367861618	0.485753878115	0.515193068808	0.521674102027	0.528896667107	0.513763622635	0.529010497328	0.509491021459	0.593354719054	0.550108612215	0.497353696389	0.496494871014	0.507950792002	0.547720327698	0.43939681199	0.68695013742	0.60777650539	0.497537823154	0.619830949099	0.593900370948	0.528340906919	0.647499247606	0.621845423001	0.605795452915	0.678740624747	0.487870801714	0.531946412222	0.519544057005	0.553860258269	0.51267532051	0.717339451751	0.621356450297	0.680796675202	0.718243937463	0.61232417736	0.692543419038	0.702359278619	0.612584183231	0.774590513903	0.668121616784	0.657569060512	0.620874951115	0.564487808778	0.764815252075	0.639984032581	0.600580860482	0.774720643679	0.635614117457	0.705459642057	0.633256218797	0.665845233644	0.683264820271	0.544296547709	0.671838510562	0.676628072077	0.62859109864	0.580129735735	0.668166429551	0.658732886551	0.755786391839	0.718093623597	0.593199015182	0.670802265277	0.648874803486	0.658676437606	0.594894076309	0.678782529494	0.665457467816	0.597106343243	0.515961126232	0.512433299537	0.503902536921	0.585035619248	0.664511119984	0.705927490731	0.573775637999	0.620992388486	0.63119677703	0.673578858684	0.585515803361	0.62491883231	0.602873775058	0.61109389817	0.632406640785	0.535127454115	0.529191860138	0.5179104203	0.498906861158	0.521622648566	0.636628893353	0.591755862615	0.585800616306	0.632314184381
L.007.M1	0.531782600374	0.650422829603	0.540316090503	0.524326577199	0.54688548594	0.570740067075	0.541463077942	0	0.545140486124	0.462713471223	0.54387848005	0.678176508569	0.742164925754	0.390179823011	0.547424983433	0.532236061037	0.591456349328	0.645271071952	0.600515914167	0.738225195942	0.605233437669	0.685356076024	0.726163561593	0.634890117881	0.763819935828	0.687725595593	0.676783920749	0.765861442267	0.620414165495	0.626669446118	0.640909509367	0.607480373744	0.676522108846	0.706105937859	0.647782059548	0.681689476281	0.706082553422	0.7339052004	0.53259396906	0.553595181158	0.707530274403	0.693614053037	0.706629850308	0.526303007971	0.581787033122	0.667302810532	0.671431711264	0.684878234455	0.716186373389	0.619972490419	0.78246085794	0.715190320654	0.5989373127	0.657750584023	0.683251690489	0.68475543604	0.616119744053	0.649374391457	0.709334201393	0.702814232151	0.663707363429	0.721587992064	0.494311948345	0.688921652701	0.569037100977	0.519250356678	0.678078363983	0.562834630091	0.748453926765	0.49992632092	0.640875521227	0.566774218289	0.547010053878	0.491551411441	0.603558671465	0.604067988855	0.496041354049	0.553833028972	0.539156957152	0.56989883369	0.413682694515	0.479399694239	0.469168007076	0.599611072468	0.53747032825	0.393558427261	0.532126103052	0.484259568371	0.533144364835	0.454317981711	0.641132511823	0.532166439893	0.560527903129	0.580752783646	0.463497652414	0.576364508964	0.678061650087	0.694311366777	0.590125228343	0.690196023402	0.583642372233	0.504436781698	0.543864862551	0.565187797145	0.496725621972	0.766329629393	0.664315306757	0.647282400229	0.756816894385	0.550463332942	0.734611165716	0.763883740396	0.661538125512	0.777392665646	0.731522998996	0.68865858745	0.643508456876	0.610255332332	0.75426155296	0.585465794761	0.638914645929	0.796834452538	0.675526342108	0.757073694419	0.682244511081	0.655046335092	0.696739924732	0.607843863865	0.654790186716	0.669367217441	0.684262007527	0.531140969403	0.676116413309	0.678991685373	0.755519639716	0.760020822351	0.632083792289	0.716182195783	0.682225190734	0.683621648345	0.584283872612	0.664676253032	0.678532079543	0.632739344755	0.457678339545	0.554065883977	0.467141923938	0.529202791136	0.623841135005	0.725886382178	0.493493868934	0.54344389198	0.558585697416	0.573898279435	0.507962536436	0.571983377287	0.483049011517	0.499992378041	0.545729594426	0.503498008019	0.418192586608	0.476293811267	0.428106593784	0.489240625651	0.456168119419	0.411694547742	0.489198228167	0.448949725444
CS.105	0.558480042236	0.660747929961	0.553324799768	0.511290040319	0.500541451318	0.524032696918	0.531404742647	0.545140486124	0	0.508261891554	0.528089867227	0.640573388779	0.707910767653	0.561084449413	0.574902215852	0.514825318387	0.520598228829	0.565565598652	0.574038834431	0.678843279439	0.502798779847	0.670047319769	0.656415574879	0.602370479271	0.735199797283	0.608294293394	0.584305413308	0.748694890472	0.550670175494	0.535379735617	0.592921740662	0.570732601164	0.575927281996	0.665825426797	0.596703614987	0.636985678069	0.691451383575	0.697522992174	0.504287495929	0.502218768351	0.670449632269	0.658925628615	0.577182816994	0.490116273839	0.50900916494	0.595808181784	0.617045353459	0.626672445265	0.651441931233	0.559336519399	0.719397390628	0.659179706552	0.586582147524	0.617321092077	0.635293174066	0.616161706884	0.61371469936	0.619187578188	0.676496471105	0.682129503878	0.576117954151	0.664695539334	0.552271092881	0.67483947551	0.526587585761	0.499420729879	0.601085425423	0.491666869218	0.737432046673	0.494983726938	0.61648260595	0.543107037532	0.527639762052	0.479814774401	0.567652028875	0.568343501869	0.52893173417	0.540942721476	0.576078267304	0.569995943659	0.534938214041	0.526640958716	0.508829874076	0.581843735278	0.580735217015	0.515327390245	0.574448919731	0.506537771508	0.569661724971	0.523262218777	0.639049811819	0.602241015052	0.521244560059	0.588447723777	0.58336312233	0.573535730677	0.626505074482	0.636169605997	0.576653810095	0.671659401298	0.531759726275	0.525610277988	0.510859757177	0.546996050393	0.485305202248	0.718970430339	0.61335638208	0.626347738902	0.70445909074	0.525323829447	0.685152762495	0.70474167645	0.599303562908	0.745093057295	0.654049158293	0.675947052139	0.646724158574	0.574429734771	0.744214256754	0.562230467249	0.492381881941	0.770987335059	0.638514994768	0.70305381986	0.625600572575	0.634305858426	0.655710292017	0.577462906023	0.610070344752	0.642603261872	0.624431715348	0.517106244618	0.628471720539	0.627692881571	0.729525549794	0.7291730326	0.597702067078	0.653473096151	0.609135489762	0.638884610596	0.550924740866	0.65416465774	0.630858727556	0.602860337722	0.521044908075	0.55231373003	0.489559145706	0.518366789954	0.628999962872	0.693399416437	0.503337592185	0.523688568715	0.556721874214	0.556448308545	0.551335593914	0.54141000321	0.523570040727	0.531002669371	0.515341306909	0.499027248907	0.549570959278	0.49011994429	0.525296035115	0.511390589083	0.585881454423	0.533193281311	0.556822019886	0.591905270276
CS.296	0.527075964019	0.660980616532	0.507838217686	0.499734538939	0.517015777509	0.561763083731	0.511631988138	0.462713471223	0.508261891554	0	0.537185009355	0.648066291965	0.734957681867	0.443967306681	0.550567851838	0.49708677802	0.560141829599	0.607225822881	0.585658434283	0.694106803916	0.586485101336	0.689715033375	0.692382088377	0.631938380869	0.742697170516	0.667802984131	0.625723457828	0.751066575172	0.559869140108	0.591811684903	0.60407534593	0.571669052826	0.63308309065	0.671792501355	0.628021018702	0.649749492039	0.673695745352	0.736378614684	0.509238528948	0.490109531602	0.693319628628	0.664233327853	0.676382344598	0.51342417439	0.551060992625	0.618534591585	0.649202558137	0.635115993103	0.68716050226	0.605471260599	0.745557608691	0.693561176088	0.590014667499	0.625953205621	0.670851462792	0.647574739311	0.60693829903	0.633090277232	0.696192870551	0.682351011111	0.618331898556	0.715467539287	0.524512008852	0.669180883976	0.544462221336	0.505945075741	0.638337573506	0.523207461758	0.734504605315	0.483820180353	0.635966627013	0.559333049871	0.559410345658	0.497943998542	0.603915203866	0.544674795463	0.480974619873	0.511268827098	0.553821873839	0.522107935742	0.462483942557	0.499374087684	0.477345244571	0.569459839185	0.561891513602	0.461342672308	0.553623023123	0.454756378237	0.52291518324	0.4847395554	0.622391765307	0.576441196669	0.542420985626	0.569237763831	0.514899931657	0.560478331429	0.657334927487	0.660838834232	0.560700696478	0.694165211837	0.538516492385	0.520848834931	0.47684663343	0.55795221932	0.459691916018	0.746941458633	0.618622723184	0.63486027664	0.716329410808	0.553366462547	0.696309273727	0.736936616751	0.617780657358	0.761303393192	0.693671564447	0.679901010579	0.657159723295	0.582281853834	0.762088592158	0.575083114957	0.619092269764	0.788314719437	0.648413760957	0.733814162604	0.654982459724	0.646584973022	0.654640162011	0.579024701122	0.605963639777	0.658829828524	0.658603161491	0.483159871838	0.654349625736	0.640474101076	0.756470381823	0.74383138195	0.600710863075	0.662499677341	0.655965044676	0.668885626766	0.541797246809	0.680865386512	0.666896359237	0.639898739843	0.48125218332	0.543634603957	0.440842645949	0.534044337931	0.641829017862	0.732690309398	0.513756468495	0.551957523352	0.563486695986	0.582311183618	0.525201151606	0.549887856155	0.496931035029	0.477488677948	0.550133922006	0.494237131917	0.470102819312	0.421449840699	0.441723834931	0.453349418014	0.51677789434	0.471241125226	0.517359640827	0.533918385724
