g__Methanobrevibacter	k__Bacteria	g__Actinomyces	g__Bifidobacterium	g__Corynebacterium	g__Olsenella	f__Coriobacteriaceae	g__Collinsella	g__Senegalimassilia	f__Eggerthellaceae	g__Eggerthella	g__Enterorhabdus	g__Gordonibacter	g__Slackia	o__Thermoleophilales	f__Bacteroidaceae	g__Bacteroides	f__Barnesiellaceae	g__Barnesiella	f__Muribaculaceae	g__Butyricimonas	g__Odoribacter	f__Prevotellaceae	g__Massiliprevotella	g__Paraprevotella	g__Prevotella	g__Prevotellamassilia	f__Rikenellaceae	g__Alistipes	f__Tannerellaceae	g__Parabacteroides	f__Sphingobacteriaceae	g__Elusimicrobium	p__Firmicutes	f__Bacillaceae	f__Thermoactinomycetaceae	g__Granulicatella	g__Enterococcus	g__Lactobacillus	g__Weissella	g__Lactococcus	g__Streptococcus	o__Clostridiales	g__Colidextribacter	g__Flavonifractor	g__Flintibacter	g__Howardella	g__Intestinimonas	g__Pseudoflavonifractor	f__Christensenellaceae	f__Clostridiaceae	g__Butyricicoccus	g__Clostridium	g__Hungatella	f__Clostridiales.Family.XIII..Incertae.Sedis	g__Ihubacter	g__Mogibacterium	f__Defluviitaleaceae	f__Eubacteriaceae	g__Eubacterium	f__Gracilibacteraceae	f__Lachnospiraceae	g__Anaerosporobacter	g__Anaerostipes	g__Blautia	g__Butyrivibrio	g__Coprococcus	g__Cuneatibacter	g__Dorea	g__Eisenbergiella	g__Faecalicatena	g__Fusicatenibacter	g__Hespellia	g__Lachnobacterium	g__Lachnoclostridium	g__Lachnospira	g__Muricomes	g__Parasporobacterium	g__Pseudobutyrivibrio	g__Robinsoniella	g__Roseburia	g__Tyzzerella	f__Oscillospiraceae	g__Oscillibacter	f__Peptococcaceae	g__Peptococcus	f__Peptostreptococcaceae	g__Intestinibacter	g__Paeniclostridium	g__Romboutsia	g__Terrisporobacter	f__Ruminococcaceae	g__Acutalibacter	g__Anaeromassilibacillus	g__Caproiciproducens	g__Drancourtella	g__Faecalibacterium	g__Gemmiger	g__Negativibacillus	g__Ruminiclostridium	g__Ruminococcus	g__Sporobacter	g__Subdoligranulum	f__Erysipelotrichaceae	g__Catenibacterium	g__Coprobacillus	g__Erysipelatoclostridium	g__Holdemanella	g__Holdemania	g__Longibaculum	g__Turicibacter	g__Phascolarctobacterium	g__Megamonas	g__Mitsuokella	g__Propionispira	g__Allisonella	g__Dialister	g__Megasphaera	g__Veillonella	g__Fusobacterium	o__Victivallales	f__Victivallaceae	g__Victivallis	c__Alphaproteobacteria	f__Kiloniellaceae	g__Delftia	g__Oxalobacter	g__Duodenibacillus	g__Parasutterella	g__Sutterella	f__Desulfovibrionaceae	g__Desulfovibrio	g__Succinivibrio	o__Enterobacterales	f__Enterobacteriaceae	g__Haemophilus	f__Spiroplasmataceae	g__Akkermansia
CS.099	0.000579038795599305	0.00106899469956795	0.000356331566522649	0.0297536858046412	4.45414458153312e-05	0.00405327156919514	0.000356331566522649	0.0612444879960804	0.006859382655561	0.0012917019286446	0.000178165783261325	0.000623580241414636	0	0.00195982361587457	0	0.000668121687229968	0.00369694000267249	0.00111353614538328	0	0.000356331566522649	4.45414458153312e-05	0	0.0208008551957597	0.00115807759119861	8.90828916306623e-05	0.351298383145517	0.0293973542381186	0.000222707229076656	0	0.000133624337445994	0.000356331566522649	0.000846287470491292	0	0.000178165783261325	4.45414458153312e-05	0.000668121687229968	0.000356331566522649	0.00120261903701394	0.0114471515745401	0.00837379181328226	0.0055676807269164	0.00881920627143557	0.00712663133045299	4.45414458153312e-05	0	0.000979911807937286	0.000178165783261325	0.000133624337445994	0	0	0.000445414458153312	0.00365239855685716	0.0190637388089617	0.00360785711104182	0.000133624337445994	0.000534497349783974	0.000534497349783974	0.000356331566522649	0.00222707229076656	0.0179947441093938	4.45414458153312e-05	0.0278829450803973	8.90828916306623e-05	0.00351877421941116	0.0298873101420872	0	0.0126497706115541	4.45414458153312e-05	0.0123379804908467	0	8.90828916306623e-05	0.00338514988196517	0.000623580241414636	0	0.00432052024408712	0.0021379893991359	4.45414458153312e-05	8.90828916306623e-05	4.45414458153312e-05	0.000489955903968643	0.00922007928377355	0.000356331566522649	0.000935370362121955	0.00262794530310454	0	0.000579038795599305	0.000133624337445994	0.000712663133045299	4.45414458153312e-05	0.00775021157186762	0.00169257494098258	0.00240523807402788	0.000178165783261325	0	4.45414458153312e-05	0	0.0491292147343103	0.00253886241147388	0.000222707229076656	0.000579038795599305	0.0144759698899826	0.00106899469956795	0.00111353614538328	0.00356331566522649	0.00525589060620908	0	0	0.00476593470224043	0	0	0.000222707229076656	0.00267248674891987	0	0.00846287470491292	0.000222707229076656	0.000356331566522649	0.0531379448576901	0	0.000489955903968643	0	0	0.000801746024675961	0	0	0.00262794530310454	0	4.45414458153312e-05	0.00356331566522649	0.000133624337445994	0.00534497349783974	0	0.000133624337445994	0.0634715602868469	0.0314462607456238	0.000623580241414636	0.000712663133045299	0.000400873012337981	0.000668121687229968
CS.244	0.00027027027027027	0.00324324324324324	0.00101351351351351	0.00351351351351351	0	0.0027027027027027	0.00398648648648649	0.0163513513513514	0.00141891891891892	6.75675675675676e-05	0	0.00925675675675676	0	0.0052027027027027	0.00027027027027027	0.00554054054054054	0.0133783783783784	0.00358108108108108	0	0	0	6.75675675675676e-05	0.00709459459459459	6.75675675675676e-05	0	0.208918918918919	0.020472972972973	0.000472972972972973	0.000405405405405405	0	0	0	0	0.0251351351351351	0	0.00398648648648649	0	6.75675675675676e-05	0.0608783783783784	0	0.0022972972972973	0.00439189189189189	0.0333783783783784	0.000135135135135135	0	6.75675675675676e-05	0	0.0022972972972973	0	0	0.000743243243243243	0.00628378378378378	0.000202702702702703	0.00986486486486486	6.75675675675676e-05	0.000608108108108108	0.0197972972972973	0.00317567567567568	0.00027027027027027	0.0238513513513514	0	0.0181756756756757	6.75675675675676e-05	0.000135135135135135	0.0202027027027027	0.0136486486486486	0.0259459459459459	0	0.0097972972972973	0	0	0.000540540540540541	6.75675675675676e-05	0	0.00304054054054054	0.00027027027027027	0.00195945945945946	0	0.000135135135135135	0	0.0481081081081081	0.000878378378378378	0	0.00472972972972973	0.00182432432432432	0.00128378378378378	0	0.0110135135135135	0	0.0202702702702703	0	0.0136486486486486	0.000135135135135135	0	0	0	0.0310810810810811	0.000540540540540541	0	0	0.0619594594594595	0.00391891891891892	0.000743243243243243	0.0181756756756757	0.00195945945945946	0	6.75675675675676e-05	0.00452702702702703	0	6.75675675675676e-05	0	0.0118243243243243	6.75675675675676e-05	0.000135135135135135	0	0.00195945945945946	0.00216216216216216	0	0.000202702702702703	0.000608108108108108	0	0.00939189189189189	0.000135135135135135	0	0.00236486486486486	0.00391891891891892	0	0.00601351351351351	0	0.01	0	0.000202702702702703	0.0125	0.0124324324324324	0.0119594594594595	0.00425675675675676	0.0550675675675676	0
L.006.M1	0	0.0250597458289594	0.00223348893306234	0.00314921939561789	4.46697786612467e-05	0	6.70046679918701e-05	0.00576240144730083	0.0047796663167534	0.000290353561298104	0	0.00192080048243361	0.000156344225314364	0.000603042011926831	0	0.00136242824916803	0.0171531950059187	0	8.93395573224935e-05	0.014115650056954	0.000156344225314364	0.000513702454604337	0.0245683782636857	0	0	0.139548388537735	2.23348893306234e-05	0.0020994795970786	0.000580707122596208	0	0.00310454961695665	0	2.23348893306234e-05	0.000312688450628727	0.00033502333995935	0.00493601054206776	8.93395573224935e-05	0	0.00766086704040381	4.46697786612467e-05	2.23348893306234e-05	0.0164608134366694	0.0546311393027048	0.000804056015902441	0	0.00145176780649052	0	0.00366292185022223	0.000446697786612467	4.46697786612467e-05	0.0577356889196614	0.00455631742344717	0.000580707122596208	0.0126415473611328	0.00214414937573984	0.00283653094498917	0	0.000379693118620597	0.00270252160900543	0.044357090210618	0.000491367565273714	0.0115918075625935	0.000603042011926831	0.0299287517030353	0.0623143412324392	0.0064994527952114	0.0303754494896478	0	0.0289460165724879	6.70046679918701e-05	0.00020101400397561	0.00484667098474527	0.00245683782636857	0	0.00710249480713823	0	0.00227815871172358	2.23348893306234e-05	0.000424362897281844	0.0100283653094499	0.00871060683894311	0.00824157416300002	0.00408728474750408	0.0199003863935854	4.46697786612467e-05	0.000402028007951221	0	0.000826390905233065	0.000178679114644987	0.00404261496884283	0.000312688450628727	0.0703102316128024	0.00174212136778862	0	0	0	0.0581377169276126	0.00214414937573984	0.000759386237241194	0.000536037343934961	0.0369865767315123	0.00833091372032252	0.00511468965671275	0.00357358229289974	0.000446697786612467	0	0	0.0285886583431979	0	0	0	8.93395573224935e-05	2.23348893306234e-05	0	0	0	0.0483997051794608	0	0.0101847095347643	0	0	0	0	0	0	2.23348893306234e-05	4.46697786612467e-05	0.000156344225314364	8.93395573224935e-05	6.70046679918701e-05	0.000759386237241194	0.00020101400397561	0.00109440957720054	0.00212181448640922	0.000111674446653117	0.00562839211131709	2.23348893306234e-05	0
CS.005	0.0018686100210886	0.0028029150316329	0.000320333146472331	0.0155895464616535	0	0.00317663703585062	0.00290969274712368	0.0784282320279758	0.00592616320973813	0.000427110861963108	2.66944288726943e-05	0.00475160833933958	0.000106777715490777	0.00136141587250741	0.00114786044152585	0.000213555430981554	0.0333413416619951	0	0	0.00037372200421772	0.00018686100210886	0.000213555430981554	0.0110514935532954	0.000106777715490777	0	0.163716932276234	0.0114252155575131	0.000133472144363471	0.000587277435199274	0.000533888577453885	0.0018419155922159	0.00018686100210886	0.00178852673447052	0.000213555430981554	0.00018686100210886	0.00178852673447052	0.000160166573236166	0.000427110861963108	0.00939643896318838	0.00018686100210886	0	0.00213555430981554	0.0226368756840447	0.00216224873868824	0.000160166573236166	0.00205547102319746	0.000453805290835803	0.00130802701476202	0.00018686100210886	0	0.0032567203224687	0.00258935960065134	0.0136675475828195	0.00531219134566616	0.000427110861963108	0.00189530444996129	0.000880916152798911	0.00122794372814394	0.00619310749846507	0.0388136995808975	0.000266944288726943	0.0217292651023731	0.000106777715490777	0.00194869330770668	0.0245054857051333	0	0.0163636848989616	5.33888577453885e-05	0.0134806865807106	0	0.000106777715490777	0.00795493980406289	0.000427110861963108	0.000213555430981554	0.00872907824137103	0.00355035904006834	0.000694055150690051	0.000613971864071968	0.000133472144363471	0.0014148047302528	0.0600624649635621	0.000667360721817357	0.00242919302741518	0.00960999439416994	0.00037372200421772	0.000507194148581191	5.33888577453885e-05	0.00827527295053522	0	0.0264808734417127	0.0055791356343931	0.00993032754064227	0.00443127519286725	0	0.000347027575345025	0	0.0549638290488775	0.0092896612476976	0.000266944288726943	0.00112116601265316	0.0611836309762153	0.00360374789781373	0.00224233202530632	0.00555244120552041	0.019300072074958	0.000160166573236166	2.66944288726943e-05	0.0140946584447826	2.66944288726943e-05	0.000106777715490777	0.0018419155922159	0.0121459651370759	5.33888577453885e-05	2.66944288726943e-05	0	0.000266944288726943	0.0223432369664451	0	0.000240249859854248	0.00018686100210886	5.33888577453885e-05	0.000587277435199274	2.66944288726943e-05	0.000133472144363471	0.0120658818504578	0	5.33888577453885e-05	0.00742105122660901	0.00074744400843544	0.00848882838151678	0.000160166573236166	0.00352366461119564	0.0559515229171672	0.000854221723926217	0.00146819358799818	0.00117455487039855	0.000320333146472331	0.00112116601265316
CS.019	0	0.00833680700291788	8.33680700291788e-05	0.0970404335139642	5.55787133527859e-05	0.000222314853411144	0.000527997776851466	0.048158955120189	0.00402945671807698	0.0023620953174934	0.000138946783381965	0.00533555648186744	0	0	0	0	0.0164512991524246	0	2.77893566763929e-05	0.00411282478810616	0.000666944560233431	0.00111157426705572	0.0255662081422815	0	0	0.242350979574823	0	0	0.00250104210087536	2.77893566763929e-05	0.00205641239405308	0	0	0.00144504654717243	2.77893566763929e-05	0.00177851882728915	8.33680700291788e-05	8.33680700291788e-05	0.0070862859524802	0	0	0.00047241906349868	0.0184521328331249	0.000166736140058358	8.33680700291788e-05	0.000555787133527859	0.000500208420175073	0.000583576490204252	0.000166736140058358	0	0.000666944560233431	0.0015839933305544	0.0246213700152841	0.0023620953174934	0.000305682923440322	0.000666944560233431	0.00169515075725997	0.000416840350145894	0.00233430596081701	0.0512991524246214	5.55787133527859e-05	0.0305682923440322	0.000194525496734751	0.00683618174239266	0.0322078643879394	0	0.00803112407947756	2.77893566763929e-05	0.0108378491037932	0	0.000111157426705572	0.00419619285813533	0.000194525496734751	2.77893566763929e-05	0.00461303320828123	0.000972627483673753	0.000166736140058358	0	0.000166736140058358	5.55787133527859e-05	0.0146449909684591	0.00125052105043768	0.000778101986939002	0.00533555648186744	0	0	0.000111157426705572	0.00105599555370293	0	0.0345977490621092	0.000639155203557038	0.0139502570515493	0.000166736140058358	0	5.55787133527859e-05	0	0.0683062387105739	0.0176740308461859	0.000138946783381965	0.000500208420175073	0.0368208975962206	0.0015839933305544	0.00125052105043768	0.00564123940530777	0.0422398221481173	0	0.000138946783381965	0.0272891482562179	0.000111157426705572	2.77893566763929e-05	2.77893566763929e-05	0.000222314853411144	0	0	0	0.000305682923440322	0.0192858135334167	0	5.55787133527859e-05	8.33680700291788e-05	0	0	2.77893566763929e-05	0	0	0	0	0.0106155342503821	0.000138946783381965	0.0137557315548145	0	0.00227872724746422	0	0.000583576490204252	8.33680700291788e-05	2.77893566763929e-05	0	0
CS.035	0.00365166309438755	0.000476303881876637	0.000119075970469159	0.00595379852345797	7.93839803127729e-05	0.0055568786218941	0.00246090338969596	0.0410415178217036	0.000436611891720251	0.000476303881876637	0.000595379852345797	0.000119075970469159	0	0.000119075970469159	0	0.00198459950781932	0.0216321346352306	0.000476303881876637	0.000238151940938319	0.000873223783440502	0.000238151940938319	0.00111137572437882	0.0100420735095658	0	0	0.271135984758276	0.0132571247122331	0.000436611891720251	0.00158767960625546	0.000396919901563864	0.00658887036596015	0.00400889100579503	3.96919901563864e-05	0	0.000357227911407478	0.00111137572437882	0	0	0.000357227911407478	3.96919901563864e-05	0	0.00198459950781932	0.00841470191315393	0	0.000238151940938319	0.00158767960625546	0.000635071842502183	0.00138921965547353	0.000317535921251092	0	0.00194490751766294	0.00452488687782805	0.0029372072715726	0.00631102643486544	0.000992299753909661	0.00436611891720251	0.000119075970469159	0.00154798761609907	0.000754147812971342	0.0298483765976026	0	0.0112328332142574	3.96919901563864e-05	0.00297689926172898	0.0481860760498531	0.00345320314360562	0.046836548384536	0	0.0113122171945701	0.000119075970469159	0.000357227911407478	0.00623164245455267	0.00158767960625546	0	0.00861316186393586	0.00515995872033024	7.93839803127729e-05	3.96919901563864e-05	3.96919901563864e-05	0	0.029888068587759	0.001746447566881	0.000674763832658569	0.0138525045645789	3.96919901563864e-05	0	0	7.93839803127729e-05	0	0.00984361355878384	0	0.00750178613955704	3.96919901563864e-05	7.93839803127729e-05	0	7.93839803127729e-05	0.0808525839485592	0.0100420735095658	0.000396919901563864	0.00154798761609907	0.0319520520758911	0.00325474319282369	0.00313566722235453	0.010478685401286	0.00194490751766294	0	0.000277843931094705	0.00460427085814083	3.96919901563864e-05	3.96919901563864e-05	3.96919901563864e-05	0.0429467333492101	0	0.00627133444470906	0.012939588790982	0.000873223783440502	0	0.00436611891720251	0	0.000912915773596888	3.96919901563864e-05	0.000198459950781932	0	0	3.96919901563864e-05	0	0	0.000674763832658569	0	0.0135349686433278	0.000198459950781932	0.00337381916329285	0.000119075970469159	0.0813288878304358	0.000476303881876637	0	0	0.0014686036357863
CS.011	0.090502704105051	0.000518868865872398	0.000179608453571215	0.0548005348340617	5.98694845237382e-05	0.0086611187611008	0.00530842762777146	0.129258217086751	0.00648586082340498	0.000898042267856074	7.98259793649843e-05	0.00923985711149694	0	0.000838172783332336	0.000179608453571215	7.98259793649843e-05	0.0371190804047177	0.00906024865792572	0	0.000658564329761121	0.00379173401983676	0.00131712865952224	0.0108962461833204	0.00199564948412461	0	0.0380570356622563	0.0040711249476142	0.00239477938094953	0.00181604103055339	0.00620646989562753	0.0053283841226127	0	0	0.00141691113372847	0.000858129278173582	0.00423077690634417	0	7.98259793649843e-05	0.00243469237063202	0	0	0.000878085773014828	0.0351234309205931	0.000818216288491089	9.97824742062304e-05	0.0104372468019717	0.000538825360713644	0.00213534494801333	0.00055878185555489	7.98259793649843e-05	0.00620646989562753	0.00163643257698218	0.00912011814244946	0.00261430082420324	0.00195573649444212	0.00578738350396136	0.0123530703067313	0.00882077071983077	0.0328284340138498	0.0180207148416452	0.0012572591749985	0.0205352331916422	0.000259434432936199	0.00157656309245844	0.0148675886567283	1.99564948412461e-05	0.0099183779360993	0	0.00580733999880261	0.000658564329761121	0.000339260412301183	0.00606677443173881	0.000439042886507414	0.000638607834919875	0.00191582350475962	0.00335269113332934	3.99129896824922e-05	9.97824742062304e-05	0	0.000379173401983676	0.00878085773014828	0.000339260412301183	0.0117543754614939	0.0187990181404538	0.00213534494801333	0.000858129278173582	7.98259793649843e-05	0.00464986329801034	1.99564948412461e-05	0.0307928715400427	0.00121734618531601	0.0272206589634597	0.010058073399988	0	5.98694845237382e-05	1.99564948412461e-05	0.030573350096789	0.00247460536031451	9.97824742062304e-05	0.00225508391706081	0.0123929832964138	0.0116346364924465	0.00265421381388573	0.00199564948412461	0.0151070665948233	0	3.99129896824922e-05	0.00977868247221058	0	0	0.00235486639126704	0.00231495340158455	0	0.00143686762856972	0	0.000159651958729969	0.0116346364924465	0.0103973338122892	0.000119738969047476	0.000239477938094953	0.00321299566944062	0.00828194535911712	0.00600690494721507	0	3.99129896824922e-05	0	0.000818216288491089	0.00181604103055339	0	0.000379173401983676	0.011435071544034	0.00091799876269732	0.0209343630884671	0.00289369175198068	0.0125127222654613	9.97824742062304e-05	0.000818216288491089	0.000119738969047476
L.007.M1	9.2434866431618e-05	0.00130729311096145	0.000184869732863236	6.60249045940129e-05	0.00046217433215809	0.0106300096396361	0.00343329503888867	0.0379511151606386	0.00472738316893132	0.00040935440848288	0	0.00242971648905967	0	0.00199395211873919	1.32049809188026e-05	0.00110921839717942	0.0105903946968797	0.00184869732863236	0	0.000831913797884562	0	1.32049809188026e-05	0.0168627606333109	0.00145254790106828	0	0.286482061033422	0.0518955750108941	5.28199236752103e-05	2.64099618376051e-05	0.000369739465726472	6.60249045940129e-05	0.00143934292014948	1.32049809188026e-05	0.000264099618376051	5.28199236752103e-05	0.00149216284382469	0	0.000277304599294854	0.0015317777865811	0.000686659007777734	0	0.00264099618376051	0.00628557091735002	0.000845118778803365	1.32049809188026e-05	0.000541404217670905	0.000290509580213657	0.00196754215690158	7.92298855128154e-05	1.32049809188026e-05	0.00171664751944433	0.00246933143181608	0.0188038928283749	0.00175626246220074	0.00150536782474349	0.000303714561132459	0.00139972797739307	3.96149427564077e-05	0.000198074713782039	0.0328275825641432	9.2434866431618e-05	0.0100093755364524	0.000105639847350421	0.000950758626153785	0.0392452032906812	0.00174305748128194	0.0112506437428198	2.64099618376051e-05	0.00796260349403795	1.32049809188026e-05	0.000105639847350421	0.00272022606927333	0.000290509580213657	0	0.00396149427564077	0.00161100767209391	0.000937553645234983	0.000356534484807669	0.000686659007777734	2.64099618376051e-05	0.0195565767407466	0.000250894637457249	0.000316919542051262	0.00239010154630327	0.000158459771025631	0.000448969351239287	9.2434866431618e-05	0.0146839387817085	0	0.0247329292609172	0.00478020309260653	0.00425200385585443	0.000171664751944433	0	0	0	0.0943627936457632	0.0051103276155766	5.28199236752103e-05	6.60249045940129e-05	0.0182360786488664	0.00191472223322637	0.0015185728056623	0.00388226439012796	0.0551175903550819	0	1.32049809188026e-05	0.00875490234916611	0	5.28199236752103e-05	0.00414636400850401	0.0198470863209603	1.32049809188026e-05	0	0.00886054219651653	0.000369739465726472	0.0239802453485455	0	0.000660249045940129	0.00345970500072627	0	2.64099618376051e-05	0	0	0	0	0	0.00106960345442301	0	0.00122806322544864	0	0.000567814179508511	0.0483434351437362	0.0092434866431618	0.00371059963818352	0.00378982952369634	0.000171664751944433	0
CS.105	0.00225647138964578	0.0151566757493188	0.00136239782016349	0.00934519754768392	0.000106437329700272	0	0.00568375340599455	0.0538147138964578	0.00753576294277929	0.000510899182561308	0	0.000106437329700272	0	0.00138368528610354	0	0.0142413147138965	0.0125596049046322	0	0	0.00389560626702997	0.00106437329700272	0.0030866825613079	0.00485354223433242	0	0.000638623978201635	0.276843494550409	0.0549855245231608	0	0.00478967983651226	2.12874659400545e-05	0.00438521798365123	0	0	0.000276737057220708	4.2574931880109e-05	0.0019158719346049	0.000234162125340599	0.000361886920980926	0.0019158719346049	4.2574931880109e-05	2.12874659400545e-05	0.00649267711171662	0.0153908378746594	0.000212874659400545	0.000149012261580381	0.00129853542234332	0.00019158719346049	0.000340599455040872	0.000127724795640327	0	0.00391689373297003	0.0028525204359673	0.00283123297002725	0.00364015667574932	0.000447036784741144	0.000468324250681199	8.5149863760218e-05	0.000532186648501362	0.00127724795640327	0.0259281335149864	0.000319311989100817	0.0231181880108992	0.000106437329700272	0.00112823569482289	0.0388922002724796	0	0.00974965940054496	2.12874659400545e-05	0.0157314373297003	2.12874659400545e-05	4.2574931880109e-05	0.00915361035422343	0.000638623978201635	2.12874659400545e-05	0.00461938010899183	0.00189458446866485	0.000234162125340599	4.2574931880109e-05	2.12874659400545e-05	6.38623978201635e-05	0.0181582084468665	0.000979223433242507	0.00112823569482289	0.00745061307901907	0.000447036784741144	0	0	0.000298024523160763	0	0.00796151226158038	4.2574931880109e-05	0.00853627384196185	0.000212874659400545	0	6.38623978201635e-05	0	0.0728031335149864	0.00940905994550409	4.2574931880109e-05	0.000255449591280654	0.0415318460490463	0.00515156675749319	0.00042574931880109	0.00430006811989101	0.0356777929155313	6.38623978201635e-05	8.5149863760218e-05	0.0137729904632153	0	2.12874659400545e-05	0.00195844686648501	0.0654589577656676	0.00061733651226158	0.00244805858310627	0	0.000766348773841962	4.2574931880109e-05	0	0.000212874659400545	0.00042574931880109	0.000127724795640327	0	2.12874659400545e-05	0	0	0	0.000149012261580381	0.0030866825613079	2.12874659400545e-05	0.0195631811989101	0.00106437329700272	0.00223518392370572	0	0.00834468664850136	0.000894073569482289	0.00430006811989101	0.000383174386920981	0
CS.296	0.000200251224263167	0.000382297791775136	0.000273069851267954	0.00402322914201453	0.000109227940507182	0.000782800240301469	0.002403014691158	0.0351896015000637	0.00227558209389962	0.000546139702535909	0	0.000873823524057454	0	0.00100125612131583	0	0	0.0196428246345415	0	9.10232837559848e-05	0	0.000364093135023939	0.00023666053776556	0.0164388050463309	0	0	0.269283282663705	0.0328594054359105	0.000527935045784712	0.00116509803207661	0	0.000928437494311045	0	0.0218455881014363	0	0.000254865194516757	0.00314940561795707	3.64093135023939e-05	0.0006007536727895	0.0168757168083596	0.000782800240301469	1.8204656751197e-05	0.00140175856984217	0.0188054104239865	0.000127432597258379	7.28186270047878e-05	0.00285813110993792	0	0.00109227940507182	0.000364093135023939	0	0.00342247546922503	0.00145637254009576	0.0104676776319382	0.00438732227703847	0.00083741421055506	0.000964846807813439	0	0.000309479164770348	0.0018204656751197	0.0233747792685369	7.28186270047878e-05	0.00806466294078025	0.000273069851267954	0.00209353552638765	0.0220094300121971	0	0.0270157106187763	1.8204656751197e-05	0.0150188418197375	3.64093135023939e-05	0.000109227940507182	0.0054067830551055	0.000327683821521545	0.000254865194516757	0.00387759188800495	0.00101946077806703	0.000527935045784712	0	5.46139702535909e-05	0	0.0379749139829968	0.00189328430212448	0.0029673590504451	0.0071726347599716	0	0.000764595583550272	0	0.000910232837559848	0	0.0346434617975278	0.000309479164770348	0.00915694234585207	0.000382297791775136	0	0.000782800240301469	0	0.0450201161457101	0.00369554532049298	0.00249403797491398	0.00100125612131583	0.0346070524840254	0.00362272669348819	0.00156560048060294	0.00486064335256959	0.033642205676212	0	1.8204656751197e-05	0.00646265314667492	1.8204656751197e-05	0	0.000145637254009576	0.00065536764304309	3.64093135023939e-05	0.00688136025195245	0	0.000910232837559848	0.0465493073128106	1.8204656751197e-05	0.000691776956545484	0	1.8204656751197e-05	0.016639056270594	0.000109227940507182	1.8204656751197e-05	0.01414501829568	0	0.000163841910760773	0.00704520216271322	0	0.0160018932843021	0.000509730389033515	0.00263967522892356	0.0519196810544137	0.00138355391309097	0.0053703737416031	0.000509730389033515	0	1.8204656751197e-05
