CS.243	CS.036	CS.263	CS.019	CS.021	CS.245	CS.005	CS.264	CS.010	L.007.M1	L.035.M1	CS.037	CS.105	CS.217	L.036.M1	CS.064	CS.072	CS.066	CS.154	CS.287	CS.077	CS.073	CS.327	CS.334	CS.058	CS.118	CS.301	CS.056	CS.149	CS.373	CS.376	CS.232	CS.205	CS.375	CS.136	CS.378	CS.128	CS.126	CS.236	CS.380	CS.041	CS.125	CS.203	CS.224	CS.374	CS.323	CS.178	CS.256	CS.214	CS.359	CS.389	CS.177	CS.129	CS.147	CS.348	CS.181	CS.386	CS.395	CS.148	CS.183	T.CS.079	T.CS.041	T.CS.042	T.CS.035	T.CS.023	T.CS.076	T.CS.067	T.CS.062	T.CS.089	T.CS.058	T.CS.046	T.CS.028	T.CS.040	T.CS.059	T.CS.056	T.CS.126	T.CS.160	T.CS.117	T.CS.130	T.CS.147	T.CS.156	T.CS.153	T.CS.180	T.CS.178	T.CS.098	T.CS.092	T.CS.124	T.CS.108	T.CS.161	T.CS.118	CS.110	CS.246	CS.015	CS.356	CS.237	CS.103	CS.085	CS.088	CS.238	CS.082	CS.006	L.034.M1	CS.087	L.024.M1	CS.241	CS.338	CS.358	CS.165	CS.150	CS.044	CS.228	CS.364	CS.113	CS.234	CS.387	CS.191	CS.078	CS.164	CS.233	CS.304	CS.319	CS.152	CS.194	CS.285	CS.322	CS.318	CS.112	CS.320	CS.158	CS.343	CS.163	CS.227	CS.080	CS.331	CS.223	CS.145	CS.270	CS.390	CS.255	CS.370	CS.262	CS.393	CS.253	CS.326	T.CS.036	T.CS.049	TFS.027	T.CS.008	T.CS.026	T.CS.064	T.CS.061	T.CS.043	TFS.022	T.CS.055	TFS.025	T.CS.031	TFS.021	T.CS.045	TFS.020	T.CS.141	T.CS.095	T.CS.151	T.CS.166	T.CS.142	T.CS.158	T.CS.152	T.CS.157	T.CS.109
CS.243	0	0.646188165611	0.519761559608	0.544946023405	0.627430298331	0.558345742448	0.56893999954	0.573092946627	0.69096630603	0.547669199086	0.581929374652	0.662210223882	0.592018813966	0.566063311896	0.546684430946	0.613149355647	0.561437537304	0.566689098258	0.739156540331	0.620199475615	0.580721933454	0.610400638708	0.567340592238	0.669683780638	0.617865972056	0.57920386969	0.622433805816	0.669570439612	0.624426134804	0.606885206229	0.640106784552	0.575352334073	0.684600143918	0.598402562432	0.623401262137	0.639396512931	0.571135968786	0.559629640345	0.657047131932	0.593753715784	0.646952916119	0.638273508263	0.542912905348	0.734580363869	0.615618631258	0.642733234523	0.59995918107	0.608155876526	0.637697094099	0.703548339388	0.656541669856	0.637525537954	0.582579365888	0.623884766507	0.642391016926	0.626283670897	0.679266983973	0.637269434615	0.675194154338	0.708805514963	0.650737508844	0.565247793029	0.556403423225	0.569800998469	0.74240350703	0.598680099447	0.559542098002	0.521057529653	0.613960358618	0.558487219203	0.58796019276	0.597076001315	0.524512812824	0.597573854571	0.618263879747	0.55636642299	0.56045165391	0.542647039777	0.53433085683	0.548361756373	0.522721859815	0.561916301984	0.563193651488	0.552422983398	0.572881587277	0.596336925731	0.532975136399	0.566934933863	0.583481668592	0.604605135322	0.609932599537	0.537730477847	0.554087060257	0.663489435318	0.621521582348	0.568128744849	0.575718753976	0.633639960517	0.577905523485	0.601957541238	0.522095617021	0.562137819331	0.595735468957	0.545368199487	0.550783467335	0.611870595388	0.726778022133	0.669074990381	0.610905043131	0.563962214982	0.603578815906	0.680051907556	0.57129172705	0.66973490301	0.605669710367	0.550904878416	0.58667840496	0.706243647033	0.575110206741	0.661246949014	0.639125447227	0.560020345159	0.704945326044	0.70093365714	0.645131060686	0.631064070685	0.590938377984	0.585121052973	0.623934423368	0.627117443931	0.622553323219	0.757450992911	0.591199344684	0.58054051612	0.620693771805	0.597832289089	0.643606974715	0.663551260461	0.624620188548	0.633758092661	0.648091608909	0.630045465375	0.701077909428	0.610180199035	0.567759968746	0.651262869606	0.55817496662	0.613645284648	0.707118682682	0.555467503602	0.604731937989	0.563200873711	0.565216914738	0.558398356328	0.609021213907	0.567615889566	0.571604566549	0.602442324735	0.56137414708	0.562179754789	0.547799584473	0.549393925748	0.54075512242	0.576540270579	0.539485664655	0.550337750535	0.556171179338	0.530988553847
CS.036	0.646188165611	0	0.620185571623	0.594722708305	0.56462711187	0.665550708879	0.636090953528	0.612864029692	0.664826984163	0.70432541844	0.610951661198	0.570763752641	0.569190271141	0.633428509839	0.638747101848	0.557097230259	0.613797805359	0.64380475882	0.68621098484	0.602986725986	0.575879253144	0.618821072932	0.660405423213	0.620329345201	0.538966698355	0.594086646679	0.579645231428	0.56869222837	0.584839382962	0.567549496896	0.583726390107	0.567272697514	0.659595168266	0.625844939116	0.555641603617	0.66614635508	0.594675481344	0.615997640292	0.579883838562	0.610765517917	0.590323642064	0.62248574505	0.630659168994	0.717081899592	0.637911534202	0.590115011143	0.625654982553	0.636268631109	0.628077908846	0.656843729932	0.608936787157	0.684114111759	0.627636566035	0.633989118478	0.581267772383	0.621404491151	0.678998141673	0.630366422775	0.6631213016	0.653034880008	0.645352258329	0.624154703422	0.628722886046	0.607402761533	0.720781523014	0.588225725427	0.646937715575	0.634005739937	0.610963442677	0.627022717538	0.629871426639	0.601336051619	0.642119228302	0.635359360706	0.655131454016	0.628508967136	0.667242073455	0.670804146307	0.647670222707	0.677602936559	0.665697508947	0.643363299974	0.604102838154	0.63335943961	0.663944600661	0.650773247365	0.630734844914	0.690768674913	0.64053357478	0.594276713794	0.634454888321	0.619450855883	0.668884667354	0.695331297418	0.573358657682	0.582193426356	0.581816478735	0.669745394007	0.609480027921	0.596091529265	0.622482868931	0.61255142394	0.631054653072	0.713385385953	0.635942042509	0.610597078125	0.712301260024	0.677912133187	0.61643011106	0.598152143305	0.577724805344	0.635958955968	0.623348735842	0.625878363931	0.597965427797	0.638310569079	0.639695291339	0.647323251901	0.625895520157	0.666037087645	0.592265113754	0.582662123707	0.740961742896	0.610378542394	0.657921430989	0.611130152835	0.585643942317	0.613997840334	0.561005041347	0.630101394628	0.567966190336	0.714978669488	0.587539530404	0.587026015838	0.61752254483	0.631335747195	0.655004360139	0.618307513568	0.606425432986	0.592973934784	0.673391743271	0.633933990882	0.699344574367	0.652154925794	0.61504651329	0.657142935356	0.643174653512	0.675627947096	0.707653452771	0.633179844685	0.61462897813	0.63431045364	0.65455553436	0.632258745453	0.642104640632	0.651183142323	0.668720093608	0.642682477489	0.653322580208	0.713249726807	0.691921512268	0.695597517924	0.63503686472	0.70289911201	0.641516226962	0.629438665578	0.685806212831	0.670376133348
CS.263	0.519761559608	0.620185571623	0	0.55112446521	0.609671993644	0.605902293406	0.54190387343	0.570415626841	0.682013193074	0.568990543918	0.568142205894	0.62942792065	0.547795427515	0.53392417293	0.553871259768	0.552981706494	0.539527755002	0.566190226646	0.74886137366	0.60629456917	0.549824131614	0.608124811688	0.571942655217	0.684016472956	0.566569337116	0.553849041825	0.582200994853	0.646183183723	0.597458824781	0.588951297301	0.653532894964	0.53444520069	0.67091315383	0.563438372903	0.587872987424	0.656811269964	0.560078467947	0.530279031551	0.661609748401	0.539378136231	0.638526783832	0.624679585992	0.534186019973	0.745907321067	0.613523596452	0.584132774777	0.577974872943	0.622929417514	0.624815535798	0.689916247757	0.605329786387	0.639510163049	0.554901123592	0.618624917544	0.579211069991	0.61236598997	0.665053400095	0.583308627615	0.647899627516	0.712057698756	0.64932157468	0.514179804979	0.513397208398	0.530570826646	0.743141670335	0.561413106821	0.546972027316	0.528048581247	0.553725405443	0.530386517902	0.570662136183	0.551448075958	0.523436638703	0.568310838882	0.60629122215	0.511618424983	0.529636627358	0.519736547433	0.463156928847	0.547895284326	0.523821200661	0.533772515992	0.504178113443	0.480607523004	0.546694776053	0.554942123238	0.483382022087	0.547205785238	0.540978110861	0.558736657926	0.605374016173	0.512998696615	0.580082364515	0.679117835791	0.623216623456	0.570784311415	0.523452687868	0.663433965198	0.579701607617	0.539140293051	0.555035243964	0.546898501082	0.614816036449	0.590861500009	0.557585171366	0.575978359923	0.73077173285	0.68256382606	0.550050123658	0.536521397977	0.574406380612	0.67605852213	0.57069716609	0.650608793515	0.581541396719	0.551400846244	0.596342062687	0.703251654152	0.54902240123	0.680838620979	0.638293002259	0.510320842134	0.721097837624	0.697282324646	0.651141348564	0.625392460006	0.604096785498	0.576736133525	0.612310472077	0.637574725734	0.610317596455	0.763965225573	0.573024809642	0.509056100179	0.621019938635	0.546909005143	0.622249048993	0.619951598571	0.574525203523	0.606517570476	0.631484985706	0.62116460753	0.687923214281	0.581479751561	0.553996460002	0.64158397352	0.578833903253	0.618058929726	0.701948063203	0.525840124885	0.588483398427	0.574286272534	0.539782253126	0.5458606773	0.593546191651	0.564983425303	0.584623370277	0.569955631176	0.535101807945	0.591180228974	0.550898959135	0.553210728264	0.545947886692	0.61782140189	0.515342286232	0.539317771843	0.572762397201	0.534347890262
CS.019	0.544946023405	0.594722708305	0.55112446521	0	0.579399948573	0.553323231414	0.553448562955	0.587928680442	0.696641403588	0.54688548594	0.568734568505	0.631533654287	0.500541451318	0.537989316565	0.539692740059	0.57133930904	0.521385396412	0.558534081626	0.734918465082	0.629586145268	0.540795230917	0.606666240414	0.583913002448	0.666958710392	0.581810579073	0.550753905688	0.588321635071	0.624534594632	0.608772636362	0.590005023493	0.622621867051	0.560698537932	0.681576136246	0.568930223115	0.593889143253	0.671629680456	0.558340495228	0.538408620813	0.655627878915	0.527708415614	0.606276820194	0.624229417227	0.508095834608	0.73758629409	0.6311921865	0.625662808847	0.574115143506	0.644260017945	0.628048608948	0.707890881947	0.634979612204	0.653075747613	0.594786419393	0.635693635669	0.627606690368	0.624051116915	0.682898422096	0.617049616236	0.675402041392	0.697482935671	0.644807848582	0.530793462502	0.515174878642	0.544810205749	0.742291693156	0.584742396504	0.537229722873	0.491629305147	0.572815282888	0.532454888029	0.590298827552	0.529273300074	0.513759598916	0.625192651349	0.582627277176	0.517248052854	0.567579196665	0.52416866247	0.509693487698	0.562569432762	0.50939780176	0.58443724051	0.566206515499	0.544691516042	0.576104721769	0.599267232361	0.554158797891	0.57724245157	0.59518994158	0.573137613253	0.611709229843	0.522954754439	0.565751176174	0.674343880596	0.610598092493	0.554936010678	0.558069176768	0.595124258312	0.53107264243	0.575465845119	0.508015395131	0.554810679572	0.559447018864	0.554797162494	0.525681999336	0.6164962912	0.719658590327	0.645277775626	0.601172465132	0.523628037752	0.584657824865	0.683467064523	0.508953891044	0.653270237603	0.570236563719	0.539039031845	0.532164282126	0.676772006514	0.605667621201	0.693175758139	0.633340175294	0.533061041115	0.727121730672	0.68418758291	0.659082298322	0.635396963168	0.584372968623	0.587708777339	0.606547228358	0.616485712307	0.583149953933	0.738646081871	0.554890016642	0.58850458855	0.633202927314	0.526043946432	0.65177387175	0.632897313542	0.601993637432	0.616667846911	0.651505965019	0.651328826263	0.732808055917	0.63348189029	0.558785927662	0.63208914031	0.516024132792	0.575007550343	0.696156450474	0.513299369971	0.565681226364	0.538948386397	0.540747971458	0.545340708308	0.550633117515	0.532485887945	0.57583481917	0.544950546548	0.541295583131	0.562244927263	0.570124114215	0.528183227511	0.526337861131	0.570157730529	0.520318784681	0.53395252758	0.550767853938	0.550048047669
CS.021	0.627430298331	0.56462711187	0.609671993644	0.579399948573	0	0.603879893231	0.636943954241	0.631896413463	0.697149921081	0.661866414111	0.556706618031	0.584125142059	0.568915577908	0.621484921124	0.615996787576	0.585295322672	0.598422975504	0.647748699024	0.665260682278	0.582335652608	0.584974126865	0.613607039996	0.613702055592	0.597803566676	0.542789138155	0.606819695616	0.535190153846	0.565455652033	0.56006567596	0.514638178844	0.525609261062	0.610797576035	0.587033114654	0.572991464209	0.556096056637	0.647843704744	0.586573116714	0.571149258636	0.642304140867	0.608564359007	0.577495815264	0.532094176665	0.618335848782	0.672671517811	0.574881927048	0.571073621483	0.614240372031	0.589083439413	0.590004309718	0.631083565988	0.540717622962	0.623849873602	0.624661583611	0.55770158467	0.573260596917	0.585540510191	0.666066641105	0.617552705526	0.630088339871	0.637184569475	0.56751094323	0.569752208668	0.638821180212	0.589766755681	0.688282340309	0.567350668777	0.586990989086	0.606072496042	0.579326258385	0.621364234257	0.543950578669	0.564842191839	0.598028476155	0.647463568255	0.651095376216	0.600892665072	0.652594463796	0.62597529856	0.604904410468	0.664450257698	0.630663212253	0.665014210734	0.638063646182	0.626926074683	0.663957116374	0.681057007324	0.63575741006	0.673303268248	0.612907753946	0.499436632705	0.586823515648	0.609628407066	0.657258351914	0.63483616274	0.575812929821	0.622176840054	0.592064479314	0.667744611581	0.587964718335	0.621246092362	0.557381035231	0.585318806827	0.608142966288	0.651659711188	0.652187158371	0.605319253106	0.63344934516	0.608998313938	0.580708187993	0.56929937245	0.605169662497	0.603149804154	0.603848569312	0.617126788332	0.526117261821	0.631430462489	0.614393200288	0.662760529262	0.642671688345	0.671348508968	0.555064208697	0.586780728685	0.632392882677	0.594546341044	0.567411973052	0.530326181564	0.566290090885	0.55257694664	0.575320119532	0.557624021802	0.570838566199	0.652206794462	0.563424235547	0.560033075281	0.582572194101	0.585323979723	0.592613365268	0.599533188166	0.547419900186	0.582139917764	0.568561499512	0.635467662985	0.659145350691	0.563407249698	0.617738131898	0.557609203962	0.597660819169	0.590489904464	0.601086405771	0.61202618972	0.590481990552	0.616201227979	0.642465821414	0.590362665147	0.561345788536	0.585342102589	0.607493184412	0.602426088195	0.635275576625	0.65093298383	0.672039708765	0.648137562074	0.608869204399	0.654748960879	0.617045821563	0.578433579513	0.62925814202	0.652267572482
CS.245	0.558345742448	0.665550708879	0.605902293406	0.553323231414	0.603879893231	0	0.612081257864	0.63147146618	0.702244038645	0.552334191399	0.575926513439	0.656814858543	0.567064844463	0.578597455522	0.526422850119	0.614152275295	0.579277895041	0.591704510896	0.714646508122	0.638070413449	0.57416757326	0.609175093823	0.552425818237	0.693938172701	0.622619683069	0.584907608713	0.626320919409	0.667250519127	0.613866854305	0.611994945502	0.608776393383	0.600315040808	0.666950968129	0.569575557489	0.627187731737	0.651906385477	0.613068254643	0.5483570838	0.694730253024	0.561645893278	0.619370614737	0.628261297061	0.57649850057	0.694076220416	0.626572589731	0.658953847016	0.599139243925	0.669284034588	0.62322866129	0.70469353603	0.639907119815	0.662755413699	0.603021431048	0.640925224004	0.629379092473	0.647972268561	0.684159932555	0.669890040906	0.664751597092	0.705906323709	0.637006675845	0.542235735719	0.570426017601	0.541897243474	0.693757269295	0.602278400782	0.513443350664	0.539177165967	0.587026349165	0.584168549047	0.590312369313	0.550314556322	0.531805126003	0.641789458635	0.58115445238	0.565657882692	0.60994393118	0.544059090055	0.573014735452	0.591055075898	0.535971117806	0.596242162138	0.619010834176	0.589453146569	0.588663612529	0.648951277262	0.580303867371	0.58452516365	0.608065718736	0.579648112843	0.621278491384	0.56996697783	0.559949990857	0.629783070292	0.619858138041	0.592303794741	0.598282231994	0.590422044873	0.602864250413	0.615040905601	0.535174458787	0.585988980302	0.568401831488	0.563357182119	0.580949777652	0.646009683519	0.72192389784	0.617456133411	0.60628717685	0.542245052625	0.63104628485	0.664789167594	0.524347463702	0.647998973842	0.557819823251	0.557109578181	0.544781317385	0.685037115305	0.628507877059	0.64489061106	0.641722109069	0.574859461884	0.708908494907	0.683498877727	0.662988117056	0.640248024507	0.60539560157	0.585883783485	0.616196127561	0.633264972553	0.622187941601	0.744128296286	0.596763902134	0.647446540252	0.622195064583	0.587532873781	0.645149889173	0.640068338588	0.636039918931	0.65907355061	0.626284132889	0.636571296825	0.727249385162	0.619479517207	0.608812889953	0.61883814636	0.513133717842	0.533892113095	0.674017998252	0.54141794112	0.560478540773	0.549394721371	0.581718840683	0.552461584437	0.529124179642	0.52619114946	0.54615210201	0.535073161706	0.570629594229	0.497322240392	0.584214780792	0.538640720879	0.563456983781	0.531778518221	0.559571715164	0.530010968929	0.514737046035	0.577621981157
CS.005	0.56893999954	0.636090953528	0.54190387343	0.553448562955	0.636943954241	0.612081257864	0	0.582342866511	0.700507874131	0.524326577199	0.6229017551	0.693659313801	0.511290040319	0.505257213022	0.557485901687	0.584372903606	0.47525518685	0.587685822938	0.778958943471	0.634731754786	0.572230429714	0.637117826733	0.610749260826	0.722723233031	0.579600527497	0.571771012324	0.605719303287	0.676734665922	0.649532385559	0.618086064395	0.687984403573	0.482129584987	0.729427919259	0.651724747734	0.60928701007	0.702298640674	0.606233448657	0.552895552678	0.696682025911	0.555968001893	0.653921671385	0.682192160574	0.583422313539	0.764691881125	0.682768859504	0.6490876971	0.612543719661	0.665334664415	0.650399281317	0.729568170471	0.654562436581	0.698028597651	0.590098344385	0.673768849526	0.604827915448	0.636674977814	0.72182838909	0.651058558233	0.6952763602	0.745878871215	0.699644741892	0.568405053537	0.503103041874	0.560880257853	0.76215304153	0.578809609111	0.578503018809	0.536540606804	0.597913638811	0.583597117174	0.63188142056	0.578818600705	0.519347682992	0.585025951864	0.649541800674	0.502326566564	0.49262827428	0.526122498045	0.501949877294	0.503533811762	0.544166198729	0.443066693162	0.542587142426	0.485312792	0.494928836829	0.522261957864	0.483216710548	0.468165583004	0.496411419336	0.586213995959	0.617980263878	0.496909484431	0.589131619684	0.704058332013	0.613738912199	0.53151213506	0.475794766895	0.680795921033	0.553443508755	0.475202275758	0.487759724562	0.594722536511	0.602856483996	0.577737880826	0.520953473855	0.615569126847	0.771303626173	0.704234764092	0.544090960233	0.564990332404	0.587227833908	0.740473862675	0.596865177017	0.659147809003	0.638668183162	0.518547857749	0.629112230227	0.713841998275	0.522070075927	0.691368798449	0.690013985892	0.538515685973	0.767361967557	0.725660222675	0.71009069073	0.68533520938	0.63115376853	0.617663205555	0.623893921155	0.689944169826	0.634336233368	0.791193872107	0.590912125749	0.565080542143	0.661261559655	0.613431729508	0.679187551212	0.665214088314	0.613595519464	0.676309148797	0.694341472258	0.677335043267	0.733276634689	0.628851702392	0.513874523522	0.66644007955	0.589803023554	0.667864308597	0.733492962004	0.568157144735	0.614482717945	0.586029128237	0.503237796916	0.577549188528	0.624296275419	0.574620307484	0.630055747352	0.602841181095	0.507986878208	0.596193053416	0.509881188648	0.551379632346	0.534363721291	0.611081014461	0.516698064889	0.532992500351	0.555515911827	0.474145586292
CS.264	0.573092946627	0.612864029692	0.570415626841	0.587928680442	0.631896413463	0.63147146618	0.582342866511	0	0.673037097845	0.632257986267	0.596591398192	0.665806338705	0.600763715881	0.581609706852	0.610168769792	0.578320855354	0.590580634724	0.609100161509	0.701391311873	0.596424681509	0.581962807842	0.619381390109	0.646530770544	0.669492037073	0.584945356449	0.584908874731	0.634345431497	0.669364501452	0.602431013411	0.600958347471	0.661114322536	0.563393546149	0.690864016917	0.608672978971	0.601444024053	0.643687364684	0.623081143549	0.602906285471	0.658149700027	0.639497792752	0.612992922025	0.639306627776	0.631911497406	0.730727045512	0.629635677974	0.639175746746	0.62526603578	0.653565477402	0.64205610826	0.690339002316	0.633865993875	0.642700807793	0.585149585674	0.639918825161	0.624918003153	0.644720258728	0.656884077679	0.623372428348	0.654545081737	0.691712788412	0.645772330588	0.598687236383	0.597955674202	0.600703465769	0.682086837924	0.601794965655	0.616037865644	0.584058900601	0.609523869771	0.593777827751	0.611535362894	0.609243292191	0.585958019934	0.600652110659	0.615524497751	0.578633082766	0.615126208706	0.605254934803	0.589365086672	0.623519730118	0.601561518547	0.560775295132	0.565492583118	0.569361956196	0.591881436567	0.606039146226	0.569533373404	0.637185347947	0.5760445727	0.610325005547	0.596245919254	0.549247387017	0.653499960071	0.669863796244	0.600892144912	0.585902740159	0.56106033896	0.673656690791	0.608798791093	0.538528217006	0.597047948682	0.602288386733	0.594484787368	0.633420159862	0.621847566204	0.59684634545	0.711432367538	0.671787765175	0.57968946301	0.594924020914	0.588008155692	0.672195034528	0.620561392449	0.635146167912	0.627239525589	0.619275040273	0.668708440463	0.636401912018	0.563287238702	0.65303026297	0.661432045538	0.623435090073	0.705595968146	0.673704024173	0.659939544304	0.650154912849	0.594461941378	0.605167774893	0.604744455635	0.651212774356	0.58006726838	0.727309405492	0.590307881918	0.601521614417	0.64044702656	0.639848129491	0.646248102024	0.662644490537	0.624652382739	0.648911645375	0.65596240856	0.631399520823	0.665106246122	0.603569736656	0.584392773333	0.666164322234	0.639979953071	0.670735648361	0.684436041813	0.597731095367	0.645948985333	0.626236725933	0.607008277997	0.626873865745	0.6418489215	0.623375752486	0.649004210239	0.624910082569	0.616738167892	0.661616810947	0.621892961766	0.647974716958	0.594698871736	0.660667648686	0.574511113444	0.584522855386	0.603498039907	0.607248428682
CS.010	0.69096630603	0.664826984163	0.682013193074	0.696641403588	0.697149921081	0.702244038645	0.700507874131	0.673037097845	0	0.742164925754	0.702886538566	0.634945809297	0.707910767653	0.669317564714	0.713225602585	0.659976846218	0.724275321053	0.615397033191	0.713609476173	0.714818997818	0.685061593936	0.612702718383	0.640519153662	0.739595910788	0.656007396994	0.619612548598	0.741776020503	0.695596159532	0.697570761437	0.712706626735	0.715322726509	0.681319612392	0.774254989731	0.699350273087	0.644656162047	0.656238504388	0.713894447847	0.729489364671	0.650635568788	0.740528345123	0.646526422808	0.722539153965	0.738782518573	0.763915162819	0.704026580518	0.7546039116	0.720892957108	0.735538454313	0.727064223982	0.760701319344	0.718776334957	0.72062626453	0.662997581418	0.721932519848	0.705901598761	0.719256652158	0.69203183873	0.716687102438	0.720188347202	0.735871994772	0.717160708826	0.718310899473	0.737700617226	0.731726276092	0.726588240685	0.73041628097	0.726334117532	0.710484659209	0.733340686564	0.697819383038	0.714644824743	0.7371708171	0.705413855826	0.614896987319	0.661693044126	0.742097140697	0.750342642594	0.738706261832	0.720408442779	0.737574981049	0.722813597959	0.707033102749	0.674775831329	0.725797077593	0.708412807351	0.743733398127	0.687138386155	0.747519273087	0.690013532843	0.722718925302	0.660251624778	0.716318379189	0.658290100556	0.725482766482	0.645522176005	0.644897393736	0.649639377231	0.694268231333	0.702618059443	0.691480561414	0.666550058343	0.688215354581	0.653211408262	0.714487374118	0.70799522807	0.672684999331	0.756256365198	0.726309874495	0.669916933838	0.673277614354	0.61560313011	0.732595270983	0.67922957365	0.682174564822	0.713786010478	0.711898862902	0.685463196154	0.605053155389	0.61914079601	0.686122049625	0.746233768818	0.718668987539	0.764107525742	0.705168478982	0.73990274008	0.731607822158	0.603285553031	0.712501468626	0.621045463225	0.740330985749	0.628939177356	0.757080428721	0.650056715748	0.70262556709	0.737236627013	0.736178615085	0.706609288239	0.719789980592	0.718507978108	0.724604595917	0.682007728795	0.674930918859	0.709458877554	0.710977709243	0.690678254685	0.742019610812	0.736886177694	0.738203872448	0.719089503566	0.700132590961	0.751142777761	0.743444384152	0.746763530897	0.716749976876	0.750304589753	0.70642163171	0.706699975538	0.709302552849	0.738354472716	0.711356257375	0.739896432816	0.748393555756	0.730824612613	0.728521535125	0.739843621003	0.722258937926	0.704547181001	0.748115100135
L.007.M1	0.547669199086	0.70432541844	0.568990543918	0.54688548594	0.661866414111	0.552334191399	0.524326577199	0.632257986267	0.742164925754	0	0.588502196181	0.708387320836	0.545140486124	0.521973216628	0.50576159734	0.642685754562	0.496782234109	0.587060818022	0.801854886093	0.655941072209	0.590541409427	0.680658673526	0.575757314909	0.726956347628	0.645271071952	0.629183566315	0.620414165495	0.726163561593	0.681224855804	0.626747751441	0.6925308795	0.581787033122	0.706082553422	0.640909509367	0.676522108846	0.716479311647	0.607480373744	0.526303007971	0.758395818396	0.53259396906	0.706629850308	0.681689476281	0.553595181158	0.765149821763	0.693614053037	0.667302810532	0.5989373127	0.682134682509	0.657750584023	0.748581178042	0.68475543604	0.702814232151	0.616119744053	0.683251690489	0.637548797705	0.649374391457	0.728517309175	0.684878234455	0.709334201393	0.772432776294	0.696967014048	0.556123285114	0.477238194494	0.541546756048	0.748453926765	0.58078063804	0.49992632092	0.491551411441	0.585884190251	0.554135572962	0.644527815213	0.554109793896	0.480424948199	0.640875521227	0.625634930035	0.507079316074	0.496041354049	0.479399694239	0.484259568371	0.413682694515	0.466605465711	0.500322070055	0.604067988855	0.520312710015	0.483825883054	0.56989883369	0.511495625364	0.42782775616	0.539156957152	0.548061451488	0.678061650087	0.543864862551	0.532166439893	0.690196023402	0.694311366777	0.576364508964	0.560527903129	0.641132511823	0.565187797145	0.583642372233	0.504436781698	0.590125228343	0.580752783646	0.463497652414	0.510469791654	0.676761000489	0.777392665646	0.704238310215	0.610255332332	0.56104966849	0.661538125512	0.756816894385	0.550463332942	0.685044386387	0.615935844951	0.471899695588	0.585465794761	0.763883740396	0.608040949165	0.734611165716	0.678991685373	0.539361331	0.755519639716	0.757073694419	0.698207187851	0.676116413309	0.684262007527	0.603410016351	0.682244511081	0.669367217441	0.701288125035	0.796834452538	0.638914645929	0.607843863865	0.675526342108	0.584283872612	0.678532079543	0.683621648345	0.632083792289	0.682225190734	0.664676253032	0.716182195783	0.760020822351	0.632739344755	0.554065883977	0.623841135005	0.483049011517	0.573898279435	0.725886382178	0.493493868934	0.571983377287	0.499992378041	0.467141923938	0.507962536436	0.545729594426	0.529202791136	0.558585697416	0.54344389198	0.444375160249	0.448949725444	0.418192586608	0.411694547742	0.489240625651	0.456168119419	0.476293811267	0.503498008019	0.489198228167	0.428106593784
