CS.098	L.035.M1	CS.357	CS.261	CS.091	CS.265	CS.084	CS.003	L.031.M1	CS.217	CS.143	L.011.M1	L.005.M1	CS.296	CS.019	CS.381	CS.161	CS.229	CS.155	CS.171	CS.115	CS.050	CS.056	CS.154	CS.063	CS.137	CS.367	CS.062	CS.073	CS.366	CS.041	CS.232	CS.292	CS.213	CS.378	CS.203	CS.128	CS.224	CS.282	CS.125	CS.136	CS.374	CS.205	CS.380	CS.302	CS.268	CS.148	CS.349	CS.166	CS.395	CS.386	CS.178	CS.214	CS.385	CS.369	CS.181	CS.359	CS.254	CS.177	CS.323	T.CS.004	T.CS.089	T.CS.038	T.CS.014	T.CS.025	T.CS.023	T.CS.029	T.CS.085	T.CS.079	T.CS.040	T.CS.062	T.CS.067	T.CS.046	T.CS.050	T.CS.057	T.CS.128	T.CS.104	T.CS.132	T.CS.131	T.CS.115	T.CS.112	T.CS.139	T.CS.110	T.CS.106	T.CS.126	T.CS.118	T.CS.156	T.CS.147	T.CS.108	T.CS.122	CS.015	CS.356	CS.082	CS.246	CS.241	L.024.M1	CS.088	CS.237	CS.006	CS.085	CS.238	L.034.M1	CS.103	CS.242	CS.110	CS.150	CS.188	CS.358	CS.387	CS.308.0	CS.151	CS.338	CS.191	CS.311	CS.233	CS.189	CS.165	CS.212	CS.164	CS.330	CS.320	CS.318	CS.322	CS.112	CS.331	CS.285	CS.339	CS.361	CS.202	CS.152	CS.158	CS.321	CS.223	CS.163	CS.343	CS.253	CS.370	CS.326	CS.145	CS.255	CS.390	CS.270	CS.393	CS.262	T.CS.043	TFS.022	T.CS.055	T.CS.066	T.CS.008	T.CS.049	TFS.025	T.CS.026	TFS.021	T.CS.031	T.CS.045	TFS.027	T.CS.036	T.CS.061	TFS.020	T.CS.151	T.CS.157	T.CS.142	T.CS.109	T.CS.141	T.CS.166	T.CS.158	T.CS.152	T.CS.095
CS.098	0	0.621298782045	0.553977880299	0.464316562615	0.667979757162	0.523403447188	0.520880460563	0.519738962444	0.556366839725	0.511822718297	0.579825351221	0.554173223137	0.558717803186	0.549250444396	0.559861319536	0.550466457039	0.698726027196	0.660964417777	0.550251053505	0.597213225069	0.686051673718	0.672337452782	0.685200472947	0.771112659985	0.723860614152	0.557082448116	0.767585644738	0.540597530216	0.651338893221	0.739038899252	0.642084985517	0.535049733571	0.582706999288	0.713373783195	0.729605400163	0.571418340397	0.612406692772	0.782481103133	0.713393169076	0.697754328397	0.632040770438	0.684875737711	0.734275780706	0.528149337649	0.760588688774	0.699111730981	0.707824898587	0.633741244986	0.692169160514	0.647579101368	0.731274548492	0.603463154071	0.690562717239	0.656857172632	0.763173594251	0.65083577459	0.766046729035	0.672919000575	0.701027179807	0.656699719792	0.611240993873	0.604238901339	0.502615334889	0.565576416164	0.587011288911	0.779034967747	0.645928312725	0.585400496768	0.700490046838	0.51360930813	0.506598283146	0.576099565865	0.661258949209	0.633012215465	0.729095436222	0.554805236797	0.506074756744	0.513020703334	0.545669950049	0.474621400368	0.589883664155	0.521486393101	0.49599523561	0.502899919077	0.550097049056	0.584047656158	0.571554567741	0.490255101397	0.472817403564	0.515873544129	0.570692043632	0.724575936055	0.550209112066	0.562926540251	0.476239139471	0.605835666976	0.660356511613	0.671944341796	0.575952781726	0.534482434208	0.577726921497	0.605206742726	0.524155403145	0.518566531259	0.655212714049	0.599272425443	0.700067714259	0.78703808193	0.63081288989	0.708756643935	0.601774187257	0.641454990196	0.513244981343	0.615772308298	0.543982491247	0.652196206031	0.710154169005	0.701792140901	0.750436946818	0.674630702152	0.60851567208	0.687776215423	0.706928681571	0.654325403681	0.576751088079	0.752665941699	0.689343883326	0.706679484822	0.694606934042	0.532352734367	0.665600787704	0.57436105276	0.67484754918	0.676045422133	0.699677469387	0.756540727757	0.65076134323	0.65022129682	0.611253501839	0.610067092413	0.663431830261	0.67101558754	0.679446276804	0.665655415963	0.582344458927	0.516285433209	0.555733816695	0.533172212163	0.629418902764	0.678423929681	0.632970250778	0.734120867344	0.597391584078	0.552503176518	0.599633839588	0.563592837153	0.548872449824	0.638972155219	0.498681432676	0.556268204784	0.582519315432	0.603048300777	0.521757162059	0.582476181342	0.582637860574	0.532273513359	0.554513081022	0.496486578723
L.035.M1	0.621298782045	0	0.565832129914	0.565289144421	0.595831114143	0.638107432943	0.633522973085	0.625150305358	0.593731601606	0.614742695211	0.593698302249	0.539630310495	0.615322327666	0.581872375663	0.568734568505	0.543706509631	0.616214681834	0.571362556574	0.544388229168	0.614252006967	0.663233003432	0.63214216048	0.63395566794	0.702399278782	0.641244057782	0.530739858068	0.644500781336	0.602429546309	0.647608651727	0.608674060895	0.643512469659	0.600063632215	0.60300470821	0.571131686727	0.633154145091	0.572457475105	0.587932013467	0.662773056602	0.560857579334	0.531452972867	0.600963934988	0.593809143202	0.576072135376	0.546531355146	0.636383020495	0.612691259242	0.569468066911	0.541462048113	0.588391387789	0.60017539342	0.577787024799	0.590928139018	0.559770905489	0.585213986376	0.681239483291	0.558441285176	0.627162851554	0.567029257795	0.574336299694	0.55654488458	0.518438216519	0.536447743976	0.621266992504	0.600358985642	0.511460393279	0.680106896116	0.586252303228	0.560241467742	0.546010959235	0.579388810139	0.528491880061	0.517474060034	0.547234025214	0.573681282428	0.609865253965	0.584505487964	0.607189506667	0.611695999184	0.558637755178	0.604097722395	0.54628971737	0.597827307396	0.574495073939	0.608321634719	0.524089221857	0.494970118136	0.545048469408	0.622982648869	0.609535938753	0.542708448888	0.643202594762	0.631189994675	0.616491867922	0.551793200619	0.612262973883	0.589506106706	0.65153760666	0.60777675923	0.571442442046	0.596759023444	0.588162014917	0.567385870938	0.623009384857	0.534585605991	0.610614438561	0.558836004382	0.574109024303	0.655525266135	0.478447250618	0.629920675887	0.620298274215	0.587846653963	0.582270117282	0.5899539278	0.63938341366	0.584501862987	0.593938983069	0.581265719439	0.689275030134	0.527913320837	0.525601691339	0.551692522509	0.579764027763	0.617415138351	0.577557331142	0.644942734092	0.576776116053	0.600222769113	0.607639411861	0.548589250197	0.604316796655	0.572849722872	0.540639306621	0.602514510603	0.515634961501	0.667424411618	0.568109262301	0.527823828566	0.514285057356	0.538082953671	0.555756370504	0.57453061663	0.625360929384	0.55582729737	0.549411147549	0.5816382526	0.565775259042	0.582488480393	0.531426994424	0.540953601133	0.513866071554	0.627964771582	0.555803302502	0.528232713024	0.527206866163	0.560405710731	0.607159215806	0.521895303845	0.572096190909	0.562334177817	0.566536905448	0.561165953113	0.59013188183	0.587256965681	0.53325225904	0.546472045246	0.540272998241	0.616842784813
CS.357	0.553977880299	0.565832129914	0	0.47429670037	0.667841656743	0.579407521782	0.594788981934	0.575137276552	0.578649067292	0.506603758426	0.589735869607	0.525609836996	0.39890484715	0.445317626922	0.501687058394	0.556935111856	0.674449950846	0.642818600447	0.562950434289	0.571216395849	0.687754161788	0.673689737806	0.713265099847	0.761909136903	0.695954614561	0.512621451512	0.724851914834	0.516811222709	0.648315034317	0.72176426159	0.669822349915	0.562411440525	0.617908544388	0.667491730369	0.69242509816	0.478438606729	0.586720838443	0.73526244565	0.662647240439	0.634496135053	0.63181466994	0.636296781555	0.671592306435	0.521280414668	0.686802468271	0.706333363497	0.709344884479	0.654892624838	0.714323462633	0.677892009877	0.715736094873	0.603521524985	0.637632552487	0.661692639237	0.76679167656	0.650601217526	0.716832103199	0.659832294968	0.678770142841	0.642269973076	0.543694740571	0.575489403107	0.60464810855	0.552395291541	0.527912274104	0.736228447748	0.626109438997	0.463929007134	0.669820593572	0.458188686047	0.473406270332	0.476175235005	0.614114693127	0.586704116885	0.685607693144	0.569839479843	0.481505208722	0.553106416212	0.472120999217	0.498962873185	0.51246613757	0.47325195548	0.521793149016	0.476424950289	0.477865266175	0.565967956961	0.418512301044	0.470918455839	0.505388296668	0.443273081905	0.530398153378	0.659866127917	0.577326538537	0.50826434403	0.498846463687	0.482457487156	0.613052949163	0.64440959835	0.479922809653	0.580528172667	0.55265729019	0.544404891832	0.573935714948	0.473956343039	0.652670405809	0.603367887099	0.608364430361	0.738135342534	0.57773084776	0.687815113077	0.592834795212	0.650649428976	0.457912196359	0.576411076163	0.596790727504	0.639156527084	0.647321377734	0.624878384019	0.729274991378	0.634814646768	0.595477121366	0.633985445963	0.669383156278	0.640222666374	0.570489421497	0.734284204762	0.604713350562	0.643183890846	0.630981763408	0.520331511531	0.647371061146	0.45384199136	0.65269741548	0.645604466734	0.615171770936	0.74438501472	0.668644012771	0.611959927035	0.562131223442	0.6161410873	0.658385581414	0.661738411008	0.675625273821	0.665798550276	0.435289888325	0.486769425608	0.500621023751	0.472727678043	0.531555742999	0.62037959111	0.494424783919	0.717245670461	0.529780403708	0.497042607378	0.523618371704	0.467160286757	0.550062764286	0.540521751642	0.461611105479	0.431904390748	0.486569392396	0.466288339395	0.455427022059	0.461489893267	0.443793784458	0.429241941694	0.471064605859	0.47318234456
CS.261	0.464316562615	0.565289144421	0.47429670037	0	0.655207591789	0.492308334815	0.565071393008	0.524317160492	0.496437558369	0.504044236519	0.568475777979	0.539427842747	0.481881441163	0.441485561616	0.531942055468	0.513253015398	0.698994981298	0.640073786525	0.508148490018	0.598708131471	0.688005332111	0.673891596353	0.676207719951	0.775958159994	0.706517853782	0.494286004589	0.752069688268	0.520832199168	0.649745622498	0.725530799689	0.671419355701	0.535440492768	0.594010887952	0.686882116975	0.701281427711	0.524849026376	0.567020928698	0.75095069792	0.681815818634	0.650026751358	0.626186940475	0.666914643421	0.681142434172	0.487904683179	0.731915718775	0.665096169895	0.67130549369	0.601244157722	0.670463599372	0.62938406921	0.688117584807	0.562694379427	0.625290439736	0.642754857581	0.743128702745	0.615404201146	0.728978411938	0.64193212862	0.668572470474	0.599551028499	0.545562715424	0.560036914406	0.493267311927	0.541701877717	0.522790314397	0.756009192308	0.609551693587	0.511933562852	0.681844019712	0.440821572701	0.455695061488	0.51689788211	0.617296621497	0.574550021134	0.70968443305	0.491911111785	0.436539081264	0.447522667481	0.435948098755	0.430840598506	0.512139152001	0.45428585335	0.447469264463	0.416199582634	0.45394502623	0.53265781029	0.47946304849	0.435000980272	0.403576623605	0.450902930454	0.57550605518	0.695474227463	0.531190047929	0.484684838303	0.467918305707	0.543752577749	0.654520868128	0.668350809315	0.537829684745	0.526180203405	0.560919325882	0.56682795362	0.54529703333	0.450719724763	0.637530738902	0.559225941692	0.644775713206	0.774488044235	0.583448369764	0.700621603641	0.586385535566	0.624275370722	0.464075474584	0.598903984563	0.59654357319	0.631250337202	0.700130795594	0.661804593217	0.743357125159	0.631467774094	0.575593951751	0.652424802453	0.676978940658	0.649687824802	0.549974958651	0.745832673254	0.642082717249	0.671942001461	0.636621345053	0.489940977743	0.65820840283	0.518640259921	0.641023755058	0.663268758166	0.650856605647	0.745963036413	0.633697705337	0.612955946508	0.562510996776	0.571597340837	0.650438168035	0.649763299232	0.670767440846	0.657402000411	0.523484910655	0.446366446324	0.506820680179	0.474622634249	0.569280197451	0.65264670944	0.569631745288	0.713482224678	0.547592859635	0.511280034602	0.54525751286	0.489212081618	0.540943416318	0.56380664533	0.445898776696	0.48703014761	0.520367834134	0.55424064956	0.445667995597	0.535310198058	0.482145120634	0.437324063138	0.495062000328	0.459838475378
CS.091	0.667979757162	0.595831114143	0.667841656743	0.655207591789	0	0.689808401958	0.656390378148	0.675066633415	0.643198858229	0.668997014219	0.59477749045	0.655033870041	0.69964694768	0.679367573278	0.652853496906	0.598561245729	0.58346022163	0.595503287254	0.625195119403	0.64593929156	0.615258641749	0.647294622526	0.593519869272	0.658042847564	0.617468423774	0.639461188045	0.628851643452	0.627223345647	0.633442055633	0.609434753131	0.635168402225	0.615556587281	0.573454641443	0.592164775654	0.633935496544	0.65398002027	0.60204215205	0.657047273827	0.602440802764	0.599348945718	0.574826880994	0.590344513873	0.599934234823	0.649368997943	0.624189956138	0.602979199517	0.607796997719	0.577915825452	0.616915953548	0.608489038794	0.633642899238	0.633870978415	0.584976202141	0.562890893694	0.622624559083	0.573622849655	0.6263235182	0.600084945964	0.585747745273	0.566864684007	0.631291381173	0.649197759956	0.684108035362	0.643577853935	0.631260264988	0.739444271274	0.644473990785	0.652372502478	0.607088003003	0.662702318248	0.668595982287	0.650269319525	0.606653451347	0.665626541954	0.646425469291	0.62319492326	0.683044322753	0.687475818675	0.670526601055	0.687361176418	0.638891588552	0.702526134985	0.680256804817	0.706720582659	0.651683695052	0.611236961222	0.666203527521	0.70293662671	0.698119490777	0.648350252854	0.68731094086	0.653374104747	0.629815818598	0.648002494769	0.668482059076	0.691066357893	0.706770624454	0.591414254023	0.636858825948	0.616654416442	0.630638573349	0.651363871708	0.625760274416	0.65986153589	0.60117876755	0.590744136999	0.639897572555	0.655758409455	0.59683970127	0.612517757843	0.646170152743	0.615889177147	0.65158849238	0.645929316744	0.641427764585	0.606934913991	0.628673991923	0.645389589067	0.678063421476	0.575300725787	0.589657111457	0.588031831924	0.61093121022	0.622108829513	0.59333009622	0.614585299153	0.634933759015	0.620209294098	0.653960598354	0.62545218816	0.608201042985	0.66000290009	0.575314251163	0.622130157411	0.567247007776	0.644860979719	0.615450615685	0.584358624469	0.622386889263	0.579821166252	0.562146185704	0.579021189982	0.647181607244	0.607573052032	0.671588652849	0.674664145966	0.662373043497	0.680388415063	0.660878115565	0.635305462393	0.638798046486	0.665394560387	0.659618910879	0.65924844437	0.661896879901	0.677966531408	0.65629291823	0.650939940153	0.677055872543	0.683121461201	0.675727722662	0.695690330518	0.672990442325	0.707000162821	0.646999934028	0.657891174495	0.650348332491	0.702469643689
CS.265	0.523403447188	0.638107432943	0.579407521782	0.492308334815	0.689808401958	0	0.54664995503	0.525440792312	0.48468093881	0.565682626684	0.606739740288	0.593650348217	0.564945715147	0.519529725459	0.609360293511	0.568524907997	0.702717484724	0.703933355198	0.560364302225	0.609153850386	0.680436433414	0.686990778564	0.692847080864	0.797628300748	0.721666804386	0.601158910069	0.773420678678	0.592093899351	0.682082907472	0.745203573034	0.688949008475	0.552531139558	0.623203923948	0.712957457918	0.724382770384	0.590726276457	0.602932965594	0.782217770551	0.702566775255	0.678653483704	0.656820731655	0.685554477987	0.730830094843	0.571146621457	0.768225495058	0.670226445199	0.68499099083	0.622830151047	0.67993284431	0.642861246845	0.723669420031	0.614564203431	0.692197656827	0.642104824938	0.741235439601	0.644906815189	0.753218472844	0.655680617617	0.700166737802	0.643768481077	0.637666075097	0.615837381016	0.48446490993	0.583785849523	0.59849955167	0.775422903278	0.633063547985	0.581696729422	0.719287058108	0.540387714828	0.559337232035	0.621610918623	0.657775385127	0.642110465277	0.753896082402	0.477125696231	0.468912651717	0.27422986446	0.476281700573	0.452338422379	0.599350704724	0.46639716583	0.495054666716	0.463263758819	0.522941258147	0.584941031515	0.578282786782	0.485984147646	0.465015550674	0.518129713748	0.630303817112	0.750851270923	0.511741759423	0.535626561125	0.575195447001	0.614122600618	0.719109511033	0.664682796926	0.596801877806	0.526054929374	0.616922328671	0.584241178575	0.582547438837	0.513637299664	0.641662639619	0.577443249607	0.723757175436	0.785787265397	0.653296233742	0.723511667342	0.613384904501	0.629400824494	0.568820669202	0.669657037636	0.589177803555	0.647431355514	0.76185357791	0.733049273036	0.740291173873	0.667443372266	0.616074551369	0.680688670659	0.695330817391	0.663662864014	0.546744710971	0.750826884491	0.714534723984	0.72426818275	0.716098726716	0.541034133798	0.670768326636	0.623322019942	0.665247077851	0.673949482664	0.702224179748	0.753436441053	0.675644809833	0.645779981715	0.615078073845	0.623070762748	0.684745293575	0.677284177744	0.6928871714	0.695987241037	0.612122353044	0.49675472575	0.592035914141	0.530979346262	0.684785023821	0.693307578703	0.664098977304	0.740288399448	0.647299772177	0.614926184529	0.63593972645	0.607737810048	0.547374016214	0.668011649939	0.51052594462	0.574332177008	0.617240491992	0.642196703452	0.471312210241	0.638609272265	0.556340680986	0.512250764839	0.57159594321	0.483326994976
CS.084	0.520880460563	0.633522973085	0.594788981934	0.565071393008	0.656390378148	0.54664995503	0	0.500478575272	0.544964406157	0.529855767396	0.584073067729	0.589505965104	0.6099048282	0.572409755481	0.568147653274	0.570084223197	0.634756824735	0.64835289112	0.581631909214	0.534773278675	0.610684639184	0.598860098142	0.653787631037	0.754981467959	0.630126111894	0.614455626102	0.732633031378	0.553284175063	0.59677007148	0.740818319349	0.589116664715	0.506160480301	0.569490160431	0.67952526059	0.672961459278	0.622969362187	0.637486230106	0.763697357741	0.6902974964	0.683980655451	0.567376407168	0.659568335551	0.724500135555	0.572055118949	0.731043991296	0.64634578824	0.686966340717	0.625991060469	0.669633656982	0.606698800781	0.698330395713	0.621420840868	0.680782848066	0.631723906979	0.701184253991	0.633573691732	0.738262301565	0.649605736007	0.698878347195	0.634459123043	0.626195267913	0.601206974863	0.545732887031	0.586399780305	0.59733863519	0.730450949639	0.576563468713	0.609974036152	0.689420899074	0.549957484194	0.556260403516	0.596012447699	0.644833831991	0.60780503358	0.711581766336	0.552316814101	0.566128143341	0.574855615871	0.594401728424	0.551646465764	0.612793285842	0.577475497715	0.561603750836	0.606016076768	0.581773871999	0.596688824096	0.601128796112	0.57383883095	0.568214339489	0.570667641872	0.625111355851	0.699212608761	0.486500095304	0.577317706889	0.566346601495	0.635089004629	0.686400214127	0.587137778649	0.555213030262	0.444795197456	0.568822182243	0.598294703109	0.54376959644	0.540476812934	0.594200319573	0.555730559213	0.720043494677	0.752445283814	0.641624624982	0.652546471397	0.611020196463	0.60494357505	0.562023676128	0.622907103714	0.498204377879	0.629639957168	0.70778760265	0.713523672581	0.654905628263	0.658905914363	0.62902862194	0.666654605834	0.696855760825	0.554057422326	0.574835194211	0.71828627866	0.670511973763	0.683389969946	0.66903960477	0.56190335014	0.579848512644	0.609410411058	0.658470370209	0.596922650017	0.695215348871	0.712118241538	0.650973166672	0.622384824982	0.620400596764	0.616164350806	0.663826941397	0.671442616619	0.650969883678	0.66410167126	0.623291115371	0.570137900911	0.598172851204	0.575882382483	0.663916724868	0.672665397661	0.651937793673	0.703646801208	0.630612281233	0.587047124815	0.615272875695	0.612464907588	0.512705726273	0.632296274538	0.546366769113	0.630143196237	0.594863881964	0.666945802962	0.568042455588	0.643545835095	0.603552411521	0.580878564234	0.588142286733	0.584767832027
CS.003	0.519738962444	0.625150305358	0.575137276552	0.524317160492	0.675066633415	0.525440792312	0.500478575272	0	0.544545304795	0.489244306144	0.579331489932	0.579481504431	0.584269963698	0.51732250517	0.550857039393	0.563538909124	0.659130350265	0.678950441462	0.576546840417	0.5481313398	0.639831851941	0.629457120671	0.670305426059	0.767533449818	0.647009756887	0.599186080514	0.744798607407	0.525190405902	0.616402013224	0.739493159002	0.647059012151	0.518075282784	0.610552632096	0.685118265743	0.695550293509	0.59045157219	0.63081414018	0.767998083607	0.705566331492	0.687922129063	0.604585725591	0.672526981856	0.729588334138	0.57283586546	0.73057940855	0.672934291108	0.704831862764	0.652205144691	0.692529764123	0.648911276274	0.709246843381	0.622641754617	0.66601798824	0.657984699186	0.723269167946	0.65707701896	0.718726404235	0.69265149239	0.710636548799	0.662203629369	0.635516991439	0.631242511265	0.492057217196	0.586444886618	0.583894924438	0.748377512875	0.604678674614	0.581619035119	0.705134782247	0.520683504536	0.560419338496	0.596244150398	0.651577477493	0.612573005435	0.730158031713	0.534950586454	0.511108717563	0.536419040963	0.544214922815	0.518955632542	0.602753495854	0.53782215397	0.546160750533	0.5521227068	0.542508140807	0.602286271125	0.562567732413	0.537036541976	0.531409929102	0.542829472931	0.591647264894	0.721208949739	0.517674062073	0.536261622241	0.534016786797	0.604728978697	0.664044576234	0.603032814413	0.530591105965	0.508660474534	0.544891563927	0.582326830006	0.53167407361	0.530988808668	0.617444814988	0.560233115128	0.705496026091	0.780832584814	0.652417043806	0.674255683829	0.591047144376	0.634473198537	0.555962687023	0.614957296977	0.531766488957	0.655235101026	0.724667348819	0.699626159575	0.68160213979	0.663289464979	0.652045153956	0.688103314178	0.722462387821	0.620959131028	0.588431961199	0.718095959881	0.681550518235	0.683283539258	0.65894625738	0.557190343869	0.606127604811	0.579706041135	0.672745904728	0.607218906215	0.700451603644	0.721323172657	0.678119312007	0.646259720729	0.622385258617	0.620550347548	0.672565321357	0.705151517001	0.673673828825	0.697519404703	0.603571377819	0.54302356083	0.587650488919	0.538635645221	0.664716573578	0.684654757037	0.65529277869	0.73710056888	0.637737476924	0.591253023688	0.615138177302	0.601841453407	0.531107728069	0.63176486217	0.5434635709	0.586354298571	0.570830607645	0.633238088336	0.544307025975	0.624806242254	0.557386024163	0.547640175215	0.54040903939	0.545213754865
L.031.M1	0.556366839725	0.593731601606	0.578649067292	0.496437558369	0.643198858229	0.48468093881	0.544964406157	0.544545304795	0	0.581425240081	0.559029264083	0.571789534891	0.599788337593	0.522500719175	0.593799162213	0.540518766111	0.628762186024	0.629770789434	0.517935065578	0.610339796877	0.629241118449	0.66600953139	0.652446429378	0.756930216418	0.64489076908	0.563852348726	0.716233164084	0.576534639225	0.653863078946	0.695076648183	0.645668080201	0.541004993304	0.575577031336	0.663859799681	0.688207217129	0.598919146166	0.58799290494	0.7340797471	0.634178709882	0.617950487844	0.598119056498	0.62429646539	0.669743250299	0.574044049544	0.695477706579	0.624266926623	0.693009489853	0.583324663164	0.643397718737	0.581639957505	0.700742306593	0.602873341439	0.628128140792	0.580967101991	0.700718599015	0.599497505674	0.684820924247	0.605283001455	0.67165619102	0.569604842858	0.611570302012	0.589059543713	0.499653866107	0.541873649939	0.580525387084	0.739924319312	0.594431545677	0.584000684642	0.658049660627	0.549695802236	0.555638182802	0.583146179443	0.61620009606	0.618940497953	0.712756164608	0.469779321899	0.529675500127	0.491171044937	0.521555472608	0.498680159047	0.588068025712	0.53929754354	0.523134525889	0.548174283239	0.498934573534	0.541618952174	0.575172642909	0.552563378747	0.537542730298	0.503256891689	0.662770017004	0.687883710802	0.519300052964	0.528330200269	0.583715368849	0.628407235172	0.716845778915	0.620337923218	0.583661209211	0.526167990035	0.606813642919	0.611864326653	0.575609343217	0.507588013047	0.637754980786	0.544186212179	0.682534761636	0.735601746868	0.610027695742	0.661542033807	0.556741425942	0.573012027996	0.570635089423	0.651916462232	0.589643586555	0.59883020199	0.700186762478	0.685696196914	0.714527354162	0.622300913181	0.586961569705	0.625964995845	0.672630632564	0.622570284186	0.491780929858	0.69872901162	0.670146915635	0.664728918181	0.676598635382	0.517715808445	0.627494978631	0.608755587436	0.593564658834	0.626749338211	0.628012729718	0.701495978527	0.624438547934	0.580237507582	0.571908078567	0.568936692217	0.639060949819	0.633051998095	0.653214793683	0.672325183015	0.621834185137	0.517070807789	0.608455123005	0.554071549009	0.667292663502	0.628745245278	0.627586843343	0.713801010643	0.643722827803	0.597382281016	0.621932941045	0.620418948166	0.543262037255	0.620288707949	0.525536945391	0.627246962057	0.609213032821	0.66968169574	0.533714892148	0.664582789338	0.537372321605	0.508388949929	0.552338675826	0.5702968137
CS.217	0.511822718297	0.614742695211	0.506603758426	0.504044236519	0.668997014219	0.565682626684	0.529855767396	0.489244306144	0.581425240081	0	0.573318425945	0.536864046148	0.506862304776	0.51545542165	0.537989316565	0.582012892933	0.667599822511	0.653862373447	0.612156919916	0.546188849027	0.638727784514	0.631796761323	0.681611370972	0.763406182427	0.673150226202	0.596275115307	0.724108695217	0.50388607552	0.606210499099	0.740498999575	0.64348543488	0.506249135085	0.598256097982	0.707980770977	0.696663314325	0.574045429475	0.618315974346	0.762311937857	0.714869415948	0.686763767164	0.601588634576	0.672820019094	0.726369093964	0.573661134545	0.724282935123	0.676349773363	0.689970591652	0.646738163349	0.692100013622	0.662080873263	0.721049429527	0.613458555002	0.657769126386	0.666224845784	0.738382034251	0.653620727223	0.723623882142	0.681149326521	0.703283320648	0.65992631497	0.59629120139	0.600475526027	0.559005857354	0.570452310156	0.562336854368	0.720611629042	0.606276643273	0.551780332969	0.697050612797	0.498729492329	0.50553702018	0.552262045333	0.634682617258	0.594614885642	0.69575813979	0.596484570898	0.492937057221	0.553201888411	0.550388227902	0.542259814043	0.553107003311	0.53992469913	0.517909643546	0.528557438299	0.524673765559	0.593014507753	0.518646986093	0.507358068004	0.52655871548	0.539517399654	0.539523676672	0.670319614722	0.539187915015	0.532187496277	0.512884039975	0.529126719637	0.621504875865	0.624501303809	0.48779851908	0.512015824624	0.519700124705	0.57908798214	0.55186739406	0.526938236942	0.631971984498	0.575086372579	0.683064305189	0.763130687931	0.615369215091	0.677713575549	0.62869537863	0.63923048297	0.52529597289	0.594582697206	0.536778325349	0.640995738436	0.656937739544	0.657978192936	0.676021267747	0.668976668519	0.640144041194	0.670877071492	0.698719049804	0.617783878535	0.59436468186	0.723361869859	0.654859046154	0.675590235923	0.655586363192	0.555343902368	0.627947029436	0.538965276744	0.682546715459	0.60937100243	0.69108661988	0.722978383611	0.675659507073	0.645988968932	0.60366987153	0.62574698903	0.681081317258	0.658490977465	0.664872520576	0.676666231699	0.55921113146	0.517961349164	0.529167413192	0.488025242518	0.630054108766	0.657060890861	0.602173483554	0.705183593827	0.565151167708	0.558656797313	0.565536474752	0.543184033822	0.548096732491	0.619157800663	0.505120371103	0.516388142835	0.531333839386	0.552097118346	0.50396192622	0.555520660971	0.53341356528	0.504266553707	0.529941530866	0.489802455242
