CS.086	CS.093	L.031.M1	CS.104	CS.280	CS.016	CS.108	CS.028	CS.043	L.033.M1	CS.099	L.011.M1	CS.260	CS.009	L.035.M1	CS.122	CS.067	CS.064	CS.229	CS.334	CS.077	CS.230	CS.153	CS.301	CS.060	CS.076	CS.115	CS.287	CS.073	CS.248	CS.213	CS.203	CS.376	CS.282	CS.126	CS.232	CS.205	CS.136	CS.236	CS.224	CS.374	CS.041	CS.292	CS.302	CS.128	CS.182	CS.181	CS.386	CS.369	CS.254	CS.372	CS.385	CS.348	CS.214	CS.177	CS.359	CS.166	CS.129	CS.268	CS.395	T.CS.024	T.CS.042	T.CS.020	T.CS.001	T.CS.085	T.CS.007	TFS.024	T.CS.041	T.CS.071	T.CS.052	TFS.023	T.CS.059	T.CS.082	T.CS.019	T.CS.072	T.CS.106	T.CS.121	T.CS.120	T.CS.131	T.CS.100	T.CS.119	T.CS.104	T.CS.178	T.CS.124	T.CS.116	T.CS.139	T.CS.097	T.CS.126	T.CS.128	T.CS.098	CS.242	L.034.M1	CS.082	CS.085	CS.246	CS.238	CS.110	CS.006	CS.087	L.024.M1	CS.015	CS.356	CS.103	CS.241	CS.088	CS.338	CS.274	CS.330	CS.207	CS.233	CS.358	CS.311	CS.336	CS.078	CS.325	CS.189	CS.187	CS.165	CS.191	CS.150	CS.331	CS.318	CS.285	CS.322	CS.339	CS.112	CS.320	CS.152	CS.080	CS.194	CS.321	CS.319	CS.343	CS.227	CS.158	CS.255	CS.370	CS.262	CS.326	CS.393	CS.253	CS.145	CS.270	CS.390	TFS.020	T.CS.026	TFS.021	T.CS.008	TFS.025	T.CS.061	TFS.027	T.CS.031	T.CS.045	T.CS.049	TFS.022	T.CS.066	T.CS.043	T.CS.064	T.CS.036	T.CS.109	T.CS.141	T.CS.095	T.CS.151	T.CS.152	T.CS.142	T.CS.158	T.CS.157	T.CS.166
CS.086	0	0.456542675673	0.549326830657	0.540708192593	0.512153505334	0.568462675375	0.541237118648	0.519621942773	0.593038629224	0.633657415717	0.5037760738	0.563210007446	0.659641349624	0.641251026783	0.631735331355	0.498666073029	0.746059356208	0.555579833929	0.665640746658	0.708853125655	0.548710128318	0.703960563452	0.523595357784	0.633339480586	0.591406625319	0.605441448669	0.627644480957	0.653989470705	0.620794443815	0.629818914881	0.69236314118	0.569358819858	0.679198388644	0.692420589965	0.583906224696	0.526232234492	0.735397539445	0.604184764086	0.664294053687	0.76369204768	0.668536737092	0.638026144543	0.594976128901	0.745879994627	0.612451370461	0.631877999222	0.660836880239	0.730554647815	0.730577168744	0.670567084692	0.670021003699	0.667501983125	0.621399171679	0.674023396434	0.709435207391	0.734178778299	0.702784163104	0.602492048767	0.665578584082	0.656357623891	0.603194235539	0.528589366518	0.533946898865	0.730996730791	0.576352619798	0.687340966907	0.602335432226	0.5763497058	0.587143795712	0.669269022317	0.626323285423	0.572002813918	0.572814475059	0.634433955548	0.55472811621	0.531074104318	0.552765359392	0.547079384956	0.515842436985	0.52694072091	0.53928073837	0.50137330075	0.506422637277	0.484721348254	0.558415628946	0.513633524541	0.520531711076	0.526576235332	0.557830254658	0.52102388441	0.539134219059	0.572085873259	0.483290250924	0.489791946056	0.519898802274	0.572556593248	0.617203091783	0.529431370815	0.567876851718	0.573220780729	0.564733421101	0.711377032904	0.520446429077	0.544992234328	0.646213648655	0.630216425805	0.705612390896	0.657448286406	0.681902610638	0.51940719461	0.769407875436	0.59014281867	0.635568285359	0.599989983809	0.766271951252	0.642401556078	0.657283617294	0.697527304994	0.546986476653	0.578658340174	0.587018608368	0.677399204642	0.711984027569	0.705854240708	0.660729721678	0.605052331695	0.633973373733	0.575042418937	0.571305582355	0.764665159578	0.560804661621	0.682462913877	0.684538497174	0.775913785442	0.60062166618	0.638272801601	0.663156341318	0.703989776217	0.642829565642	0.659364944149	0.726306519486	0.628057286863	0.691304814317	0.678920161742	0.552207002545	0.746232928835	0.611824007189	0.658558078573	0.629187248806	0.630447143777	0.584644193861	0.595619608403	0.610269273693	0.685837643336	0.55020283177	0.521606673915	0.602504400328	0.565368842618	0.546538874948	0.523729294557	0.601263513517	0.529573825749	0.550317297442	0.562682323666	0.622822193251	0.532388376154	0.567767203265	0.58087018534
CS.093	0.456542675673	0	0.54423326263	0.546220679832	0.503930090097	0.583765090654	0.532161795369	0.500505530128	0.596965960463	0.631550208464	0.493075490894	0.564088309556	0.654655999173	0.661199613984	0.628814824132	0.515021452183	0.748055879801	0.562615258822	0.674132803211	0.727147288131	0.570363846304	0.70684106151	0.542204567082	0.630600759298	0.608388416402	0.620298566082	0.622581535729	0.63896632667	0.620029454092	0.640897125364	0.701923083898	0.580154498079	0.689218273257	0.707297243978	0.573819721176	0.529728813711	0.740610436104	0.614503560526	0.701612388524	0.775823503213	0.684294348461	0.649397786755	0.600523112729	0.75042288077	0.6427383109	0.632497366088	0.662520082547	0.730774493255	0.731970680842	0.69235759388	0.679218050776	0.66774905668	0.620961160039	0.668551179526	0.713817832874	0.751521001785	0.698792613298	0.601125002863	0.672222873216	0.654910748377	0.592410699961	0.504056104431	0.515312274318	0.721671522328	0.567027753357	0.696677897617	0.614479565044	0.571511204534	0.575156298051	0.667565591131	0.640057512885	0.570696679964	0.568832862566	0.628858455938	0.539002425348	0.507038208243	0.555470684724	0.568250269087	0.541072244439	0.511995866619	0.529752219647	0.483403342072	0.504509937878	0.493723659592	0.560062767229	0.487497823622	0.510216828004	0.535323269098	0.550624319214	0.507307463374	0.511781879642	0.60943285382	0.474253455617	0.493133332099	0.543155262385	0.557027654112	0.610751062034	0.527898319764	0.575163221736	0.578787329484	0.563027883995	0.70628813445	0.529742914861	0.534547845778	0.66097763812	0.627701633957	0.711116424396	0.67073008342	0.677008802172	0.529820071257	0.789687478971	0.616439074994	0.642987724978	0.617885347688	0.766213221599	0.643912225561	0.64639993699	0.698955111995	0.529537138908	0.566608008948	0.586557438897	0.691037304516	0.734553220726	0.700282918188	0.678127376845	0.616083690469	0.637424931219	0.558222907644	0.603747678442	0.772562014955	0.580704680176	0.704975311819	0.704346484241	0.78818257126	0.620773495954	0.624636683078	0.68096369645	0.709393396917	0.642800186071	0.664407564803	0.742820708354	0.6259311281	0.690691511727	0.687540312688	0.505616869353	0.726988593482	0.618876827628	0.658802575805	0.643999233895	0.639851238394	0.572267050662	0.573351415394	0.615300882009	0.673564362317	0.528555865275	0.514347646537	0.576154051546	0.577076445436	0.520746472906	0.510557511102	0.605387506183	0.509056975812	0.557658623022	0.554998887096	0.594337332565	0.537334532118	0.54848347744	0.568197041493
L.031.M1	0.549326830657	0.54423326263	0	0.58029162553	0.55917739607	0.614160472245	0.498304580564	0.534416367895	0.590857481627	0.66208851805	0.575895620759	0.571789534891	0.584167238552	0.628704315216	0.593731601606	0.58156886747	0.73362411942	0.555008752216	0.629770789434	0.674309559858	0.587787925078	0.671640420015	0.570518788531	0.526301882114	0.629459926806	0.61171582377	0.629241118449	0.574476801638	0.653863078946	0.569801797461	0.663859799681	0.598919146166	0.612397676664	0.634178709882	0.549905150049	0.541004993304	0.669743250299	0.598119056498	0.660309836803	0.7340797471	0.62429646539	0.645668080201	0.575577031336	0.695477706579	0.58799290494	0.539240374613	0.599497505674	0.700742306593	0.700718599015	0.605283001455	0.606951183011	0.580967101991	0.528207584291	0.628128140792	0.67165619102	0.684820924247	0.643397718737	0.596273978887	0.624266926623	0.581639957505	0.585320185297	0.518806365324	0.537391235353	0.692219111637	0.584000684642	0.659588406918	0.599712265947	0.585392484059	0.575069334638	0.60504997948	0.624633636376	0.609857187069	0.591443919492	0.61862659236	0.5288325097	0.548174283239	0.524561180216	0.5668301478	0.521555472608	0.561216468136	0.483798262586	0.529675500127	0.498124707162	0.5318715671	0.597246390145	0.53929754354	0.555567485362	0.498934573534	0.469779321899	0.536290373788	0.507588013047	0.611864326653	0.519300052964	0.526167990035	0.528330200269	0.606813642919	0.637754980786	0.583661209211	0.659468131932	0.628407235172	0.662770017004	0.687883710802	0.575609343217	0.583715368849	0.716845778915	0.573012027996	0.658209241529	0.622300913181	0.638179856948	0.589643586555	0.735601746868	0.651916462232	0.601079409002	0.646504028555	0.743882539703	0.59883020199	0.59013964895	0.700186762478	0.570635089423	0.544186212179	0.491780929858	0.625964995845	0.69872901162	0.672630632564	0.670146915635	0.622570284186	0.586961569705	0.517715808445	0.599003459214	0.736038038009	0.608755587436	0.61920519999	0.628012729718	0.7702824753	0.627494978631	0.568936692217	0.624438547934	0.672325183015	0.580237507582	0.653214793683	0.701495978527	0.571908078567	0.633051998095	0.639060949819	0.525536945391	0.713801010643	0.643722827803	0.667292663502	0.627586843343	0.620288707949	0.620418948166	0.597382281016	0.621932941045	0.628745245278	0.517070807789	0.554071549009	0.621834185137	0.590385882025	0.543262037255	0.533714892148	0.664582789338	0.5702968137	0.627246962057	0.552338675826	0.66968169574	0.508388949929	0.609213032821	0.537372321605
CS.104	0.540708192593	0.546220679832	0.58029162553	0	0.562570431775	0.543464036566	0.579524170728	0.534761591953	0.561468030658	0.600605907614	0.539081308626	0.503427256054	0.599186164696	0.590010450043	0.571799890774	0.529120735251	0.697732951043	0.537445494589	0.576903474962	0.653403276738	0.509958496698	0.6452527748	0.518860841476	0.589936701484	0.575258997306	0.56519670559	0.617302178043	0.602273683531	0.601528348002	0.542659485342	0.651198266375	0.533854423721	0.604793507429	0.640699516128	0.534794219745	0.540166800314	0.662737856514	0.546277378539	0.619315323724	0.729451726192	0.619643560331	0.607712261333	0.542254403395	0.690383114291	0.536969229524	0.591763468241	0.602492942391	0.682645818609	0.704303854667	0.623402333309	0.607561542662	0.611095504164	0.591308122865	0.606117758215	0.656798362649	0.685199623362	0.659665713556	0.588491391829	0.619770942561	0.628152761991	0.532546327461	0.537894200292	0.587500888611	0.67109630597	0.544143240656	0.620513796256	0.537064142728	0.54924240781	0.554067875047	0.612392123226	0.565653156303	0.592608725974	0.546476077159	0.601863411267	0.534391323679	0.582626040898	0.558143127305	0.545990982553	0.566562926587	0.576140047242	0.595949578034	0.545491946987	0.542923369461	0.559788395538	0.563532429658	0.574193838661	0.570007039265	0.523875855306	0.590948071199	0.571854735958	0.535499214573	0.555768990376	0.536394659477	0.523258399037	0.542225308562	0.518924241855	0.589614623974	0.511456600884	0.538232398926	0.575109997849	0.558776782218	0.647033262825	0.534515225628	0.523528787625	0.592113394636	0.607779696188	0.645948728735	0.615911886785	0.650852967738	0.571618197333	0.725613922649	0.530553376911	0.586129668772	0.543710360389	0.745197874792	0.624700981577	0.591700278953	0.612800666593	0.544888865241	0.572933293278	0.565848693874	0.614827097757	0.63602198442	0.663728113031	0.609383904107	0.575076773746	0.57227713251	0.520785684392	0.534249890106	0.723154900087	0.511641097573	0.605091491961	0.628950086549	0.728552164422	0.571482883887	0.589918219432	0.610444092809	0.639063534905	0.61116830764	0.606200688848	0.706087460489	0.553479008705	0.634022430258	0.601408479458	0.551256972999	0.699852243296	0.573425063043	0.600180740071	0.564662769002	0.562418081519	0.543798436209	0.562909051102	0.566031329661	0.635700398837	0.547024486173	0.558874619904	0.548950426477	0.527451867293	0.564652055616	0.556559580248	0.575343796878	0.587214978246	0.572793305878	0.526553287032	0.578241396669	0.532025591414	0.567445680912	0.541180998539
CS.280	0.512153505334	0.503930090097	0.55917739607	0.562570431775	0	0.606935313467	0.607023202272	0.543312305517	0.627427192132	0.624808440109	0.526468934663	0.546236670922	0.655014313093	0.681022496639	0.604476000483	0.550046268526	0.76552556273	0.612856101669	0.675135677279	0.730359985628	0.573165029148	0.734686598563	0.592919050064	0.60979255994	0.632023679109	0.666284704389	0.694486762642	0.662460417018	0.664030645923	0.665013691033	0.704310659898	0.547864394752	0.686518119572	0.702110579932	0.550837177249	0.554528129687	0.712662869223	0.670300121084	0.719511470885	0.755003291566	0.677191558095	0.688477680879	0.629496186629	0.731263231311	0.599817325163	0.610717754627	0.643882235798	0.714025187124	0.769965886015	0.671656590594	0.655362750828	0.676175358319	0.621268593738	0.650775460045	0.689051650517	0.726781112277	0.706826340424	0.600981538607	0.706978549682	0.661849988245	0.563018648345	0.459565326677	0.5096499244	0.726983810849	0.524497056148	0.657471928385	0.56476078702	0.543023406629	0.53924286868	0.670854271249	0.581982559633	0.634925914248	0.556474318153	0.669349096341	0.545197110376	0.430473498779	0.508967963649	0.496503969839	0.452190767864	0.492666156967	0.538502086967	0.429164856917	0.468823207182	0.498751141956	0.579382144818	0.4437835775	0.453661668358	0.475537430961	0.539759039658	0.476461596399	0.482841361174	0.586423625843	0.561705667993	0.562269529028	0.509548550178	0.562714857254	0.650237232432	0.518542852975	0.588412205483	0.53338649497	0.562769236677	0.702067763834	0.579906082556	0.495306638857	0.64935691803	0.657955214685	0.695071542771	0.660489147477	0.708202453792	0.604880870034	0.765409975335	0.615349164241	0.630815593729	0.6061904357	0.769484429833	0.642061164606	0.651746062106	0.699328441869	0.506338221322	0.599081810626	0.592938306462	0.685340921362	0.755422237078	0.712436220487	0.683113425422	0.684947815559	0.598456186404	0.526069377314	0.626050834909	0.75382051263	0.547670078654	0.672617721329	0.664365922501	0.788970634908	0.666855756448	0.618084880735	0.66959556546	0.684852840419	0.63799138223	0.688645749424	0.753098372429	0.585169449734	0.672385334812	0.66472178472	0.471674188621	0.741336787612	0.606599416376	0.610284068336	0.580632245661	0.593417274613	0.525567264275	0.549014724262	0.585903193743	0.652196854494	0.468897721871	0.481259994081	0.529904197644	0.526575327799	0.538112879025	0.432423887436	0.522334794575	0.457050701988	0.455740873916	0.518061260155	0.542652411111	0.451949466708	0.523524988416	0.494252711599
CS.016	0.568462675375	0.583765090654	0.614160472245	0.543464036566	0.606935313467	0	0.625565684353	0.582196663953	0.561567012895	0.624385376828	0.547919629617	0.542318693372	0.619167719721	0.60971733876	0.59179214795	0.5617002524	0.709259709735	0.59145049721	0.592573502945	0.659683002178	0.537239442458	0.662497520148	0.578446320929	0.6065347476	0.591229951306	0.611327782342	0.641161433029	0.629366623315	0.576462350503	0.582181977807	0.652221308205	0.565320826132	0.615957443602	0.649316419356	0.586985625194	0.577683630944	0.664083259894	0.601637426861	0.654540626713	0.733857599994	0.66210547502	0.61207063463	0.600109296004	0.700451761572	0.578482592248	0.629096181133	0.634210334261	0.676551413397	0.697259561596	0.645708503556	0.645542449714	0.637387693809	0.625327046494	0.616847506991	0.657099908939	0.695823947557	0.662751349075	0.594234955117	0.651666289374	0.645510339795	0.588496190906	0.575303628952	0.644806057013	0.688703766629	0.580460450084	0.652895544703	0.584431027135	0.573954326316	0.587818966719	0.644022309499	0.602129450752	0.597723839539	0.553840578184	0.58340748745	0.581892803442	0.619051762553	0.601382398606	0.585602518772	0.578633285819	0.621338766197	0.63963723807	0.596995174527	0.608215889709	0.574656496063	0.5800742305	0.609133699384	0.593281452609	0.57159596946	0.635148583785	0.618094590074	0.557291061649	0.576682890501	0.584033411311	0.568838199264	0.559643371243	0.548382705401	0.6262359821	0.526456701981	0.556098067152	0.616913611921	0.572508006018	0.664208183816	0.573992798115	0.57312613984	0.620104322853	0.629938219053	0.648598677193	0.632380180759	0.666280417483	0.600237242851	0.723657631673	0.557853879011	0.60460102406	0.581097511429	0.748994957927	0.649854149065	0.618058945866	0.628730640548	0.573607992188	0.602078227855	0.600627705727	0.628269131963	0.6721062133	0.679071130376	0.599623705811	0.584129128738	0.615818567992	0.568556846117	0.561099281106	0.72573043505	0.553109976975	0.62670967639	0.637243254236	0.728673013442	0.572135317564	0.614726066194	0.621986977534	0.637807815075	0.617308767954	0.634565680118	0.719836460814	0.60407462197	0.656417443786	0.622966673366	0.601554701271	0.71010353854	0.603885833483	0.595997197153	0.58311191913	0.578774242038	0.564780411193	0.574159577417	0.583440196104	0.645927960491	0.614235348648	0.614542965345	0.602350401786	0.559554523557	0.609435069697	0.604866346076	0.62227547601	0.622723540943	0.610168879025	0.595484950372	0.620612954388	0.583365120751	0.580755380903	0.595448015492
CS.108	0.541237118648	0.532161795369	0.498304580564	0.579524170728	0.607023202272	0.625565684353	0	0.563028258312	0.635550674256	0.675802790769	0.555138778125	0.61175277654	0.666256045771	0.659256619245	0.674931884135	0.566834721484	0.762057888521	0.566606949398	0.676408297827	0.73475526413	0.594323134776	0.706351735433	0.596916661424	0.620809228827	0.639042146969	0.612680270982	0.658604149208	0.653922179676	0.611244350453	0.614994796992	0.7034105504	0.650741300102	0.689459800679	0.706344858219	0.621742091082	0.563858788711	0.754435078122	0.61955417632	0.615258462161	0.780521028466	0.688588316297	0.657123710078	0.601060523443	0.74413600824	0.636381270632	0.618714243578	0.652583023931	0.715280205133	0.718455294008	0.687604268776	0.657242393122	0.646633553129	0.590171914128	0.685027327692	0.713517870944	0.718154022571	0.698627277077	0.63637519464	0.661103653651	0.647676103888	0.656620508983	0.598577048646	0.527876846947	0.747088602104	0.649069572882	0.724425914109	0.672863270322	0.650432791946	0.660726355771	0.671556652642	0.703881354875	0.581061701963	0.644461835963	0.672978256363	0.601631637901	0.591985596448	0.612273981329	0.645051942006	0.620124607003	0.594752535039	0.537091790014	0.581282809299	0.546226235289	0.569051978146	0.595156398448	0.599167503362	0.600983024003	0.600133988538	0.537226761899	0.603767887643	0.58212073651	0.646801862211	0.557750966523	0.539053443715	0.597846485898	0.612874635896	0.656434132582	0.59855774507	0.656863651879	0.648391242419	0.629769912551	0.744868203239	0.541489440763	0.56261165017	0.707689012166	0.618383453145	0.73789037129	0.687311335538	0.678525969328	0.548478879519	0.794460974319	0.670009493625	0.679130032663	0.673317224224	0.799549498753	0.641205536784	0.66116474601	0.753827902935	0.614073957395	0.616056991013	0.557349938676	0.696518266702	0.722404976855	0.735841279714	0.700599722406	0.633456291713	0.659010531098	0.593871496403	0.616123529981	0.794081890016	0.621056109912	0.689535647975	0.700565052191	0.791148019637	0.623309530314	0.634953383515	0.684903895609	0.713799002089	0.643846218538	0.685806889258	0.732181433534	0.655851877472	0.693527965942	0.670546137065	0.572256751006	0.747437092106	0.682027830075	0.734897893353	0.717202328437	0.704235520283	0.681137539211	0.644496561173	0.666140650246	0.721349586171	0.597133875974	0.599751102397	0.66646115203	0.632346042665	0.532379150975	0.601302677232	0.686151559378	0.608237505542	0.679283028435	0.616854368196	0.719891352164	0.610255465434	0.641204845789	0.634117877209
CS.028	0.519621942773	0.500505530128	0.534416367895	0.534761591953	0.543312305517	0.582196663953	0.563028258312	0	0.53611181315	0.630806316633	0.52638613654	0.569310527927	0.615529023942	0.633014344765	0.620021272553	0.506369638921	0.7143527789	0.552128447974	0.633187923795	0.668920355695	0.568098052653	0.686616255524	0.517800026495	0.579818690938	0.580817743105	0.56852478831	0.613001856246	0.612415518567	0.595350282915	0.591174379968	0.657539720186	0.594541879312	0.655877670264	0.671024243559	0.56823303491	0.493182710793	0.694094389771	0.56990554659	0.664703161289	0.7406917472	0.640737055671	0.598103721576	0.537114088451	0.709135206552	0.606927981114	0.595042279625	0.616322595162	0.700870477755	0.70046337447	0.640704209906	0.629001881737	0.623910233016	0.592296506424	0.640384107395	0.692349204658	0.711969740445	0.653316768471	0.595815477922	0.636903419521	0.620345000254	0.569923365637	0.546133028589	0.550635066851	0.684447147174	0.599401085954	0.652040049273	0.600613846635	0.564699795456	0.591045837268	0.642931110044	0.649534240988	0.564402356028	0.593097118051	0.614765854687	0.572619908259	0.549263419715	0.573395719072	0.567765741394	0.557845026241	0.553510163542	0.543323541258	0.547601676192	0.536054494535	0.506311967426	0.565499727259	0.557721808098	0.534403020317	0.547331144814	0.529050914785	0.532683596708	0.53023942613	0.59245910861	0.477603043409	0.464574936739	0.532958776384	0.542925592837	0.60108517619	0.529063272689	0.608419352033	0.612954830526	0.577929754757	0.683250416096	0.505812837269	0.531343414408	0.658852426738	0.595188599971	0.687183580287	0.632285358553	0.658743641956	0.50883306139	0.729057602125	0.590334210756	0.621898653335	0.617040592762	0.743264098257	0.610698020954	0.605500931433	0.68301582532	0.536382663683	0.526332675727	0.539065795289	0.642324628319	0.700224025347	0.684129902519	0.672294866077	0.561316870275	0.58632381923	0.549274459137	0.555475534669	0.732819036974	0.584090399431	0.648936638827	0.663389595264	0.769361696256	0.570434005227	0.596202217834	0.627484386929	0.638544212243	0.608290498367	0.639306742463	0.706458562808	0.609817431898	0.627301047232	0.64621372983	0.541678845313	0.708938805589	0.627922986259	0.653114537881	0.62383323587	0.633240772865	0.596036563516	0.564673913516	0.601753581558	0.645684204209	0.537870298529	0.551539161973	0.608376112398	0.559833856062	0.526008405139	0.538300734664	0.610703674724	0.546384161918	0.580705423426	0.567588688638	0.632411310734	0.544497264057	0.574706541185	0.565247241007
CS.043	0.593038629224	0.596965960463	0.590857481627	0.561468030658	0.627427192132	0.561567012895	0.635550674256	0.53611181315	0	0.636659667297	0.606764485424	0.579793984934	0.580830316748	0.598284012542	0.592570197291	0.570389455199	0.647245438854	0.574838407555	0.569501442807	0.616491391292	0.583031507963	0.630900511082	0.561962425766	0.573959620421	0.590998715603	0.587355451402	0.608912270014	0.586445500283	0.605621307005	0.565043157121	0.603663016392	0.611064425005	0.583858847292	0.625010414174	0.553991775959	0.537413975052	0.649485133895	0.562038652241	0.642120672698	0.694162157051	0.603671577464	0.559246824153	0.552590362402	0.661008719449	0.580309996593	0.563538026936	0.59168055629	0.650597784411	0.658978590085	0.598770869798	0.592993216834	0.607713379728	0.585425689758	0.62476684859	0.638559454043	0.655626031386	0.631565860364	0.602135172901	0.626815783534	0.612603303249	0.572871523404	0.606823033636	0.630849229219	0.646557868106	0.594050464371	0.626815039104	0.573382272715	0.609111682494	0.598133738627	0.595309225451	0.619585835758	0.619894286985	0.610584723079	0.616305100607	0.581426331955	0.643823254272	0.602559678583	0.606900840427	0.615038707829	0.626171456034	0.626573457121	0.616859898791	0.602013482199	0.599747883347	0.588536365482	0.631848978676	0.639648784264	0.587485521818	0.590690619113	0.614933070144	0.575153632072	0.609356429925	0.571463990298	0.540865711716	0.597258282812	0.536649405684	0.577697913374	0.569168860646	0.588181704496	0.646459529642	0.639762375211	0.650736051783	0.570706705656	0.583010870301	0.657552193074	0.600352779281	0.623879792908	0.59769282638	0.647069611643	0.59424424025	0.707862799337	0.581177460484	0.586060180389	0.610367363909	0.705079474977	0.629293023127	0.591077285573	0.621042360032	0.583798720349	0.574796807535	0.567850340657	0.590798931761	0.638458277806	0.628754092822	0.625200933239	0.551782763877	0.568030536542	0.57754829322	0.556067348453	0.692429932445	0.594701358637	0.611118727464	0.606149692087	0.704694747844	0.555322425442	0.592823870579	0.607504513893	0.622845785126	0.597035273823	0.637528772504	0.663216338285	0.611842338457	0.614362678631	0.601966878273	0.601113706012	0.674215400342	0.612920201705	0.589734450392	0.602013083405	0.595770410951	0.596087468686	0.580287403252	0.597915197669	0.628069358924	0.61609238441	0.615884723359	0.607461266268	0.58384085919	0.600913958647	0.618768856705	0.647417765842	0.636071988256	0.634238589604	0.584288706793	0.647607188724	0.601180818808	0.612564393844	0.585065070102
L.033.M1	0.633657415717	0.631550208464	0.66208851805	0.600605907614	0.624808440109	0.624385376828	0.675802790769	0.630806316633	0.636659667297	0	0.622267666624	0.581802654443	0.62180847536	0.630503815022	0.594217378528	0.594634946892	0.683776960293	0.638128154748	0.628816255509	0.699487140444	0.608454482379	0.647614521952	0.637083456992	0.662811464837	0.597974392496	0.636329134115	0.649141997596	0.664414563893	0.605752859176	0.630166070825	0.65548503029	0.589596588117	0.636801906248	0.6694046672	0.59137361446	0.632688183318	0.692555840571	0.629414744247	0.677925971436	0.725434829208	0.642255709305	0.648548149516	0.646284360706	0.669290652885	0.611394005727	0.653453970284	0.652334820371	0.680294667536	0.716108063274	0.651818876546	0.67479643343	0.663383194736	0.65742082698	0.623042853726	0.64961672195	0.726085077036	0.675629532597	0.636806592139	0.666111138645	0.680670355602	0.604262095438	0.60917827012	0.664329241052	0.689560540055	0.573882257179	0.646427017957	0.59375156033	0.586592761175	0.646191256309	0.628145918561	0.566399087616	0.645272556589	0.591150241535	0.603799428289	0.634877509049	0.642224155531	0.662657700004	0.589951714081	0.620174485847	0.639914236601	0.676821713608	0.627388678409	0.63007274236	0.599223458267	0.62425638218	0.645337072557	0.630210899617	0.614346320071	0.639743646869	0.630744287606	0.604303735233	0.583022344761	0.647215273118	0.644229685512	0.60604171083	0.599872468018	0.644802060878	0.563336891759	0.569572183505	0.577163095707	0.587719845614	0.660823346163	0.632291990336	0.614378425365	0.571966134267	0.661818979383	0.65203553755	0.64189604126	0.655718156523	0.640033435434	0.715487508621	0.579869917198	0.592748606001	0.563064950837	0.719401098233	0.635345855457	0.617384267157	0.645956048928	0.607204656575	0.619545296671	0.642900847	0.666309907656	0.684889519182	0.671318003434	0.587037578913	0.623095301277	0.632723556652	0.60031583782	0.605166703903	0.733234210835	0.561192951797	0.669453216098	0.652450087859	0.717831645218	0.636033502238	0.656069551725	0.663423519219	0.612715903516	0.626037401357	0.648123805562	0.69844000747	0.604492497451	0.663337393206	0.671957603793	0.611320738635	0.671893051144	0.563847231018	0.587409324249	0.593321980575	0.631167886269	0.576213730253	0.569545348403	0.59224898423	0.648232250456	0.613127530613	0.585216014555	0.567210530288	0.582129795193	0.623759781508	0.615974225445	0.587510285908	0.613180999022	0.577281222701	0.58068482385	0.581257121996	0.592235965516	0.556913182734	0.580874022224
