g__Methanobrevibacter	k__Bacteria	g__Actinomyces	g__Bifidobacterium	g__Corynebacterium	g__Olsenella	f__Coriobacteriaceae	g__Collinsella	g__Senegalimassilia	f__Eggerthellaceae	g__Eggerthella	g__Enterorhabdus	g__Gordonibacter	g__Slackia	o__Thermoleophilales	f__Bacteroidaceae	g__Bacteroides	f__Barnesiellaceae	g__Barnesiella	f__Muribaculaceae	g__Butyricimonas	g__Odoribacter	f__Prevotellaceae	g__Massiliprevotella	g__Paraprevotella	g__Prevotella	g__Prevotellamassilia	f__Rikenellaceae	g__Alistipes	f__Tannerellaceae	g__Parabacteroides	f__Sphingobacteriaceae	g__Elusimicrobium	p__Firmicutes	f__Bacillaceae	f__Thermoactinomycetaceae	g__Granulicatella	g__Enterococcus	g__Lactobacillus	g__Weissella	g__Lactococcus	g__Streptococcus	o__Clostridiales	g__Colidextribacter	g__Flavonifractor	g__Flintibacter	g__Howardella	g__Intestinimonas	g__Pseudoflavonifractor	f__Christensenellaceae	f__Clostridiaceae	g__Butyricicoccus	g__Clostridium	g__Hungatella	f__Clostridiales.Family.XIII..Incertae.Sedis	g__Ihubacter	g__Mogibacterium	f__Defluviitaleaceae	f__Eubacteriaceae	g__Eubacterium	f__Gracilibacteraceae	f__Lachnospiraceae	g__Anaerosporobacter	g__Anaerostipes	g__Blautia	g__Butyrivibrio	g__Coprococcus	g__Cuneatibacter	g__Dorea	g__Eisenbergiella	g__Faecalicatena	g__Fusicatenibacter	g__Hespellia	g__Lachnobacterium	g__Lachnoclostridium	g__Lachnospira	g__Muricomes	g__Parasporobacterium	g__Pseudobutyrivibrio	g__Robinsoniella	g__Roseburia	g__Tyzzerella	f__Oscillospiraceae	g__Oscillibacter	f__Peptococcaceae	f__Peptostreptococcaceae	g__Intestinibacter	g__Paeniclostridium	g__Romboutsia	g__Terrisporobacter	f__Ruminococcaceae	g__Acutalibacter	g__Anaeromassilibacillus	g__Caproiciproducens	g__Drancourtella	g__Faecalibacterium	g__Gemmiger	g__Negativibacillus	g__Ruminiclostridium	g__Ruminococcus	g__Sporobacter	g__Subdoligranulum	f__Erysipelotrichaceae	g__Catenibacterium	g__Erysipelatoclostridium	g__Holdemanella	g__Holdemania	g__Longibaculum	g__Turicibacter	g__Phascolarctobacterium	g__Megamonas	g__Mitsuokella	g__Propionispira	g__Allisonella	g__Dialister	g__Megasphaera	g__Veillonella	g__Fusobacterium	o__Victivallales	f__Victivallaceae	g__Victivallis	c__Alphaproteobacteria	f__Kiloniellaceae	g__Duodenibacillus	g__Parasutterella	g__Sutterella	f__Desulfovibrionaceae	g__Desulfovibrio	f__Succinivibrionaceae	g__Succinivibrio	o__Enterobacterales	f__Enterobacteriaceae	g__Haemophilus	f__Spiroplasmataceae	g__Akkermansia
CS.086	0	0.0149892933618844	0.00042263045193283	0.0636481460610842	0	0.00760734813479094	2.81753634621887e-05	0.0609714865321763	0.00698749013862279	0.00264848416544573	0	0.00910064239828694	0	0.0012397159923363	0.000394455088470641	0.00231037980389947	0.020314437056238	0	0	0.00512791615011834	0.000140876817310943	0.000281753634621887	0.00718471768285811	0	0.000169052180773132	0.260593936661783	0.0240617603967091	0	0.000450805815395019	0.000873436267327849	0.00115518990194974	0	0	0.000901611630790037	0.000253578271159698	0.00183139862504226	0.000197227544235321	0.000478981178857207	0.00346556970584921	0.000169052180773132	5.63507269243773e-05	0.00388820015778204	0.0240054096697847	0.00177504789811789	8.4526090386566e-05	0.00140876817310943	0.000225402907697509	0.00115518990194974	8.4526090386566e-05	0.00104248844810098	0.000366279725008453	0.0102276569367745	0.00205680153273977	0.00267665952890792	0.000704384086554717	0.00163417108080694	0.00211315225966415	0.00115518990194974	0.000394455088470641	0.048095345429956	0.000169052180773132	0.0154400991772794	0.000169052180773132	0.0176941282542545	0.0403752958413164	0.000760734813479094	0.0390510537585935	0	0.0163698861715316	2.81753634621887e-05	0.000112701453848755	0.00264848416544573	8.4526090386566e-05	5.63507269243773e-05	0.00673391186746309	0.00343739434238702	0.000281753634621887	0.000253578271159698	0.000394455088470641	0.000281753634621887	0.0200608587850783	0.000873436267327849	0.001493294263496	0.00439535670010143	5.63507269243773e-05	0	0.000563507269243773	5.63507269243773e-05	0.0114110222021864	0.000169052180773132	0.00493068860588302	0.000338104361546264	0	8.4526090386566e-05	2.81753634621887e-05	0.0542939253916376	0.00712836695593373	0.000197227544235321	0.00262030880198355	0.0498422179646117	0.00183139862504226	0.00169052180773132	0.00205680153273977	0.0121717570156655	2.81753634621887e-05	0.00848078440211879	0	0	5.63507269243773e-05	0.002986588526992	0.000788910176941283	0	0	0.000197227544235321	0.0244562154851798	0	0.00135241744618506	5.63507269243773e-05	0	0.004479882790488	0.000676208723092528	0	0	0.0133832976445396	0.000366279725008453	0.000901611630790037	0.000169052180773132	0.000619857996168151	0	0.000563507269243773	0.0022258537135129	0.000732559450016905	0.0022258537135129	0.00619857996168151	0.000338104361546264
CS.093	0	0.085546282245827	0.000460654671580316	0.00124647734662909	8.12920008671147e-05	0.000460654671580316	0.00235746802514633	0.0450357684803815	0.00785822675048775	0.00135486668111858	0.000135486668111858	0.00216778668978972	0	0.000270973336223716	0	0.00121938001300672	0.00793951875135487	2.70973336223716e-05	0	0.00444396271406894	2.70973336223716e-05	5.41946672447431e-05	0.0244688922610015	0.000948406676783005	0	0.194775634077607	0.0236017775850856	0	0.000189681335356601	0	0.000270973336223716	0.000433557337957945	8.12920008671147e-05	0.00108389334489486	0.000216778668978972	0.00330587470192933	0.000162584001734229	0.000162584001734229	0.00186971601994364	0	0.00208649468892261	0.00655755473661392	0.0518913938868415	0.00102969867765012	0.000162584001734229	0.00186971601994364	8.12920008671147e-05	0.00146325601560806	0.000433557337957945	0.000677433340559289	0.00360394537177542	0.0064762627357468	0.0130338174723607	0.0111370041187947	0.00051484933882506	0.00216778668978972	0.000108389334489486	0.0234933882505961	0.00162584001734229	0.0321103403425103	5.41946672447431e-05	0.0122750921309343	5.41946672447431e-05	0.00298070669846087	0.0162854975070453	0.0265282896163018	0.0164751788424019	0	0.0116247561239974	0	5.41946672447431e-05	0.00211359202254498	0.00035226533709083	8.12920008671147e-05	0.00471493605029265	0.000270973336223716	0.000433557337957945	0.000975504010405376	0.000433557337957945	8.12920008671147e-05	0.0248211575980923	0.00195100802081075	0.0021948840234121	0.00336006936917407	0.000677433340559289	2.70973336223716e-05	0.00135486668111858	8.12920008671147e-05	0.0201875135486668	0.000325168003468459	0.012979622805116	0.000189681335356601	0	0.000298070669846087	0	0.0584760459570778	0.0084814654238023	8.12920008671147e-05	0.000758725341426404	0.0313245176674615	0.00224907869065684	0.00105679601127249	0.0117060481248645	0.0191036202037719	8.12920008671147e-05	0.00577173206156514	2.70973336223716e-05	2.70973336223716e-05	0.000623238673314546	0.0257695642748754	0.00035226533709083	2.70973336223716e-05	0.0292651203121613	0.00105679601127249	0.00831888142206807	0	0.00149035334923044	8.12920008671147e-05	2.70973336223716e-05	0.000108389334489486	5.41946672447431e-05	0	0.00211359202254498	0.00127357468025146	0	0.0039020160416215	2.70973336223716e-05	0.000948406676783005	2.70973336223716e-05	0.012979622805116	0.00945696943420767	0.00574463472794277	0.00189681335356601	0.00655755473661392	8.12920008671147e-05
L.031.M1	0.0580615549379096	0.000254991457786164	0.00130045643470944	0.058036055792131	0	0.00242241884896856	0.00063747864446541	0.0775174031669939	0.00910319504296606	0.0049723334268302	2.54991457786164e-05	0.003722875283678	0	0.00112196241425912	0.000866970956472958	0.00035698804090063	0.0497743325598592	0.000101996583114466	0.000280490603564781	0.00063747864446541	0.000254991457786164	0.00191243593339623	0.00112196241425912	0	0	0.0177729046076956	0.000178494020450315	0.00721625825534845	0.000331488895122013	0	0.00385037101257108	2.54991457786164e-05	2.54991457786164e-05	0.00071397608180126	0.000152994874671699	0.00247341714052579	2.54991457786164e-05	0.00145345130938114	0.00270290945253334	0.000101996583114466	0.00112196241425912	0.000662977790244027	0.0221587576816177	0.00168294362138868	0.000152994874671699	0.00548231634240253	0.000688476936022643	0.00346788382589183	0.000535482061350945	2.54991457786164e-05	0.0190988601881837	0.00130045643470944	0.0143305199275824	0.00678277277711197	0.00221842568273963	0.00385037101257108	0.00629828900731825	0.0150699951551623	0.0305989749343397	0.0219547645153887	0.0021674273911824	0.00953668052120254	0.00109646326848051	0.00214192824540378	0.0346788382589183	2.54991457786164e-05	0.00790473519137109	2.54991457786164e-05	0.00764974373358493	2.54991457786164e-05	0.00063747864446541	0.0105821454981258	0.000280490603564781	0.000611979498686794	0.00239691970318994	0.000178494020450315	0.000280490603564781	0.00063747864446541	0	0.000433485478236479	0.00999566514521764	0.00181043935028177	0.00407986332457863	0.0650993191728077	0.00265191116097611	0	0.00423285819925033	2.54991457786164e-05	0.0107861386643547	0.00359537955478491	0.0218272687864957	0.000790473519137109	0.000127495728893082	2.54991457786164e-05	0	0.0313894484534768	0.00160644618405283	0.000101996583114466	0.0108626361016906	0.0252696534666089	0.0229492312007548	0.00122395899737359	0.00846571639850065	0.0337863681566668	0.00135145472626667	0.0194303490833057	2.54991457786164e-05	0	0.00211642909962516	0.0110666292679195	0.000152994874671699	0.00239691970318994	0	0.000305989749343397	0.0350103271540403	0	7.64974373358493e-05	0.00397786674146416	0.000152994874671699	0.000178494020450315	7.64974373358493e-05	0	2.54991457786164e-05	0.000127495728893082	0	0.000229492312007548	0.00509982915572328	0.00272840859831196	0	0.00150444960093837	0.00453884794859372	0.0237142055741133	0	0.000305989749343397	0.0445215085294643
CS.104	0	0.00010512207300728	0.000840976584058238	0.0268324091351081	5.25610365036399e-05	0.00727970355575412	0.00215500249664923	0.139996320727445	0.0267272870621009	0.00199731938713831	0	0.00722714251925048	0	0.00559775038763764	0	0.00249664923392289	0.00854116843184148	0	2.62805182518199e-05	0.0106173293737352	0	0.000630732438043678	0.00310110115371475	5.25610365036399e-05	0	0.202727917794539	0.000683293474547318	0	0.00136658694909464	0	0.00312738167196657	0.0147170902210192	0	2.62805182518199e-05	0	0.00315366219021839	7.88415547554598e-05	2.62805182518199e-05	0.00722714251925048	2.62805182518199e-05	2.62805182518199e-05	0.00283829597119655	0.0121941604688444	0	0	0.00323250374497385	0	0.000551890883288218	0.000210244146014559	0	0.00152427005860556	0.00407348032903209	0.0605240335339413	0.00365299203700297	0.000946098657065517	0.00149798954035374	0.00446768810280939	0	0.00638616593519224	0.0529289637591653	0.000262805182518199	0.0156369083598329	0.0001314025912591	0.000788415547554598	0.0521668287298626	0	0.0141126383012273	0	0.00475677380357941	0	0.000289085700770019	0.00333762581798113	0.000289085700770019	0.00015768310951092	0.00370555307350661	0.000604451919791858	0.00010512207300728	0.000289085700770019	0	0.000893537620561878	0.0272528974271373	0.000709573992799138	0.00152427005860556	0.0073848256287614	0.000657012956295498	2.62805182518199e-05	0.00010512207300728	0	0.0405245591443063	0	0.00730598407400594	0.000446768810280939	0.0001314025912591	0.000262805182518199	0	0.061732937373525	0.00846232687708602	0.000840976584058238	0.00507214002260125	0.0393419358229744	0.00360043100049933	0.00270689337993745	0.00333762581798113	0.000499329846784579	0	0.0101705605634543	0	0	0.000919818138813697	0.000289085700770019	0	2.62805182518199e-05	0.000183963627762739	0	0.0159522745788547	0	0.000525610365036398	2.62805182518199e-05	0	0	0	0	0	0.00678037370896954	0	0.0135081863814354	0.00010512207300728	0.00423116343854301	0	0	0.000499329846784579	0.000446768810280939	0.000499329846784579	0.00015768310951092	0.00223384405140469
CS.280	0	0.00280278579921862	0.000106166128758281	0.0318923050789876	0.000382198063529811	0.0041192457958213	0.00477747579412264	0.0522762018005775	0.00382198063529811	0.000870562255817904	0	0.00762272804484457	0	0.00142262612536096	2.12332257516562e-05	0.000785629352811279	0.00125276031934772	0	0	0.0111686767453712	0.000191099031764906	0.000233565483268218	0.0195558009172754	0.000806862578562935	2.12332257516562e-05	0.180843383726856	0.0272846950908782	0	0.000254798709019874	0.00197468999490403	0.000509597418039749	0.0183455070494309	6.36996772549686e-05	0.000212332257516562	0.000191099031764906	0.0041192457958213	0	0.000297265160523187	0.0227832512315271	4.24664515033124e-05	2.12332257516562e-05	0.000191099031764906	0.0255648038049941	0.000743162901307967	0	0.0015500254798709	0	0.000212332257516562	0.000254798709019874	4.24664515033124e-05	0.00796245965687107	0.000573297095294717	0.0367122473246136	0.000870562255817904	0.000997961610327841	0.00142262612536096	0.00165619160862918	0.000382198063529811	0.0032486835400034	0.0115084083573977	8.49329030066248e-05	0.0399184644131136	0.000212332257516562	0.00437404450484118	0.0171564464073382	0	0.00428911160183455	0	0.00129522677085103	4.24664515033124e-05	2.12332257516562e-05	0.00630626804824189	8.49329030066248e-05	0	0.000467130966536436	0.000276031934771531	2.12332257516562e-05	0.000934261933072872	0.000106166128758281	0.00016986580601325	0.0272846950908782	0.00016986580601325	0.00197468999490403	0.0157975199592322	0.000191099031764906	0.000318498386274843	0.027666893154408	0.000297265160523187	0.0242271105826397	0.001358926448106	0.0117844402921692	0.00248428741294377	0	0.000467130966536436	0	0.0504289111601835	0.011423475454391	0.000127399354509937	0.000191099031764906	0.00811109223713266	0.00456514353660608	0.00110412773908612	0.00692203159503992	0.0279004586376762	0	0.00161372515712587	0	2.12332257516562e-05	0.00596653643621539	0.00779259385085782	0	0	0.000233565483268218	6.36996772549686e-05	0.021615423815186	0	0.000212332257516562	6.36996772549686e-05	0	0.0249065738066927	0	0	0.018218107694921	0.00775012739935451	2.12332257516562e-05	0.00114659419058943	0	0.0035884151520299	0.000467130966536436	0.0966111771700357	0.000148632580261593	0.000636996772549686	0.0012102938678444	0.00273908612196365	0
CS.016	0.000214615302071038	0.000187788389312158	0.000107307651035519	0.000295096040347677	0	0	0.000214615302071038	0.057087670350896	0.00386307543727868	0.00324605644382444	0.000160961476553278	0	0.000134134563794399	0.000617018993454233	0	0	0.0806148728404335	0	0	0	0.000724326644489752	0.00413134456486748	0.0166326859105054	0	2.68269127588797e-05	0.229665200128769	0	0	0.0151840326215259	2.68269127588797e-05	0.00834316986801159	0	0	0	0	0.00284365275244125	0.000134134563794399	0	0.00421182530314411	0.00219980684622814	2.68269127588797e-05	0.00252172979933469	0.0172765318167185	0	0.000160961476553278	0.00388990235003756	0	0.00131451872518511	0.000617018993454233	0	0.000697499731730872	0.00214615302071038	0.0282219122223415	0.00595557463247129	0.000670672818971993	0.00252172979933469	8.04807382766391e-05	5.36538255177594e-05	0.000965768859319669	0.0364577744393175	5.36538255177594e-05	0.069132954179633	0.000724326644489752	0.00265586436312909	0.0465983474621741	0	0.00662624745144329	0.000187788389312158	0.0174374932932718	0	0.000134134563794399	0.0102210537611332	0.00088528812104303	0	0.010703938190793	2.68269127588797e-05	0.000643845906213113	0	0.000187788389312158	5.36538255177594e-05	0.00973816933147333	0.000643845906213113	0.00195836463139822	0.00968451550595558	0.000643845906213113	5.36538255177594e-05	0.00525807490074042	2.68269127588797e-05	0.0168204742998176	0.000643845906213113	0.0136548985942698	0.00115355724863183	0	0.000456057516900955	0	0.0908627535143256	0.0127427835604679	0.00308509496727117	0.000295096040347677	0.0414475802124692	0.00287047966520013	0.00203884536967486	0.00643845906213113	0.00904066959974246	0	0.000160961476553278	0.000214615302071038	0	0.00464105590728619	0.000751153557248632	0.00287047966520013	0.00431913295417963	0	0.000107307651035519	0.031226526451336	0	0	0	0	0	0	0	0	0	0.00281682583968237	0.00866509282111814	0.000804807382766391	2.68269127588797e-05	0	0.000134134563794399	0.00748470865972744	0.00254855671209357	0.00091211503380191	0.000107307651035519	0.000107307651035519
CS.108	0.027887323943662	0.000125195618153365	0.000344287949921753	0.253740219092332	0	0.00823161189358372	0.0038810641627543	0.128951486697966	0.0101721439749609	0.00222222222222222	0	0.00713615023474178	0	0.000907668231611894	0	0	0.0021283255086072	6.25978090766823e-05	0	3.12989045383412e-05	0.000219092331768388	3.12989045383412e-05	0.000344287949921753	3.12989045383412e-05	0	0.00172143974960876	0.0021283255086072	0.00028169014084507	0.000187793427230047	0.00215962441314554	0.000563380281690141	0.000187793427230047	0.000125195618153365	0.000375586854460094	0.0021283255086072	0.00353677621283255	0.000125195618153365	0	0.000594679186228482	0	0	0.000782472613458529	0.0275430359937402	0.000938967136150235	0	0.00431924882629108	0.00187793427230047	0.00344287949921753	0.000594679186228482	0.000125195618153365	0.065320813771518	0.000156494522691706	0.00453834115805947	0.00625978090766823	0.00153364632237872	0.00466353677621283	0.0136463223787167	0.000312989045383412	0.00967136150234742	0.0205633802816901	0.00256651017214398	0.00410015649452269	0.000187793427230047	0.00970266040688576	0.0128638497652582	3.12989045383412e-05	0.03320813771518	3.12989045383412e-05	0.00732394366197183	9.38967136150235e-05	0.000438184663536776	0.00109546165884194	0.000312989045383412	3.12989045383412e-05	0.000469483568075117	0.000344287949921753	0	0.000156494522691706	9.38967136150235e-05	0.00197183098591549	0.00253521126760563	0.000125195618153365	0.0114241001564945	0.0554616588419405	3.12989045383412e-05	0	0.0010641627543036	0	0.024131455399061	0.000156494522691706	0.0179029733959311	0.000876369327073552	0	0.000156494522691706	0	0.0065414710485133	0.0180281690140845	9.38967136150235e-05	0.00463223787167449	0.0379655712050078	0.0235367762128326	0.00172143974960876	0.00162754303599374	0.0226917057902973	3.12989045383412e-05	0.0262284820031299	0	0	0.00234741784037559	0.000156494522691706	0	0.000187793427230047	0.000125195618153365	0	0.00200312989045383	0	0	0	3.12989045383412e-05	0.000719874804381847	9.38967136150235e-05	0	0	0.000344287949921753	0	3.12989045383412e-05	3.12989045383412e-05	0.00122065727699531	0	0.000156494522691706	3.12989045383412e-05	0	0	0	3.12989045383412e-05
CS.028	0.000459755016255624	0.0139896883517783	0.000361236084200847	0.00236445436931464	0	0.000459755016255624	0.000952349676529506	0.0189156349545171	0.00479458802666579	0.000459755016255624	0	0.00114938754063906	0	0.000952349676529506	0	0.0246954123017307	0.064956815868116	0.00509014482283012	3.28396440182588e-05	0.0023972940133329	3.28396440182588e-05	0.00229877508127812	0.0781255131194378	3.28396440182588e-05	0	0.194147975435946	0.0138911694197235	3.28396440182588e-05	0.00177334077698598	0.00499162589077534	0.0051886637548849	0.000591113592328659	0	0	9.85189320547765e-05	0.00259433187744245	0	0	0.00157630291287642	6.56792880365177e-05	3.28396440182588e-05	0.00121506682867558	0.016748218449312	9.85189320547765e-05	6.56792880365177e-05	0.00282420938557026	3.28396440182588e-05	0.00101802896456602	9.85189320547765e-05	0	0.00673212702374306	0.00190469935305901	0.00804571278447342	0.0085383074447473	0.000788151456438212	0.000952349676529506	0.00144494433680339	0.00085383074447473	0.00190469935305901	0.0238744212012742	0.000164198220091294	0.0358937309119569	0.000131358576073035	0.000591113592328659	0.0295228399724147	0.00371087977406325	0.0293586417523234	0	0.0102131292896785	6.56792880365177e-05	0.000164198220091294	0.00827559029260123	0.000820991100456471	6.56792880365177e-05	0.0289645660241043	0.000492594660273883	0.000689632524383436	0.000689632524383436	0.000131358576073035	0.0005582739483104	0.0178647663459328	0.00193753899707727	0.00154346326885817	0.00403927621424584	0.00114938754063906	0	0.000788151456438212	0	0.0106072050178976	0.000229877508127812	0.0317887754096746	0.000591113592328659	0	0	0	0.0586844438606286	0.00886670388492989	0.00282420938557026	0.00926077961314899	0.0712948671636399	0.0023972940133329	0.00229877508127812	0.00692916488785262	0.00282420938557026	0.00413779514630061	0.00479458802666579	0	0	3.28396440182588e-05	0.0286361695839217	0	0.000164198220091294	0.0005582739483104	6.56792880365177e-05	0.00108370825260254	0.000262717152146071	0.000262717152146071	0.00417063479031887	3.28396440182588e-05	3.28396440182588e-05	3.28396440182588e-05	0	0.00193753899707727	0.00968769498538636	0	0.00794719385241864	0	0.00233161472529638	0	0.00423631407835539	0.0114281961183541	0.0050244655347936	0.000492594660273883	0.000262717152146071	0
CS.043	7.70445702839092e-05	0.000577834277129319	0.00208020339766555	0.00300473824107246	0	0.000731923417697138	0.00285064910050464	0.0437613159212605	0.00581686505643515	3.85222851419546e-05	0.000192611425709773	0.00134827997996841	7.70445702839092e-05	0.00192611425709773	0	0.000192611425709773	0.196232520513117	0.000231133710851728	3.85222851419546e-05	0.0114025964020186	0.00130975769482646	0	0.00878308101236565	0	0	0.0846719827420163	0	0	0.011864863823722	0.000115566855425864	0.0141762009322393	0.000115566855425864	0	3.85222851419546e-05	0	0.00346700566277592	0.000115566855425864	0	0.00200315882738164	0.0028891713856466	0.000808967987981047	0.00951500443006279	0.0459185638892099	0	0.000115566855425864	0.00612504333757078	0.00050078970684541	0.00188759197195578	0.000192611425709773	0	0.00720366732154551	0.001694980546246	0.00327439423706614	0.00997727185176625	0.000539311991987365	0.00254247081936901	0.000154089140567818	0.000231133710851728	0.00654878847413229	0.0310489618244154	0	0.0411032782464656	3.85222851419546e-05	0.00100157941369082	0.0494240918371278	3.85222851419546e-05	0.0281597904387688	0	0.0148696020647945	7.70445702839092e-05	7.70445702839092e-05	0.00435301822104087	0.000423745136561501	3.85222851419546e-05	0.00785854616895874	0.000924534843406911	0.00658731075927424	0.000886012558264956	0	3.85222851419546e-05	0.0298162486998729	0.00250394853422705	0.00161793597596209	0.0165260603258985	7.70445702839092e-05	0	0.00616356562271274	0.00184906968681382	0.000616356562271274	0.000577834277129319	0.0113640741168766	0.000577834277129319	0.000115566855425864	0	0.00104010169883277	0.0605955545282946	0.0148310797796525	0.00681844447012597	0.000808967987981047	0.0504256712508186	0.00835933587580415	0.00793559073924265	0.00666435532955815	0.00859046958665588	0.000423745136561501	0.0117107746831542	7.70445702839092e-05	0	0	0.027158211025078	0	0	0	0	0	0	0.000924534843406911	0	0	0	0	0	0	7.70445702839092e-05	7.70445702839092e-05	0.0189914865749836	3.85222851419546e-05	0.0045841519318926	0	3.85222851419546e-05	0.00512346392387996	0.00412188451018914	0.000886012558264956	0.000808967987981047	0
L.033.M1	9.62556550197324e-05	9.62556550197324e-05	0.000288766965059197	0.0272403503705843	0	0.00664164019636154	0.00346520358071037	0.0331119453267879	0.00606410626624314	0.00962556550197324	0	0.000577533930118394	0	0.00221388006545385	0	0.000192511310039465	0.0138608143228415	0	9.62556550197324e-05	0	0	0.00038502262007893	0.00519780537106555	0.00115506786023679	0	0.189912407353932	0.0332082009818077	0	0.00125132351525652	0	0.00394648185580903	0	0	0	0	0.000770045240157859	0	0.000962556550197324	0.000288766965059197	0	0	0.000481278275098662	0.0129945134276639	9.62556550197324e-05	0.000192511310039465	0.000962556550197324	9.62556550197324e-05	0.00134757917027625	0.000770045240157859	0	0	0.00173260179035518	0.00837424198671672	0.0065453845413418	9.62556550197324e-05	0.00163634613533545	9.62556550197324e-05	0	0	0.0221388006545385	0	0.00991433246703244	0.00346520358071037	0.00173260179035518	0.0669939358937338	0	0.00481278275098662	0	0.0873038791028973	0.000192511310039465	0.000577533930118394	0.00587159495620368	0.00163634613533545	0	0.0118394455674271	0.00933679853691404	0	0	0	9.62556550197324e-05	0.0130907690826836	0.000192511310039465	0.000770045240157859	0.00231013572047358	0	0	0.000577533930118394	0	0.000962556550197324	0.000192511310039465	0.00221388006545385	0.00134757917027625	0	0	0	0.0783521031860622	0.0113581672923284	0.00269515834055251	0.000288766965059197	0.0129945134276639	0.000481278275098662	0.00173260179035518	0.00211762441043411	0.0178072961786505	0	0.0265665607854461	0	0	0	0.0690153046491481	0.0369621715275772	0.000962556550197324	0	0.000673789585138127	0.0414861873135047	0.00635287323130234	0.000288766965059197	0.000481278275098662	0	0	0	0	0	0	9.62556550197324e-05	0.0108768890172298	0.00134757917027625	0.00500529406102609	0.000577533930118394	0.0443738569640966	0.000192511310039465	0.000192511310039465	0	0	0.00038502262007893
