CS.021	CS.314	CS.043	CS.039	CS.280	CS.265	CS.260	CS.245	L.036.M1	CS.099	CS.007	CS.263	CS.036	CS.005	CS.257	CS.042	CS.117	CS.040	CS.305	CS.077	CS.076	CS.368	CS.171	CS.381	CS.269	CS.367	CS.058	CS.137	CS.154	CS.060	CS.136	CS.376	CS.232	CS.213	CS.374	CS.378	CS.375	CS.205	CS.292	CS.125	CS.302	CS.380	CS.203	CS.282	CS.041	CS.177	CS.129	CS.256	CS.182	CS.348	CS.369	CS.254	CS.183	CS.372	CS.389	CS.323	CS.178	CS.386	CS.147	CS.181	T.CS.076	T.CS.069	T.CS.079	T.CS.072	T.CS.022	T.CS.007	T.CS.016	T.CS.028	T.CS.024	T.CS.003	T.CS.014	T.CS.048	T.CS.029	T.CS.040	T.CS.067	T.CS.128	T.CS.125	T.CS.098	T.CS.132	T.CS.118	T.CS.110	T.CS.121	T.CS.134	T.CS.130	T.CS.116	T.CS.144	T.CS.105	T.CS.104	T.CS.156	T.CS.097	CS.103	CS.088	L.034.M1	CS.110	CS.241	CS.015	CS.238	CS.356	CS.085	CS.082	CS.242	L.024.M1	CS.087	CS.246	CS.006	CS.325	CS.151	CS.347.0	CS.304	CS.164	CS.345.0	CS.188	CS.274	CS.191	CS.233	CS.364	CS.212	CS.187	CS.346	CS.044	CS.152	CS.227	CS.080	CS.320	CS.202	CS.318	CS.321	CS.331	CS.223	CS.319	CS.158	CS.112	CS.361	CS.285	CS.163	CS.393	CS.253	CS.326	CS.255	CS.370	CS.145	CS.270	CS.262	CS.390	T.CS.066	T.CS.043	TFS.020	T.CS.026	T.CS.055	TFS.021	TFS.022	TFS.025	T.CS.031	T.CS.045	T.CS.061	T.CS.008	T.CS.049	T.CS.064	T.CS.036	T.CS.151	T.CS.141	T.CS.157	T.CS.095	T.CS.152	T.CS.142	T.CS.109	T.CS.158	T.CS.166
CS.021	0	0.596291383983	0.576012354084	0.619454018525	0.654303345233	0.670182211781	0.531167074658	0.603879893231	0.615996787576	0.647807693572	0.601875808908	0.609671993644	0.56462711187	0.636943954241	0.648691883339	0.573435432738	0.594845777106	0.627391748006	0.627049860512	0.584974126865	0.578043142462	0.59424352506	0.615770590697	0.588028169185	0.649628793786	0.61523710139	0.542789138155	0.565069274833	0.665260682278	0.608947688213	0.556096056637	0.525609261062	0.610797576035	0.586011405221	0.574881927048	0.647843704744	0.572991464209	0.587033114654	0.575977297541	0.532094176665	0.582362653268	0.608564359007	0.618335848782	0.581361826243	0.577495815264	0.623849873602	0.624661583611	0.589083439413	0.54540483404	0.573260596917	0.65460099371	0.575114166813	0.637184569475	0.577687597864	0.540717622962	0.571073621483	0.614240372031	0.666066641105	0.55770158467	0.585540510191	0.567350668777	0.564556613804	0.56751094323	0.600744065774	0.592542859551	0.585425632002	0.570610600108	0.564842191839	0.555157040741	0.622031545681	0.597577311248	0.576748803226	0.613248825604	0.598028476155	0.586990989086	0.593740248454	0.574692186827	0.663957116374	0.646007430655	0.499436632705	0.636020613058	0.606774502422	0.628783285695	0.604904410468	0.642310301562	0.655466329579	0.660194066808	0.659886874679	0.630663212253	0.650973563201	0.622176840054	0.667744611581	0.585318806827	0.586823515648	0.652187158371	0.657258351914	0.587964718335	0.63483616274	0.592064479314	0.621246092362	0.604084494233	0.651659711188	0.608142966288	0.609628407066	0.557381035231	0.66229639167	0.601338818051	0.60181156692	0.671348508968	0.662760529262	0.623373310986	0.605009832459	0.584572440047	0.631430462489	0.642671688345	0.603149804154	0.613286136066	0.543969977464	0.622618655324	0.56929937245	0.586780728685	0.652206794462	0.563424235547	0.55257694664	0.643914709466	0.530326181564	0.621371230817	0.560033075281	0.582572194101	0.555064208697	0.575320119532	0.566290090885	0.606501374579	0.594546341044	0.570838566199	0.635467662985	0.659145350691	0.563407249698	0.547419900186	0.582139917764	0.585323979723	0.592613365268	0.568561499512	0.599533188166	0.638834221441	0.616201227979	0.635275576625	0.601086405771	0.590362665147	0.607493184412	0.642465821414	0.561345788536	0.585342102589	0.602426088195	0.590481990552	0.590489904464	0.557609203962	0.61202618972	0.617738131898	0.648137562074	0.65093298383	0.62925814202	0.672039708765	0.578433579513	0.654748960879	0.652267572482	0.617045821563	0.608869204399
CS.314	0.596291383983	0	0.611265549704	0.569887821662	0.549817575	0.614907838503	0.621467461279	0.560058343653	0.564850121502	0.562325588762	0.561162652001	0.536903926483	0.64658987466	0.553781967162	0.582146547642	0.6060407077	0.555270067679	0.60605424408	0.555417283909	0.579003127376	0.606819626625	0.538693783659	0.591560776131	0.562455809532	0.691317410599	0.701309489853	0.579739218312	0.605654549098	0.726763522733	0.570168847311	0.583686613651	0.633718042181	0.55514859549	0.642032807159	0.630817977321	0.626201996876	0.568050308397	0.665795432557	0.591654630023	0.613337360599	0.662873105514	0.582521173452	0.595210819023	0.645107078805	0.641494597214	0.636605459717	0.563237873154	0.629434785727	0.592994645394	0.610878557907	0.690361953636	0.626394732059	0.68939438457	0.642723990589	0.610583756793	0.615667082771	0.57454829993	0.648238221193	0.616939527822	0.612065678124	0.60518171646	0.574504944308	0.622054913531	0.594343955332	0.558939343651	0.582585616724	0.538512366076	0.552277410461	0.531742957405	0.538101263966	0.592843952077	0.552115660133	0.585734047014	0.53161966611	0.528595063844	0.594189857258	0.52413084917	0.564560770684	0.597867418689	0.560740279818	0.5735541996	0.605505096028	0.542255648872	0.559002776886	0.54261484849	0.582791309518	0.623836779386	0.55097153799	0.509946120496	0.567093639366	0.57313235003	0.621227181159	0.570348251698	0.595689072747	0.58965606987	0.595372024662	0.563354755292	0.63701818393	0.564638660016	0.571319209684	0.530580164831	0.544194161214	0.566283790472	0.534885265753	0.49476381967	0.718934839532	0.624199516162	0.650665829769	0.644901729509	0.664590549424	0.706125491143	0.610656970118	0.60345493016	0.5722230696	0.584581055366	0.657879402214	0.606661252236	0.579775968425	0.695191946995	0.560170674549	0.561517434295	0.733194511814	0.574982078327	0.561835862518	0.591112413172	0.620288726844	0.554811484942	0.596478983311	0.619280095101	0.637127556	0.607290822333	0.590752789092	0.611685406034	0.672905124134	0.587257205207	0.644788319363	0.686054614076	0.589791329866	0.601557925204	0.630574308745	0.569179052098	0.62542987032	0.620363364231	0.625777316768	0.556066961609	0.568254163581	0.564804727884	0.671648434815	0.546292492734	0.566145110109	0.574506630715	0.573794902691	0.553624439975	0.559869049636	0.564382038187	0.573905113431	0.611101546205	0.54807771045	0.552491121539	0.534267276306	0.542189050835	0.515459556879	0.563536964973	0.537405855817	0.555687328656	0.546089739425	0.541997257656	0.537956304859
CS.043	0.576012354084	0.611265549704	0	0.576811766066	0.627427192132	0.64159059838	0.580830316748	0.60305756405	0.600849397013	0.606764485424	0.560953257977	0.608340780504	0.587155458138	0.581044005881	0.615166507985	0.582352391022	0.566241845324	0.575623790459	0.612654580765	0.583031507963	0.587355451402	0.550939414974	0.571820183221	0.557606912477	0.702814682197	0.65505930952	0.548667460838	0.561287267275	0.690258570449	0.590998715603	0.562038652241	0.583858847292	0.537413975052	0.603663016392	0.603671577464	0.626122699477	0.587734119702	0.649485133895	0.552590362402	0.604635058214	0.661008719449	0.59134288251	0.611064425005	0.625010414174	0.559246824153	0.638559454043	0.602135172901	0.605057286058	0.563538026936	0.585425689758	0.658978590085	0.598770869798	0.658377859417	0.592993216834	0.578189369999	0.591796760315	0.594623401902	0.650597784411	0.595570659062	0.59168055629	0.578166306082	0.585431555334	0.629969221529	0.581426331955	0.59693990049	0.626815039104	0.569497643616	0.584960443245	0.572871523404	0.595497094516	0.5720542809	0.583733776902	0.59923658771	0.580428552707	0.600436685422	0.590690619113	0.584799333879	0.614933070144	0.638634971405	0.579057629539	0.592086913977	0.602559678583	0.60608510595	0.611095766163	0.588536365482	0.619528959618	0.645695464208	0.616859898791	0.615160651673	0.639648784264	0.570706705656	0.657552193074	0.609356429925	0.577697913374	0.583010870301	0.639762375211	0.536649405684	0.650736051783	0.540865711716	0.571463990298	0.575153632072	0.646459529642	0.588181704496	0.597258282812	0.569168860646	0.705079474977	0.580465606055	0.603168007813	0.644832900137	0.661279640202	0.673581636619	0.65061127329	0.623879792908	0.583798720349	0.59424424025	0.658259597549	0.65219459065	0.591077285573	0.665953909231	0.557594425692	0.57754829322	0.704694747844	0.556067348453	0.568030536542	0.620847538098	0.590798931761	0.594701358637	0.567850340657	0.593016433656	0.611118727464	0.555322425442	0.551782763877	0.633047943855	0.638458277806	0.613051422215	0.637528772504	0.663216338285	0.597035273823	0.592823870579	0.607504513893	0.611842338457	0.614362678631	0.622845785126	0.601966878273	0.615884723359	0.607461266268	0.601113706012	0.674215400342	0.619318423443	0.612920201705	0.61609238441	0.602013083405	0.580287403252	0.597915197669	0.595770410951	0.589734450392	0.628069358924	0.58384085919	0.600913958647	0.634238589604	0.647417765842	0.612564393844	0.636071988256	0.584288706793	0.647607188724	0.618768856705	0.601180818808	0.585065070102
CS.039	0.619454018525	0.569887821662	0.576811766066	0	0.602369784776	0.636091066038	0.627626275551	0.576027485734	0.579748429296	0.552867151904	0.589929510699	0.577164703178	0.604518715749	0.570554935068	0.568218493056	0.614448919858	0.541819882134	0.596691750534	0.623989030104	0.56864831925	0.590499063744	0.605014378352	0.553343776874	0.612717830905	0.71852832738	0.68764155087	0.566692406376	0.641826359956	0.701334551234	0.558292230488	0.580193697938	0.627333912961	0.567852318584	0.631309818651	0.629844703051	0.626306254851	0.624627004369	0.682372128268	0.583116799241	0.664345325942	0.685251946767	0.633268673928	0.603994284766	0.676308127227	0.609054806358	0.657567015485	0.574808835396	0.645972699052	0.615402173002	0.646849690559	0.669519061732	0.642941447647	0.68285612965	0.64476316859	0.635038691794	0.652399435472	0.640711301753	0.669129183683	0.638657428699	0.634320092019	0.621205030656	0.645283958118	0.660604049639	0.625461330264	0.59174376461	0.6409945103	0.60537315577	0.612912449088	0.601643739021	0.623314585366	0.619226627582	0.599538333575	0.575099058412	0.592861075755	0.613196427778	0.633434229586	0.612782221393	0.621814279114	0.645694586245	0.603895529817	0.594042136424	0.630997993713	0.624988537124	0.61106669121	0.565429406181	0.606354424317	0.631194515007	0.618596886031	0.606738324493	0.614160374427	0.520356090524	0.623566418477	0.565793394042	0.580268951832	0.583624124907	0.575941439962	0.574729492828	0.674149947274	0.550904459454	0.587459539968	0.595060155023	0.638106994416	0.573118372378	0.614766859098	0.545936640922	0.743030026051	0.64110521829	0.65718331654	0.667549124593	0.616941622305	0.682717949508	0.683894851719	0.668711634567	0.611059122742	0.569328875012	0.676243808404	0.665909909177	0.618437679613	0.690446463757	0.548793752733	0.601728189431	0.734025752339	0.580202639425	0.619642023351	0.65601482199	0.634910507759	0.605310753059	0.607426195825	0.655317480719	0.640811572338	0.567234620691	0.541305870032	0.637976015107	0.645642395615	0.584198058123	0.634074922305	0.68242520039	0.643141614314	0.638425751948	0.645905059742	0.62705440583	0.652608863894	0.631312073376	0.646281608054	0.629196227398	0.634230644324	0.621956318647	0.697268751079	0.604207909807	0.628742941503	0.634179945916	0.625343315433	0.589025586853	0.603606677084	0.618084024113	0.629141944146	0.651475737951	0.582522673955	0.581321295328	0.616116400342	0.609059680671	0.597710691319	0.619399996489	0.605870405054	0.626156113001	0.602065543265	0.619441932983	0.63801201554
CS.280	0.654303345233	0.549817575	0.627427192132	0.602369784776	0	0.508258729675	0.655014313093	0.564970967318	0.516257720939	0.526468934663	0.5188942905	0.555306792156	0.678178390329	0.491874071435	0.586600434814	0.641431316802	0.585023510485	0.578393000681	0.469102496969	0.573165029148	0.666284704389	0.511862182587	0.60535487331	0.57062765614	0.776318826047	0.757462310587	0.628366039161	0.561293073161	0.794228071276	0.632023679109	0.670300121084	0.686518119572	0.554528129687	0.704310659898	0.677191558095	0.706029949544	0.647176941288	0.712662869223	0.629496186629	0.668315097551	0.731263231311	0.545480431433	0.547864394752	0.702110579932	0.688477680879	0.689051650517	0.600981538607	0.661719424046	0.610717754627	0.621268593738	0.769965886015	0.671656590594	0.762900913484	0.655362750828	0.686220476512	0.646941198934	0.605482957557	0.714025187124	0.66990029022	0.643882235798	0.572354524775	0.581245781562	0.693552427465	0.545197110376	0.599623789067	0.657471928385	0.585981043615	0.540891680661	0.563018648345	0.482219066648	0.578885343142	0.564006684087	0.634902690612	0.471419580001	0.556692776611	0.539759039658	0.53160817472	0.476461596399	0.485307305546	0.564435077772	0.493971709438	0.508967963649	0.4997138413	0.463983642174	0.579382144818	0.452806231356	0.573070808076	0.429164856917	0.477693635112	0.453661668358	0.579906082556	0.64935691803	0.586423625843	0.650237232432	0.495306638857	0.562769236677	0.562714857254	0.702067763834	0.562269529028	0.561705667993	0.482841361174	0.53338649497	0.588412205483	0.509548550178	0.518542852975	0.769484429833	0.634156247226	0.721631983477	0.713497282386	0.748444856084	0.786993369634	0.662456554884	0.695071542771	0.506338221322	0.604880870034	0.748025288931	0.650627733316	0.651746062106	0.764782490633	0.555935866146	0.526069377314	0.788970634908	0.626050834909	0.598456186404	0.678938612717	0.685340921362	0.547670078654	0.592938306462	0.67526973762	0.672617721329	0.666855756448	0.684947815559	0.682985179559	0.755422237078	0.67791615382	0.688645749424	0.753098372429	0.63799138223	0.618084880735	0.66959556546	0.585169449734	0.672385334812	0.684852840419	0.66472178472	0.481259994081	0.529904197644	0.471674188621	0.741336787612	0.511096721741	0.606599416376	0.468897721871	0.580632245661	0.549014724262	0.585903193743	0.593417274613	0.610284068336	0.652196854494	0.526575327799	0.538112879025	0.455740873916	0.522334794575	0.523524988416	0.457050701988	0.518061260155	0.542652411111	0.432423887436	0.451949466708	0.494252711599
CS.265	0.670182211781	0.614907838503	0.64159059838	0.636091066038	0.508258729675	0	0.644710651861	0.644904601766	0.555860597127	0.557459912725	0.592688681391	0.530998669759	0.655438529118	0.481863844711	0.591206303853	0.705133703914	0.622520509589	0.620944989326	0.504200249579	0.6224552866	0.664119184034	0.541773574891	0.609153850386	0.568524907997	0.794144063097	0.773420678678	0.629652034474	0.601158910069	0.797628300748	0.660692661836	0.656820731655	0.696822014035	0.552531139558	0.712957457918	0.685554477987	0.724382770384	0.684532601052	0.730830094843	0.623203923948	0.678653483704	0.768225495058	0.571146621457	0.590726276457	0.702566775255	0.688949008475	0.700166737802	0.611196146214	0.658709843652	0.601330962779	0.591512541078	0.741235439601	0.655680617617	0.746438636878	0.65386619247	0.677836900152	0.643768481077	0.614564203431	0.723669420031	0.696249868933	0.644906815189	0.569054820681	0.609743335538	0.719287058108	0.548560396774	0.627815880713	0.701304141959	0.605491872574	0.599202384888	0.613689664449	0.563753073085	0.583785849523	0.601694198859	0.633063547985	0.540387714828	0.621610918623	0.477125696231	0.603626028347	0.491110313033	0.27422986446	0.584941031515	0.495054666716	0.524411572823	0.57614843885	0.49314930882	0.609177914785	0.539964648246	0.496057920408	0.468912651717	0.578282786782	0.502429025201	0.582547438837	0.719109511033	0.584241178575	0.641662639619	0.575195447001	0.630303817112	0.616922328671	0.750851270923	0.526054929374	0.511741759423	0.513637299664	0.614122600618	0.650916149509	0.535626561125	0.596801877806	0.772974253	0.613384904501	0.725787056164	0.728938835092	0.740291173873	0.79096705924	0.723757175436	0.720338647856	0.568820669202	0.589177803555	0.748497016191	0.733049273036	0.643066028869	0.785928617474	0.629788574857	0.541034133798	0.811513998632	0.652606925928	0.616074551369	0.716098726716	0.680688670659	0.623322019942	0.546744710971	0.665247077851	0.696908332727	0.670768326636	0.663662864014	0.72426818275	0.750826884491	0.673949482664	0.6928871714	0.753436441053	0.645779981715	0.623070762748	0.675644809833	0.615078073845	0.677284177744	0.695987241037	0.684745293575	0.530979346262	0.612122353044	0.51052594462	0.740288399448	0.592035914141	0.647299772177	0.49675472575	0.664098977304	0.614926184529	0.63593972645	0.668011649939	0.684785023821	0.693307578703	0.576030789062	0.547374016214	0.574332177008	0.638609272265	0.617240491992	0.483326994976	0.57159594321	0.642196703452	0.471312210241	0.512250764839	0.556340680986
CS.260	0.531167074658	0.621467461279	0.580830316748	0.627626275551	0.655014313093	0.644710651861	0	0.611424445388	0.611683654621	0.659603041616	0.632378520822	0.602448445345	0.596007513693	0.64730870368	0.645758504418	0.624648294338	0.619937193921	0.649834337467	0.596702289074	0.6270229512	0.563475732091	0.581277048076	0.630204438952	0.565356734692	0.637917708437	0.632318131271	0.560055449851	0.564358764699	0.66787594738	0.595560806112	0.548223909469	0.506692760779	0.590410870465	0.566759811386	0.563997530404	0.632727743391	0.57966629134	0.548901749385	0.568868383081	0.510997819574	0.619158937072	0.59841714433	0.611274157219	0.54621365826	0.568762011586	0.591001557847	0.605256689911	0.569378131911	0.521065852647	0.578573223997	0.60856775813	0.535123902101	0.621241107301	0.554434292844	0.526916011073	0.536736602979	0.583755759492	0.647996377368	0.532444453035	0.542942465755	0.558945618197	0.544911983371	0.544732112418	0.585660191619	0.605468078187	0.575453572822	0.550477869237	0.594670049109	0.582569225236	0.617453834032	0.58163212013	0.590781071499	0.590719603475	0.628770299544	0.575366695889	0.603511243168	0.578648859948	0.633217473664	0.635399346011	0.516827424567	0.616086288636	0.614138217404	0.618747984705	0.609241952201	0.63768801637	0.642617558876	0.655952939558	0.646009098502	0.613322159547	0.659737334079	0.624252523422	0.673730294405	0.60278054373	0.593148022039	0.653920030758	0.675427195555	0.62189834586	0.620327298176	0.605680199194	0.613148668724	0.597248380922	0.665685254847	0.632613634289	0.606537215707	0.610524266829	0.63361977915	0.57856744201	0.599149247698	0.633046560048	0.686577508391	0.643648998973	0.604719084126	0.554810451069	0.607522392489	0.655580463153	0.591648763464	0.622048807879	0.524733278005	0.65945858296	0.609129703139	0.565526642113	0.68947204099	0.590126704134	0.538342757866	0.650434920838	0.514035351848	0.616510182546	0.543640204776	0.547673751741	0.552501895743	0.577516835934	0.571581240713	0.609731391189	0.611692058104	0.596392235014	0.62237146505	0.616630543067	0.540837468473	0.557549657894	0.544788568389	0.559218159724	0.547630770139	0.574274137475	0.560016790122	0.663574142647	0.620662342198	0.618957307215	0.613396036904	0.601777835082	0.617085916196	0.633570357405	0.572974953956	0.603386472479	0.596806180569	0.578866318016	0.567658933388	0.564377548882	0.604543651466	0.629487665467	0.63319713624	0.651835461773	0.63192404025	0.654895262054	0.592947726278	0.639487946026	0.639427594239	0.613325477607	0.590299476357
CS.245	0.603879893231	0.560058343653	0.60305756405	0.576027485734	0.564970967318	0.644904601766	0.611424445388	0	0.526422850119	0.605477571618	0.553358586359	0.605902293406	0.665550708879	0.612081257864	0.569948762728	0.587085028924	0.568603066081	0.592567442178	0.581782027325	0.57416757326	0.629757444042	0.566269836539	0.595024496306	0.600192408031	0.705678192905	0.683820438533	0.622619683069	0.567702031402	0.714646508122	0.603003006346	0.627187731737	0.608776393383	0.600315040808	0.660241379628	0.626572589731	0.651906385477	0.569575557489	0.666950968129	0.64035849383	0.628261297061	0.667010957624	0.561645893278	0.57649850057	0.661754938583	0.619370614737	0.662755413699	0.603021431048	0.669284034588	0.613482519275	0.629379092473	0.717791189455	0.64828097387	0.705906323709	0.643079798851	0.639907119815	0.658953847016	0.599139243925	0.684159932555	0.640925224004	0.647972268561	0.602278400782	0.56754668551	0.637006675845	0.579601414179	0.586993154453	0.602804267487	0.549055992617	0.550314556322	0.54112343042	0.536555980458	0.574303939348	0.539108480197	0.620975636499	0.531805126003	0.513443350664	0.64353351145	0.541350062482	0.588663612529	0.624444590599	0.579648112843	0.55894141465	0.569095703192	0.552322473651	0.573014735452	0.592438476208	0.543701260044	0.666947028582	0.573691268297	0.535971117806	0.554693336683	0.592303794741	0.590422044873	0.585988980302	0.621278491384	0.580949777652	0.559949990857	0.602864250413	0.629783070292	0.598282231994	0.615040905601	0.539199389228	0.563357182119	0.568401831488	0.56996697783	0.535174458787	0.703032399998	0.624904785337	0.672623279545	0.64489061106	0.685037115305	0.705438675506	0.589003259334	0.629408966978	0.557109578181	0.628507877059	0.664789167594	0.603631497094	0.623583501032	0.691795451456	0.542245052625	0.574859461884	0.744128296286	0.596763902134	0.585883783485	0.586220867218	0.640248024507	0.544374522967	0.647446540252	0.622195064583	0.641722109069	0.616196127561	0.60539560157	0.613337073452	0.683498877727	0.622187941601	0.636571296825	0.727249385162	0.619479517207	0.636039918931	0.65907355061	0.587532873781	0.645149889173	0.626284132889	0.640068338588	0.581576272554	0.549394721371	0.570629594229	0.674017998252	0.552461584437	0.54615210201	0.581718840683	0.529124179642	0.52619114946	0.535073161706	0.560478540773	0.533892113095	0.61883814636	0.54141794112	0.608812889953	0.538640720879	0.497322240392	0.514737046035	0.584214780792	0.530010968929	0.531778518221	0.577621981157	0.559571715164	0.563456983781
L.036.M1	0.615996787576	0.564850121502	0.600849397013	0.579748429296	0.516257720939	0.555860597127	0.611683654621	0.526422850119	0	0.568120987664	0.542422045668	0.553871259768	0.638747101848	0.557485901687	0.588199672978	0.62491232548	0.58693286125	0.575584027841	0.553465075869	0.577664772794	0.662706407422	0.544531022408	0.597467928265	0.524983787409	0.75511860322	0.737355182227	0.617864590937	0.52998788868	0.757092177192	0.62476057302	0.627883314343	0.644682723371	0.583512629802	0.674439475343	0.670336764816	0.693782967234	0.610392893632	0.702895557865	0.609312522558	0.654566318707	0.72356204298	0.542272417082	0.526742286572	0.67817595589	0.626612369036	0.683468579879	0.6079734458	0.658677161535	0.599266858837	0.596925738003	0.709493831982	0.652646005796	0.713434337234	0.62828910804	0.661709771025	0.635974230062	0.560034780815	0.716895847591	0.650187835902	0.636153404088	0.573303536546	0.554534571263	0.653671322864	0.544372889997	0.551938829889	0.653873198598	0.544637912322	0.511843192804	0.536721393743	0.535804137921	0.555299365668	0.521625733898	0.620758819581	0.53914252299	0.544101645238	0.550812589232	0.516879836787	0.544419489896	0.526480166927	0.54085574247	0.496294106583	0.53213583887	0.51337832759	0.526718246876	0.58513067109	0.4856360988	0.636232758936	0.525034293076	0.518511345008	0.486838257697	0.592623178049	0.625110446501	0.527520530964	0.637370273797	0.564649793596	0.554653728581	0.592475157538	0.691764267007	0.564179708488	0.591114398863	0.492854289312	0.592929920271	0.595323308728	0.548666032605	0.551210330141	0.745599964195	0.597680352222	0.698566510047	0.699360693643	0.709684562773	0.761086183601	0.619454494661	0.67945648869	0.529936852254	0.627781181172	0.69831339071	0.65572655477	0.621620297277	0.771804480691	0.529931829785	0.537278333144	0.779841184931	0.628409313024	0.585991855504	0.636665318066	0.649816892307	0.573340817354	0.585396745433	0.644839229353	0.644148703444	0.644088625647	0.620539006941	0.648353361189	0.726202993109	0.642947119433	0.636096439851	0.750035629418	0.630707237971	0.626234527641	0.626736941878	0.574082733446	0.638757171951	0.633980215393	0.655887518241	0.527024370154	0.507172769001	0.527645259077	0.70615887665	0.525206511778	0.581165869308	0.511182683537	0.569814950435	0.528902186264	0.578257582603	0.551454114614	0.543943991263	0.629902054819	0.521282460504	0.574398770253	0.489533765232	0.538707107074	0.524567006214	0.504175435656	0.540515522907	0.548375896469	0.516339244908	0.509061666858	0.547286955248
CS.099	0.647807693572	0.562325588762	0.606764485424	0.552867151904	0.526468934663	0.557459912725	0.659603041616	0.605477571618	0.568120987664	0	0.553947999417	0.549945401643	0.649104034163	0.496823200064	0.55023947559	0.650991166807	0.535723332146	0.574959027329	0.564451881765	0.559946296129	0.629580033607	0.576402334033	0.546557357589	0.612605888473	0.762310358085	0.739700494553	0.589757940653	0.62308688905	0.775181108611	0.598273750705	0.629563827483	0.697131763154	0.551244960605	0.701791088695	0.691865659601	0.678788547863	0.659370161235	0.737596370123	0.615669406604	0.71067518382	0.759870738748	0.604077217103	0.587319217154	0.72308628535	0.666792671398	0.708954902525	0.606380860117	0.697967297007	0.644927917677	0.668074837711	0.744142086301	0.702583847813	0.752511289894	0.691862272234	0.689425005634	0.68014116828	0.640340622355	0.727121189185	0.686072827458	0.674331396128	0.619022401302	0.632762957057	0.720857157351	0.584069063758	0.625723540006	0.6856462262	0.613184167925	0.618110277804	0.610064009766	0.551220237224	0.599958710461	0.621412628731	0.602229690301	0.514472845165	0.581486578944	0.582690395723	0.594489444051	0.539280860485	0.576838626936	0.620970238016	0.55526137616	0.59895268797	0.570501361853	0.546602369436	0.564140647181	0.540748606318	0.556224910453	0.515873126254	0.532232318957	0.531069061278	0.532886639847	0.636526086958	0.592572033165	0.62874310945	0.53454486903	0.550085019733	0.530728841462	0.688389134099	0.520498178305	0.525681857172	0.532982363623	0.541158440459	0.54983239349	0.545136209198	0.485995529663	0.773264078584	0.643868110951	0.689907488913	0.692967647276	0.695765559767	0.763702891748	0.700609460755	0.716181561962	0.549647617029	0.546643850307	0.733997994253	0.701131406665	0.673322364039	0.752890571725	0.549316864354	0.589701622218	0.786873418888	0.603121778191	0.65203450018	0.666219160689	0.696716269582	0.559301543709	0.601709516069	0.698821845766	0.702927668087	0.62378272271	0.622548505134	0.685491673436	0.7403327616	0.630265968756	0.69532163593	0.726911899571	0.646430881411	0.64406335018	0.687139933277	0.644252844018	0.70247758175	0.702030078971	0.694346355318	0.522838897998	0.595394338363	0.539003298739	0.731142326403	0.556356185403	0.596478776344	0.534375669926	0.635440095435	0.575748137173	0.603512051571	0.636061907871	0.658941824956	0.683654037456	0.55387672997	0.544506234598	0.555895533752	0.582165186773	0.541076276267	0.524555143634	0.562759430358	0.589888248758	0.511840399758	0.547772665504	0.558505261911
