CS.001	L.005.M1	CS.281	CS.259	CS.038	L.007.M1	CS.295	L.036.M1	CS.017	CS.028	CS.091	CS.263	CS.277	L.022.M1	L.035.M1	CS.065	CS.230	CS.341	CS.117	CS.248	CS.050	CS.161	CS.171	CS.062	CS.287	CS.122	CS.072	CS.269	CS.367	CS.366	CS.125	CS.374	CS.128	CS.302	CS.203	CS.292	CS.376	CS.213	CS.126	CS.205	CS.282	CS.224	CS.236	CS.380	CS.232	CS.214	CS.147	CS.348	CS.182	CS.129	CS.359	CS.268	CS.349	CS.389	CS.385	CS.369	CS.177	CS.386	CS.166	CS.181	T.CS.042	T.CS.014	T.CS.069	T.CS.046	T.CS.072	TFS.023	T.CS.020	T.CS.076	T.CS.085	T.CS.067	T.CS.057	T.CS.059	T.CS.082	T.CS.056	T.CS.035	T.CS.131	T.CS.128	T.CS.102	T.CS.092	T.CS.159	T.CS.160	T.CS.161	T.CS.156	T.CS.106	T.CS.110	T.CS.130	T.CS.098	T.CS.167	T.CS.097	T.CS.180	CS.015	CS.238	CS.103	CS.082	CS.241	CS.110	CS.237	L.034.M1	CS.246	L.024.M1	CS.087	CS.085	CS.242	CS.356	CS.006	CS.364	CS.207	CS.346	CS.150	CS.191	CS.311	CS.188	CS.165	CS.189	CS.164	CS.336	CS.304	CS.387	CS.113	CS.187	CS.320	CS.223	CS.318	CS.080	CS.158	CS.361	CS.163	CS.152	CS.285	CS.194	CS.339	CS.112	CS.322	CS.227	CS.331	CS.270	CS.262	CS.255	CS.390	CS.253	CS.370	CS.326	CS.145	CS.393	TFS.022	T.CS.055	T.CS.066	T.CS.026	T.CS.008	T.CS.064	TFS.020	T.CS.031	TFS.025	T.CS.036	TFS.021	T.CS.061	T.CS.043	T.CS.045	T.CS.049	T.CS.152	T.CS.142	T.CS.166	T.CS.157	T.CS.109	T.CS.158	T.CS.151	T.CS.141	T.CS.095
CS.001	0	0.574830083364	0.540647869853	0.560284882463	0.673444605356	0.570178932217	0.632974915989	0.580769442227	0.590531398607	0.50859730468	0.646606278479	0.53255690364	0.557308534626	0.491503841037	0.646046385501	0.632037770884	0.71830078916	0.693767231896	0.590623375863	0.613022298041	0.64339426343	0.675707596107	0.59315493637	0.544731859817	0.621475927753	0.55058241306	0.540151228936	0.769155219342	0.763447242571	0.737905285907	0.674030764903	0.666145578132	0.603789707674	0.751380382352	0.588698324667	0.578050804428	0.681829427634	0.698115576217	0.587164375064	0.720868313458	0.678343654841	0.781933689226	0.65908129977	0.57414757783	0.508482965645	0.673709415173	0.665007533604	0.563412322756	0.592396185804	0.615491669562	0.737607201679	0.65317907594	0.611499453045	0.659374875642	0.614929477718	0.722290235907	0.714100426761	0.724581191937	0.673811957398	0.618612741016	0.51849851004	0.557815638604	0.624623363073	0.655756137216	0.538334131997	0.659466180314	0.520004644174	0.563521657109	0.585480766726	0.612729679255	0.755634924581	0.59527985664	0.590247696556	0.684154710412	0.585425731149	0.529677230233	0.486976825362	0.580900707924	0.54420792026	0.500307652679	0.502311976598	0.524641582826	0.577816977303	0.513890573342	0.524699212856	0.52531642016	0.508540370175	0.562050462492	0.539756612218	0.554636950667	0.604748749103	0.590820253969	0.541435139775	0.511853520974	0.530406374724	0.631644661562	0.626996643004	0.579029659441	0.532325036934	0.625865526517	0.633441404658	0.500663375622	0.524988322665	0.744975457408	0.546823038876	0.727202580642	0.665547643926	0.766615257341	0.580762111328	0.55448851716	0.647734114	0.717621422212	0.737094375827	0.645745114358	0.716537839635	0.634662794622	0.699237016702	0.659354097077	0.634329651574	0.636260981797	0.617347793422	0.666783206586	0.656358238529	0.593372050134	0.622501419917	0.716023683297	0.641367432177	0.527316994945	0.719799406415	0.783076124428	0.701624469625	0.631944433135	0.702464619582	0.796606999685	0.512947997101	0.666546232366	0.688906979566	0.585500288331	0.645624008961	0.739141813304	0.645448800794	0.625906094122	0.61555273439	0.670982744894	0.521624234362	0.577531245963	0.541796077957	0.753683072977	0.691342967162	0.593839307725	0.511883602289	0.608618462787	0.66109902598	0.54570337512	0.641163077382	0.666240023652	0.620593353502	0.642078099773	0.68770499249	0.582849508655	0.673635543699	0.55676545111	0.618130160211	0.508698060087	0.527751086407	0.602890441718	0.655033665118	0.540938154935
L.005.M1	0.574830083364	0	0.515456386841	0.449527879233	0.604952222972	0.390179823011	0.614815189057	0.508646658323	0.576144335769	0.591722255867	0.69964694768	0.56312738353	0.566028080476	0.55579056063	0.615322327666	0.663407608043	0.742227511095	0.680949045799	0.591693647413	0.691460113468	0.691398482127	0.715861790922	0.615764480686	0.548070652902	0.676238914972	0.554344263493	0.540971575522	0.77940550366	0.753695194655	0.731348268448	0.686516945681	0.681641501422	0.625487975842	0.74041744101	0.526836728016	0.651307222477	0.685877483267	0.702125453944	0.557980950747	0.702912691442	0.712623033209	0.763750922127	0.744792293265	0.535622026526	0.59519432061	0.685344732182	0.690471711933	0.662770196832	0.641920162799	0.638789429835	0.755347404345	0.722754640557	0.673476808581	0.704104460495	0.704842100459	0.785473788529	0.713724501397	0.735711963407	0.735598026088	0.680689374552	0.496276819486	0.568684878586	0.574711235494	0.634383400801	0.590071135525	0.55765502546	0.537724169921	0.59332970331	0.493727361141	0.511667206266	0.711653600872	0.662528905132	0.536125148273	0.6389553038	0.554658608529	0.510191439816	0.582820108496	0.467127682091	0.565819343134	0.579115151841	0.519405410017	0.568930829431	0.459476618477	0.441025011646	0.513947963627	0.506126581487	0.460195487276	0.436331858179	0.481270664274	0.586791719791	0.524220739841	0.564221027642	0.582598411405	0.601019477842	0.504683457533	0.67101029769	0.684707001766	0.572105888982	0.542594482881	0.471278020676	0.577212735983	0.58409982225	0.494078019527	0.698888779602	0.504323281988	0.751547696892	0.716417680359	0.787322618622	0.625326196061	0.484887579108	0.624527211316	0.645079439837	0.694642115662	0.674535072821	0.760165656616	0.628924779981	0.726377929425	0.627715936453	0.554234616297	0.675227797379	0.614729260928	0.693017522699	0.681181878438	0.641494378643	0.679875455723	0.70345846165	0.691526483151	0.557735864632	0.761482585962	0.750748882668	0.654273895355	0.682020850575	0.697775806925	0.792147233638	0.610825495844	0.686525249642	0.691202929228	0.643211384456	0.690025223791	0.76676564922	0.686355730364	0.65134385365	0.601397742644	0.706757760937	0.479621899557	0.512929170719	0.473383576922	0.730532675148	0.578107236944	0.507561113869	0.47710349953	0.535250406912	0.556318030343	0.582138999721	0.540659495886	0.58497637267	0.46994096677	0.557244613298	0.645037256654	0.506951699452	0.457786125003	0.484597992573	0.492204678617	0.449416991553	0.469561376123	0.431406468203	0.458748057708	0.421791601287
CS.281	0.540647869853	0.515456386841	0	0.502893569639	0.601863972872	0.517014567255	0.53817590481	0.526080565663	0.595894416907	0.531511239197	0.634975678848	0.519499027366	0.502005636684	0.549399191066	0.577607390091	0.585572122792	0.683009479574	0.636784903787	0.544665638753	0.594618746966	0.6502280998	0.655748779622	0.583496160544	0.508311110675	0.581208262235	0.530063953425	0.484813868062	0.76258726543	0.716466080748	0.708985062764	0.614844178843	0.619872513958	0.539483538976	0.696388154408	0.518311342749	0.559597073809	0.62917641436	0.672728066674	0.479982742081	0.670071021415	0.635356799366	0.736381478482	0.674562239773	0.511323394503	0.488704147231	0.602105332541	0.63778875974	0.586153119348	0.557543479366	0.569518427257	0.722814564498	0.629181951473	0.588600549428	0.620268022236	0.605235430478	0.691456744996	0.650003967038	0.666903050124	0.625348782784	0.578459489922	0.491296956338	0.541936429848	0.534203566442	0.586585985263	0.51696863314	0.517803122007	0.569193013966	0.52937763496	0.498036743607	0.506836128276	0.669956504154	0.593777925086	0.499231293437	0.613716647758	0.514736674616	0.497434735211	0.551979454657	0.533932022608	0.563754164467	0.541845740278	0.515473367116	0.54263213764	0.484731193207	0.509572196397	0.504320229033	0.489661033789	0.495486778687	0.503432549414	0.520951945406	0.539569349192	0.586052394396	0.558900637016	0.562510522933	0.523846725387	0.525435646322	0.610139754377	0.605157519671	0.562963262709	0.471120323828	0.553390833551	0.585574861691	0.518375243083	0.479221945509	0.664814491854	0.528579216282	0.690479431468	0.651648705332	0.742152256268	0.541355008058	0.468806242656	0.568075329108	0.603355262121	0.65695885384	0.619283278603	0.715414237072	0.53384364776	0.652694725728	0.562707542368	0.549426773832	0.580660130813	0.555958715701	0.610120082895	0.607008615349	0.566802495523	0.616806854221	0.635859759299	0.617434395213	0.474493278743	0.69941391238	0.714351663301	0.611268823274	0.603681459926	0.641285106824	0.751581478513	0.515835324162	0.597302265668	0.641971744798	0.573026510433	0.610116962331	0.698291150978	0.607403429633	0.572707174209	0.547231088306	0.605052566259	0.482067595512	0.529867939507	0.516068366786	0.690358821474	0.574913487532	0.501910013969	0.48776319949	0.528992603543	0.518654701106	0.561615488111	0.552647062171	0.556753711392	0.515995416652	0.553175655675	0.634194725794	0.512247025524	0.561100210543	0.482170930875	0.535016910555	0.488329398088	0.427421362438	0.517447492168	0.543441306173	0.512749965279
CS.259	0.560284882463	0.449527879233	0.502893569639	0	0.593334467656	0.424739722273	0.587847799186	0.487752169894	0.562955199547	0.543072851824	0.678726743558	0.551874851486	0.504268421284	0.548523678674	0.561121962579	0.596981102394	0.692677041512	0.642174855393	0.553419367798	0.642899481206	0.673387781194	0.694395577888	0.602637694981	0.539567531996	0.624671228653	0.541705055607	0.494303638569	0.733821941218	0.741462764273	0.700679570797	0.652660558006	0.680394144006	0.584768262467	0.708260659977	0.534160375004	0.626083822604	0.646007030729	0.670624302113	0.495321590566	0.678307828306	0.671507234407	0.753951960916	0.715249928418	0.469753210673	0.562125351538	0.635472988688	0.657005277021	0.599423693528	0.589094822333	0.598696583839	0.718882293262	0.688265691436	0.620563707102	0.649682017536	0.660916616498	0.74459764694	0.6879333355	0.715820424235	0.665184696727	0.631133769864	0.466519881813	0.523090134357	0.53283597328	0.612947349831	0.52044803816	0.539732926844	0.508309798205	0.551354873595	0.507581007395	0.49023990562	0.698387453225	0.620352804238	0.524661539518	0.619177305987	0.51368108423	0.486458949691	0.551383029911	0.513050076397	0.543594105354	0.562297324679	0.516037596823	0.547277829627	0.488980225943	0.457869816399	0.498165882429	0.473594457876	0.489747957587	0.473094839146	0.461448896021	0.585471237002	0.554888657435	0.559654750858	0.563109951163	0.557246303986	0.530888694688	0.65679625249	0.66641813033	0.572840851721	0.515664571901	0.527411454417	0.577905848068	0.551822380851	0.470631985959	0.675496017279	0.520745344902	0.71437612286	0.682719622179	0.751904769079	0.577436155229	0.461411934681	0.592012539392	0.597968136949	0.677168414363	0.643569046156	0.742731064035	0.572637078842	0.701150384379	0.566292477595	0.531848168371	0.616000022648	0.593664903197	0.633739844272	0.638019457544	0.599621348378	0.654761567805	0.662357768254	0.647604274254	0.529432725493	0.72758461425	0.731845487908	0.612832949511	0.643361837387	0.679401396401	0.776455105728	0.582954242005	0.645513768193	0.631220257338	0.613743460007	0.652326138088	0.734104648151	0.635459983023	0.617899625141	0.550554636321	0.671805190317	0.471521875104	0.519619482044	0.463650436291	0.702162720764	0.551228364421	0.475284558907	0.446846556424	0.525834676595	0.529186995337	0.558344737574	0.541131324771	0.543402707636	0.460098041644	0.522203863603	0.632475907819	0.478005637288	0.471359420064	0.505714589185	0.51703901961	0.469096254859	0.479599498093	0.435962724149	0.489515160373	0.469530958135
CS.038	0.673444605356	0.604952222972	0.601863972872	0.593334467656	0	0.608954941396	0.627774478202	0.562844029472	0.529056636734	0.613276307419	0.667419922978	0.601117501214	0.617179609531	0.671036881063	0.599471144148	0.605131225831	0.654003572904	0.689102616205	0.576372991179	0.661030143115	0.61593324186	0.645064528942	0.582368666199	0.5512601732	0.693763540024	0.561305425847	0.616477609396	0.716077794656	0.700298394329	0.692658365488	0.664624441451	0.667886428206	0.623604274623	0.699804608311	0.559526837153	0.647880252351	0.644378016819	0.647259120987	0.604022038325	0.71307370828	0.709110439488	0.727361790971	0.692224244828	0.625560050723	0.627277032589	0.641379084465	0.648355647868	0.681694081424	0.666298486257	0.621706734676	0.709503628504	0.691776302697	0.6830024052	0.665969866199	0.69073406795	0.718540965444	0.670968508571	0.689683689632	0.699967761264	0.679910419302	0.625746895385	0.659184151803	0.651676320806	0.612989666282	0.635790581538	0.614634805769	0.666977860205	0.679331070204	0.593301557505	0.579106865558	0.658094217379	0.617924933343	0.577656504225	0.573687294354	0.588533657448	0.629363016977	0.679750373278	0.623185497546	0.664569361701	0.669355206369	0.662883579358	0.66186909846	0.593131289368	0.656973071	0.625236409246	0.610498720484	0.642428649267	0.600391110286	0.617062076067	0.617116178072	0.554297736683	0.563787294469	0.608201808958	0.64229029331	0.577303333726	0.633353692525	0.642717331999	0.587356132069	0.60129251927	0.610899385332	0.513678521256	0.62554840771	0.601892678024	0.660184134078	0.552378418456	0.697966424612	0.668944361581	0.696506411851	0.646578849435	0.596764367122	0.56414662081	0.651470506156	0.615518630285	0.669250898525	0.655759885956	0.632417766667	0.683970796742	0.613526599652	0.521828177045	0.662765689562	0.643631490777	0.69464012841	0.672898123743	0.59265040114	0.620506773932	0.622936140405	0.610836862277	0.636923642873	0.684674597611	0.7254713469	0.602455719329	0.602645670735	0.684369578176	0.736159831281	0.675882631422	0.683841832175	0.64291908768	0.671428931235	0.678276907978	0.718015823226	0.658407476175	0.672465608123	0.625390690353	0.633525566314	0.64229982795	0.609807009013	0.62869902613	0.706325063604	0.578118425602	0.577889420402	0.636949472211	0.577076064037	0.600082309319	0.643356068203	0.611459476627	0.581749985932	0.594358706501	0.595695275287	0.648635331824	0.609227033845	0.564196286073	0.628072452648	0.550469752086	0.635168121496	0.619464719541	0.579503387823	0.566086657375	0.634895553445
L.007.M1	0.570178932217	0.390179823011	0.517014567255	0.424739722273	0.608954941396	0	0.609530764952	0.50576159734	0.560294875764	0.557044201103	0.689184459344	0.568990543918	0.53221635144	0.524549181203	0.588502196181	0.644586746729	0.738225195942	0.67003040676	0.590905351708	0.676783920749	0.686957715379	0.721818495638	0.630212383945	0.5522904834	0.655941072209	0.561989271637	0.496782234109	0.765914536482	0.763819935828	0.733445108465	0.681689476281	0.693614053037	0.607480373744	0.7339052004	0.553595181158	0.647782059548	0.6925308795	0.707530274403	0.526303007971	0.706082553422	0.706105937859	0.765149821763	0.758395818396	0.53259396906	0.581787033122	0.657750584023	0.683251690489	0.637548797705	0.619972490419	0.616119744053	0.748581178042	0.716186373389	0.668661341423	0.68475543604	0.684471268565	0.78246085794	0.702814232151	0.728517309175	0.715190320654	0.649374391457	0.477238194494	0.576151208177	0.560362891563	0.644527815213	0.562834630091	0.566774218289	0.494311948345	0.58078063804	0.505489115909	0.49992632092	0.721587992064	0.640875521227	0.519250356678	0.625634930035	0.541546756048	0.481578002143	0.575441313685	0.469960961659	0.56989883369	0.532126103052	0.496041354049	0.539156957152	0.466605465711	0.399727321149	0.500786584398	0.484259568371	0.483825883054	0.412530392245	0.469168007076	0.604067988855	0.532166439893	0.565187797145	0.576364508964	0.583642372233	0.510469791654	0.678061650087	0.694311366777	0.590125228343	0.543864862551	0.463497652414	0.580752783646	0.560527903129	0.496725621972	0.690196023402	0.504436781698	0.756816894385	0.68865858745	0.766329629393	0.610255332332	0.471899695588	0.615001655719	0.647282400229	0.704238310215	0.643508456876	0.763883740396	0.606476025441	0.734611165716	0.615935844951	0.550463332942	0.664315306757	0.603410016351	0.675526342108	0.676116413309	0.638914645929	0.682244511081	0.696739924732	0.701288125035	0.539361331	0.757073694419	0.755519639716	0.654790186716	0.684262007527	0.698207187851	0.796834452538	0.607843863865	0.678532079543	0.664676253032	0.632083792289	0.683621648345	0.760020822351	0.682225190734	0.632739344755	0.584283872612	0.716182195783	0.467141923938	0.507962536436	0.457678339545	0.725886382178	0.573898279435	0.493493868934	0.444375160249	0.529202791136	0.545729594426	0.554065883977	0.558585697416	0.571983377287	0.499992378041	0.54344389198	0.623841135005	0.503498008019	0.456168119419	0.489240625651	0.489198228167	0.428106593784	0.476293811267	0.411694547742	0.448949725444	0.418192586608
CS.295	0.632974915989	0.614815189057	0.53817590481	0.587847799186	0.627774478202	0.609530764952	0	0.607536270948	0.666357724927	0.642920449063	0.616757528656	0.594371280397	0.564167900018	0.671726879906	0.556216289894	0.570446246634	0.634099343897	0.596771825567	0.622714257865	0.59383340372	0.690868938207	0.606880287169	0.647017979881	0.573289697783	0.592282264285	0.642896404775	0.576117598492	0.67530868784	0.683862401103	0.634177026927	0.553982220059	0.610209560479	0.485336692635	0.645882705834	0.526765827256	0.603941553121	0.60116671583	0.613811942625	0.53101001999	0.581786742645	0.594314322536	0.702596463453	0.664083751142	0.523991531816	0.587828368386	0.549427385325	0.604779341388	0.599644328873	0.535641243652	0.589701518383	0.672786403915	0.640391984882	0.570615203993	0.577785857767	0.572953159342	0.669678400533	0.618791176935	0.683313446549	0.612533099283	0.544990018534	0.548921187666	0.601630513327	0.554439232482	0.552561497912	0.56901244183	0.541466418885	0.678253353527	0.558293864238	0.545058837305	0.544482405536	0.648469659825	0.68068580599	0.552552332879	0.654454064534	0.537537172531	0.569582444355	0.606399626214	0.632925229937	0.621648175917	0.660124179525	0.609592820679	0.631733064736	0.553609006356	0.621856736677	0.633627346343	0.546533564062	0.621980484023	0.581281503807	0.630779884803	0.608316519551	0.656439257049	0.59407982181	0.636745693387	0.615938810757	0.60498469426	0.637438131509	0.638895941093	0.603834141248	0.537261546232	0.614977655561	0.604532463323	0.611485845373	0.560176056246	0.66962280849	0.576723341342	0.650533915707	0.650554671277	0.694248532557	0.612059784361	0.579130083697	0.579872952529	0.567388703132	0.660741557974	0.646712389152	0.740507891853	0.5221852555	0.655650763506	0.521376806155	0.608000190655	0.57525325868	0.572255268087	0.55296321261	0.569258694124	0.615056433144	0.648136633514	0.585905266362	0.629630819502	0.51645236334	0.66117918082	0.689281130061	0.588420322166	0.617444944911	0.617607311378	0.732306223533	0.567485254002	0.61485757434	0.633194181817	0.593657354042	0.573256127951	0.70844205139	0.568335803528	0.599013835031	0.526581623558	0.607951419879	0.58824864003	0.580088189027	0.609927690332	0.681397849893	0.556617033089	0.560075618781	0.58423764439	0.588543277231	0.548710254667	0.637473437052	0.597506002751	0.52380765999	0.558050842365	0.603416155172	0.61633898891	0.563810268544	0.608983236836	0.545235464332	0.616255919427	0.586778581809	0.54668857981	0.582441139479	0.625469507756	0.637872348715
L.036.M1	0.580769442227	0.508646658323	0.526080565663	0.487752169894	0.562844029472	0.50576159734	0.607536270948	0	0.549750236278	0.560555423815	0.673679639508	0.553871259768	0.521625242148	0.580212677535	0.588081384812	0.59671186463	0.691546601421	0.647960465599	0.58693286125	0.645076762921	0.658544599457	0.682005985394	0.597467928265	0.557388794533	0.60412338134	0.5718169445	0.548639484441	0.75511860322	0.737355182227	0.695678125122	0.654566318707	0.670336764816	0.572094633948	0.72356204298	0.526742286572	0.609312522558	0.644682723371	0.674439475343	0.524758275464	0.702895557865	0.67817595589	0.769770300886	0.6896690477	0.542272417082	0.583512629802	0.634747537112	0.650187835902	0.596925738003	0.599266858837	0.6079734458	0.74517673575	0.670865763127	0.608172623394	0.661709771025	0.654519561402	0.709493831982	0.683468579879	0.716895847591	0.6606462127	0.636153404088	0.512401058093	0.555299365668	0.554534571263	0.573021717315	0.544372889997	0.584884445723	0.569983644442	0.573303536546	0.511305868441	0.544101645238	0.679247722219	0.628675019788	0.562634439941	0.609976278677	0.510628182428	0.509779061319	0.550812589232	0.571363890131	0.554427622285	0.581725778515	0.551218697568	0.553145561511	0.518511345008	0.515532746217	0.496294106583	0.526718246876	0.544419489896	0.49279000183	0.486838257697	0.584764757343	0.554653728581	0.592475157538	0.592623178049	0.591114398863	0.564649793596	0.637370273797	0.650076096633	0.527520530964	0.548666032605	0.592929920271	0.595323308728	0.564179708488	0.492854289312	0.691764267007	0.551210330141	0.69831339071	0.689253317995	0.771804480691	0.591624892044	0.529936852254	0.600993292161	0.619454494661	0.676166624483	0.680576612386	0.709684562773	0.579747309335	0.699360693643	0.570293443891	0.5693136858	0.621620297277	0.585991855504	0.644839229353	0.649816892307	0.628409313024	0.644088625647	0.648353361189	0.642947119433	0.537278333144	0.726202993109	0.74044821777	0.647041186964	0.620539006941	0.670737910024	0.779841184931	0.585396745433	0.638757171951	0.633980215393	0.626234527641	0.655887518241	0.750035629418	0.626736941878	0.630707237971	0.574082733446	0.636096439851	0.511182683537	0.525206511778	0.527024370154	0.70615887665	0.543943991263	0.521282460504	0.527645259077	0.528902186264	0.569814950435	0.574398770253	0.581165869308	0.551454114614	0.507172769001	0.578257582603	0.629902054819	0.540515522907	0.548375896469	0.547286955248	0.524567006214	0.516339244908	0.509061666858	0.489533765232	0.538707107074	0.504175435656
CS.017	0.590531398607	0.576144335769	0.595894416907	0.562955199547	0.529056636734	0.560294875764	0.666357724927	0.549750236278	0	0.548366756331	0.673321114691	0.563948884652	0.600309600186	0.620632819903	0.626440670599	0.613376845257	0.716384534523	0.687615627539	0.572649506087	0.656345986549	0.651055506572	0.671759867145	0.573477928677	0.542246241489	0.660485230065	0.521310177131	0.581550575019	0.750826783137	0.740258655223	0.720480257764	0.697719758912	0.664223398401	0.621781504558	0.722477341979	0.556617545876	0.616265031303	0.678211234635	0.667324729668	0.616688159801	0.706554622154	0.698515197329	0.747324431172	0.658846170682	0.60753043162	0.601261327705	0.666766157525	0.684138392878	0.644520790178	0.646849261636	0.618640819644	0.75004574791	0.688385507463	0.66574605727	0.678874460107	0.683758924307	0.730640882304	0.701796249829	0.711584821749	0.695507232658	0.666733727468	0.570117479587	0.636680065514	0.628067207509	0.647542695219	0.593659676931	0.663791522036	0.589685712447	0.642983953431	0.603396261739	0.620361654901	0.723671779755	0.610291141051	0.583210464378	0.611209904501	0.580639532339	0.599065390273	0.627807633178	0.566647259221	0.634974866921	0.611211616788	0.595449692005	0.617193817738	0.582428812103	0.585065377454	0.579751338352	0.568646051774	0.591273399322	0.561688623729	0.570667600188	0.604419841891	0.519716555685	0.566945118105	0.563194579104	0.598148545343	0.527692841086	0.619765786787	0.635249239923	0.554696606714	0.604361680555	0.607980277866	0.586749348162	0.564123531781	0.585040179589	0.692809305267	0.549883311659	0.718412956795	0.691877260437	0.737552622355	0.614972628856	0.575182357211	0.579895247806	0.693131299841	0.674319036849	0.671555972976	0.692954228618	0.663292933897	0.696984274414	0.630527951259	0.523079274711	0.655830900626	0.627000515986	0.690800986053	0.662216743628	0.607744974441	0.615457128658	0.657588347411	0.646967951573	0.58874103118	0.720722839622	0.740201270532	0.673391630047	0.60934894568	0.699390248794	0.766260678054	0.617215002737	0.676835048396	0.648155543064	0.641863662453	0.678471048035	0.741795861636	0.649764726646	0.668096661141	0.62154530346	0.649032395829	0.602182699356	0.565728936659	0.570281200017	0.726174287275	0.623557435708	0.569949757736	0.594504770108	0.571661614606	0.629441812964	0.585365020391	0.63281555338	0.62864266103	0.600419660955	0.578542765812	0.663277449773	0.599583664275	0.597032296264	0.610119176748	0.576595259544	0.570271771389	0.593350573708	0.57432779352	0.570805381951	0.56649420418
CS.028	0.50859730468	0.591722255867	0.531511239197	0.543072851824	0.613276307419	0.557044201103	0.642920449063	0.560555423815	0.548366756331	0	0.630984934821	0.543323511868	0.536734085992	0.540715986203	0.620021272553	0.618228190982	0.686616255524	0.657147345	0.517126367118	0.591174379968	0.612075322441	0.645872599995	0.549021522609	0.527151009499	0.612415518567	0.506369638921	0.501770604384	0.754560871519	0.725416983493	0.710465074902	0.656613767377	0.640737055671	0.606927981114	0.709135206552	0.594541879312	0.537114088451	0.655877670264	0.657539720186	0.56823303491	0.694094389771	0.671024243559	0.7406917472	0.664703161289	0.572436537746	0.493182710793	0.640384107395	0.648668196591	0.592296506424	0.595042279625	0.595815477922	0.711969740445	0.636903419521	0.614544521822	0.648213192697	0.623910233016	0.70046337447	0.692349204658	0.700870477755	0.653316768471	0.616322595162	0.546133028589	0.583699401771	0.588917718795	0.630656580555	0.572619908259	0.649534240988	0.550635066851	0.581983486029	0.599401085954	0.588914147593	0.706029494329	0.564402356028	0.593097118051	0.633616492105	0.577930782974	0.557845026241	0.529050914785	0.589990876857	0.568222296116	0.529572790769	0.532012488305	0.515582860809	0.575605816148	0.549263419715	0.516955295639	0.528992587413	0.532683596708	0.557746942427	0.534403020317	0.556231122404	0.577929754757	0.542925592837	0.505812837269	0.477603043409	0.531343414408	0.60108517619	0.579187416847	0.59245910861	0.532958776384	0.612954830526	0.608419352033	0.464574936739	0.53023942613	0.683250416096	0.529063272689	0.715929719761	0.658743641956	0.72559114555	0.526332675727	0.536382663683	0.590334210756	0.69860409183	0.68301582532	0.610698020954	0.661623996517	0.621898653335	0.682491089321	0.612305406569	0.576304645802	0.605500931433	0.58632381923	0.647395890817	0.642324628319	0.555475534669	0.570434005227	0.676833095256	0.594954374105	0.549274459137	0.700224025347	0.732819036974	0.672294866077	0.561316870275	0.684129902519	0.769361696256	0.539065795289	0.627301047232	0.638544212243	0.596202217834	0.64621372983	0.706458562808	0.627484386929	0.608290498367	0.609817431898	0.639306742463	0.537870298529	0.581132070601	0.551539161973	0.708938805589	0.653114537881	0.559833856062	0.541678845313	0.564673913516	0.62383323587	0.526008405139	0.627922986259	0.633240772865	0.608376112398	0.601753581558	0.645684204209	0.567588688638	0.632411310734	0.565247241007	0.574706541185	0.538300734664	0.544497264057	0.580705423426	0.610703674724	0.546384161918
