CS.357	CS.172	CS.007	CS.084	CS.244	L.005.M1	CS.043	CS.092	L.002.M1	CS.260	CS.021	CS.219	CS.037	CS.009	CS.086	CS.367	CS.117	CS.062	CS.171	CS.122	CS.076	CS.058	CS.077	CS.366	CS.155	CS.065	CS.301	CS.154	CS.073	CS.040	CS.224	CS.380	CS.041	CS.378	CS.232	CS.126	CS.236	CS.136	CS.125	CS.213	CS.205	CS.282	CS.302	CS.292	CS.375	CS.148	CS.181	CS.183	CS.129	CS.166	CS.256	CS.386	CS.147	CS.268	CS.254	CS.369	CS.323	CS.349	CS.385	CS.214	T.CS.072	T.CS.028	TFS.023	T.CS.004	T.CS.014	T.CS.085	T.CS.034	T.CS.029	T.CS.016	T.CS.058	T.CS.001	T.CS.076	T.CS.071	T.CS.089	T.CS.080	T.CS.125	T.CS.144	T.CS.132	T.CS.121	T.CS.097	T.CS.119	T.CS.118	T.CS.131	T.CS.180	T.CS.092	T.CS.129	T.CS.100	T.CS.110	T.CS.123	T.CS.153	CS.006	CS.103	CS.238	CS.242	CS.246	CS.082	CS.015	CS.356	CS.085	L.024.M1	CS.237	L.034.M1	CS.087	CS.241	CS.110	CS.191	CS.364	CS.308.0	CS.113	CS.338	CS.189	CS.151	CS.044	CS.330	CS.078	CS.212	CS.304	CS.228	CS.233	CS.187	CS.163	CS.331	CS.194	CS.152	CS.318	CS.223	CS.321	CS.320	CS.202	CS.361	CS.080	CS.339	CS.112	CS.319	CS.322	CS.326	CS.370	CS.253	CS.255	CS.390	CS.262	CS.270	CS.393	CS.145	TFS.020	T.CS.026	T.CS.055	T.CS.061	TFS.021	T.CS.008	TFS.025	TFS.027	T.CS.031	T.CS.043	TFS.022	T.CS.045	T.CS.036	T.CS.064	T.CS.066	T.CS.152	T.CS.158	T.CS.142	T.CS.109	T.CS.157	T.CS.095	T.CS.166	T.CS.151	T.CS.141
CS.357	0	0.559356759295	0.505231020386	0.594788981934	0.665139736093	0.39890484715	0.604990020467	0.587388560257	0.647882636849	0.61822096267	0.615024471791	0.607298428591	0.698689908115	0.657663264997	0.534254391523	0.724851914834	0.545821039569	0.516811222709	0.571216395849	0.52837238594	0.658687566117	0.620163279063	0.556814266748	0.72176426159	0.562950434289	0.624676258237	0.586157631979	0.761909136903	0.648315034317	0.584089437899	0.73526244565	0.521280414668	0.669822349915	0.69242509816	0.562411440525	0.500182727453	0.709467358915	0.63181466994	0.634496135053	0.667491730369	0.671592306435	0.662647240439	0.686802468271	0.617908544388	0.591302416901	0.709344884479	0.650601217526	0.762719119872	0.622556332995	0.714323462633	0.667526566011	0.715736094873	0.661172718842	0.706333363497	0.659832294968	0.76679167656	0.642269973076	0.654892624838	0.661692639237	0.637632552487	0.549007806277	0.545684026186	0.500402341537	0.543694740571	0.552395291541	0.463929007134	0.491426835936	0.626109438997	0.547889619212	0.555466713508	0.707888987841	0.576863426437	0.500794606344	0.575489403107	0.588096661434	0.498802508866	0.473977631812	0.553106416212	0.556527872753	0.487426929931	0.607187833556	0.565967956961	0.472120999217	0.559474775174	0.575836791473	0.499472251383	0.519984223825	0.521793149016	0.506713290172	0.518694696014	0.479922809653	0.573935714948	0.55265729019	0.473956343039	0.50826434403	0.577326538537	0.530398153378	0.659866127917	0.580528172667	0.482457487156	0.64440959835	0.544404891832	0.53663613758	0.498846463687	0.652670405809	0.457912196359	0.727047269509	0.687815113077	0.492650711294	0.650649428976	0.639156527084	0.592834795212	0.516278918304	0.634814646768	0.525865630001	0.624878384019	0.696398606333	0.622548649996	0.596790727504	0.625022809565	0.645604466734	0.570489421497	0.719361266187	0.520331511531	0.633985445963	0.65269741548	0.45384199136	0.595477121366	0.630981763408	0.643183890846	0.602320696805	0.604713350562	0.640222666374	0.629609573223	0.669383156278	0.611959927035	0.668644012771	0.74438501472	0.6161410873	0.658385581414	0.665798550276	0.661738411008	0.675625273821	0.562131223442	0.461611105479	0.717245670461	0.500621023751	0.540521751642	0.529780403708	0.531555742999	0.494424783919	0.467160286757	0.497042607378	0.435289888325	0.486769425608	0.523618371704	0.550062764286	0.493757518959	0.472727678043	0.471064605859	0.429241941694	0.466288339395	0.455427022059	0.486569392396	0.47318234456	0.443793784458	0.431904390748	0.461489893267
CS.172	0.559356759295	0	0.563897183599	0.541595002959	0.586074870078	0.586398479786	0.571679910528	0.557990461437	0.639429672876	0.609712426183	0.595124650627	0.553055862339	0.612249964748	0.586643651181	0.516558586973	0.676035171242	0.521235177316	0.498284319362	0.513619373284	0.506283594781	0.58562479124	0.571258209713	0.562084171239	0.691183795491	0.622758668492	0.614794464174	0.627952126383	0.706164220759	0.557431790863	0.557718309993	0.723646079202	0.610496698577	0.594283866927	0.617991478876	0.541456334083	0.581237651854	0.642707711224	0.574044507665	0.65004367078	0.643934073198	0.68016731229	0.656421076861	0.696327207378	0.589162328956	0.579211249222	0.658815536076	0.639959050731	0.698246590131	0.590176008943	0.683286212139	0.673713364983	0.689077820687	0.640799625297	0.64985509166	0.658736921109	0.687923532862	0.661528944187	0.654676975275	0.654398048907	0.635031342483	0.592180227419	0.593488313618	0.589240435378	0.593838566945	0.600982200218	0.573012489112	0.574832619043	0.58432345072	0.583778116969	0.580246877175	0.660094647331	0.632444686449	0.607469846062	0.608633381795	0.628775528179	0.572715492435	0.60146445082	0.625260058176	0.62103479592	0.591400734257	0.615785803492	0.601691080304	0.606607904991	0.553386437362	0.627704541678	0.611153575765	0.596987340632	0.576905350747	0.556202492732	0.565872327435	0.506917118132	0.557543087981	0.554135609864	0.558321575599	0.559991396246	0.544736335762	0.549137438336	0.639385135601	0.515128710231	0.585408095356	0.570553039206	0.574018875464	0.526599599824	0.576781465056	0.598581971135	0.565349767607	0.678893003052	0.592402170575	0.519317971154	0.606342811692	0.621269688846	0.614582942588	0.513741755149	0.633903733083	0.576522536975	0.638297263303	0.659838073926	0.543655325079	0.530759220567	0.622036726196	0.546491194019	0.608560799903	0.711696559684	0.593955781009	0.635846177193	0.649103427798	0.542872794291	0.619182432667	0.609350693236	0.62368115986	0.549947465411	0.611362749086	0.535602029024	0.659800216627	0.664394902586	0.606682196552	0.663617475241	0.682630239837	0.62173672142	0.646954720436	0.634268439543	0.658273762444	0.635789718036	0.616452054451	0.59194584183	0.67757068702	0.588061431436	0.600036642142	0.611659819685	0.605888037861	0.575191743065	0.58039701297	0.548778842758	0.570747848038	0.600445615074	0.56252545814	0.566797452895	0.565322425288	0.567485777567	0.578406772852	0.57576324875	0.590544566493	0.599845342429	0.545778703057	0.592031997594	0.586092441661	0.576570115419	0.577179748107
CS.007	0.505231020386	0.563897183599	0	0.584589115042	0.676538342872	0.530365088283	0.560953257977	0.585169014588	0.637414857141	0.632378520822	0.601875808908	0.598515612189	0.677832952758	0.656622153646	0.565554732811	0.741899009227	0.563402309668	0.504928923697	0.588028920439	0.536542933147	0.64140539965	0.603922054635	0.531347451399	0.717429887289	0.571356670362	0.562414384553	0.576214612261	0.755505003651	0.655085722067	0.541861068312	0.741322953341	0.514745281083	0.648220091819	0.690087169011	0.542848365897	0.501016001939	0.695452690664	0.60652465219	0.625691803084	0.65136526046	0.684155510239	0.655647334921	0.721672300385	0.571505744732	0.588339421429	0.672312285008	0.616703352446	0.728862346169	0.605629544268	0.651137000249	0.623020847051	0.680693140355	0.626326783596	0.649469552683	0.626027096836	0.727971421239	0.60792283562	0.617114720103	0.636710964559	0.604911810605	0.537081192743	0.525218118277	0.57832718604	0.547734694665	0.598189149192	0.536716287906	0.519778194929	0.612977529903	0.557233313386	0.533613114217	0.711572219453	0.576619947382	0.535044783284	0.580940685808	0.582509303642	0.53424419874	0.526810003757	0.567811461523	0.535496348145	0.533046811437	0.594771839883	0.559341243751	0.512657049702	0.584563107625	0.608677668112	0.549124707696	0.590728622958	0.538836359997	0.506647851871	0.568093343497	0.529429559267	0.568888894381	0.513028745123	0.524773465153	0.519934664006	0.577314292953	0.563218278814	0.69781230106	0.574315222843	0.551785743977	0.637114946742	0.577121229512	0.607073102699	0.479225241861	0.638289162782	0.505479000569	0.714629570505	0.671659559941	0.530066672606	0.623325731687	0.662025310487	0.591957238121	0.518028658757	0.632176840549	0.558287632618	0.631459072787	0.694594623546	0.631948665782	0.601839793763	0.599024650938	0.650674663718	0.561050387833	0.723213718306	0.518820171209	0.638356846166	0.620231805536	0.51596391915	0.563914795289	0.612385010568	0.643073301446	0.608558425232	0.62510765387	0.639670000518	0.638477794599	0.662264751486	0.628710488623	0.624850082562	0.748459047354	0.60910202022	0.611215817885	0.639897190363	0.636336881561	0.665015575722	0.532828653831	0.513313530423	0.724973671837	0.538931397269	0.54883920245	0.557862880099	0.571738839604	0.553650773511	0.515248724403	0.526599032163	0.549707025935	0.509995842719	0.566168931349	0.591500324277	0.500098085443	0.508808691294	0.516844761327	0.508980346719	0.57166113499	0.506477729019	0.561155426072	0.537464600821	0.499328627579	0.505378809821	0.55485441433
CS.084	0.594788981934	0.541595002959	0.584589115042	0	0.602531813381	0.6099048282	0.546951698055	0.499280266402	0.66592512493	0.627975458236	0.623424002569	0.501469813231	0.653404597025	0.654542103788	0.526524726848	0.732633031378	0.531609738997	0.553284175063	0.534773278675	0.515385555905	0.592089834865	0.542510390362	0.581804936724	0.740818319349	0.581631909214	0.646975647857	0.595314580587	0.754981467959	0.59677007148	0.57141463395	0.763697357741	0.572055118949	0.589116664715	0.672961459278	0.506160480301	0.595129125479	0.647880881614	0.567376407168	0.683980655451	0.67952526059	0.724500135555	0.6902974964	0.731043991296	0.569490160431	0.647502538598	0.686966340717	0.633573691732	0.719482745668	0.60291796041	0.669633656982	0.669136255634	0.698330395713	0.676552600617	0.64634578824	0.649605736007	0.701184253991	0.634459123043	0.625991060469	0.631723906979	0.680782848066	0.555368429243	0.617626604116	0.664358379371	0.626195267913	0.586399780305	0.609974036152	0.590405688358	0.576563468713	0.603420136527	0.587482996104	0.697497821876	0.598763595907	0.583649562935	0.601206974863	0.651428321548	0.62171891541	0.615520304354	0.574855615871	0.600641774651	0.578404589669	0.52536710373	0.596688824096	0.594401728424	0.539481700768	0.572323740987	0.587552781419	0.566277104399	0.561603750836	0.619905323886	0.527809465473	0.555213030262	0.54376959644	0.568822182243	0.540476812934	0.577317706889	0.486500095304	0.625111355851	0.699212608761	0.444795197456	0.635089004629	0.587137778649	0.598294703109	0.617506501665	0.566346601495	0.594200319573	0.562023676128	0.720013008021	0.652546471397	0.604524590106	0.60494357505	0.629639957168	0.611020196463	0.575072379782	0.658905914363	0.643713235255	0.713523672581	0.702586561064	0.547602227686	0.498204377879	0.642670107848	0.596922650017	0.574835194211	0.749124792842	0.56190335014	0.666654605834	0.658470370209	0.609410411058	0.62902862194	0.66903960477	0.683389969946	0.558794373231	0.670511973763	0.554057422326	0.685972940802	0.696855760825	0.622384824982	0.650973166672	0.712118241538	0.616164350806	0.663826941397	0.66410167126	0.671442616619	0.650969883678	0.620400596764	0.546366769113	0.703646801208	0.598172851204	0.632296274538	0.630612281233	0.663916724868	0.651937793673	0.612464907588	0.587047124815	0.623291115371	0.570137900911	0.615272875695	0.512705726273	0.590242180563	0.575882382483	0.588142286733	0.580878564234	0.666945802962	0.568042455588	0.594863881964	0.584767832027	0.603552411521	0.630143196237	0.643545835095
CS.244	0.665139736093	0.586074870078	0.676538342872	0.602531813381	0	0.661084268953	0.671252977628	0.606436875487	0.680331631097	0.694268911221	0.706044256688	0.626188668091	0.684526126373	0.675770646829	0.601628153429	0.736711948674	0.624513350933	0.638225973912	0.587329032759	0.566122733166	0.642982308676	0.656340332356	0.649562727958	0.75654286177	0.712136766892	0.718910118329	0.712036086419	0.743607189449	0.614588161757	0.635888495599	0.772240088393	0.69780066151	0.676026025416	0.648783586055	0.635186776856	0.69899188571	0.715727968228	0.663828655128	0.738808595499	0.729035309584	0.781858657961	0.759624060601	0.769219025338	0.673513343789	0.694202310372	0.702634830703	0.708583019877	0.740894557574	0.621132156758	0.735963649771	0.700802910591	0.707281266066	0.7161954895	0.683021974465	0.723772798833	0.73956133813	0.749643312717	0.712982009257	0.721829827605	0.717829569437	0.668791661138	0.685417832403	0.715116377894	0.690607580295	0.662224120215	0.682627314123	0.670918323851	0.630470138635	0.700283896897	0.644971360638	0.714582650379	0.693198196783	0.693333562117	0.71351095626	0.704303781219	0.649347259674	0.65069764491	0.672577099701	0.698633826409	0.631266171471	0.633335451602	0.683062317094	0.681665148664	0.60538800245	0.646814176154	0.681648080039	0.629220442054	0.631014220295	0.631686882518	0.612429558495	0.607812825098	0.629868790159	0.636586261455	0.629301778608	0.642865836815	0.626062214953	0.642101809161	0.715356863333	0.589427671337	0.635049522471	0.659267462666	0.637973158821	0.621725419759	0.651360588902	0.650505874128	0.658564822731	0.750774607524	0.689052075909	0.655067970647	0.661703283691	0.673960864776	0.697676190082	0.656999311309	0.700608288622	0.69371797772	0.725526858198	0.718195770906	0.623968486774	0.588450913274	0.695124842606	0.632986766853	0.673891681017	0.784903119674	0.680946605348	0.74412855931	0.718900128457	0.6530885924	0.691561494273	0.703267984535	0.712998997996	0.643272447345	0.729409499014	0.636912278068	0.749736603922	0.754203643787	0.685607547811	0.713252116588	0.727559821824	0.699021059071	0.714337069713	0.710914767394	0.711238916043	0.679401476596	0.720374387816	0.680982054281	0.740755688525	0.635948299579	0.710142472591	0.682997019056	0.717122485385	0.729295571418	0.697266307778	0.642451969519	0.691851219051	0.67564328206	0.673817570494	0.59085847062	0.641488116169	0.649346456054	0.664244575604	0.663050564446	0.682813836676	0.658022698504	0.618865765505	0.650844019576	0.689413597157	0.644225361824	0.642195837822
L.005.M1	0.39890484715	0.586398479786	0.530365088283	0.6099048282	0.661084268953	0	0.629870232711	0.604052280087	0.675179688168	0.642711259406	0.652132628218	0.658550689858	0.704622683587	0.691308527637	0.558236182626	0.753695194655	0.591693647413	0.548070652902	0.615764480686	0.554344263493	0.69515970119	0.654685784665	0.602266551671	0.731348268448	0.591619459299	0.663407608043	0.608924561251	0.799315225555	0.675895389471	0.617766318791	0.763750922127	0.535622026526	0.692308028819	0.708192684742	0.59519432061	0.557980950747	0.744792293265	0.675692280642	0.686516945681	0.702125453944	0.702912691442	0.712623033209	0.74041744101	0.651307222477	0.650391110156	0.70452241836	0.680689374552	0.766436870091	0.638789429835	0.735598026088	0.685941102076	0.735711963407	0.690471711933	0.722754640557	0.701113207025	0.785473788529	0.67689599835	0.673476808581	0.704842100459	0.685344732182	0.590071135525	0.573304609411	0.55765502546	0.557301401005	0.568684878586	0.493727361141	0.517154344484	0.663331239829	0.589722162061	0.56970892445	0.720483921561	0.59332970331	0.527970276964	0.591363220899	0.628238771491	0.511145165826	0.435755963209	0.540219938427	0.571195684426	0.481270664274	0.607556837466	0.582012836704	0.510191439816	0.586791719791	0.565819343134	0.519127341676	0.505624223441	0.513947963627	0.536545584177	0.521855138932	0.504323281988	0.582598411405	0.564221027642	0.494078019527	0.542594482881	0.601019477842	0.524220739841	0.698888779602	0.58409982225	0.471278020676	0.684707001766	0.572105888982	0.577212735983	0.504683457533	0.67101029769	0.484887579108	0.751547696892	0.740974434229	0.554234616297	0.683715312595	0.674535072821	0.640436177264	0.553077827232	0.667383558671	0.576893186666	0.668844443936	0.726377929425	0.650889381143	0.614566644201	0.675227797379	0.691526483151	0.610825495844	0.750748882668	0.557735864632	0.681181878438	0.693017522699	0.507640628692	0.614729260928	0.671571088424	0.70345846165	0.641494378643	0.654273895355	0.682020850575	0.678361294693	0.697775806925	0.65134385365	0.686355730364	0.76676564922	0.643211384456	0.690025223791	0.691202929228	0.686525249642	0.706757760937	0.601397742644	0.47710349953	0.730532675148	0.512929170719	0.58497637267	0.540659495886	0.578107236944	0.556318030343	0.472391318473	0.535250406912	0.46994096677	0.479621899557	0.557244613298	0.582138999721	0.507561113869	0.473383576922	0.506951699452	0.469561376123	0.457786125003	0.449416991553	0.492204678617	0.421791601287	0.484597992573	0.431406468203	0.458748057708
CS.043	0.604990020467	0.571679910528	0.560953257977	0.546951698055	0.671252977628	0.629870232711	0	0.583857028074	0.647593397859	0.580830316748	0.576012354084	0.569304883275	0.632438823575	0.598284012542	0.593038629224	0.65505930952	0.566241845324	0.562688246611	0.571820183221	0.570389455199	0.587355451402	0.548667460838	0.583031507963	0.654094619178	0.584915140885	0.573373962621	0.573959620421	0.690258570449	0.605621307005	0.575623790459	0.694162157051	0.59134288251	0.559246824153	0.626122699477	0.537413975052	0.553991775959	0.642120672698	0.562038652241	0.604635058214	0.603663016392	0.649485133895	0.625010414174	0.661008719449	0.552590362402	0.587734119702	0.653008086257	0.59168055629	0.658377859417	0.602135172901	0.631565860364	0.605057286058	0.650597784411	0.595570659062	0.626815783534	0.598770869798	0.658978590085	0.591796760315	0.611390775018	0.607713379728	0.62476684859	0.581426331955	0.584960443245	0.619585835758	0.577230508007	0.5720542809	0.594050464371	0.591019938617	0.59923658771	0.569497643616	0.593906994589	0.646557868106	0.578166306082	0.598133738627	0.578724178371	0.610541882997	0.584799333879	0.619528959618	0.638634971405	0.602559678583	0.639648784264	0.626573457121	0.579057629539	0.615038707829	0.616922901757	0.644504566978	0.611711768703	0.626171456034	0.592086913977	0.59824128601	0.610941754924	0.569168860646	0.570706705656	0.536649405684	0.575153632072	0.597258282812	0.571463990298	0.639762375211	0.650736051783	0.540865711716	0.646459529642	0.57269112897	0.609356429925	0.588181704496	0.583010870301	0.577697913374	0.583798720349	0.658259597549	0.60830316261	0.596587690922	0.600352779281	0.629293023127	0.580465606055	0.557594425692	0.59769282638	0.610367363909	0.65219459065	0.644832900137	0.579326738752	0.59424424025	0.591077285573	0.613051422215	0.567850340657	0.692429932445	0.57754829322	0.590798931761	0.593016433656	0.594701358637	0.568030536542	0.620847538098	0.633047943855	0.556067348453	0.625200933239	0.551782763877	0.611118727464	0.628754092822	0.597035273823	0.607504513893	0.663216338285	0.592823870579	0.601966878273	0.622845785126	0.614362678631	0.637528772504	0.611842338457	0.601113706012	0.674215400342	0.619318423443	0.595770410951	0.612920201705	0.589734450392	0.602013083405	0.596087468686	0.580287403252	0.607461266268	0.61609238441	0.597915197669	0.600913958647	0.58384085919	0.615884723359	0.584288706793	0.601180818808	0.647607188724	0.618768856705	0.612564393844	0.636071988256	0.585065070102	0.634238589604	0.647417765842
CS.092	0.587388560257	0.557990461437	0.585169014588	0.499280266402	0.606436875487	0.604052280087	0.583857028074	0	0.68047173481	0.639276020216	0.640860483614	0.499371645661	0.661594813841	0.650366756431	0.466458958857	0.739161660009	0.544159167526	0.520126879053	0.56644165498	0.507615889355	0.567070069444	0.571804283901	0.543284293896	0.743659506162	0.584236971779	0.642427520242	0.61371402321	0.766495402295	0.61428925207	0.572090985393	0.770399667719	0.578036983713	0.64321252036	0.676799218342	0.49515727799	0.589857323688	0.663355643246	0.591113103636	0.679071408911	0.715331856986	0.736464834272	0.697221577942	0.741403456914	0.584947725009	0.660263885471	0.685192383867	0.623345242799	0.735375067333	0.587057602609	0.677152690038	0.685248934455	0.718502326408	0.694576948337	0.650789053279	0.668657771033	0.707620483077	0.646964646825	0.626331686427	0.639650532032	0.670444852633	0.547588258962	0.603486736228	0.654704691369	0.641726114554	0.586035883882	0.597803037934	0.594093843981	0.582809873902	0.620436220204	0.598035550473	0.719316970036	0.584118538487	0.603326830998	0.624716207973	0.691289640515	0.606137089922	0.571729634501	0.508965041375	0.553673488932	0.53821584134	0.493365861124	0.590652759768	0.540047903232	0.537063803954	0.533603892009	0.548839027087	0.530357503929	0.493473077399	0.603289025383	0.484075124899	0.553460313781	0.523633132035	0.551960770128	0.52653904146	0.541748672278	0.381231409451	0.603814736337	0.720201543958	0.463482779866	0.622919932144	0.592659250223	0.593984568236	0.600879771105	0.558792700511	0.609555129019	0.563436763157	0.722267840425	0.655624653377	0.61500778455	0.610296619135	0.637626466807	0.602361589321	0.58460746904	0.660774690639	0.645958654261	0.72596893691	0.692737969413	0.588060427699	0.501828490837	0.638772323255	0.613202367315	0.566747896611	0.779107459978	0.54581125109	0.683343747902	0.665061923544	0.593493751408	0.640686665609	0.684868211098	0.693472866558	0.584937837743	0.694601478764	0.602706429179	0.678793406496	0.709915295112	0.62054539779	0.672338435479	0.721671558201	0.622330555921	0.663588797632	0.688170547681	0.675354019264	0.668899684752	0.617255196138	0.533607678267	0.731156729295	0.597739496367	0.651571936485	0.645291837008	0.703196532457	0.659787586309	0.617278145984	0.618978984255	0.620642862626	0.538721572488	0.629217257793	0.526778367554	0.575846798215	0.556482400771	0.587925061541	0.542670786413	0.649941842511	0.530421671606	0.592840224041	0.549419509684	0.590435027623	0.598338873548	0.646101910726
L.002.M1	0.647882636849	0.639429672876	0.637414857141	0.66592512493	0.680331631097	0.675179688168	0.647593397859	0.68047173481	0	0.61443040226	0.612108804234	0.640270196053	0.618600558672	0.602095557998	0.683402513134	0.669447892997	0.661632175366	0.652662355273	0.647667837545	0.66857034212	0.644254594747	0.634856585811	0.644152248707	0.647893241864	0.611268791404	0.649553647074	0.626277223934	0.684254889278	0.624199703776	0.672731926759	0.681312303302	0.632347201719	0.677281846309	0.668649384503	0.660060469605	0.624185181797	0.663653035767	0.656829641241	0.625286933451	0.624279493696	0.667111228695	0.645048195323	0.692543865418	0.631015426765	0.605227990404	0.617879589789	0.6411865235	0.642472842789	0.594674643484	0.63502583263	0.603756399223	0.56330761894	0.625095818803	0.642334312856	0.620066901835	0.689448663976	0.640632675747	0.627492753535	0.665053998903	0.641463448744	0.669606070648	0.636863936566	0.637350878653	0.644047982106	0.647108077942	0.641143381002	0.658169390575	0.645538620397	0.625308724245	0.625540681	0.637109265104	0.604581376211	0.681490016915	0.649056445337	0.600688647422	0.636424361083	0.674820468269	0.672840122591	0.673550240695	0.692216922405	0.672374040576	0.598090230991	0.647210330931	0.646575488717	0.695420166142	0.670494203113	0.673305686464	0.66264127226	0.622794005586	0.685027095685	0.654592287303	0.651376848816	0.638358458114	0.63240610701	0.658057015255	0.688988205826	0.673718068711	0.685974201292	0.652092154566	0.669342091192	0.63608688284	0.609139330676	0.669309235997	0.654705589318	0.626346308969	0.650828317329	0.66946222268	0.650760700197	0.633305799625	0.620436629492	0.658090750314	0.662039018113	0.640280221493	0.621569613263	0.640172299091	0.696565059859	0.687789556883	0.653831915132	0.673579898836	0.611172204016	0.666151586056	0.611100494056	0.66890271868	0.635711991089	0.628738905138	0.642696973786	0.670803793674	0.629006583713	0.700911555468	0.658354971808	0.625918486233	0.654380697792	0.630579140837	0.62248912794	0.624896649371	0.624420203544	0.607460599751	0.68842637361	0.59399752945	0.614996484573	0.590144173374	0.621261194884	0.664634394526	0.609350066976	0.65827828182	0.673211586848	0.642904023858	0.651429312163	0.626875937459	0.642311683672	0.638274418151	0.658316830372	0.617187138622	0.652348041924	0.662637885097	0.639474883835	0.643016220285	0.609330401046	0.656638362842	0.645188187333	0.646087781856	0.672530037508	0.674553341995	0.663003302937	0.684397602752	0.639852245717	0.642689344503	0.639871154744
CS.260	0.61822096267	0.609712426183	0.632378520822	0.627975458236	0.694268911221	0.642711259406	0.580830316748	0.639276020216	0.61443040226	0	0.531167074658	0.579155495257	0.611152043815	0.536950806256	0.659641349624	0.632318131271	0.619937193921	0.616199901071	0.630204438952	0.64413670315	0.563475732091	0.560055449851	0.6270229512	0.555085894213	0.541331243446	0.573974360651	0.530641656249	0.66787594738	0.642037130457	0.649834337467	0.660942984601	0.59841714433	0.568762011586	0.632727743391	0.590410870465	0.574418924756	0.642787042628	0.548223909469	0.510997819574	0.566759811386	0.548901749385	0.54621365826	0.619158937072	0.568868383081	0.57966629134	0.587369997801	0.542942465755	0.621241107301	0.605256689911	0.587879664153	0.569378131911	0.647996377368	0.532444453035	0.628698243067	0.535123902101	0.60856775813	0.536736602979	0.551645824872	0.548239945256	0.605064471155	0.585660191619	0.594670049109	0.58782757521	0.550026708248	0.58163212013	0.582597809829	0.619279100695	0.590719603475	0.550477869237	0.616544785124	0.56366604624	0.558945618197	0.597237194415	0.557817400268	0.594138981954	0.578648859948	0.642617558876	0.635399346011	0.614138217404	0.659737334079	0.63923130359	0.516827424567	0.613827922977	0.639167052927	0.657956889511	0.62530655374	0.658838145418	0.616086288636	0.582626152073	0.626563125632	0.610524266829	0.624252523422	0.62189834586	0.597248380922	0.606537215707	0.613148668724	0.675427195555	0.620327298176	0.605680199194	0.665685254847	0.601885963987	0.60278054373	0.632613634289	0.653920030758	0.593148022039	0.607522392489	0.591648763464	0.600762102634	0.645112638473	0.568042260964	0.599867695835	0.57856744201	0.609129703139	0.556730020879	0.612180460365	0.622048807879	0.633046560048	0.595807973547	0.655580463153	0.524733278005	0.596392235014	0.543640204776	0.591354057865	0.565526642113	0.514035351848	0.547673751741	0.616510182546	0.538342757866	0.650434920838	0.609731391189	0.590126704134	0.593827058816	0.571581240713	0.552501895743	0.531514026873	0.540837468473	0.544788568389	0.616630543067	0.557549657894	0.560016790122	0.574274137475	0.547630770139	0.62237146505	0.559218159724	0.618957307215	0.613396036904	0.601777835082	0.578866318016	0.617085916196	0.567658933388	0.572974953956	0.606427072807	0.603386472479	0.620662342198	0.633570357405	0.596806180569	0.629487665467	0.604543651466	0.663574142647	0.592947726278	0.613325477607	0.639487946026	0.639427594239	0.63192404025	0.654895262054	0.590299476357	0.63319713624	0.651835461773
