CS.021	CS.010	CS.039	CS.143	L.031.M1	CS.092	CS.243	CS.174	CS.313	L.005.M1	CS.086	CS.038	CS.091	CS.244	CS.098	CS.153	CS.040	CS.155	CS.360	CS.341	CS.066	CS.388	CS.118	CS.230	CS.365	CS.076	CS.077	CS.072	CS.171	CS.050	CS.236	CS.203	CS.126	CS.302	CS.128	CS.213	CS.282	CS.136	CS.378	CS.232	CS.041	CS.374	CS.376	CS.375	CS.125	CS.147	CS.256	CS.385	CS.181	CS.254	CS.323	CS.148	CS.395	CS.129	CS.389	CS.369	CS.268	CS.177	CS.183	CS.182	TFS.024	T.CS.038	T.CS.076	T.CS.048	T.CS.046	T.CS.057	T.CS.071	T.CS.062	T.CS.029	TFS.023	T.CS.059	T.CS.028	T.CS.025	T.CS.001	T.CS.034	T.CS.161	T.CS.132	T.CS.177	T.CS.119	T.CS.117	T.CS.144	T.CS.124	T.CS.128	T.CS.097	T.CS.112	T.CS.129	T.CS.180	T.CS.122	T.CS.111	T.CS.131	CS.006	CS.241	L.034.M1	CS.246	CS.088	L.024.M1	CS.103	CS.085	CS.356	CS.242	CS.015	CS.110	CS.082	CS.237	CS.087	CS.304	CS.387	CS.150	CS.187	CS.044	CS.207	CS.164	CS.165	CS.274	CS.151	CS.364	CS.189	CS.234	CS.078	CS.363	CS.202	CS.343	CS.322	CS.223	CS.285	CS.320	CS.080	CS.321	CS.319	CS.163	CS.152	CS.318	CS.158	CS.227	CS.361	CS.390	CS.270	CS.255	CS.393	CS.326	CS.262	CS.253	CS.145	CS.370	TFS.025	TFS.027	T.CS.043	T.CS.026	T.CS.064	T.CS.008	TFS.020	T.CS.031	T.CS.049	TFS.021	T.CS.061	T.CS.045	T.CS.055	T.CS.036	T.CS.066	T.CS.157	T.CS.142	T.CS.158	T.CS.152	T.CS.109	T.CS.166	T.CS.095	T.CS.151	T.CS.141
CS.021	0	0.697149921081	0.619454018525	0.569093861881	0.591678639482	0.640860483614	0.627430298331	0.631157243458	0.644722283651	0.652132628218	0.638858120132	0.622052923168	0.580968533127	0.706044256688	0.645163474759	0.597105813299	0.627391748006	0.560072296949	0.530266308156	0.552065574468	0.647748699024	0.652980286477	0.606819695616	0.594556260694	0.610037542965	0.578043142462	0.584974126865	0.598422975504	0.615770590697	0.65018839934	0.642304140867	0.618335848782	0.571149258636	0.582362653268	0.586573116714	0.586011405221	0.581361826243	0.556096056637	0.647843704744	0.610797576035	0.577495815264	0.574881927048	0.525609261062	0.572991464209	0.532094176665	0.55770158467	0.589083439413	0.566002368602	0.585540510191	0.575114166813	0.571073621483	0.630088339871	0.617552705526	0.624661583611	0.540717622962	0.65460099371	0.636280192071	0.623849873602	0.637184569475	0.54540483404	0.573916594638	0.645170481363	0.567350668777	0.576748803226	0.543950578669	0.607254908633	0.616109240191	0.606072496042	0.613248825604	0.610322185024	0.647463568255	0.564842191839	0.598237349865	0.582643239531	0.600366177701	0.612907753946	0.646007430655	0.654452976935	0.656531665711	0.62597529856	0.655466329579	0.63575741006	0.593740248454	0.650973563201	0.578509698048	0.6536409769	0.638063646182	0.596221476763	0.617702922346	0.636938297651	0.557381035231	0.652187158371	0.585318806827	0.609628407066	0.667744611581	0.651659711188	0.622176840054	0.592064479314	0.63483616274	0.604084494233	0.657258351914	0.586823515648	0.621246092362	0.575812929821	0.608142966288	0.671348508968	0.526117261821	0.580708187993	0.543969977464	0.56929937245	0.604449872003	0.662760529262	0.608998313938	0.584572440047	0.601338818051	0.603149804154	0.593585985564	0.617126788332	0.614393200288	0.546775466558	0.643914709466	0.557624021802	0.567411973052	0.582572194101	0.594546341044	0.55257694664	0.563424235547	0.621371230817	0.555064208697	0.570838566199	0.586780728685	0.530326181564	0.575320119532	0.652206794462	0.606501374579	0.599533188166	0.592613365268	0.547419900186	0.635467662985	0.563407249698	0.568561499512	0.659145350691	0.585323979723	0.582139917764	0.561345788536	0.597660819169	0.616201227979	0.601086405771	0.61202618972	0.590489904464	0.635275576625	0.585342102589	0.557609203962	0.607493184412	0.590481990552	0.602426088195	0.590362665147	0.617738131898	0.638834221441	0.62925814202	0.654748960879	0.617045821563	0.578433579513	0.652267572482	0.608869204399	0.672039708765	0.648137562074	0.65093298383
CS.010	0.697149921081	0	0.621258680558	0.684017469105	0.715904611939	0.672506515133	0.69096630603	0.743408357492	0.707683182188	0.744101539156	0.676649577179	0.65670454116	0.724647330267	0.623491758509	0.697642255511	0.662603216243	0.663796825723	0.736725671194	0.726420027037	0.744432165969	0.615397033191	0.759111247315	0.619612548598	0.69996231294	0.71353540723	0.638245935171	0.685061593936	0.724275321053	0.635140555939	0.597353800871	0.650635568788	0.738782518573	0.729489364671	0.746068113904	0.713894447847	0.709781505253	0.760004287707	0.644656162047	0.656238504388	0.681319612392	0.646526422808	0.704026580518	0.715322726509	0.699350273087	0.722539153965	0.721932519848	0.735538454313	0.739988401873	0.719256652158	0.717885673828	0.7546039116	0.720188347202	0.716687102438	0.662997581418	0.718776334957	0.700698312755	0.66253997807	0.72062626453	0.735871994772	0.725391906132	0.721654650311	0.700063176639	0.73041628097	0.700658154605	0.714644824743	0.732956171332	0.745125707294	0.710484659209	0.656221473187	0.751254668094	0.614896987319	0.7371708171	0.718604676924	0.713678246659	0.720810002085	0.690013532843	0.740262789299	0.73392029403	0.709251877702	0.738706261832	0.735557071454	0.687138386155	0.731981177875	0.722905758763	0.711011584921	0.746868143576	0.674775831329	0.738534694913	0.708824660385	0.749917038992	0.666550058343	0.70799522807	0.688215354581	0.716318379189	0.694268231333	0.714487374118	0.644897393736	0.649639377231	0.725482766482	0.695789887654	0.658290100556	0.660251624778	0.691480561414	0.645522176005	0.653211408262	0.686122049625	0.713786010478	0.669916933838	0.700166166131	0.673277614354	0.687337476065	0.605053155389	0.726309874495	0.744994235127	0.706588082323	0.732595270983	0.680045640664	0.682174564822	0.685463196154	0.708326103132	0.703979488699	0.740330985749	0.73990274008	0.737236627013	0.705168478982	0.712501468626	0.650056715748	0.706667188314	0.746233768818	0.628939177356	0.718668987539	0.731607822158	0.621045463225	0.757080428721	0.70345616368	0.719789980592	0.706609288239	0.718507978108	0.674930918859	0.710977709243	0.682007728795	0.709458877554	0.736178615085	0.724604595917	0.750304589753	0.736886177694	0.743444384152	0.719089503566	0.700132590961	0.738203872448	0.738354472716	0.70642163171	0.742019610812	0.706699975538	0.751142777761	0.709302552849	0.716749976876	0.690678254685	0.725899080493	0.704547181001	0.728521535125	0.739843621003	0.722258937926	0.748115100135	0.730824612613	0.739896432816	0.748393555756	0.711356257375
CS.039	0.619454018525	0.621258680558	0	0.574668128506	0.63641714578	0.567715154017	0.592749986382	0.611738922323	0.594849523993	0.618996103156	0.563448283501	0.543615562025	0.64803690025	0.614891180713	0.580104113334	0.550577020546	0.596691750534	0.638409430561	0.616047791972	0.656196374132	0.572399981599	0.69957120396	0.556281052347	0.651145943389	0.591485173884	0.590499063744	0.56864831925	0.594558398974	0.553343776874	0.589669682469	0.637429939829	0.603994284766	0.615131780952	0.685251946767	0.622162500569	0.631309818651	0.676308127227	0.580193697938	0.626306254851	0.567852318584	0.609054806358	0.629844703051	0.627333912961	0.624627004369	0.664345325942	0.638657428699	0.645972699052	0.661695952784	0.634320092019	0.642941447647	0.652399435472	0.653304043009	0.637743037642	0.574808835396	0.635038691794	0.669519061732	0.645727980622	0.657567015485	0.68285612965	0.615402173002	0.607345938271	0.616946656194	0.621205030656	0.599538333575	0.607906512485	0.672775032	0.637594848791	0.595454365861	0.575099058412	0.644279826469	0.584031447151	0.612912449088	0.616416772714	0.664326038061	0.617038138456	0.600445822715	0.645694586245	0.622422153856	0.626538286721	0.612741954972	0.606354424317	0.575109507346	0.633434229586	0.614160374427	0.582474346697	0.627449493907	0.589609138282	0.628302682881	0.602676292965	0.639552956088	0.545936640922	0.583624124907	0.565793394042	0.614766859098	0.623566418477	0.638106994416	0.520356090524	0.550904459454	0.674149947274	0.595060155023	0.575941439962	0.580268951832	0.587459539968	0.564788289409	0.573118372378	0.667549124593	0.598227200636	0.57758522994	0.618437679613	0.548793752733	0.658159180735	0.616941622305	0.638558413576	0.668711634567	0.64110521829	0.676243808404	0.646600323085	0.664406886692	0.578200520236	0.632553240828	0.65601482199	0.652816343861	0.673390833508	0.655317480719	0.645642395615	0.619642023351	0.580202639425	0.605310753059	0.640811572338	0.584198058123	0.601728189431	0.634910507759	0.567234620691	0.734025752339	0.637976015107	0.646281608054	0.652608863894	0.638425751948	0.634074922305	0.643141614314	0.631312073376	0.68242520039	0.62705440583	0.645905059742	0.625343315433	0.599017938447	0.634230644324	0.697268751079	0.582522673955	0.629141944146	0.621956318647	0.589025586853	0.651475737951	0.628742941503	0.618084024113	0.603606677084	0.604207909807	0.581321295328	0.629196227398	0.597710691319	0.626156113001	0.619441932983	0.605870405054	0.602065543265	0.63801201554	0.619399996489	0.616116400342	0.609059680671
CS.143	0.569093861881	0.684017469105	0.574668128506	0	0.559029264083	0.572305934195	0.587108232914	0.584694693717	0.560217326799	0.60738336334	0.563843937134	0.605288947404	0.59477749045	0.652949449308	0.579825351221	0.5836322787	0.590775449114	0.565967354326	0.602180326858	0.645964996562	0.613622878137	0.712775827604	0.578873659116	0.657566132675	0.577467768617	0.5866464308	0.584769614429	0.564172245	0.609404627289	0.658638974134	0.647495426172	0.600707330073	0.572440922412	0.685035377224	0.578152075919	0.643759330851	0.647320485904	0.585470116585	0.676179837869	0.554899981273	0.619968087739	0.626716135258	0.609236318858	0.608652726269	0.624732721354	0.625086494529	0.631573443297	0.621861062415	0.63257282964	0.621679407797	0.605514810165	0.675940942575	0.635709812932	0.604223414176	0.607315976456	0.684439933499	0.636832258347	0.638739508423	0.69262745573	0.59224960337	0.597145422085	0.582059556099	0.56427960364	0.566787512192	0.611931882534	0.668018901232	0.594675854066	0.564845992762	0.629440369614	0.630572714573	0.620157855942	0.598309825252	0.599649234024	0.657902452173	0.599742086345	0.587159326245	0.595079676129	0.592459806806	0.588622371902	0.595683696655	0.590503417744	0.592557411455	0.561292153833	0.600596770785	0.584556873821	0.606805365433	0.598056995794	0.567693689041	0.596244034562	0.580316636638	0.538704225787	0.568205575416	0.552814781555	0.573848275574	0.642079040353	0.611255107138	0.55224460121	0.469716208634	0.656414022342	0.558918045956	0.613372020575	0.576258521545	0.586364204813	0.592484913242	0.615632607843	0.681902218315	0.589036136935	0.566088325937	0.612095399474	0.564971520209	0.657277086301	0.660193755251	0.667619710306	0.643033461572	0.587995007644	0.676152968654	0.633109733668	0.630598306165	0.617866594199	0.630312389293	0.654794334969	0.628123749198	0.653753700682	0.612808533153	0.657668875437	0.595736931316	0.578221973394	0.59577743412	0.61096026738	0.610142036691	0.566251623708	0.61525350748	0.583650997317	0.733400099999	0.64582797245	0.632712446651	0.622025465529	0.595721656854	0.654504711957	0.623392361507	0.624936023256	0.708885957662	0.607470893604	0.608451182222	0.606461903207	0.591252171354	0.62282093762	0.689277455945	0.565169085275	0.624466484115	0.583994077303	0.595766606447	0.621304215482	0.616572747009	0.594320053734	0.613656019243	0.589885428396	0.581260407171	0.592396219901	0.606844014458	0.635306717067	0.577155158703	0.59071812923	0.5967031761	0.568942947461	0.608526341551	0.605284267555	0.62502585565
L.031.M1	0.591678639482	0.715904611939	0.63641714578	0.559029264083	0	0.507608018854	0.58990193128	0.553079632325	0.529523918906	0.599788337593	0.549326830657	0.694434872937	0.643198858229	0.657717450024	0.556366839725	0.570518788531	0.605889956161	0.517935065578	0.607569250075	0.641900967871	0.65199821361	0.727775951566	0.614125698356	0.671640420015	0.579155201083	0.61171582377	0.587787925078	0.523685477279	0.610339796877	0.66600953139	0.660309836803	0.598919146166	0.549905150049	0.695477706579	0.58799290494	0.663859799681	0.634178709882	0.598119056498	0.688207217129	0.541004993304	0.645668080201	0.62429646539	0.612397676664	0.627759379439	0.617950487844	0.637054233001	0.628997490388	0.580967101991	0.599497505674	0.605283001455	0.569604842858	0.693009489853	0.581639957505	0.596273978887	0.594473169574	0.700718599015	0.624266926623	0.67165619102	0.696950647823	0.539240374613	0.599712265947	0.499653866107	0.51811824864	0.576850703117	0.61620009606	0.712756164608	0.575069334638	0.555638182802	0.594431545677	0.624633636376	0.609857187069	0.587756190098	0.580525387084	0.692219111637	0.595048304089	0.527456184948	0.491171044937	0.520346144885	0.483798262586	0.573816862378	0.591751942622	0.5318715671	0.469779321899	0.555567485362	0.588068025712	0.531223665354	0.543045757002	0.503256891689	0.599659966719	0.521555472608	0.583661209211	0.583715368849	0.611864326653	0.528330200269	0.716845778915	0.628407235172	0.575609343217	0.526167990035	0.687883710802	0.507588013047	0.662770017004	0.637754980786	0.519300052964	0.620337923218	0.659468131932	0.677980408066	0.610027695742	0.544186212179	0.59013964895	0.623363929525	0.638179856948	0.714527354162	0.700186762478	0.658209241529	0.556741425942	0.685828223075	0.59883020199	0.630056563455	0.646504028555	0.621049007334	0.676598635382	0.628012729718	0.672630632564	0.593564658834	0.69872901162	0.586961569705	0.599003459214	0.608755587436	0.61920519999	0.626749338211	0.517715808445	0.625964995845	0.627494978631	0.7702824753	0.664728918181	0.639060949819	0.633051998095	0.568936692217	0.653214793683	0.580237507582	0.672325183015	0.701495978527	0.571908078567	0.624438547934	0.627586843343	0.620418948166	0.621834185137	0.713801010643	0.590385882025	0.667292663502	0.525536945391	0.597382281016	0.628745245278	0.643722827803	0.620288707949	0.621932941045	0.608455123005	0.543262037255	0.554071549009	0.609213032821	0.66968169574	0.508388949929	0.552338675826	0.533714892148	0.537372321605	0.5702968137	0.627246962057	0.664582789338
CS.092	0.640860483614	0.672506515133	0.567715154017	0.572305934195	0.507608018854	0	0.598092128363	0.549618780303	0.509906655239	0.604052280087	0.466458958857	0.647891260152	0.614529808564	0.606436875487	0.517620673309	0.527219563399	0.572090985393	0.584236971779	0.649067540951	0.704399721408	0.575383019824	0.747945386731	0.573011759792	0.711453806598	0.573241666718	0.567070069444	0.543284293896	0.510831025767	0.56644165498	0.618198093839	0.663355643246	0.606322550755	0.589857323688	0.741403456914	0.623567617984	0.715331856986	0.697221577942	0.591113103636	0.676799218342	0.49515727799	0.64321252036	0.659196060166	0.685802576893	0.660263885471	0.679071408911	0.694576948337	0.685248934455	0.639650532032	0.623345242799	0.668657771033	0.646964646825	0.685192383867	0.627876388492	0.587057602609	0.654730354141	0.707620483077	0.650789053279	0.695415654199	0.735375067333	0.593766486815	0.641540023639	0.520842623527	0.584118538487	0.622494547426	0.640592359344	0.727734255797	0.603326830998	0.564045190527	0.582809873902	0.654704691369	0.569391108881	0.603486736228	0.599679156664	0.719316970036	0.594093843981	0.509737254936	0.508965041375	0.540141597419	0.493365861124	0.558700686553	0.571729634501	0.501319975399	0.516823986635	0.53821584134	0.597025195633	0.548839027087	0.537063803954	0.54575648848	0.602159750448	0.540047903232	0.553460313781	0.558792700511	0.593984568236	0.541748672278	0.688460773909	0.622919932144	0.523633132035	0.463482779866	0.720201543958	0.52653904146	0.603814736337	0.609555129019	0.381231409451	0.592659250223	0.600879771105	0.692737969413	0.652993988833	0.553939682913	0.638772323255	0.58460746904	0.670734957167	0.669766315616	0.725806445239	0.707218022328	0.602361589321	0.722267840425	0.637626466807	0.662560494748	0.645958654261	0.67326568105	0.684868211098	0.704576460786	0.709915295112	0.665061923544	0.712063137004	0.640686665609	0.584937837743	0.593493751408	0.678793406496	0.613202367315	0.54581125109	0.683343747902	0.587426103903	0.789587030533	0.693472866558	0.663588797632	0.675354019264	0.622330555921	0.668899684752	0.62054539779	0.688170547681	0.721671558201	0.617255196138	0.672338435479	0.659787586309	0.617278145984	0.620642862626	0.731156729295	0.575846798215	0.703196532457	0.533607678267	0.618978984255	0.69046480528	0.645291837008	0.651571936485	0.629217257793	0.597739496367	0.526778367554	0.556482400771	0.592840224041	0.649941842511	0.542670786413	0.587925061541	0.530421671606	0.590435027623	0.549419509684	0.598338873548	0.646101910726
CS.243	0.627430298331	0.69096630603	0.592749986382	0.587108232914	0.58990193128	0.598092128363	0	0.530962155931	0.538045404498	0.516365730628	0.562701143108	0.598775112463	0.655039950554	0.612123095862	0.583308534097	0.587568553563	0.591613162741	0.595513022285	0.615104671089	0.643085726963	0.566689098258	0.713416439416	0.57920386969	0.67019557265	0.529201286673	0.635329019121	0.580721933454	0.561437537304	0.599719125418	0.629764564547	0.657047131932	0.542912905348	0.559629640345	0.694500864304	0.571135968786	0.625447844485	0.654454650526	0.623401262137	0.639396512931	0.575352334073	0.646952916119	0.615618631258	0.640106784552	0.598402562432	0.638273508263	0.623884766507	0.608155876526	0.633418741287	0.626283670897	0.636380112182	0.642733234523	0.675194154338	0.637269434615	0.582579365888	0.656541669856	0.705691835265	0.643254573517	0.637525537954	0.708805514963	0.610655685979	0.560911416644	0.582734778824	0.598680099447	0.559478361557	0.58796019276	0.674540264444	0.587109490086	0.521057529653	0.609490570784	0.586289088103	0.597573854571	0.597076001315	0.542168028597	0.661910076267	0.552129718636	0.583481668592	0.584686168182	0.553987177429	0.616491979745	0.542647039777	0.531153210578	0.532975136399	0.579986924329	0.563794652363	0.578766371904	0.561828115408	0.563193651488	0.558573786758	0.538432386351	0.54685200794	0.522095617021	0.550783467335	0.562137819331	0.537730477847	0.633639960517	0.545368199487	0.568128744849	0.575718753976	0.663489435318	0.540314872793	0.554087060257	0.609932599537	0.601957541238	0.621521582348	0.595735468957	0.661246949014	0.605669710367	0.610905043131	0.612846793325	0.563962214982	0.648045938551	0.706243647033	0.669074990381	0.657444326171	0.613250428655	0.680051907556	0.633450786381	0.66973490301	0.58667840496	0.636205311881	0.635445566936	0.627117443931	0.645131060686	0.620693771805	0.70093365714	0.585121052973	0.591199344684	0.555620647937	0.639125447227	0.622553323219	0.560020345159	0.631064070685	0.623934423368	0.757450992911	0.624836244042	0.663551260461	0.643606974715	0.624620188548	0.630045465375	0.610180199035	0.648091608909	0.701077909428	0.597832289089	0.633758092661	0.609021213907	0.55817496662	0.563200873711	0.707118682682	0.555467503602	0.613645284648	0.56137414708	0.567615889566	0.651262869606	0.571604566549	0.604731937989	0.602442324735	0.558398356328	0.567759968746	0.542969460972	0.556171179338	0.576540270579	0.539485664655	0.550337750535	0.530988553847	0.54075512242	0.547799584473	0.549393925748	0.562179754789
CS.174	0.631157243458	0.743408357492	0.611738922323	0.584694693717	0.553079632325	0.549618780303	0.530962155931	0	0.464157409882	0.433254519501	0.544354296718	0.622998542695	0.665618870705	0.671563306137	0.487263513084	0.61593989038	0.589992131872	0.533627301415	0.622061667306	0.66053366672	0.606274895205	0.720857940048	0.626717180595	0.734548796092	0.504515072218	0.684125070268	0.579408879361	0.470546321405	0.625136020705	0.701419826778	0.731071357909	0.50685441976	0.502940990295	0.729574924412	0.567276548996	0.686828375183	0.683614176905	0.649746921392	0.700516648932	0.559756856733	0.692858682342	0.669115601263	0.660822677036	0.621255789944	0.65909608374	0.660739043599	0.659248922344	0.65619451293	0.622410202247	0.648522793972	0.62139209323	0.69534638079	0.658507250444	0.614246441971	0.646393509817	0.769389582965	0.694948697645	0.675719448812	0.753503309194	0.594428052272	0.538335683427	0.528137348672	0.547807647205	0.542866474519	0.61745645432	0.715451584546	0.501809563971	0.459936539112	0.640084563305	0.539476904299	0.641276637345	0.519543636802	0.536266555262	0.722245723075	0.466827839096	0.547936364761	0.478816256269	0.475126980544	0.546729045551	0.474326217568	0.440435995135	0.509357798437	0.526608519077	0.442291171464	0.523422317298	0.455459857644	0.574713439134	0.446400900535	0.446660489247	0.449649591096	0.531452759724	0.481633528854	0.557034615162	0.496716893563	0.656226175621	0.508427058311	0.562140128837	0.566424983834	0.704762520744	0.474297965092	0.54234331063	0.675040646667	0.566213276528	0.690659303926	0.616494491122	0.724766101604	0.582609574609	0.596447294838	0.625193811954	0.534141660837	0.705399510825	0.779393964359	0.700371922167	0.66854296549	0.601034866508	0.749786410906	0.645790171699	0.683487327672	0.56760207044	0.6572856549	0.653449550088	0.648408754158	0.688717483347	0.653277533211	0.749794340802	0.592354293788	0.629677210791	0.502421451112	0.649577510924	0.683919005013	0.486823438706	0.659892268786	0.677391107818	0.801673774674	0.686914339728	0.656520993064	0.659282936316	0.595404894974	0.687562262187	0.633668147541	0.65768081003	0.757943825926	0.548137004201	0.657983866145	0.534745748019	0.481272512473	0.490277608155	0.726746000636	0.484621522746	0.566044453233	0.41584430248	0.501716738103	0.65443684389	0.546608175414	0.568423259307	0.530558024718	0.501842421242	0.550723973815	0.451117543559	0.527807631175	0.508626626581	0.429306387983	0.474453149089	0.424434679144	0.447612474918	0.419839325704	0.421678636179	0.481900689123
CS.313	0.644722283651	0.707683182188	0.594849523993	0.560217326799	0.529523918906	0.509906655239	0.538045404498	0.464157409882	0	0.46882909622	0.518120325161	0.632755214689	0.671904410655	0.621039494121	0.494381524978	0.597987903879	0.605395689474	0.543456350707	0.647239474077	0.696445030162	0.586472217767	0.718574318148	0.59208425213	0.716545608369	0.533549622821	0.649001820514	0.58441308908	0.500588584403	0.576821199844	0.655628200101	0.700617456038	0.564630661321	0.544803411308	0.739901133994	0.592316118378	0.687466091374	0.691718754956	0.634855015627	0.701442878598	0.533426395635	0.6674995311	0.670260835993	0.681835677209	0.64597125113	0.658722126859	0.67403022959	0.673698137899	0.661040140784	0.63559195288	0.66133099871	0.654950268911	0.697910802931	0.663915555852	0.59627028041	0.656232096453	0.753933956078	0.683537881184	0.698594557715	0.7599803275	0.582671170378	0.567672596528	0.528366264063	0.569339460032	0.559003340156	0.623356628054	0.707385754852	0.540638989109	0.485516361536	0.623980580336	0.577623638392	0.581471461987	0.572423040068	0.552431192042	0.709287759917	0.524486001802	0.494499793947	0.494664935282	0.491605236328	0.524933127494	0.502846644801	0.505546736846	0.483658191623	0.547376383807	0.493337576226	0.546138323034	0.508887291054	0.565104874074	0.491257673333	0.518511884306	0.499841478	0.546624774453	0.507771044761	0.565093007769	0.504593259246	0.658235369826	0.52986100434	0.560390852785	0.525880026631	0.693809934226	0.483635617193	0.564461276063	0.651061773497	0.519289022392	0.649306482988	0.604767809151	0.697775502146	0.613536926987	0.566441027221	0.635636272917	0.559116316309	0.679035518396	0.724935750116	0.70508269925	0.693102053761	0.599669722412	0.743915992572	0.638775981878	0.669654824309	0.603546222	0.659137808815	0.664969656072	0.67433403683	0.695594991012	0.667208278039	0.738746008629	0.604808406059	0.611903352758	0.540508356141	0.661713932469	0.658638772941	0.521563086615	0.660154415821	0.640434508291	0.790029320957	0.68054506525	0.666602117711	0.671558142555	0.613001909877	0.672463924333	0.615091081697	0.670708322128	0.734025716213	0.598930983647	0.67680637691	0.591909949675	0.536637777444	0.542558460426	0.72286326063	0.524168666287	0.619134021488	0.482307704799	0.546131428732	0.643153646101	0.590995133126	0.59925395294	0.573268972662	0.535203897784	0.528484620755	0.494640267241	0.524760276271	0.54990906906	0.471813178089	0.516917858569	0.435871775913	0.4828922518	0.447983560632	0.500649630805	0.550013016297
L.005.M1	0.652132628218	0.744101539156	0.618996103156	0.60738336334	0.599788337593	0.604052280087	0.516365730628	0.433254519501	0.46882909622	0	0.558236182626	0.604952222972	0.69964694768	0.661084268953	0.558717803186	0.64320099336	0.617766318791	0.591619459299	0.654216537025	0.680949045799	0.586420253924	0.703353026357	0.614748938208	0.742227511095	0.496287795191	0.69515970119	0.602266551671	0.540971575522	0.615764480686	0.691398482127	0.744792293265	0.526836728016	0.557980950747	0.74041744101	0.625487975842	0.702125453944	0.712623033209	0.675692280642	0.708192684742	0.59519432061	0.692308028819	0.681641501422	0.685877483267	0.650391110156	0.686516945681	0.690471711933	0.685941102076	0.704842100459	0.680689374552	0.701113207025	0.67689599835	0.70452241836	0.6989052353	0.638789429835	0.704104460495	0.785473788529	0.722754640557	0.713724501397	0.766436870091	0.641920162799	0.537808276725	0.603068045182	0.59332970331	0.549127105744	0.634383400801	0.711653600872	0.527970276964	0.517627524696	0.663331239829	0.55765502546	0.662528905132	0.573304609411	0.552082213636	0.720483921561	0.517154344484	0.568930829431	0.540219938427	0.507507135287	0.607556837466	0.512081381094	0.435755963209	0.511230072281	0.582820108496	0.481270664274	0.542487095493	0.519127341676	0.586791719791	0.488874684048	0.464224608733	0.510191439816	0.504323281988	0.504683457533	0.572105888982	0.542594482881	0.638883089851	0.471278020676	0.582598411405	0.58409982225	0.698888779602	0.494078019527	0.524220739841	0.67101029769	0.601019477842	0.684707001766	0.577212735983	0.726377929425	0.627715936453	0.625326196061	0.675227797379	0.553077827232	0.716417680359	0.760165656616	0.694642115662	0.696105091614	0.640436177264	0.751547696892	0.674535072821	0.706474031173	0.576893186666	0.692293813765	0.671571088424	0.666747138555	0.697775806925	0.693017522699	0.761482585962	0.614729260928	0.641494378643	0.507640628692	0.678361294693	0.691526483151	0.557735864632	0.681181878438	0.679875455723	0.792147233638	0.70345846165	0.690025223791	0.686525249642	0.643211384456	0.706757760937	0.65134385365	0.691202929228	0.76676564922	0.601397742644	0.686355730364	0.556318030343	0.472391318473	0.46994096677	0.730532675148	0.507561113869	0.578107236944	0.47710349953	0.535250406912	0.645037256654	0.540659495886	0.58497637267	0.557244613298	0.512929170719	0.582138999721	0.473383576922	0.492204678617	0.457786125003	0.469561376123	0.506951699452	0.449416991553	0.484597992573	0.421791601287	0.431406468203	0.458748057708
