L.006.M1	CS.354	CS.297	L.036.M1	CS.039	L.005.M1	CS.313	CS.059	CS.176	L.011.M1	CS.277	CS.084	CS.037	CS.357	CS.281	CS.371.1	CS.117	CS.373	CS.042	CS.290	CS.171	CS.381	CS.360	CS.301	CS.335	CS.334	CS.122	CS.050	CS.365	CS.063	CS.232	CS.041	CS.302	CS.128	CS.126	CS.125	CS.136	CS.378	CS.224	CS.213	CS.292	CS.375	CS.380	CS.236	CS.374	CS.129	CS.386	CS.183	CS.385	CS.214	CS.147	CS.181	CS.389	CS.254	CS.148	CS.395	CS.166	CS.178	CS.323	CS.177	T.CS.025	T.CS.059	T.CS.034	T.CS.019	T.CS.056	T.CS.067	T.CS.001	T.CS.085	T.CS.020	T.CS.023	T.CS.022	T.CS.052	T.CS.046	T.CS.024	T.CS.048	T.CS.161	T.CS.108	T.CS.160	T.CS.116	T.CS.129	T.CS.112	T.CS.131	T.CS.147	T.CS.105	T.CS.134	T.CS.178	T.CS.104	T.CS.098	T.CS.144	T.CS.092	CS.356	CS.087	CS.088	CS.110	CS.241	CS.006	CS.015	CS.238	CS.103	CS.246	L.034.M1	CS.085	L.024.M1	CS.242	CS.082	CS.274	CS.387	CS.358	CS.336	CS.191	CS.078	CS.345.0	CS.347.0	CS.228	CS.044	CS.234	CS.151	CS.364	CS.233	CS.363	CS.112	CS.331	CS.158	CS.285	CS.339	CS.321	CS.227	CS.194	CS.361	CS.080	CS.318	CS.202	CS.322	CS.223	CS.152	CS.253	CS.270	CS.255	CS.393	CS.262	CS.370	CS.390	CS.145	CS.326	T.CS.008	T.CS.045	TFS.022	T.CS.043	TFS.020	TFS.025	T.CS.031	TFS.027	T.CS.061	T.CS.066	T.CS.055	TFS.021	T.CS.036	T.CS.049	T.CS.026	T.CS.157	T.CS.152	T.CS.142	T.CS.166	T.CS.095	T.CS.109	T.CS.151	T.CS.158	T.CS.141
L.006.M1	0	0.597884413093	0.50837250888	0.50950449258	0.5972476572	0.526263023648	0.529930977548	0.561262619636	0.61855609335	0.558757352633	0.551858395992	0.571088093887	0.643057642387	0.546396337537	0.537754173351	0.628543968669	0.594811244598	0.610736439521	0.654866984288	0.653659793021	0.57809094338	0.553572581136	0.616621392052	0.616924634152	0.732387107444	0.667040196882	0.566257729632	0.667938963671	0.513965128223	0.685679408667	0.581900156508	0.644735391729	0.736731826899	0.601187966795	0.581686930655	0.667537762002	0.644963014206	0.682550175276	0.753623898891	0.675333799009	0.618075297364	0.6369345802	0.547064237978	0.669384259223	0.657484039625	0.602366658293	0.697189586538	0.71140913004	0.666346717418	0.665461904375	0.676163186791	0.654105412519	0.667265070164	0.668598170634	0.664907076532	0.660076927683	0.68290827518	0.596263760443	0.645951672956	0.690941107108	0.565837411478	0.608379063207	0.560151620013	0.635312475239	0.619705231162	0.58718873815	0.698141060349	0.547882172525	0.565959154519	0.754875787165	0.608390267894	0.629690125381	0.607595588837	0.592038319969	0.552537135631	0.568231533387	0.567382462355	0.563121643885	0.580435815437	0.558256158409	0.557811363674	0.53459756251	0.525949432869	0.604150184594	0.564186227859	0.528723172617	0.526504005876	0.529578059047	0.504796718598	0.571200084767	0.712206165918	0.603943301413	0.622834677635	0.617316026997	0.535511485355	0.58125099269	0.596381073521	0.581938432435	0.568132637211	0.544848622274	0.559910232991	0.546154926991	0.618471363068	0.529184580651	0.558039269075	0.686327108812	0.619589245113	0.754373295955	0.629488157712	0.536453877496	0.606285874171	0.759531950732	0.692202702338	0.598657534265	0.544824482846	0.686413038369	0.583595277276	0.70528704027	0.61044665521	0.662459409289	0.634529460237	0.57575523328	0.633354820679	0.729726951314	0.653315198067	0.537294726388	0.770694654051	0.756183137417	0.667799014615	0.605423599255	0.645842089467	0.669774346021	0.67097727701	0.662443645633	0.563623127212	0.734998702929	0.671529844301	0.610765642834	0.670021987503	0.672944901307	0.640164666762	0.674322065468	0.603070953743	0.6301028626	0.606359652416	0.599491722036	0.53915660019	0.554043591833	0.540340889819	0.609023514565	0.575993364907	0.544756245203	0.591122053997	0.548613004428	0.569037730458	0.608658049667	0.562646938903	0.650211974477	0.722144512963	0.584609158596	0.572236776728	0.57675568069	0.57681291461	0.540704601311	0.528122640414	0.551043772867	0.529474889538	0.577538327576
CS.354	0.597884413093	0	0.579387520866	0.563066948827	0.569219363523	0.608189579564	0.592695187988	0.616638827478	0.655736068777	0.591867903835	0.58956424868	0.616223790371	0.619502745273	0.573489552445	0.594514531765	0.563717722857	0.57188400525	0.634747759411	0.606616101783	0.663036264276	0.5933577676	0.626171821008	0.654289721622	0.68446557775	0.714554416531	0.698337591981	0.548551356671	0.615929114863	0.59545404682	0.648377448829	0.631419655243	0.622548580848	0.700476670249	0.613314520906	0.62123519222	0.664188001184	0.628486586621	0.62513711069	0.71441340937	0.646175577875	0.629601118785	0.610969599277	0.645404485702	0.683876270398	0.647077131395	0.596876547525	0.666030752446	0.700134616835	0.695961784704	0.639859464406	0.652611312132	0.649691031141	0.679006331474	0.669869109428	0.657563115435	0.669736590255	0.693077332071	0.648855147057	0.685100290484	0.66471286166	0.639986605996	0.611709785288	0.621726081955	0.600397344067	0.570832781429	0.588113868697	0.671295373338	0.614526239402	0.636413485007	0.717402866838	0.618013966318	0.673304943415	0.64738252418	0.604015249754	0.591588274939	0.616338497369	0.649535483329	0.656454418101	0.572235744204	0.649314358225	0.580956750393	0.630956104323	0.630752032106	0.671754112807	0.604856483179	0.638078277941	0.641981149714	0.638123361678	0.608252255044	0.66713869692	0.660598882752	0.576796328844	0.582284708394	0.626442701598	0.606679723849	0.575246591332	0.576286332233	0.6091560555	0.611858978652	0.60948733681	0.58362326001	0.607807980341	0.592529057094	0.591580368853	0.633087026233	0.675925803598	0.619524052273	0.71487548498	0.626535928981	0.607063201449	0.604020650419	0.712048522861	0.652093994388	0.58812485099	0.577660675983	0.679171549801	0.642545685567	0.699668480818	0.601406734027	0.65786127541	0.590492416385	0.646994957412	0.59506746127	0.697097928971	0.630055469344	0.587273211817	0.747124963702	0.717935496797	0.610239976353	0.60837384776	0.676523953637	0.623806567275	0.671459826888	0.669646188822	0.629603395452	0.709386524697	0.649356400935	0.640455450353	0.618719868104	0.609742909627	0.671229081184	0.663612534486	0.636266092348	0.642005181373	0.601977568725	0.609126070264	0.646441656039	0.610197420244	0.638877662758	0.623403804608	0.550190562508	0.609513652465	0.635342610559	0.616132802115	0.581757623161	0.592958020235	0.605859224523	0.640233668481	0.688903440097	0.540771212984	0.622182186948	0.5746362591	0.611697497904	0.630133929382	0.635634150854	0.580955888537	0.620005083104	0.542552361799
CS.297	0.50837250888	0.579387520866	0	0.493502158387	0.597204225516	0.420693078178	0.503896104774	0.51524445161	0.564811810345	0.535422121683	0.497046024961	0.599335585164	0.674835363372	0.419976283654	0.456483809345	0.538617712392	0.55476309004	0.581759444926	0.611409507676	0.646148179571	0.582703727906	0.52092769596	0.584028241249	0.549542896589	0.742504865329	0.685688578975	0.530372545544	0.672255797339	0.454462954129	0.707380802743	0.562559175912	0.643421220126	0.691328776735	0.556055804079	0.474225906441	0.629382453734	0.619520296508	0.696518735258	0.748484020419	0.658513010114	0.621687327516	0.588200608711	0.468301628924	0.706219436147	0.653187831722	0.591095744111	0.703311778795	0.730328110709	0.65675932153	0.615827320827	0.640423252148	0.62522144178	0.63195038549	0.646650388618	0.671715404221	0.647474767446	0.676125901031	0.56466320359	0.624108407223	0.670290809276	0.493486090058	0.636959363603	0.46565634792	0.595385672031	0.599383245118	0.441184283756	0.69623776556	0.46720656761	0.55041362756	0.720263111347	0.555420102561	0.606786406426	0.58576814614	0.497885541356	0.490687002699	0.569294738309	0.507765585117	0.514689800024	0.566430520446	0.50020685722	0.491035967385	0.481342212374	0.463768343229	0.627848149591	0.440891861697	0.491947938183	0.507812749424	0.495055866218	0.437954238073	0.567097573065	0.659768430425	0.575118328972	0.60145127061	0.63350656851	0.492339429683	0.501382704965	0.554988985322	0.549921117073	0.573163907721	0.498467871564	0.560047087073	0.564636854875	0.51238675758	0.468394313953	0.562736715163	0.631163269021	0.553047748196	0.745801882064	0.56168047043	0.430184718299	0.533560473291	0.770923911134	0.692997058174	0.634019699412	0.499642995314	0.66199100338	0.578495536189	0.713063451694	0.615748010123	0.644151707199	0.634879483911	0.578611379294	0.64385221043	0.735573689394	0.600039926215	0.449648215147	0.766698643433	0.717063238287	0.634901394302	0.596229911074	0.626530772156	0.617021652853	0.660064770987	0.625299534379	0.496317208474	0.752649757137	0.646713810949	0.599394092462	0.660815760224	0.644115332882	0.631978529724	0.649343754868	0.525358689343	0.619020629874	0.492733506789	0.489328915437	0.463552911363	0.438819072923	0.462118770498	0.499367445931	0.501922868956	0.433367431061	0.509955889234	0.470136380202	0.488232419012	0.503739117186	0.559739890909	0.60709115319	0.68555353447	0.495258398065	0.483976743749	0.449965764194	0.454952627818	0.471237142597	0.471949446114	0.429649980822	0.429976625042	0.46425536727
L.036.M1	0.50950449258	0.563066948827	0.493502158387	0	0.579748429296	0.508646658323	0.512543763495	0.536788224273	0.595263579491	0.557407994522	0.521625242148	0.600367175696	0.607796141425	0.526648541393	0.526080565663	0.556796233546	0.58693286125	0.592222750002	0.62491232548	0.670464398616	0.597467928265	0.524983787409	0.588158789069	0.597512759355	0.73095299274	0.682477644452	0.5718169445	0.658544599457	0.541905606437	0.693257236012	0.583512629802	0.626612369036	0.72356204298	0.572094633948	0.524758275464	0.654566318707	0.627883314343	0.693782967234	0.769770300886	0.674439475343	0.609312522558	0.610392893632	0.542272417082	0.6896690477	0.670336764816	0.6079734458	0.716895847591	0.713434337234	0.654519561402	0.634747537112	0.650187835902	0.636153404088	0.661709771025	0.652646005796	0.671562910401	0.624507443707	0.6606462127	0.560034780815	0.635974230062	0.683468579879	0.558201434196	0.628675019788	0.525446349306	0.595490119107	0.609976278677	0.544101645238	0.664736978168	0.511305868441	0.569983644442	0.714415121686	0.551938829889	0.605829348752	0.573021717315	0.536721393743	0.521625733898	0.553145561511	0.540927698451	0.551218697568	0.58513067109	0.522332290592	0.483427035269	0.509779061319	0.525800355849	0.636232758936	0.51337832759	0.5267594282	0.525034293076	0.544419489896	0.4856360988	0.554427622285	0.691764267007	0.595323308728	0.625110446501	0.637370273797	0.564649793596	0.551210330141	0.554653728581	0.592475157538	0.592623178049	0.548666032605	0.527520530964	0.564179708488	0.592929920271	0.492854289312	0.591114398863	0.67945648869	0.570293443891	0.745850511127	0.579747309335	0.529936852254	0.601788757332	0.761086183601	0.698566510047	0.609398810278	0.529931829785	0.687111437671	0.597680352222	0.69831339071	0.627781181172	0.636758159923	0.620539006941	0.585396745433	0.644088625647	0.726202993109	0.647041186964	0.573340817354	0.779841184931	0.74044821777	0.648353361189	0.628409313024	0.649816892307	0.636665318066	0.670737910024	0.644839229353	0.537278333144	0.750035629418	0.638757171951	0.626234527641	0.636096439851	0.633980215393	0.626736941878	0.655887518241	0.574082733446	0.630707237971	0.543943991263	0.578257582603	0.511182683537	0.507172769001	0.527645259077	0.569814950435	0.528902186264	0.507677887176	0.551454114614	0.527024370154	0.525206511778	0.581165869308	0.574398770253	0.629902054819	0.70615887665	0.524567006214	0.540515522907	0.548375896469	0.547286955248	0.504175435656	0.516339244908	0.489533765232	0.509061666858	0.538707107074
CS.039	0.5972476572	0.569219363523	0.597204225516	0.579748429296	0	0.618996103156	0.594849523993	0.589207001372	0.618580392814	0.57250866124	0.591270428499	0.552451263574	0.562123782323	0.599443791131	0.596530037683	0.614876748479	0.541819882134	0.616737788345	0.614448919858	0.660501459354	0.553343776874	0.612717830905	0.616047791972	0.645817335344	0.713146520059	0.665361423369	0.548709772036	0.589669682469	0.591485173884	0.622889652601	0.567852318584	0.609054806358	0.685251946767	0.622162500569	0.615131780952	0.664345325942	0.580193697938	0.626306254851	0.729092615695	0.631309818651	0.583116799241	0.624627004369	0.633268673928	0.637429939829	0.629844703051	0.574808835396	0.669129183683	0.68285612965	0.661695952784	0.648537695595	0.638657428699	0.634320092019	0.635038691794	0.642941447647	0.653304043009	0.637743037642	0.66786986496	0.640711301753	0.652399435472	0.657567015485	0.616416772714	0.584031447151	0.617038138456	0.621502435504	0.593902116068	0.613196427778	0.664326038061	0.605478744928	0.640082143464	0.700749128224	0.59174376461	0.647323367962	0.607906512485	0.601643739021	0.599538333575	0.600445822715	0.630471146937	0.631079012705	0.565429406181	0.627449493907	0.582474346697	0.639552956088	0.619434788303	0.631194515007	0.624988537124	0.612408276882	0.618596886031	0.621814279114	0.606354424317	0.645449337871	0.674149947274	0.573118372378	0.623566418477	0.580268951832	0.583624124907	0.545936640922	0.575941439962	0.574729492828	0.520356090524	0.614766859098	0.565793394042	0.550904459454	0.638106994416	0.595060155023	0.587459539968	0.668711634567	0.598227200636	0.709510920818	0.644592894646	0.611059122742	0.578200520236	0.682717949508	0.65718331654	0.544364133157	0.548793752733	0.664406886692	0.64110521829	0.676243808404	0.569328875012	0.632553240828	0.541305870032	0.607426195825	0.567234620691	0.645642395615	0.656399799504	0.605310753059	0.734025752339	0.720584001545	0.637976015107	0.580202639425	0.634910507759	0.65601482199	0.673390833508	0.655317480719	0.601728189431	0.68242520039	0.652608863894	0.638425751948	0.634074922305	0.631312073376	0.645905059742	0.646281608054	0.62705440583	0.643141614314	0.629141944146	0.603606677084	0.634179945916	0.634230644324	0.621956318647	0.625343315433	0.589025586853	0.599017938447	0.618084024113	0.629196227398	0.604207909807	0.628742941503	0.581321295328	0.651475737951	0.697268751079	0.597710691319	0.605870405054	0.626156113001	0.63801201554	0.619399996489	0.602065543265	0.616116400342	0.619441932983	0.609059680671
L.005.M1	0.526263023648	0.608189579564	0.420693078178	0.508646658323	0.618996103156	0	0.46882909622	0.577105425758	0.639283090522	0.557969342183	0.566028080476	0.6099048282	0.704622683587	0.39890484715	0.515456386841	0.614667746713	0.591693647413	0.64406955169	0.654833308496	0.696426182491	0.615764480686	0.593210868607	0.654216537025	0.608924561251	0.761620776188	0.731511898345	0.554344263493	0.691398482127	0.496287795191	0.748852909573	0.59519432061	0.692308028819	0.74041744101	0.625487975842	0.557980950747	0.686516945681	0.675692280642	0.708192684742	0.763750922127	0.702125453944	0.651307222477	0.650391110156	0.535622026526	0.744792293265	0.681641501422	0.638789429835	0.735711963407	0.766436870091	0.704842100459	0.685344732182	0.690471711933	0.680689374552	0.704104460495	0.701113207025	0.70452241836	0.6989052353	0.735598026088	0.622157450099	0.67689599835	0.713724501397	0.552082213636	0.662528905132	0.517154344484	0.645957400638	0.6389553038	0.511667206266	0.720483921561	0.493727361141	0.537724169921	0.763111770477	0.618684304682	0.681738554842	0.634383400801	0.564008090814	0.549127105744	0.568930829431	0.474725234737	0.519405410017	0.591605984905	0.519127341676	0.542487095493	0.510191439816	0.436469031332	0.63665130294	0.485705978929	0.533885018291	0.482714928428	0.460195487276	0.435755963209	0.565819343134	0.698888779602	0.577212735983	0.638883089851	0.67101029769	0.504683457533	0.504323281988	0.524220739841	0.564221027642	0.582598411405	0.542594482881	0.572105888982	0.58409982225	0.471278020676	0.494078019527	0.601019477842	0.696105091614	0.627715936453	0.786375944083	0.628924779981	0.484887579108	0.576893186666	0.797485168336	0.714039338831	0.650889381143	0.553077827232	0.706474031173	0.640436177264	0.751547696892	0.614566644201	0.692293813765	0.682020850575	0.610825495844	0.679875455723	0.761482585962	0.654273895355	0.507640628692	0.792147233638	0.750748882668	0.70345846165	0.641494378643	0.681181878438	0.671571088424	0.697775806925	0.693017522699	0.557735864632	0.76676564922	0.686525249642	0.643211384456	0.706757760937	0.691202929228	0.686355730364	0.690025223791	0.601397742644	0.65134385365	0.578107236944	0.557244613298	0.479621899557	0.46994096677	0.47710349953	0.556318030343	0.535250406912	0.472391318473	0.58497637267	0.473383576922	0.512929170719	0.540659495886	0.582138999721	0.645037256654	0.730532675148	0.492204678617	0.506951699452	0.457786125003	0.484597992573	0.421791601287	0.449416991553	0.431406468203	0.469561376123	0.458748057708
CS.313	0.529930977548	0.592695187988	0.503896104774	0.512543763495	0.594849523993	0.46882909622	0	0.526235558932	0.621136934878	0.524862534258	0.530464317868	0.546049058943	0.684346011832	0.470952335081	0.486374829089	0.615155598457	0.566600326684	0.598983639998	0.655765593421	0.685288932273	0.576821199844	0.572219636794	0.647239474077	0.596983117306	0.75749157889	0.711109775994	0.533221577005	0.655628200101	0.533549622821	0.703650562897	0.533426395635	0.6674995311	0.739901133994	0.592316118378	0.544803411308	0.658722126859	0.634855015627	0.701442878598	0.76374399537	0.687466091374	0.591694676492	0.64597125113	0.546801281114	0.700617456038	0.670260835993	0.59627028041	0.72116040802	0.7599803275	0.661040140784	0.667614848209	0.67403022959	0.63559195288	0.656232096453	0.66133099871	0.697910802931	0.663915555852	0.691307777702	0.605056525768	0.654950268911	0.698594557715	0.552431192042	0.581471461987	0.524486001802	0.609463377007	0.631467123919	0.550878288566	0.709287759917	0.542910203324	0.506850009999	0.743453077251	0.601697678801	0.656645967387	0.623356628054	0.570915508565	0.559003340156	0.494499793947	0.487499915534	0.479542720799	0.560864089286	0.508887291054	0.546138323034	0.499841478	0.468035313057	0.563139778779	0.521200288792	0.481293143777	0.458992309796	0.466952325047	0.505546736846	0.557138113344	0.693809934226	0.604767809151	0.658235369826	0.651061773497	0.507771044761	0.546624774453	0.564461276063	0.555225200205	0.560390852785	0.504593259246	0.565093007769	0.525880026631	0.52986100434	0.483635617193	0.519289022392	0.693102053761	0.613536926987	0.773837345756	0.597076176144	0.498577624028	0.603546222	0.778677596866	0.694427542231	0.618926740753	0.559116316309	0.669654824309	0.599669722412	0.743915992572	0.555822729391	0.659137808815	0.65846271487	0.551645181564	0.640434508291	0.738746008629	0.669707524702	0.540508356141	0.790029320957	0.759833138129	0.68054506525	0.611903352758	0.660154415821	0.664969656072	0.695594991012	0.667208278039	0.521563086615	0.734025716213	0.671558142555	0.613001909877	0.672463924333	0.670708322128	0.67680637691	0.666602117711	0.598930983647	0.615091081697	0.619134021488	0.573268972662	0.483453173245	0.542558460426	0.482307704799	0.591909949675	0.546131428732	0.536637777444	0.59925395294	0.494640267241	0.535203897784	0.590995133126	0.528484620755	0.643153646101	0.72286326063	0.524760276271	0.516917858569	0.54990906906	0.4828922518	0.447983560632	0.435871775913	0.500649630805	0.471813178089	0.550013016297
CS.059	0.561262619636	0.616638827478	0.51524445161	0.536788224273	0.589207001372	0.577105425758	0.526235558932	0	0.591689325897	0.567985298779	0.542391593562	0.554901166008	0.637241906342	0.535131108519	0.510189900255	0.601556381933	0.564045187428	0.579125156365	0.59131133256	0.653932033722	0.600772688973	0.548597391059	0.596574287677	0.568699673882	0.734199065416	0.67394597357	0.559642898497	0.656434897397	0.550931853578	0.680645392587	0.5284020539	0.602267845615	0.703566971259	0.572651544857	0.512427333946	0.644097621319	0.594918465402	0.689326524847	0.762361002302	0.665160990297	0.564795347437	0.603599606579	0.529057161288	0.673941669486	0.628493573134	0.599875445983	0.692267726204	0.727110530148	0.622994555675	0.630209420931	0.644885668862	0.627266434298	0.619871269081	0.62828319214	0.665822154865	0.609119911478	0.65535170189	0.576885990475	0.612370472843	0.661872707331	0.534043122117	0.622427553798	0.532757730966	0.600912973257	0.631645454284	0.53605748402	0.676118729573	0.55242010591	0.550950853073	0.727695609913	0.575390819201	0.596117909297	0.600509249383	0.551714417692	0.538971801877	0.565933726563	0.553220454485	0.557575293983	0.611718695343	0.535159567403	0.577803829972	0.537749916959	0.520976568233	0.584038316863	0.535071646075	0.517643710214	0.545587600904	0.570566023421	0.54103576111	0.59043052875	0.696759417007	0.635012887685	0.654375962989	0.626909409802	0.516263265039	0.569877140586	0.602466937235	0.567384857861	0.566943748936	0.561438881177	0.58261036584	0.530002999271	0.603961831598	0.521450460472	0.550280737438	0.660898145443	0.574079311395	0.749532196714	0.579409069019	0.499986639117	0.576906943952	0.741559593275	0.662961102686	0.619069185021	0.540484183727	0.659289947591	0.578872129676	0.712933421961	0.572682309297	0.637048550173	0.611985549693	0.556242656377	0.628278934588	0.701856700113	0.640667692501	0.572118138828	0.776279207402	0.740649872937	0.653906274611	0.575371028173	0.639796679328	0.647703533769	0.656316211251	0.633919255061	0.51168339587	0.729270093909	0.63662039723	0.601398546993	0.654172991431	0.639948942412	0.629577172251	0.639936114628	0.569725976281	0.633073825766	0.58162999008	0.554453875112	0.512940270048	0.567050171211	0.507874047581	0.576166613791	0.526842567857	0.529047311878	0.58440323999	0.543034730956	0.576174634048	0.568506711395	0.557046336626	0.641903318051	0.691061615333	0.583598930259	0.50965036615	0.593705313432	0.541873259673	0.54658154376	0.538357512789	0.562676589795	0.514870300375	0.59043684735
CS.176	0.61855609335	0.655736068777	0.564811810345	0.595263579491	0.618580392814	0.639283090522	0.621136934878	0.591689325897	0	0.562180366219	0.577794609573	0.614464033251	0.640394286823	0.591179460755	0.574491447101	0.584271771252	0.608562749667	0.568400266334	0.590634562697	0.579852966092	0.595748806427	0.534077239942	0.552690184212	0.532823539879	0.706737517316	0.603418900184	0.621371532466	0.683847466384	0.55289101738	0.615074778101	0.577509430928	0.616182395763	0.656333489588	0.521197464821	0.52032531896	0.576773681589	0.561879331367	0.689550781244	0.69910548119	0.626805424677	0.575439320352	0.541682909639	0.580833019238	0.646137465088	0.591092001491	0.606336378299	0.682685991432	0.643401647924	0.520005757187	0.563848325139	0.601183682989	0.573872789941	0.5888312158	0.540245943934	0.658042634182	0.555828692828	0.621384222216	0.596783770111	0.523780408522	0.634671206313	0.548723258224	0.661759232044	0.565389922503	0.62183281376	0.662368955844	0.578959333611	0.673112637043	0.564660161398	0.65416430917	0.70159387674	0.558250542284	0.601103430602	0.589644667111	0.524515390448	0.585019475529	0.630242128252	0.630998652612	0.624390206406	0.623052739923	0.60258723837	0.571788301528	0.560003711866	0.630066475693	0.658493673336	0.591732440333	0.593401361642	0.59773809612	0.625663844204	0.615062480201	0.6135927802	0.66340510581	0.61280732567	0.65500374691	0.620025202428	0.602472060663	0.578935189087	0.645265271163	0.586402626764	0.577222123054	0.555432931245	0.59947753294	0.597233423149	0.666178011488	0.569393940022	0.569922684816	0.60684077719	0.532268958835	0.690649047224	0.586859535419	0.590575722974	0.60109079879	0.695384102202	0.634296666673	0.543545855206	0.544668715962	0.662333175706	0.550554946776	0.636535260367	0.635460330638	0.589709961099	0.612091406155	0.533966082647	0.595397047232	0.628075019517	0.634621726045	0.554338031054	0.698006980674	0.691599177451	0.591303029721	0.596751428157	0.57601795535	0.638297364439	0.605454790067	0.561962622688	0.505557579782	0.70470994705	0.617122875556	0.546945519018	0.577497790174	0.639637939046	0.547244156585	0.588988503485	0.485874913979	0.594967079581	0.571119507646	0.578160126482	0.590030963742	0.590103258723	0.592570374072	0.561197858264	0.594747683409	0.575808057311	0.562225618837	0.609777949623	0.605703310503	0.628477421267	0.620960228981	0.630866248846	0.703677228806	0.64494853825	0.575013517629	0.651023511989	0.553291172013	0.641585231197	0.610697844997	0.613573262546	0.559038698606	0.648425564441
L.011.M1	0.558757352633	0.591867903835	0.535422121683	0.557407994522	0.57250866124	0.557969342183	0.524862534258	0.567985298779	0.562180366219	0	0.553061959618	0.589505965104	0.620729200296	0.525609836996	0.529228227708	0.58145275677	0.572500328445	0.574852086047	0.601776143936	0.622563349697	0.598823593453	0.56246498923	0.604762932495	0.59119451107	0.727940873422	0.673746194264	0.555148304421	0.649964284096	0.522910166412	0.662447468165	0.575735591339	0.637035745726	0.706200452729	0.545348714909	0.552947392621	0.608048133486	0.603243593865	0.663222928449	0.743057912451	0.652469410487	0.599678016148	0.594840166903	0.538804515019	0.662444703589	0.630053133342	0.574481774044	0.674446072909	0.722526637025	0.605058088593	0.630109394047	0.614106937009	0.604757228526	0.6325720389	0.612791627984	0.671120911291	0.640414010088	0.66351892512	0.607194354674	0.598803870453	0.644660705363	0.53677798268	0.611244129934	0.526003236099	0.588290546616	0.631219407178	0.535164025349	0.667757458296	0.537018200595	0.607306859824	0.725126607773	0.553870023305	0.629191641126	0.585745951357	0.548483815859	0.560943850678	0.587235095922	0.558376221156	0.542602854781	0.594492531308	0.572005275252	0.500139781225	0.516618572419	0.552287886587	0.621138785496	0.538848551459	0.53513671689	0.546442951545	0.56090026771	0.556206966745	0.587828561714	0.659959225341	0.595770286554	0.627452877839	0.633132630708	0.52334781628	0.510871396655	0.570821073325	0.563951096746	0.570927537857	0.526297869501	0.550525132271	0.573102356049	0.573718910253	0.527157132672	0.573934387941	0.646980239977	0.567686831182	0.721443911763	0.58774703606	0.560255554707	0.560609834652	0.741817406075	0.66153031843	0.613212562074	0.532567879374	0.661868612535	0.605059292134	0.691171953461	0.609415618775	0.628613881165	0.610672221374	0.56277706058	0.627791590479	0.686614001999	0.622975591238	0.529241419778	0.747300513445	0.716796302117	0.611656071137	0.582284946899	0.611988605332	0.639965119695	0.657533497019	0.611032687177	0.520725184805	0.727447416651	0.631098987612	0.59308636473	0.638177137999	0.620981770163	0.625863132464	0.6119968543	0.534089740892	0.595876864274	0.575889051779	0.579158076987	0.538737228948	0.574471415602	0.537390651423	0.564268674148	0.565848854384	0.525852468982	0.565804478862	0.545817175949	0.549572459152	0.564696470067	0.605508970774	0.623438330643	0.697027832768	0.553027448413	0.54802101018	0.588226520099	0.522049317439	0.556760258447	0.521722690412	0.540374973543	0.510684599643	0.57314811745
