CS.244	CS.002	CS.245	CS.101	L.007.M1	CS.094	CS.009	CS.039	CS.059	CS.037	CS.028	CS.099	L.001.M1	CS.001	CS.257	CS.287	CS.117	CS.327	CS.248	CS.118	CS.335	CS.067	CS.360	CS.072	CS.382	CS.073	CS.305	CS.381	CS.365	CS.042	CS.213	CS.203	CS.378	CS.128	CS.236	CS.224	CS.041	CS.125	CS.375	CS.292	CS.136	CS.126	CS.376	CS.205	CS.302	CS.254	CS.256	CS.214	CS.369	CS.147	CS.148	CS.182	CS.386	CS.395	CS.389	CS.323	CS.359	CS.385	CS.177	CS.348	T.CS.079	T.CS.038	T.CS.046	T.CS.089	T.CS.029	T.CS.067	TFS.024	T.CS.001	T.CS.056	T.CS.004	TFS.023	T.CS.012	T.CS.028	T.CS.072	T.CS.082	T.CS.117	T.CS.098	T.CS.180	T.CS.160	T.CS.167	T.CS.092	T.CS.119	T.CS.091	T.CS.139	T.CS.124	T.CS.102	T.CS.107	T.CS.123	T.CS.147	T.CS.121	CS.237	CS.085	CS.356	CS.246	L.034.M1	CS.006	CS.082	CS.242	CS.103	CS.238	L.024.M1	CS.087	CS.015	CS.088	CS.241	CS.078	CS.311	CS.150	CS.346	CS.345.0	CS.207	CS.165	CS.212	CS.189	CS.191	CS.336	CS.274	CS.234	CS.187	CS.164	CS.112	CS.320	CS.343	CS.223	CS.318	CS.163	CS.322	CS.285	CS.080	CS.227	CS.152	CS.339	CS.194	CS.319	CS.331	CS.262	CS.253	CS.326	CS.370	CS.390	CS.393	CS.145	CS.255	CS.270	T.CS.036	T.CS.031	TFS.022	TFS.027	T.CS.064	TFS.021	T.CS.049	T.CS.043	T.CS.008	T.CS.061	T.CS.045	TFS.020	T.CS.026	T.CS.055	TFS.025	T.CS.141	T.CS.142	T.CS.166	T.CS.157	T.CS.158	T.CS.095	T.CS.151	T.CS.152	T.CS.109
CS.244	0	0.603237734615	0.650937975154	0.650561655351	0.650422829603	0.711752090418	0.675770646829	0.614891180713	0.668649617921	0.684526126373	0.608291354915	0.585574182252	0.577706383445	0.633439720884	0.556146552928	0.704298505452	0.624513350933	0.611173884894	0.690122283076	0.585108605016	0.775569938561	0.720701626366	0.716165194352	0.666721233507	0.701352769024	0.614588161757	0.671627284253	0.665067621229	0.661756478343	0.688420695311	0.729035309584	0.687010583772	0.648783586055	0.697668670977	0.715727968228	0.772240088393	0.676026025416	0.738808595499	0.694202310372	0.673513343789	0.663828655128	0.69899188571	0.730426513043	0.781858657961	0.769219025338	0.723772798833	0.700802910591	0.717829569437	0.73956133813	0.7161954895	0.702634830703	0.710325323932	0.707281266066	0.700022428467	0.718952928286	0.749643312717	0.742606319994	0.721829827605	0.720382737715	0.721244499093	0.720107413035	0.636167712419	0.698297499523	0.71351095626	0.630470138635	0.664241744117	0.712780083884	0.714582650379	0.60466556469	0.690607580295	0.715116377894	0.736841779586	0.685417832403	0.668791661138	0.666681018739	0.643536723141	0.636394198124	0.60538800245	0.655637495369	0.628479836997	0.646814176154	0.633335451602	0.652119986389	0.662649470391	0.570479585533	0.648670259712	0.680431584895	0.631686882518	0.654389262487	0.698633826409	0.659267462666	0.589427671337	0.715356863333	0.642865836815	0.637973158821	0.607812825098	0.626062214953	0.629301778608	0.629868790159	0.636586261455	0.635049522471	0.621725419759	0.642101809161	0.673104869942	0.651360588902	0.69371797772	0.677193505464	0.627268258646	0.753475198568	0.743507678509	0.688757740756	0.723705583865	0.725526858198	0.673960864776	0.658564822731	0.698844525911	0.740253009312	0.709616224244	0.695124842606	0.63842639295	0.636912278068	0.691561494273	0.741896045152	0.718900128457	0.74412855931	0.632986766853	0.754203643787	0.749391820632	0.643272447345	0.780235719256	0.680946605348	0.729409499014	0.784903119674	0.749736603922	0.673891681017	0.710914767394	0.727559821824	0.685607547811	0.713252116588	0.714337069713	0.679401476596	0.720374387816	0.699021059071	0.711238916043	0.59085847062	0.642451969519	0.67564328206	0.697266307778	0.641488116169	0.682997019056	0.719447921783	0.691851219051	0.717122485385	0.710142472591	0.673817570494	0.680982054281	0.740755688525	0.635948299579	0.729295571418	0.642195837822	0.682813836676	0.689413597157	0.618865765505	0.663050564446	0.650844019576	0.644225361824	0.664244575604	0.658022698504
CS.002	0.603237734615	0	0.639666701507	0.607546408235	0.658778819324	0.685594210086	0.622811941222	0.533794083887	0.594740617804	0.6116018043	0.533975858096	0.569328240125	0.562905274719	0.55053813054	0.59101244944	0.587349269427	0.543754202936	0.624672563973	0.583102282821	0.524238958013	0.727897974678	0.67675287401	0.599666859089	0.586749015173	0.637497106972	0.599204695683	0.613929686441	0.571539139587	0.598286882492	0.616920430215	0.623215631076	0.621352394916	0.653121324605	0.587967992893	0.601158777781	0.727870456301	0.550624870786	0.645011148731	0.641772848935	0.537537188135	0.540183713306	0.597019873426	0.638443965427	0.705665213974	0.722092693838	0.615882358761	0.612335028066	0.638666607789	0.657017674837	0.643536248104	0.595539913685	0.589028554386	0.663280897818	0.576960609249	0.631228587903	0.619650916204	0.707150051703	0.628321441104	0.667717057486	0.603822274213	0.679943188747	0.585316960044	0.642252046372	0.619423751403	0.549027221158	0.635134341552	0.630112425889	0.681276500759	0.620825702152	0.642587198681	0.673552527727	0.730932497604	0.61482399697	0.59809358149	0.620464104651	0.614303380049	0.625417357162	0.580454658117	0.629468894622	0.625615935013	0.634284667051	0.606953320644	0.652954554959	0.636830546119	0.589786042478	0.662828552392	0.637749911935	0.623051793076	0.640521922554	0.613466973969	0.549684550355	0.504923497184	0.712012447067	0.570775162882	0.602510728987	0.581377398972	0.549525353994	0.595850220489	0.532246825488	0.579576238892	0.669808094136	0.623138484401	0.622822976329	0.673119645485	0.591141933146	0.645216205045	0.613505518155	0.561293239314	0.695866434256	0.706163037888	0.64617744221	0.693867931186	0.707505048485	0.640073309681	0.604899365013	0.617166514879	0.668129080969	0.641564240858	0.618594991981	0.610484260901	0.53746100743	0.592041344858	0.656114242067	0.617857735285	0.630935443127	0.581083598544	0.633464592478	0.666838711827	0.554946905397	0.74497165279	0.589188837521	0.678322920088	0.722115966978	0.633312030066	0.548922731315	0.661815994858	0.694409050447	0.637427156468	0.605682861714	0.598180692888	0.611944070507	0.625993811116	0.604550083115	0.624162794255	0.564393601562	0.609607400625	0.629540583368	0.641819424945	0.611312029274	0.65580091013	0.662589599593	0.61607241442	0.66965463631	0.619514177583	0.637087048222	0.632694537478	0.71669450696	0.604686385495	0.665823532979	0.653264828193	0.678370926429	0.61991504957	0.636414773522	0.640995276117	0.632551417734	0.646214848989	0.619531234336	0.623842209927
CS.245	0.650937975154	0.639666701507	0	0.589936441907	0.552334191399	0.585986972839	0.623787425759	0.576027485734	0.570332185341	0.656814858543	0.597275463527	0.605477571618	0.586270095823	0.649567210126	0.569948762728	0.638070413449	0.568603066081	0.552425818237	0.640354737198	0.584907608713	0.701166480232	0.691016632483	0.630443421554	0.579277895041	0.540470804532	0.609175093823	0.581782027325	0.600192408031	0.552390183409	0.587085028924	0.660241379628	0.57649850057	0.651906385477	0.613068254643	0.694730253024	0.694076220416	0.619370614737	0.628261297061	0.569575557489	0.64035849383	0.627187731737	0.5483570838	0.608776393383	0.666950968129	0.667010957624	0.64828097387	0.669284034588	0.62322866129	0.717791189455	0.640925224004	0.664751597092	0.613482519275	0.684159932555	0.669890040906	0.639907119815	0.658953847016	0.70469353603	0.665198634368	0.662755413699	0.629379092473	0.637006675845	0.625536286733	0.590312369313	0.587026349165	0.620975636499	0.513443350664	0.538603947372	0.680148994119	0.58115445238	0.543296224504	0.557096918192	0.620466342017	0.550314556322	0.579601414179	0.549483302605	0.544059090055	0.588663612529	0.619010834176	0.60994393118	0.528820035182	0.648951277262	0.647802584501	0.555835534511	0.579940717116	0.580303867371	0.570958767205	0.551495452261	0.546164992153	0.591055075898	0.569095703192	0.619858138041	0.598282231994	0.629783070292	0.56996697783	0.585988980302	0.535174458787	0.615040905601	0.539199389228	0.592303794741	0.602864250413	0.563357182119	0.568401831488	0.559949990857	0.590422044873	0.580949777652	0.544781317385	0.564597489609	0.60628717685	0.691795451456	0.705438675506	0.662996606967	0.617456133411	0.603631497094	0.650846564591	0.557109578181	0.591049266449	0.629408966978	0.647998973842	0.623583501032	0.685037115305	0.60539560157	0.585883783485	0.633264972553	0.622195064583	0.640248024507	0.622187941601	0.662988117056	0.683498877727	0.596763902134	0.744128296286	0.574859461884	0.612412928372	0.708908494907	0.641722109069	0.647446540252	0.626284132889	0.727249385162	0.619479517207	0.65907355061	0.640068338588	0.636571296825	0.587532873781	0.636039918931	0.645149889173	0.608812889953	0.52619114946	0.581718840683	0.513133717842	0.54141794112	0.54615210201	0.61883814636	0.549394721371	0.533892113095	0.560478540773	0.535073161706	0.570629594229	0.674017998252	0.552461584437	0.529124179642	0.497322240392	0.531778518221	0.563456983781	0.514737046035	0.559571715164	0.584214780792	0.538640720879	0.530010968929	0.577621981157
CS.101	0.650561655351	0.607546408235	0.589936441907	0	0.504229383993	0.668528402527	0.688210611318	0.588737396619	0.538018325998	0.697495738143	0.531930840906	0.534092502527	0.568413657773	0.530713952944	0.601477713111	0.641163961296	0.516983634961	0.59079638001	0.653062268608	0.571904745322	0.790097916627	0.755261507784	0.654918289315	0.521850469256	0.601813274934	0.630641125522	0.525219854228	0.580777689395	0.556621574558	0.636051361392	0.70443874085	0.554241327428	0.718858641745	0.626433665755	0.697160563556	0.785651514839	0.669028435861	0.714385370652	0.652486169432	0.609327893625	0.638520945649	0.573459996245	0.697425432545	0.729099038913	0.762619452482	0.694591050041	0.705883421278	0.677523127744	0.765897504552	0.696471874484	0.727333291239	0.64738175218	0.727828324483	0.660887044736	0.665108622272	0.658331319988	0.739516144242	0.686313771305	0.70323142394	0.636670472026	0.721443285258	0.563567531002	0.66397035041	0.639697368525	0.654716062954	0.569161079075	0.60365448753	0.724544863698	0.609146851576	0.639547677981	0.637008439985	0.710528773428	0.609330398558	0.554714388867	0.55829839478	0.535102510914	0.526163001238	0.577286533165	0.526070337605	0.532435980402	0.608626722289	0.573642508178	0.502099173465	0.51803065745	0.502857213227	0.522548384598	0.512431180813	0.580517470585	0.484939984837	0.567227207041	0.682788076794	0.553630111569	0.70410288664	0.556327557825	0.607081981328	0.528977705579	0.55965210266	0.538138756932	0.459140300821	0.546692162446	0.543868277663	0.610534496744	0.537296797237	0.6281797007	0.458854116669	0.572746467119	0.599442175301	0.614922522144	0.766650063743	0.787500311632	0.714880205359	0.707733136742	0.707965259125	0.672481854105	0.509420601846	0.646412902946	0.714488799603	0.687682868638	0.671244477893	0.731987042435	0.650019142581	0.644522495428	0.704863349963	0.689942090598	0.701349152328	0.673432855978	0.729157006238	0.755430065029	0.611367904935	0.809901390006	0.555537260146	0.668225792545	0.791198248232	0.703436559779	0.597417270623	0.697668412701	0.754830765828	0.677394514618	0.684245976754	0.688034331605	0.68637346069	0.606790952334	0.633709922516	0.698598420203	0.57148449537	0.555128199744	0.525979293123	0.565219140433	0.553124084512	0.5918024782	0.69601401026	0.575798552574	0.645755028975	0.636421476893	0.594053208213	0.520937666453	0.74361117429	0.558343268478	0.625030471804	0.568426080275	0.590793413964	0.55709282727	0.569511529441	0.531276232424	0.509942576893	0.559198925113	0.556836508526	0.52129418416
L.007.M1	0.650422829603	0.658778819324	0.552334191399	0.504229383993	0	0.639225665831	0.679596937833	0.627449511268	0.553333326663	0.708387320836	0.557044201103	0.531782600374	0.59519049569	0.570178932217	0.597626461753	0.655941072209	0.590905351708	0.575757314909	0.676783920749	0.629183566315	0.765861442267	0.777521628031	0.650077744742	0.496782234109	0.528955270554	0.680658673526	0.500399416407	0.579643209473	0.518568200355	0.660520460113	0.707530274403	0.553595181158	0.716479311647	0.607480373744	0.758395818396	0.765149821763	0.706629850308	0.681689476281	0.640909509367	0.647782059548	0.676522108846	0.526303007971	0.6925308795	0.706082553422	0.7339052004	0.68282164575	0.682134682509	0.657750584023	0.78246085794	0.683251690489	0.709334201393	0.619972490419	0.728517309175	0.684878234455	0.68475543604	0.667302810532	0.748581178042	0.684471268565	0.702814232151	0.637548797705	0.696967014048	0.583703938516	0.644527815213	0.585884190251	0.663707363429	0.49992632092	0.57299509499	0.72753227381	0.625634930035	0.547010053878	0.566774218289	0.688921652701	0.554109793896	0.562834630091	0.519250356678	0.479399694239	0.483825883054	0.604067988855	0.496041354049	0.412530392245	0.56989883369	0.57991760443	0.393558427261	0.417140132387	0.511495625364	0.469960961659	0.455186232454	0.510998898749	0.413682694515	0.553833028972	0.694311366777	0.560527903129	0.690196023402	0.543864862551	0.590125228343	0.504436781698	0.583642372233	0.496725621972	0.576364508964	0.565187797145	0.463497652414	0.580752783646	0.532166439893	0.641132511823	0.510469791654	0.585465794761	0.615001655719	0.610255332332	0.766329629393	0.796863385776	0.68865858745	0.704238310215	0.661759201477	0.643508456876	0.471899695588	0.606476025441	0.665020353831	0.685044386387	0.664315306757	0.763883740396	0.684262007527	0.603410016351	0.669367217441	0.675526342108	0.676116413309	0.701288125035	0.698207187851	0.757073694419	0.638914645929	0.796834452538	0.539361331	0.654790186716	0.755519639716	0.678991685373	0.607843863865	0.664676253032	0.760020822351	0.632739344755	0.682225190734	0.683621648345	0.716182195783	0.584283872612	0.632083792289	0.678532079543	0.554065883977	0.529202791136	0.467141923938	0.483049011517	0.493493868934	0.558585697416	0.623841135005	0.499992378041	0.573898279435	0.571983377287	0.54344389198	0.444375160249	0.725886382178	0.507962536436	0.545729594426	0.448949725444	0.456168119419	0.489240625651	0.489198228167	0.476293811267	0.418192586608	0.411694547742	0.503498008019	0.428106593784
CS.094	0.711752090418	0.685594210086	0.585986972839	0.668528402527	0.639225665831	0	0.628214409856	0.64632900459	0.652803756951	0.665698666054	0.682160543867	0.660030199197	0.7034771521	0.704634040903	0.640475933525	0.70361316487	0.649127375058	0.613075555093	0.653367474999	0.640255039309	0.716848517299	0.725070848211	0.663923999647	0.654763249183	0.595048209096	0.637395705995	0.642503852177	0.661809161096	0.594952983723	0.597477370122	0.66750181967	0.600366891436	0.69208915245	0.633698024605	0.709050529908	0.73637959405	0.638433081308	0.648964509812	0.595992968479	0.673059660911	0.65153170828	0.624827092384	0.647691686767	0.669008277823	0.699710243012	0.686141530124	0.699665339932	0.63454070857	0.731101878123	0.673774444846	0.702379009569	0.678495197925	0.726171971366	0.705809655263	0.674622301236	0.697057002491	0.728574839404	0.697260427558	0.686435250392	0.701689954593	0.63859033381	0.700476015223	0.628381579912	0.643831903824	0.699254261282	0.606749048783	0.604224812135	0.684722984749	0.634298674719	0.617621811185	0.607491313372	0.666893794412	0.648143809099	0.669167487946	0.617892709005	0.639431645825	0.660898066828	0.681874056747	0.701020208377	0.617367517955	0.680126397135	0.72950260814	0.67058331158	0.665071916074	0.687576961431	0.65718696277	0.61824946564	0.612200192875	0.677271786607	0.653194143434	0.674535363916	0.685929345243	0.649004495617	0.643910919064	0.607325158115	0.570330486981	0.69960818966	0.629743226837	0.659233127527	0.640455745596	0.631671604632	0.56576734959	0.576589014999	0.587847016746	0.645541331247	0.557996597806	0.548261390325	0.672348530642	0.710812484546	0.702826422991	0.698551133758	0.614661764613	0.653539291721	0.698393515296	0.636282895127	0.630800613602	0.659483734804	0.690341513476	0.643371085053	0.714726950838	0.636177635468	0.658581777757	0.655395277987	0.663495170553	0.65970920425	0.64160218117	0.685140244369	0.667728706664	0.613716720355	0.724550773186	0.636079613252	0.615543505847	0.721033248542	0.659633366241	0.689297789226	0.659390828302	0.751593280515	0.665707245144	0.685389182679	0.676394105583	0.655252835271	0.625220480496	0.678336651516	0.695670079916	0.684992710962	0.619603388946	0.648879072203	0.620624999644	0.626213689327	0.635541679384	0.652498203789	0.582827238956	0.578654240333	0.611465784927	0.635268999012	0.636758792643	0.716127494452	0.592966014364	0.600089091675	0.593560855512	0.560233191292	0.606541579052	0.604560852798	0.630089968742	0.670370107836	0.606211123892	0.606083491743	0.654593435604
CS.009	0.675770646829	0.622811941222	0.623787425759	0.688210611318	0.679596937833	0.628214409856	0	0.588929583969	0.642028447709	0.551925830919	0.633014344765	0.66325868852	0.650912315874	0.663319865099	0.641342073386	0.583770206243	0.607732275025	0.613292553613	0.579207639973	0.608059368718	0.596057981171	0.615111736164	0.567231763239	0.643821507265	0.59893384209	0.624178078781	0.655473034392	0.615140559726	0.613320047441	0.608537021503	0.558015245483	0.639078787786	0.613109928489	0.614979641279	0.630286340639	0.642796401354	0.595514291737	0.531801221913	0.602487294767	0.578433419139	0.560559363159	0.616946677379	0.541918766906	0.58475121132	0.603493442011	0.592226084426	0.581864939788	0.628315894859	0.627277305063	0.55730589417	0.611224237913	0.595569404944	0.635584782437	0.611847478471	0.571642061097	0.609215514712	0.634202952391	0.602422238962	0.60418926753	0.607911464799	0.512646570495	0.672930320417	0.552678021772	0.612956714515	0.622635644813	0.609987505276	0.61997229537	0.575604242093	0.631880405706	0.605923810631	0.630103920524	0.660981209341	0.613957651577	0.654079071398	0.643904126201	0.650737469513	0.674088813447	0.642189335002	0.695038389641	0.657765237738	0.695902510214	0.676946257309	0.696426765992	0.692476679266	0.649061504312	0.69466054894	0.670708148041	0.611693729112	0.693221968001	0.667878326763	0.582546974503	0.621544069523	0.627426857181	0.634799909827	0.579558938691	0.59613992055	0.655688634315	0.63281639909	0.632411675115	0.620274437303	0.661637953451	0.61471763074	0.664500505875	0.642821720241	0.659568435171	0.612332073921	0.603174440501	0.574451901935	0.613074342148	0.61782949748	0.597112595729	0.587738990223	0.614287864188	0.58056765455	0.675253478718	0.613584888987	0.586271542679	0.627379048171	0.552241030794	0.647220213558	0.556702691127	0.568184810586	0.578799445241	0.576785460374	0.545814811657	0.575734900148	0.554743040961	0.565940648244	0.577058096068	0.632000894953	0.635730578186	0.612777959024	0.580142356305	0.56008943728	0.593051098241	0.5860174377	0.647751538432	0.560966726213	0.578349923625	0.604833024523	0.633567218902	0.61317226882	0.57862009549	0.592650881523	0.627140839535	0.617434212085	0.683583373645	0.631320323359	0.635783302765	0.634291971661	0.565432275096	0.659118007618	0.607836978109	0.614722126282	0.635024891151	0.667571069175	0.611766401303	0.632012233495	0.606689432759	0.656939960711	0.642320277559	0.646819993239	0.639711681707	0.668117907362	0.700229509335	0.659973354986	0.61774321497	0.691572907621
CS.039	0.614891180713	0.533794083887	0.576027485734	0.588737396619	0.627449511268	0.64632900459	0.588929583969	0	0.589207001372	0.562123782323	0.549589182713	0.552867151904	0.602450957752	0.609007356973	0.568218493056	0.635917650314	0.541819882134	0.605724868538	0.621760096887	0.556281052347	0.713146520059	0.680992736035	0.616047791972	0.594558398974	0.612293559225	0.557674788747	0.623989030104	0.612717830905	0.591485173884	0.614448919858	0.631309818651	0.603994284766	0.626306254851	0.622162500569	0.637429939829	0.729092615695	0.609054806358	0.664345325942	0.624627004369	0.583116799241	0.580193697938	0.615131780952	0.627333912961	0.682372128268	0.685251946767	0.642941447647	0.645972699052	0.648537695595	0.669519061732	0.638657428699	0.653304043009	0.615402173002	0.669129183683	0.637743037642	0.635038691794	0.652399435472	0.711034194348	0.661695952784	0.657567015485	0.646849690559	0.660604049639	0.616946656194	0.607906512485	0.61231828074	0.575099058412	0.613196427778	0.607345938271	0.664326038061	0.593902116068	0.621574842555	0.644279826469	0.677015462655	0.612912449088	0.625461330264	0.607614653762	0.612741954972	0.621814279114	0.589609138282	0.631079012705	0.597444555178	0.645449337871	0.626538286721	0.628901771148	0.631103222135	0.575109507346	0.615779296345	0.618960432865	0.60081442152	0.619434788303	0.630997993713	0.564788289409	0.550904459454	0.674149947274	0.614766859098	0.565793394042	0.545936640922	0.587459539968	0.595060155023	0.520356090524	0.574729492828	0.638106994416	0.573118372378	0.575941439962	0.623566418477	0.583624124907	0.578200520236	0.566757634562	0.57758522994	0.690446463757	0.682717949508	0.658159180735	0.638558413576	0.665909909177	0.646600323085	0.611059122742	0.644592894646	0.668711634567	0.664406886692	0.618437679613	0.616941622305	0.541305870032	0.619642023351	0.652816343861	0.655317480719	0.634910507759	0.584198058123	0.673390833508	0.645642395615	0.580202639425	0.734025752339	0.601728189431	0.656399799504	0.720584001545	0.640811572338	0.607426195825	0.631312073376	0.68242520039	0.643141614314	0.645905059742	0.646281608054	0.634074922305	0.62705440583	0.638425751948	0.652608863894	0.581321295328	0.589025586853	0.634179945916	0.599017938447	0.582522673955	0.628742941503	0.651475737951	0.634230644324	0.629141944146	0.618084024113	0.603606677084	0.621956318647	0.697268751079	0.604207909807	0.625343315433	0.609059680671	0.626156113001	0.63801201554	0.597710691319	0.619441932983	0.619399996489	0.616116400342	0.605870405054	0.602065543265
CS.059	0.668649617921	0.594740617804	0.570332185341	0.538018325998	0.553333326663	0.652803756951	0.642028447709	0.589207001372	0	0.637241906342	0.498534737371	0.574159539221	0.553575903601	0.555819605995	0.615426840186	0.610846768283	0.564045187428	0.592882758685	0.599641286541	0.591630002114	0.734199065416	0.728556628976	0.596574287677	0.511526928809	0.565755426515	0.626806333183	0.532921547813	0.548597391059	0.550931853578	0.59131133256	0.665160990297	0.561697409661	0.689326524847	0.572651544857	0.673941669486	0.762361002302	0.602267845615	0.644097621319	0.603599606579	0.564795347437	0.594918465402	0.512427333946	0.643968645144	0.69595500564	0.703566971259	0.62828319214	0.636536019337	0.630209420931	0.711289355814	0.644885668862	0.665822154865	0.551525284306	0.692267726204	0.609119911478	0.619871269081	0.612370472843	0.724027699755	0.622994555675	0.661872707331	0.594023631552	0.661618648336	0.556543958949	0.600509249383	0.572927104224	0.601743484174	0.53605748402	0.550328956433	0.676118729573	0.631645454284	0.571545785858	0.57178879204	0.660815903446	0.546068008333	0.522570962951	0.545726756878	0.516211868931	0.570566023421	0.587806148076	0.557575293983	0.553255326605	0.59043052875	0.593897619379	0.535462641054	0.557327745741	0.54236192951	0.572400168074	0.515065721753	0.552052396754	0.520976568233	0.550630998687	0.629059462031	0.530002999271	0.696759417007	0.561438881177	0.58261036584	0.569877140586	0.550280737438	0.521450460472	0.566943748936	0.567384857861	0.603961831598	0.635012887685	0.602466937235	0.654375962989	0.516263265039	0.576906943952	0.579129310376	0.586119900932	0.748944951663	0.741559593275	0.680835352439	0.677903944048	0.663053794164	0.643284905387	0.499986639117	0.579409069019	0.660898145443	0.659289947591	0.612065499484	0.719780992085	0.611985549693	0.577422316515	0.656033203139	0.633919255061	0.639796679328	0.64788148547	0.656316211251	0.701856700113	0.575371028173	0.776279207402	0.51168339587	0.640667692501	0.740649872937	0.655489489214	0.556242656377	0.639948942412	0.729270093909	0.633073825766	0.629577172251	0.639936114628	0.654172991431	0.569725976281	0.601398546993	0.63662039723	0.557046336626	0.526842567857	0.512940270048	0.529047311878	0.528335765543	0.568506711395	0.641903318051	0.567050171211	0.58162999008	0.58440323999	0.554453875112	0.507874047581	0.691061615333	0.576174634048	0.576166613791	0.59043684735	0.593705313432	0.541873259673	0.583598930259	0.514870300375	0.54658154376	0.562676589795	0.50965036615	0.538357512789
CS.037	0.684526126373	0.6116018043	0.656814858543	0.697495738143	0.708387320836	0.665698666054	0.551925830919	0.562123782323	0.637241906342	0	0.632928468615	0.668004595867	0.664899947218	0.688900335281	0.651792381247	0.640957297998	0.649554947116	0.650611944267	0.595947654706	0.61461089425	0.643368564192	0.668959346788	0.60435103975	0.686397869228	0.644214247572	0.605451573623	0.685582084987	0.650427197487	0.650213557488	0.650054415988	0.595857018938	0.65303853785	0.669173180076	0.638965258772	0.644270507782	0.71284078844	0.619985975007	0.643943756719	0.654685881972	0.630194124679	0.616369035924	0.653132313713	0.60454176879	0.670679276752	0.686083084576	0.637032775928	0.655626671446	0.690158274116	0.674115135316	0.65915554456	0.636254447384	0.631935637434	0.660087780377	0.631771689446	0.63593515032	0.634716420851	0.726985763161	0.645836923691	0.65424558697	0.625684054675	0.604537550347	0.67884389172	0.613269874052	0.631934652773	0.654134497878	0.672324237833	0.650332164165	0.623682678802	0.67112897633	0.651472452296	0.694956266783	0.698576712578	0.631894513086	0.679784077019	0.669255841249	0.69050840889	0.703005567918	0.65643734435	0.715737853125	0.685633590029	0.682086937976	0.696723027186	0.722387206354	0.717308406681	0.663966104541	0.720684092707	0.692907368727	0.667893498428	0.71373853372	0.67827752151	0.619862781771	0.633490735288	0.697076265471	0.67067032035	0.593089304982	0.658219791957	0.672215069691	0.662201858182	0.658423580927	0.648867121969	0.725304213636	0.652347922881	0.636241872116	0.671657265805	0.683189794636	0.646407106988	0.631240374802	0.630718478798	0.682562549193	0.672939855315	0.66765620844	0.682459050231	0.708802517726	0.673235686728	0.698029770591	0.660673985075	0.672238585084	0.652073586862	0.620542396417	0.659962728873	0.585505176461	0.644752939865	0.641716080154	0.639475121557	0.623036644657	0.626592586088	0.643003916194	0.638352479873	0.625870687509	0.693942283103	0.670884632487	0.650463811568	0.701943295624	0.601571125	0.632193063683	0.593486733619	0.7169276946	0.644548781508	0.605952250833	0.635723121035	0.639090915404	0.642172852496	0.636994868576	0.651136197964	0.667225092976	0.663788998295	0.696772016363	0.647497001997	0.651001971315	0.659225020404	0.616148655006	0.686869837876	0.629281373647	0.634166431323	0.667328289577	0.701919660693	0.668300788979	0.675850129334	0.655004838693	0.676240359055	0.690537125466	0.697467452467	0.678767987184	0.69559357657	0.719462007047	0.686005089774	0.678117686786	0.708299661409
