CS.277	CS.009	CS.264	CS.036	CS.104	L.035.M1	CS.259	CS.174	CS.260	CS.257	CS.038	CS.086	CS.099	CS.101	CS.244	CS.072	CS.335	CS.118	CS.127	CS.153	CS.042	CS.040	CS.137	CS.067	CS.154	CS.155	CS.056	CS.062	CS.161	CS.063	CS.125	CS.205	CS.203	CS.041	CS.375	CS.224	CS.380	CS.232	CS.282	CS.378	CS.292	CS.136	CS.128	CS.302	CS.213	CS.183	CS.359	CS.372	CS.395	CS.349	CS.178	CS.147	CS.369	CS.148	CS.268	CS.348	CS.182	CS.323	CS.214	CS.389	T.CS.067	T.CS.079	T.CS.025	T.CS.050	T.CS.082	T.CS.052	T.CS.069	T.CS.040	TFS.023	T.CS.058	T.CS.014	T.CS.003	T.CS.022	T.CS.019	T.CS.048	T.CS.144	T.CS.167	T.CS.159	T.CS.114	T.CS.132	T.CS.180	T.CS.134	T.CS.111	T.CS.119	T.CS.161	T.CS.160	T.CS.153	T.CS.118	T.CS.130	T.CS.091	CS.006	L.034.M1	CS.246	CS.082	CS.085	CS.110	CS.356	CS.087	L.024.M1	CS.242	CS.103	CS.241	CS.088	CS.015	CS.237	CS.189	CS.330	CS.165	CS.187	CS.044	CS.325	CS.387	CS.364	CS.191	CS.151	CS.228	CS.347.0	CS.212	CS.308.0	CS.274	CS.343	CS.339	CS.194	CS.158	CS.202	CS.227	CS.331	CS.163	CS.320	CS.322	CS.112	CS.361	CS.080	CS.223	CS.285	CS.370	CS.270	CS.393	CS.253	CS.326	CS.145	CS.390	CS.262	CS.255	T.CS.045	T.CS.049	T.CS.031	TFS.025	TFS.022	T.CS.026	T.CS.066	TFS.021	T.CS.036	TFS.027	T.CS.008	T.CS.061	TFS.020	T.CS.064	T.CS.043	T.CS.151	T.CS.157	T.CS.152	T.CS.166	T.CS.141	T.CS.158	T.CS.095	T.CS.142	T.CS.109
CS.277	0	0.590828471173	0.600845648968	0.600032820179	0.559097488548	0.560632759099	0.504268421284	0.527247859107	0.570362153166	0.60036647642	0.617179609531	0.578694402629	0.574854977105	0.568006417662	0.641843744382	0.52417908695	0.685548720051	0.600664036264	0.49745447062	0.576001612964	0.60375957462	0.584609430767	0.523305291156	0.690094853475	0.710820007931	0.520483537906	0.611262781113	0.534060505291	0.604975259276	0.657433442402	0.603718134947	0.625969755387	0.558074300614	0.630658886471	0.562904852679	0.70661730477	0.514135323666	0.559586474176	0.623499069442	0.648543060377	0.563574360849	0.584919355006	0.532268509225	0.645876981014	0.618335122012	0.670859047153	0.685138153761	0.587438667243	0.592108635051	0.559475619519	0.552574152741	0.596222944799	0.677792776556	0.641680623278	0.640756017852	0.565239566507	0.546562678686	0.584541687076	0.584108381947	0.598220062507	0.522319329346	0.595125674225	0.544958145621	0.590333400415	0.557575770065	0.571009777237	0.54451649237	0.51172327791	0.565436919021	0.550764778549	0.546276077097	0.524074924871	0.545877150968	0.58780568237	0.520132153329	0.536700059945	0.515458656224	0.581399882709	0.550426508597	0.555176959543	0.585271561085	0.544213729992	0.516629758456	0.579682708098	0.535027912708	0.545972413598	0.562676462208	0.500809656953	0.512803258271	0.543307926722	0.532822698908	0.563029336414	0.527957093835	0.582710932669	0.554386930833	0.614601492921	0.652381507646	0.619890262903	0.582431471279	0.497638550069	0.568089407681	0.546963327716	0.632514785632	0.612861966252	0.604249277624	0.577700785403	0.58387975149	0.656769345762	0.57098519053	0.543665251965	0.714857493143	0.545429518199	0.65686175321	0.521564255144	0.564421676306	0.605100703037	0.635031984544	0.63286555924	0.639187546735	0.601847215767	0.606835428081	0.605002908909	0.678860535518	0.610145455179	0.627689992089	0.717717108048	0.515873872841	0.621603845942	0.548735521453	0.621877898368	0.583219840375	0.613534042583	0.57814679057	0.568369321582	0.661388677395	0.597320329243	0.587222210212	0.634589230664	0.676458175407	0.579034695677	0.558698228567	0.607826016607	0.580975179464	0.551463980764	0.558804406986	0.586165520802	0.532866576379	0.544048305064	0.52560011287	0.646643624081	0.5526709497	0.537494380448	0.547844955518	0.536357689646	0.570907884875	0.551247929794	0.533349300952	0.52759099807	0.548458606343	0.541752481102	0.548996742122	0.53402855047	0.557570240897	0.570727332206	0.517770450593	0.547813264553	0.585435077919	0.541923630159
CS.009	0.590828471173	0	0.644608027303	0.601678120704	0.590010450043	0.545047326204	0.649599689845	0.674397183244	0.536950806256	0.641342073386	0.611103790288	0.641251026783	0.66325868852	0.688210611318	0.675770646829	0.643821507265	0.596057981171	0.608059368718	0.590432436138	0.621305022641	0.608537021503	0.656556655654	0.638617038703	0.615111736164	0.625857927573	0.602699004704	0.597147419225	0.619651745003	0.532651613718	0.608970575352	0.531801221913	0.58475121132	0.639078787786	0.595514291737	0.602487294767	0.642796401354	0.652639667241	0.634918161888	0.581994844945	0.613109928489	0.578433419139	0.560559363159	0.614979641279	0.603493442011	0.558015245483	0.609839805315	0.634202952391	0.606754307319	0.611847478471	0.60544370226	0.632850117688	0.55730589417	0.627277305063	0.611224237913	0.639776321855	0.607911464799	0.595569404944	0.609215514712	0.628315894859	0.571642061097	0.609987505276	0.512646570495	0.633872218909	0.612449408344	0.643904126201	0.593618080939	0.62579080081	0.647706075591	0.630103920524	0.638503144643	0.636427804406	0.666356256168	0.621319274096	0.611205423151	0.586708481215	0.67049653925	0.657765237738	0.700019905537	0.666329693678	0.69164399913	0.642189335002	0.656741733263	0.653106358779	0.676946257309	0.622014377839	0.695038389641	0.671795577264	0.572328252581	0.651368930918	0.696426765992	0.59613992055	0.579558938691	0.634799909827	0.655688634315	0.621544069523	0.587925323562	0.627426857181	0.61471763074	0.661637953451	0.63281639909	0.632411675115	0.659568435171	0.642821720241	0.664500505875	0.582546974503	0.58056765455	0.580665274535	0.587738990223	0.552241030794	0.612228111398	0.625164324812	0.569729091105	0.585165972695	0.675253478718	0.621862838343	0.577550430449	0.571883797979	0.614287864188	0.577111692507	0.586271542679	0.578799445241	0.612777959024	0.580142356305	0.548960809737	0.656777799921	0.632000894953	0.593051098241	0.575734900148	0.568184810586	0.554743040961	0.556702691127	0.60242964483	0.577058096068	0.576785460374	0.565940648244	0.578349923625	0.592650881523	0.633567218902	0.647751538432	0.560966726213	0.61317226882	0.604833024523	0.5860174377	0.57862009549	0.635024891151	0.565432275096	0.617434212085	0.606689432759	0.683583373645	0.611766401303	0.680959881044	0.634291971661	0.627140839535	0.631320323359	0.607836978109	0.614722126282	0.667571069175	0.635783302765	0.659118007618	0.659973354986	0.639711681707	0.61774321497	0.646819993239	0.656939960711	0.668117907362	0.700229509335	0.642320277559	0.691572907621
CS.264	0.600845648968	0.644608027303	0	0.612864029692	0.591385435245	0.596591398192	0.614055530246	0.634763441272	0.6257204787	0.589250805929	0.623265292169	0.544063478387	0.600898073281	0.613999183833	0.625547516417	0.590580634724	0.714177814607	0.584908874731	0.608940704629	0.561099485744	0.632465923229	0.58744107571	0.636303839607	0.697901324844	0.701391311873	0.633295232319	0.669364501452	0.587490829072	0.64662525729	0.626153549015	0.639306627776	0.690864016917	0.631911497406	0.612992922025	0.608672978971	0.730727045512	0.639497792752	0.563393546149	0.669192016515	0.643687364684	0.585213868789	0.601444024053	0.623081143549	0.683133024133	0.652483074253	0.691712788412	0.690339002316	0.657973179573	0.623372428348	0.636097041311	0.62526603578	0.639918825161	0.667365529482	0.654545081737	0.62213585396	0.624918003153	0.614904395897	0.639175746746	0.64205610826	0.633865993875	0.616037865644	0.645772330588	0.6094495584	0.606686885049	0.58289496943	0.650565391191	0.643836256721	0.585958019934	0.638687494522	0.593777827751	0.608485429545	0.624105772964	0.619841874823	0.593267455279	0.598705119756	0.620972130448	0.613262009977	0.610416735638	0.605412468191	0.604882540414	0.565492583118	0.595835878409	0.613552182491	0.601383667428	0.5760445727	0.615126208706	0.560775295132	0.610325005547	0.589365086672	0.629052216798	0.597047948682	0.602288386733	0.549247387017	0.538528217006	0.56106033896	0.596245919254	0.669863796244	0.594484787368	0.633420159862	0.581431920693	0.585902740159	0.621847566204	0.673656690791	0.653499960071	0.600892144912	0.616115460378	0.613975151955	0.671787765175	0.613320564895	0.594924020914	0.714038827873	0.627239525589	0.672195034528	0.619275040273	0.605158058178	0.588008155692	0.66542819359	0.663084481055	0.641374498907	0.638900218921	0.651212774356	0.647221428036	0.705595968146	0.604744455635	0.656363269492	0.727309405492	0.601521614417	0.58006726838	0.605167774893	0.659939544304	0.594461941378	0.630037423386	0.590307881918	0.64044702656	0.673704024173	0.648911645375	0.646248102024	0.631399520823	0.665106246122	0.603569736656	0.639848129491	0.662644490537	0.65596240856	0.624652382739	0.624910082569	0.666164322234	0.623375752486	0.6418489215	0.607008277997	0.684436041813	0.607360602723	0.649004210239	0.584392773333	0.639979953071	0.670735648361	0.645948985333	0.616738167892	0.597731095367	0.626236725933	0.647974716958	0.603498039907	0.584522855386	0.594698871736	0.661616810947	0.574511113444	0.621892961766	0.660667648686	0.607248428682
CS.036	0.600032820179	0.601678120704	0.612864029692	0	0.55351726902	0.610951661198	0.640844345975	0.669628458683	0.596007513693	0.653609512097	0.648403659611	0.617462997826	0.649104034163	0.644118190134	0.699783333971	0.613797805359	0.710265869533	0.594086646679	0.568917434726	0.558709450687	0.607257872083	0.60661292529	0.574901956807	0.672571022539	0.68621098484	0.560185270864	0.56869222837	0.616973488074	0.593451529911	0.549248755776	0.62248574505	0.659595168266	0.630659168994	0.590323642064	0.625844939116	0.717081899592	0.610765517917	0.567272697514	0.631929924261	0.66614635508	0.600642178721	0.555641603617	0.594675481344	0.677441127908	0.629041691519	0.653034880008	0.656843729932	0.583988982424	0.630366422775	0.590221591554	0.625654982553	0.633989118478	0.647724530175	0.6631213016	0.604256286281	0.581267772383	0.581110895801	0.590115011143	0.628077908846	0.608936787157	0.646937715575	0.645352258329	0.609067373465	0.636580528042	0.606791792374	0.563254979349	0.627153872671	0.642119228302	0.662634434267	0.627022717538	0.580684268994	0.662864229472	0.594731220775	0.646712472605	0.608267837512	0.664575226731	0.671850802324	0.678780557922	0.657895276793	0.663436371898	0.604102838154	0.649193580594	0.670234712693	0.634273071271	0.64053357478	0.667242073455	0.643363299974	0.594276713794	0.647670222707	0.67947958883	0.622482868931	0.61255142394	0.619450855883	0.596091529265	0.581816478735	0.634454888321	0.695331297418	0.631054653072	0.713385385953	0.637470912249	0.582193426356	0.635942042509	0.669745394007	0.668884667354	0.573358657682	0.654696506819	0.621095919804	0.677912133187	0.60891199261	0.598152143305	0.727904524869	0.597965427797	0.635958955968	0.638310569079	0.59430364472	0.577724805344	0.649397574855	0.697550286115	0.622826138626	0.668100162161	0.630101394628	0.660157158975	0.740961742896	0.561005041347	0.676611536278	0.714978669488	0.587026015838	0.567966190336	0.613997840334	0.657921430989	0.585643942317	0.647365406761	0.587539530404	0.61752254483	0.610378542394	0.592973934784	0.655004360139	0.633933990882	0.699344574367	0.652154925794	0.631335747195	0.618307513568	0.673391743271	0.606425432986	0.642682477489	0.657142935356	0.651183142323	0.642104640632	0.65455553436	0.707653452771	0.661149588099	0.668720093608	0.61504651329	0.643174653512	0.675627947096	0.61462897813	0.653322580208	0.633179844685	0.63431045364	0.695597517924	0.685806212831	0.629438665578	0.63503686472	0.713249726807	0.641516226962	0.691921512268	0.70289911201	0.670376133348
CS.104	0.559097488548	0.590010450043	0.591385435245	0.55351726902	0	0.571799890774	0.540233130062	0.545116644583	0.599186164696	0.568444354174	0.56420632761	0.540708192593	0.539081308626	0.528246671864	0.649058498438	0.524937579405	0.731147844906	0.523915452696	0.535678723883	0.518860841476	0.575843484709	0.53965278847	0.545985503747	0.697732951043	0.718094342092	0.570436036956	0.625861815716	0.501992534981	0.5955114371	0.619935898372	0.614296060449	0.662737856514	0.533854423721	0.607712261333	0.565062115136	0.729451726192	0.53733755415	0.540166800314	0.640699516128	0.653514594952	0.542254403395	0.546277378539	0.536969229524	0.690383114291	0.651198266375	0.690233997907	0.685199623362	0.607561542662	0.628152761991	0.602797307168	0.577282873479	0.626867390732	0.704303854667	0.646039279783	0.619770942561	0.591308122865	0.591763468241	0.601399267084	0.606117758215	0.608055447628	0.545250266757	0.650690971457	0.547216792954	0.581994862781	0.546476077159	0.612392123226	0.571635669032	0.521949238319	0.565653156303	0.560663173794	0.571425887415	0.540363236525	0.55015509643	0.601863411267	0.547912763592	0.552582309225	0.549793695456	0.616467049102	0.599075321305	0.602423822896	0.569920155422	0.591781351672	0.542874587299	0.595949578034	0.592665033329	0.584173157412	0.563915618514	0.5866918384	0.531288352424	0.55831746729	0.511456600884	0.555768990376	0.542225308562	0.536394659477	0.523258399037	0.589614623974	0.647033262825	0.538232398926	0.575109997849	0.535499214573	0.534515225628	0.523528787625	0.592113394636	0.558776782218	0.585713038944	0.624700981577	0.615911886785	0.612800666593	0.591700278953	0.50152399846	0.745197874792	0.560458318685	0.667543636592	0.544888865241	0.566780133751	0.54910047932	0.63331731047	0.631696411533	0.611035628961	0.645948728735	0.628950086549	0.609383904107	0.723154900087	0.571482883887	0.636822426172	0.728552164422	0.565848693874	0.574708235268	0.57227713251	0.663728113031	0.575076773746	0.615654757827	0.534249890106	0.622977153599	0.63602198442	0.610444092809	0.634022430258	0.606200688848	0.706087460489	0.61116830764	0.553479008705	0.601408479458	0.639063534905	0.589918219432	0.566031329661	0.635700398837	0.562909051102	0.564662769002	0.547024486173	0.699852243296	0.558874619904	0.573425063043	0.564652055616	0.543798436209	0.600180740071	0.562418081519	0.551256972999	0.527451867293	0.548950426477	0.572793305878	0.567445680912	0.526553287032	0.541180998539	0.575343796878	0.532025591414	0.587214978246	0.578241396669	0.556559580248
L.035.M1	0.560632759099	0.545047326204	0.596591398192	0.610951661198	0.571799890774	0	0.561121962579	0.578231151168	0.560217206396	0.620831568095	0.599471144148	0.631735331355	0.644533927934	0.648100346577	0.668271628151	0.567393038053	0.635155678051	0.607721229698	0.532155519537	0.6140242059	0.602362289084	0.633988345132	0.530739858068	0.668959117696	0.702399278782	0.544388229168	0.63395566794	0.602429546309	0.616214681834	0.641244057782	0.531452972867	0.576072135376	0.572457475105	0.643512469659	0.518944602303	0.662773056602	0.546531355146	0.600063632215	0.560857579334	0.633154145091	0.60300470821	0.600963934988	0.587932013467	0.636383020495	0.571131686727	0.662331494579	0.627162851554	0.56269209447	0.60017539342	0.541462048113	0.590928139018	0.549221613689	0.681239483291	0.569468066911	0.612691259242	0.593973063542	0.511038899903	0.55654488458	0.559770905489	0.532698244769	0.517474060034	0.546010959235	0.511460393279	0.573681282428	0.537122528583	0.570517852681	0.528555957444	0.579388810139	0.505674706142	0.541459040364	0.600358985642	0.572341209951	0.558933612318	0.58987247981	0.529202545611	0.591556025718	0.556980619758	0.636417550895	0.610280044966	0.611695999184	0.594782554811	0.557919167871	0.544840768823	0.63077033935	0.581901197424	0.591420631733	0.615234985799	0.494970118136	0.557532754876	0.577380824634	0.571442442046	0.567385870938	0.551793200619	0.616491867922	0.596759023444	0.610614438561	0.631189994675	0.592305957334	0.589506106706	0.534585605991	0.623009384857	0.612262973883	0.65153760666	0.643202594762	0.60777675923	0.584501862987	0.527913320837	0.593938983069	0.54331518459	0.554509114999	0.659725418389	0.478447250618	0.635839309684	0.582270117282	0.620298274215	0.59853756868	0.606640016895	0.581265719439	0.629920675887	0.537761585059	0.515634961501	0.576776116053	0.618953183649	0.604316796655	0.607639411861	0.694307105031	0.577557331142	0.602514510603	0.525601691339	0.579764027763	0.617415138351	0.600222769113	0.575600739272	0.540639306621	0.644942734092	0.568109262301	0.57453061663	0.625360929384	0.667424411618	0.527823828566	0.514285057356	0.555756370504	0.55582729737	0.538082953671	0.527206866163	0.540953601133	0.528232713024	0.513866071554	0.5816382526	0.627964771582	0.582488480393	0.555803302502	0.607159215806	0.560405710731	0.531426994424	0.521895303845	0.572096190909	0.5161941375	0.549411147549	0.562334177817	0.566536905448	0.540272998241	0.53325225904	0.587256965681	0.546472045246	0.616842784813	0.561165953113	0.59013188183
CS.259	0.504268421284	0.649599689845	0.614055530246	0.640844345975	0.540233130062	0.561121962579	0	0.417334181086	0.612669196463	0.580290178405	0.593334467656	0.537628827413	0.548294247393	0.508539735474	0.655892413188	0.494303638569	0.741935648089	0.604182088326	0.53778273014	0.585692047632	0.650277658518	0.571118349047	0.497636422637	0.745958776925	0.769871626146	0.530134284332	0.690365287483	0.539567531996	0.694395577888	0.70597175228	0.652660558006	0.678307828306	0.534160375004	0.663641789472	0.607795585281	0.753951960916	0.469753210673	0.562125351538	0.671507234407	0.689656095462	0.626083822604	0.627198358804	0.584768262467	0.708260659977	0.670624302113	0.730516164689	0.718882293262	0.63963334045	0.640587610573	0.620563707102	0.569829563382	0.657005277021	0.74459764694	0.682611312958	0.688265691436	0.599423693528	0.589094822333	0.637075714638	0.635472988688	0.649682017536	0.49023990562	0.673400406941	0.549705072108	0.583312960463	0.524661539518	0.626352616194	0.53283597328	0.487822862582	0.539732926844	0.531931785541	0.523090134357	0.454169951666	0.574093534505	0.618096703719	0.524483698678	0.455875237865	0.473094839146	0.562297324679	0.553477956972	0.515335485184	0.585471237002	0.468183719738	0.456043127995	0.570950136417	0.547277829627	0.516037596823	0.511647957132	0.538473947291	0.473594457876	0.446941477718	0.520745344902	0.572840851721	0.515664571901	0.557246303986	0.551822380851	0.65679625249	0.675496017279	0.577905848068	0.527411454417	0.470631985959	0.563109951163	0.530888694688	0.63304933174	0.554888657435	0.66641813033	0.643569046156	0.650575950448	0.677168414363	0.616000022648	0.516548478737	0.750775019989	0.566292477595	0.71437612286	0.461411934681	0.582974492961	0.633651409582	0.697251905519	0.645643842497	0.695864847802	0.649943061192	0.66094230957	0.612832949511	0.731845487908	0.654761567805	0.641124647702	0.776455105728	0.582954242005	0.647604274254	0.593664903197	0.679401396401	0.643361837387	0.662357768254	0.599621348378	0.633739844272	0.72758461425	0.635459983023	0.645513768193	0.671805190317	0.734104648151	0.617899625141	0.550554636321	0.652326138088	0.631220257338	0.613743460007	0.522203863603	0.632475907819	0.525834676595	0.529186995337	0.471521875104	0.702162720764	0.463650436291	0.541131324771	0.558344737574	0.491092508396	0.551228364421	0.543402707636	0.446846556424	0.475284558907	0.460098041644	0.435962724149	0.51703901961	0.478005637288	0.505714589185	0.489515160373	0.479599498093	0.469530958135	0.471359420064	0.469096254859
CS.174	0.527247859107	0.674397183244	0.634763441272	0.669628458683	0.545116644583	0.578231151168	0.417334181086	0	0.622261472653	0.60458637874	0.622998542695	0.544354296718	0.534470814963	0.489619710929	0.671563306137	0.470546321405	0.766047622947	0.626717180595	0.540659475953	0.61593989038	0.645937701899	0.589992131872	0.508724676719	0.769260549117	0.794396825846	0.533627301415	0.702524429737	0.5268507816	0.702034855925	0.727411890766	0.65909608374	0.688377068182	0.50685441976	0.692858682342	0.621255789944	0.769830782438	0.474622455322	0.559756856733	0.683614176905	0.700516648932	0.612988071089	0.649746921392	0.567276548996	0.729574924412	0.686828375183	0.753503309194	0.738167456983	0.644969825908	0.658507250444	0.63207764095	0.582689748439	0.660739043599	0.769389582965	0.69534638079	0.694948697645	0.613798646868	0.594428052272	0.62139209323	0.642383319786	0.646393509817	0.506934274569	0.699889719244	0.536266555262	0.613199157143	0.516286635127	0.645876580317	0.529316882526	0.448896640322	0.539476904299	0.546153795471	0.562381213969	0.421190516144	0.573951167923	0.633689437037	0.542866474519	0.440435995135	0.450482389663	0.541390029402	0.556073309874	0.478816256269	0.574713439134	0.483167672286	0.446660489247	0.546729045551	0.547936364761	0.470691992644	0.513575361768	0.549240254956	0.438755104028	0.39321030377	0.531452759724	0.557034615162	0.496716893563	0.566213276528	0.566424983834	0.675040646667	0.704762520744	0.616494491122	0.508427058311	0.474297965092	0.562140128837	0.481633528854	0.656226175621	0.54234331063	0.690659303926	0.645790171699	0.648801258917	0.700371922167	0.625193811954	0.534141660837	0.770817045588	0.582609574609	0.749786410906	0.453381868126	0.601034866508	0.662355980298	0.708494216507	0.655275511092	0.717338619463	0.66854296549	0.648408754158	0.636069201196	0.754777050165	0.677391107818	0.653449550088	0.801673774674	0.555770753121	0.683919005013	0.592354293788	0.688717483347	0.673848653824	0.686914339728	0.629677210791	0.653277533211	0.749794340802	0.657983866145	0.659282936316	0.687562262187	0.757943825926	0.633668147541	0.548137004201	0.656520993064	0.65768081003	0.595404894974	0.530558024718	0.65443684389	0.501716738103	0.534745748019	0.423932135072	0.726746000636	0.451117543559	0.546608175414	0.550723973815	0.481272512473	0.566044453233	0.568423259307	0.41584430248	0.484621522746	0.490277608155	0.421678636179	0.527807631175	0.474453149089	0.447612474918	0.481900689123	0.429306387983	0.419839325704	0.508626626581	0.424434679144
CS.260	0.570362153166	0.536950806256	0.6257204787	0.596007513693	0.599186164696	0.560217206396	0.612669196463	0.622261472653	0	0.645758504418	0.647031125402	0.659641349624	0.659603041616	0.67014894103	0.694268911221	0.611541290245	0.611964864755	0.63743293352	0.537946022001	0.608719837665	0.624648294338	0.649834337467	0.564358764699	0.621281048629	0.66787594738	0.541331243446	0.611867770007	0.616199901071	0.561988021649	0.63172811031	0.510997819574	0.548901749385	0.611274157219	0.568762011586	0.57966629134	0.660942984601	0.59841714433	0.590410870465	0.54621365826	0.632727743391	0.568868383081	0.548223909469	0.580398814682	0.619158937072	0.566759811386	0.621241107301	0.631398362065	0.554434292844	0.598202799552	0.551645824872	0.583755759492	0.532444453035	0.60856775813	0.587369997801	0.628698243067	0.578573223997	0.521065852647	0.536736602979	0.605064471155	0.526916011073	0.575366695889	0.544732112418	0.58960211081	0.622901399759	0.624638812578	0.523734242707	0.544911983371	0.628770299544	0.58782757521	0.616544785124	0.58163212013	0.617453834032	0.605468078187	0.600820292726	0.590781071499	0.642617558876	0.638092401515	0.660803163935	0.642696167134	0.635399346011	0.639167052927	0.618747984705	0.625212927197	0.63923130359	0.599244652998	0.646191277139	0.626563125632	0.516827424567	0.609241952201	0.658187643589	0.610524266829	0.60278054373	0.606537215707	0.613148668724	0.605680199194	0.593148022039	0.620327298176	0.632613634289	0.665685254847	0.597248380922	0.624252523422	0.653920030758	0.673730294405	0.675427195555	0.601885963987	0.599867695835	0.556730020879	0.621273162915	0.524733278005	0.609129703139	0.63361977915	0.542404000448	0.591648763464	0.607522392489	0.57856744201	0.595807973547	0.599149247698	0.622048807879	0.600762102634	0.554810451069	0.571655220142	0.593827058816	0.591354057865	0.577516835934	0.650434920838	0.68947204099	0.543640204776	0.596392235014	0.538342757866	0.531514026873	0.571581240713	0.609731391189	0.590126704134	0.547673751741	0.611692058104	0.544788568389	0.547630770139	0.62237146505	0.616630543067	0.540837468473	0.559218159724	0.560016790122	0.574274137475	0.557549657894	0.596806180569	0.564377548882	0.603386472479	0.572974953956	0.633570357405	0.613396036904	0.663574142647	0.617085916196	0.629487665467	0.606427072807	0.567658933388	0.578866318016	0.618957307215	0.604543651466	0.620662342198	0.63319713624	0.63192404025	0.592947726278	0.590299476357	0.651835461773	0.613325477607	0.654895262054	0.639487946026	0.639427594239
CS.257	0.60036647642	0.641342073386	0.589250805929	0.653609512097	0.568444354174	0.620831568095	0.580290178405	0.60458637874	0.645758504418	0	0.583333628064	0.539368988944	0.55023947559	0.601477713111	0.556146552928	0.591151845847	0.739436883275	0.541412465535	0.63640658852	0.57124372198	0.629569676933	0.598501231434	0.667700648089	0.699455891726	0.714853016104	0.658379907344	0.679793393006	0.57035699212	0.665171785782	0.66616105292	0.66597921277	0.706015462615	0.603010392888	0.635337991789	0.629748446717	0.724118154691	0.62933262169	0.597625536921	0.707886251963	0.646542925896	0.635133373254	0.609989367879	0.618077797979	0.721614533808	0.653234439105	0.712715445918	0.726438231947	0.66732338331	0.657689536875	0.67746793757	0.64246961159	0.677120753673	0.705579161521	0.663106942051	0.64679410016	0.671327606894	0.646066424678	0.681686086323	0.673171045756	0.660976255966	0.606126204667	0.68729787439	0.609147306203	0.595372996598	0.606703943171	0.678538105313	0.659932144034	0.545285650397	0.629564387453	0.597258416682	0.624276922967	0.599861476301	0.623250671635	0.601140928791	0.597686213048	0.559113759298	0.561582738337	0.612845479669	0.544324040736	0.607859431419	0.546393218991	0.594602908763	0.566660563467	0.578597737206	0.563390825051	0.602097594177	0.557653336351	0.624958836066	0.567803857677	0.588503809185	0.548212507918	0.545160737023	0.565376535847	0.586367880088	0.55671655141	0.606347505856	0.676566963988	0.557560840914	0.569840606645	0.564726952726	0.591589105153	0.582594892475	0.612052854074	0.590102981281	0.609821576093	0.654491300778	0.637185930516	0.67310070446	0.640870896328	0.595494186869	0.742968991298	0.644281824844	0.707712290452	0.611551533313	0.647631787969	0.580522125459	0.668994103837	0.693818804639	0.664197865024	0.685416540411	0.665737253071	0.65881742703	0.735340631457	0.59209289659	0.649229131108	0.753195122602	0.602499798736	0.612099132449	0.63594887467	0.691036550117	0.601581358496	0.667416967118	0.603479423715	0.660818300534	0.70964263899	0.673956583745	0.673156712256	0.641780678641	0.702532078021	0.638374842827	0.653776816168	0.677606143492	0.659313680397	0.63594375857	0.625571539587	0.673465047909	0.592110893375	0.623268608588	0.608443853105	0.703687383274	0.56157932779	0.62437299807	0.582992167879	0.605733379461	0.665049426701	0.639280992835	0.608569323764	0.587869542268	0.604870451913	0.569621646788	0.544640947713	0.56810088932	0.60284395499	0.567655059719	0.572126200976	0.589798290906	0.597041226958	0.57963976751
